ParlaMint-NO_2010-03-05.ana.ud1660e67	The representative, Jan Tore Sanner, will put forward a proposal for a representative.
ParlaMint-NO_2010-03-05.ana.ud1660e378	This has been a strange debate, a debate that has been marked by the fact that the representatives of the government parties and the state council have almost done an exercise to try to run as far away from the issue as possible in order not to have to be held responsible for the situation that actually exists in Central Norway. It is at least nice to be able to read that the red-green representatives from More and Romesdal want to support this proposal, but democracy internally in the government parties has said that they are not allowed to do so, they are forced to vote no. It's in today's papers. It's worth noting, especially about the representatives of the Center Party, who talk about local autonomy, local democracy, etc. It has also been interesting to have the debate for the time being, that the representatives of the government parties, i.e. a government based on the Workers' Party, the Centre Party and the Socialist Left Party, are asking where it is going to be of the Swedish nuclear power. That in itself is a point for this hall. I'm a little unsure if you've read the proposal, especially after hearing the Council of State in a line change with the representative Ketil Solvik-Olsen say that when you talk about energy supply, you start speaking the same language. That is precisely what is said in the proposal from the Progress Party. You just refer to the problem that as long as we produce and drain further out of the water reservoirs, in a situation where there is little snow in the mountains, there is little water in the warehouses, we actually create a difficult situation for next year. If we get a dry spring or a dry harvest, you can't actually fill up the water reservoirs again. Then we're going to get an even worse situation next year. It is dangerous when we see that the industry is already outlawing. It's dangerous when many companies warn that if we don't get anything in place now, they're also going to have to permite and cancel employees. Businesses can go beyond the end because they do not tackle the prices. This matter is not just about getting the price down. This matter is also about putting capacity into place. When we also have a government that has conducted a dividend policy towards Statnett where one has taken out between 85 and 98 pst. in return by a company to finance the central network, it has already been announced that the situation will not be taken seriously. It will be very exciting to look at this voting today. It's going to be very exciting to see if you take into account the situation, or if you have to go backwards into next year, knowing that the inhabitants of Middle Norway will once again get high electricity prices, and actually also the possibility of rationalization.
ParlaMint-NO_2010-03-05.ana.ud1660e395	Many good arguments have been put forward for the launch of the mobile gas power plants so far in the debate. As a reserve source for Middle Norway, there is no understanding among the majority of people that starting requirements are so inappropriate that we are on the way into the crisis without being able to use the reserves that exist. When it comes to the representatives of the red-greens that have emerged today, there is not one measure to which they have referred, which does not have a five- to ten-year time perspective. We see that today's situation is that the water magasina is heavily drained, and the level of flooding in the whole of the Middle Norwegian market is now down to 25.8 p.p., that is, far below the normal level, and the amount of snow in the mountains has also been estimated to be well below a normal year. All the lights are red, but still this is not enough, and it is not defined to be subject to today's framework conditions to start up gas power plants. Then we see that the NVE has been applied for permission to launch under given regulations, but neither do these cover up under today's challenges such as low magazine or sky-high power prices. We also read in the media that in three weeks, the line from Tidal to Sweden will be decommissioned due to an upgrade, with a calculated increase in the power price that represents an extra charge for consumers of at least 500 million. NOK 4,2 billion in the worst case. This is totally unsustainable. Then my question is, where are all these red-green politicians who would vote for start-up, advertised through the media? One thing is to think that it is irresponsible to start up gas power plants – I respect that – but it is directly dishonest to tell them that they understand the problem and will vote for a proposal to start up, if such a proposal is made in the Stortinget. Today is the time for the proposal, and there is a right to vote for it. I want to make the word of Bergsvein Broeske the central party commanders: now one must take power from the accounting officers in the department and fire the gas power stations immediately; the government cannot continue to fail people and businesses in central Norway.
ParlaMint-NO_2010-03-05.ana.ud1660e410	As some other representatives have said before, this has been a very nice debate. There has also been a debate in which the parties to the Government have demonstrated their immunity, both in the long term and not least in the short term, as this proposal is concerned. We know that the price and situation of Middle Norway are dramatic. It's nothing new. It has been for many, many years. We've debated it every year, the difference is just that it gets worse every year that goes. Where are the concrete actions of the government parties? One is good at using the election campaign to fly out in the media and appear as a guarantor to solve the problem. As soon as the election campaign is over, no world thing happens. I expect the voters to get tired of being tricked over and over again, and have noticed quite clearly how this government is handling the power situation in central Norway. But then I have some questions about something that I don't really understand, when the Council of State says that getting the mobile gas power plants started will have little effect and also limited power in terms of price. Yesterday, the Tronder-Avisa says that when you shut off 400 MW, the average price goes up by 30 cents, but adding 300 MW will have no effect – almost the same thing. There's, at least at my discretion, a logical flaw that I don't fully understand. So I also ask another question: how high will the price be, how big will the crisis be, and how serious is it to be before action is taken and the mobile gas power plants are started? So here you have purchased mobile gas power plants for NOK 2.5 billion that are not to be used. I also think that is a very special situation. We know that much of the situation that has arisen is due to long-term emergency. We know that many of the interventions were to be taken in 1996–1997, especially from 1997 to 2000. That time, I suppose, Marit Arnstad from the Central Party sat as Minister of Oil and Energy. Today we have a new central party representative as Minister for Oil and Energy. To put it mildly, at least in Nord-Trøndelag we have poor experience with government councils in that department of the Senterpartiet. Time and again, it has been shown that nothing is happening, but that they are contributing to the strengthening of crises, which I find sad. I could have wished that the representatives of the government parties, who represent Middle Norway, had been in the hall today and voted for what they have said they will vote for in the media, instead of jumping out of this house.
ParlaMint-NO_2010-03-05.ana.ud1660e423	For the sake of order, the President would remind us that voting does not take place now, but later today.
ParlaMint-NO_2010-03-05.ana.ud1660e426	Several of the red-green speakers today have caused this to be about the absence of Swedish nuclear power. There is a situation that has arisen in winter 2009–2010. The power crisis in Central Norway began to debate as early as 2005. There will also be something paradoxical when I hear red-green politicians rage around the pulpit in Stortinget and worry that we don't have enough nuclear power in Norway, when a debate about just the production of nuclear power in Norway is completely unimaginable for the same crowd. So many people say that gas power won't have any effect. It's a reality that's far from where I, the business community and the power producers in Trøndelag and Middle Norway are. We have two problems in Trøndelag. One is the power balance, the momentary capacity, with respect to the supply of power at all times. The second is the energy balance. To think that 2.5 TW, i.e. approx. 2 pst. increase, in Norwegian power generation in Central Norway will not affect both the power balance and the energy balance, and thus the price – and at least take out situations where we have 11-14 SEK/kWt in Trøndelag – I believe that I am at the limit of being knowledgeless. Over the last 14 days, we've gone from 15 to 35 pst. chance of a very strenuous power situation in central Norway. We have had several closures and lay-offs in the industry in the region. And then you say from the red-green side that the construction of the Ørskog-Fardal line is a large part of the solution. That's absolutely correct. When we sat and discussed this fall in 2005, the red-green government said that the line will be ready in 2010. Now the same government says it might be done in 2015. We have not come a single centimeter closer to the realization of Ørskog-Fardal after four to five years of red-green rule. The Ministry of Oil and Energy can grant a concession to Ørskog-Fardal tomorrow. If you want to build this line and secure the power supply in Middle Norway, you can grant a concession to Ørskog-Fardal tomorrow. But then I have to go to the representatives Serigstad Valen and Sande, who learn with substituting arguments: when it comes to the climate debate, you have to be before. However, with regard to the power situation in Central Norway, it is assumed that 2.5 TWh of production may not have any more power, so at least that production should not be started. So the central part of all the central Norwegian states requires the start of the gas power plants. What is the Central Party in Central Norway that Erling Sande apparently has not understood? And to Snorre Serigstad Valen, I just have to say that it is nice that he is also concerned about Swedish nuclear power, but we all know that the real reason why Snorre Serigstad Valen will not have the opening of gas power production in Middle Norway is that he is, ideologically conditional, against gas power, and is willing to sacrifice consumers and industrial workplaces in Trøndelag on the altar of gas resistance.
ParlaMint-NO_2010-03-05.ana.ud1660e441	The President may point out that there are more appropriate parliamentary speeches of co-representatives than ‘the same crowd’ – for consideration.
ParlaMint-NO_2010-03-05.ana.ud1660e444	I am very disappointed that red-green politicians do not take over the serious business situation in Central Norway. There are many examples that the current situation is totally unacceptable. Norwegian Forest in Forest has an agreement with the power supplier to stop a paper machine when the price comes above 70 centimetres/kWt. They've had nine stops in winter with extra costs in the million class every time. Fezil in Orkanger has 150 jobs, Washington Mills in Hurricane has 150 jobs and the local environment has a ringing effect of 340 million. kr, and Holla melting plants in Hemne have 150 jobs. This is very important, and I am very disappointed that red-green politicians have not taken that situation sufficiently into account. I'm also very disappointed in the gap between the different parts on the red-green side. I fully agree with the Council of State on the long-term challenges with regard to the power grid in central Norway and the process towards finding a final solution also for Ørskog-Fardal. What this is about are the short-term solutions. On the right is a proposal to empower the Government to start up the mobile gas power plants on the Tjeldbergodden and Aukra. It might also be interesting to see what impact 300 MW will have on the price, among other things. in Mid Norway, also to be able to have an actual ratio to watch when to assess it later. Otherwise, I would like to remind you that in the past, as far back as 2006, Right has suggested that we have an action plan to look at the power situation in Central Norway. That proposal comes because these are complicated questions, and one has to consider different solutions. I am very disappointed that this action plan has not been put in place, and I would like to remind you that Right now also has a new proposal for an action plan for Middle Norway, precisely to find future solutions and use the experience we have to find solutions in Middle Norway and elsewhere. We need a strong network to generate energy for all parts of the country, and we need different ways to do it. Therefore, it is also important that an action plan for Central Norway can assess different solutions in this area.
ParlaMint-NO_2010-03-05.ana.ud1660e461	I think this debate exemplifies a bit of the whole democracy debate in Norway has gone on, namely that the Stortinget no longer has any practical power as long as we have a majority rule. So we've had minimal red-green representatives up here. You have taken the obligations you are expected to take with you five minutes, but nothing more. But in the media, the same representatives and others have been very active in making all possible demands. I think we can see here that the red-greens understand that they have no power in this room over their own government, they have been dictated to vote against – I am deeply sorry. That abduction was also exemplified by the intervention of the representative Serigstad Valen, where he claimed that, unlike the Progress Party, he is fighting for another type of power market and another type of power policy in that country. Then I don't think the representative was present in Wednesday's Question Time, where the Prime Minister honoured the system we have today, thought it was through-regulated and that the politicians had all the power they needed over just this power market. But the representative Serigstad Valen is obviously sometimes in opposition to the government that sits. I wish that many of those who are actually opposed to their own government used this case to set an example that the Storting has power, that we do not accept that one should be so conservative in relation to security of supply that one should have over 50 pst. the risk of becoming black before the State can act. Because that's what this is all about. This proposal is not just about price, although price is an important part. It is about showing an understanding, and actually a sympathy – a declaration of solidarity, I should have said so that red-green politicians should understand it – a declaration of solidarity towards power customers in central Norway that we understand that the sky-high power prices are a problem for many. Many manage well, those who have a lot of money, even though it is uncomfortable to pay 95 cents/kWt at an average price, like one did in Trondheim yesterday. But those who don't have money also don't have alternatives, which, as many people here are talking about, operate with a large-scale one-way. People who can't afford to pay the next month's electricity bill don't have 150,000 kroner to add waterborne heat to their house. We're going to take that over. But in addition to the price, this is about how offensive we are going to be in order to ensure that the security of power supply is ensured. For me, it's totally irrelevant to start talking about that there's going to be a fifty-fifty chance that the system collapses tomorrow, with the criteria that Statnet has in practice to rule after today. It's not Statnett, as many people here hide behind, who sit and make these assessments. State networks relate to the legislation they have received from a government. That legislation is far too conservative. We should not allow such a slow phase-in of reserve capacity as the state controls 100 pst. And when we also know that the variable cost of operating these is probably about 50 centimeters/kWt, it doesn't help to pick up the power price either. It's part of bringing down the power price, they're going to be put to work. So, both for security of supply and for price reasons, this proposal should be adopted today. It's good for the red-green parties to be allowed to break out of the flock.
ParlaMint-NO_2010-03-05.ana.ud1660e474	In the debate today, the Red-Green parties have outlined the need for a long-term solution. Nobody disagrees, because we need to put in place tools that make us more robust for the future. The problem is that we per. Today, both legs are in trouble. The situation is that for every day that goes without there being capacity in the network, and without there being capacity for production in central Norway, we are already losing relatively low warehouse fillings further down. For every day that goes, the probability that in the future there will be flow rationing in the area increases. For every day that goes, the risk gets bigger and bigger so you can get a disconnect. For every day that goes, the electricity bill for the inhabitants of Middle Norway is increasing. The owner – 100 pst. owner – of Statnett, is the State itself. If you want to do something with the regulation, it's the government. The regulation is made by the Government, may be amended and repealed by the Government. It's time to get your head out of the sand and get out to see how reality is out there, and take action that helps.
ParlaMint-NO_2010-03-05.ana.ud1660e486	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 2140]]
ParlaMint-NO_2010-03-05.ana.ud1660e502	No one has asked for the floor.
ParlaMint-NO_2010-03-05.ana.ud1660e518	No one has asked for the floor.
ParlaMint-NO_2010-03-05.ana.ud1660e534	No one has asked for the floor.
ParlaMint-NO_2010-03-05.ana.ud1660e550	At the request of the Financial Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each Party and up to 5 minutes to the Council of State. In addition, the President will propose that there be no change of line, and that those who have to sign on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-03-05.ana.ud1660e557	I am delighted to be the spokesperson for this case of simplification for business. It's not the first time we've discussed this here in Stortinget. There was a similar Document No. 8 proposals not that long ago. But there are important problem settings that we always have to work with. Simplification is about making regulation and public tasks as effective as possible without over-costing the purpose. In 2008, the Government presented the plan Time for innovation and production, with 120 measures to reduce administrative costs for enterprises. The biggest single measure was Altinn. For business, good access to information on public schemes, legislation and information requirements is very important to ensure good and efficient operation. In the long term, the business community shall adhere to only one web portal for all reporting and communication with the management. It will make the reporting work less labor-intensive, which frees time for production and value creation. On 5 February this year, the Government presented a follow-up to the Action Plan Time for Innovation and Production. The report summarises the results of the update on the use of resources by industry and presents the status of simplification measures from the action plan. The government shall continue to work to reduce the administrative resource use of enterprises. In the Soria Moria statement, we're very clear. We have said that we should review the share and accounting laws with a view to simplification, especially for the smallest enterprises. Rambøll has also provided a report, Business administrative cost development, 2006-2009 update, which shows that there have been reductions in forms and reporting and reductions in administrative costs. The report shows that the cost reduction has come especially for micro-enterprises, which I think is very good, as these companies often do not have access to the same administrative resources as large enterprises. The report also highlights the positive work and bet on Altin, which is still a focus of this government. It is actually intended by a large sum in the budget in 2010 as well. However, it is important that every time the Government sets new requirements for business, a special assessment of both the benefits and costs of new rules and information requirements should be made. It is important that it is assessed every time whether it is necessary to set the same requirement for SMEs as for larger companies. In the Innovation Communication, the government announced the creation of its own strategy for small and medium-sized enterprises – a work in progress. There's a strategic advice that's going to input into the further work, and we'll get to pick up a case soon. I have started the company myself, and I have seen all the requirements being met. Therefore, I am very happy on behalf of all those who run businesses, because the government takes this seriously. It has actually been smaller and simpler reporting. After the red-green government took over in 2005, and up to now the burden of form reporting has been reduced by over 1,100 annual works. There are many governments that have had focus on and big goals of bringing the form field to life. When Sponheim was Minister of Industry, he went very high on the track with this, but when he left as Minister of Industry, there were actually more forms than when he started. We are certain that simplification is important, so that businesses can have more time for innovation and production. The letter from the Ministry of Finance stresses that the Ministry of Finance, the Tax Administration and the Customs Authority will continue to focus on user orientation, efficiency and simplification. The government has done a lot of work, and it is still going to have a very strong focus on this work, because simplification is a continuous work. I would like to add the matter to the Minutes.
ParlaMint-NO_2010-03-05.ana.ud1660e578	I would already like to be allowed, at the outset, to address the suggestions we have in the vote, so that it is done. Furthermore, I would also like to inform you that if, contrary to the assumption, our proposals were to fall, we will vote in favour of the proposal of the Right, Christian People's Party and the Left, which is also included in the vote, so that it is noted. In this case, the Progress Party has made 21 concrete proposals – 21 concrete proposals in several areas that could make everyday life easier for Enterprise Norway, 21 concrete proposals that could make time use of businesses more efficient, so that one can collect resources and use his working capacity to create values, instead of spending a very long time on completing forms, certificates, reports, etc. I am very excited to hear what the Minister of Finance is going to say in his speech today – now represented by the new Prime Minister, the Minister of Oil and Energy, who is at least present in the Chamber. I am very excited that he will present the letter of reply given to the Committee on Questions on the 21 proposals – a seven-page letter. It's going to be exciting to hear an investigation about this, but we can come back to that in a little while. The proposals underpinning this treatment have been developed in cooperation with the Association of Norway’s Authorised Accounting Directors, the NHO and several others. These are proposals that have been requested, these are proposals where Business Norway wants to make changes so that they can spend their time on business rather than on reporting activities. However, the letter of reply given by the Ministry of Finance on these 21 proposals is of the utmost importance because it has first been concluded – at least not one of these proposals should be mentioned positively and could give the opportunity to obtain a majority of the red-green ones. The defence writer of the current policy should be looked for a long time! There are seven sides to the defence letter as to why you don't want to make any changes, despite the fact that business is shouting for change. It is also clear that the financial committee is currently very busy. Because if you read the comments from the government parties in the vote, you refer almost only to the letter from the finance minister. I actually thought that in this house you also had the opportunity and the right to have your own opinions on these matters. It's in this house that you adopt laws and regulations, it's this house that's the granting authority, but it's obvious that you've confused a little bit of the granting, legislative and not least the executive authority. The majority write the following in the setting on page 3: ‘The majority consider the Action Plan ‘Time for Innovation and Production’ as presented by the Government in August 2008. The plan contained more than 120 measures to reduce the administrative costs of enterprises. The majority think this is a powerful expression of the willingness to improve the business environment. Yeah, I'm incredibly excited to hear how far you've come with these 120 measures, I'm incredibly excited to hear the timing of these 120 measures, because business doesn't see anything about them. The business community feels that this is an incredible amount of talk, but very little action. As members of the Business Committee, we receive a number of contacts with proposals for improvements and simplifications regarding the time spent in enterprises. And there's one thing left in all of these enquiries: Let's use our time for value creation, let's use the capacity we have, to become good taxpayers to the state! Valuation is the means by which the state receives its income. But I sometimes get the impression that you want to solve some employment problems in society by getting more people to fill out forms. This is going backwards into the future.
ParlaMint-NO_2010-03-05.ana.ud1660e602	The representative, Harald T. Nesvik, has taken up the proposals he has referred to. The President may otherwise state that the absence of the Minister of Finance from the debate is due to a necessary meeting of the King of State Councils, and it is considered to be of constitutional importance.
ParlaMint-NO_2010-03-05.ana.ud1660e607	On behalf of the Right Party, the Christian People's Party and the Left, I take up the minority proposal in the position of the Financial Committee. This is primarily to commend those in the Progress Party who have promoted the proposals. There is no doubt that in the Right there is a significant irritation, a great impatience, in relation to reducing the administrative costs of the Norwegian industry, which unfortunately has not evolved as much as one could believe as the Børge Brende and the Bondevik II government were responsible for this and as they had clear targets of 25 p.m. reduction by 2012, I think it was. This government has gone away from having a percentage target, and therefore there is only a kind of common let scour policy about the goal of this. I suspect that a majority, or very many of the red-green politicians, are not burning to reduce bureaucracy. I suspect a lot of them to actually contribute to increasing bureaucracy, because you have a general distrust of a lot of the private business, and you have great mistrust of the entrepreneurs. Logically, this will increase reporting requirements in order to avoid what is believed to be harmful to society in other areas. This makes the government not ongoing enough in terms of simplification. This means that the government and the big politicians are not on the move in terms of the fight for simplification, simply because there are other areas for which they are more concerned, and so you let it go. Looking at the Rambøll report that the Government has now presented, it shows that the administrative costs for business have fallen by half a percent in recent years. There are actually things that suggest that to find a reduction of half a percent, things have been taken out of the entire calculation basis -- there are some who claim -- to achieve a reduction in this way. If several elements were included, the increase reported by the business community to the Stortinget and to the departments that they experience in their everyday lives would have been achieved. The right has its own simplification committee that works to make everyday life easier for small businesses, for larger businesses and for individuals. We have more ambitions than the Minister of Finance puts up, and to that extent the Minister of Industry, who has a lot to do with this. Nesvik quotes parts of the majority's position in the committee. If you go to about where he ended, the majority, in my opinion, reveals a limitless system loyalty and a limitless trust in the states: ‘The majority also refer to the letter from the Ministry of Finance, where it is emphasised that the Ministry of Finance, including the Skatetaten and the Tollvesen, is continuously striving to focus on user orientation’. In other words, relax, this'll take care of, the department's working day and night to make it easier. Me and the Right believe that much of the simplification processes come from business itself. Some of the proposals made by the Progress Party, on which there is a cross-political agreement, on which the user organisations have come up and re-entered, are rejected – one after the other – from the Department. So you'd like to see a little bit different goals than the rest of us. The government’s imposition on private business is estimated at over 50 billion kroner. That is a considerable amount of money. A 10 pst. reducing it would have released 5 billion kroner, which private companies could have spent on completely different things. The reason for right-wing voting against the proposals of the Progress Party is that they come a little bit piece by piece and split. We believe that it is in place to make a completely new message about this. The proposal that the Right Party, the Christian People's Party and the Left have promoted as a minority proposal, which the Progress Party supports subsidiaryly today, shows that we want the Government to be given time, at the latest in the context of the State budget in 2011. That should be the goal of the Government. Guess is new as state council. Let's hope that he also has time to modernise, and not just jump around on meetings to listen to, without doing anything about it.
ParlaMint-NO_2010-03-05.ana.ud1660e629	The representative of Arve Kambe has taken up the proposal he referred to.
ParlaMint-NO_2010-03-05.ana.ud1660e637	I mainly agree with Mr Eldegard's remarks, but I have some general comments. It is true that simplifications in bureaucratic rules have been on the agenda for most governments, but most of the time it has been with the slogans, because it has been in a way to fight against the flow of time. But this government has actually done more than most. They have set offensive targets of 24 hours opening time in general government using e.g.: new technology. Altin is a good example of this. Important work has been done and offensive public sector targets have been set by e-commerce, open standards, electronic dialogue with employers, etc. In my view, it is an enormous potential for simplification and increased transparency through the use of new technologies – a simplification that can facilitate the work of business, and it is a goal for all of us, for the citizens, such as the environment. children’s parents applying for children’s playground online and, of course, for the public in the bureaucratic handling of cases. For me, having a big debate on individual forms and detailed individual proposals is a bit funny. I believe that this is going to be very detailed – it will be a procedure from the Chair. But I really just want to say to the Government, "Keep up the good work" in terms of simplifications using computer technology. At the same time, I might share a concern, and it's related to the New Public Management thinking of the public. It is important that the potential for simplification in new technologies is not taken into account in systems where mistrust and control lead to increased red tape. If we look at it a little bit big, it was like this once that a builder drew and built the house. Work effort and costs were related to the construction. And then it became more complicated. We got the architect as a profession, and more resources were put into planning. It is this development that has progressed, so that gradually the building itself has been subordinated, and the planning and permits, etc. is what might take the most resources. Of course, it's because society has become more complicated, and we need to take more into account. We can't dream back to an earlier stage where a man cleared, and built his own house without asking anyone. But we can simplify the processes, first of all, in my opinion, using new technology. The government is doing well.
ParlaMint-NO_2010-03-05.ana.ud1660e656	The proposal on simplifications in reporting, forms and legislation for business from the Progress Party is an important theme and an important proposal. The government parties believe that it is both important and forward-looking to work for a good framework for business in Norway, and therefore it is also essential and important to take account of business input and learn from relevant and successful reforms, including in our neighbouring countries. The purpose of reporting, regulation and business forms is to contribute to the enforcement of laws, regulations and administrative provisions. In principle, there is no limit to the scope and detail of such reporting, forms and legislation. I point out that many business operators perceive that there is today a self-production of new requirements where the benefits are not proportional to the costs. In order to strengthen confidence in the necessary follow-up of business activities by the authorities, the Authority must keep a continuous focus on this. I would like to say that the committee refers to is simple and well-worked legislation, which is the most reasonable and effective. However, this well-thought-out and simple legislation is also the legislation that requires the greatest overall overview and thorough review, not least through work with understanding of the practical working and business life. The government has presented the Action Plan Time for Innovation and Production, and what is leading from the government parties in this further work, is a significant simplification within the understanding in which I have now tried to sketch out some elements. The tax haven and customs tariff must have a continuous focus on user orientation, efficiency and simplification. In practice, this means that reporting, form and legislation, which are based on what is commonly known as having fun, is cut off, as well as businesses with delimited economic activity, are given a strongly simplified regulatory framework in which sampling becomes a more important tool to check whether the activity is operated in accordance with Norwegian law. With regard to the concrete proposals, the parties to the Government refer to the processes already under way and to this debate. It is said from the Progress Party that there is a defence letter from the government parties that nothing should happen. It is said to be completely wrong. However, legislation is necessary. It is necessary to have a regulatory framework to ensure fair competition and to ensure a correction of the market, objectives which, for the Progress Party, are very little present and which therefore make them on a completely different footing. When Kambe from the Right also says that one suspects the red-greens in order not to care about reducing bureaucracy and not enough is ongoing, I have to say, well, based on what has been said here in the debate, there is no big difference in the momentum that is relative to simplifying it. But there is also a situation where what has been done in the past has given weak results from the intention expressed here by the representative Kambe. Finally, in the view of the Centre Party, the challenge is to attract more people with experience and understanding of practical work and business in this simplification work. Thus, a challenge from the practical reality is seen, which provides a basis for getting legislation that is simpler and more understandable, and thus also has greater excitement among those who are going to do and pay a lot of this work.
ParlaMint-NO_2010-03-05.ana.ud1660e677	I can basically join much of what the representative Lundteg said here. I think that's actually pretty cross-political. I think we should also recognise that the opposition that is always in place seems to be a little too slow when it comes to simplification of legislation, and may see that there are sometimes press groups, insofar as those who administer this legislation, who help us get further legislation, instead of simplifying it. I think that's something in what Jan P. Syse said in a different context, that we're opposed to the sum of everything we're for. It is a good thing that when you see special interests and special areas being treated, there may be a lot of good reasons why you need to strengthen the regulation, and politicians often also help to ask for more rules to prevent some isolated case. Then the sum of the inefficiencies, and the costs are far higher than the benefits of that kind of regulatory design. So I think in essence we agree on this, and I want the sitting government to be happy with any simplification that might come.
ParlaMint-NO_2010-03-05.ana.ud1660e687	First, I would like to thank the case rapporteur for the review, but I have to correct it on one point: when Lars Sponheim left, it was the first time in history that there was a measurable decline in the form field. A short time ago, it was found that industry’s costs related to form fields and compliance with legislation were only reduced by 0.5 pst. in the last three years, as the representative Mr Kambe also said. This despite promises of a strong simplification. While countries around us have set ambitious targets for reducing business costs related to reporting as a result of rules and form loads, the Government is reluctant. A good example is the then Minister of Economic Affairs, Sylvia Brustad, who, on 16 June 2009, sent out a press release, promising that a sample would be set up to look at how the simplification of the Norwegian legislation could be implemented, among others. input from the Auditor’s Association, work in the EU and other countries would provide a background for the work of the sample. Now 262 days have passed since Brustad's press release, and nothing has happened. There is neither a selection nor a clear mandate. Norwegian business spends NOK 54 billion on the reporting of rules and form loads. Enterprises with fewer than five employees are charged nearly DKK 20 billion each year in the cost of reporting public forms and following up legislation. I have previously invited Minister of Industry Trond Giske to both figure out a concrete target for reducing the burden on the form and say when we can expect the promises of the former Council of State Brustad to be fulfilled, without any response. Now I challenge the Minister of Finance at the same time: when can we expect a concrete target for the reduction of the form load? The left will make it easy to start, operate and own business in Norway. The aim must be to reduce administrative costs by at least 25 pst. by 2012. Complicated laws and regulations and a comprehensive form field are in some cases a major problem, especially for small enterprises and individual enterprises. In most areas, they have to deal with the same laws and regulations and respond to the same tasks as larger enterprises, and they spend relatively more of their time in this work than large businesses. It removes the focus and resources from the value creation of enterprises. A large-scale simplification and coordination of laws, regulations, reports and controls, adapted to the everyday lives of entrepreneurs and small and medium-sized enterprises, must therefore be initiated. In particular, the following measures must be included in such a review: New or changed requirements must be subject to a dietary benefit assessment for management and business. The regulatory framework must not be changed unnecessarily frequently, and companies must be given sufficient time to adapt to new or amended legislation. All business-to-public reporting must be possible through the same channel and the same information must only be reported once. A single portal for electronic information from public to enterprises needs to be developed. I want to commend the proposers for doing a thorough job of pointing out a number of unnecessary information and reporting requirements, and a lot of illogical rules, among others. related to representation costs, quota and other. Several of the proposals could have been voted for in isolation, but we believe there is a need for a comprehensive review that is much more targeted and powerful than what we see in the government parties refer to in the setting we are discussing here. Finally, it is commendable that the Minister of Finance and the Government are involved in the costs of Norwegian business from an international competitive perspective. No later than one article in the newspaper on Wednesday, the Minister of Finance defends the front-line model so that we can get a wage increase in Norway that competitively exposed sectors can live with over time. However, it is a great paradox that the Government is so little concerned with simplifying and reducing the form load for the same companies, when we know that the costs are over 50 billion DKK per year and that most of the countries we compete with, among others. In most EU countries, there is a completely different focus on simplification and, as far as possible, concrete targets have been set to reduce the burden on business by 25 pst. within a few years.
ParlaMint-NO_2010-03-05.ana.ud1660e717	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2010-03-05.ana.ud1660e720	I couldn't let the debate pass with just the obligatory submissions. I thought maybe the finance minister would also say something, because this topic I think is one of the topics that is most discussed outside, and that you get done least from this room. I believe that the representative from the Left was at the heart of the matter, with concrete objectives. There is a difference between the Børge Brende in its plan ‘Simplifying Norway 2005-2009’ and the one presented by Sylvia Brustad. When Børge Burnde set the target 25 pst. reduction, it could be measured up to 2012. So now we hear a case rapporteur who thinks it's going very well. It is documented that Rambøll has looked at this, and this shows something quite different than the department itself shows, namely an efficiency of 0.5 pst. in the course of three years, from 2006 to 2009. So it's going to cost 57 billion kroner. There are not insignificant costs associated with being able to create values in the future. Such a pace will make us reach the Børge Brende's goal in 150 years! It can't possibly be satisfied with the Storting. Here it's about trying to figure out something that can be done concretely, which can be measured, so that we can start talking about if we actually reach some goal. I think that's the heavenly difference between Børge Burnde's ambition and the ambition that the Government has today. And as long as I don't see a concreteization of those measures and a desire to present the measures to the Stortinget, so that we can actually discuss whether or not to do anything in the department, I'll take the signals as Nesvik said they were made in the Council of State's response. It's a study of how to find all the negative arguments and all the difficult aspects of all the actions, and then you don't do anything.
ParlaMint-NO_2010-03-05.ana.ud1660e727	I just have a few brief comments. I think the representative Syversen had something reasonable here, that we have all good intentions, but then we don't get it all to – a little different according to who controls. But it also has something to do with rhetoric. When the red-greens took over in 2005, there was an attitude towards business that was very negative. And if you don't think rhetoric also creates politics or creates attitudes, I think you're very wrong. If you look at a business manager as a potential tax cheater instead of a value maker, and talk like that, you don't get a good relationship with business, and you don't think you want to make it easy for this business manager to create the jobs you went around in the election campaign and said you should get. It also applies to the tax system. The wealth tax, i.e. equity, is taken into the enterprise as working capital, takes it into the country and gives it to the nation of Norway as working capital for some others who are going to do something even more than what it has already done in the enterprise in which it was. So when you talk that way and have policies like that, you create attitudes in business and in the practical policies you have to conduct in the department and government. This does not create values, but it creates confrontation between business and the political actors. I also understand the need to sell a policy and a rhetoric outside to win votes in a election. It probably needs all the parties, but when you get to the government offices, it's important to create a dialogue with the business community and look at the business community and the leaders as someone who plays the team to create values that we all depend on to distribute the benefits that business actually creates for us.
