ParlaMint-NO_2010-02-03.ana.ud2135e26	The representative of Mr Harald T. Nesvik will present a proposal for a representative.
ParlaMint-NO_2010-02-03.ana.ud2135e393	The size in 2006 handled a Document No. Eight proposals from representatives Børge Brende, Ivar Kristiansen and Petter Løvik on an action plan to prevent the power crisis and supply crisis in Central Norway. During the debate, Mr Odd Roger Enoksen, Minister for Oil and Energy, spoke: ‘I am now working on an action plan as requested, to address the power situation in Central Norway, with a view to bringing forward the action plan early in the autumn.’ It is a scandal that the government holds a whole section of the country for fools and does not come up with an action plan as promised. It is clear that the Government does not take on board the fact that enterprises can go beyond the end and that there is a hook on the door for important investments due to high power prices and low-sustainable business environment. It's the inhabitants of Central Norway who get the sense of a de facto government here. We see that the expansion of Ørskog-Fardal is complicated, and that there are different solutions to be considered, and that is important. As a result, this does not have a capacity before 2014. What will the State Council do to reduce the damage caused by poor capacity in the line network in 2010, 2011 and until 2014? Will the Council of State keep promises of an action plan for Central Norway?
ParlaMint-NO_2010-02-03.ana.ud2135e405	I think it is very expensive to use the word ‘candals’ about something that obviously could also have been done by the previous government in connection with the launch of large industrial projects without ensuring that the corresponding production was put in place, that corresponding line projects were upgraded. So what we're doing now is repairing the damage that's happened because there was no interaction between the use of energy and the supply of energy in Middle Norway, and we're doing that. It's now spent 5 billion kroner in the area via Statnett to get a better situation. We've updated the Nea-Järpstream, which is a very important connection to the area. We have performed voltage upgrades on the network, which now contribute to the network working much better than before. We have used significant Enova funds into the area, which only resulted in approximately 2009 300 GWh with new production in the area, and I'm focused on as fast as possible concession treatment of the Ørskog-Fardal line because I think it's the big concrete measure that will actually mean a difference for the area.
ParlaMint-NO_2010-02-03.ana.ud2135e410	Øyvind Hope - for follow-up questions.
ParlaMint-NO_2010-02-03.ana.ud2135e413	People in Central Norway are concerned about power situation. Then it's all the more important with precise information, because it's not true that the extreme prices we had in short periods of winter were a special case for Middle Norway. There were actually several parts of the Nordic power market that saw the extreme prices. We don't have a South Norway situation either. First of all, we have a Middle Norway situation. This means that if we get a dry year, we could get extreme prices in Middle Norway and rationalization. The Christian People's Party also proposed, in the previous period, to strengthen the Energy Minister's toolbox, to strengthen political governance at the expense of the market, just to prevent such situations from reoccurring. Unfortunately, the government has not followed up. But the big question that people in Central Norway may ask for answers is: Can the Minister of Oil and Energy guarantee that if such an extreme situation occurs as a result of a dry year, he will put the price ranges out of play, so that Mid-Norway will not pay extreme prices over several months because security of supply is not well-managed?
ParlaMint-NO_2010-02-03.ana.ud2135e422	I think the introduction to the question from the representative, Håbrek, was very good. I agree that we have had a Nordic price situation. But I have to ask questions about the reasoning at the end, based on the fact that security of supply was brought forward as a matter of principle, while he wanted to put the price ranges out of play. Price ranges have just been introduced to ensure security of supply in the area and to ensure that power is drained into areas with weak production and market imbalances. It is, of course, the most important measure you have to ensure that a person gets power in the middle of Norway, and as such, it can also reduce the landfilling of the warehouses in the area.
ParlaMint-NO_2010-02-03.ana.ud2135e427	We're going to the next -- and last -- main questions.
ParlaMint-NO_2010-02-03.ana.ud2135e430	You can stay standing, councillor, the question is for you. You're a popular man today! In the evening news on Sunday, we were once again reminded of the convoy of 20,000 trucks carrying Norwegian waste to Swedish combustion plants. The industry estimates that there may be as much as 500,000 tonnes of Norwegian waste disappearing from the country every year. Seven out of eight contracts concluded in recent months have gone to Swedish combustion plants. This happens at the same time as the government spends billions of taxpayers' money subsidising the development of district heating pipes in Norwegian cities. So, on the one hand, the government chooses to go heavily into the establishment of district heating infrastructure, but on the other hand, the same government introduces framework conditions that make the main input factor in district heating production disappear to the rest of the world. Maybe it's not just me that gets associations to the biodiesel case last autumn. Does the State Council of Terje Riis-Johansen believe that it is in line with the Government's climate policy that Norwegian district heating plants risk firing oil rather than waste because of the same government's charging policy? The council has told him to look into the matter. We are anxiously waiting for him to finish seeing and are ready to send a signal. I'll challenge him on that today. When will he follow Sweden’s example and remove the combustion tax? Does he realize that there is a urgency for this industry when so many contracts — which are long-term contracts, which are four-year contracts, which are ten-year contracts — make significant quantities of Norwegian waste disappear from the country, not only in the year and next year, but for a long time in the future?
ParlaMint-NO_2010-02-03.ana.ud2135e439	I think it is important to facilitate the use of waste in combustion plants in Norway. It is quite right, as the representative Astrup says, that we have spent a lot of money building an infrastructure for heating. 19 of the 20 largest cities in Norway have such an infrastructure. I believe that Oslo is a good example of a good policy on the district heating side. The effect will not, of course, be as desired if there is fossil energy used to produce that heat. It is quite correct that we have charges in Norway that the Swedes have removed. We have put in place a process to assess the tax regime around this against the revised national budget. So that process goes its way. But to have further pressure here, the finance minister and I will have a meeting with the entire industry about approx. 14 days. There we are committed to listening and getting input and taking it further into the process towards the revised national budget. Otherwise, I think it is important to remember that there is a difference between charging policies in Norway and Sweden, but that is more than that. There is also a price difference that is quite significant, because Sweden has built up a large capacity in this area, a capacity that is, in fact, a little too large in relation to access to waste in Sweden, and one goes in here with prices that are relatively favourable for transporting waste to Sweden. So it's probably about something more than Norwegian charging policy.
ParlaMint-NO_2010-02-03.ana.ud2135e448	I perceive that the Council of State has not intended to take the signal for the time being. He has planned to meet the industry and once again a few messages about the problem, rather than sending a signal that Norway has also planned to remove the combustion tax — and do so quickly. Governments talked about access to waste. This is due to the fact that 500,000 tonnes of waste in Norway end up in landfills, despite the ban on landfills. Derogation from the prohibition on landfill shall be granted. These are waste which could have been released as an input for Norwegian district heating plants. I believe that the Council of State is wise to place 500,000 tonnes of waste in landfill and to release, for example. methane, rather than being used to produce hot water and heat to households and businesses? Let me also add that the Ministry of Finance has estimated that an increase in the deposit fee to NOK 1000 per person. tonnes will release 250000–300000 tonnes of waste. Does the Council of State think that it could be an idea to do this to release more waste?
ParlaMint-NO_2010-02-03.ana.ud2135e455	The answer to that question is yes. I believe that we should definitely consider whether the exemptions contained in the landfill ban are managed in such a way that too much waste ends up in landfills. There I can be short, precise and appropriate.
ParlaMint-NO_2010-02-03.ana.ud2135e460	Follow-up questions will be raised – first Siri A. Meling.
ParlaMint-NO_2010-02-03.ana.ud2135e464	I would like the Council of State to be equally clear in relation to signals about what is going on in the revision of the combustion levy, because it is urgent. It's been a few months since the last time we asked questions. In the meantime, the OERAS plant, Upper Rome, has had a tender. There the waste goes to Gothenburg, at a price of about 500 kroner per person. tonnes, for which Norwegian operators could also compete if the combustion charge had disappeared. February 15 is a critical date. The time limit for the invitation to tender for the garbage in the Trondheim area is 40 000 tonnes for four years. Does the Council of State see the seriousness, and that the industry needs a signal quickly, and preferably before 15 February, about what the Government intends to bring into revision? A few weeks after 15 February, the western part of the territory also leaves with a bid of 93 000 tonnes for four years. It's urgent a clarification.
ParlaMint-NO_2010-02-03.ana.ud2135e469	In terms of the process, I have nothing more to say about it now than what I said to the representative Astrup's similar question. With regard to the gravity of the situation, I definitely believe that we should have waste as an important part of the basis for the production of energy in heating plants in Norway, and that should also be reflected in the policy we have. So we're working on this, we're looking at this, and then we're going to spend the time up to the revised national budget on it.
ParlaMint-NO_2010-02-03.ana.ud2135e474	Ketil Solvik-Olsen – for follow-up questions.
ParlaMint-NO_2010-02-03.ana.ud2135e477	It seems that the Minister of Energy has gone to political school with the Minister of Foreign Affairs and that dialogue should be the main instrument of energy policy. Instead of saying that one should now have further meetings with the industry and listen to recordings, the Council of State should remember that this government has now ruled for almost 53 months. I've been sitting on Stortinget for the same time. We've had a forest of input from the industry -- I use the term forest, because I know which party the council belongs to. In the last two years, this has been a subject of budgetary procedure. It should stop waiting for a recording and rather be the time to make a play. As the previous question asked, there are a number of contracts to be concluded now, which have a long duration. If one of them had to sit and wait until June before someone knows what the government thinks, I would like those contracts to be concluded with a expectation that the fee will be in place, and that one of them will send them abroad. Doesn't the Council of State see the problem that when you don't make the playoffs yourself, the contracts are still going out of the country, in a long-term horizon?
ParlaMint-NO_2010-02-03.ana.ud2135e482	I don't think I have any other answer to that question that sails if it is asked for the third time, with a little different angle. I am concerned about this question. We have a decision in Stortinget from the autumn related to the 2010 tax policy, and if one is to make changes to it, in that case the natural place to take it up will be in the revised national budget, which will come later in spring.
ParlaMint-NO_2010-02-03.ana.ud2135e487	Line Henriette Hemdal – for follow-up questions.
ParlaMint-NO_2010-02-03.ana.ud2135e490	The Christian People's Party believes that we should remove the burning fee so that not seven out of eight contracts go to Sweden, but that we can use the energy ourselves – just to confirm it. But I want to go one step further. We have now had a six-month ban on landfills, and there are two reasons for that. One is that landfilling is a challenge in relation to the environment, especially the methane stock, which is 21 times more dangerous than CO2 for the atmosphere. In addition, the important energy carriers we put on landfill. But then we see that around our counties there are a lot of exemptions. I am very pleased with what the Council of State says in relation to the landfill charge, and that he believes that it should be increased. But I want to go a little further, because there's so much inequality from county to county on this, makes this case a little challenging. Will the Council of State, as part of a college, in the Government see whether he can take new action, so that we get a comprehensive policy in this area, and not as it is now, that there are many exemptions in some states?
ParlaMint-NO_2010-02-03.ana.ud2135e500	I thought in my precise response to the representative Astrup had reported what my position was on it. I believe – in order to clarify what I said – that it is important to have a regulation here where the exception does not undermine the purpose of the legislation. If one now sees that there are relatively many exemptions, if in individual states there is a completely different policy in this area than in the country as a whole, I think it provides the basis for reconsidering this.
ParlaMint-NO_2010-02-03.ana.ud2135e505	So the oral question procedure is changed, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2010-02-03.ana.ud2135e511	There will be a number of changes in the list of questions drawn up, and the President will refer in this context to the overview distributed at the premises of the representatives in the Chamber. The changes were as follows: Question 1, from the representative Ketil Solvik-Olsen to the Minister of Knowledge, has been transferred to the Minister of Research and Higher Education who directs him. Question 2, from the representative Henning Warloe to the Minister for Local and Regional Affairs, has been transferred to the Minister for Research and Higher Education who directs him. Question 3, from the representative Robert Eriksson to the Minister for Local Affairs and Regional Affairs, has been transferred to the Minister for Health and Welfare who is directing him. Question 4, from the representative of Gunnar Gundersen to the Minister for Finance, has been withdrawn. Questions 5, 6 and 7 from the representatives of Arne Sortevik, Borghild Tenden and Svein Harberg respectively to the Minister for Transport are postponed to the next Question Time when the Council of State has left. Question 9, from the representative Ivar Kristiansen to the Minister for the Environment and Development, has been transferred to the Minister for Transport who is directing him. However, the question will be answered by the Minister for Oil and Energy on behalf of the Minister for Transport, who has been away. Question 14, from the representative Vigdis Giltun to the Minister of Labour, is moved and answered at the request of the Council of State before question 1, i.e. first in the Questionnaire.
ParlaMint-NO_2010-02-03.ana.ud2135e531	The first question to be answered is from the representative of Vigdis Giltun to the Minister of Labour.
ParlaMint-NO_2010-02-03.ana.ud2135e537	‘Immigrants from non-Western countries find it difficult to obtain a job because they can have an education that is not known and they speak poorly Norwegian, but the absence of Norwegian labour references also proves to be of great importance, according to a study by the Institute for Social Research. It is clear that non-Western immigrants increase their chances of entering the labour market when taking temporary jobs. With this in mind, will the Council of State assess changes to the Working Environment Act that can give more opportunities to work?’
ParlaMint-NO_2010-02-03.ana.ud2135e549	It is the Government's aim to have a high transition to work among those outside the labour market. Employers may use temporary labour in a number of cases, e.g.: in Vicariats, if any sick or on leave. Temporary labour may also be used if, for other reasons, the employer has a temporary need for work, such as: in stoppages. According to SSB numbers, as many as about 200,000 people, or 8.6 pst. by all workers, temporarily employed. The proportion has been relatively stable in the last decade and is highest in the hotel and restaurant industries, with a total of 16 pst. Temporary employment can serve as a first job for some and then lead to permanent employment in the labour market. However, extending the possibility of temporary employment to situations other than temporary labour needs has many dilemmas. Liberalisation can lead to the temporary employment of many more permanent employees today. And often, not one temporary job will lead to permanent employment, but to several temporary jobs in succession. This creates considerable uncertainty for individuals, also because lack of permanent employment may cause problems in obtaining a loan. Therefore, the Soria Moria II Government has promised to continue its work to ensure that permanent employment is the general rule and to limit temporary employment. I believe that there is a risk that developments towards more temporary employment mainly affect the most difficult jobs in the labour market. I am concerned that there does not develop a segmented working life where the immigrant population is over-represented in sectors with insufficient training, greater accident risk, low level of organisation, weaker job protection and lower salary levels. I believe that other measures and instruments are of greater importance. The government is therefore putting up a broad effort to get immigrants into work. I believe that a combination of enhanced qualifications and education, cooperation with the social partners and active measures to combat discrimination in the labour market provide good results.
ParlaMint-NO_2010-02-03.ana.ud2135e560	There is no doubt that there are good intentions behind the strict rules that exist today, but it is also a fact that too many people are outside and do not get into the world of work. More than half of the temporary employees actually work in the public sector, and especially many in the state. There, because of a section of the Civil Service Act, access to temporary staff has been improved, and there are, of course, plenty of people who use it. In the state you say that you don't know exactly what the work looks like in a year, or two or three, and then you can hire temporarily. This cannot be done in the Norwegian industry, in the private sector and in the municipal sector. Why is it still going to be like this? Uncertainty often causes businesses not to dare to redo, even if they might have had the opportunity to do so. Most people who do not have a job would prefer temporary jobs to no one. And it is strange that the rules of the Working Environment Act should be different, and that the principles underlying the law and the consideration of temporary employees are not the same when assessing employees in the country against municipal and private employees.
ParlaMint-NO_2010-02-03.ana.ud2135e569	I just want to first stress what I said earlier, that we're very concerned that we don't get a two-part labour market, and that unemployed immigrants are a priority for this government in terms of labour market measures. In the third quarter of 2009, the figure was 40 pst. by the participants in ordinary labour market measures, immigrants. 70 pst. by immigrants participating in these measures have a background from just Asia and Africa. And we believe that precisely this scheme, through labour market measures, working practices and wage subsidies, helps to bring this group of workers into sustainable, good and safer jobs.
ParlaMint-NO_2010-02-03.ana.ud2135e574	The project that I referred to here has been carried out with temporary workers from Adecco, and it shows that well-qualified immigrants actually got a regular job after they had been temporarily employed. However, it should also be transferred to others who, for various reasons, have difficulties in entering ordinary employment. Some people also want to take a shorter job to see what kind of job they are suitable for, and to find a suitable job. If businesses were to use temporary and temporary jobs also on the ordinary part of their business, it would be possible to achieve that more people were given the opportunity to enter. And that's what the problem is today, that there's not enough opportunities to offer such jobs without these vicariates and the special exceptions that exist. Then the companies would also dry to try to redo, even if they were unsure whether they needed it for a long time. Doesn't the Council of State think it would help more people get to work – it's also a very important moment we have to have with us when so many people are outside – that private businesses also have the same opportunities as the state to use [[President clubs]]
ParlaMint-NO_2010-02-03.ana.ud2135e583	I just want to say right away that of course we are busy getting as many immigrants into work as possible. So you can have different views on how to do the best. I am also aware that there is some disagreement between researchers about the type of instruments on which the ISF report is based, is the right procedure or not. What's important to us is you don't get a B team and an A team on the labour market. And we're afraid that an approach angle where you open up temporary additions for immigrants will lead to that.
ParlaMint-NO_2010-02-03.ana.ud2135e590	Then Stortinget goes to question 1, which is from the representative Ketil Solvik-Olsen to the Minister of Knowledge. The question has been transferred to the Minister for Research and Higher Education who addresses it.
ParlaMint-NO_2010-02-03.ana.ud2135e596	‘IAs World Energy Outlook 2009 estimates that the world will need more oil and gas in the next decades. Norway has a high potential to contribute to this energy. It is a fact that the oil industry is becoming more advanced and requires highly skilled staff. Therefore, it is important to invest in real science, while encouraging young people to train in petroleum-related subjects, so that we can continue to develop as a petroleum nation. What does the Council of State do to ensure the recruitment of the petroleum industry?’»
ParlaMint-NO_2010-02-03.ana.ud2135e603	I very much agree with Mr Solvik-Olsen that recruitment for real-time and technological studies is very important. Real science and technology provide the basis for much value creation and well-being. And the importance of such competence is increasing. That's why, together with the Minister of Knowledge, I'm about to launch a new real science strategy that follows two previous strategies. Through this new initiative, we show that it will be invested in the entire education cycle, from kindergarten to higher education, research and working life. This strategy has been developed in cooperation with all the key actors of social organisations, businesses, research and education. It thus shows that we are united on a common goal, namely to get more interested in real science. This strategy will be a system-oriented bet. Real subjects are strengthened in teacher training and are more visible in the efforts to develop skills. But perhaps the most important thing we do through this strategy is to convey the importance of MNT, i.e. the education of mathematics, science and technology, to meet the major challenges we face — in addition to the activity of petroleum — for example. with regard to the climate challenges. In initial training, geoscience has been established as a programme subject in the study-specific training programme. The compartment will have an impact on the knowledge of rock and the potential to exploit natural resources. The software technology and research teaching shall provide a fundamental insight into the technological challenges posed by the petroleum industry. For higher education, the strategy includes: formulated a target of 15 pst. increasing the number of graduates from higher education in real science and technology. Many measures will be taken to achieve this objective, including: a math training project named ENTER and the strengthening of teaching in education. Engineering training in Norway was evaluated in 2008 and, as a follow-up to that work, the Ministry has now set up a selection to revise the Norwegian Engineering Training Framework. This is in order to provide candidates with even more relevant training in relation to the labour market's needs for skills. Cooperation between higher education and the labour market is one of the main points of St.melding. No 44 for 2008-2009, Education Line, which is now being treated in Stortinget. There are many possibilities here that have not yet been exploited. I would like to make it clear that in the Storingsbericht, higher education is also mentioned, so there are larger parts of the education than just higher education. I would also like to highlight the importance of research in this context. Research policy specifically focuses on building sound knowledge environments in selected areas. And here we are moving on to further increase the quality of research. I would also like to mention that we have developed a mechanism through the research fund, which ensures an annual amount of equipment – i.e. scientific infrastructure. There are also things that make the technological environments attractive, including for new recruitment.
ParlaMint-NO_2010-02-03.ana.ud2135e620	The signals about investing in real science and much of that research and, on a general basis, engineering training are good. What I'm still focusing on in my question is the petroleum industry, which is our main industry, and how we can stimulate young people to go in that direction, so that we can further develop the industry. The reason for my challenge is that one should not go very far back before the previous oil and energy policy spokesman in SV said: ‘We want to direct young people to areas of renewable industry, not the oil industry. We must govern this politically, and not leave it to the industry." It is a very wrong signal if you want to develop the petroleum industry, even if you have never seen such a good engineering effort in general. What I want to get a clear signal from the Government is that there is no desire to channel young people who want petroleum-oriented subjects, away from there. On the contrary, an encouraging student counsellor in high school and high school should say that the oil industry should also be with us for decades to come, and it is an attractive industry to choose if you want to go in engineering.
ParlaMint-NO_2010-02-03.ana.ud2135e634	There are, of course, limits to how thematically, or professionally, you can be in real-time education, not least in high school. The most important thing to motivate there is mathematics and science, so the real subjects. And what I said about geology is of particular interest in the petroleum industry. I fully agree that we must train people for the oil and gas industry, but also for a converted oil and gas industry, which takes on the fact that we have some environmental challenges. It also requires a different type of insight into pure technology. But the basic thing – I fully agree with the representative in – is to be able to provide good guidance for young people. We are now doing that in higher education, and with a good follow-up in e.g. higher education in not only to get them to study real science but also in contact with working life and social life around it, because it is an important task for our educational institutions that they are in contact with the outside world.
ParlaMint-NO_2010-02-03.ana.ud2135e641	Can I then, with a little kindness, interpret the Council of State so that she does not agree with SV's energy policy spokesman in the previous period, None Marte Thorkildsen, who wanted to politically steer young people away from petroleum-related education? Of course, there has to be an freedom of choice here, so that no one should be forced into this field either. I just want a confirmation of that. I want to go back to what the Council of State said about research. Research is very good, but when you look at the development of the allocations for petroleum-related research, they have stagnated under the red-green government in the last few years. That is also a reason why I want a confirmation from the Council of State that one does not want a sunset approach to the industry. Even in the case of study counselors, there have been several examples of people working in the petroleum industry reporting that when their children go to secondary school and not least high school, they are almost told that the oil industry is not the future. It's a wrong signal if AS Norway is going to develop this industry, that we encourage people who are interested not to apply.
ParlaMint-NO_2010-02-03.ana.ud2135e648	One of the most important measures in the Education Line, i.e. in the Communication now under consideration by the Stortinget, is a proposal to establish a Council, both a national council and a Council at each educational institution, to bring together people from work and society with the management of each educational institution. It is in order to be in touch with society around it and to address as best as possible the need for skills in the disciplines and industries where there is a real need for labour. Then there is something basic in all industries – whether it's the petroleum industry or there's others, in health care or whatever – that you have to have some subjects, which in this case are about real science, i.e. science, mathematics, etc. – and geology, to take it. It is then what is essential for students to be motivated, and together with their educational institution, it is important to know something about the needs of society around them and not to make wrong decisions in relation to the fact that there will no longer be a need for a particular type of workforce. Then I have not said anything about the need for conversion, but of course that is also in the case.
ParlaMint-NO_2010-02-03.ana.ud2135e656	This question, from the representative Henning Warloe to the Minister for Local and Regional Affairs, has been transferred to the Minister for Research and Higher Education, who is directing him.
ParlaMint-NO_2010-02-03.ana.ud2135e659	‘From 2011 onwards, the funding of the specialised schools is introduced into the framework of the counties. This can create challenges because the provision of vocational education is divided differently between the counties. For example, Hordaland County has 20 pst. of the post-school places in the country and 10 pst. by the inhabitants. In what way will the Government ensure that Hordaland County Council is financed by its vocational school offer even after 2011?’»
ParlaMint-NO_2010-02-03.ana.ud2135e666	For the treatment of Ot.prp. No 10 for 2008-2009 on the law on administrative changes etc. the Stortinget decided that the county councils should ensure that approved vocational education and training is offered. As a result, the county councils have also been given extended financial responsibility for the vocational schools. The funds allocated to specialised schools, which were transferred to the county councils' framework grant in 2010, have been distributed this year between county municipalities on the basis of student numbers. The Government intends to allocate these funds from 2011 on the basis of the cost keys of the income system of the county councils. The cost keys are designed to compensate for differences in expenditure needs between county municipalities and, together with the balancing of income, contribute to balancing the financial assumptions in order to offer an equivalent service offer around the country. Through what is called the guarantee of income, counties are guaranteed an estimated growth in relation to the national average. In the municipal proposal for 2011, the Ministry of Local and Regional Affairs will present proposals for new cost keys. In the municipal bill, the government will also come back to how the vocational school students will still be able to be mobile across the county boundaries. The counties are currently conducting technical vocational education. The new responsibility for providing a vocational school offer means that county councils are given an increased opportunity to make local assessments of the types of vocational schools to be specifically organised through government grants. The conversion of the financial instrument will provide the county councils, including the County Municipality of Hordaland, with room for local priorities – this concerns the possibility of targeting the vocational school allocations in the county according to local skills needs and other relevant circumstances. In this context, I would also like to remind you that some private vocational schools received state support from the Ministry of Knowledge budget until 2009. These funds have also been invested in the framework grants of the respective counties from 2010 onwards, and it will therefore be the responsibility of the county councils to assess further grants for these schools. I would, of course, urge the county councils to take care of the diversity that exists among the providers of vocational education and training, not least in the case of the social organisations. I would also like to mention that the Ministry of Knowledge is in the process of setting up a specialist school council, as announced in St.meld. No 44 for 2008-2009, Education Line, and an establishment conference will take place in April 2010. I consider that a national vocational school council will give the vocational schools a strengthened role and contribute to a more targeted development of the vocational school offer. The vocational schools are a very important piece in the Norwegian education system. They contribute to a differentiated training offer, adapted to different occupational groups and different needs in the labour market and may be more focused on practical education than many other higher-level offers. But the government has no plans to weaken this important education offer.
ParlaMint-NO_2010-02-03.ana.ud2135e681	I thank you for the answer, and I fully agree with the Council of State that the vocational schools are a very important offer, and that it is important to take care of the diversity that exists. However, I am not entirely convinced that it will be possible to realise in practice when the funding base for the vocational schools is changed. That's what might be the main problem here, and I've seen that many people have expressed concern for. One thing is that the county councils are encouraged to invest in this and prioritize it, but if there is a reduction in funds for those states that have a particularly well-developed offer, it is really difficult to maintain this offer. The question to the Council of State is whether she feels confident that no county councils come out badly and receive sub-funding for their existing offer.
ParlaMint-NO_2010-02-03.ana.ud2135e686	It is the Stortinget who has decided that the vocational schools should be transferred to the county municipalities, and of course I have great confidence that the county municipalities will take this responsibility seriously. They are already responsible for adult education, and they are also an important regional development actor, with the following close contact with industry and society. And it's precisely where the offer of vocational education is so important that in the dialogue between the county and society, of which it is part, you can find out the best offers in the field of vocational education. Of course, we have a system for both county and municipality councils, with a framework grant that makes them themselves available within that grant, but at least we have made sure by the state at the time of the transfer to add to the framework grant the amounts that we already spent in the vocational schools. Of course, I want to follow this closely and am concerned about having good contact with the county councils on these issues, so that together, both the state and the county council, we can ensure a good vocational school offer in future in all the counties.
ParlaMint-NO_2010-02-03.ana.ud2135e695	The size has previously been stated – I quote the majority: ‘The majority indicate that the Government proposes to transfer responsibility for the operation and financing of vocational education to the regions.’ — It has now become the counties. «The majority agree to this and assume that the financing of the specialised schools has to be reviewed in the course of such a transfer.» Has such a fundamental review been carried out of the funding of the vocational schools, taking into account the fact that the offer between the counties today is different now when this is incorporated into the ordinary framework transfers?
ParlaMint-NO_2010-02-03.ana.ud2135e705	I can answer yes to that question, there have been thorough reviews of the funding. I would also like to refer to what I said in my main response, namely that from 2011, the different parts of the framework grant that the county council receives will be calculated on the basis of the cost keys of the income system. So it's going to be a revision of the cost keys. I then see it as my responsibility to make sure that the technical schools here are taken care of. But I am, as I said, very sure that the county councils see the importance of a good vocational education offer within the diversity that is, in addition to the offer they are responsible for not only in high school, but also in adult education. I hope at least and believe that this is going to go very well, but I'm going to follow closely with the government council that actually has a professional responsibility for the colleges.
ParlaMint-NO_2010-02-03.ana.ud2135e713	This question, from Robert Eriksson's representative to the Minister for Local Affairs and Regional Affairs, will be answered by the Minister for Health and Welfare, who will direct him.
ParlaMint-NO_2010-02-03.ana.ud2135e716	I am delighted to ask the following questions: ‘In the class struggle on 20 January, it appeared that municipalities are building increasingly large institutions for the development of people with disabilities. Organisations of users and employees use the concept of ‘gettoisation’. Responsibilities reform aimed at distinguishing housing and services for people with developmental disabilities and at providing individually adapted housing services. What concrete action will the Council of State take to ensure that these institutional units are stopped and that the reform is implemented as planned?’
ParlaMint-NO_2010-02-03.ana.ud2135e725	We are aware that in some municipalities there are concerns about construction issues where a large number of apartments are collected for people with developmental disabilities, drug problems or mental disorders. I have also seen the look-up in the class struggle. The size has taken the view that special care or institutions for persons with developmental disabilities should not be built up. We're following up on this in several ways. People with developmental disabilities shall be provided with the assistance they need in order to live and live as independently as possible. Those with a high need for assistance often have to have a dwelling that allows staff to be available 24 hours a day. The dwelling must also be designed in such a way that it is suitable for providing and receiving services. The legislation of municipal health and care services states that an individual assessment of the best offer is to be made. The provision of services shall be designed as far as possible in cooperation with the recipient, and great emphasis shall be placed on what he or she thinks. The decision must make it clear which elements the municipality has focused on and which reasons justify the user's best care for his needs, e.g.: moving to a new dwelling. If the recipient or auxiliary worker does not agree with the assessment, the decision may be appealed to the county council. In several places, day-to-day care centres are built and users with extensive service needs are often offered to move there. It may be a good solution, but the municipality must not make moving a condition for providing the necessary services. The right to the necessary services is, in principle, independent of residence. The Health Directorate assesses the prevalence of such cases and the need for specific follow-up. The State stimulates the construction of nursing homes with lucky day services through the investment grants of the Husbanken. The Minister of Local and Regional Affairs and I agree that nursing homes should be adapted to people with cognitive failures. Small units should be built and suitable outdoor areas should be provided. The Ministry of Local and Regional Affairs has clarified in 2010 that this needs to be done when the Husbank grants investment grants. I listen to what user organisations say. The Norwegian Association of Developmentally Disabled People has recently published a book entitled ‘Towards Own Housing’, in which people with a developmental disability show good solutions for establishing their own homes. I am sure that the experience of these people could be useful in planning processes in the municipalities. I have therefore taken the initiative to send this book to all the municipalities.
ParlaMint-NO_2010-02-03.ana.ud2135e740	I thank you for your answer. I would like to first grasp the sentence where the Council of State referred to the clarification that had been made to the House Bank. Today it is that the House Bank guarantees 40 pst. of the construction sum of dwellings for persons with developmental disabilities. But when we contact the House Bank, we see that there are still very big differences in this practice. Some municipalities say that there is no grant if it is not under the responsibility reform or the government's leadership. Other municipalities are not familiar with the responsibility reform or government leadership and give over a low shoe. How will the Council of State follow up on this? Will the Governments make changes to the Husbank’s legislation, so that no grants are granted if the intention of the responsibilities reform and the leaders of the Government is not followed up?
ParlaMint-NO_2010-02-03.ana.ud2135e747	This is a very important question because it is not that we should be able to circumvent the legislation in order to get back to where we once were, when there were large institutions for the development of people with disabilities. As regards the municipalities, the counties and the counties, the Ministry of Local and Regional Affairs has just clarified in 2010 that this legislation on housing for people with disabilities needs to be respected with regard to the granting of grants. I can at least say that this is a problem that I want to address with the Minister of Local and Regional Affairs, because I think it is important that we do not get into the situation of building large housing complexes that can be like institutions. Then I have to make sure that I have not seen the details of the plans mentioned in the class struggle.
ParlaMint-NO_2010-02-03.ana.ud2135e756	I thank you once again for your answer. I am pleased that the Council of State is so clear that she will deal with this with the Minister of State and ensure that there is no institutional structure for this service provision. That also leads me to the next question. If we go back and look at the reform, we see that one of the main goals for users was to distinguish the housing needs from the services on the one hand. Some development plans now use one argument against another, and it is claimed that tuna and housing make it easier to operate the services. Some arrangements have been made for users to adapt to services and services are not adapted to the user. As I understood the responsibilities reform, the services should be adapted to the individual user. How will the Council of State follow this up to ensure that we continue to have a distinction between housing and service provision and that the offer is made in such a way that it is adapted to the individual user?
