ParlaMint-NO_2010-05-04.ana.ud1413e57	The representative of Trond Helleland will put forward a proposal for a representative.
ParlaMint-NO_2010-05-04.ana.ud1413e820	This is a theme that has created commitment. The government parties see that technological development creates new opportunities, but also new challenges for Norwegian books and Norwegian writing culture. They also see that the need for a level playing field between foreign and Norwegian players providing digital services to Norwegian consumers is a key issue for the industry. This is a theme that has been described in the settings comments. The Ministry of Finance has also started work to ensure a level playing field in relation to VAT. This is a work that we face the outcome of. With regard to the one proposal, on the exemption of VAT for e-newsmen, it is also relevant to point out that the Media Support Committee will complete its work in the autumn of 2010. One might imagine several possible instruments that should be given priority to each other. I read the comment so that the Right also agrees with the government parties that one should give priority to those instruments after the sample has completed its work. Value added tax is one of the most important carriers of the welfare state, with revenues to the community of nearly DKK 200 billion a year. Generally, we should be careful with exemptions that erode the legislation. In this way, the administrative burden of managing the charging system is lost, and the departments and other administrators concerned are becoming best acquainted with the area, who are given the opportunity to support different purposes above the expenditure side of the budget, rather than the tax system itself being the provider of cultural policy or policies in other areas. However, in some areas it is right to use the tax system as an incentive to promote changes that we want, as we do. have done with the one-off fee, or as we do for that matter by having several different VAT rates – a general rate of 25 pst., matmoms of 14 pst. and low rate of 8 pst. for certain purposes. I understand the need for equal treatment of products, regardless of how they are distributed. However, the issue of VAT exemptions should be part of the overall tax regime that is dealt with once a year. The size determines how much we should support cultural purposes. Should we support more than today, and in that case is increased VAT exemption the right means of action? Or are we going to distribute the aid in another way? And is it the most important thing for the industry to establish arrangements through VAT legislation, or is it equally important with other types of schemes from the cultural budget? These are issues I think it is important to look at in a context, and it is also necessary to consider the consequences of a tax exemption for other areas. In that case, how are we going to treat e-books, e-news and exemptions from other electronic goods? The working party sees good arguments for non-discrimination between e-books and e- newspapers. However, I think it is good for us to see this in the context of the budget as a whole. The consideration of a proposal which has budgetary implications in the middle of the financial year also makes it more demanding to see differences in the parties' alternative budgets. Last autumn, the unusual situation arose that the bourgeois parties were united to spend less money from the Pension Fund than the Government had allowed them to spend. But if we take into account that proposal for increased expenditure that comes during the financial year, I am not sure that it is an image that is still standing.
ParlaMint-NO_2010-05-04.ana.ud1413e835	It is tempting to start the post with one minute's silence. I am afraid that we have lost the Norwegian language, the Norwegian literature, Norwegian authors, Norwegian publishers and Norwegian bookstores, which is the expertise in this area. It is an industry that will now face a lot of hardship and strong competition from abroad. The Norwegian language will face strong competition from abroad, especially from the English language. I would also like to congratulate the Minister of Finance on having now partially taken over as Minister of Culture. He's a prominent actor in this important cultural field. We have a prime minister who is modern and boasts that he is using iPad and is active on social media. At the same time, we see that the government is old-fashioned and a little forward-looking in terms of assimilation of paperbook, audiobook and the forward-looking book as e-book. It doesn't matter that the Government and the Storting will follow in time. We have a lot of examples that this is not the case. Then I just want to bring out color-tv, which was a trial project for many, many years. During the hearing, it emerged from a unanimous industry how important it is to equalise paper, audio and e-books. A large-scale launch of Norwegian e-books was launched in March after neither the Minister of Culture nor the Minister of Finance had heard the book people's request to make the e-book VAT-free. SV’s representative Lars Egeland has stated that the proposal will not solve anything. No, we're talking about a system introduced in the 1960s that has made Norway one of those countries in Europe where you read the most paper books. Then you talk about this being a cost to the state. No, you want to move those that read from the paper over to the e-- that's zero proceeds. After today's debate, I understand that there is still an unsustainable cultural policy situation – an incomprehensible discrimination against printed and electronic versions. The justification is tax-technical and is assessed by these so-called economists. This is cultural policy. This is not a charging policy. Central cultural values are at risk and the Minister of Culture is placed on the sideline. Norwegian literature and Norwegian language are threatened in a digital future where VAT exemptions will be lacking for the modern and central form of distribution. This will be the beginning of the construction of literary Norway. Do not come and say that the government parties have not been warned, both politically and by the entire industry. The newspaper industry also faces major challenges a day with new technological developments. The newspapers could probably have needed a handshake, or some newspapers might have needed a handshake. In order to create innovation, it is necessary to secure revenues in this digital future. An e-news on PDF file sent to subscribers around the country is more expensive than if the paper is printed on paper and sent by post. In my view, it is also an environmental perspective that we should take into account.
ParlaMint-NO_2010-05-04.ana.ud1413e852	The President would point out that the commitment taken into account, the President had expected the representative to also make proposals.
ParlaMint-NO_2010-05-04.ana.ud1413e855	He does now! I will deal with the proposals that progress is behind.
ParlaMint-NO_2010-05-04.ana.ud1413e862	It's noted. The representative Ib Thomsen has taken up the suggestions he referred to.
ParlaMint-NO_2010-05-04.ana.ud1413e865	The government of Away has a proud cultural history when not only introduced the industry agreement, which was necessary, but was also predictable enough to exempt books from VAT. In other words, the reason was language policy. It was desired that the growing generation read books in Norwegian, that authors could sell books in Norwegian without it being too expensive for those who would read and buy. Those were good arguments in the 1960s. In 2010 they are even better. In 2010, many young people read Harry Potter in English, and they read other books in English. They get used to an English reading culture -- it's more and more common. In addition, when you can download the books, you will have a situation where young people do not have problems getting access to English-language books. And there's also a lot of people who say that it's in the original language that books are best. That will be the challenge for the Norwegian writing language. It is more expensive for Norwegian authors, for Norwegian publishers, for Norwegian book readers to buy Norwegian books, while it is cheaper to buy copies or other, less good books from abroad. A whole culture-Norway loses when the Center Party forgets its cultural-historical tradition and its cultural-historical responsibility and avoids VAT on books. The right focus on the linguistic and cultural aspects. Norway is a small country, and with VAT exemptions, we have contributed to a very high proportion of book readers. In addition, this has led to narrower Norwegian authors being able to sell their books at a lower price. That makes more people write in Norwegian. More readers of Norwegian books, and we have gradually received a well-functioning book market involving both authors, translators, publishers and dealers. To strengthen the Norwegian language, the Right believes that language policy must be technology-neutral and equalise all formats. The irony of fate is that books on paper that pollute — both through transport and printing — have exemption from VAT, and books that can be listened to on the ear have exemption from VAT, while the state has to have money for books that can be downloaded with a mouse click. It's quite strange that the government does it. The fact that the Workers' Party does so is as expected, but that the Centre Party and SV do not have the power to base the cultural aspect in such a big case as this one is disappointing. The supply of English-language books has in a short time become large and at very low prices. Foreign books now have a much larger market to distribute costs and thus can live well with lower revenues per year. book. With VAT on e-books, the price gap against Norwegian books is even greater. A price elasticity related to the placing on the market of books has been demonstrated. In Denmark and Sweden, which is a country it is natural to compare us with, we see that when the price increases by 1 pst, demand decreases by 1.45 pst. In Sweden, the book tax was reduced from 25 pst. to 6 pst. in 2002, resulting in an increase in sales of 17 p.m. On the right, it is very good that children, young people and adults read books in foreign languages, but it could in the long run weaken Norwegian as a writing language and also lead to fewer Norwegian translations. To strengthen the Norwegian language, language policy must be technology-neutral. E-books are cheaper, faster, more flexible, increase availability and are more environmentally friendly, and can be continuously updated instead of one having to wait for the next edition. On the right, it seems pointless that books on paper and audiobooks should be VAT-free, while on mp3 files and in digital format the same books should be charged. It seems as if developments are moving too fast for the Government, using its spinal cord reflexes to cover everything new, to cost what it will cost, and to remedy it in the future. Several will select e-books, and then it is important that the offer of Norwegian e-books is attractive in number, timeliness and price. Perhaps it is time for the Prime Minister to take over cultural policy from the Minister of Culture, because it looks like the Minister of Culture in one field after another is giving up on cultural policy, and it responds very strongly to it. In the case of VAT on e-news, the Right has said that we want to await the suspension of the Media Support Committee. We see that the situation for the newspaper industry is not close to being as precarious as it is for the book industry, which is now ready for launch, and the Storting decision today increases the risk that this could become a belly pad rather than a bet.
ParlaMint-NO_2010-05-04.ana.ud1413e884	Perhaps then the representative also takes up proposals in line with what he said?
ParlaMint-NO_2010-05-04.ana.ud1413e887	It is very good that the President is more eager than the proposers. I take up the Right proposal.
ParlaMint-NO_2010-05-04.ana.ud1413e893	The representative Arve Kambe then addressed the proposal he referred to.
ParlaMint-NO_2010-05-04.ana.ud1413e896	I won't forget to bring up any suggestions! I want to say that Norway is a small language community, and Norwegian authors write for a relatively small audience. It is important to facilitate that they can live by writing, and that the audience chooses to read their books. This was the background to the introduction of the VAT exemption on paperbooks. It's worked. I guess it's worth spending money on Norwegian literature. I understand bookstores and publishers who are concerned when someone wants to take this money from them, but I think it is necessary to start a debate on whether the money can be used differently. It is not surprising that when someone asks the bookstores and publishers if they want more money, they answer yes. I am not primarily concerned with saving money for the state, but I am concerned about promoting Norwegian literature, and then I would like to say that I will not make any changes to today's VAT exemption on paper books, without having any other tools in place. But it's worth thinking that a third of today's money going to VAT exemptions on paperbooks goes to foreign books in foreign languages, and that's more than all the purchasing arrangements in the literature and music fields cost. There are schemes that are important for the narrow literature and that are earmarked for Norwegian authors. This year, these schemes have also been extended to digital books – a small increase, and a bet that I believe should be expandable. There's nothing new about VAT on e-books. It's been for years, even when today's opposition has fallen. The cultural field has had the position that they wanted to extend the VAT exemption. The Ministry of Finance has opposed this. This has been a fixed position for many years that I think we should get out of. That the Storting will reject this proposal today will not mean the end of the debate on VAT on e-books, just as it meant the beginning of the debate. But it would be an advantage if we could have a constructive debate on boundaries in terms of what is an e-book, and whether this debate could also take place within an understanding that we are talking about the use of Community funds, where one penny of lost revenue in the Ministry of Finance's budget is no less than one penny in expenditure on the Ministry of Culture's budget. One of the questions we can then ask is: would it be right to go in for VAT exemptions on e-books if the price totaled is higher than what we, for example. Today, use for the entire Norwegian library service? In my opinion, we need to explore a number of measures, including the effect of a flat culture tax that could be wider than what is currently totally exempted. It is not difficult to agree that there is a spirit there is a need to support, but is it the work of the Spirit in the form of the written word, or is it the work of the Spirit in the form of utterance? We now see a fusion of singers, where the perception of what is a book changes. We don't just get books with pictures, but we get books with animated images. We get video, we get audio, we get interactive, and we get borderlines against movies and music and computer games. If we are to discuss a different VAT regime for e-books from today's system, we have to choose a solution that will sustain technological development for some years to come, including sound and vivid images, in my opinion. And this is not the case with the proposal that was promoted by the Progress Party, which defines the e-book as a digital edition of a paperbook. This will mean that a lot of things fall by the wayside, for example. Large Norwegian lexicons, or other online sources of knowledge and culture, which will never be published again on paper. One point of view I have met is that today's VAT exemption on paper books is a general industry support that enables bookstores and publishers to publish other than best sellers. The VAT exemption on books becomes a contribution from the State in cooperation, where the State offers exemption from VAT from the need to take cultural policy into account by publishers and book dealers. An argument for the status quo will be easily reached. The problem is that today’s system does not stimulate the development of digital services. It is important that the e-book market is not left to English-speaking publishers, where e-books are currently in practice free of VAT because there is no system to collect them. I recently had a meeting with those who make the Norwegian WiMP streaming system. They said we can pay 30 pst. VAT, just our competitors do the same thing. Therefore, it is urgent to impose a duty on the delivery of digital products from abroad, which I understand the Ministry of Finance is now working on, and which we hope will be put in place in the state budget for the autumn. There will then be a level playing field between Norwegian and foreign e-books. In the case of newspapers, we are waiting for the Media Support Committee's investigation.
ParlaMint-NO_2010-05-04.ana.ud1413e915	It is important to promote the reading of books in Norwegian. The centre party agrees and supports it. It's part of our cultural heritage, and as we know it's all culture. It's the dynamic. That's the changes. That's what's alive. That's what has life's right in the future as well. Norwegian language is part of our common identity, and it's part of our community. The Centre Party’s cultural policy efforts were mentioned here, and the reference was among others. former representative Hovdhaugen from Venåsen in Ringebu. He stands like a bauta in this work. We who are today have a bit of a task to follow up on the work he has done. The question today is how to support reading books in Norwegian through zero VAT, low VAT or appropriations. There is a discrimination between printed and electronic media. Printed goods are goods, while electronic services are services. This uncertainty about future framework conditions pushes the e-boxing of Norwegian publishers further into the future. There is a need for clarification. The centre party believes, as several have said here, that similar goods and services should be treated equally in terms of VAT. It is important and necessary that the Ministry of Finance has started work on imposing a duty on supplies of digital products from abroad to consumers in Norway, so that there is a level playing field between foreign and Norwegian operators. The technology for e-books is spreading rapidly, and too many types of books are reason to expect a lot of sales. The Red-Greens in Stortinget have asked the Ministry of Finance to work more quickly to clarify the matter. However, it is natural that changes should come to the annual government budgets, through careful assessment and with delimitation of goods and services that are not related to the promotion of the reading of Norwegian languages. Clear rules reduce red tape as a result of a small room of action, so it is important that you get that job done well. In the case of newspapers, the Ministry of Culture has reduced a sample, the Media Aid Committee, which is to make an overall assessment of the use of grant schemes and other economic instruments, including the VAT exemption for newspapers, a VAT exemption which also applies to unemployment newspapers. In general, the exemption for ransom papers is known as the VG tax. It is one of the most lucrative schemes that such enterprises have, with a size of the aid compared to those that have to pay VAT, of 500 000 DKK per year. annual work, which represents a far, far greater amount than the press support for the relevant newspapers, on which there is so much discussion. But all of this is now being reviewed in the Media Support Committee. Technological development creates new challenges for Norwegian script culture. There are many positive possibilities for the production and distribution of e-news. It allows both cheaper production, cheaper and faster distribution and better availability. In this respect, it is important to see the coherence of the framework conditions and the relationship between production and distribution – in terms of production: joint treatment of both the printed paper and the e-news, and in terms of distribution: to facilitate electronic distribution through fibre cables. This is not possible across the country without a switch to a demand-driven and not demand-driven expansion of fibre networks in the country. The framework conditions for production must also be seen in the context of the framework conditions applicable to distribution in order to be able to distribute to the whole country at the same time, thus achieving a complete and good national policy. In the case of newspapers, the opinion of the Central Party and the rest of the government parties is that one comes back to this in the State budget. And as I said, it's important that there are clear boundaries between newspapers that are going to get lower VAT and the printed magazines and publications that are not going to get it. We expect this to be one of the key challenges facing the Ministry of Finance when looking at both the framework conditions for books and newspapers.
ParlaMint-NO_2010-05-04.ana.ud1413e932	As others have pointed out, there has been a 40-year resistance from the Ministry of Finance to exempting books from VAT. So one might say that there is a tradition that I feel is being followed up in the answer letter from the Ministry of Finance in connection with this proposal for a representative. I also think there is a change in the Ministry of Finance's argument. I don't know if it has to do with the change of state council, but when Kristin Halvorsen wrote about this – and it's also referred to in the setting – cultural policy arguments were actually used for exemption. In the letter from Sigbjørn Johnsen, if you look for a long time, you might find an indirect argument in the same direction. But I think a more important moment for Sigbjørn Johnsen has been the following sentence: “The pressure on the VAT system is great.” I think that is also the basis for such a vague majority position that we have. Does it really say that the majority wants equal treatment? Actually, it doesn't, either. It's just saying that this is going to get you back to, and that there's a lot of delimitation challenges. So when Johnsen is going to have the floor, I would like to challenge: does the Minister of Finance think that it is right and reasonable that there is equal treatment, after all, whether you have VAT or not, of books, as we know today, and of what is distributed electronically, or does he think that it is right that there is discrimination? The same question also applies to newspapers. On the part of the Christian People's Party, we are in favour of the proposal for a representative. We are aware that we are in the middle of a budgetary year, but as the hearing clearly showed, it is not the proceeds that are here the big challenge at all. That's in case of a completely surrogate argument. The question is, however, what are the consequences of not making this change? It was also striking in the hearing that there were quite clear, from all operators in the industry, referring also to what happened when the VAT exemption was granted on books in its time, that this had a positive effect on the industry and thus the Norwegian language. With regard to the second proposal, which concerns newspapers, our position is that it is entirely right that we should get an investigation from the Media Support Committee, but regardless of that, the principle of non-discrimination should apply. That is why we support the proposal as it stands. Then we may come back if the Media Support Committee would recommend a common VAT, for example, and decide on it. The point here for us is to decide on the principle of non-discrimination. So I've explained our view, and I'm actually facing a slightly clearer lead from the majority, whether you think you should have a change, or whether you should maintain the status quo.
ParlaMint-NO_2010-05-04.ana.ud1413e945	I want to use a few words to say a little bit about the VAT system, and what is the point of the VAT system – I want to start there. The VAT system is a general consumption tax and has the primary purpose of providing revenue for all the good purposes of the State budget on the expenditure side. It is a general system, the most ideal VAT system has one rate, so that it is to the extent equal treatment of different goods and services, and it is a simple system. There is probably also some reason why the system has been introduced in over 150 countries. We need a system of VAT that is simple and efficient, and we have also had an earlier discussion here in the Stortingen on business simplification. The interesting thing is that the more complicated the VAT system becomes, the more loot and staple it becomes for those who have to practise a VAT system with many different rates and exemptions and purposes. I also think it is important to have this discussion, that the more different purposes a tax system or a VAT system should have, the more complicated and eroded it becomes. And we have a practice in Norway that when we want to achieve good purposes, it is easier and more focused to do it directly above the state budget. In addition, VAT exemptions are self-evident that there is no framework regime, but the value of an exemption increases with turnover. For example, the VAT exemption for VG and Dagbladet together amounts to more than the total amount of press support. So there are aspects of this that I think it's important to discuss carefully. The general rule is that you have a VAT rate of 25 pst. Then you have a 14 pst. on food, then has an 8 pst. on some services, and then a zero also has on some things. The representative's tendency was within parts of the history, and the interesting thing here is that the exemption from both books and newspapers has been there since the VAT system came, from 1 January 1970. And, as the representative Tenden correctly said, books were exempt from the turnover tax in 1965. In fact, there were leaves of the week, etc. already exempted from 1935, with the reason that it would be too complicated and create too much trouble to charge that fee. So I'm not going to go any further into history, but when you look at the justification, it's partly about more tax-related issues, but also, of course, historically, is a justification for the desire to take care of the Norwegian language and special cultural policy interests. So today's exemptions amount to about DKK 2.5 billion, if we include both newspapers and books, and if one were to introduce a new exemption, for e-books, it would come to the top. So there's a more complicated question than here and now just saying that we're introducing VAT exemptions on e-books. My main point is that the debate we have today, and the issue we have today, is part of a more comprehensive discussion of the VAT system, in which one must of course also make it possible to call cultural policy balances between a VAT exemption, which is on books today, and other things that have a cultural policy side. From the Ministry of Finance, we will follow closely what is happening in the EU, because the development of online commerce is something new, it has only been speeding up in recent years, and I know that many countries experience much of the same thing Norway is doing, that a question arises as to how to intervene with this growing online trade, which in many ways helps to erode some of the tax base in other areas. So we have to see this in a larger context, follow up on what is happening in the EU, await the position of the Media Support Committee, and when these things are on the table, the Ministry of Finance will carry out a comprehensive review of both the e-book and the whole system of exemptions, or other rates, on various writings and culture, both on the basis of a fee and, as I said, a cultural policy assessment.
ParlaMint-NO_2010-05-04.ana.ud1413e960	It's going to be line change.
ParlaMint-NO_2010-05-04.ana.ud1413e963	I thank the Council of State for information on the history of VAT, but that was a reason why VAT exemptions were introduced on books in the 1960s, namely to promote the Norwegian language and Norwegian authors, and to change the framework conditions for the entire industry. It forgot to bring with you the Council of State. He also didn't mention anything about the proceeds, the calculation, when the department says that this will cost too much. Can the Council of State say anything about that? Can the Council also say anything about this by treating paper books, audiobooks and e-books in a non-discriminatory manner? Does not the Prime Minister – excuse me, the Minister of Finance – see that this threatens the entire industry and that these are important cultural policy instruments?
ParlaMint-NO_2010-05-04.ana.ud1413e970	I certainly believe that I also said that there were fiscal arguments to exempt books from VAT, but also linguistic and cultural policy arguments. So that discussion we've had with us for a long time. So I mentioned in my post that if you look at the value of the exemption that is there today on books, newspapers etc., it amounts to about DKK 2.5 billion in proceeds. I believe that an important part of that discussion is whether that proceeds could be used, for example. cultural policy in a more targeted way than what we see today. It is part of this discussion. It is uncertain to calculate any proceeds of exemption on e-books, but in that case it will be in addition to the DKK 2.5 billion. Otherwise, I agree with the representative that the best thing in the VAT system is when you get a level playing field between different goods and services, and I really think that the discussion we have today deserves us to see the whole problem in an overall context.
ParlaMint-NO_2010-05-04.ana.ud1413e979	State Council Johnsen began his lecture to the Stortinget with the point of VAT. The point of the opposition's proposal is books and cultural policy, and it has something to do with which approach you choose. This is a classic problem of this government in this Chamber: for every proposal that comes from the opposition, you refer to budgets, and you will not do anything. But if the government wanted to do something about VAT on e-books, you could do it. The government feels that in terms of the revised budget, the government likes it like an open fine in the case of state budgets. In other words, you don't want to do anything about it. Billing representative Gunn Karin Gjul says that VAT cuts do not erode the VAT system. Do the councils agree with their own cultural-political spokeswoman?
ParlaMint-NO_2010-05-04.ana.ud1413e988	It is probably not very surprising that the Minister of Finance is concerned with the income of the state. There are a lot more people who are concerned about government expenditure. It's important that we get income into the treasury, and VAT represents an income of about NOK 200 billion. So it's natural for me to be concerned about it. What's quite clear, and as all the experience suggests, is that if you give an exemption in one area, you're always getting a discussion about boundaries up to new areas. And that's some of what we experience in connection with this case. I also think that if you remove a VAT rate, it is basically a lost proceeds. A feeling that it should lead to increased proceeds is, of course, a kind of dynamic effect that it should lead to increased turnover in other areas. However, from a more fiscal point of view, an exemption is a progeny top.
ParlaMint-NO_2010-05-04.ana.ud1413e997	The representative Thomsen was about to refer to the Council of State as Prime Minister, but I also saw that the Council of State had no objection to it! Maybe that would have had an effect on the answer? I don't know. I heard in the post from the State Council Johnsen that he was concerned that it might be better to make visible the support like that. a VAT exemption means, by having it on the expenditure side of the budget, that is, as a subsidy. My question is then: is it the government's basic starting point for the matter we are discussing here, that you want to give support rather than a VAT exemption?
ParlaMint-NO_2010-05-04.ana.ud1413e1005	So there should be no misunderstanding about it: we have a very good Prime Minister, and I am well pleased to be Minister of Finance! My point was that to the extent that we have an established system that if there's something you'd like to build up under very focused, it's more focused to do it through the budget than in a way to erode the tax system. One of these was the dilemma when a major tax reform took place early in the 1990s: there were too many exemptions and deductions in the tax system, and a replacement of a broader tax base with lower tax rates. I believe that what the representative Syversen refers to must be part of the overall assessment that the ministry is going to make. And at the bottom there has to be an attitude that different goods and services should initially be treated equally with regard to the charging system.
ParlaMint-NO_2010-05-04.ana.ud1413e1016	In yesterday's class struggle, two editors from Aschehoug and Gyldendal went out and said that they would postpone the e-book launch. To the class struggle, Nygaard says that if you do not find a solution to this question, it will be the beginning of a reduction in literary Norway. So my question to the Minister of Finance is, does he want to find a solution to the challenge we're facing?
ParlaMint-NO_2010-05-04.ana.ud1413e1023	As I said in my post, there are three things that are important to do now: it is to look at the evolution of the EU system, to await the Media Support Committee and, on the basis of it, to carry out an overall review that also includes the e-VAT case. In this respect, it is essential that a person should seek to find a solution that will enable both a good charging system to exist in the future, and also support under the important cultural policy measures. Otherwise, with reference to a quote in the Evening Post from the relevant publisher director, it is a saying in the Hedmark that ‘the great words get a spare until it becomes possible to use them’. I think it will also apply in this case.
ParlaMint-NO_2010-05-04.ana.ud1413e1030	The Council of State has shown that the Media Support Committee should now be waiting for it to take a look at developments in the EU, and then the Department should investigate. I think I already hear that it will go a few years! The problem now is that this is urgent. The e-book market has been lying and waking up – it has not become detached. Now it's getting loose! Amazon and the major actors internationally are implementing their systems for this. It's an incredibly important point that we have systems and distribution systems that come out of Norwegian environments, Norwegian conditions. The whole gravity of the digital market is enormous and turns out to be very monopolistic, also in an international sense: Wikipedia, Google – I mention in a number of large, heavy international players, who are pushing on. The problem in this case, unlike part of the other thing being discussed, is that if the industry doesn't get a clear answer to where this is going, we won't get the Norwegian-based systems started. Is the Council of State concerned that we will not later get systems for the distribution of e-books that come out of the Norwegian industry, or does the Council of State think it is entirely right that we will be referred to Amazon, Google, or who it should be of the big ones, in the future?
ParlaMint-NO_2010-05-04.ana.ud1413e1043	This is in many ways a debate that depends on which end you see the problem from. One way to look at it is to ask the question of whether current legislation prevents the development of new technologies and digital solutions. There's one discussion. One could answer by saying that no, it is rather that today's VAT exemption for the printed word – that is, ordinary books – is one of the challenges, not that a lack of exemption for digital versions. That's one way to think about it. As far as I know about the matter, it is now working under high pressure in the EU to try to arrive at common rules, both in terms of online commerce and the issues we have raised here, and the Media Support Committee will be presenting its opinion later this autumn. I promise that we will not use winter and spring to answer this question. It is an important question — both the single issue we are dealing with today and the fact that it is related to the VAT system as a whole. So we're not going to spend more time than necessary.
ParlaMint-NO_2010-05-04.ana.ud1413e1050	The cord shift has thus been completed. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2010-05-04.ana.ud1413e1055	Olemic Thommessen is concerned about the competition from English e-books, and so am I. That's why it's very important to get equal treatment. We hope that it will come into place already in the autumn budget. As the Council of State said, there is a high-pressure job in the Ministry of Finance. It is important for Norwegian e-books, but it is also important for an actor like WiMP, who has 150 jobs and who threatens to move to Sweden if they do not have a similar tax regime. The representatives of Kambe and Thomsen believe that we who make up the majority do not understand technology, and we are almost compared to those who opposed color television. Those who say that, are the ones who demand equal treatment bound to variants of the paperbook as the original. It is, in my view, backward-looking, and it will in fact quickly become a hindrance to the transition to new technological platforms. We need to find more intelligent solutions that can last over time. The case rapporteur asks what we can expect from the sale of e-books, and she answers that we can expect a lot. I agree with her. Ib Thomsen says this is going to be about zero-proveny -- a direct transition from paper to e-books. I think that is due to a lack of understanding of both what is the driving force of the economy in society, and – not least – an understanding of technology. I'm absolutely sure the e-books are going to become more important, but I don't think they're going to replace the paperbooks. We can see that in the libraries, where the use of digital sources is going to be very bad, while the use of paperbooks is fairly stable. And we see it when it was said during the hearing that only the University of Oslo in the past paid 7.5 million. kr in VAT on what I want to define as e-books, and last year 11 million. kr. What we see is really the same as we've seen in phone use. The countersteps have become cheaper, the phone is more accessible, and most of us today spend more money on the phone than we did when the phone was large and gray and had a record and stuck in the wall. We are facing major changes in the production, sale and use of copyright works. At the same time, I agree with those who say that there is a greater need than perhaps ever to protect Norwegian language and Norwegian literature. But this has to be done in a thoughtful way, and I encourage the industry to participate in a constructive debate on that. I also hear that the Minister of Finance says that we need a complete discussion, and that it must include both the Ministry of Finance and the Ministry of Culture – and come into contact with the State budget. So these I think are positive signals.
ParlaMint-NO_2010-05-04.ana.ud1413e1066	The fact that the Minister of Finance has become Minister of Culture shows this debate. It is incredible that there is no one from the cultural fraction of the Workers' Party present in this debate. But maybe they don't dare to take the debate. It is also very bad that this case has become a financial debate where it is about proceeds – a budget debate instead of a cultural debate. It is incredibly bad for the industry that this case has ended like this. The only little snout of sparkle was actually when the representative Lundtigen spoke of equal goods for equal service. And that's what we're talking about here. If it's newspapers or books, we're talking about VAT for the same content. We're not talking about replacing books, which Aegean was in, we're talking about the same content as in the books, which can now be put into the e-book or in e-newspapers. It would have been exciting if the Minister of Finance had talked to the Prime Minister, if he might want to download a book on the iPad that he brought with him across Europe, or if he wanted to book in hard format – whether he sees the difference in it when it's actually the same content. But this government has put much more into this matter than is necessary. Egeland talked about it being a topic for many years. And maybe that's the problem -- maybe the Storting is just old-fashioned, old-fashioned, maybe we're all a little backward-looking. I'm going to honestly admit that six months ago I actually didn't know what an e-book was. But I know that now, after meeting with the industry – the media industry and the book industry – that actually screams after the Government, or the Storting, is now acting and taking the situation out there seriously. But instead, it is to be investigated and investigated. And as we investigate, we get new technology. There's so much happening in that industry that it's important that the Bigholding shows action. It is important to promote Norwegian literature, and it is important that the industry gets the tools it needs. What happens now is that it's the industry that has to suffer from it. So that's why I want to say that this is actually a sad day for the whole industry, when the government and the majority of people are unable to see the importance of having a VAT exemption on the same product as a regular book, as an e-book is.
ParlaMint-NO_2010-05-04.ana.ud1413e1081	The Minister of Finance thought that the problem here was that there was VAT exemption on paper books and that that was what created the imbalance. Then the Minister of Finance is wrong. The problem is that on the international service, eBook, there is no VAT, which means that any Norwegian operators on the market will have a handicap if they want to start. They start from a small market, with low earnings and very difficult concepts to actually make money. And you have to do that in order for someone to spend their savings on getting these systems working. What's a little motivating is that this debate is riveting into several debates where the government is completely out of strategy with regard to the transition to digital platforms. We have had several rounds with the Minister of Culture in recent times, including: on Great Norwegian encyclopaedia and the transition to the digital knowledge dissemination platform, where it is argued entirely squarely with purely commercial arguments and where restrictions are relied on in the EEA system. The problem is that we are facing the fact that the Ministry of Finance is the largest contributor to Norwegian cultural life. It is the charging systems, and it is the structures resulting from the charging systems, which are the main incentives for the development and development of cultural distribution channels. The issue of later government not being able to deal with the transition to digital communication, which means shifting the whole system, even in relation to the tax. It is striking how absent the Minister of Culture is in this. I might have thought that the Ministry of Culture and the Ministry of Finance had talked more about this, so that we had been given clearer signals about what strategy and what the main action the Government would be working on in this issue. So you're not willing to rush into this specific issue of e-books. What are we really talking about? Now let's say they had sold 200,000 e-books, for example. $250.50 (U.S.) That's far more than you think, at a much higher price than you think. In that case, we're talking about a $12.5 million proceeds. kr, which is relatively small, not to say ‘buttons’, in relation to the amount we otherwise talk about. Another fact is that the experience from the United States tells us that the e-book passes the paperbook – it's not that it comes to the top of the paperbook. This means that the total contribution to Norwegian literature sinks in line with the e-boxal, and that the Government undermines the system that has been used to support Norwegian language and Norwegian literature.
