ParlaMint-NO_2010-05-31.ana.ud2225e36	The representative No Marte Thorkildsen, who has been licensed, has again taken the seat.
ParlaMint-NO_2010-05-31.ana.ud2225e566	I understand that it is tempting for the opposition to do this as a debate on government and not government, as this is one of the few issues the opposition has managed to gather on. Let me hold on to the fact that this is a debate that is about the submarine outside of Fedje. It's a very important thing to run political reindeer games, or what I'm going to call it. U-864 has to be history. 65 years after the end of World War II, most of the wounds are after the war, but in Hordaland, at Fedje, we have one that still bleeds: U-864. The submarine is one of the biggest environmental threats on our coast. Nearly 70 tonnes of mercury lie on the sea bed as a ticking bomb in metallic containers that have now remained for over 65 years in salt water. There are no guarantees as to how long they are going to last. That's why the submarine has to go up. That's why the submarine has to go up. No one can live near the submarine wreck without worrying about its effects. The submarine must go up to the people of Fedje, to the fish of Fedje and to the coastal people of Norway, and it must also go up to our environment. Now it is obviously no simple matter to raise an old submarine full of mercury. Therefore, the project has to be ensured environmentally and quality is to be ensured. But let me also encourage the Council of State to give the matter the highest possible priority, because it is actually a matter of urgency.
ParlaMint-NO_2010-05-31.ana.ud2225e575	Hordaland is a beautiful country, and Fedje is a great place on earth. Out there, there's been an impressive commitment to raising the submarine and getting rid of the mercury, which has doctors like a ticking environmental bomb in the rich coastal environment. It has also been an important local policy issue, and we in the Central Party of Hordaland have worked to ensure that the people have to listen in this matter. It has also been done by the government, but if it listens to the debate today, it may seem as if it is very unsavory. But the goal we're all a few about. All the parties on the Stortinget are some that the mercury is going up and that the submarine is going up. The Governing Councils have today made it clear that the 2009 decision will be followed up. Governments have shown that coverage is out of date, but it is included in KS1 for formal reasons. Also the red-green ones on the Stortinget are some and clear that the goal of raising is fixed. Of course, we are impatient and want this to happen as quickly as possible. Of course, it is tempting to vote in favour of the opposition’s proposal, which could mean faster implementation. But in this case, the most important thing is that one is thoroughly banned, and that one does not gamble when it comes to security and the environment. So I actually thought it safe to take an extra round, so you're quite sure when a raise process is started, that you've done all the preconstructions that you can, because there's also a risk of a raise.
ParlaMint-NO_2010-05-31.ana.ud2225e585	The government does not lack the ability to decide, but lacks the ability to implement and emerges in this matter, after ten years, as undecided. It's back and forth, and you scald and pick, not only with the population, but also with the environment – with seafood and fish. I'm calling for the courage to make a decision. I am a little surprised to hear the debate today, that we have a submarine lying after World War II in Fedje in the West, should be one thing just for Fedje and for the coast along the West. This is about an international challenge, and I am surprised that there has been no more progress in the debate. With more than 67 tonnes of mercury and the risk that this mercury goes from metallic to organic, we are endangering the genetic material of all people living in these coastal areas. It also applies to the fish in the sea. Therefore, it is very important that governments not only decide back and forth but also actually implement. I also want to ask the Council of State what is wrong with the report that Veritas actually submitted, which was a continuous quality assurance of what was before it. So U-864 contains 67 tons of mercury, and it could be uranium. If you read the book on Hitler's will, which describes this matter from end to end on the day it was discovered, it concerns significant elements, which are themselves a danger to the environment, not only at sea, but also to land. It's a ticking environmental bomb, and so the government can't clear up the waters that are our own, but has always focused attention on other countries' lack of clearing in their own areas. It appears to be a double morality, and you're yelling at others, for example. in the case of Sellafield, Nikel and the rainforest. I also think it is important that the Council of State still has a review and perhaps informs the Storting about what is wrong with our own bodies, such as the Coastal Agency, which to those degrees has received a flagrant criticism in the Dovre Group report. It's high time we made a decision. In this way, I must say that I am pleased with what is the setting from the Right and cooperating parties in this matter.
ParlaMint-NO_2010-05-31.ana.ud2225e598	There are many requests that you could send in this case. I'll send one. I have looked around in the hall, but I see no representative from the Workers' Party's group management. Group leader Helga Pedersen, who has played an important role in this matter in the past, and who has been open and listening to what the Storting has been about, I don't see. Nothing is fixed in this case, not even the submarine is fixed. It's on a slope. However, perhaps more important in terms of the policy and policy decisions that have shaped this matter from January 2007 until the last day of May 2010, is that nothing has been determined. Everything has changed along the way. Let me also point to some of the things on page 4 of the proposition, to which others have referred, and which I now refer again: ‘The pilot study will be subject to external quality assurance of design choices [[KS1]] So they've framed the four options, two of which contain cover. Yes, then, in the Progress Party, we are anxious that we get the same noseache kneecap for the investigation, i.e. a KS1 that is now shown above the conclusions in KS2 that you follow what the consultants put on the table. It gives cause for concern, and in our view it underlines and reinforces the fact that the government has not decided at all. So no matter what the state council repeats and repeats that there's only a lifting that applies, the government says something completely different. Until the Council of State can rule out this wording that it is the concept selection investigation that actually determines which option is chosen, the uncertainty lies there and the threat that the most environmentally risky solutions, namely coverage or partial coverage, are actually chosen. I will ask to come back in a later article. In conclusion, I should just pay attention to reminding myself of the framework of this matter. So this is not a Fedje case, it's not a Hordaland case, it's a national case that concerns Norway's reputation as both a fishing nation and an environmental nation. Once again, you seem to be the best in the environment, and something worse at home.
ParlaMint-NO_2010-05-31.ana.ud2225e616	There is no doubt that too very, very many people see the government in this matter as both the action frame and the confusion. I do not think that today's debate has clarified anything more about what will happen in the future. On the one hand, one says that one should proceed, including coverage, and on the other hand, the Council of State states that the government is still insisting that raising be done. The question I'm left with then is how long does the government stand by it. Can we be sure that in six months' time the government will be on the increase as well? I think there's a lot of uncertainty about that. Now I'm from North Hordland, from this area. I just have to say that there are a lot of people who feel cheated by the government. They feel that this goes into a pattern, where one says one thing before the choice, and then another thing after the choice. This is something that many people are concerned about. When I go down to the center, people come and ask, what time should the submarine be raised? When I go to REMA 1000 and I go shopping, people come to me and ask me, what time should the submarine be raised? I have to say that it's actually very uncertain, and that it's going to show you in the future. It's a pretty big despair. The last time I was home, there was one thing that got away from me and pointed to the restrictions, that some groups shouldn't eat fish from this area. Then he says quite dryly to me: yes, when we can't eat the fish from this area, we get to nail him to the wall instead and use him as a thermometer. Of course, it wasn't seriously meant to be, but it shows a bit of despair and the gallows humor that exists in this case. A desired action, a desire for something to be done. So this is not only true for Hordaland, this is of course a matter that puts the whole of Norway at risk as a fishing and environmental nation. I had therefore hoped that the Council of State could be clear on this matter and give a guarantee that the submarine will be lifted as soon as possible, that one could go up and clear that people in the vicinity of Fedje and Hordaland – and so far along the entire coast of Norway – could be 100 pst. ensure that the submarine is raised. There would have been respect for that. Unfortunately, there is currently no such thing from the Council of State, and I don't think it's coming either.
ParlaMint-NO_2010-05-31.ana.ud2225e627	I take the floor to give peace in the soul to the representative Bjørnflaten. The representative Bear Surface takes this up with the zero option. I think it's very clear in the proposition. It says that the zero option is only there as a reference option, i.e. that there is no such option for the government. The problem is when you also have full coverage as one of the options that you want to select from. Then it helps to create confusion. I think it would have been more natural if the government had said that now we should raise the submarine, we're going to work it out, if one needs more time on it, and then we'll look at the full lifting, put forward a work and go into it. What is now creating confusion is that one is doing several things at the same time, and it has gone to the Storting and said in full certain terms. It's so clear in the proposition, and it's part of creating an uncertain one. So has a teken up the question of whether there's an uncertain link to this. Then I want to show that the Norske Veritas has been working for a year and a half with preliminary work related to this. They're doing good for this. So does Lloyd's, who has also given his approval for this work. I feel that the professional uncertainty here is very small. The Dovre report has been widely welcomed, and we have been given the arguments clarified by the work that the Storting has done. That's why there's no gambling – an expression that's been used from this pulpit – what the opposition does, but it's actually to do this work as quickly as possible. I am still more relaxed now than I was a few weeks ago. It was also mentioned in Bergen’s Official Journal last week that the representative Rommetveit was not on the festival opening because he worked so hard on this matter. What I'm experiencing is that the government party has also made it clear the last week that the submarine should be lifted, and that one is working on it as a goal. I therefore look forward to the 2011 state budget, which will provide us with guidance and information about that. So I would also say to the representative Brandvik: The fact that the Christian People's Party is not involved in exactly that part of the setting that relates to the Hordaland Labour Party has no reason to say that there is no lack of trust between the Christian People's Party and the Hordaland Labour Party.
ParlaMint-NO_2010-05-31.ana.ud2225e640	I'm a politician because I want something, I'm a politician and I think it's nice to be a politician. But it's sometimes that I'm horrified at the political game. In my simplicity, I actually thought this was a relatively simple matter when it came to the committee. For there is a KS2 report that is clear that there are uncertainties here. Then it is in my head that it is responsible to go one more round, even if there are reports that say the opposite, and even if there are companies that are going to do the job that say the opposite. Does the opposition not see that there is a cause for some uncertainty in this matter? Does the opposition not see that the uncertainties are present? I am amazed that the opposition is rising above the professional advice that, after all, is there. When Arne Sortevik, as the rapporteur-in-Office, says that the government has a postponement as an instrument, it is completely wrong. This is because you need time to make sure that it's safe, that it's safe and that it's best for the environment you choose, when you have to raise the submarine. When the Advocate General, Sortevik, says that it is completely sound and fully possible to lift this submarine safely, yes, he can certainly do more than I can, but the professional advice I have seen – at least some of them – says that it is not absolutely certain that it is professionally sound and fully possible. That's why it's a good idea to take another trip. When the Progress Party is for the system of KS2 reports and quality assurance, but against the content of the reports, yes, then I start to wonder. And when the Progress Party says that it is unnecessary and irresponsible to postpone, I ask the question: what makes it so sound that the Progress Party and the opposition propose, which is that we are going to go on with 100 pst, and now we are going to do this as the KS2 report sows at least a little doubt that is proper to do? What we have stated in the Chamber today is that an overall increase is in favour of raising the submarine, but the opposition is helping to create uncertainty among the population of Fedje, among the population of Hordaland and among the population of the whole of Norway, for that matter – because I agree that this is a national matter. I think that's a political game that's unworthy, and that's why I'm a little stated today. It is not worth helping us to create this uncertainty when we can determine – and I will use my last seconds on the platform to do one more thing – that we are all for the submarine to be lifted. But some of us are probably even more to make sure it's raised in a very safe way.
ParlaMint-NO_2010-05-31.ana.ud2225e647	It's interesting to hear the red-green parties talk hot about investigating environmental policy. Had it been just as hot to talk about in climate policy, probably many things had been done differently. We need to spend as much money as possible in the shortest possible time and to investigate as much as possible. After all, the Minister for the Environment was down in Indonesia and distributed 6 billion. kr there. There was no need for investigations. It was just getting the money out there, and then you could go home and say that you've been there and contributed to the environment. Then it becomes immediately more difficult when you get home and have to clean up in your own garden. It was seven years since this submarine was discovered. Then you've been back and forth in these seven years, and there's still some uncertainty. Now you say you have to cancel it, but who has a guarantee that something new comes into it at some point that makes you start to review it all over again? The people out there have now waited long enough. The uncertainty they've lived for long enough. Now there's one thing that remains, and that's getting up the submarine that's lying there, and getting action done behind the decisions that have been made. Some have highlighted the uncertainty when lifting this boat and said that they should therefore investigate. Yes, but there is another uncertainty in this too, and now I quote from the Hordaland Workers' Party resolution, which actually has some things in it that show that there is a glimmer in the Workers' Party as well. It says: ‘The mercury leakage from loading is now estimated at about 3 kg per year. It is alarming in itself, and no one can guarantee that the leakage can't increase dramatically rapidly." The representative Barstad of SV also said that the submarine is there as a ‘ticking bomb’. My question is, how long are you going to figure out and figure out while there's a ticking bomb there, which can develop into a dramatic situation during the time you sit and investigate? I think that the people of Fedje and the surrounding area also have a big question mark. The question is whether these two things are balanced against each other – raising them as quickly as possible rather than continuing to investigate and investigate. This is a government with great visions of environmental policy, it is a government that is willing to use large sums, but that has stumbled into quite a number of issues. We are very many who have been waiting to see at least some results of all that rhetoric. You have the opportunity to show it in this case here, but it doesn't seem like you want to do it here either. We hear the council say the submarine has to be lifted, and then you say there is no timetable, there is no guidelines – everything is floating. No one knows when anything is going to happen in this case. It's not very reliable, and it's not very good news for the population that's still going to live with this uncertainty.
ParlaMint-NO_2010-05-31.ana.ud2225e659	I would first like to thank you for your recognition that I am very committed to matters that we are going to deal with, and in particular in this matter. And I have. I am also proud of the government and the consensus we reached a year and a half ago. That was also why I was very surprised when the Dovre report came that this is almost a slaughter – it is hardly a parliamentary expression so that I get to say desauvuration – of the role and ability of the Coastal Agency. I believe that this relationship has received too little attention, but it has received attention elsewhere. The Coastal Works, which is thus a state agency, and their lawyer Frithtjof Herlofsen from the law firm Vogt & Viig have found reason to defend the Coastal Works – in a 12-page letter – against the attacks that the Dovre report ordered. I guess it's a paradox. I'll be allowed to quote from another report, which I think is very interesting, namely Lloyd's report on feasibility: ‘Lloyd’s Register concludes that the proposed plan is technically feasible. The equipment and techniques proposed have been assessed as available and well-tested technology.» With regard to the complexity of the operation, this project will be ranked among current underwater projects in the oil and gas industry. No, we listen to professional conclusions, and we listen to them. I want to remind the Bjørnface that it was the government with the support of Stortinget that would have the case back for a decision in Stortinget. That's actually why we're dealing with the matter here today. It is not up to me to sum up, but I record that local workers' party representatives and all representatives from the SV and the Central Party who have spoken find reason to strongly clarify the lifting decision that has now been pronounced – orally at least – to their own government; yes, almost as an open order for their own government. So there's a reason to ask the Council again: can we trust that the submarine will be lifted within a few months?
ParlaMint-NO_2010-05-31.ana.ud2225e682	Viewed with my eyes, this is actually the most amateur treatment I've experienced in the years I've been on Stortinget. You actually have to ask yourself, does it seem to a government to be then to the degree action lamb? In my view, this is a fool's game, because it's not like we, as the highest body in Norway, have neither the occasion nor are we going to play with 67 tons of mercury, which is a ticking bomb. If we are concerned about the environment, we are committed to safeguarding our reputation as a coastal, farming and fishing nation, we must actually take a decision to lift the submarine. That's where the big question lies. The government parties say you're positive about cancellation, but you don't want to make a decision. What kind of fool game is this? So we are constantly experiencing – not only from the government but also from representatives in this room – that they have more knowledge and understanding of the complexity of lifting the submarine U-864 than both Lloyd's, Veritas and Mammoet Salvage combined. It's pretty tough, and it's hard to understand, not least because this house, this government and Norway have for many years had an implemented policy called leadership. Here, in many ways, there is a policy that is called for quickly, and it violates what is fundamental to today's policy. Thus, when it has such environmental consequences and the reputation of Norway as a fishing nation is at stake, there is no desire to be involved. It's a tragedy, and there's a tragedy that none of us here today actually know the consequences of. Because there would be major leakages during the remaining investigation period, the consequences could become formidable. When it comes to the use of investigations and spending time on things, we are hoped that the investigation of the submarine and mercury will not come in the same situation as the Stad tunnel that is now entering its 17th investigation. This is only a postponement of something that should have been adopted.
ParlaMint-NO_2010-05-31.ana.ud2225e693	There has been an interesting debate, and I record that the representative Anne Marit Bjørnfacen said quite clearly what they think – those who do not agree with the government are irresponsible. I think it's quite special. Veritas, Lloyd's and some others have gone through this in a proper and thorough manner and documented that raising the submarine U-864 outside of Fedje is fully possible and realistic, and that it makes sense to do so. But I record that it's always the way the government is the only one who has the truth about where the limit goes for how much money you can spend, or what you can or can't do, but it's not like that in the real world, fortunately, and I'm very happy about that. I am convinced and expect that the submarine will be raised. When we hear the representatives of the government parties today, they all say loud and clear from this pulpit that, yes, we are going to make sure to lift the submarine – we just have to have a little longer time, and we just have to consider some options that are not going to lift the submarine. That's when you create uncertainty. You create uncertainty for the people who live in Sweden, and you create uncertainty for those who fish in the sea there. You create uncertainty for everyone living along the coast, because this is a ticking poison bomb, which at least I don't want us to risk getting out along our entire coast. That's why we're concerned with raising the U-864. I feel that Sigbjørn Johnsen is a little behind here, a finance minister who is terrified of spending too much money, who wants to cut public consumption, and who has suddenly seen an opportunity to bring in another 620 million. kr. To Gina Knutson Barstad, who talks about "race game": this isn't a trick game. This is about bloody facts and seriousness. For us, it's serious that we want to get rid of the poison outside of Fedje, and we want to get it up. That's what the representative said, but she wants to vote against what she says she's in favour of. That's special. So in the case of the Kjersti Toppe of the Center Party, the Central Party at its 2007 national meeting decided to raise the submarine. Why, then, should we have new investigations and new evaluations when we have actually decided to lift the submarine? That is when the opposition's proposal for a decision should be voted on today, which will ensure that the Central Party's national decision in 2007 is followed up. It is not that all proposals from the Hordaland Workers' Party are good. But when it comes to good proposals from political competitors and opponents, you should actually be able to say that you agree with them, that you think they are reasonable, and that you want to follow them up. That's what the Progress Party does when it comes to lifting the submarine outside of Fedje. Susanne Bratli turns the case across... [[President clubs]]
ParlaMint-NO_2010-05-31.ana.ud2225e708	We are approaching the end of an interesting debate. Let me remind you of the timeframe for raising. I don't think anyone's been into that. But it's like we're talking about a time window. For the sake of weather conditions, this is an operation that can only be done in the middle of the summer. The time frame for 2011 is now in the process of being used up. Right now Mammoet has assured them that if they get a positive decision on the conclusion of a complete agreement, they can do the job in the summer of 2011. But we're about to use up that window. So it's just in the most favorable time we can carry out the operation. It also means that a postponement can quickly be several years of delay, if there were at all to be a cancellation. Then I notice that the opposition is accused of being irresponsible. I would like to remind you that we were accused of being irresponsible in 2007 when we called for cancellation. Let me again remind you that the government had then put heavily and hard on covering as the only sound method. We who proposed cancellation and tried to get a cancellation solution were accused of being very irresponsible in 2007, even here in Stortinget. But it was at the initiative of those who wanted to raise, the Progress Party specifically promoted a Document No. Eight proposals. So it was turned against the government. I also want to remember what the Prime Minister said in March 2007 – one more time I want to remember it. He said, "It's urgent to cover up." Now, in 2010, the Prime Minister has been on his way back to the West and has been confronted with this political breakthrough in Fedje, and he has said, "Now we need to raise, but we need a safe method." So very irresponsible we couldn't have been in 2007. In our view, we are not irresponsible when we now propose to carry out a fully possible operation. Who's Dovre? So it's a consulting firm, which is on a prequalification list at the Ministry of Finance to look at large government investments in construction, roads, installations, etc. But it has been confirmed both in writing and orally that they have no experience in quality assurance. So raising things out in the sea, out in the sea, raising them from the seabed, they have no experience. So far less qualified is South West Consult, a sole proprietorship set to assess Mammoet. So Mammoet is a large recovery group with world-leading competence. They are ready to implement the 2011 operation safely.
ParlaMint-NO_2010-05-31.ana.ud2225e722	I am sure that we really agree with this matter. We want to get the poison up. We want to get to a place that's safe and secure, both for the people of Fedje and the people along the coast. But it's enough to be humble about knowledge. Here I feel that the opposition is failing a little today. We are very humble in knowledge. We do not claim to have monopoly on it. Maybe no one else in this room should either. Then I feel that, in particular, the Progress Party is coming with quite a powerful attack and that one must call for suspicion in the debate today – foolery, amateurism, tragedy, the Minister of Finance is inside, and that there are economic motives. I really think it speaks for itself. But it's sad that this debate was made to suspect each other's motives, because it really doesn't deserve the people of Sweden. It really doesn't deserve the people along the coast. A game that spreads fear is at least the last thing we need in this debate. ‘Play with 67 tonnes of mercury’ – yes, representative Henriksen, that’s exactly what we don’t want. We don't want to play with 67 tons of mercury. We don't want to gamble. To what was claimed by the representative Hoksrud, that a driver opted for – hardly. It's probably not very popular that this takes a long time, but sometimes one might have to make unpopular decisions to reach popular goals. Otherwise, I would like to say that I am very pleased with the environmental exposure of the Progress Party and hope that it will continue in several cases. But we all agree, and as I think it's important to conclude that although this has been a debate that's largely concerned with suspecting the motives of the government parties, we agree that together we have a job to do to make sure that what we're doing is actually for the best for the population, the environment and the future. It's okay to be impatient, but we have to make sure that what we're doing is safe.
ParlaMint-NO_2010-05-31.ana.ud2225e735	It has been interesting to listen to this debate, and very instructive for a political boy like me. Making so much of a policy out of so much of a subject is an interesting exercise. It is claimed that the government creates uncertainty. I ask, who is creating uncertainty? The representative of Åland does so at least when it is presented as if dramatic things could happen at any time with the submarine missile and the mercury lying outside of Fedje. The KS2 report says on the contrary that the project is not in time. Here it's more important to take the time to do the right things than to rush on. So it is claimed by the representative Fredriksen that there is a government that has «minimum competence». I can actually stand up to that – if that's what's left behind, I'm going to live well with it, because what the government is actually concerned about is relying on the professional assessments that have been made, and not doing politics on this. We have consistently maintained that it is the professional assessments that underlie. The representative Schou asks the question: what's wrong with the Veritas report, what's wrong with our own organs, for example. The Coastal Station? No, there's nothing wrong with that. But what I've shown you all along is that the whole project, the whole of the KS2 report, is what's underpinned. That is why we are following the Council set out in the KS2 report. Then by Halleraker a number is made of the 'Ministry-appointed Dovre report'. Yes, it is probably ordered by the Ministry, but as announced, and as explained, projects over 500 million will be required. kr quality assurance, and I will be very surprised if there are representatives in Stortinget who believe that quality assurance should not be carried out. Then there was also a visit to the Lloyd's report. I have been through it and have registered what has been written there, that it is technically possible, and that is proven technology. Yes, the technologies individually are well-tested. Composite in this project, it has never been done before – naturally enough. A project like this has never been carried out on this planet. I am still being asked for guarantees. The guarantee I can give, and what everyone should trust, is that I and the government have one goal in mind: it is the security of those who are going to carry out the project, the security of the people of the West and the safety of the environment on behalf of the nation.
ParlaMint-NO_2010-05-31.ana.ud2225e752	The representative Jan-Henrik Fredriksen has had the word twice and gets the word for a short remark, limited to 1 minute.
ParlaMint-NO_2010-05-31.ana.ud2225e755	After all, the Progress Party has done exactly what the Council of State says, from day one, we've actually been dealing with professional assessments. Unfortunately, the government itself has raised doubts about the professional assessments. No, Freddy de Ruiter, we do not agree on this matter. You want a release with investigation, we actually want to lift the submarine as soon as possible. If you don't understand the difference between acting and solving a problem and postponing it, the representative de Ruiter hasn't got the big difference between the Workers' Party and the Progress Party.
ParlaMint-NO_2010-05-31.ana.ud2225e762	For me, which is one of those who's been following this case over time, the commitment from the Progress Party is a little bit strange. I understand that it's important to go down on the government, with different language usage, but I think what a busy one was earlier. It wasn't necessarily the raising, but it was who had to raise. There was a company at Women's Herad, Eide Maritim, which was very important to get involved in this work. There was a very strong focus on that a few years ago. Now one has found a solution, a recognized, global company, and then one says, they should have it, that's it. So I'm going to think, when I listen to the debate here: now one has found a fail-safe solution. I'm thinking what the BP boss said when the blow-out came in the Mexico Golf – there was a problem with a fail-safe mechanism. So, like the opposition, especially the Progress Party -- it's a little more factual, I thought, from the others -- they've now found a solution that's fail-safe, and that makes them talk about it as a pre-war solution. A pre-war solution has been found for mercury. Yes, it was good! One might see it in many ways, but if it led to the pre-war solution, the mercury spread over the whole of Fatje and out into the Norwegian Sea, there was no good pre-war solution. But one has a fail-safe mechanism with this solution, as if one were debating it. I have to say, I'm a little bit startled by the security of the opposition party that the Progress Party shows in this case, when I think of another, humble entry point earlier. Then there's nothing else that drives, but to knock political coins on the government. The solution for mercury, which everyone else seems to be busy, is not busy. So you're just busy choosing your solution, because you think most people want it. Maybe, but I don't really think most people want a solution that can go wrong, and as a company says you have to look closer, because it's not certain. So I would like the speakers from the Progress Party to explain to us whether they have a fail-safe solution, and explain to us why one goes away from all the Norwegian actors who have signed up with other solutions. Why is it just this solution that applies? Why is it that one now has found a fail-safe solution, when one sees how fail-safe things can be in the Gulf of Mexico? If it was up to the Progress Party, one also had the drilling in Lofoten and the West Pole, with fail-safe oil platforms. In this case, it is important to consider the local population, local fishermen, the local environment and the nation, by choosing a solution that is safe to work on, and not a solution that can fail.
ParlaMint-NO_2010-05-31.ana.ud2225e771	The President will only suggest, without reference to either the last speaker or the next speaker, that most of the moments now well begin to be illuminated – some up to several times.
ParlaMint-NO_2010-05-31.ana.ud2225e774	Let me start with two things that are not illuminated. One is a remark from the Government Parties which raised doubts as to the possibility of making changes to tendering rules, in competitive tendering procedures, in contracts. We've examined that. The conclusions we have received do not make us doubt that this is completely possible. It is fully possible to make the boundaries and clarifications that have been made between the Coastal Works of Mammoet in the past, for which they have actually received criticism from the Council of State. It is also fully possible to negotiate a price guarantee, so the objection from the government parties that the tender rules set limits, we believe it is wrong. Briefly to the representative Bratli, who believes this is a political game. We briefly recall that the Storting has both the right and the obligation to inform matters. We do that in this case. We did so in this case in 2007, and we have done so now. We've had an open hearing in Stortinget. We have received new and important information that raises doubts about the strong and bold conclusions reached in the KS2 report. So finally, my summary: the doubt that goes on here today is essentially based on two things. One is that the government says in writing that it should interpret the concept, and then coverage and partial coverage are as a possible concept. It has to be investigated before deciding which concept and which solution to choose. So until what has not been commented on at all, as far as I have registered – neither from the government council nor from the government parties – is the trio of governance, risk and cost. What is acceptable in terms of management, risk and cost? There's a huge constraint here. Without clarifying what's in this statement, there's a reservation that ultimately makes us come back to the zero option. Nothing happens – it costs nothing. You can just leave the dirt. It's absolutely nothing. But what I mean is that both the local people of Fedje, the people of the West and those who are concerned with Norway's reputation as a fishing and environmental nation have the right to have a clarification of, is the government's and the Council's own use of these concepts. What is the significance of this reservation in the case of finding a solution that is acceptable in terms of management, risk and costs? This, together with the first point, namely that there is an investigation to choose the concept and solution – not the government itself – helps to create increased uncertainty on this matter. That's what the opposition regrets, and that's why one should choose another way, namely to implement a fully usable, safe, economical lifting solution.
ParlaMint-NO_2010-05-31.ana.ud2225e789	I just have to comment a little bit on the statements of the Minister of Fisheries and Coast here instead. She claimed that it was I who created uncertainty in this matter when I said that this could develop dramatically because of the mercury lying there. But it was not I who claimed it – it was not myself I quoted. I quote from the resolution of the Workers' Party of Hordaland. I can do it one more time, because what's written there is very well said: ‘The mercury leakage from loading is now estimated at about 3 kg per year. It is alarming in itself, and no one can guarantee that the leakage can't increase dramatically rapidly." This is the opinion of the Hordaland Labour Party. I think it's well said, and so it's the Council's own party that says it. Then it was SV's Barstad who said this is a ticking bomb. That is also what I referred to. When it comes to creating uncertainty, I actually think that the Minister for Fisheries and Coast has been very successful even when she was standing here in the loop and was very clear that there is no timetable, there is no guideline on how this should be done. That's what you're going to get back to. You can't say it's being done in 2011, you can't say it's being done in 2012 – nobody knows when it's being done. It's said to be done, but no one knows when it's done. The uncertainty that exists here is in the case of the government itself that is perfectly capable of creating. They don't need any help from the opposition. Then there's someone who's making some headway about this with the environmental exposure of the Progress Party. Yes, we're concerned about the environment. But what we're concerned about is action. This government has distinguished itself with very high-powered rhetoric, both in campaigning and otherwise, about everything to do. You have to save the world, and that's a little bit like the further away from Norway, the more you have to do – while what's outside the living room door, you can't do anything about it. We are concerned with action and action instead of all this rhetoric. I understand that for government parties there's a new way of thinking about environment, but it might make sense to start thinking about what you're saying, you should actually try to do. It creates confidence in the population.
ParlaMint-NO_2010-05-31.ana.ud2225e805	Øyvind Halleraker has had the word twice and gets the word for a short remark, limited to 1 minute.
ParlaMint-NO_2010-05-31.ana.ud2225e808	Two small clarifications: Yes, this has been done before – even by this company with which the government and the Coastal Agency have negotiated. It raised "Cursk". Then the Council of State draws up my reasoning related to the KS2 report and the role of the Department and Dovre. But she fails to mention my main point, that the Coastal Agency – which is also an establishment under her department – finds reason to defend itself against the government consultant in a letter of 12 pages. At least I'll finish for my share now, and choose to make it positive. I perceive that the government is doing half-right – it is positive – and I am looking forward to the lifting being started.
ParlaMint-NO_2010-05-31.ana.ud2225e817	And I just have to say that I'm very much in order for us to figure out the zero option. If you get it fixed, you'll know how crazy it can be if you don't do anything. It's kind of like if a political party -- let's take, for example. The party of progress - towards the election campaign should work out: How are we going to fight elections? If we do that, how will the election result be, if we do it like that, what will it be like if we do it like that? Then one has to have a zero option. How will the election result be for our party if we don't do anything? That's not a very good example, but you can think about it. I thought that much of the essence of this is that there is now about 3 kg of mercury playing out every year. We don't know how much more it's gonna be year after year, but we know that if something were going to go wrong in an uplifting operation and 67 000 kg would come out, then it's disaster for people and for the coast. Then not only fat, but most of it comes out of layers. That is why I think it is also environmentally wise to do this even more thoroughly before a set is started. At the top of this, I also thought that one could figure out both the zero and the zero plus option-- and what it should be. The mood here is pretty clear what an effect will be, but it's so extremely dangerous what a person has to do, that a person must have the greatest possible guarantee that he is doing properly. We have said in the comments from the pluralist parties here in this Chamber that we will also have a status, an orientation, in connection with the state budget. It's not that long before it's presented, and I don't think you'll get a full recipe and a full progress and a fixed date that many people are looking for. But it's a point, and one has a grip on it, and this is a matter that we're going to follow very closely in the future.
ParlaMint-NO_2010-05-31.ana.ud2225e829	Several have not asked for the floor on case No. 3rd@item: inlistbox [[Fotation, see page 3564]]
ParlaMint-NO_2010-05-31.ana.ud2225e837	The size will then vote on the case no. 1-3 on today's map.
ParlaMint-NO_2010-05-31.ana.ud2225e942	During the debate, the representative, Mr Rommetveit, put forward a proposal on behalf of the Labour Party, the Socialist Left Party and the Central Party. The proposal reads as follows: ‘The State budget for 2010 shall be amended as follows:
ParlaMint-NO_2010-05-31.ana.ud2225e997	The left has indicated that they support the option. The voting boards showed that 49 votes had been cast in favour of the Committee's vote and 49 votes in favour of the motion by the Labour Party, the Socialist Left Party and the Centre Party. [[(The vote will be taken at 5 p.m. (The sitting was suspended at 11.40 p.m. and resumed at ……]]
ParlaMint-NO_2010-05-31.ana.ud2225e1010	Had it been so, but vice presidents are not authorized to do so. The president wants to ask if there's anyone who...
ParlaMint-NO_2010-05-31.ana.ud2225e1013	I think it has to be a mistake, and we think we have to take the vote one more time.
ParlaMint-NO_2010-05-31.ana.ud2225e1018	That's basically what the president was expecting to hear. Let's do the voting one more time. The President will draw attention to the fact that the vote here is the opposition's proposal, and the proposal is from the government parties. The voting boards showed that 49 votes had been cast in favour of the Committee's position and 48 votes in favour of the proposal by the Labour Party, the Socialist Left Party and the Centre Party. [[(The vote will be taken at 5 p.m. (Parliament adopted the resolution)]]
ParlaMint-NO_2010-05-31.ana.ud2225e1029	There must have been an error during the voting. I want to ask that a new voting be taken.
