ParlaMint-NO_2010-03-10.ana.ud2469e26	The representative, Mr Halleraker, will put forward a proposal for a representative.
ParlaMint-NO_2010-03-10.ana.ud2469e472	Many resource-intensive people are out of work today. Good organisation of the workplace will help to enable more disabled people to get into work. It will also help to ensure that more people who are ill can be on the job. The current organisation grant scheme is perceived by employers as both bureaucratic and poor. The Progress Party proposed to improve and extend this scheme in budgetary terms. The government, on the other hand, has cut off the scheme – gradually, in recent years. And in the context of the IA agreement, there was no signal from the Government to improve or strengthen this scheme, even though the main message for an inclusive working life is precisely planning. My question is: Will the Government itself come and contribute to a better organisation so that this is not perceived as a burden for employers, but that more people can participate in an inclusive working life, which is the objective?
ParlaMint-NO_2010-03-10.ana.ud2469e479	I think we can all agree that getting more disabled people into work is an important objective. So I think we can also agree that this is a challenging goal. I would like to stress that the Government has a good policy to do this by having many different action areas. So you might think that there might be a need for arrangements beyond this, but we have a lot of places. Then I want to say that in the 2009 budget, there are these faster back places – there are places that go above the health budget, and there are places that go above the Minister of Labour's budget. It is true that you have – which I have answered in a previous question here – a budgetary error, which I have talked to my predecessor about, and which the Storting is briefed on. That's 320 million. kr with which it was not budgeted in the 2009 budget, and I have said that I will return in the context of the revised budget.
ParlaMint-NO_2010-03-10.ana.ud2469e489	Torbjørn Røe Isaksen – for follow-up questions.
ParlaMint-NO_2010-03-10.ana.ud2469e492	In answer to another question, the Council of State now answered partly my question. It is good that you should come back with a message about what is happening, given that there has been a sudden stop in very many recovery companies. From my home country, Telemark, I have been informed that I have been notified of stopping in four weeks. I have listed a number here, on a small note: 130 at a company in Westfold must end in the middle of a program, within four weeks, because it is not money. They obviously do not have to wait for an alternative budget to be notified. So I can't put my question any better than I got it in an e-mail from one of the people in this company in Westfold: is there going to be more money?
ParlaMint-NO_2010-03-10.ana.ud2469e499	I am asking for an understanding that I cannot now promise more money in connection with this. So what has been said by the government earlier, is that we have maintained the number of seats in this area, but in case of an error, it was not listed as 320 million. NOK, on the basis of the fact that this money had not been seen to be paid in 2010. The Stortinget has been informed of this. What we've said is that we want to signal to Nav that they're going to maintain places at the same level, and then we're going to get back to this in the revised budget.
ParlaMint-NO_2010-03-10.ana.ud2469e506	Knut Arild Hareide – for follow-up questions.
ParlaMint-NO_2010-03-10.ana.ud2469e509	I would like to welcome the Minister of Labour to the spontaneous Question Time, but I would have liked it to be another matter she had to face here, because this is an exclusive policy. I do not understand that this is a policy that the Government can recognise. This is a system that has been operating since 2001, gradually being built up – and a talker about a test scheme that has now worked for almost ten years! So we feel that the Prime Minister, both in the New Year's Year's Year and in its distribution here on 17 February, is talking about his desire to do more work – 'Cooperation for work'. But it does not apply to those people who need social benefits, whether they are travelling to work or to education. This must be contrary to what the Prime Minister has said. Can the Council of State now guarantee that there will be more money, so that the disabled will not be in this unworthy queue?
ParlaMint-NO_2010-03-10.ana.ud2469e516	I would like to stress that I cannot guarantee this now, but that I will look into the matter. I would also like to stress that a lot of money is spent on travel for people with disabilities, but that this is a special arrangement. There has been a very gradual increase in the need for that system, so you haven't had complete control of what that need will be like. We see that the need is increasing, and what I can guarantee is that we should look at this and come back in a general way, first in the revised budget and then in a later budget. So the scheme is under evaluation.
ParlaMint-NO_2010-03-10.ana.ud2469e523	Let's move on to the next main question.
ParlaMint-NO_2010-03-10.ana.ud2469e526	I have a question for the Minister of Labour. After all, a new IA agreement has been signed, and saying that the IA agreement has flowed from new measures is likely to be an exaggeration. It is also the case that the most important steps in the IA agreement, such as dealing with the responsibilities of the employer, have been put at risk if not indefinitely, so at least pushed into the future. So the government has decided to use the rhetoric: we're going to do more of what works. It's a paradox, because it's obvious that the IA agreement that applies now, or that went out a short time ago, has not worked. When you look at the main intention, namely to bring down sick leave, it hasn't worked. One thing is to sign an agreement, but following an agreement is something quite different. The IA Agreement imposes on the State important obligations financially, but also in relation to how the service provider is to follow up, concretely how Nav is to follow up. During the current IA period, Nav has not been close to following up its obligations in relation to dialogue meetings, dialogue meeting 2. The new IA agreement has pushed the deadline for them, and said that they should be held earlier, but it has still not been assured that Nav can follow up. Another part of the previous IA agreement, which was not followed up, was that Nav had the opportunity to impose sanctions on employers. The hub lacks an overview of whether this instrument has been used, and thus the Council of State lacks an overview of whether this instrument has been used. Can the Council of States guarantee that the State will fulfil and comply with its obligations under the IA Agreement that has now been concluded?
ParlaMint-NO_2010-03-10.ana.ud2469e535	First, I would like to stress that yes, sick leave is too high, and it is right that the representative says that the agreement that has now expired has not worked as we have wanted. Then I would like to stress that in 2004 the sick leave was actually reduced by 20 pst. It's the Frischsenter who's shown it. This occurred within the same instruments as one had, but with particular use of classified health care. So we know that if we have – as the representative also quite rightly says – focus and work closely and do a proper, concrete follow-up job all the time, then this works. That's why the government says that we're now doing more of what works. We're doing a number of other things, but it's not covered by this question. It's absolutely right that some of what we're doing is being busy starting things early, because we know that getting started early, making us get people back to work as quickly as possible. One of those things is getting the dialogue meetings moved forward in time. That's the one. The second is that work centres must work better. It's absolutely right that it's a new challenge for Nav. It has just been very important for me to have good checkpoints in relation to Nav all the time, to make sure that Nav is able to do that job, and that I have not signed an agreement that I do not know the state can follow up. So I can reassure the representative that that's what I'm very concerned about, and I'll follow that up very closely.
ParlaMint-NO_2010-03-10.ana.ud2469e544	In 2004, I remember well. Then there was another government, which did something about the IA agreement. Then the sick leave went down, that's right. And then it went up again afterwards, so total for the IA period the goal was not achieved that sick leave would go down altogether. I don't think the council answers the question either, because the key here is to look at: What's different with Nav today, compared to the IA period we've now gone out of? What, in the opinion of the Council of State, is it that today Nav is able to fulfil the obligations that they have not been able to fulfil in any way during the previous period? The only thing I can see that is significantly different is that you have a Nav director who's got a pay raise. That's good, but I guess the Council of State also has other thoughts about what Nav is going to do differently now, in order to be able to meet the state's obligations in the tripartite cooperation that the IA agreement is.
ParlaMint-NO_2010-03-10.ana.ud2469e551	I would like to stress that I do not share the description that Nav at all has not followed up the IA agreement. Nav has followed up 70 pst. Of the dialogues they are going to have, and very many of the work centres are working very well and are getting very good interviews, including from the employers' side. But that's absolutely right: we have to have even more focus on this, and that's why I have a close follow-up of Nav here. As for what is different with Nav, I would like to say: Nav has been through an organisational reform, and 420 new offices have been established. You've been in a huge revolution. Now that part of the reform begins to get in place, and that's exactly why I also have reason to believe that you now have opportunities, and I want to focus more on following up the part of the IA agreement.
ParlaMint-NO_2010-03-10.ana.ud2469e559	Three follow-up questions will be raised – first Per-Christian Foss.
ParlaMint-NO_2010-03-10.ana.ud2469e562	I just want to inform the council that Stortinget has confirmed what she has not understood: Nav is not working. The council says that she will not now guarantee that it works, but that she will follow it up more closely, or as in the last answer, have a focus on. But there won't be a better hub because the Council of State has a focus on it. I assume that the Council of State has had it all the time – but Nav hasn't worked. When the Council of State arrived in Stortinget as a fresh government council on 15 January at a hearing, she promised to return to Stortinget with reform proposals for Nav in the spring session. After thinking about it for a couple of weeks, she came back to the Stortinget and said it's not until the harvest, i.e. in the budget. So she's going to spend nine months of the year reforming Nav, despite the fact that the representatives of her own party in the hall decided that you know what's not working, and you don't need an investigation. Why does the Council of State have such a bureaucratic approach to a problem that is acute and acute for the weakest in society?
ParlaMint-NO_2010-03-10.ana.ud2469e567	What I have said clearly on request also earlier is that we must not act rashly in this case. We know that we have established a system that has – I get feedback about – shortcomings and weaknesses. I have set up an expert committee to assess this issue and, in the context of the RNB, to come up with a description of the actual situation. Then, before summer, they're going to come up with recommendations on how they're going to do this. I think something else – like drawing some hasty endings – will be very wrong. The craziest thing you can do with Nav in the process Nav is start a lot of things that you don't know how to do in advance. Then I want to say that I have not said that I just believe and hope that Nav will work better. I think it's important to be aware that very many people did not do what they were supposed to do in connection with the IA agreement we had. Neither the job page, the employee's side, nor the Nav had enough focus. Now we're going to have that focus, and that's why the government and I also believe that we're going to be better off with that agreement.
ParlaMint-NO_2010-03-10.ana.ud2469e574	Robert Eriksson – for follow-up questions.
ParlaMint-NO_2010-03-10.ana.ud2469e577	Let me just first underline from the previous question that I believe the Council of State mixed it with the organisation of work and action places. These are two widely differing instruments. So to this thing. Just to underline once again what is both in the IA agreement and what the Prime Minister said at the press conference, that is, to do more of what works, which was also the main concern. Nav has a key role to play in this regard. We know that Nav has not been able to perform that key role in a good way until today. It must mean Nav is going to do more of what you have not done to date, and do it at an earlier time. There will be even more chaos, even more problems – at least after my head. Then my challenge is to the Council of State: what concrete action is the Council of State now going to take towards Nav, so that Nav can do these tasks under the IA Agreement in a good and proper way and make something that hasn't worked up to today's date work?
ParlaMint-NO_2010-03-10.ana.ud2469e586	I would like to emphasise once again that it is actually not such a black-painted picture of Nav's follow-up to the IA agreement from the users of the employment centres and from the employer's side. Both in the workplaces, there are very many employers who are satisfied, even though they might want better follow-up, and in the case of dialogue, we know that in 70 pst. they are carried out in line with their intentions. So I just want to stress that what we're doing with Nav now is that I'm going to go through the management documents, focus on that agreement and what that agreement requires of Nav. So I'm going to control, through the instruments I have, to make sure that Nav does the job Nav is going to do. I would like to emphasise again that this agreement has a phase-in. It's not that from May 1st, all things should be in place. Here's a process, just to make sure that things are phased in a good way.
ParlaMint-NO_2010-03-10.ana.ud2469e593	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2010-03-10.ana.ud2469e596	In the course of the debate here, I believe the Council of State approx. 10–12 times have said that it should be focused. The focus is good, but we need action, and we need to know that the measures are working. Therefore, something of the first Christian People's Party did when we saw the new IA agreement, to sit us down and ask, are these measures good enough? I have to say I was a little uncertain. That is why I found out that we are sending a letter to the Council of State to find out what calculations have been made for the measures proposed. Yesterday I received a reply from the Council of State, and I thank you for that. However, in this reply, the Council of State clearly states that no estimates have been made for the measures. I have to say that I wonder a little, it's almost as if I don't quite believe that the Council of State and the Government don't have any calculations for the different measures. Therefore, my simple question is: does the Council of State and the Government not calculate whether the measures will bring down the sick leave and the costs, or has the Council of State misinformed the Stortinge here?
ParlaMint-NO_2010-03-10.ana.ud2469e603	The costs and measures go on two sides. First of all, the extent to which you think you're getting sick leave with the agreement. As I said earlier here today, we know that in 2004–2005 we lost our sick leave by 20 pst. We then say that if we achieve what is the goal – I stress that that is the goal – you will also get savings in line with that. It is as right as the representative says, that there is also a cost to the public by bringing forward the dialogue meetings, and also by continuing the IA funds in a new agreement. Calculations are available. But as I just said, we have a phase-in on this, so that we kind of do not have completely extraordinary numbers. I think I get the opportunity in the budget to come back to those numbers, how this will be.
ParlaMint-NO_2010-03-10.ana.ud2469e610	So the oral questioning process is over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2010-03-10.ana.ud2469e617	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The changes were as follows: Question 2, from the representative Bjørn Lødemel to the Minister for Economic Affairs and Trade, has been transferred to the Minister for Transport, who is directly responsible. However, the question has been withdrawn. Question No 3, by Mr Bård Hoksrud to the Minister for Transport, lapses because the questioner is not present. Question 4, from the representative Lars Bjarne Tvete to the Minister for Transport, will be taken up by the representative Linda C. Hofstad Helleland. Question 11, from the representative of Ketil Solvik-Olsen to the Minister for Oil and Energy, is moved and answered at the request of the Council of State before question 6. Question 15, from the representative of Sylvi Graham to the Minister of Labour, will be raised by the representative of Erna Solberg.
ParlaMint-NO_2010-03-10.ana.ud2469e635	I have a question for the Minister of Defence: ‘The 330 squadron, the main element of the rescue helicopter service, has very old helicopters. This presents several challenges, but one of the main challenges is undoubtedly related to maintenance. At the same time, it is essential that the machinery be operational in such a way that the tasks given to it can be properly and properly resolved. What is and will be the biggest maintenance challenge in the years before new machines have replaced today’s helicopter park?’
ParlaMint-NO_2010-03-10.ana.ud2469e644	The Ministry of Justice is the technical and budgetary officer of the rescue services, while the Air Force is the operator. The maintenance of Norwegian Sea King rescue helicopters is carried out by the Defence Logistics Organisation. The Norwegian Sea King rescue helicopters are of the Sea King in the world that has flown the most. However, it is important to stress that helicopters maintain a very good standard of maintenance. Total surveillance of all 12 Sea King helicopters has been carried out in recent years. The defense is now in progress with a new round of extensive overhaul. The defence also investigates any other measures that should be taken to ensure the proper and sound operation of Sea King until new rescue helicopters are in place. The main technical maintenance challenge for our helicopters is related to access to spare parts and components. As the number of operators of Sea King worldwide decreases, the production of spare parts is reduced. Future access to spare parts could therefore be a challenge. The Ministry of Justice works with the Defence Logistics Organisation to address these challenges towards the delivery of new rescue helicopters. This development is further reinforced by the recent decision of the United Kingdom, as today’s largest helicopter type user, to phase out its Sea King rescue helicopter fleet. This shall be done by March 2016, starting in 2012. Such developments may in the long term have consequences for the operation of the Norwegian Sea King. The defence logistics organisation is in the process of establishing a dialogue with military authorities in the United Kingdom to identify consequences, but also to see what opportunities this can give us. The Norwegian rescue helicopters maintain a high technical standard despite their age. Every day, crew and technical staff make a very robust effort to keep the helicopters operational. As long as spare parts can be acquired, I am sure that the rescue helicopter service can perform its tasks in a very satisfactory and sound manner.
ParlaMint-NO_2010-03-10.ana.ud2469e662	I thank the Council of State for the answer, which I think is positive in many ways, although there are some concerns in this. We can agree on one thing: Norway has undoubtedly one of the world's best rescue services. I want to give all sorts of homage to the 330s quadron and everyone else who's making an effort to help people who need help. At the same time, I have the same concerns as the Council of State: what happens now that the English have decided to phase out their Sea King and bring in new ones? Not least the focus on spare parts. I hope that the main focus of the Government may not be to take over the machines that are phased out in England, but that we can be more forward-looking in line with the decision of the Stortinget in this room on 16 May 2002. My question to the Council of State is: Does the Council of State, even with the maintenance we now have, mean that today's Sea King fleet is at a level that has the same qualities as the one you have, for example. have in the civil sector transport to oil installations and others? They have completely new equipment, they have new machines, and you even have private operators.
ParlaMint-NO_2010-03-10.ana.ud2469e669	I must honestly admit that in this case I have been busy giving a picture of the maintenance standard for the Sea King helicopters. We are in a situation where we believe that the maintenance standard is very good, and that on our part we should be able to maintain a high standard of maintenance in the future. So I'm going to be careful to get into comparison exercises with others. I don't have the actual background and the information needed to do it.
ParlaMint-NO_2010-03-10.ana.ud2469e676	That the maintenance is good, I assume. But it's probably also a fact that when the machines are as old as they are, they stay a lot on the ground. You have to pick parts from other machines to be able to operate at all. It shows, at my discretion, a continuous vulnerability in today's Sea King fleet. I don't think I remember faults, but when I read the budget proposal, there is something about the maintenance costs that are becoming relatively large. I think you can use the same term without being offensive to anyone here. If you look at it in the light of new acquisitions, I hope that the Council of State, together with the Minister of Justice in general, against – or perhaps with – the Minister of Finance, will have a very active look at the new acquisitions, which hopefully will reduce the great focus we now have on the maintenance side. The last thing I could imagine asking the Council of State is whether she can assure me that the focus on new acquisitions is still the same, and that you don't have a one-sided focus on spare parts, because it becomes too defensive.
ParlaMint-NO_2010-03-10.ana.ud2469e683	We have a good cooperation with the Ministry of Justice and Police, and it might be the right address to ask the Minister of Justice about what the questioner here raised. Let me just stress that the responsibility for the acquisition of new rescue helicopters in its entirety lies with the Ministry of Justice, but we also support professional competence in this process and are, of course, also prepared to do so in the future.
ParlaMint-NO_2010-03-10.ana.ud2469e698	This question has been transferred to the Minister for Transport, who is the appropriate person. However, the question has been withdrawn.
ParlaMint-NO_2010-03-10.ana.ud2469e711	This question falls away.
ParlaMint-NO_2010-03-10.ana.ud2469e717	This question, from the representative Lars Bjarne Tvete to the Minister for Transport, will be raised by the representative Linda C. Hofstad Helleland.
ParlaMint-NO_2010-03-10.ana.ud2469e720	‘Last year the Grand Trondheim package, consisting of a comprehensive road system and a commitment to various collective and environmental measures, was adopted. The line E6 from Tonstad to the Jakware in Melhus is planned to be completed only in 2024. At the same time, drivers must start paying tolls in ours, 14 years before the road is planned. Trondheim's neighbouring municipalities in the south have protested against the toll system. The Council of State will ensure a faster completion of this road section, e.g.: by means of OPS?’»
ParlaMint-NO_2010-03-10.ana.ud2469e727	The environment package for transport in Trondheim contains a number of measures such as: has the objective of reducing CO2 emissions by 20 pst. by 2018, increase the share that travels with environmentally friendly transport – walking, cycling and public transport – and reduce travel by private car. To achieve these objectives, a number of measures are being taken. It is a priority to further develop a main road network, including: shall relieve traffic around the central urban areas. This road network includes the development of E6 Release–Stavne, which also includes the construction of new Release Bridge. In addition, the E6 Jakkoe-Tonstad has been added. In St. prp. No 85 for 2008-2009, step 1 of the environmental package was submitted. The collection facility, with the location of toll stations, is presented by this proposition. Furthermore, it is shown that a KVU is to be implemented, i.e. a concept-valuation operation, and KS1, quality assurance step 1, before step 2 is submitted to the Stortinget. Step 2 will include a holistic plan and final priorities of projects and actions in the environmental package. Thus, the Ministry of Transport does not have the current position when E6 from Tonstad to the Jakwear is due to be completed.
ParlaMint-NO_2010-03-10.ana.ud2469e739	Trondheim's surrounding municipalities, especially district municipalities south of Trondheim, are, as I said, very concerned about what it will mean for their inhabitants, of course. They find it very unfair that they will start to pay in the spring on a road that will not be completed before 14 years. Is the Council of State concerned about the inhabitants of these municipalities, about how they perceive this, that they – for whom I understand – see it as an unfair solution? Does the Council share the concern that we should have it so that when you start paying for something, you don't get the goods delivered?
ParlaMint-NO_2010-03-10.ana.ud2469e744	Let me underline that I understand the ambiguity when it comes to completing the projects that are contained in a package. The question of illegitimate is raised by Hofstad Helleland. Then I have also noticed the debates that are now taking place in the municipalities around Trondheim. It's not because the toll stations are located differently from what was made of the proposition, but because they see that it takes so long for them to get something back, literally, for the money. I can tell you that the municipalities in question are invited to a meeting in the Ministry of Transport on Monday.
ParlaMint-NO_2010-03-10.ana.ud2469e751	I am very pleased that the Council of State takes the concerns of these municipalities seriously – I appreciate that very much – and also invites them to a meeting. That's good. Yesterday there was unfortunately a breach in the negotiations in Trondheim about the environmental package. Unfortunately, the specific measures discussed there did not reach an agreement. That's too bad. But when it is said: Already in NTP's first year of operations, we are experiencing underfinancing of NOK 2.3 billion. Now there were also signals that the NTP was not being met. Can the Council confirm that this will not affect Trondheim's transport and environmental package?
ParlaMint-NO_2010-03-10.ana.ud2469e758	First when it comes to the National Transport Plan, it's my ambition to do what I can to make it a point and a point based on what the Government put forward in ours. I follow the debate in Trondheim with great interest, because I mean a lot of what those who talk about will have transfer value to other urban areas. They were in the early stages of restrictive measures for car traffic. We, from the Ministry of Transport, have concluded a four-year agreement on pavement to Trondheim, precisely to reward municipalities that provide a better environment and restrictive measures in the case of car traffic. It is about health, the environment and the emergence. To the specific question, local authorities are given the opportunity to develop their views on Monday.
ParlaMint-NO_2010-03-10.ana.ud2469e770	«The government is hunting the drivers. More and more of the country's road construction is not paid by the state, but by the motorists through tolls and toll rings. The tolls are now also used for other things than road construction. The government is working hard to impose traffic restrictions through the use of a rush-time charge, i.e. additional transport taxes paid by the drivers. Annual revenues from tolls are increasing sharply. What systems does the State have to keep a good track of payments and use, and what is done to reduce administrative costs?’
ParlaMint-NO_2010-03-10.ana.ud2469e777	Let me first stress that the individual toll project is locally initiated, either to enforce a project or to get it realized at all. All new toll projects will be submitted to Stortinget. The preparation of a toll proposal in the State Road Administration and later in the Ministry of Transport makes the toll system and the financing of quality insurance. After the treatment in Stortinget, a tolling agreement is concluded between the Road Directorate on behalf of the State and the tolling company. The contract contains a set of standard conditions for the collection, management and use of tolls. The State Road Administration is primarily responsible for the selection, purchase and establishment of the collection system, and the State Road Administration owns the system. The State Road Service follows up the technical side of the toll collection, where the transaction and administration systems for toll payment with AutoPASS are included. Transition to a single central system is in progress. Toll companies provide annual accounts audited by the statutory auditor. Every year, the state road service goes through all the toll companies' accounts and makes any comments. If necessary, the State Road Service may go in heavier. The operation of the toll companies falls within the competence of the National Audit Office. The state road and toll companies work continuously to reduce administrative costs. Toll station automation is a measure such as: shall reduce those costs. I also show that the state road system, along with some of the county municipalities, is now working out the relationship around regional toll companies. The idea is that such larger companies can professionalise operating and exploit economies of scale. As of today, no conclusions have been drawn. Through the annual budget proposals, the Stortinget is briefed on the withdrawal of tolls for national road investment. Through the 2010 budget proposal, the Stortinget was briefed on withdrawals for investment on the new national road network following the implementation of the administrative reform. On page 189 of the budget proposal, the Ministry of Transport will return to the arrangements for managing and following up toll projects on the county road network and on municipal behalf.
ParlaMint-NO_2010-03-10.ana.ud2469e790	Thanks for the answer. ‘Locally incited’ is another way of referring to political extortion. But unfortunately I do not feel reassured as to whether the overview is good. I have questions about what the drivers in the four largest cities in Norway have paid for the last 20 years, both gross and net, about what the money has been spent on – the money being demanded, is thus as much as 36 billion kroner in the period 1989-2009 – in response to the fact that the information requested is relatively comprehensive, that there is a resource-intensive work, and that there are a number of problems involved in providing the overview. It does not exactly show a picture that the Ministry of Transport has a good and comprehensive overview of the extensive contribution made by the car tolls related to road construction in Norway.
ParlaMint-NO_2010-03-10.ana.ud2469e797	I've done well for what the situation is today, how nine-time a toll project is actually being followed, from the local initiation to the State Road Service and then to the Ministry of Transport. I have informed about the cooperation with the toll company and the audit that is going on. What I haven't said about is the list of all the road projects that actually stand there because of – we'll call it – this common effort, state resources in some cases, in combination with local, sometimes 100 pst. local funds, which thus result in concrete projects.
ParlaMint-NO_2010-03-10.ana.ud2469e804	So I ask again whether the state has a good, comprehensive overview of what the drivers pay for through a number of different toll projects. I remind them that they pay a net contribution, and they pay in large amounts in interest expenses and large amounts in collection costs, which are properly supervised by the State Road Administration. It is therefore a system of supervision for all toll companies. We have had discussions on this in the Stortinget several times earlier during the previous Minister for Transport. The score is, among other things, lack of sanctioning powers. So when we've seen for years that there are some strong comments from the State Road Administration in the way the toll companies manage the funds, the answer has been that there are few sanctions, and there is really little to do. My concern and my question is whether the state takes care of the car drivers' money in a good way, at least in the same way as the state fits in with its own money, and whether there is an overall overview that tells the drivers what their total money is spent on.
ParlaMint-NO_2010-03-10.ana.ud2469e813	The answer to the question is yes. The funds paid by the drivers will be secured and will again be shown in concrete projects that will be realised. It's like there's a continuous focus on the administration costs, on getting them down, just to put in multiple ways and bridges for the funds. Sortevik let this shine through the fact that the Ministry of Transport probably doesn't have an overview at all, because here we have said that it is a resource-requiring job to get an overview of how each krona has gone. That's what I'm going to bring back. I am quite sure that the funds have gone away, but I will see if I can give a more satisfactory answer.
ParlaMint-NO_2010-03-10.ana.ud2469e820	Then we go to question 11.
ParlaMint-NO_2010-03-10.ana.ud2469e826	‘The Ministry of the Environment has completed an application for the UNESCO World Heritage Status of Lofoten. This alarmes many that the Ministry of the Environment has already concluded in its position on the management plan, and that it is therefore not given a clear, evidence-based treatment of the plan. In what way has the Ministry of Oil and Energy been involved in the preparation of the UNESCO request, and what room for petroleum activity would it be if the Lofoten were to be defined as a World Heritage Site?’»
ParlaMint-NO_2010-03-10.ana.ud2469e833	Initially, I would like to stress that the application for the World Heritage Status of Lofoten has not been completed. The work on the nomination was stopped in the autumn as requested by the Council of Lofot. What is now available is a summary of the investigations that were carried out at the time the application was suspended. In 2002, the lofoot was listed on the Norway tentative list of the UNESCO World Heritage Convention. This was done by Norway as a State Party and under the obligations arising out of the Convention. It is the Ministry of the Environment which is responsible for the implementation by the Government of Norway of the UNESCO Convention for the Protection of World Cultural and Natural Heritage, and as part of it it has been responsible for the work on the draft application for the inclusion of the Lofoten in the UNESCO list of World Cultural and Natural Heritage. The work on the nomination is a follow-up to the registration of the Lofoten with UNESCO on the Norway tentative list of the World Heritage Convention and was started on the initiative of the relevant municipalities. The work has been managed and coordinated by the Ministry of the Environment's underlying Directorate for Nature Management. If it is appropriate to complete and proceed with an application, the other departments, including the Ministry of Oil and Energy, will be consulted and the matter dealt with by the Government before any application is made. The Minister for the Environment and Development has announced that any submission of an application should in any case await an updated management plan for the Barents Sea and the Lofoten and a new local political anchoring. An up-to-date knowledge base for the Barents Sea-Lofoten management plan shall be provided this spring. This evidence base will be subject to a thorough consultation. A consultation conference will be held in June. For natural reasons, I do not wish to prejudge the update of the management plan and work further on.
ParlaMint-NO_2010-03-10.ana.ud2469e846	I'll respect that there's a process in the management plan, even if you can be critical of the way it's happened. If Minister of Environment Solheim were to get his will and have this application sent out, as we know he announced in the election campaign would be an effective stoppage for oil activities in the area, such an application could quickly become an effective end to everything called industrial and industrial activity, including fisheries, based on the assumptions that Solheim himself has made. But leave it. What is the assessment by the Council of State of the possibilities for future oil and gas activities in an area with UNESCO World Heritage status?
ParlaMint-NO_2010-03-10.ana.ud2469e855	I think the representative Solvik-Olsen has a certain understanding that I don't want to go into and discuss different scenarios about this all the time both the specific matter that the representative raises relating to world heritage status, and not least the management plan itself is being discussed and is in process. It'll be to advance a process that goes, and I don't want to do that.
ParlaMint-NO_2010-03-10.ana.ud2469e860	Let me try another angle of attack. In southern England, BP has a large oil production area with various installations in a protected area with a partial UNESCO World Heritage status. There they have integrated this very well into rural areas. They have also extracted oil and gas from fields below sea level up to 11 km from the farms. This is very interesting in relation to the issue we know will be the theme in Lofoten on environmental issues both on land and not least at sea. Can the Council of State bring forward BP's facilities in South England as a good example of cooperation between oil companies, local actors and environmental movements to demonstrate that it is possible to achieve environmentally friendly oil expansions also in areas where there is a major debate on environmental issues?
ParlaMint-NO_2010-03-10.ana.ud2469e869	It is quite right, as the representative says, that there are good examples in the rest of the world of changes in the way of operating the oil and gas activities that help one to deal with environmental issues in a better way than one did before. But we don't even have to go outside the Norwegian base to find examples of the same thing. The way we operate the oil and gas business in Norway now is quite different from what it was 30 years ago and almost 40 years ago. Fortunately, we have moved on to it. Underwater solutions are, as the representative refers to, a very good example of it, and I am absolutely sure that what we see of solutions and possibilities today, is also at a completely different level than what we're going to see in 10 years, 20 years, and also after that time. Technological developments are formidable in this area and will provide opportunities in the future. But when it comes to the concrete connection to this matter, we get to take things in order.
ParlaMint-NO_2010-03-10.ana.ud2469e874	Then the size goes back to question 6.
ParlaMint-NO_2010-03-10.ana.ud2469e880	‘Health professionals have a responsible task where it is necessary to be strengthened, conscious and sober at all times so that patients’ interests, health and safety are best cared for. In my written question No. 971, dated 21 April 2008, and in my subsequent letter to the Council of State on 19 December 2008, as well as in new written question No. 1,550, dated 7 September 2009, I addressed the problem in relation to the lack of the necessary sampling requirements to detect abuse. How will the Council of State ensure that the regulation comes as promised?’
ParlaMint-NO_2010-03-10.ana.ud2469e887	I understand that Giltun's representative is following up his earlier enquiries. As the representative refers to, on three occasions former health ministers have blackened that my department will follow up this matter, and that we are working on a consultation note with proposals for regulations. The last letter answers that a proposal for a regulation will be sent to the hearing in the near future. Such provision as is provided for in Regulation (EU) No 1303/2013 allows the Ministry to prescribe a ban on the consumption of drugs before the commencement of the service period and to require health professionals to provide breath tests, blood tests or similar tests in the event of a suspicion of misuse of drugs. In the design of the regulation, it has become clear that this home is somewhat limited. There has therefore been a need to assess whether a legislative amendment should also be proposed, in order to ensure that the legal basis is in keeping with what we believe the regulation should contain. This work has taken longer than expected. I want to ensure that a proposal for a regulation on mandatory abstinence is sent to the hearing before the summer. I aim that a legislative amendment proposal will also be sent to the hearing at the same time, so that the regulatory home allows the ministry to provide a more comprehensive regulation than the home does today.
ParlaMint-NO_2010-03-10.ana.ud2469e898	I thank you for your answer. I think it was very nice to hear that this matter is working seriously, and that you are also working to create a regulation and possibly a law that works after the intention. It is a serious problem that many people have been drugged in their working hours, which of course follows for patients, but it also has great consequences for the person concerned, unless this is caught up and taken up. It is true that those who are addicted need help to get out of the abuse. What worries me a little is the deadlines and the answers that come from different governments, which are not being followed up. Sylvia Brustad replied that the proposal for a regulation should be clear ‘by 1 October 2008’, and the last response from Bjarne Håkon Hanssen six months ago was that the proposal should be open to external consultation ‘in the next few weeks’. Can the Council of States now promise that the time perspective she sets here today will hold?
ParlaMint-NO_2010-03-10.ana.ud2469e907	At least I can say that I think I have very common interests with the questioner, the representative Giltun, so that I will do everything I can to now do what has been promised by my predecessors as well. I'll put my honor in that this is coming as I have now said.
