ParlaMint-NO_2010-05-26.ana.ud2104e26	The representative of Morten Stordalen will present a proposal for a representative.
ParlaMint-NO_2010-05-26.ana.ud2104e433	Here it's about having two thoughts in your head at the same time. As I said in my short answer in a previous round related to the very same topic, there are two different areas we're talking about. There's no connection between what's happening in one area and another area. Why the rate of duty on milk was raised – I should not enter the agricultural agreement – it is not my responsibility. My responsibility is within fish and its export. And as I said, I work closely with the Minister of Economic Affairs and Trade, who is sometimes actually criticized for travelling around the world and working for Norwegian exports. I appreciate it incessantly and work closely with him, as I said. We have seen in previous cases that we have an international regulation that protects the export of Norwegian fish has been beneficial to us, and I will continue to work with the Minister of Food and Trade linked to selling even more fish outside the world.
ParlaMint-NO_2010-05-26.ana.ud2104e438	Elisabeth Røbekk Nørve – for follow-up questions.
ParlaMint-NO_2010-05-26.ana.ud2104e441	As the representative of Nesvik pointed out in his question, the Minister for Fisheries has just been on Vega. The Council of State required Norwegian breeders to create more jobs. In its reply, the Council of State claimed that there is a high potential to increase production in processing and thus the number of jobs, but we know that the biggest barrier to land-based fish farming is precisely the customs barriers, especially on processed fish. Does the Council of State see that by building up the customs barriers to protect Norwegian agriculture at the same time contribute to undermining the possibilities of the farming industry to meet the demands of the Council of State for more jobs?
ParlaMint-NO_2010-05-26.ana.ud2104e446	In fact, I disagree with the representative Røbekk Nørve that the customs barriers are the biggest barrier. In fact, I think there are other things that are a bigger barrier to increasing the processing of fish – and now we are talking first and foremost about salmon – in Norway. We have glittering examples that show that a simple form of processing creates many jobs. We see that in the Hitra/Frøya area, large processing capacity is now being built up. They do, of course, because it's business-economically profitable. I am afraid that we are actually struggling with old attitudes across the country based on the fact that we are suppliers of raw materials rather than producers of seafood. I want to do something about that – simply because I think it is possible. And I know that's possible. I know that many jobs are created based on Norwegian salmon production today. I want to see more of that. Because, as I say, the aquaculture industry uses common land, and then I believe that it is reasonable to demand results.
ParlaMint-NO_2010-05-26.ana.ud2104e453	Rigmor Andersen Eide – for follow-up questions.
ParlaMint-NO_2010-05-26.ana.ud2104e456	There have been several reports in the media on the adverse effects of toxic substances used in the treatment of salmontus. The Christian People's Party has asked the Council of State questions about the issue in the past. The Minister of Fisheries has recently opened up new drugs to detach salmon, among others. flubenzurons, in 500 rearing plants. Researchers at the Institute for the Exploration of the Sea have assessed the potential health and environmental effects of the use of these substances and have concluded that they are toxic to, inter alia, crustaceans, even at low concentrations. Where do the alternative measures come from? The breeding industry has carried out a number of successful research projects on the use of lip fish, which eat lusa, among others. in Agder. Breeding is another important means of removing the livelihood of lice and other parasites. Will the Council of State intensify the fight against salmonids by implementing a minimum set-aside target for farms and increasing the use of lip fish?
ParlaMint-NO_2010-05-26.ana.ud2104e465	That question is little about processing, but I like to answer it very much, because it is one of the degrees relevant question. The first thing I want to clarify is an obvious misunderstanding. It is not the Minister of Fisheries who opens up new medicinal products in the aquaculture industry, it is the Agency that does, and it is under the Minister of Health and Care. In spite of this, this is a topic that I have been committed to, which is precisely related to the substances that were mentioned here. I invited the departments concerned to a meeting with a background in not the substance itself, but with the extent of the use of the substance mentioned here. We put down a fast-working group to look at it. But the important thing is to have the long perspective here as well. Lepfish, fallowing – the fight against salmonnus is still high on my agenda. I know that there are now interesting attempts to raise lip fish, and I look forward to the results. Bracking is also a theme on which we spend time.
ParlaMint-NO_2010-05-26.ana.ud2104e474	Let's move on to the last main question.
ParlaMint-NO_2010-05-26.ana.ud2104e477	I have a question for the Minister of Fisheries and Coast. U-864, the German submarine outside of Fedje, is located like a ticking environmental bomb on the seabed. 67 tonnes of mercury is a gigantic source of pollution which, with its spread to the ocean cycle, can have serious consequences, not only locally but also for the credibility of the environmental nation of Norway. That is why the Stortinget and the government half a year ago, after thorough assessments, went in order to eliminate the wreck and the load and thus eliminate the risk of spreading. Or as Minister for Fisheries and Coast Helga Pedersen said: ‘We have placed a decisive emphasis on the uncertainty of the local population by having a mercury deposit in the rocks.’ It was also said that the method chosen contained a number of risk mitigation measures in relation to previous cancellation offers, and Helga Pedersen stated in this context: ‘The weapon shall be raised by a large container below which dissolved mercury can be captured and shall be carried to land by special vessels.’ Well said. So, as late as May 19th this year, a week ago, the Prime Minister says, according to the NRK: ‘It is the aim of everyone to have the submarine unloaded.’ But his government, with the Minister of Fisheries and Coast, has gone in to reset up the upliftment, retreat to take off, by proposing once again to explore other alternatives, including the covering of the wreck. Does the Minister for Fisheries and Coastal Affairs understand the rapporteurs and the peoples of the West who now say that the ‘government keeps the west coast for fools’ and describe it as a political game? Now the formal uncertainties surrounding the contract conditions have been cleared up. Why, then, does the government and the Labour Party want to risk the environmental disaster of the times along the Norwegian coast? Shouldn't the locals be safe anyway?
ParlaMint-NO_2010-05-26.ana.ud2104e501	Fortunately, we have plenty of time to discuss the U-864 in the near future, all the time there is a matter for consideration here in the Stortinget linked to it. On the question of whether I understand that the rapporteur and the people are concerned about the matter, the answer is yes. I live on the coast myself, I can easily get into that situation. I don't have a submarine – and at least not mercury – lying outside the cast where I live, but I can easily get into it. The government has always said that the goal is to lift the submarine. We haven't changed that decision, it's firm. When the government received the KS2 report, which was extremely critical of the current cancellation project – the present cancellation project, I stress it – I and the rest of the government felt that the only responsibility would be to stop and ask ourselves: What are we doing now? Therefore, we recommend to Stortinget that we go to work more thoroughly, get proven alternative ways to raise it, combine raising/coverage. Once a cover-up option has also been included, it is in respect of the complexity of the matter, simply so that if it should prove that it would be completely impossible to bring up all the mercury, we must also have a realistic, sound alternative, which is safe and environmentally sound enough.
ParlaMint-NO_2010-05-26.ana.ud2104e510	I agree with the Minister for Fisheries and Coastal Affairs on one point that the report was critical of the government's own sub-organisation, namely the Coastal Agency's, handling the matter. It was critical. But many of the conditions that were pointed to there have now been corrected. And the Council of State itself told me at the hearing that where the Coastal Works have lacked competence, this has been collected, and where the Coastal Works have their own competence, this will be used. So it should now be in place. And when the company has also made many clarifications, following calls, in the agreement, and has made a price guarantee, there is reason to ask the Council of State again: Has the government really assessed the impact on Norwegian fishing interests if emissions increase and the food chain and the environment are affected at a completely different pace from today, due to the steady un-swings of the government in this matter?
ParlaMint-NO_2010-05-26.ana.ud2104e518	I stress again that it was the whole of the solution and cancellation option that was the basis for the government's recommendation not to go further with this. Then I have also recorded that there have been many recordings, both to alternative ways of doing it and not least to the project at hand. It's come a little bit apart and divided, a little bit like this and a little bit like that. I think it's quite difficult to work in such a way. We treated the project as it existed. In subsequent rounds, it will be possible to make modifications, changes, there is nothing in the way that there may also be an alternative, but to deal with this in a serious, thorough and formal way, the government has chosen to do so. I stress that it was the whole of the present project that led the government to recommend changing and extending it.
ParlaMint-NO_2010-05-26.ana.ud2104e529	There will be three follow-up questions – first Ingerd Schou.
ParlaMint-NO_2010-05-26.ana.ud2104e532	I have a follow-up question for the Foreign Minister. The government has been concerned that other countries should clean up environmental threats that could threaten neighbouring countries, such as – crossroads – Murmansk, Sellafield, rainforest. The submarine is located in Norway’s suburbs, with possible consequences for a number of neighbouring countries. It's all about clean seas. What assessments does the Minister for Foreign Affairs make in view of Norway's reputation as a fishing nation in relation to our second most important export industry?
ParlaMint-NO_2010-05-26.ana.ud2104e539	I have, frankly, nothing to add, based on the thorough answer the Minister for Fisheries has given. This is a matter that the government takes seriously. I think that the modern reputation of the country is made up of a lot of relationships. And when it comes to the environment, coastal management and management of marine resources, I think that, in sum, is a good story about Norway's reputation internationally. We have products that are sold all over the world, from a clean sea. This means that we have a great opportunity, but of course we are also vulnerable in terms of trust in these products, if questions should be asked, among other things. health and safety. But it takes the government seriously, and it's the Stortinges orientated about it. I have nothing to add besides what the Minister for Fisheries has said.
ParlaMint-NO_2010-05-26.ana.ud2104e546	Arne Sortevik - for follow-up questions.
ParlaMint-NO_2010-05-26.ana.ud2104e549	I would like to ask the supplementary question to the Council of State, to the Minister for Fisheries and Coast. The entrance is that if this submarine had been at Langesund, the cancellation operation would probably have been going on a long time ago. The councils are flying under a false flag. I Prop. 81 S for 2009-2010, which we are about to deal with on Monday, says: ‘By also including coverage and an alternative where raising and covering are combined, the likelihood of remaining together with satisfactory alternatives for the management of mercury pollution’ – and which – ‘is acceptable for management, risk and costs’. This bears the command that the government has made up its mind. This offers that the government chooses a completely different solution from the one presented by the previous Minister of Coast and Fisheries in January 2009, when it was stressed that the decision to lift was made because a safe solution had been found. Is it that you now choose cover instead of raising?
ParlaMint-NO_2010-05-26.ana.ud2104e561	If being concerned about the environment and the security of the people of the West is flying a false flag, I live very well with it. The only thing I and the rest of the government are concerned about is, how can we do this as best we can for safety? It concerns the safety of those who are required to do the mission, the safety of the population and not least the environment. That's all I'm concerned about. In order for me to meet the strong need and the strong demand for that, we have to do this thoroughly and implement it in a proper and proper way. When we get a KS2 report that to those degrees is strongly critical of the current option, I would actually say that it would be irresponsible to go on as if nothing has happened. That is why the government is now going to work thoroughly and, as I said earlier, in respect of the fact that this is a demanding project, we must be sure that we have a realistic alternative.
ParlaMint-NO_2010-05-26.ana.ud2104e570	Knut Arild Hareide – for follow-up questions.
ParlaMint-NO_2010-05-26.ana.ud2104e573	I look forward to the debate next week on this important matter, but I think it is very important for us to agree with the Prime Minister before this debate becomes clear on the subject matter of the Berg-Hansen Council. So the Prime Minister said on TV 2 on 19 May that he was in agreement with the locals that the boat should be raised. He used the words to be raised, and he added: as soon as it's professionally defended. And then my question is, because this is an important premise for our debate: is it that the Council of State also agrees that the submarine should be raised?
ParlaMint-NO_2010-05-26.ana.ud2104e580	The Council of Trade Unions agrees with the Prime Minister. Yes.
ParlaMint-NO_2010-05-26.ana.ud2104e585	With that, the oral question procedure is over, and we're going to the ordinary question mark.
ParlaMint-NO_2010-05-26.ana.ud2104e592	There will be a number of changes in the list of questions drawn up, and the President will refer in this context to the overview distributed at the premises of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative Hans Olav Syversen to the Prime Minister, has been transferred to the Minister of Justice, who is directly responsible. At the request of the Minister of Justice, this question is moved and answered before question 8, to be answered by the same Council of State. Question 3, from the representative of Øyvind Håbreek to the Minister for Local and Regional Affairs, has been transferred to the Minister for Children, Gender Equality and Inclusion, who is directing him. The question will, however, be answered by the Minister of Knowledge on behalf of the Minister for Children, Gender and Inclusion, who has been away. Question 4, from the representative of Gunnar Gundersen to the Minister for Economic Affairs and Trade, will be answered by the Minister for Justice on behalf of the Minister for Economic Affairs and Trade, who has been removed. Question 10, from the representative Line Henriette Hemdal to the oil and energy minister, has been withdrawn. Question 11, from the representative of Mr Träldal to the Minister for Agriculture and Food, has been transferred to the Minister for the Environment and Development, who is directing him.
ParlaMint-NO_2010-05-26.ana.ud2104e609	Question 1 will be answered later.
ParlaMint-NO_2010-05-26.ana.ud2104e615	Then I allow myself to ask the following questions to the Minister of Knowledge: ‘As a result of major changes in the school structure in many municipalities, often adopted in the budget procedure in December, the launch of privately run schools is a major initiative. The length of the ministry’s length of time and, hence, the early application deadlines make it impossible to approve a new private school for the start of the school in the autumn of the current fiscal year, even if the school is to be based on well-known pedagogy. Will the Council of State reduce the length of the procedure so that students can avoid an unfortunate interim in such cases?’
ParlaMint-NO_2010-05-26.ana.ud2104e629	First, a few comments on what is now happening in school structures in many municipalities. First of all, it's so local that you have a good enough knowledge to make good decisions. And if there's something we don't have to do in Oslo, there's details about how the school structure in the municipalities should be. The balances that have to be made locally are about ensuring that it is a good educational professional environment, and that it is a good environment for the children, you have to look at the length of the journey, and of course what the local environment wants. But there are schools that are too small to keep a good professional level, and that are too small to keep a good social environment for the children, and without the travel route being deterrent to the students. But what's the situation in a lot of places is that there's a lot of commitment for many colleges, and that the option for many parents, and for the local environment, is to try to create a private school. The application period for the establishment of new private schools is set at 1 April of the year before the planned start of the private school law. The Directorate of Education is examining applications for the approval of private schools, and this year many applications have been submitted with this particular issue – 37 applications for the establishment of new schools. For the sake of students, it is important that the directorate in each of these 37 cases is fully involved and that matters are properly dealt with. Before authorisation may be granted, the directorate must obtain an opinion from the host municipality. At the same time, the Directorate must ensure that the applicant complies with the minimum legal requirements. Before the school can start, the school must, among other things, present a realistic budget, entry rules and rules of procedure must be approved, the school must demonstrate that teachers at school have the necessary competence, and the premises must be approved by the county. The operation of a private school to provide training for children and young people is a major and important responsibility that should not be taken lightly. Without proper processing, we will not be able to ensure that the applicant fulfils the conditions that must be in place to obtain permission to assume this responsibility. I understand that a possible middle year, as envisaged in the question, can be difficult for the students and their families. This may not, however, mean that the authorities should take lightly the approval of private schools and should not be properly dealt with in order to ensure that children receive the training they require. I will therefore not change the deadline for applying as it is today.
ParlaMint-NO_2010-05-26.ana.ud2104e644	I thank the Council of State for the answer, which shows to a large extent that we have the same focus on the matter. It's the best of the children, and we're not going to have four on the terms. But what is still a reality is that approx. 360 schools have dropped over the last three years, school structures have changed dramatically, and there are some eighty new schools that have come in the same period. Many of them have similar pedagogy, especially the Montessori pedagogy. In concrete terms, in Trysil, a plan to start a new structure from 2011 was suddenly changed to 2010. The schools that are applying for Montessori school have everything in place, but can't get it started this year. And they have applied for urgent treatment of the application. There are three applications in the county, and these are for the three schools — equal treatment. But nevertheless, it is now said that these students have to go one year in a new school structure, with a long way to go, then to go to new schools that they have said they will go to.
ParlaMint-NO_2010-05-26.ana.ud2104e651	I haven't seen anything special at the schools in Trysil, but they're three out of 37 applications available, and I'm going to tip off that the other schools will also claim that they're in a similar situation. It is then quite demanding to be able to ensure the quality of the offer that the children will have. Children in small private schools shall be entitled to the same good quality offer as children in all other schools. In very special cases, there are some possibilities for exceptions to this deadline — but there should be very special reasons. From what I know, a little bit through others, about these issues, I can't see that there are very different issues in Trysil compared to other places where you also have a desire to set up private schools.
ParlaMint-NO_2010-05-26.ana.ud2104e658	I record that the Council of State concludes that she will not change anything. This results in children in Trysil getting a travel time far beyond what you would consider to be normal travel time for children. They break up from their local environment, and then come back the next year. The process is underway, and the application to establish a school from 2011 has been delivered. This can't be good for the kids or be good for the kids. That's my assumption all the time – and as I see it, it's in place – that the pedagogy is in place and the environment is in place. All these others are in place, it is the State aid that is missing. These schools have also sent an enquiry asking if they can get help to get started in other ways. It is a piece of rights in the Training Act that allows you to have a private school without a grant, but it creates uncertainty for the children. Is that a good way to solve it?
ParlaMint-NO_2010-05-26.ana.ud2104e667	I believe that the representative Harberg understands that I cannot stand and handle requests for three private schools from Stortinget’s pulpit. We need to have quality assurance, and we need to have a certain level of non-discrimination with other private schools that are also applying. It is not a true picture that there has been a massive closure of small schools in Norway, but of course it is a trend that is related to the pattern of housing: in some places you may have problems in maintaining a school of good quality. Let me just say that in many places in Norway there will be small schools because the country looks like it does, and it's a challenge to make sure that you can work together in a little new ways to have both good professional environments among teachers and better environments among students. Video conferencing and other ways of cooperating are possible methods of use. I have asked the statesmen to conduct a study on the students' route as a result of the changes that have occurred. What we know is that it's 4 pst. of children who have more than two miles of travel — each way. Now it may not say much about travel time either, because there may be quite a lot of different conditions, but it says at least so that the biggest challenge is not about the length of the school road in general, but probably to a very large extent about maintaining a nearby environment.
ParlaMint-NO_2010-05-26.ana.ud2104e679	Here it's getting complicated! This question, from Øyvind Håbreek to the Minister for Local and Regional Affairs, has been transferred to the Minister for Children, Gender Equality and Inclusion, who is the right person. However, the question is answered by the Minister of Knowledge on behalf of the Minister for Children, Equality and Inclusion, who has been away.
ParlaMint-NO_2010-05-26.ana.ud2104e684	‘The Minister for Children, Gender Equality and Inclusion states to Stavanger Aftenblad on 3 May that there is a critical situation in municipal child protection. How will the Council of State contribute to addressing these challenges and ensure that municipal child protection is provided with resources for the necessary escalation?’
ParlaMint-NO_2010-05-26.ana.ud2104e691	As the President was in the Chamber, I am now responding on behalf of the Minister for Children, Gender Equality and Inclusion Lysbakken, who is responsible for the Council of State. We have a significant challenge with regard to child protection, because vulnerable children and young people need the best possible help when they need it from child protection. It is the municipalities that have a primary responsibility to follow up the child-restraints. ==References== 80 pst. of all measures in the field of child protection are municipal. Local authorities also have the best conditions to provide help — they can get into the family early, and they can cooperate with other important services such as kindergarten, school and health. Strengthening child protection is a high priority in our government. State child protection has been provided for several years with significant increases in funding. Now it's time to strengthen municipal child protection. Although child protection is a statutory service for municipalities and municipalities are responsible for ensuring that child protection is provided with the necessary framework to provide the best possible help, we see that many municipalities are struggling to do just that. We know that there is a breach of treatment deadlines in child protection, there is a lack of statutory action and care plans, and there are children who are not being supervised. Things are being resolved despite their seriousness. Many children do not get the right help at the right time, and that is an unacceptable situation. Half-yearly reporting from municipalities shows that there are considerable differences between municipalities in the number of notifications, studies and children in the number of interventions per employee in the municipal child protection service. This is serious and may indicate that the quality of the offer of child protection to children and young people depends on where you live. The government's objective is that child-restraint children should have a good and equivalent offer. This requires a high level of professional protection for children, and not least sufficient capacity in the municipal child protection service. Small municipalities are particularly vulnerable. We have therefore shown a very positive attitude towards inter-municipal cooperation. I believe that far more municipalities need to assess intercommunal solutions in this area. This is something KS also agrees with, and we're working together to facilitate. We know that the number of municipal child protection posts has not kept track of the growth in the number of cases. It means less time to work on some complex issues. In the worst case, this could be a threat to the legal certainty of children. The government has addressed this challenge by increasing the free revenues of municipalities for 2010 by 4.2 billion. kr. This provides room for the creation of 400 new posts in municipal child protection. I would like to stress that the municipalities themselves have the responsibility to assess the manning situation and to create more jobs. The Ministry of Children, Gender Equality and Inclusion will closely monitor the priority of child protection in 2010. The Ministry of Children, Gender Equality and Inclusion has, among other things: asked the county councillors to provide an assessment of the state of each municipality based on their own reporting and the county council’s supervision of the municipalities – this in order to give an indication of which municipalities are most vulnerable, and to be able to keep up with the development and see if the municipalities are giving priority to the protection of children in the future. In addition to own assessments by county officials, the government is closely monitoring the development of annual works through half-yearly reporting by municipalities. In the autumn of 2010, we will be able to say something more about whether the municipalities have given priority to several municipal child protection posts. If it turns out that the objective of strengthening municipal child protection by 400 years of age will not be achieved in 2010, the government will consider other instruments to ensure that municipal child protection is strengthened.
ParlaMint-NO_2010-05-26.ana.ud2104e712	The question was originally asked to the municipal minister, and I allow myself to say that when the question is asked to the municipal minister about how she will contribute to solving the challenges of municipal child protection, the Minister for Children and Gender Equality is not right. But when he could not meet, I find it interesting to hear from the Minister of Knowledge, and, to the extent that the party leader of the SV, also assesses the situation of child protection, which is now described as unacceptable, serious and critical – also by the Minister of Children in the past. The questions are: why is municipal child protection under-priority in municipalities? Is it because this is a group that doesn't have the strongest support groups in society behind it? Does the Minister of Knowledge agree? Does the Council also agree that it obliges the government and us as politicians to support precisely this group that is dependent on municipal child protection?
ParlaMint-NO_2010-05-26.ana.ud2104e719	Yes, I am. These are some of the most vulnerable inhabitants we have in Norway. These are children who often need to be discovered by adults other than their own parents. These are children who often need action and cooperation between different actors in their lives, whether they are kindergartens or schools, health sisters or PP services. They simply need to involve many in the services for which the municipalities are responsible. I think there are several reasons why it's hard to get a standard of child protection that we're going to be happy with, partly because these are issues that many of us don't necessarily see, or that the voters don't have first place in the pancake when they're looking for which party they trust, and partly there may be complex things, i.e. difficult things to approach. The sum of that makes it particularly demanding to get child protection up on a standard that we'll be satisfied with. That doesn't mean we're not going to do everything we can, and we're going to do that.
ParlaMint-NO_2010-05-26.ana.ud2104e726	I thank you for your answer. I appreciate that we agree that this particular group requires special attention because they do not have the strong interest groups in their backs as other groups who – in a way – fight about the welfare billions. But that is also the more binding for us. When, in addition, we have a government that describes the situation of municipal child protection as critical, it is serious, and it commits to action. As the Council of State's first response also stated, unacceptable conditions are described as serious. When we have seen that the municipalities have increased funds, and we are still in the situation of child protection, the question is, which was the starting point for my first question: what means is the government willing to use to ensure that the municipalities actually prioritize child protection? Is the government willing to use earmarking of funds to ensure that child protection is stepped up to a decent level?
ParlaMint-NO_2010-05-26.ana.ud2104e735	So, as I mentioned in my first answer, the framework for municipalities for 2010 has been laid down, where 400 new posts have also been taken into account in the field of child protection. So far we can't prove that there have been 400 new posts around the municipality of Norway related to municipal child protection, but we have a better overview of that issue for the autumn. Then I would like to say that we have to consider earring. We have to assess whether the law is good enough. We have to consider whether there are other types of measures we have to take if not what we have already done has given effect that is noticed for the children that it actually applies. So no means can be excluded if we find that it is necessary to achieve the goal of child protection with a quality that makes us reasonably confident that children in a critical situation will receive help.
ParlaMint-NO_2010-05-26.ana.ud2104e745	This question, from the representative of Gunnar Gundersen to the Minister for Economic Affairs and Trade, will be answered by the Minister for Justice on behalf of the Minister for Economic Affairs and Trade, who has been away.
ParlaMint-NO_2010-05-26.ana.ud2104e748	Then we hope the Minister of Justice answers better than the Minister of Finance has done. The question is: ‘The government has on several occasions pointed out that enterprises with State ownership are to be the leaders of social responsibility and that it is the responsibility of the board to implement policies and systems in order to follow them up. The Minister of Finance and the Chairman of the Board of Directors of Cermaq until 2009 has failed to address this issue on the grounds that the board ‘did not get to know or was briefed on’ fish oil trade with West Africa. How does the Council of State view this as an explanation from a director of a state company?’
ParlaMint-NO_2010-05-26.ana.ud2104e757	I'll try to answer as best I can, and then we'll see how it works. Initially, I would like to say that it is not my intention to judge the activities of board members out of major and semi-state companies, but it is therefore important, as the question also shows, that the responsibility of the state to bring social responsibility into the governing bodies is to be assumed. I point out that Cermaq ASA is a listed company in which the state owns 43.54 pst. The State in which the shareholder deals with the board and management of Cermaq under the provisions of the General Shares Act on the division of roles between board, management and owners. It follows, inter alia: of which it is the board of directors and the management of the company which is responsible for the business operation of the company, including the powers of the management of the company to carry out the appropriate management of the interests and values of the company. The management of the company has informed that agreements concluded by a subsidiary on supplies of raw materials for production, in this case the EAW’s agreements with Rieber Oils on fish oil for fish feed production, are agreements managed by the administration within its powers. Furthermore, the management of the company informed of the agreement with Rieber for this reason has not been submitted to the board of Cermaq ASA. When Cermaq ASA informed the Ministry of Economic Affairs and Trade about the matter in March, the Ministry clarified its expectation that Cermaq and its companies would contact and follow advice from the Ministry of Foreign Affairs regarding the understanding of the recommendation on trade with Western Sahara. Cermaq’s subsidiary, EWOS, decided on 9 April to close the trade in fish oil from Rieber Oils from the disputed region of Morocco and Western Sahara, a decision taken by the Ministry of Economic Affairs and Trade.
ParlaMint-NO_2010-05-26.ana.ud2104e770	I thank you for your answer. I think the Council of State gives the impression that you're taking this seriously, and I appreciate it. The agreements have now been concluded until 2002, so that a meeting in March is delayed, and a board of directors will be in the forefront. I think Sylvia Brustad, then Minister of Economic Affairs, said this very well in the 2008 State Owners' Report. There she says, ‘It is the governance of companies that is responsible for implementing policies and systems that ensure that the corporate social responsibility is performed in the best possible way.’ The current director, Johnsen, has replied to me that the board did not deal with this, did not get to know or was informed about this. Then we're down to how a board should write guidelines and implement systems. Does it keep your head stuck so far down in the sand that you don't register what's going on?
ParlaMint-NO_2010-05-26.ana.ud2104e784	I fully agree with Mr Brustad, Minister of Industry at that time, with the initiatives taken during her time, but I also agree with what has been done by the Ministry of Economic Affairs at that time. I would particularly like to refer to the news posted on the Ministry of Economic Affairs and Trade's website on 5 October 2009 and to the PwC's report, where the opinion of Sylvia Brustad came, but also to what appears in St.meld. No 10 for 2008-2009 on the social responsibility of industry in a global economy, and which is precisely the political issue, which I also understand the representative Gundersen is concerned about: what can be done, not only to state owners, but to all types of owners, so as to take on the considerable social responsibility it is to set up the business so that most of us see as a good social responsibility? That is where I believe the policy in the matter lies. I also believe to a great extent that the Governments of the Ministry of Economic Affairs have actually taken action in relation to this, so that more instruments are given to them to do not only the governing bodies, but also the administration.
ParlaMint-NO_2010-05-26.ana.ud2104e789	Again: I appreciate the fact that the Minister of Justice sees the seriousness of this – I really feel that he does – and that he takes some signals back to the Minister of Industry, because more needs to be done here. A company such as Kerr-McGee was excluded by the State pension fund abroad because they had entered into a contract in Western Sahara in 2008. Then it was reversed in 2009. This illustrates the seriousness. Norway’s Bank’s management of the State pension fund abroad is monitored by the Minister of Finance, who was then the Governor of Cermaq. The March meeting was very good to take the initiative, but the department should also look into whether there were guidelines and systems in Cermaq right back to 2002 which made the company aware of the type of problem that was being addressed here. That's the interesting thing. Were the guidelines and systems in place? Will the department go in and check if this was actually in place?
ParlaMint-NO_2010-05-26.ana.ud2104e798	I will promise that I will take the signals from the representative of Gundersen to the Minister of Industry about this, and I am convinced that he also reads the record from this questioning process, so that he can see what was actually said. I think it is absolutely crucial for these kinds of challenges that we face – and not only in companies where the state is engaged, but also in other purely private companies – that we get systems and opportunities for all levels of organisations and in all types of companies, in subsidiaries and in groups, to be able to exercise effective control, so that social responsibility can be taken seriously. There I have to say that I believe that the general steps taken by the Ministry of Economic Affairs in recent years are very important steps on the right path to bring activity into the social responsibility that we want them to take.
ParlaMint-NO_2010-05-26.ana.ud2104e808	‘Right, it is a good idea to ensure railway training at master level in Norway. What will the Council of State do to ensure that management and institutions have sufficient and high competence in rail, signalling and other areas?’
ParlaMint-NO_2010-05-26.ana.ud2104e815	It is the responsibility of the Railway Agency to secure the railway professional competence in Norway. It is necessary to increase the level of promises, go hand in hand with recruitment and training of enough people with the right skills. Developing training provision and enough capacity to implement the increased investment on the railway will take some time. We must therefore be told that the lack of competence will be a problem within some parts of the sector for some time to come. The railway works along two lines now. The one is to cover up the areas where one has a lack of competence today. This applies in the first row of signals. The second is the longer-term work on the provision of education that guarantees railway professional competence in the future. This applies to professional, bachelor and master levels. Of the measures being worked on, I would like, among other things. mentions: The Railway Agency has reduced two working groups with representatives from all over the sector to identify the overall need for competence in the future. The plan is to market the railway industry and work together to develop good training provision for railway competence. In the signalling field, the Railway Agency has set up a training programme to increase the capacity to train signalling engineers in the coming fall. Training takes place in cooperation with the Norwegian Railway School. At the same time, a bachelor's degree in signal science is being set up in collaboration with the Högskulen in Oslo, starting in 2011. The Hochskulen has also expressed an interest in the creation of a bachelor's degree in the field of railway and contact management/electricity. The railway works also plan, together with the Högskulen, to conduct electrification in railway engineering from the autumn off. There has also been contact between the Railway Agency and NTNU to see if it is possible to create an experience-based master's degree in railway engineering, so that they, as already have a bachelor's degree, can emerge in part-time. One sees that such a master degree will be able to cover several railway subjects. In the autumn of 2010, the Railway Agency will conduct an invitation to tender aimed at high-spherics. The aim is to provide part-time further training for skilled workers who want to move on at an engineering level. It may be useful to establish Bachelor's degrees at more than one university.
ParlaMint-NO_2010-05-26.ana.ud2104e837	I thank the Council of State for the answer. There's a lot of positive at different levels, from tradesmanship to master's degree, which is on the stairs. Education is central at all levels to ensure both reputation and reputation, not least the legitimacy of education and quality, especially as regards the railways, which we are now talking about. But also in order to recruit at different levels, it is essential that we have education. The railway system is due to a lack of competence. Railway engineering has been a subject of its own, but it has been out of the curriculum at NTNU because, among other things, has worn out with applicants. Railway engineering has been an education — a part of an education — in the study of construction, construction and transport at NTNU. Does the Council not see the need to re-establish the possibility of having a master's degree at a university level in a way?
ParlaMint-NO_2010-05-26.ana.ud2104e846	Creating a master's degree in railway engineering is one of several themes that will be discussed between NTNU and the Railways. I'd say it's ambitious, what's here from the Railway Agency: plans for different levels of education and cooperation with different higher education environments. In addition, I have registered myself that they have an extensive cooperative activity, e.g. inviting students from higher education to installations where there is work. When I myself visited the Gift Box, there were two student groups from NTNU there, with the aim of recruiting more people from the Railway Agency.
ParlaMint-NO_2010-05-26.ana.ud2104e853	Thanks for the answer. Self-education could give more status, provide more information about the subjects and also facilitate the promotion of the study. There are exciting challenges for the railways in the coming years in Norway. It is important to point out that it is actually possible for students to make their careers in the transport and rail sectors. Now the State Council itself says that the Railway Agency says that lack of competence will probably bother them over time. The first question concerns opening up opportunities for students in Norway, which we are now talking about, but also abroad, and cooperation with universities and universities outside Norway. Has the Council of State considered this?
