ParlaMint-NO_2010-05-06.ana.ud710e48	The representative of Mr Harald T. Nesvik will present a proposal for a representative.
ParlaMint-NO_2010-05-06.ana.ud710e624	Here we're going to live with that there's an interpretation difference. I mentioned many important EU and EEA issues in my presentation. I mentioned it in my foreign policy statement, and I'm willing to talk about it here. There is no boundless freedom at the root of it, it is completely natural. But I also believe that we need to see these issues in relation to what is happening in Europe. And it's strange -- I let myself say, it wasn't a limitless assessment, in and of itself -- that the head of the Foreign Affairs Committee doesn't point it out when we have a debate on EU and EEA matters in this room. Then there'll always be a discussion about which things you're taking, and which things you're not taking with you. I believe that in the list I mentioned, I addressed matters that are not very complicated, and matters that are complicated. I also had a very thorough analysis of Norwegian influence possibilities and restrictions under the Lisbon Agreement, and thus, at my discretion, provided a good basis for the debate here in the Chamber. That the head of the Foreign Affairs Committee was not satisfied with that, I get to live with it – at least it was well intended and a good try.
ParlaMint-NO_2010-05-06.ana.ud710e631	The cord shift is over.
ParlaMint-NO_2010-05-06.ana.ud710e634	Norway is a small country in a cohesive Europe. Globalization is very positive for us. We are one of the world's winners because of globalisation, not despite globalisation. It has given us access to important markets for the export industry, it has given us cheap imports of consumer goods and access to labour through membership in the EEA territory, to mention something. The world is in a serious financial crisis. The financial crisis is definitely affecting Europe. The need for stronger control is evident, including in the EU. That is why the proposal from the European Commission to establish a new supervisory structure, which is very positive, is a proposal that will now be discussed in Parliament. The debt crisis is raging in Europe. It will lead to a failure in demand. And it can hit Norway – 80 pst. of our exports are just going to Europe. The EU is our home market. A long period of labyrinth growth can also lead to a long period of high unemployment in the EU. And I would like to say that I think it is very alarming that the head of the Foreign Affairs Committee does not affect this as a backbone in its contribution, when we are here to discuss important EU and EEA issues. But Europe's unemployment rate is variable, it varies greatly between countries. In Norway we now have an unemployment rate of 3.8 pst. The lowest unemployment rate in the EU area is 4.1 pst for the Netherlands. The highest one is Latvia, with 22.3 pst. This shows that we may sometimes need to differentiate when we talk about Europe, when we talk about the European Union. There's a lot of things at once. We have done quite well in Norway. We have had the political will to put in place the right actions at the right time. In addition, we have had 'peeng on book', as the Minister of Finance would have said, if he had been here today. We have saved in good time to use in bad times. And fortunately, it is only the Progress Party here in this Chamber that does not agree with that principle. But the Norwegian export industry is very exposed. Increasing prices of export products have contributed very positively to industrial performance over several years. This trend was reversed with the financial crisis and the international setback. At the same time, demand has been weakened. And if demand fails in our domestic market Europe, we may have problems selling our industrial products. A stronger krone and an abnormally high interest rate in Norway versus in other countries can reinforce the problems of industry — and so if the EEA area does not get back on track. Europe has a significant potential. The geography, the economy, the technology and the fact that there are strong, democratic states that are able to deal with difficult political issues together, will allow Europe to have a very central place if we take it, and if we go on the train before the train leaves the platform. Together with countries such as the United States, Russia, Brazil, China and India, the EU should have a central place around the central tables of the world. Although the EU has always had defence and security policies as a kind of unwritten support element – in fact, the Second World War and the creation of a structure in Europe that prevented further world wars, which was the history of the EU, defence and security policies through the Treaty of Lisbon have been enshrined in what is called the Common Security and Defence Policy of the EU. Norway's relationship with the EU's common security and defence policy gives us the opportunity to influence, which we must use. Although we are not members, we cannot stand outside security and defence cooperation that now includes most of our Nordic and other European co-operation countries. For example, Norway has: involved in more than one EU operation than any other third country. The frigate, of which we are all certainly proud, who has been in the Gulf of Aden, is perhaps the very best example. We also have our own cooperation agreement with the European Defence Agency as the only non-member. It gives us the opportunity to influence both research and development carried out within the framework of the EDA, to which it is abbreviated. With a competent and outlying defence industry, we actually have a number of offensive interests within the scope of the EDA. I want to use this opportunity in this debate to stress that this work is very important for Norway, but also for Norwegian jobs in the defence industry.
ParlaMint-NO_2010-05-06.ana.ud710e655	First of all, I would like to take the opportunity to thank the Minister for Foreign Affairs for the presentation. He was in the presentation in many different areas, but I would also like to point out that, in his presentation, he largely took into account the historical – where we have been and what we have done – and very little came into play on the possibilities that lie within the EEA Agreement, on whether we use them, and what is the objective of moving on. I think it's important that we get started early. Our goal must be to get as early as possible into the process of EEA cooperation, so that we can get involved and influence, instead of sitting on the outside and looking at what comes to us, and here in the house almost race to implement EEA directives so quickly that we ourselves hardly know what we have been involved in adopting in some contexts. That criticism goes not to the Government, but to ourselves in this house. Sometimes there is reason to stop – in particular the Committees – to discuss through what these EEA Directives will mean, how they will affect us and what opportunities they give us. The Treaty of Lisbon also offers us great opportunities and great challenges. But we have to see the possibilities and not just the problems. In this connection, I would like to point out, among other things: I, Mr Else-May Botten and Mr Svein Roald Hansen from the Workers' Party were present in the IMCO Committee at the hearing of the European Parliament on the Services Directive and its implementation. In fact, we were given the opportunity to present the Norwegian position on this matter. Let's hope that there's more of these possibilities, because it actually shows that we can get involved in the processes, and that's important, instead of just standing on the outside and talking about the history. Perhaps the most important thing in the future, both in terms of the EEA Agreement and our relationship with the EU system, is to work towards a development of protectionism that I think can and will come. The fact that some countries want to protect their own business in a situation where the financial crisis has overcome one, and major internal challenges in their own country, can easily lead to the possibility of initiating protectionist measures. This must be ensured that this does not happen, at almost any price, because it could affect our trade with the EU for a long, long time in the future. If we're going to have credibility in this field, we don't have to put ourselves in a situation where we're the ones who care about this. Although agricultural products are excluded from the EEA Agreement, it is obvious that some areas could be affected by some of the interventions we are taking in that sector. I will take one example of this: it has now come to light that, since customs duties – i.e. import protection related to milk and milk products in Norway – have now become so low in relation to the sky-high Norwegian price level, imports of milk and milk products from our neighbouring countries can actually pay off. And the answer to some then is that we have to increase the customs duty. This is an incredibly dangerous way to go! What, then, is the danger in the next round when we are going to export fish ourselves, and the EU is our remote area? If we use this argument to protect our products, there's every reason to believe that we're in a round dance that none of us want to get into. In the last few minutes, I want to answer a couple of representatives. First of all, Mr Vedum's representative: the Advance Party is in favour of the EEA Agreement. We are in charge of the EEA Agreement, and if the representative, Mr Vedum, needs reading help, I will provide it, because it is the policy of the Progress Party. Secondly, the representative Gustavsen claimed in his statement that the Progress Party was not interested in devoting capital to future generations. This is directly wrong. In the context of the current year's budget, the Progress Party actually went in to spend less money than the Government, just to counteract any interest rate increase, and we've just received an interest rate increase. And further, it makes sense to invest capital in transport instead of letting the transport sector fall due. It's more expensive to take it back in retrospect.
ParlaMint-NO_2010-05-06.ana.ud710e676	Let me first thank the Minister for Foreign Affairs for the presentation and thank you for this opportunity to discuss important EU and EEA matters with the Minister for Foreign Affairs in an open hall. We appreciate that. In time, the EU has evolved into an important level of administration for Norwegian social and economic actors. The Foreign Minister's statement underpins this picture. Therefore, it is all the more important that the Government, but also the Stortinget, intervene early in the European decision-making process so that Norwegian positions can be promoted and Norwegian interests taken into account. Today, the role of the Storting is very limited in this work, and most Norwegian actors consider the Storting to be a small relevant arena for European policy despite the increasing relevance of European policy to domestic policy. Better then to go straight to Brussels, is reversed. I am sure that the Foreign Minister and I agree that this situation creates a democratic deficit. The question is whether the six-monthly statements are enough to offset this deficit. In my opinion, the answer must be no. The EU strategy of the Ministry of the Environment, which can be read on the Ministry’s website, is, for example, honest about the challenges. That's what it says. ‘A prerequisite for participating and influencing the design of EU legislation is to clarify EEA relevance and develop national positions in a timely manner. However, we must recognise that in areas where there is considerable disagreement with other departments, it has been difficult to pursue an active influence policy. [[such as climate and energy, marine environment policy]] In the climate field, much of the time has gone by to reach agreement between the ministries on EEA relevance and then to negotiate with the Commission on whether or not. adaptation texts for inclusion in the EEA Agreement, after the completion of the EU decision-making process.’;» In other words, the reason Norway comes too late in the processes is largely internal disagreement within the government apparatus and the government. It might be interesting to hear if the Minister of Foreign Affairs shares the Ministry of the Environment's description of reality. The Minister for Foreign Affairs stayed at the EU climate and energy package in his presentation. It is a very important issue for Norway. This is where the framework for Norway's future environmental, energy and industrial policy is laid. The Renewables Directive, the Energy Services Directive, the Building Energy Directive and the ETS Directive, to mention some relevant directives, some of which were also mentioned by the Minister of Foreign Affairs, are crucial framework conditions for both the public and private sectors. Given the importance of the directives for Norway, it is disappointing that the Minister of Foreign Affairs so little chose to inform the Storting about where we stand, what we can expect and what elements the Government will focus on in the negotiations with the EU. This is largely a matter of how best to take care of Norwegian interests. What renewable targets Norway has to commit to will have an impact on the government’s negotiations with Sweden on green certificates. It will have an impact on energy policy, industrial policy and network policy in Norway and the rest of the world. The Quota Directive and its conditions are essential for the development of Norwegian industry. Norwegian industry is among the cleanest in the world. It is therefore essential that the EU framework conditions prevent carbon leakage from Norway to other countries around the world. The purpose of the ETS Directive must be to cut emissions, not just to move them. However, I did not get much wiser by the Foreign Minister’s statement that he explained that we are still in the negotiations on the directive adopted at the latest in the European Union. At the same time, we know that the European Union is moving on. It could therefore be interesting if the Minister for Foreign Affairs would refer to the directives that are ahead in time, which have not yet been finally decided, where we still have the opportunity to pursue an active European policy by promoting Norwegian positions at an early stage. The European Commission's 2010 work programme states that the Commission will explore the possibility of increasing the EU's greenhouse gas emission reduction targets from 20 to 30 pst. A strategy and action plan to address climate adaptation and mitigation in other EU policies and financial instruments shall be presented. A White Paper will be presented towards the end of 2010. This will lead towards 2020 in the transport sector, in infrastructure, legislation, transport decarbonisation plans, traffic management technologies, vehicle standardisations, market-based instruments and incentives. The White Paper will propose the necessary measures to achieve the objective of a common transport area in Europe, such as: shall support the EU targets to reduce greenhouse gas emissions by 2020. The question to the Minister for Foreign Affairs is therefore: To what extent does he consider the climate component of the Commission’s work programme relevant to Norway? Can he explain the main features of Norwegian positions in this area, and not least how does the Government work to prevent the coordination problems pointed out by the Ministry of the Environment from being averted and prevent it from delaying the Norwegian impact and Norwegian implementation?
ParlaMint-NO_2010-05-06.ana.ud710e711	I thank the Minister of Foreign Affairs for a very nice and thorough account of our relationship with Europe and the EEA. I think it's very useful that we have it. Things are happening quickly. We now see that the aftermath of the financial crisis is hitting Europe particularly hard and with great weight. The financial crisis is not only a financial crisis, it is also an economic crisis. In several countries, including our own continent, a further social and political crisis is now at risk. That's what's also out joking. Many Norwegian workers will also notice the crisis more strongly now in the coming period. We see it in particular in the yard industry and in other competitive industries. I see that Norway is still well equipped to meet these challenges, based on how we have housed our economy and the plans we have made. The Minister for Foreign Affairs said something that I think is very important: the Commission's comprehensive proposal for a new growth and employment strategy towards 2020. This strategy now adopted by the EU must also be an active participant in Norway, as the Minister for Foreign Affairs was involved. It has an exceptional impact on us in energy policy and on our oil and gas business. It has a major impact on our environmental strategy, on fishing resources, and not least on the North. Many countries in Europe, which are now struggling economically, have had deficits over several years in their national budgets. In addition, they have borrowed a lot of money to face the setback in the world economy. We now see that the majority of EU countries, to varying degrees, have managed to counter the decline in the economy and the growing unemployment rate. Greece is an example of this, and Spain, Portugal and Ireland are very busy driving. This, and what has happened over the past few hours in Greece, is testifying to a very serious situation. It can go beyond stability, it can go beyond democracy, and it creates social unrest. We also have a responsibility here, and we also need to look at how unemployment develops. One of the most important instruments for achieving a stable policy and developing democracy in the future is to prevent the development of unemployment. We now see, as other speakers have also pointed out, that there are countries in Europe which have well over 20 p.m. unemployment, up to 40 pst. youth unemployment. How, then, does faith in the future become? It's very serious, and this is where we must also know our visitation time. I think it is very important what we also do through the EEA funding mechanism, when we now see how gross domestic product has fallen significantly in different EEA countries, and not least in Germany, the United Kingdom and Italy. But the funding mechanism, which we are heavily involved in, and which we have allocated over 10 billion dollars to from 2004 to 2009, we are now entering with 257.7 million. EUR per head years until 2014 – is very important to the 12 poorest countries in the EEA territory. This will include and increase employment, stabilise the situation and provide a basis for future growth. It is very important that we are involved in the acts of solidarity within this area. But I also remember that we cannot live beyond ability. Thus, monetary and financial policies are also very important in this context. As Europe is now built together, it is important that we have a policy of solidarity in all these areas. I do not believe that we in Europe should go back to each of our currencies. What did this result in? After all, there was a solid cross-border export with inflation and unemployment. They wrote the course up and down. There was no stability, there was no predictability in it. I think it's very important that we have a common view of this issue and try to help each other in a spirit of solidarity. Finally, I would like to remind you that one should not forget that Europe today is equipped with more well-developed political cooperation networks, in contrast to, for example. The 1930s. This is precisely where the hope lies that the European countries will come together and not turn against each other, as we saw at the time. It has been shown in the past that it is in times of crisis that EU countries are taking a joint step forward. I really hope you do it now, as it draws to.
ParlaMint-NO_2010-05-06.ana.ud710e732	I will also join all the others who have thanked the Minister for Foreign Affairs for his presentation. We all understand that there are major challenges both in the EU and in euro-cooperation, and that this also has consequences for Norway. The Minister for Foreign Affairs said at the beginning of his statement that EU countries had a decline in their gross domestic product of 4pst. in 2009, that the decline had affected the Baltic countries differently and that the most severe had been the Baltic countries. So the Foreign Minister said nothing more about the Baltic countries. And it was probably more than me who could imagine hearing more about the consequences for Norway by the fact that the Baltic countries are so hard to drive – if we can now fear a wave of organized crime, if we now need to strengthen our border guard team in relation to human trafficking and trafficking. We all know that poverty contributes to people looking for criminal ways to make money. Norway has had good contact and cooperation with the Baltic countries for many years, and perhaps we can now contribute even more to their home track, to talk in football terminology, instead of visiting us on the road. Emptyness of over 20 pst. is high, and maybe it's okay that we keep focus on this particular issue. As good neighbours, it is important to give our Baltic friends support in a difficult time. Once I'm on that side of Europe, I want to take a short walk into the Balkans. There is a tumultuous turmoil there, and we, as a country, have now made an excellent effort in the stabilisation of the Balkans. However, it is important that we keep an eye on what is happening, because this too can have consequences, not only for Norway, but also for the EU countries, both in the vicinity and also for EU cooperation as such. What Europe and the EU need at least now, in these difficult economic times, is that there is an upsurge in the Balkans. We, as part of a European network, should and must be aware of this. The Minister for Foreign Affairs also stated that the EU has designated 2010 as the European Year for Combating Poverty and Social Exclusion. There may be little doubt that the EU has a formidable job to do, while more and more countries are on the list of those at risk of bankruptcy. It is good that Norway has allocated significant sums to 15 beneficiary countries, but perhaps we should also look at the results of the efforts. It is probably no secret that some of these countries are very corrupt, and therefore it may be interesting to get a status report to the Stortningen on efforts and what has been achieved. Another issue addressed by the Minister for Foreign Affairs was the entry into force of the Treaty of Lisbon, which included: As a result, the European Parliament will have a much more important role to play in the decisions taken. The Minister for Foreign Affairs also said that it was therefore important that Norwegian experts were present in the European Parliament. I fully agree with the Minister for Foreign Affairs on this. But in addition, we who have worked in various international parliamentary assemblies know that dialogue between parliamentarians is very important in achieving results. I would therefore like to stress that we should perhaps be more present than today, discuss with our party groups in the European Parliament and also as the Norwegian parliamentary delegation on issues relating to Norway. And, of course, we must be present before the matter has come too far, while it is still being discussed and consulted in the committees of Parliamentary Assembly. We experts meet as parliamentarians as lobbyists everywhere, and sometimes above all a lot. Of course, we should not underestimate the usefulness of experts, nor should I say that we should, but we must also learn from the experience we have gained in other parliamentary assemblies and use it for what it is worth. We politicians speak the same language and have a much greater understanding and sensitivity if we meet a parliamentarian who wants to convey a message. So I could imagine asking if perhaps the Foreign Minister has made some reflections about it. Perhaps there should be much more frequent meetings between the European Committee and the European Parliamentarians?
ParlaMint-NO_2010-05-06.ana.ud710e747	Norway is a small country in the world, we know that, and we are a small country in Europe. We are extremely dependent on having good relations and contacts with our neighbours and with other important trading partners. But we also have a tradition that we will be part of and contribute positively to the world community when we have the opportunity, and when we have something to contribute. For the Workers' Party, both these approaches are important, both in our foreign policy and in our European policy. We are committed to an active European policy; we must have a good and active relationship with the EU. That we would like to be a member of the EU is no secret. We thought that we would have both benefited from it and would have had a lot to contribute – not least we would have been able to participate in and influence decisions that are important to us. Fortunately, we got the EEA Agreement in place when we did not want to become a member. It is important to us in order to ensure a stable framework for trade with other countries in Europe and to ensure access to the internal market. Although we never have that much oil and gas, enough truth is that we depend more on the rest of Europe than Europe depends on us. It's probably just here in the high north we think Norway is the world's hub. The challenge of the EEA Agreement is that decisions are often taken in the EU – directives that we need to implement – that have direct impact on us. So far, we have probably often had a little too reckless attitude to influence these decisions, in particular we parliamentarians have been quite so absent in this process. And we can't blame the government for not coming to us often enough, we have a responsibility of our own. I agree that we in the committees can become more active, that we in the party groups can work better. But now I think we from the Storting have seen that we can take hold, that we can engage, that we can influence. On Tuesday 27 April, the Internal Market Committee of the European Parliament organised an interparliamentary conference on the implementation of the Services Directive. For the first time in EEA history, Norwegian representatives participated in the same way as European parliamentarians. From the Food Committee, Harald T. Nesvik and Else-May Botten took part, the latter representing the Norwegian contribution. Svein Roald Hansen also attended the meeting. The presence and participation of Norwegian parliamentarians in the discussion was duly noted, we even received the first post. We have to do more of this. Everyone at Stortinget should keep an eye on and engage in matters that are important to their committee. We should have been involved in the processes of the Eurovignette Directive at an early stage by the Transport Committee, which regulates the design of road charges for heavy goods vehicles above 3.5 tonnes – it is this directive that has just been put up for media, which says that we may have to change the discount schemes we have in our toll stations – or we should be on the road when the postal directive is being dealt with or when the data storage directive is being dealt with. Our role as parliamentarians must be against the European Parliament. It is a crossroads that, although it is now decided that the Storting should have representation in Brussels, most Norwegian municipalities and regions have better representation and better networks than we have. So we need to get on the road more often and influence the processes that are going on in the European Parliament. But we also need to have a preconceived attitude and working style when dealing with our exclusion. We have something to contribute beyond affecting processes already in place in the EU. We've been so lucky that we've been through the financial crisis so far in a good way compared to our friends in Europe. We have low unemployment, a little over 3 pst, while Sweden has about 10 pst. and Spain around 20 pst. Why have we done that? One explanation, of course, is that at an early stage, the government took action and put in place measures, that we are actively pursuing a countercyclical policy. But some of the explanation lies in the social model we have, the Norwegian model, with close cooperation between authorities, businesses and employees. That we have jointly managed to create a social model based on the fact that there are little differences between people, and a close social dialogue, is a model that is worth selling into other countries. I want to praise the Government for soon having an agreement with Russia on a border settlement certificate for the residents of the Kirkenes-Murmansk border area. There will be an important contribution for cooperation and development in this area. However, we also have border areas in Norway that face challenges with the European border, although this is not about the cross-border movement of people. We have areas where cross-border interaction and development are harmful due to legislation for example. customs duties and charges. Not all of the obstacles to the functioning of the EEA Agreement have been reduced. In Nord-Trøndelag we have two municipalities, Lierne and Røyrvik, together with well under 2,000 inhabitants, who cooperate with their neighbours across the border. They are now cooperating on an INTERREG project aimed at maintaining the population of the region. But the challenge is that business is having difficulty cooperating across borders. A builder cannot work on both sides of the border. It also puts an end to the charging provisions. Lierne Bakery, for example, has a large proportion of Swedish labour force for which they have to pay Swedish employers' fees. This also needs to be able to clean up when you're talking about how to build down frontier barriers.
ParlaMint-NO_2010-05-06.ana.ud710e778	Let me first thank the Foreign Minister for a thorough and good account of important EU and EEA issues. The Minister of Foreign Affairs confirms that the EU is not doing so well at the moment. Unemployment is rising, and government deficits in many countries are alarmingly high. With Poland as the only exception, all EU countries had a decline in gross domestic product in 2009. Greece is the most serious example – the state debt is the size of the Norwegian oil fund, almost EUR 300 billion. But there are many countries that are at full speed in the same direction. Let me take some numbers from the Ministry of Foreign Affairs' own country pages. The government budget deficit in Hungary was 9.2 p.m. of gross domestic product in 2006. It was before the financial crisis. In Portugal, after many years of deficit, government debt has risen to 85pst. of gross domestic product. In Spain, unemployment has passed 20 pst. In France, the unemployment rate is 9.3 p.m., but it was 8 p.m. already in 2008, before the financial crisis. In Latvia, there was an annual economic growth of over 10 pst. for several years, at the latest in 2007. But in the same years, Latvia raised large government loans, leading to a rapid increase in government debt and high inflation. Today there are elections in the United Kingdom. Let me again refer to the Foreign Ministry's website – I quote from there: «No matter who wins the choice [[...]] Then it is Germany that now appears to be the saving angel to other EU countries. It's a pleasure, but it's not without a certain bismach. The money Germany is now borrowing must be financed by Germany itself. Germany already has a total debt of EUR 1500 billion, which is 64 pst. of gross domestic product. Let's think of Norway in a similar situation. Then we imagine a Norway that instead of having an oil fund of NOK 3000 billion would have a government debt of NOK 1 600 billion – from NOK 3000 billion to NOK 1 600 billion in negative. It's a 1 million change in wealth. kr per. the population. There's Germany. I know this might sound like black paint, but the situation is serious. I mention this because the Foreign Minister focused very much on the financial crisis and its aftermath on Tuesday. The financial crisis is likely to have a triggering and strengthening effect, but the fact is that the crisis in the EU countries has come back to many years before the financial crisis. The main reason lies in the record growth of government expenditure. Politicians promise and promise in the hope of being elected, and the state will pay. What they forget is that the so-called free public services are not at all free of charge, but must be paid mainly through the taxation of profits and revenues in the private sector. The more free well-being, the heavier the burden should be on both the competitive industry and the business world. Private sector businesses and employees need to provide sufficient income to care for themselves, and in addition pay for government salary budgets and other government budget benefits. Deficits give rise to high debt and thus increasing annual interest rates on old fun. Today's politicians use the money of the future, and yesterday's politicians used ours. The Progress Party has been warning against this for years. With ever-increasing government debt, it will go wrong sooner or later, and it has now been done in many of the EU countries. It can simply be said that the EU’s problem is that it has become a bit too much social democracy. The recipe for the EU, as the U.D. website also claims, is that it must be cut in public budgets. The extent of so-called free well-being needs to be reduced or, to put it a little differently, the social democracy factor needs to escalate a little. The government should learn from what is happening in the EU. The Norwegian State budget has risen to NOK 200 000 per year. the population. As long as we pump up oil and sell it – and then European and American drivers will be able to finance Norwegian well-being and prosperity. This is probably going well for a few more years, but the government should have a strategy here – not only in the case of the Norwegian economy, but also in relation to the EU.
ParlaMint-NO_2010-05-06.ana.ud710e802	I see for my part the desire that the representative Peter N. Myhre will draw the consequences of his recent posts, when he will next contribute to sewing together a government budget here in the country. At present, there is reason to underline Norway’s very special economic situation. We have a government that keeps the economy in order, and that has brought us through the international financial crisis with the jobs in place. In our nearest neighbouring country, Sweden, one in ten is out of work. In the EU countries, there is an average unemployment rate of 10 p.m. and in Spain one out of five are unemployed. Youth unemployment is particularly high. Unlike every other Spanish youth, closed doors on the day he or she finished education and is ready to move out of work. I believe that this could have significant consequences for economic and social stability, in a country that has already had serious problems with the Basque minority in the north and with the ETA separatist movement. Last year the total national product of the EU countries fell by 4 pst. What was a financial crisis has evolved into a job crisis and a debt crisis of which we hardly know the scope. Greece is in reality bankrupt, and only a large-scale aid package from the International Monetary Fund, the European Commission and the European Central Bank are now preventing total chaos in the country. Yesterday, tens of thousands of demonstrators ran into the streets of the Greek capital in protest against dramatic tax increases, welfare cuts, reduced pensions and pay cuts for government employees. Three people died in riots and regular street fights between police and demonstrators. Greek democracy is now being put to a serious and hard test. Years of economic mismanagement, crime and corruption have obviously weakened the general confidence of large populations in democracy, even though the newly elected Greek government is doing what it can to maintain stability in the Greek economy. Nevertheless, the Greeks are hit hard by the debt obligations. The whole community has been put back for decades. It hasn't been very long since the colonel fell in Greece. Continuing the unrest, the cry for the strong man will again find the sound bottom in parts of the population. The situation in Italy, Portugal and Ireland is also not much better. In these countries too, the debt situation is extremely worrying. And the United Kingdom, where there are choices today, is struggling with huge debt problems. Yes, it's simply said to be surprised that three candidates today are struggling to get the opportunity to form government in this country – only the interest of the British government debt will run up to $300 billion a year. Persistently high unemployment rates, large youth groups becoming unemployed without hope of work or income, are a threat to any democracy. We've seen it before: unemployed youth who bullies the streets in pure frustration, with violence and riots as a result. This has happened in both France and the United Kingdom. Because when democracy fails, there will always be people looking for other solutions. What is now happening in Europe is a threat to euro cooperation. We're not there, but we can't click the door again and pretend we're unaffected by what's happening. When purchasing power in our main export markets decreases, we notice it quite immediately. And I remember that, even though we've been through the financial crisis without serious but we've lost 25 000 industrial jobs in the last year. Compared to the Baltic countries, Greece and other countries in southern Europe, Iceland is not so bad. The Icelandics have a hard time after their self-inflicted banking crisis. They struggle with themselves and with the United Kingdom and the Netherlands, but they receive help — not least from the IMF, Norway and the Nordic neighbours. I am quite sure that the Icelandic people value Norway's leading role in this work. Iceland, despite a marked decline in living standards, has greater opportunities than many other countries to restore stability in its economy.
ParlaMint-NO_2010-05-06.ana.ud710e818	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2010-05-06.ana.ud710e821	Usually I have the greatest professional respect for our foreign minister. But the polemic with the head of the Foreign Affairs Committee was, to my knowledge, no enrichment of the debate. It is so its case that the Foreign Minister does not like the theme selection and composition in another post, but I think it might be a good idea to focus on your own answers when you meet the Stortinget. Nor is it natural to repeat views that have already emerged and that are fully shared. Now, when you're referred to commenting on other people's presentations, it just means that you need to focus on issues where you're critical or want to complement other perspectives. The Minister for Foreign Affairs will, in my opinion, explain to the Stortinget and not the other way around. I will allow myself to go into one point of the statement, without being able to interpret it in contrast to other parts of the statement. This is what the printed document reads on page 14, last paragraph, namely on the processing of the so-called Data Storage Directive. There we are informed that the Commission will carry out an evaluation of the Data Storage Directive with a deadline of 15 September. It shall then be submitted to the Council and the European Parliament shall then examine the evaluation. The Minister of Foreign Affairs then says that the EU’s evaluation should be taken into account in the Government’s own assessment. That's pretty interesting, and I think that's wise. In other words, the proposal to the Stortningen concerning the Data Storage Directive must know not only about the situation before 15 September, but probably also about the European Parliament after 15 September. So what I could be interested in hearing the Minister of Foreign Affairs' further deepening of is: What impact will the EU's own process have on the implementation of the Data Storage Directive in Norway? It is quite alarming, I must say, that the EU is going to review a directive that has not yet fully entered into force in all parts of the area. I allow myself to believe that the signals on a modified directive are also related to the German Constitutional Court, which has, after all, signed the German implementing law and said that in its present form it is not compatible with constitutional data protection provisions. As far as the Norwegian process is concerned, I would like to hear the foreign minister's view on the timetable that the Government has passed. I allow myself to assume that since we are to await the European Parliament's proceedings, this will not be a question of implementation in 2010 at all.
ParlaMint-NO_2010-05-06.ana.ud710e834	Last week the news came as a milestone in Norwegian history in the incomprehensible future – the part-line agreement in the Polhavet and the Barents Sea. I want to commend the Norwegian Government and the Russians for a skilled diplomatic and foreign policy craft. The Sea Court won. In the Arctic environment in the United States, they now look at this agreement with a future hope of resolving their dispute with Canada. These are important times for Norway, and it commits. We must follow up our extended responsibilities with new strength. The government's Northern Territory Project has regained momentum, and we're going to realize New Buildings in the North. We have also received further evidence in these event-rich weeks that Norway’s autonomous voice and space for action in foreign policy is emerging. Norway shall also participate in the ‘Northern Dimension’ in the future, on a level playing field with the EU, Iceland and Russia. We will further develop Barents' cooperation and work in the Arctic Council. It may have been an advantage in our negotiations with Russia that we have not had to go the other way around Brussels. The European Parliament has decided that the Arctic needs its own treaty and is a lawless area. In such a climate, the law of the sea would have been quite different from that of the Norwegian tradition, where it has been subject to a foreign policy consensus, although the Commission has also underlined the importance of the Convention on the Law of the Sea. I also hope that we can put in place a functioning border settlement certificate and that our Schengen membership will not be seen as an obstacle from the Russian side. I hope the Minister for Foreign Affairs can answer where the matter stands, what is the Russians' position, and which people who are staying in Norway will receive a border resident's certificate when the agreement on this is final. When it comes to the EU's interests in the northern regions, there is every reason to be sober, given whether they will always be consistent with Norway's interests. The EU is dependent on Norway and other energy suppliers to secure its future power supplies, and Norway is served with the EU interest in the northern regions, as we are also served with the US and Russia. As a small state, we must always seek a balance that can maintain a stable framework. Norway currently accounts for a relatively significant share of EU oil and gas imports. According to EU Commission estimates, the Union may have to purchase as much as 90 pst in 2030. of the oil consumption and 80 pst. by the gas from the outside. Carl Bildt must have stated that an advantage of an Icelandic EU membership is that the EU would have a greater grasp of the polar region. It may be that Norway has no reason to believe that the northern regions will not be used and assessed as a negotiating card. Norway has everything to do with having its hand on the wheel. Self-management and good and equivalent cooperation with both the EU and Russia on these issues are important. This is a good example of the part-line agreement in the Arctic and the Barents Sea.
