ParlaMint-NO_2010-01-13.ana.ud1798e26	The called alternate of the Rogaland County, Arne Bergsvåg, has taken the seat.
ParlaMint-NO_2010-01-13.ana.ud1798e458	Olemic Thommessen – for follow-up questions.
ParlaMint-NO_2010-01-13.ana.ud1798e461	In the beginning, I allow myself to bring a little correctness to the Council of State with regard to the vegetables. It's the way that the herbal remedies actually don't bring more money into the system, but the money is distributed in a slightly different way, and we've seen that the money ends up going pretty much to the biggest actors. But that's not what I was going to bring up here now. The question is more about that even though the opposition parties would have wanted a slightly more liberal system, we know that the power is running, and that we have four years ahead of us where we might have to stick to what is the government's line. You put in place a system that I realize you've started. What we see then, and that makes some frustrations, is that some associations later come out worse. That's where the Cancer Society's frustration lies. My question to the Council of State is quite simple: What will the Council of State do to ensure that the entry into this compensation scheme does not come out worse than what you had as a starting point?
ParlaMint-NO_2010-01-13.ana.ud1798e470	I have registered that, among other things: The Cancer Association – but not many others – has said that they can lose on this scheme. I need a little bit of time to calculate more thoroughly given the claims they make. Overall, however, there is far more funding for non-governmental organisations through a VAT compensation scheme than was the case in the past.
ParlaMint-NO_2010-01-13.ana.ud1798e478	Øyvind Hope - for follow-up questions.
ParlaMint-NO_2010-01-13.ana.ud1798e481	Two days ago, the Council of State also took part in the Conference of Senior Leaders in Freewill in Norway. The Council of State did not take part in the panel debate later in the day, but it did so, among other things. Head of Parliament of the Central Party. The President of the Central Party then, to the surprise of many, stressed that the VAT compensation in the years to come was something to be fought to be implemented and that it was to be assessed from budget to budget. There was great uncertainty in the hall, and I therefore ask the Council of State: Is the entire government behind the government's policy on compensation for VAT to non-governmental organisations? And can the Council of State guarantee the outcome of the discussions and assessments that the Government and Government parties – with different approaches – will obviously go through at all budgetary conferences over the next four years?
ParlaMint-NO_2010-01-13.ana.ud1798e488	Like all other government councils, I cannot guarantee any budgetary procedure to be carried out, either by government or by the State. What I can guarantee, on the other hand, is that we have stressed that we are going to have a large increase in the transfers to volunteer, as part of the Cultural Promise II. In the years that have passed, we have been able to meet the expectations that have been, and the promises that we have made in the Cultural Promise I, and it is equally true in the Cultural Promise II. In the first budget, we've increased this by 200 million. kr, and it's clear from the Cultural Promise II that we're going to raise to NOK 1 billion during this big time period.
ParlaMint-NO_2010-01-13.ana.ud1798e496	Let's move on to the next main question.
ParlaMint-NO_2010-01-13.ana.ud1798e499	I have a question for the Minister of Renewal, Administration and Church – also the Minister of Privacy. The Government has now sent out the Data Storage Directive for consultation. I guess that hearing is real. There may be many arguments in that hearing. My question is: What are the arguments that can be put forward, which may lead to the Government saying – or the Council of State says – that this has clear negative consequences for privacy?
ParlaMint-NO_2010-01-13.ana.ud1798e506	I can confirm that the consultation to be carried out on the Data Storage Directive is real. The form of the letter of hearing is open on a number of points where we ask for advice from the hearing bodies. Of course, the government will focus on the hearings we receive at the hearing to be held. There is no doubt that the introduction of the Data Storage Directive, if we decide to introduce it, is demanding and that there are difficult balances between preventing crime and personal data. I have to say that I have not had a review with myself of what hearings had to come, and what form they should have, which would tell me to say no, and whether the government would think so. In that case, it would have to be that it is not considered that this is an appropriate directive to achieve the objectives set out. It may be possible that it will appear in the hearing, but I think I will await the hearings that are coming, before I might decide what to think and what to land on in the government.
ParlaMint-NO_2010-01-13.ana.ud1798e513	We in the Left are pleased that progress is now being made here and that the directive has been sent to a hearing, which the Government also says is real. My question is: Why have you spent so much time at the hearing – more specifically three years – from the start of the job until you found out that this has to be sent to the hearing? So the real question is, was it like this that the government hoped that you would lose the election and not take this difficult matter?
ParlaMint-NO_2010-01-13.ana.ud1798e520	I have not been a member of the Government for the entire period you have worked on this matter, but I can assure you that it has been a good job in the last few months. There have been three ministries that have sat together to produce a consultation note that addresses very demanding issues. It has been agreed that if the Data Storage Directive is to be implemented, the issues raised in the consultation note are relevant, and we have come up with solutions to demanding issues that we have presented to the Hearing Officers. So I think it's important now that we look forward. There are many European countries that have spent time implementing the Data Storage Directive. This shows that the matter is demanding, and that is why I look forward to a thorough consultation process. I hope that many people will contribute to that consultation process, so that we can get good insights into both the open questions raised in the hearing and any input that is important for further work.
ParlaMint-NO_2010-01-13.ana.ud1798e527	There will be two follow-up questions – first Bård Hoksrud.
ParlaMint-NO_2010-01-13.ana.ud1798e530	The council says you want a real hearing, and I'm glad. But I was present at the press conference and recorded that the Minister of Justice, who spoke on behalf of the three councils, was very clear that this was about criminal acts with a penalty framework of more than three years. And then the next point – and he was very clear that it was the criminal matters involved – is that, in addition, certain other criminal acts with a lower criminal sentence than three years, but which may be difficult to investigate without being able to use data. Then I want to challenge the Council of State: what kind of criminal acts are you thinking about, because with the Data Storage Directive, it's actually opened up to the use of data to combat all kinds of crime. The challenge is to use e.g. Skype avoids the whole problem, as it is not registered under the Data Storage Directive. So the question is, is it that you should now be able to apply this to all kinds of criminal acts – whether there are small fillings, or whether there are big things?
ParlaMint-NO_2010-01-13.ana.ud1798e541	There is an exhaustive list in the consultation note of the circumstances that exist in addition to those with a three-year penalty framework. These include: the criminal law § 91 and 91a, on terrorist activities and matters relating to espionage. There are also a number of other provisions listed related to drug law offences and money laundering and privacy-related issues. That is what is stated in the consultation note. Of course, it is possible for the hearing bodies to make recordings here, whether you have gone too far or whether you have gone too short. This will be one of the things to consider in retrospect — after the consultation has been carried out.
ParlaMint-NO_2010-01-13.ana.ud1798e546	Dagfinn Højbråten – for follow-up questions.
ParlaMint-NO_2010-01-13.ana.ud1798e549	I noticed with satisfaction that the Council of State is entering this part of the process of the Data Storage Directive with a relatively open mind. Then I expect that she will also take over part of what is now coming out of the debate. For approx. 15 years ago, significant left clearance was carried out by the Storting in the relationship between privacy, secret services and neighbouring issues. That work was led by Supreme Court Judge Ketil Lund. I think it was more than me who jumped in the chair a few days ago when Ketil Lund said what he thought about the data storage directive's relationship with the privacy in Norway. If not such statements from that team make an impression on the Government, I wonder. That's why I'm asking the state council, with the open mind she's now declared here in the main hall, will take over that message and the evaluation of the Data Storage Directive that the former head of the Lund Commission said in the media.
ParlaMint-NO_2010-01-13.ana.ud1798e558	The government will take over and consider any input that comes to the hearing we've submitted. I can also confirm that the PST position – which was the main argument for Lund in the comment he had after the press conference – is not changed by the Data Storage Directive, except that of course there will be new data being stored, which PST can also access through it. However, the legislation relating to PST is not modified by the Data Storage Directive. I want to confirm that we have a hearing. The letter of consultation sets out various points in which we ask for advice from the hearing bodies. This applies, for example: how long you need to store data. This Directive is open for a period of between 6 and 24 months. That's what we want to hear from the hearing bodies, and then we'll base that decision and the decision we're going to take in the government, on the hearings that come. At that time, we will also make a recommendation on whether or not to implement this in Norwegian law.
ParlaMint-NO_2010-01-13.ana.ud1798e566	Then we go to the next main question.
ParlaMint-NO_2010-01-13.ana.ud1798e569	My question is also addressed to the Council of State Aasrud, who is now relieved of his temporary employment as Minister of Labour, and ‘only’ is responsible for administration, church and renewal. My impression is that in the Church, innovation goes quite well by itself, but in the public sector, this government cannot produce impressive results after four years. I'm giving the new Council of State every opportunity to say that now we're going to start a new job as real monks. I expect that she has listened well to what the Minister of Finance has been talking about for several months after he joined, namely the need to tighten up budgets now, so that one comes back to the rule of action. Then is one of the sources for saving money in the public sector — often referred to as bureaucracy — but more than just that, including the public service sector. I myself have experience in the last four years in dealing with the National Audit Office's reports to the Stortinget. Only this list I have here over the last four years, contains 50-60 administrative audits that provide many good ideas on how to modernise and streamline the public sector in order, to put it simply, to get more out of the money. So my question is: what strategy and specific areas will the Minister of Renewal now look to help the Minister of Finance, help the Government, release funds for other public tasks and important reforms that might not have to be postponed?
ParlaMint-NO_2010-01-13.ana.ud1798e580	I agree with the representative Foss that it is important that we carry out a renewal work. The government has done that in the last four years, and the government will do that in the next four years. This is clearly a demanding situation for Norway; we are going to bring the budgets down to the 4 pst track. Then it is absolutely essential that we be able to carry out renewal work. We may have the biggest renewal projects in our time going on. We have the Nav reform, which is demanding – it shows that transformation into the public sector is demanding. We have the pension reform where we have a lot of work ahead of us, for example. by adapting the disability schemes to the current pension scheme, and we have the Interaction Reform. Today, the Minister of Knowledge has answered questions in the Questionnaire on the Time Usage Committee in the knowledge sector. It is a good example of how to think about innovation also in the knowledge sector. From 2007, when the government provided the management message, we have reported, with a separate report, on more than 700 new renewal measures, so that we have not implemented renewal measures during the previous period, I do not agree. But I also believe that there is much more to go on. That is why we need to carry out an active refurbishment work in the years ahead. I think a lot now will be about using ICT to make things more effective. We see that it is possible to quantify savings by using ICT. From my department, ICT bets – the use of ICT – will be one of the most important things I can contribute to the government. But also in other, more structural areas, of course, I will contribute to debates and be a driver of the government apparatus to see if it is possible to run the public sector in ways that make us get more out of the money we put in.
ParlaMint-NO_2010-01-13.ana.ud1798e589	I am grateful for the fact that the Council of State points to two important reforms – the pension reform and the Nav reform – which were launched during the 2001–2005 government period. With all due respect for the implementation of the Nav reform, one cannot say that one has just saved money. The reform has also not saved clients too much time, and it has not today been highlighted as a significant success factor for the Government. I will develop another area that may be more topical, namely the transport sector – a sector that has been subject to much criticism, including from the National Audit Office, for lack of efficiency and lack of achievement. The sector itself is asking for greater freedom of organisation and to be able to use private tenders, private services and new forms of financing. This concerns the railway, the railway works, and the NSB. They believe that in this way they can get lower costs and get the projects moving faster. I think there are quite a number of voters who are currently going to be concerned about that. What are the new ideas of the Minister of Renewal on the transport sector, based on the current crises?
ParlaMint-NO_2010-01-13.ana.ud1798e596	I agree with the representative Foss that both the pension reform and the Nav reform were started before the time of the Stoltenberg government. Both reforms show that there is a lot of work to be done. I also think that many of the challenges we see in the transport sector are not just due to the last four years. It does show, however, that little money has been spent on infrastructure and public business for a period of time, and that it may make us in the situation we are in now. In the transport sector – as in all other sectors – there is a lot to go about effectively, but I have little faith that we can finance the public sector in another way. When it comes to moving money out in the private sector, I am concerned that the public should be responsible for implementing projects for which the public should naturally be responsible, and then we should interact with the private sector where it is relevant to do so – it could be within parts of the transport sector, as we are doing today.
ParlaMint-NO_2010-01-13.ana.ud1798e603	Two follow-up questions have been asked – first Michael Tetzschner.
ParlaMint-NO_2010-01-13.ana.ud1798e606	Effectiveness means, as you know, that there is a reasonable relationship between resources used to receive goods and services — in this context, there will be tax money. After all, the Minister of Renewal is our Minister of Efficiency with responsibility for this in the state. I think it was a little bold to mention the Nav reform, which, in my opinion, is rather an example of innovation than efficiency. I noticed that the Council of State indirectly also said that she did not have any concrete initiative proactively – that is, before the Riksrevision came on the agenda – about how we can improve productivity in the public sector. My question to the Council of State is this: Could the Council of State imagine inviting the Stortinget to a discussion on what are decent objective and good objectives of productivity, so that the Storting may also have an idea of how the country's productivity in the various sectors, among other things. in the case of transport, which I have just mentioned, is evolving?
ParlaMint-NO_2010-01-13.ana.ud1798e615	We report through the annual government budgets on how each department spends money, and there is a set of targets there. As Minister of Renewal, of course, I am committed to using the means we have to be able to carry out public sector renewal work. As I said in my reply to the representative Foss, I believe that there is a lot to do in the ICT sector – this is true in the transport sector and in very many other sectors. To be able to use ICT for, for example: better traffic management and better use of traffic can be relevant measures. But also in sectors such as: Tax collection, where we've done a lot, is still more to collect. The fact that we are now setting up an electronic free card system that will save many public annual works will be important renewal and efficiency measures in order to achieve a more efficient state. The fact that we reach, for example, have started using PIN codes that you can get on the phone when you go to MinSide, save money, and are also effective for the individual user. We have to do more of that in the future. I'm also going to contribute to that from my department.
ParlaMint-NO_2010-01-13.ana.ud1798e622	Per-Willy Amundsen – for follow-up questions.
ParlaMint-NO_2010-01-13.ana.ud1798e625	Perhaps all, the most important area that is over-modern for renewal, are the municipal and regional levels of government. Now, of course, I know that the Council of State does not have the primary responsibility for it – it is the municipal minister who has – but I expect that as Minister of Renewal, the Council of State has thoughts about this important area where there is clearly a need to set in motion a new municipal structure in line with what was experienced in the 1960s, with the Schei Committee. It was then seen that technological developments and changes in supply, etc. There is a clear need to take an initiative on the part of Stortinget and on the part of the State to bring about a community merger. Unfortunately, this government, as long as the Central Party has been sitting with the Minister of State, has not helped to advance this. This is where the development has been preserved. I want to challenge the Council of State to think about the merger of municipalities.
ParlaMint-NO_2010-01-13.ana.ud1798e630	I come from a municipality that was merged on proposals from the Schei Committee in 1962, and it is actually that we still notice that aggregation. Therefore, I believe that it is important that municipalities themselves find out whether to join together or not. That's what best results are. That's the way you can get the best effect if you want to use a community merger just to save money. So I have very much faith that it must be the elected representatives in the municipalities who have to find what are appropriate solutions, whether or not to carry out community mergers. On the other hand, I think it is important that municipalities work together to solve problems. The interaction reform will help several municipalities to come together to provide many services, and many municipalities do so already today. But I think we need to cultivate the volunteer to get more municipalities to do tasks together. That's the best way to do it. That is what creates the greatest effect, and that is what creates the greatest legitimacy in the population of the municipalities.
ParlaMint-NO_2010-01-13.ana.ud1798e638	With that, the oral question procedure is over, and we're going to the ordinary question mark.
ParlaMint-NO_2010-01-13.ana.ud1798e644	There will be some changes to the list of questions set out, and the President refers to the overview distributed at the premises of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 4, from the representative Jan Arild Ellingsen to the Minister for Defence, has been withdrawn. Question 9, from the representative Arne Sortevik to the Minister for Transport, has been transferred to the Minister for Local and Regional Affairs, who is directly responsible. At the request of the Minister of Local and Regional Affairs, this question is moved and answered in response to question 3, to be answered by the same Council of State. Question 15, from the representative Tord Lien of the Minister for Research and Higher Education, has been withdrawn. Question 16, from the representative of Olemic Thommess to the Minister for Culture, has been transferred to the Minister for Research and Higher Education who is directing him. Question 19, from the representative Henning Warloe to the Minister for Labour, has been withdrawn. Question 20, from the representative of Mr Laila Marie Reiertsen to the Minister for Labour, has been transferred to the Minister for Children, Gender Equality and Inclusion, who is directing him.
ParlaMint-NO_2010-01-13.ana.ud1798e666	I allow myself to ask the following questions to the Minister of Knowledge: ‘The Training Act shall respect and safeguard the rights of students. It is comprehensive and describes important elements to ensure school life for students. Unfortunately, one today feels that Norwegian schools are breaking down with significant and important elements laid down in this law, without any consequences for the teacher, school or school owner in question. Is the Government willing to bring proceedings for the Storting to include sanctions in the Training Act in order to prevent such infringements?’
ParlaMint-NO_2010-01-13.ana.ud1798e680	Chapter 9a of the Training Act, which regulates the physical and psychosocial school environment of students, contains a criminal provision to punish those who deliberately or negligently violate the requirements. This means that according to the law, for example. is possible to prosecute school staff who do not follow-up bullying, e.g. teachers who do not report to the principal for bullying, to whom they are obliged. In addition, parents who do not contribute to their children’s arrival at school can also be punished. The lack of follow-up to the Training Act, such as: is found to be serious by national supervision. It is unacceptable, and the ministry will carefully consider what to do. The training law shall ensure the fundamental legal certainty of the students in an area of great importance to them. For example, the right to a good physical and psychosocial learning environment is very important. Follow-up to bullying is high on the political agenda and will be followed up by national surveillance in 2010 and 2011. I have taken a number of initiatives to address the issue raised by the representative Hanekamhaug here. For example, I have asked the directorate to find out what are important common features in serious bullying. The investigation shall be based on the fact that the state investigates and uses its local knowledge to go through individual cases. Then we will further consider measures at local and central level. The investigation shall be carried out in the first half of 2010. But I'm particularly concerned about whether the law is good enough to catch up on the serious bullying issues, and whether the legal certainty of the students is well taken care of. For example, we have no cases in Norway where someone who has been subjected to serious bullying has reached the judicial system. I have therefore taken the initiative to review the Training Act at this point in order to look at the possibilities of the law and any restrictions on bullying. It will also be considered whether to set up a separate student representative or whether to extend responsibility for following up this type of case and whether the law is sufficient in terms of the issue of penalties. The Ministry will, in consultation with the Education Directorate, inter alia: consider how observed deviations from the training law are followed up by the state so that we can clarify whether cases of deviation are actually closed as they should. It is also important to ensure a level playing field across the country. Should it show, however, that there are cases where it is not possible for a school owner to comply with a directive by the County Council on the correction of illegal status, the County Council is responsible for reporting this up to the Education Directorate. If these matters are now followed up in a coordinated and effective manner from the supervision side, it is assumed that the obligations you receive will also have to be followed up. Things have to be closed. You have to comply with the constraints you get. But it is also important for me to look at the follow-up capacity of the statesmen. I assume that the municipalities are eager to follow up the law that the Stortinget has passed, if this was to be put on the head, without the need for further sanctions. However, it is necessary to look at whether the law is good enough. I have now asked for various measures and investigations in this area, and when I get them, I will also consider how I can go back to Stortinget. Of course, there may be proposals for legislative changes that result from this, but I think it is of interest for the Storting to be updated on what kind of knowledge we get from this.
ParlaMint-NO_2010-01-13.ana.ud1798e701	The Minister of Knowledge placed great emphasis on the follow-up to violations of §9a, which is very important. At the same time, we see that most of the violations of the Training Act go on HMS — health, environment and safety — and several schools have not approved indoor climates. Private schools must have national approval in the case of HMS. If they do not have it, they will be refused to use the school building. Public schools, on the other hand, are controlled by local public bodies and often have a two- or four-year period to remedy this. Does the Council of State see such discrimination against private and public schools in relation to HMS requirements as unsatisfactory? Will she consider introducing the same rules in public schools as in private schools?
ParlaMint-NO_2010-01-13.ana.ud1798e708	This is a slightly different kind of problem. The challenge is to be able to follow up on both the psychosocial environment and the learning environment in schools. It's a rather complicated question, which I was in the middle of my answer. Health, environment and safety issues are also complex, but fortunately much easier to measure. I expect the municipalities to follow up the demands they actually get. There is quite a difference between following up a few private schools and following up the many public and county schools we have. But also this is a problem that I am concerned about looking at. So I would like to be allowed to come back to whether we should also make changes to follow up the schools of which municipalities or counties are the owners.
ParlaMint-NO_2010-01-13.ana.ud1798e713	The Minister of Knowledge shall call for a return to equality between public and private schools with regard to claims. We in the Progress Party want a free school choice so that parents and students themselves may opt out of schools that violate the Training Act. Such a scheme will also make schools autonomous, which will allow for the introduction of economic sanctions in relation to the schools that break the law. Yes, it is correct, as the minister of knowledge points out, there are several public schools. However, when drafting legislation, it will be easier to integrate both private and public school buildings when it comes to students’ demands for a good indoor climate and working environment. My question again: does the Council of State not see it as possible to equate the HMS rules for private and public buildings?
ParlaMint-NO_2010-01-13.ana.ud1798e720	Let me go through and look at the law, possibly where it is different from private and public. What is important is that we have a system that ensures that students have a good working environment. Fortunately, a lot has happened in this area over the last few years. It's about the municipalities having much more focus. They have used this interest compensation scheme to repair school buildings, and the maintenance package also contained much. So the municipalities have done a lot about students' ability to learn. But I would like to come back to how the legislation is structured, to keep focus on this is very important.
ParlaMint-NO_2010-01-13.ana.ud1798e728	I am delighted to ask the following questions to the Council of State Kristin Halvorsen: ‘The Education Directorate has made it easier for students to get 0 days’ absence from the diploma, although actual absence may be 14 days per day. years for 3 years. So 42 days can become 0 in the diploma. This leads to wrong reporting, a development of attitudes that absenteeism does not mean much, and is an unfortunate backbone of the debate that is taking place in the workplace. Does the Government help the workers of the future to get in with poor attitudes and low personal responsibility in connection with absence, and thus to increase sick leave?’
ParlaMint-NO_2010-01-13.ana.ud1798e737	The intention of the changes to the regulation that the representative Kambe mentions in the training law on the absence of a diploma was not to make it easier for students to have zero days of absence from the diploma, but to have a more similar practice in school. The presentation by the Education Directorate in its letter of November 2009 was intended to clarify what may be required as evidence of absence. But this is not how this regulation has been perceived, and it is quite obvious that some students now believe that they can have some kind of self-telling of 14 days per. years before absence shall start counting. It's no wonder it's caused reactions in the sector. That is why, together with the Education Directorate, I want to review the arrangements we want to have with regard to the conduct of absences on the diploma. Based on research, we know that large absenteeism itself is a risk factor related to non-response and that it is important that the teacher is close. I would like, among other things: assess whether there is a need for a self-registration period – one might imagine – before a medical declaration is required, and what documentation requirements are to be required. This is an area in which it is difficult to identify a system that takes care of and balances the different considerations in a good way, including the need for a consistent practice. However, it is important in terms of both the non-response itself and the attitudes that students have to reject, that you are very clear that you have a regulatory framework that does not encourage an increase in non-response. So that's the background because we've taken this grip. Let me just say two words about primary school as well. We've done a very clear tightening in the case of primary school dropouts. It is about the fact that the absence from the eighth year is now to be brought to the diploma, also there. So there's also a very clear signal in that context. We know that high school drop-outs are a danger signal, and we know that attitudes towards drop-outs are also important in high school.
ParlaMint-NO_2010-01-13.ana.ud1798e749	I think the Council of State is coming up with good answers. That the Education Directorate didn't have the intention that it would lead to an increase in the absence of students, that's enough. On the right-hand side, we now have in some cases the impression that the Education Directorate is almost in free dressage. Another example where the Council of State had to tighten up after another initiative from the Right was in relation to the positive/minus characteristics. The Council of State followed the proposal of the Right, and the same happens now. My first supplementary question to the State Council is: Has the Education Directorate been given a good signal that they can do almost anything? Now they've been on a collision course with Stortinget and with the Government, and the Council of State has, at the Right's request, twice now intervened here. Is the State Council satisfied with the Education Directorate?
ParlaMint-NO_2010-01-13.ana.ud1798e756	It is not upon request from the Right that these examples have come up here, it is after reactions from students and teachers and School Norway that the change has had its intended effect. The Education Directorate is going to deal with a lot of questions all the way around, and this change that we're talking about here is a change that's been associated with a regulation. It has been consulted without any particular attention being paid to these issues at all. So it's in the meeting with the school and in the meeting with the students you've seen what kind of effects this can have, and then the Education Directorate and I have to do what we're going to do: when it's clear that the intention has never been to make it easier to have absence, we have to clarify what the cause is. In the past, it was up to the principal how this was handled, and that made it very different. It wasn't a very good solution either, but we're going to figure out how to get back to it.
ParlaMint-NO_2010-01-13.ana.ud1798e761	The point of the Right has been that all absenteeism should be recorded. It is that some of the absences you have a particularly good reason for, so maybe a better way to do this is to have an additional protocol for absenteeism, for example. is due to international activity, cultural activity, political activity, sport activity, or chronic disease, i.e. obviously not sinister. I think the Council of State is wise to come back with that through the Directorate of Education. So it's also news today that the Council of State is opening up to reintroduce the absence of the youth class, which Right has been programmed. I'm also glad that the Council of State will meet right on it. My question is: when using the arguments made by the Council of State – the attitude aspect is obviously important, and also playing with the homes and parents – why don't you go all the way down to the childhood, as suggested by the Right?
ParlaMint-NO_2010-01-13.ana.ud1798e770	I don't think that would have any very big function. There is a significant difference between students over 18 and students under 18 years of age, and this challenge, how to lead absences, has been particularly stressed to students who are authoritative and who have the right, of course, to deal with issues surrounding absences themselves. In the case of pupils under 18 years of age, parents are required, if appropriate, to write messages and also to ensure that children meet at school. I trust that this will be done in high school without being carried out as an absence. I would like to come back to how we are going to make sure that what has not been an intention at any time in the work on this regulation, namely to make it easier to have absence, is corrected in such a way that it is understood, but also in a way that is perceived as fair around the schools.
ParlaMint-NO_2010-01-13.ana.ud1798e782	‘From 1 January of this year, the county authorities assumed responsibility for large parts of the former national road network. For 2010, Stortinget has granted an extra DKK 1 billion to the county councils as a result of this task transfer. Akershus' share of this increase is 66 million. kr. The majority of Akershus County Council has decided that this increase in transfers should not be used for the new county roads. How does the decision in Akershu County coincide with political leadership from the government?’
ParlaMint-NO_2010-01-13.ana.ud1798e789	One of the objectives of the governance reform is a renewed and strengthened regional democracy and administration. The reform has given the county councils a number of new tasks. According to the Government’s assessment, this will lead to a strengthened regional government and a more efficient and coordinated administration. The county authorities have been given more tools and space to become a stronger regional development actor by looking at several sectors in a context, getting a coherent priority and such a better planning. This is a role it will be necessary to resolve in cooperation with other local and regional actors. Taking over responsibility for other national roads with their ferry routes is an important factor in regional development and therefore an important step in this reform. The majority has dealt with several legislative and budgetary proposals on the reform and has taken decisions in line with the Government's intentions and proposals. In line with the 2010 municipal bill, the State budget for 2010 has decided to provide the county councils with a total of DKK 7.6 billion through framework grants and VAT compensation in connection with the reform. Of these, approximately 7.1 billion are linked to the responsibility for other national roads and highways. In this amount there is a strengthening of the county councils' free income by DKK 1 billion based on a greater road and ferry liability. In addition, the interest compensation scheme, with a frame of $2 billion a year, also provides an opportunity to increase the growth of activity. The government wants to put the county councils in the best position to handle the increased responsibility for transport from 2010. At the same time, it has been a commitment from both the Government and the Storting that the promises in connection with the reform should, as far as possible, come as free income. This means that according to local needs, the individual municipality is free to assess what they want to prioritize these resources, even if this growth is based on increased responsibility for transport. I base local prioritisation, and I have suggested that the priorities of Akershu County also take into account the increased responsibility they have received as regional road governance.
ParlaMint-NO_2010-01-13.ana.ud1798e800	I thank you for the answer, which shows that the Minister of State has taken a good stand in the matter. That's something special, what the bourgeois majority in Akershus is doing now. The Council of State, the Government and the Stortinge cannot do anything about the decision taken at Akershus. But a little back in time, when we had the budget debate here in Stortinget, there was, especially from the Right and the Advance Party, a violent run against the Government against not following enough money with the task transfer. So we see that the bourgeois majority in Akershus, with the Right Party and the Advance Party at the head, doesn't want to use the extra appropriations they get for road traffic purposes. The Minister of Local Affairs has a history as Minister of Transport and has thus been central to the transfer of other national roads to the county municipalities. So my question to the municipal minister is: does the municipal minister have any opinion on what will happen to the new county roads, those that were formerly highways, both in Akershus and in other counties, after the county municipalities have assumed responsibility from 1 January?
ParlaMint-NO_2010-01-13.ana.ud1798e809	Fortunately, I look at the messages that come, that the county takes responsibility that weighs in a good way. Most states have significantly increased activity in the area. The vast majority of states look for opportunities to extend the framework and get the best possible use of resources, both for maintaining existing roads and for investing in new roads. I'm very happy with the signals that are coming, and I'm of course somewhat surprised that one in some states, which was referred to here, chose other priorities. Nevertheless, it is impossible for me, as a municipal minister, to go into the individual state's priorities, and I respect the fact that one has assessed it so that the signals that came in the Stortinge in the budget debate are not in line with the everyday experience in Akershus.
ParlaMint-NO_2010-01-13.ana.ud1798e816	I thank you again for the answer and am basically calmed down by the situation in other states, that there are no such unwise priorities as that in Akershus. So Akershu County doesn't want to spend the 66 million. they have received additional appropriations as a result of the transfer of responsibility for large parts of the national road network. Last year the Stortinget granted additional funds to municipalities and county councils as part of the government crisis packages. The share that Akershu County received from the crisis money was also not used as the idea was from accumulation and government, in Akershu County. As far as I know, that money is still out of the question, in the same way as the extra road money does. My last question to the Council of State is actually of a slightly general nature: does the Council of State have any idea of the economic priorities and arrangements that are currently being made in Akershu County?
ParlaMint-NO_2010-01-13.ana.ud1798e825	As I said in my previous answer, it is very difficult for me as the Council of State to go in and make assessments of the priorities of individual municipalities and individual municipalities. But based on the signals I have received as former Minister of Trade, and which I have also, not least, listened to in debates in this Chamber, from the Right and the Progress Party, a little wonder about the situation and priorities that are being made. But beyond that, of course, I don't want to go in and criticise or otherwise have any idea of the priorities that are being made, because they are up to the individual county to do. I am extremely busy as a local and regional minister to respect the local self-government also in this matter.
ParlaMint-NO_2010-01-13.ana.ud1798e830	We're going to go to question 9. This question, from the representative Arne Sortevik to the Minister for Transport, has been transferred to the Minister for Local and Regional Affairs, who is directly responsible.
ParlaMint-NO_2010-01-13.ana.ud1798e836	This is a question originally asked to the Minister for Transport: ‘In the 2005 election campaign, free travel was an important issue for the Centre Party, but with the Central Party in government 2005-2009, there were no free vacations. In the 2009 election campaign, campaigners were also free of charge for the Center Party. Both the Minister of Local and Regional Affairs and the Minister of Transport promised that at least an attempt at free travel would be made, namely on the ferry link from Daløy in Solund in Sogn and Fjordane from 1 January 2010. Now this attempt is canceled. Has the Central Party Council completely abandoned the political work of making national and county roads free of charge?’
ParlaMint-NO_2010-01-13.ana.ud1798e845	In Soria Moria, the Center Party won with many issues in the negotiations with the Workers' Party and SV, but not this one. Now we go on, and we will start trials with free ferries on two routes. Therefore, it is not correct that the trial at Daløy–Haldorsneset has been cancelled. We still want to put in motion attempts at a free ferry on this ferry connection, but unfortunately it has been a bit late. Among other things, we are now looking at the relationship with State aid law. As the representative may be aware of other issues, it may take some time, and as one may also be aware, the Central Party might have wished that we had avoided the rounds of ESA and EEA legislation in all contexts. But that's the way the big crowd has wanted it, and that's what we have to do. Therefore, I do not dare to give an exact date when the experiment starts, but we suggest that it should start in winter. We shall also start up free-of-charge trial activities in Troms at the Grykø, Sandsøy and Bjarkøy connections. Both trials will be scheduled to start in 2010 and will run for more than three years. Then we will evaluate the impact of the experiment on business and busses, which will provide a better basis for assessing what free ferry means for the development of small communities along the coast.
