ParlaMint-NO_2010-03-22.ana.ud1354e66	The representative of Morten Höglund, who has been licensed, has once again taken his seat.
ParlaMint-NO_2010-03-22.ana.ud1354e594	In this case, the Committee shares the concerns of the proposers regarding the use of coercion in the mental health system. It is agreed that coercion must be limited to a minimum necessary. Forces are contrary to fundamental human rights and self-determination of personal freedom. Of those who are under compulsion, it is perceived as very offensive. We in SV are therefore pleased that the majority believe that treatment should be as voluntary as possible and that coercion should only be used in very special situations. Norway has more than 1000 forced admissions to psychiatry in a year. A SINTEF report of June 2007 demonstrates that coercion is increasing towards patient groups such as mental retardation, mental illness and dementia. Norway has a high proportion of compulsive patients, compared with other countries. Differences in the use of coercion among treatment institutions show that the potential for reducing coercive use is high. A new national strategy for the reduction and proper use of coercive measures in the field of mental health protection shall be established in the current year. In addition, a legislative committee shall be set up to assess the ethical, professional and legal aspects of current laws relating to mental health protection. This confirms that important and proper work is being done in the Government to reduce coercion in mental health protection. I look forward to the fact that Stortinget will have the opportunity to come back to this matter when we see whether the measures to be implemented are effective.
ParlaMint-NO_2010-03-22.ana.ud1354e605	The central party shares the concerns of proposers when it concerns the use of coercion in mental health protection in Norway. The final report for the Mental Health Progression Plan states that in Norway we have had a large and successful quantitative development of mental health in the last ten years. However, the report also states that the quality of service provision is not always as certain as it is, and that the use of coercion in mental health protection is not well documented. Therefore, ensuring the quality of the treatment currently taking place in the field of mental health needs to be a priority. This includes reducing the use of force to a minimum. Many suggest that Norway often resorts to coercion in mental health protection, compared to other countries. Today, there are wide variations in the use of coercive measures between health businesses. Health authorities have also pointed out that patients with poor living conditions are more likely to be subjected to forced use than others. Proposals require a holistic approach and include a wide range of measures to reduce the use of coercion. The Central Party will demonstrate that the Government has announced a new national strategy for reducing and using coerciveness in mental health services. He has to be established in 2010. We will also show that the Government has announced that a legislative selection will be set up to assess ethical, professional and legal aspects of today’s legislation and practices in the field of mental health protection. The selection of the law must also assess the treatment criteria and the conditions under which they are to be treated. The Central Party therefore believes that the intention of the proposers to demand a roll-out message and a mapping of this theme has been abandoned. In its setting up, a joint committee indicates that the health centre and school services are the most important prevention and health promoter of the health care sector in the municipalities with regard to children and young people. The centre party will be given the impression that what needs to be given priority is school health, especially at the youth school level and in secondary school. The centre party will also stress that the determinations should be mentioned in this context. In many places today, there is a total lack of cooperation between the residents and the school nurses. Lack of cooperation has been shown to compromise the quality of health promotion work. The Central Party believes that defining its tasks, cooperation and responsibilities against school hospitals and prevention among children and young people must be made more concrete in the further work of the Cooperation Reform. The centre party is initially skeptical of a standard for staffing for the school and health centres, as this in practice always turns out to be a minimum standard. In our view, it is important to set quality requirements for services and ensure that students are offered in this way. The proposers demand that funds for psychiatry be earmarked. In general, the central party believes that it is important that the local government sector should be financed as much as possible. Earmarks shall be limited to major bet areas in a step-up phase. Our starting point is that the populace in the municipalities will secure a development of the supply of people with mental disorders. This also applies to ensuring the development of low-threshold social measures, for which the proposers will have their own financial instruments. We support what the Minister of Health and Health refers to in this respect, namely that the provision of psychiatry in the municipalities will be closely followed up by specific annual reports. What is not mentioned in the draft representative nor in the debate is the role of the medical officer in reducing the use of coercion. Many of the infections in the psychiatry occur today via a medical professional. It is the doctor who stands up in the concrete and often difficult situations in which the use of coercion is assessed. It is therefore important to work in order to strengthen medical care and to increase the competence of a medical practitioner in the field of psychiatry. The switch to mental health protection must continue. We still have a very high level of mental health protection, where too many people are being treated at an too high level. The main challenge in the future will therefore be to strengthen both the capacity and quality of psychiatry provision in municipalities and at the district psychiatric centres in order to improve prevention and thus also prevent the future unnecessary use of coercion.
ParlaMint-NO_2010-03-22.ana.ud1354e626	The freedom we all take for granted every day is not all wrong, nor in Norway. It is very serious, since it violates fundamental human rights such as self-determination and personal freedom. In particular, this applies to people who are being treated with coercive measures in the field of mental health protection. Many get hurt, perhaps for the rest of their lives, as a result of this. It also does something about their relationship with the mental health system. They may not be afraid to seek help again in fear of experiencing new injuries. I would like to make it clear that someone feels that forced treatment was right for them, but it may be difficult to know in advance how this is being done. Therefore, a clear objective must be to reduce the use of coercion in mental health protection in Norway. This is the cross-political agreement on which we have also heard here from the pulpit today. The risk of being subjected to coercive treatment when you become mentally ill varies depending on where you live in Norway. It also varies from department to department. No later than January this year, a report on the use of coercive measures in emergency youth psychiatric wards from the Regional Centre for the Mental Health of Children and Young People was submitted. The report, which is thus quite fresh, shows that there is a wide variation between departments, both in the proportion of coercive and in the extent and type of coercive use. This is a clear signal that it is possible to reduce the extent when variations are so large. Some have done much better than others. We don't have information that definitely tells us how much coercion is being used, and what kind of coercive patients are being subjected to. This is very serious. The above report also shows that the recording procedures vary between departments and that there is no reliable and readily available information on the use of coercion. The Christian People's Party is impatient, we can't wait year after year for work groups, selections and investigations. In fact, over three years passed from the 2006 Health and Welfare Committee on my initiative asked for a thorough evaluation of the treatment criterion, until a working group in spring 2009 put forward a proposal to set up another sample, a legislative committee. As I can see, this legal committee has not yet been reduced. The Christian People's Party has proposed that there be a big message about the use of coercion. As soon as possible we want it. It should provide a broad picture of today’s challenges, it must have the clear objective of reducing the use of coercion and having proposals for action, including whether it is possible to remove the treatment criterion. It is important to anchor this in the Stortinget and keep a constant pressure on the case about the treatment criterion. It means a lot too many. We also propose that the consequences of coercion in mental health protection should be monitored. We need to know which patients are being coerced to, and why. We need to know about the variations in the use of coercion, how the use of coercion affects treatment, and how it is experienced by patients, relatives and treatment staff, and what are better alternatives than the use of coercion. I get a number of enquiries from people who report from Kommune-Norway and from hospitals about reducing treatment provision for the mentally ill. It was never meant to have an escalating plan and then to descend. There are still great and unmet needs. At a meeting with representatives of the patients’ representatives last week, it was said very directly from them that they feel that there are too few daily places today in mental health. They also said that the new Youth Guarantee often worked so that the young person under the age of 23 has a conversation within the guarantee period, but then it can take a very long time before the next consultation. Rapid help when needed and early diagnosis and treatment will also be essential to prevent negative development, where perhaps forced in the worst case will be used later. The Christian People's Party has proposed a plan for further involvement, in particular in the transformation and organisation of mental health protection. We still have a long way to go before we can be satisfied with the offer that mentally ill people receive. Today's debate is about coercion, and there is an urgent need for a comprehensive response to less coercion across the country. There are proposals from the Christian People's Party together with other parties in the vote, I have not reproduced everyone here from the pulpit. The Christian People's Party supports the Left's proposal, presented in the Chamber today.
ParlaMint-NO_2010-03-22.ana.ud1354e652	I want to start by thanking the Christian People's Party for promoting this proposal for a representative. The Left promoted a proposal for a representative at the same time during the previous period. This shows that the centre is united about the important common values in society. This is an important thing, because the use of coercion is one of the things that it is important in a liberal society to limit maximum. It's an important value to take care of in society that you don't use coercion against people. What I think is most eye-catching, is that if you look at studies of places where you have systematically worked to reduce the use of force, you can see that the effects have been very large. That means that here we have a lot to go on, here is a lot of coercion being done, which didn't have to be – sail if I think it's a little important to say that comparing different countries when there are so different reports, sometimes can give us a wrong picture of the use of force, also saying that living conditions affect the use of coercion. I live in City of Old Oslo. The City of Old Oslo has six times more schizophrenics than the City of Ullern. Whether it's the living conditions that lead to schizophrenia, or schizophrenia that leads to the living conditions, it's a little hard to say. It's a little hard to say that coercion is practiced more often against people with few resources. It's a little too easy to draw conclusions if you compare, for example. the districts of Oslo. So we probably have to go a lot deeper into it before we know what the result is. Left believes that ideally we should never ever force people, but we know that in some cases it might have to. Then I want to say that if someone were to do it, it's best for health professionals to do it, that you actually have a professional background to do it. But I think we have a lot to do in Norwegian legislation in this area. How can we fight it, as it is today? I would say that the Left very much supports proposals on low-threshold services in social matters. We have also spent money on health sisters in state budgets for the last eight years. But I don't think that might be the main tools in this case. One of the most important things you can do is do something in the drug field, because drugs and psychiatry are closely related. Prevention and work across the drug field are important for combating mental disorders in general and forcing particular attention. Otherwise there are probably three fields that we need a bet on low-threshold services in the psychiatric offer. It's to bet on the DPS, it's to bet on the municipalities, and it's to bet on the organisations that work in this field. It's clear that when people get forced, they're very sick. The best way to avoid coercion is that people get help before they get very sick. Therefore, the lowthreshold provision of psychiatric services is very important to combat the use of coercion in a community. I think that is a great potential. Feedback I have received today from both doctors and others when I wrote on Facebook that I was going to discuss forced labour, is that there is a lot to go about in research, and there is a lot to go about in order for research to be used at all; that this is a field where not much research is being done, and the research being carried out is not being used, which in any case leads to a lot of relatives contacting me regarding new research and new treatments used in other countries, but which are not used in Norwegian psychiatry. I think we have a lot to go on in this area. The left has also promoted its own proposal here in the Chamber. Someone has whispered to me that we can transmit it. It depends a little bit on what the council comments on it. We think it's very important that everyone who has authority to exercise is well educated in ethics, human rights and the thinking behind our liberal democracy – that it actually has some consequences in everyday life when it comes to enforcing decisions. We believe that the training of employees is very important in this area – that is why we have made our own proposal. In addition, of course, we are going to vote in favour of proposal No. 1 — Proposal No 2 — Proposal No 4 and proposal No. Eight.
ParlaMint-NO_2010-03-22.ana.ud1354e673	The representative of Trine Skei Grande has taken up the proposal to which she referred.
ParlaMint-NO_2010-03-22.ana.ud1354e677	This is an interesting and important debate, which means a lot to many people, and which has a great impact on many people's lives. Moreover, I refer to the position of the Health and Care Committee on the proposal to reduce the use of coercion in mental health protection, and also to my letter of 1 February of this year to the Health and Care Committee. I am pleased that an overall committee believes that the use of coercion must be kept to a minimum. The commitment to mental health in the last decade has resulted in a strong rise in the supply of people with mental illness. This applies to both municipal and specialist health services. We have taken important steps to convert the service into a more accessible and voluntary service, but we still have a way to complete the transition and reduce the use of forced labour. Being subjected to coercion by health professionals or police, as many have been involved in the debate here, can be a very heavy additional burden for a person with mental illness. That's why we have to do what we can to get better in this area. Force use is going down, and my assessment of it is that there is a clear potential for success. At the same time, it is important that enforcement be properly exercised when there is a first need to use coercion. The obligation to help people in distress applies both under human rights and under Norwegian law. The obligation applies in any case, whether it is mental distress or somatic distress. This means that coercion is sometimes necessary, but there must be clear rules on when and how to do so. For many years, Nordfjord DPS has shown that it is possible to reduce waiting times, reduce forced use and insertion through reliable and close cooperation with users. The Jären DPS is another example of a simple substitution of voluntary use from time to time. They created user-controlled daily places where patients with an individual rights contract could volunteer when they needed it. The system has now been tried out, and the number of forced insertions is almost halved. We must learn from this. In 2009, all regional health establishments were commissioned to test out a system of user-controlled daily places, as is done by Jären DPS. In 2010, I expanded the mission so that the requirement to take advantage of good experience from user-based interventions will apply at all district psychiatric centres. I want to closely monitor the further development of the DPS. Health surveillance has identified deficiencies in the quality and competence of the DPS in several locations. It tells us that authorities and healthcare companies have a job to do to ensure the further migration of mental health protection. The User Perspective will have the overall status of the new national strategy for the reduction and proper use of coercion, as announced by the Government in the 2010 government budget. The strategy requires healthcare companies to make local obligatory plans in cooperation with users and municipal services in order to ensure that the objectives are achieved. A treatment philosophy based on volunteering shall be at the heart of how patients are met and cared for. With the new strategy and the announced legislative committee to review ethical, professional and legal aspects of legislation and practice, we are now taking important steps to create a more consistent health service where the need for coercion is reduced to a minimum. So to the proposal promoted by the representative Trine Skei Grande on behalf of the Left. In the context of the work on the national strategy, it is quite natural that teaching materials should also be developed. It may be important, in particular, for the competence in a difficult area and for groups which have not so easily expressed themselves. They are both demented, mentally retarded and mentally ill. I would also like to include the development of teaching materials in the further work on national strategy.
ParlaMint-NO_2010-03-22.ana.ud1354e698	It's being opened for line change.
ParlaMint-NO_2010-03-22.ana.ud1354e701	In January I asked the Council of State a written question. This was a matter where, after repeated reminders, the Health Service in Rogaland had not been given access. I asked for a statement from the Council of State on whether health companies can train and ignore enquiries from the Health Authority, and what, if any, the Council of State would do to ensure that such cases find a quick solution. The Council of State replied that the Ministry has been in contact with the health region in question on this specific matter and that they regret the incident. They have also responded to the State Health Authority. Does the Council of State think it satisfactory that relatives must send her a letter via staggering representatives to be heard in matters of coercion in psychiatry? And what will the Council of State do for others to be heard without having to move forward in the same way?
ParlaMint-NO_2010-03-22.ana.ud1354e710	Sometimes it is difficult to comment on matters because it refers to a single matter and it is not expressed which matter – naturally enough – since we are in Stortinget. But in general, I would like to say that it should not be necessary to go through Stortinget to ensure that both the administration, the health companies and the health authorities act in accordance with the applicable legislation. As for what I want to do in this context, I have to say that in general I am also trying to manage this administration in a way that means that we are in agreement with the legislation we are set up to manage.
ParlaMint-NO_2010-03-22.ana.ud1354e717	We agree that it is essential that we continue to strengthen prevention and build up better lowthreshold services, so that patients can get help before they develop acute illness and are subjected to coercion. Both the Psychologists' Association, many municipalities, Mental Health Youth and the Department itself now admit that there are cuts and changes in the municipal offer to people with mental problems. In the letter to the Committee, the Council of State states that it takes this seriously and that it is to be ‘included in the assessment’. It is very good to consider, but I could imagine knowing exactly what the Council of State is doing now to ensure that the offer is maintained both in the health companies and in the municipalities.
ParlaMint-NO_2010-03-22.ana.ud1354e724	I think I can say that there is no area where I have been more in contact with health companies, including through mission documents and business meetings, than in this particular field. I fully agree with Mr Sjöli that it is important that we focus on prevention. When it comes to any cuts, I've also heard that there should be cuts. Therefore, we need to review and carry out a continuous monitoring of the work carried out in the municipalities and in the district psychiatric centres. Because it's not going to be cuts. So it's like somewhere there's a change from 24 hours to day care. It has sometimes been interpreted as cutting, but it is a conversion of the offer. In addition, we have intensified the treatment capacity for outpatient teams from the DPS. So it's done a lot just in my short time to improve and increase the offer.
ParlaMint-NO_2010-03-22.ana.ud1354e733	Early help and diagnosis, which was also discussed by the representative Sjøli, is my question. It is also essential to prevent the negative development of disease and, in the next round, to prevent coercion. In the case of the second-line service – I have also sent a written question about the past – I experience more and more enquiries from municipal doctors, communicators, psychologists, decision-makers, relatives and also from patients who need help with the second-line service. They are in a way firm, or in need of assistance from specialist health services. So the child and youth psychiatry, the DPS or the other line service says, "No, this has to be handled locally." What can the Council of State do to ensure that the second line service – when so many want it and need it – is not allowed to say no either to accept or at least to guide those who actually need help?
ParlaMint-NO_2010-03-22.ana.ud1354e740	Now the clear speech of the figures shows that there has been a huge increase in both treatment capacity and in the number of treatments in the second line service over the years, so at least it has not deteriorated. It is a very serious claim that comes from the representative Davøy, whom I will of course include, because it should not be such that if there is a need for the second line service, one should be prevented from getting help. In general, I would like to say that the most important thing is that you can have different types of services, low-threshold services, so that you don’t have to wait for the second-line service, but that the offer is initially there, and that you don’t develop a disease, which several others have been involved in.
ParlaMint-NO_2010-03-22.ana.ud1354e747	So the chord change is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2010-03-22.ana.ud1354e752	The use of violence in mental health is about tradition, culture and lack of competence. But it is also a matter of not taking the necessary decisions in this Chamber. Every day, many seriously mentally ill people are picked up by the police when they are at the very sickest. The Progress Party proposed four years ago the establishment of psychiatric ambulance services, as they have established in Bergen, in all health establishments. The Stortinget has not joined in. It has meant that it should be done over time. It turns out it will take a very long time. It is serious when the most sick are picked up by the police at home without the presence of health professionals. Of course, the police have to assist an ambulance when it's necessary. There have been many discussions here, and everyone agrees that there needs to be a different system, but it has still not arrived. Then there's another group that is often forgotten, and I think is also forgotten today, and that's the older ones. In the course of the escalation plan, which lasted for ten years, the health care of the mentally ill elderly was not improved — rather on the contrary. It has been shown in both the National Audit Office's reports and other investigations that the elderly do not benefit from the DPS: the over 60 are very few, and the over 70 are completely absent. The most ill people, those who are usually hospitalized acutely in a psychiatric clinic, are now admitted to regular hospital wards. There are no personnel who can treat them. No one can help them. There are also other people who are not used to living with serious mental illness. This leads to much unnecessary use of coercion. It's been told by those who work in hospitals that they have to throw themselves over a person in order to give a sedative shot, there's a lot of coercive medication, and there's a lot of trouble in the wards. You talk a lot about having to bet on children and young people. It's very important, because otherwise it can have consequences through a long life. But you should not forget that older people are in a phase of life where they are often depressed, and they experience a lot, for example. losing a job, having close family and friends, and they have to move. They also need help not to get seriously ill. It's not like you're getting better at a serious mental illness when you're 60 or 70 years old. You often carry the disease with you your whole life. Then we cannot have older people when they cross a certain age limit, not getting help in the specialist health service. There must be an offer that can catch them in a completely different way from what we see today, because they are not looking for the DPS, and they are not getting any help. I hope that this will also be included in the investigation to be made, so that there will be an investigation that will take care of everyone who needs it, and not just anyone.
ParlaMint-NO_2010-03-22.ana.ud1354e767	I noticed that the representative Toppe was involved with this with the school health service and any personnel standards. What the Christian People's Party has been concerned about in this context is that we might have to set standards, and former Minister of Health Sylvia Brustad gave a positive feedback that she would consider a norm for predictable opening hours, so that young people who need school health care know that, for example. a few hours a week, the health care provider is present and the school health service office is open so that they can go there. Today, there are many very short opening hours, and the time is often covered with services that allow you not only to enter when you need it. It's a way of standardizing that I think it would have been positive if you could evaluate it. Then I just want to go into one more area, which is also embedded in the Committee's position, precisely this because, not least, in the field of mental health protection, human rights are violated. Many people feel that they are being subjected to human rights violations when coercion is being used. What I could imagine asking the Council of State about -- now it's possible that she's not prepared to answer it -- is if in the work that's now going on in the department, she could imagine what's going on in mental health, also in a human rights perspective. I find many of the abuses, which I'll call it, that patients experience in the field of mental health protection, very serious, and I think they also have an estimate of human rights violations. We haven't seen this much in Norway in relation to it. If the council could say a few words about it, it would have been positive. Otherwise, of course, I can do it another way, because that's an important question.
ParlaMint-NO_2010-03-22.ana.ud1354e775	I see it as perfectly natural that this human rights perspective is being brought in. It's nothing new, it's actually a recurring issue when it comes to the use of coercion. So it's perfectly natural that it's also being looked at in this context.
ParlaMint-NO_2010-03-22.ana.ud1354e780	Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 2509]]
ParlaMint-NO_2010-03-22.ana.ud1354e796	At the request of the Health and Welfare Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after the post of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-03-22.ana.ud1354e805	In this case, the majority shall examine a proposal by the representatives Per Arne Olsen, Kari Kjønaas Kjos and Jon Jäger Gåsvatn on measures to ensure the financial management and cost control of health businesses. Three proposals have been made: In introducing an annual hospital proposal II setting up an evaluation group with a view to improving the DRG III system to carry out an external review of health enterprises, including: certification, administrative management and financial control; The proposals have not been endorsed by the majority of the Committee, and I assume that the rapporteurs in the debate will give them more detailed reasons. However, there is broad consensus in the Committee that it is necessary to ensure the planning and long-termity of the activities of health establishments. These include treatment provision, manning, research, maintenance and initial investment. The majority of the Committee points out that a proposal to introduce a separate hospital proposal was addressed by the Stortinget in 2008. At that time, the majority of the Committee pointed out that the objective of providing patients with a comprehensive service is best ensured by seeing the specialist and community health services in the context. This possibility may be weakened by examining the hospital economy in a separate annual proposal. The majority of the Committee points out that the Government has undertaken to develop its national health plan into a more operational tool for priorities in the overall healthcare system. The national health plan shall be a strategic governance document, anchored regionally and locally through a consultation round, including a concreteisation of the leadership that the Stortinget will now adopt in the context of the Cooperation Reform. It will then become an important instrument for good governance of the overall healthcare system. The representatives have also proposed to launch a review of the DRG system. An overall committee considers that there is a need for attention to be paid to the issues related to the DRG system. However, the majority of the Committee considers that there is a need to look at the overall funding system for health enterprises. It is shown, among others: to the Government Platform, where it appears that one will review the whole funding scheme for the health sector in the light of national and international experience. Therefore, a review of only the DRG system becomes too narrow or limited. I also refer to the detailed statement from the Council of State attached to the suspension. Proposals have also been made for an external review of healthcare undertakings for the purposes of certification, administrative governance and cost control. The majority of the Committee considers that this review is not necessary. It also concludes the Council of State in its letter of reply to the Committee. Among other things, the Health Directorate has recently sent a report to the Ministry of Health and Welfare where this issue has been assessed and has concluded that certification or accreditation should not be introduced as a State requirement for health institutions. The economic development of regional health enterprises has been positive in recent years, cost control has improved considerably and the accounts for 2009 will be very close to economic balance. It tells us that the measures that have been put in place in healthcare companies to improve cost control have worked.
ParlaMint-NO_2010-03-22.ana.ud1354e839	Today, the size has several proposals for financial management in health enterprises. Health enterprises are among the largest jobs in the country and manage tax resources in the 100 billion class. One of the reasons for the hospital reform in 2002 was the need for better organisation and management. The path from justification to achievement has been a counter-ground. Year after year, the accumulated deficits have increased. This is in opposition to an important nerve in democracy — the fact that a populous population determines the income of the community and its distribution. It is not for executive bodies to challenge this over the years. Before the reform, hospitals in county ownership had their own financial frameworks, and there were many established practices with additional consumption of 1 or 2 pst. But small percentages of large numbers become even large numbers. 1-2 pst. out of DKK 100 billion is DKK 1–2 billion – amounts that many others with good common goals almost never get to dream of. Fortunately, during the last year, the sector has found firm ground under its feet. After many years of some significant deficits, health enterprises went on balance-sheeting overall in 2009. This is primarily the result of clearer management by the Ministry of Health and Health towards regional health enterprises. And precisely management is the basis for good results in the kind of competence activities that the specialist health service is. Although the health business world has now shown an economic balance, the sector is demanding and we should continuously assess improvements in operational and incentive structures. The proposal for a representative we are debating today is based on three proposals. The first proposal is that the Storting should consider the allocations of the specialist health service in an annual hospital proposal according to the model of the community proposal. It is indicated that this should improve long-term and predictability. The argument is not unbearable, but I want to emphasise that there should be particularly serious reasons for treating further social sectors in time apart from the state budget. I would also like to point out that the financing of the specialist health service has been marked by predictability. Therefore, the good leaders in the sector are able to accurately predict their planning frameworks already in spring and can make good priorities for next year's budget. The second proposal concerns the diagnostic system of input-driven financing. This system is continuously adjusted to have robustness for its purpose, namely to be a system of state financing of regional health enterprises. The diagnosis groups are rough and therefore not suitable at the level of detail, but are well suited in a macro-economic model between country and regional enterprise. It follows that the system is not suitable at a more detailed level in the specialist health service, for example: towards the individual department. Health business leaders have a responsibility to follow up on this, so that a macroeconomic system is not linked to one and one patient treatment. The last proposal concerns a request from the proposers for an external review of, inter alia, certification, governance and financial control in health enterprises. In my opinion, this would be a gift package for large consultants for taxpayers. Specialist health management is demanding, but we know a lot about what works: an involved leadership that has real cooperation with trustees, protection services and patient organisations. Leadership in the sector is challenging, including: because policies, societies and the research front are constantly making new demands, and these do not always move in the same direction. Good solutions often come from below, and changes need to be anchored in the organisation in order to be robust in implementation. In my opinion, therefore, management of the specialist health service should as a general rule be a non-consultant zone. At the same time, we should focus on how to get the best leaders of the sector. Then the keywords become the right motivational structure and the right incentive structure. In good Norwegian, this means that things other than high pay should be taken into account in the management recruitment.
ParlaMint-NO_2010-03-22.ana.ud1354e858	Today, we are discussing a proposal for a representative that will ensure that healthcare businesses have both better planning and better financial management. It has been shown over many years that adequate governance of the health business economy is very demanding. This is demonstrated by growing deficits, poor liquidity, increasing mistreatment and increased waiting lists. The Progress Party sees a clear need for longer-term and predictable governance in health enterprises. In such a context, it is natural to compare the situation of health enterprises with that of the municipal sector, all of which are large public service providers with the need for long-term care. The challenge for municipalities has been taken over by Stortinget, and therefore promotes a separate municipality proposal annually. The Progress Party wants to give health businesses the same predictability and the same possibility for good migration processes as the Stortinget has given to the local government sector. In this context, it is appropriate to recall that health care businesses have long called for more long-term funding. In this way, it will be easier to plan the necessary maintenance, investment and patient provision and, nevertheless, to control the economy and not least the consequences for employees and patients. This is particularly important in the health care system, so we have a guarantee that patients and employees will not be harmed. The Court of Auditors points out, inter alia: through Document 3:3 for 2009-2010 on the need for longer-term planning in healthcare businesses. I am pleased that the National Audit Office, the Medical Association and the health companies are obviously in agreement with the Progress Party in our conclusion. Civilian parties have called for a review of diagnostic-related group schemes, the so-called DRG system. This will make the system more correct and flexible in terms of pricing healthcare, which will take care of all patient groups and particularly vulnerable groups such as chroniclers. The National Audit Office points out that with the current system there are several cases of deliberate or unconscious error reporting of DRG codes. It is also stressed that internal organisation is problematic. In this context, I would like to refer to the proposal for an external review of the implementation of systems, management, reporting and migration in hospitals. An external review may, for example: is carried out by the Norwegian Veritas. This is done in a number of other countries, such as the United Kingdom and the United Kingdom. The United States and the United Kingdom. This could have a very positive effect, both in terms of financial management and in terms of patient treatment. We have recently witnessed a number of unfortunate circumstances, including: at the hospital Asker and Bærum. Trixing with waiting list numbers, system failures and mishandlings has been detected. There is no reason to believe that this happens only in one of the country's hospitals. An external review can therefore help to save lives while financial management is under scrutiny. It is therefore possible to make major improvements if the majority of this will support the proposals of the Progress Party. It can't be that we're going to be afraid to see ourselves in the cards. We know that there is a great potential for improvement in how we manage, operate and structure the hospital sector. Therefore, we have to dry out letting external experts look at and make representations about how things are done in Norwegian hospitals today. In this context, I would like to highlight the flawed structure of regional health businesses. There are costly and unnecessary intermediates, which both cost money and create regional differences in health services, as the National Audit Office clearly demonstrates. The promotion party is engaged in an effective and good hospital offer to all in Norway, regardless of income and geographical affiliation. The proposals we are considering today will be important instruments for achieving a safe, good and well-functioning hospital service for patients and individuals in Norway. It will, as I see it, be wise for the majority in this House to put party politics dividing lines aside and vote for the proposals of the Progress Party. This is what employees, patients and taxpayers deserve. I would like to include these proposals in the vote where the Progress Party is the proposer or co-sponsor.
ParlaMint-NO_2010-03-22.ana.ud1354e896	The representative of Kari Kjønaas Kjos has taken up the suggestions she referred to.
ParlaMint-NO_2010-03-22.ana.ud1354e899	It is a good and exciting proposal by the representatives of the Progress Party. It is necessary to look at ways in which health businesses can better manage their activities through more predictable framework conditions. It's quite natural to draw the parallel to the way a treats the community proposition. Many of the same reasons will also apply to our hospitals. It is not only that there is a parallel between the situation with regard to the management of hospitals and that with regard to the management of the municipalities, but in the context of working with the Interaction Reform, where one should see the community health service and the specialist health service in a wider context, it would also be a positive move to have a treatment parallel to the framework conditions, changes and adjustments in the relationship between the two sectors. It would provide the Storting with an early opportunity, before the government budget is presented, to make and provide clarifications related to changes in the system, financial mechanism, principles between the primary health service and the specialist health service at a time when both of these sectors would be able to spend some more time on planning and implementation. This would also lead to a more fundamental discussion related to these system changes without being directly linked to the proposals for appropriations, which are coming later, in the State budget. So the Right supports the proposal. We are also very clear that at this point in time, we do not believe it would be natural for such a hospital proposal to contain the overall framework for the sector, because if one treats both the framework of the municipal sector and the framework of the hospital sector in the Great Britain in the spring, the two main sectors of the State budget will in reality be clarified at a different time than the rest. Within the Government, this would present a challenge related to the priorities between the different sectors at a very early stage. Nevertheless, there may be reason – based on this – to start a discussion on the treatment and work of the State budget in general, to look at the possibility of also addressing the framework of the State budget in several rounds in the Grand Duchy, just to get that kind of clarification at an early stage. But that's part of a bigger discussion. The proposal to review the DRG system and its consequences is also supported by the Right. We believe that the system has basically made significant improvements in the management of the sector. It has provided improvements in terms of efficiency, better use of resources, but it also gives some governance challenges, which I think it is right to go through, not least in terms of priorities between different sectors.
