ParlaMint-NO_2010-01-07.ana.ud2258e44	The representative, Per Arne Olsen, will put forward a proposal for a representative.
ParlaMint-NO_2010-01-07.ana.ud2258e327	The Minister for Foreign Affairs referred to the very interesting Stoltenberg report. Did I see the Minister for Foreign Affairs right when I understood it so that the initiative was taken that this report would be subjected to a treatment in Stortinget? That's my one question. The second is in enhanced cooperation, which has been widely discussed, also in some specific areas. Is there any new initiatives in the field of extended Nordic cooperation and coordination in the area of assistance, and also in the field of the EEAS, on which the representative Foss was involved?
ParlaMint-NO_2010-01-07.ana.ud2258e332	The fact that the Stoltenberg report is to be discussed in Stortinget, it has probably not been taken into account, but that it is the subject of a complete and individual debate on its proposals, I have wanted to welcome it very much, and it may be natural to come back to it in my foreign policy statement and on other occasions – we are doing it here today. And I think it's important that the Nordic Council continues to focus on the follow-up to the Stoltenberg report, debate it and in a way hold governments responsible for progress. As regards assistance, there is also a long-standing Nordic tradition of cooperation between aid authorities and, in many areas, close coordination between Nordic countries in the implementation of assistance. Health cooperation can be provided with a country coordinated by one Nordic country where the other Nordic countries contribute. It is not specifically mentioned in the Stoltenberg report. The EEAS is specifically mentioned and the administrations are closely involved. I can mention that in a few weeks I will open the Norwegian Embassy with the Crown Prince in Astana, Kazakhstan. There Finland wants an office, in the Nordic Embassy, and that's how we're going to work more and see a lot more of, I think, in the years to come. It's also good for the Nordic profile.
ParlaMint-NO_2010-01-07.ana.ud2258e339	I am well pleased with the signals given by the Minister of Foreign Affairs in his response to the problems in Iceland. I feel a clear signal that we should have a solidarity, that we should be involved and take responsibility. Yes, it's true that this is a man-made problem, but there are a few very few institutions and few people who have seen Iceland in this situation, and we also have other issues that are man-made, the climate, that require us to take action and act. My question was that if Iceland now says no to the Icesave agreement, the IMF will probably stop payments to Iceland. Will the attitude of solidarity which the foreign minister places on this stand, even if Iceland says no to the agreement?
ParlaMint-NO_2010-01-07.ana.ud2258e344	This is an interesting debate – who was responsible? So it was for many years decisions that built up a situation that many warned against, so I want to say that it is the Icelandic society and the Icelandic political system that made it possible for the situation to arise. Therefore, Iceland must also be given the opportunity to work out of the situation. For understandable reasons, I don't want to wonder what will be Norway's position after a possible no in a referendum – I think that the other question is completely open. What I can confirm is that if Iceland works according to the intentions of the government that the IMF has now taken on board, and that the first part of the loan has been disbursed, Norway will continue to believe that this is a good basis. But I remember, and I invite you to read again, the decision of the Stortinges when we made this loan available, which is quite clear when it comes to stressing Iceland's obligations to settle separately. We have to take that with us. But we're going to do what we can to support the Icelandic government in the very bold program they've now set out to implement, and we hope that the IMF and the countries that are involved in lending will also support it.
ParlaMint-NO_2010-01-07.ana.ud2258e351	Those who have participated in Nordic cooperation see that it is very focused on the Baltic Sea region. That's natural, because a majority of the Nordic countries are encircling this area. At the same time, we see that there's a lot of interesting happening in the Arctic. The Nordic Council also has work to do with the Arctic. Norway has a significant role to play in getting northwards towards North-West Russia, and towards what is happening in the Arctic. Much is being done in the fields of energy extraction, fisheries, the environment, transport, etc. We see that there are many actors – including: Russia, the United States and Canada – who want to play a role in what is now to happen in the future in the Arctic. Does the Council of State feel that the Nordic region has a sufficient leadership role in relation to developments in the Arctic?
ParlaMint-NO_2010-01-07.ana.ud2258e358	As I said, it is exciting that the Nordic countries are in all these councils: the Arctic Council, the Barents Council and the Baltic Council. In the case of the Arctic, there are two Nordic coastal states: Denmark-Greenland and Norway. We have a special role in responsibility in the Arctic. And it's not the North against the other three countries that the representative mentioned, but it's Norway, Denmark, Greenland, Russia, Canada and the United States. They have met in coastal State context in 2008, and will meet again in 2010 to discuss the specific responsibilities. I am quite sure that Norway and Denmark, supported by the other Nordic countries when we meet in the Arctic Council, will set the agenda. We have knowledge and commitment, and we're going to continue to have that as ambition. Then it's important that the Nordics can act with some form of consistency in all of these counsels. But I would say that the Nordic Council of Ministers should not make the Arctic a main area of activity; it should do so, and Norway is present in both.
ParlaMint-NO_2010-01-07.ana.ud2258e365	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2010-01-07.ana.ud2258e370	The members of the delegation have been very active in the work of the Nordic Council. Let me also praise the important work that the Nordic Association stands for. The work on removing barriers between Nordic countries is a high priority in the Nordic Council and the delegation, and we have a close cooperation with the Nordic Border Obstacle Forum, as mentioned by the rapporteur. However, the conclusion on the removal of border barriers is too often that it is not possible to change the necessary rules and thus remove important obstacles. The delegation has therefore asked the Prime Minister to take up with his Nordic colleagues the need to take political decisions with clear instructions to the Office regarding the removal of frontier barriers and the prevention of new developments. I am pleased that the Government in its communication says that the departments have been instructed to pay particular attention to this in the preparation of new laws and regulations, in particular when transposing the EU directive into Norwegian law. Another problem is that the financial crisis has created great movements in the Nordic labour market, and we see that residents from our neighbouring country are being abandoned and returning home. The Border Obstacle Forum notes that in some cases the rights of these workers are unclear. The delegation has raised the matter with the Minister of Cooperation, and I hope that the Government will find a solution so that the individual employee does not end up between two chairs. The Nordic Council and the delegation have developed good parliamentary cooperation with Russia, both centrally and with North-West Russia. I recall that the northern dimension is equivalent cooperation between the EU, Russia, Iceland and Norway. The next parliamentary forum for the northern dimension is expected to be in Tromsø in February 2011. The delegation also plays an active role in the Nordic Council's cooperation with the Baltic Parliamentary Assembly. The Baltic countries have been hit hard by the financial crisis, and I therefore believe that the links between our areas can be further strengthened, but then after today's pattern, as we have heard earlier in the debate. Cooperation with the countries of the east is not at the expense of the countries of the west. It is a very good cooperation with the Western Nordic Council, which is the cooperation body between Iceland, the Faeroe Islands and Greenland.
ParlaMint-NO_2010-01-07.ana.ud2258e387	The Nordic Minister for Cooperation was at the crossroads on the issue of the content of the Nordic language cooperation and the significance of the Nordic language declaration. That's good. I hope it's a theme we'll follow up on in time, because language is important. It's the glue itself in Nordic cooperation. Unfortunately, we see that the Nordic languages evolve somewhat apart at a time when you might think that would be the basis for the opposite. It is simply about the influence of English and the whole issue that is emerging from globalisation and language. Language experts estimate that of the 6,700 languages that are expected to be spoken in the world today, maybe half will be gone in a few decades. Then it's important for us to take those signals. It will be important in this work to have a wide-based action plan involving the full range of societal groups, and it is important to be concrete and relevant. In these days we have a case that I think it could be easy to take on and use as an example. It is the initiative of the Language Council in the field of computer language research. Data is a new field to which all Nordic countries have a linguistic work relative. All Nordic countries have a language council working towards a technology group in which businesses and industries are involved, to look at how to adapt the computer language to the national language. In Norway, unfortunately, the Council working on technology terminology went bankrupt in 2001, and since then we've got a little behind on it. I hope that there is something the Ministry of Culture will handle and get in place. In any case, this work is also anchored in industry through IBM, Microsoft and Opera Norway, which all three are involved in this work. This is a field that we should obviously coordinate, at least with the other Scandinavian countries. It's a shame if we don't even have a new area, where we don't have long language traditions to support ourselves, we'd be able to achieve at least some degree of linguistic community – and get the Scandinavian languages to evolve in parallel. We will come back to languages, both in cultural policy and in education policy, and I would like to remind the Government that Nordic language work is more than education.
ParlaMint-NO_2010-01-07.ana.ud2258e400	Insurance and class societies have observed an increase in the number of worldwide shipbuilding accidents. The coastal works are concerned about the accident development of ships in coastal waters. At a lecture in the Maritimt Forum on 26 October 2009, the Coastal Director pointed out that one had more than 100 basic supports along the Norwegian coast each year. Increases in maritime traffic are expected in the coming years, particularly in relation to the oil and gas activities in the northern regions, including: from the Russian Shtokman field. In addition, there is an increased interest in establishing commercial shipping through the Arctic Sea, either through the revitalisation of the northern maritime route or through a new transpolar direct route. There is therefore a need to look at possible measures to improve maritime safety and the ability to provide assistance to ships in distress in the northern sea areas. The progress party has for a long time highlighted the importance of a significant increase in maritime safety in Norwegian waters. Maritime safety in the north is a major challenge, not just for Norway, but for all Nordic countries, including Russia. Using the East-West pass, a transport from the Far East to Europe will be able to take 30 pst. faster than with today's route, which will be of great pleasure to all those in that industry. The shipping company Beluga has already made use of the route from May to September, in the summer months. The northern regions are international waters. It is a responsibility for all Nordic countries – and not least Russia – to make the Northern Sea Route safe by taking proactive measures as monitoring, so that when maritime emergencies occur, there is a readiness to take action and save lives and protect property. It will also be a task for all countries in the Barents region to take responsibility for a new sea route through the Arctic Ocean where one can safely transport goods and where one is able to maintain overall maritime safety and oil protection when an emergency occurs in the northern regions. This can only be done by introducing a global policy framework – by setting rules for ropeboats, how to implement monitoring, etc. The Nordic Council must take this challenge seriously and bring together all countries in the Barents region, including Russia. Getting concrete cooperation with Russia is very important in this situation, and I would ask the Nordic Council to look at the three northernmost states – Nordland, Troms and Finnmark – which already have 20 years of experience in cooperating with Russia, both man-to-man and industry.
ParlaMint-NO_2010-01-07.ana.ud2258e424	Climate change causes ice to melt and make the Arctic sea more accessible. With increased availability, we will also get more human activity in the area. We would like, among other things: increasing the use of the rich food resources and natural resources in the Arctic and increasing tourism. This offers a number of opportunities for the communities in the north, but it also demands that we establish common driving rules that take care of the Arctic environment. In recent years we have seen an explosive increase in the number of ships operating in the Arctic. We're talking about fishing vessels, ships carrying goods, and cruise ships. According to the Arctic Council's report on shipping in the Arctic, in 2004 there were 6,000 individual ships operating in this area. The problem with this is that we do not have the international regulation in place to make demands on the ships and the crew on board. We also do not have the necessary infrastructure in place in the form of ports and rescue services. I am pleased that a working group has been set up under the Arctic Council to negotiate a search and rescue agreement in the Arctic. In the large seas and with the very limited rescue capacity currently available, such an agreement is really necessary. In Antarctica, we have seen accidents with ships where good weather has caused us to avoid the major disasters. We cannot trust the same luck in our areas, and a cooperation agreement must be in place as soon as possible. With the cold in this country just these days, it's easier to imagine the magnitude and difficulty of a rescue operation in any accident in these areas. I am asking for pressure to be put on the work of putting in place a binding code of the United Nations Maritime Organisation, the IMO, for ships and crews sailing in ice-cold waters. Today, there are no different requirements for ships or crews whether on a cruise in the Caribbean or around Svalbard. It is clear that there must be other requirements to move between icebergs than to travel in the Mediterranean Sea. While cruise traffic is a challenge, there are also opportunities for tourism in this area. But it must be done in cooperation with the indigenous population in these areas. The Arctic consists of clean, pristine nature with many opportunities for unique natural experiences, and if we take advantage of this properly, it will be for the best for the region.
ParlaMint-NO_2010-01-07.ana.ud2258e437	I am quite convinced that most of the citizens of the whole of the Nordic region expect their parliamentarians to be very ‘hand-on’ on these issues and to demand the development of Nordic cooperation. Today’s debate has shown that we have by no means reached the end of any kind of road – rather on the contrary. The case rapporteur illustrated this in an excellent way in his speech, and even though he took a turn around Jan Erik Vold's need to get faster between Oslo and Stockholm, it only illustrates how difficult this East-West thinking is, because it is also in the Nordic – and perhaps most of the Norwegian – thinking that you are acting in the north-south direction. We're missing out on as many opportunities in Nordic cooperation as we've chosen to put ourselves in position. We have not put in place any kind of uniform Nordic arena for interaction in development, business and business, just as it has been seen to have been successful in Europe. In fact, we are building an even stronger border with Norway than we see doing in other countries, in our neighbouring countries and also outside the Nordic countries, where borders are being demolished and border barriers are being reduced. The word ‘border barriers’ has in many ways been the review melody of today’s debate, understandable enough. There is no doubt that before we take the break when the Minister of Cooperation says that obstacles have to be removed where possible, we really have to ask ourselves the question: Yes, do we want to – do we? Are we willing to start pecking in the tax, tax and customs fields, which are the main obstacles to developing interaction and thinking towards the east-west? I am pleased that the Minister for Foreign Affairs has indicated that we are going to have a debate on the Stoltenberg report – the excellent report that I believe deserves a wide-ranging treatment in Stortinget. I am also pleased that more people have been concerned about the need for the Nordic countries to have active cooperation and dialogue with the Baltic nations. The Baltic Sea is probably the world's most polluted sea area, right in the middle of our neighbourhood. The impact of the financial crisis on the Baltic nations is quite brutal. This also has something to do with security policy issues. Let me just say after four years in the Nordic Council that some of the most important experience from there is the network created by parliamentary contact and dialogue. I think that's valuable to everyone.
ParlaMint-NO_2010-01-07.ana.ud2258e450	I think the perspective that the previous speaker, the representative of Kristiansen, had on the question of the frontier barriers and our willingness to – let me say this – integrate us with our neighbouring country is very important. I think the issue will come up more concretely on a case-by-case basis, and not when we are discussing it on a general basis. But I believe, as most people here, that the importance of Nordic cooperation is important to preserve the Nordic identity and to develop a common identity to defend our interests in the world society and in Europe. I also believe that developing Nordic cooperation in the direction of removing border barriers, strengthening our culture and strengthening inter-peoples cooperation are policy fields that people will immediately have a closer relationship with than with the major foreign policy positions. But I think both are important. And then I would like to highlight the opportunity we have through Nordic cooperation to have contact with parliamentarians from particular EU countries. We had a debate here after the Foreign Minister's statement on EU and EEA issues, where one of the very things that was highlighted was that we in the Nordic region, with developments as they progress in Europe, must have stronger cooperation with joint parliamentary friends in the EU countries. It is important that we in the Nordic Council tighten up the use of resources and have stricter guidelines on what we spend money on and how we spend money. I would like to say two words about the Environment and Resource Committee, where I am a member. There we are now going to address and discuss the position of the EU's fisheries policy and the Nordic Council on this. This is an incredibly important issue for Norway. This is an example of how we can use the Nordic Council to promote our national interests and the interests of the region. There will be a seminar in Copenhagen on 27 January in connection with the Nordic Council, and I hope we will also see many from our nutrition committee there. Finally, I would like to say a few words about the parliamentary Baltic Sea cooperation, the Baltic Sea Conference. These are also important contacts, because here we go beyond what is the Nordic border, and we have contact with, among other things. Russia and the Baltic countries. What becomes a priority area in 2010 is maritime policy, and more people here have mentioned how important it is that we also have cooperation with Russia. The Norwegian Presidency in parallel government cooperation is becoming important to us. I believe that Norway must build its presidency here on the final parliamentary document of the BSPC Conference. It is very important that Norwegian government members also attend the conference in Åland in August 2010.
ParlaMint-NO_2010-01-07.ana.ud2258e463	There are many areas in which the Nordic countries can achieve more together, including the challenges of maintaining and further developing the Nordic models of welfare systems and health services. There will be many benefits to the Nordics applying for joint solutions, and to the extent that they benefit from each other's experience, competence and research results to a far greater extent than today. We have some common challenges in large disease groups, such as dementia, coal and diabetes, and in the care of drug users and mental health. This year's Committee on Welfare of the Nordic Councils will look at the situation of the elderly with themes such as dementia and mental health, as well as at various technical solutions that can provide safer living conditions for home-dwelling elderly and nursing. In this context, it is important to have the ethical aspect and that technical solutions in the future should not replace the need for the care and care of personnel. The government has committed itself to pursuing a policy that discourages the flow of qualified health workers from poor countries. In this context, it is important that as many as possible in working life in the Nordic countries are able to participate in the labour market, and that educational provision is much more targeted at training enough qualified health professionals. It will also be important to reduce border barriers for all those who want to live, work or take education in one of their neighbouring countries. I'm going to give a concrete example: a single mother with a child of nine months lost 150,000 kroner in social security because of the border problem. The mother moved the child across the border to Sweden and the day shift to her apprenticeship in Eastfold. The mother is a Norwegian citizen. She worked, taxed and completed her apprenticeship in Norway. She was a compulsory member of the social security system when her employer paid social security contributions in Norway, but she no longer had social security rights as a lone mother in Norway as long as she and the child lived in Sweden. The reason she did not get rights as a single mother in Sweden was because she did not work in and tax Sweden. She also lost her right to babysitting in Norway, although that is what was most right for her to get to work, when the residence address was Sweden. I took up this particular matter, and it took care of itself as an exceptional matter. But it's just one of many different cases where people don't fight against bureaucracy and give up – give up education or give up jobs, because it doesn't work. In very many cases, it is not possible to find common solutions between countries. However, work needs to be done to find harmonised solutions that ensure the safety and well-being of those who choose to live in different countries alternately. The Nordic Council suggests that there is systematic work to improve conditions, but it takes too much time. Nordic cooperation and the issues under consideration must be better anchored in the parliaments. Only then will joint efforts, cooperation and exchange of experience through the Nordic Council become more important, which will become very important in the coming years.
ParlaMint-NO_2010-01-07.ana.ud2258e476	It is good that the Nordic countries cooperate closely in most areas of society — and I stress most — and that the Government places this on the agenda. It is important to remember that the relationship between us is geographical, historical and cultural. We have a lot of common features. We are parliamentary democracies, we have a fairly similar social structure, we have a great deal of community in language and literature and share a common cultural heritage in a broad sense – which has been common to many. The Nordic community is not a community built around a bloc of power or a fixed international organisation whose primary task is to allow countries to speak with one voice to the rest of the world. The Nordic community is a community of values, a social model or vision that we are trying to realize in our Nordic states. That's why it becomes primarily through everyday work and the patient reform we profile the Nordic region and give the cooperation content. Then it is clear that in many areas the Nordic countries can achieve much more together than individually, among other things. in the case of climate, environment, business, transport and not least border barriers, which many have encountered. The work on building down the barriers to the border is an old thing. It usually creates a great deal of commitment, as the debate today has also shown. A lot of work is done in this connection, but there are still obstacles. Today, Nordic citizens cross the boundaries of working, doing business or studying. Many face obstacles that create challenges in everyday life. That's why it's important that we build them down as far as possible, as many people have talked about before today. The Border Obstacle Forum is important in this way, but I would also like to mention the Moroculian Border Service, which is carrying out extensive information work. They do a good job of facilitating people and businesses that will have economic activity and growth on both sides of the border. In business, Nordic cooperation will also become important in the future, including the following: in the case of innovation, creative industries, travel and, in particular, combining economic growth with environmentally friendly investments. In the case of transport, it is no longer a formalised part of Nordic cooperation, but it is no less important for that reason. Nordic government cooperation in the transport sector focuses on promoting efficient, safe and environmentally friendly transport and traffic in the Nordic and neighbouring regions. In this context, I will also focus on the communication between our capitals. Here we really have an opportunity to do something. For example, the train can clearly compete with the plane on the Oslo-Stockholm route. Unfortunately, the train connection is too bad today, but we have to be able to do something about it. I am pleased that both the case rapporteur and several others have been involved in this in their contributions.
ParlaMint-NO_2010-01-07.ana.ud2258e493	I am pleased with the contributions of the Minister of Foreign Affairs and our common ambition to act towards Iceland so that it ensures both stability and the necessary solidarity. The situation on Iceland is now such that there is a risk that there will be a no to the Icesave Act at the referendum on 20 February. As the Minister for Foreign Affairs said, one cannot foreshadow what would then be natural Norwegian behaviour. However, Norway must clearly stress that Iceland must abide by its international obligations and, if necessary, support solutions through international dispute resolution mechanisms, because there is no need for Icelanders to be in a position to do so. However, within this framework, what Norway should and can do to support Iceland bilaterally is the question. Those who have had power and capital in Iceland have become blinded by greed capitalism. Now most of the Icelanders have to pay for this. The whole of society is in a deep crisis, much deeper than what has yet come to the attention of the Norwegian people in public. Norway is a small nation. Our strength has been that we have the ability to stand together in difficult times and therefore have been able to promise together. We too are weakened by the financial crisis, but we have room for action. We can pick. Norway is involved in development and aid work all over the world, and we cannot stand as passive spectators to the needs of Icelanders. We have to stretch out our hands – and so make our choice. Both the former losses of the Pension Fund and last year's adventurous gains came from the financial crisis. The Pension Fund is our common property, and it's my opinion that converting a finite, small portion of the Pension Fund into a loan to Iceland on favorable but real economic terms will be a good choice. Such a loan would be a handshake to another small nation, to a brother-and-sister. It will also be a choice that is consistent with our own – and I stress our own – real policy interest. It will strengthen the basis for long-term solidarity between two nations facing major challenges in the long term. It will strengthen Nordic cooperation. But I would like to stress that Iceland is not facing any emergency rights. Iceland must take the costs of the choices made by the political leadership there, but the solution must be achieved in an internationally recognised way if there is a conflict with the commitments made by the financial acrobats to the Icelandic people.
ParlaMint-NO_2010-01-07.ana.ud2258e502	On 22 October 2009, the Stortinget decided to establish a delegation to the Arctic Parliamentary Cooperation. The delegation consists of six members and six alternates. Until then, the Stortinget was represented with one member of the Arctic Parliamentary Cooperation, and for the last eight years it was Hill-Marta Solberg who represented the Stortinget. Based on her experience as a long-standing leader of cooperation, and on national and international political developments, Stortinget found it right to strengthen participation in Arctic cooperation. In my opinion, that was a wise decision. In recent years, the Arctic and its northern regions have once again been given a growing place in national and international policies, and there are in particular two reasons for this. It's climate change, and it's natural resources. The Arctic is the area of rapid climate change, and the results of climate change are easily discernible. Temperature increases in the Arctic occur twice as fast as the world average, and the result is that the ice melts — the ice melts, the sea ice melts, and the permafrost tins. The consequences of this are many and serious both for humans and for animals, and in particular the indigenous people in these areas are severely affected. The picture of the polar bear clinging to the ice that melts around it has in many ways become the global picture of the climate challenges we face. I will give tribute to Minister Gahr Støre for the work he has done with the former Vice President of the United States, Al Gore, to convey the message that the ice in the Arctic is melting, to the international community. The latest scientific data on development were presented at the Copenhagen climate meeting at the latest. It is important that we who live here in the north are able to communicate to the rest of the world what is actually happening, and I think the Foreign Minister is doing well. The second factor that makes the international community look northwards is the rich natural resources that exist there. Already today, the resources — and wealth — extracted from the Arctic are enormous. There are large fish populations, there are huge oil and gas deposits and minerals, to mention the most important. President Medvedev has designated Arctic Russia as its resource base in the 21st century. Some of the background to this is the assumption that the largest undiscovered resources of oil and gas are located north of the polar circle. The rich natural resources, combined with the process of clarifying the boundaries of the continental shelf between Arctic coastal states, have led to many dramatic headlines in national and international media. This is in many ways excessively exaggerated, in my opinion. All coastal States have undertaken to comply with the rules of the United Nations Convention on the Law of the Sea in clarifying the continental shelf borders, including in the Arctic. With the significant interests we have in Norway in the north, it will continue to be important to pay great attention to what is going on there, and the strengthening of Arctic parliamentary cooperation is an important contribution in this way.
ParlaMint-NO_2010-01-07.ana.ud2258e513	Since both the Council of State Aasrud and Minister of Foreign Affairs Jonas Gahr Støre have had their beginnings today, I think it is quite obvious that the Government prioritises Nordic cooperation. All those who have spoken in the debate also show how important that cooperation is – and not only is it important, but in many ways it is a quite unique project. Then it's like, among other things, The representative, Kielland Asmyhr, was committed to filling this important issue with content, too. Only if we parliamentarians in the Nordic region take our job in the Nordic Council seriously will it be a result for people's everyday lives in the Nordic countries. There is broad political agreement that the work of the Nordic Council should be anchored in the best possible way in the parliaments and in the specialist committees, and that we, as members of the Nordic Council, should seek to bring forward important issues and input from our own debates in Stortinget. Through the work of the Committees of the Nordic Council, it is easy to see that we have common challenges in the Nordic countries. Border barriers are mentioned by many, but also in areas such as alcohol, psychiatry, violence, child protection, education and not least the environment. We must strive to ensure that the work of the Nordic Council does not become a left-hand job. It should be attractive to be a member of the Nordic Council, but then we have to feel that we have a good overview of the job we are going to do. I want to praise our own secretariat in Stortinget, which I think is very good for helping us representatives. Moreover, I believe that the Nordic Council as an institution – if I can use that designation – has a great potential for improvement, for my own experience, at least, suggests that it takes quite a while to get to know the Nordic Council's work routines, which are very different from what we are used to. A prerequisite for doing a good job is that it is done in the best possible way.
ParlaMint-NO_2010-01-07.ana.ud2258e522	In recent years, trafficking in human beings has been a central theme of Nordic cooperation. Several decisions have also been taken, both in the United Nations and in the Council of Europe, with broad support. Projects have been established in the fight against trafficking in human beings, based on new guidelines for 2009-2013, approved by the Ministers for Cooperation. It is also worth mentioning that the Nordic Council of Ministers has specifically focused its efforts on trafficking in human beings and on vulnerable children and young people. Trafficking in human beings is a gross violation of human dignity and a particularly serious form of crime, which contributes to modern slave trade. Trafficking in human beings is a complex theme, and new areas of trafficking in human beings are constantly emerging. Trafficking in human beings threatens the right of victims to freedom from slavery, the right to self-determination over their own bodies, the right to freedom from humiliation, humiliation and inhumane treatment and, in the utmost consequence, the right to rule over their own lives. Trafficking in human beings appears to increase both nationally and internationally, and trafficking in human beings is estimated to have become the second largest illegal industry in the world — after trafficking in weapons. The greatest extent is trafficking in women and minors, who are lured or refugees from poor countries in the hope of a better life in the richer part of the world but end up in prostitution or other forms of exploitation. There is no doubt that poverty and demand are two particularly important causes of trafficking in human beings. It is frightening that there is a market for human trafficking in the Nordic countries today, where some people buy and exploit women and children. Poverty, war and the desire for a better life can lead to people becoming claws on human traffickers, who have discovered that there is money to earn within this market. Prostitution is mentioned, but people are also smuggled to help in typical seasonal jobs, such as berry picking, agricultural jobs, but also in cleaning, storage and construction. The Norwegian Government has prioritised the fight against trafficking in human beings, as reflected in particular by the ‘Stop Human Trafficking’, the Government’s action plan against trafficking in human beings. During the 2009 session in Stockholm at the end of October last year, the fight against trafficking in human beings was a central theme, both in the selection I am sitting in, and in a presentation by Iceland's Árni Paulus Árnason. This showed that Norway, the Nordic Council of Ministers and the Nordic Council share the commitment to the fight against trafficking in human beings. Reports are to be provided each year, which will keep this important policy area warm. As long as the trade in people takes place in the Nordic region, we have to make sure that the issue is always on the Nordic agenda.
ParlaMint-NO_2010-01-07.ana.ud2258e535	The representative of Kielland Asmyhr raised the issue: what comes out of Nordic cooperation? We have to show results to the citizens in order to defend costs. This is true, but it is also an example of how what is achieved through political work is gradually taken for granted. We have had passport freedom in the Nordic region since the 1950s. We've had one common labour market since the 1950s. That's a result of Nordic cooperation. It may be necessary to remind each other – and not least the inhabitants – of that. So when we meet all the Swedish youth at restaurants, both here in Oslo and elsewhere, or at hotels, it's a result of political work in the 1950s. It is often the case that the problems are detailed, and so today there are the details, the legislation, that create problems in this free flow that we have in the Nordic region in terms of job opportunities, housing, etc. It's of course, as many have stressed, very important to build down these barriers, but I want to stress, like the Council of State, that we need to have realism around how far we can get. Some border barriers should and can certainly be removed, but some problems also relate to real differences in the laws of countries, in areas such as unemployment, parental leave, taxation and social security, and which are more demanding to be eliminated. An example, in a report from Hello Norden, is a married couple where father was employed in Norway, and mother was employed in Sweden, both live in Sweden, father does not get parental leave from Sweden because he is employed in Norway – nor from Norway because mother is in the Swedish system. One thing is to clarify which legislation should apply, at least in relation to the place of work and residence, but it may be more difficult if the legislation is different. Here we are at the heart of the law and regulation, how few countries will give up the right to decide for themselves. So if all border barriers are to be removed, the legislation has to be harmonised, so we have to be a little careful to suggest that we get there. Moreover, I think it is gratifying that, in the Nordic context, there seems to be significantly less scepticism in deepening cooperation, harmonising the legislation and thinking of a common Nordic society, where the boundaries are clearer and more noticeable on the map and not in the everyday lives of the around 25 million people living in the Nordic region – as opposed to what it is when we talk about this in a slightly larger European context. This applies both here in the hall and outside the hall. Kielland Asmyhr also mentioned that we are not able to create free trade between neighbours in the Nordic region. No, it is because our neighbours belong to the EU Customs Union, while we belong to the EFTA Customs Union.
ParlaMint-NO_2010-01-07.ana.ud2258e550	Several have not asked for the floor for case No. 1 and 2. [[Fotation, see page 1469]]
