ParlaMint-NO_2010-05-05.ana.ud2638e26	The representative of Per-Kristian Foss will present a proposal for a representative.
ParlaMint-NO_2010-05-05.ana.ud2638e455	The Prime Minister was very concerned about the polluter pays principle when introducing an increased rate of biodiesel, i.e. a tax on an environmentally friendly alternative. The main reason was of a principle nature. On 24 November last year, the Prime Minister gave a speech to the Trade Union, when he said: ‘It has never been such that we exempt everything we like from the fee. I am in favour of work, but I am in favour of an employer's fee. I like milk, but I'm too charged for milk. I like apples, but there is also a fee on apples." Well said! This is a cost-effective approach to the charging area. But then we come to the gas power plant, and then I'm a little uncertain about whether it's just as affordable, because you're not so careful about charging gas power, which, unlike biodiesel, leads to emissions of a large amount of CO2. What's the reason for that?
ParlaMint-NO_2010-05-05.ana.ud2638e468	I believe that gas power plants should also be made subject to carbon pricing, not in the form of taxes, but in the form of carbon quotas or climate allowances. This means that gas power plants are given exactly the same economic motivation to reduce their emissions. It's going to cost to increase emissions, and it's going to be profitable to reduce emissions. So that's the price they have to pay. I think that is a good system, which the EU has put in place, and which Norway is now part of for an ever-increasing part of its economy, including our power generation.
ParlaMint-NO_2010-05-05.ana.ud2638e473	Ketil Solvik-Olsen – for follow-up questions.
ParlaMint-NO_2010-05-05.ana.ud2638e476	First, when the Prime Minister hassles with the Bondevik government, or the Bondevik government parties, I remember that the Workers' Party also did not propose to require CO2 cleaning, either on Kårstø or on Snow White. Nor has this government required CO2 cleaning at the mobile gas power plants in central Norway or Goliath. So there he should take off his cape-high hat. Then I notice that all the arguments the Prime Minister uses as an excuse for today's postponement were known when the Stortinge decided on the test centre. It appears then that the government has not done a thorough pre-work, or they have misinformed the Stortinget. I'm going to believe the first thing. But we notice that despite the warnings, which were well known in the media, the decision-makers at Stortinget say, which is the premise for this project – and then I quote Erling Sande from the Center Party, which is today the committee leader: ‘It is important to stress that the test centre is not connected to the full scale system in such a way that it must be completed, the tests carried out or the evaluation completed before proceeding. [[...]] One shall not postpone the full scale installation in 2014. Then I ask again: When has the Council of State been convening with the majority of the Stortingen to change the assumptions that the Stortingen gave for test plants and full-scale installations?
ParlaMint-NO_2010-05-05.ana.ud2638e494	First of all, when we decided on step 1, that is, the technology center, we did it based on the knowledge we had. That knowledge is about the same today. So that plant is on track and will be finished – waiting, we'll be told for safety – in 2012. The construction plans are in order, the construction machinery is in progress. So it was always clear that we were going to come back with an assessment of how we were going to implement step 2, or step 2, and that's what the government is now coming to the Stortinget. Of course, then the Storting may have different opinions, but the Government has its assessment, its proposals for the Storting, and our recommendation will be to spend a little longer time at step 2 to do what is best for the environment, namely that the Mongstad plant should be a good project – not only step 1, but also step 2.
ParlaMint-NO_2010-05-05.ana.ud2638e502	Erna Solberg – for follow-up questions.
ParlaMint-NO_2010-05-05.ana.ud2638e505	This has been an interesting history round, but it has also been interesting to see what the Prime Minister will not answer in this room. That's why I want to repeat the question Siri Meling asked earlier, because it's very important for the Storting to know about the state councils that put here, and say something in the hall, put on behalf of themselves, or whether they stand on behalf of the Government. The question that the Prime Minister would not answer was: When Kristin Halvorsen in this room stood and guaranteed – not only guaranteed, but guaranteed with his hand on the heart – that full-scale cleaning would be in place in 2014, did she do it on behalf of herself, or did she do it on behalf of the Government?
ParlaMint-NO_2010-05-05.ana.ud2638e510	The entire goal of the Government and the whole goal of the Storting has been that we wanted to get in place not only step 1 in a route, in time, but also step 2. So information has come up, among other things. built on the master plan that Statoil presented over a year ago, the review that Gassnova has had of it, which means that we believe – and it comes to the Government of Stortinget in a few days’ time – that the best thing for the environment, the best for the project, is to spend a little longer time, because it’s better with a good project a little later than a bad project a little earlier. That's why we're changing the progress plan. Step 1 is done as planned, step 2, we're spending a little longer time on it.
ParlaMint-NO_2010-05-05.ana.ud2638e515	Knut Arild Hareide – for follow-up questions.
ParlaMint-NO_2010-05-05.ana.ud2638e518	It will be my pleasure to be able to sum up this debate, a debate that has been marked by a great deal of commitment. There are a lot of people in the room, full of the press and full in the gallery, but there's only one single SV who's been following the last main questions and answering from the Prime Minister. I must also say that there was more to Kennedy than to me by Prime Minister Stoltenberg when it came to the lunar landing project. What says like an unsolved question after this question is: We have an agreement that the Government and Statoil signed in 2006, which clearly states that we should have been cleaning in place in 2014. Is there now a new agreement between the Government and Statoil? There's an unsolved question for Stortinget. And will that agreement be submitted to the Stortinget?
ParlaMint-NO_2010-05-05.ana.ud2638e527	We will review the agreements and, if necessary, revise the agreements we have with Statoil, because we will therefore change the progress plan for step 2. Then the Storting will be given a thorough and detailed statement on the matter, on the process, in the revised national budget and be given the full opportunity to ask all the questions the Stortinget wants to ask about the matter when dealing with the revised national budget, also how the different agreements will be handled. I stress again that we are now creating a fantastic plant in Mongstad, the planters are running. Then we also have to do step 2, but we believe that for environmental reasons it is better to have a good installation. Then we listen to the advice that says we get a better facility for the environment if we spend a little longer time, rather than prestige standing on dates and getting a worse facility.
ParlaMint-NO_2010-05-05.ana.ud2638e534	There are still two main questions. The first is from Per Arne Olsen's representative.
ParlaMint-NO_2010-05-05.ana.ud2638e537	I suppose I can start by saying that you may not have achieved the removal of CO2, but most of the SVs you have at least managed to remove from this room! I don't know if the Prime Minister will be satisfied when I now change the theme, because after 20 questions about Mongstad, it's probably time to talk about something else. What might not be quite so pleasant is that I'm going to talk about another place in the stomach, that's the care of the elderly. If you google the prime minister along with the word "parent care" and randomly choose August in the election campaign, you get 150 hits in one month. It shows how busy the prime minister was of care for the elderly in the election campaign. Then I have also Googled the Prime Minister with the same combination in January, February, March and April this year, and then you get four-five hits a month. Of these figures, it is possible to draw the conclusion that care for the elderly is more involved in election campaigns. At the same time, if you go in and look at the numbers from the SSB, an institution the prime minister is well-known, and if the figures go well, you have to go all the way back to 1954 before you find as few institutional places in the care of the elderly in Norway as you do today. My question to the Prime Minister will then be as follows: When the development in the number of places for elderly nurses is still on the level of the year when the prime minister's well-known father and my slightly less-known father reached the age of 23, while the Labour Party has been in power for 36 years, will he continue to believe in his promises of a shiny old age care, or do you have to calculate a hospital coverage that is still at the 1954 level?
ParlaMint-NO_2010-05-05.ana.ud2638e551	I am very concerned that the state of care for the elderly in Norway is not good enough. That's why we want to give more money to care for the elderly, and we want it to work for more people in our country. Had we been satisfied with the state, it would not have been necessary to present ambitious plans, increase the appropriations and hire more. So at least we agree that more needs to be done in Norwegian care for the elderly. Point 2 is that we've started an escalation. We feared a fairly significant increase in the number of people in care and care during the previous ageing period, and we have set ourselves the goal of increasing by 12,000 until 2015 – that is, continuing to escalate. And so is it that we have now made a proposal for both amended legal text and amended regulation, which is to ensure that older people have some minimum standards in the offer they are to have. We create a new law and regulation that will specify some requirements that should be laid down in the law and regulation as to what older people can expect from care. It looks like something we've done about kindergartens, even though the offers and the law are different, namely that we set an ambitious goal: full childcare coverage. We reached that goal. Now we're going to set a new goal, full home coverage. But then we've clarified that it means either hospitalization or nursing homes for those who need it. So it's not the same type of full coverage as for example. for kindergarten. It is an advantage if many can be at home with care, i.e. home care, rather than necessarily in an institution. There is also a point in relation to institutions: it is not the case that the number of hospitalised areas is necessarily the target. It is important that the elderly get the care they need. Some people may need a few hours of home help, others may need a lot of home help and a lot of home care, and others may come out very well if they have a nursing home, and some people need a nursing home. So that's a variety of offer we're busy with, and we're following up.
ParlaMint-NO_2010-05-05.ana.ud2638e566	I thank you for your answer. You could say that something else that characterized the 1950s was the vinyl plates. They were also known for the ‘hack on the disc’. That's how this answer sounded. There's a lot of plans, there's a lot you're going to do, and there's a lot you've said to do. But when the fact is that we're back in the 1950s when it comes to the number of institutions, it doesn't help to say that we have nursing homes as well. Nursing homes are a very good offer, but it is as well-known people who live in a dwelling that they own, and they pay everything themselves, including medicines, etc. So I still want to pursue: does the Prime Minister want an elderly care in the future based on the time of the record player, or a future in which the elderly receive a rights-based care for the elderly, dignity in the care of the elderly, and freedom of choice, as the Progress Party wishes?
ParlaMint-NO_2010-05-05.ana.ud2638e575	I want elderly care adapted to the individual elderly, and that means that it should be very different, because different elderly people have different needs, and it can also vary for the individual elderly. That's why we've been very busy providing more people in the care and care sector, because then we can both provide more home care and more home care, which too many older people are the very best solution. We've been busy expanding nursing homes, because it's too many of the best solutions. But at the same time, we have provided for the development of hospitals. Unfortunately, I do not know the number of nursing homes in Norway in the 1950s, but what I know is that we have expanded the offer to older people in Norway, and we will continue to do so, partly through grants for the development of nursing homes and nursing homes, and partly through substantial funds to the municipalities, so that they can hire more people in care and care.
ParlaMint-NO_2010-05-05.ana.ud2638e581	Three follow-up questions will be raised – first Jon Hunter Gåssvatn.
ParlaMint-NO_2010-05-05.ana.ud2638e584	In Focus yesterday, we were presented the story of four demented patients. Both the Prime Minister and I are healthy and up-to-date today, but if we had been affected by this disease, by the year we could be in a so-called vegetative state and be totally free of will. Someone might have said that it wasn't the big difference! But it tells me about a serious course of illness. When we were boys, the patients got to the nursing home. Today they're going to be in an ambulance. 80 pst. of our nursing homes are demented and also have a number of additional diagnostics. We have 60,000 dentures today, and it will rise to 160,000 in a few years. We need early efforts from competent staff who see the patient as a whole. We're on the form. The 12,000 seats to which the Prime Minister refers are close enough. We need a change of pace. Can we expect the Government to now show its willingness to act and act, so that we can meet the challenge with an increasing number of dentures with a professionally good offer? Or does it have to be a government change?
ParlaMint-NO_2010-05-05.ana.ud2638e597	The important thing is that older people get what they need, and that can vary a lot. That is why we are strengthening and expanding care for the elderly in many areas. It is precisely because there is a lack, it is precisely because many dents do not get the offer they should have, that we are committed to strengthening the care of the elderly both by employing more people in care and by expanding the supply of nursing homes or by providing care for people in nursing homes. But it's also demented that can be done at home if we like. has a day's offer. And we're also working on strengthening day care for demented people. So I experience in this area, as in some other areas, that it's done a lot, but there's also a lot left. The situation is not good enough, so we want to continue to develop care for the elderly in Norway.
ParlaMint-NO_2010-05-05.ana.ud2638e606	Bent Höie – for follow-up questions.
ParlaMint-NO_2010-05-05.ana.ud2638e609	Yesterday's Focus shows that a worthy care for the elderly is not only about the number of places but also about quality and competence. We know that good medical coverage in nursing care in nursing homes is essential for the elderly to receive good treatment. According to the Riksrevision, the elderly in Norway have had five minutes extra with the doctor from 2004 to 2007 when they are in an institution. The big question is how to get good doctors to want to work in the care of the elderly. The right answer is a combination of salary at the level of hospitals, professional development opportunities and a state standard of medical coverage, so that the positions are actually established. The employer’s answer is to force the doctor to work two days a week in the municipal health service and to allow the candidates to work with the sickest of the elderly. Does the Prime Minister really think that the answer for a worthy care for the elderly is a combination of forced work and giving the job to medical practitioners without authorization?
ParlaMint-NO_2010-05-05.ana.ud2638e618	I agree that it is important to strengthen the medical coverage in the care of the elderly at home, and fortunately I have also seen an increase in the medical coverage of this type of elderly institution. So there we've got a improvement, but that doesn't mean it's good enough. I would like to have a dialogue on how we continue that escalation. But the crucial thing is that we also need here a combination of more money and more people. And we have succeeded in increasing the number of doctors who work in the care of the elderly.
ParlaMint-NO_2010-05-05.ana.ud2638e625	Laila Bavøy - for follow-up questions.
ParlaMint-NO_2010-05-05.ana.ud2638e628	I have a question for the Prime Minister who is also about repeated postponements – for a year, for two years, and now for three years. For it is almost three years since the Government signed an agreement with the Christian People's Party and the Left to introduce a dignity guarantee in the care of the elderly to ensure older people's stronger rights and better treatment and care. My question is, where does the guarantee of dignity come from? And will there be money in the municipal bill that will ensure the implementation of the guarantee? I'm not asking what the government has done, or what the government will do – we know that. But when does the guarantee of dignity come? And can we now see the results of the work – of the hearing and everything? I want a date. When's it coming? Three years have passed.
ParlaMint-NO_2010-05-05.ana.ud2638e633	After all, we had a joint press conference not long ago with the opposition parties, where we launched the regulation to ensure a dignified care for the elderly. Some offers are laid down in the regulations, and we are also talking about changing the law. It has been consulted — that is how we treat laws and regulations in our country. Now the hearing is to be reviewed by the ministry, and then we will make proposals for regulatory changes. Just when that will happen, I dare not say here now, but we are serious and going to come up with the proposal.
ParlaMint-NO_2010-05-05.ana.ud2638e638	We move on to the next, and last, main questions.
ParlaMint-NO_2010-05-05.ana.ud2638e641	Together with the Foreign and Defence Committee, I visited Afghanistan two weeks ago. For one week the committee was with Norwegian soldiers in Mazar-e Sharif and Meymaneh, and we had political talks in Kabul. It was a visit that made a deep impression. Norwegian soldiers do an incredibly solid job. It is important for us to show the soldiers that we support them – we have sent them out – and it is important for us that we get first-hand information about what is happening in Afghanistan. Norway is now changing the device of our military contribution. Norwegian soldiers must train, train, be partners, mentors, and responsibility and tasks must be transferred to the Afghans. Among other things, the Minister of Defence has stated that Norway may be among the first countries to transfer the primary responsibility for security to the Afghans themselves. Such transfer and the entire Norwegian contribution mechanism are based on a pre-requisite that the security situation allows. At the same time, we see that the situation in Faryab, and perhaps especially in Ghowrmach, is serious. We received evidence of this at the latest on Sunday, when eight Norwegian soldiers were injured in battle, two of them very serious. We received firsthand information in Afghanistan that Norwegian forces are fighting every two days. How does the Government plan to meet an increasingly demanding security situation and changing the conditions for the Norwegian contribution? Are you willing to consider changing the device on the contribution, performing other tasks, having more robust units, heavier materials and weapons and more resources if the situation so requires?
ParlaMint-NO_2010-05-05.ana.ud2638e651	Norwegian soldiers have done and do a very important job in several foreign assignments. They have done so for a long time in Afghanistan, they have done so in Lebanon over a period of time, and they also participated for a period of time in the Gulf of Aden. In Chad, we've also had Norwegian soldiers. But now we're concentrating efforts around Afghanistan because it's a very demanding operation. It is important that, in close dialogue with the Defence Department, we assess how best to organize the operation. And it's quite right, as the representative stresses, that in recent times we have turned our efforts more towards training and training the Afghan army. I think that's a very correct and important strategy, because we're not going to solve the problems in Afghanistan unless we can make the Afghans able to take care of their own security. Just what kind of equipment, exactly what kind of soldiers we're going to have in the future, we're constantly assessing, but it's been going on and it's going on in the direction of more training, more training, more officers, more qualified personnel. I think that's the right approach, because it also allows us to transfer more knowledge and skills to the Afghans. Then we're constantly concerned that security is going to be in the high seat. That's also why we have such a close and close dialogue with the Defense, to ensure security all the time.
ParlaMint-NO_2010-05-05.ana.ud2638e658	Just to apprehend the last of what the Prime Minister says in his reply: Can the Prime Minister then guarantee that there will be no reductions in Norwegian strength or a transfer of security responsibilities to the Afghans until the military states that it is sound?
ParlaMint-NO_2010-05-05.ana.ud2638e663	What is the Government's platform is that we should maintain the contribution we have. But what is also the whole approach of NATO is that the aim is that Afghans should gradually be able to take over responsibility for their own security. When that can happen, I don't want to date, simply because I want it to be a question of assessing when we think they're able to do it. So there might be different assessments of it at that point in time. After all, some countries have now declared that they are already going to withdraw, and the United States has said that they want to start reducing their contributions during 2011. I am concerned that what we are doing in Afghanistan, we are doing in close dialogue with the Defence, and I am concerned that we went into Afghanistan together with NATO and will withdraw from Afghanistan together with NATO when NATO believes it is the right time.
ParlaMint-NO_2010-05-05.ana.ud2638e670	Two follow-up questions will be raised – first the representative Ivar Kristiansen.
ParlaMint-NO_2010-05-05.ana.ud2638e673	First, I find it difficult to criticise the Prime Minister that he has today helped clear the storeroom for SVs. However, in order to follow up the question of representative Eriksen Soreide, my question is whether the Prime Minister is comfortable with today's arrangements and the suspension of the Norwegian defence's Afghanistan contribution, in view of today's conflict situation and beyond doubt in relation to how the situation is going to develop.
ParlaMint-NO_2010-05-05.ana.ud2638e680	What we're doing in Afghanistan, we're doing based on very close cooperation with and advice from Defense. First of all, we've trained the soldiers in the very best way possible. Secondly, we have provided good equipment. And thirdly, we're constantly concerned about putting the safety of high-seat personnel in all operations. So we might have to change the composition. We've done that multiple times. We've had periods with, for example, Special soldiers, we've had periods of other types of contributions. Just what kind of contributions we're going to have, for example. next year, the evaluation is ongoing. It is also assessed in the light of the needs of NATO in Afghanistan. But the crucial thing is that we have well - trained soldiers there. We have more and more officers there, because they are now increasingly involved in training and training to enable Afghans to take care of their own safety.
ParlaMint-NO_2010-05-05.ana.ud2638e687	Then we end as far as we started. Siv Jensen – for follow-up questions.
ParlaMint-NO_2010-05-05.ana.ud2638e690	The Prime Minister travels a lot around the world, often with big checks in his pocket. My question is whether he could soon expect to travel to Afghanistan, but then with congratulations and support statements and clarity as to the fact that the country's prime minister actually cares about the efforts of Norwegian soldiers on behalf of Norway and our allies in Afghanistan. It is enough that many have called for the Prime Minister's presence in Afghanistan. Many of us have been there. As I know, the Prime Minister has been in for a few hours. I want to ask if the Prime Minister is comfortable with that. I also want to ask when the Prime Minister has decided to travel and visit our soldiers in war in Norway's service in Afghanistan.
ParlaMint-NO_2010-05-05.ana.ud2638e697	Firstly, the Government has contributed and ensured that we have a very solid Norwegian military presence in Afghanistan. That's what we've been doing throughout the last great age, and we're going to take care of it as long as NATO and we think it's necessary, even during this great period. The government and I have on many occasions expressed great recognition of the work and efforts of Norwegian soldiers in Afghanistan, as well as the efforts they have made in other foreign missions, for example. in Lebanon and elsewhere. I've visited Norwegian soldiers in Lebanon. I've visited them in Afghanistan, and I'm going to visit Norwegian soldiers again in Afghanistan. Just when that happens, I can unfortunately not say anything about it.
ParlaMint-NO_2010-05-05.ana.ud2638e706	So one the oral question right over, and we're going to the ordinary question mark.
ParlaMint-NO_2010-05-05.ana.ud2638e713	There will be a number of changes in the list of questions drawn up, and the President will refer to the overview distributed at the premises of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative Elisabeth Aspaker to the Minister of Knowledge, will be answered by the Minister of Research and Higher Education on behalf of the Minister of Knowledge, who has left. At the request of the Minister of Research and Higher Education, this question is moved and answered in response to question 14, to be answered by the same Council of State. Question 7, from the representative Bent Höie to the Minister of Health and Welfare, is moved and answered at the request of the Council of State before question 2, i.e. first in the Questionnaire. Questions 8 and 9 from the representatives of Linda C. Hofstad Helleland and Tor Sigbjørn, respectively, to the Minister for Justice, will be answered by the Minister for Defence on behalf of the Minister for Justice, who has leave. At the request of the Minister of Defence, these questions are moved and answered in response to question 2, to be answered by the same Council of State. Question 15, from the representative Torgeir Tåldal to the Minister for Agriculture and Food, must be postponed until the next Question Time, as the Council of State is prevented from meeting.
ParlaMint-NO_2010-05-05.ana.ud2638e728	Question 1 will be dealt with later. The first question to be answered is question 7.
ParlaMint-NO_2010-05-05.ana.ud2638e734	‘In ordinary Question Time on 28 April this year, I asked the Council of State whether she agreed that Ullevål’s practice regarding the rejection of Ruspacents was in accordance with the law. The Council of State referred in response to the Health South-East assessment and Professor Syse's assessment, which the Council of State said: "According to Professor Syse's assessment, hospital practice is not contrary to the law." Does the Council of State still consider Ullevål’s practice to be in accordance with the law?’
ParlaMint-NO_2010-05-05.ana.ud2638e746	As I see the representative Höie's follow-up questions from the Questionnaire last week, he was not satisfied with what I explained in my answer then and my answers to his follow-up questions. Let me immediately say that drug addicts have exactly the same patient rights as other patients in the specialist healthcare service. There must be no doubt about it. At the same time, as the representative Höie said in his reply to me last week, there is no law on mental health protection for the use of coercive detoxification against drug addicts. Such an occasion for compulsive detoxification is not permitted by any law. However, social services law provides for detention, which means that patients can be returned to an institution if they leave it without the consent of the institution. This home only provides a permit for detention and does not allow for forced treatment, as a detoxification would be. As I have understood this matter, it is about whether intoxicated patients referred to Oslo University Hospital, Ullevål for forced entry under the Mental Health Protection Act, can be rejected on the grounds that they are to be detoxified first. Whether there is a basis for coercion of a patient must always be done on the basis of best professional judgement and in line with the law. As the Council of State, I cannot have any opinion on such a professional assessment. The point is to ensure that the patient is properly evaluated and to ensure other treatment if this is considered to be necessary. If this is not the case, it is not in line with the existing legislation. I have received assurances from Health South-East that no one referred to the mental health protection in Oslo University Hospital, Ullevål, shall be rejected without being assured any other follow-up from any other part of the specialist health service or community services, if they are deemed to need such services. I base and expect Health South-East at Oslo University Hospital to follow up the requirement set out in this year's mission document, which I explained in my reply last week. The purpose of such a requirement is precisely to ensure a comprehensive assessment of persons referred to mental health protection. As I said last week, I will follow closely the regional health companies, and that these follow the management requirement of the mission document.
ParlaMint-NO_2010-05-05.ana.ud2638e761	The purpose of this question is not to squander on the fact that the Council of State took Professor Syse for income for a practice that he says in a letter to the Oslo Medical Service is in violation of the law, but to address the fact that if the Minister of Health is not very clear to the service that mental health protection has a responsibility also for patients who have been drugged, I am concerned that a negative development that we have seen, where mental health protection rejects patients who have run away, could be reinforced by a signal from the Minister of Health. This problem is also very well addressed in the work of the Olsen Committee, which was presented on Monday, where the Olsen Committee is very clear that this type of patients with double diagnosis, intoxication and psychiatric illness should be treated in one place. From the regulatory point of view, it would be natural for this to happen in psychiatry. Do the councils agree?
ParlaMint-NO_2010-05-05.ana.ud2638e768	I don't see the representative Höie as being a kverulant, on the contrary, he has a sincere commitment both to those addicts who are addicted to drugs and to those who need help in the field of mental health protection. In the case of those patients who have a combination of drugs and mental illness, there should be no doubt that they will receive the help they are entitled to in the healthcare system, and I am also concerned about following up this. They must receive treatment either at the institution they are, or further in the auxiliary equipment if they are healthy enough to do so.
ParlaMint-NO_2010-05-05.ana.ud2638e775	Although it is a goal for us to reduce the use of coercion in psychiatry, it is still such that one actually has a kind of right to be assessed for coercive treatment in a situation with a combination of drugs and psychotic disorders. It is therefore very important that it is clear that the right to be assessed for coercion is not undermined by further reference, for example. for treatment provision for drug use, which does not have the same possibility of assessing the use of coercive measures in relation to treatment. I perceive that the Minister of Health agrees with that, and I am very pleased about that. How will the Minister of Health follow the clear recommendation of the Olsen Committee now that this patient group should have a single treatment site, the treatment site that can provide the overall offer?
ParlaMint-NO_2010-05-05.ana.ud2638e782	In the case of the Olsen Committee, the public investigation was handed over to me this week, two days ago. It's a big investigation. It's an extensive work done there. There are many assessments that have been made, and there are clearly many recommendations that lie here. We're going to go into them very carefully, because this is about a group that is very vulnerable, and we have to do what we can to make them have the best relationships. At the same time, some of the measures in the Olsen Committee have already been implemented. This is particularly important for outreach treatment teams. There are also a number of other recommendations that we're going to go through carefully and see how we can follow up in the best way.
ParlaMint-NO_2010-05-05.ana.ud2638e789	So we go back to question 2.
ParlaMint-NO_2010-05-05.ana.ud2638e795	‘14 of Norway’s fastening facilities are located in Eastfold, a cultural heritage it is important to take care of. There is a lot of good restoration work going on today. However, there is no doubt about delays and the need for further efforts. Will the Council of State take the initiative to enable Defence Buildings to raise loans as State Buildings can do?’
ParlaMint-NO_2010-05-05.ana.ud2638e802	Defence construction carried out state analyses during 2007 of all 14 national fastening plants, two of which are located in Eastfold. The analyses revealed, as the authorised representative Schou correctly points out, a significant maintenance need. The maintenance need is such that it will not be fully covered by the ordinary appropriations and annual receipts from the fastening works. It is therefore necessary to provide funds over time for exceptional maintenance. The analysis was thus a necessary basis for the implementation of targeted actions. The government considers it important to ensure that fastenings are handed over to future generations in good condition. I'm sure that's the uproar in all political parties. The appropriations have not been sufficient for many years. The government has granted 273 million since 2008. kr for exceptional maintenance of the fastenings, including 88 mills. in 2009 through the Government’s package of measures to stimulate the activity of the Norwegian economy. These are appropriations in addition to the annual ordinary grant to the fastening and defence works’ own rental income from the fastenings, which shall cover ordinary maintenance. Defence construction was established in 2002 as an administrative body under the Ministry of Defence. Under the Financial Regulation of the State, administrative bodies are not allowed to raise loans. State buildings, which are subject to the Ministry of Renewal, Administration and Church, are a management company with special rules other than Defence Buildings. However, State Building does not have the power to raise loans, either for investment or for the maintenance of buildings managed by State Building. Thus, borrowing is not an option, but I will work actively to achieve the Government’s objective that the fastenings should have an ordinary maintenance level by 2020.
ParlaMint-NO_2010-05-05.ana.ud2638e819	I thank you for your answer. I hear that the Council of State will not work because the same special rules that are currently applicable to State Building are applicable to Defence Buildings. But I also notice that the Council of State is concerned about keeping the funds at a good level, so that we can still restore and rehabilitate. It is such that two of the national fastenings, the Old Town in Fredrikstad and the Fredriksten fortress, are located in Eastfold. However, there are a number of other fastenings in my state, certainly because it has been strategically located, and it is still. Is it possible for the Council of State to consider special rules also for defence buildings, in the same way as for state buildings, and not just to grant funds over the annual budgets? As is known, action packages do not necessarily come every year.
ParlaMint-NO_2010-05-05.ana.ud2638e828	As I said, it's a special rule for State Building. However, they are not of such a nature that state buildings have the opportunity to borrow. Construction projects for which Stadsbyggen is the builder are funded using two different models – ordinary construction projects and so-called curant projects. Ordinary construction projects are promoted individually for Stortinget. Curant projects are projects in which the contracting authorities themselves cover the rental costs within their existing budgetary framework. Such projects are dealt with in accordance with simplified budgetary procedures on the basis of specific mandates and own budgetary frameworks of the Storting. So in this way, I don't see that taking a discussion about equal arrangements for defence construction brings us to the point the questioner wants, namely how we can solve the challenges that we both see for the fortification works in the future.
ParlaMint-NO_2010-05-05.ana.ud2638e833	I thank you for your answer. In the case of both Fredriksten fortification and Old Town, it is important to protect by using at the same time. It's demanding – it's huge building masses. It is also demanding to bring in tenants who can enter into leases for a long time, on-going and obligating purposes, because the restoration and rehabilitation work is necessarily not adapted to the special purpose they have, namely to operate, to ‘allsang on the frontier’ or to other suitable tenants who currently have some rental in these premises, in particular to Fredriksten fastening. That's some reason why I'm dealing with the problem of having funds on an ongoing basis and over a long period of time, where you don't just see the individual years. One last problem: in my county and otherwise in the country we have old medieval churches, we have mansions, and we have fastening facilities. It requires special craftsmanship that is not necessarily found in those who leave high school — they should be experienced. Does the Council of State have any thoughts on how this competence can be ensured, in cooperation with other Council of State counterparts?
ParlaMint-NO_2010-05-05.ana.ud2638e842	The instruments in force in recent years — in addition to the regular maintenance provided in the budget of the Ministry of Defence — have been supplemented by additional appropriations. Then we focus on developing the fastenings to attractive arenas for both business and cultural and recreational activities. The special question that the representative Schou raises related to continuing old craftsmanship, I experience a whole new discussion, and it's really very difficult to go into this in terms of this format, so we'll get it back on a later occasion.
ParlaMint-NO_2010-05-05.ana.ud2638e849	Then we go to the questions 8 and 9.
ParlaMint-NO_2010-05-05.ana.ud2638e855	This question, from the representative Linda C. Hofstad Helleland to the Minister of Justice, will be answered by the Minister of Defence on behalf of the Minister of Justice.
ParlaMint-NO_2010-05-05.ana.ud2638e858	‘The debate on changes in the boundaries of the county councils and the location of the county councils shall take account of both political and local democratic considerations. People living in the district need a close and strong police force with an acceptable response time. A solid ground crew is essential for maintaining a decentralised police structure. What guidance signals underlie changes to the boundaries of the County Councils?’»
ParlaMint-NO_2010-05-05.ana.ud2638e865	On behalf of the Minister of Justice, I have the pleasure of replying as follows: The government attaches great importance to safeguarding both political and local democratic considerations when considering proposals for changes in the county councils. It is the government's aim to secure a police force with a service structure and a crew to care for the needs of the public for service and preparedness. The policy platform for the majority government underpins our efforts to gain more police force out of available resources and further develop the district structure. We want to maintain a decentralised police structure, strengthen the LEN's offices, have more police posts and less administration to get a more visible and accessible police force. We have therefore set up pilot schemes in two police districts to test out border regulations, co-location with public service offices and structured and committed cooperation with the municipalities – the Police Council. The Directorate of Police has been instructed to send individual cases where there is local agreement on the need for border controls to the Department for further processing. It is clarified that the objective of border regulation is to strengthen the capacity of districts to fight crime effectively and to provide the basis for better public service and response time. It is a prerequisite that the proposals are submitted to both municipalities and trade unions. On 26 April this year, the Directorate of Police presented an operational analysis of the police and officers' seat. The analysis confirms that the government’s significant strengthening of the police budgets is now bringing significant improvements to police action. The operational analysis also points to the need to review the organisation of the day in the police and officers' seat. The Minister of Justice is following up the analysis with a performance reform aimed at reducing crime, increasing clarity and a more close and strong police force. The Police Director has therefore been entrusted with the task of assessing the police’s district structure, staffing, work forms and administration in order to build up under this objective. The investigations will be carried out at the end of the year.
ParlaMint-NO_2010-05-05.ana.ud2638e882	I thank the Council of State for a thorough answer. In the South Trøndelag, my home country, there are now eight lenght men's offices that want to merge into one lenght man's office. This naturally creates strong responses in local communities, both because they are concerned with having a visible near-police in their district, while most people understand how important it is to a police officer who knows the local conditions, and not least the preventative effect of this. It is also expected that there will still be a strong near-police precisely because the Storting has so clearly expressed it. Is it now the case that you want to put down the janitor's offices, put them together and take tasks from the individual, to get a senior janitor on top? Can the Councils answer that?
