ParlaMint-NO_2010-10-29.ana.ud2117e45	The representative Siri A. Meling will put forward a proposal for a representative.
ParlaMint-NO_2010-10-29.ana.ud2117e493	Thanks to the rapporteurs for reviewing the content of the proposals. The right will have a knowledge-based education policy, and at one point the research is unambiguous: if we want to raise the pupils’ learning outcomes, the school needs to be secured by well-qualified teachers. It's only partly the case in school today. In fact, the proportion of non-accredited teachers for the stage they teach has increased steadily in recent years. This means that thousands of Norwegian students meet teachers without expected qualifications. At the same time, we know that seven out of ten teachers themselves state the need for further professional development. This is a powerful signal to the education authorities and must be taken seriously. Government budget proposals in 2011 do not bear a bid to do so. There seems to be full agreement on the meaning of the teacher, and that's good. Then it should be logical to start by ensuring the good competence of the teachers who are in school today. But that's not the priority of the government. The importance of today's students seems to be coming into the background. The Minister of Knowledge seems to be much more concerned with the legalisation of a resource standard that is highly unrealistic. According to the NRK, SV has calculated for itself that this will require 3,000 new teachers and cost 1.6 billion. kr. To Nordlys, Kristin Halvorsen has said that the government has three years to get this done. In a situation of 2000 non-accredited teachers, it would be pointless to legislate a norm that is not qualified teachers to comply with. The right now challenges the government to change focus. If the Minister of Knowledge wants Norway on the PISA ranking, one of the objectives set for accession, she cannot settle down with the large number of teachers in primary school without a qualification, and most of them are in the 1–4 age group. steps. It is particularly worrying when we know how important initial training is. In the right, there is a need to increase the power of continuing training for Norwegian teachers. In order to combat the absence and absence of a master's degree at school, we need to invest heavily in teacher's skills and quality from the first class. The qualification of non-accredited teachers must be given the highest priority. If our 67,000 teachers are to be filled up professionally at today's pace, it will take many decades. No one can live with it, and not the students at all. Such a time perspective kills the motivation of all teachers who now need continuing training. It does not make school an attractive job, and can be devastating to the school’s ability to attract new skilled teachers in the years to come. Greater investment in continuing training for teachers is a good investment for the country. We need to raise ambitions, and for all those who are engaged in school as tools to balance social differences, motivated and qualified teachers in specialty are important. Earlier this year, the Storting heard the Minister of Knowledge legislating for more adapted continuing training courses in order to allow more people to participate. The 2011 budget refers to meetings with the parties and adjustments to the arrangement, but the allocation is on-site. I interpret it in such a way that the government either does not itself believe that the arrangements that have been made will work, or that other measures are considered more important. The consequences of the lack of commitment to continuing education in today’s situation will be that many students will have teachers without approved education for years to come. Several thousand teachers without formal approval and large teaching coal at the pension threshold are the biggest challenge of the Norwegian school. It seems more and more that the government is heading towards crisis-like conditions in school if, as the Right proposes, continuing training efforts are not stepped up radically as soon as possible. Right will make school a lighthouse in the community of competences. The school must be concerned with learning outcomes and must develop teaching skills in line with the needs of students and society. The struggle for the labour force is rife. Right-wing proposals for the right and obligation of continuing education and training with a personal EVU account for teachers in the country provide new opportunities for career development and can make school a much more attractive job and also encourage seniors to stand longer in the job, because that is what we will need. The scarcity of real-time trainers must be met by specific measures. The right and obligation to continue training is also the basis for an authorisation system for Norwegian teachers. Finally, I would like to mention our proposal, which is set out in the setting.
ParlaMint-NO_2010-10-29.ana.ud2117e525	The representative Elisabeth Aspaker has taken up the proposal to which she referred.
ParlaMint-NO_2010-10-29.ana.ud2117e528	One has to be concentrated, really quite well concentrated, to keep track of what's meant by who, and what's the difference or differences between the different parties on the civil side, by date, when one reads the two settings. It is clear that there is intense competition to be the best, or the most intense, of continuing training for teachers and that it must be marked by its own comments. So it's a little funny to read these two settings, for me at least. One must be particularly concerned about and interested in the political game in order to understand this marking competition between individual parties. For us red-green, it's particularly difficult to understand this need for self-marking in a field where there's a lot going on, where there's a lot of difference. A lot of it's right so good, there's a lot of dynamics, and there's a lot of open-ended testing, everyone agrees. And everyone agrees that someone with an open mind should be looking for better organisation and better content in this activity, cf. what the rapporteurs presented, and which I am sure the Council of State will present later. But wisely – because that’s a wise committee we’re dealing with – the sticks are almost completely gone when we come up with suggestions and recommendations. For example, in a situation where everyone agrees that EMU is something we need more, and that someone will bring this work together in a national escalation plan, while others see it as inappropriate, to me there is no dramatic disagreement. What else is suggested by the input, comes in line with many other good input that these days come from different parties and actors in this field. So it's very good that this is written down, and we've got a lot of different ideas. On one point I would particularly like to commend the Right and the Advancement Party. It's that the two parties don't seem to want to stand behind the proposal of the Left and Christian People's Party to take hours, fruits and greens out of our schools. I agree – to take a Bible-inspired formulation – that the schoolman cannot live on fruit alone. But I would have thought that the Left would soon suspend its fight against bananas in school, because I have noticed that there are in particular bananas that the Left dislikes in the Norwegian school. The committee was in Canada. There were several hours – half-nine-to-three school, as far as I discovered, what I would call a full-day school – and they were proud of it. They were so proud that they campaigned offensively to introduce food serving both in the morning and in the middle of the day. It was something far more than bananas they both showed us and served us. Note: there aren't so many days since we had a budget hearing where both the National Association for Public Health and the Cancer Association made clear contributions asking for more fruit and green. The current system is so good that it needs to be expanded, said the Cancer Association to us. Return to continuing education and some points from my side. First, in both settings, the teaching concept is used in the headings. We have to remember to also include instructors and other professionals who work at school, who also need the possibility of continuing education. I guess we all agree on that. So a little bit more about the general trend of continuing education in our society, which is so important, and which we need to pay more attention. The discussion on adult qualification does not apply only within the training field. Earlier in this room, I have referred to a book that I think is very important, which can almost represent us as a Bible, namely the Knowledge Society, which underlines a very important point, that the turning point for adults' qualification should be their own work, which is one of the main points of the book. ‘It is necessary to develop a culture of adult qualification and learning in relation to the areas of life in which they live and operate on a daily basis,’ they continue. In this context, we may need to challenge higher education institutions and universities in particular to develop both continuing and continuing training facilities that take this into account to a greater extent. Last night, several of us were committee members at a UN/NHO seminar where the headmaster of the Oslo College just underlined this point, that further development of the adult education profession is needed. Then it turns out that maybe we can get more out of the money, I think, by investing more in scholarships than what we do today. Maybe we could get more, maybe it could be a little less exclusive. The scholarship allows, and it lubricates. At the same time, we all certainly agree that entering into education while people are at work does not have to be seen as something weary and resource-consuming, but on the contrary that education at work should make learning richer, more relevant and thus more efficient.
ParlaMint-NO_2010-10-29.ana.ud2117e556	We get to believe that this is a wise committee that the representative claims.
ParlaMint-NO_2010-10-29.ana.ud2117e559	Continuing training of teachers has been a focus of the red-green government. If the school is to be current and relevant and create a good learning environment, it is absolutely necessary that we focus on the continuous development of the individual teacher's competence. And OECD reports state that teachers with a high level of professional and pedagogical competence are an important prerequisite for students’ learning. Therefore, it is worrying when Competence for Quality – Strategy for the further education of teachers 2009–2012 initially states that 40 pst. by primary school teachers, there is no professional depression in the subjects in which they teach. A so-called permanent system of continuing training, as set out in the strategy, is an answer to the need for continuous development of competence and to give all teachers professional competence. The proposals we are discussing here today deal with the rights and obligations of continuing education and more flexible provision of study and increase the proportion of funding by the state. For the Centre Party, it is important to stress that Quality Competence is a quite new strategy – a strategy that is unique because it obliges both state, school owners, school leaders and teacher organisations. We are therefore not going to support any of the proposals, as several of the proposals have been addressed through the strategy – the centre party also does not understand the fight against fruit – and not least because it is important to focus on how to meet skills for quality and use their experience to further develop the quality and scale of continuing training for teachers. Because we all have high ambitions in the field, there is no doubt about it. It is also an important point that the competence of teachers is not only ensured through state-funded continuing training. There are many good local arrangements and plans. I was a sailor and decided on a regional plan for the Nord-Gudbrandsdalen when I was in the local government in Dovre. It defines the region’s competence needs and situation and tailors the building of competence accordingly. The state contribution is part of a much larger whole. Then the committee has been given many impressions that the government offer is organized so that it is demanding to make use of it for schools and individual teachers. It also partly shows the recording numbers and the number of teachers that have been recorded. There is a problem that the parties involved, who have signed up to the strategy, must have a strong focus on the future. The offer must be organised in such a way that it is practicable to participate. The strategy must be effective, and there must be some experience, but the challenges of economics and organisation have been highlighted by the central parity. We will follow this closely forward and be open to discuss adjustments if developments are going in the wrong direction in the future.
ParlaMint-NO_2010-10-29.ana.ud2117e572	One of the main goals of the Christian People's Party for the school is to put each individual student in the center and ensure all students challenges based on each individual's characteristics and potential. If we are to succeed, skilled and committed teachers are absolutely crucial. Both of the proposals we are considering today are about putting an even stronger pressure into the continuing training of teachers. It fully supports the Christian People's Party. Christian People's Party supports all Left's proposals in Document 8:145 S. We believe that these are good measures to increase funding for further training of teachers. We also support the proposal No. 1 and 2 in the proposal of the Right-wing Representative. A further pressure is needed for primary and secondary school teachers in the form of systematic continuing education. This, in addition to ensuring that there are a sufficient number of teachers, should be given the highest priority in the coming period. Adequate numbers of qualified teachers are far more important to prioritise than an extended school day, on which the government has chosen to invest the large amount of money. A study lab report has previously shown that the school has challenges related to uniform educational arrangements and inability to adapt education for students. At the same time, we know that there is a constant desire to adapt training to each individual student. With expectations of individual organisation and new up-to-date knowledge in education, it is essential to be able to provide teachers with time to improve their skills. Students in the Norwegian school are required to be engaged, up-to-date and knowledge-rich teachers. That's why we need to get teachers the best starting point for getting a school that's adapted to each student. Through the Knowledge Lift and the introduction of skills objectives in all curricula, teachers face new demands. Teachers need continuing training that covers both expertise, including vocational education, and more general pedagogical subjects. It is essential to ensure the participation of as many teachers as possible. In order to ensure the continuity of the needs of teachers and pre-school teachers for the maintenance and expansion of skills, a good, permanent system of continuing training must be in place to ensure the high quality of teachers related to the continuing objectives of learning. Further training, as a result of new nationally adopted reforms and changes, must be added and not be incorporated into an already existing system. Finally, I want to say that for the Christian People's Party, the teachers have been the key in all that time, and in all the things we've been sitting, both in position and in opposition, to get good results in school. Giving this profession an opportunity to perform the important role it has will allow one to see as a long, red thread in the history of the Christian People's Party, from Kjell Bondevik, from Jon Lilletun, and we want to maintain this pressure to give teachers the tools they need to give us the world's best school.
ParlaMint-NO_2010-10-29.ana.ud2117e594	Would the representative like to make proposals?
ParlaMint-NO_2010-10-29.ana.ud2117e597	Yes.
ParlaMint-NO_2010-10-29.ana.ud2117e602	Then the representative Geir Jørgen Bekkewold has taken up the proposal of the Christian People's Party and the Left.
ParlaMint-NO_2010-10-29.ana.ud2117e605	I've been trying for a long time to think about what image I'm going to have on this debate, because it feels incredibly hopeless. It almost feels like being compulsive, and no one hears what you're saying. Same thing you say, they're just saying that they agree, clapping your head and asking you to keep going. It's kind of like the frustration you feel when you're four years old, and no one really hears what you're saying. I agree with everything you say about how important teachers are. That is the main reason why the Left is promoting this proposal that we are discussing today. The teacher is the most important input in the school. And I have to admit that I think there's almost no problem that the school is going to solve, that a good teacher can't solve. In the case of bullying, school results, poor pupils and strong students — there is nothing a good teacher can do to help. And that's what you say you agree with. Still, you can see that there are completely different things to bet on. The focus is completely different. We want to legislate on the knowledge of teachers – instead, there are other things you legislate. I'll come back to that, but first the important proposals. We need a plan to step up continuing education. You have to get it together with the municipalities. When we see that the municipalities do not use the offer that is there, we have to do something. We need to have some measures to ensure that the municipalities actually use the offer. We know that the reason the municipalities don't use it is not that the municipalities don't want it. The reason why it's not used is not that the teachers don't want to. There are other things that need to be done, and that's why you should have increased government funding – to get more people to use it, to get better teachers and to get better results. We see that we're going to have the same arrangement. Whether it's the doctor you're going to, or the academic at a university or someone else in our knowledge industries, it's seaworthy that everyone should have an ongoing education according to a certain plan. It's just our teachers who don't get it. The left is also open to discuss certification solutions, as proposed by the Right. However, we believe that this needs to be further investigated before we do – also because we have seen that the Left's sister party in Sweden introduced it a little too quickly, and made sure that there was a lot of trouble about introducing it. We can avoid that just as long as we prepare it well enough. And so: The fact that SV doesn't understand priorities, I'm not going to accuse SV of – they've never really done that. But what's important to understand is that here it's about priority, and maybe the other parties understand it. Because we know that the main input factor is the teachers. We know that the knowledge of the teachers is the most important thing we can do to make the school better. Why, then, are other things legitimized? Now you've been wearing five years, and what's the law? Well, you have legalized fruit and green -- bananas, pears or what it is. It is so important that we legislate! It was the first law enforcement in the school sector of this government. That's not what it's all about to come from. The fact that it costs a few hundred million kroner, it is not likely to come from – approx. 250 million. kr. That's what this government thought was most important. It's an irrevocable fact. The second thing to do is to expand the number of hours – when you know you don't have teachers! You know that the teacher is the most important input factor, but what do you spend money on? Yes, several hours with teachers who don't exist. And the last thing you do is bet on homework with unskilled! You know that teachers are the most important thing, so what's the third government rate on? Well, homework with unskilled. There are three important priorities; there are three major educational policy commitments. Then it doesn't matter to stand here and say that there are teachers who are most important, because then it's actually fruit and green, several hours and homework with unskilled who are most important. That is a clear priority. Then I don't understand why it's so hard to understand the panic and the feeling of being the little four-year-old that you just pat your head and say yes, that's okay, and then you go on with what you do. I realize it's fun to joke about bananas, but that's actually what you give the students. You know that it's wise teachers you have to give them, and that's not what you're betting on. The only thing you have done is to continue what was already in the promise of knowledge in the field of continuing training of teachers. I must say in all modesty that I am pleased, for it was the great victory of the Left in the promise of knowledge when we were in government. But we believe that it has to do more, and when you have a larger room for action, I think this would have been a much better bet than the priorities that the government has. It's called priority, and it would like to get an evening course if they want it.
ParlaMint-NO_2010-10-29.ana.ud2117e622	I understand that Left thinks SV has a lot to do with it. I can confirm that it's mutual. We're both parties, and all parties in this room are concerned with quality in school, and believe that it is related to the competence of the teachers. We need teachers who know their subjects and who are good knowledge intermediaries. As a result, priority number has been given to focusing on competences. 1 within the means available to the Ministry of Knowledge for the quality of initial training throughout our government period. Every year we've spent about 400 million on the state side. kr for continuing education. In addition, the municipalities have fulfilled their responsibilities and are committed to this. After the high-quality report of the school, which came in 2008, we have shifted the effort from a year-on-year post-secondary effort to a permanent system of formal continuing vocational training — and I stress further education — as part of the whole. The aim is to meet as much as possible the new skills requirements and to deepen the subjects in which they teach. It takes time to put this system in place, and during a phase-in period, a lot of funds have also been spent on continuing training, including: in evaluation and advice. Although the competence of school employees is a local employer responsibility, there is a broad political consensus that the State should contribute. The proposals from the Right and the Left that we are discussing today confirm this. They are aimed at increasing the proportion of state funding for continuing education, the introduction of grant schemes and obligatory escalation plans in order to increase participation in the continuing training studies. I agree with the goal of getting even more teachers into the further education system. But it's too easy to view this just as a money question. The emphasis on teacher competence extends beyond the investment in continuing education and training, and I will mention the recruitment of school leaders and teachers. Here, the GNIST campaign is set up in cooperation with the parties to improve the recruitment of teachers and the teaching profession and to increase the status of the teaching profession. We see an improvement in the recruitment process – and good! The parties cooperate on several different actions both at national and regional level. Then teacher training has been changed from now on in the autumn, with emphasis on more specialisation towards subjects and steps and with a new teaching and learning profession. Competence requirements at secondary school were strengthened in 2008. A minimum of 60 study credits were required in mathematics, Norwegian and English for all those to be enrolled to teach in these subjects. We have also now, in October, sent to the hearing a proposal for further strengthening of the competence code, with further demands for credits in specific subjects in order to teach at all levels of training. We are thus following up the big message about new teacher training, and we are doing all this to increase the quality of teachers. Guidance for newly-trained teachers has started. The government aims to provide guidance to all new teachers, and we have also launched a programme called ‘Evaluation for Learning’, which is a school-based competence development programme under assessment. So there is no lack of action. The members of the Committee of the Progressive Party, the Right, the Christian People's Party and the Left ask the Government to increase the State share of the funding related to continuing education for teachers and to present an obliging plan for continuing education, which shall include all teachers in Norwegian primary and secondary education. As I said, we use approx. annually. 400 million. kr on continuing training for teachers by the State. In addition, the contribution of the municipalities comes. I know that the municipalities want a higher proportion of government funding for the temporary employment costs for continuing training, and we will assess this distribution in more detail. However, when we do not fully reach the objectives of participation in the continuing education system today, there is little reason to believe that it is only the money that is involved. The challenge is to get teachers and school owners to take advantage of the study offerings developed and prioritised in formal cooperation between the State, KS, teacher and school leader organisations and National Council for Teacher Training. Some people have to do the job while the teacher is in further training. In a situation of very low unemployment among teachers, access to qualified temporary workers is a challenge. The aim of the students is that there must be quality in teaching at all times, even when teachers continue to train. And temporary costs are included in the agreement that the ‘Quality Competence’ strategy is about. Based on the numbers of applicants today, we have a reasonable level of the state framework for training. But of course I will consider this on an ongoing basis in future budgetary procedures. The distribution that the parties have agreed on in the strategy, I would say, is not a distribution that must remain forever. We will follow closely the participation in continuing education and training in the future and assess several new measures. However, obliging follow-up plans for the individual teacher are the school owners who have to take care of them. This is a clear employer's responsibility, and it is also the school owner who has to assess the usefulness and need of individual EVU accounts, as suggested by the Right. I think we have a good debate now on continuing training. But I would like to stress that the government is doing a lot of things to improve this, and the basis we have now is good for the further work we invite everyone to support.
ParlaMint-NO_2010-10-29.ana.ud2117e654	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2010-10-29.ana.ud2117e657	I hear no slamming of closed doors in this matter. It is quite natural, since the necessary measures are well anchored in the government's policies, for which the case-speaker did well. However, this does not mean that the theme of continuing education of teachers is immaterial to the teacher, to the school and not least to the pupils’ learning outcomes. It is often focused on the big difference it can be in results from a school to the next school. It's because we all too often experience a failing learning environment in some schools. This may, of course, be due to a lack of vocational training among teachers, but I would say that there is equally often a failure of the principal responsibility on the part of the school owner. I want to point out a bigger problem, that is, the difference we experience from one classroom to the next. There may be many times as big a difference as the difference between the different schools. And then we've come to the heart of this thing. The great inequality in results from one classroom to the next can mainly be traced back to different academic competences. However, it must be stressed that a commitment to continuing training is not enough to raise the result in the school. A little visit to the Left and Ski Grande: it must be possible to have several thoughts in your head at the same time. So I want to add that we have 3,000 schools in the country. We have 430 municipalities. They have the primary responsibility for this venture. In all modesty, I want to show you the good results that students in Sogn and Fjordne achieve. We have games at the top of most statistics in the country. Of course, I get flattered when one is constantly met with that this has its cause in the unique genetic origin with which all the soakings and fjords are equipped! Well, it could be. I'm not going to protest about it, but I'd rather rush to show you the systematic work being done in this area in Sogn and Fjordane. Local authorities are responsible for financing continuing training. On average, we have therefore been able to provide this to 300 teachers who have taken part in further training each year. And there's a lot in a state of only 1,500 students. The high ball in Sogn and Fjordane have made a huge effort – set up with 10–15 years of work. Another good example is regional cooperation between the municipalities of the inner Sogn. It has the title of ‘Studying — Turning Sogn’ and focuses on more competence and better results for students and enhanced cooperation. I would also like to mention different projects, which adapt training, digital school collaboration and focus on leadership and career planning in the school. That's the sum of this that's sent our students to the top of all statistics.
ParlaMint-NO_2010-10-29.ana.ud2117e672	After the previous article I am happy that I am half sucking, because that promises well! Schools are constantly developing, many trials are being conducted, and many trials are required. Often sighting and testing are carried out without a basis in research. I think there'll always be a little bit of it in school. But there is one thing that is now behind research, which is determined, and that is that the quality of the teachers is absolutely crucial to the results of the school. The teachers themselves also say that they feel the need for continuing training. It has been shown here before that seven out of ten say that they need and want continuing education to become better teachers. I feel the need to establish that what we are discussing in these two cases today is not the new teacher training courses. No, it's the teachers who are in school teaching our children now and in the coming years, until those who are in the new education come. The proposals will establish the importance of this. With regard to the weighting from the position, which speaks nicely about this here today, I want to write myself into Trine Skei Grande's posts, because that's what I think she pointed out excellently. Our proposals address the obvious gap between intent and implementation. So, through the proposal of the Right, we want to grab hold of existing teachers, who are going to teach for many years yet and adapt in the short term. Because when it's like seven out of ten will, when there's a cooperation agreement on how to do it, and one doesn't get a payoff, then there's something wrong with the system, and we have to deal with that right now. That's what they're invited to do. I must say that I wish that the government parties could vote for today, but I am glad that they have not rejected our proposals. It is equally important now to think about the long term, so that one can commit and create predictability of a right and obligation on both sides, so that we ensure that there is constant development in teaching capacity and in the quality of teachers. So, in summary, even though Hagen is wondering about zeal and competition from the opposition parties about being on the track here, I take it as a reward. Yes, I will be eager. I would like to compete to be the best at equipping existing teachers for the future. We want to have a pressure on continuing education adapted to the teacher right away, and we want to create a systematic bet over time, with a right and duty and individual continuing training account. We still promise to be eager about this, even in the future.
ParlaMint-NO_2010-10-29.ana.ud2117e694	The student is the most important resource in the school. The teacher must therefore meet the student at the level of the student and give the opportunity to develop on the basis of his own abilities and interests. The teacher's competence and manner of acting are crucial for the student's learning and development in the school. Unfortunately, it is still so that many teachers just turn the pile from the previous school year and continue with the same lesson as last year and the previous year. We don't want it like that in school. Adaptive and good training and continuous skills development for teachers and teachers must be at the heart of our education policy. The quality of teacher training needs to be improved and the information society of today needs to be adapted. In the school there is today, stronger than ever, competition for the student's attention and learning. The teacher should be able to learn all about current information technology developments and how these new technologies can and will be used in the training. Efforts to enhance the competence of teachers need to be targeted in an appropriate way with a view to quality. Teacher training schools can be a way to go. Motivated teachers with a high level of professional and pedagogical competence in all parts of the country must be our goal. This is why it is more important than ever to continue training in the teaching profession.
ParlaMint-NO_2010-10-29.ana.ud2117e705	I think it's a standing joke in prayer houses circles that it's easy to say hallelujah, but a little bit harder to do. I came to think of it when I heard the representative Hagen, who stamped at least right and certainly also the Left and the other parties in opposition who were only eager to participate in a marking competition. We're not just saying hallelujah when it comes to continuing training of teachers in Norwegian school, but we actually want to do it. It's possible that there we differ from the government parties. At least it sounded to Aksel Hagen as if it were a pretty big distinction. There's a red thread — or maybe a blue thread is a more correct expression — going through Right school policy. There are some key concepts that we actually mean something. We believe that knowledge is the most important result of the school, and we want to ensure that knowledge development and the production of knowledge in the school are of high quality. We are uncompromising on quality when we discuss different measures in school and school policy, and then we want to make demands. So there will be knowledge, quality and demands in this context for everyone: requirements for students, we are clear about that, demands for teachers, that is what we are discussing here today, demands for the principals, i.e. for the principals, and demands for the school owners, who are Norwegian politicians around the municipalities and county councils. Making demands has not always been legitimate to talk a lot about Norwegian school policy. We've probably had one too weak attitude to school content for too long, to school quality. That's why it might be the understatement of the year when it says the following in the government's competence strategy – it's been quoted in a previous post, but I repeat it anyway: ‘It is therefore a challenge that 40 per cent of primary school teachers have no professional depression in the subjects in which they teach’. It's a substatement that almost half of the teachers don't have it. I actually don't think that most people take on such a serious situation. In what other sector would this have been accepted? I can't imagine any other sector in which one would have accepted such a large part of what we can call unskilled labour, at least in terms of the professional content of what it is taught. That is why this matter is very important. That's why it's important for the Right not only to say that we're concerned with the quality and competence of teachers, but actually also to make concrete proposals to solve a situation that we can no longer accept to have in Norwegian school.
ParlaMint-NO_2010-10-29.ana.ud2117e719	Yes, I opened my post a little freshly, but I concluded the more calmly, so at least I remember my own post. Because it's true, as Svein Harberg says, it's nice that you're eager. It's also nice for the position and government that the opposition is more eager than we are in the position and government. Therefore, so far – very good! Where I'm probably not willing to pull, is on what I said about fruit and green. Of course, we also agree that the teacher is important. We can also say the most important thing, but at the same time, everyone agrees that the teachers cannot be the only thing we are fully committed to. These include: What's called school construction, that's what's called teaching materials. There's also something called health, and there's something called well-being, which is also important in the context of learning. Then I can as well as other representatives here say that we know that well-being is important for learning, we know that health is important for learning, and that diet is part of it. So here's what Tor Bremer, among other things. I think we all agree on that: one must have several thoughts and instruments in his head at the same time. So a little bit more about this concern about the lack of competence of the teachers, which I share, so absolutely. What makes this even worse is that this is the situation of many professional groups in our society in the future. A few days ago, we heard that the same is true of clergymen, the same is true of civil engineers, the same is true of health, the same is true of dentists, etc. It shows that we have a bigger challenge in this field than just what is related to our school and education system. That's why this EVU effort in general in our society needs to be stronger and tougher than what we're doing today. Then, to take the point that I tried to make quite clear in my contribution too, it is not least important to go into the work situation, where people are at work, where people live, and get to the increased EVU activity with it as a starting point. In addition, I very much appreciate the fact that it is also clear that Nav is coming more and more on the track, so that we can also pick up those that are not exactly on a daily basis at work.
ParlaMint-NO_2010-10-29.ana.ud2117e729	This debate has made clear differences in priority between the opposition on the one hand and the government on the other. We agree with the meaning of the good teacher, but we obviously disagree on how much it should be spent to make the school a more attractive place for teachers and a better learning venue for whom the school is for, namely the students. Many students experience too little mastery at all levels of school, and other students are bored because they don't get enough challenges. In both cases, teachers with sound professional and pedagogical skills are needed to unload students for good results. When the teacher is most important and when research is so hard to establish, it is incomprehensible that the government will not give priority to continuing education. Instead, we feel that there is a focus on measures that we do not know about. It is a great paradox that the government is constantly legislating new measures that force municipalities to give priority to fruit and vegetables and homework rather than to bet on competent teachers. We are facing a challenging situation with an increasing teacher crisis in school, but funding for the further education strategy is on the ground. The right is in doubt about the government and the minister of knowledge seeing the full seriousness of today’s situation, where teacher competence largely and increasingly takes into account the needs of schools and students. The Tora Aasland Council noted that there was a reasonable framework for further training measures until next year. It is a little incomprehensible that the government can believe it when several thousand teachers in school today are without approved education where they teach, and when new skills requirements for teachers – both those adopted and the new ones notified and supported by the Right – will actually mean an even greater need for empowerment. The right believes that this can and must be done even more in order to make it better possible for teachers to combine continuing education and training with work and family obligations. I remind you again of the interpellation debate we had in ours, about better adapting the offers after recording both from the KS and from the teacher organisations. We need to learn from experience from the organisation of skills enhancement for the implementation of the Knowledge Promise and from municipalities and counties that have carried out extensive continuing training activities for a large number of teachers at a much lower price, even in combination with the fact that the teachers have been in their jobs. That's where the Council of State and several others have a point, that we have to be able to do both. While it is important to improve skills, it is also important that students have competent teachers in the classroom. I would like to say to Aksel Hagen: it is important to have an open mind, but it is also important that the Minister of Finance has an open money book in this area.
ParlaMint-NO_2010-10-29.ana.ud2117e744	We have a good cooperation with the Minister of Finance and the Ministry of Finance to get funding for schools in general. The 400 million. kr, which we have spent so far per year on continuing training, I believe is a very good contribution from the state. The strategy now in its second year, called Quality Competence, is the government's response to the questions put by the proposers. We want this to be the most important contribution to continuing training, in addition to what is now happening in the field of continuing training. Although we may have a little trouble getting enough participants in the continuing education system, we see that this is an improvement. Of course, we want to get it even better and will follow closely, so that we can change distribution keys, cost keys, as some of the measures. But competence for quality is a lasting commitment. It's a broad consensus, it's joined by many parties, it's a student point, and it's linked to the new teacher's education. It's not like we're going to wait until we get the first students from the new teacher training before we do something about continuing education. I'll do it at the same time. It is important that higher education institutions and teacher education institutions are also included in this agreement, because their efforts are crucial. The quality is guaranteed here, and there are very good feedback from the teachers about this particular continuing training. We are now working to facilitate more flexibility, facilitate the relationship between continuing education and training, and improve accessibility, because we are now linking the strategy to the regions established in the context of new teacher training. We must both ensure that there is a minimum distance between the teacher and the place of further training, we must ensure that the quality is maintained, and we must ensure that the enthusiasm for this action is maintained. So here I think we have a good answer. But as mentioned both by me earlier and by several: this is one of several measures. In the case of continuing education alone — which, of course, the municipalities, or the school owners, are responsible for — there were over 170,000 participants in various follow-up training measures in 2009. There are also quite a number of people in the field of continuing education, and there are measures that have been initiated by the school owners themselves. This is the contribution where the state goes in with quite a lot of money, and which we want to follow up, and this is the contribution that I hope will be a good guarantee that we will also get good teachers in the future, including teachers who are taking further training.
ParlaMint-NO_2010-10-29.ana.ud2117e757	Several have not asked for the floor for case No. 3 and 4. [[Footing, see page 478]]
ParlaMint-NO_2010-10-29.ana.ud2117e765	The size goes to voting.
ParlaMint-NO_2010-10-29.ana.ud2117e814	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2010-10-29.ana.ud2117e824	The legislative decision will be taken until the second reading in a later meeting. In Case No. No voting theme is available.
ParlaMint-NO_2010-10-29.ana.ud2117e834	Three proposals have been put forward during the debate. It's proposal No 1, by Bente Thorsen on behalf of the Advancement Party, Right, Christian People's Party and Left Proposal No. 2, by Bente Thorsen on behalf of the Advancement Party, the Christian People's Party and the Left Proposal No. 3, by Geir Jørgen Bekkewold on behalf of the Christian People's Party and the Left First of all, there is a vote on proposal No. 3, from the Christian People's Party and the Left. The proposal reads as follows: ‘The Government is asked, if necessary, to reverse previous decisions on, inter alia, hourly extensions and statutory distribution of fruit and vegetables in order to finance an increased investment in the further training of teachers.’
ParlaMint-NO_2010-10-29.ana.ud2117e861	It is then put to the vote on proposal No. 2, from the Party of Advancement, the Christian People's Party and the Left. The proposal reads as follows: ‘The government is asking for a transitional period to increase the State share of the funding related to the continuing training of teachers in order to make the system of continuing training effective.’
ParlaMint-NO_2010-10-29.ana.ud2117e876	The Committee's position and proposal No shall be replaced by an alternative vote. 1, from the Party of Advancement, from the Right Party, from the Christian Party, and from the Left. The proposal reads as follows: ‘The government is asked to present an obliging escalation plan to increase the number of teachers covered by the continuing education system beyond the current level of ambition of 2 500 teachers per year.’
ParlaMint-NO_2010-10-29.ana.ud2117e887	I voted wrong.
ParlaMint-NO_2010-10-29.ana.ud2117e892	It's possible to fix it right here and now, if that's okay with the representative. That's okay?
ParlaMint-NO_2010-10-29.ana.ud2117e909	Five proposals have been put forward during the debate. It's the proposals No 1 and 2, by Bente Thorsen on behalf of the Advancement Party, Right, Christian People's Party and Left proposal No. 3, by Bente Thorsen, on behalf of the Party of Advancement, Right and Left, proposal No. 4, by Bente Thorsen, on behalf of the Party of Advancement and Right-wing Proposal No. 5, from Elisabeth Aspaker on behalf of the Right First of all, there is a vote on proposal No. 5, from the right. The proposal reads as follows: ‘The government is asked to put in place an authorisation system for Norwegian teachers in order to stimulate more active career planning and skills building based on the right and obligation of continuing training through the career cycle.’
