ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u1	Question No 54, by Mr De Pasquale 55014059C, No. 55014361C, No. 55014362C, No. 55014363C, No. 55014364C and No. Mr Boukili's 55014368C were converted into written questions.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u31	Madam President, Minister, figures recently published by the Flemish Minister of Education, Ben Weyts, show that in the last five months, the period September 2020 January 2021, 305 files were forwarded to the parquet by the Flemish Centres for Apprenticeship. That is almost eight times more than the 39 files in the same period of the previous school year. That is why we are right to talk about an alarming evolution. It is therefore important that the public prosecutors give absolute priority to the problem and that these dossiers are dealt with as a matter of priority. We are talking here about the well-being and safety of children who, here, we both agree that we deserve the greatest possible protection in our society. That's why I have the following questions. First of all, are you aware of this disturbing evolution? What initiatives will you take to ensure that they are dealt with by the public prosecutors as a matter of priority? Secondly, can you give me an overview of the number of files per parquet? Of course, I am satisfied if you give me the answer to that question in writing. Are there major differences between the different provinces? Thirdly, it concerns figures relating to Flanders. Can you provide me with information on the situation in French-speaking Belgium? How many disturbing files were forwarded there?
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u32	Madam President, Mrs Dillen, thank you for your questions. I share your view that the large number of cases notified to the public prosecutor is not particularly reassuring. However, it is rather reassuring that it shows that the CLBs, i.e. the Flemish Centres for Apprenticeship, the community services, the youth parks and the federal government are able to find each other well. After all, it is important to know that the parquet is always following notifications by the CLBs. The CLBs can report worrying situations in two ways when they estimate that they themselves can no longer safeguard the child's development opportunities. A first way is the normal way through the notification of mandated provision. The mandated facility shall examine the distressing situation of the minor and may refer the minor to the Public Prosecutor's Office if the provision of youth assistance is socially necessary but no appropriate voluntary youth assistance is accepted and if it is refused to participate in the examination of the social necessity. A second way is in exceptional situations a direct notification by the CLB to the King's Attorney, which is possible on the basis of Article 458a of the Criminal Code. The D.A. is always following up on these two types of notifications. After a referral by a mandated provision, the file is dealt with immediately and, in principle, the juvenile court is always sought on the basis of Article 47, 1°, of the Decree on integrated youth aid. Following a direct notification to the King's Attorney on the basis of Article 458a of the Criminal Code, if the conditions for an urgent action by the Juvenile Court are fulfilled, the juvenile court shall be brought forward on the basis of Article 47, 2° of the Decree on integral youth aid. I will give you the figures you are asking for in writing when they are available, including those relating to the situation in French-speaking Belgium. The most relevant question is of course: what is the cause of the increase in the number of notifications? I believe that a causal link to the corona crisis is difficult to measure. An increase in the number of acute serious danger situations may be due to the corona measures, making children and parents more at home in sometimes difficult circumstances. Another possibility is that the problems are detected less quickly, so that the situation is already quite escalated when the CLB is switched on. However, this causal link is not certain. Statistics from the Public Prosecutor's Office have shown an increase in the number of VOC files, worrying educational situations in recent years. Any faster notification of the CLBs to the parquets may have to do with the working conditions of the CLBs in the corona crisis. This should be checked with the Flemish Community. Any slower start-up of voluntary assistance may also be linked to the working conditions in the corona crisis. Of course, as Minister of Justice, I cannot comment on this either.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u33	Thank you, Minister, for your reply. It is indeed very positive that there is good cooperation with the public prosecutors and that we are playing the ball very briefly in the interests of our children and our young people. Do I understand that you will give me the figures yourself in answer to my second and third questions? Or do you want me to put a separate written question to that effect?
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u34	If they're available, I'll get them to you myself.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u35	Thank you very much.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u36	The next item is the debate on the following motions for resolutions: 55014584C by Mrs Dillen about an app to make chemsex parties safer.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u37	Madam President, I thought Mr De Wit had also tabled a question on this subject. In that case, we can match the two questions today or next week.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u38	I've seen that question pass, but I thought she wasn't filed until today.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u39	I am prepared to postpone the question until next week and to deal with it together with Mrs De Wit's question.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u40	That's very kind of you, Mrs. Dillen.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u41	Debates of the European Parliament So 55014584C by Mrs Dillen will be postponed until next week.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u42	Madam President, Minister, according to prison administration figures, 592 people in Belgian prisons have been infected with covid-19 since the beginning of the pandemic. This means that more than 5% of the prison population has been or is still affected by the disease. My question predates current events at Namur Prison, where more than 50 per cent of the people, between the detainees and the staff of Namur Prison, are infected with coronavirus. In order to provide care to prisoners in prisons, including those in Bruges and Lantin, medicalized sections have been set up where inmates who suffer from a serious form of covid-19 reside. Care is therefore provided by the Ministry of Justice. This brings us to something even more recent than my question and on which I will ask you on another occasion. It concerns the allowance for nurses in prisons. It is well known that, despite the professionalism of medical workers in these prisons, the quality of prison care and medical follow-up remains largely inadequate to date. The very medical coverage of prisoners differs and results in distinctions in the quality of care provided. And I am certain, minister, that you share this view that a patient is a patient, whether in detention or not. Therefore, a transfer of the management of health care in prison to the Public Health FPS is encouraged by the World Health Organization. This is also reflected in your own political guidance note. In the same text, you state that you want to improve the quality of health care in prison, in particular through this and through pilot projects. The crisis reveals this in particular, we observe that this equal right of access to health care for everyone must be realized and implemented as soon as possible. Minister, could you tell me how many medical personnel (doctors, nurses, pharmacists, etc.) Do these medical units count per inmate? Are they full-time or part-time? Could you tell me whether these prisoners, with equivalent symptoms, enjoy a quality of care equivalent to those they might receive in hospital? Could you let me know the status of your contacts with the Public Health FPS and the pilot projects that are planned to date? How long do you intend to implement them?
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u43	Madam President, Mr Aouasti, both in Bruges and Lantin, the covid-19 sections are followed daily by the general practitioner who deals with this situation. Besides, I've visited both sections in the last few weeks. In Lantin, this is the Chief Medical Officer. As for nurses, there is no specific framework for the covid-19 sections, but the service is provided day and night, seven days a week – as the Red Cross has seen. It should be recalled that only prisoners with mild symptoms stay in these sections. Those with more severe symptoms are in section H of the medical centre. If their state of health requires further care, they are transferred to AZ Sint-Jan in Bruges or to the Regional Hospital Centre of the Citadelle in Liège. For your second question, prisoners who do not have or have few symptoms do not automatically go to this service, but remain in solitary confinement, as would be the case in free society. Patients are transferred to these sections and are adequately treated. There is also a collaboration with an outpatient hospital in Bruges and Lantin, in order to be able to meet the needs in case of negative developments, which would make hospitalisation necessary. On your third question, I can inform you that a first – very constructive – meeting with my colleague Frank Vandenbroucke was held in early February, with the aim of preparing for the transfer of health care by project, and to discuss it with all relevant partners, including at the level of the Interministerial Conference on Public Health. As mentioned in a previous answer to a question by Mr Pivin, you will forgive me if I do not stick to a precise timing, given the complexity of this matter. We are working hard on this and will make gradual progress in the pilot projects.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u44	Minister, thank you for your answers. I'll start with the end. I understand perfectly well that you were not giving too precise a schedule. I can hear it, especially since, as you say, matter is complex. It's a complicated transfer, which probably has to phase out by project, as you said. I can understand that. My concern, regardless of the modus operandi or vehicle, namely a transfer from Justice to Public Health, is to provide quality health care to our inmates. Whatever he is, a patient is a patient. I assume you share that concern. I see that things are being put in place. I also note that it is done in collaboration, when patients have somewhat heavier symptoms, with specialized medical services to which patients are transferred, whether at the hospital in Bruges or in Liège. But I find that in the in-between, the answer indicates a weakness. You're talking about general practitioners, not medical specialists, as we can see in normal hospital units. In addition, the necessary and useful collaboration with an outpatient hospital ultimately demonstrates the weakness of health care for inmates. I am confident, I also trust you in your firm commitment to the transfer project to the Public Health FPS. In my view – and I think we share it – we simply need to be vigilant in this period of time, to be able to offer each and every individual health care that will lead a dignified life, whether or not one is detained. The conditions of deprivation of liberty and prison overcrowding cannot add up the fact that we cannot even be treated legitimately and naturally when we suffer from certain pathologies.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u45	Minister, at the end of last year a draft law was adopted that resulted in the Law of 20 December 2020 laying down various temporary and structural provisions on Justice in the context of the fight against the spread of the coronavirus. Article 46 of that Act provides that in a number of cases, until 31 March 2021, but renewable, the Chamber for the Protection of the Company should no longer hear the interned in person but only his lawyer and the Public Prosecutor's Office, unless the Chamber finds otherwise by reasoned decision. There shall be no appeal against this decision. The Constitutional Court has decided to stay this provision. According to the Court, the objective of limiting contacts as far as possible during a pandemic is legitimate, but it considers that the provision goes beyond what is strictly necessary and that less far-reaching measures should be possible. The same remark was made during the discussion in committee of this draft law. We had tabled an amendment to remedy this problem by actually reversing the principle. We suggested that the interned person could be heard in person, unless it was justified not to do so. The majority decided not to follow this amendment and adopt the text as it was and today there is the suspension by the Constitutional Court. Minister, I would have liked to have heard your views on the decision of the Constitutional Court. What measures will you take to ensure that interned persons can be heard in person within the context of corona? Finally, are you in favour of the fact that the numerous measures taken by the government to combat the coronavirus, which have an impact on certain fundamental rights, can be reviewed by the Constitutional Court, as has happened in this case?
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u46	Colleague, I have taken note of the suspension by the Constitutional Court, but I await the substantive decision on the destruction of this provision of law. I shall therefore not comment on this at the moment. However, in view of suspension, hearing an inmate in person is once again the rule and representation by a lawyer the exception. We will apply this and take the necessary measures to ensure compliance with the sanitary regulations so that interns who have to appear before the chamber for the protection of society are heard in person. As you know, the room for the protection of society may be in a prison, in a courthouse or in the institution where the interned resides. As a function of its place of residence, the sanitary rules in force there will be complied with. Then I come to your third question. I am in favour of the democratic rule of law and the rules of the rule of law, as reviewed and controlled by the Council of State or the Constitutional Court, depending on the nature of the measure. Transparency also requires parliamentary validation and control. That is exactly what the draft pandemic law, which the government submitted to Parliament last week, aims to achieve.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u47	Thank you, Minister, for your reply. I note that today the interns are still being heard. That is the way, before the decision is taken on the substance, to see if it can indeed be safe. I am convinced that it must also succeed in a safe manner. I am waiting with you for what will be decided on the ground. You are already preparing yourself in case there is any destruction in practice. That's good. I would like to hear you say that you are in favour of checks and checks. I think it's a little cynical that you say that the government's pandemic law should remedy that. I would advise you, however, to read a number of opinions from constitutional specialists, who have just said that the new pandemic law proposed by your government is actually redrafting one constitution with a new constitution, that the government is only drawing more power towards itself and it is actually becoming even more undemocratic. However, that is a debate for another time. I understand that you are in favour of the principle, but that it may still be a little difficult to implement it. I therefore assume that the pandemic law as it stands today will be looked at very closely by you, because it does not fit in with the principles you have just set out.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u48	Debates of the European Parliament Mrs Jadin's 55014766C is converted into a written question. Debates of the European Parliament Mr Loones converted 55014773C into a written question.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u49	Mrs Van Vaerenbergh, first of all, the approximately 1 million judicial decisions taken annually are currently being monitored through the various file management applications MACH and others. The ideal solution would be an IT tool that automatically anonymizes the selected data from the selected and published judgments and judgments. Unfortunately, today we have not evolved so far that it is 100 % possible. In the Netherlands, anonymizing is happening in a manual way today, but the website case law.nl publishes only a small selection of judicial decisions. In France and Austria, Justice is experimenting with such tools, but a perfect solution has not yet been found. Therefore, a manual anonymisation of court decisions, before they are published, is the only option for the time being. Secondly, as I have already said, there is a project in progress at Justice to complete the legal framework for the database of judgments and judgments and to establish the database, taking into account the needs of both internal and external users of Justice and, in the field of anonymisation, the rules on the protection of personal data. A working group consisting of representatives of the judicial order, the FPS and the data protection officers of the FPS and of the judicial order is responsible for the elaboration of the provisions relating to the anonymisation to be included in the new legal framework. Based on the legal framework and the agreed criteria on the anonymisation of personal data, it is intended to develop or develop custom IT tools that allow, purchase, develop or allow semi-automatic anonymisation. We are currently in contact with a number of Belgian universities, such as the ULB and Ghent University, research groups and technology providers specializing in natural language processing and semantic data processing. At the same time, we are monitoring developments at European level and working towards cooperation between the justice partners in the Member States, as we are all facing the same challenge. In any case, there will always be a need for human control of the result of automated anonymisation. Thirdly, in addition to the Working Group on Anonymisation, which is working in the framework of the Database project on determining the scope of anonymisation and in which the courts and courts are represented, there is also a Working Group on Standardisation. That working group, which is supported by the College of the Courts and Courts, examines the definition of the fields in the judgments that can be regarded as pertinent metadata. Defining those metadata should facilitate automatic or semi-automatic anonymisation. Just to remind you, JUPORTAL is indeed a public database for Belgian case law managed by the ICT staff, but it is the individual courts that determine which judgments and judgments they anonymize and publish in the database. This is done on the basis of legal criteria laid down by the management committee of the Phenix information system. The underlying database JUPORTAL is not the publicly accessible electronic database referred to in the 2019 Law which enters into force on 1 September 2021.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u50	Thank you, Minister, for your reply and hope that progress can be made in this area.
