ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u1	Debates of the European Parliament 55014569C by Mr Moyaers has been postponed.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u45	Mrs Lanjri, education and training are an essential link in building a future. Nevertheless, our legislation does not contain any specific rules for young people with disabilities who continue to study. I can confirm that it cannot be that a student is not entitled to an IVT or IT. Benefits may be combined with training or retraining. For each application, it is necessary to examine whether the possibilities of earning an income and/or living independently are significantly limited by the disability. That evaluation should take into account in particular the limitation and impact it has on his or her future work situation and also studies. A doctor might consider that the ability to award an IVT or IT to the person concerned has not been sufficiently reduced. However, that problem has not yet occurred. If there were such an interpretation, I assure you that I will take the necessary measures. With regard to your question about the Communities, I note that receiving a study grant depends on different conditions, such as family income, IVT and IT. The reduction in age should therefore not change anything in legal terms either. The specific fact that the federal benefits cannot be combined with the grant at state level is a decision of the Communities. I am, of course, prepared to meet my colleagues if they so wish.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u46	Madam Minister, I asked the question because I also think that someone with a disability who is receiving a health allowance and who is making the effort to continue studying should also have an integration meeting. I am not talking about income replacement, but simply about integration. You say there haven't been any such cases. I know about these cases, and I'll get them to you. I ask the question more generally because it is not about this case to me. If that happens to one person, it means that it probably happens in other cases as well. It shouldn't be. People with disabilities who receive a health allowance from their region who turn 18 or 19 and decide to try to go to a college do not get integration from DG HAN because they may well be able to work later because they are studying now. We don't know. Maybe that person doesn't work late at all. Maybe he's working in a customized form. We must not anticipate this. If that person had a disability in the past 18 years, that disability is not suddenly gone when that person tries to study further. That's completely wrong. At the very least, integration should be provided in order to at least help the person concerned with tools, such as a customized computer, in order to be able to take lessons. It's terrible that that's being denied. That's really weird. In addition, you say that it is up to the Communities to decide whether they can combine the two, in this case the care allowance. I've already made that plea in Flanders. I have already asked, but it would be good if you also discussed this at the Inter-Ministerial Conference on People with Disabilities. We need to support people with disabilities as much as possible, rather than taking away their healthcare allowance.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u47	Debates of the European Parliament 55015427C and 55015428C by Mrs Willaert have been converted into written questions. Debates of the European Parliament 55015465C by Mrs De Block is part of joint questions with Mr Van der Donkt. Mrs. De Block had asked to postpone her question. Can this question be separated from Mr Van der Donkt's question?
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u48	Madam President, I do not understand why these two questions were linked.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u49	The questions will be dealt with separately.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u50	Madam Minister, I am very interested in your large pension plans and have asked many questions about them. You referred me every time to September and even later, let us hope that we do not want to talk about social dialogue. I was therefore surprised when I read on Monday in Wouter Versmelden's daily newsletter that you would have advanced very far with your major pension reform, that you would already have concrete plans and that we should soon be expecting your initiatives in Parliament. Hence my questions, Madam Secretary, because you know that I am very curious. Is the information correct that the broad lines of your pension reform have already been written out? Have you held a number of social consultations to this end? I mean with both trade unions and employers' organizations? When will you come to propose your reform in Parliament? Will that be before September 2021? Or do we still have to show some patience? I look forward to your answer.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u51	Ladies and gentlemen, I welcome the recognition by the journalist of the work we have done, because it is true. It's true that I'm proud of that. My associates and my administration haven't been idle in the last few months. Firstly, we achieved an unprecedented increase in minimum pensions for the next four years. We achieved an equivalent increase for benefits and social assistance. Over 800,000 beneficiaries will receive significantly higher benefits in the following years. It was more than time and that measure has already been implemented and guaranteed. As far as structural reform is concerned, we have not been idle either, which seems logical to me. In accordance with the mandate I was given in the framework of the coalition agreement, I immediately started the consultation. I met workers' organisations, employers' organisations, interest groups, various academics and you name it. These consultations are necessary in order to establish the framework in which structural reform can be successful. The success of such a reform, which restores confidence, is all that matters to me. The trust has been completely gone over the past few years. If I can submit texts to Parliament, a large part will depend on social dialogue. In addition to the consultations that we have now conducted mostly bilaterally, the social partners will soon be put to work. They're at the wheel. I'm just pointing in the direction. As soon as the social dialogue is concluded, the parliamentary debate will certainly take place.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u52	In other words, Minister, you say that we still need to be patient. Anyway, I was amazed at the report of a journalist, who is generally very well informed and very careful. I will not deny that you and your cabinet have already worked hard. You have indeed prepared a number of areas, but I am still waiting for the major reform. I have just been poking on the employers' side, I suppose Mr Colebunders would rather be wristing on the workers' side, and those people fell out of the sky when they heard about that article. They had not yet heard of it and said that there might have been some contacts, but certainly not structural consultations, as I thought I would derive from the article. You will undoubtedly continue to hunt behind a plan that would come as soon as possible. If that's gonna be okay, we'll see. I would have hoped that today you would give a little hint of the veil, but I understand that you would like to prepare your plan in serenity. Don't forget to involve all actors in the field. We're the last ones to come, which isn't really fair. Perhaps you can work with a preliminary draft, as it seems to fit in with the new political culture. Madam Secretary, if anything new pops up, I will question you again.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u53	Debates of the European Parliament 55015483C by Mrs Leroy was postponed.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u54	Madam Secretary, we've come a long way here in the miners' file. I would really like to ask you, on behalf of our group, to thank the Pension Service for the hard work they have done. What's good is good. I do have a few more questions. I understand the fatigue strikes. The agreement was that all the files would have been dealt with by the end of March, but I can see that there are still some problems. In the meantime, where are we on the payout and handling of the files? You said this would be completed by the end of March. On 27 January I questioned you about the accessibility of the information number to which the miners can call. A lot of people living abroad in the meantime didn't get in on that number. It also responds to mails. Is there a separate service for that? Why is this problem so big among the people living abroad? Finally, I have a question about the amount allocated by the FPD. We understand that everything was hand-in-hand. A typo was quickly made. I've seen hundreds of files. Every week, miners sit with me with their files. Each file is of course different, but I can see that these amounts are different. I'm sure there are errors in some files. The problem is the recalculation procedure. People send a registered letter. There is no response to that. One then looks at mypension.be where it says: closed. I don't think this is the kind of communication we want. I understand that the Pension Service has already done a lot of work, but time is running out. A lot of people are scared. Many received all their money in January. I think there's still some mistakes in it. The people who call to fight that get a fairly short answer to go to court with the file. That sounds weird to me. Such files of retroactive repayment have not yet been presented in Belgian history. This is new for all of us, but if the Pension Service is still biting its teeth, we must be able to do something about it.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u55	My answer contains a lot of numbers. At present, 88 % of the files have been completed. This means that they have been granted in conformity and have been paid out. As far as the allocation is concerned, 91 per cent of the dossiers have been completed. 90% of them are in conformity. For 10,913 files an E.R. was sent. Of these, the EBOs were processed for 10,673 files. As far as conformity is concerned, 149 EBOs are still open for manual processing. There are still 497 manual balances to settle. Finally, 1,700 complex files remain of miners with careers abroad, which still have to be dealt with. The deadline, by the end of March, is a tight deadline, but the Federal Pension Service is doing its best to make it. With regard to the problems with the information number, the same number remains available, but the regional offices stand by for more specific questions. Conflicts can be reported through the traditional channels to file a complaint.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u56	Madam Secretary, I find the traditional channels of complaint difficult. 'Cause I called myself.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u57	(...)
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u58	You say there's a number on which to report a complaint.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u59	That's the usual number.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u60	I've tried calling myself a few times. I've been very well received, but often people answer the phone and they say they don't know the file, they just sit there to answer the phone and they'll call me or they'll ask me if they want to call me back. As I promised you, I will not speak to you about the date of the end of March, but about whether there was a commitment or not. We have to play the game fair. If that's the middle of April, so be it. I just want everyone to get what he's entitled to, no more and no less. As far as the matter of taxation is concerned, I have to address your colleague. However, I would ask you to look at these revisions. Often there is real ground for revision. If everyone gets 11,000 to 15,000 euros and then someone gets 3,000 or 4,000 euros, then they know something is wrong and they need someone to help them. So I'd like to ask you to reconsider that. I know, of course, that we are not allowed to question you about individual files.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u61	Madam Minister, I apologise for having to leave the sitting earlier, while you were perhaps giving an answer when discussing the draft law. There was also a question from me at another committee meeting. So I'm here to apologize. It's part of the job. I will read your reply in the report.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u62	Madam Secretary, thank you for your answers. Good afternoon and evening.
