ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u1	Madam President, Minister, I refer to my written question.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u22	Minister, I know a little about this case. You are also quite attentive to what I have seen from your position in this Parliament in recent years. This subject leads us to question you, another former member of the government and Mr Dallemagne, who sat as I did on the Attentats Committee of Inquiry. This is a subject that we collectively consider important. The Collective against Islamophobia in France (CCIF) was dissolved in France by the French government. This Islamist organization served as a sounding board for a number of groups who wanted to act in a way that led to the beheading of Professor Samuel Paty. The French Government, in its decree on the dissolution of the CCIF, stated that the actions of the organization were indirect calls to hatred, or that it justified a number of acts of a terrorist nature. That is to tell you the extent of the problem. A few weeks later, we learn that the CCIF was rebuilding in another form, a Belgian variant, under the name Collective against Islamophobia in Europe (CCIE). This is obviously unacceptable. We already have enough to do with our own garbage disposal organizations, whether they are Islamists, anti-Semitic, racist,... We are not meant to welcome the waste from others. The government does not have the possibility in Belgium to dissolve organizations of this class directly. Perhaps, in your reform of the Penal Code, will you take care to introduce this possibility? Today, it is possible, through the judicial system, to dissolve a number of bodies which can call into question security, public serenity and public order. Minister, will you issue an injunction to the Public Prosecutor's Office to file with the court, to allow the dissolution of this body, which would be useful in other respects. Organizations such as Schild & Vrienden, for example, are as harmful as CCIF. Minister, are you going to bring this matter before the Public Prosecutor's Office? Or at least, are you going to ask our intelligence services to monitor this organization that led to what we know in France? Really, it's an important file. I'm sure he'll meet with your full vigilance. I look forward to your answer.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u23	Madam President, Minister, in the course of my colleagues' interventions, I would like to point out that the French government dissolved the CCIF on December 2, by order-in-council. This CCIF was very discreetly reconstituted in Belgium on 6 January last – it did not make much publicity – under the name "Agir, defend against racism and Islamophobia, CCIE Collective against Islamophobia in Europe". Its headquarters, equally discreet, are located in the centre of Brussels, in a mailbox which offers its services for 135 euros per month. I understand that this company did not want CCIE among its customers. This new ASBL has on its board two former members of the CCIF, not least its president, Jean-Jacques Megaïde, and its secretary and treasurer, Fabien Clément. It promises to fight in particular, by all means provided for by law, for the recognition of the rights of Muslims of French or foreign nationality residing in France or elsewhere. It is a matter of moving to Belgium to continue to do what it did before, and essentially to target a French public, but not only, as it says. The actions of this association were strongly condemned by the French State. In this regard, the dissolution decree, which is insane, should be read again. In particular, the French State stresses that "by calling Islamophobic measures taken with the aim of preventing terrorist actions and preventing or combating acts punishable by law, the CCIF must be regarded as sharing, supporting and contributing to the spread of such ideas, at the risk of inducing in return acts of hatred, violence or discrimination and of creating the soil of violent acts among some of its supporters". It's not nothing! I think it takes the full weight of these words and the whole argumentation of the French government to go so far as to dissolve this association; and to see how dangerous this association is for France and for other countries, through its actions, its behaviour and its speeches. As much as it seems to me to be important to fight against all forms of discrimination and to respect freedom of association and religion, it is important to protect the right of our fellow citizens to live in security, as well as to protect our social cohesion from extremist drifts, including those hidden behind the appearance of causes that despise to be defended. This ASBL intends to pursue strictly the same objectives, according to the same methods it had in France. It seems to me and to my colleagues to be totally unacceptable. I'd like to ask you a few questions. How did the French government react to this relocation? Did he contact you? Have you been informed? Did he ask you to take action on this association? I imagine that the French Government is concerned that a form of nose foot is addressed to it by this association, and consequently, in a way, by the Belgian authorities, if they do nothing. What have you undertaken since you were informed of this relocation? Have you taken any surveillance or dissolution measures in order to prevent the occurrence in Belgium of events similar to those that took place in France? What legal tools do you have? Do you think these tools are sufficient? As long as we are there, are there any other BLSOs in Belgium that can potentially ask about radicalism?
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u24	My colleague, your questions show that there is some concern about the creation of the CCIE-ASBL in Belgium. I can tell you that I fully understand your concern. At the same time, however, we must respect the rules of the rule of law, fundamental rights and freedoms, such as freedom of association. As Minister of Justice, I will respect them. I note, moreover, that in the name of these same constitutional freedoms and rights, a Member of this assembly went to France last weekend to argue against the possible dissolution of another organization, Génération identitaire. By the way, I wonder what the authors of this planned dissolution think. I have said several times in recent weeks that Belgian law and the Constitution do not allow groups to be excluded from the law. You know that by now. I refer to new legislative proposals to extend, among other things, the law on private militias in this area. Interesting. We'll look into it. But you know that such proposals did not achieve the desired result in 2012. Will our country remain passive? Of course not. What the Belgian Justice does is prosecute the individual members of such organisations if there is reason to do so. I refer, among other things, to the approach in our country of Sharia4Belgium. That movement has not been dissolved, but 30 members have been convicted. I also refer to another organization, Blood, Soil, Honor and Faith. That organization has not been dissolved, but the individual members have been convicted. The intelligence and security services of our country, including the Security of the State, are therefore doing their job. The security of the State has already informed me of the following in this file. This non-profit association was founded on 1 November 2020 and the statutes were published in the annexes of the Belgian Official Journal on 13 January this year, i.e. last month. Although there are indeed links between this organisation and CCIF, which has been dissolved in France, this non-profit association has not yet carried out any concrete activities according to State Security. The Security of the State will pay due attention to this non-profit organisation in the future if it actually carries out activities in our country, and Justice will take appropriate action if necessary. Mr Ducrame, I know the precise legislation to which you refer. It is the responsibility of the services to carry out their work. In case, it is up to the Public Prosecutor's Office to decide whether an investigation should be conducted and, if so, whether it should lead to a dissolution, as you mentioned.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u25	Mr Vice Prime Minister, you say that we cannot dissolve this because there are no legal instruments available. Parliament will therefore have to decide on this. Mr Ducarme will present an extension of the current legislative proposal. I assume this will be discussed here or in the Committee on the Interior. We'll be able to determine our position in the file. It is certainly good that the security of the state is alert and succeeds well. I hope that they will continue to do so. In fact, I hope that the CCIB's drivers will also be closely monitored. They do exactly the same and have exactly the same objectives as CCIE or CCIF. That's all one pot of wet. I hope you will ask your services to keep an eye on the CCIB as well. That can be very enlightening, especially if people know that Ecolo politicians are active there. I hope that this party's participation in the government is not a reason not to. However, I cannot imagine that our security services would deal with this political politician. I hope that the whole thing will be closely monitored and that activities that smell like Islamism or support for the Muslim Brotherhood will take place as soon as possible.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u26	Minister, thank you for your answer. Like you, as a liberal, I am obviously extremely attentive to respect for freedom of association. It is one of the fundamental freedoms in our country. It is so so that it led us in 2012 not to dare dissolve Sharia4Belgium. That's what happened. Since 2012, the case is still pending as to whether the government remains dependent on the judiciary to dissolve certain harmful, dangerous, Islamist, anti-Semitic and racist organizations. With colleagues, you will allow us to discuss this and perhaps push for an analysis of the bill that would amend the 1934 Private Militia Act and give the government the opportunity to dissolve these associations. I hope that in this context we could have your support, Minister. I would, of course, point out one element of your answer. You tell us that "the intelligence services, the State Security, are vigilant with regard to this organization". It's fundamental. There is one point on which I also want to draw attention: perhaps we need more communication with France on this subject. Mr Dallemagne asked if there had been any contacts, any exchanges of information? For my part, I wrote to the French Minister of the Interior, Mr Darmanin, and I asked him to be able to meet with his services in order to be even more informed about the nature of this association. I will invite all Members who wish to join me naturally.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u27	Minister, indeed, I have not heard you on this part of my question. I do not know if this is an oversight or if you prefer not to talk about it, but you have not answered about the contacts between France and Belgium and the warnings that might have come from France. In this respect, I would like to say with some seriousness that I have not forgotten, we have not forgotten, as neither of us nor you do I know, that the terrorists who struck France on 13 November came from Belgium. They were organized from Belgium. They had created a network from Belgium. They were radicalised from Belgium. This creates a particular responsibility for our country, not least in terms of France, but also in terms of European coordination and cohesion in relation to the radical Islamist threat. I think you should never forget it. In this case, it would seem quite incredible and even shocking to see that Belgium does not take this issue with all the necessary seriousness in relation to a country that has been hit in such a way and through such channels. I think that this aspect should not be forgotten in the reaction that Belgium must have. I understand that it is difficult to dissolve an association that has not done anything today. The question still needs to be asked in the future of associations moving to Europe, from one capital to another, from one country to another, and what possible coordination can be achieved in this area, such as the ban on such associations from one country to another. But I think it will indeed be necessary to come back with proposals on their dissolution. We know how complicated it is. It is known how the constitutional agreement and the Council of State had rejected parliamentary initiatives in 2012. I had participated in the debates at that time. I have tabled a proposal under this legislative term to better punish, more quickly, persons who belong to such associations and who violate such basic principles as discrimination and segregation. I am thinking in particular of the Islam party, which was formed a few years ago and which proposed segregation in public transport. In any case, the various proposals that are on the table or could come to the table quickly will need to be discussed quickly. I am happy to respond to my colleague's invitation to go to France or to have contact with the French authorities to examine the possibility of better coordination on these issues.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u28	Mrs Zanchetta is not yet here. Mr Van Hecke has indicated that his question No. 5514231C may be postponed to next week. Mr Segers, Mrs De Wit is still in another committee, but you may already ask your question.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u29	Madam President, Minister, today, 24 February 2021, it is exactly 100 years since the 1921 drug law came into force. The coalition agreement is very ambitious in the fight against drugs. The policy is based on two clearly defined pillars. On the one hand, the focus is on prevention, harm reduction and assistance. On the other hand, the fight against organised drug crime will also be stepped up. The achievement of this ambition will not, of course, be automatic. The 100th anniversary of this law could be a good reason for a thorough assessment of the drug law and for effective implementation of that ambition. Such an evaluation may list these pain points and examine any slopes of decriminalisation. Especially with regard to cannabis, many proposals are made by experts, who differ from the current model. You know that since the beginning of this century there has been a special regime for cannabis that has created a great deal of uncertainty. The circular of 25 January 2005 plays an important role, but is binding only on the court, not on judges. Of course, individuals cannot obtain rights from the letter. As a result, practice often depends on the district in which a user is located. This leads to legal uncertainty. In particular, it could be examined whether it would be desirable to have a legal basis for harm reduction or for initiatives such as pill testing and user rooms, in order to achieve certain good practices that already exist in the grey zone. For the sake of clarity, it is essential for me that health indicators guide this, in particular the impact on the reduction of problematic drug use. That's all that matters. This is to implement the government agreement on prevention, harm reduction and aid. What are your further plans within this last pillar? Just so we're clear, I'm aware of your plans regarding drug treatment rooms and drug follow-up rooms. So I am talking about the other plans within the same pillar. In what way do you think it would be most useful to work with this? I myself was thinking of the model of a working group of experts who could assist you and return you to the Justice Commission. I can't wait to see how you're looking at this.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u30	Madam President, Mr Segers, 100 years after the 1921 law, drugs are still a matter for us, even more so than ever before. Today I take responsibility for this complex issue as Minister of Justice within the lines of the coalition agreement. I can confirm that the Justice Department is taking responsibility. In the first instance, the supply side is considered. These are criminals, smugglers, wholesalers, exhalers and dealers who make huge amounts of money on the hood of our public health. Europol's reports leave no doubt that organised drug crime is the criminal sector where the most criminal money is concerned. It is an illusion to think that we can solve the problem of drugs, but we must do our utmost to control it. Only in this way can we reduce the violence and nuisance and guarantee the viability of the affected neighbourhoods. Moreover, we cannot accept that this crime is buying into the legal economic superstructure and adapting our regular social fabric. Through the Streamplan XXL we hunt not only the contraband, but also the smuggler. The results of customs, justice and police are remarkable. Criminal networks are being rolled up. Port workers, ship owners, customs officers and police officers or ex-police officers are not spared either. We try to identify and reduce criminal capabilities through the so-called profit-oriented investigation, which is strengthened, initially by providing additional people and resources, not least for FGP Antwerp. At the end of last year, in December, the FGP launched a major recruitment campaign, declaring 325 places for the judicial pillar vacant, including 277 operational, including 35 specialised chief inspectors and 48 CALog people. At the beginning of this year another 125 places were added, bringing the total to 450 places, 120 of which are intended for the FGP of Antwerp. You will not hear me claim that these people were recruited from today to tomorrow, but the intentions are clear. In the meantime, the judicial side has also been strengthened. Funds were made available for the immediate reinforcement of the public prosecutors' offices and offices by lawyers and administrative support staff, 60 people in total, especially for the Antwerp justice system. Of those 60 people, almost 50 were recruited and employed today. We are taking a completely different approach when it comes to the demand side. In it, the Justice Department can show its human side through projects on problem drug users, with particular reference to the best practices of the drug treatment room or the drug follow-up room. The drug treatment room and the drug follow-up room are success stories that make it go away again. We generalise their operation by creating such a chamber within all the courts of first instance, as it already exists in Ghent and Antwerp. The effect of these chambers on relapse has already been demonstrated and is significant. The risk of recurrence is reduced by almost 20%. Positive results are also being achieved in other areas such as the labour market, the referral to assistance and financial support. Furthermore, we naturally subscribe to the necessary multidisciplinary approach to this layered and complex social problem. You also had a question about the expert group. On the basis of the cooperation agreement of 2 September 2002, a General Unit on Drugs Policy was established. The Council of Ministers of 5 February 2020 established the federal representation in this cell for the current term of office, on a proposal from the colleague of Health. Of course, the Justice Department is taking part in this. It is in this context that the necessary policy proposals can be made at multidisciplinary level. Finally, I would like to thank the people of Smart on Drugs for continuing to raise this issue. It is important that there can be a public debate, based on scientific insights, evidence-based as it is called. This can only be of benefit to policy.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u31	Thank you, Minister, for the answer. My Bible is for clarity that of the health indicators. For the rest, I have an open mind and I think we should be able to think about everything, as long as health improves. I had read your communication that the government will take measures to ensure that criminal organisations are effectively dealt with in the field of drugs by means of a repressive approach and a predatory investigation. I also know about the campaign at the FGP Antwerp. That is all great, but the government agreement also talks about the focus on prevention, harm reduction and aid. This also requires approximation of legislation and policies. Hence my questions to you. I will certainly take initiatives in this area from Parliament.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u32	I refer to my written question.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u33	Mr Segers, on your first question, I can say the following. We have recently sat together with all the actors involved in the police and the public prosecutor's office in Bruges to find out what the expectations are and where they believe there are improvements. In summary, there is a need for more information exchange, more coordination and coordination, including between the administrative and judicial components, but also within the judicial pillar. We are not talking about international cooperation. The solution to this problem is not at national level, so in achieving results we will have to remain modest, but not less ambitious. At the moment, my administration is preparing the new national action plan on the fight against trafficking in human beings. To this end, the relevant actors, including the members of the Office of the Interdepartmental Coordination Cell for Combating Trafficking in Human Beings and Trafficking in Human Beings, the so-called ICC, are questioned. Myria is also a member of the Bureau and of the Coordination Cell. Thus, these recommendations were also discussed in the context of the work of the Action Plan. A proposal from the Action Plan will be submitted to the Coordination Cell at the end of March. I do not want to put the horse behind the cart by explaining a number of action points. This is not yet final and needs to be looked at with other partners. For your second question, I refer to the reply of the Minister for the Interior to your written question 203. It indicates that de facto each FGP unit has a cell of human trafficking and smuggling, whose size, capacity and employability depend on criteria such as total capacity, available expertise, how the phenomenon manifests itself in the district, absenteeism and lateral support to other departments. Within each FGP unit there is a director of operations who, in consultation with the Magistrate Department, will develop a detective management that will be steered with the given capacity. This way of working allows for a smooth response to the needs in an adequate way. This method can also be used in the future. In the context of inter-mobility, 450 posts were opened at the end of last year at the judicial pillar in the hope of overcoming the deficits in the FGPs. I come to your third question. In general, I am confident in the specialization of reference magistrates trafficking in human beings and trafficking in human beings at the public prosecutors' offices. This does not mean that there is no need for training and guidance. In this context, I can refer to the COL 01/2015 on the investigation and prosecution policy on trafficking in human beings. A reference street for trafficking in human beings shall be appointed within each judicial district. They should organise two to three coordination meetings with the police forces involved in the fight against trafficking in human beings. This meeting will discuss the state of play in the field and provide instructions for dealing with this phenomenon. The letter contains clear guidelines on the detection and prosecution of the magistrate and a specific chapter on the victim's interests. The principle of non-sanction of victims of trafficking in human beings is also clarified. The COL 01/2015 recalls the main instructions on the orientation of victims of trafficking in human beings and smuggling in the Ministerial Letter of 23 December 2016 on the protection of victims. This COL also has a number of annexes describing the indicators for trafficking in human beings and a survey scheme which serves as a guide to initial findings and aims to improve detection and investigation. In addition, more attention is paid to certain aspects of the procedure, such as the property investigation and the importance of taking into account, in the first stage of the investigation, possible compensation of the victim through measures such as seizure and confiscation. As far as training is concerned, reference can be made to the training of Trafficking and Trafficking in Human Beings. This month an education was organized. In addition, specialised training courses are organised for the reference magistrates in trafficking in human beings, either by the IGO Institute of Judicial Training, in collaboration with the expertise network or by the expertise network itself. For example, a plenary session is organised every two years with the FPS Justice and the Expertise Network, in which different themes can be addressed.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u34	Madam President, Minister, I would like to thank you for your commitment and for the clarifications that will be made in the context of the letter. I fully understand that the recommendations must now be discussed within the interdepartmental cell. With regard specifically to the capacity of the FGP, I did indeed receive the answer from Minister Verlinden to the written question. However, I still have questions because in 2019 several people made the alarm, including federal magistrate Ann Lukowiak. She said that teams that used to work with ten now only work with four. This morning I was present at the hearing following Myria's annual report, where it was also said that certain people at FGP who specialized in the field of false documents have now moved to terrorism and that this has never been compensated. Also, some departments of the FGP would have problems with motivation due to a lack of support from the police top and a lot of experience is lost by transfers to other units and is not compensated. Let me ask you a few questions about that aspect. The only thing I'm trying to do there is to objectify, but that's not easy. I hope you will be able to check whether this is really as good as it is said.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u35	Debates of the European Parliament 55014442C and Question No 55014443C by Mrs Rohonyi were postponed. Debates of the European Parliament Mr Pivin's 55014469C was postponed. Debates of the European Parliament Mrs Gabriels' 55014474 was postponed.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u36	Minister, I refer to the written record of my question.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u37	Madam President, your question concerns the amendment of the law which will enter into force on 1 March. As the implementation of this legislative amendment will have an important impact on both port costs and personnel costs, it is important that the notification can be made electronically. The J-box is an opportunity for notification to lawyers and thus indirectly to the parties represented by a lawyer. However, shipping via the J-box cannot be an option to notify those seeking legal redress without a lawyer, as the J-box is understood as a closed and secure mail system between legal professionals, to which citizens will never gain access a priori. For this target group, therefore, provision was made for this notification to be made to the last known e-mail address of these persons. In a first intermediate phase, the actual decision will be sent as an attachment to this mail. At a later stage, the annex will disappear and a link will be provided through which the decision can be consulted on the Justonweb portal. The developments in this area are in full swing and will probably be ready by the end of the judicial leave. Then I come to your second question. The amended wording of Article 792 of the Civil Code is quite broad. The Registrys may, in my opinion, restrict their own additional workload and the additional port costs for the FPS Justice by systematically and proactively asking the parties in a case at which e-mail address they can be reached. If the Registrys have such an e-mail address, they may also use it a priori for such notifications. Then I come to the budgetary impact. The explanatory memorandum to the Law of 2018 does not show that such an impact analysis would have been made. Therefore, we do not have relevant figures concerning the number of decisions and associated port charges to be notified in accordance with Article 792 of the Code. The problem of additional workload and postage costs is mainly, if not exclusively, at the level of the Registrys at the criminal courts, which did not apply Article 792 of the Civil Code. However, as stated above, the new Article 792 can largely remedy this situation if these Registrys systematically and proactively request the e-mail address of the various parties. There were already pilot projects which successfully applied this method before the legislative amendment, in particular the Court of First Instance in West Flanders. Bruges, Ypres, Kortrijk and Veurne already did it this way. Then I come to your fourth question. Where Article 792 (1) of the Civil Code, as it will be introduced by Article 32 of the 2018 Law, refers to the judgment of the judgment, it shall be understood in the broad sense. This includes any judicial decision, including judgments, orders and warrants. This general notion was introduced and thus clarified following the opinion of the Council of State. However, it follows from many other provisions that Article 792 of the Civil Code does not apply to it. For example, there is a specific regime under Article 22 of the Law of 15 June 1935 on the use of languages in court cases. I also refer to Article 58 of the External Law Act or the 2006 Law on the external legal status of the sentenced persons to a custodial sentence. Then your last question. The prosecution is indeed also a party to the case. At present, there are many possibilities, ranging from a paper copy to an e-mail to the general address of the relevant public prosecutor. However, our services are currently working intensively on the development of a digital criminal record, which will include every decision in a file. As a result, the public prosecutor will always be able to consult this decision digitally, just like the lawyers and the seekers without a lawyer.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u38	Madam President, I apologize for the delay. I was held back in the Commission for Persecutions. Mr. Secretary, in Merksplas prison, five guards were wounded by an interned person who had very serious psychological problems. He also had an extensive history of aggression. In the press, by the way, we could read that he had been transferred from an FPC to prison. Both for the prison board and for the penitentiary staff, the size is now gradually full. They think that people with such a serious psychological problem simply do not belong in prison. That is an analysis that has rightly been made on a number of occasions. Action is requested from your cabinet and you have already communicated that EUR 150 million will be released for conflict management in prisons. This money could be spent, among other things, on courses and additional care staff. However, I have a few more questions for you. Mr. Secretary, have all staff recovered from their injuries? Are they all able to work back? Is it true that the interneer was actually in an FPC but was still transferred to prison? What reason did that happen? Finally, some time ago, a department of high security was closed. There were some reasons for that, but the idea of such a department doesn't seem to be useless. Until 2019 there were the unruly and dangerous prisoners. Was it appropriate to save on that if we now see the dangers facing the guards? Does it not make sense to provide another alternative to this?
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u39	I read in your question that we will release EUR 125 million for conflict management. That is part of the EUR 125 million, just to be clear. I never said we would release EUR 125 million. The five penitentiary security assistants suffered injuries and were referred to the emergency department. One member of staff returned to work day after the facts. The four others are still temporarily disabled at the moment. The person concerned was indeed transferred from a forensic psychiatric center to prison, following a serious aggression incident. The section of individual special security regimes as it existed was never intended for the detention of interned persons and would therefore not have been an appropriate response to this incident. Moreover, the section was not closed for reasons of saving. In addition to the fact that our staff obviously need to be able to be better trained to deal with aggression incidents, such incidents should be dealt with from an enhanced care approach, especially when they occur with interned or inmates with psychiatric problems.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u40	I would like to hear you say that a department of increased security was never meant for the detention of interned people, just as a prison is never meant to lock up interned people. That has happened here, with all the consequences of that. The penitentiary officials have not been trained to deal with people with such a psychological problem, which is therefore a very aggressive problem. That's too bad. You are right, however, that this needs to be addressed from the point of view of increased care and that this must certainly be addressed. A very specific approach is still appropriate, whether it is for a prisoner or an interned person, both of whom are deprived of their freedom, and who have a serious problem of aggression. This approach must be differentiated within the prison system or within the centres. Where exactly doesn't matter, but there has to be a specific approach or things will go wrong. Our penitentiary officials already have enough on their sandwiches without this aspect. We must still consider how we can deal with it better in the future. This enhanced care should also be able to obtain a certain location.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u41	Madam President, Minister, today we see an amalgamation of measures to maintain quarantine, and that is not evident, apparently not for airport staff either. The rules in force today appear to be insufficiently known and not sufficiently shared internally by airport staff. The pilot and crew of an aircraft do not have to be quarantined when they return to Belgium and do not need to be tested, which is not illogical in itself, because if they have to do so every time, it will be impossible for them to do their job. However, it appears that pilots and crew members end up on quarantine lists every day after an international flight has been carried out, with the result that they are contacted and traced. People from the contact investigation call them, which is not a reproach, because they do their job, but pilots and crew members are called repeatedly or even get control at the door. If they have to quarantine, it's problematic for their job. It has recently been announced that effective fines will also be imposed from 1 April onwards, so there is a great deal of concern for that profession, as it will not be limited to repeated unnecessary calls from the contact tracing or any quarantine, but also because there can be a peppered bill. I don't think that's the intention. Minister, are you aware of this problem? Are we working on a solution? Where do you stand with the development of a solution for fine-making violations of quarantine isolation obligations? In reply to previous questions about this, you always said that you were working on it. Maybe now you can light up a little bit of the veil?
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u42	Madam President, Mrs De Wit, in reply to your first question, allow me to say that I find it somewhat strange that you continue to ask me questions about testing and tracing, a competence whose organisation and implementation is mainly at Flemish level. Perhaps you'd like to unitate all that back?
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u43	Minister, the penalties announced do fall within your competence.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u44	No. Madam President, will you allow me to reply? I believe that there will be an opportunity to reply afterwards. Mrs De Wit, you are asking me about testing and tracing of aviation personnel, which is actually a question for the Flemish Parliament, but you are asking this question here in the Federal Parliament, so I ask you to unitate it back. After all, I had to request the answer from the Flemish services, not from the federal services. I am kind enough to give you the answer, even though that actually belongs to the Flemish Parliament, but as a first step I will give you the answer in the Belgian Chamber of Representatives. The problem to which you refer is indeed well known, the Flemish services tell me. These people are exempt from quarantine and testing and do not have to submit a negative test result of less than 72 hours, but they are currently required to fill in a PLF. As a result, they often receive a text message to enter quarantine and an activation code to be tested. According to the Flemish services, the system does not see that it is an aircraft crew. It is therefore not known that they are covered by the exceptions. The solution lies therefore in the completion of the PLF. It is being examined whether the obligation to fill in a PLF may be removed for certain groups such as transport providers. This will need to be anchored and specified, where appropriate, so that no text messages for quarantine or activation codes for testing are sent. For the sake of clarity, infected persons, the so-called index cases, must go into isolation regardless of their profession. There is no exception for insulation, even for aircraft crews. So far the answers to your first questions about testing and tracing, not about enforcement. Your second question is a valid one, which you can certainly ask. We're moving on steadily. There have been several intense meetings over the past few weeks. On Friday, there is an important Consultative Committee where this is explicitly mentioned.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u45	Minister, I have never doubted that testing and tracing is a Flemish competence. The point is that there is a threat of a fine, because the system does not communicate enough about who it is. If a pilot is not in quarantine, while the system determines that it should, he runs the risk of being fined. That enforcement is with you, that's why I'm coming to you with that question. I hear you are continuing to work steadily, but in the meantime the enforcement problems are building up. I have already explained on several occasions how difficult it is to follow the quarantine at local level, let alone call on the police, because we often do not know why they are quarantined, because the system does not say so. Continue to work, I do not know what that means and what the concrete result will be. I hope that gradually also means at a certain pace, because at this rate it remains an empty box and that is what many people are getting even more down. It is already a daily struggle to maintain that support.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u46	Mr. Secretary, as long as assists aren't abolished, a jury is needed. Every four years, in my capacity as mayor, like all mayors, I have the pleasure of getting a draw in January. We shall be assisted in this by the ships. Recently that was the case and there was a draw for the composition of lists of sworn ones. Two figures are drawn for the draw, and for those two figures the lists of the previous elections look at them. People whose National Register ends on those last two digits are all included on the list. Of course, it doesn't stop there, because that's a long list. At that moment, my work was done and my draw was done. Our services must work with this and take everyone out of the list who is not 25 years old or over 65 years old. People who have died since the electoral lists were drawn up should also be removed. Municipal council members and magistrates should also be removed from the list. A number of categories must therefore be filtered out of the list. People with convictions and therefore with criminal records should also be removed from the list. There is a circular dated 2021, which expressly states that persons sentenced to prison or electronic supervision for more than four months or for more than 60 hours or for an autonomous trial of more than one year shall not be allowed to sit in an assistant jury. Minister, our services must verify all this through the criminal record, which was never a problem before. However, now that we have a central criminal record, that is a problem. After all, the criminal record contains only the very recent convictions. The extracts received by the municipal services do not contain all the information needed, making it almost impossible to filter. Are you aware of the problem? Do you have any idea what solution can be offered for this? When can this solution be rolled out? We are now faced with a practical issue, namely that we cannot complete our lists without that information. So now there are still people on the lists that according to your own debrief are not allowed to sit on that jury.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u47	Colleague, my department, and in particular the Central Criminal Register Service, is well aware of the situation. According to the circular of 22 December 2017, the municipalities are required to provide the Central Criminal Register Department with the list of persons selected for the composition of a jury for the Court of Assists. We are currently developing an information tool to enable us to deal with the questions in a more automated manner, in particular by means of a targeted search based on the criteria provided for in the Code of Justice in order to qualify as sworn persons. The result of the search will be delivered to the municipalities. We have a deadline for this until the end of March 2021.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u48	Minister, I am glad that a solution is already being sought. In the answers we first received, we were told that we could forward the lists, but that it could take a long time before everything was verified. In another answer we just got back the question why all the municipalities suddenly started asking the same questions. So they weren't really aware of that at all. I hope that it will be resolved now and that at the end of March there will indeed be a solution so that the lists can be completed and we can complete our part of our task.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u49	Yes, Minister, it is! There is a great deal of movement in the fight against fraud, as it turned out yesterday in the Finance Committee, but there is still a very specific point. Your colleague, the Minister of Finance, has expressed the intention to adapt the Charter of the Taxpayer. In 1986, a long time ago, the then Finance Minister, the Liberal Jean Gol, put an end to cooperation between tax inspectors and police detectives. He did, because at that time apparently there was a considerable risk of intimidation. The officials were accompanied by police officers; occasionally the handcuffs were lifted; in short, citizens were sometimes intimidated and wanted to get rid of them. The then liberal trophy is now 35 years old, but now the current finance minister wants to reverse the situation and in fact return to the former situation in order to step up the fight against tax fraud. In doing so, the charter is seen rather as an obstacle. Cooperation between the two departments must be resumed. Minister, what is your position on the plan to achieve far-reaching cooperation between the Finance and Justice services? Has there been any consultation between the two Cabinets? Is there any agreement in principle in the government to do this? What changes to the charter are on the table? Are you not concerned about any new derailments that the reform may entail? Or are you reassured that such a thing will not happen again? Assuming that you have that fear, what measures can be taken to minimise the risk of derailment or abuse?
