ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u1	Madam President, I refer to my written question.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u51	Madam Minister, I can really see a clear link with last week's debate on the long-term sick and even with that on the elderly with an IGO. Nothing's for nothing, nothing's for nothing, nothing's for nothing. Everyone with a benefit gets the stamp of profiteer. Benefits are then no longer a right but a favor, attached to conditions and guarded by sanctions. That is not the way we want it to be handled. PVDA doesn't go along with that culpabilisation. We shouldn't take off the sharp edges here, we just have to stop. One cannot expect someone with an income of 1,000 euros to quickly find an affordable home or a permanent job in large cities like Liège or Brussels. That is to run away from the major structural poverty problems. There's just no more homes and jobs for these people. Show them no longer with the finger, but guide them better.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u52	Madam President, I refer to my written question.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u53	Mrs Lanjri, the reference address does not solve the homeless problem, but offers them an opportunity to exercise certain rights. This system must therefore be made more accessible. Before consulting the Minister for the Interior, I instructed my administration to examine a draft circular drawn up together with the General Directorate of Institutions and Population of the Federal Ministry of the Interior. The aim of this draft circular is to identify the main sources of confusion and/or obstacles to the proper implementation of the measure by local authorities. This analysis is ongoing. In addition, the PPS Social Integration and the FPS Home Affairs have worked together to create a specific identification code for registrations at a reference address in the population register. This will enable us to better quantify the number of persons involved. This also allows for a more targeted approach for municipalities where too few reference addresses are registered in relation to other indicators of homelessness, such as the number of emergency shelters. The Inter-Ministerial Conference (IMC) which can adapt the cooperation agreement on homelessness still has to meet on the basis of a list of issues not yet established. The work currently being done to develop the new anti-poverty and inequality plan, from which you have received the framework paper, will contribute to the discussion within the framework of the IMC.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u54	It is true, Madam Minister, that, in any case, the main task must be to avoid homelessness and homelessness, preferably preventively, and to work on the situation of homeless people. We will certainly have that discussion in the context of your policy paper. An important step is to find a solution to have an address. Not everyone can take an address with a friend, for example. Hence the importance of such a reference address at the OCMW. I hope that will soon be done. You're saying the administration's already in the process of consulting. That is a good thing, but you should also effectively take this in hand with the Minister of the Interior, so that it gets right and people can get a reference address through the OCMW. It is a good thing that you want to keep track of the figures in order to get a better view of OCMWs that may never or not give people a reference address at the OCMW. Well, we'll definitely get a better look at that. I look forward to discussing this further and finding solutions to it.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u55	Madam President, Minister, in July you announced a draft law on the extension of the transitional allowance for young widows and widowers. We all know the reason for this. There have been several testimonies in the media, during the hearings in Parliament on the extension of mourning leave, several civil society organisations also said that the transitional allowance as it stands at present is not at all sufficient to support those young people who have already lost their partner, especially if they are left alone with children. Then you indicated that the transitional allowance for people without children would go from 12 months to 18 months, and for those who have children from 2 to 3 years. What's the status of these intentions? What is the deadline for enlargement?
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u56	Madam President, the reform of the transitional allowance is very important to me. Widows and widowers are in a precarious situation and are at great risk of poverty. That is why I am introducing a minimum amount equal to the minimum survivor's pension. The present transitional allowance does not take sufficient account of reality. That's why I'm reshaping the transitional allowance as announced. The duration shall be extended from 12 to 18 months if there are no dependent children and from 24 to 36 months if a youngest dependent child is over 13 years of age and from 24 to 48 months if a youngest dependent child is under 13 years of age. It is very important to modernise this benefit, which allows for a full accumulation of work income or social benefits. By extending the duration, she is more in line with reality. The extension to legal cohabitants will be taken into account in the modernisation of the family dimension. The impact of such decisions is important to such an extent that they require a thorough discussion. This reform was decided in the budget negotiations that have just been concluded. She'll be there this year.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u57	Madam Secretary, I'm waiting hopefully. I hope she gets there soon. We call for an extension of the transitional allowance for widows and widowers until the children are of age or complete their studies. By the way, we have also tabled an amendment to that effect to a CD&V legislative proposal. After all, we think this is important. An organisation that stands up for the family states in its opinion that a period of three years will not be enough.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u58	Madam Secretary, I look forward to the step forward that is being taken for widowers and widows who fall alone. Some witnesses say that after two years they are obliged to seek a new love. It would be a step forward if the reform were to take place as soon as possible. However, there are more things that we can do to support people if they lose their partner. In this sense, I call on Parliament once again to support my resolution, which lists all the points for which we can offer their additional support. It would be a good thing to take steps forward in this area, too, so that they can be supported in various areas in addition to their income and have the necessary support to go through the mourning period.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u59	Madam President, Madam Minister, in the Committee of 2 June 2021 you were asked a few questions about the possibility of amending the legislation so that when a pensioner dies, the payment can be made in proportion to the number of days that the pensioner was alive during that month. You replied that you asked your services to examine the specific issues of regulation and financial impact. Is that what happened in the meantime? If yes, what are the findings? If not, when can we expect the result?
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u60	Madam President, Mr Colebunders, the administration has in the meantime examined the specific problem. It has calculated that the payment of a pension in the month of death, regardless of whether the pensioner dies before or after the normal payout date, has a total cost per month of EUR 2,596,480,1930. On an annual basis, this amounts to about EUR 31 million. I understand that the situation is perceived as unjust. However, we cannot simply make an adjustment with such a budgetary cost. In the light of structural reform, various dossiers can be put on the table. I would like to give the social dialogue every opportunity and therefore await the outcome of that discussion.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u61	Madam President, Madam Secretary, I am falling off my chair for a moment. I don't know what one thing has to do with another. I understand that you're calculating this as a cost factor, but it's about people's money. When they die on the tenth or fifteenth day of the month, I believe they are entitled to the money for those ten or fifteen days. It's only natural. I look forward to seeing what you'll do with the case. We will keep a serious eye on it. We are talking here about an amount, but an amount that is due to the people concerned. Let's get that straight. That's nothing extra, but it's just an interpretation of the law that's not clear. We must think very urgently about the problem. I am convinced that my party will not let go of the matter.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u62	Madam President, Madam Minister, in your policy paper you will explain how you intend to properly underpin the planned pension reform, using micro- and macro-studies. You also announced that you would have several studies carried out on, among other things, the separation of pensions, the investment policy for supplementary pensions, a reduction in the cost of extra-legal pensions, a simplification of supplementary pension legislation, automation and administrative simplification, and a cumulation of the survivor's pension with a professional income. Madam Secretary, what about the progress of these studies? Can we look at the results soon?
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u63	Madam President, ladies and gentlemen, several studies are under way. As part of the reform, particular attention is given to the 'women and pensions' dimension. The discussion on the pension split is conducted there on the basis of a study which will be completed within a few months. A number of studies have already been carried out on supplementary pensions. In my question, Sigedis has analysed the level of contributions to supplementary pension systems. The results are available on PensionStat.be and are intended to feed the discussions between the social partners on the second pillar. In addition, Sigedis also analysed the harmonisation between workers and servants of sectoral supplementary pensions. The results were made available to the social partners. As regards the costs charged by pension institutions, as announced, I instructed the FSMA to carry out an investigation. The FSMA will organise a wide-ranging survey of the sector. The results are expected in the course of 2022. In addition to this research, we will soon launch a stakeholder consultation to identify possible measures to help reduce administrative costs within the second pillar. Investment policy within the second pillar will be part of a comprehensive strategy on sustainable financing, which the government will draw up. In a first phase, an external consultant will assist the government to identify policy options for this strategy. This study will be carried out through a wide participatory process involving all relevant stakeholders, such as financial supervisors, social partners and pension institutions. For the other studies, there is close cooperation with the administration to deliver quality work, in the interest of the socially insured. We work every day to improve the situation of the socially insured. We have managed to raise the minimum pensions, like the other lowest benefits. We are starting a structural pension reform and are also conducting daily further research into the themes that are close to the employees. I hope that we will be able to count on your support when it comes to it.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u64	You can always count on our support if it is for the benefit of the people. If it makes people better, I am sure that you will have a partner for us and that we will be constructive. However, I do not like the fact that I always have to get the information out of the press, and I have already told you that, Madam Minister. I'd love to be involved in those conversations, too. Do we really have to wait until these studies are completed to see them? Even if they're not ready, I'd still like to read them by e-mail. You yourself say in your policy paper that there is no point in taking measures which produce unwanted results and which are difficult to adjust or reduce afterwards. I believe that we can also be an added value in this debate. When I read between the lines, I am worried about one thing. I can conclude that the structural pension reform will not be before the beginning of next year. Or did I misunderstand that? That's political language, Madam Secretary. When I look at you like that, I'm even more worried. All right, we'll keep an eye on it and hope you won't be muddy for too long.
