ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u1	We'll start work again.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u36	Mr President, Minister, it has been a while since I asked questions about the cost per vaccinee. You have also replied in part. There's been a deal. However, I would have liked to have heard how the situation is being put into practice today. In other words, what is the fork according to which the payment to the regions has been agreed? Has that changed since the last time, when you gave the answer that there would be an agreement within the IMC that the most efficient method of vaccination would be used to calculate the cost per vaccinee on that basis? How high is that cost per vaccinee today? We have just had the debate on compulsory vaccination. It is quite clear that we live in different democracies and that there has been a very different approach to motivating care workers to vaccination. The result is what my party and I have been making very clear since April 2020, namely that in Brussels there was too little communication and too little motivation for healthcare providers to be vaccinated. As a result, there is a debate today on compulsory vaccination and it is being examined. However, this compulsory vaccination has a cost. Who's gonna pay for that cost? What is the federal government's intention in this matter? For example, what government will bear the cost of communication and the additional efforts that are being made today in Brussels? Is this also shared through the federal pot or will the Brussels-Capital Region itself pay for it? After all, Minister, there has been a laisser-faire mentality for a long time. You yourself indicated that efforts had to be made to reach more people and to be able to vaccinate. This has a cost both communicatively and organizationally. What's your point of view?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u37	Mr President, Mrs Depoter, on the agreement, I can tell you that, in consultation with all the sub-areas, it has been decided to determine the cost per injection per setting, as there is a major difference in the cost of vaccination in the care facilities, where all the infrastructure is already in place, and vaccination in a vaccination centre, which was started out of nowhere. A fixed cost per cost component was therefore agreed. The cost components included are the purchase of the vaccines, syringes and needles, storage and distribution of the vaccines up to the vaccination centres, the communication costs, Vaccinenet+, registration and administration, consultancy, the cost per vaccinee in a vaccination centre and the cost per vaccinee in a collective facility. That's the deal. You ask me if I am aware of a substantial difference in cost between the regions. Each entity shall otherwise complete the concept and financing of the vaccination centre. As a result, it is not possible in practice to compare the different cost items between the regions meaningfully. During the aforementioned consultation to choose a cost per prick per setting, i.e. care facility or vaccination centre, there were differences between and within the sub-areas, depending on the concept. We just chose a cost per shot. You asked what I would do if there were substantial differences. A fixed cost per injection has therefore been agreed which will apply to all regions. Shall we encourage the regions to adopt financial orthodoxy? The regions are autonomous in determining the cost they themselves wish to pay for the vaccination campaign. To what extent will I communicate transparently about the cost per vaccinee in the different regions? The overview of actual costs is, of course, in the sub-areas. They have that overview because they travel the last mile in the vaccination campaign and have taken on the whole practical organisation of the vaccination centres. The federal level doesn't have those numbers. We pay a flat rate, a fixed cost per prick. What did we pay for the communication? The federal government has already paid 267,000 euros for communication around the vaccination. The federal government does not favour or harm any region. We pay just the same per setting, per prick, to each region. I didn't quite understand the underlying reason for your questions. No region is favoured or any other disadvantaged. We're just paying the same amount.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u38	It's just that amount I'd like to know. You have told me a few times that you pay a price per shot. I would very much have liked to hear from you, in the context of public administration, what cost you pay per injection per patient in a residential care centre or in a vaccination village. How much do you contribute to the different consultancy, communication and registration of patients? That is precisely where the major regional differences lie. You do not answer me and say that you do not have an overview of the costs in the Länder, but that overview is given very clearly through the inspection of finance, in the working group in which your cabinet is present, or in which at least the federal government is present. I will therefore re-apply my question. I would have liked to know what cost per injection is paid by the federal government to the regions. It is not a question of advantage or disadvantage, but of correct pricing, Minister.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u39	Thank you, Mrs Depoorter. Let's get back to the questions. Questions Nos. 55017948C, 55017949C, 55018776C, 55019557C and 55019720C by Mr. Patrick Prévot are postponed. The attached questions No 55018784C by Mr Rigot and No 55019300C by Mrs Jadin are postponed.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u40	Minister, this question was put before you announced your new plans, but it remains topical. The Belgian Society for Psychotherapy has written to you about the impact of the crisis on mental well-being. The association is convinced that it can make a significant contribution to a solution. She represents an important number of Belgian professional psychotherapists who all meet the training criteria of the European Society for Psychotherapy. It is therefore considered that ECP holders, including professional bachelors with full-time psychotherapy training, have been sufficiently trained to be self-employed within the field of work, to alleviate the current increase in psychological complaints among the population and the pressure on the sector. You recently announced that everyone could go to the psychologist for 11 euros from 1 September. It now appears to be a two-year pilot project in practice. Since you do not have sufficient resources for this, only a third of psychologists will be able to participate. Psychotherapists fall out of the boat anyway. With the UPPSy-BUPsy, the criticism sounds that patients can only benefit from the reduced rate if they agree that the psychologist informs the GP. How many psychologists from the 32 networks have already entered a new convention? Is the EUR 150 million intended for the entire pilot project, or is it on an annual basis? The communication didn't make that clear. Are you planning further consultations with the associations that criticise your proposal? Do you agree that there is an urgent need for adjustments to allow more people access to qualitative and affordable psychotherapeutic care? How do you plan to realize this? Can you clarify the possible role of professional bachelors with full-fledged therapy training throughout this plan?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u41	Mr. Secretary, I have questions about the distress call because of the psychologists. The Belgian Society for Psychotherapy apparently sent you a letter. Did you get that? More importantly, what is your response to the letter? What actions will you take to address the problems they raise?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u42	Mr President, ladies and gentlemen, I would like to discuss two different aspects. First of all, I would like to say something about the roll-out of first-line psychological aid and some of the criticisms that were made about it. This is an important debate and I would like to clarify a number of misunderstandings here. We will invest EUR 152 million on an annual basis, year after year EUR 152 million, in support of first-line psychological assistance. A convention has been approved for this purpose, which the RIZIV submits to the Network and Mental Health Care in Flanders and similar organisations in French-speaking Belgium. This convention lasts two years because we want to evaluate its impact and how it goes, not because it is an experiment, but 152 million euros is not a small experiment, but a historical and never seen investment in first-line psychological assistance. This investment is intended to continue, but in consultation with all the actors involved, we have explicitly opted for an evaluation after two years. The convention is now being rolled out and the Networks of Mental Health Care have been invited to join. Individual clinical psychologists and orthopedagogues who want to work in this convention are also invited to engage individually in this model. I hope that in October we will be able to cover a large part of the field with networks and individual clinical psychologists and orthopedagogues joining the convention. Mrs Merckx, I would like to point out that it really is a new offer. It is not the idea that everything that is happening today will be repaid. That idea is somewhat suggested, but that is not the intention. You say that those involved in the sector complain that only a limited number of sessions can be reimbursed, but it is absolutely not intended that all sessions provided should be refunded. However, it is intended to finance an offer that consists partly of individual sessions and partly of group sessions, which is a new and more efficient approach. That offer must be highly exploratory. This means that people experiencing psychological difficulties can immediately ask for help from a clinical psychologist or orthopedagogue in an easily accessible and inexpensive way, who then offers them one or a few sessions to explore the need for help and to decide what further needs to be done. If specialised psychological assistance is needed, for example in the case of depression or anxiety disorders, a switch must be made to a care provider who can offer specialist assistance. This transition presupposes that a functional balance is drawn up by a psychologist, but also by a doctor. This is in fact how a new offer is being made. It's not about just paying back everything that happens. I'd like to put it a little more clearly. About 60 years ago, a model of health insurance in this country saw the light of day when, as far as somatic medicine is concerned, it was based on the idea that there was a free supply provided by mainly self-employed doctors. On the basis of their therapeutic freedom, they offer the care that seems most appropriate to them personally. These are all individual performances, in individual relationships with individual patients, which are then reimbursed. Mrs Merckx, I am sure you will agree with me that the model of purely liberal medicine, which was set up 60 years ago, we have been working, working and reforming over the past 30 years to come up with another model. This resulted, for example, in a different form of financing of general practitioners' practices, including practical grants and the global medical record (GMD). There was also a partial change in the way in which funding was financed, which was still very imperfect and with very many problems of performance occurring in hospitals. The current model of individual performance that has to be repaid, and that is all, is not really the model in which we are thinking today about health care. We are thinking of an offer that should be based on cooperation, multidisciplinary, population-oriented, tested against conditions of effectiveness and efficiency. It is that what we want to achieve in first-line psychological care: multidisciplinary work, population-oriented work, work on the basis of evidention. And so not: pay back everything that is happening today; that is really not the intention. So if we use EUR 152 million, of course, that is far too little to pay back everything psychologists do today. No hair on my head thinks we'll ever do that. We want to organise a good offer of first-line psychological assistance. We want to finance that good offer. But that presupposes reforms in the way we work. For example: organise cooperation in networks and establish a very good communication with the GP. Make sure that when the GP treats someone, he is aware of what is happening in relation to the patient's mental health. When a psychologist, a clinical psychologist or an orthopedagogue considers that a specialised care course is needed, the doctor makes a functional balance of the patient and thinks about what needs to be done. That doctor could be the GP, or a psychiatrist. One can offer group sessions to people, for example, to discuss the problems they have in group. This is innovative in relation to what is happening today. It is not so obvious and there will undoubtedly be a lot of discussion about it, but that too is part of this convention. It is a story that needs to be innovative and that really needs to create a new kind of offer. I'll put it another way, Mrs Merckx. We do not intend to repay within the RIZIV a stand-alone, purely monodisciplinary, silo of individual relationships between psychologists and patients. What we have in mind is population-oriented. It's much more nuanced, it's multidisciplinary. That doesn't make it an easy exercise. That is why we choose a two-year convention, and then we will assess how that convention works. The amount we are paying for this is historically high. In the case of first-line psychological aid, that is more than four times. In relation to what was allocated to mental health care at federal level years ago, this is perhaps ten times in the current coalition agreement. This is an historic effort, but it must be well organised. That is the whole debate we have to have. I'm assuming you have ears for that. We must see this as a reform of the offer and not as a reimbursement of what exists. It needs to be handled better. For example, the budget allocated by Mrs De Block to first-line psychological aid, which was much smaller, was virtually unused. We have to ask ourselves why this has not been used. The problem is not that hundreds of millions of euros have to be prepared. The problem is that we need to ensure that the EUR 152 million is properly used. That's the challenge. Mr De Caluwe also referred to the problem of applying the law on health professions and the role of psychotherapists. We need to ensure that mental health care is provided by people with the right qualifications. The psychotherapy is a specialty. The importance of scientific support and the complexity of the evaluation in psychotherapeutic practice require that the basic training of the psychotherapist is at least of a master's level. The co-ordinated law of 10 May 2015 on the exercise of healthcare professions therefore describes psychotherapy as a treatment and is exercised by a clinical psychologist, a clinical orthopedagogic or a doctor who has undergone psychotherapy training. Psychotherapy is therefore conceptualized as a treatment. The conditions attached to the training are also laid down in the law on the exercise of health professions. Acquired rights have also been established for those who have already been in psychotherapy or have already received training. Depending on the basic diploma, psychotherapy may be performed autonomously or under supervision. As is clear from the law, the group of professional bachelors referred to in the questions is not actually the group of health care professionals that are provided for autonomously to practice psychotherapy. They can only exercise psychotherapy under the supervision of an autonomous practitioner. They certainly have a role to play, but rather as a supportive mental health profession. However, the legal framework has not yet been defined for this purpose. An opinion on this is prepared by the Federal Council for the mental health professions. Psychotherapy is also not described by law as an occupation, but as a treatment form. No additional recognition is provided for practitioners, in addition to the recognition they already have as health care professionals. Psychotherapy was given a place in the law on the execution of health professions, so that the same quality guarantees and protection measures apply as for other healthcare professions. In addition, there is the group of practitioners who practiced psychotherapy before 1 September 2016 and who may continue to do so without restrictions according to the Constitutional Court's judgment until the unconstitutional nature of the judgment has been eliminated. We must find a quick solution to this problem. The Federal Council for Mental Health Care Occupations consists of health professions, clinical psychologists and clinical orthopedagogues and doctors recognised by the law on the exercise of the health professions, as they may also practice psychotherapy in accordance with Article 68/2/1. Both academia and mental health professionals are represented. Since these professional bachelors, which are the subject of the questions, are not recognised as a health care profession, they are not represented in that Council either. When the Council makes an opinion, experts and stakeholders are invited and involved in the opinion. If the supporting healthcare profession is regulated by law, the composition of the Federal Council can of course be reviewed. That is the problem of the health professions and qualifications involved, after I first outlined the challenge of the roll-out of first-line psychological assistance.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u43	Thank you for the detailed answer, Minister. You know that the committee closely follows mental health and has, moreover, adopted a resolution on it. On 8 October we will return to this on the occasion of the World Day for Mental Health on 10 October.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u44	Minister, you say you want to remove a misunderstanding, but you yourself have caused that misunderstanding by your own communication. On your website it says that there will be affordable psychological care for everyone from September 1st, but you say that what already exists today will not be refunded. This means that people who receive psychological care during individual sessions with a psychologist today and who pay perhaps 50 euros for that will not be reimbursed from 1 September. However, that message has been sent to the world.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u45	Let me make it clear what the right message is, because I am aware that it may have been misunderstood. I am not saying that what is happening today is by definition not being repaid, but I am saying that we will not repay everything that is happening today. The intention is that an appropriate offer that meets the conditions of good multidisciplinary cooperation, organized in networks and by convenient psychologists, after all, I do not want any supplements, and I expect you to support me in that, Mrs Merckx. That's the kind of offer we'd like to repay.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u46	Thanks for the clarification. I myself have determined that many people think that all psychological care will be reimbursed, but that is not the case at all. I do agree that there is a need to think about a different way of paying. However, I do not see why people can go to a general practitioner today without being asked why they are going there or without the number of sessions being limited, when one cannot go to a psychologist without the number of sessions being limited. When we say that physical and mental health is on the same lines as human beings in a holistic approach, I do not see why we cannot evolve into accessible care for everyone, including psychological care.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u47	That's a weird equation. The correct comparison you need to make is the following. Suppose for a particular problem there is a specific therapy and that therapy is simply repeated every week. Wouldn't you start to find that strange after a while? Shouldn't this therapy have an effect after some time? The comparison with the general practitioner is therefore comparing apples with lemons. Of course, you should be able to go to your doctor if you have a complaint. Of course, we think that someone should be able to go to a psychologist if they have a complaint and that they should be investigated. However, on the basis of a complaint, it is not said anywhere in medicine that an endless series of visits should be reimbursed. Where it is said, we are wrong. What you're doing now is comparing apples to lemons.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u48	I think we should effectively focus on good training for psychologists. I think psychotherapists, and that's the second part of your answer, can also play a role in that. We have to work evidence-based. However, recording in advance for which one may go to the psychologist how many times, is also not evidence based. It is scientifically proven that recording the number of sessions reimbursed in advance puts pressure on the treatment. Sometimes a psychologist can solve a problem in five sessions, and I think we can trust them to do so, but sometimes it takes a longer time. I agree with you that we do indeed have to bet on quality and that you do not want to pay back anything. Quality must be there. I cannot, however, hear that you have no confidence in the psychologists and the work they are doing today. I hear here today that you don't really want to pay back what happened today. I think you should change your communication about that. I'm a GP and can tell you that people think they can actually go 16 days to the psychologist from September 1st.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u49	You have a point about communication. But among us, your plea and the kind of arguments you use are like those of ultraliberal advocates of ultraliberal medicine 60 years ago: everything must be possible and everything must be repaid. We're not gonna start over in mental health, are we? We're not gonna do that, are we? Please, you should understand with your background that we can't accept a mere payment per performance in complete freedom................................................................................................................................................................................................. We're gonna ask for cooperation and efficiency, aren't we? We're gonna think about how we spend our money, aren't we? We want to work population-oriented, don't we? It's about a public health approach, isn't it? The liberal champions of liberal medicine would applaud for you, should they hear you.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u50	It's becoming a ping-pong game. I suggest that Mrs Merckx gets the last word. I shall then give the floor to Mr De Caluwe.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u51	Mr President, first of all, we will certainly come back to the matter. However, there is a difference between, on the one hand, the patient and the psychologist, who can decide on the number of benefits that are provided, and, on the other hand, the payment of the psychologist in itself and the question whether that payment in itself should be performance-oriented. We can indeed separate that from each other. That's where we can find each other. Secondly, and finally, you note that this is not a pilot project. On the other hand, however, you indicate that the money is available for two years, but that it may not be there after that. That's a big problem.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u52	Mrs Merckx, you must quote me correctly. The money's definitely there. The way we use it can be evaluated.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u53	Mr President, Minister, in that case I really insist on consultation with those concerned, because it is extremely important. After all, there is nothing worse than getting people to start therapy, especially in terms of mental well-being, to stop it afterwards, because there is a financial barrier or because the refund criteria are being changed. We really need to be careful that this does not happen. If necessary, we are even further away from home. I trust that in the long term we will assess psychological care as important as somatic care.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u54	We have been somewhat outside the procedure, but it was certainly an interesting debate. I now give the floor to Mr de Caluwe for his reply.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u55	Mr President, Minister, my question was slightly different from Mrs Merckx's question. I was more concerned with the psychological well-being of the population. Of course, one is linked to the other. You were just talking about liberal medicine. I would like to stress that medicine has nothing to do with political liberal ideology. After all, I fully agree with you that we should not move towards performance-oriented medicine, not even in mental health care. I would like to dwell on the letter from the Belgian Society for Psychotherapy and on the signals she has put forward on the subject. These signals point to a number of issues among our Belgian population in the field of psychological well-being which concern the Association. It cites a number of examples. An adult in six is currently on some kind of waiting list. An adult on the four performs less at work. Suicide is also a serious and complex public health problem. Suicidal behaviour, both in thought and in attempts and actual suicides, is also an important problem. It is therefore a matter for which we must quickly find a solution. I hope you will continue to work on this with Parliament. Minister, I also trust you to do so. You take the problem to heart. That was also demonstrated by the debate just now, as well as by your comprehensive answer. You didn't get off easy. This shows your commitment to the problem. As the President pointed out, on 8 October 2021 we will go into more detail about everything related to mental health.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u56	Ms. Zanchetta et M. Geens sont absents.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u57	Mr President, since the various questions are complementary, I will answer them in such a way as to integrate them into each other, starting with the last question put by Mr Parent, last but nevertheless central. In recent years, studies have been conducted on the transfer of responsibility for health care in prisons from the Minister of Justice to the Minister of Public Health. The Federal Centre of Expertise for Health Care (KCE), in particular, has described the current landscape of organizing care in prison and has put forward proposals for reforms. The study "Health care in Belgian prisons" was published in 2017 and recommends that a strategic plan be drawn up as part of this reform. To this end, several working groups have been established with experts from the various fields concerned (SPF Justice, SPF Public Health, INAMI, Communities and Regions, independent care providers). They made a series of recommendations on the following topics: 1. The Working Group on Care and Detention has made a number of proposals on the organisation of basic care, specialized somatic care, specialized mental health care, dental care and pharmaceutical care for persons in detention. 2. The technical-financial working group discussed how the health insurance of persons in detention could be integrated into compulsory health insurance and the basic principles for the future financing of prison health care. 3. The working group on central management, policy and quality control analysed the collaboration and coordination between the various political actors concerned, between Justice and Public Health and INAMI in particular. Care must be taken for the provision of equivalent health care in prisons, in safe and favourable conditions. This requires centralized management and policy from these levels of authority. 4. The Working Group on Pre-conditions has formulated a series of preconditions to be met in order to provide equivalent care to prisoners. This includes prerequisites in the field of logistics such as the provision of sufficient rooms for consultations and therapies. For continuity of care within and outside the institution, effective communication between external and internal health care partners is an important prerequisite. An appropriate eHealth-enabled electronic patient record is an essential tool in this regard. My colleague from Justice has already taken a number of initiatives in this context. The activities of these working groups resulted in a vision text for the reform of health care in prisons approved at the end of 2019 by a steering group composed of the various ministers concerned (Justice, Public Health, Social Integration), Communities and Regions and Administrations. As you know, the current government intends to reform penitentiary health care. The vision text drawn up under the previous legislature and its recommendations will form the basis for this reform, aiming at equal care for persons in detention, equivalent to those in free society. In that context, my policy cell organised consultations with the Minister of Justice's policy cell and a number of representatives of relevant administrations to determine the federal priorities for this legislature. For the federal government the administrative insurability, i.e. the integration into the health insurance of persons in detention, is already the top priority. On 7 July last, the policy cells and administrations of the relevant government ministers were also informed of this. The aim is to draw up, in consultation with the Länder, a phased integrated action plan for the reform of penitentiary health care. The aim is to finalise that action plan in autumn 2021 and submit it to the Inter-Ministerial Conference on Health, extended to the Minister of Justice. However, since the administrative insurability of detainees is a federal competence, I have already instructed my administration, together with my colleague in the field of justice, to re-establish the technical and financial working group and to start preparing for the integration of prisoners into compulsory health insurance. This working group will develop a number of concrete action points in the autumn, as well as the corresponding timing. This will form an initial part of the global integrated action plan for the reform of penitentiary health care, which should be submitted to the Inter-Ministerial Conference. The measures planned in consultation with the Minister of Justice will certainly contribute to the attractiveness of the medical professions in prisons. However, as long as a partial transfer of powers has not taken place or a joint project has not been initiated, the organization of health care in prisons remains the exclusive competence of the Minister of Justice.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u58	Minister, thank you for your answer. The Minister of Justice had the opportunity to respond for his part in June. I think we agree on the points that have been made, but also on the action plan. I am pleased that communication has been re-established with the ground to lift the gruntful actions that had been started out of despair. This term of desperation is absolutely not too strong in relation to the situation in which health-care workers are now in this type of institution, which is experiencing repeated incidents with prisoners and movements of grunt because, in my view, of the weakness of the psychiatric supervision of prisoners. We will therefore be paying attention to the further implementation of the reform announced and detailed by the Minister, whom I would like to thank again for the factual elements and the agenda communicated.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u59	Minister, I have not read Mrs Muylle's question, but I suspect it is indeed the same. I am concerned about the introduction of the paperless prescription for patients who are not fully digitally literate and therefore run certain risks in the area of health care. I would like to hear from you the current state of affairs in Belgium with regard to the paperless regulation. What will you do to ensure that vulnerable groups are not left behind? Are you considering information campaigns?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u60	Colleagues, I would first like to give some general information. For all providers of care that prescribe electronically together, there were 2.773.182 paper regulations and 3.823.514 electronic regulations by December 2020. This is a total of 7115,693 regulations, of which 39 % on paper and 61 % electronic. We notice that in two years the ratio between paper and electronic has been reversed. These figures will be followed by the RIZIV control services, which will launch a awareness campaign. We also notice that all age groups of care providers participate well in the electronic prescription. When developing the digitisation process involving citizens, particular attention should always be paid to vulnerable populations. This is no different here, and this is also reflected in the preparation of Mrs Muylle and Mr De Caluwe. The elaboration and roll-out of the process dematerialisation of the prescription takes place in consultation with various stakeholders, including representatives of patient associations and insurance institutions. Among other things, they ensure that the interests of all citizens/patients are protected. Communication to all concerned will also be crucial here. This communication is currently being thoroughly prepared by the various stakeholders. It is also important that the current possibility remains to go to the pharmacy with a paper proof of electronic prescription. The doctor will by default offer a paper proof of electronic prescription unless the patient chooses to digitally manage his prescriptions. There is also the possibility that the pharmacist will deliver regulations to the patient on the basis of his identity card or national register number. Various suggestions have been made in the preparation of the questions. These are possibilities that we can explore when further developing the process of dematerialisation of the prescription.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u61	We share the same concern, Minister. What's new to me is that apparently there's still some paperwork going on. I think it is an important suggestion that attention should continue to be paid to vulnerable groups. The language problem must also be kept under review. At the local level I notice that foreign speakers often still have to be made aware of myhealth.be. So this attention remains crucial. I am therefore pleased that this aspect is also on your list of priorities. We will, of course, continue to follow this theme.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u62	I think the theme of health literature is very important. I tabled a resolution on it some time ago. The Open Vld believes that the patient should be a pilot of his own healthcare, or at least copilot, and be closely involved in his care process. To make this possible, the patient must have sufficient understanding of, and a good overview of, what is prescribed for him. Digitisation is a good thing, but it must not lead some people to drop out. Thank you for sharing this concern.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u63	Mr President, Minister, a few months ago, at your request, this oral question was converted into a written question, but then my question was published unanswered. That is why I have retabled my question as an oral question. We were contacted by the non-profit association Berrefonds, a non-profit association intended for grieving family members for the loss of a child. This non-profit association reports us cases of ambiguity in the legislation on urgent medical care, specifically the interventions of the mobile emergency group. The benefits provided by the MUG are not borne by social security, but the costs for products such as resuscitation materials and medicines could be recovered by the hospitals to the government under the legislation. The relevant legislation could be interpreted, causing a lot of chaos on the ground. Thus, some hospitals do not pass on the costs for the MUG to patients, or survivors in this particular case, while other hospitals do. Mutualities also admit that federal legislation can be interpreted in different ways. Minister, do you know about these incidents, especially those to whom these transport costs are charged? Are you aware of the fact that there is arbitrariness in the application of that legislation? Who is responsible for the costs of CPR material and MUG products? Is it true that hospitals can recover costs from patients or their next of kin? Are you planning measures to ensure that the law is made clear and to reduce or drop costs for patients or survivors? In your policy paper, you wrote that there would be a proposal for reform to finance the resources of urgent medical aid. What is the status of this proposal?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u64	Article 123 of the Hospital Act states literally that "All costs relating to the interventions of the Mobile Emergency Group (MUG) shall be covered by the budget of financial resources, with the exception of the fees referred to in Article 102." Hospitals cannot therefore claim these costs on the patients or next of kin. No mileage allowance or other costs may be charged to the patient for sending out the MUG in itself. The medical assistance fee for an emergency medical doctor in the context of a MUG intervention is fully reimbursed by the sickness insurance. In addition, fees for technical services can also be charged. Some are fully covered by health insurance. Others have a small personal share. For example, for the reduction of an electrocardiogram, which gives rise to a personal share of 2.78 euros for a rightholder without a preferential arrangement. You referred to the reform of urgent medical aid. It concerns the services of urgent medical assistance regulated by the 1964 Act. The MUG is actually a hospital function and is regulated on the basis of the law on hospitals, and therefore falls outside the scope of the reform you referred to.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u65	Thank you for your answer. So if important amounts are asked by the hospital, it will be illegal rather than illegal, I understand. Okay, we'll check that with the people who spoke to us about it.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u66	Mr. Chairman, Mr.Minister, this is a question that is already a little dated since I asked it just before the holidays. I wanted to go back to the test problem. Before the holidays, several States accepted antigenic tests to receive foreigners on their territory. However, many Belgian citizens and travel agencies told us that a series of people had been refused at the airport because the results of these tests did not explicitly indicate "negative", but rather values relating to covid-19. If these figures are below a reference value, the test is therefore negative. As a result, many people were unable to fly. You can imagine the difficulties they have encountered. Some of them lost their holidays (or in any case in part), their car reservations, the holidays they had set and which had to be cancelled, etc. That is my question. Is there a legal obligation to explicitly mention the term "negative" on the test result? If so, why have a series of laboratories not done so? When an antigenic test is de facto negative without such a mention, do airlines have the right to refuse access to the aircraft for a traveller? Is there not the right to legislate in order to standardise the consideration of the various tests and their results by airlines, in order to stop these discriminations (financial losses, holiday hassles, etc.).( )? What are the remedies for citizens who have been harmed by this system if their documents were clearly in order? Should they turn against airlines or the laboratory?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u67	Mr Bayet, I believe that the problem that has arisen has been resolved since then. The results of rapid antigenic tests are now recorded in Sciensano and the results are integrated into the EU Digital Covid Certificate. I cannot tell you what the people concerned can do to get any compensation. In fact, I do not want to hide, but this is a question that must be asked to Mr Gilkinet, Minister of Public Transport, or to Mrs De Bleeker, Secretary of State for Consumer Protection. In any case, the one-time problem can no longer arise. Fortunately, it has been resolved.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u68	Minister, thank you. I had tabled my question at the end of June. Since then, the problem has been solved. Of course, we can only rejoice. I will therefore follow your advice and ask your two colleagues the question, so that our fellow citizens who have been injured, as a result of this misinterpretation by some airlines, can be reimbursed in full or, in any case, in part.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u69	Debates of the European Parliament Mr Creyelman's 55019104C was converted into a written question.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u70	Minister, on 7 June 2021, a new medicine for Alzheimer's was registered by the American FDA. This is the first medicine to interfere with the disease processes of the disease. It can slightly slow down the disease process in some people with onset Alzheimer's. Several pharmaceutical companies such as Pfizer have decided no longer to invest in expensive clinical studies into new Alzheimer's treatment. However, Alzheimer's is the most common form of dementia. More than 30 million people worldwide suffer from Alzheimer's. The medicinal product manufacturer Biogen submitted an application to the European Medicines Agency EMA on 30 October 2020. Minister, what is the state of the EEA's approval? When could the application be made in Belgium? What does the FDA's approval of the European market mean?
