ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u1	Mrs Rohonyi, you asked three questions on the same subject.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u29	Mr President, ladies and gentlemen, nuclear safety is a national competence for which each national safety authority is responsible. In the case of France, this is the Nuclear Safety Authority. The Federal Nuclear Control Agency maintains good contacts with the ASN and the ASN regularly informs it of ongoing cases as well as events that may have an impact on the safety of French nuclear installations close to our borders, including the Chooz, Gravelines and Cattenom nuclear power plants. It is neither the role nor the competence of the AFCN to establish a comprehensive assessment of the level of safety of a foreign nuclear facility, much less to require its closure. The Cattenom power plant is not located in an emergency planning area of 20 kilometres for nuclear power plants, as defined in the Nuclear and Radiological Emergency Plan for Belgian territory. This area covers the vast majority of possible accident scenarios, including the most serious. However, the province of Luxembourg is located in the 100 km extension zone of Cattenom for possible protection and taking iodine tablets should a situation arise that could have consequences outside the emergency planning area. This means that it is not necessary to draw up a specific emergency and response plan, but that it is possible to react on the basis of the Governor's general emergency and response plan, together with certain specific nuclear preparations, in particular with regard to the possible use of iodine tablets. Emergency planning coordinators are in continuous training. The services of the Governor of Luxembourg participate in the exercises for the Tihange nuclear power plant. The first one took place on March 17 of this year and the next one will take place on June 29. They also participated in the nuclear transport exercise organized by the AFCN on 24 September 2019. With regard to iodine tablets, several thousand cans were distributed, some to communities and others to individuals. One pack of iodine tablets covers the needs of four people. With regard to the decontamination of persons, in addition to the mobile civil protection decontamination lines and the additional capabilities of the Defence, reception centres with a fixed shower capacity are an option. Civil Protection has eight decontamination lines with a capacity of 160 valid persons per hour. In the event of an evacuation following a nuclear accident in Cattenom, reception centres, schools and omnisport halls will be designated, taking into account the specific circumstances and the general emergency and intervention plan of the province of Luxembourg.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u30	Minister, I listened carefully to your answer. I hear that we would be within a 100-kilometre radius that does not require a planning area but an extension area. This is extremely worrying as the reality is quite different. At bird flight we are 35 or 40 kilometers from Cattenom. Oldness, beyond the implausibility of the documentary, is real. I stay a little on my hunger and I'm really surprised at the realities. As for the dialogue between the two agencies, the French NSA and the AFCN, regular contacts are not sufficient. Knowledge on the ground seems necessary. It's a way of reacting before it's too late. I will review the regulations and see how I can follow this file. Thank you for your answer.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u31	Madam Minister, thank you for your answer, but I still insist on the problem of the presence of this plant, which, according to some, would have significant safety deficiencies. I would urge you, Madam Minister, to put this issue on the agenda of one of your meetings with your Luxembourg colleagues. When a television channel like ARTE publishes and broadcasts what was broadcast about two weeks ago, the population panics, and we must be able to reassure it. I have already explained to them that according to the information I received, the iodine pills would be distributed through the emergency zone. But I really believe that we need to go a little further and show that we really take this issue seriously. This risk and danger are real there. Indeed, I told you, from the heights of my commune, we see the vapors of this plant. I do believe that the Grand Duchy of Luxembourg and Belgian Luxembourg are in the same area in the event of an accident in this plant. Thank you for taking this situation seriously.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u32	Mr President, Minister, the special field guards are in principle your responsibility, but they also have a limited role in the Flemish regulations, particularly as regards the hunting regime. On 10 July 2019, a new ministerial decision was taken to implement the amended statute of the special officers, but many of these officers seem to have a lot of questions. That is why I believe it is important to be able to define a stricter and better mandate for these particular officers. Today they take a training course and take an exam, and then afterwards they find that they hardly get to work, unless they volunteer. It therefore seems important to me that we should be able to clarify this. Either we continue as we do today, and we create expectations among many of them that we will eventually not be able to live up to in the field, while after training they hope to be effectively employed in some form or another. Either we should abolish all these training courses and report that it is considered purely voluntary work, but not professionally. I have a number of questions about that. How do you see the status of the Special Guardian? Do you believe that a full range of tasks can be put together for him to be effectively employed? Do you think it would be useful to discuss this with your regional colleague, Minister Demir, given the connection with the Flemish regulations? How do you see the role of the provincial authorities in the whole story, as they also dare to engage these special officers in provincial domains? Thank you for your answers.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u33	Mr President, Mr Moyaers, the legal basis for the role of Special Guardian is included in the field code. Based on the information I have, it appears that approximately 900 special field guards are still active in our country. From time to time there are voices to abolish the function of special field guard. This would mean that private individuals would have to use the private security sector to protect private domains and goods. Governments should call on regional regulators to enforce their regulations. In order to clarify this situation, I am instructing my services to carry out a thorough evaluation of the status and tasks of the special officers, in consultation with the provincial governors. In doing so, the potential task tension between the special field guards and the regional supervisors is a focus on which further consultations can be held with regional ministers. So I am not taking a stand now, but I would be happy to return to this matter after the consultation round.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u34	Madam Minister, I would like to thank you for your answer and for consulting the provincial governors and state ministers on this issue. My idea of the special rangers is, as I have already said in my question, that they should be taken effectively seriously for enforcement in the open space and that they should be given a precise job description for that purpose. If not, the Statute will be better abolished. For the record, I am in favour of the first option. A special ranger in the open space may be best compared to a community guard in a city or municipality. Apart from the difference in training, I think that comparison is the most obvious for the average citizen. I think that special rangers absolutely deserve more appreciation and should have more opportunities to be engaged and even employed for those particular tasks.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u35	Madam Minister, drawing up strategic security and prevention plans, abbreviated SVPP, is currently accompanied by a particularly high administrative workload, which is not always in proportion to the subsidies received by municipalities. In your policy statement, you yourself announced that this legislature would be working on the reform of that SVPP. That is only to be welcomed. Cities and municipalities have for a long time been asking themselves for a reform of this. There is a great need for objective and transparent criteria, on the one hand for allocating an SVPP, on the other hand for allocating resources. However, there is also concern. The intention to start this process from January 2022 is now suddenly coming so fast that local authorities are not prepared for it. Like the Association of Flemish Cities and Municipalities, the VVSG, local authorities indicate that they have not yet been consulted and of course regret that. However, it is just as important that local authorities are consulted at least through the VVSG. Local authorities have had experience in this matter for about two decades now. Like no other, they face possible pitfalls. Will you involve them quickly in the reform of the whole system? Do you expect this to involve major changes in the annual budget? The budget discussions for 2022 are starting to start. Who will possibly experience the greatest differences in the positive or negative sense? Especially in larger cities, it's about nice sums of money. Will you also consult the VVSG?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u36	In order to ensure the future of strategic safety and prevention plans, objective criteria need to be developed, both for the selection of cities and municipalities and for the allocation of resources. I have already mentioned this in my policy paper. The Home Affairs Administration also immediately started working on this. The VVSG, the UVCW and Brulocalis, will also be involved in the preparation of the new cycle of those strategic safety and prevention plans. My services have also used the route in consultation with the associations of cities and municipalities. It goes without saying that a change in the criteria of allocation and distribution can also have a positive or negative financial impact on the municipalities currently benefiting from this funding. I cannot anticipate the outcome and decision of the government on this matter today, but it is certainly a subject that will be followed up.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u37	It is good to hear that the consultation with the VVSG has already started at least. It is important that local authorities can provide input on the content of the new plans. In the end, they have the necessary experience in this matter. Like no other, they know the strengths and weaknesses of the whole system. In addition, local authorities should be informed as soon as possible with a view to the annual budget negotiations. This way they can better plan their own future prospects. They must therefore be informed in good time in order to be able to set the budgets for 2022.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u38	The next item is the debate on the following motions for resolutions: 55016764C by Mrs Daems. She's not here. Her question is therefore without object.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u39	Mr Cogolati, thank you for your questions. On Wednesday, 21 April, during a test on a secondary circuit in Tihange 2, one of the supply valves closed unexpectedly. This event led to an automatic shutdown of the installation due to a decrease in the water level in the steam generators concerned, as expected in such cases. This event did not have any impact on workers' health, the population or the environment. For the automatic shutdown on Saturday, April 24, the operator and the Federal Nuclear Control Agency are conducting their analysis. Nevertheless, we can establish that the automatic shutdown which took place during the restart is not technically linked to the judgment of 21 April. AFCN tells me that two INES analyses are under way for these two events, as foreseen in the technical regulation of 5 July 2019. If their result is greater than zero, the AFCN will communicate on this subject. Technically, there is also no relationship between these events, those of 21 November last year and 19 January last. Since the analysis is still under way, I cannot give you any more information. A low level of water in steam generators may result from other events. In the previous five years, three similar cases occurred: in Tihange 2 in 2016, Tihange 3 in 2017 and Doel 4 in the same year. In practice, a low level of water in the generator indicates an insufficient amount of water to evacuate the heat produced by the heart via this circuit. The unit then responded correctly by automatically shutting down the reactor. For its part, the heart continued to be cooled by the other circuits provided for this purpose. This event did not have any impact on safety, workers, the population or the environment. I can also reassure you that there is no relationship between the hydrogen microbulles in the tank and these two stops linked to the water supply of the secondary circuit.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u40	Madam Minister, thank you for your long and comprehensive response, which reassured me of the lack of connection with hydrogen bubbles. I would like to ask you again about the results of the INES analyses, if they show that these incidents exceed zero.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u41	Mr President, Minister, on 5 May Belgium will be subjected for the third time to the Universal Periodic Review of the UN Human Rights Council. As a result, Amnesty International has produced a report with some concerns and recommendations. The report contains a report on the extent to which our country fulfilled its commitments from the previous Universal Periodic Review. The report also shows where human rights in our country are still being violated or insufficiently protected. For example, Amnesty International's report states that ethnic profiling by the police, which is a violation of the right not to be discriminated against, remains a problem. Let me quote from the report: "The Amnesty investigation shows that police officers recognise that the practice exists and that the legal and policy framework for police decision-making does not provide sufficient guidance. Although there are many testimonies, the full extent of the problem is difficult to estimate as the authorities fail to collect thorough and broken down data. In particular, the lack of data on identity checks hinders an adequate response to the problem." Amnesty International also makes recommendations in the report. With regard to ethnic profiling, she calls on the federal government to amend the law on police by explicitly prohibiting direct and indirect discrimination and explicitly prohibiting ethnic profiling. It also calls for policy and practice to take steps to combat ethnic profiling and to register police identity checks and collect data to control and investigate their use. More recently, the UN Committee on the Elimination of Racial Discrimination has confirmed that Belgium must take action against ethnic profiling. First, the Committee calls for the adoption of an action plan against racial profiling, as well as the establishment of an independent complaints system or the use of forms specifying the reasons for monitoring and available remedies. Secondly, CERD is waiting for our country to take steps to ensure prompt, complete and impartial investigations into racist incidents involving police officers and to ensure that those responsible are prosecuted. The Committee also addressed the problem of crimes and racist hate speech. In that regard, he asked our country to provide information on prosecutions and convictions in that regard. Lastly, while CERD noted with satisfaction the establishment of the Federal Institute for the Protection and Promotion of Human Rights, it nevertheless called on our country to take the necessary measures to enable that institution to deal with individual complaints, including cases of linguistic discrimination. Minister, what action will be taken on these recommendations? Will the collection of data and the registration of complaints against racist hate crimes and speech be improved? In cases of police violence, will prompt, thorough, impartial and punitive investigations – if necessary – soon become a reality? Will the Federal Institute for the Protection and Promotion of Human Rights soon be able to deal with individual complaints?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u42	Mr President, Madam Minister, I do not go back at length to the context set by my colleagues, which leads to the questions that you are being asked today. An important chapter of the report is devoted to the attitude of our police in this area. As you know, our group did not wait for this report to raise this issue and to ask you about the attitude, training and actions to be taken with regard to our police. The Chovanec case has also highlighted, through the issue of the treatment of transmigrants, various cases that are pointed out as revealing a problematic attitude within our police. As my colleagues have mentioned, the Committee proposes a series of recommendations to combat this phenomenon. These were pointed out and highlighted by Amnesty International. Minister, have you read this report? I guess so. How do you view the recommendations put forward by this body of the United Nations? What follow-up are you considering giving them? What initiatives do you intend to take following the release of this report?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u43	Mr President, Mrs Platteau, your question concerns Amnesty International's recommendations. At present, I do not have enough data to speak of a structural problem of ethnic profiling within the police forces. In any case, any alleged discrimination by police officers is taken seriously and inappropriate behaviour or statements, including ethnic profiling, of a very small proportion of police personnel are, of course, being combated. The Police Office Act states that staff must respect human rights and fundamental freedoms and undertake to enforce them. The deontological code of the police forces reiterates this and explicitly states that staff must refrain from any form of discrimination and from any form of bias. I support that, of course, and of course I support it as much as possible. I also closely monitor the practical application of these clear and binding rules. My cabinet has also recently received the Stop Ethnic Profiling platform to listen to the recommendations in this area, including in the framework of the National Action Plan against Racism. We are taking concrete steps to counter alleged ethnic profiling. This is done through training, the exemplary role of leadership, the pursuit of the right organisational culture and a permanent focus on human rights. The police are also working on operational instructions and their follow-up through coaching and monitoring. An internal directive 'Professional control for the integrated police' is currently being prepared with regard to its integration into the various training courses. Recent academic insights will also be taken into account, for example the doctoral study on identity checks by Mrs Saudelli's police, which was presented last week. We're in touch with her, by the way. I have read the report of the Committee on the Elimination of Racial Discrimination of 30 April 2021 on the report of Belgium. This one has caught my full attention. Following a first reading, I note that the recommendations address known concerns. Initiatives to this end are already under way and are in line with my policy statement or have already been integrated into the police organization. The recommendations will be analysed and will involve all relevant stakeholders. The prevention of abusive behaviour contrary to rights and freedoms requires adequate training of police personnel. This training plays an essential role in respecting the legal framework, the values of integrated police, and in acquiring the skills and attitudes necessary to carry out police missions in a professional manner. Legislation on the prohibition of racism and discrimination is also subject to specific training at the disposal of members of the police services. Many awareness-raising activities are organized in this area through various means of communication. Several of these training courses on diversity and intercultural communication are delivered by and/or in collaboration with external partners active in the promotion of human rights, such as the Interfederal Centre for Equal Opportunities. The "Holocaust, Police and Human Rights" training, organized in partnership with Caserne Dossin, addresses in particular the mechanisms leading to the polarization and impact of this phenomenon on the work of the police and its relationship with the population. The themes of diversity and non-discrimination are considered a priority in the field of police training. I fully share CERD's recommendation on a national plan of action to combat racism. This work is already under way. Following an inter-ministerial conference held in July 2020, a multidisciplinary working group, including representatives of line ministers, police, integrated police and NGOs, is currently working on a national anti-racism plan. The police services participate and contribute constructively to this work and the technical working groups are in the final stages. The political decision-making process will follow the usual process. I'll come back to you in good time. At the same time, the integrated police are working in particular on the establishment of an action plan to combat professional profiling on the basis of what has already been developed in certain police areas. The local police areas of Antwerp, Malines, Willebroek, Ghent and Brussels Nord jointly developed a framework for professional profiling. This framework provides tools to promote the professionalism of police controls in which respectful communication, legal basis and values play a central role. I support the commitment of the integrated police to include this framework of action in the basic training of police inspectors aspirants and, subsequently, in the GPI 48 on violence-control training and training of police service operational personnel. The supervision of the exercise of police duties and their complaints shall be exercised and evaluated by means of control mechanisms and bodies at the level of the three powers established, namely the P Committee, the judicial authorities and the AIG. Depending on the case, they shall act and, where appropriate, take the necessary corrective measures. Those responsible shall be prosecuted and disciplinaryly punished as far as possible. I cannot comment on the criminal law aspect, nor on the appropriate compensation of the victims. Ms. Song, with regard to improving the procedure and tools for registering complaints of racist hate crimes and speech, the reflection continues in the context of the revision of Circular COL 13/2013. Indeed, following the recommendations of the European Union Agency for Fundamental Rights and the Office for Democratic Institutions and Human Rights (ODIHR), this circular is being improved. A working group led by the Equal Opportunities Unit of the SPF Justice and composed of judges, Unia, local and federal police was appointed to do so. Finally, I would like to point out that the recommendations made by CERD are addressed to the various entities of the Belgian State and not only to my Office. The recommendation on the usefulness of knowing the ethnic composition of the Belgian population, for example, requires an amendment of the legislation to allow the collection of ethnic data, even on a voluntary basis, and to make it compatible with the requirements of the General Data Protection Regulation (GDPR). It is not for me, within the framework of the autonomy of the federated entities, to comment on the possible decision of the Flemish entity to leave in 2023 the cooperation agreement regulating the creation and operation of Unia. Where appropriate, the loss of income claimed may be compensated through federal subsidies or the National Lottery. Regarding the possibility for the Federal Institute for the Protection and Promotion of Human Rights to deal with individual complaints, I refer you to my colleague the Minister of Justice.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u44	Madam Secretary, thank you for your answer. I'm not entirely convinced. I am a little surprised because you say that you do not have enough data to speak of a structural problem, whereas the Amnesty International report just reveals that there is a structural problem and prevents racism and discrimination by the police in practice. It is also confirmed by the UN Committee. Allow me to say that I do not think it is a satisfactory answer if you say that you do not have sufficient information. You say that all forms of discrimination are dealt with, referring to the law on police duty, to the code of ethics and to training. I think that is all very important. I am also in favour of training the police on human rights, anti-discrimination and anti-racism. But that is how you individualise the problem, whereas the reports show that it is a structural problem that also needs a structural solution. The question is whether the current measures you are proposing are sufficient. I would dare to question that and insist that we think about it. Should we not better frame or ban ethnic profiling by the police, so that when police officers enter an identity check, they can justify why they do so and this is also more registered? I am in favour of that. Dank u.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u45	Minister, thank you for your various information. I agree with the fact that my colleague has just drawn up. You're talking about a lack of data. I can tell you that different institutions and associations do, however, make the same observation, and speak with a unanimous voice of a structural problem within our police system. Today, you are talking about training, an appropriate culture, coaching, monitoring. I had asked you to do that. I am pleased to hear that you are moving forward on a whole series of issues and proposals. I hope to see the concrete result as soon as possible. I believe, however, that beyond that, we must go further. If one can objectiveize a structural problem, then one must be able to propose solutions far more structural than a simple coaching or a simple course that becomes compulsory in the training of aspirant inspector. We need to think further than that which has already begun, so that we can answer a whole series of questions that are raised in reports such as those of the United Nations, Amnesty International, or associations that exist on our territory. They talk about police violence, racism within the police, ethnic profiling. These associations already have a whole series of solutions to offer. I believe that today our role is to study them and perhaps to conduct hearings on this subject. In any case, we must show the will to structurally adapt our police services, because there are probably more complicated and entrenched dysfunctions than one would expect. It is not just training that will solve these problems. I thank you, however, for all the proposals you are working on, as well as for your dynamism and your willingness to change the scope of action.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u46	Minister, to date, there is no legal framework that allows a person under police control to know the reason for this. To date, we must note, as the report mentions, that racial profiling by the police remains a persistent problem in Belgium and that there is no law explicitly prohibiting racial profiling. This finding is not raised by a few citizens. It's not short-term. This is a fact that comes from the UN report, as my colleagues have pointed out, but it also comes from other associations and institutions known for their strength and follow-up, whether it is Unia or Amnesty International. Minister, we need to open our eyes and engage in a real policy of change because, in our police, there are behaviors that are still well present and too present. These are behaviors of only a few, I hope, that harm the police, that generate a lack of trust among our fellow citizens and that primarily harm women and men who are victims of these behaviours that do not belong in our police. Belgium is committed to putting in place an inter-federal action plan against racism which you have just mentioned and which was started at the beginning of the year. You have to press the accelerator. We need to move forward and make it a priority. As you said, you have to select, train and punish. We must also have the boldness now to reform and frame so that, in the future, we can have much more positive and commendable reports from the United Nations and other entities, of which we can be proud. Madam Minister, thank you. I have no doubt that you will make it a priority and that you will have the audacity to move forward.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u47	Madam Minister, I think that at the moment we can only say that we are pleased that you are working on it. I am very curious about the concrete effects. The police must, of course, be able to do their job, but there must also be a justification for why someone is doing something. If a citizen thinks that something has happened wrong or wants more explanation as to why something has happened, then the citizen should be able to ask the question. If citizens feel that they have been treated unfairly, they should also be able to lodge a complaint. I was therefore surprised by the recommendation of independent complaint handling. In my view, we have the necessary bodies in Belgium to deal with this. I am very curious to see what they think is wrong and what can be done better. I think we should just follow the work and follow it up.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u48	Mr President, Mrs Chanson, the reference in the government agreement to the fight against discrimination and hate crimes is a theme managed by the Secretary of State for Equal Opportunities. In this context, the concrete elaboration of the National Plan against Racism is the responsibility of the Secretary of State for Equal Opportunities, Mrs Schlitz, in collaboration with all the authorities, the bodies and departments concerned at the federal and federal levels. With regard to the steps and timetables set out in this plan, I would therefore refer you to the Secretary of State for Equal Opportunities. With regard specifically to the police, I can already point out that it will of course endorse the NAPAR's objectives relating to its police operation. The aim is to bring both the Comprehensive Security Note and the National Security Plan into line with the previous thematic plan. The National Security Plan, which is the strategic plan of the federal police and the integrated police operation, will incorporate the police objectives of the NAPAR, including the reference to this inter-federal action plan. Since these are also offences, police actions are guided by the courts and, in particular, by the Public Prosecutor's Office. Management-related subjects, on the other hand, fall within my area of competence. The challenge is therefore to harmonize the different strategic plans, their ongoing processes and, above all, their content. Indeed, all plans are currently in full development. Harmonization with regard to police objectives in the fight against discrimination, racism and hate crimes is under way and the aim is for the Ministers of Justice and the Interior to validate, in the coming weeks, the plan of the Secretary of State for Equal Opportunities with regard to the police objectives contained in the NAPAR. This will, of course, be done in close consultation with the federal and local police services. For those of the Comprehensive Security Framework Note and the National Security Plan, this is a dual responsibility of the Minister of Justice and the Minister of the Interior respectively. Inter-federal consultation is also necessary to this end. Moreover, these plans are obviously not limited to the problems of discrimination, racism and hate crimes. The objective is to have both safety plans approved in the fall of this year.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u49	Minister, thank you for this information. I also look forward to the answers to my written questions, which will no doubt complement what you have just given me. I will not fail to question the Secretary of State for answers to the second part of my question, which relates rather to her competencies.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u50	Madam Secretary, I think we all welcome the fact that our vaccination is coming more and more at cruising speed. My question is about the degree of vaccination in the police. A few months ago, the Task Force on Vaccination in the Integrated Police developed a strategy to deal with vaccination in the different police forces. A logic was used, which I can certainly follow, which left the workshop rather than the place of residence of the police officer in question. Now, at no-shows in local vaccination centres, certain professions such as kindergarten girls, but also policemen, are on the list. In a way, this goes through the vaccination strategy that the integrated police had set out. For a good understanding, I am very happy that these people are vaccinated faster because it would be a pity that vaccines are lost. I do wonder how this goes through the police's vaccination strategy, and whether there is still a complete overview of who has been vaccinated within the police forces, and when and where. Do you have any idea of the vaccination rate in the local police? What's the vaccination rate with the federal police? Has there been an effective distinction between first and second lines, as was once proposed at the beginning of the strategy definition? What impact does the fact that there is more vaccination locally, via the mentioned no-shows, have on the strategy envisaged?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u51	Mr President, Mrs Ingels, before addressing your specific questions, I would like to say the following. On any no-shows we have no sight because we are not allowed to keep that data and we are not allowed to register it. The GDPR does not allow to keep lists, because of the medical data contained in them. The numbers are also those of which the federal police themselves sent the invitation and got the confirmation. As far as the German-speaking Community is concerned, the list was completed in full and concerns 300 staff. Also in the Walloon Region, the list was fully completed, through two large vaccination centres, one in Ronquières and one in Bierset. A total of 8,155 police officers, including 3,546 federal police officers and 4,609 local police officers. In the Brussels-Capital Region there was one large vaccination centre on the Heizel. All priority policemen with residence in Brussels were vaccinated. In addition, the entire Brussels police zones were vaccinated and the movement for the federal police is currently catching up. These are staff members of the services housed in Brussels. The organisation operates through the DirCo in Brussels. At present, about 5,000 people are employed and their vaccination is almost complete. In the Flemish Region all priority staff were charged in the invitation system of ZorgVlaanderen and last week the invitations left. The policemen in the Flemish Region are vaccinated in the vaccination centre of their place of residence. As you pointed out, the distinction between the first line or the priority operational services and the second line is also retained in that sense.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u52	Madam Secretary, I understand you don't have a visual on the no-shows. My question was not whether you had a view on that either. It was about the fact that the strategy was crossed because there were local margins. The most important thing is that the vaccination is either completed or very advanced. That's good news for the policemen who take that extra risk of infection.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u53	Question No 54, by Mr De Pasquale 55016972C) by Mrs Jadin and others: 5017000C by Mr De Smet will be converted into written questions.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u54	Mr President, Minister, last February I asked you a question about recruitment and police selection procedures. The answer you gave at the time was very optimistic and good. You confirmed that the recruitment of 1,600 new recruits was on schedule this year. The new selection procedure had yet to be activated, after agreement with the trade unions. That's what my questions are about. You announced that the new selection procedure would start in spring. Spring is coming to an end. Where are we on the rollout of this new selection procedure? Has this union meeting already taken place on this issue? If so, what stage are these talks at? A number of selection tests have already been deleted. Can you explain which tests have been specifically deleted? You are also talking about fast-track tests that will take only two weeks. This has already started in 2019. Can you explain when that system will or can come back into operation?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u55	Madam Secretary, the recruitment of 1600 aspirants to the police every year remains one of the eyecatchers from the government agreement and your policy letter. In the media last week, I found an anonymous testimony in which a detective indicated that the outflow of police officers is greater than the influx. The criticism became even harsher by saying that recruitment is insufficient and that we are too quickly satisfied. If I study the figures from the period 2016 to 2019 that I requested, I do not entirely agree with that. A net increase of 940 (2016), 560 (2017), 463 (2018) and 580 (2019) agents shows that the outflow is less than the inflow. But of course we're still a long way from the 1600 agents we have in mind every year. From previous committee meetings, you assured yourself that you would have confidence in achieving the target figure of 1600 new police inspectors in 2021.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u56	Mr President, Mr Vandenput, the request for an opinion is currently being submitted to the Supervisory Body for police information. The COC will give its opinion on the correct application of the GDPR Regulation in the context of the new texts on the selection procedure. A response to this is expected in mid-May 2021. The texts on the selection rules and reserve management rules are currently being submitted to the trade unions for negotiation. A number of points are still under discussion. In the future selection concept, some tests have already been abolished, such as the group test and the post baking exercise. In concrete terms, the Recruitment and Selection Service will offer the police zones or federal services a pool of aspirants with the required minimum competences. From this group they can select their own successful candidates. It is therefore a major innovation with regard to the old concept, in which the aspirants were not recruited directly by the police zones or the federal units. In the past, aspirants had to complete the training with fruit before applying to a unit. Fast-track procedures are now closed and no longer on the agenda. After all, these procedures have cost a lot of capacity for a rather limited result, we can say. This was caused, among other things, by the absence of candidates. Moreover, the Recruitment and Selection Service was heavily dependent on the many other partners, making it difficult to respect the deadlines set at the beginning. The new recruitment concept is therefore on track and will also allow to recruit 1,600 inspectors from this year on. As long as the new concept has not been approved in a regulatory manner, the aspirants will still be recruited, but according to the old recruitment concept. All candidates who so far started the training in 2021 were thus recruited through the old system. At present 338 candidates started initial training in 2021, 174 in March and 164 in April. Of the 338 candidates that started this year, some were selected in 2020 and others in 2021. The new selection procedure will also make it possible to shorten the duration of the process. This can be done, in particular, by abolishing the selection committee and placing the emphasis on automated tests. Some selection tests will also be tailor-made for the integrated police. These tests are in full procurement procedure. As already mentioned, the new process provides for greater involvement of the areas and federal services where the candidate will end up, as well as a closer local-federal partnership. In addition, a permanent quality control will be set up. From now on, the appointing authority itself chooses the candidate for the unit. The laureate will therefore be more in line with the profile sought by the zone or federal service, not least because units can put themselves on the market with a certain profile, so that they can also attract the right candidates for their corps or for their unit. For this, the federal police have also provided a budget, so that the zones or federal units can develop their own marketing campaign. Finally, the former exemptions linked to the diploma will be abolished. As a result, each candidate will be re-assessed on the basis of the evaluation criteria. As far as diversity is concerned, we do not currently have an adequate picture of the problem. We know, of course, that the reflection of society is not being achieved, but we are currently lacking objective figures. A working group is currently considering proposals to better organise the diversity of the recruits in order to better monitor the evolution of diversity. It is considered whether this can also be incorporated into the new recruitment concept. At present, the duration of training is not an objective in itself. On the other hand, the focus is on the content of the initial training candidate inspector. Both the uniformity of training is a priority and the alignment of training with the future job in the field. Social expectations and trends to respond to new needs and needs will be taken into account. Candidates currently working with the police are aware that this police training is not equivalent to any diploma from regular education. The advantages of separate training are, on the one hand, the necessary flexibility in duration, but also the content of the training and the possibility of creating as diverse a workforce as possible. There are advantages and disadvantages to both systems. In countries where regular education is responsible for police education, there is obviously no salary paid to the aspirants either. Candidates are free to attend regular education before choosing the police. Candidates with a diploma in their pocket might consider a career switch a little easier. However, the integrated police can also profile themselves as an attractive employer and respond to the various challenges that are possible internally for people looking for new perspectives. The reform of police education will also examine the option of working with specializations in a modular way.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u57	Madam Secretary, I am pleased that you reaffirm the number 1,600 and that the negotiations with the union are moving forward. So we're waiting for the COC's advice. I merely hope that these negotiations will be separate from the negotiations on the statute, which are currently under way and on which alarming things appear in the media on the trade union side. I hope you can keep both separate. For the rest, I look forward to the 1,600 newcomers who will join the police.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u58	Madam Minister, in my turn I would like to thank you for your very comprehensive answer to the many questions. I don't think you've missed a single question. You gave a pretty complete answer. It also reassures me that it will be possible to recruit 1,600 people in 2021.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u59	Debates of the European Parliament Mr Raskin's 55017060 was converted into a written question. Mr Aouasti is not present, his question No. 55017080 is without object.
