ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u1	Minister, I refer to the written version of my question.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u38	Madam President, ladies and gentlemen, it is true that the temporary ban on housekeeping in certain arrondissements of Limburg and Antwerp is still being used too little in contrast to the parquets of Limburg and Antwerp. That's weird. I was already particularly affected by an interview in De Standaard with the local parquet magistraat responsible for intra-family violence a few weeks ago. The prosecution informs me that for the following reasons it is not applied equally well everywhere. Firstly, the police overlook the possibility of a temporary restraining order, mainly in cases where no criminal offences are detected. In many cases, a temporary ban is no longer appropriate at the time when the public prosecutor becomes aware of the situation. Secondly, certain public prosecutors are more likely to resort to other measures, which are considered more effective, such as pre-trial detention or detention. It is indeed important to raise awareness among all actors, police and public prosecutors, including in the context of their training, of the possibilities offered by a temporary ban on housekeeping, even if there is no crime. The law relating to a temporary house ban was amended in 2019. As a result, at the beginning of 2020, the College approved a circular amending the previous circular and giving a number of instructions to the prosecutors implementing that measure and the new provisions. The message is clear: make more use of the temporary ban. The College therefore asks the prosecutors to apply the temporary ban more systematically and more strictly to perpetrators of intra-family violence. We also want to encourage better risk assessment. The circular on the use of a risk assessment tool adopted by the College entered into force on 1 January 2021 and should be completed by the police. The main objective of the instrument is to highlight the presence of certain particularly alarming risk factors, allowing for a rapid and adequate response from the magistrate, such as the imposition of a temporary house ban. At the end of November, the government adopted a federal action plan to combat gender-related and intra-family violence. The plan also encourages the public prosecutors to take advantage of the temporary ban on housekeeping. The reference magistrates with specific experience in the field already share in practice their experience with the arrondissements requesting them. The IGO judicial training institute organises training courses on sexual intra-family violence, in which the theme is discussed. The training courses were introduced by the Law of 31 July 2020 and are mandatory to be followed by the magistrates. Newly appointed magistrates are also given training to deal with the temporary ban on housekeeping. In cooperation with the Communities, a monitoring of a number of persons who have been banned from home due to intra-family violence will be carried out in order to identify all necessary support resources. As far as your second question is concerned, I will give you my answer in writing, since it concerns statistical questions. Between 2016 and 2020, we note a significant increase in the number of cases of temporary house bans. This certainly has to do with the initiatives that are and are being taken. As far as your fourth question is concerned, the temporary ban on housekeeping is being imposed to defuse an escalating situation. In addition, the link is made to a quick start-up of assistance. For example, a human approach is provided, whereby victims can stay in their familiar environment and be helped. Moreover, in a crisis situation, the direct involvement of aid workers can make it easier for people to motivate to accept aid. More specifically, immediately after the prohibition has been imposed, the King's Attorney will immediately communicate his decision to the courthouse. This will be given a mandate for the drop-outs and the task of using the Victim's Homecare Service to inform and refer the stayers. The appointed judicial assistant will make contact with the removals and with the remaining residents. The judicial assistant will analyse the situation and make recommendations on the progress of the ban in a report. In many cases, the judicial assistant will immediately make proposals to refer the person concerned to appropriate assistance and services or guidance. This could include an OCMW, a team of intra-family violence from the CAW or addiction care. The aim is to provide an integral range of family assistance and follow-up services. The chain approach, such as the Family Justice Centers and similar initiatives in Wallonia, plays a major role in the multidisciplinary approach to the dossiers. The core of the chain approach is to offer victims a better coordinated service, as in the context of temporary home ban, with the aim of stopping violence, preventing further escalation and repetition and strengthening protective factors in the family. This can only be encouraged and is strongly supported by the Justice Department. We are counting on the Communities to do their utmost to pay extra attention and resources to this. In addition, there are many specific measures and projects to assist and monitor victims of partner violence. For example, there is a mobile stalking alarm which is gradually rolled out nationally following a positive pilot project in Ghent. There is the College's circular on criminal policy on partner violence. It was modified twice, with the latest adjustment dating from 12 October 2015. The circular reiterates the importance of a multidisciplinary approach by both the judicial and the medical and psychosocial actors. Finally, the Inter-Ministerial Conference on Women's Rights has taken a number of measures related to the covid pandemic and the common desire to provide a concrete and rapid response to the problems of women who are victims of violence. Particular attention will be paid to the functioning of justice houses and to supporting their domestic violence tasks.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u39	Thank you, Minister, for your detailed and very interesting answer. I did indeed ask my question in an interview in De Standaard, in which a magistrate, someone with knowledge, makes some interesting suggestions. That's what I wanted to question you about. Training through the IGA is, of course, essential, but I also believe that good practice should be exchanged. For a starting magistrate the theory may be known, but the practice is something else. The exchange of experiences and networks will therefore certainly be a major added value. I therefore welcome your confirmation that this is already happening in practice. I am aware, however, that it is difficult to collect the figures requested within the time frame of an answer to an oral question; I would like to read that if it is delivered to me in writing. According to your first impression, the figures are certainly rising between 2016 and 2020. It is important to be able to establish from the figures that the instrument of the temporary house ban is increasingly being used in practice. In this way we can also see which arrondissements, in relation to others, are lagging behind. It is an ideal tool to deal specifically with intra-family violence. So I will certainly continue to analyse the figures thoroughly.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u40	Madam President, Minister, about 10 days ago I read in the newspaper: "Justice is finally going to measure its backwardness'. When reading that head I did frown the eyebrows anyway. To date this has not been possible, because of a mess of criteria and definitions. The problem of legal delay is not new. We have talked about this several times in this legislature. It is a problem that has existed for decades. In 2008 there was a lot to do about this, the Verhofstadt government was then "alleged" to have given birth to a monster with the law against the delay in justice. Then a newspaper said: "If you are involved in a lawsuit, you must wait even longer at most courts and courts of appeal. In some courts the deadlines have even doubled." Minister, over the years little or nothing has changed. I have pointed this out several times. However, I am surprised that it is now said that measuring is not possible. In the written preparation of this interplay, I refer to the report of the Supreme Court of Justice in the Bakelmans case, which gives a very detailed overview of the duration of the criminal proceedings currently pending before the courts of appeal. It is about an overview for the period 2015-2018. However, according to your statements, there are no reliable figures available. Minister, you have quite rightly declared your desire to clarify the backlog of Lady Justitia. The cooperation protocol with the College of the courts and courts agreed to improve statistics. As from 1 January 2022, you want to start with a zero measurement, as I understand it, of the extent of the delay, based on a uniform definition. From then on, the evolution of the backlog will be monitored. Mr Minister, I would like to return to your first statement of policy, the one of 2020, in which you say that you want to tackle and resolve the problem of the delay in justice. But that approach presupposes that you have reliable figures, if you want to do so on the substance. I think that is a little inconsistent with what you have recently announced. I assume that initiatives have already been taken to deal with the legal backlog. Hence my questions, Minister. With your approval, Madam President, I refer to my written questions. I will not read them all but I assume they will be included in the report.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u41	Mr Minister, I have indeed tabled a question on the same subject. I'm looking at this zero measurement, the method and why they chose to launch it during the corona crisis. I also refer to my question.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u42	Madam President, Mrs Dillen, I will try to answer your questions so fully and I will come back to specific questions. In the cooperation agreement concluded by the College of Courts and Courts and myself last summer in the context of the refinancing of justice, we expressly agreed on our question that the College would draw up a zero measurement of the extent of the backlog throughout the organisation. It is up to the College to define the parameters and collect the necessary data. With regard to your specific questions, the College answers me as follows. We are currently in the stage of preparation. So it is not yet possible to answer the many detailed questions. Several parameters are currently being examined according to the College. In addition, indicators are targeted such as average lead time, the size of pending cases, whether or not combined with the average outflow. It is also considered whether the delay should not be examined by law rather than by court, because the average lead times within a court may vary considerably by type of case. Finally, a final methodology will soon be submitted to the College for validation. Over the past decades, there have been different definitions or indicators to measure the backlog. For example, in 2001, the legislator still used the fixation period as a standard, which is no longer relevant as a result of an amended procedural rule. In the 2016 report on the courts of appeal, the Supreme Court of Justice looked at the ratio between output and input, the number of pending cases and the rotation time of pending cases. According to the European Court of Human Rights, delay is the treatment of a case which has not taken place within a reasonable period of time, taking into account the complexity of the case, the behaviour of the claimant, the behaviour of the national authorities and the interest of the claimant. The European Court therefore has a global lead time. In the past, the operational reports have also used neither clear definitions nor uniform measurements to determine the legal delay. All this makes it difficult to compare cross-sectionally. The College has therefore been asked to formulate uniform definitions. Of course, this does not exclude several indicators. Indeed, delays can be viewed as a problem of slow lead time, but also as a problem of stock of pending cases. This College is working on that now. After the zero measurement it will be examined which follow-up will be given. Then the priority of the exercise will also be agreed. No frequency has yet been determined, but the aim of measuring the delay is to link monitoring to this. The question of backwardness deserves all the attention. It was therefore decided to identify the delays of the entire organisation, despite the difficult working conditions in this corona crisis. In addition to the uniform definitions, it also concerns the use of uniform counting and recording rules for the maintenance of lead times in pending cases. Different parameters will therefore be examined. With regard to your second and third questions, Mrs Dillen, the backlog that has been built up until 31 December 2021 will not have disappeared from the zero measurement that will be organised in 2022. The delay will therefore be taken into account until 31 December 2021. As I said earlier, I note that in the past different definitions and criteria of backwardness were used and therefore there was no clear understanding. This does not rule out the fact that every ad hoc measurement did give an idea of the possible delay in certain courts. However, it is difficult to compare the different measurements. For example, the number of cases pending has often been mentioned, but it is not because a case is pending that it is lagging behind. The same applies to lead times. When parties ask for a long conclusion period, which means that they themselves extend the lead time, this does not mean that the courts are lagging behind. A good definition is therefore necessary. The figures referred to in the Bakelmans report on the lead times in the courts of appeal. These are reliable figures, but the lead time is the time between bringing a case and the final decision of the court. Figures of lead times cannot be equated with figures of legal disadvantage, but it is true that long lead times are, of course, an indicator of legal disadvantage. Mrs Dillen, I understand that your sixth question is prompted by the concern that Justice still does not have a precise view of the legal backlog in 2021, but you will certainly agree with me that we are not going to sit down in the meantime and that we are taking targeted measures. I do not need to have precise figures to conclude that there is a legal delay, when a date of treatment is only set three years after a file is submitted to the court or court. That's obvious. I have also said in policy papers that I want to deal with this delay, because justice delayed is justice denied. What efforts do we make? We want to use more people and resources for the magistrate. These are 1,400 additional people for Justice this year and next year, the most important part of which is the magistrate and the staff, but the additional recruitment of magistrates and supporting staff alone will not change things enough. Justice needs to get smarter, too. We are going to do that by digitizing and by other work processes. I am looking, for example, at the implementation of the parquet of Limburg and SAMEN in Antwerp. There is also the OMS system, which stands for immediate friendly settlement. A public prosecutor guarding his front door is a crucial fact to avoid later delays in courts and courts. With the extra budget and the additional recruitments, we certainly focus on avoiding and eliminating the biggest backlog, particularly in the Brussels appeal court. I also refer to the rich debates we have had in the context of the policy paper and its discussion. At that time we agreed that additional recruitment alone would not suffice. All actors must assume their responsibilities in this respect. As far as Mr Dillen's seventh question is concerned, the existing measurements are mainly about pending cases and lead times. These measurements still need to be refined. Especially around pending cases are not all registrations uniform yet. The previous measurements of backwardness in the past were often ad hoc measurements. In many cases, these were caused by a specific problem, either in the court concerned or in the case of that particular type of court. With the definition of backwardness and zero measurement, the aim is for the first time to achieve a global and transversal exercise. Mrs Van Vaerenbergh, the College will take into account the corona crisis in the preparation and exercise.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u43	Thank you, Minister, for your detailed reply. Of course, I agree with you that the delay deserves a great deal of attention. It is not because a case is pending that this also means that there is a delay. Much depends on different factors, first and foremost on the attitude of the parties themselves. You have already said it, but this may be emphasized. In some cases there are far too many and far too long deadlines for conclusion, which means that the matter is postponed, consciously or unconsciously, I leave that in the middle. What worries me is that zero measurement should start on 1 January 2022. We're now December 20, 2021, so that's in ten days. There are still some holidays in between. The College is still in preparation. Several parameters still need to be investigated. The average lead time depends on the nature of the case. It is quite logical that the complexity should be taken into account. But, if I understand correctly, we still have to lay down the criteria, even though they have been working on them since the summer months. There is now a need for uniform definitions. So I would have liked to have an answer to the question whether the College will be done with this, so that this can actually start on 1 January 2022. I also have a motion of recommendation.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u44	There are still many questions about the criteria and the working method. Those discussions on which working method should be used have been conducted in every intention to start a workload measurement. Hopefully we will get out of the stage of discussion on which working method and definition should be used to measure the workload. The zero measurement is set to start on 1 January. Today is December 20th. There are still many gaps to be filled, at a time when we will be working much slower, starting next week. The zero measurement will start on January 1, in full corona time. It is logical that in these times we have a little more time lag than in normal times. Afterwards it can be removed a little faster, when everyone can work on a normal working rhythm again. So there are still some questions about timing. We are following it further and hope that progress will finally be made.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u45	At the end of this discussion, further motions were tabled. In conclusion to this discussion, the following motions were tabled. A motion of recommendation was tabled by Mrs Marijke Dillen and reads as follows: "The Chamber, heard the interplay of Mrs Marijke Dillen and the reply of the Deputy Prime Minister and Minister for Justice and the North Sea, - whereas the problem of the delay in justice has been a problem for many years and has already been announced by the then Prime Minister during the 1999-2003 administration that it would be finally resolved; - whereas since then, however, the problem has only escalated rather than been tackled and resolved; - whereas in principle the content of the Justice Policy Declaration in December 2020 meant that all the problems facing the Justice Department over the last 20 years would be resolved in this legislature, all the more so as a separate reference was made to the (size of the) legal backlog; - having regard to the fact that the causes of the delay in justice are rooted in all kinds of factors, including the lack of clerks, magistrates, professional equipment, digital progress,...; - whereas the Minister of Justice now appears to be suddenly changing methodology and, unlike previous (policy) statements and analyses, a zero measurement would be carried out from 1 January 2022 in order to identify the legal backlog; - whereas a change in methodology should not result in a decades-long problem rather than a solution being put back on track; asks the government an immediate, well-thought-out and functioning overall plan, both in the short, medium and long term, addressing and finally eliminating the causes of the delay in justice, and thus ipso facto the delay in justice itself." A motion for recommendation was tabled by Ms Marijke Dillen and reads as follows: "The Chamber, having heard the inquiry of Mrs Marijke Dillen and the response of the Deputy Prime Minister and Minister of Justice and the North Sea, - Considering that the problem of the backlog has arisen for years and that its final resolution had already been announced under the 1999-2003 legislature by the then Prime Minister; - Whereas, since then, the problem has only worsened rather than been taken by arm and solved; - Considering that the contents of the political orientation paper presented by the Minister of Justice in December 2020 announced that all the problems that have been faced by Justice over the last 20 years would be resolved under the current legislature, and in this regard referring in particular to the problem of (the extent of) the backlog of cases; - Whereas the causes of the backlog arise from a number of factors, including the shortage of registry staff, the lack of professional equipment and the lack of digital progress; - Considering that the Minister of Justice seems to change the method suddenly and would, contrary to what had been announced in previous analyses and policy statements, zero from 1 January 2022 in order to map the backlog; - Whereas a change in method cannot have the effect of repelling a problem which has arisen for decades rather than solving it; asks the government to draw up an immediate, thoughtful and effective comprehensive plan, both in the short, medium and long term, addressing the causes of the backlog and, consequently, the backlog itself in order to eliminate it definitively." A simple motion was tabled by Mrs Katja Gabriels. A simple motion was tabled by Ms. Katja Gabriëls. The motions will be voted on later. The meeting's over. The vote on the motions will take place at a later date. The discussion is closed.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u46	Mr Minister, the final report of the expert panel on cross-border adoption, published on 2 September, revealed a great deal of malpractice. It also contains 20 recommendations to avoid such malpractices. Recommendations 16, 17, 18 and 19 should be considered at federal level. I read recommendation 16: "The expert panel recommends extending the possibilities for recovery in criminal law and ensuring effective enforcement of law." The possibilities for recovery in criminal law, civil liability law and personal and family law are actually too limited and not sufficiently focused on the needs of the victims. The expert panel is also not aware of any case law applying the penal provisions relating to adoption. Recommendation 17 reads: "The Expert Panel recommends that the revision of adoption and other alternatives be developed more concretely and in a more balanced way as a means of recovery." Recommendation 18 reads: "The Expert Panel recommends that adoptions from the past should at least be subject to an exceptional possibility of regularisation whereby identification data such as the name, place of birth and date can be easily adjusted." The revision of the adoption is intended as a correction mechanism in the event of serious problems in the event of the sale, kidnapping, or trafficking of minors, without which the child would not have been adopted at all. The expert panel has no knowledge of such a review. According to the Panel, the review procedure has also been incompletely developed. Nor are the consequences of a review for the families, the adopted and the adoptive parents determined. Recommendation 19 is in line with the questions I have tabled, in particular, firstly, whether you will consider with the Flemish Government how a recovery law can be drawn up at federal level. I also urge that Belgian actors be held responsible for malpractice. The establishment of a protocol is necessary so that actors can be effectively prosecuted. With an extension of the limitation period, past malpractices can also be prosecuted. Will you also introduce remedial measures through civil liability law and will you extend the limitation period for that purpose? Will you complete the review procedure and provide for a possibility of regularisation, whereby identification data such as the name, place and date of birth can be easily adjusted?
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u47	Colleague, I have taken note of the expert panel's report on cross-border adoption. I am, of course, aware of the situation. The federal government is not the only one competent in the field of adoption. In Belgium, adoption is both a federal matter and a community matter. The Federal Central Authority and the Central Authorities of the three Communities have distinguished and defined powers. The cooperation agreement concluded between the various competent authorities established the Commission for Consultation and Follow-up on Adoption. Your questions, which concern each of the competent authorities, will therefore be discussed at the next meeting of the Commission for Consultation and Monitoring on Adoption. The demand for a recovery act and remedial measures is therefore not currently being addressed. Consultations must first be held in the aforementioned committee. As far as criminal law is concerned, I would like to refer to the answer to the written parliamentary question No. 761. As can be seen from COL1/2015 and COL13/2018, the public prosecutor, in particular the magistrate responsible for trafficking in human beings and trafficking in human beings, paid a great deal of attention to the phenomenon of illegal adoption. Illegal adoption can be a form of trafficking in human beings if the purpose is to exploit the person. The adoption or attempted adoption with a deceptive intent in breach of the legal provisions and acting as an intermediary may be criminally prosecuted as trafficking in human beings or assistance in illegal entry, residence or the illegal transit of foreign nationals. It is true that Articles 391quater and 391quinquies are hardly used. These are not aimed at the authorities legally responsible for adoptions in Belgium, but only at the candidates and non-approved intermediaries. The legislator has not provided for a specific sanction for the official authorities or for the approved adoption services, since it is the legal bodies which are responsible for the adoption arrangements established by the Communities. The legislator did not consider that these persons would wipe the floor with the legal provision, as it is their core business to respect them in principle. Finally, it would seem a priori appropriate to extend the time limit for the provisions of Articles 391quater and 391quinquies. However, since such facts are linked to false identity and false documents still being used at the time of the investigation, it is possible to rely on the ongoing crime of falsehood and use of false documents to prevent limitation periods. The extension of the limitation period therefore makes little sense in practice. The issue will also be discussed further in the Consultation and Follow-up Committee.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u48	Minister, you say that the matter will be discussed by the Commission of Consultations and Follow-up. That is understandable, because there are different actors at the table, and that needs to be looked at together. You also say that the drafting of a protocol or the drafting of a recovery law is not the issue. That's kind of short notice. Of course, there is a need to discuss the content, but you do not want to discuss such texts until they have been discussed, while the report makes clear recommendations on the content. That is why I will table a motion on this subject, asking the federal government to draw up a recovery bill, to draw up a protocol and to extend the limitation periods.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u49	At the end of this discussion, further motions were tabled. In conclusion to this discussion, the following motions were tabled. A motion of recommendation was tabled by Ms Katleen Bury and reads as follows: "The Chamber, heard the interplay of Mrs Katleen Bury and the reply of the Deputy Prime Minister and Minister for Justice and the North Sea, - whereas on 2 September 2012 the final report on cross-border adoption was published with 20 recommendations to avoid malpractice; - whereas a number of recommendations should be considered at federal level. In particular: Recommendation 16: The Expert Panel recommends extending the possibilities for recovery in criminal law and ensuring effective enforcement of the law. Recommendation 17: The Expert Panel recommends that the review of adoption and other alternatives be more concrete and balanced as a means of recovery. Recommendation 18: The Expert Panel recommends that adoptions from the past should at least be subject to an exceptional possibility of regularisation whereby identification data such as the name, place of birth and date can be easily adjusted. Recommendation 19: The Expert Panel urges the Flemish Government to put the previous recovery measures on the agenda and to submit them to the Consultation and Follow-up Committee, as provided for in the Cooperation Agreement of 12 December 2005, so that a recovery law can be adopted by the federal legislator as soon as possible. - whereas the possibilities for recovery provided for by criminal law, civil liability law and personal and family law - such as the revision of the adoption or the improvement or modification of civil status documents - are too limited and do not adequately address the needs of theadoptists. There is no known case-law applying the penal provisions relating to adoption (Article 391quater and 391quinquies Sw.); - Whereas, for past adoptions, provision should be made for an exceptional possibility of regularisation whereby identification data can be easily adapted; - whereas the possibility of revising adoption - as a correction mechanism where there have been serious problems in the development of adoption - has never occurred in Belgium and has also been incompletely developed; asks the government - to enter into early consultations with the Flemish Government so that a recovery law can be drawn up at federal level (cf. Recommendation 19); - to ensure that Belgian actors can be held responsible for malpractice by actors in the country of origin when the malpractices are attributable to the Belgian actors and to draw up a protocol so that the prosecution of these actors can be effectively applied within the existing criminal law framework; - extend the limitation period so that past malpractice can be prosecuted; - introduce remedial measures through civil liability law and extend the limitation period; - complete the review procedure and provide for a possibility of regularisation whereby identification data such as the name, place of birth and date of birth can be easily adjusted.' A motion for recommendation was tabled by Ms. Katleen Bury and reads as follows: "The Chamber, having heard the inquiry of Ms. Katleen Bury and the response of the Deputy Prime Minister and Minister of Justice and the North Sea, Whereas the final report on intercountry adoption has been published and contains 20 recommendations aimed at avoiding abusive practices; - Whereas a series of recommendations should be considered at the federal level and in particular: Recommendation 16: The panel of experts recommends that the possibilities for redress in criminal law be expanded and that effective compliance with the law be ensured. Recommendation 17: The panel of experts recommends a more concrete and balanced elaboration of the revision of the adoption as well as the possibilities for redress. Recommendation 18: The panel of experts recommends that adoptions carried out in the past should at least have an exceptional possibility of regularisation providing for a simple procedure for adjusting the name, place and date of birth. Recommendation 19: The panel of experts insists that the Flemish Government should include in its agenda the above-mentioned reparation measures and submit them to the Conciliation and Monitoring Commission, as provided for in the Cooperation Agreement of 12 December 2005, so that a law on reparation can be adopted quickly by the federal legislature. - Whereas the possibilities for redress provided for in criminal law, civil liability law and personal and family law, such as the revision of adoption or the improvement or modification of civil status acts, are too limited and insufficiently adapted to the needs of the adopters. A case law applying the penal provisions on adoption (article 391quater and 391quinquies of the Criminal Code) is not known; - Whereas, for adoptions carried out in the past, provision should be made for an exceptional possibility of regularisation allowing a simple adjustment of the identification data; - Whereas the possibility of revision of adoption – as a mechanism for correction in the event of serious problems arising at the time of adoption – has not yet taken place in Belgium and is moreover insufficiently developed; asks the government - to intervene quickly in consultation with the Flemish Government so that a law on reparation can be drafted quickly at the federal level (cf. Recommendation No. 19); - to ensure that Belgian actors can be held criminally responsible for abusive practices in the countries of origin where such abusive practices are attributable to Belgian actors, and to draw up a protocol for the prosecution of such actors within the existing criminal framework; - extend the limitation periods so that past abusive practices can be prosecuted; - introduce remedial measures through civil liability law and extend the limitation periods here too; - to elaborate in its entirety the revision procedure and to provide for a possibility of regularisation allowing the simple adaptation of identification data such as name, place and date of birth." A simple motion was tabled by Mrs Katja Gabriels. A simple motion was tabled by Ms. Katja Gabriëls. The motions will be voted on later. The meeting's over. The vote on the motions will take place at a later date. The discussion is closed.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u50	Minister, a few days ago you signed an extradition treaty and an agreement on mutual legal assistance with the United Arab Emirates. This treaty will have to help you to get some key figures out of the Sky ECC investigation that appears to be hiding in the United Arab Emirates. Federal Attorney Van Leeuw, who was also present, stated that this is an indispensable asset to combat transnational crime that benefits from the negative aspects of globalisation. These are legitimate objectives, and I wish you every success in doing so. Hopefully, however, we cannot believe the headlines of the following day. A journalist who specializes in tracking all these drug files immediately said that this is going to be a little late and that the big men are no longer in Dubai, but in Turkey. That's a clear warning not to be too quick to crow victory. I hope you're working on that, too. I would also like to refer to the questions I have put to you in writing. However, I have an additional question, namely whether contacts have been established with Turkey.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u51	Minister, you recently signed an extradition treaty in the United Arab Emirates, together with the federal prosecutor. That treaty should make it easier for drug criminals to be extradited to our country. That would be a good thing for everyone at first, especially in the context of the Sky dossier. After all, Dubai has been a magnet for a certain category of people who prefer not to get too many questions about how they have built up their capital. The Emirates have not always worked well on extradition in the past either, but they have recently extradited a number of criminals, even without an extradition treaty. That raises a number of questions. Apparently, they began to realize that it wasn't the free port they thought was going to be. As a result, a number of drug criminals have since left Dubai for Turkey, when they found that they were not completely inviolable. This makes the signature a good story in itself, but it could unfortunately be less effective than expected. I fear that the terrain will be shifted. To what extent will the new treaty make things smoother than before? Is it true that in the meantime you have also heard or know that some of the criminals involved, who are on your wish list or on that of the parquet, are no longer staying in Dubai, but have been moved to Turkey in the meantime? Finally, is extradition agreements with other countries being pursued? Apparently, they are now a better and safer port for drug criminals. If so, which countries are concerned? Does this happen on the basis of the information obtained from the Sky investigation or on the basis of other information?
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u52	Madam President, ladies and gentlemen, the new Convention on Extradition and Legal Assistance with the United Arab Emirates aims to speed up and improve cooperation in criminal matters between Belgium and that country. Other European states have already preceded us. I refer to Spain, France and the Netherlands. There are several reasons for the negotiations and the signing of the two treaties. In general, crime under the influence of globalisation is becoming more and more transnational. Criminality is becoming less and less at the national borders. In order to combat organised crime effectively, it is therefore necessary to adapt and have comprehensive and well-functioning international cooperation in criminal matters. Moreover, good cooperation with the Emirates appears to be crucial, mainly that criminals actively flee into organised crime to that country in order to escape our justice system. In the case of financial crimes, the proceeds are placed or invested in the Emirates. The EncroChat and Sky ECC operations are two operations in which organised crime has links with persons residing in the Emirates, demonstrating the importance of the Convention on Legal Assistance. The bilateral extradition treaty provides more certainty for cooperation with the Emirates in general. The Convention therefore benefits both the handling of those important files and the handling of other criminal files relating to the Emirates. To your second question, I can answer that because of the secrecy of the current investigation, no specific information can be provided. More generally, however, I can make a few points. Firstly, there are those who we want extradited, either because they have already been convicted in our country, or because there is an ongoing investigation and the investigating judge has sufficient evidence of guilt to issue an arrest warrant. Secondly, it is usually people who have made large sums of money using cocaine scam and who deliberately try to avoid the Belgian justice system. In fact, in some cases we have evidence that they are continuing their criminal activities from the Emirates. Furthermore, we also have credible indications that it concerns people involved in the blind violence in Antwerp. Trying to keep wanted criminals out of the clutches of police and justice is an open door. However, it is our job not to allow them to do so and to try to take them and bring them to justice. That's what we do, wherever they're hiding. I can add that the 1957 European Convention on Extradition applies to Turkey. Mr Dillen, in reply to your third question, the legal aid agreement with the Emirates is necessary, since cooperation between the Emirates and Belgium on mutual legal assistance has been difficult, in that Belgian requests for legal aid have often remained ineffective. In particular, Belgian requests for legal aid were answered regularly with requests for additional information. The same information was regularly requested in those requests. They were mainly related to the completion of formalities. The additional requests were previously considered as a disguised refusal by the Emirates. The Convention on Legal Assistance finally provides us with more guarantees of fruitful cooperation. Under the Convention, both parties undertake to provide each other with the greatest possible legal assistance. It regulates the mutual legal assistance procedure and provides for specific forms of legal assistance aimed inter alia at combating money laundering and organised crime. For example, there are explicit provisions relating to the identification of proceeds and legal and instrumentalities of crime and to the search, freezing and seizure of documents and materials for the purpose of obtaining evidence. The Treaty provides for a number of grounds for refusal. Legal aid may be refused where it is incompatible with fundamental rights in national law, where it relates to political crimes, where the prosecution is motivated by a discriminatory motive, where the application relates to a crime punishable by the death penalty and where the application would affect the sovereignty, security, public policy or the essential interests of one of the parties. Mr De Wit, the new extradition treaty with the Emirates improves the current extradition procedure, as it significantly extends the possibility of extradition between Belgium and the Emirates. The Belgian extradition law does not allow extradition from Belgium without a constitutional basis. That is why we can only offer reciprocity in limited cases. Therefore, in the absence of a bilateral extradition treaty, before the conclusion of the Convention, Belgium could only extradite defendants or convicted persons who were in Belgium to the Emirates for specific crimes, for which there was an international treaty providing for this extradition. For example, these agreements are concluded within the framework of the United Nations to combat corruption, drug trafficking, terrorist financing and organised crime. However, such a treaty basis is not required under Belgian law so that Belgium can request extradition from the Emirates. However, the Emirates have the established practice of demanding a declaration of reciprocity for each extradition. In the absence of a bilateral extradition treaty, Belgium could give this declaration only for the above-mentioned offences which have a constitutional basis. Both actively and passively, only extraditions were provided for in an international treaty. Now that there is a bilateral extradition treaty, both parties have a duty to extradite all crimes that comply with the requirements of the Convention. In addition to extending the possibility of extradition, the extradition procedure for the bilateral convention is regulated in detail. The establishment of an extradition procedure, with the imposition of time limits, will speed up the handling of extradition. For example, provision is made for the possibility of requesting extradition in exceptional cases and exceptional circumstances through any means capable of producing a written document, provided that this is confirmed by a formal request for extradition through diplomatic channels within 60 days. Once the formal request has been sent, the Convention provides for the possibility of direct communication between central authorities. In addition, in exceptional circumstances, the arrest may be requested before an extradition request has been lodged, with the formal request for extradition to be followed within 40 days of the date of arrest. The Convention also includes a simplified extradition procedure if the person concerned agrees to the extradition. In short, the detailed elaboration of extradition procedures, including deadlines, will lead to faster handling. Mrs De Wit, as regards your third question, an extradition treaty is currently under negotiation with India. The modernisation of the existing Convention is also under way with Thailand. This is not done on the basis of information obtained from the Sky ECC study.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u53	Thank you, Minister, for your detailed reply. With this treaty, you hope to gain more certainty and a better guarantee of fruitful cooperation with the Emirates. It was not always obvious in the past, as the information shows. When will that treaty come into force? I trust that, like any treaty, it will first have to be ratified by Parliament. When do you wish to come to Parliament with this?
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u54	Thank you, Minister, for the answer. It is a good thing that this is being developed further. It's just too bad it looks like some of us are going to get away with the dance after all. I think it will be a constant task and mission to act proactively and quickly, including for other countries. I look forward to the approval of this treaty.
