ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u1	I would like to wish you all the best for 2021.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u40	Mr Senesael, I wish you a very happy year and I would like to say a little bit about it; I would like to express to you my full solidarity following the news a few weeks ago; I had not yet had the opportunity to do so. Like you, Mr Senesael, I regret that Belgium has once again lost five places and is only in the fortieth position in this ranking. In particular, we are ahead of Brazil and Romania, which are not known to lead a strong climate policy. This classification was based on data on energy consumption, renewable energy and greenhouse gas emissions for 2018. These data account for 80% of the score, while the remaining 20% are based on a qualitative assessment of climate policy. In other words, the bad score is a legacy and it is far too early to see the strengthening of federal climate policy produce effects at the ranking level. This does not detract from my motivation to make every effort to ensure that Belgium achieves a better score in the years to come. It is possible to build on cooperation and an effective policy between the various ministers responsible for energy and climate in our country. We can improve our score on many indicators by reducing greenhouse gas emissions faster, investing more in renewable energy and reducing energy consumption. It should be noted, however, that the methodology used is somewhat unfavourable to small countries with a large industrial sector. To the extent that our energy consumption and greenhouse gas emissions per capita are above average, we are therefore going to achieve even longer less good results for two indicators. With regard to the recovery plan, Europe is very clear: at least 37% of investments must benefit the climate and the plan must contain reforms to address, in particular, the weaknesses of our climate, environmental, mobility and fiscal policy. We are all on the same line in this regard within the federal government, and in particular with the Secretary of State for Recovery. In this context, I will also insist with my colleagues in the weeks and months to come that the green part of the investment plan goes beyond the minimum threshold imposed by Europe. Indeed, it is now clear that if we wanted to, we could devote the entire European budget to useful green investments, such as the renovation of buildings or a better infrastructure for sustainable mobility, as many investment projects are introduced. Finally, as mentioned in response to another question raised today, our will is to conclude a new cooperation agreement before the Climate Conference to be held in early November in Glasgow. It was a commitment made by each of the entities during the meeting of the National Climate Commission on 3 December that was convened under my chairmanship. For this year 2021, the Presidency has moved to the Walloon Region, which means that the negotiations will be conducted under the leadership of the Walloon Minister responsible for Climate, but of course I will be fully committed to its completion.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u41	Mr President, first of all, I would like to express my sincere and warm thanks to the Minister for her delicate attention to me, which is of particular interest to me. Minister, of course, I was able to see and understand with you that the score was a legacy. However, everything needs to be done – and you have made it clear and I thank you – to improve this ranking. Therefore, the synergies to be implemented must be with the federated entities. The recovery plan is, of course, an important cornerstone and must contain reforms to improve climate and environmental indicators and we know that we can count on your determination to achieve your goals. On the other hand, I can only commit you, invite you and collaborate with you to pursue ambitions and commitments upwards in order to achieve or exceed the objectives set. To come back and conclude the reply with an element developed in the previous questions, it seems to me that the thematic governments referred to can contribute effectively to achieving these different objectives. Thank you.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u42	Mr. Chair, Minister, the OECD report released on December 7, 2020 points out that approximately 70% of fine particulate emissions from thermally driven vehicles are due to the wear and tear of brakes, tires and road coverings. The report also states that emissions from this type of phenomenon are likely to increase in the coming years, along with the increase in demand for urban passenger movements, which is expected to double by 2050. It is now established that exposure to fine particles can be associated, inter alia, with the development of cardiovascular, respiratory and developmental conditions, thereby contributing to an increased risk of mortality. Minister, we know your willingness to reduce the exposure of our fellow citizens to fine particles. Can we have your feedback on the phenomenon mentioned in the OECD report? Has it or will it be discussed with the Minister in charge of Mobility and with the heads of the federated entities in order to see how these different potentials can be improved? Your policy brief and policy brief mention a number of ambitions to promote the use of low-emission motor vehicles. For its part, the OECD report draws attention to the fact that, while the use of electric vehicles is now widely regarded as an effective solution to reduce exhaust emissions, it does not offer a substantial advantage in terms of reducing emissions from the wear and tear of brakes, tires and road wear. Can we know, on the one hand, whether the ambitions I have just mentioned concern electric vehicles and, on the other hand, whether they take account of emissions not due to exhaust gases? Finally, the OECD report mentions a series of policy responses to this issue. Can we have your point of view on this?
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u43	Dear colleague, I thank you for bringing this report to the fore and for drawing my attention to it. In general, I share the concern in the report that non-exhaust emissions contribute to air pollution. European regulations impose increasingly strict limits on exhaust emissions and better implementation of these limits. In terms of emission proportions, we can consider that the share of non-exhaust emissions, especially those you refer to, which is associated with brake and tire wear, will represent an increasing proportion of the total emissions associated with the use of a vehicle. During the discussions on the revision of the Euro standards which will begin this year, in consultation with my colleague from Mobility and my colleagues from the Regions responsible for this matter, I will ensure that I support an ambitious framework for non-exhaust emissions and encourage the development of solutions to reduce these emissions. I have not yet discussed this issue with my colleague Minister responsible for Mobility, as regards your second question, or with the heads of the federated entities, but this will be discussed at the Belgian position coordination meetings on the new Euro standards. The emissions of electric vehicles are part of the general zero emission problem, even if they are not the main emitters to be targeted as a matter of priority to date. As far as tyres and roads are concerned, road users' safety should be ensured by optimising the adhesion of tyres to new road coverings while minimising the sound emissions of tyres. An existing label, as set out in Regulation 2017/1369, is being revised and will soon be adopted. In a non-exhaustive way, I will support at European level the development of an ambitious framework for non-exhaust emissions and will encourage the development of solutions to reduce them. As for the political recommendations that you are referring to, I analyse them with my services to see how they can be implemented, before I say so here.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u44	Thank you, Minister, for your interest in this issue, which, over time, may become increasingly important. I thank you, of course, for the follow-up with your colleagues, mainly those of the Mobility of federated entities. I stress the ambitious framework that you want to set aside for the elements contained in the question. I look forward to seeing in the coming weeks the political answers you will have to this problem. With your permission, I will allow myself to ask you again later. Thank you again for your involvement in this matter.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u45	Minister, in the Global Statistics Partnership's report, it is noted that the evolution of the amount of electronic waste generated annually worldwide follows a rising trend: 44.4 million tonnes of waste were estimated in 2014 to reach 53.6 million in 2019 and 74.4 million tonnes announced for 2030. This phenomenon is accompanied by an increase in the quantity of waste released into nature. These are often composed of toxic or dangerous substances (mercury, brominated flame retardant, chlorofluorocarbons, hydrochlorofluorocarbons, etc.).Their release poses risks to the environment, climate and human health. According to this report, the mass of electronic waste produced in Belgium in 2019 is estimated at 234 tonnes. Minister, can we have your feedback on this issue? I was, along with other colleagues, on the initiative of a motion for a resolution on the circular economy. It is known that the planned obsolescence seems to be a factor in increasing the number of electronic waste in the world and in Belgium in particular. Have there been any exchanges within the government to counter this phenomenon? Are initiatives and commitments envisaged at national and European level?
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u46	Mr Senesael, in fact, the model of linear production and consumption, i.e. extracting, producing, consuming, discarding, is responsible for major social and environmental impacts: the use of resources, greenhouse gas emissions, pollution and the production of more or less hazardous waste. In order to act at the very beginning of the production chain, my colleague from Health and I have, from the very beginning of our taking up office, transposed into Belgian law delegated Directives 2020/360-361 and 364-366 limiting the use of certain dangerous substances in electrical and electronic equipment. The transposition had been delayed since the previous government was in day-to-day business. For us, the fight against electronic waste is part of a broader policy of waste reduction and resource efficiency. To do this, I will propose, in consultation with my federal colleagues, a plan on the circular economy. We are working on this with my colleague Dermagne. In addition to the action of the Regions, our objective will be to activate the federal levers to promote a transition to a circular economy that maintains the longest running materials in the economic circuit. The federal plan will focus on a consistent product policy, product standards and longer product lifespan. I am thinking in particular of the criteria of repairability for specific products in the fight against programmed obsolescence or the introduction of a longer legal guarantee period. The European Union has set ambitious targets for the collection and recycling of waste electrical and electronic equipment in accordance with EU Directive 2012/19. At the international level, the Union has also played a key role in the development of guidance under the Basel Convention on the environmentally sound management of wastes and capacity-building, including on electronic waste. The Union also contributes to initiatives supporting sound e-waste management, including the SWITCH Africa Green programme, which supports business-led green economy initiatives, including e-waste management. Horizon 2020 – E-waste Implementation Toolkit with Africa in 2017 aimed to support recycling strategies in metropolitan areas of Europe and Africa. Initiatives such as Close the Gap and WorldLoop are aimed at responsible end-of-life treatment of computers provided by donation programs. The WEEE Directive also contains criteria guiding law enforcement authorities to distinguish between used EEAs and waste in order to combat illegal transfers. With my administration, I am obviously this European issue very closely.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u47	Minister, thank you for this very precise and comprehensive answer. I would also like to thank you, together with your colleague, for taking the initiative to transpose the European directive into Belgian law. You have pointed out a fairly substantial delay explained in part by the current affairs of the previous legislature. I am also very pleased with your involvement and your willingness with your colleague Dermagne to implement this circular economy plan. I am also of the opinion that it is important to activate the levers that are at your disposal and that can be activated at the federal level to promote, on the one hand, the relevance and performance of the circular economy in this field, and, more particularly, the attention that can be devoted to the treatment of electronic waste. I therefore believe that your willingness to achieve tangible results reinforces us in the idea that you will continue an interesting work.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u48	Mr. President, Madam Minister, a study published in the scientific journal Nature Ecology & Evolution on November 2, 2020 raises the negative impact of sources of artificial night light on wild organisms and ecosystems, in particular because of the central role played by luminous regimes in determining the moment of biological activity. This study, which builds on the results of 126 scientific publications, each focusing on a limited number of living species, points out that "artificial light emitted at night particularly alters the physiology and behaviour of organisms by affecting hormone levels, the onset of daily activity, diet and phototaxy, but generally with a less significant impact on responses of particular communities, such as abundance and species richness". Kevin J. Gaston, one of the authors, adds that the effects of this light pollution can be observed at different levels in the affected ecosystems: in the microbes, the plants whose seasonal cycles are disturbed, insects and animals. Minister, can we have your feedback on the results of the study? Can you inform us about the impact of light pollution on biodiversity in Belgium? Are there any initiatives to address this issue?
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u49	Mr President, Mr Senesael, I share your concern and your analysis. Light pollution has a major impact on biodiversity, species and ecosystems. However, the management of this problem is the responsibility of the Regions. I can therefore only refer you back to my fellow Ministers of the Environment at regional level. I would be curious to know what answers they will bring to your questions.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u50	Madam Minister, thank you for your answer. With my colleagues, I will certainly address this question to your regional counterparts. We will keep abreast of the follow-up on this file.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u51	Minister, a study of children living in Strasbourg has shown that there are large amounts of nanoparticles in their bodies. The study links the presence of these particles in children's organisms to the proximity of a road axis. The toxicity of these particles is now recognized: they significantly increase the risk of cancers, cardiovascular diseases, respiratory problems and can be transmitted from mother to fetus. One of the main causes of nanoparticle emissions is air pollution from diesel engines. Minister, can you inform us about the impact of this environmental phenomenon on Belgian territory? Are there any initiatives to combat it? In your policy note, you announced that you wanted to study, together with your competent colleagues, "the presence on the market of affordable cars whose life cycle shows as small an ecological footprint as possible (...), so as to extend the 'zero emission' standard on site to 'total emission footprint clearly reduced' per vehicle". Can you inform us of the progress of this initiative?
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u52	Mr Senesael, in Belgium, the European Environment Agency calculated that concentrations of fine particles had caused the premature death of 7,600 people, that nitrogen dioxide would be responsible for 1,600 premature deaths and ozone of 180 – a total of 9,380 people for these three pollutants in 2016. These estimates can be compared with Sciensano mortality figures. The federal authority contributes to the effort to reduce emissions in the three regions through different policies: product standards, particularly those for heating appliances; implementation of the Eco-Design Regulation, etc. At European level, my administration is also involved in the development of new standards for vehicles, which are more representative of actual operating conditions. With regard to the federal taxation of transport or fuels or the supply of rail transport, I refer you to my colleagues in Finance, Vincent Van Peteghem, and Mobility, Georges Gilkinet. Finally, I look forward to hearing the results of an ongoing study of the SPF Economy, before taking further action with my colleague in charge of economic analysis.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u53	Minister, thank you for your answer. As you pointed out at the beginning of the meeting, some questions are coming late enough, so you do not always have the time and time to provide all the details. I'm well aware of that. Having said that, I will particularly consider two aspects of your answer. First, for 2016, you were talking about 9,380 people who died because of these three pollutants. This impressive figure is almost equivalent to that of the first wave of the covid-19 epidemic. In addition, you mention an ongoing study within the FPS Economy. I know we're not going to ask you questions now. However, it would be interesting, at a future meeting, to see what this study is all about and to know the expected results and the timeline to determine how it can then be used.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u54	Mr President, Madam Minister, on 8 January the European Commission published its second report on the prospects for clean air. Its main conclusion is that the full implementation of the targets set by the 2016 Directive on the reduction of national emissions of certain air pollutants – known as the "NEC Directive" – could reduce premature deaths due to air pollution by around 55% in 2030 compared to 2005. While "since 2000, the European Union's GDP has increased by about 30%, emissions of the main air pollutants have decreased from 10% to 70%, according to the pollutant", says the Commission, which considers that the situation is still "particularly serious" in urban areas, where a majority of Europeans live. In particular, the Commission points out that 22 Member States, including Belgium, have not taken the appropriate measures to meet their commitment to reduce ammonia emissions under the NEC Directive. The report, which makes recommendations based on pollutants, explains that reducing ammonia emissions requires action on agriculture and, in particular, animal feed, management of livestock effluents and the use of fertilizers. The report also considers that it would be possible to take additional measures, compared to those already agreed and announced under existing EU legislation, in particular on methane emissions. Madam Minister, I therefore come to my questions. Have you or your services already been able to read this report? If so, what analysis do you make at this stage? Do you have figures specific to Belgium on premature deaths due to air pollution and on emissions of the main air pollutants in general? Moreover, why did our country not, according to the Commission, take the appropriate measures to meet its commitments to reduce ammonia emissions under the NEC directive? Do you intend to enter into a dialogue on this matter with your colleague in charge of agriculture and possibly with the Regions? Thank you.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u55	Mrs Hanus, as you say, the report was released on 8 January. I hope you will understand that neither my firm nor my services nor myself have yet had time to get to know them accurately in order to respond appropriately. With regard to the specific figures of premature deaths due to air pollution in Belgium, I refer you to my previous answer to Mr Senesael on nanoparticle emissions. Compared to measures relating to the reduction of ammonia emissions mainly from livestock farming, this issue does not fall within the competence of the federal authority under the Special Act of 8 August 1980 on institutional reforms. Federal competence on product, tax or mobility standards allows us to contribute to efforts to reduce the four other pollutants in the NEC Directive: NOX, SO2 and SOV. I invite you to ask me again in a few weeks when we have taken the time to read the report. I thank you, in any case, for putting this important report to the fore.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u56	Minister, thank you for the first answer you give and the doors you open and where I can ask for information. Of course, for my group and for myself, the preservation of air quality is a priority. Whether in town or in rural areas, we are always committed to ensuring that this common good is protected, especially since it is both an environmental and a health issue. I shall therefore not hesitate to return in a more appropriate time and always in a constructive perspective, especially on this subject which is essential for us Socialists.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u57	Mr President, Minister, last month the European Council endorsed the new European climate target for 2030. In doing so, the European Council did not respond to the European Parliament's and the Belgian climate movement's demand for at least 60% emission reduction by 2030, nor to the demand not to use accounting tricks such as carbon sinks, including the CO2 extracted from the air by forests, lakes or other natural elements, in the climate effort. In other words, the European Council also agrees with the latest scientific findings that the EU should reduce its emissions by at least 65% by 2030 in order to achieve the objectives of the Paris Agreement. With the current target of 55 per cent, we are still facing a life-threatening warming of more than 3°C by the end of this century. Madam Minister, is it true that you and this government have been actively advocating not to exceed 55% of emissions by 2030? What was Belgium's attitude towards the use of accounting tricks such as carbon sinks, which would only bring the actual emission reduction to 50.5%? I am not making up the latter, I mention figures from the European Commission itself. Finally, my most important question. How do you justify arguing for a lower target than what is necessary according to science, given the fact that this government is calling itself ambitious in terms of climate?
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u58	Mr President, Mrs Daems, you know that we have welcomed the new European objective, because it represents a significant increase in ambition. The EU wants to reduce emissions within Europe by at least 55% compared to 1990. I emphasise the words "inside" and "at least." Compared to the previous objective, this is a significant increase in ambition of at least 37.5 %. Climate Action Tracker has already published a first pass-through of the objective. It welcomes the increase in ambition, indicates that we are approaching a fork that can meet the Paris climate objective, and that this depends largely on the policy choices we make in the spring on the concrete instruments and measures to achieve the minimum rate of return55 per cent. Climate Action Tracker estimates the impact of carbon sinks through better land use and reforestation at about 2 percentage points and not at the 5 percentage points you indicate. This independent screening also contradicts you that this target would lead to 3 degrees of warming. Within the Belgian context and in consultation with the other entities, we have gone for the maximum achievable. Then I come to the specific questions about our specific negotiating position. As you know, Belgium has focused on cost efficiency and additional flexibility to achieve the collective objectives. Our positions have in no way harmed or curtailed the level of European ambition. The Belgian negotiating position does not contain elements against higher objectives or more carbon sinks during these negotiations. This European increase in ambition is an important step in the right direction. I will, of course, make efforts to exceed the 2030 target at European level, as has now been done with the 2020 targets. In me, you have an ally for a climate policy, which is in line with the Paris climate agreement, Mrs Daems.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u59	Madam Secretary, thank you for the answer. I understand that it is politically difficult in our country to advocate climate objectives in line with the climatic need, but we still believe that you have a duty to do so in the interests of humans and the planet. If we have to wait until a solution to the climate problem is politically timely, then we will be hopelessly too late. Let's tackle the problem at the root. That is for us the mad capitalist system that is not and will never be sustainable. The solutions are well known, Madam Secretary. There's been a bunch of scientific reports lined up for years. It is now a question of applying these solutions and not sticking to accounting tricks. We therefore find it incomprehensible that the system of carbon sinks has been incorporated into the European climate agreement and that the European climate ambition is being further undermined. This is a false communication trick, whereby you make people believe that the EU is going to reduce emissions by 55%, while only 50.5% is going to be reduced. Madam Secretary, we can do better, and I'm sure you know that. You say that you will make efforts to exceed the objectives. I sincerely hope so.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u60	Madam Minister, a number of questions have already been asked on this subject today, but this question has a different approach. In December, you reached an agreement with the Länder on the Belgian position for the negotiations on a new EU climate target for 2030. Apart from the fact that that Belgian position is far from sufficient to achieve the objective of the Paris Agreement, I know that you have had to negotiate with the Flemish Government firmly to reach even an agreement on that target of 55% reduction. What concessions did you have to make to Flanders in exchange for their agreement? We already know that the so-called cost-efficiency and flexibility, whether international or not, were important conditions. Has it also been agreed, for example, that Flanders will have to make less effort than the other regions in the distribution of the increased Belgian objective? Where are the negotiations on the intra-Belgian distribution of climate objectives at the moment? The deadline for this was 1 January 2021. When do you hope to reach an agreement on this? Is the requirement of cost-efficiency that Flanders had advocated for the Prime Minister at European level also included in that intra-Belgian distribution?
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u61	Mrs Daems, several of your questions have already been addressed in a slightly different form today. Let me repeat the answers just to be clear. The Belgian position for supporting the minimum reduction of 55% within Europe depended on two points of interest which Belgium wished to see reflected even more strongly in the Council conclusions. In particular, it concerned the distribution of the objective between Member States on the basis of equity, solidarity and cost-efficiency, on the one hand, and additional flexibility to achieve the objective within Europe, on the other. Contrary to what I read in the press and what the Flemish Region initially asked, it is not about flexibility outside Europe or the purchase of emission credits from outside the closed European emission area. The other entities, including the federal level, have always resisted this. We are talking about flexibility within Europe which makes it possible to achieve the sharp targets without undermining the level of ambition. Belgium's position vis-à-vis Europe is in no way reflected in the intra-Belgian distribution. That is a completely different discussion. Within Europe, we must ensure that our values, our ideas and our interests are taken into account as closely as possible, and the four entities must reach agreement on this. Otherwise, there is no Belgian position. Within Belgium, we must achieve a workable distribution of the benefits and efforts of climate policy, so that families, businesses and local authorities are clear as soon as possible. That is why the National Climate Commission of 3 December 2020 agreed that we would like to negotiate a new cooperation agreement for the Glasgow Climate Conference in early November 2021.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u62	Madam Secretary, thank you for your reply. This is useful information and we will undoubtedly continue to work on it politically. We will continue to monitor the intra-Belgian distribution of the increased climate objectives.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u63	Madam Minister, last month you promised to deliver to Parliament the report of the National Climate Commission meeting of 3 December 2020. But I note that I have still not received the report. Also online I can't find it anywhere. Last time, I also questioned you about the discussions that took place at that time. That is why I am again asking you my questions today. By exactly when can we expect that report in our mailbox? What exactly was discussed at the meeting on 3 December 2020? What were the reactions of the Regions and your own administration to the European Commission's criticism of the NEKP submitted? You are providing for a review by means of an action plan and you have already replied that you do not yet have an agreement with the regions. Perhaps you can already tell us what the views and intentions of the different regions are? What is the state of play with regard to the distribution of revenues from allowances? You have just answered that question in response to a question by Mr Bombled. So this question lapses. How will you improve the transparency and functioning of the NKC?
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u64	Excuse me. I see that part of my answer is in French. Decisions taken at the meetings of the National Climate Commission are available on the CNC portal. Unfortunately, the minutes are not made public because of an earlier decision by the Commission. Some members of the Commission remain opposed to the publication of these minutes and some of these internal communications, such as the synthesis report on climate governance. At present, the CNC's documents made public are essentially limited to official reporting: mandatory reports under European legislation or decisions of the UNFCC. For my part, I am in favour of maximum transparency. I therefore believe that all the work of the National Climate Commission should be made public. I do not lose hope of convincing my colleagues in the Commission to extend its existing advertisements to all of the Commission's work and reports. The main points raised at the meeting on 3 December relate to the follow-up to the Burden Sharing Agreement 2013-2020 (publication of the Annual Implementation Report), the Burden Sharing 2021 2030 (exchange of views on timing and modalities for reaching an agreement), the monitoring of the PNEC (taking into account the evaluation by the European Commission and follow-up actions), the National Adaptation Action Plan (its final evaluation) and governance (follow-up actions of the synthesis report). In connection with the European Commission's evaluation of the NEKP, the various energy and climate administrations of the Regions and the federal government, united in the NEKP Steering Group, have prepared and presented an analysis paper to the Energy Consultation and the NKC, together with a proposal for further steps. The Steering Committee pointed out that the European Commission's recommendations are not legally binding, should be interpreted as guidelines for the further implementation of the NEKP and an invitation to include them in the National Plan for Recovery and Resilience. In addition to the lack of ambition you know about renewable energy and energy efficiency, the European Commission also points to the lack of clarity regarding the renewable energy pathway, including transport with a higher than required blending of biofuels, and the need to intensify measures in the building sectors, including energy poverty. In terms of governance, too, we believe that the European Commission had a series of pertinent recommendations. For example, she pointed out that she does not think the plan is coherent and that, although it is an improvement on the first plan, there is still no integrated and coherent plan based on a common vision. It also highlighted, inter alia, the need for greater coordination and integration of the entity plans and the lack of consolidated, qualitative socio-economic data, which could underpin the assessment of the impact of the planned policies, measures and investment needs. The Flemish Region sees no added value to allow the NKC or the steering committee to work on this subject at this stage. It does not wish to give any mandate in this direction. It is up to each entity to carry out its own implementation work. The NKC therefore only decided to send unidentified cases and some figures corrections to the European Commission in response to the report. There will therefore be no further follow-up actions in addition to these factual corrections and additions. For my part, I will focus on strengthening the federal contribution to the FNEP, and to do so, I intend to count on the contribution of all members of the government and federal departments involved in the implementation of the FNEP's federal policies and measures. As regards the distribution of revenues from the auctioning of ETS emission allowances, we have now reached the end of the previous agreement. It was the burden sharing agreement 2013 – 2020 that set the key for the distribution between the federal state and the three Regions for this period. As of January, there is no longer any legal basis for this distribution, as confirmed by the experts of the Burden working group to the members of the National Commission of 3 December. This issue will be addressed in the negotiations on burden sharing on which the members of the Climate Committee agreed on the goal of reaching a political agreement before the Glasgow COP 26 in November 2021. I intend to contribute constructively to this, in consultation with all the Commission's partners under the presidency of the Walloon Region this year, as I mentioned. I also pointed out, in a previous response, that I had obtained a mandate from the federal government to negotiate the allocation for the year 2021 to allow everyone to finance their climate policies by reaching agreement over the entire period. With regard to the transparency and functioning of the NEKP, during this NEKP there was an agreement to improve the cooperation between the NKC and the Energy Dialogue in a structural way for the follow-up of the NEKP. This can now be worked out in concrete terms within a legal framework. However, there was no agreement within the NKC to improve the transparency of the NEKP. With regard to the federal policies in the NEKP, I would like to take a step further in the area of transparency. It should be possible during the policy cycle to evaluate the measures based on a set of key indicators, the results of which can be reported to the general public and Parliament. In addition, this is accompanied by a response of the departments and trade ministers concerned to ensure the follow-up of the measures.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u65	Madam President, Minister, thank you for the clarification. However, it is unbelievable that the reports of the National Climate Commission still cannot be made public because some members of the committee are obstructed. I therefore hope that you will be able to deliver on your commitment to make the National Climate Commission more transparent.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u66	Minister, as you know, many very interesting and in-depth studies are concerned with the issue of non-system carbon recovery. I've always used the term "carbon valorization." It will be recalled that your ministry has launched a controversy on this issue. What have you undertaken since your installation, with your colleague in Finance, to draft an inclusive environmental policy to encourage virtuous consumption and production behaviour without burdening citizens and businesses with new taxes, as your colleague in Mobility states in principle? What is your goal so that your decisions can still have a quick impact on the decline in emissions? As is well known, in countries where such measures are being taken, the effect is potentialized as a framework for other greenhouse gas reduction processes.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u67	Mrs Marghem, as has already been pointed out, indeed, in the context of a controversy that you mentioned, the federal government intends to use this legislature to advance environmental taxation as part of a broader tax reform, the initiative of which rests with the Minister of Finance, Mr. Van Peteghem. The work done previously under your mandate on carbon pricing – but I will now use your more appropriate term – may be an important contribution to this exercise. We are in contact with the Minister of Finance on this matter. Furthermore, the European Commission is also expecting reforms from our country to give a clearer price signal in relation to environmental pollution. The Commission hopes that the list of these reforms will be drawn up within the framework of the National Recovery and Resilience Plan. I shall once again, together with the Minister of Finance, ensure that these reforms are in the Belgian plan. In terms of timing, I expect climate investment to have a positive impact on emissions in the early years. A positive element in this regard is that these investments by all governments will reduce greenhouse gas emissions in buildings, in public buildings as regards the federal government, but also in transport. On the other hand, a shift in environmental taxation will only have its effect once the overall tax reform has itself been carried out, since environmental taxation will be part of the work initiated by my colleague in Finance.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u68	Madam Minister, thank you for your answer. Again, a situation I know well. We have to work with several people with sometimes different timings, short-term goals that are different. I have no doubt, and I would like you to be the checker of your Finance colleague, who obviously has before him a far-reaching reform, not just on the environment and the protection of the environment, but on other imperatives of simplification for example and fundamental reforms of our taxation. Your subject matter, once again transversal, actually allows you – especially through the letters you sent to your colleagues – to address this issue specifically, since it is a central point in the aid that could be added to all other investment measures taken elsewhere. Unfortunately, at the federal level – knowing that at the regional level, you depend on an agreement and work with your colleagues – it is important to be the postillon capable of leading the carriage quickly towards its objective.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u69	Madam Secretary, yesterday the One Planet Summit on Biodiversity started in France. In addition to the issue of global warming, I think it is right that international summits on biodiversity should also be organised. For a piece, both subjects are also linked together. I am now in good company, in the presence of the current and previous competent minister. It seemed useful to me to look at what we have said at previous summits. Former Minister Marghem announced two concrete things on behalf of our country at a previous biodiversity summit: firstly, support for the protection of the giraffe, which was currently under protection, and secondly, a ban on ivory trade at European level. With this question, I would like to look at the situation. I know that the giraffe is listed in Appendix 2 to CITES, but questions can be asked. In April 2019, an intertwining of ivory trade was approved here in Parliament by law. However, I could not find the publication of that law. Madam Secretary, where are we today? How do you think you can weigh in the debate? What do you intend to do about this in the coming time?
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u70	Mr Verduyckt, I wish you well. The One Planet Summit for Biodiversity took place yesterday, on 11 January 2021, under the chairmanship of French President Macron. Because of the COVID-19 pandemic, my representatives attended this summit online. Yesterday, Belgium strengthened its membership in the Amsterdam Declarations Partnership in a joint statement with the other members of the partnership. This partnership is an important lever to build a dialogue with all stakeholders in the fight against imported deforestation and to better protect biodiversity and valuable ecosystems. I refer to my answers to Mrs de Laveleye's questions on the Amsterdam Declarations Partnership. At the 18th International CITES Conference in August 2019, it was decided to better protect giraffes. That was a big and necessary step in the right direction. The population of the giraffes experienced an alarming decline in recent decades due to illegal hunting and habitat loss. It is important that we continue to move in the right direction together with the international community. There must be an end to the extinction of many species. We need to secure the future of species, especially the future of the most vulnerable species. On your question on ivory trade, I can tell you that I am following this important dossier very closely. It is a long-standing dossier in which Belgium was always in favour of a European approach, as national restrictions lead to the circumvention of the rules by shifting to other Member States. Control of regulation is also very important. Work is under way at European level on a proposal with stricter rules, which hopefully will be finalised quickly. These rules can then be implemented. I myself and my services will continue to work to strengthen the fight against poaching and illegal trafficking.
