ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u1	Mrs. Depoorter cannot be present.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u25	Madam Minister, a UNESCO monitor shows that schools are closed or restricted in 26 countries. This affects about 144,000 pupils or 8.3 % of the total school population. That is worrying, because during the toughest phase of the lockdown in Africa, more than 120 million girls were at home, where they were particularly vulnerable to domestic violence and sexual abuse. Schools acted as an important safety net for the corona crisis. In Kenya, for example, the schools were closed for eight months, where the number of girls' circumcisions, teenage pregnancies and child marriages has increased. The long-term consequences can be considerable. According to UNESCO, 30 million children will never return to school after the covid pandemic. We must, of course, be afraid of that. By providing children with training, they create resilient societies, where one treats one another peacefully. Respect for each other's rights is also taught through education. Madam Secretary, how have you dealt with this in your development cooperation policy? What have you done to ensure that children can continue to go to school? Is there a guide to this concern, which is shared globally? What have you done in practice in your own partner countries?
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u26	Mrs Van Hoof, it became clear from the beginning of the pandemic that the negative effects of COOVID-19 would be felt far beyond the health sector and that society as a whole will feel the consequences. This applies particularly to education. The closure of schools in more than 190 countries prevented millions of children and young people from learning. UNICEF figures show that 24 million of them may not return to school, once the crisis is over. My administration has drawn up a note which has been sent to the posts in our partner countries, highlighting the socio-economic aspects of the crisis. The note is publicly available and is available on the website of the Directorate-General for Development and Humanitarian Aid. The EDUCATE platform also allows for a regular exchange between all actors and Belgian Development Cooperation. Many actions were taken by the members of EDUCATE. Since the establishment of the Global Partnership for Education, Belgium has provided financial support to the fund, which aims to support education in fragile countries. In April 2020, the IGP set up an emergency education fund to ensure continuity of learning, including, for example, the distribution of audiovisual education programmes and school books and the financing of computer equipment for pupils and teachers. 66 funds have been allocated for a total of 467 million dollars. UNICEF, another development partner of Belgium, has also taken measures to reduce the interruption of services, particularly in the education sector, with, for example, the strengthening of the Internet connection, the distribution of school materials and support for the development of appropriate education programmes. The decisions in partner countries to close schools were national decisions, which were not taken at the level of individual schools or universities and to which cooperation programmes had to adapt. In most partner countries, Belgian funds were refocused to deal with the health aspects of the covid crisis. In some countries where Belgian actors in the education sector are active, funds have been refocused on the basis of new needs arising as a result of the crisis. For example, the APE-EFE education programme in Senegal was partially adapted to ensure distance target group training during the COOVID-19 pandemic. In Benin, non-governmental cooperation actors have made adjustments to programmes with a view to raising awareness: washing hands and wearing masks in schools. In Uganda, two projects by Enabel, Improve the training of secondary teachers in National Teachers College and Support to the implementation of the skilling Uganda strategy, were extended and additional resources were made available for the digital transition in education, to make education in times of pandemic even more available. Finally, I would like to point out that, for the new cooperation programme with Niger, I specifically asked the administration to consider whether Belgium could support the education sector, particularly in the field of girls in education, because they are even more affected by the effects of the crisis. I expect the analysis of the administration on this matter in the near future. Just one more add-on. I had a conference this morning with women from Palestine, who also share this concern. We have made a lot of progress in getting girls to go to school. The impact of the crisis means that a lot of children can't go to school anymore, so we need to make efforts now. We have done so now, above all, by introducing and adjusting distance education wherever possible. However, we must bear in mind that we are making additional efforts to ensure that girls will go back to school. We already know that there will be the greatest challenge.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u27	Madam Secretary, you are clearly aware of the fact that the coronacris also has collateral damage and threatens to create a lost generation. I also believe that we will have to make additional efforts and that miracle solutions are not yet available. Distance learning is indeed a good solution but in developing countries not everyone has an Internet connection. It sounds good, but in reality it's hard to realize. It must be a point of attention where we will not only get out as a country, but on which we must look at how we can ensure that those girls who are at school do not become a lost generation in one way or another in the field of education, because where girls are better educated, there is more progress, there is more equality and more respect for women and human rights. At least it's a challenge that we have to think about together.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u28	Debates of the European Parliament 55015002C by Mrs Van Hoof will be converted into a written question.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u29	Madam President, Minister, Lebanon has been going through the most serious economic and financial crisis in its history for several years.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u30	Over the past 12 or 18 months, the situation in the country has worsened further, firstly because of the health crisis and its consequences and, secondly, because of the explosion in the port of Beirut last August. This disaster was the ultimate indicator of the endemic corruption that has been denounced by the Lebanese population since autumn 2019 and has infiltrated all levels of the state's functioning. Some seem willing to do anything to maintain the benefits they derive from the system in place. A new illustration of this was given a few months ago by the Bank of Lebanon's refusal to answer the questions necessary to carry out the judicial audit (or forensic) of the institution on the pretext that a law on bank secrecy would prohibit it. Since then, the case has been stopped. However, this study would be a requirement of the IMF prior to any international assistance being provided. The Lebanese population is, as you know, out of breath and can no longer afford to wait Minister, do you confirm that the IMF conditions the release of aid for the completion of forensic expertise? If so, what initiatives could Belgium take in the bilateral and/or European context to support this request? Could you take stock of the monitoring of Belgian humanitarian aid to Lebanon following the disaster of 4 August 2020?
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u31	Mr Ben Achour, thank you for your question. The political class in Lebanon, dominated by the Shiite Hezbollah party, is very wary of external interference and considers the IMF as a negative influence of the West, which it wants to avoid. The IMF has set transparency conditions for the local banking sector as well as for the provisional government. The creation of an anti-corruption authority is also part of these conditions, as well as a reform of the law on public procurement. These conditions coincide with the road map proposed by France after the disaster in the port of Beirut, with a view to obtaining the structural support of the group of countries that make up the CEDRE Conference. The European Union is a member and supports the reforms proposed therein. Furthermore, it is aware of the worrying state of the country and is very active in this matter. The last joint statement of the Council was addressed to the Lebanese political class on 7 December. The rapid formation of a full-fledged government, with a reform plan that takes into account the aspirations of the population, is at the heart of these concerns. Following the double explosion in the port of Beirut, two conferences on Lebanon were held. Minister Goffin participated in the donors' meeting in August. For my part, I took part in the one that followed in December. Immediately after the disaster, two aircraft carrying emergency medical and humanitarian assistance were dispatched to the area. An additional €6 million was made available, €2.5 million for WFP, €1 million for ICRC and €2.5 million for OCHA. Together with the two million euros already allocated to OCHA and the 1.5 million euros already allocated to WFP, this brought total direct humanitarian aid to Lebanon in 2020 to 9.5 million euros.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u32	Minister, thank you for your answer. You began by referring to the reluctance of Hezbollah, which, along with others, dominates the Lebanese political system, which, as you know, is highly confessionalized. The heart of the local reactor, the institution that is the point of convergence of all corruptions, is the Bank of Lebanon. It has been headed for several decades by Riad Salamé, who is neither a friend of Hezbollah nor of President Aoun. That's why I'd grade that part of your answer a little bit. The religious system in Lebanon has come to an end. It may have been useful at some point in the country's history to get out of the civil war and to restore some balance. In any case, the Lebanese population has been denouncing him every day on the street for over a year and a half. Through cooperation policies, we have leverage to demand precisely and, in my view, in advance the resumption of the Bank of Lebanon's audit. I recall that the international audit firm Alvarez gave up its mission, precisely because of the bad will it attributed to the bank of Lebanon and its director, Riad Salamé. It is when the institution is allowed to make full transparency in its way of functioning that we can begin to talk about the restoration of the rule of law and the fight against corruption in Lebanon, which is a fragile democracy in a region, as you know, very complex.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u33	Madam Chair, Minister, thank you for your flexibility. I have to follow three commissions at the same time and I could no longer find the access code for our committee. At the end of 2020, the European Commission presented its third EU action plan for gender equality in its external action. This is a very important signal. This plan demonstrates the continuity of the European Union's commitment to gender equality. It reflects the ambitions of the European Commission's March 2020 strategy to achieve equality between women and men with regard to the EU's external action. It also demonstrates the political will to support partner countries in achieving this objective. Unfortunately, the time is not at the party. The covid-19 pandemic is a serious threat to the progress made in recent decades. Inequalities, poverty and gender-based violence are on the rise. Women and girls are the first to suffer the consequences. Moreover, while the action plan is now validated at the level of the European Commission, its recognition by all Member States is now complicated at the level of the Council of the European Union. Hungary and Poland have expressed strong opposition and are currently blocking the adoption of this body's conclusions on the matter. Madam Minister, given your strong interest in gender equality and women's rights, can you tell us more about this "couch" – it is an understatement – in the adoption of this plan by the Council? What position has Belgium taken in this respect?
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u34	Thank you for your question. The European Union Action Plan on Gender Equality was presented by the European Commission on 25 November 2020. Contrary to the usual practice, the Council could not unanimously adopt conclusions on the subject because of the frontal opposition of the Hungarian and Polish delegations, followed also by Bulgaria. These delegations did not accept the use of words and expressions 'gender equality', 'gender-based violence', or 'gender'. They wanted to replace the word with the phrase 'equality between men and women'. This more restrictive concept is synonymous with a reversal and denies the existence of the LGBTQI community. Gender equality covers a broader reality and refers to the construction of social relations between genders. That is why the German President took the initiative to publish Presidency conclusions instead of Council conclusions. Belgium, along with 24 other delegations, chose to join this initiative on 16 December 2020. For us, the European Union's agreements on gender, LGBTQI community rights, women's rights, sexual and reproductive rights are not negotiable.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u35	Minister, thank you for your specific answer. Yes, I'm going back to your last words. The rights of women and LGBTQI people are non-negotiable. You're right to call him back. In Arkansas, this backward state of the United States, a measure against women has yet to be adopted. Even in one of the largest democracies in the world, conservatism and the desire to impose on women the non-choice of their bodies come back in force. And at our home in Beveren, it seems that a homophobic crime was committed. The fight is therefore to be waged daily with the democratic and progressive forces of this country. Thank you.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u36	Madam Secretary, in your speech following the publication of the new UN Human Development Report, you spoke about the thematic portfolios you will introduce, one in the Sahel around desertification and one in Central Africa about social protection. Belgian bilateral development cooperation normally operates geographically. The portfolios developed by the Belgian development agency Enabel so far are therefore tailored to one country. However, we know that certain problems do not end at national borders. The choice of cross-border approaches to certain problems is therefore particularly relevant. The themes you have chosen illustrate the challenges very well. The fight against desertification in the Sahel region cannot bind a country on its own. Social protection in Central Africa is also a very relevant issue. The Democratic Republic of Congo is one of the poorest countries in the world. A large part of the population does not have access to basic services such as education, health care or even drinking water. At the same time, there is little experience of social protection in these countries. Belgium can therefore play a supporting role in building these structures and expertise. What exactly is the focus of both thematic portfolios? Which countries will be in the portfolios? What budget are you paying for it? How do you want to reach the poorest?
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u37	Madam President, Mrs Reynaert, thank you for your question. It is true that we in Belgium will work in this way for the first time. We believe, after all, that if we join forces and take account of the geographical distribution, we will have much more impact and reach than just one-on-one. It is therefore for the very first time in our country that we will work in this way. I have indeed decided to launch two thematic portfolios, which can be implemented in several countries by Enabel. For the Climate and Environment portfolio, attention will be paid to the fight against desertification and the other environmental and climate challenges facing the region. After the current covid crisis, climate change is the next major global challenge. As we know, the impact of climate change will be harder for those countries and populations that do not have the technological and financial resources to deal with the global warming effects. This is a multiple challenge in the region of the Sahel. On the edge of the Sahara, the fight against desertification is never far away. Climate change adds higher temperatures and is expected to result in more unpredictable rainfall. Not to mention, the pressure currently placed on the region's natural resources, including water and grasslands, is also affecting certain processes. This cocktail leads to great food insecurity, conflicts over water, loss of agricultural land, declining biodiversity and also epidemiological consequences by crowding out and destroying the natural habitat of the animals and plants. So all this puts a serious brake on the development opportunities of the people in that region and on the fight against poverty. That is what we want to help them in, to meet the natural challenges, to make human pressure on natural resources manageable and, ultimately, to provide a better future for those in the weakest position in the region. This will take the form of specific projects addressing climate and environmental challenges and also addressing poverty reduction and seeking a fair economic transition. I will enter into the dialogue on the development of the portfolio in the coming months with four of our partner countries, Niger, Mali, Burkina Faso and Senegal, to the tune of EUR 50 million. The portfolio is intended to be implemented in the period 2022-2026. In addition, the current crisis has led to a broader consensus that social protection systems have been able to mitigate the economic and social impact of the crisis. Unfortunately, most people in the South are not covered by any form of social protection. That is why I decided to enter into dialogue with a number of partner countries on the launch of a second thematic portfolio on the subject, this time in the Great Lakes region, namely Rwanda, Uganda and Congo, for a similar amount of up to EUR 50 million. The aim of this portfolio is to focus on the promotional and preventive aspects of social protection, i.e. access to decent work, social protection for workers and formalising informal work. It is clear that my policy gives absolute priority to reaching the poorest and wants to strengthen them and make them resilient. In both thematic portfolios, therefore, I have set out the chalk lines within which these portfolios should be set up. This is because tangible results for these target groups are one of them.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u38	Madam President, Minister, thank you for your reply. In the hearings on the Sahel that we organised with this committee, it was indeed said that the crisis in the region today is multidimensional. It is not just a question of socio-economic problems and security challenges, but also of the ecological challenge. In this context, I had asked the speakers in the hearings a question on the climate dimension in Belgian development cooperation. This is, after all, a very pressing problem in that region, so I am pleased to hear that Belgian development cooperation is working towards greater integration of the climate problems, especially in that region. The second thematic portfolio is also very important for our group. International solidarity is not charity for us, nor is it a symptom fight. These are investments in structures that allow access to education, access to quality health care, the development of social protection and access to decent work. It is therefore a structural policy in the field of international solidarity to combat poverty. Together with colleagues from PS, Ecolo-Groen, CD&V, we have tabled a resolution on this in Parliament calling for more investment in social protection. We are therefore pleased to hear that this is happening. We also ask the government to give its support to the creation of a global social protection fund at multilateral level, under the management of the ILO. It would be nice if you played a leading role in this.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u39	Madam Member, several NGOs have also drawn our attention to this subject which we have been following very closely since 13 February. We have also contacted our embassy in Kinshasa several times for specific information on the situation. BIO also shared all the information provided by Feronia, as well as the various incident reports since 13 February. With regard to Mr. Blaise Mokwe's death, the facts still need to be clarified in order to establish the cause of death. However, every death is a tragedy and it is therefore necessary to shed light on what really happened. Our first response is to ensure that justice is done and that Feronia cooperates fully with the police and judicial authorities. To this end, an investigation by the public authorities is under way. The local prosecutor and his team started an investigation at the same time as the Ministry of the Interior started a series of consultations with various local representatives, civil society, religious communities, community representatives and the family of the deceased. The purpose of PHC is to obtain an independent investigation for the authorities. In addition, PHC lenders also intend to conduct an independent investigation. As regards the environmental and social action plan, this document is confidential as it forms part of the commercial contract. However, we are discussing with BIO the extent to which the entire plan could be shared with civil society. We are currently working closely with BIO to ensure the forthcoming release of a disclosure policy note. This will make it possible to objectify the issue of the transparency of BIO's activities. The mediation procedure of the German investment bank DEG, which is in progress, has not advanced in recent months due to travel and assembly restrictions linked to the covid-19. Independent mediators are not yet able to visit and organize mediations with communities and other local entities. Finally, BIO's exit strategy is the following. BIO has erased 50% of its loan in return for the implementation of an Environmental and Social Action Plan (EAP). Depending on the achievement of the AGE objectives, this erasure will gradually increase to a maximum of 80%. We insisted that the monitoring of the EAP be closely monitored by BIO. During this period, every effort must be made to improve the wages and conditions of workers. This is extremely critical and we hope that every effort will be made to mitigate social risks. Since taking office as Minister, I urge BIO to do everything possible to ensure that Feronia increases the lowest wages and improves working conditions.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u40	Madam Minister, thank you very much for your answer and wish to return to a few points. This case is much older than you. We know that it is difficult to follow up on a case that is so complex and not very nice, from my point of view. I know you're in close contact with civil society monitoring these issues. Thank you for taking the events that have taken place on the spot very seriously. We cannot remain insensitive to the idea that several dozen people are arrested, raped, in a place where Belgian cooperation is active. This is not a good picture of what we want to do with partner countries. Besides, we're counting one death. Of course, the investigation has not yet been completed. But this person still died in a context that we cannot rejoice at. Compared to the information you have, you tell us that BIO shares with you the information provided by Feronia. We understand in this sentence the limit that this represents. Feronia does not have much interest in providing completely transparent and clear information. We will have to continue to strive for real information and, as you say, continue to work with local civil society that has access to other information. It is imperative that we have a clear vision of what is going on there. We also support the idea of having, at some point, an international investigation into this matter. Everything is so intertwined on the spot that it becomes difficult to have a clear view of the abuses that have actually been committed. In relation to the ESAP plan, it is confidential because it is protected by a commercial contract. That's the answer I've been given every time. Every time, I come back with the same question. I'm quite happy to see that you continue to want greater transparency. The plan we have access to consists of three pages. Three pages to get a clear idea of how BIO will manage environmental and social issues. It's too weak! I would still have a lot to say, but my speaking time is running out. Compared to the mediation procedure, if it is true that the covid limits things, this procedure was initiated several years ago. The covid must not now have the right back, because we cannot succeed in this mediation process. Keep putting all your energy on an exit worthy of this project that is not very worthy in my eyes! Thank you very much for these efforts.
