ParlaMint-HR_2009-10-21-0.u40622	Well, in front of the IDS Club, I'd like a 10-minute break.
ParlaMint-HR_2009-10-21-0.u40729	Thank you. Two corrections to incorrect allegations. First Mrs. Carmela Caparin.
ParlaMint-HR_2009-10-21-0.u40730	Thank you very much, Mr. Vice President. Apparently, a colleague was talking about some 600 houses, apparently. I mean, you're completely untrue and you don't even know what you're talking about. You haven't even read this report. What houses are you talking about? Who took them down? You mean Croatian soldiers. Absolutely not. And half of what he was saying is incorrect, because he didn't read the report at all.
ParlaMint-HR_2009-10-21-0.u40731	And Mr. Representative Boro Grubisic, correcting the incorrect allegations.
ParlaMint-HR_2009-10-21-0.u40732	Mr. Vice President of the Croatian Parliament, Mr. Honored colleague Cain. Because of your one-sided display, I'm correcting incorrect allegations. ... These same ones that my colleague Carmela now said, that not those who brought down 600 in the vicinity of Bjelovar were being processed, I guess they were thinking of Bilogora, which I know where you think it is. [[The intruder doesn't understand.]] You didn't specify the exact location. But you didn't also specify that they weren't processed destroyers of Cells or burners to say that they weren't processed destroyers of Berk, Voćin, Slavonski Brod, Chetekovac, Balinac. You always forget that. That's why I'm correcting you. .../ The intruder doesn't understand.
ParlaMint-HR_2009-10-21-0.u40733	Club of representatives of HDSSB Mr. Ivan Drmic. Here you go.
ParlaMint-HR_2009-10-21-0.u40734	Dear Mr. Vice President, colleagues and colleagues. We all got in our materials one such beautifully bound report from the State's Attorney's Office in 2008. I believe most of you have read it. You can see that there is statistics itself and it is generally known if you want to hide something you do not want to go into the depth of things, it is simply easy to hide behind numbers that speak all mathematically and say nothing that should interest the Croatian public. I'm telling you that if we went behind these numbers a little bit more thoroughly, if we looked at matter, we'd see who in the last year in Croatia, say, stole some kind of chicken or some other petty offense of some anonymous people who didn't have any political protection behind them to avoid prosecution. These are cases that fill this statistic and give the impression that the state's attorney's office has done a great job in the past year. Mr. State's Attorney just before he replicated fellow Stazic says please don't tie me and the State's Attorney's office to politics. I even thought for a moment that I was wrong and that it wasn't my understanding that it was good for the state's attorney to appoint a Parliament. Then I remembered four years ago and seven years ago that this Croatian Parliament had chosen a state lawyer, that it had given him confidence and that it was nothing but a policy chosen by Ivica Racan and SDP with him at the head of the then coalition and four years ago Ivo Sanader with HDZ and his coalition partners. So it's even funny to talk from his position. Don't get me involved in politics, I've got nothing to do with politics. You are Mr. Bajic's policy man, and politics has led you to this position, and to me it's the only explanation why you have listened to the call of politics during these seven years of your work in the first place. Also, I have to admit that you're a skilled media manipulator, that you're always hiding behind the police or behind the court, if something didn't happen to you, it's the guilty police who didn't do the investigation and delivered it to you. If you accidentally file some kind of unquality lawsuit and fall into court, then it's the court's fault that there's some kind of judge sitting there who can't wait to get some kind of political-protected person out of guilt. You're like a layman. I'm asking you what the state's attorney's office is doing to us if that's the case. Your work can do Croatian post office and let's say the "City Express" which is a private company to carry these files from the Ministry of Interior and Police when they are processed to court. Because I don't understand what the role of the state's attorney's office is if all the work is done by the police and ultimately by the Croatian court. Also, one of the things that's called an argument for what I've been saying about your name is politics and your professional career. During the time you were a military prosecutor in Split, we all remember those processes that we led as a state against the rebels or members of the enemy army, and you then filed charges in the Croatian courts and condemned the rebel Serbs for war crimes at the premises of the Republic of Croatia. There is a different climate in Croatia today, more calls from the European Union are being listened to. There was often a friend of yours, Carla Del Ponte, who came here today from your new job and the same Serbs that were in the 93rd, 94th year, in the early 1990s accused of war crimes, calling again on the Croatian court, however this time as witnesses to burden Croatian defenders in various processes where Croatian defenders are convicted of war crimes against the Serb population. They were then armed rebels and war criminals, today unarmed civilians and victims of the Croatian Army and Croatian defenders. I'd look back on these bad results in recovery and doing something against crime in conversion and privatisation. I mention this because it is just the current change of the Croatian Constitution where the Demagogical Constitution wants to install a part that says there is no statute of limitations in crime regarding conversion and privatisation. Oh, please, 17, 18, 19 years have passed since that criminal act that happened in the early 1990s. We haven't had enough time for 17, 18 years to solve it and now we're putting it in the Constitution like, if we were 25 or 30 years old, somebody would be responsible for what he did at the time. And there were no results, although we remember that the work of the audit was carried out and that many companies found in the revision of things that were wronged and done contrary to the law of the Republic of Croatia and that many people at that time acquired companies that had no basis or material resources but in one criminal and illegal way. They're also not people who don't have any financial supplies today. Less has been helped by various parties, so it is normal for these people to have their own kind of political protection, and that is probably the biggest reason why they were neither the police nor the state’s attorney’s office until today. I personally believe that this matter will pass into the Croatian Constitution, that it will not be obsolete and I also don't believe that something will change about solving this problem, possibly when this generation of ours retires, so maybe tomorrow in 5 or 10, 15 years some other generation will come to deal with these things more. I personally doubt what happened that way. I would also mention here that Croatia's policy has managed in some way to bind the Ministry of the Interior where the interior minister is already standing, the director of police who are political persons, although this should not be tied up with the state's attorney's office where he also staffs, places a person, works with influence in court. So, if the case is properly directed in court, it comes to the right judge's hand it can be mixed as a dough and that judgment can be like this or whatever the evidence in the case is. This was a feature of the work of the State's Attorney's Office, as well as of the MUP and part of the judges in 2008 in our country. I must also point out that part of the work of the State Attorney's Office and the Ministry of the Interior has taken over a part of the media in the Republic of Croatia, journalists and media that are not under the patronate of any political option. It's what they get, what they get by some kind of secret channels, they don't want to be published, and that's how they do it in front of the state's attorney's investigation. We can also list different cases of "Brodosplit", "Ply" in which even stopped selling "Plive" that stopped being written about. "Podravka" which is currently here today, strangely coincided with the State's Attorney's Office's report that former managers are arrested in the morning. The truck affair after five years, here's the same few days before this report. "Constructor" which is less and less written about, and football club "Hyduk" from the city where the state's attorney came from, where a big robbery was committed, and it's acidified in someone's drawer. I could count for days. These are all items that are not present in this report. The fact is that SDP appointed Mr. Bajic and this furniture to the State's Attorney's Office, but it is also the fact that by changing the political power of Mr. Bajic to say so, he found a new owner. The boss is gone today. All those deals he had with Eve Sanader can't say they weren't worth it, but they're worth a lot less than when he was prime minister. There has been no self-suppression in these past seven years, or four years. I know that there have also been fingertips by Ivo Sanader in certain people by giving the first hand to the Ministry of the Interior, as well as to Mladen Bajic who is desirable in this country to process. If he didn't do anything by accident, it shouldn't be a problem, because the authorities' institutions are very broad, the state power, the repressive apparatus is very strong. It can simply be very easy to make mistakes especially with the support of certain state media that are also bound to this conspiracy can lead to what is desired. I'd like to give you an example because I was a witness. At the time, I was a member of the HDZ. This is the husband of our colleague Gordana Sobol Bojan Sobol in whom Ivo Sanader pointed his finger, the mechanism was quickly launched and he quickly ended up in court to purchase 17 carpets against the tender. What I'm saying is, in fact, it's denying that Mr. Bajic is charging anyone from the top of the state. You can see he's having an affair, that he's sometimes also senior officials of the Croatian government. Mr. Sobol was charging for those 17 carpets. Unfortunately, his and those who imagined this, Mr Sobola, the Croatian court, despite political pressures, freed these radical indictments, which was filed in December of the arrival of the Croatian Democratic Community to power. Now I would mention another object in which I have a much better insight because I followed it from beginning to end. It's Mr. Glavas' case. Unfortunately, he had no luck as Mr. Sobol to have his case in hand to a judge who was willing to resist political pressure. This judge was in no condition to do so. Today our situation is what it is. Branimir Glavas is unjustly, innocently sentenced to 10 years in prison. I've been following this process since the beginning of all the investigations, the investigation, and I've listened to the whole process in the hallway and the courtroom, and I know how it went in the first place, and what the Department of the Interior was then Chief of Police Faber and mentioning the gentleman who is today reporting what they've been doing and doing in order to press charges against Branimir Glavas and that on the orders of Eve Sanader. Only three witnesses from several hundred heard are Branimir Glavas' cargo. He's the first Mr. Fehir to change his testimony six times, and I know for a fact that he went to a briefing at the State's Attorney's Office. They were briefing him for not being in accordance with the law on what to say and how to present that science-fiction story they wrote in the indictment. However, since it did not spell out everything as they imagined he had even six times had to change his testimony by refuting himself every next statement. Another witness was Gordana Gettos Magdic, who also changed several times, who was brought to the police in Osijek, and Mr Bajic also did not know what legal basis for it on several occasions received her father in the State's Attorney's office to burden Branimir Glavas' daughter, and he promised that Gordana would serve only two years, that he would take care of it and that he would come out afterwards. She was one woman who was not used to such pressures, and after a few days she was blackmailed, and with her child she agreed to this development, falsely burden Branimir Glavas. She called Bajic. It was all said in the testimony of these men in court. However, Mr. Bajic did not even have enough for him, but in the end, he also cheated on Gordan Gettos Magdic. She's in Croatian prison today. He's got eight years in prison. If everything is true, what Mr. Bajic said is that the Croatian police are doing and investigating and in front of the investigation, from where he is entitled to receive his father on several occasions and on several occasions the lawyer who is now present in front of the Court of Honor of the Bar Association, and that he is guessing whether his daughter is going to jail, is willing to falsely charge Branimir Glavas and that he offers services to the Croatian judiciary to any person for the false charge of another. The third witness is a protected witness. The whole country's saying it's the "Imitation of God" from Osijek. At first, I was skeptical that it was him, because I know that at the time of the war he wasn't even around. However, two weeks after Branimir's sentence to Glavas, Ivica Zbožl, who was convicted of economic crime for a year, was released, or pardoned, and all sins were forgiven. Then I realized that all those people who convinced that Ivica Zbožl was a protected witness I believed that and I believe that his salary for this false testimony he had even though everyone in the department knew that he was nowhere near the scene during the war was rewarded by not going to Croatian prison. Here, now you know the way he was convicted, accused and convicted Branimir Glavas. And I have to warn you and the Croatian public, because according to this recipe, it can be me tomorrow, but the truth can be any one of you. .../ Intruder Shakespeare, please finish. If we keep staring at other people's fates, at these moves of the state's apparatus, when it comes to you, believe me, others will behave like you and not raise their voice in your protection. So I ask you once again to consider this report and I would suggest that you don't support it as well as my club, because it just didn't deserve it. Thank you very much.
ParlaMint-HR_2009-10-21-0.u40735	Thank you. SDSS counseling club, Mr. Representative. ... And I'm sorry, okay. [[The intruder doesn't understand.]] Explanation, attorney general.
ParlaMint-HR_2009-10-21-0.u40736	I must respond to this position by the representative of HSBB. I agree with the finding introduced by the esteemed representative that he is a layman. It's obvious from his exposure I have to admit, because what he said is absolutely not true. I allow his court of law to say that we are a political organization, a party, etc. It's all his right to say it, but I have to say it's not true and it's not true. The state's attorney's office as a whole, and I've personally never been influenced by any politician, neither, and I'm responsible for that. As far as lunching is concerned, it is inadmissible for anyone in this country, including the Croatian Parliament, to talk about the unlawful verdicts of the Croatian court, because the penal law of the Republic of Croatia, which you have adopted here, prohibits it. He forbids it from everyone. It is inadmissible to analyse an inadmissible verdict in such a way as was done by an esteemed representative. I have to warn you because I owe it to you, while I'm a state attorney. On the other hand, the findings spoken in relation to my work during the time and while I was deputy military prosecutor in Split are, at the very least, ridiculous, Mr. Honorable Representative, because the military prosecutor could not prosecute anyone other than members of the Croatian War Crimes Army, because it was not in his jurisdiction. I have proof of that. It's the law that was in force at the time. Therefore, your meal is ridiculous at least, not to speak unfounded. Second. As deputy state attorney, and then and now, I've worked exclusively by law, and based on the facts, evidence that was available in the files. And once again I say manipulation in the media and transfer of responsibility to the police and courts I have never worked on, I have never worked in the Croatian Parliament, I have just expressed the facts that we in the State's Attorney's Office have in mind and where I am talking about the system's imperfection in certain parts, including the State's attorney's office, which should be corrected with the help of the Croatian Parliament and the change of the legislative frameworks, as you discuss every day in the Croatian Parliament, and in what direction we have certain indications, etc., from the European Commission, and not any policy influence. So I categorically refuse such insinuations.
ParlaMint-HR_2009-10-21-0.u40737	Correction of an incorrect quote, Mr. Agent Ivan Drmic.
ParlaMint-HR_2009-10-21-0.u40738	I see you've been struck by my speech. But I'd say, I'm only going to make one thing right, which means the influence of politics on you. I'll give you my personal example of what I didn't say about the pay phone. In 2000, as a member of HDZ, I was director of Radio Djakova until 2000. After that, a case was filed against me, or even an indictment was filed. Behind that was the late Željko Malevic and after coming to power, we called you from HDZ, I explained to you, you said there was pressure from the SDP to start it. You told me to file a complaint with the State's Attorney's office on your behalf. I wrote it and within 15 days the procedure was suspended.
ParlaMint-HR_2009-10-21-0.u40739	Wait, wait, that's not how it works. It doesn't work like that.
ParlaMint-HR_2009-10-21-0.u40740	There's a written clue to that.
ParlaMint-HR_2009-10-21-0.u40741	We'll give another explanation to the state's attorney. Word for explanation.
ParlaMint-HR_2009-10-21-0.u40742	I think it's unacceptable to expose an esteemed representative like this. That's not true, Mr. Representative. It's just not true. Show all these written clues in public, go ahead. I'm behind it. It's unacceptable for you to have this kind of meal compared to anyone.
ParlaMint-HR_2009-10-21-0.u40743	Leave it to us, State's attorney, with the permission or inaccessibility. Another correction, Mr. Agent Ivan Drmic.
ParlaMint-HR_2009-10-21-0.u40744	And this time you expect me to do your job. You've got everything on you in the archives. I've got copies. You're all set up.
ParlaMint-HR_2009-10-21-0.u40745	Okay. Mr. Representative Milorad Pupovac, president of the SDSS Club. Here you go.
ParlaMint-HR_2009-10-21-0.u40746	Mr. Vice President of the Croatian Parliament, Mr. State Attorney, colleagues and colleagues. Obviously, after this debate, we come to a very critical point in which we are discussing the measurement of reports or certain parts of the criteria of the State's Attorney's Office of the Republic of Croatia's report, in which, therefore, by approaching certain criteria of the State's Attorney's Office's report for the past year, we are actually coming to ourselves, i.e. to the Croatian Parliament. And the Croatian Parliament should, by definition, prevent not only the failure of state institutions or their abuse, but would have to prevent their destruction. And you would have to do everything to further devastation and destruction of institutions in Croatia, which are in many places fragilely beginning to do so from this very place. In that sense, I will in some way change the initial intention that I had when I was preparing for this debate on behalf of the Single Democratic Serb Party club, because it would really come to us very quickly. And we'd get to the point where we're not actually discussing the State's Attorney's Office, the Ministry of the Interior, or the Ministry of Justice. It's about us. Because we're a legislative body. And each of us would have to ask himself a question, every club and every representative who swore to the Croatian Constitution to what extent he contributed to his political action, his political conduct of legality in the Republic of Croatia, and that primarily means supporting the work of judicial institutions. That seems to be the key question. Not whether it has influence and whether it is trying to influence the work of the State's Attorney's Office. Of course it does. There was a lot of him, and now there's probably a little less of him, let's hope, the unauthorized one. There is one that is allowed, and these are changes in the political climate and changes in political circumstances both in the parties and in the public. So the one where the space for the smooth work of state institutions and judicial institutions is opened. In which it is no longer possible to cover something and to hide something and prevent professionalism in people who are willing to conduct professionalism, and there are certainly those in the Croatian judiciary and there are certainly those in the Croatian police. Let us ask ourselves how much we have contributed to these professional people being able to do their job, and how much, in fact, did we give direct or indirect support to those who neither know it nor want to do it? In that sense, this report by the State's Attorney's Office last 2008 is neither better nor worse than the 2007 or 2006, technically it is the same. In some ways, he's slightly improved because he has a certain number of conclusions. If it were done to some extent that I would like to see inside it, it would also be some sort of analysis of what needs to be done, for example. That the percentage of unknown perpetrators for crimes is still 41%. 34 thousand 760 cases refer to unknown perpetrators and the perpetrators are unknown. I would like this report and joint action by the police and other types of investigative bodies to tell us what is causing this fact of unknown perpetrators. Insufficient cooperation with the institutions of the judiciary and the police? Insufficient training of cops and state attorneys or something? But it's an absolutely high number, colleagues and colleagues. So we are not individual EU countries in whose parts there is a vow not to talk about it. If we are, then we should say, if there are such environments in which we are not working sufficiently with the institutions of the judiciary in which segments we should say so. Then it's our duty to change that, but 41% of the unknown perpetrators are absolutely too high a percentage. I'd like to say I'd like to see an analysis of the state's attorney's office in the annual reports why is that and what seems to change that? Secondly, last year, there was an increase in the share against life and body. This is seen in this report, but what is not seen is proposals that should be put together, synergy by joint action by the police and courts, taken together with other institutions, say social institutions, to prevent it. Then I would consider this report better than last year, but it's not worse than last year. And now I'd like to say a few things about certain areas in the report itself. As far as discrimination is concerned, on a racial or otherwise basis, Article 174 of the Criminal Code, only 4 persons. They were against them by the State's Attorney's Office, and we all know that there are certainly many more people in Croatia who participated in this. Whether because people refused to accept to work because of other nationalities, or because in public places they were shouting out messages threatening members of other nationalities or calling for intolerance to members of other nationalities. There's a mechanism of official duty. And in a number of places, this mechanism of official duty should have been activated by county or municipal state attorney's offices, and it wasn't. What I'd like to say here isn't because people still don't have the guts to do it. Because by any chance at the concert of Leprechaun or Halid Beslic, someone sent a similar message as he puts on some other concerts, there is no doubt the same night, Mr. State Attorney, but there are some who are privileged in this regard and then there is no activity under official duty. Why don't you tell us why that is? Secondly, when it comes to war crimes trials, I can't wait for a day to get individual cases for which the people concerned will have complete satisfaction and a sense of justice, but for now we're still not in the area. Unfortunately, we are not in this area because we are just coming out of the campaign period and campaign approach to war crimes trials in which, as you say, today because of the course of time and the higher level of professionalism, the evidence is harder to collect than the times when time has not passed, when professionalism has been minimal and when the campaign has been run by a broad hand. If by any chance in those times of which you were not a state lawyer in one part, we would pay attention to organised crime of conversion and privatisation instead of paying attention to what we have to do today, Mr. State's Attorney, your reports on corruption and organised crime today would look different, and our picture of the EU is equally different. But we didn't do it, we were giving some kind of cover to talk about things that are certainly important for this country, but they're not important in that place, they're not important in those people who should be, but they're free to say, those who were victims of war circumstances themselves, and we weren't committed to what life depends on today and what tomorrow depends on us. And in that sense, it seems to me, and that's what I said to the Human Rights Committee, and I know from experience that unfortunately we still haven't standardized war crimes trials in the State's attorney's office. In some cases, he is tried not only for the deprivement of life, whether of war prisoners, whether of civilians, but also for the destruction of property, for the abuse and insult and for the purpose of persecution, and in some only for the deprivement of life and under difficult conditions of proof, and thousands of houses have been destroyed, alienated property, destroyed hundreds of settlements are not tried for it. There's no standard for that. I'm not saying Mr. State's Attorney that it's your responsibility. I think it's both my responsibility and the ones we're sitting here because we haven't made any assumptions for that to change. But what we'd like to hear is that you say, unfortunately, we haven't created those standards yet. I'll give you an example that is well-known to you, when it comes to the fees for the trials that some people have to pay now because they've made sure that the courts can make fair judgments for them, decided that because of the loss of the lives of family members in Novska, Sisak, Karlovac, I'll only list some places, start court proceedings, and then lose them because the crime happened in the war but it wasn't a war crime. And there's no evidence that these or those members did it. Although the public conversation clearly shows who did it. And now instead of protecting these people in a sense of justice and justice, they must today be left without their own house or left without their pension, because they must pay lost fees for court costs. The same applies of course to those houses in Zadar, the 80 that are announced to be removed because they pose a danger to the safety of citizens. And we know there was a period of danger to the safety of the people in them. But that's not the danger we're taking care of today. And obviously we have no intention of keeping an eye on him. In the end, Mr. State Attorney, I am deeply convinced that your sacred duty, holy in terms of swearing to the law that we have sworn here, is to protect the property of Croatia, as a state. A quick booklet on agricultural land in areas from which many people have escaped or because of which circumstances cannot live on islands is certainly not the most common thing this country has. It seems to me that it is much more difficult to protect the budget of this state, and I understand that as the financial property of this state, to see what is actually going on with public enterprises and their financial assets. Given the legitimate doubts and warnings that this state property, and the budget is state property, is unfortunately not protected. Unfortunately, there are no mechanisms for how to protect them. We would like Mr. State's Attorney to tell us not only in view of the facts that have been made, but in view of your and our obligation, what you intend to do is to finally begin to protect yourself. I'll talk about other questions on another occasion. Thank you for your attention.
ParlaMint-HR_2009-10-21-0.u40747	Thank you. Club of representatives of the CNS Mr. Representative Miljenko Doric. Here you go.
ParlaMint-HR_2009-10-21-0.u40748	Dear Mr. Vice President, Attorney General, colleagues and colleagues. For the reasons that Mr Pupovac has now stated, and from what is in the report of our Committee on Human Rights, as well as in the report of the parent board, where it says that the situation is much better than the citizens' opinion, we have decided today to give up the classical presentation of the club's position on this report and we have decided here to state the position of Croatian citizens who have appeared to us and probably many of you in the past few days, related to this report and to tell you what the citizens think and whether the situation is really much better than those citizens think. Let's get this straight. Namely, I'll make two cases, two observations, two opinions and two questions. I gave up some details, because Mr. Stazic was already talking about it, so I'll leave these questions out here so we don't have to repeat ourselves needlessly. Person A tells us. In my company, I discovered the crimes committed by those persons. And what did I do? I went with copies of these materials to the State's Attorney's office and handed them over to the lady's clerk who ransacked them. She said good. Everything was complete, everything is very clear what you wanted us to do. He says it's only a big shame, says person A, that you didn't prepare it in two copies. This is how you put me in a situation where I have to copy everything, because we have to send one copy, I think she told the police. Person A takes that file, goes to the first photocopy, photocopies that material, returns and neatly surrenders two copies now. Is that a banal case or a boastful and rude case? Make your own decisions. The other person who contacted us was the director of the municipal company... and she warned on the Municipal Council of certain failures and crimes related to the construction of a sports hall. Afterwards, she received her report, where she was obliged as director to warn, of course she was fired. Croatian way of solving such things. After she got fired, she collected complete documentation, all the evidence, because she had all the evidence, went to the state's attorney's office, handed over all that material, all the evidence. So, God doesn't need to know what kind of investigation, you just need to verify the credibility of the evidence that she brought to the State's Attorney's Office. It's been less than two years ever since. Nothing's been done. The report I have standing before me. In criminal cases, the average time between the receipt of the application and the decision being taken by the State Attorney's Office is reduced to 2.5 months. And worst of all, we're getting data that girls from one of these institutions, if they had even been suspended at the time of the local elections, so it doesn't have a clear impact on these elections. It is absolutely unacceptable and the question is whether or not citizens should trust what the DORH is doing, eventually all of us. Then, citizen observation. A gentleman I personally spoke to in Rijeka two days ago when we discussed the work of the State's Attorney's Office, I said that we would have this report and ask him to state his position, that I would present whatever he considers necessary. He says, Mr. Doric, it is evident that the affairs are closing over time. He tells me citizens no longer have any idea what happened to Sunny Hvar, Liburnia Riviera Hotels, and Maester. Time obviously has a function of oblivion, abandoning something of the past, etc. It's inadmissible, it happens, and we citizens are really very confused about it. The next person we contacted says this way, please feel free to say that even we ordinary citizens already realize that certain activities of the DORH are being stepped up in one-year cycles related to the preparation of the European Commission's report and possibly your debate on the report on the work of the DORH. That's what citizens already notice. He says last year it was the Index action, this year it's the trucks, the Podravka, etc. Whoever's wrong, who's got sand in his eyes. That's absolutely unconvincing. That it always fits in that same period and those cycles. Then, one commented on the lack of political will, it keeps repeating itself these days. He says no, please don't say that for God's sake, say exactly my point. The citizen says, "There is a very strong political will to maintain the status quo, that nothing changes, that nothing happens, that everything is done as before.", therefore, an extremely strong political will. Furthermore, the person tells us: "If journalists can find out what's going on in HEP, in INA, in Podravka, SMS, of Shore companies, Cyprus, Malta, Liechtenstein, why can't it be the people of the law, the police, the people of USKOK, it's the question why they can't do it. Why do journalists have to do a job we expect someone else to do?". The Human Rights Committee discussed difficulties in processing war crimes suspects, Mr. Pupovac spoke of one aspect of what they discussed. I would just like to warn you colleagues and colleagues that they are preparing indictments, investigative proceedings, the calling of international warrants, the requests for extradition, the explanation of these demands are essentially happening in a triangle between the DORH, the MUP and the Ministry of Justice. The question for Mr. Bajic is how many times did the most responsible people dealing with the issue of war crimes in the DORH, the Ministry of Justice and the Ministry of Justice find themselves coordinating their activities between 2001 and 2008. I know the answer. You probably know him, too, because I have a memo that went around in that triangle trying to change something in those eight years. If you don't have that memo, I'll send it to you. The second question is, in some affairs, they are suspected of criminal acts and of the people of the DORH. It seems to me that in Rijeka it was recently. The question of citizens is, "What does the DORH do to prevent such cases from happening?". There can't be any in the DORH. Do you have any space and personnel if you can team DORH to people who will not clearly embarrass the system and clearly in which citizens will trust. Here, so it's a weekly review of what we've been getting in the last few days. We have individuals like that on the phone every day or on the street, they stop us. So I wonder if the situation is really better than what the citizens think, or maybe it's exactly what the citizens think. Thank you very much.
ParlaMint-HR_2009-10-21-0.u40749	Thank you. Ms. Mariana Petir's club of representatives of the HSS. Here you go.
