ParlaMint-HR_2009-06-30-0.u34361	To what point of the agenda could we do tonight?
ParlaMint-HR_2009-06-30-0.u34484	Thank you. One correction, two replicas. Mr. Representative Nenad Stazic, correction.
ParlaMint-HR_2009-06-30-0.u34485	First of all, no one accuses you of going straight to a direct contract, but we are wondering why you went to a direct contract with one of the most expensive bidders, and you could go to a direct contract and negotiate with those who offered a cheaper price. Second, you say no one complained. Well, no one could complain, and you and Hebrang would cheat on the public so that someone could complain. There's no appeal for a cancellation. There's only one choice when an offer is chosen. When the contest is cancelled, there's no appeal. That's your argument hollow, lame. It's where you defend something indefensible. You say the former government, former minister, Arsen Bauk. Well, you were the Home Secretary. So why didn't you start, initiate, start some investigations if you think it was a crime? Fourthly, Arsen Bauk was then an IT assistant, nothing to do with the purchase. Anyway, in a series of what you're trying to defend yourself is so much inaccuracy that it would take a whole debate of at least 10, 15 minutes to undo it.
ParlaMint-HR_2009-06-30-0.u34486	Replica, Mr. Representative Frano Matušić.
ParlaMint-HR_2009-06-30-0.u34487	Thank you, Mr. Vice President. Well, colleague Roncevic, you've asked exactly why you can't be the same in front of the law as the other MPs here sitting in these benches. So you have rightly cited an example of former Defence Minister Antunovic, who, without a competition, has ordered a remonting, I think you said in Romania, although this would probably be cheaper in a country where they are produced, for example, in Russia. We don't know that now. For how much money she damaged with that move to the Croatian state. Just as we don't know, that is, you said somewhere around 14 million kunas that they didn't sit at the ministry's cash register for sale by a colleague named Bauk. So it really needs to be investigated. That question really needs to be explored. But it is right to ask why you act under the law because no one has said that you have not acted under the law, why such application of the law has not been disputed in other cases during the SDP-led government. For according to that same law they followed and obtained therefore and worked daily. And not to mention those other fire trucks, 230 fire trucks that were acquired in the same way as the same procedure, although in this case it was military funds and of course it was necessary to keep it secret, which was assessed by the Chief Staff, so not you, but the main headquarters that downloaded that designation of secrecy. Also, here we have already heard on several occasions this famous 76 truck number that is falsely placed from the ranks of the SDP and in their request to launch the Investigative Commission has written 76 trucks. It's the only place that's written 76 trucks. So, their request, SDP's demand for facts, they say quite the opposite. Facts coming from the MORH, facts that could have been established by the Investigative Commission that it was a significantly smaller number of trucks. So it's not 76 trucks like they keep saying it's not true, but it's a significantly smaller number, so 30 and some trucks.
ParlaMint-HR_2009-06-30-0.u34488	Replica reply, Mr. Representative Berislav Roncevic.
ParlaMint-HR_2009-06-30-0.u34489	And probably because, colleague Matusic, this question has been politicized in the roughest and ugliest way. I didn't say, I'll do it again, I didn't say that my colleague Antunovic broke the law. In line with the Public Procurement Act, she did not do a previous call-competition procedure to get an objective price, to see who could do it, not her, but the ministry for her term, as I did, the ministry while I was a minister. But then it's all right, and getting a truck is untransparent, something inexplicable, and even here, and fellow Beus in his debate says you didn't deny it. I did. At a press conference on January 10th, 25 Croatian journalists, I guess, showed the course of the procedure, showed documents that we could show because some were under a code of secrecy and said what it was about. But does that truth want to be accepted, is that enough? Or we think that based on my thinking, my private thinking determines the illegality that my thoughts on the subject will determine whether it's a crime, whether it's a crime or not. However, what wonders is when in this Committee, the president of the commission invites General Milicevic 10 days before the Commission invites him to a separate meeting where he will be instructed to give what answers he will give, which I will ask him and why he should be surprised at this statement by General Milicevic. I'm not judging General Milicevic. He just didn't show military honor, unfortunately, he didn't resist those demands for that inspection, and for that kind of conversation, he was supposed to refuse as an officer, and before the committee to testify about what he had.
ParlaMint-HR_2009-06-30-0.u34490	Next replica. Mr. Representative Krešimir Ćosic. Here you go.
ParlaMint-HR_2009-06-30-0.u34491	Here's the esteemed Mr. Vice President. I thank Mr Rončević, who reminded us of a serious problem, an affair that has been in hiding for many years and has earned much more public media attention and much more debate in the Croatian Parliament, and it is about the famous MIG 21 remont in Romania. A direct contract without any parallel prices, without any orientation, was agreed to be made by order. By order of the centre of power then General Agotic. The implementation of the direct contract was attended by Mr Bauk, the defence minister and all without any echoes in the Croatian public. This only shows that there are double standards and that we are dealing here not with the fundamental problem of determining the truth, but we are dealing with the skills of who is in a position to impose and to what extent the Croatian public. We need to do everything we can to make an affair of the aircraft's remonting at no cost, no value of judgment, rather than in Russia or Israel in Romania. It's a subject that deserves really I'd say a lot more media attention. She's only a year older than the Trucks affair. Therefore, forgetting, concealment is part of the skill used as a method of political struggle. No more than that. And if that's the range of our political opposition, then we don't have to be surprised at everything we're facing today, unfortunately. Thank you very much.
ParlaMint-HR_2009-06-30-0.u34492	Replica reply, Mr. Representative Berislav Roncevic.
ParlaMint-HR_2009-06-30-0.u34493	Thank you very much. Mr. Cosic here, in the roughest and most dirty way, came the duality of the criteria, the double standards. Some things we are willing to see benefactorly even praise, excellent work in Romania, and that the Croatian public will not know whether there may have been better variations. We won't know. From the center of power, here's what you have even more knowledge of, I came to the ministry afterwards. No one knows, there is no entry document under which circumstances, how, why, how the price of that remont was determined, but it was done. Those who advocate the truth here, fight corruption, so let's ask themselves a question, let's take a look at this case. We're not gonna say it's a crime. But for transparency. There is no expression that is more abused in Croatia than transparency. What does transparency mean in the acquisition of arms and military equipment? What does transparency mean? Do we really have to go to the details of what we're getting, what state we're in? Do we really have to bring to the absurdity that anyone who manages some kind of public finances is an aprior thief, and then let him work hard and let him take down that deposit that someone is forced on him in order to win the election, and in Croatia, thank God enough, one vote more.
ParlaMint-HR_2009-06-30-0.u34494	Thank you. Five minutes of debate. HDSSB representative club, Mr. Representative Boro Grubisic. Here you go.
ParlaMint-HR_2009-06-30-0.u34495	Thank you very much, Mr. Vice President. Today, there have been all sorts of opinions regarding the report on the work of the Research Commission on the determination of facts regarding the purchase of 39 military trucks. It has been said that there is a struggle for public opinion here today. For 4 years, it was enough for the public to gain their opinion, regardless of commission, investigation, opinion of trust, etc. Similarly, the public has an opinion on other affairs, so to speak of "Maester", a small, large one about "Index", about Split Shipyard, about Sunny Hvar, about the hall, the sports hall of Osijek, for which 843 million kunas were planned and requested, and no one is talking about it today. Here we have come to the trust of these trucks, but this is also the plan to spend 843 million kunas in Osijek, no one is talking about or establishing a commission. And these days we're listening to all the media that song that's sung by some composition, rock or pop don't even know me and says, "Corruption isn't me, it's not me, it's not me." Which encourages citizens to be whistles, to report every form of corruption. And here in this report of trust, I see that questions have been asked to honor General Joza Miličević, who he said here that he witnessed in an unholy manner, which is indeed saddening at least. To qualify as an honorary soldier and defender, a volunteer of the Homeland War, a man who reported when foreign statesmen came to Croatia in front of the presidents of the Republic, that is not the case. He's got a last name, too. ... Oh, right. [[The intruder doesn't understand.]] The man, therefore the Major General, two are both honorable, both are honorable. So, the man who, according to his statements here in his report, is the man you really said would have been harassing with questions whether he had the right under the law to make an inspection or not? Which article, etc. And he was the Chief Inspector at the time. You see, therefore, citizens are asked to report corruption, and the chief inspector is denied the right to control the work. What are these contradictions here today in action? And I really don't know when the song "E that I love the smell of a truck" came out, but maybe it was created after 2004, maybe it has its own foothold. The citizens have their own opinions on this, and I think that this opinion is exactly the same as those of the affairs on which I am only, so only part of those affairs that I have cited that have happened and that are happening, which are the subject of USKOK and other court cases and other instances in the Republic of Croatia. We spoke here that the State Audit gave a positive opinion on the matter. ... So, positive opinion. [[You can't hear the intruder.]] I wonder. I'm asking you here when did someone because of the State Audit opinion because of the negative or poor opinion of the State Audit and the assessment answer? When did anyone in this country respond for the opinion of the State Audit, starting with criminal privatisation? Who answered that? Thus, 18 years have passed since the establishment of the statehood of the independence of the Republic of Croatia. And the other day I was at the 18th anniversary celebration and listening to the song "We are the Guard of Croatia!". I'm counting on this "We're the Guard of Croatia!" It should be this noun, looking all around it, looking at many around it should be replaced by another name, another noun that also fits into this slogan, in this song of ours. That's why I think the debate here went completely wrong. Instead of discussing the content, the essence of what happened, we're discussing, the ingenuities, the State Audit, whether it was lawful for the Chief Inspector to carry out the inspection, to conduct surveillance. Very interesting. And those questions I've seen to General Joza Milicevic, indeed, that I've been in his skin, or I'd rather not be in those moments in his skin, and I think according to this report, he's really given a true and honorable statement to that committee and it's really degutant to say that someone said here from HDZ that he's tarnished me seems so kind of a military honor and reputation. In any case, this report is the party majority report in this House, so I have nothing more to comment on. Thank you very much.
ParlaMint-HR_2009-06-30-0.u34496	Thank you. Three corrections. Mr. Representative Berislav Roncevic.
ParlaMint-HR_2009-06-30-0.u34497	I am correcting the incorrect quote of my colleague Grubisic, who is in his statement, if I understand him correctly, there is no supervision. Neither can the law foresee it, the Chief Defence Inspector cannot control civil institutions except in the part where the Law on Defence is spoken. In the control of the implementation of defence preparations, legal persons have the power, in the purchase, to spend their budgets, not as much as you think it is the competent State Audit, the police, the UsKOK, the State Attorney's Office, there are institutions, there are bodies. Therefore, your data is incorrect.
ParlaMint-HR_2009-06-30-0.u34498	Second correction, Mr. Representative Frano Matušić.
ParlaMint-HR_2009-06-30-0.u34499	Thank you, Mr. Vice President. counterpart Grubisic said that harassment was a question of whether the general had the right under the law to make that surveillance, that it was harassment. So it can't be any harassment because he didn't have the right under the law. It is amazing that someone who has been sitting in the highest legislative body is considered to have been harassed when it comes to the question of whether anyone has been acting according to the law. Well, that's a really amazing fact. It can't be, it's not harassment because he had no right under the law as you've heard, it belongs to some other institutions. Does this mean that you can take the right to exercise supervision over the Ministry of Finance of counterpart Grubisic, who is allegedly in favour of the rule of law.
ParlaMint-HR_2009-06-30-0.u34500	Vice-President Susana Bilic-Vardic is correcting the incorrect allegations.
ParlaMint-HR_2009-06-30-0.u34501	Thank you very much. Dear Mr. Vice President of the Croatian Parliament. His colleague Grubisic made inaccuracies. One of these is also when he refers to Honorary General Jozo Miličević as the chief inspector of the Croatian Army, which if we are to be right, he was only the behavioural officer of the Croatian Army and my predecessors and colleagues, Roncevic and counterpart Matušić, said without any authority to carry out the job because it is the work of the State Audit. And besides, I'm surprised that in the House we advocate that the army, generals control the work of ministers and civil services because it reminds me of some type of Latin American state and something like that. Thank you very much.
ParlaMint-HR_2009-06-30-0.u34502	SDP representative club Mr. Representative Josip Leko. Here you go.
ParlaMint-HR_2009-06-30-0.u34503	Dear Mr. Vice President of the Croatian Parliament, colleagues and fellow MPs. I think citizens will understand two things very well from today's debate. The first is that we want to stress that citizens understand that the investigative committees that trust opposition in Croatia do not make any sense because the investigative commission is in most positions, so the position is explored. That's not the point of an investigative committee at all. That's why we have today I could say a completely wrong debate. So the position wants to discuss whether the Chief Defence Inspector has the right to investigate, whether it's part of the circle or not, which is not the subject of the debate at all. It's not a matter of debate at all. The point of the debate is why more public money was spent than needed, it's the subject of debate. And whether the inspector was right or wrong, it's the subject of some other debate, not these. Although the inspector would not have the right under the law, and he found that there was an illegality or in a mild form of irregularity, it does not reduce the facts he found. This does not diminish the facts that he has established. This could be unauthorized obtained evidence and be called upon to do so. But the fact remains, the fact that more public money was spent than was necessary. That's what's left for the public. Don't speak for your position, we're not asking you to admit it. Second, what we've done with this investigation committee. So the position is one more thing for the public, so to speak, it's done to the harm of trust in the institutions. The file undoubtedly states that the State Audit had three approaches to things. One approach was for her internally, internally for the State Audit, the other was for the Ministry itself and the third was for the public, i.e. for representatives of the public or representatives of the citizens of the Croatian Parliament. In such a situation, we have again that a number of hands or positions determine what is true. Well, that's not the point of an investigative committee. It's the sense that most of us who are in position are investigating that position. Then you lose the sense of the multiparty, you lose the sense of control of the position. The general sense of what Parliament is doing is lost if it does not control it. ... And you keep your opinion, I speak for the public and the public evaluates me, as you have yours spoken. [[You can't hear the intruder.]] Therefore, all the facts and arguments that are investigated by the Commission, and there are many here that are not disputed, is one of those that has been paid more to get trucks than they should have. For the public, it doesn't even matter who's responsible. It doesn't matter. Because if we had the institutions of the legal system or the rule of law and the rule of law, then we wouldn't wait five years for the institutions of the rule of law to be seen about these things. And the rule of law institutions are primarily the State's Attorney's Office, State's audit and courts. We can try not to see or show that we don't see it, but the citizens see it well and the meaning of this investigation committee. The opposition has done its constitutional task, completely done. Of course, because of the relationship most of the forces forced to be in the commission, we didn't come to conclusions that were logical, but we didn't expect it. It was important to make a visible Croatian public aware of how public money was handled. Thank you very much.
ParlaMint-HR_2009-06-30-0.u34504	Thank you. Five corrections. First Mr. Representative Berislav Roncevic.
ParlaMint-HR_2009-06-30-0.u34505	The inaccuracies allege that the task and purpose of this commission was to determine that trucks were overpaid, but the task was whether they were. You have entered this commission with prejudice. Not you as an esteemed colleague, Leko, but as an SDP. Well, my colleague Stazic, before the commission was set up, yelled here in the Parliament, discussing with us ten topics, crime related to trucks. The commission's job is whether or not they are, as you say, aren't they. You speak to the Croatian public. I speak too, my colleague, the Croatian public and the Croatian public have recognised it. In the city where I live, my party got 45% in the last election, and your 6.7. Thank you very much.
ParlaMint-HR_2009-06-30-0.u34506	Mr. Representative Frano Matušić, next amendment.
ParlaMint-HR_2009-06-30-0.u34507	Thank you, Mr. Vice President. So it is incorrect for counterpart Leko to in parliaments with a global democratic, that the work of the investigative commission only takes place in the opposition ranks. So that's not true. Everywhere, an investigative commission in parliaments is formed by world democratics in a way that is equally represented by the participation in parliament itself, so the parties elected. The second thing is that it is entrusted to the presidency, that is, instead of the president, to the opposition. That's one thing. Secondly, you are referring obviously to the democratic practice of parliaments only after the '90s, before we heard you refer to that practice. And the third thing, when you talk about how this commission was formed to determine why more money was spent than needed, not why, but whether it was spent, as already said. It's not why. It's what it is. I'm up until '90. I called, colleague Leko, and I was even forbidden to talk about going to church and what I do and how to do.
ParlaMint-HR_2009-06-30-0.u34508	Mr. Representative Jerko Roshin, next correction.
ParlaMint-HR_2009-06-30-0.u34509	Mr. Vice President. ... My colleagues are already what I wanted to say said, is not that. [[You can't hear the intruder.]] Because from such an assumption that it has been paid more than that, we are not leaving today. Today's debate did not show that more was spent, but was discussed whether this finding was wrong as a presummation of something that does not exist. Thank you, but my colleagues have already said.
ParlaMint-HR_2009-06-30-0.u34510	Mr. Representative Krešimir Ćosic.
ParlaMint-HR_2009-06-30-0.u34511	Your Honor, Mr. Vice President. It is the incorrect statement by Mr. Lek, which he claimed, which I quote: "...that more money was spent than it should have been spent." That's incorrect. It's completely incorrect. And unfortunately, you in the Croatian Parliament have the right to say your opinion without being familiar with the subject at all, that you have not read all relevant documents. If you'd read it all, you wouldn't have said it. It's earned value for money spent, as the English say is worth for money. That's right. What was bought 3% is cheaper than the declared prices in the first competition. Therefore, you claim and you bring the courts that I would say disturb the Croatian public, and that at the same time you have not taken responsibility for getting to know you and that you have read all the important documents that uncontestably prove that 3% of the price is cheaper than the first competition. Thank you very much.
ParlaMint-HR_2009-06-30-0.u34512	And Mr. Representative Krunoslav Markovnović.
ParlaMint-HR_2009-06-30-0.u34513	Well, here's my colleague, Leco, saying it's not a dispute that trucks are overpaid. I mean, it's really funny after the whole story, but it's an extremely big breakthrough in the heads of the SDP, because they first claimed that 15 million were stolen. Now on one turnout, more expensive trucks were bought, and they could have been cheaper trucks. So, piece by piece, and I think it's going to change in their way of thinking. And the fact is that really this commission didn't make sense given the results, and that's what you'll feel best in the future.
ParlaMint-HR_2009-06-30-0.u34514	Five-minute debates, club of HDZ MPs Mr. Andrija Hebrang. Here you go.
ParlaMint-HR_2009-06-30-0.u34515	Thank you very much, Mr. Vice President, colleagues and colleagues. After almost a full day's debate, we're now hearing that it's not right for most of us to outvote the minority, so now we're going to be back in '45. when the minority outvoted most. I think it's democracy that most people say their own and respect it and that by raising their hands, it's confirmed. And we will by hand confirm that the affair of trucks is a political affair, a dirty fabrication, an invention that has damaged one man and his family irreparably defiled and irreparably defiled. But also an affair that has damaged the Republic of Croatia because I have heard in a whole series of countries this as an example of high-level state corruption. What did we prove in the commission? We have proved that the choice of the truck was carried out by the Chief Staff and not by Minister Roncevic. The main headquarters ruled out 4 out of 6 bidders. With this letter of November 25, 2004, when he said: “We agree on the following offers. It lists the types of trucks and excludes four bidders from the truck. There are 2 IVECO and Mercedes left." Department of the Ministry, the purchasing service of those two selections of the one who is 16% cheaper and that's the whole story of trucks. Why were they bought more in the second contest than was foreseen in the first? Because NATO's negotiations came to the final stage and we had to pursue the partnership goals of joining NATO together, we had to buy more of these trucks, and these negotiations were led by the ministry. So the picture is completely simple, it's bare to the extreme and there's no doubt about getting those trucks anymore. But what is the truth? It's not true what we here claim and vote for. The truth is what will be presented to the Croatian public. Which of our discussions will come out. I'm afraid it's not going to be anything like what came out after this commission's work, reduced, forged, hidden, disguised, rewritten. If this comes out then democracy in Croatia has indeed not come to life. I'm just going to say that the key document has been denied. Mr. Stazic as chairman of the commission skipped the document and we did not, Mr. Stazic, and we did not include it in the documents we had declassified. When I found the document and asked him why you didn't include the key document in the lists, he said, you have a phonogram, because the minister didn't call it. In his decision, the minister did not refer to any other 740 documents because he did not have to. He has to work on the documents and it's known when he calls, when he doesn't call. High-quality trucks have been purchased. Croatia has entered NATO. The trucks are in full power, as General Lucic testified. Trucks meet the standards that were needed. Former Minister Roncevic is a black sheep in the Croatian public for several years, and Croatia has a negative perception, a poor perception of corruption at the state summit. Who profited? Certainly not the inventor and father of this defamation, this counterfeit. And that's why I would tell the inventor of this slander and all my associates and assistants something that all Croatian politicians should have in mind. Let's put Croatia's interests ahead of our own. Let's not think about our political option in the first place. We sometimes think of Croatia and its interests. Thank you.
ParlaMint-HR_2009-06-30-0.u34516	Thank you. Correction of an incorrect quote, Mr. Representative Nenad Stazic.
ParlaMint-HR_2009-06-30-0.u34517	Well, it's incorrect that my colleague Hebrang claims that as chairman of the commission, I've suppressed any document, because I've simply been in no position to hide something, to hide something or not to bring something to the commission. So, all the members of the committee received all the documentation that MORH sent. The fact, however, is that Minister Roncevic, when making his decision, never and nowhere has he called for access from Eurokamion to be obtained as a key document. As a key document in the commission's work, he was invented by fellow Hebrang. He gave him too much importance, the importance that this document doesn't really have. But it doesn't matter this document or that document. It's an important affair here as a whole. It is important here how much money has been spent and here it is important and what fellow Hebrang says to the public, the public's attitude towards corruption, the public's attitude towards corruption, when it includes executive power, ministers, vice-presidents of the government, the Prime Minister. That's all that matters.
ParlaMint-HR_2009-06-30-0.u34518	Thank you. I'm concluding a debate on this agenda point.
ParlaMint-HR_2009-06-30-0.u34519	Ladies and gentlemen, MPs and counsellors. We're going to vote. First report on the work of the investigation committee on the fact-finding of 39 military trucks by the Ministry of Defence of the Republic of Croatia in December 2004. The debate is closed. But before we see the quorum. You're welcome to engage to control the quorum. The result? 92. We have a quorum, we can work. Therefore, in line with the proposal of the Assembly Working Body, I am voting on the following conclusion: "A report on the work of the Research Commission to determine the facts regarding the purchase of 39 military trucks by the Ministry of Defence of the Republic of Croatia is accepted in December 2004. A year.". Please, let's get involved and vote. The result? I find that the report was accepted by a majority of 72 votes in favour, 2 abstentions and 27 against.
ParlaMint-HR_2009-06-30-0.u34520	We're moving on to the next point. This is - The report on the state and operation of the penitentiary, prison and educational institutions for 2008 After that debate would conduct a joint debate on the Proposal of the Law on Prosecution, the Final Proposal of the Law on Amendments and Supplements of the Law on the execution of prison sentences and the Proposal for a law on the enforcement of sanctions imposed on minors for criminal offences and offences. It's an organic connection to all these three laws, the law of probation, so how long, once we've had the debate, then we'll continue tomorrow. ... Oh, please! [[I don't know what you're talking about.]] Take it easy, what are we up against? A united debate. [[Intruder: The United Debate!]] It's about the law of probation, the execution of prison sentences and juvenile sanctions. Oppose. Unfortunately, good. Unfortunately, we don't have most quorums that could be put to the vote. Because there's always rebellion. Then we can't vote unitedly because there's no quorum. Then we'll go now to the hearing on the report on the state and operation of the penitentiary, prison and educational institutions for 2008. The applicant shall be the Government which submitted the report pursuant to Article 6. The law on the execution of a prison sentence. The hearing was conducted by the Justice Committee. You received the reports at the session. I ask the Minister of Justice, Mr. Ivan Shimonovic, to further explain the proposal. Here you go, Minister.
ParlaMint-HR_2009-06-30-0.u34521	I would like to thank Mr. Chairman, respected MPs and MPs. Less than half a year ago, I presented the report on the state of the prison system for 2007 and the action plan. After only 4 months, I am in front of you again and I submit to you in the 2008 Report, the updated Action Plan and the three Laws, the Probation Act, the Law on Amendments and Supplements to the Prison Penalty Act and the Law on the execution of sanctions imposed on minors. Why so soon? Why is this package of reform of the prison system so extensive? Just for your comments and suggestions, respected MPs and MPs. A report on the state of the prison system for 2008 is submitted quickly and timely this time, as soon as possible in view of all the financial indicators to be collected. The report's methodology takes into account all the observations made to the 2007 report. The 2008 report shall refer to the observations of the Ombudsman and the Ombudsman for children. The same attention is paid to security aspects in the prison system as well as to professional action and rehabilitation, and includes a reference to the adjustment of the service of prison sentences to disabled persons or other special needs. The action plan, which was welcomed on the occasion of last debate, this time is in line with the remarks of 4 months ago, elaborated on the dynamics of implementation and the necessary costs. And finally, why are they in this package, regardless of how he's going to be discussed and these three laws? It is simply because without their adoption, or change in the situation in the prison system, it cannot be sufficiently fixed and brought into line with modern requirements and standards. When I took over as justice minister eight months ago, there were two groups of serious problems in the prison system. Subjective and objective. Subjective problems related to the inconsistency and selectivity of the application of the rule of law or other words, the benefit of individual prisoners to the greatest extent has been successfully removed. For this purpose, the rotation of the prison manager was carried out and the managers had to report from irregularities to the institution in which they were temporarily deployed. Where necessary, inspection oversight of the prison system administration was also directed. As a result, 8 criminal proceedings were initiated, of which 3 against the prison manager, 54 disciplinary proceedings, of which 4 against the prison manager and finally, as a result of 21 prisons and penitentiary, today 6 have new managers, which is about 30%. Although large numbers can always be missed by law, I estimate that the atmosphere in the prison system is significantly improved with regard to the rule of law and equality in action. The objective problems unfortunately require longer and more systematic resolution. But respected MPs and MPs, if the proposed package of laws and action plans are adopted and implemented, I estimate that the prison system in Croatia can be one of the better in Europe by the end of 2014. What's the current situation? The current situation is very worrying. This is being warned by the Advocate in their annual report, by the judgments of the Croatian courts and the European Court of Human Rights for claims of compensation due to inadequate prison conditions and by a decision of the Constitutional Court which obliges the Government to improve and comply with the relevant standards within 5 years. Such a decision implies appropriate changes throughout the system because the conditions in Remetinco are even better than in some other institutions. The 2008 report on the state of the prison system coincides significantly with the assessments from those sources. As in previous years, the main problems are the first overcrowding of 35%, and in closed conditions as much as 52% and a lack of staff of about 20%. Key security indicators are still good. There are fewer suicides, self-harms, assaults, and escapes. But the problem isn't just the state, it's the trends. The number of prisoners continues to grow at 10% per year. Smaller adaptations cannot cope with such a rate of increase in the number of prisoners, and in prisons there is an increasing overcrowding and an increasingly unfavourable ratio between staff and prisoners. These objective problems can only be solved through a larger reform procedure. It includes the adoption of three mentioned laws, i.e. amendments to the law and the adoption and implementation of the revised action plan. Let me introduce you to the basics of the action plan first. The pace of increasing the number of prisoners should be slowed down by introducing a sampling system and by expanding the use of alternative sanctions, the number of prisoners currently around 5 thousand should be reduced by about a thousand. To expand, i.e. to build new capacities where the most important building of the Glina prison is for 420 persons by 2010, the building of Zagreb prisons for 376 seats by 2011 and the construction of a new penitentiary and prison in Sibenik for 1230 persons by 2014. It is necessary to increase the number of members of the prison police and treatment staff, expand the leprosy and more frequently apply treatment programmes both in prisons and at large. What will the effects of this reform be? We'll get not only a more humane and modern prison system, but also a reduction of renaissance. The estimated cost of this action plan is about a billion and 100 million kuna. The actual cost is actually lower because this amount should be refused savings in the overtime that are now being paid and savings on fees for lost disputes both in front of domestic courts and in Strasbourg. Finally, it is very difficult to mathematically express how much society gets by reducing the rate of recitism. Part of the funds needed will be collected from international sources through donations, through favourable loans. The Council of Europe Development Bank has already expressed its readiness in principle to cover largely the costs of implementing the action plan. Dear MPs and MPs, the adoption of an appropriate action plan, even this difficult time of crisis and recession is not only moral and European, but according to the Constitutional Court's decision and legal obligation, so I warmly ask you to support it. The legal package will be discussed later, so I'm done with the exposure. Thank you very much.
ParlaMint-HR_2009-06-30-0.u34522	Thank you very much, Mr. Minister. Does the rapporteur of the Justice Committee want to take his word? Thank you. Then I'm opening a debate. The first application for a debate on behalf of the club of representatives is on behalf of the SDP club, a respected representative of Mrs. Ingrid Anticevic Marinovic. Here you go.
