ParlaMint-NL_2014-12-11-tweedekamer-6.u1	In this VSO, I am the first to give the floor to Mrs Ouwehand of the Party for Animals.
ParlaMint-NL_2014-12-11-tweedekamer-6.u45	Recovery. In the motion in part No. 23 asks Mr Klein to carry out all the preparatory studies during this cabinet period. That's the idea. I have already indicated that we intend to complete these investigations in mid-2015. This cabinet period lasts until March 2017. So I think it will be ample. The motion also calls for clarity in the areas concerned if the results of the research give rise to this. That will happen, of course. With respect to Mr Klein, who does not excel in tabling unnecessary motions, I say in this case: the investigations are being completed and, of course, we communicate the matter well to the areas, depending on the decision-making process in the Chamber. I would therefore advise against Mr Klein's motion. In her motion in part No. 24 Mrs Van Veldhoven asks the government to make a contribution to the mining fund a condition for granting a permit for drilling shale gas. But I don't need a permit to drill shale gas at all. I'm in the middle of research right now. I do not know whether we are taking the step towards test drilling and I do not know whether we are taking the step towards shale gas drilling. I do not think it is right to comment on the last step, which I do not know at all whether it is being made, and to lay down conditions for it. So I'm going to advise against this motion, too.
ParlaMint-NL_2014-12-11-tweedekamer-6.u46	Surely it's good practice for you to discuss the conditions clearly before you make a decision? This is one of the preconditions which, as far as I am concerned, should also apply to a test drill. In the meantime, the Minister has frozen the permits for this purpose. I would also like to receive a letter on what the different legal options were. If the Minister is not prepared to do so, I would like a technical briefing on this. The Minister therefore has frozen permits for a test drill, to which it should apply as far as I am concerned. I would therefore ask the Minister to consider it.
ParlaMint-NL_2014-12-11-tweedekamer-6.u47	I'm not going to make any statements about test drilling either. That would cloud the discussion. People then get the idea that we are sitting here again telling them exactly how we want to do these test drillings. I don't know if I want to do test drilling. I'm gonna do some tests and then I'm gonna see if we can get some test holes. Only then would I want to discuss this sort of thing.
ParlaMint-NL_2014-12-11-tweedekamer-6.u48	It's two-and-a-half. If the Minister decides now that he's not going to do test drilling, I'm withdrawing the motion. If the Minister continues to keep open the possibility of pilot drilling, we must work together to ensure that we have the frameworks clear. And now is the time, when we have not yet taken a decision, to draw up these frameworks. That includes this motion.
ParlaMint-NL_2014-12-11-tweedekamer-6.u49	I would like to leave it to Mrs Van Veldhoven whether or not she withdraws the motion. I think it is absolutely premature to say now that there should be a contribution to the Guarantee Fund for mining damage if a permit for drilling for shale gas is granted. I don't know if we're going to grant permits for shale gas drilling. When we think that this could happen, we can see which provisions are all applicable and whether it is desirable to draw up additional provisions. By talking about it now, we are not doing justice to the situation we are in. As far as I am concerned, this situation is that we are neutral in relation to shale gas, that we are conducting research and that we are drawing conclusions from the results of that investigation. In the motion in part No. Mrs Van Veldhoven's 25 says that the substances used in the fracking fluid should always be monitored. Fracking is involved in drilling for shale gas. I'm not ready to drill for shale gas. So I don't want to make any statements about the use of fracking fluid right now. I also advise the Chamber not to comment on that. I do not think it is desirable to cloud the debate and give a false idea of our intention. Our intention is, as far as I am concerned, first research and then conclusions.
ParlaMint-NL_2014-12-11-tweedekamer-6.u50	The Minister and I will return to the same point. He just gave a small opening and I want to see if we can get closer together. Can the Minister promise the Chamber that, when he has completed his investigations, we will have a separate debate before he decides on the defrosting or not thawing, on the granting or not granting of any authorisation, on the framework conditions that should be laid down at that time on what the Minister intends to do? If we can agree to that in advance, I'm prepared to hold motions until then. In principle, that is the pure order, but we certainly need to establish these conditions with each other before a permit or thawing is granted here.
ParlaMint-NL_2014-12-11-tweedekamer-6.u51	The thawing of permits? I know how Mrs van Veldhoven wishes to formulate it, but I hope she understands that by leaving everything to the old and in no way pre-empting the debate in the Chamber in the light of the results of the investigation and thus shutting down everything that is going on about permits and applications, the companies have done my duty to ensure that the Chamber can reach conclusions freely. I hope that Mrs Van Veldhoven did not mean her ruling on thawing in a negative way. If Mrs Van Veldhoven says she wants to have a separate debate on this subject, I do not think that is necessary. If the investigations are completed, if I can come to conclusions and submit them to the Chamber, then I will include all the relevant aspects, including those raised by Mrs Van Veldhoven.
ParlaMint-NL_2014-12-11-tweedekamer-6.u52	That is a long answer, but I understand that there will be another moment when we can establish the framework conditions, including the conditions mentioned in this motion, before the Minister takes a final decision to allow a pilot or extraction drill. If the Minister can say yes to that, I will hold the motions.
ParlaMint-NL_2014-12-11-tweedekamer-6.u53	There's gonna be a slightly longer answer. Instead of the yes that Mrs Van Veldhoven would like to hear, I would say that I do not want to get ahead of these test drillings. I do not want to say anything about these test drillings right now, because it gives rise to the suggestion that we are eager to carry out test drilling. No, we don't. We are in the process of research and on the basis of the results we are going to look at whether we want to do test drilling at all and, if so, in what way that could be justified, also fit responsibly in with planning. I just don't want to anticipate that. This applies to a number of other motions, and so does this motion.
ParlaMint-NL_2014-12-11-tweedekamer-6.u54	Please continue with the motion in part No. 26.
ParlaMint-NL_2014-12-11-tweedekamer-6.u55	That brings me straight to the final motion. It's the motion in part No. 26 in which the Government is asked to take a mandatory opinion from the drinking water companies, which can only be deviated on a reasoned basis. I wasn't going to. I think the drinking water companies are being taken very seriously. Their expertise and their interests are included in all relevant rules, provisions and laws in this area. If we come up with new things, we will of course involve them formally and informally. We shall now do the same. Compulsory opinions, which can only be differed on a rational basis, do not improve on the current situation. The motion in part No. 26 by Mrs Van Veldhoven, for that reason.
ParlaMint-NL_2014-12-11-tweedekamer-6.u56	I shall suspend the sitting for a few minutes so that the vote can be sounded and people have the opportunity to come to the Chamber to vote.
