ParlaMint-NL_2014-04-16-tweedekamer-6.u1	The next item is the reply by the Secretary of State in the first term.
ParlaMint-NL_2014-04-16-tweedekamer-6.u248	The amendment in part No. 33 Mr Smaling has already withdrawn. On the amendment to item No. 2 of the motion for a resolution (Doc. 30, I think he's gonna think for a second.
ParlaMint-NL_2014-04-16-tweedekamer-6.u249	Yes. That's good, Mr. Chairman.
ParlaMint-NL_2014-04-16-tweedekamer-6.u250	This has put an end to the government's first term. We shall suspend for about ten minutes before we proceed with the debate.
ParlaMint-NL_2014-04-16-tweedekamer-6.u251	We will now begin with the second term of the Chamber. Mr Graus of the PVV Group has the floor first.
ParlaMint-NL_2014-04-16-tweedekamer-6.u252	Thank you, Mr. Chairman. First of all, I would like to thank the Secretary of State for all her answers. I am very pleased that she is at least in favour of the possible 'phosphate bank', whatever it may look like. I am very grateful that the Secretary of State wants to encourage them from the government. I would like to table a number of not too long motions. I would like to inform the clerks that in my first motion I deliberately wrote the word 'ur-Hollands' with'sch'. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government to take back control of our "ur-Hollandish" landscapes in (national) hands,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government to refrain from further implementing Natura 2000 legislation as it shows how much damage our farmers and our economy are suffering without achieving the natural objectives achieved,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the proposal to establish a non-fertilisation zone of 300 metres east of the Natura 2000 area of Bunder- and Elsloerbos is unnecessary and unnecessary because other national rules already provide for the intended purpose;]] [[Whereas in South Limburg alternative measures have been taken in a pilot project of the water supply company to achieve a very large reduction in nitrate and phosphate leaching to groundwater;]] [[Whereas, moreover, a non-fertilising area of 300 metres is not proportionate and the financial and economic consequences for the agricultural operators concerned cannot be assessed;]] [[calls on the Government to refrain from the 300 meter fertilising free zone in the draft management plan for the Bunder and Elsloerbos east of this area,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government to no longer consider stool from farm animals as a waste but as a very valuable building, energy and raw material rich in scarce phosphates,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to examine whether alternatives can be found in the management plan of the Natura 2000 area of Bunder- and Elsloerbos for a 300 meter fertilising free zone,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-49]] [[This motion has been proposed by Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-50]] [[This motion has been proposed by Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-51]] [[This motion has been proposed by Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-52]] [[This motion has been proposed by Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-53]]
ParlaMint-NL_2014-04-16-tweedekamer-6.u253	So much for my motions. My fourth motion was already a bit of a stepping stone to that phosphate bank. My last motion is for us a kind of second best, because we are against that fertilising-free zone. But yeah, you have to settle for a possible second once in a while. Finally, I would like to wish the Secretary of State a very happy birthday, and all happiness, love and good health, including for the rest of her family. And from here, I would also like to wish our Minister for Economic Affairs well. I understand it's hard to say that it's all more serious than we thought. I would therefore like to wish him well.
ParlaMint-NL_2014-04-16-tweedekamer-6.u254	Thank you. I think these wishes are supported by the entire Chamber. I will pass on the stenogram of this part of the meeting to the Minister for Economic Affairs.
ParlaMint-NL_2014-04-16-tweedekamer-6.u255	Mr. Chairman. The Programmatic Approach Nitrogen is ideally a win-win approach. That doesn't mean doing things any less, but doing things smarter. I also welcome the debate we have had on this issue. I have tabled an amendment for a so-called roof tile construction to ensure that we give entrepreneurs more prospects than just the first three-year period. More generally, I think it is important that we also try to learn from the first period of the PAS, the first six years, and that after those six years we also see what lessons can be learned for the next period of the PAS. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that evaluation of the Programmed Approach Nitrogen (PAS) has not yet been foreseen;]] [[Whereas this is also desirable in view of the social interest surrounding the PAS;]] [[calls on the Government to review the PAS after the first six-year period;]] [[calls on the Government to take into account, in any event, whether the direct and indirect public costs incurred for the PAS, such as those for recovery measures leading to economic development space, are proportionate to the added economic value, and to assess whether this should then be considered as State aid for economic development,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-54]]
ParlaMint-NL_2014-04-16-tweedekamer-6.u256	Then I have a motion on issue and compensation. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that under the Programmed Approach Nitrogen provinces have the power to decide for themselves who is to be allocated development space;]] [[Whereas ideally from this distribution there is an incentive to manage this area efficiently and to minimise the burden on nature;]] [[Whereas, moreover, differences between provinces will arise, but there is no need to find out about the wheel everywhere;]] [[Calls on the Government, with the provinces, to consult on the exchange of best practices for the most efficient use of nitrogen space and on the criteria used for issuing development space under the PAS with a view to promoting legal equality in the Netherlands;]] [[calls on the Government to consider whether and how the issue can also be based on an incentive that rewards companies that achieve far-reaching emission reductions;]] [[invites the Government to keep the Chamber informed by letter,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-55]]
ParlaMint-NL_2014-04-16-tweedekamer-6.u257	The Secretary of State has, moreover, opened the debate in my direction in order to have this discussion. I therefore hope that she will see this motion as a support. If at some point in the motion she feels that this is not the case, I would like to hear it, because I think we share the intention to go in the same direction. Then the point of the polluter pays. That is an important point in establishing this PAS but at all when taking this kind of action. We are taking measures, but there are also considerable amounts of public money put into it. I think it is very important that we know for sure whether it is a state aid issue. The issues of unlawful state aid are very broad. It therefore seems very important to me to pass a test before the PAS enters into force, otherwise we will put entrepreneurs in a situation in which they will be faced with costs that are attributed to them afterwards. Maybe the money corresponds exactly to the profits for nature and we don't suffer from anything, but I'd really like to see that passing on. That's why I'd like to file the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that public expenditure on nature management under the Programmed Approach Nitrogen (PAS) may lead to the creation of economic development space;]] [[Whereas it is unclear whether such expenditure may constitute State aid;]] [[calls on the Government to carry out a State aid test on this and to inform the Court of Justice of the introduction of the PAS,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-56]]
ParlaMint-NL_2014-04-16-tweedekamer-6.u258	Finally, I would like to make two brief comments. In the first term, the Secretary of State promised me that I would return to the status of the interim workers. There was another point on which we would have a further discussion, and that concerns the recovery measures. Still thinking about how to formulate this question even more clearly, I think it is at the heart of the question whether the recovery measures now allow for annual additional emissions or cumulative additional emissions. In other words, if you take recovery measures by plagging in a nature reserve, does this mean that it will provide structural space for the farmer to put 100 cows in the meadows nearby, for example? Or does it, when a farmer adds 100 cows, provide a space that is filled cumulatively each year for a small piece? If that is the case, we also need to know how long we can go forward with our recovery measures, when new investments need to be made and what that means for the total financial picture of the PAS.
ParlaMint-NL_2014-04-16-tweedekamer-6.u259	Mr. Chairman. We are dealing with a complex matter, which, I think, is clear. The chairman hinted at it. She said "I don't quite get it," but I don't think she's the only one, because it's really very complex. A hundred years ago John Maynard Keynes said: in a hundred years' time, so now everyone is working 28 hours a week; the rest of the time they are gardening, making nature walks and recreating. However, if you look at how we are trying to match nature, agriculture, industry and traffic in this country, you will see that we are still a long way from the sightseeing of John Maynard Keynes. I'm filing a number of motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is a high degree of uncertainty about actual nitrogen depositions on nitrogen-sensitive habitat types and a strong assumption of expectations and not of hard data;]] [[noting the current "front-side" approach by recording emissions on the one hand and allocating them through the concept of "development space" on the other;]] [[fearing that this will result in a legally extremely vulnerable law;]] [[calls on the Government to demonstrate that the system works by placing in each nitrogen-sensitive habitat type instruments that measure and monitor nitrogen deposition and from there establish the connection to the source,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Smaling. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-57]]
ParlaMint-NL_2014-04-16-tweedekamer-6.u260	This motion is a slightly light translation of the amendment to item No. 33 that the Secretary of State has dissuaded. I hope, however, that she will be able to endorse the usefulness of some kind of monitoring. My second motion is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas solitary, common agricultural holdings around nitrogen-sensitive Natura 2000 areas where a large number of land is already under management at State Forestry or Nature Organisations can make a significant gap in the natural and recreational value of the area;]] [[calls on the Government to ensure that the farmer either moves to low-emission forms of agriculture, or is rehoused in or outside the immediate vicinity in a way that does not benefit financially;]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Smaling. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-58]]
ParlaMint-NL_2014-04-16-tweedekamer-6.u261	Thank you. My third motion is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas agricultural holdings in the immediate vicinity of Natura 2000 nitrogen-sensitive areas will have little or no real potential for expansion and will be required to report on small developments;]] [[calls on the government, with agricultural collectives and nature organisations, to consider the extent to which low-emission buffer zones can be sought around these Natura 2000 sites and to facilitate the transition for the farmers concerned through targeted use of CAP greening resources and POP3 funds,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas in 2010 research showed that the use of air scrubbers and low-emission fertilising techniques in the province of North Brabant was far behind the obligations;]] [[noting that the Secretary of State for the Environment spoke at the time of "a large monitoring and short-term monitoring of air scrubbers in intensive livestock farming";]] [[Considering that the high peat content of the Natura 2000 areas of Deurnsche Peel & Mariapeel and Groote Peel benefits from low-food water, that no recovery measures are possible such as mowing and grazing and that nitrogen emissions around this area are very high due to the high number of pig farms;]] [[calls on the Government to ensure that the conservation objectives of the Natura 2000 areas of Deurnsche Peel & Mariapeel and Groote Peel are achieved in spite of this situation and to inform the Court thereof,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that these areas not only have a conservative value, but also have a recreational and educational function;]] [[invites the government, with the provinces of Drenthe, Overijssel and Limburg, to consider whether it is possible to set up ludic and educational cycling routes and green space projects around Beilen (eight Natura 2000 sites), Oldenzaal (elf areas) and Valkenburg (nine areas), and to encourage schools from the Randstad to include working weeks in these areas in the curriculum,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Smaling and Mr Jacobi. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-59]] [[This motion was tabled by Mr Smaling and Mr Jacobi. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-60]] [[This motion has been proposed by Mr Smaling. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-61]]
ParlaMint-NL_2014-04-16-tweedekamer-6.u262	The last motion is a translation of the amendment on which I had a brief interruption debate with the Secretary of State. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Calls on the Government, the "Programme" PAS and ministerial arrangements with a substantial policy-based component of the present amendment to the Nature Protection Act 1998 (Programmatic Approach to Nitrogen) to be submitted to the House of Representatives;]] [[calls on the Government to refrain from making substantial policy changes to the PAS (Ministerial Arrangement) without submitting them to the Chamber in its submission,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Smaling and Mr Jacobi. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-62]]
ParlaMint-NL_2014-04-16-tweedekamer-6.u263	Mr. Chairman. It all started with the Koopmans/Samsom motion. It became a heavy and long-term file. I'm not used to the introduction of former colleague Koopmans, but he couldn't help it either. That had to do with other factors. There must be certainty for society and for entrepreneurs. At the moment, we can also see that licence applications are becoming increasingly difficult, if not at all. We in the Chamber have a very important role to play in this. We simply need to stop the fact that licences are no longer issued. We need to ensure that we get legally sustainable permits so that we can go back to business in the Netherlands. The CDA has been advocating this for several years. We believe that the PAS should be introduced with care but with some urgency. A lot of people say: the PAS has been postponed so many times, is he going to get there? That is also what I see in reports that I am getting to me during this debate. I think the Secretary of State has made a very clear statement on this this afternoon: he is going to be there. We will support the Secretary of State, provided that the second term ends well. We've found each other on the subject of ecology, social and economics. Sustainability is back on track with those three strokes. The Secretary of State indicated that the cabinet is investing in the PAS. That's right, but the provinces are actually investing a lot more financially. It's about hundreds of millions of euros. That's what I'm saying to the colleague of the Party for Animals. There is a lot of investment in nature in the Netherlands. Around the PAS, the provinces are going to invest hundreds of millions of euros. The PAS is also important for our society. I want the Chamber to remain involved in the implementation and content of the PAS. This afternoon, an important commitment was made by the cabinet. I hope that the Secretary of State will explain clearly in the second term how she sees things in the framework of the veil and so on. The CDA shall not pursue any delay in implementation. So it has to be clear. I have four more questions. I hope the Secretary of State will be able to deal with that. She talked about ministerial arrangements. What ministerial arrangements does it have in mind? What arrangements are being introduced? Maybe that could get a little more concrete. Then I have a number of specific questions. The first one is about the zoning plan. Mrs Lodders said something about this earlier in an interruption, but I am going to ask the question a little more specifically. Is a zoning plan that has a longer run than the first six-year PAS period, the chance to die at the Council of State because the development space for the second PAS period is not guaranteed? The following concrete question is: what are the possibilities for providing economic sectors with certainty about the availability of development space after the six-year PAS period? The last concrete question is: has a transitional right been included in the amended Nature Protection Act for the Programmatic Approach Nitrogen? Let me give you an example. When a road is constructed, a Nature Protection Act procedure is under way and it is not yet completed. It has not yet been completed at the entry into force of the PAS. Will the Nature Protection Act proceedings be concluded? Or should the procedure be completed under the PAS regime? That is a fairly legal question, but if we do not settle this properly, it will come up with a number of bypasses and so on in the Netherlands. Finally, I shall table three motions for resolutions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Programmed Approach to Nitrogen includes measures leading to a reduction in nitrogen deposition and a strengthening of natural values in Natura 2000 sites;]] [[Whereas these measures will make development space available allowing the competent authorities to grant permits as referred to in Article 19d (1) of the 1998 Nature Conservation Act for projects which cause an increase in nitrogen deposition on nitrogen-sensitive habitats in Natura 2000 sites;]] [[Whereas the "generic measures related to the nitrogen programme agreement' includes measures for the agricultural sector to achieve a net reduction in ammonia emissions of at least 10 kilotons in 2030 compared to 2013;]] [[points out that 5.6 kilotons of the development area will be available for the development of agricultural holdings,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas social and economic aspects should be taken into account in the area analysis so that there is sufficient development space available to meet the essential needs;]] [[Whereas the note following the report states that objection and appeal against the adoption of the management plan should only concern the descriptions of acts which do not jeopardise the achievement of the conservation objectives;]] [[calls on the Government to extend the possibility of appeal and appeal against a management plan with regard to the consideration of socio-economic factors,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Geurts. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-63]] [[This motion has been proposed by Mr Geurts. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-64]]
ParlaMint-NL_2014-04-16-tweedekamer-6.u264	Then I have another motion on the competent authority. I shall submit it anyway; perhaps we can come together in the second term. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas projects affecting several Natura 2000 sites in different provinces remain unclear as regards the competent authority;]] [[Whereas the national measurement system and the central registration of development space through AERIUS do not depend on the availability of development space in the province in which the Natura 2000 site is located;]] [[requests the Government, the province in which the holding is physically established, to be the competent authority,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Geurts. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-65]]
ParlaMint-NL_2014-04-16-tweedekamer-6.u265	I would like to thank the Secretary of State for her first reply and congratulate her on her birthday.
ParlaMint-NL_2014-04-16-tweedekamer-6.u266	Mr. Chairman. I would also like to congratulate the Secretary of State. I did not bring a gift either: colleagues have already tabled motions, but I wanted to give 'no motions' as a gift. Then the pile doesn't get any higher. It is also my custom, when I receive promises, not to make any further motions on this matter. That is not to say that colleagues do so, but I am arguing from my own point of view. On other points on which I wanted something, the opposition of the Secretary of State was so great that I think: if I make a motion on this, it will not make it. My main points relate to the two amendments that have been tabled. It would be so nice now if the Secretary of State would just set up her party hat between the first and the second term and think: well, why not? When I look at the content of the amendments, I see that it should be possible. In my view, the external netting is very important as a back-up when it would go wrong in certain areas. As far as the 0.3 mole threshold is concerned, I can understand the legal argument to make it watertight, otherwise lawyers might break it open. I would then like to give the following suggestion to the Secretary of State. If you are reasoning from the legal reality, which is indeed a reality, whatever you may think of it, couldn't it be that you say: for some projects in the background position, just take that space with you in the calculations? Suppose we are talking about projects up to 0.3 moles, of an average of 0.15 moles and that we are assuming 1,000 projects, then we take 150 moles in the background position. If you do not have more than 1,000 projects covered by this scheme, it is still waterproof. Couldn't we get out that way? I find it unsatisfactory that we are now going to end up with a law that, if you are at a great distance from such a Natura 2000 site and have an impact the size of one goose poop in that area, you will have to go through the whole procedure. I am sure this is not the intention of the Secretary of State, and certainly not of the President of the Chamber, although of course she does not have an opinion on this as President. It is the intention of no one here, because we are all concerned that only significant effects require a permit and therefore not for these very small things. I therefore invite the Secretary of State to come up with a ruse with each other and not to repeat our statements. That goes for both of us, because I am also looking for a solution to allow projects that have little influence to continue, without all kinds of fuss and permits.
ParlaMint-NL_2014-04-16-tweedekamer-6.u267	I take it that Mr Dijkgraaf also does not want to see the effects, as a result of not being so great in themselves, suddenly appear to be such an excess that things are closing down. In other words, is he also mainly looking for a lightest procedure? It is then a small effort to report and we need those reports to be able to monitor and intervene before it goes wrong rather than afterwards.
ParlaMint-NL_2014-04-16-tweedekamer-6.u268	If you simply have to report something on a website to be able to continue, I'm fine with that. It is therefore mainly a question of what is attached to a notification of an impact which has a minor impact on such a Natura 2000 site. Maybe we can find each other on the question of what it means when you have to go into a permit procedure. I don't care if someone has to do something on a website, but it shouldn't be that you can get involved in a complicated legal procedure that also costs you by submitting all kinds of plans, especially when it comes to an effect that you say "people what are we talking about?" A thousand projects times 0.3 moles is 300 moles and that is one whole per year above a particular area. Everyone will say 'we do not want to', but then we must also ensure an easy procedure.
ParlaMint-NL_2014-04-16-tweedekamer-6.u269	I share Mr Dijkgraaf's concern that you should not want this kind of thing. That might also lead to people not doing it at all and then we have no idea what is happening. So I do think it should be a very simple procedure to avoid circumvention. It seems to me a fine task for the Secretary of State to make it as simple as possible.
ParlaMint-NL_2014-04-16-tweedekamer-6.u270	Mr. Chairman. I have announced that I will amend my amendments. I will wait until I hear the Secretary of State's response in the second term. Then I will decide exactly what I am going to do with my amendments. If that leads to a significant change and if it is important to hear the opinion of the Secretary of State before the vote on this matter, she can of course give us her opinion in a letter. It would be a shame to reopen the debate only for that reason, because that does not seem to me to be so productive. I have two more points. Firstly, the German situation continues to intrigue me. Germany has a threshold of no less than 7 moles, while we are already struggling about 0.3 moles. I know, of course, that Germany is a very different and much less densely populated country, but in Germany there are indeed densely populated areas in which nature reserves are located. I understand why the comparison with the whole of Germany is so disappointing, but zooming in on parts of Germany you see a situation similar to the Netherlands. Why can't it be there and not here? I do not know whether the Secretary of State can add much to her earlier reply in the second term. If that is not the case, I can imagine that she will return to it again in a letter, for example before we deal with the AMvB's front. It remains quite difficult for farmers to deal with a completely different situation on this side of the border and on the other side of the border. Mr. Chairman. Let me now turn to my second and final point. It is a good thing that the Secretary of State announces that she will work out a number of issues in AMvBs and that they will come to the Chamber. It has even said that the overall package will be sent to the Chamber with priority. I think that is a very elegant solution, because it means that when we vote for the law next week, we will say to the Secretary of State: these are the contours of the law and the details will be worked out. This week we have got used to this kind of lyrics!
ParlaMint-NL_2014-04-16-tweedekamer-6.u271	Mr. Chairman. I would like to thank the Secretary of State for her first reply and for the written replies sent to the Chamber between the end of the first term and today. My group is very concerned about the PAS, which we expressed in our first term. In addition, we have asked additional questions together with the SGP Group, because we are not satisfied that the PAS actually provides a solution to the issue of licensing and the restoration of natural values in the areas. Of course, this is not only due to the instrument of the PAS, but also directly to the amount of development space available. The PAS is a consequence of the way in which the Netherlands implemented Natura 2000 and that is actually the reverse world. The VVD believes that Natura 2000 policy should be re-examined and that a fundamental discussion on Natura 2000 should be launched. This is necessary because entrepreneurs are constrained in their activities and thus also employment, the number of jobs. I would like to make a motion on this point. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Programmed Approach Nitrogen (PAS) is the result of the implementation of Natura 2000 by the Netherlands;]] [[considers that there should be a fundamental discussion on how Natura 2000 has been implemented in the Netherlands and what consequences this has led to;]] [[calls on the government to initiate this fundamental discussion,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Lodders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-66]]
ParlaMint-NL_2014-04-16-tweedekamer-6.u272	I told you, it's the reverse world. We have implemented a directive from Europe and we are actually adding all kinds of repairs. The answer given by the Secretary of State on the development area and its commitment to it has not yet reassured my group. We are still concerned about the availability of sufficient development space for both the agricultural sector, industry and traffic. The additional questions we have put to colleagues in the SGP on this subject also do not make it clear how the available development space is being distributed, as the AERIUS 1.7 programme is still under development and there are still plenty of discussions with the provincial authorities. For my group, the question is whether there is enough development space available, crucial in order to be able to agree to the legislative proposal before us. We've just talked about the veil in detail.
ParlaMint-NL_2014-04-16-tweedekamer-6.u273	I have two brief questions for Mrs Lodders. If it considers that the development space is not sufficient, how would it wish to increase it? I ask this because we are dealing with the conditions of nature. That's a fact. And if, for example, in South Holland, there is scarce development space available, should that space go to the port or should it go to the farmers, if it is a choice?
ParlaMint-NL_2014-04-16-tweedekamer-6.u274	I shall begin with the final point, the question of what choice we are making. We had a wide-ranging debate on this at the beginning of the first term. The VVD Group believes that there should be room for development. We are not going to make a choice. We consider all three categories to be of great importance. We have discussed this in detail. I do not think that this debate is relevant at the moment. Then there is the question of how I would like to increase the development area. I have also asked questions about this in the first term. I shall now come to a number of specific points. Which buttons are there in the current law or what buttons can we insert into the current law to create more development space? Of course, that depends on what you insert into the instruments.
ParlaMint-NL_2014-04-16-tweedekamer-6.u275	A button is very clear, namely the amount of money you are willing to pay for nature restoration measures. Is that something the VVD would like to spend extra money on? On the other hand, the consideration of where to go, I have to say that the VVD apparently lives in a dream world, in which we do not have to make a choice and everything can be done. We know it's not. Give clarity to the entrepreneurs, Mrs Lodders! Do you think such a port is important? They are waiting for your answer there too. Or do you say to the farmers: I give you that space? We'll know what we're up to.
ParlaMint-NL_2014-04-16-tweedekamer-6.u276	I note that with the current Natura 2000 policy and the way in which the Netherlands has implemented it, that is exactly what I want to say in my motion for a resolution. The Netherlands is a very different Member State from the countries around us. I think we should have been much sharper on that in the past. It cannot be that at this time, when we are looking for jobs, where we are looking for jobs where the economy shows some light, we are closing down the Netherlands. I don't think that's right, and the VVD won't choose that either.
ParlaMint-NL_2014-04-16-tweedekamer-6.u277	I have a question about the motion in which the VVD states that the Netherlands has not properly implemented Natura 2000. I really wonder what the VVD is trying to say to the entrepreneurs, where legal certainty is concerned. Indeed, we had not properly implemented the agreements made years ago. At that time, the directive was subject to direct scrutiny. In submitting this amendment, we received a report from the Council of State. It says that measures that have pushed CDA and VVD through under the previous cabinet simply cannot, because they have not properly implemented the directive. If you do not recognise that we have to comply with this obligation and pretend that we have not done it properly to entrepreneurs, then you will knowingly run risks with their legal status. These directives have been properly implemented.
ParlaMint-NL_2014-04-16-tweedekamer-6.u278	What is your question, Mrs Ouwehand?
ParlaMint-NL_2014-04-16-tweedekamer-6.u279	Is the VVD going to continue with that game now? If that is the case, I would like to hear that Mrs Lodder is honest about her high-level play.
ParlaMint-NL_2014-04-16-tweedekamer-6.u280	It is absolutely not a game that the VVD plays. We have, fortunately, seen in the past period that the Natura 2000 policy has already been adapted to a number of aspects. Under the Rutte I cabinet, the VVD strongly advocated the deletion of the complementary targets. Those were parts that Brussels did not ask of us. Finally, the complementary targets have been removed under the Rutte II cabinet. We are convinced that we need to have a fundamental discussion here in the Netherlands about how the Netherlands implemented Natura 2000 in order to see whether it has done so properly. We believe that this is not the case and that there is more room. Through this motion, I call on the Cabinet to begin this discussion. Apart from that, we are now working on this bill. So I see that as a two-track policy.
ParlaMint-NL_2014-04-16-tweedekamer-6.u281	I really wonder whether Mrs Lodder simply ignores, reads or doesn't understand all the legal analyses. The core is that when the state of your nature heats backwards, the law becomes stricter and the resistance increases. There will then be less and less room for licensing. I do not understand why Mrs Lodder does not want to recognise this as part of legal certainty for entrepreneurs and continues to say that we have not done that implementation right. That's just not true.
ParlaMint-NL_2014-04-16-tweedekamer-6.u282	Mrs Ouwehand and I will not agree on that. Let us look at how the Netherlands has implemented Natura 2000. I recall the complementary goals. There are more examples. There must be a fundamental discussion about this and the VVD is very keen to have it. In the first term, I talked about companies and their existing use. In any case, the VVD wants to give a perspective on development to companies covered by existing use. That's why I'm filing a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the 1998 Nature Protection Act defines existing use as a use known or reasonably known to the competent authority on 31 March 2010;]] [[having noted that the competent authorities have agreed with the Memorandum of Understanding on Natura 2000 Management Plans to include existing uses in the management plans;]] [[Whereas in some areas, such as the province of Gelderland, this is still not happening and the consequence is that activities which should be covered by existing uses should now be provided with an appropriate assessment;]] [[considers that this leads to uncertainty as it has to be demonstrated that these activities do not have a significant negative impact and that they unnecessarily involve high costs for industry;]] [[calls on the Government to consult the provincial authorities to ensure that the existing use is included in the management plans;]] [[calls on the Government to ensure that the Memorandum of Understanding on Natura 2000 Management Plans is implemented,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Lodders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33669-67]]
ParlaMint-NL_2014-04-16-tweedekamer-6.u283	May I point out to Mrs Lodders that, following her motion in which she notes that the Netherlands has not properly implemented the directives, she is now bringing forward a motion which runs counter to what the directive requires of us? She can just read this in the analysis of the Council of State of the previous amendment to the Nature Protection Act: you cannot just exempt existing use from the Habitat test. So the VVD says: we didn't do well and here I have a proposal to do a little worse.
ParlaMint-NL_2014-04-16-tweedekamer-6.u284	I do not hear Mrs Ouwehand asking a question. I say again that she and I will not agree on this. We want businesses to have development space. If there is a need for a legal basis for this, then there must be one. Companies must be able to emerge from this difficult period of uncertainty. I'd like to ask the Secretary of State a few more questions. It has said that it will come back to the question of whether development space is mitigating or compensatory. I'll wait and see, and I might interrupt her when she gets back to that. We also talked about imports of nitrogen deposition. I continue to struggle with the fact that administrative agreements have been made on this matter. How can we ensure that it is clear, for example, for provinces, but also for entrepreneurs in those provinces, that these agreements have been made? In this context I mention the port of Rotterdam, I mention the agreements made in the covenant on livestock farming and I mention imports from Belgium, for example. Can the Secretary of State promise that this solution will also be anchored in that veil? In an interruption, I asked what buttons we could create to increase the development space. I have just been asked this question, but I also ask the Secretary of State once more. In my opinion, Mr Dijkgraaf has just asked sufficient supplementary questions on the amendment on the threshold. This concerns 0.3 moles and the example of the goose. This example is not intended to be funny. However, this shows how we seem to be doing on the square millimeter. During this debate, we discussed the available development space, the allocation and impact of the land use plans. My group is getting the feeling that we will soon have the PAS which, if we vote for the legislative proposal at the moment, are mainly an instrument to indicate that we want to continue with this Programmed Approach Nitrogen. At the same time, it's a shell casing. That is a difficult dilemma for my group. Soon we will have a beautiful harbour, but no development space to build the roads. Soon we will have beautiful roads, but not farms that can use those roads. I would ask the Secretary of State to re-examine, in particular, the rural development area, which is of such great importance for the Ministry of Economic Affairs.
ParlaMint-NL_2014-04-16-tweedekamer-6.u285	Mrs Lodders of the VVD says: we want a beautiful port and we want nice activities in that port. If she makes this statement, I think she should also look at what would happen if we were not to work with the PAS. What is Mrs Lodder's solution?
ParlaMint-NL_2014-04-16-tweedekamer-6.u286	That is the question. I have already said in the first period, a few months ago, that I am very concerned about this. On the one hand, we seek the solution in the fundamental discussion on the implementation of Natura 2000 here in the Netherlands. On the other hand, Mrs Jacobi will agree with me that we cannot close the Netherlands during this period. This would be at the expense of employment.
