ParlaMint-NL_2015-03-24-eerstekamer-7.u1	I give the floor to the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2015-03-24-eerstekamer-7.u50	I may be going to say something strange, but people with disabilities are also treated in the labour market as full partners, just like everyone else in the labour market. The quota levy shall be determined by reference to the number of workers whose employer is the formal employer. Flex workers can then be counted if they are on the payroll with that employer. We also agreed that posted employees working with that employer should be included in the user employer. Yeah, they just fit in like all other employees when it comes to determining the number of jobs. The sixth block deals with the support of employers. D66 asked about harmonizing the no-riskpolis. Is that harmonised policy available on time? Yes. I have prepared a legislative proposal to harmonise the no-risk policy and the mobility policy for the target employment agreement. The Council of Ministers approved the bill last Friday, i.e. shortly. It is now before the Council of State for urgent advice. The intended date of entry into force is 1 January 2016. With good agreements within the working room with VNG, UWV, employers and employees, we have this harmonisation of the no-risk policy available on time. The SP asked, not for the first time, whether there should be a guaranteed right when it comes to instruments for employers. Then I always say that municipalities are obliged by regulation to formulate municipal policies on the deployment of work facilities, including guidance. The use of amenities is and will continue to be customised. People from the target group Participation Act are entitled to support and guidance that is necessary in the opinion of the municipality. Decisions of the municipality shall be subject to appeal and appeal. A question has been asked about privacy in relation to the target register. With this register, the progress of the job appointment can be monitored and employers at UWV can ask which of their staff is part of the target job agreement. I have already gone into this for a while; an employer must be able to show a real name and number. If an employer is looking for a candidate, he does so in order via the municipality or via UWV. Then it can also be done via werk.nl. The last block is called "other topics." There are only two of them, so that gives the citizen courage. A point of attention of D66 and the Labour Party was equal treatment. The Netherlands signed the UN Convention in 2007. The legislative proposals with which the Netherlands ratifies this treaty have now been presented by my colleague from VWS to the House of Representatives. As far as these rights are concerned, there is a progressive realisation of a society that is becoming increasingly inclusive and accessible. Since we have already signed the UN Convention, it will be checked from that point on whether it is in conformity with the Convention. That's what the Council of State did. The Council made no further comments. This has also been done in the drafting of both the Participation Act and this law. The Secretary of State of VWS will shortly send the plan of approach for the implementation of all parts to the Lower House and, I presume, also to the Upper House. To what extent does the Workroom appointment relate to giving priority to Wajangers and WSW'ers on the waiting list to the equality legislation in the early years of the employment agreement? Employers have the freedom to choose from all the people in the target group. When people from the target group can get to work, it is often on functions created for them. In these functions, they carry out tasks which they can perform despite and sometimes thanks to their limitation. So it's about customization. They are unique features for unique people. Due to these adapted functions, the "equal suitability" balance for these functions is often not considered. There is also a practical side to the priority of these groups, because the people in the Wajong and on the WSW waiting list were already known to UWV and could be placed as a group in the target list. The same goes for the other people in the WSW, but they already had a job. Unlike the people on the WSW waiting list, they are already working. That does not alter the fact that if several candidates are available for a position, employers must respect equal treatment legislation. The spokesperson of D66 asked whether positive discrimination was justified, briefly put to the fore. Yes, because the UN Disability Convention aims, for example, to allow people with disabilities to participate on an equal footing in society with people without disabilities. In this context, Article 27 of the Convention provides that Contracting States shall recognise the right of persons with disabilities to work. The Convention does not exclude differentiation in measures for people with disabilities if the difference in treatment is aimed at correcting existing differences. As people from the target group have been excluded much more often so far, the extra attention given to this group is justified. This is not contrary to the UN Disability Convention. Especially on the part of D66 and somewhat on the part of GroenLinks, attention has been paid to the question of exactly how quotas are going in Europe. The application varies from country to country. There are countries that only have a quota obligation for government, such as Ireland and Belgium, and countries that have a quota obligation for market and government, such as Germany, Austria, Spain and Italy. There are countries that do not check compliance, such as Spain and Italy, and countries that do check compliance, such as Germany and Austria. In those countries which do apply control, the employment rate of people with disabilities has increased. In Austria, this increase was 12% and in Germany, the percentage of quota places filled increased from 3.8 in 2001 to 4.5 in 2010, an increase of over 18%. That gives the citizen courage. The government assumes that the quota will contribute to the increase in the number of jobs for people with disabilities without, moreover, the entire increase due to the quota system. That is the European context of the whole. Mr Backer concluded his contribution by announcing his second-term contribution. I am going to go into that; that would be my closure. Mr Backer said he would like to draw attention to people with disabilities who want to establish themselves independently. They can, of course, encounter all kinds of problems. I very much acknowledge that. I await the contribution of the Group of the Party of European Socialists in the second term, but I would like to say that I think it is very worthwhile to sit down with the organisations involved to find out exactly what the problems are and how we could solve them all. Mr. Chairman. I hope that I have answered the questions of all Members as exhaustively as possible.
ParlaMint-NL_2015-03-24-eerstekamer-7.u51	Almost. I have one more point on Europe. The essence of what struck me in the statistical material and the studies is that these things are so poorly comparable. I think it is important that we do not have to say that in two years' time. It would be nice if, for example, the SCP or another body could look systematically at this. I also asked what is the current state of the debate in Europe. Is there any discussion between colleagues on this matter? What's the status? Or is that discussion absent and perhaps something to initiate? That question had remained for a while.
ParlaMint-NL_2015-03-24-eerstekamer-7.u52	I really liked the fact that Mr Backer outlined the context in his speech, including history. We have tried to use quotas in the Netherlands. I remember from the 1980s that as a young worker I was asked whether I would like to be placed under the Labour Disabled Workers' Act (WAGW). I can imagine something vividly about that. I still think it is worth looking together with the SCP to see if we could do something about this, including in the justification. I don't think that's wrong at all. That is what we must do in the international context. We have not been European about this, but what is the point? Next year, the Netherlands will be President of Europe for six months. That could be a good time to invite a few colleagues to discuss this further.
ParlaMint-NL_2015-03-24-eerstekamer-7.u53	Mr. Chairman. It is often said that the Netherlands has one of the best healthcare systems in the world. In this light, we very much regret that our health care system has not been able to prevent the President's state of health from getting worse. On behalf of our group and on behalf of our entire party, I wish the chairman strength. As a true Christian Democrat, I am very much in favour of social dialogue and the results of social dialogue, perhaps a little too optimistic. I welcome the answer given by the Secretary of State, who is almost certain that employers and employees will comply with their commitments. In this context, I am also very pleased with the drivers who have been appointed in the market sector and the collective sector. We have noted that the Secretary of State hopes that it will go so well that the quota levy will never come. That is why I no longer have any technical questions as to what the quota levy should look like. I'm assuming you're okay. With regard to the appreciation of the social agreements, I have noted the reaction of Mr Backer of D66, who spoke very positively about civil society and social dialogue. In the past I have heard more critical notes from his party. In our party I sometimes see a decline in valuation, but it is more than compensated by the increase in the appreciation of social dialogue in D66. That makes this a beautiful day for me. But it's not quite a beautiful day yet. I grew up with vicars who regularly preach about the misery, salvation and gratitude. I noticed that a number of spokesmen in the Chamber, especially from the SP and PVV, almost always stop at the misery. The misery is brought forth extensively without any hope of salvation, let alone that one could be grateful. We hope that we will be able to expect some progress from those parties in the future of the debate. With regard to labour market displacement, we assume that, if you deliberately discriminate positively against a particular target group in the labour market, this is by definition displacement. You just have to accept that and not bitch about it. I'm done with that issue. On the question of whether there should be two laws or one, the Secretary of State has convinced us. Two things in this law make it clear that employers know where they stand. The other point of discussion about whether a root is more efficient than a stick, I would like to move on to the discussion of the PvdA's motion on the performance ladder social enterprise. The government has agreed to discuss this with the Labour Foundation. However, I would ask the Secretary of State if she can guarantee that the study will be completed at the same time as the evaluation of this law, so that, as soon as one starts to evaluate, one also knows what the alternative of rewarding the sector means. On the implementation of all kinds of rules, I have sometimes raised in a debate with Minister Asscher that I am based on the statement in Ecclesiastes 6 verse 1. You shouldn't be too righteous and not too godless. I would also like to apply this idea to the implementation of requirements that can sometimes be complicated. Our Chamber is responsible for the enforcement of laws. If we are going to paint ideals with all kinds of quota fees, varied and linked to Jan and Alleman, I am glad that the high warning is that this might be dramatic for implementation. I think the First Chamber should take that into account. I am not like Mr De Lange last week. He had started the debate with a positive foundation and after the answer of the Secretary of State he had ended negatively. With me, the basic attitude has remained positive. I will try to convince my entire group to accept that basic attitude.
ParlaMint-NL_2015-03-24-eerstekamer-7.u54	Mr. Chairman. I shall begin by saying that Mr Terpstra has apparently listened to my group's first term differently from Mr Backer. 125,000 jobs: that's not an insignificant deal. Certainly not, although it is less than was previously written down in the coalition agreement. But more importantly, the target group is much larger. That is why this agreement can only be a first step. As Senator Vos of the GroenLinks Group pointed out, there are even more vulnerable groups in the labour market. Precisely because the target group is much larger than the number of jobs in the agreement, the displacement is such a major concern of the SP Group. It is good to hear that participation and displacement are more widely monitored than just around this law. In this context, I specifically asked for competition in the first period on the basis of the cost of a necessary supply. I did not receive an answer on that point. My group also fears that competition on the basis of the cost of a supply that is necessary. May I make a suggestion to the Secretary of State? The Secretary of State was very positive in response to a motion from the House of Representatives to reward social entrepreneurship with positive social incentives. She wants to discuss that in the bosom of the cabinet............................................................................................................................................................................. Would it perhaps be a good and positive incentive, if you are going to revise the tax system, to make provision for anyone with structural functional restrictions on employment deductible for employers? It's just a thought. Then I come to the evaluation of this bill in two years' time and the commitment that has been made. I thank the Secretary of State for that commitment. The target group and its possible displacement should be the main parameters, but also the level of the levy in relation to the desired behavioural effect. To make sure that we are talking about the same thing and that we want to evaluate the same thing, I submit the next motion. The President shall: Mr Elzinga, Mr Sent, Mr Vos, Mr Reuten and Mr Ganzevoort proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering the importance of the proper functioning of the Jobs Agreement Act and its quota of labour restrictions to provide employment opportunities for people with disabilities;]] [[noting that it is necessary to be able to monitor and evaluate at an early stage the development of the various components in practice and in their interlinkages;]] [[noting that the quota regime will enter into force in 2017 at the earliest;]] [[noting that an evaluation does not produce results until at least two years of experience has been gained with the quota levy;]] [[calls on the Government, for the reasons set out above, to evaluate the present law two years after the entry into force of the quota levy, taking into account a number of aspects such as the number of additional jobs for the target group, the number of charges, the level of the levy in relation to the behavioural effect and the possible displacement in relation to the target group definition, and to inform the two chambers of the results of this review,]] [[and goes to the order of the day.]] [[She's getting No. Kst-33981-F]]
ParlaMint-NL_2015-03-24-eerstekamer-7.u55	I would like to hear from Mr Elzinga whether, if this motion is adopted, he is able to advise his group to vote in favour of the legislative proposal.
ParlaMint-NL_2015-03-24-eerstekamer-7.u56	There are still a few points. I had prepared another motion, but we were given a commitment on that point. With the commitments and the final reaction to this motion, our concerns are not gone, but we do have the opportunity to discuss those concerns seriously in the evaluation. These are certainly matters I will take with me and I would like to discuss with my group. I must say that under these circumstances, perhaps, the good should not suffer from the better, as Mr Backer said. Let me finish my speech. We are not yet at the end of the debate. We are also going to wait for the second term.
ParlaMint-NL_2015-03-24-eerstekamer-7.u57	You only have two seconds to speak.
ParlaMint-NL_2015-03-24-eerstekamer-7.u58	I'll be very strict, Mr. Chairman. I had prepared another motion on the smaller employers, but I noted a very clear commitment from the Secretary of State on this point. It will engage companies with fewer than 25 employees through a targeted campaign and actively encourage them to employ people from the target group register and to make use of all the facilities that apply to this target group to achieve additional jobs. A brief confirmation of this is sufficient. I look forward to the response to my motion and my suggestion for the tax plan. Then we'll see about it next week.
ParlaMint-NL_2015-03-24-eerstekamer-7.u59	Mr. Chairman. I would like to thank the Secretary of State very much for her reply. It has dealt with a number of issues which are of great importance to us. However, we maintain the fundamental problem of the labour market in the Netherlands. If we fail to open up the labour market more to low-skilled people, people with disabilities, the elderly and people with an ethnic background, then it will be very difficult to achieve some of the objectives of the Secretary of State, whom we wholeheartedly support. That's gonna be hard for us. We would very much like to see the cabinet work even more vigorously in terms of the structural exclusion of a number of groups in our labour market, including by creating more jobs. It would help to invest more in reintegration and training. This has been done on a much larger scale in the past and more intensively than is happening today. We find it strange that, at a time when it is really incredibly difficult in the labour market, and it remains bad for a number of years, especially for vulnerable groups, there is no investment in reintegration and training. Isn't it really a matter of doing that more than the Secretary of State just indicated? I just mentioned all the numbers. The amounts we are currently investing in this are really much lower than in 2002, 2005 and 2007. I like to hold on to that point. Secretary of State, do your best! The Secretary of State has given us a number of answers that we are pleased with. We are very pleased with the commitment of an evaluation in two years' time. That seems to us to be extremely important. That may also be the moment when a number of matters on which we have doubts are on the table. Is the levy going to work? Is it high enough? Is the target audience the right one? And so there are more questions to ask. I think that's a good time to take a critical look at whether we can do better. It has not completely become clear to me whether the Secretary of State sees any possibility of broadening the target group. Maybe we can do that now. Maybe we can do that later. She did say what happened in the House of Representatives on this point, but many groups asked for a broader look at it. I am pleased that the Secretary of State is discussing the current state of the register, because it is difficult to do so. All existing people are in it, but we should not leave the new influx in the cold. I'm glad the Secretary of State is going to look into that. If there are any interesting points to be made, I would ask her to inform the Chamber. I would very much appreciate that. I understand that the weighted quota may also be included in the evaluation in the future. Mr Backer also spoke about this. Then there is another point that I think the Secretary of State may not have fully understood. If someone on the target list is hired, that's wonderful. The employer invests, the person does his best and things are getting better. At some point the employee may be able to earn the minimum wage on his own. He'll be taken off the list after two years. I fear, and the people themselves, that the employer might say: sorry, you were here because you were on that quota list and now I have to find someone else because otherwise I will not meet the obligations. I would think that would be a perverse consequence of this quota provision. That's my concern. That is why I asked the Secretary of State if she could leave those people on that target register a little longer, even though they are now able to earn the minimum wage on their own. Can these people stay on the register for five years? I also welcome the answer on the no-riskpolis. That's just gonna happen, because the Secretary of State's gonna take care of it. Thank you for that. I will propose to my group that we vote in favour of the law.
ParlaMint-NL_2015-03-24-eerstekamer-7.u60	Mr. Chairman. I would like to thank the Secretary of State for answering a number of questions. For my group, it is central to the fact that the large group of people with reduced working hours is facing a serious fundamental problem. The distance to the regular labour market cannot be bridged by itself, if this would be a real option at all. The labour market is in a declining position, both in terms of size and job characteristics. The big question is whether this quota law provides a solution to this huge, possibly too big, policy challenge. It should be noted, however, that the government itself has faced this challenge with the Participation Act. My group has to note that the instruments of this quota law are not sufficient. The voluntary nature of the job agreement is difficult to translate into real jobs. The willingness of employers is too low. The choice to pay the fine, if it is already imposed, is made easy. The necessary consultations to activate the quota levy seem to be getting bogged down in poaching. The result of all this is that the group to do it is between the Participation Act and the quota law falls into a dark hole. The Secretary of State can't take away our concerns about that. The question is whether tools such as job carving can bridge the gap to the regular labour market, apart from all the various autonomous changes in the labour market. Faith in the feasibility of the labour market artificial jobs are missing from my group, no matter how sympathetic we might find it. The Secretary of State hasn't been able to convince us. The dynamics of the labour market are at odds with all the well-intentioned plans of this cabinet. Basically, it cannot be the case that a vulnerable group suffers from this.
ParlaMint-NL_2015-03-24-eerstekamer-7.u61	Mr. Chairman. I would like to thank the Secretary of State for answering a number of questions. I noticed that the contributions of most members of this Chamber were extremely critical, while the answers of the Secretary of State were extremely optimistic. That tension field won't be solved tonight. In fact, today's debate reminded my group most of pushing against a rubber wall, which immediately returns to its original position as soon as you stop pushing. As far as we are concerned, today's debate can be extended to the graveyard of unfulfilled expectations.
ParlaMint-NL_2015-03-24-eerstekamer-7.u62	Mr. Chairman. I realize that after the previous interruption, I have something to make up for in time. I'll try that, too. Thank you to the Secretary of State for the detailed reply. There were many questions and good answers about the target group, the displacement and the no-riskpolis. Not satisfactory to me is the Secretary of State's argument about the quota section. Some things you have to learn to live with, and I'll put this on that list. She hasn't been able to convince me, and apparently I haven't been able to convince her either. I have two more points on which I would like further information in order to convince my group. We have talked about people who belong to the target group, people about whom information can be given, but that information is very limited. You have said that the employer can get information when the bsn is known. My question was more focused on people applying. These people are not on the employer's payroll and they cannot indicate it. He can only ask for further information about this unknown target person who applies for a job in the company. The question is then very specific: what information can be provided by the UWV to the employer without violating privacy? The employer needs this in order to provide good training and good guidance. We have also had a small discussion about whether or not the levy will enter into force if there is no candidate. I have heard the Secretary of State say that this may be a matter of consultation. The employer has done his best to create suitable jobs for people with disabilities, but cannot find suitable people in the market. If I may put it this way: the employer should not be penalised; at that point the quota levy is a matter of consultation. I'd like to hear that confirmation.
ParlaMint-NL_2015-03-24-eerstekamer-7.u63	Thank you, Mr Beckers. It is insanely nice that you have actually completed it within the three minutes you have given up. Beautiful!
ParlaMint-NL_2015-03-24-eerstekamer-7.u64	Mr. Chairman. I would like to thank the Secretary of State for the fine answer to our questions. In particular, my group sees profits in the employment agreement from the social agreement for people with disabilities. In order to ensure that companies actually comply with the agreement, a quota levy has been agreed. We welcome the clarity provided by the present legislative proposal on the design of that quota levy. In the first period we asked a number of questions about this. How, for example, do you guarantee that all companies feel attracted to their responsibility for the collective agreement and make an effort to do so? In its response, the Secretary of State explained how this will be shaped. Another question we asked in the first period was whether it would be more economically profitable for all companies to hire people from the target group than to pay the levy of €5,000. The Secretary of State has indicated that she does not share these concerns with us. We would prefer to see the quota levy being unnecessary by actively encouraging employers to assume their own responsibilities. If it proves necessary, then we consider the evaluation requested by Mr Elzinga in the motion we have signed to be essential. Another question concerns consistency with other legislation, as discussed in the first term. For example, it has been agreed in the law that the quota levy does not apply to small businesses. Fortunately, the Secretary of State has indicated that these small businesses will indeed be encouraged to take on their responsibilities. With the new law, jobs will be created for specific target groups. For us, it is particularly important that this law is in line with the UN Convention on Persons with Disabilities in letter and spirit. It should also be possible for employers to offer these jobs to the target group in line with equal treatment legislation. That point was also brought in by D66. The Secretary of State has assured us that this is the case. More generally, in the first term, we have called for attention to be paid to discrimination, exclusion and stigmatisation in the labour market. With the Secretary of State, we believe that the cabinet must act hard in this respect; it is important to counter this. I'm rounding up. The PvdA is a strong supporter of a more inclusive labour market and believes that the present legislative proposal can take an important step in the right direction. With D66, the PvdA does not want the good to fall victim to the better, and can vote for the law if the evaluation of the motion proves the commitment to achieve the good. We are particularly looking forward to the State Secretary's assessment of this motion.
ParlaMint-NL_2015-03-24-eerstekamer-7.u65	Mr. Chairman. At the heart of the proposal is that stakeholders sometimes need an incentive to find each other. The Secretary of State undoubtedly thought: I am putting that into practice today. Nevertheless, satisfactory answers have been received to questions from colleagues, but above all to the questions I have put myself on points which are relevant to my group. Thank you for the commitment to the Social and Cultural Planning Office. It is good that we have a compass in following policy intentions, especially within the next two years. We look positively at the evaluation supported by a motion. I will give my group a positive opinion on this. Thank you for taking the initiative to hold discussions on this issue at EU level, whether within the framework of the European Presidency or not. That seems to me to be a good thing; we can then learn from each other. I would like to comment on the bonus-malus debate. I know my colleagues Bröcker and Essers who always warn about fiscal instrumentalism, and as a member of the Finance Committee, I must do my duty to warn against that. On the other hand, the idea is good and it comes up again in the tax review. The Secretary of State has already dealt with the issue of the self-employed. We believe it is important that the obstacles that exist to establish yourself independently, whether or not with other colleagues, are identified as much as possible and reduced, mitigated or resolved as much as possible. We believe that self-employment can really be an option from a positive point of view. There are obstacles to working from benefit. There are barriers to a level playing field in procurement. There are several barriers in the working regions, there are likely to be credit barriers and barriers in hours. It would be nice if the Secretary of State, in consultation with a number of organisations, in particular client organisations such as Each, the National Platform GGz, the association OLG and the Normal Cause, would develop a multi-annual programme to see how this can be identified, but above all how the obstacles can be overcome with the ultimate goal of this law: participation. If I could get a genuine commitment on this, to use a word I hear from the Secretary of State more often, I would probably be able to pull my group over.
ParlaMint-NL_2015-03-24-eerstekamer-7.u66	Mr. Chairman. Once again, I thank the members of the Chamber, in this case for the second term. I note that a limited number of questions have been put to me. I'm just gonna finish the list, with your permission.
ParlaMint-NL_2015-03-24-eerstekamer-7.u67	Can you finish that at 7:30?
ParlaMint-NL_2015-03-24-eerstekamer-7.u68	Yes, I think that should be easy, since there are not too many interruptions, but we have to wait and see. I shall begin with Mr Terpstra, who has spoken eloquently about misery, salvation and gratitude, which I recognize in his own eyes. He actually asked me only one question, which related to the motion adopted on the other side of the Binnenhof, about the performance ladder and social entrepreneurship. His request to me is to ensure that the research results resulting from that motion can be taken up if the evaluation of this law is to be discussed. I will do my utmost to achieve that. Then I come to Mr Elzinga. He finds it pleasurable that we not only look at the target group covered by this law, but also more broadly at who is knocking on the door of municipalities and what that all means. He stressed, like Mr Ester, who is not here in this second term, but certainly in the spirit of Mr Ester, that a positive incentive in the tax plan would be a good idea. I also heard Mr Backer correctly. Indeed, it is also wise to look at the bonus and the malus in the context of the renewal of the tax plan and how to shape the balance between them. That does not alter the fact that you can also look very closely at this kind of thing. I have already brought it to the attention of my colleague in the finance department. If the new tax plan is on the table in the cabinet, I will take a look at it myself. Then I come to the motion tabled by Mr Elzinga and others. After the quota has entered into force, it is requested to evaluate how it has worked out after two years. I'll leave the verdict on the motion to the Chamber. I think it is indeed a good idea to look at how this instrument works. That's just added value. I agree that good should not suffer from the better. That is the leitmotiv of this debate, I believe. The smaller employers were brought to the attention of Mr Beckers in his first term. I also think it is a great added value to work with SMEs in the Netherlands to see how we can get something on it, in the sense of a campaign to bring the job deal to the attention of smaller employers as well. That's fine. Then I come to Mrs Vos' second term contribution. It has, of course, once again put forward, I would almost say that it is not just this group that needs to be looked at, but all the groups that are vulnerable in the labour market. I'll repeat that after her. The Cabinet does the same. Of course, there must be investment in training and in mentoring people. I said mine in the first term. It is important that this wage cost subsidy does not come from the P-part, because that really helps. I would like to say to GroenLinks that before the summer I will inform the Chambers about the progress made in filling the target population register. Then we need to have insight into how that takes place and where possible hiccups can be found. Before the summer, I would like to inform both Chambers about this. Mrs. Vos' last question was why I chose for two years. I have tried to put that right in the first term. It is, of course, fantastic when people develop and ultimately earn the minimum wage. It may not be a perverse incentive for the employer to say, "That's it" to someone who can earn the minimum wage. I've looked around me, too. I see that people develop with an employer. If they are invested in them and they see a return, then a social employer does not think: that was it, now I can kick him out on the street, because he is no longer a target group. That does not happen with the average social employer, I can report. It is essential, however, that we maintain the number of guarantee jobs. That is a dilemma, because you want those 125,000 places to end up there and not some of those places to be occupied long or longer by people who are able to earn the legal minimum wage. That's the dilemma. I suggest we start from two years after all. Maybe we can involve that in the monitoring, see how often this happens. Mr Kok notes that he cannot agree to this law. Of course, I find that sad. My question then remains: what or how? I know that the PVV was able to agree with the Working Act as it stood, which was a lot draconier and did not carry 175 000 jobs. But it's no different. I also hear that Mr De Lange compares me with a rubber wall. That hasn't happened to me before. I'd almost say noted. That's special. It is a pity that Mr De Lange and his group cannot embrace this law. Mr Beckers, from his group and from the history that we share now, remains concerned that the quota remains somewhere in a drawer. I think that Mr Beckers and I share the same conviction about the social agreement. Mr Terpstra spoke of this very nicely. In the social agreement, employers and employees argued that the employment agreement was one thing, but that the quota was also maintained. I'll keep those appointments. They're also in the coalition agreement. I listened very carefully to Mr Beckers. For him too: a man, a man, a word, a word, just as for the employers and employees in the social agreement. He did ask the question about the target group register. Just so we're clear, that register only indicates if someone belongs to the target group. In that register people who cannot earn a minimum wage on their own; who are Wajanger, are on the waiting list for an SW company or ID'er or WIW'er. At the UWV, the employer can find out whether someone who knocks on his door belongs to the target group. To that end, the register is on earth. It's that simple, actually. It has also been asked whether there can be consultation if we have to apply that quota and say, as an employer, I have done my best, but I cannot find any candidates. I have already said in my first term that I think that if employers make places, they will fill those places in close consultation with UWV and municipalities. I also assume, in fact, that it would be their honor for municipalities and UWV not to fill those places. The proof of the pudding is in the eating. That's the way it should be. I heard Mr Beckers clearly. That consultation will always have to be there to put the right man in the right place from all sides. That's clear.
ParlaMint-NL_2015-03-24-eerstekamer-7.u69	I have one more question for clarification, if that's all right. You say that there must be consultation on the implementation of the function. That is the case anyway. If the person concerned is not qualified or if there is no applicant at all, the employer should not be fined a quota charge for the shortage of completed places and should therefore pay €5,000. If you are unaware of this and the employer still has to pay that quota levy, you run the risk that people will sue for it. The first procedure won will be an example for others. I urge you to make it possible for the quota levy for an employer not to enter into force if it has done its utmost to set up jobs for people who are limited in their working capacities, but cannot then find a suitable person. I would ask you, then, to have some kind of hardness clause put into effect. Otherwise, you'll end up on a downward line.
ParlaMint-NL_2015-03-24-eerstekamer-7.u70	I think it would be a good idea for us to exchange the fact that this job deal is a macro agreement. All jobs count, including those of smaller employers. If the deal isn't made, so only then, the quota comes off. Then we also have the safety valves I just mentioned, in the sense that we go into conclave to see where the bottlenecks are. There are really many premises in Mr Beckers' speech which must first be coloured in. If so, the interaction with UWV and municipalities will be very important for the employer in question. I am very keen to say this again. The creation of a labour market region means that employers can find the people who can be placed on the spot. Let us all say at the moment that we have full confidence in that. I have that genuinely, because I speak to employers and I see what they do. I also speak to the UWV and the municipalities. I was gonna end up with this, but I'm just gonna say it now. The people who are involved are eager. They're so eager to participate in society. They don't want to be on the sidelines anymore. They want to see this inclusive society so badly. So let us make full progress to ensure that the labour market is included. That's really essential. Let's all be excited about that. I call on Mr Beckers to do the same. I know he does, by the way, because I know him longer than I do today. That's okay. I come to Mrs Sent's contribution. It has also emphasised the inclusive labour market and said that it considers the social agreement to be a big profit. It is pleasing that this regulation provides clarity about the design. Mrs. Sent hasn't asked me any more questions. Last but not least, I come to Mr Backer's questions. I think it is worth looking with the Social and Cultural Planning Bureau at the wider context and the European context. I already said that in my first term. I have taken note of instrumentalism in the context of bonuses and maluses. I have already said that I think it is an added value to identify the obstacles for self-employed people with interest representatives such as Elke(in), De Normale Zaken and GGZ Nederland. They know what they are doing, and they can make good parts of it. Thank you for pointing this out again. I come to the end of my speech. With everything I have in me, I would like to say once again that I am truly pleased that the vast majority of your Chamber can now accept that the inclusive labour market is being helped a step further. I say this very carefully, because I know you have a week to go. If something is real, it is that not only the pavements in this country are being bevelled off for people with disabilities, but also that the labour market is becoming much more passable. That drives me, and that is what has driven all the spokesmen in this debate. Thank you very much for that.
ParlaMint-NL_2015-03-24-eerstekamer-7.u71	I'm here to deal with the bill. Does one of the Members wish to vote on the bill? That's the case. I propose that we vote next Tuesday on this bill and on the motion.
