ParlaMint-NL_2015-11-03-eerstekamer-5.u1	I welcome the Minister of Finance to the First Chamber and give the floor to Mr Van Apeldoorn.
ParlaMint-NL_2015-11-03-eerstekamer-5.u22	But it's a lot of admiration that you completed that whole title earlier today without fault. Mr. Chairman. Thank you for the contributions of the Members of Parliament and for the many questions they have asked. I'll try to get through that at a steady pace. Mrs Prast raised the fundamental question of whether so many subjects should be brought together in a single legislative proposal. Is that desirable, from the point of view of careful legislative preparation and given the position that the Chamber should have in being able to distinguish from the various proposals? We always have to deal with this matter carefully. There's always a trade-off. In this case, there were three arguments to choose to bring together more topics into one proposal. Firstly, there is a strong coherence of content between the proposals. Secondly, all proposals concern the Financial Supervision Act (Wft); they are therefore all amendments to one Dutch law. Thirdly, there was a strong convergence in time. It is true that it did not go all together and that there are other implementation periods, but there is a strong coincidence over time, because they are all building blocks of the banking union. That is why I made the decision to do it in one proposal. I hope that this balance does not lead to political problems in the consideration of this Chamber. Mr Postema has asked, completely overlooking this, whether it is not time to keep the Wft under review. I'd like to agree with him. I have already indicated that we are going to do the same; we are going to start a review process and inform the Chamber of how we intend to deal with it this autumn. The Wft has now become of extraordinary size and is also extremely complex. There is a real improvement in this, without losing the substantial profits that we have made in recent years in the area of financial sector regulation. This autumn we will come with a letter about the way in which we intend to kick the Wft and will inform the Upper House. De Financieele Dagblad headlined this morning that it has become more difficult for the national, Dutch supervisor DNB to do his work and collect information about the Dutch banking sector, as a result of the launch of the European Banking Union. I always thought that the First Chamber was a little more contemplative than the Second Chamber, but that head should also be discussed here. After all, Mr Van Apeldoorn asked a question about it. I happened to run into Mr Knot this morning and asked him if he recognized what he said. He told me I speak now under his guidance and hope he does not blame me for the fact that we have been starting for a year and it is really a set-up process. The ECB has the largest banking union directly under its responsibility, but the DNB is still an important link in that process. The exchange of information between the national supervisory authority and the European supervisory authority is crucial. If it doesn't go well, it needs to be improved. That's just the way it is. They serve the same interest. DNB does a lot of work for that European supervision. If information were to lead to bottlenecks, it would have to be resolved. This is also the case with the Dutch Bank. This concerns a few preliminary remarks. I'm zooming in on matter now. This is all part of the Banking Union. As Members of Parliament know, the banking union consists of several building blocks. As far as I am concerned, one of the most important building blocks is the joint capital requirements laid down in CRD IV. This means that we are going to strengthen the capital requirements and the capital floors for all banks to make them stronger. This is particularly important for the large banks. Like many parts of the Banking Union, this part is not finished. But, yes, you can often say from policy that it is never finished. However, a number of matters have been settled for the time being. There are a number of issues where minimum harmonisation needs to be further established. Some cases are settled by bank at a later date. The issue of capital requirements is also on the move on many fronts. But in relation to where we come from, the financial crisis, the banking crisis, the banks are now solid in all cases. The requirements will gradually be tightened up in the coming years. That's a big profit. The second building block is joint supervision. That's important because you see, especially in a country like the Netherlands, a small country with a relatively large banking sector with a high degree of concentration. We have three very large banks and one slightly less large banks that the distance between the sector and the large banks on the one hand and the supervisor on the other hand has not always been sufficiently large in the past. That distance is an important aspect to prevent regulatory capture. For this reason alone, I have always been in favour of it and the cabinet has been in favour of bringing the big banks under European supervision, on the basis of European standards. This brings me to the third building block, the Bank Recovery and Resolution Directive (BRRD). If it goes wrong with banks, we need to ensure that these banks are properly and unequivocally settled, at the lowest possible cost, at least as low as possible for taxpayers. For that, the principle of bail-in is crucial. I'm going to talk about some exceptions and the discretionary space that's still in there, but the bail-in is like a house. In all cases of bank resolution that we have seen in recent years, it has been applied, even though we do not yet have the toughest regime. That will only apply from 1 January. However, in a number of examples, in Austria, Spain and Portugal, and also in the Netherlands, with SNS, bail-in has already been applied. The first time deep bail-in took place was in Cyprus. That was a system shock at the time. However, it was also a reversal of the discussion on how to deal with banks that are in trouble. What are we gonna do now? All of this will be phased in over the next few years. The resolution fund will gradually be built up over the coming years. Capital requirements will be further filled in and increased. There is one building block in Brussels at the moment. This is about restructuring the banking sector and separating, either within the bank or outside the bank, that discussion has not yet been completed, from business functions, business banking, and utility functions. This is still going on. In October 2012, the working group led by Mr Liikanen presented a report on this subject, as several members indicated today. That report led to a proposal from the European Commission in January 2014, entitled "Structureal Reform of the Banking Sector' (BSR). The purpose of that proposal was to separate the activities of the most complex and largest banks in such a way as to shield deposits from potentially risky commercial practices. This is also the main theme of Liikanen's report: place trading on its own account and other significant trading activities in a separate legal entity if these activities are an important part of the bank. Two other important recommendations in the Liikanen report are contained in this legislative proposal, namely the need for realistic resolution plans and the build-up of sufficient bail-in capacity. On 19 July the Council established its position on the restructuring proposal, i.e. the BSR I mentioned earlier. It states that trading on its own account must be compulsoryly separated. For other trading activities, separation should be imposed by the supervisor if it appears that these activities are risky for the utility functions. The European pathway and the European discussions have not yet been completed. This will be done in the coming month in the trilogue phase between the Council and Parliament. So it seems that this is a climax during the Dutch Presidency. "Until a successful conclusion" I mean, Mr. Chairman. Mr Van Apeldoorn has drawn attention to this. He said that it is an important part of the banking union, which is still missing and needs to be done. In addition, he identifies the risk of mergers that can recreate banks that are too big to fail. This was also discussed in the House of Representatives. So then we've rigged up all kinds of defense lines and rescue funds and then the banks make the next scale jump and they're too big to fail again. Several motions have been tabled in the House of Representatives. You can see that on such a subject that everyone actually agrees on, so can the Minister himself. There will then be a kind of competition of who is the subject. I believe that there are now three motions. The first was from D66, honor who deserves credit. Later SP and CDA got over it. I now have a package of encouraging motions on this point. I believe that there is broad agreement in the Netherlands that it would be undesirable for that to happen. The effectiveness of the banking union will then be undermined. My lead is to settle this in the so-called Antonveneta Directive and to establish there that the supervisors should be able to prevent a merger on the basis of the criterion of financial stability, both the banking supervisors and the resolution authority....................................................................................................................................................................................................................................... That is different from what Mr Van Apeldoorn said. He suggested that we should have one criterion with a balance sheet size and that it should never be greater than that balance sheet size. However, this was not the case in the Omtzigt/Merkies motion. There is the possibility for supervisors to take a test on financial stability effects and resolvability in the case of mergers and acquisitions. That's exactly my angle. It looks at the balance sheet size within the Banking Union, as it stands in brackets. When a new large risky institution is created, balance sheet size is, of course, a criterion, but it is also about the character of the bank and the degree of risk in the bank and so on. Then the supervisors should have the opportunity to counter that. In all cases, the bank's size translates into higher capital requirements or additional buffer requirements. Think of the discussion about total loss absorption capacity, which is going to apply to the very large banks. These are requirements for the bail-in capability that must always be present in such a large institution, in case it is necessary to bear losses. There is already a negative incentive for scaling up along that path. The bigger you get, the higher your capital requirements are. This is an additional wish I agree with. Mr Postema said that there are still many risks in the balance sheet. There are still 150 national discretionary differences between how bank balance sheets can be combined and how they are valued. That's true. It has identified the SMP within the ECB. That's been a very good exercise. We have looked very closely at what is still in national capital requirements from the past, things that central banks have allowed in the past or risk weights that were too low or sometimes in national legislation. A substantial part of that can be thrown out by the SMP, because it is now the supervisor, just to say it popularly. It can be replaced by European standards. Part of it concerns national legislation. Furthermore, the SMP can also act on this by imposing stricter capital requirements, for example. Part of this can be picked up by the European Commission by removing the differences and by harmonising national or European legislation, for example by means of the CRD4. This operation, I think, is a logical follow-up. Now that we have a banking union and there is one supervisor, that supervisor can see very precisely what differences there are in valuation and risk valuation in those bank balance sheets. We are going to get them out in the coming years, especially within the banking union. Mr Postema has asked a number of questions about how it is going to work. He asked how much I think the discretionary power to exclude creditors from bail-in would be at odds with the "no credit-worse-off" principle and proportional treatment. He asked if I could take care that there would be a multitude of legal disputes. I can't do the latter. Experience has shown that a resolution by banks usually involves a lot of legal disputes. The question is whether the way in which the resolution is to be adopted will then stand. How'd it go? The resolution authority may, on the basis of its discretionary power, exclude obligations of bail-in, but that is strictly claused. This is subject to a number of conditions. It can only be applied if bail-in cannot be applied within a reasonable time. Another condition is that exclusion is necessary to ensure the continuity of critical functions in core business lines. A third condition is that it can only be achieved by preventing widespread contamination. One last criterion: if bail-in of those liabilities causes more damage to the company than the bail-in produces. These four criteria are set out in the BRRD and will be further developed and framed in a delegated act to be drafted by the Commission. In all cases, the application of this discretionary power should never result in other creditors being treated worse than in bankruptcy. The "no creditor worst off" principle must therefore always apply. And then there will be legal proceedings.
ParlaMint-NL_2015-11-03-eerstekamer-5.u23	I see it as a task of the Chamber to live in it. What is it going to look like in practice, for example in the case of the important parties who might need to be exempted from bail-in? The example of the energy company is mentioned, and so there are a few more innocent examples. If you exempt other companies with such a resolution mechanism than the curator would do in bankruptcy proceedings that suggest this set of measures, we fear in advance that you are calling a lot of legal proceedings about you. I would like to believe that they will be there anyway, but it is about whether we, as legislators, can prevent them as much as possible.
ParlaMint-NL_2015-11-03-eerstekamer-5.u24	We have, of course, provided guarantees in the establishment of this. One is that the resolution authority is independent of a central bank and must do its work independently. In Brussels it is a separate institution anyway, but also in the Netherlands it is guaranteed within DNB that the director responsible for the resolution is always able to take decisions within the Executive Board of DNB. He has power of perseverance over resolution decisions. With this you give him a power of attorney to do his work within this legal mandate, using that discretionary power, but of course very reluctantly. Why is that so important? In the past, financial stability and the fear of contagion have sometimes led to us not having made a deep bail-in and not having pushed the risks back into the bank. We therefore have a guarantee because of the way in which this has been set up. Another guarantee I can mention is that the European Commission, particularly DG COMM, is closely monitoring how banks are settled and whether European legislation is strictly enforced. Right now, those are the State aid rules. They will be the deeper bail-in according to the BRRD on 1 January 2016. If that were not to happen, it would be state aid, because it would seem that a bank or institution would be protected from applying these nasty rules. DG COMM monitors this from the Commission and is also involved in these decisions. The procedure includes the fact that the Commission can play its own role in this. And even so, in exceptional situations, this discretionary space must be available. The European Resolution Authority shall be accountable to the European Parliament. The European Court of Auditors can see if the institution is doing its job properly. There are therefore also guarantees of this kind. Account is taken of the smaller Dutch banks and the Dutch resolution authority through me to the Dutch parliament. If we consider that the discretionary area has been completely abused and that, for example, bail-in has not taken place at all enough, we can at least act on it politically. There are checks-and-balances.
ParlaMint-NL_2015-11-03-eerstekamer-5.u25	Thank you for that. Let me give you another example than the energy company. Suppose the Dutch tax authority has a claim on a bank. There's gotta be some pay. The trade-off may then be to do it neatly through bankruptcy proceedings, so that the tax authorities are reasonably in the forefront. He can also do it by means of a resolution mechanism, whereby another authority, in this case the resolution authority, can say on a European scale: we will continue to do so. Is it still conceivable that the Dutch Tax Administration will suffer damage?
ParlaMint-NL_2015-11-03-eerstekamer-5.u26	If the problems are big enough, if the losses that need to be settled are large enough, then at some point the claim of the Tax Administration will also be filed. So that's conceivable.
ParlaMint-NL_2015-11-03-eerstekamer-5.u27	If so, of course, the follow-up question is whether the tax authority would not have had a more favourable position in the bankruptcy proceedings in this theoretical case.
ParlaMint-NL_2015-11-03-eerstekamer-5.u28	That depends very much on how deep the bail-in is. In the event of bankruptcy, the tax authorities would be in the front and a bail-in would be relatively in the back. The Tax Administration is not entirely behind, but relatively later in the order of who pays the bill. Whether or not you are due depends on the losses that have to be settled. Bankruptcy also looks at what funds are still available and to whom they are still due. Therefore, the same "no credit worst off" principle should apply in both cases. The approach is just the other way around.
ParlaMint-NL_2015-11-03-eerstekamer-5.u29	However, I would like to return to the discretionary power of the resolution authority to exclude certain liabilities or creditors, to which the Minister referred in his reply. He claimed that the BRRD only allows it under strict conditions. One of those conditions is that it is not possible to bail out certain capital within a reasonable period of time. I would like to outline the scenario of a system crisis, or at least a crisis in which several major European banks are in trouble at the same time. Isn't that exactly a situation in which that might occur, where it will be very difficult to bail out certain capital within a reasonable period of time? Another exception is that of the risk of contamination. In his reply, the Minister did not give much thought to this. Perhaps this is a good reason to ask the Minister whether this is not the case with the large European banks and the intertwinedness I pointed out in my first term. Is that not the problem, that there is a risk of contagion and that this may be a reason for the resolution authority not to bail out certain capital when it is necessary?
ParlaMint-NL_2015-11-03-eerstekamer-5.u30	The answer to both questions is actually the same. These are typical problems that may arise. It is therefore also important that the resolution authority does not enter a bank for the first time when it is wrong, but that it reports to that bank from the moment it is set up to look at the structure of the bank: the way it is set up and organised, the way the bank's balance sheet looks and the risks it faces with other financial institutions. The resolution authority then says, on the basis of all this information and analysis, that it wants the institution to take a number of measures. It may consider that there are not enough bail-in capital elements on the balance sheet, so that it cannot bail-in enough capital to absorb losses if it has to come in once because there is a problem. Resolution authority may also see that all systems are interconnected and that all kinds of activities are mixed up or that there is a great deal of intertwining with other financial institutions. Then she says something must be done about it. That is the responsibility of the resolution authority. An important part of the work of the resolution authority is preventive. There is a need for a plan, and companies sometimes have to take measures in advance. There is nothing going on yet and yet the resolution authority can say: I want you to set up your business differently and I want you to do something about building up your balance sheet and the way your organisation is structured, because you are not settleable in this way. I think it is a good thing that we realise that an important part of the added value of a good resolution authority is that work in advance. If these problems are only discovered when the company is about to fall, you have big problems. Then it can be said that there is no way to send a message now, because it is all complicated and it is all stuck or because there is a risk of contagion on other financial institutions. The Resolution Authority should recognise this in advance and ensure in resolution plans that this type of problem is avoided.
ParlaMint-NL_2015-11-03-eerstekamer-5.u31	I think that the Minister and I are in complete agreement that prevention is better than cure. I would like to come back to the part of his speech on 'too big to fail' and also what I have called 'too interconnected to fail'. The Resolution Authority may use its power to examine the structure of banks in advance. However, if prevention is better than cure, then I think you could take an even better step, namely to split banks in advance into a business segment and a utility segment. The Liikanen report, or at least the directive that emerged from it, offers the opportunity to do so. However, this will not lead to a structural separation of the business and utility parts of banks. Can the Minister say again why this would not actually be a better solution if you wanted to avoid rather than cure; a genuine structural reform of the banking sector?
ParlaMint-NL_2015-11-03-eerstekamer-5.u32	I have just explained the substance of the Commission's proposal. By the way, the Dutch Government is broadly positive about this. She thinks it's a good move. I don't have the legal texts with me right now, so if I were to have the debate on this, I would be a little out of control. I have just outlined the main lines of the proposals. Own-account trading and other significant activities should be set aside in a separate legal entity, especially if that is a substantial part of the bank. That is the heart of this discussion. I think those are good proposals. Maybe the SP thinks they should be completely separated, that they should be completely separate. If you put something apart in a legal entity, you've isolated the risks. That's what this is about. We do not want to see trading on our own account or other business activities endanger the deposits for which the bank is responsible. I think that this proposal is well suited to that. We shall, of course, return to the Chamber at a later stage. I don't have all those pieces with me right now. Mr Postema asked about the relationship with the protection measure. Suppose any bank has a protection measure. These are all the big banks in the Netherlands, at least the listed ones. What happens to the protection structure when it comes to resolution is actually the question. Firstly, we have made sure that even when the shares are placed in a foundation and only the certificates are negotiable, bail-in can be applied. That would be a reverse question. It needs to be answered, too. It is therefore not possible for the protection structure to stand in the way of the application of principles such as bail-in and a good resolution in any way. The resolution authority will therefore draw the bank and implement that resolution, applying all the rules that exist. The real question is what happens when the resolution authority is done, the losses are settled, there has been restructuring, the balance sheet is strong again and the bank is privatised again. Is there another protection structure? And who's gonna decide that? That is the real question. At that time, it is primarily the bank itself and the shareholder. The shareholder will be the resolution authority in a future case. It will, of course, take a decision in conjunction and in consultation with the bank. In our contacts with the ECB, we have not found that the ECB has any objections to the Dutch use of listed companies to form a protection structure. The ECB has no objection to this in itself. Mrs Prast made an important point of the set-off. Fortunately, I can be brief about this, because there seems to have been a great misunderstanding. It is very clear: settlement is not taking place. There is only one exception to this, which I believe is justified. This exception concerns bank savings deposits or similar products, but nowadays these are almost always bank savings deposits linked to a mortgage. They are automatically settled in a case of bankruptcy, but that is right. Indeed, these bank savings deposits constitute a credit that has been built up and is specifically linked to a mortgage at some point in time, in order to repay that mortgage. Only in that case will settlement take place. In all other cases, deposits, even if there is a consumer credit or whatever, are paid out to the same bank within the prescribed time limit and up to the limit laid down by law to savers. Hopefully this will take away an important concern from Mrs. Prast. I hope that many of the questions she asked on this matter have been answered.
ParlaMint-NL_2015-11-03-eerstekamer-5.u33	My point is indeed about the set-off. We are discussing the implementation of the directive today. The Minister says: if the account is settled, this must be reported at the time when the customer enters into a contract. Is this true?
ParlaMint-NL_2015-11-03-eerstekamer-5.u34	Do you mean the...
ParlaMint-NL_2015-11-03-eerstekamer-5.u35	For bank savings deposits, the account holder is unable to withdraw the money.I assume that the account holder is reasonably unable to access the money................................................................................................................................................................................................................................................ That does not alter the fact that if he sells his house, this effect will affect the purchase of a new home.... he will receive a lower mortgage... and on the loan scheme. I do not want to talk about this now, but I do want to talk about the fact that the directive says that customers should be informed in the event of set-off at the time of entering into the contract. I wonder what this means for all existing contracts at the time the account holders are not informed about netting.
ParlaMint-NL_2015-11-03-eerstekamer-5.u36	Two comments. I'll take a look at the officials sitting upstairs on the right. In recent years, even in the current situation, these assets, intended to pay off a mortgage at some point, have always been settled. So there has been no new situation on this point. Mrs Prast referred to the need to inform people about this in the new situation. That will have to be done. Consumers should be informed about how this works. Moreover, consumers under this directive should be informed at all about the deposit guarantee which they should take into account. It is a mandatory part that the bank concerned must communicate with its customer about what the European Directive means in this respect. That's gotta happen.
ParlaMint-NL_2015-11-03-eerstekamer-5.u37	I understand that, but I also understand that the existing contracts since 1 January 2014 have been subject to the effective date of settlement. The Minister intends to continue to apply this set-off, even though the Dutch banks are obliged to inform customers before signing the new directive. That was my question. However, I can understand it if there is no answer to my question at the moment.
ParlaMint-NL_2015-11-03-eerstekamer-5.u38	That answer will come; no worry about it. The answer is that the practice of set-off in this case is already taking place at the present time. That's standing practice. I am not sure whether customers have been reminded of this in the past when entering into a contract with a bank. However, I am sure that this will have to be done from 1 January, even in the case of existing cases, also because bank customers need to be informed about their rights in relation to deposit guarantees. This information goes with it. Mr Van Apeldoorn asked about the implementation and why we are too late. The deadline for implementation has indeed expired. By the way, I informed the House of Representatives in a letter. Of course, we have worked as hard as possible, but as I have already pointed out, I said in Brussels, when these decisions were taken, that the deadlines for implementation are very short. In some countries things are going a little faster there it is going well through the parliament, but we are following a serious parliamentary procedure with written rounds, a Second Chamber and a First Chamber. I have always said in Brussels that we are doing our best, that it will be ready on 1 January, but that an implementation period of six months for this type of legislation in the Netherlands is simply not possible. I cannot do the impossible, as I have also informed the Commission. Asked why the dgs are so small in size. I don't think it's that small. My analysis is that the role of the dgs through the bail-in principle, the high capital requirements and the advent of the BRRD and the resolution mechanism will be really different in the future. Large banks will often go into resolution. The risk of the dgs being called on at the time of resolution is very small. In addition, BRRS DGs have been given preferential status in bankruptcy legislation. The Netherlands has a very concentrated banking sector, as I have just said, with the vast majority of deposits with the four major banks. If they get into trouble, it will be a resolution. That is the important reason for us. This is also the logic behind the possibility provided for in the directive to maintain a smaller dgs for countries with a concentrated banking sector. We have therefore asked the Commission to be able to set up a fund of 0.5% instead of 0.8% of the guaranteed deposit base. The Commission is very reluctant on this point, which I do understand. We have not yet received a reply from the Commission. I conclude from that that is still difficult for people. I have been informed that they want to work this out first. The directive only states that an exception can be made to that 0.5% if there is a concentrated banking sector. The Commission says that it wants to work that out first and that we will only get a response afterwards. So we are still just keeping to 0.8%. That is what we will do. However, given the nature of the Dutch banking sector and the fact that we now have a BRRD, with all the instruments in it, the use of dgs in the Netherlands in practice will only concern the smaller banks.
ParlaMint-NL_2015-11-03-eerstekamer-5.u39	If I remember correctly, the amount of deposits is not taken into account in the calculation of the contribution to the resolution fund. To be honest, I understood that this happened because we would soon take the size of the deposits with the deposit guarantee fund. It seems strange to me that it is now being said that the deposit guarantee system is not expected to have to be deployed massively, because our banks will be covered by resolution, while the deposits may be deducted from the contribution by resolution.
ParlaMint-NL_2015-11-03-eerstekamer-5.u40	The final size of the fund in the Netherlands is, of course, mainly determined by the size of the covered deposits. That's a misunderstanding. Do you have to build a fund from that basis of covered deposits that is 0.8% of that whole base, or is 0.5% sufficient? The question is what your banking sector looks like and what are the chances that you will end up in the dgs with your concentrated banking sector. The amount of deposits with the Dutch banks will determine the size of the fund in absolute terms.
ParlaMint-NL_2015-11-03-eerstekamer-5.u41	I would like to come back to the implementation of the directive on dgs. The SP Group does not in itself mind that the implementation deadline has not been met and that we have gone over the deadline. I am glad that Parliament is able to do its job seriously. In this context, I had a question about the target size of the deposition guarantee fund in the Netherlands. Does Parliament have anything to say about this? I understand from the Minister's letter to the House of Representatives that there will be a modified AMvB, in which this will be included. Did I get that correctly?
ParlaMint-NL_2015-11-03-eerstekamer-5.u42	I sent a letter to the Commission on whether or not I wanted to use this exception clause and informed the Chamber. The House of Representatives didn't advise me against that. She could have said by way of a motion: we do not want that, you really have to do 0.8%, 1% or 2%. But the Chamber didn't do that. It awaits the Commission's response with me. As long as we are not allowed to form a 0.5% fund, we must build up 0.8%. In Dutch relations, it works that if the parliament says to the government that it does not want something, we will, of course, reconsider. But the House of Representatives didn't make that point. We are therefore going to build a fund of 0.8% of covered deposits. Mrs Prast asked whether the funds in that fund might belong to banks. The DGs impose further requirements on the investment policy of the Deposit Guarantee Fund. The funds should be invested at low risk and sufficiently diversified. Mrs. Prast asked how to run things well. Well, it must be completely independent of the government. I am not talking about investment policy; that is what completely independent governance is about. It will be accountable. Within these two requirements in the directive that I have just mentioned, namely low risk and sufficiently diversified, it is up to the management of the fund to account for them in the annual report. This brings me to other issues relating to governance. Mrs Prast wondered whether the separate reporting lines were sufficient to guarantee the independence of the work. If that were the only guarantee, that would indeed be insufficient. The main guarantee is that the rules governing the dgs and the way in which it works and how the fund could be used are laid down in very detail. It is not the case that the resolution authority is at its disposal. Those rules of the game are quite precisely regulated in the legislation, the AMvB, the ministerial regulations etc. that are attached to them. Operational independence is thus secured. There can also be no influence of others; it must be strictly within the rules of the law. I have not found in the principles of the International Association for Deposit Insurers that a central bank should not do it. It happens in different ways in different countries. We are not the only country that has placed it with DNB. But once again, in DNB's governance, we have taken measures that the Director of National Resolution Authority has perseverance and can never be flagged back by, for example, the Director of Financial Stability and/or the Director of Banking Supervision. The Director of the National Resolution Authority has perseverance in these decisions and can never be blocked by the others. This is important to ensure independence and strict implementation in accordance with the law. Mrs. Prast called attention to the risk differentiation. We also had this discussion with the resolution fund. The main point here is that the Dutch banking sector is characterized by those few large banks. That's where most of the covered deposits are. Then we have a few dozen smaller banks. In my view, this small amount of Dutch banks justifies distinguishing between five categories of risks. I believe there are nine in the US, but we have five, which also has to do with the diversity of the nature of the banks. What part is risk-related now? In this case, 50/50: 50% is risk related. That percentage was much lower with the resolution fund. Mrs Prast and I found in a previous discussion on this issue that the part that was risk-related was too small for the resolution fund. Here's 50/50. Just like last time, attention has been paid to the deductibility. Mr Van Apeldoorn and the SP Group see this as a kind of government subsidy to the banks. According to them, the taxpayer pays for it anyway. Our approach is really a different one. The banks can just subtract their expenses. I believe that there are four countries that have not made this possible explicitly on this subject. All other European countries, including the Netherlands, do allow it to be deducted. We haven't changed the policy. This type of cost may be deducted from banks in the Netherlands. It really should have been an independent initiative to make that impossible and we did not. These are costs for companies in the coming years and they may deduct them from their taxable profits. The SP doesn't agree with that. You can also increase the bank's tax, but that's the same thing. We didn't do that, we put the bank tax in place, which is just being paid nicely. In addition, banks are allowed to deduct their costs. That goes for this too.
ParlaMint-NL_2015-11-03-eerstekamer-5.u43	Mr. Chairman. Thank you to the Minister for answering our questions. Let me start with the final point: the taxpayer will continue to contribute to the payment, because he or she will pay for deductibility by filling the resolution fund. The SP Group believes that this should not be seen as normal operating costs. Of course, we are not opposed to deductibility in general. However, these are not normal operating costs; banks must contribute to a resolution fund set up to save those same banks when they get into trouble. We rather see it as a kind of reservation for the future and not as regular operating costs. Moreover, in our view, the Minister is wrong to assume that keeping costs low for banks is a good thing for the Dutch banking sector. In our view, this is not the case and it would benefit financial stability if these costs were higher.
ParlaMint-NL_2015-11-03-eerstekamer-5.u44	It shouldn't get any weirder. So we are going to make the costs for the banks as high as possible to provide all Dutch people with excellent banking services. Is that really what Mr Van Apeldoorn is saying?
ParlaMint-NL_2015-11-03-eerstekamer-5.u45	I would like to answer that. I did not say that we should make the costs as high as possible. I can only see a tendency to think in the policy of the government, which also applies to the deposit guarantee scheme, that if we make the costs too high for the Dutch banking sector, this will undermine the competitive position. In our view, however, financial stability must be at the forefront. We should be less concerned about the competitiveness of the Dutch banks and more about financial stability.
ParlaMint-NL_2015-11-03-eerstekamer-5.u46	That actually sounds different. We also share with the SP that the argument of competitiveness is used, but sometimes too imprecisely, not to want things. However, this is quite different from willingly taking cost-enhancing measures.
ParlaMint-NL_2015-11-03-eerstekamer-5.u47	In this discussion I am on Mr Van Apeldoorn's side, for the following reason. The fact that banks are too big to fall, and therefore have a certain guarantee from the government, makes it possible for them to grow excessively. They can raise too cheap money. To compensate for this is not to make it as expensive as possible, but to bring it towards the right price compared to the fact that we are subsidising them. So if Mr Postema says 'It shouldn't get any crazier', then I'm gonna give it up.
ParlaMint-NL_2015-11-03-eerstekamer-5.u48	I would like to thank Mr Prast very much for the excellent answer to the question put to me by Mr Postema. I would like to continue with this with regard to the deposit guarantee scheme. I asked the Minister whether contributions to the deposit guarantee fund would also be deductible. I don't think I got an answer to that. The SP Group insists that the banks in Europe are too big to fail, and also to a large extent too interconnected to fail. That is the problem of interlinking and the consequent risk of contamination. Mr Postema has previously suggested that this is the case in the modern world, but I insist that this is the result of certain policy choices that have been made. These policy choices could also be made differently. This does not mean that we are putting a fence around the Netherlands, but that we are opting for a different policy and a different arrangement of our financial system.
ParlaMint-NL_2015-11-03-eerstekamer-5.u49	That wasn't suggested by me. I said that we are dealing with banks operating internationally and that this calls for international regulation, as we see or should see in many other sectors. The fact that there are too-big-to-fail banks is a concern that we share with the fraction of the SP.
ParlaMint-NL_2015-11-03-eerstekamer-5.u50	I am glad that Mr Postema and I share a great deal of concern. Again, it's not about putting a fence around the Netherlands. We recognise that banking activities are international. As long as they are international, you will also have to come to international regulation. Nor are we opposed to that. It is about what regulation is about. Moreover, the fact that banks are such international and global players is also the result of certain policy choices. You could also pursue policies that reverse this. I have already given the historic example of the Glass-Steagall Act, as a result of which banks could become less large than would otherwise have been the case. As a result, there has been a structural division in the United States between the utility part and the business part of banks. This has made the US banking sector serviceable to the real economy for decades. The sector was more serviceable than would otherwise have been the case. We could now also make this choice in Europe. That is what the SP Group is advocating. It calls for a genuine separation of banks as a necessary part of tackling the too-big-to-fail problem, because prevention is better than cure. That brings me to the Omtzigt/Merkies motion from the House of Representatives. It calls on the Minister to address the issue of too-big-to-fail. I thank the Minister for his reply. I understand that he continues to argue in favour of a revision of the Antonveneta Directive. This concerns the merger test, which will take into account the size of the balance sheet. It is true that the motion does not state that this should be the only criterion. It's by the way. However, the motion points out that DNB President Knot is also in favour of setting an upper limit on banks. So I ask the Minister once again what he actually has against a quantitative test, alongside other criteria. After all, one doesn't have to rule out the other? Finally, I come back to the deposit guarantee scheme. The Minister states that the size remains at 0.8% for the time being, but that the aim remains to bring it down to 0.5%. I was not convinced by the Minister's reply that this is the right way forward. As far as we're concerned, we're sticking to a higher standard.
ParlaMint-NL_2015-11-03-eerstekamer-5.u51	I have the impression that Mr Van Apeldoorn is at the end of his second term. I am very curious if he can tell us what the SP intends to do with this bill, especially since a lot of points have been mentioned by the Socialist Party which are of particular relevance, but are not part of this bill. There are also a number of things that might have been better in the opinion of the SP, but which should not, in all honesty, prevent us from adopting a bill that protects savers in this country.
ParlaMint-NL_2015-11-03-eerstekamer-5.u52	It will be a repeat of the debate on 8 September, but perhaps that is a good thing. In the eyes of the SP Group, this banking union does not provide sufficient protection to savers and consumers in the Netherlands and beyond. It does not provide the financial stability it is intended to achieve. That is the first objective of the Banking Union. The second objective is to keep the taxpayer out of sight. In our view, this objective too is not sufficiently served. However, it is said that people, you can go to sleep now, because we have a banking union that will ensure that the banks stand up and that your savings are safe. In the meantime, however, the same banking union offers European banks the opportunity to become even larger on a European scale, which will only increase the too-big-to-fail problem and the problem of intertwining. In other words, our fear is that the problem will not be solved, but that, by pretending to solve it, there is a risk that the problem will get even bigger.
ParlaMint-NL_2015-11-03-eerstekamer-5.u53	Finally, Mr Postema.
ParlaMint-NL_2015-11-03-eerstekamer-5.u54	Thank you very much for this space, Mr. Chairman. I do not believe that this is a solution to everything. I did not hear the Minister say that, and you will certainly not hear the Labour Party say it either. In fact, I myself indicated in the previous debate on this issue that banking crises are of all times. They're gonna stay that way. The question is whether this legislation offers ingredients that properly protect our savers from what has happened to them in recent years. And then I think that unfortunately the SP seems to be going down on the principle that the best is the greatest enemy of good. I would like to repeat what I said in the previous debate.
