ParlaMint-NL_2015-12-21-eerstekamer-4.u1	We have arrived at the second term of office.
ParlaMint-NL_2015-12-21-eerstekamer-4.u38	No, Mrs. Fox is actually just getting started. I am certainly going to meet Mr Backer. I had asked a question about the extension of the third disc. I had asked to explain why it is necessary and whether there could be more socially desirable alternatives. I mentioned a number of them. The Secretary of State had already more or less answered this question last time. He said, among other things, that a balanced distribution of income is a prerequisite for this whole operation. I assume he means that the people on high incomes should also benefit from it. Everyone needs to be relieved of their burdens. For the Group of the Greens/European Free Alliance, the real question is whether we should aim for people who are already able to make ends meet to be relieved. Isn't that the best way to spend that money? A second point is that the distribution of income seems to be particularly true for workers. The non-working guys are out for a while. Is that how the Secretary of State looks at it? Are only the workers the party that needs to be looked at? We have difficulty with that choice in the Tax Plan. I would stress that the Nibud has stated that 75% of the beneficiaries are hard to live by. There's a lot going on in that group. Around the greening, the Secretary of State said that he did not want to use taxation as a trigger for greening after the Paris agreement. In short, I understand him well when he says that fiscal greening is about to come to an end. We do the maximum and there's not that much left in the barrel. Honestly, I'm surprised. The energy levy for large consumers is still extremely low compared to the levy for small and medium-sized enterprises and for households. To say in advance that nothing can happen to it, I find strange. Industry, for example, has a huge task to do with energy saving. The objectives set out in the energy agreement on energy saving are hardly met. There's still a big job to do. I challenge the Secretary of State. I understand that he can't do it right away, because he can't do it politically. However, it should not close the door, which means that further fiscal greening, especially for large consumers, is no longer in place. The coal tax is not negotiable for now either. I would say that it has to come back into view, because one way or another the coal plants will have to shut down. That's what the Secretary of State mentioned in his letter. We support the energy tax and the increase in gas taxation. We do find it a bit unfortunate that this has been combined with the reduction of the tax on electricity. Shouldn't we have chosen a different design for that? We would also have liked to see a more targeted use of the proceeds. For example, we would have liked the large housing corporations to be approached to invest heavily in energy saving, especially in old homes where households often live with lower incomes. By the way, the novelle offers an opportunity. 100 million will be made available, unfortunately once. We would have liked it to have been structural. I am extremely curious whether this amount can be targeted for, for example, large housing corporations, or whether this money will only be used for property owners. Perhaps the Secretary of State can shed some light on that. We got a signal from the solar sector. One would fear that the reduction of energy taxation on electricity would have disadvantages for the solar sector. Has the Secretary of State received that signal, and has he looked into it? I'd already started the novel. Of course, the 100 million is a plus. We're just saying that a one-off amount is a little thin. How effective can you bet that $100 million? We also note that the novelle provides 0.0% jobs, shows a slight preference for the really high incomes, because in 2017 they will be more slowly faced with the reduction of the tax rebate, and a small decline for the low incomes to €35,000. We also regret that. Then we have the interesting proposal to add 4 billion, which is now levied through income tax, to the tax domain of the municipalities. In itself, that's interesting. There is certainly an interest at GroenLinks in the idea of giving the municipalities more space to tax. The big question, however, is how this tax will be applied. If the cabinet says that there should be no income policy in any way, it would be an almost equal amount of tax per citizen. If the cabinet is referring to this, it is negative for lower incomes. We find it extremely difficult to assess whether this is going to be a positive course of action or not. I'd like to see a little more light on this from the Secretary of State. Moreover, we note that this is particularly towards D66 the question of whether it all remains very uncertain. It may go in 2019, so it's just a question of whether you have something to catch here or not. It's a start, but it still needs to be made. In short, the novelle is for us a slight improvement, but also a disappointment and in any case not enough to support the Tax Plan. We are somewhat surprised at the D66 Group. That's what I said last time. While Mr Pechtold has made a huge point and the cabinet has capitalised very hard, because it had no ambition at all in the field of employment, he is satisfied with 0.0% employment. We can't follow that. I'll come to a conclusion. We believe that the Tax Plan does not contribute enough to greening, creates too little work, solves too little social problems and contributes to further division between workers and non-workers. Perhaps another miracle is happening, but until now we will not support it.
ParlaMint-NL_2015-12-21-eerstekamer-4.u39	I would like to thank Mrs Vos for the great length of time she has devoted to the position of my group. However, I find it interesting to know what her position is. I didn't really understand what she was going to do with the novelle. I looked at the voting behaviour of her group in the House of Representatives. I was pleased to see that the group supported the novella, which surprised me somewhat after Mrs Vos's initial contribution. I'm sure she can lift a hint of the veil. What's GroenLinks gonna do later?
ParlaMint-NL_2015-12-21-eerstekamer-4.u40	I already have. We're not voting separately on the novelle. For the House of Representatives, that is in fact an amendment. My group in the House of Representatives has apparently considered that the amendment made it a little bit better, but it still believes that it does not support the Tax Plan. The same applies to my group in the Upper Chamber. We see no reason to support the Tax Plan. There is a slight improvement, but not enough to support the plan.
ParlaMint-NL_2015-12-21-eerstekamer-4.u41	The novelle will be put to the vote under a separate number. So it's a separate part of the bill. I was curious what GroenLinks would do with that. I think Mrs Vos is counting on D66 to support the improvements in childcare, gas and electricity and greening, so that they can reach the finish line, so that GroenLinks can take its beneficial effects. That's what's gonna happen later.
ParlaMint-NL_2015-12-21-eerstekamer-4.u42	As a group, you have to make your own decision. I have made it clear that there is some improvement for greening. For a number of other things, the GroenLinks Group in the Upper Chamber believes that there are still some doubts about the novelle, because there are deteriorations. In total, given the new legislative proposal that will be before us, it is not enough for us to support the novelle.
ParlaMint-NL_2015-12-21-eerstekamer-4.u43	Mr. Chairman. The D66 Group thanks the Secretary of State for answering our questions and the explanatory statement and the debate last week. The novelle has now passed the House of Representatives, thanks to him. We've been over that for a while. Fortunately, my contribution last week does not need to be revoked either, because no substantive changes have been made to the novelle. Another ambition of my group, expressed in the first term, is still standing: to help achieve a major tax reform. Why? That can be said in this debate. One of the guides, or if one wishes principles, of social-liberal thinking is: reward achievement and share prosperity. Taxation is, because of its progressive elements, an instrument that achieves a socially-wide-based form of redistribution of wealth. The proceeds from taxation are also indispensable in order to fulfil the claim of equal opportunities for the development of every human being. Without it, a welfare state or a participatory society, whatever definition is used, is not guaranteed. Think of the funding of education and care and safety. So I'm also saying that you're not just achieving performance on your own. Society as a whole has contributed to this. Therefore, sharing by paying taxes after rewarding is also "a matter of civilisation." I read recently that Professor Leo Stevens wrote that and I quote him with agreement. You can think very differently about how to charge it. We have just heard the same thing from Mr Köhler. We must therefore always ask ourselves whether the system that plays such a crucial role is still in place at this time. That is why there is a discussion about a revision of the system. In my first term, therefore, I also drew attention to the ongoing adjustment exercise that we have. I will return to the novelle and the legislative proposals before us. My group does not take over the terminology I often hear. The reduction of charges in this terminology would be something like "giving money back to citizens'. What is proposed here is to ask taxpayers in the second and third disks and within the free foot of box 3, to contribute a little less to general resources and to make work more rewarding. The agreements in the fourth letter of amendment and de novelle indeed reduce taxes on working parents. It is an improvement for the workers, with or without children. That is a choice and there is a difference of opinion in Parliament. On balance, the package promotes employment. This has beneficial purchasing power effects and it is ultimately good for greening. You heard the Secretary of State say: he thought the last package was just acceptable and he would not have included the adjustments himself in the novelle without our intervention. Well, we can be very up-and-coming about that, but that's the situation. I would like to thank Mr Köhler for devoting a great deal of his speaking time to ridiculing the novel. It's okay. Everyone can make their own choice to fill in their speaking time. The letter of 17 December, which was written in response to the debate on the novella, dealt with a number of aspects of implementation. They were also discussed in the Lower House. I note that they are feasible, and that is important for the review in this Chamber, including in the second instance. I also note, even though not everyone thinks so, that they largely contain good news. There is a large number of people who can still claim a rent allowance. I haven't heard anyone about that, but that's a lucky break for, from my mind, the 30,000 people who can claim it. In addition, a lot of fiscal and related measures are being taken. I'm not going to discuss it now. I now come to the subject of local taxes. We look forward to the preliminary draft. I don't think we need to take positions on this right now. This is a preliminary draft, which can and will of course be discussed very widely. The cabinet is thus taking the right path to reform. We'll see exactly what it looks like. We're all there. Mr Van Rooijen spoke of a local coal letter, but I think that is coal English. He meant the coal letter and the local taxes. Whatever you think of it, this is a turning point in thinking about local taxes. In my first term, I quoted Professor Schoont. I looked into it again: in 1968 he wrote a learned article on this subject. After that many followed him, until recently the Rinnooy Kan Committee. Some issues seem to require a long political incubation period. The D66 group now has experience with this. It never discouraged us either. Think of the pension boards and a few other topics. It usually starts with the cabinet's own plan. That is now in the preliminary draft. That is also the lesson of this year's Tax Plan. Then we will see the forms and the simultaneous adjustment of income tax, which Mrs Vos also talked about, and what that will mean. But let's not get ahead of ourselves and lock the door. That would be a shame. My group is convinced that, in conjunction with the letter of 8 December and the additional measures agreed with the cabinet, an important choice has been made for the way in which citizens and directors in our country will be taxed in the future beyond the horizon of the 2016 Tax Plan. It will be a very in-depth debate. I'm going to talk briefly about investing in sustainability. My group would like to urge that the 100 million available to make the built environment more sustainable should not be added to a fund, for example to the ISDE grant, but that the amount should be available for local initiatives. This is therefore an incentive to join plans at local level, often involving the VNG. Many of these plans are already in the pipeline for which funding is sought. Let me briefly mention the Wbso/RDA. I can't leave that subject alone. I note an unsatisfactory response from the Secretary of State. I can see behind him the shadow of his colleague Camp, because it's in his wallet. In order not to get a repeat of moves in the second term, I ask the Secretary of State to say as a fallback that he provides for monitoring. If he's right that it doesn't hurt, then the monitoring doesn't hurt. If that is not the case, however, if my group fears that, then the action is not to get the money back from those who, according to the rules, were entitled to it, as I read in the papers of the House of Representatives. The action is then to see from that date whether the scheme can be adjusted. Perhaps the innovation box could be used for this if it is not exhausted.
ParlaMint-NL_2015-12-21-eerstekamer-4.u44	I have a question for Mr Backer to clarify. Does he refer to the integration of RDA/Wbso, where companies that now benefit from the RDA, because they pay corporate tax, are declining after integration, because they are insufficiently compensated in that second disc? Is that what he's referring to?
ParlaMint-NL_2015-12-21-eerstekamer-4.u45	That's what I'm talking about.
ParlaMint-NL_2015-12-21-eerstekamer-4.u46	Then I would like to endorse Mr Backer's request.
ParlaMint-NL_2015-12-21-eerstekamer-4.u47	I come now to Mr Van Rij's favourite subject: capital taxes. I agree with Mr van Rij that this has not actually been the subject of an in-depth debate. So that will also take place in 2016 and 2017 I would say: in parallel with what is now being prepared - because the preparation is in accordance with the motion-Bashir c.s. a tax on real returns. But the discussion about the structure and the transfer to box 2, which just came up, should take place and not be ignored. I would also like to take this opportunity to comment on the interruption of Mr Van Rooijen. I asked him what he meant. I did not mean to say that in the example Mr Van Rij put forward, something counter-empty would happen and that he would legitimize it. That wasn't the port of my comment. It was more that I was surprised that he would already foresee the behavior and the behavioural effects.
ParlaMint-NL_2015-12-21-eerstekamer-4.u48	It's all right for you to say this. I didn't say "contra legem." I said that perhaps you wanted to give the impression after your comment, but I now doubt that I meant that this could be based on a certain amount of legitimacy. You didn't say "contra legem," and I didn't say that either. That goes a lot further and farther.
ParlaMint-NL_2015-12-21-eerstekamer-4.u49	We both didn't say things, but what I did say now is what I wanted to say. I hope that Mr Van Rooijen also agrees. My group advises the cabinet to conduct the entire wealth tax debate and perhaps also the capital growth debate open-mindedly and not to serve everyone who comes up with ideas from science because a choice has already been made in the 2017 Tax Plan. Then I come to people and machine, as I called it in the first term. This part of my speech concerns the operation of the Tax Administration and the fact that we are no longer able to make certain changes at this late hour. The Secretary of State has done some defiances about the challenges facing the Tax Administration. In order not to lose that point, I propose that we hold an oral discussion on this with the Secretary of State for Finance in the new year, so that we can consider the possible solutions. I would like to say a few words about the timing of this debate. I mean not at the time of the evening, but at the time of the year. I spoke about this in the first place. We should really aim to have this debate earlier. To this end, the legislative proposals should be submitted earlier, preferably as soon as possible after the General Financial Reviews. The cabinet would improve its life on this point, but of course we all have to cooperate in this. I know that my group has some butter on its head, because it too has caused some delay. I'm honest with you about that. All in all, we should strive to do so earlier. Anyone who wants to take responsibility for this, I call upon him to do so. This is not least true of ourselves. Finally. In the first term, I wondered if the 2016 Tax Plan was a prelude of overture for the major tax review. There are elements of a follow-up, but the real answer will only be apparent in the coming period. It will go step by step, the Secretary of State said. I look forward to the sequel. My group hopes that, in order to stay in musical terms, it will not become the Unvolendete van Wiebes. It will be clear that my group has both the original proposals and the novelle (No. 34460) will support it.
ParlaMint-NL_2015-12-21-eerstekamer-4.u50	Mr Backer said the necessary thing about capital taxes. I had to think about that for a while, because it seemed so sunk. If I have understood him correctly, he calls on the cabinet to give serious consideration to the way in which future taxes on wealth income are to be taxed, on the basis of the Bashir c.s motion. Most likely, it's gonna take some time. In that motion, the cabinet is called upon to make a proposal in the 2017 Tax Plan. I agree with Mr Backer that you have to take a serious look at it and weigh all the options. That won't be an easy exercise. Will Mr Backer respond to the motion I have just tabled? I'm assuming it could take a little more time, maybe two, three, four years. Is he prepared to consider whether he wishes to support the temporary solution to which the cabinet is called in this motion?
ParlaMint-NL_2015-12-21-eerstekamer-4.u51	Mr Van Rij spoke of a sinking judgment. I'd be happy to accept that as a compliment. I would also like to have a sinking judgment on this issue. I've seen the motion briefly. There are some elements in it that I find difficult. I find it difficult for a group to vote in favour of the Tax Plan, which includes a look-through to 2017. I have therefore chosen to be cautious in this respect. In my opinion, thinking about this should never stop. We have had a hearing here, in which a number of fiscalists have said some very sensible things about box 3 and about this proposal. My group is open to that debate, but now, when accepting the whole package of the 2016 Tax Plan, I do not think it is the time to adopt a new motion in this Chamber, in which other things are asked for, on a motion that has already been tabled in the House of Representatives, asking for real returns, with a date. That goes a little further than I'm making a sinking judgment, as you called it, about thinking about box 3. I believe that this debate is too fast, and it is unfinished as far as I am concerned.
ParlaMint-NL_2015-12-21-eerstekamer-4.u52	It's a temporary situation. The cabinet also says that what is proposed is a temporary situation. Even if there are unthought-out behavior effects, undesirable effects and no approach to the real return situation, I would nevertheless like to consider Mr Backer.
ParlaMint-NL_2015-12-21-eerstekamer-4.u53	That thinking never stops. I'll leave it at that.
ParlaMint-NL_2015-12-21-eerstekamer-4.u54	Mr. Chairman. In response to the reply of the Secretary of State, for which I would like to thank him very much, I have a few questions and comments, like everyone else. It was clear, I think, that I am not in favour of using income tax to pursue political goals, but that I would prefer to see a neutral system that is burdened by carrying capacity and that takes into account household composition according to capacity. My conclusion is that I insist that the government re-establish a reform of the tax system. And I'm not the only one who does. We note with each other that this government does not have a great deal of time for this. The Secretary of State would do me a favor by including income tax, the municipal tax area, Mr Backer noted that the revision would be a breakthrough and also, for example, the inheritance tax in a review. The inheritance tax at the time had very large and not entirely justifiable differences between inheritance of entrepreneurial property and other assets. That is a new element in this discussion, but I would not leave that out. I am not the only one who specifically asks whether the Secretary of State is going back to work on the system. I would therefore prefer not to see limited adjustments, which often produce more of the same in practice. I'd rather see the Secretary of State make a clear new beginning. That proves this Tax Plan. If we want to talk about a real review, I would like to point again, as in the first term, at the initiative of the centre-right Finnish government to experiment nationwide with a basic income. In the Netherlands experiments are also carried out locally, but they are more limited. In Utrecht, a system is tried out with a basic income for benefit recipients only. In Finland, it is explicitly intended to involve everyone, including the working population. Something similar is being discussed in Switzerland. I do not have the illusion that we could simply introduce a real basic income here without problems as part of a new tax system. However, our social system gives rise to so many special arrangements that it makes sense for us to take account of the possibilities of replacing all this with a single generic regime. All measures in the field of taxes, allowances and benefits are ultimately the most cost-effective, but probably the most equitable. Would the Secretary of State like to monitor the upcoming Finnish experiences and try to draw lessons from that different model? I'll be on box three. We shall, of course, come back to that during the year. Mr Van Rij's motion, which I wholeheartedly support, also leads me to believe. In any case, the Secretary of State wishes to continue with a system which in principle has to tax capital efficiency. It's hard for him to change, that's obvious. Could he please tell us how he wants to deal with the dilemma I mentioned last week? Does he want to tax capital income or capital gains? That makes a lot of difference. Capital revenues are likely to be easier to identify than capital gains, but the tax based on them is also likely to be easier to avoid, or at least for a long time to be delayed. We used to have experience of this before 2001, right? Has this not led us to opt for a very simple system, which does not actually tax wealth revenue, but property possession? I ask the Secretary of State again why he would choose a problematic system rather than a very simple one. You can fight about the rates. Mr Van Rij has already made a nice move, but it seems to me that a simple capital tax is more unjust than a complex capital tax. Moreover, I noted that Mr Backer was already talking about capital taxes and not about capital efficiency taxes. The consequences of a vote for or against the Tax Plan, I come to the following conclusion for myself. The tax plan does not make the distribution of the tax burden fairer, quite the contrary. But it does result in a limited increase in purchasing power or even more than a limited increase in purchasing power, for almost everyone. In my view, that is premature, because I believe that the means used to do so could have been better used. However, rejection of the Tax Plan results in a decrease in purchasing power for almost everyone. In view of the development of the Dutch economy, I think that the first, despite all my objections, is still the most justifiable alternative. I'd like to hear from the Secretary of State later.
ParlaMint-NL_2015-12-21-eerstekamer-4.u55	Mr. Chairman. There were elections a few weeks ago. Not from guessing, States or Rooms, but from "Gone with that word." It was striking that one of the ten nominated words was "participant society." That word must disappear according to many in our society. They just think it's a vulgar word, which means: figure it out for yourself. So get rid of it. That's a big deal. A beautiful word from a Throne speech has become a farce within a few years. That's sad! The members of the SGP do not want to accept that. It is precisely in our society that we need coherence, that we need room for our own choices. And we need to make it in a good balance between care and labor. I use that order very consciously: care and labor. I see that as a biblical line, too. That is the participatory society we should be pursuing. We would also like to see this in the 2016 Tax Plan; that there is room for free choices. That participation is not limited to work, work, work, because this leads to a choice-based constraint. The incentives to conduct everyone to a paid job have gone through. The button of the transferable tax rebate has been tightened too tight. Unfortunately, that has not been restored in the novelle, at least not for the year 2016. But in the House of Representatives, the Secretary of State said in the debate on the novelle to Mr Dijkgraaf van de SGP that he saw the discussion of the Schalk motion as the zeroth term of the discussion of the 2017 Tax Plan. He then promised a letter on which groups would be taxed more heavily or less heavily, with the corresponding reasons. My question is, of course, whether this letter is also offered to this Chamber, and whether the Secretary of State is prepared to include in that letter options to reduce the differences between one and two earners, with the corresponding conditions. Can he indicate the deadline on which this letter can be expected? Back to the debate in this Chamber. The Group of the European People's Party (Christian Democrats) and European Democrats welcomes the fact that the Secretary of State has admitted that there is a real problem with the single-earners. I quote: 'As far as I am concerned, Mr Schalk has, of course, touched on the substance of the subject.' Secondly, the Secretary of State said that there was a particular problem with employment. I am not going to repeat the discussion on the interpretation of the CPB models, just this: cold calculations do not lead to a participatory society. Care for the disabled, the sick and the weak does not provide any job in any model. And that also applies to the warm security of a family. But they do have added value, in addition to the value of paid labour. I would appreciate it if the Secretary of State asked the CPB to include this added value in the models, or at least in the interpretation of the model outcomes. Can the Secretary of State agree to that? Models may function as a policy tool, but the policy-maker must use them with his mind and heart. In response to my questions, and in response to questions from colleagues Van Rij and Ester, the Secretary of State indicated that he would like to pursue the search for the 2017 Tax Plan, and that there is a constructive discussion about proposals that do not cost employment, and that he would like to be the partner in this. I interpret that as an offer to talk further. Of course, I would like to comment on this, partly on behalf of seven other parties in this Chamber, who supported my motion on the gap between one and two-earners. Of course, this is not the time to draw the agendas. Besides, I'd like to give the Secretary of State a break. This is in line with my vision of the participatory society. But may I conclude that in the new year there will be an invitation from the Secretary of State to pursue the search, and if possible bring it to a successful conclusion towards the 2017 Tax Plan? With a positive response to this last question I hope to enjoy the coming recess even more. By the way, in relation to all of this, the importance and content of the Christmas party are far above any tax plan.
ParlaMint-NL_2015-12-21-eerstekamer-4.u56	Madam President. I've heard some very special things tonight. Mr Köhler of the SP has advocated a higher power exemption in box 3. Mr Van Rij of the CDA, the CDA, is nevertheless a party of stewardship, solidity and solidity, has tabled a motion to replace the temporary box 3 scheme with another temporary box 3 scheme with multiple directions that might be possible.
ParlaMint-NL_2015-12-21-eerstekamer-4.u57	I seem to have expressed myself carelessly, because this is a misunderstanding. I didn't argue for a higher exemption in box 3. I have argued in favour of real taxation of the saver in the long term, regardless of whether it is the small saver. This could lead to a reduction in the tax burden on the saver's return.
ParlaMint-NL_2015-12-21-eerstekamer-4.u58	I got it the way I said it. It is wrapped up in the whole of your arguments, but at some point you had a discussion with Mr Van Rij about the exemption in box 3. You were in favour of this higher exemption, and you made all kinds of conclusions about it.
ParlaMint-NL_2015-12-21-eerstekamer-4.u59	I agree with Mr Köhler. Mr Köhler and I have indeed had a debate, but I must disappoint you: not Mr Köhler, but the undersigned has argued for a higher exemption in box 3. That is how you should interpret the motion, not as you have just done. I hope that this has been a one-off change of identity between Mr Köhler and the undersigned!
ParlaMint-NL_2015-12-21-eerstekamer-4.u60	I hope so too! If it's up to me, I'd like to take that on my shoulders. The VVD Group has a somewhat simpler approach to this tax package and the novelle. My group has noted with satisfaction the novelle following the 2016 Tax Plan. During the discussion of the entire 2016 tax package in this house last week, my group already took the view that there is no major revision. The 2016 Tax Plan, part of the tax package, is not a major tax review either. In my group's opinion, this applies a fortiori to the novelle of the 2016 Tax Plan, which the State Secretary submitted on 9 December and which has since been accepted by the Lower House on 16 December. With the present novelle, the 2016 Tax Plan has been refined with a view to the income policy for citizens. Purchasing power is increasing to a greater or lesser extent for all citizens, on average by 1.3%. The novelle is positive for the citizen's wallet. This bill has the agreement of the VVD Group.
ParlaMint-NL_2015-12-21-eerstekamer-4.u61	Mr. Chairman. Tonight we will discuss the Tax Plan 2016 package in second term, together with the novelle, which has now been adopted by the Dutch Parliament, which concerns a separate legislative proposal. We would like to thank the Secretary of State for the enthusiasm and ease with which he has answered our questions and the speed with which he has managed to achieve this. It is precisely because of this urgency that we are grateful to be given the opportunity to pass on the questions from our first term together with the answers of the Secretary of State. As indicated in the first term, my group supports the reduction of the burden on labour together with the additional support for people who are inactive. We can count on our support for the overall burden reduction package, combined with expected job growth and additional help for people at the bottom of the labour market. We also think it is fair that lower incomes should increase by percentage and that this should also apply to small savers.
ParlaMint-NL_2015-12-21-eerstekamer-4.u62	How does Mrs Sent find that the lower incomes as a group, in total, are making more progress in terms of percentage? This is contrary to the figures given by the Secretary of State.
ParlaMint-NL_2015-12-21-eerstekamer-4.u63	That is what I get from the overviews in which the impact of the Tax Plan, if that were to continue, is compared to the case where it does not happen. I see, for example, that single people with minimum wage are improving 3.7%. Single parents are improving 3.6%. Single AOWs are up 1.4%. For example, I can quote more figures from this overview.
ParlaMint-NL_2015-12-21-eerstekamer-4.u64	You are now quoting the figures for the workers and those for the AOW's, which, by the way, you are not making very good reference to. The people without income from work, at the minimum, are improving 0% according to the State Secretary's figures, not only through the Tax Plan, but through the Tax Plan including all the additional measures you just mentioned. In total, low incomes, incomes up to 175% minimum wage law, are improving by 0.7% in household purchasing power, while higher incomes are improving by more than 2%, according to this table. Your argument that lower incomes are above all improving is therefore unacceptable on the basis of the figures of the Secretary of State.
ParlaMint-NL_2015-12-21-eerstekamer-4.u65	Mr Köhler's statement that the AOWs are not making any progress is also hard to make. The government is allocating 900 million to compensate for the purchasing power of pensioners. Social minima are indeed improving, couples with children for example 0.4% and single parents 0.4%. So this is a bit creative shopping by Mr Köhler.
ParlaMint-NL_2015-12-21-eerstekamer-4.u66	Finally, Mr Köhler.
ParlaMint-NL_2015-12-21-eerstekamer-4.u67	I'll mention other figures than you, but in the end you have to add up the whole group of low incomes and then share them. How much do they ultimately improve in percentage? According to the Secretary of State, this is on average 0.7%. I think he calculated this correctly. The higher income groups receive on average more than 2%. You can't make it so hard that the lower incomes are getting better by percentage, can you?
ParlaMint-NL_2015-12-21-eerstekamer-4.u68	I can do that, based on the figures I have just given. The power section must also be taken into account. This shows that smaller savers are making more progress than larger savers.
ParlaMint-NL_2015-12-21-eerstekamer-4.u69	Finally, Mr Köhler.
ParlaMint-NL_2015-12-21-eerstekamer-4.u70	I'm about to give up, too. Surely you are not saying that the lower income groups are on average eligible for the tax reduction for people with a capacity above €21,000? That may be a promillage of the whole group, but these people are hardly present.
ParlaMint-NL_2015-12-21-eerstekamer-4.u71	I don't see who holds what abilities, but I do see that the lower abilities are making relatively good progress while the higher abilities are turning in relative. That while the Netherlands scores relatively worse in terms of property inequality than the countries around us, but in terms of income inequality relatively better than the countries around us, even better as a result of tax legislation.
ParlaMint-NL_2015-12-21-eerstekamer-4.u72	I have a question that fits in with this. Indeed, for 2016, an additional amount is granted once, including to increase the purchasing power of -1% to 0% or 0.1%, but does Mrs Sent agree with me that this is not an improvement in purchasing power, especially in the coming years? I already talked about blinders later. We are not just discussing the Tax Plan and the one-off measures for the year 2016. Does Mrs Sent agree with me that, in the period after 2016, the elderly will receive nothing in structural terms, while from 2017 onwards, the income-dependent care premium of €300 to €400 will severely reduce them?
ParlaMint-NL_2015-12-21-eerstekamer-4.u73	I don't know what's gonna happen from 2017. I don't have a glass ball and I haven't had an insight into the 2017 Tax Plan. I do know the figures for recent years, for example 2004 to 2013. The social state of the Netherlands, the report of the Social and Cultural Planning Bureau, shows that pensioners are improving 3% while on average it is 1%. The Poverty Monitor of the Social and Cultural Planning Bureau shows that older people are well below the average in terms of poverty rates. In the Tax Plan an average household improves 1.1%, but older people 1.3% compared to the basic path. In 2016, 900 million is structurally available. From 2017, that's 450 million. Then we wait for the 2017 Tax Plan to see what the consequences will be after that.
ParlaMint-NL_2015-12-21-eerstekamer-4.u74	First of all, this evening the Secretary of State confirmed in the reply that there is a structural burden increase of 500 million for the elderly, but that aside. The Secretary of State also answered last Friday's 50PLUS questions at 5:00 p.m. this evening. The reply to page 4 deals with purchasing power developments over the period 2004-2016. It says in writing that the AOWer with €10,000 supplementary pension has deteriorated by 4.5%, while a couple with €10,000 supplementary pension is declining by 1.5%. This is perhaps -3% on average, while the Secretary of State based himself last week on a report that was +3%. That's gonna save 6%. I shall come back to that later on in response to the reply from the Secretary of State. This evening, the Secretary of State confirmed the figures we already mentioned for the post-2010 period, unlike the Central Planning Office, from 2004 onwards.
ParlaMint-NL_2015-12-21-eerstekamer-4.u75	The figures I have are from the Social and Cultural Planning Bureau of the Netherlands. It states that, for example, WW beneficiaries have fallen by 4% and single people have fallen by 3%, but that pensioners have improved by 3%. Again, the SCP's Poverty Signature shows that pensioners are doing relatively less harm in the field of poverty than, for example, single-parent families, single-parents, welfare recipients and children, who are having a relatively difficult time. Then I come to our individual points from the first term. First of all, on behalf of my group, I drew attention to the way in which behavioural effects are taken into account in proposed tax measures. We believe that information on direct behavioural effects of tax measures could and should play an important role in the various stages of the political decision-making process. The Secretary of State stated in his reply that the Study Group on Budget Space is looking into this and will deliver an opinion in 2017. This is taking too long for my group, and so we ask the Secretary of State what possibilities he sees for sharing the results of the study with us earlier.
ParlaMint-NL_2015-12-21-eerstekamer-4.u76	I find it incredibly interesting what Mrs. Sent says. On behalf of the CDA Group, I would like to support the plea for an earlier picture of the behavioural effects. At the same time, I have a question about it. That is precisely the point I am trying to make about the unthought-out plan of the cabinet with regard to box 3. That is why I tabled a motion for a resolution with the support of a number of colleagues in the Chamber. Would Mrs. Sent like to respond to that? This is exactly her point.
ParlaMint-NL_2015-12-21-eerstekamer-4.u77	I'll be back in a minute to talk about box 3. There are two reasons why I will not advise my group to vote in favour of the motion. Firstly, we consider the motion to be premature. We are waiting confidently for the plans that will reach us in the 2017 Tax Plan on taxing actual capital returns. A second reason is that I find the motion unclear, particularly with regard to coverage. Where is it supposed to be found?
ParlaMint-NL_2015-12-21-eerstekamer-4.u78	To begin with, it is an appeal to the cabinet to come up with a number of alternatives within the existing box 3. We didn't want to chisel that in concrete. The Central Planning Bureau has also calculated that if you double and abolish the exemption between €100,000 and 1 million and above, that will yield 400 million. That is not enough to cover the entire 900 million. But then I get to the exact point of the behavioral effects. The cabinet proposal will start on 1 January 2017. That is just going to happen, because there is a majority for that in the House of Representatives and unfortunately we cannot stop it, because then we have to stop the whole Tax Plan; we are not going to do that, because we are in favour of the tax relief. That proposal did not identify those behavioural effects. I would like to have a debate on this, and that is what the motion is about, because these behavioural effects are causing a gap in the budget. That is why I agree so fundamentally with Mrs Sent that these behavioural effects should be reflected. Do I understand her correctly that she cannot follow me on this particular point with regard to box 3? Wouldn't you like to sleep on it?
ParlaMint-NL_2015-12-21-eerstekamer-4.u79	I always do. I now have to believe to Mr Van Rij that the behavioural effects he brings forward are the behavioural effects that will occur. Hence my call for this to be made clearer in future, so that we do not have to make all kinds of predictions ourselves, but can receive the forecasts from the Central Planning Office or such a body. We therefore believe that it is premature to support a motion in line with Mr Van Rij in advance of this and in anticipation of the plans we have reached in the 2017 Tax Plan.
ParlaMint-NL_2015-12-21-eerstekamer-4.u80	Finally, Mr Van Rij.
ParlaMint-NL_2015-12-21-eerstekamer-4.u81	Mr President, you look very strict. I note that I have not achieved any effect on Mrs Sent's behaviour.
