ParlaMint-NL_2015-01-15-tweedekamer-5.u1	I would like to welcome the Foreign Minister.
ParlaMint-NL_2015-01-15-tweedekamer-5.u37	I will reply first to the first part of the question and then to Chancellor Merkel's remark. Mr Segers asks if you run the risk of opening the case on all those chapters, when you are not talking about the key issue. I think that's just a theoretical possibility. I think it is an opportunity that the Netherlands should not let happen. We also have a voice in that, we can block something. I'm not going to announce that right now, but I'm going to say it's an important part for us. The VVD Group has already said that there must be a weighing moment. What priorities do you set? It doesn't mean you shouldn't open any other chapter. If I were a Member of Parliament, I wouldn't worry too much about that. At the moment, the negotiations are still. The only movement is in Chapter 17, on economic monetary matters which have a little less to do with the rule of law. As far as I am concerned, these cannot be the last chapters to be completed. However, given the Council's feelings, I do not think that is very likely either. The second point concerns a discussion that took place a while ago. Thinking about the relationship between the EU and Turkey does not have to stand still. Everyone has to be open about that. The government's position is that Turkey is a candidate country and that we should conduct our negotiations on that basis. Let me give you an example. I have talked intensively with the Turks about a customs union that I believe everyone is in favour of and the international trade agreement. It is a country where the economy has been greatly dynamic, where a larger middle class has grown and where an enormous economic development has taken place over the last seven years. That middle class is important to the things we're talking about here. How can we then ensure that there is no standstill and that the strengthening of the customs union is worked out? This can be done simultaneously with maintaining Turkey's candidate status in the European Union. Let me now turn to a few specific questions on freedom of the press. I agree with most of the points raised. Freedom of the press is a key element of the Copenhagen criteria and the European Union condemns how things are in Turkey. The same goes for Mrs Mogherini. It has been raised in Turkey, but it has not yet been resolved. The country's a little too complicated for that. The exact reason for Mrs Geerdink's arrest has been asked. Mrs Geerdink was interrogated on Tuesday afternoon 6 January in her hometown of Diyarbakir and has been accused of propaganda for a terrorist organisation. There were a number of points: clarification about her residence and work permit and the statement in her blog on 5 December 2014 that she would be disappointed if Öcalan proclaimed a permanent cease-fire. In the conversations I had, it also became clear to me that these were photographs of Geerdink with one of the PKK commanders. Those were the reasons given. Whether this has been done formally or informally; these are the facts that have been put forward. One of the members asked for it. The Turkish court has forbidden the display of the cover of Charlie Hebdo on the internet. This shows what we are talking about here, namely a problem relating to freedom of the press and freedom of expression. I therefore share the sentiments of the Chamber on that point. This is precisely why I raised human rights and, above all, freedom of expression and freedom of the press in my visit. I was asked whether I should not have left the country immediately. I've been about to do that. We were faced with a first arrest and then I had a discussion about it. It's likely that's why this person was released. Then of course it is very bad to see the same thing again the next morning. That's not acceptable. I therefore said that I would leave the country immediately if this were not clarified. Now is the question of what happened and whether it is a coincidence or not. There are three possibilities. 1. Yeah, it's a coincidence. I don't think that's a great opportunity, but I can't totally rule it out. 2. It has been an action of the government to make a point of this in the light of previous relations with the Netherlands. That does not seem very likely to me, because at the same time it was said, at least in the second case, that the government was not exactly informed. I think she has a point there. I couldn't even find any information on that arrest. That's why it took some time for that person to be released. Furthermore, the Turkish Government has informed me that this has to do with the problem of Gülen. In the view of the Turkish Government, there might have been elements at work that have been infiltrated in the judiciary to shirt the Turkish government. That's three options. I'm not gonna make a choice. I can't, because I don't have any proof of that. I am not interested in this either in the end, because the essence of the matter is that it cannot be that, whether I am there or not, journalists are being arrested. I actually have to say "taken in," because they were not formally arrested but arrested for questioning. We'll keep an eye on that case. I think there are still a number of accusations against these people. The Netherlands will continue to monitor this. By the way, it proves how complicated that country is. Mr Knops is absolutely right that this has nothing to do with the way in which we should then appreciate it. We are based on principles of freedom of the press and Copenhagen criteria. It is also a good thing to be sorry to say that Mr Knops has a certain interest in a country and what is actually going on there. I also think we should look closely at the situation internally. In any case, I am pleased that the European Parliament, too, actually has exactly the same way of thinking on this issue as the Dutch Government. It is critical of the freedom of the press, but also of a number of other issues relating to the rule of law. The rapporteur's proposal is to submit a resolution to this House. I believe that Mrs Maij referred to it in order to establish a relationship between, as Mr Segers wants, coherence in the field of accession funds and freedoms.
ParlaMint-NL_2015-01-15-tweedekamer-5.u38	At times I hear a minister who is perfectly clear about what he thinks, but then there are always comments about how complicated it is, how complex it is, and that the Minister does not really care what the real option was. I do not think that is the approach that the Netherlands should adopt. We should like to know what the real reason for this was, and we have to act every time that the Minister has done well if that is necessary. We must not think lightly about that. Does the Minister agree?
ParlaMint-NL_2015-01-15-tweedekamer-5.u39	The answer is yes.
ParlaMint-NL_2015-01-15-tweedekamer-5.u40	So the Minister takes back the words he said: I don't really care which of the options was really going on?
ParlaMint-NL_2015-01-15-tweedekamer-5.u41	No, I'm not taking back words at all. You should know, Mr Knops, that the Netherlands is at the forefront of freedom of the press. Journalists say to the Netherlands: The Netherlands has risen at least once. I have spoken to journalists on the spot who have said: at last there is a government that makes the point clear. There is a report in the European Parliament that supports this, in which journalists discuss how positive that is. I find it very difficult to say that I wouldn't care. It is a key point: it is precisely because we are talking to Turkey that we are raising this issue. It might be good to keep an eye on a country that is complex for a while. I didn't say this meant we shouldn't operate, did I? I have tried to explain the possible indications as to how this has been achieved, but this does not in any way affect, for example, our appreciation of the accession process or the Copenhagen criteria. I think that we are really no different from the CDA Group.
ParlaMint-NL_2015-01-15-tweedekamer-5.u42	I'm looking for where the minister's border is. We had the Yunus affair. In addition, Islamic children were not allowed to be housed in foster homes with homosexual foster parents or Christian foster parents. We have interfered in our integration policy. Erdogan has said that Turks do not need to integrate into the West. Our reporters have been arrested. Now there is another statement about the attacks in Paris: they are not because of Islam, but because of the West. Erdogan literally said that. I am not looking for those formal accession negotiations and the Copenhagen criteria. I believe that Turkey should never join the EU, so we will soon be done with that. I am looking for the answer to the question of what the Netherlands is sending out outside of that for signals that we are not accepting this, that we are not being humiliated by Turkey. That's how I'd see it. If I were the minister and there were two arrests of Dutch journalists there during my stay, I would see that as a humiliation. What can this minister do? And where's his line, then he says, "Here and no further?"
ParlaMint-NL_2015-01-15-tweedekamer-5.u43	Firstly, I have indicated that the Dutch Government and myself have acted very actively and have not been humiliated in any way. On the contrary, we made sure that those people were released immediately. What would be the point for authorities to arrest someone and then release them immediately under pressure? There is now a great debate in the European Parliament and elsewhere, partly as a result of these incidents. I don't feel it at all like a humiliation. I have just said what I think might be something of a background to that. Secondly, the Dutch position on all the subjects mentioned by Mr Bontes is crystal clear, whether it concerns the position of that child last year, the freedom of the press or certain elements of integration. I think we are going to have another debate on that last subject. Mr Bontes may talk about red lines, but I am not going to send the Armada to Turkey. I am engaged in a major debate on important issues with other countries. That's what we need to do right now. We can't lecture everyone, every moment, worldwide. We are actively defending our values and values when we are there and when we return to action in the European Union and elsewhere. That's a sharp position. I do not agree with you that the Dutch Government would have no red lines. We do, but we do have relations with Turkey, as we have relations with most countries. We sometimes like those countries and sometimes we don't like them. We also have relations with countries where human rights are very bad, but that does not mean that we are okay with it. That doesn't mean we're crazy Henkie. That does mean that we have strong conditions.
ParlaMint-NL_2015-01-15-tweedekamer-5.u44	Despite the red line that apparently exists, but which I have not yet seen, there is no consequence of the behaviour of Erdogan and Turkey. I'm surprised.
ParlaMint-NL_2015-01-15-tweedekamer-5.u45	I don't agree with you. I just said what that behavior has to do with it. I understand that you do not share the objective. That's not what we're into. You believe that Turkey should not become a member of the European Union. I understand that, but that is a route followed by a majority of the Chamber. Inside we have drawn red lines. We have put forward proposals on support for the progress of the negotiations on the chapters I have just spoken about. Those really aren't little things. This seems bureaucratic, but it has to do with direct economic and political interests between Europe and Turkey. I have also said that it is important that we talk to Turkey. Again, that is not a nuance, but I can really endorse that. It is important that we talk to Turkey. I do not think that is wrong at all, even if we disagree with that government on a number of points. These points have rightly been raised. We are also making progress in the fight against terror. Let me give you an example of what Mr Bontes might like. Turkey welcomes 1.2 million refugees. They're not here, they're there. This costs the Turkish Government EUR 5.5 billion. Of course, I will not talk less about freedom of the press, but I can see that the world is just a little more complex than to say everywhere that this cannot or cannot be done or what the red line is. I can't determine policy in every country. I can say that something is acceptable or not within the standards and values of the Netherlands. This cabinet is very assertive in that. It is not for nothing that I stood alone in the European Union. Questions have also been asked on the Cyprus issue. For the time being, the Republic of Cyprus has unilaterally suspended all negotiations with the Turkish Cypriots, after Turkey and the unrecognised Turkish Republic in the north announced early October that they would carry out seismic investigations in the EEZ of Cyprus. The Turkish ship Barbaros is working on that right now. On 6 January Turkey decided to extend the mission of the Turkish research vessel Barbaros until 6 April, as reported by one of the spokesmen. Turkey has received a great deal of international criticism. Mr Eide, the UN Secretary-General's Special Representative, has bilateral contacts with both communities. He's making conversations in Cyprus now. The prospects for the resumption of negotiations in the short term are bleak. It is unlikely that anything will happen until 6 April. Then there are supposedly presidential elections in northern Cyprus, but we do not recognise them. Elections will take place in Turkey in May and June. I am convinced that we must return to the negotiating table and be constructive, as we have discussed with the Turkish Government. We are also going to talk about this with Cyprus. Espen Eide is someone I know well from the past. I hope that all parties will recognize that a solution is in everyone's interest and that they will return quickly to the negotiating table. I believe that this is important in the Cyprus issue, which has been going on since the 1960s, but is now accelerating on a number of points. For this reason, too, Cyprus is blocking the negotiations on the chapters.
ParlaMint-NL_2015-01-15-tweedekamer-5.u46	I asked the simple question whether, in the opinion of the Minister, that seismographic investigation in that area of Cyprus is legal or illegal action by Turkey.
ParlaMint-NL_2015-01-15-tweedekamer-5.u47	I find it difficult to assess whether that is legal or illegal. The most important thing is to find a solution.
ParlaMint-NL_2015-01-15-tweedekamer-5.u48	There were already some issues between Turkey and Cyprus that are awaiting a solution, such as the opening of the port and airport and the Ankara Protocol. Okay, here's what's gonna happen. As with the other issues, we need to draw a line at some point and say: enough is enough.
ParlaMint-NL_2015-01-15-tweedekamer-5.u49	That's a point, isn't it? This is a very different matter from the previous one. Countries, including Greece, also take different positions in Cyprus. I would not want to place this directly on one level with freedom of the press, corruption, anti-terrorism or the Kurdish question. You can say that it's one amalgam and that it's all bad, but I don't think that's exactly the right approach. It's about getting out of here as soon as possible. Moreover, I have no problem telling you that Turkey must comply with the Ankara Protocol. I understand the Cypriot frustration. I believe that this particular issue, the fair distribution of the resources of the island of Cyprus, should be dealt with through consultation. It's not so much a legal matter. Cyprus should be a unit. So what is there should also be equally divided. Everyone has a right to get part of the whole thing. That is why it is also necessary to negotiate through the United Nations.
ParlaMint-NL_2015-01-15-tweedekamer-5.u50	Mr Van Bommel, I see that you want to interrupt, but we are doing the interruptions in two. The Minister continues.
ParlaMint-NL_2015-01-15-tweedekamer-5.u51	I would like to make a few comments on the issue of genocide. I believe that it has been discussed repeatedly in the Chamber, also on previous motions. As you know, the Dutch Government raises this issue with the Turkish authorities. Understandably, it continues to occupy the moods. There have, of course, been major violations of human rights. This year is also a specific year. In my own work I have had a lot to do with mass human rights violations and genocides. Sometimes they are described as "genocide," sometimes not. That controversy goes around that. In the past Foreign Affairs there was a very nice analysis of someone who has very much to do with this, namely that the use of the word has become very dominant and that the load of the word has become very absolute. This prevents the rapprochement and dialogue between the two countries on events. Let there be no misunderstanding: The Netherlands deeply regrets all the victims who fell in 1915. We're crystal clear about this. However, it is not up to the cabinet itself to indicate these historical events with very inhumane consequences. We are also sticking to the interpretation given to the motion by previous Cabinets. There are a number of initiatives between Armenia and Turkey to talk about it. Turkey is also ready to engage on the basis of the 2009 protocols. They are about establishing diplomatic ties, opening borders and a joint committee to study the events of 2015. The Turkish position is that the archives, including the military, are open to academic researchers. On the eve of last year's commemoration, you remember that probably Prime Minister Erdogan came with a surprising statement in nine languages, including West and East Armenian and Kurdish. In it he recognized that in the last years of the Ottoman Empire there has been a period in which the constituent peoples of the Ottoman Empire have suffered much. He specifically mentioned Turks, Kurds, Arabs and Armenians. That was a first. It was time too, but it is important that there should be a change of heart, also in thinking in Turkey about that terrible thing. He also stated that humanity has the task of recognising this shared suffering, including that of the Armenians. In his view, opinions, thoughts and perspectives on the events of 1915 can be expressed freely in Turkey, as is the case in a modern democracy. That's what he says. I know there is a lot to be said about this, but it is important. We must try to ensure that the Armenian issue comes out of the taboo. Let's talk about this one. The motion also asked us to discuss the issue of genocide with the Turkish authorities. She's become a little more discussable in recent years. I think that's a good thing. A dialogue is crucial. You know, however, that this is not part of the accession criteria. In fact, good relations between Armenia and Turkey are part of this. They're important. Whether or not the cabinet is present, I cannot say at the moment. We still don't know if we're gonna do that or not. We will look at this on a case-by-case basis. In any case, such a subject should not become a political divisive issue. It must be done in a way that brings reconciliation to everyone. That is at the heart of these very sensitive and serious issues.
ParlaMint-NL_2015-01-15-tweedekamer-5.u52	I agree with the Minister that this is not an issue where we must knowingly stand on long feet. There's a lot more going on. What is the miracle of Europe? That is the reconciliation between France and Germany, between England and Germany, after a bloody world war. This was conditional on the recognition of the suffering and harm done to those countries and the recognition of the guilt. Then reconciliation could take place, with the recognition of Germany in the sense of: yes, we were wrong. Now that war is no longer an issue and we can even play against Germany in a very relaxed way without too much emotion. That recognition was a prerequisite for that. So that should not be done with the phrase "ah, there are some academic issues" or with the question "what kind of word do you give?'. It is not about the word, it is about the recognition that it has taken place. If that is on the table, there can be much more between Turkey and Europe than is now possible.
ParlaMint-NL_2015-01-15-tweedekamer-5.u53	I agree. That's essential. It is not about the word, it is about the recognition that something has happened. It has to come from the people themselves. Then that part of your relationship becomes, by the way, that part of that between Turkey and Armenia. I am just making the point that it doesn't change what you're saying that it's not formally part of the accession negotiations. That is another point, which we also raise with the Turkish Government. It is true that it is an extremely sensitive issue. It is also true that this is perhaps difficult to say at this time of much criticism, and rightly so, in Turkey on a number of points which, in recent times, have become more discussable in Turkey than before. The same applies to the Kurdish question and the negotiations, whether they go well or not. That was impossible under the military regime and under the emerging democratic regimes. In Turkey as a state, nothing was to be said about minorities. I see a change in that, and I think we should take that turn. This concerns the relationship between Turkey and Armenia and the recognition of what has happened there.
ParlaMint-NL_2015-01-15-tweedekamer-5.u54	That turn of events is hopeful. The relationship with the Kurds is hopeful. Those are indeed more hopeful signals than we have seen in a long time. I would like to return to a few words which the Minister spoke earlier about the possible interpretation of the motion. That's what I was referring to in my contribution. The letter from Minister Timmermans, which is the basis of this debate, refers to the relationship with Armenia, while the motion refers to the recognition of the Armenian genocide in that dialogue in so many words. I don't know how many different signs of this are possible. The motion seems very clear to me on this point. The letter says something else: as if it only related to the relationship with Armenia.
ParlaMint-NL_2015-01-15-tweedekamer-5.u55	I understand. It is certainly not just about the relationship with Armenia. I think that's obvious. Besides, people who file a motion are also concerned with the explanation of that, as I learned in this house when I was still on your side. It is, by the way, a motion that was tabled some time ago. At the time, the cabinet also told us how this is going. This was not only about the relationship with Armenia, but also about the recognition of the genocide. The government has said that it does not adopt this terminology and does not define it itself, but considers it crucial in its relations with Turkey.
ParlaMint-NL_2015-01-15-tweedekamer-5.u56	We shall continue with the second term of office.
ParlaMint-NL_2015-01-15-tweedekamer-5.u57	Mr. Chairman. I thank the Foreign Minister for his answers, but I think he still owes me some answers. I had made the point that accusations were made against Turkey about possible cooperation in the supply of arms to Al-Qaeda. I have a number of supplementary questions on this. Those documents were handed over to the Minister of Justice. That was just in the time of the handover to this minister. The question is whether the Minister of Justice, prior to this Minister's visit, shared that information and documents with him. At least I'll tell the Minister he'll get those documents. It's a complicated matter to take off now. If the Minister cannot do so today, I ask him to respond in writing. I would also ask the Minister, following his predecessor, to inform the Chamber of planned foreign visits. It's always good if the Foreign Minister is abroad a lot. There's a lot going on, too. It was a good use of his predecessor to do so. That was not the case in the case of the trip to Turkey. I listened very carefully to the Foreign Minister. As I have just said in the interruption, I thought at some points: is there now an image here to show how complicated it is in Turkey, perhaps with the result that we have not too high an expectation of what is going on? At other times, I saw a passionate minister, who stands for the rule of law, freedom of expression and who has also acted very undiplomatically in Turkey in the positive sense of the word "too." Several media have reported on this. It is not so much that the situation in Turkey is problematic. It's much more serious: it's just going the wrong way. I think we can see that. The question is how we can get it in the right direction and what resources can be used for it. In the opinion of our group, we must be clear against the Turks with regard to the abuses that exist. We denounced a number of things there during a visit by the Permanent Chambers Committee last year. This minister is doing the same thing. Our group would like the Minister to continue to do so. I look forward to answering the questions that have not yet been answered.
ParlaMint-NL_2015-01-15-tweedekamer-5.u58	Mr. Chairman. I feel the need to send the minister out with some homework. I do not do that by motion, because I think we can agree on it. First I come to the issue of freedom of the press. This directly affects the Dutch interest. Dutch journalists may be prosecuted. It's not quite clear yet. I had contact with one of them. I ask the Minister to follow the case of Frederike Geerdink and Mehmet Ulger and to see how the right in Turkey is being used to possibly restrict the freedom of the press of these two specific journalists. With regard to freedom of expression, I would ask the Minister to continue to press for the amendment of Article 301. I believe that Turkey is also obliged to do so in view of the European negotiations. Reform of anti-terrorist legislation is necessary from the point of view of Europe and negotiation. So I ask the Minister to follow that process. With regard to Cyprus, I would like to ask whether what is happening with regard to seismographic measurements is legal or illegal. I would ask the Minister to find out more and to inform the Chamber about this. Finally, I come to the Armenian genocide. The Chamber did use that verdict, that qualification. That right belongs to the Chamber. We also see this in other parliaments, in the United Kingdom and elsewhere, sometimes on other issues, but also in the case of the Armenian genocide. The Chamber has said so. We will continue to call on the Minister from the SP Group to do the same. In any case, I expect the social conditions in the Netherlands and in Europe to become such that the Dutch Government will soon be able and willing to be at the commemoration of the Armenian genocide. That memorial will take place this year.
ParlaMint-NL_2015-01-15-tweedekamer-5.u59	Mr. Chairman. It is clear that there are serious concerns about developments in Turkey. They stay and they grow. We also see that the acceptance of accession is shrinking among the population there and among the population in the European Union. My first question is: do we not lose a great deal of support for a good relationship with a possible good neighbour if we continue indefinitely with a process that is already still, a process in which we have to be extremely depressed about the rule of law and that may take a very long time? Don't we lose a lot of what we might now be able to preserve by working towards a different relationship? With my last question, I shall once again join Mr Van Bommel. In the possible good relationship with Turkey, the recognition of guilt and the work on reconciliation are very important. Is the cabinet prepared to be present at the 100th anniversary of the genocide and to show that it weighs very heavily on us?
ParlaMint-NL_2015-01-15-tweedekamer-5.u60	Mr. Chairman. I am focusing on the provocation of Turkey against Dutch journalists. My position on the accession negotiations and the general accession of Turkey to the EU is clear and I am therefore zooming in on Dutch journalists. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that Turkey has arrested two Dutch journalists;]] [[Whereas the abolition of freedom of the press in Turkey must be strongly condemned;]] [[calls on the Government to recall the Dutch ambassador from Ankara if Dutch journalists are arrested again for exercising their profession,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bontes. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23987-147]]
ParlaMint-NL_2015-01-15-tweedekamer-5.u61	Mr. Chairman. I thank the Minister for answering the questions. There is often talk of a positive agenda with regard to Turkey. The VVD is in favour of that. This is not so much a positive agenda when it comes to the accession negotiations as when it comes to the other interests, i.e. economic interests and geopolitical cooperation with Turkey in that important region. This also concerns cooperation between Cyprus and Armenia, which has just been discussed. I think there is enough to win in the relationship with Turkey and we both have an interest in that. We have talked extensively about freedom of the press and freedom of expression. The concerns about this are widely shared in this Chamber. We have seen debates on this in the European Parliament this week, as well as a resolution by the rapporteur, Mr Kati Piri. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Observed the many incidents surrounding the freedom of the press and freedom of expression that have occurred in Turkey, including the arrest of two Dutch journalists;]] [[whereas a 154th place for Turkey at the World Press Freedom Index 2014 is illustrative of the condition of freedom of the press in Turkey;]] [[Whereas freedom of the press and freedom of expression are fundamental to a democratic society;]] [[condemns Turkey's current course and situation in the area of freedom of the press and freedom of expression;]] [[calls on the government, at EU level, to bring this explicitly to the attention of the Turkish Government and to call for a concrete improvement programme,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Verheijen, Mr Maij, Mr Segers, Mr Knops and Mr Van Bommel.]] [[She's getting No. kst-23987-148]]
ParlaMint-NL_2015-01-15-tweedekamer-5.u62	Mr. Chairman. Thank you to the Minister for answering the first-term questions. It is clear that the PvdA continues to believe that we want Turkey to change and that democratic and political reforms are taking place in the country that will bring the country back to Europe and that it has the face of the European Union. For us, this means that we should not turn our backs on Turkey. With me, the question remains what is needed to give such a positive turn to the process. I hope the Minister will be able to explain this. We have talked about a process that has been going on for over 50 years, with ups and downs. The Minister has indicated a number of positive steps, but we have rightly focused today on a number of steps that have not been taken. What, for example, has the Minister discussed with the Prime Minister and his colleague? Does he feel that steps are indeed going to be taken soon to give the process a bit of a positive twist again?
ParlaMint-NL_2015-01-15-tweedekamer-5.u63	Mr. Chairman. Thank you to the Minister for his reply. I can imagine that observers from the Turkish Government who have heard our Foreign Minister deliver a positive opinion to Ankara this evening. Where the Chamber broadly states that the accession case has become much worse, the Minister is making all of this into perspective and he also sees many positive sides, for example around the very cautious lifting of the genocide taboo. I don't think it's much. When you think about the carrot and the stick, important in foreign policy, I actually only see the carrot and not the stick. That's why I'm filing two motions, about the same as last time. We hope that all those who have a good heart for the stick will do so.
ParlaMint-NL_2015-01-15-tweedekamer-5.u64	Then you'll have to do it a little quickly.
ParlaMint-NL_2015-01-15-tweedekamer-5.u65	Okay, Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Turkish Government restricts internet freedom, undermines the autonomy of the Supreme Court, judges and prosecutors and has recently severely restricted freedom of expression and freedom of the press by mass arrests of journalists;]] [[whereas this erosion of the rule of law and the disregard of fundamental freedoms directly contradicts the European values that we love;]] [[having noted that after a 12-year journey in which Turkey should have become a full democratic member of the Union, there is now little or no prospect of this;]] [[calls on the Government to actively engage in the cessation of accession negotiations with Turkey,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, after 12 years, insufficient progress has been made in Turkey's path of accession as a full member of the European Union;]] [[whereas Turkey is not expected to make progress in the foreseeable future;]] [[calls on the Government to stop all accession aid to Turkey,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Beertema. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23987-149]] [[This motion has been proposed by Mr Beertema. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23987-150]]
ParlaMint-NL_2015-01-15-tweedekamer-5.u66	There are still a cordon plumbing to exist as the PVV was not allowed to sign certain motions. Democracy is a difficult concept for some parties.
ParlaMint-NL_2015-01-15-tweedekamer-5.u67	I see the Minister can respond immediately if he has received the motions.
ParlaMint-NL_2015-01-15-tweedekamer-5.u68	Mr. Chairman. I would like to thank the Chamber for the questions raised during the second term and the motions for resolutions tabled. I shall begin with questions about Turkey's alleged support for jihadists. I am familiar with the various publications and statements that claim that Turkey would have supported or provided support to jihadists in Syria and Iraq. However, as I indicated earlier in the answer to questions, the cabinet cannot confirm these messages. In talks with the Turkish authorities, these allegations are categorically denied. I have had discussions about this in Turkey. Those talks have made it clear what Turkey's position is. Turkey also sees ISIS as a terrorist organisation and participates actively in its fight against it, including in its financial squeeze. Turkey has placed ISIS on the list of terrorist organisations and has also expressed its willingness to support the coalition against ISIS. There is no international support for an investigation into Turkey's alleged support for jihadists. I spoke with Prime Minister Davutoğlu about Turkey's alleged support to ISIS. He rejected that accusation loud and clear. He believes that support for ISIS is incorrect and he also said that it is not taking place. It underlines the common objective of combating ISIS. Mr Knops asked me to reply to the letter he sent to the Minister for Security and Justice in response to the documents handed over. He was gonna pass that letter on to me, too. In any case, I will contact the Minister of Security and Justice and ask him what he did with the letter. Then I will reply to the Chamber. Moreover, I have already mentioned the position of the Dutch Government in relation to newspaper reports.
ParlaMint-NL_2015-01-15-tweedekamer-5.u69	In itself, this is a clear answer. The question is whether the Minister for Security and Justice shared my letter prior to the Foreign Minister's visit to Turkey. I'm afraid we pushed the letter into the wrong mailbox. The letter should have been sent to the Foreign Minister. I'll make that right, I'll tell the Minister, but the question is whether the Minister knew about magic. There are a number of documents that perhaps the Minister did not know, even when he answered the questions we asked earlier.
ParlaMint-NL_2015-01-15-tweedekamer-5.u70	The Government's response to questions put by the Chamber and also the preparation of visits is interdepartmental. I therefore assume that this includes the information provided by Mr Knops. In any case, I come to the same conclusion that I have just indicated on behalf of the Dutch Government. Questions were also asked about Turkey's activities in the EEZ. The SP Group has repeatedly stressed the need to respect the sovereignty of the Member States of the European Union over their territorial seas. The sovereign right also includes the right to research and exploitation of natural resources, based on the United Nations Convention on the Law of the Sea. We have already adopted the Council conclusions, in October and December. That's what the Chamber was informed about. We have said that we have serious concerns about the new tensions and that we call on Turkey to respect the sovereignty of Cyprus. Our position on the economic zone is clear and the position of the European Union is the same. However, I would point out that Turkey is not a member of the UN Convention. However, respect for it must be done. We have discussed the amendment of Article 301, the anti-terror legislation and some other elements. Such elements are important in the discussion with Turkey. Those elements are also addressed. This is, of course, being strengthened, and we have already discussed this in the first period if we can do so within the framework of the opening of these two chapters. So we do not need to reopen all the chapters, so that we can have much sharper debates with Turkey. I do not agree with the analysis that there would be no support for support for Europe in Turkey. On the contrary. Two elements play a role here. The first is on the formal front: we want to give fresh impetus to the negotiations with the European Union. There is also a new initiative from Turkey. We can find all kinds of things, but that has been transferred to us. This was also communicated to the Commissioner for Enlargement and to Mrs Mogherini during their visit to Turkey at the beginning of January. When you talk to a lot of citizens, you hear that there is a huge desire to belong to the European Union. I certainly don't think there's any less interest in all kinds of ways. Public opinion in Turkey is critical of Europe, as is the case here. It is felt that the European Union is training the negotiations. I think we should strengthen those bridges a little bit. That is independent of whether you like membership best or prefer a different formulation. I have already said that we are not thinking about this, but the formal position I am holding here is in future Turkey's membership. That doesn't change the fact that I wouldn't say there's no support for it. There is a reduction in support on both sides. That is why we need an impetus and a good substantive debate. That is why I have spoken with my Turkish colleagues. At the ambassador conference, where we spoke for two hours, there was an intense debate on these issues: what do we expect of each other, what do we want?
ParlaMint-NL_2015-01-15-tweedekamer-5.u71	I was referring not so much to political support but to public support. The last two polls show that in one year the support of Turks who want to join the EU has decreased from 38% to 28%. There is therefore a significant reduction in the level of support. That is further at stake if you continue to frustrate those negotiations and allow endless simmering.
ParlaMint-NL_2015-01-15-tweedekamer-5.u72	It is not right for me to doubt this kind of investigation, but I have great doubts about it. I do not know what methodology has been used. To be honest, 38% do not seem to me to be so high either. If it goes to 28%, it'll go backwards. It looks like support for the European Union in some European countries. I'll add that that doesn't happen by poll either. It's really something fundamental. But there will undoubtedly be a reduction in the last period of time, which I have also acknowledged. We are seeing a tightening of the contradictions between Europe and parts of the Middle East, but also Turkey and some other countries in our region. It is now taking a little too far to launch this debate, but we know public opinion. In Europe it is often said: Turkey is not good, it is risky, it is the beginning of an Islamic state. In Turkey people often think: Europe is bureaucracy, they want to tell us how to do it and so on. There is indeed a need for an intensive debate on this. I agree with the Chamber. We must ensure that the debate is on fair matters. That was one of my attempts when I visited Turkey. It's my job to do that, too. I agree that there must be social support and a social climate to strengthen commemorations on genocide. In that light, I cannot make any statement at this time as to whether we will be present or not.
ParlaMint-NL_2015-01-15-tweedekamer-5.u73	I can't help it. The Minister has also been a Member of Parliament. As a Member of Parliament, he has made himself clear. He's also been here at commemorations at the Square. Can I ask the Minister whether he would like to make an effort to get the government involved in that memorial, which is appropriate?
ParlaMint-NL_2015-01-15-tweedekamer-5.u74	Fit for sure. I'd like to agree with that. Let's just say we have to operate appropriately. But there is something else: you know, as I do, that there are enormous tensions on that memorial. Let's acknowledge that there are tensions. We've been there in previous years. In my view, forcing a government to go there or not is not the right method. We must work together to ensure that there is support and respect for the various populations, including on Dutch territory. Let us ensure that these matters are discussed with respect for each other. So it is not a question of saying here in one way or another that the government has to do this or that. We're not gonna fix that that way. We want to deal with this problem with respect for everyone. I think that this has also been the statements made by my colleagues in Social Affairs and others.
ParlaMint-NL_2015-01-15-tweedekamer-5.u75	I shall say it in a very soft tone: 'force' and'must' are words which have not occurred in my speech and neither do I think Mr Segers's speech. The Minister has to do a lot and is forcing a lot, but we are looking for acceptance and understanding on this point. We want to ensure that the tension, which I also see, does not increase further, but that there is relaxation and rapprochement. We are also looking for the reconciliation Mr Segers mentioned. I am convinced that the Minister was mistaken when he said that we are trying to force him and that he must do things in this area. That's not the point.
