ParlaMint-NL_2015-11-17-eerstekamer-3.u1	I would like to welcome the Minister and the Secretary of State for Finance to the Upper House.
ParlaMint-NL_2015-11-17-eerstekamer-3.u28	Mr. Chairman. It is, even after this sad and disturbing weekend, an honour and a privilege to speak in this magnificent Chamber; an opportunity that every new Member of Parliament, even under the promise of non-interruption, looks forward to with appropriate stage fright. Anyone who joins the Senate becomes part of an illustrious tradition, with Roman predecessors who tried to rule Europe in gowns from Rome, and with American contemporaries who, in dark blue suits, try to turn the world into their hands from Washington, both with varying and decreasing success. Among these giants, the role of the Dutch Senate is not all our indirect voters equally clear. In many of the congratulations that I received in my election, the words "chambre de réflexion," an expression with a remarkable history of esoteria, alchemy and freemasonry, were expressed. These wishes were often accompanied by worrying footnotes about the supposed increasingly "political" role of this company, often in combination with a heartfelt call in my direction for the input of much "common sense." The temptation is to speak on this in abstract terms, but it seemed more appropriate to me to try to make a contribution on behalf of D66 on the basis of this three-stroke aloof reflection, political topicality, common sense, on behalf of these General Financial Reviews, reflections in which there is scope for distant reflection on the recent past, but also for the political topicality of the present, and for a cautious exploration of the future, where sanity does not always prove to be against the most sophisticated macroeconomic model. I therefore speak here as a modest economist who knows his place, but above all as a son of a father who spent his entire working life in the service of the Ministry of Finance and who, from his own legal education, had undoubtedly found the modesty of economists and economists to be more than justified. I myself have not followed the steady rise of economists in the ministry without satisfaction from Erasmus University in Rotterdam, without suspecting that the recent past would raise serious doubts about the ability of economics and econometrics to distinguish good policies from bad policies. This makes it all the more urgent to learn at best from the most serious economic recession that has hit the world since the thirties of the last century; a crisis whose real cause economists are still divided. Was that the collapse of the housing market in the United States, after which the so irresponsiblely sloppy, poisoned American mortgages so severely disrupted bank balances worldwide that interbank financing threatened to stop altogether? Or was that the global concern that the US government's refusal to save Lehman Brothers implied similar risks for all Western banks? Background and cause was, in any case, a global risk capital deficit combined with excessive private debt, which was partly transformed by the crisis into long outstanding public debt and itself barely decreased. In this sense, the danger of repetition is far from over. I suspect the Minister of Finance will recognize that concern. Is it, I ask him, therefore not high time for a fundamental rethink of the tax treatment of debt versus wealth, for citizens and for businesses alone? Shortening the balance sheet. This became the task for banks, citizens and businesses, with a helping hand from the government for the first category. Afterwards, Lehman Brothers "too big to have been allowed to fail" turned out to be "too big to have been allowed to fail," and after that, no government could escape the task of maintaining system banks worldwide at all costs. But there was no escape from a serious recession then, and then all governments had to think about how to combat it: either with additional public spending to compensate for the private demand drop, or with interest rate reduction, or with growth recovery reforms, or, forward, with a combination of all three. And all this within limits, because interest rates cannot fall below 0% even though,........ and fiscal policy sooner or later runs counter to self-chosen or agreed limits on government deficit and debt. Each country does so in its own way, and we can learn from the differences it created. Differences between America and Europe, for example. America opted for a one-off injection of own funds into a large number of financial institutions according to the standards of then extremely high levels. Europe struggled from one country to another with what was and was not necessary, under the watchful eye of the European commissary for competition. The US institutions have repaid their debts to the government and are healthy again; the European banks are on the eve of a next periodic stress test to prove that they too will be able to cope with a next crisis. What does the Minister of Finance, who himself is a valued European protagonist, think we should learn from this difference? There were differences, but also similarities. Cutback became a key word in government policy on both sides of the Atlantic, and that was certainly inevitable on this side: Europe had no choice but to commit to the previously self-imposed fiscal discipline, and the recent CPB study, mentioned by several, suggests that the resulting damage has been surprisingly limited. D66 has been able to shape the Dutch cabinet policy and has contributed fully to the reform programme launched in the Netherlands. The memories of it are still fresh; they were not easy times. Now that the cautious recovery in growth is reducing public debt again, an obvious question for the Minister is whether he would not wish his successor a little more spending space than he himself was given in the course of a subsequent crisis and, if so, how he believes the basis for this should be laid. We learn from differences; between Europe and America, but also within Europe, which was so badly hit by the crisis as a continent. However, this was to varying degrees for different European countries. National policy freedom in the Member States is limited, but not zero; the limits that Brussels draws are negotiable and to some extent negotiable. How did the different countries manage it? And where did the Netherlands distinguish themselves from the rest? So at first glance certainly not because of relatively rapid recovery or because of relatively limited growth loss. Between 2008 and 2016, the United States grew 12% faster than the Netherlands, England 7%, Germany 6% and even France 3%. Employment in Germany increased by 6% since the start of the crisis and by 2% in France. The Netherlands is still looking at a 4% drop! And on balance sheet reduction: our mortgage debt rose from EUR 594 billion in 2008 to EUR 636 billion in 2015. This picture runs counter to the self-satisfaction that emanates from the Millions' Note and raises fundamental questions about the effectiveness of the Dutch crisis response, for example about the now emerging procyclical nature of our national fiscal policy. Does the cabinet have a comparative analysis of how Dutch crisis policy relates to growth and employment effects to that of our neighbouring countries? Is there any explanation of the above-mentioned differences for the Netherlands? And what does it teach us as a country in the run-up to what will ever become a next crisis, when it happens? Does the Minister have good policy advice ready for his successor, for example in the fight against procyclicality or, perhaps, does he have such realistic, good intentions "in case" under his own pillow? This not always cheerful reflection on the recent past leads us to the political topicality of the 2016 Millions Note. It's a document written in a recruiting tone. The cabinet has undoubtedly managed to substantially reduce public expenditure since 2012 and, in fact, mainly public administration expenditure is to be congratulated on this. In the sum of the crisis years, savings have been made of a magnitude that the Netherlands had not experienced since the 1980s. However difficult the path to recovery that Europe has taken, however difficult it was in the Netherlands recovery, however disappointing the growth and, in particular, export figures for the third quarter, however historically high unemployment and incapacity for work may be, and I would like to ask the Minister to comment on this list. Fortunately, there is once again confidence among consumers and entrepreneurs, and there is once again some budgetary space available to promote that confidence. It is the way in which the cabinet prefers to use that space, the much discussed burden relief of EUR 5 billion, which has attracted the most attention in this Millions note and perhaps in the absence of serious reform plans in other areas. Here, despite the title of the second chapter "Reform as a continuous mission," this Millions note greatly disappoints. I'm not the first to say this here. And that is precisely when the growing economic situation so strongly invites. This is the time to do it. It is precisely in the burden relief proposal that a missed chance of reform becomes most painfully visible in the form of the missed chance of a serious tax reform; something the Secretary of State for Finance himself warned about a year ago. It's a popular quote that I'd like to spare him now. Much energy has now been invested by all political parties in a search for improvements in this plan. D66 came up with an alternative with a more than twice as positive employment effect, including expansion of the local tax area and further greening. This afternoon, on the other side, it will be clear what the interim fate of these sensible ideas is. For now, it seems to be a missed opportunity. The rich budget is judged in many ways. On the basis of the budgetary principles of the existing cabinet, for example, if only to note that they are not always honoured. Or from the views of surrounding economists, including those of the IMF delegation, who almost all think that in this low interest rate the cabinet could have invested the 5 billion better in the competitiveness of the Netherlands than to give the amount back to the citizens. Or perhaps in the first place from the standards that were agreed in Europe; standards that this cabinet has repeatedly liked to see imposed on other Member States. It is precisely for this reason that it is particularly striking how the cabinet hardly seems to succeed in meeting the important European standard for the structural and cyclically-cleaned budget deficit. This will only work, as the Council of State also notes, if that structural deficit improves by at least 0.5% of GDP in 2017, and that is a worrying change in budget preparation for that year. The complex argument on the basis of which the cabinet looks forward to the outcome of the Brussels test in 2016 underlines once again the inscrutableness of the preventive arm of the Stability and Growth Pact. In his European role, would the Minister not even like to see these preventive rules simplified so that they can play a more visible role in the public debate? Prevention is better than cure, and that is why the state budget must also be judged on the extent to which it addresses and makes future risks manageable. Citizens and banks have little choice in how to anticipate future setbacks: who saves, builds a buffer for bad times. The citizens of this country have understood this message and even the extremely low savings rates have only limited their return to the car dealership and the furniture boulevard, despite the warm invitations of the Prime Minister to do so. The banks have understood this message and they are manly in meeting the new capital requirements, the question of whether they are strict enough. By the way, I would be interested if the Minister thinks that a banking light licence for low risk lenders, such as England already knows, could attract new Dutch entrants to ensure that credit-demanding SMEs do not become the child of that account. But a national government has a choice. It can strengthen its buffers by paying extra attention to public debt, but it can also choose to increase the country's resilience by substantially strengthening its economic structure. Does the cabinet give us a sensible choice? Unfortunately, the final answer to that question is not yet known. D66, unlike the Council of State, does not call for an accelerated phasing-out of public debt, but instead requires a more serious strengthening of our economy than the cabinet now offers. I regret that and hope that on 15 December we in this Chamber will be able to agree to a tax plan of a quality that my father would have feared. That does not mean that we have no other concern about the rich budget, and they are entirely in the spirit of the suggestions made by Mr De Grave. This is particularly true of the budget for Security and Justice, which has been problematic for years. Revenues are entered for costs, legislative proposals stagnate, the implementation of plans and projects is much more expensive than anticipated and cuts in core functions lead to poor quality. My group estimates the financial impact of this at about EUR 200 million. During the plenary session of the V and J budget in this Chamber, scheduled for 14 and 15 December, we will look in particular at the National Police, the case law, the prosecution, the probation, the registry rights and legal aid. In our view, additional resources for these parts will have to come from outside the V and J budget. A small, open economy benefits above average from the opportunities offered by the environment, but needs to be twice aware of the risks that threaten it right behind the horizon. And they're substantial. The beautiful chapter on risk analysis in the Millions Note gives a comprehensive account of it. The broad monetary policy of recent years has undoubtedly given Europe much credit, but economies should not be held up by their central bankers and their extremely low interest rates translate into new bubbles that rarely run quietly empty. And that's not the only thing. Does the Minister share the concern of many economists that Europe would have ended up in a long period of secular stagnation, demographically driven, with persistent interest rates of around 0%? This would provide a particularly unattractive perspective, as outlined earlier by Mr Hoekstra. There is an urgent need for new private investments, but they remain out of such a scenario. Where there is still growth and substantial income, namely in the Internet economy, growth seems to be low in terms of capital, and in a sector which also avoids conventional analysis of scarcity and productivity in other respects. Where would the best opportunities be for public investment? How can new breakthrough technologies be provoked? Would a higher European inflation target than 2%... I dare hardly say it in the shadow of Germany... be worth considering or remain taboo? These are not easy questions that I put to the Minister, but the Japaneseisation of Europe seems to me to be a greater risk than Islamization. Does the Minister therefore agree with me that the strong promotion of sustainable growth should be a key priority of Dutch and European fiscal policy? If so, what does he see as the main obstacle? As a hope for improvement in the Netherlands, there is a fear of stagnation in Europe, this makes the future even more uncertain. For the future of our country, however, we are not helplessly at the mercy of the unpredictables of the next crises. There is still a great deal to be done to improve the resilience of the sustainable knowledge-based economy that we want to be. Now that there is room for growth-enhancing policies, it must become our common priority in the coming years: to strengthen the resilience of a country that dares to rely on its own strength and on the adaptability of its institutions. I look forward to being able to contribute to that in this Chamber.
ParlaMint-NL_2015-11-17-eerstekamer-3.u29	Thank you very much, Mr Rinnooy Kan. Congratulations on your maiden speech. As you have probably noticed by now, it is customary to briefly explain the background and career of the Member of Parliament concerned in each maiden speech. I will certainly do the same to you, but I ask you in advance to forgive me that I am not exhausting in this. If I am, I will go well beyond my own speaking time. Your curriculum vitae is so long that you have undoubtedly been nicknamed "Rinnooy Kan everything." In 1972 you graduated cum laude in mathematics and have a candidate in econometrics. After your studies, you worked as a scientific assistant for several years. In 1977, you joined Erasmus University Rotterdam. Here you were in twelve years: professor of operational research, professor of operational research, director of Econometric Institute and finally rector magnificus. In 1991 you temporarily left the world of science behind you, to hold the presidency of the Federation of Dutch Enterprises and later of VNO-NCW. Since 1996, you have been a member of ING's board of directors for ten years and in 2006 you became president of the ESC after a unanimous nomination. In addition, in 2007 you returned to the university, namely the University of Amsterdam, initially as a professor of policy analysis in the private and public sector and after your SER period as professor of economics and business administration. In all these years, you have fulfilled a large number of commissaries and secondary functions. I call the Concertgebouw, the Nederlandsche Bank, the Prins Bernhard Cultuurfonds, the Koninklijke Hollandsche Maatschappij der Wetenschappen and the Innovationplatform, but the list is many times longer. Your social position has not gone unnoticed in the press either, because the Volkskrant proclaimed you the most influential man in the Netherlands three times. Over the years, you have not only built up a wealth of administrative experience, but also a considerable capacity for chairing. In 2014 you even published a book on this subject, together with former Vice-President Gerdi Verbeet, entitled "President! The art of chairing without a hammer." In it you write that a good president is actually a modest world improver. I think that both classifications, good chairman and a modest world improver, fit you well. Mr. Rinnooy Kan, you're not a stranger to this house. As chairman of the ESC, you were here in June 2012 for a discussion with the Parliamentary Research Committee Privatisation/Independence Public Services, as well as your various research committees in the fields of education, care, culture and justice already brought you into contact with the chambre de réflexion several times. As chairman of the Committee on Social Affairs and Employment, but also of course as a Member of Parliament, you will undoubtedly make a valuable contribution to the work of the Chamber. I wish you every success in this, and I shall suspend the sitting to allow colleagues to congratulate you on your maiden speech. But as you know, I am the first to congratulate you.
ParlaMint-NL_2015-11-17-eerstekamer-3.u30	Mr. Chairman. After this ink-black weekend we pick up the road again, with very nice and good things. I would like to congratulate Mr Rinnooy Kan on his excellent contribution. Our country finally abandoned the economic crisis in 2015. That is not to say that crises will not return, but those of recent years will be over. The Dutch economy is growing over a broad front. Despite the disappointing world trade, in particular caused by the further cooling down of the Chinese economy, exports remain robust. Household consumption is increasing thanks to an increase in disposable income, so what people actually have in their pockets. The recovery is supported by the growth of investment and a attracting housing market, also a child of concern over recent years. Unemployment is falling only moderately this year, to 6.9%, and is expected to reach 6.7% next year. But this is in the event of a significant increase in employment in the market sector and an increase in labour supply. So we are going to work considerably more and it will not be surprising that this is seen as an essential development by my party. A further reflection on the distribution of work within the household, including volunteering and care, is nevertheless needed. The same applies to focused attention to the labour market perspective of older people and immigrants, to which a motion by my group chairman during the General Political Reviews found broad support in this Chamber. The 5 billion package and the purchasing power decision-making of the Rutte/Asscher cabinet for 2016 improve the median purchasing power by 1.4% next year. This is an important development, confirmed by the high degree of confidence we have in the economy again. Working people are making the most of it by 2.5%, and that too is a logical and justifiable choice for us. The purchasing power of pensioners and beneficiaries is rising significantly, by 0.2%. For the more than three million pensioners, this is mainly due to lack of indexation in recent years. For my group, it is not surprising that low interest rates play such a decisive role in this. Of course, our pension system cannot in any way prey on the assets built up for the benefit of younger generations. But we wonder whether the interest rate for such an analysis should now be the most dominant factor, knowing that many of the returns actually realised by the funds are independent of interest rate development. Where we cannot and do not want to use the treasury to repair the pension payments, we do feel responsible for a discount method that reflects the fund's investment policy. The Millions note deals extensively with the future stability of our pension system and says important things about it, but ignores the issue of interest rates. I have referred to this as 'the elephant in the room': the overdependency of our pension arrangement on the European Central Bank's interest rate policy. Mr Hoekstra has already spoken about this. The government shares this view, as we would like to hear from the Minister of Finance. And what initiatives can we expect in this area in the coming years? In the case of beneficiaries, the purchasing power trend was initially unfavourable. We are pleased that the cabinet subsequently wanted to fix this, which will result in a slight average increase in purchasing power of 0.2%. The general government deficit is projected to fall to 2.1% in 2015 and to 1.4% of GDP in 2016. Compare this with the deficit of almost 6% in 2009 and the rapidly rising debt in the following years and we see how far we have come. There are still noises to be heard as if we had cut our economy down in recent years. Mr De Grave pointed out this type of critic. The Dutch public finances threatened to derail completely in 2009, after a year of in vain Keynesian stimulus policy, and to get down in an accelerated spiral. At a time like this, it does not help to keep deficits going, but rather to address structural imbalances. And that, however painful, is exactly what was done next.
ParlaMint-NL_2015-11-17-eerstekamer-3.u31	I do not disagree so much with what Mr Postema says, but he does say something intriguing, also in view of the history of his party. May I conclude that the PvdA Group is definitely saying goodbye to Keynes' ideas here?
ParlaMint-NL_2015-11-17-eerstekamer-3.u32	I have never found that Keynes' ideas are one-on-one the ideas of social democracy. I think it was Keynes' great merit that he pointed out at the right time the need for an incentive policy if this is to be achieved. However, I do not wish to associate an economic ideology, such as that put forward by monetaryists, keynesians or neoclassics, with social democracy. That can't be the intention.
ParlaMint-NL_2015-11-17-eerstekamer-3.u33	It is intriguing, however, let me say it carefully, because supporters of keynesian policy can generally be found in the circles of the PvdA. At least that was the case in the past. I know Mr Postema well enough to know that he does not choose his words by chance. He's talking about Keynesian policy in vain.
ParlaMint-NL_2015-11-17-eerstekamer-3.u34	Yes, it is. If we were to ask the Senate for the best course of action and also for the crisis of the 30s of the last century, we would all turn out to be Keynesian. However, we have been living, at least for the last ten years, in another world with great imbalances that we have learned over and over again not to be solved with a very broad spending policy. These imbalances required a real approach to the imbalance. The balance sheet in the private sphere, in the public sphere, at the bank; I do not need to mention that because Mr Hoekstra knows that as well as I do. I think it would be wise to explain how this has been done in recent years, including by my own party. We have noted with each other that in 2008-2009 the first attempt was made to overcome the crisis in the short term by keeping spending on a massive scale. However, the crisis turned out to be a lot more uncomfortable and it took us a lot longer to get out of it. There's a lot to be said about that. As far as I am concerned, that is to say that the holder appears to have won.
ParlaMint-NL_2015-11-17-eerstekamer-3.u35	I think Mr Postema and I are almost there. It was a relatively long answer and I think it is good to mark another discrepancy. I remember the time of the Kunduz coalition, a time when Mr Postema and I were already members of this house. At that time, I think the PvdA was spending just for more. In my view, this should at least be seen as a discrepancy with what Mr Postema has just said.
ParlaMint-NL_2015-11-17-eerstekamer-3.u36	I believe that the discussion at the time of the Kunduz coalition, as you call it, was content and not just about what was left at the bottom of the line. So I wouldn't want to smash it this way.
ParlaMint-NL_2015-11-17-eerstekamer-3.u37	I would like to mention the fact that the PvdA is saying goodbye here in this house, or at least part of it says goodbye to Keynes' ideas. I would like to remind you that during the 2012 election campaign, the PvdA's group leader in the House of Representatives denounced the stupid European austerity policy, as he mentioned at the time, and therefore implicitly advocated a more expansionary fiscal policy. Apparently, this is a matter of progressive insight on the part of the PvdA Group. I would like to draw Mr Postema's attention to some facts. He spoke of a failing keysian policy, an anti-cyclical fiscal policy which was rightly said goodbye. After a farewell and a much more restrictive pro-cyclical fiscal policy, the Netherlands is in recession again. As one of the few countries in the euro area, the Netherlands has experienced a so-called triple dip. The recession in the Netherlands has lasted longer than in the neighbouring countries and the recovery has also taken longer. Only this year will the Netherlands be at the pre-crisis level for the first time. There's been 50 billion cuts.
ParlaMint-NL_2015-11-17-eerstekamer-3.u38	May I ask you to come to a question? This is not a new argument, you know!
ParlaMint-NL_2015-11-17-eerstekamer-3.u39	I come to my question. Will Mr Postema respond to the fact that the Netherlands has done worse than the neighbouring countries and that the restrictive fiscal policy has indeed had very damaging effects on our economy?
ParlaMint-NL_2015-11-17-eerstekamer-3.u40	Mr Van Apeldoorn puts words in my mouth that I have not said. I'm not giving up on Keynes' ideas at all. I would be extremely sorry to hear that, because there are a lot of valuables in Keynes' ideas. I have said, and I quote it again, that after a year of in vain Keynesian incentive policy, we had to do it differently in the Netherlands, because the situation asked for it. I want to make that clear. I actually share the criticism that European fiscal policy has not been based on a differentiated and genuinely well-thought-out approach. I think too much has been done with one measure and too little has been done with regard to the large differences between north and south. In this sense, like many of my fellow party members, I am indeed not very enthusiastic about European budgetary policy in the year 2012 you mentioned.
ParlaMint-NL_2015-11-17-eerstekamer-3.u41	I am pleased that Mr Postema shares this with us, but I would like to return to Dutch budgetary policy and the inadequate Keynesian policy that would initially have been implemented. Can Mr Postema go back to what happened next to the Dutch economy, when that policy was abandoned and when a much more procyclical and restrictive fiscal policy was pursued in the Netherlands? According to Mr Postema, what impact has this had on the Dutch economy, looking at the growth and the triple dip that the Netherlands has experienced? I would also like to draw attention to unemployment, which has doubled in the Netherlands in the same years and which is still incredibly high. There are over 600,000 unemployed. Mr Postema said earlier that the crisis in the Netherlands is finally over. In the light of this high level of unemployment, I find that a strange statement. Perhaps he can comment on that in reply to my questions.
ParlaMint-NL_2015-11-17-eerstekamer-3.u42	I would like to emphasise the word 'a little', because it may well be that this requires a very long answer. I am counting on Mr Postema to respond rather briefly or at a later date.
ParlaMint-NL_2015-11-17-eerstekamer-3.u43	A lot of questions have been asked and I would also like to serve Mr Van Apeldoorn. No, there has actually been no procyclical policy in recent years. It is nonsense that such a policy would have been pursued. On the contrary, spending has remained very constant. The point is that on the revenue side it has been greatly opposed. On behalf of my group, I appreciate precisely the steady line of maintaining the spending frameworks and, at the same time, the use of structural reforms in the banking, pension, housing and private debt positions of families and, of course, of the government itself. So that is not a pro-cyclical policy. As far as I am concerned, this is a very competent policy to address the structural situation in which we found ourselves. Such a policy is neither for scared people nor for beauticians along the sidelines. We would, of course, like to see the Dutch electorate appreciate this, but there was nothing else to do without that appreciation. We had to turn the tide, and that's what's happened now. In addition, continued economic recovery is driving up taxes and reducing unemployment benefits. This creates room for targeted tax relief. My group would have liked this to have been accompanied by a much more progressive, greener and simpler arrangement than the current system of taxes and surcharges and yes, including a real tax on capital, but there is currently no political majority for that.
ParlaMint-NL_2015-11-17-eerstekamer-3.u44	I hesitated for a moment if I had to make a maiden interruption, but I'm gonna do it now. What you just said surprised me, after everything you said earlier. On 15 September 2015, the Central Planning Bureau presented a study on "anti-cyclical or pro-cyclical fiscal policy." The Planbureau's assessment is that the Dutch fiscal policy has been largely procyclical. In my opinion, that is contrary to what you have just said. I really think it's a concern that this is true. I asked the Minister whether he agreed and what we could do about it. I'm curious to see what your judgment is based on.
ParlaMint-NL_2015-11-17-eerstekamer-3.u45	First of all, "procyclical unpacking" is something other than the policy you're pursuing. I do not think it is right, if the government maintains its spending frameworks and if the country then makes a big dip due to disappointing revenues, that translates directly into an anti-cyclical or pro-cyclical policy intervention. I also hope, in the group to which Mr Rinnooy Kan belongs, to find some sympathy for the fact that we have dared to carry out so many structural reforms together. That's the point I tried to make earlier.
ParlaMint-NL_2015-11-17-eerstekamer-3.u46	You can count on the latter, but with regard to the first, with all due respect, I find the outcome of the policy more relevant than the intentions of the policy. In my view, looking at the study of the Planning Bureau, there can be no doubt that Dutch policy has been procyclical. I can even come up with some explanations for this, but with all due respect for the good intentions, it seems extremely relevant to me to pursue a policy that is substantially anticyclical than it has ever been.
ParlaMint-NL_2015-11-17-eerstekamer-3.u47	I'll leave that to the D66 spokesperson.
ParlaMint-NL_2015-11-17-eerstekamer-3.u48	Please continue.
ParlaMint-NL_2015-11-17-eerstekamer-3.u49	Time did go on; I hope for clemency. In this context, it may be questioned whether it is wise to come up with a tax relief package of 5 billion, especially since the structural government deficit rises from 0.5% of GDP in 2014 to 1.2% of GDP in 2016 and we are therefore at risk of going beyond the commitments of the Stability and Growth Pact. However, we believe that this is the right time to invest in the disposable income of people in the country. The crisis is over and, no, people should really notice that in their wallet and not just in the statistics in the newspaper or on the journal.
ParlaMint-NL_2015-11-17-eerstekamer-3.u50	In line with what Mr Van Apeldoorn has just said, you said that the crisis is over, but unemployment is of course still a huge problem. Many people are on the sidelines, have no job prospects and do suffer from the hard cuts that have taken place. You yourself indicated that you would have preferred to use this whole tax reform for a more progressive and fairer approach. In my group's view, this has not been done enough. Do you think that the tax reform, which invests EUR 5 billion, meets the keys of the Labour Party, including greening, fairer distribution and more employment?
ParlaMint-NL_2015-11-17-eerstekamer-3.u51	I repeat what I have just said: my group would have liked this to have been accompanied by a much more progressive, greener and simpler arrangement. In this sense, we are not satisfied. At the same time, we note that there is a substantial reduction in costs and a substantial increase in purchasing power for people in the country. We are very pleased with that. We would have liked the cabinet to have been able to take a step further when it comes to the tax review. There is currently no political majority in this country.
ParlaMint-NL_2015-11-17-eerstekamer-3.u52	This is a huge tax reduction of EUR 5 billion in total. Is it being spent in such a way as to meet the wishes and objectives of the Labour Party? Is this money not to a large extent intended for people who do not necessarily need it and should not have solved many other major social needs, such as the employment crisis and the climate crisis?
ParlaMint-NL_2015-11-17-eerstekamer-3.u53	That is an interesting point from Mrs Vos. Once again, the revision of the tax system could have gone another way in our view, but the 5 billion relief goes to extremely important things for the bottom of the labour market to make work more attractive again and to make it more attractive for employers to employ people on low incomes. We spend the necessary care and care structures to make work better and easier. In this sense, each of these measures has been welcomed by this cabinet as far as we are concerned.
ParlaMint-NL_2015-11-17-eerstekamer-3.u54	Finally, Mrs. Fox.
ParlaMint-NL_2015-11-17-eerstekamer-3.u55	Finally. Of course, there are also measures which my group agrees with. Moreover, the measure to be able to employ people more quickly at the bottom of the labour market has been postponed for another year. My group believes that a large part of the money goes to people who do not necessarily need it, while a number of major social needs remain. Is this not, in fact, too much of an unfocused burden reduction?
ParlaMint-NL_2015-11-17-eerstekamer-3.u56	The answer to that question is that this is not the case.
ParlaMint-NL_2015-11-17-eerstekamer-3.u57	The spokesman for the Labour Party has said twice that the crisis is over. I'm a little confused with that phrase. I have two questions about this. How does Mr Postema explain to the 600,000 unemployed in the Netherlands that the crisis is over? In previous plenary debates, Mr Postema has always drawn a great deal of attention to the risks posed by the budget of the Netherlands. There's a lot of risks. I refer to the events in China and the BRIC countries, and I can go on for a while. How does Mr Postema appreciate these large global risks in other parts of the world and their impact on the Netherlands? Can he insist that the crisis in the Netherlands is over?
ParlaMint-NL_2015-11-17-eerstekamer-3.u58	Thank you for these questions. There can be no doubt about how sorry we are that there are 600,000 unemployed in our country and how important we are that the cabinet should feel responsible for this and implement appropriate policies. However, in the reasoning that is now being used in this Chamber, it seems that even if there were 300 000 unemployed, there may still be doubts as to whether the crisis is over. In this sense, I need to note that the economy is growing again after a long time, and that the forecasts for the coming period also seem to be favourable. If you then speak in terms of crisis and recession, as we have done in recent years, then it is indeed about shrinking and now, fortunately, back to growth. It is therefore important to highlight the fact that, as far as we are concerned, the crisis that arose in 2008 can be regarded as over. However, I also opened my contribution with the relativization that crises are of all times. I have been the first to say "no," too much. I did my best in 2011 and 2012 to make it clear, through the risk policy of the Cabinets of recent years, in the risk section of the Millions Note, that we must remain on our qui-vive and that our public finances must be sufficiently shock-resistant. I note that the sitting cabinet has made enormous strides on this point. I refer to all the expulsions of the euro debt and the guarantee schemes of the Empire. We are dealing with this in a much more controlled way than ten years ago. I am indeed positive about that, without taking anything away from the fact that there is a fierce world outside.
ParlaMint-NL_2015-11-17-eerstekamer-3.u59	The crisis is over. Mr Postema has given a number of nuances. In the light of this political frame, what is his message for the 600,000 unemployed and especially for the long-term unemployed among them? That's 44%. How does Mr. Postema rhyme those two stories with each other?
