ParlaMint-NL_2015-01-20-eerstekamer-8.u1	I call Mr Ganzevoort.
ParlaMint-NL_2015-01-20-eerstekamer-8.u76	I don't think that's what's being said either. The report states that rising income inequality results in the decline in economic growth; more jobs are, of course, a different story. This is about economic growth. The OECD reports on many countries. Mr Bruijn talks about unstable countries where people have very low incomes. We all know them. It would be good to invest in that. If that class were to receive better education, then of course you will also get more economic growth. I think that's as ready as a whistle. The more education, the more prosperity.
ParlaMint-NL_2015-01-20-eerstekamer-8.u77	Those are all generalities that are true. That's right, and that's what it says here. That is even true in the Netherlands. However, it does not say that income inequality inhibits economic growth. According to the OECD report, this is only true in countries where there is too much distance between the middle groups and the lower layer. The Netherlands is not one of them. It says here: "The positive mechanisms (...) are more likely to depend on the degree of inequality in the top of the income distribution." The greater the differences, the more jobs there will be. The more ladder there is, the higher we can climb. The partymate of Mrs Gerkens from the House of Representatives understands this very well. I have a pair of Harry van Bommel from July 2013 in which he takes the measure of the Labour Party, which is going to level. He paraphrases that party should be called the Party of Unemployment. At least this partymate understands that levelling costs jobs and I am pleased about that.
ParlaMint-NL_2015-01-20-eerstekamer-8.u78	It's pretty easy to interrupt with a 2013 tweet of which I don't even know the context. I will return to the OECD report in a moment. I shall read to Mr Bruijn the phrase where it stands. We must also ensure that we do not have a growing deficit. I am waiting for Mr Bruijn to get his attention again. We are threatening to get that growing gap if there is to be a loan version among the low social classes. This does not have to be the case only in very low social classes. I am concerned with Mr Essers about the middle class, who is not getting the compensation she should have. I would like to say that it is a strange argument that the loan conditions for students are becoming much more favourable and that this improves access for all students. A large part of the students who didn't need to borrow in the past have to do this now. Of course, this affects the accessibility of education. The Minister also recognizes this. We all know that it is going to happen, and that this will mean that the education of certain young people will no longer be accessible. CPB research shows that students are not going to make a better choice of study through the loan system. I dare even say that more students are going to make a strategic choice instead of choosing a study that suits their talents. My son asked me if the loan system applies to HBO and wo. It is true for HBO and wo, but with HBO or an alpha study wo you are cheaper out. Education is there to allow talents to flourish, to make a person come to his or her right and to increase the knowledge of society. Education isn't there to think out what you're gonna get the most money from or with which you're gonna have the biggest debt. If you choose, to give just two examples, for a course as a HBO nurse or as a wo-teacher, you deviate from the beautiful average picture of what you're going to earn after your education. And we really need these people. Does this cabinet really want to say to the upcoming group of students: choose a profession you're going to make a good living with? I am now discussing the bottlenecks found in the bill. The problem is that there are problems. The coming students, the young people who graduate this year, like their parents, are suddenly confronted with a loan system. A loan system the Minister says parents will contribute more to their child's study. In the further reply, however, the Minister withdraws a little from this statement. In this, the Minister states that we do not really know what is going to happen through the loan system. The Minister implies that parents might work more hours to pay for their child's studies. In any case, according to the Minister, there is no effect on consumer spending. On the one hand, it says that the loan system does not constitute a threshold, because parents will contribute more. On the other hand, she does not know whether parents are going to do this. I don't think that's a strong defense. This minister knows you can only spend a euro once, doesn't he? Since the law passed, I've had distressed e-mails from several parents, because they don't want to burden their children with high student debt. They have had no opportunity to spare for this. I come to the current students. In her reply, the Minister referred to "hypothetic cases." I understand that she wishes to put it that way, because the hypothetical cases are poignant, but at the same time they cannot be repaired anymore. The minister is in a hurry, so she assumes averages. I read a few passages from the many emails I received from students. I'm gonna limit myself to three of them. First, Frouke de Wijs. She is "a hypothetical student," sophomore sociology at Radboud University in Nijmegen. "Of course I know, like all other students, that there is a great chance that from next academic year onwards the basic grant will be a thing of the past. I was just getting used to that idea, when I suddenly heard a while ago that current bachelor students in a possibly fourth bachelor year do not receive a scholarship anymore. After high school, I studied international development studies for a year. Pretty soon I knew this wasn't the right study for me, but I decided to finish the year. I closed that with laude, too. Just to be sure, I had checked whether I would get a three-year scholarship after that year and that was the case, DUO assured me. If I'd known about that rule then, I'd have quit way earlier. This affects me because it affects my parents. My parents don't have it wide, but from the moment I was born, they've put aside money every month to save for my studies. Never buy my parents new clothes for themselves or do luxury things. But they did save the tuition and the books for my entire study. There is a savings account, from the basic scholarship I can pay my room in Nijmegen and my supplementary scholarship I use to live on. That's how their kids would get debt-free from college, was the idea. Until Minister Bussemaker changed the plans and suddenly the picture looks a lot less rosy. This feels unfair. Unfair to myself, but above all unfair to my parents." Wybrand van der Meulen is also such a "hypothetical case": third-year student of law and vice-president of the University Council in Groningen. "When I moved to Groningen three years ago, I had a clear plan in mind: to achieve my bachelor's degree in four years with a year of administration in the third year. So I could develop myself outside of my studies and still in a reasonable period of time get my studies. I was assured that I would receive a basic grant for four years. I wouldn't be a long-term student who would cost society a lot of money, but I would take everything out of college. If the study advance is implemented, my basic scholarship will go away. Where at the beginning of my academic year I was entitled to a basic grant for two more years, I have to do it now, five months later, with only half. Without being able to influence my study time anymore." A final example, of Ruud Hudepohl's daughter. "The plans for the abolition of student funding and the introduction of a student loan system create an unfair situation. The long-student fine should not be introduced because it would mean that the rules of the game would be changed during the game. With the current plans, it's no different. My daughter decided last year, during her bachelor period, to extend it by one year to increase her knowledge and skills through a study abroad. This penalises motivated, hard-working students!" In short, the regulation is still raging on all sides. For example, students with a disability are declining, but there is also inequality between alpha and beta students. This latter group has much less opportunities to earn in addition to study and internship and has more multi-annual masters. There is no exception here either; we are talking about a large group. How are we going to prevent this student from having a student debt of €40,000? And how do we prevent students from abandoning that beta study, especially when we need beta students so badly? Another concern my group has is implementation at DUO. The Minister says DUO can comply with the implementation of this loan system, but here too it has its downside. Many tasks DUO cannot yet perform. DUO indicates that it is at the expense of the introduction of PVA and that this will involve more costs. I think the reaction of DUO is clear and realistic. They actually say, "Yes, you can, but it costs a lot." How much that will cost is still unclear. The Minister comes with a proposal to the Spring Note. But if we have already said yes to this bill, the ICT suppliers are rubbing their hands. Whatever it takes, it's gonna have to be done. That's gonna cost you. How much, no one knows. My group does not think it is right to issue this uncovered cheque. I'm gonna come up with the real uncovered check. What will this system ultimately cost the government? In Britain, things are going south. They receive much less money from the repayments than they thought and, as they themselves say, 'a big black hole' threatens the budgets. This also jeopardises the funding of universities there. They're calling for even more tuition fees. How does the Minister intend to prevent this happening in the Netherlands? I'm here to borrow myself. The minister's gonna make a nice story out of it. It's not just a loan. No, it's a social loan. Furthermore: low interest rates, long repayment periods and only pay off 120% of the minimum wage. It almost sounds too good to be true. The question is therefore what the risk is of this financial product. The Minister takes the view that, because of its social nature, it does not need to ask for a financial package leaflet. That's right. You don't have to, but you can. The law allows the Minister to designate products for this purpose. How big a risk is that, anyway? What's the interest rate gonna be in three years, five years or ten years? What happens if the system goes through financial gaps in the government budget? Who's gonna catch that hole? The graduate student? There is no certainty or guarantee whatsoever for the student who enters into the contract. The government, as we see today, can simply change the rules of the game. My package leaflet says that the financial risk of this product is high for both parties. Because the student is to borrow from now on, he gets more say in the way the money is spent. But the institutions are not ready to give that student what he needs. For example, there are still studies in which you can only do a deer exam once a year, and a lot of studies for which you can't get an internship. Beyond his debt, that student gets a year's study delay and now another year's study debt. The Minister will now point out the rights of the student, but during the hearings we have also heard that this right is very difficult to achieve. You often lose another year, apart from the costs. I'll conclude with a few conclusions. Education is, in the eyes of the SP Group, a right and a collective good. Yes, we support the Minister's policy of investing in education so that quality can go up. And no, studying should not depend on the parents' income. In part, however, this is the case. The low incomes are covered, the high certainly, but in the middle group a group is created that needs to borrow. That will certainly not be financially self-evident for everyone. We ask very young people, at the age of 16 or 17, to make a decision for the next thirty years of their lives, when, given their age, they are not allowed to take a loan anywhere else. They can't drive yet, they can't drink alcohol and they can't smoke yet, but borrowing that much money for 30 years is no problem. There is no doubt that the system provides a loan version, even if the figures differ as to how large the aversion will be. The scheme is being rushed. All of a sudden, the current students need to borrow. The participation, the rights of the student are still far from being properly regulated. The scheme is based on averages and insufficient account has been taken of the students outside. There is an inequality between the alpha and beta students. The loan is now so-called social, but it is subject to the political climate and therefore offers no guarantee for the future. The financial risks of the ICT pathway at DUO are unknown and the proposal has delaying effects on the implementation of PVA. The ICT pathway has a high level of risk and many of the measures needed can only be incorporated into the system years later. Financial risks are also high for the government. It could make a huge gap in the budget if the calculations of the pay-off did not come to fruition. That wouldn't be so strange either, given the fact that the bill is based to a large extent on assumptions: few hard figures and few facts. Next, the proposal is contrary to the treaties in which we agreed to make education, including higher education, free of charge in the coming years. Accessibility is being reduced and increasing inaccessibility is leading to declining economic growth. The SP fraction is against a loan system. The loan system contained in this bill does not reduce our objections but strengthens them. It is based on unfounded assumptions and is surrounded by many uncertainties, bottlenecks and looming errors. It shows, in short, the characteristics of a hasty introduction. On this basis alone, we ask the Minister to withdraw the bill or at least postpone it for at least a year.
ParlaMint-NL_2015-01-20-eerstekamer-8.u79	Mr. Chairman. In 2010 the important report Differentiating was published in three copies by the Veerman Committee. The Veerman Commission showed that the Netherlands is sinking on the international lists of investments in higher education. The influx of students is still failing, although it has improved considerably over the decades. This applies in particular to students from socio-economically weaker and immigrant environments. We are not achieving targets, such as the 50% Lisbon target, which has already been abandoned, when it comes to increasing the share of higher educated people. The WRR also underlines in its publication Towards a learning economy the importance of increasing the number of higher educated. Worldwide, this is being used. In India, China and Indonesia, participation in higher education is increasing dramatically. In China, 8 million students graduate from universities and colleges every year. In Europe and the United States, too, numbers are still rising. In a globalising knowledge-based economy, competition is conducted with higher educated people. It is therefore of permanent importance to focus on increasing participation in higher education. Not only is quantitative growth important, but the quality of higher education also requires an impetus. The Netherlands is a subtopper in this respect. The quality is not bad overall, but average. Rightly now we are focusing on excellence, differentiation, better and small-scale education, internationalisation and stronger challenge of talented students. Raising our higher education costs money. The Netherlands spends a smaller percentage of GDP on education than, for example, the Scandinavian countries and the United States. Anyone who wants to be among the frontrunners must want to make investments in order to do so. Those investments are left behind. In fact, that has not changed since the publication of the report of the Veerman Committee, although we do want to make the necessary quality impact. Since the Rutte I cabinet, where VVD and CDA participated, the route is therefore followed to free up the necessary funds by abolishing all or part of the basic grant. We remember the struggle for the long-student ticket. The current cabinet is committed to the complete abolition of the basic grant and return to the loan system. This will save 1 billion dollars, which will be reinvested in higher education later. My group is not yet ready to say goodbye to the current system, which is not so bad in a number of respects. It lowers the threshold to higher education, especially for students from the aforementioned weaker socio-economic and ethnic environments, and constitutes a responsible public investment in the future. In the years behind us, college and institutional funds have already been increased. Our higher education is getting more and more thresholds. If we now switch to a loan system, this will have an impact on the width and quality of higher education. That's too bad. I'll come back to it later. The question is whether we are not penny wise, pound foolish with this bill. First of all, I would like to comment on the significance of this proposal for the student and the assumptions of the draft law relating to the loan system. Then I will look at the effects on higher education itself. A key argument of the bill is that students who will earn sufficient income later thanks to their higher education may best be asked to finance the study through a loan. After all, they can easily repay it later. This reasoning privatises the costs of higher education for young people from 18 years of age in an unprecedented way. That makes the bill far-reaching. Sure, even now many students lend, but they do so in addition to their basic grant which is already helping them a long way. At the time of the introduction of the basic grant in 1986, the child benefit scheme for students was abandoned. There he is, Mr Sörensen: child benefit for children under the age of 27. There was also a public funding allowance for the current system. We're gonna say goodbye to that now. An important motive at the time was that students became independent of their parents and could now arrange financial matters themselves. If the basic grant is abolished, there will be no generic concession at all and parental independence will no longer exist, because the assumption is that parents will be paid along with it. For young people who are going to study, this means that their financial life begins with building debts. In doing so, we place a great burden on the shoulders of early generations. In addition, it has been said before that the Netherlands is already champion in private debt. That's gonna be even more so this way. By calling this way of borrowing a study advance, the link is made with the later income. This is an advance on an uncertain future. That is risky, especially in a world that offers less certainty than ever. Not everyone will be able to acquire a job that's spacious enough to repay the debt. Guarantees on a good job aren't there for everyone. This also requires good labour market policies, which aim at helping more educated people to create jobs. Can the Minister say anything about that connection? Our group does not want to go ahead with this privatisation of study costs and looks at the issue of public benefits. If the reasoning is that higher educated people can earn back their investment themselves, then it can also be argued that the government will recover its investment through the tax. The public return of higher educated people is many times greater than the investment the government makes by providing a basic grant. The WRR points out that the structurally higher tax revenue for the Netherlands will amount to a return of more than 7% per year. That's a higher return than when you bring your money to the market. In any case, the state treasury benefits from higher education. How is it that we do not really read much about this, even in the Minister's answers? The Netherlands, society, the state treasury will benefit greatly from higher education. That is already the case. The cabinet is now taking away extra investment space from the students. In the meantime, there is also the story about public debt, which does amount to 17 billion. It means that we will have more than 70% of public debt and that we will pass an important border. That too is a public effect.
ParlaMint-NL_2015-01-20-eerstekamer-8.u80	I hear that amount every now and then, and I try to place it. Honestly, it's not working out. That may be because of my lack of economic background, I've studied other things. Can Mr Kuiper explain what this additional debt of 17 billion is made up of? To be honest, I have not been able to find any good information on this.
ParlaMint-NL_2015-01-20-eerstekamer-8.u81	That's easy. The students are borrowing government money. That money needs to be raised. It has to be on the table. The government provides for that. This could amount to 17 billion advanced by the government to finance the total amount of loans.
ParlaMint-NL_2015-01-20-eerstekamer-8.u82	Does Mr Kuiper mean that you haven't lost that money, if you lend it in part and give it for the rest? Otherwise, I don't understand.
ParlaMint-NL_2015-01-20-eerstekamer-8.u83	It's a loan system. Students borrow from the government. The government borrows the money on the capital market. It's in the pieces. It means that the government eventually gets an increase in the public debt of 17 billion. I'm not an economist either, but that's what I read in the papers.
ParlaMint-NL_2015-01-20-eerstekamer-8.u84	But Mr Kuiper is now pretending that this is not the case with the current study funding, while we are now giving the same amount to the students. We give away a part and we lend out a part. Now we're gonna get even less out of it, right?
ParlaMint-NL_2015-01-20-eerstekamer-8.u85	That is true, but of course this is done in very different proportions and to a much lesser extent. Again, I've read the same pieces as you. I read that there will be an increase in public debt of 17 billion. Let the Minister explain later. I look forward to it. But it will be visible on the government's balance sheet.
ParlaMint-NL_2015-01-20-eerstekamer-8.u86	Mr. Bruijn, briefly.
ParlaMint-NL_2015-01-20-eerstekamer-8.u87	I'll be very brief. I first heard Mr Kuiper say that public investment in education is a good thing, because it yields a lot of returns. But now I hear him objecting to an investment of 17 billion which the government would do in its own perspective. That is not true, because, as Mr Ganzevoort has said, you should not compare it with a basic path in which the government does not put anything into education. You have to compare it to the basic path that we have now, it's unchanged policy where the government spends the same 17 billion as a gift. There are two questions.
ParlaMint-NL_2015-01-20-eerstekamer-8.u88	That's right. I would ask the Minister to explain the 17 billion. Then let it be clear. But my main point is indeed that investing in higher education pays off. Through the tax revenue, it already pays for the government to make that investment. My question to the Minister is: why doesn't she leave it at that? We are also going to ask for a higher tax on wages from higher education staff. They're gonna pay off for the government. So it makes sense to do the investment in higher education this way.
ParlaMint-NL_2015-01-20-eerstekamer-8.u89	I think it is really important that this does not last, because you cannot indicate your basic path. Another point is that you say that the government will not pay any more with the new system, but the government or the taxpayer, you and I, will still be paying more than 80% of the cost of study. The other financial concession is a loan on social conditions. So we can't say that the government is pulling out now.
ParlaMint-NL_2015-01-20-eerstekamer-8.u90	No.
ParlaMint-NL_2015-01-20-eerstekamer-8.u91	You're saying the government doesn't provide any financial compensation.
ParlaMint-NL_2015-01-20-eerstekamer-8.u92	There's been a shift here. After all, the cost of the current basic grant will no longer be incurred. But my point is, of course, that the government invests in all kinds of ways by maintaining higher education, but also by the basic grant. All this together is a meaningful investment for the government. It yields a return of 7% a year when students start paying income tax later. Read the report Towards a learning economy of the WRR. It strongly argues that investing in education always pays off and will always yield returns.
ParlaMint-NL_2015-01-20-eerstekamer-8.u93	Mr Bruijn, briefly.
ParlaMint-NL_2015-01-20-eerstekamer-8.u94	I read that report. I know Mr Van Lieshout, who wrote that, well, but he really did not argue this.
ParlaMint-NL_2015-01-20-eerstekamer-8.u95	I refer to page 262 of the report.
ParlaMint-NL_2015-01-20-eerstekamer-8.u96	I say this in support of what Mr Kuiper says. When we talk about a return of 7% per year from public investment in education, we are talking about investing for a very limited period, namely for a few years. However, this return comes back for a lifetime. So the balance sheet is even sharper than Mr Kuiper said.
ParlaMint-NL_2015-01-20-eerstekamer-8.u97	That is indeed my reasoning. I would also like to point out that during the period of study, even when compared to peers, a student does not earn an income of his own. He has to take some extra jobs to pay for his studies, but he's actually giving up a period of his life from self-acquiring income. That must always be taken into account. Mr. Chairman. Students will be asked to build a significant debt immediately at the start of their career. No matter how this is presented, students do not find this attractive perspective, especially students who are concerned about whether they can afford it without well-earned parents. We've heard a lot about the extent of loan anxiety, whether it's easy or bad. We have also seen the figures on expected build-up of debt and possible effects on inflow, which is 2%, which is an average. But if we look at this soberly, we have to observe the following. We are talking about averages. It will be the least easy for students from socio-economically vulnerable environments to look at this optimistically. In a number of cases, it will lead to higher student debt, which is above average. It will also deter students from going to study or to do the master's after the bachelor's degree. My group believes that this is being done too laconically. With the introduction of the loan system, we have lost the emancipatory and uplifting effect of the current system of study funding. I do know, however, that for students with not very wealthy parents, the supplementary grant will continue to exist. This was not originally in the proposals and it makes the proposal acceptable to some, but this part was not part of the system of the law and will soon again cause its own implementation problems. How does the Minister intend to check whether incomes below average are actually below average? Faced with parents with a small family and an income below average, who are thus being spared, larger families and parents with an income are going to be above morale who are strongly affected by this scheme. They're right on the border. That is the middle-class problem that Mr Essers mentioned. How righteous is this? This brings me to the effects on higher education itself. If students need to borrow their entire student funding, this leads to calculating behavior regarding the choice and duration of the study. It is fine if students ask themselves the question of which study they will be able to get out of the labour market later on, but they will no longer feel free in their choice. What does the system actually mean for the smaller academic studies, the smaller languages to name but what? These may be the niches of science, but they are niches that make the building of science wide and rich. There was room in the Netherlands to follow your heart when it comes to choosing a study. This feeds our culture with a wide range of academic insights and revenues, but the pressure on it will increase, because the loan will still have to be paid back. The new loan system will also put a brake on the duration of the study. It will lead people to ask themselves after the bachelor if they can still pass for a master's degree. More people will leave academic education with the bachelor's degree as the highest level of education, while policies should aim to deliver more people with a master's degree to society. Those who continue for a master's degree, feel the pressure to choose a one-year-old rather than a multi-year master's degree. Programmes offering a multi-annual master's programme have already come forward. I am also saying this in the direction of Mr Engels, who very much wants it to be monitored. However, the students of the Technical University have already reported with great concern about the three-year master's degree and the financing of their studies. The system therefore inhibits studying where we really need it and does not contribute to strengthening the quality of higher education. Thus, the loan system does not contribute to differentiation, as Veerman advocated, but contributes to the uniformity and elimination of supply in higher education. And that's more than too bad. What is the Minister's view on this? How can the reinvestment of 1 billion go against this? Will the 1 billion be of benefit to all the institutions? Finally, I would like to mention a very different point. It concerns the agreement of participation representation with the broad lines of financial policy, including the distribution of resources between education and research. Is there not too much power here with a participation body, even if it is about'main lines'? I know that this should be a quality clause, but it is a participation body. Retention of consent by such a participation body may have serious consequences for the governance of university or college. My group has strong reservations about this. It is nice to see the university or college as a community, but ultimately the competent authority must be able to act. I would like a response from the Minister. It is clear that our group has great hesitation in this proposal. I will, of course, take part in the debate. I look forward to the Minister's answers.
ParlaMint-NL_2015-01-20-eerstekamer-8.u98	This is the time for me to take part in the debate. It was about the right of consent. Mr Kuiper will understand that I have taken note of his comment on this subject with a little less pleasure. I understand the background to his question, but I would ask him to reflect in the background and to look at the right of consent from this development, when it becomes reality. Does Mr Kuiper not think it right and proper that, if more is asked of students to contribute to the quality of education themselves, they should at least have the right to talk about it? I understand from the bill that this is built in. If there were to be a very big debate, could education and research be continued to a certain level? Then the Supervisory Boards and the Disputes Committee can look into that. Is it so unreasonable to grant students that right?
ParlaMint-NL_2015-01-20-eerstekamer-8.u99	That's not unreasonable at all. I agree with Mr Engels that a university is an academic community of students, professors and teachers. The quality of education also concerns students, so they too should be involved in the quality of education, especially now that they are asked to do so in the proposal. The question is whether this should be linked through the participation body and whether it should be linked to a means of power, whereby through the participation body the management of a university or university of higher education can be paralysed in its financial policy. That's the question here. Does it have to go past this line or can it go through another line? I can also imagine that the Minister is asking the college's board of directors to set up a structure for this so that students can actually talk substantially about the quality of education.
ParlaMint-NL_2015-01-20-eerstekamer-8.u100	I do not disagree with that, but I do not think that Mr Kuiper, in his present time, with modern and mature students, makes little sense to send them into the reeds with a bunny. I am not saying that Mr Kuiper is saying that, but I would like to sum up and tell them that they are allowed to talk, as long as that does not affect the going concern. If I were a student, especially now, I wouldn't be happy about that. You have to offer something substantial to give the participation some focus.
ParlaMint-NL_2015-01-20-eerstekamer-8.u101	Yes, but Mr Engels himself reminded us in his contribution of past experiments with participation, co-government and co-government within universities, which has led to enormous bureaucracy and endless lectures. That's not how it's supposed to be. I think a board should be able to run. The governance must be able to identify the main lines of financial policy. If this is made impossible by means of a participation body, the competent authority will not be able to actually govern. That's my problem. The effective discussion of quality, by teachers and students together, must certainly be done. That is what I like about the proposals that are now before us. I am really pleased that these talks are going to take place within the institutions. I have no comment on that.
ParlaMint-NL_2015-01-20-eerstekamer-8.u102	Mr. Chairman. The key question we seem to have to answer together today is whether members in this house representing the PvdA, D66 and GroenLinks will lend themselves to what has become called the "social loan system." This is worrying, because until recently this house was known as the "chambre de réflexion," where laws were judged on legality, feasibility and enforcement, whereby the members of this house chose an unbound arrangement. Since we are dealing with difficult coalitions and agreements, the parties increasingly tend, instead of carrying out a substantive test, to reach an agreement, to engage in cow-trading and to resort to group discipline and to follow the agreements made on the other side that Members of this House should not bind in any way. The above has led to media coverage of this law leading to the question of whether there will be three or more members in this House of PvdA, D66 or GroenLinks who will vote against this bill in a roll-call vote this evening. If that is the case, the coverage in the next few days will be dominated by the question of whether the voting behaviour of so-called dissidents could be related to the opportunities they were given or not by their party for a new term. We have experienced a similar development in the treatment of the law which threatened to hinder free choice of care. We have seen this during the discussion of the settlement agreement, and we see this also in relation to the treatment of this law: the substance of our review is experienced quite differently. That's worrying.
ParlaMint-NL_2015-01-20-eerstekamer-8.u103	Mr. Chairman. Does Mr Koffeman have a single clue, let me speak for myself, because I see this as a personal attack, that I am not in the process of a substantive review here?
ParlaMint-NL_2015-01-20-eerstekamer-8.u104	There's a lot of clues in the media. The media experience it so that in this house the agreements made on the other side will be followed.
ParlaMint-NL_2015-01-20-eerstekamer-8.u105	Does Mr Koffeman think the media is more important than the integrity of his fellow senators?
ParlaMint-NL_2015-01-20-eerstekamer-8.u106	This is certainly not an attack on the integrity of my colleagues. I note, however, that a number of groups have been identified in advance in the media, including in discussions with representatives of those groups, that they will vote in favour of this bill, despite the fact that they have spoken very critically about the bill. That does not apply to Mr Ganzevoort, because he said that the proposal is very close to what he stands for, so it is certainly not an attack on his integrity. However, it is generally accepted that the critical questions that are being asked here today will not lead to a vote that could be called into question.
ParlaMint-NL_2015-01-20-eerstekamer-8.u107	I can only say that we have always been critical of the borrowing system from the beginning of last year, when the previous version was being discussed, so far. It's part of the First Chamber. We should consider the substance of the matter, and that is also the subject of today's debate. I would appreciate it if Mr Koffeman would respect that a little more in the way he speaks.
