ParlaMint-NL_2015-07-07-eerstekamer-8.u1	I have already welcomed the Secretary of State for Security and Justice to the Upper House.
ParlaMint-NL_2015-07-07-eerstekamer-8.u27	Mr. Chairman. First of all, I would like to congratulate Mrs Stienen and Mrs Van Weerdenburg. The SP Group thanks the Secretary of State for the comprehensive answer to the questions. It welcomes the State Secretary's commitment that the starting point, which is already being considered at first hearing whether the border detention can be lifted, is laid down in the Foreigners' Circular 2000. This is an improvement for the asylum seeker, because it is only now being done after the second hearing. The Group of the Party of European Socialists also welcomes the commitment that the principle that the alien can be reduced at the request of the alien will be laid down in the 2000 Foreigner Circular. This way, for example, Syrians coming out of war zone do not need to stay in border detention for a longer period of time. We are pleased that the fact-finding by the IND will be subject to a somewhat more exhaustive review of the current review. The interpretation given to "full and ex-nunc research," namely that it refers only to a test by a reviewer of whether the decision of the administrative body is lawful, could lead to uncertainty in the view of the SP Group as to the intensity of the first-line judge's review. The Group of the Party of European Socialists wonders whether the aforementioned interpretation is an effective provision as referred to in Article 47 of the Charter. Did the Secretary of State investigate this further? If so, what is the outcome? Can the Secretary of State explain how Article 47 of the Charter is interpreted in this respect in neighbouring countries? In the documents of the plenary session in the House of Representatives, I read that the Secretary of State requested information from the Member States in response to questions from the CDA Group, but that he did not have it at the time of the plenary session. This information may be available by now. The Group of the Party of European Socialists believes that there can only be real legal protection in the present cases if the judge is able to carry out a full assessment, including with regard to the facts. The SP points out that the IND has a lot of power on this part. If the IND considers the asylum story unbelievable, it will generally conclude that the asylum seeker is not a refugee. But the IND is not infallible. Especially in asylum cases, where there is often little evidence, the IND should be able to be checked on this point. In view of the major interests involved, legal protection should be paramount. The Group of the Party of European Socialists is concerned that the accelerated procedure, which is more practice than exception, will continue to apply without delay and that matters which do not, in principle, benefit from the accelerated procedure will also be removed. Internationally, the accelerated procedure has already produced a lot of criticism. In the United Kingdom, the short time for appeals and appeals resulted in a British court declaring the accelerated procedure illegal. Does the Secretary of State expect a similar ruling to follow in the Netherlands? Is the Dutch situation comparable to that in the United Kingdom? My third and final topic concerns the detention of minors. With regard to the detention of minors and families, at least six judgments have been issued in recent months, in which the foreign court has held that the detention of minors was unlawful. The reason for this was that the child's right was not sufficiently concrete, known and verifiable in the balance of interests. The judge held that the policy's implementation did not correspond to the policy. The IND has not appealed against these cases. The cases are therefore irrevocable. In two more cases, the case on appeal at the request of the IND has been withdrawn and compensation has been paid. Article 17 (1) of the Return Directive states that "Unaccompanied minors and families with minors shall be detained only in the last resort and for as short a period as possible." However, this provision is not included in the draft bill of return and detention which implements the Return Directive, as it was announced at the consultation stage. The Minister intends to submit the bill Return and foreign detention to the House of Representatives after the summer recess. In view of the fact that the removal of children's freedom is at odds with the ultimum-remedium principle of Article 37 of the International Convention on the Rights of the Child (IVRK), given that detention is a very serious means and has a negative impact on children in particular, given the need to implement the Directive in legislation and the fact that the aforementioned judgments of the Foreign Justice indicate that "unaccompanied minors and families with minors are not always subject to detention policy, it is important that the text of Article 17 (1) of the Return Directive, namely that "unaccompanied minors and families with minors are only placed in detention for as short a period as possible', is incorporated into the bill of return and detention. We would like to hear the views of the Secretary of State on this matter. We will listen closely to the reaction of the Secretary of State, and because we consider this to be very important, I am saying that we will possibly table a motion on this, but we hope that the Secretary of State will be able to meet us without it. Policy on the border detention of minors and families has improved since 1 September 2014. The policy has been improved, inter alia, following the report on "Admissibility of asylum seekers in the light of human rights standards." There is now a rapid screening before a decision is taken on border detention or whether the children and families are free to wait for the asylum procedure. This is a nice development because before 1 September 2014, all children and families were taken directly into border detention, as far as they entered the country via Schiphol. Given that the removal of children's freedom is at odds with the ultimum-remedium principle set out in Article 37 IVRK and since detention is a very significant means and has a negative impact on children in particular, the SP Group considers it important that legislation also lays down for border detention that "unaccompanied minors and families with minors only in the final instance, and for as short a period as possible, be placed in border detention." We would like to hear the views of the Secretary of State on this matter. On this point, too, we will be listening to the response of the Secretary of State. Since we also consider this point very important, I would like to say that we may be tabling a motion on this, but we hope that the Secretary of State will be able to meet us without it. We're looking forward to the Secretary of State's answers.
ParlaMint-NL_2015-07-07-eerstekamer-8.u28	Mr. Chairman. I too begin by congratulating Mrs Stienen and Mrs Van Weerdenburg on their maiden speech. I look forward to a good partnership. If the House adopts this bill today, the Netherlands will achieve a milestone of the Common European Asylum System. The second stage of harmonisation of asylum standards has thus been completed in the Netherlands. However, there is still a long way to go for European harmonisation. I do not know what the state of transposition of these directives is in all the Member States. Perhaps the Secretary of State can tell us this, but there is still a long way to go for harmonisation in practice. In particular, the eastern Member States, which had hardly any asylum system before accession, and the southern Member States, which have been under great pressure on their external borders for years, are still far from the standards we are implementing today. The Dublin Regulation, the distribution system, is also part of the GEAS, but it seems to hinder the harmonisation of standards rather than being complementary. The fact that, even in the current global and European refugee crisis, trade ministers and heads of government are unable to take the first step towards greater solidarity and a more equitable distribution offers little hope. It is therefore very important to consider ourselves strategically. Let us not continue to watch each other paralyzed until everyone agrees with each other until the end of the day, but let us create movement with a leading group if necessary. My group would like our government not to cling to straightforward positions, but to really examine all options for rapid harmonisation. I would like to receive a response from the Secretary of State. The revised directives, in particular the Procedural Directive, provide more guarantees for asylum seekers in the Netherlands than they do now. This applies in particular to the assessment by the IND and the burden of proof, the treatment of vulnerable asylum seekers, the judicial test and the suspensive effect on appeals. It is striking that the Secretary of State emphasizes in particular that not so much does actually change. At the same time, according to the Cabinet, there would be major problems if the implementation proposal was not adopted in good time. This seems contradictory. Are we really actually complying with the directive now or is this legislative proposal formulated or explained in such a way that we make as little adjustments as possible and balance on the brink of the obligations of the directive? My group hopes to clarify this in the individual parts. I will focus on the border procedure, the administrative and judicial review of asylum applications and the medical examination. With regard to the Reception Directive, I still have a few questions about access to the labour market and the termination of reception after the expiry of the four-week departure period. The revised Procedure Directive leaves no room for interpretation other than that our closed AA procedure (general asylum procedure) at Schiphol Airport is a border detention procedure. The most important adjustment now concerns the maximum duration of the border detention: after four weeks, the asylum seeker ends up in a country procedure. However, this is not enough: the directive offers more guarantees. The Directive limits the application of the border procedure to applications for asylum which are manifestly unfounded and inadmissible. However, the Secretary of State proposes that all applications for asylum in the border procedure should be examined against these grounds, whereby the general asylum procedure begins for everyone in the border procedure. The question is whether that is allowed. Is the application of the AA procedure to Schiphol, in detention, not an application of the border procedure? The Secretary of State takes the view that you must initiate a procedure in order to know whether there is a manifestly unfounded or inadmissible application. At first hearing, however, the grounds for asylum are not yet discussed. What steps does the Secretary of State take to assess as soon as possible whether a border procedure is allowed in the specific asylum application? Is there an explicit time to consider this after the first hearing and is there any justification when the border procedure takes place? The Secretary of State has written that each detention shall be subject to a proportionality test and that the outcome shall be justified. When exactly is that going to happen in the border procedure? Furthermore, the border procedure is in principle unsuitable for asylum seekers who need special procedural safeguards as a result of torture, rape or other serious forms of psychological, physical or sexual violence. This also refers to Article 24 of the Directive. However, the medical examination in the RVT, which could provide conclusive evidence, is limited to the assessment of whether the person concerned is considered to be able to be heard in the AA, and whether special facilities are required for that purpose. The research therefore does not focus on identifying a possible trauma that prevents the asylum seeker from explaining his story or the presence of scars that could give medical support in the IND's investigation. The limited research has always been problematic, but is now also contrary to the aim of this revision of the Directive to safeguard the interests of vulnerable asylum seekers. The directive prohibits Member States from removing applications for asylum from this group in a border procedure, so you need to carry out a screening as soon as possible on signals from that group. However, the Secretary of State is not prepared, he says, to extend the medical investigation. How, then, does he intend to prevent the asylum applications of these persons from being dealt with in the border procedure or that the IND in the AA receives too little relevant information related to those traumatic events? Article 25 of the Directive prohibits, in principle, the application of the border procedure to unaccompanied minors. I read in the documents that an alternative to detention is being provided for them, but does that really mean that the border procedure is not being applied? There is now no guarantee in the law. I'd like a response. Then there's the credibility test and the judicial test. For many years, the combination of the so-called POK test, in which the burden of proof was extra heavy if the asylum seeker could not prove all the elements with documents, and the marginal test of the fact finding by the judge was one of the major stumbling blocks in the Dutch asylum procedure. The revised Directive requires more safeguards for the assessment of the asylum story. In fact, Article 11 obliges the administrative body to state its reasons in fact and in law, and, in addition, in the event of an appeal against a rejection, the court must examine both the factual and the legal grounds in full and ex nunc. Since these are two important corrections to Dutch law, it is very important that the State Secretary does not trivialise these changes in advance or try to knead them in such a way that nothing needs to change. My group is pleased that the Secretary of State has now changed the credibility test, but at the same time that he believes that it is not a change, we are concerned. This would mean that undocumented asylum seekers would still find themselves in a very difficult position of proof in advance. However, the Secretary of State contradicts this: a positive force of conviction is no longer required in advance for this group of asylum seekers. If that is indeed the case, can he at the same time claim that this new assessment framework is not a policy change? I would like to comment on this point. During the judicial test, the Secretary of State fully acknowledges that the implementation proposal contains an amendment to the judicial review, namely the full test of the fact-finding and credibility assessment by the IND. But then the Secretary of State also tries to indicate that there is not much news under the sun. My group does not agree with that. If the IND had previously rejected an application for asylum because he did not find any part of the asylum story credible, then the judge or the judge could only assess whether the IND had gone through the right steps to arrive at that assessment. Now, however, with the adoption of the implementation proposal and the application of the directive, the judge will have to go into the assessment of the facts in more detail. The judge will have to ensure that the assessment of the IND is correct by means of, for example, questions to the asylum seeker or, where appropriate, the request for an expert opinion. Doesn't the Secretary of State agree with my group? The judge should have all the space he or she needs to assess whether the IND has correctly assessed the facts of the asylum story. The Secretary of State seems to pretend that the judge should not make an independent judgment, but that is always the job of a judge. To this end, the Awb is also equipped with numerous instruments. Of course, this investigation and that assessment of the credibility and legal qualification is carried out on the basis of the file and the decision, but also on the basis of any new facts and legal bases that appear before or at the hearing. In the Mahdi judgment, the Court of Justice made it clear once again that, from the point of view of effective legal protection, the judge must be able to carry out an in-depth examination of all factual elements, including elements not already put forward by the administrative body, and that he must be able to make his own judgment in the place of the administration. In this case it was about detention, so when it comes to life or death, this obligation already applies. The Secretary of State has therefore quite rightly dissuaded Kiek and Azmani's amendment because of the violation of Union law, but is it not equally contrary to Union law if he sends the same message to judges through the parliamentary documents? Or does the Secretary of State think that this message is less noticeable in Brussels than a legislative text? Of course, the better the IND does its job and the more extensive it shows in its decision, the less a judge will tend to do that work again. But we are talking here about a fundamental importance, namely the assessment of whether there is a risk of refoulement. It is up to the judge to determine how he arrives at this assessment, and in our trias politician it is not appropriate for a driver to sit on the judge's seat. Then the ex-nunc key. In other areas of administrative law, the government wants the judge to close the case as much as possible. Is it true that the Secretary of State deviates from this preference in this area and if so, why is that? The Secretary of State excludes new asylum motives from the ex-nunc test, but a new asylum motive is also a new fact. The directive should explicitly authorise such an exception, and it does not. The Court of Justice will interpret the ex-nunc requirement in Article 46 in the same way as that in Article 31 of the Stay Directive, which means that all new facts will be taken into account up to and including the hearing. If these require a re-examination or review, the court may use an administrative loop, but he may also instruct the administrative board to take a new decision. The IND therefore has every opportunity to find a new asylum motive, but it remains the first procedure to apply, and that is very important now that the procedure of a subsequent application has been properly undressed. I call the one-day test, the lower legal aid, the withholding of suspensive action and, of course, the strict nova criterion. In doing so, we do not do justice to asylum seekers who, for plausible reasons, do not yet fully give their asylum story on the table in the first procedure a fair chance. With the general asylum procedure, the Netherlands has a unique, ultra-short procedure. An asylum seeker must open up business in the first week, even with the lawyer. This creates enormous problems for people who have been raped or are homosexual and have always kept this secret, or for asylum seekers who have been traumatized. You could say that this is some kind of damaging side effect of our brief procedure. The exclusion of new asylum motives, perhaps for that reason, is therefore contrary to the directive, both to the text and to the purpose of the directive. Indeed, recital 29 of the Directive points out that Member States offer appropriate aid to applicants in need of special procedural guarantees, including sufficient time. A subsequent application for asylum excels precisely in short procedures and as little time as possible. So how's the Secretary of State gonna fix this? How will it ensure that persons who need special procedural needs and guarantees are not crushed between the short general asylum procedure, the limited ex-nunc test and the ultra-short procedure for repeated requests? It seems to us that they are in the worst position, rather than getting better guarantees. Is the Secretary of State prepared to enforce the guarantees of the normal general asylum procedure, including suspensive effect on appeal, for all asylum seekers who have not been able to make their claims in relation to trauma earlier and therefore have to submit a follow-up application? I actually see that as the only guarantee that vulnerable persons will come to their senses in the Dutch proceedings. So I am talking about normal standards, including a follow-up request. Another measure supporting this particular group of vulnerable persons is the funding of their medical research. Mr Schrijver referred to this as well. However, the Secretary of State shall reimburse the costs in a first procedure if the investigation has led to an agreement. My group would like to know exactly how that is assessed. After all, acceptance is not justified, and often there is a combination of factors. Wouldn't it make more sense if it were sufficient if the medical examination had contributed to acceptance rather than having to establish a direct causal link? The Secretary of State shall exclude reimbursement of costs in the case of a second or subsequent procedure. In recent years more than half of the follow-up applications in which iMMO has issued a report have still been granted a residence permit. So there too, the medical examination plays an essential role in the assessment. At the same time, it is only a few dozen files. So it's small numbers, but it has a big impact. Article 18 of the Procedural Directive makes no difference between first and subsequent procedures. On the basis of this Article, Member States shall be required to finance a medical examination relevant to the assessment of the request in any situation. If an asylum seeker makes a second application with an asylum story that he could not have introduced earlier and where medical support would be relevant, will the IND not request a medical examination? And if the IND fails to do so, but a self-financed investigation does lead to acceptance or contribution, why should we not reimburse the costs? The State Secretary's argument that the IND and the judge acted correctly in the first proceedings is irrelevant. It is not a question of correcting a mistake, but of assessing a new account or of new relevant facts. I would like a clear answer and a commitment that the Secretary of State will in future pay for this medical examination. By the way, I found on Migrationweb a disturbing letter from the board of iMMO to the IND. It stated that iMMO refrains from making an offer in the procurement of medical research, because I quote "the program of requirements is not compatible with the execution of forensic-medical investigations that comply with acceptable standards of professional behaviour, objectivity and independence. In addition, several points are unfair to the contractor without a reasonable link to the good progress of the asylum procedure." This is a worrying conclusion from iMMO, especially considering that this is the only institution that carries out this type of investigation in the Netherlands and is widely recognised as authoritative. Can the Secretary of State explain on what points the programme of requirements for iMMO did not meet its standards? What has the Secretary of State done with these objections? In any event, the programme of requirements makes it clear that the Ministry requires that the medical examination can be completed during the general asylum procedure of eight days, so that it can be ended in the AA. Why does this procedure need to be leading? It does not do justice to the need for a careful investigation, does it? Also from last year's WODC evaluation, which I myself participated in, it turned out that in most cases the AA works well, but that risky pressure arises when matters of vulnerable persons have to be removed from the AA. The revised Procedural Directive does not build up extra guarantees for this group of people for nothing. I ask the Secretary of State why we do not remove the pressure and refer the matter to the extended procedure when a medical investigation is needed. Finally, I have two points on the Reception Directive. Although the European Commission had proposed to grant asylum seekers wide access to the labour market, the Council has set significant thresholds. Germany and the Netherlands, in particular, have made efforts to meet these thresholds. This is a pity, because research has repeatedly shown that hospitalisation of asylum seekers has disastrous effects, while asylum seekers, like everyone else, are becoming more resistant to work and learning and provide for their own income. However, this can only be done very slowly by this cabinet, namely 24 weeks a year, and only if no EU citizen can do the same work. A cabinet whose prime minister calls on people not to apply for benefits immediately. The typical thing is that through wider access, it is not only easier to integrate asylum seekers but also easier to take the step towards their return. The argument that their integration should be countered, as this would make it more difficult to return, is therefore not valid. While Germany was even more supportive of restricting the right to work during the negotiations, the German Government has now come back from this. Asylum seekers are now entitled to work after three months, and for young asylum seekers there is unlimited access to learning places. Politicians there have realised that it is strange to grant asylum seekers a benefit without giving them the chance to earn their own income in the labour market. Perhaps an inspiration for this cabinet? Finally, I come to the problem that, in a number of situations, reception ends once the four-week departure period has expired, even if the applicant is allowed to wait for his request for a provisional provision. The Secretary of State uses this imminent termination as an urgent matter, so that judges decide quickly. However, Article 3 of the Reception Directive is clear: the Directive applies to all asylum seekers in the Member States, "insofar as they are allowed to reside as applicants'. As long as they are allowed to wait for a ruling from the judge in the Netherlands, asylum seekers are therefore entitled to receive asylum. If Union law does not confer any discretion on Member States, they should not impose any further conditions. However, the government does so by making an additional demand that asylum seekers be legally resident in the Netherlands. This is a very misleading definition, because that does not mean that illegal asylum seekers should not be here. The latter is the only criterion that is relevant to the Reception Directive. That is also logical, because otherwise Member States would be very easily able to get out of the directive. Please respond to this point by the Secretary of State. We welcome this step towards greater harmonisation, but with our questions we are looking for more guarantees that the Dutch system fully complies with the guarantees given to asylum seekers by the revised directive.
ParlaMint-NL_2015-07-07-eerstekamer-8.u29	Thank you, Mrs. Strik. Does one of the Members still wish to speak in the first term? That is not the case. Unfortunately, then, I have to suspend until 4.15 p.m. because some spokesmen have to chair a standing committee meeting.
ParlaMint-NL_2015-07-07-eerstekamer-8.u30	Mr. Chairman. As promised last week, when I was also allowed to be here, I would like to thank your Chamber again today for its cooperation in the speedy handling of this bill so that we can reach the date of implementation and be on time. It has been asked before what is the great importance now if so little changes. Well, the most important thing is that there is clarity for everyone involved in the question of what the law means and exactly how it is implemented. We do not first have a kind of shadow area, after which we have the implementation, because then we would have two renewals. I too congratulate Mr Stienen and Mr Van Weerdenburg on their maiden speech. It will be the first of many more contributions. I look forward to a pleasant partnership. As Members have rightly pointed out, with these legislative proposals we are implementing directives which have been going on for some time and which we have been working on for some time. The negotiations started in 2009 under the cabinet-Balkenende IV. The Directives were finally adopted in July 2013. Much has been discussed and the Netherlands has contributed a lot. The main reason for accepting the directives is not necessarily that our system was not good and much had to change, but above all that we attach importance to the coordination and harmonization of the systems of the various European countries. This is definitely not the end of it. There were different qualifications of what is now ahead, ranging from "fitile" to "essential building blocks." In itself, both can be true. If you look at these proposals in isolation and think "is this now the solution to the issue of migration that we are facing?', is the answer no. But if we look at it in its context, and ask the question "is it part of the solution?" Then the answer is yes. The less exciting or visible parts are also essential to provide the whole solution. What we are seeing in Europe now is actually two things at the same time. First of all, the part that receives a great deal of attention; the major issues where we have to make political success and on which fundamental debates are being held. Unfortunately, in the eyes of the cabinet, they have not led to a unanimous approach in the short term. In addition, we have a lot of things like the ones we are discussing, which have less show elements in them, but are also crucial and essential in order to find a better solution. It is therefore in itself a gain that the procedures are aligned. This contributes to the further development of a European migration policy. However, it is certainly not enough. I also heard in the many speeches that we should not think that we can solve the problem on a country-by-country basis. The Cabinet recognizes that, too. This requires a European solution. This bill contributes to this, but is certainly not enough. The cabinet focuses on the broad European Agenda on Migration. We always have questions about this, of course, as every country has. Our attitude is that we want to make it work. I must honestly say that I personally share the disappointment expressed by Members about the speed at which agreement is reached, or even the extent to which it is not possible at all. I believe that the Netherlands has adopted a constructive attitude in the previous JHA Council, with a number of serious questions about the impact. With this attitude, we are in the top five drivers of reaching agreement on a European solution to this problem. That is not only in the details of work, but also in the mentality. This is difficult, because there is no such thing as half solidarity or half responsibility, and countries are not only able to draw the benefits of something. It is important to find better solutions in this area. They were also asked to place these directives in the context of not only the migration issue, but also the GEAS system and Dublin, which is covered by it. If we fail to achieve better joint solutions, de facto Schengen and Dublin will be under pressure. If one country does not assume its responsibilities, another country will respond by checking more often or even permanently at the borders. I don't think that's the way it's supposed to go. However, it is not enough just to call on countries like Italy and Greece to register perfectly, because then you will make a proposal that will only harm those countries. There was no agreement on relocation. The cabinet also regrets that there is no agreement on a mandatory system. The project is still alive. For a number of countries, the principle was a problem and not so much the practical choice of relocation. For the cabinet, it is crucial to link it up. That is what we will continue to do in the elaboration of better registration by Italy and Greece when it comes to the question of where people arrive. If Italy sees 170,000 people coming and finally has 100,000 people in procedure, that means that we already know an informal relocation system, namely a system in which people who are not well enough registered travel to other countries. These are matters for us that should go hand in hand with the problem within the European Union and that should also keep pace with the improvement. Are we done with these guidelines? No. There is still a world of harmonisation in the areas of registration and handling the implementation of national policies. Not only must we point out to countries, but we must also opt for hotspot approaches, as proposed by the Commission. In a very practical way, we can then provide assistance to ensure proper registration. We will know immediately who is trying to enter Europe and we will be able to judge it. The least desirable elements are already referred to as the attempts of radicals to mingle below, which should be recognised and depicted as early as possible. This danger, which applies to the whole of Europe, must be combated and contained as early as possible. Another element that is at least as important, which the cabinet is always committed to and committed to, is the question of how the European Union, preferably as a block, deals with third countries. The importance of reception in the region was rightly pointed out. It was right to point out the extent to which this is already happening. Depending on the definition, 87% to 95% of refugees are affected. There is still room for improvement. We do this, for example, by contributing to stability. The biggest push factor is war and misery. We also contribute to increased capacity for third countries to do their own search and rescue. If we all agree that the smugglers of human beings are taking advantage of the situation in which people find themselves in unscrupulously, cynical and opportunistically, if we all think that people should not actually get on such a boat and, if they do, should be saved as soon as possible, then it is also logical to do so shortly off the African coast and to build capacity in third countries to do their own search and rescue and bring people back to the African coast. So much for my introductory answer to the many questions that have been asked about the context in which the directives are to be seen. I now turn to the specific questions on the directives themselves. Mrs Van Bijsterveld, Mr Schrijver and Mrs Duthler specifically asked about the commitment of the Netherlands within the EU. I just gave you a piece of that. Within the European Agenda on Migration, we are in favour of compulsory relocation and we are committed to the element of return. This was considered vague by the wording on coherent policies and the merging of forces between Member States and different policy areas. It matters whether we negotiate with third countries on a separate basis or whether we talk about trade, aid and return. It would make more sense to discuss these things together, and then Europeanly, so that we can make more effective use of the duty of these countries to take back their residents if it has been established that they do not have the right to stay here. We were asked to take the lead when it comes to reception in the region. We are taking the lead in regional development and protection programmes very specifically. The Netherlands is the tractor in the Horn of Africa. The aim is to ensure that conditions in third countries are more suitable for providing reception services. If a neighbouring country is fragile and has a lot of threat, then care in the region is of course less appropriate. These are ways in which we are trying to contribute to this and also to speed up the return of people who have no right to stay here. That is not immediate reception in the region, but still. That is why we also combine programmes we have in this area in development cooperation and facilitating return for people who do not have the right to stay. Mrs Duthler asked a question about the European Commission. We are now harmonising the directives; why is the Commission announcing its intention to harmonise asylum policy with directives? That is because this is a first or a second step, if you like, and because there are still some steps to be taken. This is really about general standards for procedures. We will already see differences when it comes to implementing them, as we now see differences in national policies, for example, or in the interpretation and legal effects of certain country policies. This is also an element in which the Netherlands takes the lead at a practical level to first make better streamlined decisions with a number of other countries and ultimately preferably with all of them, also to avoid having to do each other's work over and over again. Mrs Strik asked about the state of implementation in the other Member States. I don't have a general list right now, but by the end of the month, the implementation date expires. If countries have not yet implemented it will have the direct effect of the directive and the rules will apply everywhere in the extreme. To what extent other countries have already completed their implementation, I do not have that ready. Then there was a series of questions about the review, the full review and the ex-nunc testing, two separate elements. Mrs Stienen's question and Mrs Van Bijsterveld's question was whether the judge should now conduct his own investigation and what "less reluctant than now" actually means. That's harder because I've already been warned by the Chamber that I shouldn't sit on the judge's seat. However, many questions imply that I can provide guidance. This is an element of which I cannot say very clearly what will become practice in the near future. This is also a question of how it stands out in practice, how, from the point of view of, for example, the IND, we respond to comments made by judges in the first phase of this new regime and also of how the judges themselves deal with their possibilities and how they themselves see their role in it. This will therefore have to take shape partly by means of case law. I have said that it does not seem to me that the work of the board is being completely redone, that the starting point remains a decision of the board, and not a whole new procedure, but carried on by the judge. Nor is the procedure appropriate for the investigation required. My expectation is that there will still be a reviewer, a full judge, but initially not a judge's standard, while the board's judgement is really taken as the starting point for the review and also the administrative file.
ParlaMint-NL_2015-07-07-eerstekamer-8.u31	The Secretary of State seems to link up that the case and decision form the basis and are therefore examined, but he will be able to imagine that a judge should also be able to form his own judgment. Of course, the judge will do that on the basis of the file and the decision. So it's not a contradiction. You can conduct an independent investigation and form an independent judgment, but on the basis of the file, the decision and any new facts that may arise afterwards. I assume that the Secretary of State has no objection to it not only being a review, but also a judgment.
ParlaMint-NL_2015-07-07-eerstekamer-8.u32	I have a bit of a conceptual difficulty breaking this up, as if you could test without having a judgment. Of course the judge gives a judgment, because that is the element of tests. He's testing the work that's been done. The question is whether there should be a full re-evaluation and a full study. I do not expect the judge to do so in many cases, but there is, of course, a much wider possibility of doing so.
ParlaMint-NL_2015-07-07-eerstekamer-8.u33	I am pleased that the Secretary of State indicates that it would be a sham contradiction between review and assessment. I very much agree with him. However, it is more often stated in the documents that there is a difference between judgements and tests and that, for this reason, the review should be paramount; this should then be done on the file. Of course, the file is an important basis, but that does not alter the fact that a judge always makes his own judgment. I'm glad the Secretary of State acknowledges that.
ParlaMint-NL_2015-07-07-eerstekamer-8.u34	I think this is where the nuance lies. In both cases there is an assessment, but do you initially judge the work done by the board or do you judge from nothing the material matter ahead? Of course, judging the work of the board may lead to further questions on the material issue, but the judge will not judge it in such a way that the work is done all over again and the person in question is fully heard. There's no room for that either. In practice, it will show how deep the judge is working on that test. One of the reasons why I expect it to be difficult or not very often leads to an additional standard assessment of the case itself is that the IND responds to this and, for example, by providing a certain justification, allows the judge to be better able to fully review and make an assessment of the work done by the IND. We hope to remove the pressure to do the material assessment again. There were also questions about the full testing on the ex-nunc side of the case. I do not expect much change in that too, because we have already introduced the ex-nunckeying in appeal in the Netherlands in 2010. This is now happening widely at European level, but we already knew this element. So I don't expect a big change. I come to the questions raised by Mr Schrijver, among others, about new asylum motives. Why don't they get involved in the ex-nunc test now? I will not hide from that; in the House of Representatives we also had this discussion. Of course, I cannot say that that is a strange idea, because it was in the original bill. You can come to some insight, but it goes a little far to completely reject your old insight. There are advantages to it. It could be followed up. It also looks a bit different at first, if you sit here and have a new asylum motive and the judge says: I'm going to judge everything except for that new motive, which is perhaps the most crucial thing, because for that you just have to go back for a new application. Also because this is at first sight a strange picture, we had put that in the bill. After that, it went into consultation and we received opinions, including from the Administrative Court Department. These advices have convinced us to get it out of the legislative proposal, because then the court will have to assess a new asylum motive on its own. There is only a limited practical possibility of making good judgement within the framework of that procedure. When you enter a new procedure, someone is often heard in the presence of an interpreter and that sort of thing. The judicial process does not lend itself very well to a whole new assessment of a new motive. Perhaps we could have fewer cases in practice, but they will take much longer. The profit that you could make by taking it into the process could be lost again in the long run because it would ultimately take longer than following the two separate procedures. Nor is it necessarily in the interests of an asylum seeker to have it done by the judge on the spot, because he has a great interest in the best possible consideration and assessment of the new asylum motive. There are a number of safeguards that are given in the proceedings before the IND but are more difficult to give to a judge. The administrative loop that was mentioned is one of the possibilities, but I do not want to standardize it. A judge can therefore say: in this case of a new asylum motive, we do it via the administrative loop and let the procedure hang.
ParlaMint-NL_2015-07-07-eerstekamer-8.u35	I can go a long way with the Secretary of State, but he does not rule out the fact that new asylum motives can play a role, especially now that an ex-nunc assessment is being launched, but also a full assessment of the facts and circumstances before us. Surely it would be very strange if the word "complete" should not have the meaning of "complete"? For the history of law, I find it interesting to be able to discuss this with the Secretary of State.
ParlaMint-NL_2015-07-07-eerstekamer-8.u36	We share that interest. That is why I always speak in the pieces of a full and ex-nunckeying. That's a subtle difference from the idea of a full ex-nunckeying. A full review of what has been done by the Board is appropriate as well as the taking of new facts that have occurred. If we are dealing with new asylum motives, we have a kind of new category. That is a new fact, but that is far from the assessment and review of the first judgment against which an appeal has been brought. It was said just now that the board should not sit on the judge's seat. A judge won't want to sit on the board seat either. If a judge wishes to consider the assessment of a new asylum motive in a procedure in his appeal, it is obvious that he makes use of the possibility of the administrative loop. From the point of view of the guarantees that the procedure and the treatment of a new asylum motive deserve, it is also perfectly conceivable that the judge should say: I am keeping it separate; I will test the work done entirely on the basis of the old asylum motive. In addition, there is the possibility of starting a new procedure from the outset with all the necessary safeguards, but that will also be up to the courts. I do not want to restrict the court in advance by making one or the other mandatory.
ParlaMint-NL_2015-07-07-eerstekamer-8.u37	Can you explain more clearly what you mean by the latter? Are you saying that the judge does not include the asylum motive or that he says: I instruct the IND to make a new decision on that point?
ParlaMint-NL_2015-07-07-eerstekamer-8.u38	I can imagine both. The latter sounds like the administrative loop. He can, but I didn't make him do it. He doesn't have to. The judge's gonna have to make his own judgment on that. Otherwise it is as it is now: you have recourse to one case, to one motive; in addition, the claim is made that there is another motive. It will be dealt with again.
ParlaMint-NL_2015-07-07-eerstekamer-8.u39	I ask that question because you say that asylum motives are not part of the elements covered by an ex-nunc test. As far as you're concerned, judges can't take that. At the same time, you outline how a judge can actually deal with that. He can order the IND to come up with a new decision. At the administrative loop he can order someone to hear again. The judge can therefore ensure that all the guarantees that you can offer in an initial procedure are respected. That is not possible with a subsequent request, because then you have a much shorter, undressed follow-up procedure. Your point is really: we do not take the asylum motives, because then all guarantees will be put under pressure. My point is it's exactly the other way around. Can you respond to that?
