ParlaMint-NL_2015-12-22-eerstekamer-3.u1	I would like to welcome the Minister of Economic Affairs to the First Chamber.
ParlaMint-NL_2015-12-22-eerstekamer-3.u43	That is precisely why they have gone to the supervisor. The law must be enforced because they feel that they are lagging behind. After all, they cannot obtain what others still have at the moment, namely the nets.
ParlaMint-NL_2015-12-22-eerstekamer-3.u44	I'm going on at this point. It is interesting to see that in Germany, where no division has taken place, small renewable energy companies are doing extremely well. Even 93% of all small new generation of renewable energy is in the hands of new businesses. Apparently, it's possible to flourish in such a situation as a new party. I do not see very well what kind of blockade there is for these new players now that the networks are so well protected, free access is regulated and a principle of non-discrimination has been introduced, which means that everyone must be able to access them.
ParlaMint-NL_2015-12-22-eerstekamer-3.u45	I will come back to that, for example, when I talk about creditworthiness. I agree with Mrs Vos that these small, often local initiatives are doing very well. It is also the power of this law that it contains an experimental article. This will help to promote such initiatives. That's what we're here for.
ParlaMint-NL_2015-12-22-eerstekamer-3.u46	Mr Pijlman spoke about legal claims. I wonder what he's referring to. There has indeed been split up, but this has led to a huge or huge amount of money being made for the Dutch shareholders or that the money has gone to the foreign companies. You knew you were buying a split company, and you did. In hindsight, you may have paid too much for it, but you did it with your eyes open at the time. What could be the basis for legal claims if the government makes a legislative change?
ParlaMint-NL_2015-12-22-eerstekamer-3.u47	A government that pursues a sweeping policy is at risk. We are not just talking about the Nuons and the parties behind them, Vattenval and RWE. Indeed, I do not believe that they feel directly harmed. However, I believe that the Dutch authorities may require that new parties on the market be treated in the same way as other parties.
ParlaMint-NL_2015-12-22-eerstekamer-3.u48	Mr Pijlman refers to this as a swirling policy. In my opinion, it is always possible in the Netherlands to adapt the law on good grounds and well-founded. That space offers democracy in the Netherlands. Why does Mr Pijlman call this swaggering policy? Why is he afraid that it will lead to claims on this very point?
ParlaMint-NL_2015-12-22-eerstekamer-3.u49	I call it a swirling policy, because the policy that was deployed eight years ago and has been endorsed several times has never been implemented. There are still exceptions due to legal procedures. If, after such a period, you come back and say: we are going to do things differently, it seems obvious to me that some parties feel extremely disadvantaged. After all, they will never be able to get that network again.
ParlaMint-NL_2015-12-22-eerstekamer-3.u50	Mr Dercksen, on this same point or on any other point?
ParlaMint-NL_2015-12-22-eerstekamer-3.u51	On the first point raised by Mrs Vos, namely that new entrants are being delayed by the legislation that we want to change. I asked for the transition figures, because I want to know to what extent these new entrants have indeed been put behind. I do not know whether Mr Pijlman has asked for these figures, but I note that the number of switching to the networks of Eneco and Stedin in particular has been higher since the release of the energy market than on other networks. Where does Mr Pijlman base the remark that newcomers are being put at a disadvantage?
ParlaMint-NL_2015-12-22-eerstekamer-3.u52	I'll get right back to that.
ParlaMint-NL_2015-12-22-eerstekamer-3.u53	We're here now. Perhaps Mr Pijlman could do that now?
ParlaMint-NL_2015-12-22-eerstekamer-3.u54	It was my first passage. I just wanted to say that it is for that reason that the new energy companies such as Greenchoice and Budget Energy have now asked the regulator ACM to maintain the split.
ParlaMint-NL_2015-12-22-eerstekamer-3.u55	They asked that, but I'm asking about the facts. The facts are that there have certainly been more transfers on the Stedin and Eneco networks than on the other networks. Mr Pijlman can talk about other parties, but the facts simply show that there are more switch-overs at Stedin. I ask Mr Pijlman to stick to those facts.
ParlaMint-NL_2015-12-22-eerstekamer-3.u56	I am not denying these facts, I do not know them, but I am simply saying that the new energy companies are lagging behind and that is why they are going to the supervisor. It's up to the supervisor to act.
ParlaMint-NL_2015-12-22-eerstekamer-3.u57	I also have a question about the new entrants. Mr Pijlman says that they feel that they are lagging behind and that they are therefore going to the ACM. That's okay, but in order to claim damages, it's not about feelings, it's about facts. I wonder how the situation for the new entrants will change if the group ban does not go ahead. After all, they are now dealing with integrated Dutch companies and subsidiaries of integrated foreign companies. Whether they are dealing with only subsidiaries of integrated foreign companies or also with integrated Dutch companies, my assessment does not matter to the new entrants. In my opinion, that would not be a title for a claim for damages.
ParlaMint-NL_2015-12-22-eerstekamer-3.u58	It's up to the supervisor to determine that. However, due to all the legal claims of others, they can never get into the position of other energy companies. That is a point of principle.
ParlaMint-NL_2015-12-22-eerstekamer-3.u59	Mr Flierman once again on this point and then we stop.
ParlaMint-NL_2015-12-22-eerstekamer-3.u60	The fact that there are new entrants who only deal with energy is a fact of life. It is difficult for them to complain that they do not have infrastructure and that other companies do. Whether these companies have infrastructure abroad or in the Netherlands, I find less significant.
ParlaMint-NL_2015-12-22-eerstekamer-3.u61	I don't share that opinion. I think it is important that the different companies are treated in the same way before the Dutch law. D66 understands the position of Eneco and DELTA. Now that the split is continuing, it means a severe veining to them. After all, market conditions are much less rosy than they were a few years ago. Moreover, both companies consider that they have separated all the different activities within the groups, so that division is no longer necessary. They also believe that a considerable number of jobs will be lost by division. Especially in Zeeland, where the socio-economic structure is not very strong, this would come hard. D66 points out that maintaining the division should not automatically lead to job losses. All kinds of different figures appear to be circulating. For example, the province of Zeeland uses very different figures than the companies. The companies seem to assume that division should automatically lead to the sale of the remaining commercial business, but it will ultimately be the governments, now the owners of Eneco and DELTA, who decide whether they want to sell or merge or continue independently. Economic and financial aspects and employment aspects can be weighed by them. The position of DELTA is worrying. Many jobs have been lost in the past because of a number of decisions taken by the group. The D66 group appreciates the Minister's desire to work with the province of Zeeland to draw up a plan to strengthen the economy of the province. The creation of new wind farms can also mean something for Zeeland. The D66 Group asks the Minister to inform the Chamber of that plan when it is there, indicating how it can be realised and what the role of the State is in this. DELTA and Eneco believe that their financial position is deteriorating by division. They have separated the various activities within the holding and are supervised by the ACM. So, as they argue, the group ban is superfluous. The banks naturally look at the creditworthiness of the total company. In doing so, the commercial part can also benefit from the higher creditworthiness of the undivided company, as the new energy companies also argue to the supervisor. It is a reason for them now to insist on the enforcement of the law. The opposite, of course, is true. The system operator may suffer from a lower credit rating because it is in one holding company with a high risk business. The regulator ACM says that he will have to significantly increase the capacity if he also has to monitor the cash flows. D66 recognizes that there are also negative sides to division because others within Europe chose only limited for our system. At the same time, we believe that Dutch companies in the Netherlands are treated in the same way. Splitting means that activities are disconnected, but not that activities should be discontinued. The European rules "Directives" and "Directives" and "Directives" provide that once a split can no longer be reversed, but that a later choice to split is allowed. Flanders and Wallonia now seem to be taking steps to split up. That brings me to the point that we as the First Chamber have very limited possibilities to extend the tolerance status of Eneco and DELTA. The split, or the group ban, has been defended by four different ministers from three different parties, now the VVD and previously twice the CDA on the other side and here. Each time the split got a majority. The last time that happened two months ago in the House of Representatives, when the Smaling amendment was rejected by roll-call vote.
ParlaMint-NL_2015-12-22-eerstekamer-3.u62	Four ministers from three different parties were wise enough, in Mr Pijlman's view, to proceed with this decision. The House of Representatives has supported this a number of times, most recently in the roll-call vote which Mr Pijlman refers to. In his speech on this point, Mr Pijlman seems to suggest that it is wise to follow that line. If that is the case, perhaps he would like to confirm this in a moment. I wonder how he assesses the voting behaviour of his D66 colleagues in the House of Representatives. They voted in favour of Mr Smaling's amendment at the same roll-call vote. Have they become a bit unwise?
ParlaMint-NL_2015-12-22-eerstekamer-3.u63	Two ministers of Mr Flierman's party have just defended the split here and on the other side. This inconsistency cannot therefore be blamed on me by Mr Flierman. We have our own responsibility here, of course. Ensuring consistency in policy and feasibility of policies is one of the tasks of this house. I can only say to Mr Flierman that different considerations have been made. However, now that the House of Representatives has rejected the amendment after a roll-call vote, I can hardly see any further possibilities. I know that Mr Flierman does not agree. He has therefore tabled a motion and mentioned two situations, including those of the novella. I certainly do not see how the latter should be now that there is a clear majority in the House of Representatives. However, we can differ on that.
ParlaMint-NL_2015-12-22-eerstekamer-3.u64	What intrigues me is that Mr Pijlman is actually saying that if the majority of the House of Representatives, possibly by roll-call vote, agrees to something, the House of First Instance should accept it. That seems to me to be a denial of the function of the First Chamber.
ParlaMint-NL_2015-12-22-eerstekamer-3.u65	I did not say that at all. Mr Flierman is twisting my words. I have said that we each make our own assessment and that we have our own position within the system. Of course I respect that. That's what we're here for. I have just pointed out that four ministers from three different parties, including twice a CDA minister, have defended the group ban here. That was a piece of history. After all, I'm a historian.
ParlaMint-NL_2015-12-22-eerstekamer-3.u66	Speaking of novelles, yesterday we discussed one created by the intervention of the D66 Group. This has been preceded by a whole negotiation process. At the start of these negotiations, the D66 party leader wanted a lot of new jobs. Mr Pijlman gets zero in the end, except for a few scatterings. How does he feel about the jobs we are talking about today? What about the jobs at DELTA and Eneco? Of course, you can say that 1,800 is not the right number. That's right, it could be 2,000, and in practice it might be 1,500, but it's going to cost jobs. Where the hell did that job party go?
ParlaMint-NL_2015-12-22-eerstekamer-3.u67	Fortunately, wind at sea is also going to create jobs. Mr Dercksen could take that to heart if he votes against it later.
ParlaMint-NL_2015-12-22-eerstekamer-3.u68	Mr Dercksen, I see you want to interrupt again. May I ask you not to ask the same questions all the time? If you have a new question, I'd be happy to give you an opportunity to ask it.
ParlaMint-NL_2015-12-22-eerstekamer-3.u69	Mr President, I am not even getting a start on an answer from Mr Pijlman. In fact, I will be speaking later on about jobs and subsidy jobs. So you'll be served at your beck and call. Mr Pijlman says he is in favour of new jobs. His party leader calls that on television at every opportunity. I ask Mr Pijlman what he stands for in this dossier when DELTA and Eneco are about to put a lot of people out on the street. I'd like an answer. I tried twice. If he doesn't answer, that's an answer, of course. Then let's make a deal like this.
ParlaMint-NL_2015-12-22-eerstekamer-3.u70	I have argued that the energy sector is moving so that jobs are lost and jobs added. Every job that disappears at DELTA or Eneco is too much, but I cannot put aside the premise that one company should be equal to the other before the Dutch law. Mr Dercksen also knows that wind at sea is going to create a lot of new jobs. I am therefore counting on him to reconsider this before taking his final position. For the interruptions, I argued that the group ban was defended here and on the other side by four different ministers. For our group, the starting point remains that the energy infrastructure remains in the hands of the government and is not exposed to commercial and risky activities. Moreover, we do not want this case to lead in any way to delay the sustainability objective of wind at sea and to delay the tender. It's absolutely not worth it to us. There is 12 billion ready to attract large investments and further enable them to create thousands of new jobs and also ensure that the Netherlands achieves its sustainability objectives better. That brings me to other aspects of the law. One of the possibilities of the law is the wiring, whereby the system operator brings parts of his system underground, upon request. Mr Flierman has already spoken about this. In the reply, the Minister states that this may bring benefits in order to increase the use targets of an area, but also disadvantages related to national and international benchmarks. It is up to the supervisor to assess whether there is still cost-efficiency in wiring. The Minister also raised my questions about the wiring of a cost-sharing system between the user, the system administrator and the municipality concerned. Can the Minister clarify how this is going to work in practice? How are the costs distributed and how does the key come about? For the D66 group, the experimental article is of great importance. It gives local initiatives the opportunity to experiment, thereby increasing citizens' involvement in energy issues. The new renewable energy earning model could lead to much more local solutions: the user who generates energy himself, trades locally and becomes as independent as possible from the central energy generators. Experiments like on Ameland are examples of this. The whole island wants to be energy independent and CO neutral by 2020. This law now offers opportunities for experimentation. Can the Minister promise the D66 Group that we will be regularly informed about the experiments requested, the results and the evaluations of the experiments and thus the impact of these results on legislation and regulations? In this context, I would also like to hear from the Minister how he intends to deal with Mr Jan Vos' motion, adopted in the Lower House, in which he asks for room for the infrastructure of companies to support the energy transition. This is, of course, a sensitive subject in the light of the split discussion. After all, risky activities should be avoided, but at the same time some scope seems possible because they are public activities, which can be counted differently from commercial activities with much longer payback models. Can the Minister inform us how he intends to implement the motion? One of the most pressing questions arising from this bill concerns the position of the Borssele nuclear power station. The Minister replied to my question that it is undesirable that the nuclear power station in Borssele should be in foreign hands. He replied that, pursuant to Article 2.3 of the legislative proposal, he could refuse or impose rules on the ownership of the nuclear power plant on the grounds of public security, security of supply or security of supply. The D66 Group assumes that the future of Borssele will be achieved in close consultation with Parliament. Can the Minister undertake to do so and inform us on a regular basis? Yesterday, we discussed the new tax plan, which included 100 million for energy-saving measures in construction. D66 urges the cabinet to use these resources for local initiatives that are often ready and are not currently funded. I would like an answer from the Minister. So much for my first term. We await with interest the Minister's answers.
ParlaMint-NL_2015-12-22-eerstekamer-3.u71	Mr. Chairman. In the view of my group on the recommendations of the GRECO Committee, I should like to say the following before we vote on the VVD Group's contribution. In my resume it says that I am chairman of the Supervisory Board of Intergas Holding B.V. The network company Intergas Energie was sold in 2011. Intergas Holding is responsible for the liquidation of any risks and is therefore no longer an operational company and therefore not a party to this legislative proposal. The VVD Group sees this proposal to the Electricity and Gas Act as also referred to by the "Law STROOM".. mainly as technical in nature and important in order to stimulate and facilitate new innovative developments in the field of energy generation and application, while achieving a better balance between production and use. That is one of the most challenging tasks for the coming time. The objectives of the Energy Agreement are ambitious, especially measured in time. For this reason, the VVD supports the Minister's efforts to bring this law into force on 1 January. However, it does have some reservations about the flexibility or rather the occasional absence of such a provision in the transitional period granted to undertakings for the purpose of phasing out or converting some of their activities. This is the case, for example, with the issue of loading posts. Every bit helps to achieve the enormous task agreed in last week's climate agreement. Can the Minister indicate what consequences that agreement will have for our national energy transition?
ParlaMint-NL_2015-12-22-eerstekamer-3.u72	In my contribution, I said that Eneco and DELTA are interfering in the market for sustainability. I have argued that we are going to destroy these companies and that it is likely that large foreign companies will not move on our Dutch market in terms of sustainability...
ParlaMint-NL_2015-12-22-eerstekamer-3.u73	I've heard all that.
ParlaMint-NL_2015-12-22-eerstekamer-3.u74	... but more in big projects. Perhaps you can go into that, especially because you attach such importance to sustainability.
ParlaMint-NL_2015-12-22-eerstekamer-3.u75	I see that Mrs Meijer and I have an agreement and that is impatience. I have just begun my speech and I ask her to be patient. I can serve her very well, although it won't be entirely to her own liking. In general, the legislator is always a few steps behind innovation and the speed of society, science, entrepreneurship and their innovative capacity are often significantly higher than the legislator can keep up. This is certainly true of the energy transition, where traditional institutions and patterns have to make more and more room for unconventional businesses and networks in order to develop a wide range of services for consumers and to contribute to the objectives of the energy transition. Ten years ago, the prospect seemed unthinkable that we would be self-sufficient at home with the solar collectors on our roof and would be part of a local network or speaking for myself that I would drive a hybrid car myself. It also seemed unthinkable on a larger scale that the supply business of energy would be no more than a trading firm with smart ICTs and would have to compete on efficiency, service, sustainability and price. Ten years ago, the customer was still a connection, whether a complainant, should now be thought and acted on the comfort of the customer, which has become critical of the new options and the growing sense of sustainability. In short, new developments must also be facilitated in regulation and not limited. The notion that we do not know the technique of ten years from now also requires space and courage to give it a chance. But that does require a clear frame of the playing field, such as resetting game rules and delimiting players' roles in the transition process. Since the introduction of the Independent Network Management Act, the boundaries of the rules laid down therein, such as the group ban, have been explored and a grey area has developed around the so-called "free domain." It is therefore appropriate to refresh them again in the proposal before us and, above all, to clarify the 'o' of the Won, its independence. As I said, this should not lead, in a transitional phase, to the abrupt end of successful, innovative initiatives, which have not yet been fully proven. There must be a limit to this, by the way. The abrupt ending is also an unwise thought. However, the struggle for the so-called "free domain" is a difficult one to settle when innovation and sustainability are at the forefront. There's always a tension on that. The free market is reluctant when it requires investments and costs that are not clear whether they will ever be recovered. Network companies say they're doing it from the point of view of their social function. The financing of this is done with social money, money from the customers. Network companies are not only public enterprises, but should also keep their tariffs as low as possible for the benefit of non-free customers. Does the Minister, with the experimental space, think that tension should be removed? How does he intend to encourage market players to take over that role of network companies? An important part of the legislative proposal is the organisation of offshore wind energy infrastructure. In the examination of Law 34058, the wind energy at sea Act, several groups referred to the treatment of the Law STROOM under the assumption that it would make a basic choice for wind energy at sea. In the meantime, it has become clear that this decision-making process has gradually taken shape and is taking its final form through the spatial track in the National Water Plan. Is it true that we have passed the stage "or" long and wide, that in the law STROOM we determine the "how" further and that then only the question "what" lies ahead? The questions we had were answered in detail and to our satisfaction. This would allow me to end the VVD contribution to this debate. It is clear that, in the light of a few clarifying questions, my group is in favour of the proposal.
ParlaMint-NL_2015-12-22-eerstekamer-3.u76	I had an interruption debate with Mrs Huijbregts during the debate on wind at sea on how much the VVD is a fan of all those windmills. I think she has asked the Minister whether this is a final choice for windmills. In the meantime, we're six months away. TenneT has now explored the bottom of the Westerschelde to lay down cables. Perhaps we should come to the conclusion that the windmills are going to be there and that this policy is VVD policy. The windmills which, according to her captain, are operating on a subsidy are all over the country and will soon be off the coast. The VVD is the great initiator of that. How does this ever relate to the original deployment of the VVD?
ParlaMint-NL_2015-12-22-eerstekamer-3.u77	I have no idea what Mr Dercksen is talking about.
ParlaMint-NL_2015-12-22-eerstekamer-3.u78	Mr Dercksen, you can make another attempt.
ParlaMint-NL_2015-12-22-eerstekamer-3.u79	That might explain a lot, too.
ParlaMint-NL_2015-12-22-eerstekamer-3.u80	About you or me, we'll leave that in the middle.
ParlaMint-NL_2015-12-22-eerstekamer-3.u81	Let's do that.
ParlaMint-NL_2015-12-22-eerstekamer-3.u82	It's the end of the year, so...
ParlaMint-NL_2015-12-22-eerstekamer-3.u83	Let me keep it simple. The Prime Minister once said that windmills run on subsidies and not on wind. That's step one. The next step...
ParlaMint-NL_2015-12-22-eerstekamer-3.u84	I'm glad you're helping me.
ParlaMint-NL_2015-12-22-eerstekamer-3.u85	I'd like to go through the chairman.
ParlaMint-NL_2015-12-22-eerstekamer-3.u86	Sorry, Mr. Chairman, I'm glad Mr. Dercksen is helping me.
ParlaMint-NL_2015-12-22-eerstekamer-3.u87	Let's do it with numbers. At the wind energy at sea we have reserved 12 to 18 billion for subsidies for wind at sea. For the Gemini Windpark and a windmill park elsewhere at sea 4.5 billion is available and further 15 billion for wind on land. All this is about 40 billion grants, all initiated by this cabinet and carried out by a cabinet in which a VVD minister plays an important role. Are you prepared to establish that the VVD is actually the greatest friend of all windmills on land and in the sea?
ParlaMint-NL_2015-12-22-eerstekamer-3.u88	That's a very suggestive question I can't say yes to or no to. I do think it is important to know where we stand in the decision-making process on wind at sea and the installation of windmills in the sea. That is also the question I asked the Minister.
ParlaMint-NL_2015-12-22-eerstekamer-3.u89	A very short afterburner, Mr Dercksen.
ParlaMint-NL_2015-12-22-eerstekamer-3.u90	I never get answers in this house.
ParlaMint-NL_2015-12-22-eerstekamer-3.u91	Maybe you're asking the wrong questions?
ParlaMint-NL_2015-12-22-eerstekamer-3.u92	I've been hired to ask you the wrong questions. That's what I'm happy to do. You are not responding to the fact that the VVD is the windmill party of this country. You'll be proud to drive through this country and see those windmills everywhere. You do not answer, but there is no other way of saying that the VVD is implementing this policy and making it possible.
ParlaMint-NL_2015-12-22-eerstekamer-3.u93	Mr Dercksen's question does not call for an answer. He's noticing something.
ParlaMint-NL_2015-12-22-eerstekamer-3.u94	I've been waiting very patiently now, but...
ParlaMint-NL_2015-12-22-eerstekamer-3.u95	That's very handsome! We're not here yet.
ParlaMint-NL_2015-12-22-eerstekamer-3.u96	You're not here yet? I have another question in relation to your ruling on the "o" from the Independent Network Management Act. In my view, the things we want to deal with are already settled. The company must have been split on paper. You can't just use yourself to go on the commercial paw adventures. It's about that kind of thing. What kind of problem do you think you're gonna solve by going through with that split?
ParlaMint-NL_2015-12-22-eerstekamer-3.u97	It is a question of maintaining the independence of network management.
ParlaMint-NL_2015-12-22-eerstekamer-3.u98	Isn't that why we have the ACM?
ParlaMint-NL_2015-12-22-eerstekamer-3.u99	It must uphold a law, Mrs Meijer! So it has to be regulated by the law.
ParlaMint-NL_2015-12-22-eerstekamer-3.u100	Finally, Mrs. Meijer?
ParlaMint-NL_2015-12-22-eerstekamer-3.u101	But haven't we already settled that through other rules and laws? It is forbidden to engage in commercial adventures with your nets as collateral. It's all taken care of. There are two separate accounts. You can't just bet one thing for another. My question remains: what problem do you intend to solve? The enforcement by the ACM is of course something completely different.
ParlaMint-NL_2015-12-22-eerstekamer-3.u102	Maybe we should take another look at it together. In my opinion, that independence is there and those rules are all laid down in the Independent Network Management Act. Then I will come to what Mrs Meijer means. With some surprise my group has noted that the written preparation of this proposal turned out to lead to a plenary discussion of a bill completely different from this Electricity and Gas Act, namely the proposal to repeal the Independent Network Management Act or the group ban. I'd like to think about that. In the opinion of the VVD, this law, which was adopted in the Upper Chamber in 2006 with only the vote against the SP, i.e. by an overwhelming majority, is not under discussion. In fact, this bill, as part of the transition agenda, is based on existing legislation, including the Independent Network Management Act. An independent system operator, as it is now called, is, in the opinion of the VVD, even the prerequisite for renewal. This can provide a fair opportunity for newcomers and achieve the objectives of the energy agreement and the energy transition. This law has laid the foundations for efficient, reliable and sustainable energy supply at the lowest possible cost in the last decade. The objective was thus set in 2005. The ultimate goal was to allow the different companies to operate on a market basis through this system choice, thereby reducing the costs for the customer and becoming more customer-oriented. Research had shown that traditional companies had too much fat on their bones, which mainly manifested itself in staff functions and indirect functions. Energy companies that split their business activities into independent parts, the so-called first movers, reduced their costs, especially for staff, to some half. The focus was not on splitting up, but on streamlining and making the various business processes transparent and efficient. The aim was to reduce costs and lower rates. This cost a lot of jobs for a number of companies. That made sense. With the profits of the network companies, the loss-making business lines were financed. As a result of the disappearance of this funding flow, a number of activities were no longer profitable and had to be radically reorganised or divested. A number of companies have resisted the Act's independent network management for their magical reasons. These companies are not split. Following the judgment of the Supreme Court on 26 June, Eneco and Delta only have recourse to Article 1 of the first ECHR protocol. However, the introduction of such an appeal does not have suspensive effect, so that they will have to comply with the provisions of the Independent Network Management Act. The combination in time of this ruling, the judgment of the ACM and the handling of the bill Modification Electricity and Gas Act in the House of Representatives, was purely a coincidence. As a result, however, the substantive and political debate on this bill has focused on the legality of the Won. Since an amendment to that effect was rejected by the House of Representatives, all eyes have been on this Chamber. This is evident from all the e-mails we received. However, expectations are based on incomplete and incorrect information. It's expectations the First Chamber can't live up to. We need to be clear about that. In this context, I should like to say a few words about the motion that has been tabled. I must say in advance that it gives me a feeling that a motion of this kind has already been tabled at the beginning of the debate. It is a good practice in this Chamber to open the debate together. The basis of the debate is that we are open to each other's beliefs. We're trying to convince each other with arguments. Above all, we must be open to the arguments of others. This does not make sense in this debate, according to this motion, because the signatories have already given their opinion before the debate. The explanation given by Mrs Meijer, who said at the time of the presentation that this is a majority which is no longer open to discussion, is in my view killing the debate.
ParlaMint-NL_2015-12-22-eerstekamer-3.u103	Could it have anything to do with the fact that the Minister has put the necessary pressure on some of the parties who may be mixed up in this debate? Perhaps it is not for nothing that the motion has already been tabled in the first term. Could that have something to do with it?
ParlaMint-NL_2015-12-22-eerstekamer-3.u104	I have no idea. Mr Dercksen is asking for something I have no knowledge of. He's asking what the minister might think. I know him well, but I can't look into his head.
ParlaMint-NL_2015-12-22-eerstekamer-3.u105	I can't look into his head either, but I do listen to what is said in the corridors and who gets calls on all kinds of nights and afternoons. I conclude that the motion is not intended to kill the debate, but that there are good reasons for submitting it in the first term. I believe that the necessary pressure has been exerted by the Minister. My name is not above the motion but below it, but I am happy to bring it forward.
ParlaMint-NL_2015-12-22-eerstekamer-3.u106	It may have to do with the time I have already spent in the Chamber, but it is a novelty that a motion is tabled in this way, with an explanatory statement stating political considerations as a fact. I also see the motion for a novelle as a novel. In fact, it is a question of withdrawing a group ban, which is a provision of a law that is not now before us. I see Mrs. Meijer shaking her head, but I can't interpret it any other way. In the second term, we will discuss this further. This would, as it were, reverse the judgment of the Supreme Court last June.
ParlaMint-NL_2015-12-22-eerstekamer-3.u107	I'm arguing that it's about a law that doesn't exist. The law we are discussing now includes Article 4.6, which re-transmits the group ban into legislation. By means of the motion, we are asking the Minister if he does not want to introduce that article.
ParlaMint-NL_2015-12-22-eerstekamer-3.u108	And I'll tell you what the motion comes down to.
ParlaMint-NL_2015-12-22-eerstekamer-3.u109	Mr. Dercksen, briefly. I ask you not to repeat your question constantly in second and third instance.
ParlaMint-NL_2015-12-22-eerstekamer-3.u110	I will briefly put my question. Where did Mrs Huijbregts read that a novelle was requested in the motion?
ParlaMint-NL_2015-12-22-eerstekamer-3.u111	I haven't had time to read the motion yet. I am referring to the explanations given by Mrs Meijer and Mr Flierman.
ParlaMint-NL_2015-12-22-eerstekamer-3.u112	Mrs. Huijbregts is upset about a motion she hasn't read yet. And then she says we're premature.
ParlaMint-NL_2015-12-22-eerstekamer-3.u113	Listen, if you're okay...
ParlaMint-NL_2015-12-22-eerstekamer-3.u114	Ho-ho, we don't speak mixed up and only through the chairman. If it goes like this, we're gonna have chaos, and I don't want that. Mrs Huijbregts will have the opportunity to reply. I call Mr Flierman.
ParlaMint-NL_2015-12-22-eerstekamer-3.u115	If a provision is asked to be removed from the law, it can only be done through a novelle.
ParlaMint-NL_2015-12-22-eerstekamer-3.u116	In my speech, I outlined two ways of achieving my goal. The first road is via a novelle. In the last few weeks, however, we have found in this House that the initiative should be taken by the Minister. So that's not in the motion. The other way is to eliminate a number of provisions, on the basis of one of the final provisions of the law, Article 12 36. That's what the motion calls for. There's no demand for a novelle. The motion calls on the Minister to do something. To my best knowledge, it's allowed in this house.
ParlaMint-NL_2015-12-22-eerstekamer-3.u117	De facto, that is the same thing: the repeal of a number of provisions contained in another law. May I continue?
ParlaMint-NL_2015-12-22-eerstekamer-3.u118	Yes, but do you think about the time?
ParlaMint-NL_2015-12-22-eerstekamer-3.u119	But I do get interrupted a lot.
ParlaMint-NL_2015-12-22-eerstekamer-3.u120	Yeah, but then I'm gonna stop timekeeping.
ParlaMint-NL_2015-12-22-eerstekamer-3.u121	Really? I'm almost done. I told you, we can't live up to expectations if we take our work seriously. That even the shareholders of Eneco speak of the present bill as the new Splitting Act, gives thought. In summary, this bill does not alter the functioning of the Independent Network Management Act. The group ban remains intact, and my group supports it. In fact, the bill finds its basis in the Won. I cannot help saying to Mrs Vos that I fully agree with her that laws need to be amended on good grounds. I would ask whether she would like to respond to my question later on as to whether she considers this motion to be a good basis for amending a law.
ParlaMint-NL_2015-12-22-eerstekamer-3.u122	I will deal with this in my speech in a moment, because it is, of course, a key issue in this debate. I have a question for Mrs Huijbregts. In my opinion, the Won mainly determines how the split is to be arranged. In fact, it's a law of execution. However, Mrs Huijbregts is now saying that the Won will continue to exist anyway.
ParlaMint-NL_2015-12-22-eerstekamer-3.u123	The division law remains in place.
ParlaMint-NL_2015-12-22-eerstekamer-3.u124	However, if the group ban, which is now regulated by this Law STROOM and by the current Electricity Act, is temporarily suspended or whatever, it also affects the division law. In fact, it simply implements what is regulated by the Electricity Act. What is written in the Law STROOM or in the Electricity Act will still be leading.
ParlaMint-NL_2015-12-22-eerstekamer-3.u125	Sure. However, as an important part of other legislation, Mrs Vos wants to delete a provision from that other legislation.
ParlaMint-NL_2015-12-22-eerstekamer-3.u126	I'll get right on it. However, the main issue at issue is Article 4.6 (6), which regulates the prohibition of groups. I think we can talk about this very well in this debate.
ParlaMint-NL_2015-12-22-eerstekamer-3.u127	We are. That does not mean, however, that we share each other's views on this issue.
ParlaMint-NL_2015-12-22-eerstekamer-3.u128	I'd just like to clarify something. Mrs Huijbregts says that we want to delete a provision. However, that is not the case. We say that we do not yet allow that provision to enter into force. That's something completely different from a novelle. That must be clear and clear.
ParlaMint-NL_2015-12-22-eerstekamer-3.u129	Yeah, that's clear. But the group ban exists. Period. It's working.
ParlaMint-NL_2015-12-22-eerstekamer-3.u130	Mrs. Jorritsma, you have to be quiet. Mrs Meijer, you will have the floor one more time.
ParlaMint-NL_2015-12-22-eerstekamer-3.u131	The group ban is in the Electricity Act and the Gas Act. These two laws are now merged into the Law STROOM. In this Chamber we can therefore say that we will not allow this provision to enter into force for the time being.
ParlaMint-NL_2015-12-22-eerstekamer-3.u132	It's working. It's in the Gas Act and the Electricity Act. It's working. It worked, too. It works, too.
ParlaMint-NL_2015-12-22-eerstekamer-3.u133	Mrs. Meijer, I think you should do it with that. Come back to it in the second term. Mr Flierman, you will have the floor very briefly.
ParlaMint-NL_2015-12-22-eerstekamer-3.u134	I'm just gonna take over the stick. It is true that the current Electricity and Gas Act contains a group ban that will enter into force. The only point is that those old two laws will be repealed if the new law enters into force. If you withdraw those two old laws and don't let the group ban in the new law enter into force, you have the situation we're discussing right now.
ParlaMint-NL_2015-12-22-eerstekamer-3.u135	There is a link between a large number of legal provisions and laws. They regulate the independence of the infrastructure of our energy supply and they are closely linked. It concerns the Independent Network Management Act, the so-called division law and the group ban. The group ban is a means of ensuring the independence of the network. Apparently, we don't agree on this. In any event, the operation of the group ban is an important condition for the VVD to maintain the objectives to be achieved in this law and in the energy transition.
