ParlaMint-NL_2015-09-17-tweedekamer-6.u1	I give the floor to the Prime Minister so that he can continue his first-term response.
ParlaMint-NL_2015-09-17-tweedekamer-6.u183	Bredero once said "it may be". Keeping VAT low was in VVD election programmes for years.
ParlaMint-NL_2015-09-17-tweedekamer-6.u184	Yes. That's why I'm so surprised.
ParlaMint-NL_2015-09-17-tweedekamer-6.u185	Diederik Samsom hung in 2012 in all bus booths of the Netherlands with the message that he wanted to keep VAT low. Put them together in a loft and they do the opposite! It's possible. It is nice that you take a few things out of our counter-budget, but it would be as fair as you would have assessed that budget as a whole. You say that there is a measure that would cost jobs, but the opposite is true for the whole of it, because lowering VAT will create a lot of jobs again. If you already partly convert the landlord's tax into an investment obligation, that will generate 20,000 jobs. If you reverse home care cuts, it'll give you 20,000 jobs. Our investments in healthcare, justice and education create thousands of jobs. A little honesty, Prime Minister, please. Just be honest for once.
ParlaMint-NL_2015-09-17-tweedekamer-6.u186	But it's not free. Mr Roemer does not have to run away from that.
ParlaMint-NL_2015-09-17-tweedekamer-6.u187	Nothing's free! That's why we put it through.
ParlaMint-NL_2015-09-17-tweedekamer-6.u188	Mr. Roemer!
ParlaMint-NL_2015-09-17-tweedekamer-6.u189	Yes, Mr. Chairman.
ParlaMint-NL_2015-09-17-tweedekamer-6.u190	The Prime Minister is speaking now. You just had the floor. Now the Prime Minister is speaking.
ParlaMint-NL_2015-09-17-tweedekamer-6.u191	I think it is perfectly understandable, given his political position, that Mr Roemer is doing so, but I would like to say to him that he must acknowledge that it is at the expense of more taxes and a deteriorating balance. He invests extra in the public sector and that has to be paid for. He does so by increasing the burden and by reducing the funding gap. This is a choice that the cabinet does not make, because we believe that it is important for a further recovery of the economy that the burden should be low and that public finances should also remain sound. However, the government also increases the SP and the cabinet agree on the expenditure on care, social security and education, albeit to a lesser extent than the SP does. If we were to do so to the extent that the SP chooses to do so, we believe that this would be too much at the expense of the tax burden and the balance.
ParlaMint-NL_2015-09-17-tweedekamer-6.u192	The balance is minimal, I believe as much as in other counter-budgets. So it's nice that the Prime Minister gets us out, but most of all, he's got to do it himself. If you're talking about a fair distribution, that's right. Certain parties who are now in the cabinet have always called for a fair distribution. We keep our word. We'll have it processed. We've got plans. People who make a lot of money can finally make a serious contribution to maintaining our facilities. Banks that have been saved for billions and are now making substantial profits can now also contribute to society. They've always asked us to do that. Be honest and tell me where it comes from! The Prime Minister may disagree with us. I would rather take that as a compliment, because we do choose fair burdens, fair distribution; we ensure that the people who get nothing under the line get better with us, because if the acid has been the hardest hit there for years, it is time that the sweet gets there.
ParlaMint-NL_2015-09-17-tweedekamer-6.u193	Except it doesn't get any better just because you keep adding the word "fair." It's just a relative understanding of whether you think something's fair. The SP all makes very recognizable choices here that I recognize from the tradition of the party. I don't know why Mr. Roemer is so agitated. I sincerely believe that he is putting down a counter-budget here that I recognise, once again, except for the VAT measure. Then I'll get to GroenLinks. We have also gradually discussed a number of aspects of this. There is a substantial increase in expenditure and an increase in the burden. This in itself has only a marginal effect on the balance itself, because higher expenditure is also subject to higher burdens. In addition, a climate budget has been tabled, for which compliments. Not for all the measures it contains, but for the fact that it is there. There are many measures to further reduce CO emissions, including the increase in the energy tax we have just talked about and, above all, the non-clearance of the coal tax. I may make things complicated again, but that would be contrary to the energy agreement. I also find this budget very recognizable, and I look forward to further discussions on it, including in the General Financial Reviews. Then we can see if GroenLinks can join and join in a broader deal about the 5 billion.
ParlaMint-NL_2015-09-17-tweedekamer-6.u194	We also look forward to the General Financial Reviews, but we have not tabled the climate budget in order to reduce 5 billion burdens or to get the budget in order. The question is whether we can reduce CO emissions by 25% between 2016 and 2020. In other words, can we comply with the climate statement? Now the question to the Prime Minister is whether he has seen something that he had not thought about before and which he is now thinking about between all the measures that are in it and which are fortunately recognizable GroenLinks: we can start with that in 2016.
ParlaMint-NL_2015-09-17-tweedekamer-6.u195	It's not all of a sudden new proposals. I don't blame GroenLinks for that. We've all been doing it for so many years that we know about all the buttons. I also see GroenLinks turning on the well-known buttons, which I fully understand from GroenLinks. There aren't all of a sudden new things about.................................................................................................................................................................
ParlaMint-NL_2015-09-17-tweedekamer-6.u196	Thanks for the explanation, but I asked for something else. I asked if the Prime Minister might have had any other thoughts. The cabinet does not take any additional action in 2016 to reduce CO emissions and to comply with the judge's ruling. My question is whether we have perhaps made another suggestion that the Prime Minister says: at least we are going to take a closer look at this measure; perhaps what we could do with it in 2016. After all, we have to get that climate statement eventually. We need to reduce CO emissions by 25% by 2020. Wasn't there anything between the Prime Minister at least to think about?
ParlaMint-NL_2015-09-17-tweedekamer-6.u197	I do not want to be faint and it is not at all a reproach to GroenLinks, but there are not very new things in it all of a sudden. There are all things that we know from the GroenLinks circle, which also makes perfect sense. In any case, that party has been very consistent in recent years. There is a first disc with 20% of the gas consumption of 1,500 m. I think that comes directly from the GroenLinks election programme; I have seen this before. Furthermore, I do not mention the abolition of coal tax and the tax deduction for private individuals who invest in the sustainability of their homes. There are all things that are very recognizable, but I want to avoid saying here now that we are going to do so and so. We must try to achieve something with each other in the near future. The cabinet has an opinion on this and has put forward a proposal. For us, the employment effects are leading. We will see if we can insert the different ambitions towards the AMvB.
ParlaMint-NL_2015-09-17-tweedekamer-6.u198	The Prime Minister is taking up our counter-budget. We have produced two products for a reason, namely a climate budget. We do not count in billions, but in megatons of CO to ensure that we reduce CO emissions. This cabinet has indicated that it will not do anything extra in 2016, which is actually necessary in order to achieve the ambition of reducing CO emissions by 25% by 2020. So my question is not related to the tax system or to 5 billion relief. Is the Prime Minister prepared to look at or further examine measures proposed by us to reduce CO emissions? Or are there measures that he says: I am not sure yet, but I would like to discuss them further? That he appreciates it and that it's all recognizable GroenLinks, I don't need to hear from the Prime Minister. Is he willing to do business, to take steps to combat climate change?
ParlaMint-NL_2015-09-17-tweedekamer-6.u199	I'll come back to climate change when I talk about Urgenda. I have, of course, taken note of the proposals made by GroenLinks, which lead to an additional 19 megatons reduction by 2020. Of course, they also have all kinds of other effects, but I have seen these proposals. I'll be happy to go into it when I get to Urgenda. I would also like to say something to Mr Van Vliet. This one-man group has tabled a counter-budget. Expenditure is reduced by nearly 3 billion, the burden is reduced and the EMU balance significantly improves. His party is the only one who improves the EMU balance in relation to government policy. I understand he's not with the PVV anymore. He makes a lot of proposals. Sympathetic I found the reduced VAT rate for sports competitions, fairgrounds and amusement parks. Oh, no, that's not nice, because he's trying to get rid of it. I thought he wanted to lower the VAT rate, but he wants to abolish the reduced VAT rate. Excuse me. Anyway, he's got a lot of proposals. He abolishes tax advantages for environmentally friendly investments by companies: the EIA, the MIA and the Vamil. I do not know if that is very sensible, if you want to achieve the climate objectives in such a way that business still benefits a little. In itself, the budget is recognizable from a more right-wing perspective. Thanks and compliments, not for all the content, but for the fact that the budget is there. The next issue is labour market and social security. It has been asked why the limit for the reduction in contributions for the recruitment of older unemployed has been increased from 50 to 56. This was done in the framework of the 2013 pension agreement. It also fits with the increased employment rate under this age group. It was part of the coverage to reduce the level of pension building as much as was foreseen in the government agreement. Questioned is how we deal with older unemployed people. Every unemployed person, according to the cabinet, is one too many. That certainly applies to the elderly. Everything the cabinet does is aimed at restoring jobs and more jobs. Once again, fortunately, 100,000 jobs have been added in the last five quarters. We are back at the level of working hours prior to the crisis. The policy to increase the AOW age is good for both structural employment and the sustainability of public finances. That is why we do not think it would be appropriate to reduce the retirement age, even if it is a one-off one, as Mr Krol suggested. This is bad for the employment rate and it costs a lot of money.
ParlaMint-NL_2015-09-17-tweedekamer-6.u200	I do not have a very clear idea as to why it would be wise to increase this from 50 to 56 among the older unemployed, especially when it is very necessary there. And I had also asked about the project group to monitor progress on this issue, which was agreed in the Policy Agenda 2020.
ParlaMint-NL_2015-09-17-tweedekamer-6.u201	We have tried to find the project group. It seems to refer to an agreement between partners in the 2010 Labour Foundation. That's where the search stopped. We can't find anything else about it.
ParlaMint-NL_2015-09-17-tweedekamer-6.u202	I'm so afraid the Prime Minister can stop looking. I'm so afraid it was promised, but it didn't happen.
ParlaMint-NL_2015-09-17-tweedekamer-6.u203	The agreement we can find is one of the social partners from 2010. They're social partners. We couldn't find anything else at Social Affairs, and we couldn't find anything at AZ.
ParlaMint-NL_2015-09-17-tweedekamer-6.u204	I would like to see if there is anything we can do about the elderly who are looking for a job. I think that is a vulnerable group in the labour market. D66 has been one of the parties that supported the sector plans until the last time, as one of the few. I'm not going as far as other people said, namely, money is looking for plans. I don't see it that way, but now that the crisis is almost over, there's still about 150 million left. In May, when the last tranche was deployed, there was only one application. I'd like to see if the cabinet is willing to use that remaining part to help the 50-, 55-pluser a little easier to get a job. We could take that further with regard to the social affairs budget, but I would at least like to get a little green light for that.
ParlaMint-NL_2015-09-17-tweedekamer-6.u205	First, I have to make a point. Mr Buma also looked at these job plans yesterday. That's one-time money. Mr Buma had that in mind yesterday as a cover for security and justice problems. It's hard with one-time money. With Mr Pechtold it might be possible with one-off money, but it is not the case that the amounts mentioned are correct. There is currently a third instalment of 32 plans. They have been submitted and are now being assessed. We'll know what's left in November. Then the Minister for Social Affairs will report to the House of Representatives. It is therefore a matter of occasional means. That is perhaps the time to include Mr Pechtold's suggestion and see what we can do specifically for the elderly. That's actually in the tradition of those plans. But we have a real view of that expendable space in November.
ParlaMint-NL_2015-09-17-tweedekamer-6.u206	That's right, it's a one-time thing. November sounds a little far. I would like to see whether we can get an overview of what plans have now been requested, after a proper assessment of the third tranche. If there is any money left, I would at least like the government to give me the green light to stimulate something like the action plan 50-plus with that money. Once again, we supported that, but that money was a little behind the crisis. I believe that this should be spent as quickly as possible on the employment goal, especially for the vulnerable 50-plussers who are unemployed. Can we get that overview a little faster and get a closer look at space in particular? Can we, more or less, get a commitment that this target group will be considered as a priority?
ParlaMint-NL_2015-09-17-tweedekamer-6.u207	Let's do it like this. We cannot judge those 32 plans overnight, but perhaps we can get a bit together. It has to be done. At the same time, what is left of space becomes visible. We have understood very well the ambition of D66. This in itself also fits in with the approach of the sectoral plans, which aim to preserve and restore employment. So let's see how far we get over the next few weeks, but I am not going to say that we know exactly how much money is left by November, because the assessment of these 32 plans really needs a little time.
ParlaMint-NL_2015-09-17-tweedekamer-6.u208	One of the obstacles in the labour market is the second year of pay-as-you-go payments, particularly for small entrepreneurs. There is now a broad picture that has to be changed, that can no longer be done in the second year, but the cabinet still gives the impression that it is thinking. Is the Prime Minister prepared to say that there is a proposal from the Cabinet for the budgetary treatment of Social Affairs on how to deal with this further?
ParlaMint-NL_2015-09-17-tweedekamer-6.u209	The fact is that it also has hooks and eyes if you shorten the period of pay-through in case of illness. Of course, it is not the case that the cost of the second year of illness is gone. They're staying. In addition, of course, there are incentives in the current system that work. So you have to look at it in its entirety. Also, you have to see who's gonna take the fall for it. It also affects the insurance market. What we are looking at now is whether we can find solutions to reduce the bottlenecks experienced by smaller employers in a wage transfer obligation in a way that is responsible and acceptable. Motions have been tabled by VVD and Labour Party on reintegration second track. Employers should now first try to provide adapted work in their own company in the event of illness and then that is the second track outside. This is particularly difficult for small SMEs. Let's see if we can do that more effectively. We're working on all that stuff. I understand that Mr Buma is asking for an update to be sent quickly. That's what we're gonna do.
ParlaMint-NL_2015-09-17-tweedekamer-6.u210	But then a proposal, I said. It cannot be the case that the Minister for Social Affairs does not even come up with a solution to this problem during this whole cabinet period. The fact that it's difficult isn't the only problem. We've had more than that today. But a cabinet is there to solve difficult problems and not to transfer them to another cabinet. I would therefore ask you to come up with solutions for the budgetary treatment of Social Affairs.
ParlaMint-NL_2015-09-17-tweedekamer-6.u211	Or at least an analysis. I have just outlined that the abolition of the wage transfer obligation in the second year also has a number of practical consequences which we also have to look at. I think it is good to carry out at least the low-hanging fruit of that VVD/PvdA motion on the second track. We can do that soon.
ParlaMint-NL_2015-09-17-tweedekamer-6.u212	And do we finally get that inter-departmental policy research on SZW's budget before we discuss it? We've been waiting a long time for that. Everyone in this room thought this would come with Prince's Day, but it didn't come again. So I would also like that for the budgetary treatment of Social Affairs with the opinion of the cabinet.
ParlaMint-NL_2015-09-17-tweedekamer-6.u213	Affirmative!
ParlaMint-NL_2015-09-17-tweedekamer-6.u214	I just heard the Prime Minister say that our proposal for this one-off reduction in the AOW age would be too expensive. I would be very grateful if the Prime Minister could pass that on, because it also has a lot of advantages. As long as unemployment remains so high, isn't every job that comes with it very much taken? Maybe the Prime Minister not only wants to say that it's too expensive but that it's too expensive to pass it on.
ParlaMint-NL_2015-09-17-tweedekamer-6.u215	Then I'll come back to an answer I gave earlier today. To make a pass-through, we need to see the beginning of a lead. Otherwise we will become more of a scientific agency; we are a government. I really don't see any leads here. I would therefore ask Mr Krol to see if he can find another place for such a transfer. If we really do not find a basis in this in any way, I find that too much occupational therapy for the coalition.
ParlaMint-NL_2015-09-17-tweedekamer-6.u216	Maybe that's an agenda item for that meeting we're about to plan.
ParlaMint-NL_2015-09-17-tweedekamer-6.u217	The point was that there will not be one because Mr Buma does not want it. We're all gonna do it in public. Now Mr. Buma is waking up again. It was a question of whether a meeting was planned around the Tax Plan, I say to Mr Buma. It's planned, and it's called the General Financial Reviews. Then I come to the fact that yesterday the coalition parties also gave consideration to the labour market and suggested measures in the area of that labour market. Those are part of the proposals that I do appreciate were placed a little further away and maybe even over 2017. What I liked was that, although the comments in the media outlined the picture that parties were very far apart, I also heard a lot of things that converged. It is true, of course, that these two parties have very different views on a lot of things. Let me look at the objectives I have heard. We must ensure that sectors, businesses and people adapt to the labour market of the future. That is good for everyone. We need to ensure that people move from work to work more often and can switch from sector to sector. That's what I heard in both speeches. This leads to less uncertainty and less loss of skills. It was also argued that it is important for education to address this and for the labour market to respond to it. The job for life is becoming less and less common. That is a fact. Moreover, I believe that the sectoral plans can still contribute to this. Let's look at what the cabinet has done and is going to do. Reforms in the field of the WW, for example. People with a distance from the labour market offer a real opportunity for that labour market. To prevent job security from taking the form of a false construction; something we agree on. We are also taking action against this by ensuring, at the same time, that contracts of employment become cheaper, because that is also important. Think of the reduction in the burden on labour that we have just talked about in detail. Think of the low income advantage, the LIV, which Mr Samsom would have called the LAV, the allowance of €2,000 to employ someone on low income. These are all reforms that the government is going to implement with the social partners in the coming period. That must also be done carefully. We're not here yet. EUR 300 million will be invested in raising the childcare allowance. In addition, working parents are left with more money thanks to the IACK. We have also talked about this today. Then there is the bill in the First Chamber, which is currently under discussion, on working after the AOW age. This also contributes to these longer-term objectives promoted by both parties. I would like to draw your attention to the working agenda for the future of the pension system on which this cabinet intends to make far-reaching proposals. I would also like to draw attention to the opinion which will soon be published on the TAW, on the whole system of employee insurance and on the importance of employee insurance also supporting the middle groups. That is of great importance. These are all things that I note, when I listen to Mr Zijlstra and Mr Samson's speeches, that there are divergent elements in them that are a little further forward in the future, but I also heard a lot of convergence, which is also in line with the agenda of this cabinet and the way in which we want to achieve a number of objectives in the labour market. A few more things on this point, starting with the quota. The CDA is clearly not a big fan of that. It doesn't really want a quota for disabled people. Anyway, we've made agreements on creating jobs for this target group. The first measurement of Social Affairs in this area is optimistic. It is also a stick behind the door and is part of the agreements with employers and employees. Mr Buma had a thought about the use of wage subsidies instead of wage subsidies. On this point, as we know, agreements have been made in the social agreement, which is also enshrined in legislation. There is also a Van Weyenberg/Heerma motion. As a result, research is being carried out into the effectiveness of labour cost subsidies and wage dispensation. We will certainly continue this debate. The necessary debate has already taken place in the area of chain determination. It is now being considered whether the tightening of the chain determination can be evaluated rapidly. There have been commitments on this. We have just talked about the payment of wages in the event of illness, and we have just agreed on the IBO-zzp that the response will come as soon as possible, at least well before dealing with the Social Affairs budget. I think I have answered all the questions relating to the labour market.
ParlaMint-NL_2015-09-17-tweedekamer-6.u218	Not all proposals went over after 2017. There's still a lot of work to be done. I make two points, of which I am not quite sure whether the Prime Minister has made a commitment on this, because he went through it quickly. I have asked whether the cabinet - I think this concerns the Minister for Social Affairs and Employment - can investigate the advantages that the so-called Swedish model can offer us, namely the possibilities to combine leave with work even better. Work is important, but there are sometimes even more important things. Another question is whether the possibilities created in the social agreement for "work to work" structures can get a little more hands and feet. This question is also in the area of the Minister for Social Affairs and Employment.
ParlaMint-NL_2015-09-17-tweedekamer-6.u219	The latter will be taken into account in the response to the TAW opinion. On the first question, I can answer that we are already doing so. In the run-up to the meeting on labour and care to be held in 2016, the cabinet asked the ESC for advice on working and living in the future. Then it is also about the combination of work and care. That investigation has been initiated. We expect the ESC opinion at the end of 2015. This will then be offered to the Lower House in the first quarter of 2016, after that meeting on labour and care, with a cabinet response. It will also address the possibilities of sharing leave, saving leave, insuring leave and so on. In short, all elements of the Swedish model.
ParlaMint-NL_2015-09-17-tweedekamer-6.u220	That's good, because there have been opinions recently that the cabinet chews on a little longer than average. This will go smoothly to the Chamber in the first quarter of 2016.
ParlaMint-NL_2015-09-17-tweedekamer-6.u221	We're gonna do our best.
ParlaMint-NL_2015-09-17-tweedekamer-6.u222	We've had the whole block by now. At the end of it, I was wondering where the Prime Minister's self-reflection was with regard to his job engine. He's been Prime Minister for five years now. In the meantime, unemployment has risen by hundreds of thousands. He is now having a nice talk about reducing labour costs, which the whole Chamber is for, I think. That would create jobs. But when we look at 2016 we see that unemployment is barely falling. He makes beautiful decoration with constantly putting "work, work, work" first. He's been Prime Minister for five years now, of which three years from this cabinet, but we're not making any progress. How does he even point that out?
ParlaMint-NL_2015-09-17-tweedekamer-6.u223	In the last five quarters, 100,000 jobs have been created. At the same time, you can see that this means that more people, who were more reluctant to do so, are reporting to the labour market. We've seen that before today. As a result, unemployment is falling net by less than 100,000. Moreover, the peak of unemployment has fallen from 700,000 to 600,000. Of course, that's not the 100,000 out of the last five quarters. It's even further down. The cabinet is taking a whole series of measures to further stimulate the decline in unemployment. We are looking in particular at long-term unemployment. We know that long-term unemployment always recovers slower than other unemployment. That always goes a little slower than the recovery of the economy. That's what we expect this time. This has always been the case in previous crises. We believe that long-term unemployment is too high, even though it is one of the lowest in Europe, as well as our general unemployment and youth unemployment are among the lowest in Europe. However, our ambitions go beyond the lowest in Europe. We simply want unemployment to fall in absolute terms. So what do we do? I refer to the new WW that has been arranged that you will not be cut off immediately if you earn extra money. I would like to refer to the measure I have just discussed with Mr Krol about subsidies for companies employing someone over 56 who comes out of a benefit. These are all measures to give extra emphasis to the fight against unemployment among the elderly and long-term unemployment. The most important will be the recovery of employment as a result of the recovery of the economy. With an economic growth of 2.4% if I may believe the Rabo, we are still on course.
ParlaMint-NL_2015-09-17-tweedekamer-6.u224	As I have just said, it is still very important to this Prime Minister that he throws forward images that he cannot deliver at all. We just had all that lie from the king. We are now talking about the job engine and measures that would significantly improve employment. However, the number of people looking for work is barely falling. The number of jobs that have recently been removed in various sectors is dramatic. Sixty-five thousand jobs have been removed in healthcare alone. You can tell the Netherlands with a very long, woolly argument that 'work, work, work' is the theme of the cabinet, but the whole of the Netherlands sees that 'unemployment, unemployment, unemployment' is the effect of that policy.
ParlaMint-NL_2015-09-17-tweedekamer-6.u225	Again, we see that the economy currently has as many working hours as before the crisis. We're back to the level of 2008. We can see that in the last five quarters we have received 100,000 jobs. We see that overall unemployment has fallen from 700,000 to 600,000. We are aware that our unemployment is among the lowest in Europe, both youth unemployment and long-term unemployment and general unemployment. Then why is the cabinet dissatisfied and does it say that it is good that the economy is recovering, but that it wants more in the field of the labour market? We say that because we ultimately want to return to the pre-crisis levels. We're not there yet, and we're working really hard on that. Mr Roemer is now making a bit of a caricature of the figures. That is allowed to him, because in the debate we can enlarge things, but I would like to stick to the facts.
ParlaMint-NL_2015-09-17-tweedekamer-6.u226	If you don't have any more arguments, you just say that the other one makes a caricature of something. The Prime Minister can do that. However, when he started the beautiful profession of Prime Minister, he convinced the Netherlands that he and the VVD would come up with a job machine. I note that this job machine has only been in decline for the past five years.
ParlaMint-NL_2015-09-17-tweedekamer-6.u227	We don't live on an island. We have had one of the biggest crises in the world. It broke out in 2008/2009 and was perhaps the biggest economic crisis after the war. This crisis has had a huge impact on public finances, but above all on employment. It's terrible when people lose their jobs. A cabinet in an open economy that is focused on exports, such as the Netherlands, must then take measures to ensure that business can recover and that entrepreneurship pays off again. We all did. We have put public finances in order and we have made our important long-term provisions sustainable. Let me give you an example: the sustainability deficit. We can pay our social security and health care in the longer term. When we started this cabinet, we stood at minus 4.5%, now we stand at plus 0.5%. Our pensions, AOW, social security and health care facilities are therefore sustainable. Unemployment is falling. But we want more, we are not satisfied. However, saying that we want more and that we are not satisfied does not mean that much is not happening and that we would not want to achieve any more with additional measures. I'm joining the Ministry of Security and Justice's budget. Maybe it's okay if I take it apart. I will deal with the reorganisation of the police, the prosecutor's office and the justice system. Then I will deal with the various legislative processes and then with the intensifications. This seems wise to me. So I can try to unravel the various contributions that were made yesterday.
ParlaMint-NL_2015-09-17-tweedekamer-6.u228	Mr Pechtold and Mr Roemer, it might be useful if the Prime Minister started answering the questions raised yesterday.
ParlaMint-NL_2015-09-17-tweedekamer-6.u229	I have a point that I would like to raise separately, and that goes from the block of international to the budget of this ministry.
ParlaMint-NL_2015-09-17-tweedekamer-6.u230	Shall we do this at the end, because perhaps it will be discussed?
ParlaMint-NL_2015-09-17-tweedekamer-6.u231	I'm sure this won't be the case. I think it is important that this point should perhaps be raised first when we talk about the rule of law.
ParlaMint-NL_2015-09-17-tweedekamer-6.u232	Then who am I to argue with that?
ParlaMint-NL_2015-09-17-tweedekamer-6.u233	Mr. Chairman. I am still frustrated by the Prime Minister's extended electoral pronunciation that jihadgoers can die better than they can bring to justice here. That is the question that is being asked. As long as such an observation is made in election time, it is still necessary, but in the end the Prime Minister repeated that statement at a press conference and the Minister of Defence did so in this Chamber. With that, it is no longer a theory, but a policy of the entire government. I had it examined and asked questions about it, but I think it is very important to raise it in these general political considerations, because it concerns our rule of law. Did the D.A. put out an APB on this sergeant? Does the Prime Minister also believe that jihad-goers, and certainly those who desert our army, should be persecuted by the special court we set up in Arnhem for that purpose?
ParlaMint-NL_2015-09-17-tweedekamer-6.u234	First of all, I'm gonna talk to you about the breakup, because I'm still totally behind that. That is my view. If you're going to fight for this horrible organization that decapitates people, destabilizes an entire region, we see it regularly on television, and Islam abused for its purposes, then you take the risk of being killed there. I think it's better that you die there than you return. That's what I think, that's an idea. The same goes for the sergeant, because he himself took the risk and, of course, that applies to him in the alternative. Is it cabinet policy with that? No. It is not a policy, it is a view. We do not specifically bomb Dutch people in that region, but this is my view. The cabinet does not have to share this view with me, because it is a personal view. It does not have to be a cabinet policy, because that would be our policy. That's not the point. It's about what I think; that's what RTL's ruling was about. This is what I find and I'm keeping this real. No one's gonna get me off this.
ParlaMint-NL_2015-09-17-tweedekamer-6.u235	I think so, because I think it is unworthy of a Prime Minister and I certainly do not think it is possible for the Minister of Defence to repeat this in the Chamber. A prime minister might find something about the weather, he might find something about the food, but he makes policy when it comes to laws. If someone from our army deserts, then the Prime Minister not only finds something, but everything he says about it is also important for his cabinet at that time. That's why I'm asking the Prime Minister if the Cabinet has instructed the Public Prosecutor to track down this sergeant. Has the Cabinet instructed the Public Prosecutor to track down all jihadgoers at all, bring them to court and bring them to justice here, because we, Prime Minister, are living in a rule of law?
ParlaMint-NL_2015-09-17-tweedekamer-6.u236	All I can report on the sergeant's criminal investigation is that the investigation under the direction of the D.A.'s office is ongoing. Furthermore, there is really nothing else I can say in public. That's really a case of the D.A.'s office, and there's nothing to report. The main point is that, if we know that people are coming forward, the prosecution will investigate it. If it is necessary to proceed to criminal prosecution, it is necessary to do so.
ParlaMint-NL_2015-09-17-tweedekamer-6.u237	The Prime Minister is as sturdy as he is or so tough, if I may say so, to say what he thinks and repeat it, with all the consequences. If weeks after and weeks after the sergeant is already deserted, then there is nothing new to report.
ParlaMint-NL_2015-09-17-tweedekamer-6.u238	Then there's nothing to report in public.
ParlaMint-NL_2015-09-17-tweedekamer-6.u239	I suspect the Prime Minister is in his stomach with this. I would like to know what the state of affairs is now. Is the government policy to bring every deserter to the special court in Arnhem as soon as possible according to the laws we have before it? Is the cabinet trying to bring deserters to justice, yes or no? At least I want that question answered.
ParlaMint-NL_2015-09-17-tweedekamer-6.u240	I just answered that question. I also answered the question about the sergeant. I said that, in the interests of the case, I cannot make any further announcements about it in public. Mr Pechtold has asked me further about my opinion, and I have repeated it here. I had that view, I maintain that view, and I will continue to maintain that view. Our people, our safety and our F-16s bombing there are at risk. People who are so retarded to join those creeps, our soldiers who do that, are totally mastaklap. If you do that, you take that risk and then you better die there than return.
ParlaMint-NL_2015-09-17-tweedekamer-6.u241	I see a certain irritability. That's good for me, because then the Prime Minister is usually in a tight spot.
ParlaMint-NL_2015-09-17-tweedekamer-6.u242	No, I really don't. I'll find this.
ParlaMint-NL_2015-09-17-tweedekamer-6.u243	I am not asking the Minister what he thinks, I am asking him about the policy of this cabinet. It is a question that can be answered in public: is the policy of this cabinet that deserters are persecuted, yes or no?
ParlaMint-NL_2015-09-17-tweedekamer-6.u244	The D.A.'s office, I just said, continues in principle. There's a deserter now. I just reported that the D.A. is prosecuting him and I can't say anything else about the case. Now, in general, I go into the matter of the Dutch going there to fight: it is the line of the public prosecutor that is being prosecuted in principle. That's considered on a case-by-case basis.
ParlaMint-NL_2015-09-17-tweedekamer-6.u245	The latter is a surprise, because then Mr Rutte's opinion is "fuck you" and Mr Rutte's doing: judge them and put them in jail in the Netherlands. And that's where the big problem lies with this Prime Minister. This is Mark Rutte, isn't it? He yells "Oh, you better drop dead there and not come back," but in reality he does something completely different, namely just prosecute. He is the prime minister of the rule of law. He doesn't think he should be, because he thinks people should drop dead, but he is. What he has to do to act against those people, he doesn't. The Netherlands is not participating in those F-16s in Syria. He'd be a guy if he took the action and said, "This cabinet, which I stand for, is finally going to participate in Syria." However, the Minister does not do what he says, because he continues these people here and what he should do, namely attacks by military means and our F-16s, he does not.
ParlaMint-NL_2015-09-17-tweedekamer-6.u246	I have given my opinion. If you decide to fight there and if you are indeed a risk to our soldiers, to our men and women who are bombing there in F-16s, then it is indeed your own risk. Then it's better for you to die there than for you to return. That's what I think, and I'm sticking to that point of view. That is my view. Furthermore, in my response to the Pechtold's question, I spoke about the state's attorney's office.
ParlaMint-NL_2015-09-17-tweedekamer-6.u247	Then I note that the Prime Minister is pursuing a policy which is contrary to his own view.
ParlaMint-NL_2015-09-17-tweedekamer-6.u248	That is bullshit, and so does Mr Buma. I'll find this. What the D.A. does in the prosecution of this sergeant, for example, is also exactly his job. But I do think the sergeant took a risk. It's terrible what happened. He's abandoned his own people. He lied to people that he belonged to them, that they formed a team together. Then he deserted and went into a wrong fight. Then it is obvious that he himself took that risk? Then this result is an actual outcome, isn't it?
ParlaMint-NL_2015-09-17-tweedekamer-6.u249	In doing so, the Prime Minister simply needs to be more precise. This is not to be followed by the Dutch. The Prime Minister, the Prime Minister, stands there and says that we are prosecuting those people, but he also says: don't be afraid, I, Mark Rutte, really think they shouldn't be prosecuted at all; they better die there, but I'm not doing anything to get it done. That is not true on such a serious matter as this, with the war in Syria, the extravagants we have and the people fighting with it on the wrong side. The Prime Minister is venting some opinions, but he's not doing anything.
ParlaMint-NL_2015-09-17-tweedekamer-6.u250	These things really have nothing to do with each other. If you do, as far as I'm concerned, you're taking a risk. Then you put our people in danger there and it's better that things go wrong there than you return. That is my view. In addition, we just have a public prosecutor who rightly prosecutes people who go there. I also said that it was not the government's policy to bomb Dutch people there? We don't. Then it would be policy. If you're gonna do it, it's better if things go wrong over there than you're gonna come back. That is my view.
ParlaMint-NL_2015-09-17-tweedekamer-6.u251	The rule of law is not something to be casual about, especially when it is discussed in this Chamber. So it doesn't help if the Prime Minister is provoked up to five times to say what he thinks. It doesn't matter. What matters is what this cabinet does. This cabinet respects and promotes the rule of law, even abroad, no matter what happens. I would ask the Prime Minister not to confirm to me once and for all that what he thinks is irrelevant to policy and that policy is no different from maintaining and promoting the rule of law, anywhere in the world.
