ParlaMint-NL_2015-01-22-tweedekamer-10.u1	I would like to welcome the same Secretary of State as just now.
ParlaMint-NL_2015-01-22-tweedekamer-10.u32	I understand what the Secretary of State is saying, and I understand that he wants to do so. Only, he had announced that he would come with it in autumn 2014. The Secretary of State will understand our disappointment and will understand that we would have liked to have more speed. Now that the Secretary of State says so, I'd like to know when we can expect this.
ParlaMint-NL_2015-01-22-tweedekamer-10.u33	I expect to be able to do this for the next four weeks. One of the reasons for this is the agreement not only to conduct these studies, but also to see what came out of the implementation agreements on the Tobacco Product Directive. It's pretty much done now. Now I have to deal with them in legislation and regulations to implement them. This means that I now have a complete picture of the measures we have taken, the investigations that have been carried out and the consequences of the implementation of the EU Tobacco Products Directive. I think we have the playing field on the table now, so I can offer the Chamber that integral vision between now and a week or four.
ParlaMint-NL_2015-01-22-tweedekamer-10.u34	I thank the Secretary of State for that term. I hope we can hold him to that.
ParlaMint-NL_2015-01-22-tweedekamer-10.u35	My group, too, has expressed its disappointment at the fact that the reports were not yet available. We have not tabled any motions or amendments in debates because the Secretary of State said that we would still have a vision. Now he says it again: I'll come up with a vision in four weeks. I really hope we can hold him to that. I would like to highlight one of my points: the schoolyards. There's been a motion on the schoolyards. Can the Secretary of State indicate in this debate what is the state of play at the moment? I do not think that we need to wait, because this is just a Chamber speech. I think this is a very important step to prevent young people from starting smoking.
ParlaMint-NL_2015-01-22-tweedekamer-10.u36	I should like to return to Mrs Dik-Faber's precise questions. However, I would just like to say that it is a little strange to note that there is a feeling of disappointment. For my part, I would like to make an attempt to remove some of that disappointment. We have taken a large number of measures together, from campaigns to smoking bans throughout the catering industry, to age limits, to tastes. Those were quite a few measures. We then wondered whether we could do more and whether we should not overlook the whole palette. In a debate, we said: let us pay attention. A number of things also played a role in the European debate. I would like to point out that there are at least four issues which are also relevant to national legislation, namely the age of 18-plus with regard to the e-cigarette, the advertising of the e-cigarette, the photos on the packages and the question of tastes in tobacco products. This means that there is still a whole range of measures, resulting from the European directive. I think that gives us that complete picture. So we have taken many measures, carried out studies for the future and implemented a number of implementations in national legislation. So there's a whole laundry list on the table. This gives us a pretty good overview and we can very well discuss what the good mix would be to do something, whether additional or not, on that whole package. That will also be the direction of my explanation of the motions. I'll come up with the reason for the bill. You almost forgot. The present bill is about a higher penalty limit in the Tobacco Act. Simply put, this is necessary in order to comply with the commitments I made to the Chamber to align the penalty rates for the infringement of the age limit in the Tobacco Act with the penalty rates for the infringement of the age limit in the Alcohol and Horeca Act. I say this in the direction of Mrs Leijten, who specifically asked for it. So we're gonna match this to the fines in the Drink and Horeca Act. In addition, I would like to make this new penalty ceiling applicable to the infringements of the smoking ban. Tobacco discouragement is, of course, very important to reduce the number of smokers and co-smokers, also in view of the importance of public health. An important part of this is the smoking ban in the hospitality industry. Should compliance with the smoking ban now stagnate or deteriorate, or if there is a persistent recurrence, it will also be possible to increase the actual fines at AMvB. I think we should switch that with each other. I am thinking of the following approach. We can increase the fines at AMvB. I will come back later to talk about the corresponding technique. I'd like to make the AMvB fastest. It synchronizes the fines with the Drink and Horeca Act. In addition, I would like to assess together on the basis of the smoking ban compliance figures when increasing the fines for non-smoking offences is necessary. Now that the small catering industry joins us in early 2015, we get a new zero measurement. We then have a solid basis to see what has happened so far and whether it is going well or not. There's gonna be a category. This seems to me to be an excellent zero measurement on the basis of which we can say at a later date whether there is any reason to further adjust the fines on the smoking ban. This legislative proposal therefore provides for an increase in the penalty limit of the administrative penalty for non-smoking offences and the age limit of up to €20,250. This amount shall be indexed every two years. I have already said that this increase makes it possible to adjust the level of administrative fines at AMvB so that the penalty rate for the age limit and the penalty rate can be adjusted in the context of the smoking ban. The AMvB needed to introduce this increase in fines can be made once the law has been passed by Parliament. Mrs. Rebel asked how fast that was going. As soon as the law is in place, I can make the AMvB in which I will adjust the increase in the fines for breaching the age limit. Mrs Dik-Faber also asked for this. This therefore results in a single penalty rate for the infringement of the age limit for alcohol and tobacco quite quickly. A number of members of the Chamber have asked what exactly is the situation with regard to fines and compliance, and how they should see it. From 2010 onwards, around 4,000 controls have been specific to compliance with the smoking ban. This resulted in slightly more than 4,500 fine decisions until February 2014. 28% of the fine decisions concerned repeated cases, as Mrs Dik-Faber pointed out. 217 decisions were imposed on all other provisions of the Tobacco Act during this period. In 15% of cases, recidivists were involved. In short, 95% of the cases are really a violation of the smoking ban, as far as the Tobacco Act is concerned. The conclusion on the basis of the repeated figures is that there may be reason to adjust those figures. The maximum fine for violation of the smoking ban was imposed 54 times in 2012 and 59 times in 2013. The figures for 2014 will soon be announced at the reports of the NVWA. It was also asked whether compliance had improved following a doubling of the fines in 2011. In hospitality establishments where there is a risk that the smoking ban will be breached, such as discotheques and cafes not covered by the smoking ban exception, compliance in the period 2009-2010 indeed shows a downward trend; up to 49% compliance in autumn 2010. In 2011, fines in the event of a smoking ban infringement doubled. From 2011 onwards, compliance with the smoking ban has gradually increased. The latest measurement for autumn 2014 shows that 82% of the nightclubs and 77% of the cafés comply with the smoking ban. Compliance has thus increased in general, but this does not mean that there is no hard core offenders of the smoking ban. All in all, it's not on a prescription. Fines help. Sturdy fines help, of course. But we will have to constantly look at how the figures are developing and whether they give rise to the increase in fines or not. I shall now turn to the questions put by the Chamber. I think I have already answered Mrs Leijten's question on the harmonization of drinking water and food legislation. That is indeed the intention. Mrs Leijten also asked if I would take further measures and do more than just increase the fines. I have tried to show that we are certainly doing more than just increasing the fines. We have already taken a number of measures. They're pretty solid in the eyes of some people. I have sent some inquiries to the Chamber on which we can think further. I am also working on the implementation of the European directive. I cannot, of course, say whether and when it will be discussed in the Council of Ministers, but I am hopeful that I will soon be able to send the proposals to the Chamber. I would point out that this is not just about legislation, but also about information and campaigns to increase knowledge and awareness and cooperation with civil society organisations. As I have just said, I will do my best to send a letter to the Chamber between now and four weeks with an overall overview, so that we can look at effective measures.
ParlaMint-NL_2015-01-22-tweedekamer-10.u37	I asked the Secretary of State not only to think about campaigns and such things, but also to make cigarette availability more difficult, by selling them out of sight, by using a comprehensive age verification system or by letting them go to tobacco shops. Is that part of the overall vision or is there no room for that in the upcoming plans?
ParlaMint-NL_2015-01-22-tweedekamer-10.u38	Of course there is room for that in the overall vision. We don't make them for nothing. In doing so, the measures we have taken will be reviewed, and the state of play will be clearly stated. We have received a series of reports in which other suggestions are made. We have the implementation of the EU directive. Then we have a whole package, where we can look at an effective mix of measures. There will be different views in this Chamber. One has more fiduciacy in the measures than the other. Sometimes measures are mutually exclusive. As part of the implementation of the EU Directive, work is now under way on placing warning photos on packages. When you propose to do a displayban, you actually say that you should put another curtain on it. You have to consider which measure is best. I will not yet judge what you think is best or not best. It illustrates, however, that we need to put the various measures together and then look at what is the most effective mix.
ParlaMint-NL_2015-01-22-tweedekamer-10.u39	Those photos or warnings on packages are mainly aimed at smokers, to remind them, every time they pack, how harmful it is. That doesn't have everything to do with the sale. I don't think these things bite each other at all, but apparently we think differently about that. From the answer given by the Secretary of State, I would point out that he will not opt for plain packaging, neutral packages, so there is no advertising at all anymore. The 65% warning has to be on it. So the Secretary of State isn't thinking about that anymore. After all, he's implementing all that 65%, I just heard.
ParlaMint-NL_2015-01-22-tweedekamer-10.u40	We have the European directive that we have to implement and incorporate into national legislation for a good reason. You asked if we're limited to fines or that there are other things. The answer to that is: yes, we do not make that overall overview of possibilities for nothing. We need to discuss with the Chamber what we think is the optimal mix. What one finds optimal, the other will not find optimal. So that's what we'll talk about.
ParlaMint-NL_2015-01-22-tweedekamer-10.u41	I assume that the Secretary of State will look not only at what is effective in the context of tobacco policy but also at what the other possible effects of the measures are, let me mention, entrepreneurship. I have heard this evening that there is a huge reduction in the number of points of sale. From a tobacco vision you can be for that, but for many petrol pumps this is the death sting. I'm assuming that that consideration will be included in his piece.
ParlaMint-NL_2015-01-22-tweedekamer-10.u42	All kinds of effects must be taken into account when weighing all kinds of measures. Think of the economic impact and the estimated effects on enforcement and compliance. What's the most effective thing? That will be different for each party. For example, the balancing of the SP was not to support this for the small catering industry, while the measure for the number of outlets is supported. I try to follow these considerations sometimes. Each party will weigh it in a different way. I would point out that in the policy on fines we have additional measures in addition to fines. I point to the three strikes out. In the event of a breach of the ban on the sale of tobacco to persons below the age limit, the Tobacco Act provides for the possibility of prohibiting the owner of a Catering Establishment from selling tobacco for a maximum period of 12 weeks. This is also a measure that could be considered as a complement to the fine package. Mrs Leijten asked if I agree with the message that smoking should not begin. I agree. Much of the policy is aimed at preventing smoking among young people. There's a reason we took a measure for an age limit. We also designed the NIX18 campaign. We are talking to young people about how to campaign even more effectively. We'll bet on non-smoking schoolyards. We encourage the provision of information to parents and children on the importance of non-smoking growing up. It is very important to focus on young people in addition to all kinds of measures for fines and other measures. Mrs Leijten asked how many municipalities have a prevention and enforcement plan. I assume she was referring to the supervision of the Drink and Horeca Act. That is not entirely on the agenda today. However, I have already promised the Chamber that I will review the municipal plans. That's what we're doing right now. The Chamber will soon be informed of this. Mrs Leijten also asked a number of questions about the enforcement investigation concerning the Bureau of the Sochter. How's that going? We're setting up a research assignment. Desktops can sign up for that. They will then be tested for price and quality. Following an extensive European procurement procedure and an extensive review of the criteria, the choice has been made at this office. In response to the questions that were raised, of course, we have looked at whether there are any links that could prevent the execution of the mission. Those tapes are gone. The agency has indeed been involved in the development of ID scanners in the past; this is no longer the case. In the past, the agency has also worked for the CBL (central food trade agency). That is not in itself an obstacle, but I very much agree with Mrs Leijten: there must of course be no discussion about the results of the research. Moreover, Bureau Sochter itself proposed that a scientific committee be set up to monitor the way the research is carried out and the results obtained in order to further ensure the results. I think this is very good. That investigation must go very well. It cannot be that we are conducting an investigation in which, for example, parties would be warned about the time when a check is to take place. Then we wouldn't get good grades. We're gonna watch that very closely. I fully agree with Mrs Leijten that we must have research results which really matter, which are ours and not the sector and which lead to us getting good grades. That brings me to the subject of the systems: ID scanners or other systems. I have always taken the view that we have a law that must be respected. I don't care what kind of system it is using, because we're not going to get behind any of the importance of any system. We ask the sector to comply with the law. That law must be properly observed and better respected, with any system. I do not want to bind myself to promoting or not promoting a particular system. It's up to all of them. We have a law here; it must be observed; it is sometimes checked whether that is the case.
ParlaMint-NL_2015-01-22-tweedekamer-10.u43	I'll come back to the conflict of interest. At the time of the tender procedure for conducting the investigation, Bureau Sochter was indeed still related to one of those age verification systems. In doing so, it simply does research for the supermarkets themselves into internal controls. I asked the Secretary of State not only about the links that the agency has with one of the systems, but also about the awareness of the sector that controls it on behalf of the government. I'll ask the Secretary of State if he'd like to comment on that. Doesn't he think that's a danger? Is it not better to have that research carried out in the future by an independent institution which clearly does not have any mandates from the sector that we have to monitor?
ParlaMint-NL_2015-01-22-tweedekamer-10.u44	In these cases, I always try to work through the purest tender procedure possible, in which agencies can register. Sometimes these agencies have worked for the sector and sometimes they haven't. It goes a little far for me to say that if you've ever been commissioned by a sector, you can never do research in that sector again. In that case, the number of offices would also decrease significantly. However, I agree with Mrs Leijten that we must be very keen to ensure that the research is conducted properly and purely. Moreover, the investigation has yet to be carried out. This is not a survey of ID scanners or compliance systems, but a study of mystery guests to determine how compliance is carried out in practice. I do not see so much as a conflict or interest there. We will monitor this very closely. We have already done so, and we will certainly do so in the future.
ParlaMint-NL_2015-01-22-tweedekamer-10.u45	If a research firm has to control a sector on behalf of the government, if it has to check whether the sector complies with the rules on the sale of alcohol and tobacco, which we know is very lucrative for supermarkets, for example, to sell it and to continue selling it, is it undesirable that the research firm has a direct relationship with the same sector, not because it has done a little research in the past, but because it has just one-on-one the bond to do that research in the sector itself? Why don't you go out on some slippery ice? Does the Secretary of State really not think that there are too close links and that it is a little "the butcher's approval of his own meat"?
ParlaMint-NL_2015-01-22-tweedekamer-10.u46	No, that would be wrong. Those close ties aren't there in my opinion. The agency used to be involved in the development of ID scanners. It's not anymore. Those interests have been divested and are all gone. Now it's a study based on mystery researchers. Then we can say in advance that this may not be good, but I think we have had a very good tendering procedure. We have also agreed on the way the investigation is conducted. There's a scientific committee. It goes a little far for me to say in advance: that will not be good. Well, then you're assuming too few facts.
ParlaMint-NL_2015-01-22-tweedekamer-10.u47	I will only give you the floor if you do not repeat yourself, Mrs Leijten.
ParlaMint-NL_2015-01-22-tweedekamer-10.u48	I mean something else. I mean that the agency should investigate a sector on behalf of the government, whereas that sector is a direct contractor of that agency.
ParlaMint-NL_2015-01-22-tweedekamer-10.u49	That's it. That's it. That's it.
ParlaMint-NL_2015-01-22-tweedekamer-10.u50	The agency carried out internal checks in the supermarkets. Those checks were announced. It will now carry out checks in the same supermarkets. Is it desirable for the same agency, which has such close links with the sector, to do so?
ParlaMint-NL_2015-01-22-tweedekamer-10.u51	It is no reason to say, in the context of a European procurement procedure, in which you have a tender with different agencies, that you should not, because... that would go very far, because that means that if you have ever done research with a client, you would never be able to do research with the same client for another purpose. I'm trying to be completely neutral in that. Anyone can file complaints against the procurement procedure. Those complaints are handled neatly. However, I very much agree with Mrs Leijten that it should be an investigation that produces figures that have been produced in a good and honest way, which have been carefully considered and on the basis of which we can also make a good assessment of enforcement. Mrs Leijten asked a specific question about the advertising of e-cigarettes. I would point out that the Tobacco Products Directive provides for an advertising ban on e-cigarettes in the press and audiovisual media. The same applies to radio and sponsorship. I intend to discuss this earlier with you in order to set up a similar advertising regime for e-cigarettes in the implementation of the Tobacco Products Directive as is currently the case for tobacco products. This means that this is done in the same way. Mrs. Rebel asked how fast this is going. We are now in the process of implementing the directive. I hope to be able to send this bill to the Chamber before the summer. I come to Mrs Dik-Faber's questions. She asked when the campaign "smoke-free catering" will start. It is scheduled to start in early February. I thought we shared that planning with the Chamber before, but I'm not sure. Mrs Dik-Faber also asked: the fines come in an AMvB; is that AMvB sent to the Lower House? The fines applicable to an infringement of the Tobacco Act are set out in the Annex to the Tobacco Act. That Annex is set out in the General Measure of Governance and the modification of the amounts of fines is therefore also set out in that Annex. There is a so-called follow-up procedure for this. This means that the AMvB will not enter into force until eight weeks after the date of issue in the Official Journal in which the AMvB is placed. Both Chambers will be notified of their placement without delay, so that they have room to respond. I can imagine that Members of Parliament consider all this to be an important subject. I can therefore also imagine that I will inform the Chamber in advance of the intended increase in fines. That is then before she will receive the AMvB in proceedings. In my view, this is the best way to provide the Chamber with information. It can then consider in good time whether it can agree with the AMvB that is still to come. At least the Chamber has been warned he's coming. It has been asked whether the recidivism can decrease with the maximum fine of €20,000. We will also decide on this in the General Measure of Governance. Of course, we can take specific account of recidivists if the enforcement figures show that the recurrence is increasing. That in itself is the nice operation of the system of penalty ceilings. It is not so much an amount, but a reference to the system of fines that is also used in the Criminal Code. It is a category 4................................................................................................................................................................................................................................................ I have already indicated when the reaction to the various investigations will come to the Chamber. A number of amendments have been tabled on this point. I would now like to discourage or advise these amendments to be retained, because my letter on the overall package will allow us to make an overall assessment of the measures. I propose that we not now call into question one measure or another on the occasion of the increase in the fine. Mrs Dik-Faber asked about the figures on the maintenance of non-smoking restaurants. The NVWA will soon publish the enforcement figures for 2014. Since 2010, the situation in the hospitality sector has improved considerably. I would point out that in 2010 only 49% of the cafes and nightclubs complied with the smoking ban and that this percentage had risen to 71 in 2013. Soon we'll get the numbers from the NVWA. I will inform the Chamber as soon as possible. Mrs Dik-Faber also asked questions about a licensing system and the other amendments. I would like to add that to my general remark that we could talk about this on the basis of my letter which is still to come. The same applies to the vending machines ban she suggested. There has also been talk of non-smoking schools. As you know, I fully support the call made in the motion. It is very important to prevent young people from starting smoking. The younger you start, the harder it is to quit. This has already been said by several Members. The trend is positive. More and more schools are becoming smoke-free. In 2013, 34% of secondary schools were non-smoking. The Long Fund's school monitor will soon show that this number has increased significantly. We're gonna get the numbers. In any case, I hear positive noises about how my contacts with the Long Fund develop. I am currently talking to the Education Sector Councils, the Funds and other stakeholders to see if we can accelerate that trend. We see that the schools and industry councils are playing an increasingly important role in terms of'smoke-free'. The sector councils have become partners of the Alliance Netherlands Smoke-free! and have committed to the National Prevention Programme via pledges. Since 2014, schools in secondary education have been able to obtain the Healthy School vignette. I hope I have convinced Mrs Faber that non-smoking schools are and remain a very high priority for us. We shall continue to do so in the coming period. Mrs Bruins Slot asked me when the increase in fines would take place. I have already said: quickly with regard to age, on the basis of the smoking ban compliance figures. I really want this compliance to improve and I am committed to full compliance. We will never achieve that ideal world, but you must strive for it. I have already said that we will take the 2015 enforcement figures as zero for the small catering industry, so that we can look very closely at how things are developing. We are about to have a prevention debate. We can therefore talk about what we are all doing in the area of prevention. As the Chamber knows, it is not the system of the state budget to immediately link and confuse income and expenditure. I do not think it is possible to put the revenue from fines into a prevention fund. However, we can continue to discuss, for example on the budget, what we are all doing about prevention and whether further instruments should be developed for this purpose.
ParlaMint-NL_2015-01-22-tweedekamer-10.u52	I notice that the Secretary of State is in the process of shifting all the issues surrounding the law to another moment, while it is now about raising the fines within this law. The Secretary of State is a huge supporter of an integral policy of discouragement. What better way than to return the money we raise to the prevention fund by enforcing the Tobacco Act? This money can then be spent, for example, to prevent young people from smoking.
ParlaMint-NL_2015-01-22-tweedekamer-10.u53	We have also agreed with each other how we are shaping the budget and what are the rules on the mixing of revenue and expenditure. Fines are income and the prevention fund is covered by expenditure. We agreed with each other in this Chamber that we do not connect it one-on-one. This is without prejudice to the fact that, when we talk about prevention policy, we can also, of course, talk about the resources that are needed for this purpose and which must then be adequately covered.
ParlaMint-NL_2015-01-22-tweedekamer-10.u54	We are talking about the end of the pipeline, enforcement, but there is also a beginning. I understand the Secretary of State when he says we have a certain system that we can't just cross. Is it a good idea to do some research on the possibilities of doing so?
ParlaMint-NL_2015-01-22-tweedekamer-10.u55	This seems to me to be an issue which the Chamber should discuss with the Minister of Finance, because we are talking about the system of the state budget. In view of the effectiveness of the debate on prevention, I propose that, when we discuss prevention policy and look at all the measures taken, we consider whether additional instruments are needed, including in the financial sense. I'm a little confused about the discussion about the youth monitor at the Trimbos Institute. In an earlier letter I extensively motivated how we will monitor various list problems. I have opted for a more coherent and effective approach in which double numbers are now avoided as far as possible in the case of.................................................................................................................................................................................................................................................. I would point out that, with regard to reliable student studies, good monitoring is carried out among young people. It also looks at non-school youth. This means that we have chosen precisely for the movement not to make all kinds of separate monitors, but a coherent monitor, while, of course, maintaining the insights we need in how smoking among young people, school-based or non-school-based, is going to develop. We started that movement and discussed it with each other. Let us not re-introduce another monitor, when we have brought more coherence to all these monitors. So I assume that you are also concerned with a lasting good and reliable insight for the smoking youth, both school and non-school. We had that insight on the basis of many separate monitors, which we are now looking at more in conjunction with which we can follow the figures more long-term and better. That's really my preference over going back to introducing another separate monitor.
ParlaMint-NL_2015-01-22-tweedekamer-10.u56	Several experts from the field say that the necessary data does not surface, so that the information we received from the old monitor will not come from the current monitor. That is a shame, because we want to understand the smoking behaviour of young people between the ages of 16 and 18.
ParlaMint-NL_2015-01-22-tweedekamer-10.u57	That would indeed be a shame. The structure of the more coherent monitor is precisely that we bring more coherence to all these figures, which we do not get from all kinds of different monitors in which it is incredibly difficult to craft them together, while maintaining the data we need for youth. But perhaps it would be a good idea if I could explain to you once again, on the basis of the letter that was there and this discussion, what the purpose of that monitor is, so that you can see again whether the statement that a more coherent monitor is better than what we had can be confirmed.
ParlaMint-NL_2015-01-22-tweedekamer-10.u58	At this point, we really keep running around the Chamber building, because we conducted this debate in exactly the same way during the budget debate. I would have thought that since then the Secretary of State had also looked at the argument that we were also raising at that time, namely that the correct data did not come out. The Secretary of State says he's gonna find out again. I find that disappointing, because we want certain data to check whether the policy of the Secretary of State, good policy on this point, works.
ParlaMint-NL_2015-01-22-tweedekamer-10.u59	I am looking for a way in which we can convince each other, because we both agree that this research must be carried out in such a way that we also have a good understanding of the youth, school or non-school. Our position is that that information with that more coherent monitor is not lost, but that we get that insight, perhaps in a different way. Your statement is that you doubt whether that is the case, because you hear from others, perhaps from the person who did the monitor so far, that is not the case. Then all I can do is check again to see if that's true and try again to show that that monitor is happening. I would point out, moreover, that this monitoring station research, as part of that monitoring, looks at the group of 16 and 18 years of age and that the Trimbos Institute is also investigating non-school young people, among other things. So I think the system we designed contains all the information we need. But I am very willing to try to prove that again in writing.
ParlaMint-NL_2015-01-22-tweedekamer-10.u60	When?
ParlaMint-NL_2015-01-22-tweedekamer-10.u61	I think we can do that very quickly. I'm sure we can do that in a week or three.
ParlaMint-NL_2015-01-22-tweedekamer-10.u62	Three weeks.
ParlaMint-NL_2015-01-22-tweedekamer-10.u63	I do share the concerns of my colleague from the CDA. I would stress that it is also in your interest that, precisely where you have taken a number of major steps, especially in the case of the age increase, it is good to get the most vulnerable groups in the picture: MBO students, out-of-school youth, who generally smoke more than the groups that are controlled in your new proposal for monitoring. So if you say that you are coming in three weeks' time with another explanation, I call on you to refute, on the contrary, the objections of the parties that have expressed their concerns widely, not only from the party that may have previously provided the monitor. These concerns are shared more widely.
ParlaMint-NL_2015-01-22-tweedekamer-10.u64	There must be no mistake about what insight we need with each other in order to be able to see and share smoking rates among young people, at school and not at school. I do not think there is any difference of opinion between us. What we may disagree on is whether the proposal provides sufficient insight. For my part, I am very prepared to put this into order and also very willing to respond explicitly to the objections. I believe that the question of when the fines will be introduced has already been addressed. I now come to Mrs Rebel's questions. She explicitly asked me about the status of the Tobacco Products Directive (TPD). That Directive was adopted in April 2014. After that there was a lot of discussion to put it all down and write it down. By letter I would like to inform the House of Representatives, as I have just said. It is my intention to submit the bill to the Council of State as soon as possible. It is my intention to present it to the House of Representatives before the summer, although I am not sure whether the discussion in the newspaper and in this Chamber will speed up decision-making. I'm gonna keep doing my best. There was a more specific question from Mrs Rebel as to whether the TPD proposal could also prohibit the sale of shisha pen to young people. The shisha pen is an electronic vaporizer, similar to an e-cigarette, which does not contain nicotine. These fall outside the scope of the Tobacco Products Directive. Only those e-cigarettes containing nicotine have been regulated. We've talked about it before. I do intend to introduce an age limit of 18 years for e-cigarettes into the Tobacco Act. I will implement this amendment with the amendment of the law under the Tobacco Products Directive. We need to take a close look at how this relates to each other, but the directive itself does not apply to the shisha pen.
ParlaMint-NL_2015-01-22-tweedekamer-10.u65	These are products that my party is struggling with, especially because we see that it is a very smart strategy to tempt really young children to smoke. Of course, I understand that this is a difficult product to bring under the directive. You could compare it to some kind of lollipop. We have talked about it before. My party has also looked at the possibilities. We do see the possibility of extending the concept of'smoke goods' to include this in the workings of the Tobacco Act. I propose that the Secretary of State should look again very closely with his officials at the possibilities of banning these products, even without them containing nicotine, under the Tobacco Act for young people under 18 years of age.
ParlaMint-NL_2015-01-22-tweedekamer-10.u66	We will explicitly include this weighting in the proposals you receive for the implementation of the TPD. Mrs Dijkstra has asked a number of questions about fines. She asked whether the fines were sufficiently dissuasive. We have already talked about this a little bit. The way I see it is that we increase the fines. I want to have the opportunity to conduct policies on the basis of compliance figures. We are going to see whether the recurrence is increasing or not, and on this basis we will adjust the amounts of the fine. I think this can be a very effective approach, but based on the figures as they actually develop.
ParlaMint-NL_2015-01-22-tweedekamer-10.u67	I explicitly asked the Secretary of State what numbers would have to come out of that monitor. If you can see the state of compliance later, what does the Secretary of State think about the need for improvement?
ParlaMint-NL_2015-01-22-tweedekamer-10.u68	That is a very good question, but it is also a difficult one. Assuming that zero measurement is 60% and we do not see any improvement in the first year, so that compliance in the following year is still 60%, this could lead to an increase in fines. If the maintenance goes from 60% to 70% and we see a continuous line that is constantly improving, I can imagine that we will keep the fines. I do not have a prescription for this and I imagine that we will periodically assess the figures in a debate with this Chamber and, on the basis of this, set the maximum fines.
ParlaMint-NL_2015-01-22-tweedekamer-10.u69	I continue to find it vague when what action is taken. A zero measurement works in a way polluting because there is now a new category, namely the small catering industry, under the Tobacco Act. That needs to be taken into account. This could pollute the data from the years before.
ParlaMint-NL_2015-01-22-tweedekamer-10.u70	Sure. That is why I also said that we should do a new zero measurement now that the small catering industry has joined us. This gives us as clear a picture as possible on the starting line. Mr. Van't Wout is right. We will have to distinguish that particular category in order to arrive at a good judgment. Mr Van 't Wout is also right that the penalty rates will not change until there is an AMvB. I have just explained the ways in which I intend to make this AMvB about the fines. I have already gone into compliance. I haven't gotten the most recent enforcement figures from the NVWA yet. They'll be here soon and I'll send them to the House of Representatives by the end of the day. I have already discussed the timetable for implementation. I hope to be able to put this into procedure as soon as possible. I hope to be able to do this before 1 July next. Mrs Gerbrands spoke about the article in De Telegraaf asking whether the e-cigarette is more carcinogenic than the ordinary cigarette. It is very important to keep a close eye on developments regarding the health risks of e-cigarettes. Recently, in a temporary Warenwet decision, I made demands on the safety and quality of the product. With this I want to ensure that the products can be used safely. As little is known about the risks of vapours, I have asked RIVM to investigate this further. In addition, I asked the NVWA's Risk Assessment and Research Programming Office to look at the results and give advice on them. I await the results of the research of the RIVM and the advice of the NVWA. I think I can inform the Chamber about this in the first quarter of 2015.
ParlaMint-NL_2015-01-22-tweedekamer-10.u71	Then perhaps you could take the effects of the shisha pen with you. There's no tobacco in there, but there's a battery. The article assumes that the battery is carcinogenic. If that is taken away, that problem can be solved equally.
ParlaMint-NL_2015-01-22-tweedekamer-10.u72	In the investigations into electronic cigarettes, whether with nicotine or not, we must indeed look at the substances contained in them. I understand very well that the shisha-pen can help people who want to get rid of smoking. At the same time, we need to look very closely at what is in it to prevent the introduction of harmful substances after all and that we may provoke smoking. That was a bit of the struggle Mrs. Rebel was talking about. I get a lot of messages from people who are wondering why we are making such a big deal about the electronic cigarette, because that cigarette helps them to get rid of smoking. I have a great understanding of that. I think that's how people get off smoking. However, we must also keep an eye on public health and identify the substances contained in it. I can see from Mrs Leijten's gesture that this could also be a step in the right direction to actually smoke. Then, of course, we have to pay full attention. I think we agree on this point. So much for my first term.
ParlaMint-NL_2015-01-22-tweedekamer-10.u73	I had asked another question about answers to written questions that I asked together with Mr Voordewind. These questions were answered last week. The Secretary of State states that he was not aware that from 2012 CBL will control the deployment of ID scanners, ID readers, ID swipers or whatever they are called. I am surprised that the Secretary of State was not aware of this, because on 7 March 2012, our Minister, in a general discussion on alcohol policy, expressed her appreciation for the use of the supermarket sector on this issue. I asked in my first term whether this no should have just been yes. Maybe this slipped through the Ministry?
ParlaMint-NL_2015-01-22-tweedekamer-10.u74	Not as far as I know. There is, of course, a difference between knowing that the industry is committed to this and to what extent it is, and the appreciation you can have for anyone who tries to come up with tools or systems that further strengthen compliance. I am completely neutral in any system. If industry is using systems that can improve compliance, I think that is fantastic. I don't know if companies were doing that together on a large scale when you asked that question. I'm not against them doing that at all. Compliance must be improved, with any system.
ParlaMint-NL_2015-01-22-tweedekamer-10.u75	Of course, it could have been that the Secretary of State himself was not familiar with it, but at least the Ministry was familiar with it. After all, the Minister replied. The Secretary of State then says he doesn't care which system is being used. I think that's a bit of a weird answer, because the government is just funding ID readers, swipers or whatever you want to call them. In a call of 9 October 2014, the specialist center advises entrepreneurs to register quickly because the subsidy pot is running low, so that they get a discount of more than €100 per purchased ID reader. Is the Secretary of State independent, are the Ministry and the government independent or are they secretly, like industry, committed to an ineffective age verification system?
ParlaMint-NL_2015-01-22-tweedekamer-10.u76	I don't have the illusion that we can do anything secretly. Nor do I have the illusion that we would like to do something secretly. I insist that we have a law that must be respected and enforced. I don't care which system is being used. There may well be all kinds of actions by anyone to promote or strengthen systems, but I try to have as neutral a view as possible from the VWS department.
ParlaMint-NL_2015-01-22-tweedekamer-10.u77	It is very uncomfortable that, for example, when an investigation into age enforcement is launched, another agency appears to have owned exactly the same age verification system.
ParlaMint-NL_2015-01-22-tweedekamer-10.u78	That seems more like a second-term thing to me. Has the Secretary of State come to the end of his reply?
ParlaMint-NL_2015-01-22-tweedekamer-10.u79	Yes, Mr President, with the remark that I have just indicated that we are also trying to do as purely as possible procurement procedures that must comply with European directives. We do so in every procurement procedure as best we can.
ParlaMint-NL_2015-01-22-tweedekamer-10.u80	I may not have listened carefully, but I have not heard a specific assessment of the amendments to the documents. 9, 10 and 11. It's a general rating, but it's not a specific assessment.
