ParlaMint-NL_2015-06-11-tweedekamer-3.u1	I would like to welcome the Minister of the Interior.
ParlaMint-NL_2015-06-11-tweedekamer-3.u45	What problem is the VVD solving? Is the VVD solving the problem that the penalty payment is not working properly in the WOB? Or is the VVD solving the problem that a small group of people are taking advantage of the penalty payment in the WOB? That is quite important for the solution. If the VVD says "the WOB doesn't work because there's a penalty payment in it, it doesn't make sense and it makes sure that the WOB doesn't work properly," I disagree with that, but then I can imagine that the VVD supports the Minister's proposal. However, if the VVD says "there is a small group of people who abuse the penalty payment in the WOB," then the VVD Group must come up with a proposal to tackle that group of abusers. There is, of course, no reason to address citizens, journalists or researchers who want to exercise their democratic rights or do their job.
ParlaMint-NL_2015-06-11-tweedekamer-3.u46	That's another question, with the same content. So I'm going to repeat what I just said. The VVD wants the abuse that is now under way to be dealt with. A solution to that is to remove the penalty payment. Is that bad? I think that's okay because in practice it turns out that people who submit serious requests and do not get their information on time have not been helped with that penalty payment. After all, they still do not have that information. That's what they say. There are still governments that are reacting too late. There are even journalists who say: such a municipality pays the penalty. Then what's in it for us? Then it's not gonna do us any good, is it? Then you have to dare take the step to say: in tackling the abuse we take the penalty off. At the same time, I ask the Minister to do something about training or the slow delivery of information.
ParlaMint-NL_2015-06-11-tweedekamer-3.u47	I note that we have a problem with a number of people. How big that group is, I don't know. That's what the Minister's gonna say later. I think it's a couple of dozens. They cost the municipality a lot of effort and money. I also note that the Minister and the VVD have come up with a solution to restrict access to the WOB for everyone. I don't see how that's proportional. I don't think that's proportionate. I also note that the VVD now feels very differently about that fine than it did when it tabled the motion.
ParlaMint-NL_2015-06-11-tweedekamer-3.u48	I note that Mr Van Raak is now making a great deal of progress in drawing conclusions. This bill does not restrict access to information, to public sector information. That process still works the same way. If you want something, you make a request, as far as I'm concerned, form-free. When it comes to information that can become public, the government has time to deliver. Nothing's gonna change that.
ParlaMint-NL_2015-06-11-tweedekamer-3.u49	Mrs Keijzer made an important contribution to this debate through her amendment. I understand that the Group of the European People's Party (Christian Democrats) and European Democrats says that we do not feel much in favour of this amendment, but we do not see it as destructive. Is that how I see it?
ParlaMint-NL_2015-06-11-tweedekamer-3.u50	I am not in favour of the amendment, because it brings out the substance of the legislative proposal. We want to deal with the abuse. The bill does that by removing the penalty payment. The VVD agrees.
ParlaMint-NL_2015-06-11-tweedekamer-3.u51	I hear representatives of political parties, when they are opposed to an amendment, yelling here sometimes: it is destructive! Well, that sounds like war language. I'm not hearing that right now. I'm glad. That means that we can treat it nicely.
ParlaMint-NL_2015-06-11-tweedekamer-3.u52	I'm not much for using big words. We just need to name what it's all about. That's what the VVD wants to do. With this bill we see that happening in a good way. This bill assumes that we will remove the penalty payment. Mrs Keijzer tabled an amendment to maintain the penalty payment. I disagree. I don't need big words for that.
ParlaMint-NL_2015-06-11-tweedekamer-3.u53	Mr. Chairman. Attention to active openness and faster decision-making is and remains necessary, we hear a lot from government circles. But don't pin me on it, the government seems to say with this bill. The Minister used great words: the bill aims to collect periodic penalty payments, to target abuse of the WOB, which undermines good governance and the quality of service, to abuse aimed at frustrating the governing body or resulting from an obsessive pursuit of openness. Do these words fit in with the administrative problem addressed by this bill? The CDA Group is very concerned about this. Unfortunately, we are also aware of the phenomenon of public authorities who train and are not prepared to disclose public information on their own. The examples are numerous. For now, I will confine myself to a number of examples at a rich level. Last Tuesday, my colleague Omtzigt stood before a minister who seems to have made it a personal mission not to inform the Chamber. And this was just about a billion euros or something. The implementation of the new Police Act is surrounded by shadowiness. The negative reports on the implementation of the right of draw by the Social Insurance Bank come only after a very long time of questions and only partly press to the Chamber and so shortly before the debate that no one can read them anymore. This week, it was announced that there could be fraud with state subsidies of up to EUR 6 billion. The report on this matter that's in the Public Prosecutor's Office doesn't get the Chamber. In that we are supported by the PvdA and the VVD, let me add. We will get a note from the government in which she responds to the news about it. The last temporary topper, the highest new entry is the tax agreement. This concerns "only" all Dutch and can have great consequences, but the Minister does not think it is important enough to make it public. No need, he says with the well-known grin from ear to ear. Against these kinds of governments, the citizen must have a stick behind the door. Lex Oomkes wrote a beautiful article in Trouw this week about public access to government, the starting point of public access. I will immediately review some of the quotes. The government pays lip service to the openness of administration and seems to have more to do with plush than with publicity. In traffic with the Chamber, this cabinet prefers to give as limited an explanation as possible of its obligation to provide information. It is not uncommon for journalists to use the Public Administration Act, and experience is not uncommon for them to be unheard of. They strike a government which, contrary to established case law, seems to make it a personal mission on its Dijsselbloems not to give any openness. The government should take note of what I have just said, but perhaps my words are not enough. That is why I would like to mention a few authoritative words from illustrious predecessors. Thorbecke said in 1854, "My lords, it was other times." I think that when the Minister is asked for information, the Minister should not seek excuses or excuses. The minister shouldn't duck, he should respond. In my view, he should not remain below what is required. On the contrary, in the event that his clarification is not considered sufficient, he must offer more. Karel Polak, Minister for Justice in the De Jong Cabinet, also a VVD member, see in 1979: Ministers cannot suffice to provide information. They must question, explain and defend their policies. A ministerial responsibility which merely requires answers to the questions put by Members of Parliament is too lean. Why is Polak saying this? The ministerial responsibility is to a large extent preventive. Knowing that any policy action, any administrative act, indifferent to its importance, can and must be held accountable in public, prevents unadvised and improper action. It also prevents laxity and carelessness among ministers and officials. Why am I discussing this here? Because public access means providing information to the Chamber on the one hand and to the citizens on the other. It has to do with each other. The attitude which is being worked on in this area leaves a lot to be desired. The CDA Group does not call for disclosure of everything. You can't and you don't have to. The Public Administration Act rightly has exceptions, but as far as I am concerned, the way in which the government is currently dealing with the principle of public access and the obligation of constitutional information to the Chamber and the Public Administration Act is far from the words of not the least predecessors of current directors. I'd like to get a response from this minister. Against governments that do not take these recommendations seriously, you can at least give the citizen a stick behind the door. That's what this bill is about. Due to the abuse of the Public Administration Act, changes need to be made. That's the story. If you read the proposal correctly, there are two ways of abuse. Firstly, there are people and companies who have a earning model to the periodic penalty payments linked to the Public Administration Act. Secondly, there are people who, for all kinds of reasons, frustrate the government body in question with but continue to submit requests. In the note following the report, the Minister states that there is no overall overview of the number of WOB requests resulting in a penalty payment. The ministries are each year concerned with one to one forfeited periodic penalty payments per ministry. In the Monitor Wet Penalty and Occupation we read that 6% of the municipalities have paid a penalty payment for WOB requests. However, the Minister warns us that the number of periodic penalty payments paid does not in itself indicate the extent of the problem of abuse. Organisations should also make every effort to reach the decision-making deadline in cases of alleged abuse. And that, in view of the limited number of periodic penalty payments, it is possible to say something more about the use of administrative bodies than about the extent of the penalty payment problem. The CDA Group welcomes the use of the administrative bodies, but you can also appreciate them differently and say that the Penalty and Occupation Act is apparently a good stick behind the door for all those governing bodies. So they do their utmost to give people the information they are asking for and what they are entitled to in time. I would like a response from the Minister to this view on the fact that so few periodic penalty payments are forfeited. In the run-up to this bill, a number of suggestions have been raised to combat abuse. For example, the Council proposed for the case-law that applicants should use a standard form for WOB applications. That seems to us to be a good idea, especially for the companies that have a earning model based on submitting hidden WOB requests and then collecting the penalty payment. With a form you avoid WOB requests that are hidden in application letters or footnotes. However, the Minister has a fundamental objection to this. A standard form is not in line with the principle of the WOB. The WOB is intended to provide a low-threshold provision for the provision of information, and thus the WOB request is form-free. If this government were to apply this principle more widely within the government, a lot of forms could disappear! In addition to an objection in principle, the Minister also raises a practical objection in the explanatory memorandum. A prescribed form may restrict access to information due to a possible lack of digital or physical availability of the form. Then I wonder how that relates to reluctant governments that are now refusing to provide information. If you allow all administrative bodies to use a required form, it is a technical complex, says the Minister. Forms can run out and websites can be unreachable. That's why he doesn't want a form. The Minister hasn't convinced me yet. That is why I have tabled an amendment to include the use of a standard form in the law. Abuse of the WOB by camouflaged WOB requests, on which the periodic penalty payments are then cashed, is simply end of practice. That won't happen again. Didn't you use the form? Then you're not eligible for the penalty. I would like to get a response to this amendment, which is somewhat opposition-based. With regard to the second variant of abuse, namely citizens who wish to frustrate a particular government body and submit endless requests, case law has now been formed. It is therefore clear what a public body should do in this situation. Why, then, is this bill if both forms of abuse are easy to solve, without putting your benevolent critical citizens on the ground like that? The Public Administration Act was not created to make it easier for the government. The Public Administration Act is there to give citizens an instrument to follow the government critically. That can be uncomfortable for the government, and that's a good thing.
ParlaMint-NL_2015-06-11-tweedekamer-3.u54	Mr. Chairman. Today we are talking about disconnecting the WOB and the Penalty Act. In fact, there is a very different and much bigger problem behind it. Most applicants for a WOB request do not want a penalty payment at all, but simply the requested information. It is therefore a good thing that Mr Voortman and Mr Schouw have tabled an initiative legislative proposal which is precisely about the open government. After all, as my colleague Astrid Oosenbrug pointed out during the debate on the initiative proposal, the WOB runs on its last legs. Last week, during another debate, we understood that the initiative legislative proposal is likely to be put back to plenary again soon in order to be dealt with further. The PvdA supports the request that the Woo be dealt with quickly. Before that, however, there is a whole other problem. Given the freedom of form of the WOB, malicious people can easily abuse the Penalty Act. That's exactly what's happening. There are differences of opinion about the extent of the abuse, but the essence remains that the link between the Public Administration Act and the Penalty Act opens a door for evildoers to collect tax money very easily. We shouldn't want that. The PvdA therefore considers it a good thing to stop this abuse. In our view, however, this should not lead the good to suffer from evil. Many people are quite rightly appealing to the WOB. As has already been said, they want to obtain the information requested from the administrative body rather than a periodic penalty payment. The Labour Party believes, however, that the present bill is very much written from the point of view of the abuser. It does not do justice to all other people. It would therefore like to bring back the balance sheet in the legislative proposal a little bit more.
ParlaMint-NL_2015-06-11-tweedekamer-3.u55	When we were talking to Mr Veldman, we found that the abuse is very low in absolute numbers, percentages and the number of people to whom this applies. I now turn to the other side of the discussion. How do we ensure that people get that information quickly? We are dealing here with the information of the government. I have given a number of examples such as the Tax Agreement and the documents on the implementation of the Police Act and the drawing right of the Social Insurance Bank. I mentioned the discussion about traffic fines to foreigners. If we are going to table motions in which we are asking for these documents to be published, will the Labour Party support them? Then today we are really taking steps towards openness.
ParlaMint-NL_2015-06-11-tweedekamer-3.u56	I understand very well that Mrs Keijzer wants to have another discussion, but she has also heard Mrs Oosenbrug's contribution to the first term of the Open Government Act. We are in principle very positive about the Open Government Act. We can talk about something else today, but I think we will get to the heart of Mr Schouw and Mrs Voortman's remark that we need to talk about the legislative proposal that is on the agenda today. Today we are not talking about the Open Government Act, but about the abuse of the Penalty Law in the context of the WOB. Mrs Keijzer can bring forward very interesting discussions, but I do not think they are justified in the context of this legislative proposal.
ParlaMint-NL_2015-06-11-tweedekamer-3.u57	That is strange, because Mrs Fokke has just asked how to ensure that the government provides more information and is more open. I would like to give some examples and ask her if she is prepared to vote in favour of motions aimed at making those documents public. That is indeed the issue, because if the government does not give that information to the Chamber, journalists then submit WOB requests and they end up in a swamp. The penalty is the only stick behind the door. I therefore ask once again whether Mrs Fokke is prepared to support the CDA group in her request to receive these documents. I've listed a lot of them and everyone who's listening to them now has one on the retina. I'd just like to say yes or no. Go ahead.
ParlaMint-NL_2015-06-11-tweedekamer-3.u58	I understand that Mrs Keijzer wants answers to questions that are not on the agenda today. On 9 December, the first period of treatment of the Act was open government. The Labour Party is positive about that. I think the CDA is much more critical of the Open Government Act. Let us assess legislative proposals on their merits. It's not about the open government today. The Labour Party is for openness and transparency, that is true, but we are talking today about the link between the Penalty Act and the WOB. This is the subject of today's debate. We can make the debate very broad, but that is not on today's agenda.
ParlaMint-NL_2015-06-11-tweedekamer-3.u59	It is on the agenda, because why are we talking about this today? We are talking about this because citizens, journalists, do not get the information that the government should give. That's what this is about. Both Mrs Keijzer and Mr Veldman ask each time: how do we get a government to actually give the information? I'm making a concrete proposal. We are tabling a motion, together with Mrs Fokke, if necessary, to ensure that all those documents which are currently being shadowy, which are not provided or blacked out, simply go into society. Is Mrs. Fokke willing to do that? Yes or no?
ParlaMint-NL_2015-06-11-tweedekamer-3.u60	As Mrs Keijzer knows, the WOB is subject to conditions and public authorities must comply with them. I think that's what's happening. It is exactly as Mrs Keijzer said: openness, but there are ifs and buts to the Public Administration Act. Again, we are not talking today about the Publicity Act. I have already said that I would like to deal with Mr Schouw's own-initiative proposal and Mrs Voortman's proposal as soon as possible, but today it is about the fact that people seem to have discovered a trap between the Public Administration Act and the Abuse Act. We need to find a solution to that today. We all agree that there should be no abuse, but we do disagree on the way in which you should resolve it.
ParlaMint-NL_2015-06-11-tweedekamer-3.u61	First of all, I would like to thank Mrs Fokke, also on behalf of Mrs Voortman, for her warm words on the legislative initiative. There is a discussion about the nature and extent of this bill. I'm just trying to taste the urgency, the bloodshed, to take it ahead of the wider law. On this initiative law, the Labour Party also says that it finds him interesting and that it would like to think along with it. Wouldn't it be wiser to deal with the wider law here a little earlier and let this law follow?
ParlaMint-NL_2015-06-11-tweedekamer-3.u62	The VVD and the Labour Party have filed a motion at the budget treatment, but the linking of the Penalty Law to the WOB is not something new. In 2011, a CDA Minister consulted a bill, because soon after the WOB was linked to the Penalty Act, it was said: something is not working here. So I think this matter is urgent. However, I am struggling with the following, and I think we have the same struggle. Of course you can say that the Open Government Act and the problem we are dealing with today are somewhat related. But honesty also commands me to say that the Open Government Act was on its way almost two years before it was dealt with in plenary session in its first term. The law now before us has a much faster lead time. That's why I'm thinking, you can do one thing and you can't stop the other. But I understand Mr Schouw's struggle, because I feel it too. Only this problem is very urgent and you have to want to solve it. In addition, you should all talk about how we see the open government in 2015 and beyond.
ParlaMint-NL_2015-06-11-tweedekamer-3.u63	My pain is also a little in the fact that we agreed with each other at procedural meetings of various committees that we would let the initiative law go ahead with this law, but that the outcome of that agreement is the other way round. I invite Mrs Fokke once again to make it very clear what the bloodshed, the superurgency, is for the Labour Party to deal with this now. Why can't we deal with the wider law in a few weeks, or maybe by September at the latest? What exactly is the urgency?
ParlaMint-NL_2015-06-11-tweedekamer-3.u64	There's definitely a problem. Evil will take advantage of the linking of the WOB to the Penalty Act and submit very strange requests. If you read the letter from the Attorney General and see how much the number of requests has increased, you can't say there's nothing going on. You can let that pass, but you can also say: we have to close this hatch. I think we're there ourselves. I also think it is my responsibility as a member of the PvdA Chamber. Shall I be very honest? I am well aware of the fact that the Penalty Act has ever resulted from an initiative bill proposed by one of my predecessors, Mr Wolfsen. In practice, it works very well in some laws. The motion-Fokke/Taverne was not a limited motion that was only aimed at the WOB. It was a general motion, with which it was said: look at the overall playing field to which the Penalty Act applies. So there are laws where this works just fine. But we've found that the Penalty Act on a particular component, the WOB, is not working. At least evildoers can take advantage of it. That is very sad for the people who are making justified requests. The government has to solve that as soon as possible and close that hatch. That is exactly what the Labour Party would like to do.
ParlaMint-NL_2015-06-11-tweedekamer-3.u65	Mrs Fokke's motion has now been tabled more than a year and a half ago. Now we are talking about this bill, while we have already dealt with the first term of the Open Government Act. What is the bloodshed in, as Mr Schouw called it, that this must be dealt with for a few weeks for the treatment of the Open Government Act? Explain that. What's with the emergency?
ParlaMint-NL_2015-06-11-tweedekamer-3.u66	I think that at that time we all said that the abuse had to be looked at. It's urgent. It is not for nothing that in 2011 a bill from the then CDA Minister was in consultation. Now, with this proposal, you just have to speed up. Mrs Voortman can say that this bill is going to crash hopelessly in the First Chamber, but I think that if the Open Government Act is beyond the Second Chamber Mrs Voortman knows how the First Chamber works; we once stood there together he has not been treated one-two-three in the First Chamber. I would like to give the following to Mrs Voortman. She also sees the problem of the link between the Open Government Act and the Penalty Act. I don't think the decoupling of the Penalty Law was initially in the Open Government Act either. When signals came from the press and the VNG that something was going on, the Open Government Act introduced the release of the penalty payment. So Mrs Voortman herself sees that it is urgent. So let's do one thing, but let's not let the other. So it's fine that we're standing here today. That is good, but we must do it with urgency. In view of last week's debate on this issue, I had actually expected that the Open Government Act would not be dealt with in plenary this week. I am therefore in favour of keeping pace with both laws, because one does not rule out the other. As long as you don't have the Open Government Act, it's fine to close a hatch in the WOB. The Open Government Act must become a successor to the WOB.
ParlaMint-NL_2015-06-11-tweedekamer-3.u67	I haven't indicated at all that I think this bill will end in the First Chamber. However, I believe that Mrs Fokke's fear is probably not entirely unjustified. This point is included in our balanced Open Government Act following extensive talks with this minister. What is at issue here is whether this is an emergency issue, which requires us to cut this off here and now, right now. I have still not received an answer from Mrs Fokke. What facts are there that this problem is so urgent that it should be incorporated into a separate law?
ParlaMint-NL_2015-06-11-tweedekamer-3.u68	We can have a philosophical discussion here about how many there are. But if you look around the Netherlands and see all the consultation letters from the police and the College of Attorneys General, which are also included in this bill, and if you are going to talk to municipalities and the Union of Water Councils, then you cannot insist that nothing is going on. If you look at the numbers in the college letter, in some years we are not talking about a doubling but a fivefold increase since the WOB is linked to the Penalty Act. Then you cannot insist that the problem is not urgent and that nothing has to happen. Well, there's got to be a balance. It is not going in the right direction if a legislative proposal is mainly directed towards the abusers. There are a lot of people who submit legitimate WOB requests. That is what I will come up with in my amendment. I want more balance in this bill. That balance is not in the balance right now. Last week, when the Re-use of Public Sector Information Act was discussed, a deadline for the provision of information was mentioned. I can imagine that the deadline proposed by the amendment will also apply to the WED. This would mean going back from eight to six weeks. Can the Minister state his views on this? In addition, the PvdA considers that only the appeal of the direct action, with many additional conditions in the WOB to prevent abuse, raises an excessive threshold. People need to move directly to court, leading to unnecessarily high costs and legalisation of the process. The Labour Party is therefore in favour of simply opening the possibility of objection again in the WOB. That is why we have tabled an amendment on this subject. As far as the PvdA is concerned, we leave people the choice. Let them decide whether they object or whether they prefer to appeal directly. Because on the subject before us we like to keep our finger on the pulse under the motto "how do the rules we lay down here in Parliament work in practice?', the PvdA would like an evaluation to be carried out. That is also included in the amendment.
ParlaMint-NL_2015-06-11-tweedekamer-3.u69	I believe that this is the amendment to item No. Nine is... nine is... nine is... nine is... nine is... nine is... nine is... nine is... nine This makes it possible for people to raise objections before they go to court. Doesn't that just mean waiting any longer?
ParlaMint-NL_2015-06-11-tweedekamer-3.u70	No. You can do different things. In the country it is said: if the bill is not there, please return the objection. That works fine in itself within the framework of the Public Administration Act and I am sensitive to that. People say it used to just function. For 2009 we had an objection procedure in the Public Administration Act and that is fine. Now it might be a bit legal, but that's my old branch of sport. In addition to submitting objections, you can go to court and enforce it more quickly. In fact, if you really want information, you may end up getting what you want faster through the objection procedure than through the direct appeal. It is precisely in the context of this legislative proposal and in the context of the WOB that many thresholds are incorporated into the direct profession. So it's just a question of getting your information faster. In the end, we want people to get their information quickly.
ParlaMint-NL_2015-06-11-tweedekamer-3.u71	Yes, we want that, but that will mean, in practice, that if the amendment is adopted, you will object to the same government in the event of a refusal. Then you get a hearing and an opinion from an appeal committee and then the government says: we don't do it anyway. Then you're de facto months away, aren't you? That's not gonna make any sense, is it? This doesn't speed up the process of obtaining information that people are entitled to, does it?
ParlaMint-NL_2015-06-11-tweedekamer-3.u72	The way I think it goes too far today to give a course on the Open Government Act that is not currently in place I would not like to give a course on the General Administrative Law Act. The hink-step-jump that makes you that you should have a hearing anyway, doesn't add up. If you, as the petitioner, believe that a hearing is not necessary because the case is clear, and you just want to have that information, then you can waive a hearing. In the objection, that can go very quickly. If you don't trust the government agency, you can do two things. You can appeal directly, which makes my amendment possible, but you can also go to court pending the objection. Your amendment raises a very fundamental threshold in the WOB and gnaws at the WOB far more than the amendment I have tabled. Leave people the choice and keep the speed in. This can be done through direct appeal if not all the clocks and spoons in the bill are actually implemented, but this can also be done through objection. We want the decision to be made as soon as possible, even if it doesn't come in the first place.
ParlaMint-NL_2015-06-11-tweedekamer-3.u73	This brings to an end the first term of office. There was a little more debate than we had anticipated beforehand, so it also took a little longer. As a result, it is not possible to give the Minister's answer today. We have another debate to start at 1 p.m. on the spot, so we will schedule the Minister's reply as soon as possible in the first period.
