ParlaMint-NL_2015-11-17-tweedekamer-21.u1	Mr Verhoeven is already ready for his input.
ParlaMint-NL_2015-11-17-tweedekamer-21.u31	I want to know how long you think you need in terms of time.
ParlaMint-NL_2015-11-17-tweedekamer-21.u32	Do you think I've been long-winded?
ParlaMint-NL_2015-11-17-tweedekamer-21.u33	No, but I have other debates, too.
ParlaMint-NL_2015-11-17-tweedekamer-21.u34	I'll get through it as soon as I can, Mr. Chairman. Mr Verhoeven asked when the implementation of the antitrust directive would come. The bill will be presented to the Chamber as soon as possible by the Minister for Security and Justice, after receiving the opinion of the Council of State. We are now in the phase of the internet consultation. The procedure has therefore been initiated and I think that the offer by the Minister of Justice to the Lower House can take place in the first half of 2016. Mr Verhoeven referred in particular to the points that I was the first to deal with, and I hope that this has been done to the satisfaction of Mr Verhoeven. Mrs Vos supported some of Mr Verhoeven's points and addressed the pension sector in particular. I hope that has also been adequately answered. I have answered Mrs Mulder's comments on the mandate. I have also responded to her comments about the four years. She asked what was the reason for the legislative amendment, whether it was about raising money or increasing the impact of the ACM. I do not know whether this fully reflects the views of Mr Fonteijn of the ACM, who sees more success in standard support discussions. I think that these views are balanced and Mr Fonteijn is pleased to be working with the ACM. Where he talks about standard support talks, there is nothing to stop him from doing so. In addition, fines are important and I believe that fines should also be limited. I think the maximum was too low. We have increased that and it is good that we are doing so. So I would say: and continue these standard support talks, and perform adequately if a fine is really to be paid. Then do so and let that fine also be such that it has a sufficient deterrent effect. I have answered Mrs Mulder's questions about small businesses. I come to the capacity of the ACM. I think every part of the government you take to the head is the same. If you start talking about the important work that one does and you ask about the capacity, all government components will tell you that they have too little capacity. However, the political parties will then redesign their electoral programmes and the government will again be severely reduced. Then we have to have a smaller government, then we have to have less money and then we have to work more efficiently. Those things, of course, compete with each other. You can't meet all the wishes and also make the government smaller. We at the ACM, as one of the parts of the government, try to ensure a proper occupation that can be done in a reasonable way. If the penalty ceilings are increased, there will be some work to be done, but things are happening elsewhere which will free up some capacity. I don't know exactly how many people work at the ACM, but I think there's a big 500. When things like this happen, you have to put them in there. We've recently evaluated the ACM. I intend to send that evaluation to the Chamber at the turn of the year. I will also discuss the occupation and the expectations surrounding the ACM. I will state whether everything is still being done in a responsible manner in my opinion. Mrs Mulder has asked whether this bill is also about care. I started my speech by stating exactly what laws it is about. That is the limitative list of all the laws to which the increase in the fine ceilings applies. Mrs Mulder also asked why there was no ACM-wide payment scheme. I must remain guilty of the answer to that. I can't give you that. I will try to obtain information on this for the second term of the Chamber and to deal with it in my second term.
ParlaMint-NL_2015-11-17-tweedekamer-21.u35	Thank you for your answer. The Minister has already answered many of my points. One of the questions I had asked was about the competition lawyers who criticised the ACM because they would not deal with complicated cases. Does the Minister recognise that criticism and, if so, what does he do with it in relation to the ACM?
ParlaMint-NL_2015-11-17-tweedekamer-21.u36	I don't believe in talking away criticism. I think it can always be better. When those involved come up with criticism, you have to listen and look carefully. As a result of this criticism, we can also draw attention to this point in the evaluation. We shall see whether this is the case and discuss it with the Chamber. My impression, based on my knowledge of the ACM, is that the ACM does not. Complicated matters naturally occupy a large and long time on your capacity. Then you have to consider, because there are all kinds of other things that need to be done. How do you do that? You know, that's a bit of a pinch, like it's a pinch on all of us, even in your work and in my work. That's just part of it. If there is criticism of you, me or the ACM, we must listen to it. Then we need to see if there's any possibility of improvement. We shall therefore also look at this point in the evaluation.
ParlaMint-NL_2015-11-17-tweedekamer-21.u37	I would like to thank the Minister for his commitment on this point. It is therefore taken into account in the evaluation.
ParlaMint-NL_2015-11-17-tweedekamer-21.u38	I thank Mr De Love for the support he has given. It is important that he and I look at the same thing at the point of the functioning of the market. Otherwise it would also become a bit politically unclear, I estimate. So Mr. Love's approach is my approach. I'm happy about that. Mr. De Love also wonders how I look at the fine reduction by the judge. I think that should be looked at on a case-by-case basis. The ACM has been imposed by us, but between zero and the penalty limit much has to be weighed and assessed. In an individual case, you create your mind up as ACM and see what should happen. That will be the penalty imposed. Then, in our rule of law, we have the opportunity to go to court. If the judge corrects the fine, that's a signal for the ACM. If there are multiple signals, the ACM will take this into account to a greater extent. I do believe that the increase in fines, particularly in the case of cartel infringements, sends a clear signal from the legislator to all those involved. We think it is desirable that the fines should be dissuasive and therefore allow the fines to be higher. We must now look at how the functioning of the ACM and the application of the extended possibilities will work out in practice and how it will stick to the courts. In all cases, of course, I cannot question the independence of the judge. Mr De Liefde also spoke about the BES islands. I have tried for years to avoid that word and to talk about "Caribbean Netherlands," because that sounds so much more friendly. "BES Islands" sounds so technocratic. I think I lost that fight, because it's all about the BES. We're talking about Bonaire, Saint Eustatius and Saba. I have not received any signals that the penalty ceilings applied there, Mr De Liefde himself mentioned the amount of $56,000 worth of US dollars.... are not sufficiently dissuasive. As soon as I get signals from that, I'm gonna have to act there too. As a result of what Mr.De Love has said on this point, I will be extra attentive to consider how this now works in practice in the BES islands, whether it is right that there are no signals and whether it is something that we really need to look into. I'll take the point of interest he's given me. To Mr De Liefde I referred to Mrs Vos's amendment on pension funds. I come to Mrs Klever's questions, which also dealt with the cartel provisions and the increase in the fine to four times 10%. She wondered what would happen to the fine money if the European Union took over the case. My answer is that the fine will then go to the European Union. I'll check this out. If this is any different, I will come back to that in the second term. The liability of directors is arranged separately. You are liable as a driver in those cases that are laid down in the law. You will then be liable for culpable actions. This law, which only looks at penalty ceilings being increased, has no influence whatsoever on the liability of directors. If there are any further questions, I would like to hear them and I or one of my colleagues will discuss them on occasion. Mrs. Gesthuizen is asking if we are already getting more notifications from cartel offenders. I don't have any data on that. Mrs Gesthuizen finds this interesting, so I will see if those data are available. If these aren't there right now, I might take some time to follow what's happening. I will come back to this on another occasion, following what she has said. Mrs Gesthuizen also asks if I expect fewer offences due to higher fines. The higher penalty ceilings, especially if they are, as it is intended, translated by action by the ACM, will indeed lead to that. The ACM is currently running against these fine ceilings in a large number of cases, but this will not be the case anymore. Higher fines will also be imposed in practice. I expect that this will have a greater deterrent effect and that there will be fewer offences. Ms Gesthuizen also discussed the capacity of the ACM. When I went into that a moment ago, I did the same towards Mrs Gesthuizen.
ParlaMint-NL_2015-11-17-tweedekamer-21.u39	Let me look at the Members to see if there is a need for a second term. That's the case.
ParlaMint-NL_2015-11-17-tweedekamer-21.u40	May I ask for a short suspension? I have to prepare an answer on one point.
ParlaMint-NL_2015-11-17-tweedekamer-21.u41	That's good.
ParlaMint-NL_2015-11-17-tweedekamer-21.u42	Not all Members need a second term, but Mrs Mulder does.
ParlaMint-NL_2015-11-17-tweedekamer-21.u43	Mr. Chairman. I do not need four minutes, but I would like to make a few points. I would like to thank the Minister for his clarity about the smaller company in particular, namely that it is an estimate and not a target. The CDA really wants to prevent smaller companies from getting more or less screwed up by the need to show decisiveness with the collection of fines. I think the Minister has been quite clear about this today. Thank you for the commitment that we will receive the evaluation of the ACM and that it will also address the CDA's capacity demand. I would also like to thank the Minister for his commitment to address the criticisms of the competition lawyers. The evaluation of the Fraud Act has dealt with a number of issues. Does the Minister still want to involve them? I think it would be fine if, at a later date, but I would like to have an answer before the votes, to the wide-ranging payment arrangements.
ParlaMint-NL_2015-11-17-tweedekamer-21.u44	Mr Verhoeven also needs a short second-term contribution.
ParlaMint-NL_2015-11-17-tweedekamer-21.u45	Mr. Chairman. It seemed to be so short that there was almost no second term; I thought that was too short. I would like to thank the Minister for his reply. I still have one point to make. The Minister now chooses to take the average of four years as the maximum. The Minister knows I'd rather go to a higher number of years as a maximum. I would prefer not to have a ceiling at all, but at the moment there seems to be no support for this in this Chamber. It seems to be even legally difficult, on the basis of the Constitution and other laws. The VVD has just presented a number of legal matters. So I'd like to take a look at that. What would the Minister say about a seven-year term? This is in line with the retention obligation that companies have for their data in the accounts. I am looking for a way in which cartel cases at the top, namely cases that last more than four years, are not penalised less severely by the average of four years, which the minister calls the average duration of a cartel. That is the thrust of our amendment, which ties in with the number of years that the cartel has lasted. That's my only point.
ParlaMint-NL_2015-11-17-tweedekamer-21.u46	I shall now give the floor to the Minister. He too can be brief and concise.
ParlaMint-NL_2015-11-17-tweedekamer-21.u47	Mr. Chairman. Mrs Gesthuizen asked me in her first term for repeat figures. I'm going to collect those numbers and present them to the Chamber. Mrs Klever asked about the EU fine. I said that it is likely that the fine will remain with the EU, and indeed it will. Mrs Mulder asked why there is no payment arrangement in the bill. I think it is indeed necessary to have a payment arrangement. For that sort of thing, we have the General Administrative Law. It regulates things that apply to a lot of laws. In this case, it concerns Article 4:94, fourth paragraph of the General Administrative Law Act. It states that the administrative bodies have the opportunity to make a payment arrangement. The ACM is going to apply this article and it should, but that is why it is not necessary to include it separately in this legislative proposal. After all, material is achieved what Mrs Mulder wants to achieve. Mrs Mulder gave an extra focus on the evaluation. She said that the evaluation of the Fraud Act highlighted a number of points that are also relevant to this issue. It therefore wishes to see them involved in the evaluation. I'll do that. Mr Verhoeven pointed out with his characteristic flexibility that he would also be prepared, albeit not unlimited, to return to the cartel fines, because he wanted to hold on to them. He asks: couldn't you take a seven-year term? I think I've been going very far with those four years. There is no European country that does this. 10% of turnover in a year is seen in Europe as a deterrent to cartels. We do not think this is enough in the Netherlands. I want four times 10%, i.e. 40%, while others by 10% are enough. Imagine having a company with a $1 billion turnover in a cartel, and you could get a $400 million fine. I think this is going to affect the company's pre-existence very quickly. We also have to take into account what the Chamber has said on previous occasions. I think we are going very far with the greatest increase in the fine ceiling on this point, and I would like to limit it to that. Mr Verhoeven makes a great gesture by agreeing to seven years. I'd still like to turn off that outstretched hand and leave it at that for four years.
ParlaMint-NL_2015-11-17-tweedekamer-21.u48	It would not be good for me to say now that the Minister is reacting to my proposals with his distinctive strength.
ParlaMint-NL_2015-11-17-tweedekamer-21.u49	Now you've said it.
ParlaMint-NL_2015-11-17-tweedekamer-21.u50	Now I've wrestled it in between; no! I thank the Minister for the answer. In the investigation, the maximum duration of a cartel was 12 years. That's a bigger cartel. In this way, you leave relatively unpunished cartels, which are indeed heavier than those in all the other European countries, I know that the large cartels that last for a long time, especially if you look at the fact that in 98% of the cases they produce more than the cartels cost. I'm stuck with that. I will consider my amendment. I know the Minister's been thinking a lot for four years. I would like to give him the following: twelve years is something quite different than four years. The investigation reveals four years as an average, but not as a maximum of the duration of the cartel.
ParlaMint-NL_2015-11-17-tweedekamer-21.u51	Twelve years really is an extreme exception, because the average is four years. The principle of proportionality should apply. The penalty must be proportionate to the seriousness of the infringement. If you can get a fine with this proposal that means that you have 40% of the total turnover of a year. I'm not talking about profit, but about the turnover of a year..................................................................................................................................................................................... Going any further is hard or hard to defend. That is why I am happy to stick to this proposal and advise against Mr Verhoeven's amendment. Thank you, Madam President.
ParlaMint-NL_2015-11-17-tweedekamer-21.u52	I'll take a look around. There were no questions left. I would like to thank the Minister and Members of Parliament for this debate.
ParlaMint-NL_2015-11-17-tweedekamer-21.u53	We shall be voting on the legislative amendment and the amendment tabled on Tuesday.
