ParlaMint-NL_2015-02-12-tweedekamer-8.u1	I would like to welcome all those present in the Chamber.
ParlaMint-NL_2015-02-12-tweedekamer-8.u59	Mr. Chairman. Two weeks ago, I was allowed to visit people's homes in Groningen. People who have had earthquakes and still have earthquakes to this day. People living in beautiful farms. Whole villages are also involved. I've been to the village of Rottum. People who put their souls and salvation into maintaining their home, their future, and their vitality. People who have lived in Groningen for generations and people who have just moved in because it is a beautiful area. People who really feel at home there. They all had the same question and the same concern: how safe can I live here, not only now but also in the future? That concern applies not only to their homes, but also to their surroundings. If Loppersum has to close two primary schools because of safety, because the kids can't be safe there, you're hitting it hard. As the father of three children, that hits me very hard. These people, these Groningers, do not ask for money or compensation, they ask for security. They ask: can I stay here, where my heart lies, and can I do so safely? I think that's the worst thing that can happen to you, that you live in a place where you don't feel safe, where the environment doesn't feel safe and you wonder if you're safe. I'm not a Groninger. I'm from Zeeland. In my neighborhood, I've heard the stories. On the night of January 31st, 1953, the combination of southwest storm and spring flood caused the largest natural disaster since 1570. Large parts of Zeeland, the South Holland Islands and West Brabant were underwater and the consequences were terrible. To this day, there are Zeeuws who have experienced the storm flood and still have the feeling of insecurity, especially when the weather storms. People will sleep badly or not at all and the images of that night will come back. This happens after a natural disaster of over 60 years ago. What did the Zeeuws want then? Exactly the same as the Groningers now: no money, no compensation, but security and a perspective on safe living. The solutions for safe living were not there directly. Ten months later the last power hole closed and on 4 October 1986 the Oosterscheld barrier was closed by then Queen Beatrix. That was 33 years after the disaster. The future perspective is now important for Groningen. We're not gonna wait on that. The first steps have already been taken by the cabinet. Reductions on the advice of State supervision of the Mines are being continued and now the Minister and the Cabinet are taking another step in reducing the extraction of gas further to the level of security of supply.
ParlaMint-NL_2015-02-12-tweedekamer-8.u60	I hear an incredibly compassionate story from the VVD. My compliments on that. For the time being, however, the VVD is the only party that does not want to turn off the gas crane and wants to stick to that 39.4 billion cub. Is it true what I read on the front page of De Volkskrant this morning, namely that the VVD demanded that savings be made if after 1 July the gas tap cannot be opened further, and that the VVD threatened the Labour Party with additional cuts of EUR 1.7 billion if the gas tap cannot be fully opened after 1 July? Is that right?
ParlaMint-NL_2015-02-12-tweedekamer-8.u61	First of all, you shouldn't always believe what's in the paper. I have noticed this in the meantime in this debate. There's a lot in newspapers that you can ask the question of after reading: is this true? In addition, I think it was the cabinet that was involved; I read it very quickly. There was talk of "circles around the cabinet." That kind of woolly terms is then used. I have no idea, but I'm not talking about money, because it's the solution. I have said before, also on the radio: money follows the solution. We are talking here about the solution, about the future of Groningen, about the viability of Groningen and about the safety of Groningen. If Mrs Klever wants to take me on board here, I can, but I will do so on the basis of a careful position. Let me stress once again that if Mrs Klever uses strong texts here and says that 30 billion cuub is safe, then I say that she cannot guarantee this. There's no evidence of that. In fact, I don't take responsibility for it if you can't guarantee the future and that crane has to be fully open.
ParlaMint-NL_2015-02-12-tweedekamer-8.u62	Mrs Klever does not guarantee that 30 billion is safe at all, but Mrs Klever notes that 39 billion is less safe than 30 billion! The VVD holds on to that 39 billion around the treasury. At the end of last year, the cabinet whistling transferred EUR 1 billion to the EU, but there is no money for Groningen. Where was the VVD when the finance minister transferred that money to Brussels? Where was the VVD when she knew that in Groningen the gas tap had to be closed? The VVD didn't give home. Money to the EU and no money to Groningen.
ParlaMint-NL_2015-02-12-tweedekamer-8.u63	Maybe the math test is gonna help, but 1.2 billion to Groningen isn't "no money." So I think we should also look at it in perspective, also given the developments and the amount of money that goes to Groningen. By the way, it is not the amount of money that is involved; it is what the solution becomes. If it means it takes money and it takes more money, then we're gonna take care of it. Everyone knows that. Then Mrs. Klever shouldn't pretend that's not true, because that's true.
ParlaMint-NL_2015-02-12-tweedekamer-8.u64	I have heard the VVD dedicate many words to the element of security. I am truly pleased that the VVD wants to put security first. This attitude of the VVD cannot be reconciled with the extraction ceiling of 39.4 billion cubic metres which is still on the table. Can I count on the support of the VVD to remove that extraction ceiling from the table?
ParlaMint-NL_2015-02-12-tweedekamer-8.u65	That extraction ceiling is based on a different way of thinking about gas extraction. That's based on stacks of investigations that are there. With the knowledge of that time, the cabinet made that decision. At the moment, there is another perspective, as the Minister has also pointed out, and that concerns the question: how are we going to look at gas extraction? That means a completely different way of thinking. From the precautionary principle, the 35 billion has been chosen. An excellent calculation has been made for this. I also think it wise to take 16.5 billion cube for the first half of the year as a precautionary measure. I think that is an excellent cut, also heard my colleagues from the VVD Groningen. What matters is that you can't guarantee security until you know what's going on. I have just heard the Commissioner from the King of Groningen, who said: do not make it a political game. I just heard Mrs Van Veldhoven say that you are reaching a decision on the basis of good information and scientific information. If that information isn't there, you have to be very careful. Again, I follow the reduction of gas, but what I absolutely do not want to take responsibility for is that that gas crane suddenly has to open up to very much and very high. I don't want to. I therefore think it wise that you take the middle between a flexible and a flat extraction and therefore do not pre-sort one or the other. It is also important that there be a very good report, of which we as a VVD ask for the inclusion of viability, i.e. a kind of social cost-benefit analysis. And then, on the basis of all that, come to a good decision. Those are things that come together. I might say it a little harsh, but now to shout gratuitously that 30 billion is the solution is not my choice.
ParlaMint-NL_2015-02-12-tweedekamer-8.u66	I listened very carefully to the VVD. Is it true that for the VVD the 39.4 billion is now off the table? I heard Mr Bosman speak of 35 billion. If that is the case, then why should the maximum necessary for security of supply become the new standard and can we not sit on the 30 billion as a new standard because we are sure that the lower we sit down, the more heavier tremors we can prevent?
ParlaMint-NL_2015-02-12-tweedekamer-8.u67	No, because the problem isn't just lowering it. The problem is also in the question of what you do if there is a cold winter or if there is a technical problem. What certainty does the Christian Union give to all those inhabitants of Groningen that if panic breaks out and gas is needed for security of supply, then we should not take that flexibility out of the Groningen gas field? Because I understand that the place where you need to be to get gas quickly is Loppersum. If you don't want something, it's fast-paced in Loppersum. This Minister has made it quite clear that I am putting a cap on it. I think that is very sensible, but then you must continue to deal with it very carefully.
ParlaMint-NL_2015-02-12-tweedekamer-8.u68	In view of the events of the last few weeks, I had expected a short, modest story from the VVD, after which Mr Bosman would have sat in his chair again with the tail between his legs, but that did not happen. I now hear him talking about schools that are about to collapse, about him being a father of three children and about Zeeland et cetera. Is Mr Bosman heading all the way or is it still a party that simply wants to win almost 40 billion cubs and which is the only one in this room for shale gas drilling? What's the deal? Am I listening to Mr Bosman in private or am I listening to the Lower House Group of the VVD?
ParlaMint-NL_2015-02-12-tweedekamer-8.u69	I'll repeat it again. The King's Commissioner, Max van den Berg, had a very clear message: do not make this a political game. It's okay, but care and responsibility belong to the VVD. I'm not running from this. I'm not leaving here with the tail between the legs. I stand for this story, because I believe in this story. I do not think we should treat the matter carelessly. There's gonna be state elections soon. That's interesting for everyone who's standing here, but we shouldn't. What matters is that you can keep the decision you're making now in the future. That means you can't just turn that gas tap. We do not know what is happening, we do not know what the effects are. Anyone who wants to say that now, I think they're brave, because I don't know.
ParlaMint-NL_2015-02-12-tweedekamer-8.u70	If he is honest, then Mr Bosman must acknowledge that care at the VVD is much more focused on the gap in the state budget than on what is being won out of Groningen. If that is not the case, he must now say here that with us he will find 30 billion cuub the maximum for 2015.
ParlaMint-NL_2015-02-12-tweedekamer-8.u71	Here the SP of gas extraction makes a financial story.
ParlaMint-NL_2015-02-12-tweedekamer-8.u72	There are laughs in the public gallery and I am going to say something to the people there. You are very welcome and I understand that you feel a lot of emotions, but I must ask you to refrain from expressing consent or disapproval. If you feel like you're laughing, I'm asking you not to. The debate is taking place in the Chamber and everyone must have the freedom to say the things he wants to say.
ParlaMint-NL_2015-02-12-tweedekamer-8.u73	Mr Smaling is linking it to the money and I am not linking it to the money, but to the solution. We are talking about the solution here. That's the point. Clearly, there are political differences as to how to find a solution. We talk about that, but the money follows the solution.
ParlaMint-NL_2015-02-12-tweedekamer-8.u74	I am stunned by Mr Bosman's introduction to this speech. First, he pretends that a natural disaster that happened to the Zeeuwen is the same as the earthquake damage in Groningen. That's not a natural disaster, it's an industrial accident on a massive scale. In 2008, 2009 the VVD ran away. Then there were reports from KNMI and TNO in which a clear link was established between earthquakes and gas extraction. The VVD ran away in 2013 when we tabled a motion to take steps towards gas reduction. That motion was not supported by the VVD. During the whole year 2014, the VVD ran away. The party was nowhere to be found. And in 2015 the VVD is again not here to say: we need to intervene. No, I hear Mr Bosman saying that more research is needed, that we do not understand exactly what the situation is, that a flat extraction might help.
ParlaMint-NL_2015-02-12-tweedekamer-8.u75	What's your question?
ParlaMint-NL_2015-02-12-tweedekamer-8.u76	My question is: when will the VVD say that Zeeuwen should be as safe in Zeeland as Groningers in Groningen?
ParlaMint-NL_2015-02-12-tweedekamer-8.u77	Of course the disaster in Zeeland was of a different order and of course the care in Groningen is great. That is why we must work on it and have a responsibility for it. But the ease with which colleagues sometimes say that we choose wrongly without providing any justification... I do not see any reports or evidence for that. They're choices. Behind that 30 billion is a comma. If we don't name that comma, we're gonna cut people short. That comma means that it can only be done if the technical possibilities are full, if there is no cold winter. All these things are part of that. I'm not going to take it on board to say tough here that I'm going to go to 30 billion to conclude in winter that the crane needs to be opened further. I don't want to. I don't think that's right. I'm not running away, but I'm weighing up the concerns I have, because I think that Groningen has a right to safety.
ParlaMint-NL_2015-02-12-tweedekamer-8.u78	Since the year 2000, gas extraction in the Netherlands has increased year in, year out. The VVD never resisted that. The VVD never asked questions about that, because she was fine with the money going into the treasury. At the moment, the problems are high. The VVD keeps looking away, has not supported initiatives from other parties and has always ignored scientific advice. To cling to the straw that there will be a cold winter as in 1985, I find an incredibly weak offer. I would like to ask Mr Bosman once again to join the opposition parties and say that this year we must go to the absolutely lowest possible level to ensure that security increases. Mr Bosman is right to say that we are too late to prevent possible major earthquakes. However, the VVD is partly responsible for this. Is Mr Bosman prepared to take a step, at least to make it a little safer for the people of Groningen and to clarify?
ParlaMint-NL_2015-02-12-tweedekamer-8.u79	It is easy to point the finger, and that is allowed, because we all bear that responsibility. We were all present. This minister said he's going for security. He's taking a different perspective. He's not gonna take the maximum that's safe, but he's gonna go for security of supply, and he's gonna link it to security. That's a little "thinking," because how do we deal with that now? How much do you need? There's still questions for me, too. Does this mean, for example, that I have to make a decision every year and assess how cold it is going to be? This relates to security of supply. How do I deal with that? Those are questions the Minister is going to find out. I hope we will all find out on 1 July, because it all has an effect on each other. We can say very bravely that we need to make a decision now, but I think that is a very bad thing. That's pre-sorting, especially if it's just within reach of the outcome. I wouldn't like that. Mrs. Van Tongeren shakes "no." So she already knows. She could be, because she's a geologist or a seismologist and she knows all about it. I am not, and like Mrs Van Veldhoven, I think it is important that we base ourselves on scientific and factual information.
ParlaMint-NL_2015-02-12-tweedekamer-8.u80	Once again, I am asking for the debate to be conducted only through the microphone. There are a lot of people who follow it remotely and they can only hear those things that have been said in the microphone.
ParlaMint-NL_2015-02-12-tweedekamer-8.u81	First of all, let me get something straight. It was just said that 1.2 billion is not nothing towards Groningen. Of this 1.2 billion, however, 800 million is a cigar from its own box, which the NAM must pay for the damage caused to the houses by the earthquakes. That is also something we hear a lot here, but what is not right. With the gift towards Groningen it's all a bit not so bad, unfortunately. Am I hearing the VVD say she wants to go back to 35 billion cubs? My colleague from the Christian Union also asked, but I did not hear the answer very clearly. Or is the VVD willing to go further down and perhaps reach 33 or is it holding on to 39.4 billion cube for this year? I'm trying to figure out where the VVD is right now.
ParlaMint-NL_2015-02-12-tweedekamer-8.u82	These aren't presents for Groningen. I think it's really inappropriate; we really shouldn't talk about that. Groningen doesn't get compensation and presents. This is about damage and something the Groningen are entitled to. I would like to re-appoint that care. They're just entitled to that. They have a right to their living capacity, their living environment and the home in which they live. They're just entitled to that. Once again, money follows the solution. I'm not gonna start a number discussion here, because security is paramount. Anyone can ask me to name a number, of course, but that's random. I'm not gonna do it.
ParlaMint-NL_2015-02-12-tweedekamer-8.u83	At the end of the day, we will decide on the Minister's decision and there will be a figure of 39.4 billion. We decide whether that remains the decision. We would like to know from the VVD whether it will continue to agree, even if it may go back to 16.5 billion in the first half of the year. Where's the VVD? Otherwise, in the second half of the year you will have to gain a huge amount to get back to the level of 39.4 billion cubs. That is exactly what Mr Bosman said earlier in his speech that he did not want to have. I really want to be clear about this from the VVD.
ParlaMint-NL_2015-02-12-tweedekamer-8.u84	Now I am accused of looking forward; I should not. The Minister has taken a decision for the first half of the year and that is what this is about. There is clarity: 16.5 billion cube. We're going to look at gas in a different way, and we all have to be very honest about that. There's another way we're gonna look at how we're gonna win that gas. This means that we are also going to look at the risks and the possible consequences in a different way. Those are the things that come together. I think that 16.5 billion cub is a very sensible decision. The fact that there will be further reports and investigations on 1 July, and that we will take another decision on this, I think, is also very sensible.
ParlaMint-NL_2015-02-12-tweedekamer-8.u85	I think people are really tired of not getting clear answers. I would like to point out to Mr Bosma and the VVD Group that you should not say that safety is paramount if you do not mean it. People are right to get really angry about that. "Safety first" means that you do not win gas and look from the safety point of view at what might still be possible. What the VVD does is continue the gas extraction and try to reason back. We must then prove the unacceptable risks involved in the extraction of gas. If a survey is carried out and if we do not amend Mr Kamp's gas extraction decision today, Mr Bosman and his group will take on a heavy responsibility. I'm gonna give that to you anyway. Government parties consult with the cabinet and I would like to know whether the VVD Group has considered in that consultation the question of which liability issues will be placed on the sign of the State and the sign of the House of Representatives. Has there been any legal advice on this? I am asking this because I cannot imagine that the VVD Group is serious about the fact that safety is at the forefront of this plan and its implementation. In my opinion, the VVD Group has no idea of the responsibility it is getting.
ParlaMint-NL_2015-02-12-tweedekamer-8.u86	I feel and have that responsibility. I take that responsibility, and that's why I'm standing here and telling you the story I'm telling. I believe in that story, because I think we shouldn't just make decisions. My group believes that we should not get ahead of these issues too quickly. If there's a parliamentary survey, I'll be there. Then I'm going to explain why I made the decisions I made and why I stand for the story of the VVD. I sincerely believe that we do justice to safety when we are careful and careful. I sincerely believe that.
ParlaMint-NL_2015-02-12-tweedekamer-8.u87	It would help if the VVD now made clear exactly what its decision meant. I would warn the VVD once again: if we do not change it today, it is not inconceivable that a parliamentary inquiry should be launched. We already know what warnings have been ignored. There's gonna be a report from the Security Research Council next week. I'd deal with it more seriously, because it's really not nothing. We cannot do it to the Groningen people to make a misdecision here and then conclude in two years' time in a parliamentary survey that we have ignored all warnings. I would not like to do that to the VVD, Mr Bosma and the Minister. Don't let it get to you! Do now what you say you value, namely safety first, and do everything in your power to ensure that.
ParlaMint-NL_2015-02-12-tweedekamer-8.u88	We're gonna end up in a bit of a what-as discussion. What if I'm right? What if that cold winter comes after all and that gas tap still has to open? What if things do happen anyway? I don't want to take care of that. I'm not sure. I'm very careful about that. I am very reluctant to do so, and I try to do so with all due care. I'm not going ice cream in one night. I don't just make it up, and I don't think "pull it all together" either. I, too, look at the scientific reports. I, too, listen to people in the hearing and in the round tables. I listen to everyone and I weigh everything. And what comes first with me is safety and vitality. And again, money follows the solution.
ParlaMint-NL_2015-02-12-tweedekamer-8.u89	Mr Bosman says a lot. I am standing here as the second last of a bunch of colleagues who only have one question for the VVD, and we are not getting an answer to that question: is lowering the 39.4 billion cub today an option for the VVD? Because whether it's 29 or 30 or 33 or with all the margins maybe 35 billion cuub, 39 billion cuub it's not. That is not necessary for the security of supply. I heard Mr Bosman say in a nutshell: that is why we are in agreement with 35 billion cubs. I would like to put that to the Minister in a motion today. Reduce the gas decision to 35 billion cubic metres and do not want more in the second half of the year than in the first half. Let's use that time to study. Does the VVD say yes or no?
ParlaMint-NL_2015-02-12-tweedekamer-8.u90	No, but I will come back to the words of Mrs Van Veldhoven. She also says that you don't just make a decision like that. You need scientific information about all kinds of things that come with it. The decision of 39.4 billion cuub was based on the knowledge and way of winning at the time. That's been given serious thought. We are now going to look at how we are going to generate gas and guarantee security of supply. We are going to think carefully about that. In the meantime, this minister makes a decision and says, "You know what? I count to 35 billion cuub, I count back and in the first half of the year 16.5 billion cuub." I think that's very sensible. It is essential as part of everything we find for the safety of Groningen. Not only the gas down, but also accompanying policy, focusing on central direction and strengthening and strengthening houses. Those are the things that come together. We do not yet have the actual information to anticipate that and to put it hard. Again, I'm linking it to safety, and that's essential. If there is a clear safety story on 1 July, I will link the delivery to it.
ParlaMint-NL_2015-02-12-tweedekamer-8.u91	We must therefore note that Mr Bosman's intervention was not true; he is not prepared to do anything. He says there's no knowledge, but I have here a folder full of reports that this minister has put on the table. We have received additional letters stating that GasTerra has calculated that for security of supply, linked to security, you really do not have to go beyond 35 billion cuubs. A lot of parties here have also calculated it: less is also enough. This is difficult to assess, because we consider security of supply important, but it does not have to be 39 billion cubic metres. The simple question now is: are you willing to do anything at all? Then today you go to 35 billion cubs and then your whole story is a political game you have just accused colleagues of.
ParlaMint-NL_2015-02-12-tweedekamer-8.u92	That's really not true. Again, we are in a number debate here, and I think that is inappropriate. The 35 billion cuub is the dividing line between flexible winning and flat winning. I think that Minister Kamp's 35 billion cub is a good idea to sort ahead and move in a very tight direction, but it is linked to another way of winning and another way of looking at how we deal with this. I find it inappropriate to say "just decide" now.
ParlaMint-NL_2015-02-12-tweedekamer-8.u93	I'm trying to understand the story. I'm following it a long way. I think it is a good story in the sense that the VVD also assumes security of supply on the one hand and security on the other. The essence of the discussion is: what conclusion does that lead to? I hear Mr Bosman say that we do not really have enough information to determine what it should be for the second half of the year. I'm a little surprised. I do not think we have enough information on a number of points, for example on flexible extraction, but I do not see anywhere in the reports the number of the 39.4 billion cubic metres. If you're gonna be safe, you're gonna want as little as possible. If you reason from security of supply, you want a maximum of 35 billion cube. I really do not understand how this reasoning can lead to the conclusion that that 39.4 billion cuub remains valid for the time being, except as a financial objective. We all think that is important in itself, but I can hear everyone say that this is not a priority in this dossier, and that is a good thing.
ParlaMint-NL_2015-02-12-tweedekamer-8.u94	That 39.4 billion cuub was created on the basis of the information provided by the SodM. It has been considered and with regard to that kind of extraction that is the safe margin, that stands. That is also at the heart of flat extraction, where we are talking about a margin of 35 billion cube to 42 billion cube, but that is flat extraction. There is no certainty how to deal with flat extraction. Mr Dijkgraaf talks about flat extraction, but that is the bracket you are talking about: 35 billion cuub to 42 billion cuub. We are now at the bottom of the flat extraction, even a little lower. We are now a long way towards flexible extraction, and I am, frankly, a little concerned about that. The Minister's reply gave me some confidence in that. The moment you're at the bottom of the flat extraction and still want to do that flat extraction, you don't have to anticipate it. Then you shouldn't presort. I think it is essential that we, as a Chamber, should not preside over a solution which you should have said afterwards that it should have been otherwise.
ParlaMint-NL_2015-02-12-tweedekamer-8.u95	No one expects it, but if on 1 July it turned out that it should not be 35 billion cube, but 37.5 billion cube because of security, we could still reverse it. Presorting doesn't mean pressing the discussion on one or the other. It is about what is the best available decision with the knowledge that we now have. All reports show that with 35 billion cuub you can meet the security of supply, that you do not need 39 billion cuub and that the lower the level of extraction, the safer the situation in Groningen is. If you go to that 39 billion cub in the second half, you actually win 23 billion cub, so you get to the 46 billion cub level. Then you build up that pressure massively. That's never supposed to happen, is it?
ParlaMint-NL_2015-02-12-tweedekamer-8.u96	In this very careful discussion, this is all being discussed. That means you decide to turn the extraction back for the first six months to 16.5 billion cube, trying to get all the information together for the second half. I just want to know where we come from on the basis of the safest solution. It's my lead. I have a few more questions about that. In fact, the Minister writes in his letter that there are also some questions about it. I therefore believe that we should be careful not to pre-sort, that we should not move in a direction which we say afterwards that we should not have done. In the context in which we are now sitting, I think we are taking the right steps to reach the right decisions on 1 July.
ParlaMint-NL_2015-02-12-tweedekamer-8.u97	You will continue with your speech.
ParlaMint-NL_2015-02-12-tweedekamer-8.u98	With the choice of 16.5 billion cubic metres for the first half of the year, at least one step has been taken in reducing gas extraction and hopefully a first step towards reducing earthquakes. By applying the cut in the mining year, you have an even better picture of what is going on in that year. On 1 July we expect a new report from the SodM. Can the Minister include more aspects than just gas extraction and security? I would like to see the social effects included. And how is the viability of the environment included in that report? I was thinking of a kind of social cost-benefit analysis, but I'd like to hear what the Minister thinks about this. During my talks in Groningen it became clear to me that confidence in the directors, the NAM and the government is low. I understand. If you get the idea that you're not being heard and that nothing's going to be done with your worries and damage, you're gonna quit. I am therefore pleased that the Minister is coming up with a remote central direction. I would almost call that a delta commissioner. That creates confidence, because I know what Zeeland has come out of. The same should apply to Groningen now. In addition to further reducing gas extraction, which has already been picked up by the minister, there is a need to go through the question of viability. Funds have also been made available for this purpose, but they must be used. Houses need to be reinforced, refurbished and made earthquake-proof. However, Groningen should not turn into a bunker landscape. Is there enough room for innovation and new ideas? Is there enough money available for this? I saw an idea for a rubber dam wall in the ground around the village of Rottum that can counteract the wave movement in the ground. What's going to be done with that? I understood that strengthening should take place mainly with large steel sections. Can't this be done with composite material, both on the wall and in the construction? What innovation does the Minister see as promising? Is there any connection with research institutes and universities to deal with this problem? Especially for the many monumental farms, houses and bonds, customization is essential and the Monumentenwet is sometimes pinching. Does the Minister see that, too? What space do the inhabitants of monuments like this get to improve these buildings in all due care? Both Mayor Den Oudsten of Groningen and his alderman Joost van Cologne have told me the importance of the city of Groningen, the economic engine of the North Netherlands. This town's in its own right, and it's not holding up its hand. All wishes hospital, bypass and new construction... has the city included in its budget. I am therefore pleased that there is an agreement with administrative Groningen to cover the additional costs of construction and adaptation. It is good to hear that there is an administrative agreement with the province and the affected municipalities. Only if everyone goes the same way can we really make a difference. That difference is the perspective we want to go to together with Groningen: a province where it is good and safe to live, where people want to work, go to school and want to enjoy the surroundings. Everyone will have to cooperate, not just the Groningers, because the Groningers have never left the Netherlands in the cold. Now is the time for the Netherlands not to leave the Groningers in the cold.
ParlaMint-NL_2015-02-12-tweedekamer-8.u99	The VVD has also been in Groningen to hear about the damage handling. Does the VVD consider that in dealing with the damage caused by gas extraction, an integral consideration should be given to soil decline, the effects of water levels and earthquakes? Should you tackle them at the same time as strengthening the most risky homes? How's the VVD in there?
ParlaMint-NL_2015-02-12-tweedekamer-8.u100	Those effects are part of each other. There is no descent of soil that occurs spontaneously. So I think it's part of each other. Then you're gonna have to deal with it like that and fill it out and get on with it.
ParlaMint-NL_2015-02-12-tweedekamer-8.u101	Last Monday it was said that we are looking again at the contour map. Who's out there and who's in there? In recent years with a lot of damage, we've seen that sometimes people just fall out. The dividing line then runs in such a way that the house opposite it falls inside. How's the VVD looking at that? Should all damage caused by natural gas extraction be compensated by the NAM, regardless of whether this damage is caused by soil degradation, the combination with water levels or earthquakes?
ParlaMint-NL_2015-02-12-tweedekamer-8.u102	I think it is important that this goes in consultation with administrative Groningen. There are talks going on and there they have reached agreement to get out as best they can. So there is a responsibility there too. Local government should be given every opportunity to set up its own environment and look where things are needed.
ParlaMint-NL_2015-02-12-tweedekamer-8.u103	I'll come back to the landmarks. Mr Bosman pointed out that the Monument Law has been a bitch when it comes to strengthening housing. The Monument Act also prohibits damage and destruction of monuments. We now see that many monuments, especially churches, are damaged by the quakes. Will the VVD Group respond to that?
ParlaMint-NL_2015-02-12-tweedekamer-8.u104	That is why we are now working on money and also on reducing gas extraction. We want to ensure that damage is reduced, prevented and repaired.
ParlaMint-NL_2015-02-12-tweedekamer-8.u105	Now there are really monumental churches being damaged. They are medieval churches, sometimes they are almost a thousand years old. It is very difficult, if not impossible, to strengthen those churches without violating the monumental value. Just these churches and other monuments, such as the men's farms, are defining for the area. They determine the identity of the area. They're built with clay from the area. I really want to appeal to the VVD Group. Because if we know that the recovery is so complicated, shouldn't we respect the Monument Law at this point and, in order to prevent further damage, really turn the gas tap back?
ParlaMint-NL_2015-02-12-tweedekamer-8.u106	It's about safety in general. If you say it's about the Monument Law, it's not quite... the reduction of gas extraction is already on the agenda. I really don't think it should all be with thick steel profiles. I'm really looking for innovation. This is also an opportunity for Groningen. It offers an opportunity to look at what kind of industry might still be there; an industry that is future-proof and that deals with all the things that are going on in Groningen. I mentioned composite. I know people who work in composite production. You can do a lot of beautiful things with that. You don't need the thick steel profiles of 30 centimeters at all. Those things are all part of that.
ParlaMint-NL_2015-02-12-tweedekamer-8.u107	However, I would like a clear answer to my question, especially now that I have been invited to it by the self-confident attitude of Mr Bosman who said: if there is a parliamentary inquiry, I am standing there. I asked whether consultations have taken place between the VVD Group and the rulers. It is very common for government parties to do so to rulers. I'm assuming, but I'd still like to get an answer to this. If the answer is yes, then my question is whether the questions on the precautionary principle have also been raised, and what risk do we run of being blamed for our death, given the knowledge that is now available?
ParlaMint-NL_2015-02-12-tweedekamer-8.u108	As a spokesperson, I have no idea. I'm not involved in that either.
ParlaMint-NL_2015-02-12-tweedekamer-8.u109	I can tell Mr Bosman that it will not be possible to get away from a parliamentary inquiry. I really wish I could force an answer by now, because I really want to know. This will be one of the key points in the debate, especially if we do not amend the gas decision. This is hanging over the market. Everyone feels it. Again, I call on the VVD to be honest about that so that we can check how hard the claim is that safety is paramount. That's the point.
ParlaMint-NL_2015-02-12-tweedekamer-8.u110	The suggestion is made that I wouldn't be honest. I'm really honest about this.
ParlaMint-NL_2015-02-12-tweedekamer-8.u111	Despite all the measures proposed by the VVD, there are people who feel unsafe in the shrinking areas, in the areas where tremors occur. Is the VVD prepared to provide people who want to leave those areas to move to a safer area, a generous removal allowance and ample support to live safely in other areas?
ParlaMint-NL_2015-02-12-tweedekamer-8.u112	My commitment and the commitment of the VVD will always focus on the viability of Groningen. I'll bet on that. I'm not ready to say, like some other party, "Get those people out of Groningen." I think they should live there, have the right to live there and be able to live in safety. That's what we're betting on. That is why we are now working on the gas decision and the accompanying policy. In this way, we ensure that people can stay there.
ParlaMint-NL_2015-02-12-tweedekamer-8.u113	That's not an answer to my question. I am talking about the people who, despite all the measures proposed by the VVD, say that they find it unsafe in the areas where they live and want to move voluntarily to another safer area in Groningen. Are you willing to support these people financially and give them a say in municipalities and provinces, so that they can go to other areas where it is safer? How does the VVD feel about that?
ParlaMint-NL_2015-02-12-tweedekamer-8.u114	We can do that already, and we are already doing that.
