ParlaMint-NL_2015-01-20-eerstekamer-3.u1	I would like to welcome the Minister of Education, Culture and Science to the Upper House.
ParlaMint-NL_2015-01-20-eerstekamer-3.u24	Mr Essers' first point, which is 2,700, is indeed an estimate of the CPB. That's an estimate made before the bill was redrafted. The VVD therefore shares Mr Essers' concerns, which are even shared by the entire House of Representatives and the government. These concerns have led to a large package of mitigating measures in the sphere of reimbursement and more intensive information, which I shall come back to later. So those concerns are shared. It is now necessary to consider to what extent the additional measures meet these concerns in a reasonable manner. You'll never get security about that. Mr Essers also had a question about the acceptable exit limit. Yeah, that's interesting. My group asked questions about this in the written round. We then received the Minister's explanation that as a larger proportion of students who are not going to study afterwards turn out to belong to the group that had otherwise fallen out, as shown by a falling out, the tolerance threshold will be higher. Because of a student who would have fallen out anyway, who is not going to study out of fear of loan, which is completely unnecessary, I do not regret that he is not going to study. You're even protecting that high school kid from the wrong choice of study. Suppose that 2,000 students abandon a study and it turns out that the drop-out is 2,000, then it is guessed that the choice of a large proportion of people who are not going to study would have fallen out differently. Then that 2,000 is a tolerated dropout. But when we see, which I absolutely do not expect, that there are still students who do not understand that you can go to study better and therefore refrain from studying, while they are not the ones who fall out later. We're gonna have to see how that works out. If you look closely at the qualitative groups you're talking about, you can't set a nominal limit in advance for that failure. That does not, of course, mean that we all want to minimize this failure. As summarised in detail on page 10 of the reply, on the basis of all the information, there does not seem to be any reason to assume that structurally large groups of young people are not going to study anymore. The bill was subsequently amended with a package because of these concerns during the process in the Lower House. Among other things, monthly charges for redemption go from 12% to 4%. That's another third of what we have now and an average of 1% of the collection income. This is therefore below the average percentage that all Dutch turn in to get the Netherlands out of the crisis. The discharge period has been extended from 15 to 35 years. What's left of residual debt is forgiven. So no one pays more than 4% of their income above the minimum wage in redemption. The drop-off threshold, which is now at the level of assistance, has been raised to the level of minimum income. It is made possible to pay off flexible and early. For students from families up to an income of €46,000, the supplementary scholarship remains. And for income below €30,000 it goes up by over €100 per month. Although certainty in general and in the case of legislative proposals in particular is never to be given, otherwise we would have nothing to do with these adjustments, considering, the conclusion not only of the government, but also of the majority in the House of Representatives, that anyone who is motivated can study. And to return to Veerman: the shift between collective and private contributions is in line with his advice. In relative terms, the Netherlands spends about as much on higher education as Germany, for example. But in the Netherlands, a much larger proportion of this money now goes to student income support, 3 billion a year. With the study advance, this income support is reduced by 1 billion, thus releasing more tax money for a quality boost in colleges and universities. I already hear support here on my right hand. The livelihood remains subsidised by 2 billion, even if one can ask whether this is a collective responsibility. In addition, the government, read the taxpayer, continues to pay the vast majority of the study in the new system. After all, we all benefit from a well-educated population. Let us be clear: doubt is the mother of all progress. Without uncertainty, no policy. But the accessibility of higher education for anyone who is able to successfully study and that also will is important for the VVD. It is not the intentions that are at stake, it is the results. My group therefore welcomes the commitment of this Minister, supported by various widely supported motions in the House of Representatives, to pay close attention to good information and to monitor closely in the coming years whether the influx, flow and outflow of young people into higher education are maintained and whether any change in this legislation is linked to the introduction of this bill. In addition, information has already been given considerable attention. I have here a letter from the Minister from October 2014, addressed personally to my son Martin. I look at that letter with some jealousy, because I have never received a personal letter from the Minister myself. Anyway, it's always good to be overtaken by your kids. The information contained in this letter on this legislative process and the forthcoming study advance was crystal clear, including for Martin. And apparently the information was crystal clear to others, as witnessed by the 34.625 signatures we received last week thanks to the students. However, I would like to ask how the Minister looks at the possibilities for further information to the students who are now coming, as the timetable for dealing with this bill seems clearer and as far as we are concerned. Members of my group would like to know whether the Minister is prepared to keep this Chamber informed of its findings from monitoring and the various announced impact measurements of the study advance, as announced in the response, including its proceeds, and secondly of the content of the opinion of the VO Council to be published at the end of this year on a firmer anchoring of career orientation and, thirdly, of the evaluation of career guidance in the MBO, including the flow of mbo-hbo and mbo-work market, which will be published in 2015. I'd like a commitment. Learning doesn't stop from the moment you graduate in your 20s. In order to continue to develop yourself as a human being, but also to increase opportunities in the labour market, it is important to continue learning. This new system offers the opportunity to do so. That is why this bill provides that people over 30 years of age who wish to study part-time can claim tuition credit as a student advance. We should like to hear from the Minister about the implementation of the Duisenberg motion on the deadline for the introduction of this regulation. The process of this law is now running for about two years. The bill is a political compromise supported by the VVD. It is not up to us to repeat the political debate that has taken place in the House of Representatives. For my group, there are still two important points on which more clarity is needed. They see the legality and effectiveness of this bill. It concerns economic effects and investment. Firstly, the economic effects of this bill: a subject affecting all sections of the population and affecting parties from the left to the right. The legislative proposal contains a number of measures that redistribute macroeconomic income compared to the baseline path. I've already named the package in detail. These include the 4% income-dependent refund threshold and the income-dependent supplementary exchange. The members of my group agree that there seem to be good reasons for taking these levelling measures in terms of accessibility. But is access really increasing through these specific, added measures? Can the government provide insight into this? This is all the more pressing, and this will interest young people, now that these measures also have a price due to their effects on structural employment. Jobs, then, labor. Members of my group are therefore wondering what the macroeconomic effects of these measures are and whether these effects are expected to be compensated by investing the proceeds of the bill in the quality of higher education. This is precisely what benefits economic growth and structural employment. What is structural employment? It is defined in the Keuzes report in Map 2012 as employment after, for example, 28 years. In the reply, the government, in response to my group's question on this matter, addresses the impact of the bill on student participation during the study, on study failure and through it on employment. It was legitimate, but our question is particularly concerned with the effects of the bare measures that are being taken with regard to the soon-refunding graduates and whether or not they make them dependent on income in relation to the basic path. "Basic path" in this case means the bill without these income-dependent schemes. The reimbursement of the student debt and the exemption under certain limits can be seen as a model income-dependent tax. Given that this is a debt, the repayment is entirely dependent on income and directly affects the net wage and thus benefits of labour and supply. This is to be estimated as if it were an ordinary charge. These are the effects of educational investment, as we know from Choices in Map 2012, as I have just discussed with Mrs Gerkens. My group is asking the Minister for a commitment that she will take this with her in the first legislative review. This still concerns an ex ante estimate of the underlying path and not an ex post payment, as suggested in the reply. That's impossible. The members of my group, undoubtedly with the cabinet, are interested in the effects of the measures on employment. And, as I said, the VVD, the Labour Party, also sees that there can be good arguments for income redistribution measures. However, this does not affect the need and our responsibility to make the effects of the measures on work understandable. Then there's the investment. The funds released through the reform of the system of study funding are intended exclusively for a quality impulse for higher education. The Minister has already promised this, as we have read. My group attaches great importance to this. Perhaps the Minister can confirm this again, because there is apparently still some doubt about it. I come to the ideological central question of how these investments will contribute to better education. Well, we are talking about a multitude of measures. With some of them, institutions have already started. We see the mandatory study packager and matching activities for better study choice, university lectures, broad bachelors, associate degrees, a three-year HBO-bachelor for vwo'ers, the training committees, external assurance of exam quality..................................................................................................................................................................................................................................... In addition, institutions can invest in study guidance and internationalisation, including grants. Additional teachers can be attracted for smaller-scale education and increase the number of contact hours. Additional investments can also be made in digital learning and ICT facilities and in the modernisation and expansion of study spaces and educational spaces. As stated in the explanatory memorandum, the strategic agenda on the basis of which the proceeds of this bill are invested must reflect the dynamics of individual institutions and training. This is also borne in mind the pursuit of profiling, another ambition of the widely supported Veerman report. The institutions therefore choose their own agenda. It must be worn by teachers and students. That is why this legislative proposal provides for a right of assent. Can the Minister describe what the government means by'main lines of the budget' when it comes to the power of assent of participation? What are the experiences of institutions which now have such a right of assent? My group assumes that this goes well in 95% of cases, given the quality of drivers and councils in the Netherlands. But what happens in cases where there is conflict and approval is withheld? What can the Board do with regard to operational continuity, pending any procedure? Is it possible to compromise the ability to control it? I'd like the Minister's vision. The investments must therefore be in line with the strategy of institutions, the commitments made in the National Education Agreement and the quality agreements made with the Ministry and to which the financial resources are linked. In the explanatory memorandum in paragraph 8.3, the government states that experience with the current performance agreements in higher education is also explicitly involved in this. That experiment ends at the end of 2017 and its evaluation will provide an important basis for the elaboration of the quality agreements, according to the explanatory memorandum. This is being worked out in the context of 'I dare hardly call it 'AMvB' which, as the members of my group understand, will be put before this Chamber. Please confirm. For my group it is important, as it is for others, and rightly so, by D66, among other things, that the criteria to be applied be as much as possible on the quality of education. Criteria that are further waived are also referred to in science as surrogate markers. Examples include numbers of students or numbers of diplomas per unit of time, per second, for example. It was the least bad criteria we had. In the absence of a better solution, they are used as a financing parameter. They have undoubtedly perverse effects, leading to positionable criticism. I also look at the PvdA....................................................................................................................................................................... And I like to go into that. The limited value of these parameters was exactly the basis for the experiments with performance agreements. This is a search for criteria that are closer to educational quality and which the institutions themselves prefer and which are then agreed upon. Quality criteria fall into two categories: quantifiable and non-quantifiable. The quantification of a quality criterion does not say anything about the quality of that criterion. So we should not a priori shy away from that. A quantitative indicator is not perverse or destructive because it is quantitative. An indicator can be perverse if it is too far removed from educational quality. Examples of quantifiable quality parameters are less busy lecture halls and more intensive guidance, so better student-teacher ratios, but also contact hours and outages. These are all parameters mentioned not only by the VVD, but also by D66 on his website and in his election program, which is easily digestible, at this point. We can also think of innovative quality instruments that are still under development. Examples of this are learning-independent cross-institution tests, which also facilitates profiling, so I also say to the Minister, and is not the same as national examination. This can also counteract the culture of six. Other examples include learning gains and added value. With learning gains and added value, but also with learning track independent testing, experience is now being gained in different educational sectors. Interesting data has already been brought out, among other things by the Ministry. Can the Minister comment on this? Inspiring new ideas are also emerging from the HO-Tour, an important initiative, as I experienced yesterday at Utrecht University of Applied Sciences. In addition to this type of quantifiable quality parameters, and I look at D66 again, institutions can also opt for quality-enhancing activities that are not necessarily tailor-made, but are therefore no less important, such as academic culture, internationalisation and excellence pathways. The latter sections have already received specific attention from the public authorities and the institutions in the form of the Sirius Programme and in the context of performance agreements. The Sirius Programme has positive effects on quality culture. This is reflected, among other things, in the mid-term review agreements which the Minister sent to this Chamber on 23 December and for which my group thanks the Minister. The Manifesto for the Excellence Education of the Future, presented on the eve of the conclusion of the Sirius Programme at the Summit Excellency on 2 October 2014, contains field-based recommendations for the future of education, now that, unfortunately, subsidies for the institutions under the Sirius programme have ended. My group calls on the government to pay particular attention to the experience gained from the Sirius pathways and the indicators that have been developed and used in the use of the funds from the study advance, in order to make use of them in strengthening the teaching of all students and the action points in the manifesto. I'd like a response and a commitment.
ParlaMint-NL_2015-01-20-eerstekamer-3.u25	How does Mr Bruijn intend to ensure and check that all these promises in terms of improving the quality of education are actually respected and lead to the desired results? Does he want to include that in accreditation procedures and educational visits? What picture does he have of that?
ParlaMint-NL_2015-01-20-eerstekamer-3.u26	Mr Essers asked a relevant question. The essence of this legislative proposal is that we leave it to the debate between the institutions, first of all, the teachers and students, and the government that is discussing it on our behalf. That experiment has already been done with the performance agreements. This is due to the fact that we do not consider the current criteria for numbers of students and diplomas to be the ideal criteria. This legislative proposal provides for space for it to be further regulated by AMvB, which is undoubtedly being put forward in this Chamber in order to come up with new ideas and innovative plans in that debate with the institutions and the students themselves, the student responsible. The HO-Tour is ahead of that. I think that is an excellent initiative. I wouldn't want to shut that down from above. This bill isn't really about that. This legislative proposal deliberately leaves room for discussion on a decentralised basis and, above all, for students to take part in this debate. I think it's a good choice to do that.
ParlaMint-NL_2015-01-20-eerstekamer-3.u27	I am listening with interest to Mr Bruijn and I am mostly listening to what he is not saying. He talks about quality and about everything and everything in a very generic way, without going into the huge differences that occur at the universities between the different disciplines. The demands that are being made, that which is caught under quality, are hugely different from one discipline to another. To my taste it is completely impossible to talk about averages if you do not go into those differences further. Let me give a very concrete example. We have to listen very often, which seems to be a mantra of our time, that education is not good and that it needs to be improved. I know a lot of disciplines where education is more than excellent, at a level that is more than adequate internationally, where other countries can take an example. But that story that education would be so bad and that more staff would be the solution; I don't believe it at all and I say this from my own experience. If these differences between disciplines are not mentioned, we are in the middle of a very empty discussion. I would like to get the reaction of my colleague Bruijn to that.
ParlaMint-NL_2015-01-20-eerstekamer-3.u28	I'd really like to give it to you. First of all, I didn't use the words average and bad. Education in the Netherlands is an international top. I can testify to that from my discipline. I deal with students every day in lecture halls and working groups. Our education is one of the best education in the world across the board.
ParlaMint-NL_2015-01-20-eerstekamer-3.u29	Not over the full width.
ParlaMint-NL_2015-01-20-eerstekamer-3.u30	On average, maybe. Then let me use the word "average" once. But there's room for improvement. That room for improvement has been identified and appointed by the Veerman Committee. Also in my discipline and also in myself as a teacher there is room for improvement. There will be one with Mr De Lange. It's about making use of that room for improvement. So it's not about saying that education is bad. It's not about saying it's the same everywhere. It's about making better use of that space. Mr De Lange is right to say that there are differences between disciplines. And then I say, that's the beauty of this bill. This bill leaves room for the decentralised discussion per discipline, per programme and if necessary per student and teacher to see what can be done better per programme. I experienced it yesterday, with the Minister, when I was a guest at the HO-Tour. The teaching literature shows how difficult it is to come up with good quality criteria for education. That is why it seems to me to be an excellent idea not to close that today, but to discuss this in the future of this bill, within the scope that this bill will soon provide financially.
ParlaMint-NL_2015-01-20-eerstekamer-3.u31	Of course, you can differ widely on that. I will deal with this in my own contribution. I think that's best.
ParlaMint-NL_2015-01-20-eerstekamer-3.u32	Mr Bruijn and I will not disagree on the importance of investment in higher education. This is indeed in line with the Veerman Committee. However, we do differ on the source where that money is to be found. I have one more question for Mr Bruijn. Does he think that, when the developments he describes start, all colleges and universities in the Netherlands should be able to get a share of these investments in the same way? How does he see that?
ParlaMint-NL_2015-01-20-eerstekamer-3.u33	This is now typically something that will be worked out and which we are not closing today. So I'm not answering that. The most important thing is that all the institutions, all the students and all the teachers get involved in this debate. How these resources are then distributed depends on the outcome of the debate. There may be an institution or, rather, a programme that all students, all teachers and all objectively measurable parameters say: this programme is so good; we do not need to improve it. This will result in less of the additional resources flowing into this training and perhaps other training, for which we all need more room for improvement, will be invested more. I think that customization is the beauty of this bill.
ParlaMint-NL_2015-01-20-eerstekamer-3.u34	What is Mr Bruijn's view of this process? That's what's gonna happen at all these colleges and universities. Ideas are being developed and proposals made. Is one then dependent on a kind of drawing right or decision of a ministry? How does he see that?
ParlaMint-NL_2015-01-20-eerstekamer-3.u35	Again, we're not gonna shut that down today. I refer to the experiment that was carried out in advance with the performance agreements by the Van Vught Committee. The committee has said that we are giving a small part of the institutions' budget not on the basis of the parameters that we all consider to be perverse, namely numbers of students and numbers of diplomas, but on the basis of quality criteria that the institutions, students and teachers themselves come up with. Apparently, that experiment was successful. Of course, you can count on everything, but in the evaluation we have received, we are praised. And based on what I see around me, that's good, too. I myself mention the Sirius criteria, which have also been developed by the institutions themselves in consultation with students. That's about the excellence trails. How exactly are you going to do that? Let us leave that to the student, the teacher and the programme, and let us not close it here today. Mr. Chairman. I'm rounding up. Looking at everything, when we look around at today's society and the socio-cultural and economic challenges that our young people are about to face, there is absolutely no better and more necessary investment than that in good education. In any case, we are united here in our search for better education. It is only reasonable that these young people themselves should make a contribution to this. A solidarityary contribution, which, with a few percentage points of income at most, is no greater than the contribution that this government is asking all Dutch people to make the necessary reforms in general possible and to prepare the Netherlands and its public system, which is ours all, for the future. I await the government's response with great interest.
ParlaMint-NL_2015-01-20-eerstekamer-3.u36	Mr President, colleagues and others present. Today, we are faced with an important political decision-making process. I am not going to talk about this for too long because this proposal for a directive has, quite rightly, been dealt with in the House of Representatives and has been amended and our committee has also given its full light to it in two rounds of questions. We are now faced with a political balance when we look at the reports, which, by the way, our group is happy with. In my maiden speech I said that this Chamber is a political body, as is now proven once again. I hope that my colleagues will be guided by their party programme rather than by ex-post agreements in the political balance that we are going to make today. We have before us the law that is called Study Finance Act 2000 but which we prefer to call the law on the study loan, because that is at the heart of the matter. We don't fall for euphemisms. So it's a cutback. My group believes that it cannot and should not be borne by the generations who will govern this country in the future and who are already burdened with so much debt. What strikes us most is that all those political parties who constantly say that extra investment is needed in education are in agreement with this. I have just heard from Mr Bruijn that this money is being removed and then reinvested. Those are all things that we have yet to see will happen. Besides, it's all far too vague. Students and teachers are going to determine this with each other, but my experience in education is that even though that will not be the case now, mostly it will lead to higher salaries of the higher framework. This law also restricts the freedom of choice of students, especially those who have from home from a somewhat lesser scholarship. Mr Essers rightly mentioned all the middle incomes, the people who pay taxes in this country, the people who go to work in the morning at 9 a.m. and who come home in the evening after they have worked hard, the people in small and medium-sized enterprises, whose wages are fluctuating. How is this taken into account? How is a shopkeeper taken into account, a small entrepreneur whose salary may vary considerably from one year to the next? Is that emancipation now? I once heard a political leader say he was crazy about tying it up. Is this what we are going to do at the expense of those hardworking Dutch? Their children also have the right to study and to as many opportunities as others. This bill saddles students, especially middle-income students, with years of debt. Recently I heard that the Netherlands is the most thrifty people and that even when we barely get interest, we Dutch go to the savings bank, because that is how we were raised. But apparently the government wants to get rid of it. That is a problem, because in my city I do not have to say which one it is. What's our government doing now? He says, "Get a loan, that's fantastic." So we are setting a bad example. What's it gonna do to someone who graduated and then looks at a loan for 35 years? The government states that this is not a loan, but an investment, which will earn itself a great deal later on through a higher income. But it is already being taken into account that it may be the same as with the minimum wage, even if you have done such a study. Of course the Minister knows what a teacher's salary is. Should it be taxed again, especially if you compare that salary with that of an ordinary manual worker, such as my son who is an electrician, or a port worker in Rotterdam? They're all people who make a lot more money but don't have college debts. The government also, in response to a question from my colleague Mr Reynaers, asks that this measure contributes to the student's financial awareness. I also heard something like this between the lines of Mr Bruijn, who put it more beautifully. Can you believe the student's financial awareness? Shouldn't we just leave that to the parents and the students themselves? Does the government have to act as a schoolmaster here? Students borrow at a certain rate. That interest rate is fluctuating. Is the Minister prepared to allow the interest rate of the loans to go along with these fluctuations, so that the government never receives more interest than it itself pays for those loans? This is a question for the Minister, but I see that Mr Bruijn is already going to answer that question for her.
ParlaMint-NL_2015-01-20-eerstekamer-3.u37	I have two questions for Mr Sörensen. The first is about financial awareness. I didn't use that word in my input. I did talk about the Nibud's alert that students are more of a loaner than a loaner, and that in that sense may therefore contribute to the behaviour of students if they are now learning to borrow for an investment.
ParlaMint-NL_2015-01-20-eerstekamer-3.u38	That's what I meant. I think we should leave that to students and their parents.
ParlaMint-NL_2015-01-20-eerstekamer-3.u39	Thank you for this correction. My second question concerns the concern that the money would disappear in the basic cost, for example in the salary of teachers. I share those concerns with you, like all parties in the House of Representatives, because they led to the Bishop's motion in part No. 49, which provides that the basic cost is distinguished by the general method of calculation from the additional financing on the basis of the quality agreements. So the money can never disappear in that baselumpsum to the salaries. You were before that. That's what we're here for. Can't you see a hole in this motion? Are you going to file a supplementary motion, or were you forgetting that motion?
ParlaMint-NL_2015-01-20-eerstekamer-3.u40	I forgot about that for a second.
ParlaMint-NL_2015-01-20-eerstekamer-3.u41	Was Mr Sörensen perhaps also forgetting how much the PVV cuts on education?
ParlaMint-NL_2015-01-20-eerstekamer-3.u42	No.
ParlaMint-NL_2015-01-20-eerstekamer-3.u43	Good. Then the whole complaint about austerity with which Mr Sörensen started is a bit of a big pair of pants. If we see that the PVV itself is cutting back 1.9 billion on education, of which 0.2 billion on higher education, then it should not come up with this.
ParlaMint-NL_2015-01-20-eerstekamer-3.u44	Why not? We have indeed completed this austerity, as Mr Gerkens said. But I didn't talk about ourselves or the SP, but I did talk about other parties, like your party.
ParlaMint-NL_2015-01-20-eerstekamer-3.u45	Including an increase in first-year tuition fees.
ParlaMint-NL_2015-01-20-eerstekamer-3.u46	Yes. I shall now move on to my next point. When I read and pass this law, with all the questions surrounding it, I see something else, namely the great bureaucracy. This law will lead to a gruesome bureaucracy. Read the law as it came through the Lower House after amendment and the bureaucracy is staring at you. That's not what we're waiting for. If you look closely at the law, you should actually come up with adjustments every year for every student, and you should calculate what is earned at home every time. That seems to me to be a very difficult and bureaucratic matter. I wonder how the Minister intends to do this. Mr President, I promised you that I would not make it too long. As you know, I came into politics quite late. My political example Fortuyn always told me that if you tear something down, you should actually come up with an alternative. I listened to that very carefully with my group. One point has been discussed here only in passing, but it has been discussed in committee, namely child benefit. If you are over 16 years of age and are going to study, the child benefit goes to education. I understand that it is something completely different, but why is it not even looking at the largely obsolete extra contribution that households with low incomes simply go into the family budget? Child benefit is just an extra income for the total family. Why is this money not deposited in an account in the name of the child for which it is intended, so that even if the time is right, if the child really needs it, it can be used for example for study funding? That's my alternative. I understand that I should actually put that forward in another committee, but let us take a look at it. My group still sees too many objections to this bill for the time being. I will therefore advise my group, but that is obviously up to the Group of the European People's Party (Christian Democrats) and European Democrats to vote against.
ParlaMint-NL_2015-01-20-eerstekamer-3.u47	Mr. Chairman. Today we are discussing the proposal to transform the basic scholarship in higher education into a study advance, with the aim of improving the efficiency and fairness of the system and improving the quality of higher education. For the PvdA it is crucial that an increase in students' own contribution to the study, anyone who wants and can study, also feels the financial space to study. My group therefore welcomes the fact that the increase in the own contribution for students in higher education is accompanied by a substantial reduction in the monthly reimbursement costs. Think of the possibility of extending the repayment period to 35 years, starting two years after obtaining the diploma. Or the reduction in the percentage of the additional income that a student has to use for reimbursement of the advance from 12% to 4%. Also, the repayment obligation will only apply from 100% of the statutory minimum wage, including 8% holiday bonus, whereas it is now 84% and 143% for households. Furthermore, the possibility of temporarily introducing a payback break for a maximum of five years, spread over twenty quarters, remains, the so-called joker years. We also support the increase in the additional grant of €100 for students of parents with lower income, so that they do not have to waive a study in higher education on financial grounds. Furthermore, the PvdA is pleased that the austerities planned under the previous cabinet have been reversed on the supplementary stock exchange. I would like to quote from a message drawn up by the Young Socialists in the PvdA, together with the Young Democrats and the JOVD: "We are convinced that the money that is now being spent on the maintenance of students is better placed as an investment in the quality of education. At the same time, access to education is guaranteed by a higher supplementary grant and favourable payment conditions." These arguments for the legislative proposal before us wholeheartedly support my group. With another argument, however, my group has great difficulty, namely the so-called business case for study. According to the government, there is a changing paradigm with regard to students and student funding, from the independent student to the investing student. Given the high personal benefits of the programme, it is only logical to ask students to make a higher own contribution to the costs they incur during their studies, according to the government. On the contrary, my group believes that students are concerned not only with individual benefits but also with the development of individual talent, bildung, partly for the benefit of society. We believe that the development of talents for the benefit of both themselves and society should be precisely the motivation for young people to study. We therefore do not consider it desirable to appeal to young people in terms of return and profit, rather than to appeal to the responsibility of these young people to develop their talents, including for the benefit of society. We are making this plea for the responsible student from a social-democratic perspective, as I say to Mr Bruijn. We therefore ask the Minister whether the shaping and uplifting task of higher education would come under pressure from the emphasis on individual benefit. How can it prevent the student from being treated solely or mainly as a calculating citizen only for his own benefit? For example, an unintentional side effect of the present legislative proposal could be that income inequality is increasing. After all, it could lead to students subsequently feeling legitimized to demand higher salaries. After all, they have borrowed for it, and that investment must come back. As a result, the income gap with people who have not studied and who have not had to invest for this could increase. Does the Minister consider this desirable? If not, what consequences does it have? My group welcomes the additional financial resources available for higher education as a result of the present legislative proposal.
ParlaMint-NL_2015-01-20-eerstekamer-3.u48	Mrs Sent asked a number of questions about issues which she was concerned about, namely that further individualisation was welcomed by this bill. How could this be prevented in her view? I think the fear she's getting out of here is justified.
ParlaMint-NL_2015-01-20-eerstekamer-3.u49	I think it is very important to put the emphasis in communication to students on the responsible student who contributes to society.
ParlaMint-NL_2015-01-20-eerstekamer-3.u50	It's not by definition that if you go to higher education now, you're gonna earn that better salary, too? Then it seems logical to me that the student makes a calculating decision, namely: let me not become a teacher, because that does not make much money. Then you will see that this quality is going to work in business. I think we will then get a veining at exactly the places where we need that quality. Mrs Sent may now rely on the student's responsibility, but the government calls on the student's income. So I think there really is a gap there.
ParlaMint-NL_2015-01-20-eerstekamer-3.u51	This responsible student receives education of a better quality. We all think that's important. The question is how to free up the funds and how best to spend the money in higher education. Of this we say with our young people in the PvdA that you can spend that money better on the quality of education than on the maintenance of students.
ParlaMint-NL_2015-01-20-eerstekamer-3.u52	Finally, Mrs Gerkens.
ParlaMint-NL_2015-01-20-eerstekamer-3.u53	Or you take it away from senior management. That's also a choice you can make. But Mrs Sent's answer is not an answer to the question of how she thinks she will prevent students from opting for courses that, by definition, make a lot of money and not for courses that we say are very much needed in our society, such as in health care or education. Mrs Sent mentioned that problem as well. I didn't hear an answer.
ParlaMint-NL_2015-01-20-eerstekamer-3.u54	First of all, I said that it was important to put the emphasis on the student responsible in communication. In addition, a number of students may be disproportionately affected and will adapt their choice of study. The Minister has promised in the Lower House to monitor this very carefully and to take action if there are undesirable effects.
ParlaMint-NL_2015-01-20-eerstekamer-3.u55	Mrs Sent said a few passages back that the emancipating effect of higher education should not be lost because of this measure, but what exactly does she mean? Where does she see the danger? Are there certain groups at risk?
ParlaMint-NL_2015-01-20-eerstekamer-3.u56	The danger would be that, if you appeal to the student above all on his own financial gain, you would create a citizen that we as Social Democrats are concerned about. We want people who work for society with the upliftment. We believe that if the money is spent efficiently and fairly in higher education and if it serves the quality of higher education, that objective can be achieved.
ParlaMint-NL_2015-01-20-eerstekamer-3.u57	The Veerman Commission mentioned two groups that lag behind when it comes to participation in higher education, namely socio-economically weaker groups and ethnic minorities. Is your fear that, because of these measures, this way of financing the student himself, these groups in particular would not be able to participate in higher education?
ParlaMint-NL_2015-01-20-eerstekamer-3.u58	I don't think so. We very much welcome the accompanying policy, the reduction of monthly refunds and the increase in the supplementary stock exchange for lower income groups. We believe that this will ensure access to higher education. At the same time, we are pleased that this is being monitored and that action is being taken should undesirable effects occur.
ParlaMint-NL_2015-01-20-eerstekamer-3.u59	You mentioned not only accessibility but also justice in the system. It will soon be the case that some students who have completed higher education have a very high debt because they have had to borrow everything, even with an additional scholarship, while others have not accumulated any debt because they have parents who have been able to pay for the study. This gives people an unequal starting position on the labour market. Do you think that's fair?
ParlaMint-NL_2015-01-20-eerstekamer-3.u60	They're in that position now. There is now also a difference between how many children borrow from lower and higher income groups. What the legislative proposal is doing is introducing a number of mitigating measures to ensure accessibility for lower incomes. On balance, the additional loan will be on average €6,000 according to the calculations of the Central Planning Bureau.
ParlaMint-NL_2015-01-20-eerstekamer-3.u61	I dispute that the significance of borrowing in this bill would be equivalent to the stepping-up that every student now receives through a basic grant. It contains the element of equality and justice.
ParlaMint-NL_2015-01-20-eerstekamer-3.u62	That wasn't a question. That was a comment.
ParlaMint-NL_2015-01-20-eerstekamer-3.u63	Mr Sent expressed her concern at the fact that education could tend towards a return system or a business case and that this could not be the intention. It has a question on this matter for the Minister, who she wants to know what consequences it will have for those concerns. Are these concerns for the PvdA so essential that it has not yet been established that, if the Minister fails to respond satisfactorily, this bill will be accepted?
ParlaMint-NL_2015-01-20-eerstekamer-3.u64	We always have a good habit of letting our voting behaviour depend on the plenary debate. Otherwise we would not have to have a plenary debate.
ParlaMint-NL_2015-01-20-eerstekamer-3.u65	It's great that you're making it so exciting!
ParlaMint-NL_2015-01-20-eerstekamer-3.u66	My group welcomes the additional financial resources available to higher education as a result of the present legislative proposal, but has questions about the specific use of this money. In the agreement on the study advance, it was agreed that the funds released as a result of this bill will be invested in higher education and will be linked to the strategic plans of the institutions and quality agreements made with the Ministry, we read in the response. The question of how this will take shape will only be answered after the evaluation of the performance agreements. It is only then that, according to the reply, the question arises as to the extent to which the funds released are awarded in the form of additional financing under quality agreements and which part is added to the basic cost. Were it not better to provide clarity about the use of the funds that have been released before taking them out, my group asks the Minister.
ParlaMint-NL_2015-01-20-eerstekamer-3.u67	Is that last question a rhetorical question or an open question?
ParlaMint-NL_2015-01-20-eerstekamer-3.u68	We ask open questions and hope that the Minister will give us adequate answers to our questions.
ParlaMint-NL_2015-01-20-eerstekamer-3.u69	With all due respect, we have had two extensive written rounds in which this point has repeatedly come back. Surely you have a preliminary position on that question, I presume? That's completely open, isn't it?
ParlaMint-NL_2015-01-20-eerstekamer-3.u70	We understand, as has already been pointed out in the debate with Mr Bruijn, that it is important to await the evaluation of the performance agreements. This evaluation gives, according to a preliminary report, the confidence that an improvement is possible and that quality agreements can be made. We also consider it important that these quality agreements should be carried out by the institutions with the agreement of the students and the staff, rather than imposing from above on how the Ministry thinks the quality could be improved.
ParlaMint-NL_2015-01-20-eerstekamer-3.u71	Do you think that, when these agreements have been made, there should really be mechanisms to enforce them and to check that they are being complied with, for example through visitation procedures?
ParlaMint-NL_2015-01-20-eerstekamer-3.u72	I will give the same answer as Mr Bruijn. This is anticipating the agreements that will eventually be made with the institutions. It's not exactly hope that it all works out. For the time being, performance agreements and the overview of impacts so far give the confidence that quality agreements will also make good progress in improving quality in higher education.
ParlaMint-NL_2015-01-20-eerstekamer-3.u73	Finally, Mr Essers.
