ParlaMint-NL_2015-02-10-tweedekamer-24.u1	I would like to welcome the Secretary of State for Security and Justice.
ParlaMint-NL_2015-02-10-tweedekamer-24.u33	Mr. Chairman. I would like to thank Members for their contribution to this very complicated legislative proposal. It's really complicated. You can be a lawyer, but if you have to study intellectual property, it's a lot of work. There are very few legislative proposals that I look at on a Sunday and then decide on Tuesday evening to look at them again because I don't quite get it yet. This is one of those laws. That's what makes it really hard. I am glad that we can deal with this bill. We are doing this in terms of spokesmen almost in the same composition as the bill on the reporting obligation of data leaks last week. That bill was accepted by the Chamber this afternoon with a voting ratio of 150 to 0. This gives hope that this law can also be properly treated, after which it has the support of almost all or of all groups. I will try to give the answers as clearly as possible. It'll take a while. It's really hard sometimes. Among other things, the legislative proposal will improve the negotiating position of the creators of a work in relation to the operator. That, anyway. The question is whether this applies to all makers and all parts. We shall have that discussion. The maker takes part in the total of the proceeds from the exploitation of his or her creative performance. I proposed a new arrangement of film author's contract law. In advance of the acceptance of the Arrangement, all parties discussed the practical implementation of the Arrangement. Yesterday, it was announced that PAM and RODAP came to an agreement. We can be proud of the fact that the proposed regulation allows for a future-proof solution. The field has really been divided on this subject for years. It is worth a compliment that we have now come out of it. The need for the law is endorsed by all political groups in the Chamber. There's no discussion about that. It has also been looked forward to an early examination of the legislative proposal. I will answer the questions on a subject-by-matter basis, but not after I have paid quite a lot of attention to a question from Mrs Oosenbrug. In the implementation of the Directive on the duration of protection, Article 9a of the Act on Related Rights provides that the rights of a producer shall be transferred to the performer when he successfully invokes the "use it or lose it" provision of the Directive. The question is why I also do not apply that provision to Article 25e of the Copyright Act. The Directive on the duration of protection has a specific "use it of loss it" regime which can only be invoked by the performer after 50 years. The Directive provides that the producer's rights shall lapse when the maker so requests. Mrs Oosenbrug has clearly seen a mistake in the implementation of the directive. It is currently stated in the Related Rights Act that the rights of the phonogram producer are transferred to the performer. That should therefore have been the expiry of the company's rights. I would like to correct this with a second letter of amendment. Article 9a of the Act is amended accordingly. Those rights will cease to exist. With this amendment, we again comply with the Directive 2011/77/EU on the duration of protection. This directive will come back to the discussion of other issues. It follows directly from this Directive that the rights of the producer lapse if the performer can successfully invoke the non-ususus scheme. I will hand over the letter of amendment to the messenger so that the piece can be distributed immediately. Next, the question is what we have done to improve the contractual position of the natural maker, the author and the performer, in relation to the operator of their works. There are, in fact, three major changes to the law; a number of Members have already spoken about this. First of all... The requirements for the granting of an exclusive licence shall be equivalent to the requirements of transfer. As Mrs Helder said, both situations are subject to the requirement of the instrument and only those powers mentioned in the instrument or resulting from the scope of the transfer or licensing are granted. This is stated in Article 2 of the Copyright Act. Second. In order to support the creator in the negotiations with the operator of the work, some seven provisions relating to the operating agreement are incorporated into the Copyright Act. This is set out in Articles 25b to 25h. These include the right to fair remuneration, the bestseller definition and the "use it or lose it" clause. I'm gonna go into this in a minute. Third. In order to ensure that the main filmmakers can share in the proceeds from the exploitation of the film work, the copyright law is amended and the remuneration for certain exploitation methods is now collected directly from the operator by the collective management organisation. This is set out in Article 45d. I shall come back to this in a moment when Mr Verhoeven's questions on the collective management organisation are being answered. Much has been asked why I, as a legislator, restrict the circle of creators. A number of members have asked for this, some of whom, for example Mr Van Dijk, have also mentioned examples, such as animated film artists and documentary makers. Article 2 of the European Directive 2011/77/EU refers to lead directors. The legislator sought membership of that provision. However, this does not mean that people are no longer entitled to fair compensation. That seems to be a misunderstanding in the Chamber. Under Article 45d, everyone, including all the creators, is entitled to fair compensation for those who are not mentioned in so many words in Article 45d (2). However, what not all creators have is entitled to, for example, a turnover-related proportional remuneration. That's an exception. So also animated film cartoons, camera people, documentaries insofar as they are not already an important creator by any other means to qualify and costume designers are entitled to a fair fee. I would also like to say in this explanation of this law that 'fair' in this respect means 'in contribution'. The bigger your share, the higher your fee. In this way, you must read the concept of "fair." There are three creators who have an additional right to a proportional fee. These are the directors, the screenwriters and the leading actors. This proportional remuneration is turnover-related. Why was these three chosen? That is why there has been no clarity for years. I think it is important that there is a clear settlement. What's it based on? We have looked at Article 2 of Directive 2011/77/EU and Article 40 of the Copyright Act. In his contribution, Mr Van Dijk asked why these makers were being blackmailed? This is why. This does not mean that creators who are not listed are not entitled to a fair remuneration, but it does mean that they are not entitled to a turnover-related proportional remuneration. But there are also exceptions to that. I'll say something about that in a moment.
ParlaMint-NL_2015-02-10-tweedekamer-24.u34	It is good that the Secretary of State clarifies that there is a difference between a fair remuneration and a proportional remuneration that is turnover-related. It is also good that the Secretary of State explains that this is based on Article 40 of the Copyright Act and Article 2 of the Directive. But he was in the old consultation. Or let me put it right, although of course the Chamber also knows the consultation text: it was in an earlier version; let me put it this way. So the Secretary of State can now explain very clearly why he is now saying 'it was not', but I would like to know why it was in an earlier version. So it has obviously been important and it has obviously been necessary to discuss it. That is why I think it is important to hear why that choice was made.
ParlaMint-NL_2015-02-10-tweedekamer-24.u35	First of all, you can say that it did not comply with Article 2 of Directive 2011/77. So that's a legal reason. There is, of course, another reason. The other reason is that some of the creators have united in PAM. People of PAM have therefore negotiated for a long time in the past period. They didn't come out at first, but they finally got out. I've outlined that. A number of people are not members of that organisation, that "professional association'. So these people didn't talk. I have just outlined that a number of people are not entitled to a converted related proportional remuneration, unless they still fall under the main category of Article 45d (2) along the way of the'major creator'. However, a number of people are not included. So they're not in the deal right now. If you put it under an amendment now, you could end up in two situations. Mr Verhoeven asked. It could lead, first and foremost, to a complete re-execution of the negotiations. There has been no negotiation between the parties concerning these makers, who are entitled to a fair remuneration. Secondly, one could say that such an amendment would undermine the rights of other creators. You could say that the cake is not only for the people we are talking about in Article 45d, but that cake must also be for the people who so far are only entitled to fair compensation. However, I could imagine operators saying: we've talked about this for years and now we're finally out of it, so we're not going to make that cake any bigger. Looking at everything, looking at the legal story on the one hand and the actual negotiations that have been conducted on the other, I think we should actually be pleased that we have come where we are now. It would be a shame if you buried that again by doing a bit of tinkering at the back. Mr Verhoeven felt that in his first term.
ParlaMint-NL_2015-02-10-tweedekamer-24.u36	The Secretary of State says it straight forward, and I like it. It's about exactly this. I'm a very practical person. I have listened very carefully and heard that people are satisfied in the field. However, I am a member of the House of Representatives and therefore have my own responsibility when looking at laws. My group is generally reluctant to follow what "the polder" means, in other words, what civil society and the interest groups have come up with. There is a group of people who are not members of such organisations. They do belong to the democracy of the Netherlands. That is why I find it worrying that the Secretary of State should say: it is also true that the negotiating parties have helped to ensure that only a certain part of the group of artists is covered by this law. I will not break it open because of the principle, but frankly I think that is a worrying development. Can the Secretary of State understand that?
ParlaMint-NL_2015-02-10-tweedekamer-24.u37	Yeah, I can understand that. Nor do I belong to a political group which, by its very nature, always gives its ear to the polder. The group to which I belong does consider the polder important, but not at any time. So I recognize what Mr Verhoeven is saying. Let me try again. You record certain things in a consultation version. The subsequent consultation should then be used to discuss with the field where it leads. Such a consultation version can also, of course, address the feasibility of the legislative proposal. That's why we do such an internet consultation, and that's why we also say to professional groups: let's talk about this with all of us. Then it is important that this feasibility should also be addressed. If it turns out, also in response to reactions, that the bill does not seem to be feasible, then you must be prepared to say: we are changing that consultation version on the basis of legal arguments and arguments on feasibility. You must certainly be prepared to do so if it involves Directive 2011/77, Article 2 in conjunction with Article 40, but I have already said that three times. So it's not just a matter of: gosh, we can't get out in the polder. That would be a bit of a limited story. So this is actually about feasibility. In addition, we have the main rule on proportional, often turnover-related compensation. For example, a documentary maker is also an important maker. He often comes along the path of screenwriter of such a documentary to still fall under the main rule. I am trying to convince Mr Verhoeven in this way. If I convince him a little bit, I'll be a long way. That's my experience with him.
ParlaMint-NL_2015-02-10-tweedekamer-24.u38	Mr Verhoeven looks questionable.
ParlaMint-NL_2015-02-10-tweedekamer-24.u39	He's coming back.
ParlaMint-NL_2015-02-10-tweedekamer-24.u40	I'm thinking. I'm the one who's starting the process of thinking.
ParlaMint-NL_2015-02-10-tweedekamer-24.u41	Very good. I'm gonna answer some specific questions. Maybe we'll come back to it. Mr Van Wijngaarden, Mr Verhoeven and others have asked whether the cabinet is prepared to quickly evaluate this draft law on copyright contract law. I think the thrust of the bill is that creators are better protected and share in the proceeds of exploitation. I would be happy to consider in an evaluation whether the bill achieves that objective. The agreements were, of course, made by the professions in the context of the currently proposed Article 45d, with a duration of five years. There are currently five-year contracts. I do not think it would be wise to go through those agreements between the parties with an interim evaluation. So let us make a comprehensive assessment when these agreements between the parties take place after five years. But that is without prejudice to what I have heard from the Chamber that I am prepared to share the experience of the parties with this arrangement in the middle, after two and a half years. Then I assume that this bill can be put to the vote in 14 days' time and we can discuss it in the Senate before 1 July. So on 1 January 2018 we will make a stand. As far as I am concerned, this can also relate to the scope, as Mr Verhoeven mentioned it, and to the issues raised by Mr Van Wijngaarden and others. When the law enters into force on 1 July, we can make a final assessment of this law on 1 July 2021. Mrs Helder said... I just meant 1 July 2020. I heard Mr Verhoeven whispering softly in my left ear. He's right. You will be released on July 1, 2020.
ParlaMint-NL_2015-02-10-tweedekamer-24.u42	I'd get that math test if I were you.
ParlaMint-NL_2015-02-10-tweedekamer-24.u43	I've always had trouble with head math. That's what's causing it. Mrs Helder asked how we could ensure that a dispute committee was set up. Can this be left to the industry? I think that the law already provides an incentive and a basis for setting up that Disputes Committee. A number of Members of Parliament spoke about this. It is up to the parties to come to that Disputes Commission. They are also taking steps to this end at the moment. All the speakers, including Mr Van Dijk, have said that the best possible solution to the dispute is a simple and quick one. Then creators and operators can spend their time and money making new works instead of legal procedures. I see, with a little imagination, everyone in the stands a little noding too. I am also pleased to report that the Platform Creators and the Platform Creative Media Industry are also taking concrete steps to reach that Disputes Committee. They were almost out. People are well on their way. In my opinion, there is no need for further encouragement. My information is they're finishing up. I think you're gonna get the very best dispute settlement committee if people take care of it themselves. They almost got there, too. If we had waited two weeks for the actual treatment, I think there would have been a dispute committee.
ParlaMint-NL_2015-02-10-tweedekamer-24.u44	I think that is hopeful, especially that last remark. There's almost a dispute committee. He's not here yet. Is the Secretary of State prepared to step up the mid-term communication on 1 January 2018 if that Disputes Committee is not present?
ParlaMint-NL_2015-02-10-tweedekamer-24.u45	I'm willing to do that anyway, but I think that's too far away. On the entry into force of these laws, we will try to achieve this much sooner, because that is what the Chamber, I, all of us, consider important. I will make sure, through my staff from the department, from the legislation department and others who are working on it and who have good contacts with the industry, as the letter from the PAM and the RODAP also shows, that the Disputes Commission actually takes shape earlier. I have no reason to doubt that. They're just on their way. They've been able to take step one with this covenant. Step 2 must also be able to work very well.
ParlaMint-NL_2015-02-10-tweedekamer-24.u46	Then I just have the question to the Secretary of State: does he still need a vote in the form of a motion or does he think it will be all right?
ParlaMint-NL_2015-02-10-tweedekamer-24.u47	Of course, your Chamber is free to rule on that. I see it as support in the back if that were to happen.
ParlaMint-NL_2015-02-10-tweedekamer-24.u48	It is striking that Mrs Helder is asking if the Secretary of State needs an address in the Chamber. I think it's up to us. It is very good that the Secretary of State is confident that the industry itself will come out. Still, the question is, what does he do if they don't come out? Can we then assume that he himself will take the initiative, as is also provided for in the law?
ParlaMint-NL_2015-02-10-tweedekamer-24.u49	We have now introduced an incentive into the law. We will then continue to encourage. If the industry does not come up with it itself, we will still have to shape it. But I also kind of agree with Mrs Helder. Her question is not entirely absurd, because it is a signal to the industry that your Chamber should say in a full majority that it really needs to be there and that it considers it important, and so the government keeps a finger on the wrist. There's nothing against that in itself.
ParlaMint-NL_2015-02-10-tweedekamer-24.u50	I'll take that as a nice hint. Let me think about that. Thank you.
ParlaMint-NL_2015-02-10-tweedekamer-24.u51	Mrs Helder asked whether the non-usus scheme is equivalent to the "use it or lose it" scheme. Yeah, that indicates the same arrangement. The rule in copyright law builds on the rule in general contract law. Thus, the case law under general contract law remains unchanged. Everything that is now built stays straight and we add this to it. The creator must, of course, invoke this right. "Automatically relapse to the maker" Some members of the House spoke about this. "It is practically impossible to implement." How does the maker know that's the issue? How does the operator know that something automatically falls back to the maker? In practice, this cannot be achieved. Mrs Helder also asked what the maker could do if he thought there was an unreasonable provision in the agreement with an end user. I think she mentioned the kickback clause as an example in her input. If the creator transfers his copyright or licenses it exclusively, he may rely on a provision concerning the unreasonable provisions. This also applies if there is no operating agreement. So we fall back on the normal contract law. Mrs Helder and Mr Van Dijk asked whether the Minister of OCW could establish a fair remuneration. Mrs Helder said that there might be a risk of conflict of interest there. The Minister of OCW sets the rate on the advice of the associations of operators and creators. At that point, there will be a joint opinion. There is therefore no risk of conflict of interest. Mr Van Dijk asked if I would quickly set a rate after a request from creators and operators. It is up to the Ministry of OCW to decide on the rate. It will, of course, do so carefully. Words about the duration of the assessments are really up to the colleague of Education, Culture and Science. OCW's colleague can tell us how long it will take before reaching a verdict.
ParlaMint-NL_2015-02-10-tweedekamer-24.u52	The tricky thing is, there isn't one. Otherwise, I would have asked him, I believe, to ask the Secretary of State for Dekker. This Secretary of State is now saying that he will see to it. Can I assume he'll pass this on to the Ministry?
ParlaMint-NL_2015-02-10-tweedekamer-24.u53	Yes, I will discuss this with the Secretary of State, although the Minister, I do not mean "her," but the Minister, of course, does so formally. I will.
ParlaMint-NL_2015-02-10-tweedekamer-24.u54	Agreed.
ParlaMint-NL_2015-02-10-tweedekamer-24.u55	Mrs Helder asked whether the proportional remuneration is not more limited than the fair remuneration. That question was also raised. Proportional is related to the operating income, i.e. turnover-related. Fair remuneration must be fair. Moreover, in circumstances, fair remuneration could be a turnover-related remuneration. However, that really depends on the factual circumstances that the court can determine and assess. Mrs Helder has asked me whether it will not weaken the filmmaker if there are more rights under the presumption of transfer. No, because in my opinion, creators also want their work to be seen and their work exploited. The transfer of rights so that the operator can operate is also in the interest of the creator, provided that he receives a good remuneration for that. That's what this bill deals with. Mrs Oosenbrug, Mr Verhoeven and others raised the Benelux Treaty on intellectual property, in particular Article 3.28. The question was: why doesn't chapter 1a apply to the creators who design models and drawings, since they are also designers? In short, the Benelux Treaty states that the author of both copyright and design law cannot rely on copyright if he gives a third party permission to deposit a model. As a result, the third party can more easily exploit the design law in the Benelux. If we broaden the scope of the proposal to the cases of the Benelux Treaty on intellectual property, the third party's exploitation is limited. That is contrary to the purpose of the treaty. We are also bound by that treaty. This broadening also makes no sense, because in practice, for example, we are talking about a logo of a consultancy firm. The maker of that logo will be reimbursed for making the logo. If the company makes a profit because it gives good advice, then that is not the result of that logo. Although it's nice that that logo is there, because that might draw people to the company. So there's no reason to let the maker of the logo share in the profits of the consulting firm. Mr Verhoeven, Mrs Oosenbrug and Mr Van Dijk asked: why is Chapter 1a not applicable to the fictional creators of Articles 7 and 8 of the Copyright Act; should there not be an arrangement for the small ones or the zzp'er with his little e.g.? Graphic makers are often legal entities. Then it could also be Shell or Philips. These big legal entities can do just fine. They do not want to restrict their freedom of contract through copyright law. Now it is not the case that all small legal entities have a bad negotiating position. There is therefore no good criterion to distinguish between small legal persons in need of protection and small legal persons who do not need protection. A legal system that tries to make that distinction is always arbitrary. It is always about the circumstances of the case, which the judge then has to examine, as I also discussed with Mrs Helder. A small legal entity in which a natural person/maker has deposited his copyrights but which otherwise does not differ from the creator who contracts in person may also invoke reflex action. Mr Verhoeven spoke about this in his speech. You can always do that. The judge is the ideal person to weigh the circumstances when assessing reflex action. If the legislator draws the line, the judge will not be given the opportunity to provide tailor-made services in this particular case. That's why you shouldn't be doing that. That is why I would like to get involved in the delivery of customized work by the judge through that reflex action. Mr Verhoeven and Mrs Oosenbrug have also referred to chapter Ia when it comes to the reuse of photos by Facebook. It depends on the main objective of each agreement. Does the creator grant the right to operate so that the third party can sell his work? That doesn't seem to be the case with Facebook photos. So the answer to both Members' questions is: no. People don't upload their photos on Facebook so Facebook can exploit them. I also note that the College is currently investigating personal data protection. I believe that Mr Verhoeven has also asked me written questions relating to this subject. In fact, I would like to await that investigation before we take a final position on it.
ParlaMint-NL_2015-02-10-tweedekamer-24.u56	Just so we're clear, I haven't asked any questions about Facebook right now. I did do that in writing. I want to bring it back to what it's like: I didn't ask questions about Facebook today.
ParlaMint-NL_2015-02-10-tweedekamer-24.u57	I'd still have those written questions in my head. I always read the written questions put by Members. According to Mr Verhoeven, I do not always read these questions correctly, but...
ParlaMint-NL_2015-02-10-tweedekamer-24.u58	Mr Verhoeven, was that your question?
ParlaMint-NL_2015-02-10-tweedekamer-24.u59	Certainly not, Mr. Chairman. I think the written questions I asked about Facebook have even been answered yesterday, and this time on time. In 35% of cases, the Chamber does not receive an answer in time, but that aside. I'd be happy to wait for the College's personal data protection. That's what looked at it from the privacy angle. We're not talking about privacy here. We're talking about the exploitation of the story. Does the Secretary of State confirm that if Facebook is now operating on the basis of photo placement, this is not covered by this law?
ParlaMint-NL_2015-02-10-tweedekamer-24.u60	No, I didn't mean to.
ParlaMint-NL_2015-02-10-tweedekamer-24.u61	So he confirms it won't be covered.
ParlaMint-NL_2015-02-10-tweedekamer-24.u62	That's right.
ParlaMint-NL_2015-02-10-tweedekamer-24.u63	And if the College judges protection of personal data, or if we come to the conclusion later that that is a hole that we would have liked to close, how do we do that?
ParlaMint-NL_2015-02-10-tweedekamer-24.u64	I think it would be wise to await that judgment. If there really is a gap in the legislation, we should first leave it to the judge to resolve it with case law; that seems to me to be so sensible. The judge also takes note of what we exchanged here tonight. If that is not resolved properly, then we are in the end back to business. That is the path we must all take. Mr Verhoeven asked me why not all filmmakers are entitled to proportional remuneration. Why is there a containment? I've gone into that before, so I'm not going to repeat myself. I have already said that the case law is left intact. Mr Verhoeven and Mrs Oosenbrug asked me to do so. In a number of sectors there is already a great deal of case law based on communal contract law. Think, for example, of a non-usus in musical spending contracts. The rules laid down in Article 25e also build on the rules laid down in Community contract law. This question from the groups of D66 and the Labour Party can also be answered in the affirmative. A number of Members have asked about the costs of a Disputes Commission. How are we gonna get it to stay low-threshold? Mr Van Dijk also drew attention to this low threshold. It is well known that access to the dispute committees is charged via complaint money. Reportedly, it would be a couple of tens. That's not a huge amount of money. For example, disputes may be raised with the Disputes Committee on the amount of the licence fee for the re-use of photos or articles. Do we have to see to that? That could still be the question you have to ask yourself. We can see that it's happening, but we'll keep an eye on it. In the interim report as of 1 January 2018, we will report on this. Mr Verhoeven further asked me if I was prepared to start the monitoring review immediately after the implementation of the directive. Yes, I am willing to send a letter to the Chamber in mid-2016 on the evaluation of the 2013 Surveillance Act. That's what we were going to do, by the way. I think I promised Mr Verhoeven once, but I would be happy to do that again. Mr Verhoeven has told me his favourite subject once again. Is there a radio model for movies? In fact, we always have a debate on that. It can't be that crazy or the subject is on the agenda. Unfortunately, I have to say to Mr Verhoeven that there is no radio model in Article 45d. Not a collective management organisation, but the producer authorizes the exploitation of film works. The collective management organisations do play a role in this. They ensure that the creators are fairly rewarded for their contribution. For example, they collect a turnover-related fee from the operator. Collective management organisations therefore share, but that is what it is. Mr Verhoeven also asked me why the radio model does not work for films. What was that again? I believe this was literally his line. Film has a different exploitation model than music. You watch less movies than you listen to music. Music is also heard repeatedly, with a few exceptions that watch movies repeatedly and never listen to music, like me. However, that is only a few in society. The film producer wants to decide how a film is placed on the market. A CBO shouldn't waltz through that. International and national law also allows producers to market their films. Mrs Oosenbrug asked: why do we not include an exception to competition law in the law as is the case in Germany? We want to offer creators as much legal certainty as possible. An exception to the Competition Act which would allow undertakings to make collective price agreements could still be at odds with European competition law. The ACM and the Commission are also obliged to act against this. In order to prevent manufacturers from entering this situation, a solution has been proposed which we are sure will fit within the framework of European competition law. The decisive factor here is that the determination of fair remuneration is a public decision. An exception to competition law is therefore not necessary in order to achieve the objective set. I note that the Germans have arranged it, but they have never used it. That is the actual situation. So it's in there, but they never use it. That also has something to do with the workability. There is also a suspicion that this cannot be the solution to the complex problems we face on this subject. I think I have answered all the questions put by Members.
ParlaMint-NL_2015-02-10-tweedekamer-24.u65	Thank you. Let me see if Members need a second term. I see that this is the case. I give the floor to Mr Van Wijngaarden.
ParlaMint-NL_2015-02-10-tweedekamer-24.u66	Mr. Chairman. I would like to thank the Secretary of State for his reply and for the commitment to the planned evaluation. It seems to me that it is a good solution to receive an intermediate position at least after two and a half years and a broader evaluation after five years. I think it is inherent in a complex legislative proposal in which so many interests are at stake, and that is the case with the bill we are discussing today, which leaves questions. It is precisely an in-depth assessment that can clarify how the law works for all parties and on all points. It has been pointed out on several occasions that there has been a long debate on this bill and that it is good to conclude this process now. I also welcome the comments made following Mrs Helder's suggestion on the Disputes Committee. I think this is a good point from Mrs Helder. As I understand it, some preparations will be made for this.
ParlaMint-NL_2015-02-10-tweedekamer-24.u67	Mr. Chairman. Thank you to the Secretary of State for the comprehensive answer to the questions. The same goes for his announcement that there are sometimes legislative proposals that you read on a Sunday afternoon and which you think on a Tuesday night "I'll take it" because that was also the case with me. It has led me to a number of additional questions, which have also been answered by the Secretary of State. So my group is satisfied with that. I didn't ask about the Disputes Committee for nothing. It is very important to us because the aim is a way of settling disputes that is easily accessible. My group therefore believes that this Committee on Disputes should actually be set up. The Secretary of State has almost made a firm commitment on this point. However, since my group would like to see a stick behind the door, I shall table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the copyright law bill (33308) provides a basis for the establishment of a Disputes Commission;]] [[noting that the purpose of the Disputes Commission is to provide a low-threshold provision for the settlement of disputes between creators and operators;]] [[points out that such a dispute committee should be established;]] [[calls on the Government to ensure that this Disputes Commission actually arrives,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Helder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33308-13]]
ParlaMint-NL_2015-02-10-tweedekamer-24.u68	Mr President, can we wait 30 seconds for my motion to be printed out?
ParlaMint-NL_2015-02-10-tweedekamer-24.u69	Yeah, you can. Otherwise, Mr Van Dijk will have additional motions on him.
ParlaMint-NL_2015-02-10-tweedekamer-24.u70	Mr. Chairman. I would like to thank the Secretary of State for the speed train with which he gave the answers. They were also of high quality. He made a number of points clear and made a commitment on a number of points. I announced that I am still chewing on a number of points. I will give some thought to whether or not to submit a proposal for broadening to more than one contribution to the main actors, screenwriter and director. I listened very carefully to the Secretary of State. He said he did two things. He has taken the legal frameworks as the starting point: Articles 40 and 2 of Directive 2011/77, if I say so. In addition, he based himself on the fact that the consultation and the deal between a number of parties resulted in these groups. That's when I thought about it. The answer from the Secretary of State went so quickly that I only came to an idea just in time which I thought covered my problem on the one hand and met the words of the Secretary of State on the other. He said: Mr Verhoeven, be sensible, do not put all these amendments in the wrong direction. I am pleased that the Secretary of State is prepared to evaluate after two and a half years. That's faster than for example after four years. In itself, it's also a term I could live with. You need a little time to figure out how it works, but that period shouldn't be too long. Then I wondered why I wasn't quite reassured. This is because we are dealing with the fact that there are interest groups and professional associations with a lot of people, but also a lot not. I would also like the evaluation to look at the interests of those who are not represented in those organisations. That did not happen completely in the consultation and in the deal; hence my concerns. It is now too late to correct that problem, which is perhaps too much to look at, but I have made a motion to deal with that problem. That motion is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that only a limited number of creators are represented within the agreement made between Portal Audiovisual Makers (PAM) and Rights Consultation for Distribution of Audiovisual Productions (RODAP) on a new remuneration system for film and television exploitations;]] [[calls on the Government to organise the evaluation of the Copyright Contract Law Act in such a way that makers who are not represented are consulted within the agreement between PAM and RODAP,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Verhoeven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33308-14]]
ParlaMint-NL_2015-02-10-tweedekamer-24.u71	The purpose of this motion is therefore to involve the scope, as Mr Van Wijngaarden has asked, in the evaluation in two and a half years' time, which will examine how this is going to work. In doing so, we must also listen and look at the interests of the creators who are not represented in the organised professional organisations. We must also take account of these interests. That's the idea behind this motion. It is a rather subtle motion, but its operation, namely that all makers are sufficiently heard, could reassure me. I would also like to thank the Secretary of State for the answers about the fictional maker. On the one hand, I find it understandable that the Secretary of State says: Shell is also a legal person, so that kind of legal person feels limited; moreover, a lot of small companies will be able to set themselves up in a good way towards the professional parties. On the other hand, I do think there is still a problem for those fictional makers. However, this also applies: let us use the evaluation in two and a half years' time. In short, I will go along with a number of answers from the Secretary of State. So today, as he hoped, he managed to convince me somewhat. I hope, however, that my motion will ensure that we do not just listen to the parties representing the copyright polder, no matter how good and important, while forgetting all kinds of creators who are not members of those parties. I think we'd be going the wrong way.
ParlaMint-NL_2015-02-10-tweedekamer-24.u72	Mr. Chairman. First of all, I would like to thank the Secretary of State for the clear and comprehensive answer to the questions that were still before our group. There were a few tricky points in that too. The answer of the Secretary of State has convinced me to embrace this bill. The question about Article 9a also produced direct results, for which I thank you. I say this particularly to the officials, because I assume that they have done so quickly. The Secretary of State has given an adequate response to all the questions and concerns that we had about the evaluation, so the PvdA can wholeheartedly support this bill after this debate.
ParlaMint-NL_2015-02-10-tweedekamer-24.u73	Mr. Chairman. Thank you to the Secretary of State for the answers. I have three more points. Firstly, the fixing of tariffs. It is very important for the rights and security of existence of creators. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Copyright Law Act provides for a level to be determined of the fair remuneration of a specific industry following a joint request from an association of creators and an operator;]] [[considers that setting these rates will strengthen the rights and security of existence of creators;]] [[calls on the Government to encourage operators and manufacturers in the various sectors to enter into negotiations as soon as possible with a view to setting tariffs,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33308-15]]
ParlaMint-NL_2015-02-10-tweedekamer-24.u74	Then there's the dispute committee. I think it's very important that there be one. Mrs Helder also thinks that this is very important. She has also tabled a motion for a resolution on this matter. I have a motion on it, too, and it's just as different. Mrs Helder says that the government must in any case ensure that this committee is there and I suggest that the Secretary of State should take care of it if necessary. The text reads as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Copyright Law Act provides for the possibility of the appointment of a Disputes Committee by the Minister of Security and Justice where a dispute can be settled between a creator and his opposite party or a third party;]] [[considers that it is important for creators to be able to obtain their rights in an easily accessible manner;]] [[invites the Government, if necessary, to make use of the possibility to appoint a Disputes Commission,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Jasper van Dijk, Mr Oosenbrug, Mr Van Wijngaarden and Mr Verhoeven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33308-16]]
ParlaMint-NL_2015-02-10-tweedekamer-24.u75	Given the support of the motion, I can already say that the Secretary of State can see it as the support he just asked for. Finally. I had asked if the Secretary of State had taken note of that petition and that beautiful booklet by the creators, which shows how important a creative sector is for a country like the Netherlands, because without it, our country would be cold and cold.
ParlaMint-NL_2015-02-10-tweedekamer-24.u76	This brings us to the end of the second term of office.
ParlaMint-NL_2015-02-10-tweedekamer-24.u77	It's a detail, but I just filed a motion, with text on both sides. The correct text was on the back. It's not a big difference, but I'll change the motion. The thrust of the motion remains that I want the unrepresented makers to be properly heard in the evaluation in two and a half years' time. That's the essence of the motion. It's as simple as that. I'll change it a little bit, but it doesn't change the spirit.
ParlaMint-NL_2015-02-10-tweedekamer-24.u78	That seems important to me, because then the Secretary of State will know exactly what you mean. Then he can respond to that. The Secretary of State doesn't have all the motions yet. We'll wait a minute.
