ParlaMint-NL_2015-03-25-tweedekamer-10.u1	Ten speakers have come forward. I shall be the first to give the floor to Mrs Ouwehand.
ParlaMint-NL_2015-03-25-tweedekamer-10.u61	I would like to continue on this point. I understand that in the end the CDA also says: we don't know everything yet and it's important to keep the possibility open to further research and further discussion. However, I believe, looking at the legal text, that it is not technically necessary to comply with the law now, because the law merely outlines an option and does not say: we are going to do so. However, we must ask the Minister. So, after the adoption of the law, you can still consider whether you are actually going to do it. In addition, you could make several suggestions to the Minister on important points. However, that is more for a motion than for an amendment. I do not think it is technically necessary to enforce the law in this respect. This in turn results in a great deal of delay and puts the roll-out and achievement of the objectives at risk. Can the CDA Group confirm that it is not up to it to do so, that it chooses progress wherever possible?
ParlaMint-NL_2015-03-25-tweedekamer-10.u62	If we want to achieve these objectives, we will have to achieve a great deal of wind at sea, in that total energy mix we have. We just think that we should be very clear about which direction the Minister should go. If we do not now clearly state that, as far as we are concerned, it cannot be within that 12 mile zone, and he has not looked at all the possibilities, we are actually saying to the Minister: go do it as it says. As far as costs are concerned, too, we think it is important to be absolutely clear what we are talking about here today. It just isn't right now. All the groups have rightly made comments on this. If that leads to the Minister saying that he is still maintaining the law at the moment, because there are so many unclear questions and there are still a number of investigations on the way, then we are happy to hear that in his reply. Then we can see how we deal with it. But that 12 mile zone is just there, because it must be clear to the inhabitants that we should do our best together. We really need to get this done.
ParlaMint-NL_2015-03-25-tweedekamer-10.u63	An amendment to the law is digital. If the amendment is adopted, it cannot be accepted. If the amendment is not adopted, it is an option. If the CDA is going through with this amendment, you're actually making the choice right now. All these statements about the Minister having to talk and so on are not really worth anything anymore. Then it is already decided that we do not want it, without knowing whether we really do not want it. That's my problem. Then it is also true that the 12 mile limit is not necessarily the line of sight. So if you don't want it to get inside the line of vision, that 12-mile zone won't do you any good. That's arbitrary. So my question remains: is the CDA's point of principle now in the 12 mile zone or on the mission of the Minister to examine with the coastal provinces whether the proper cost-benefit balance is being made together with the residents? If that's it, you shouldn't table this amendment.
ParlaMint-NL_2015-03-25-tweedekamer-10.u64	Last year, during the legislative consultation on energy, we said that we do not want this within the 12 mile zone. We have been very clear about this. In the meantime, the Minister has not taken all these steps, so I do not have high expectations at this time. But perhaps the Minister will surprise us today. Then we will see that and then we will have a very clear stick behind the door, as the SP indicated. I did not file it for nothing, because I would very much like the people in our coastal provinces to be listened to seriously. That is not the case at the moment. I find that careless. Over the 12 mile zone there is even a great deal of resistance among the Dutch coastal communities, as almost all groups have indicated, as with all political parties, except GroenLinks; I have to say honestly, because during the election campaign in North Holland, about every fraction of windmills at sea turned out to be close to the coast. We have said the same thing both here and in the province. In the answers to my written questions, the Minister indicated that a visualisation was made of the park that the Minister is looking for. Meanwhile, an information meeting for city council members, including for the municipality of Zandvoort, has been cancelled. Is this visualization so shocking? When will it be made public? We have tabled an amendment on this point. To point out that we are not only looking at renewable energy through very large projects but also through small ones, the CDA always brings out decentralised energy generation from the bottom up. Right now, there's the postcode rose scheme. That's actually a dragon of an arrangement. I do not know how many initiatives have already been adopted. We'd like to hear that from the Minister. We were supposed to be informed at the end of March, early April. Maybe the Minister can say something about that already. As far as we are concerned, energy cooperatives could also be encouraged through the SDE+ scheme. We would like to hear whether the Minister would like to think about this and what his current experience is with the postcode rose. How many projects have already been authorised? We will have to use large and small to achieve the objectives. We don't just make it with wind at sea. We also need land-based solar energy from small-scale bottom-up initiatives. Support has been mentioned very often today for a reason, and employment is also an important issue, as is innovation. The question is quite rightly where this innovation is, how much it costs and whether the Minister can make the costs clear today.
ParlaMint-NL_2015-03-25-tweedekamer-10.u65	Mr. Chairman. This bill opens the locks to the billions of waste called wind energy at sea. No less than 18 billion euros of subsidy is transferred by this VVD minister to most foreign companies that come to ruin the view off our coast, from Zeeland to the head of North Holland. Beach guests will soon see their tax dollars evaporate instead of the setting, burning sun on the horizon. Definitely not a soothing thought for a nice day out. It is therefore logical that many coastal entrepreneurs are concerned about staying away from visitors, resulting in less income and job losses. Research carried out by a number of coastal communities shows that this can reach up to 6,000 jobs. When I asked the Minister a year ago in written questions about this investigation, he felt it was too early to draw such conclusions. What's the Minister's position on that? Does he share the conclusions of this investigation and what will he do with it? Not only in the tourism sector there is a risk of job losses, but also in other sectors such as fisheries and oil and gas extraction, as the report of the Central Planning Bureau shows. No less than EUR 5 billion are damaging the offshore windmill plans of this cabinet to our prosperity. Is the Minister prepared, before wind farms are realized, to check with the sector whether there are viable oil and gas resources? We would prefer gas to be extracted from the North Sea rather than from Groningen. Does the Minister agree with this? Can the Minister arrange that the oil and gas extraction sector can also object to preparatory decisions? That is not possible now. Windmills do not run on wind, but on subsidies; everyone knows that by now. However, on how much subsidy is not entirely clear, although I do appreciate the explanation given by the Minister in the note on the further report. The Minister will contract the wind turbine parks between 2015 and 2019 for amounts from €0,145 to €0,125 per kWh. Will the tender in 2015 be based on those high costs in 2015, the year of procurement, or on those lower costs in 2019, the year of delivery? At the same time, the Minister says that industry must achieve a cost reduction of at least 40%. With a starting amount of €0.15 per kWh, you should end up at €0.09 per kWh. But if the Minister procures all the wind turbine parks in the period 2015-2019 and assumes these costs, then not half of the promised reduction will be achieved. Can the Minister explain this? Is our conclusion that this 40% reduction in costs is not achieved at all with the current planning? Can the Minister also explain why the cost savings achieved by system operator TenneT have not yet been included in the cost table? Should the maximum subsidy amounts for 2015 to 2019 not be corrected for that €0,015 that TenneT realizes? And €0.01 per kWh may sound like little, but it is ultimately billions of euros. For example, TenneT's savings of €0.015 are already €3 billion. Also unclear is the large variation in subsidy billions that the minister is going to distribute for the wind turbines at sea. In response to written questions from the PVV on statements by Mr Nijpels that wind energy does not cost a subsidy, the Minister replied that the plans for wind at sea provide for a maximum of EUR 5.5 billion of subsidy. But in the last year and a half, the Minister always assumed a maximum of EUR 18 billion. In the note following last month's further report, the Minister is still talking about EUR 18 billion, but he is also talking about EUR 9 billion, and in Monday's letter we are talking about EUR 12 billion. Can the Minister explain how all these amounts relate to each other? Furthermore, it is strange that the Minister is already having TenneT make costs for a network at sea when the energy agreement is concluded, while there is still a need for alignment with the Chamber and a legislative amendment. The Minister defends this by pointing out the tight timetable for reaching the agreements in the energy agreement, but also a minister in this country should abide by the laws that are now in place, and TenneT is not yet the network manager at sea. So the Minister orders something that is at that time contrary to the law. That calls for an explanation! We also wonder whether this way of acting will not lead to legal problems. After all, the parties affected will appeal. Another concern is the exception made for wind energy at sea for the Dutch Flora and fauna law. As a result, it no longer matters whether there is intent or not to crush birds, the crushing of bats and the numbing of porpoises and seals. When it comes to wind turbines at sea, everything is allowed. Why does the Minister create this exception only for wind at sea? Why does the Minister not treat all activities, including oil and gas extraction, equally? Both, according to this cabinet, are of equal national importance. The PVV feels differently, because oil and gas extraction provide prosperity and jobs and wind energy costs us prosperity and jobs. As far as PVV is concerned, the same rules should apply to all activities at sea. Is the Minister willing to change this? In conclusion, I conclude that the PVV sees nothing in this bill. It's an attack on our prosperity and grabs the citizen in his wallet. It is therefore not surprising that the Central Planning Bureau agrees with the PVV. Moreover, there is no environmental gain. Instead of throwing money over the bar, the Minister needs to work on an energy supply that is about affordability and reliability, making the most of the innovations we can expect in the coming years. The Minister has to work on an energy supply that makes energy cheaper rather than more expensive. With this law, the Minister clearly goes for short-term political outcome, at the expense of the long-term public interest. Thanks to this bill, hardworking entrepreneurs in coastal towns see their income evaporate on the horizon. The PVV says again: stop wasting billions.
ParlaMint-NL_2015-03-25-tweedekamer-10.u66	Where the tree stick is such a beautiful bird, the windmill-Klever is a bit of an angry bird. I don't get it. Mrs Klever says that the bill is bad for all kinds of places where damage is being done. In Den Helder and the entire area around Rotterdam and Dordrecht, the PVV was the largest party last week, and in Vlissingen the PVV became the third party. However, these are all cities and areas where there is already an enormous amount of employment in the windmill industry and where there will be more. So is Mrs. Klever scaring away her own constituents now? How am I supposed to see this?
ParlaMint-NL_2015-03-25-tweedekamer-10.u67	I think that's a bit of a weird question. With the support of the Socialist Party, this cabinet spends billions of euros on uneconomic windmill technology, which does not yield any results. The Central Planning Office has calculated that this technology will destroy even EUR 5 billion in prosperity. She's getting nothing, not even an environmental gain. This cabinet is throwing billions of euros over the bar and it's getting nothing. The PVV says stop doing that and wait for the innovation. The innovation in the world is going very fast. For example, scientists expect solar energy to be economically viable by 2020, with prices comparable to current fossil energy prices. Why should we invest in outdated technology now when developments are moving at a rapid rate? My argument, Mr Smaling, should also be addressed as a scientist.
ParlaMint-NL_2015-03-25-tweedekamer-10.u68	I share that innovation issue. There are a lot of developments in renewable energy technology. That's right. But of course you can't wait endlessly. I am sorry that the PVV is looking so unilaterally at this issue. There are benefits. Look at a program like Space for the River. We'll put 20 billion in that. That may not be necessary at all, because we are assuming a flow rate at Lobith of 18 billion cubic meters per second, and that is ridicul. Then you need dikes in Cologne so you can't even see the Cologne Cathedral. However, I do not hear the PVV about that, while you can still get 10 billion off that budget and then you are still safe downstairs. It is so cherrypicking what the PVV does at this point, while there really are possibilities to make a success of this, if only it gets volume. Or are we not getting closer to each other on this point, Mrs Klever? I regret that in a personal sense, but in a political sense I fear the worst. I hope that we can get a little closer to each other through a little debate.
ParlaMint-NL_2015-03-25-tweedekamer-10.u69	We are having a debate on the wind energy at sea Act. Mr Smaling is now raising a number of issues. Well, I can also come up with a number of things that I do not agree with, for example the billions that go to the EU or the billions for development cooperation. All of this is fine with the SP, but neither do we. However, that is not what this debate is about. In this debate we are talking about the energy supply of the Netherlands. And I note that this cabinet, with the support of the entire Chamber, including the SP, makes energy priceless for ordinary people. Scientists have calculated that families will soon pay €500 extra a year for all these plans. I really do not understand why the SP can agree to this. The SP, which always stands up for the people with a small stock exchange, simply agrees with energy bills that are hundreds of euros higher. I was just expecting the SP to come our way and shoot down these bullshit plans with us that don't pay off. But unfortunately...
ParlaMint-NL_2015-03-25-tweedekamer-10.u70	I think Mrs Klever has very high expectations of a huge bubble of oil and gas that is still under the North Sea. Otherwise, I would like to ask her why she is so keen on putting Putin, ISIS and Saudi Arabia's bank account instead of investing in jobs in the Netherlands or Europe.
ParlaMint-NL_2015-03-25-tweedekamer-10.u71	Well, that's another statement... This is bullshit! Everywhere in the world you can buy oil and gas, really not just from Putin or the oil sheiks. There is oil in the world for 178 years, according to the World Energy Outlook, for 233 years of gas and for 30 centuries of coal, really not just with Mr Putin, for whom D66 is apparently so afraid. I call Canada, Venezuela, Angola, Norway and so on. You can buy gas anywhere! It's bullshit that we'd be baconing Putin or oilsheiks. That's D66 scary I'm gonna distance myself from.
ParlaMint-NL_2015-03-25-tweedekamer-10.u72	The fact remains that the European Union as a whole spends more than 1 billion a year on imports of fossil fuels. So every year we drive 1 billion off this continent. We can also invest that billion in this continent, so that it creates jobs here instead of just making bank accounts elsewhere. If Mrs Klever prefers to get her oil from Angola and likes it better than ISIS, I'd like to leave it with her. The fact remains that we are exporting prosperity, while my group opts more for investment.
ParlaMint-NL_2015-03-25-tweedekamer-10.u73	When D66 talks about "we," it is about Europe, but when I talk about "we," I talk about the Netherlands. We are also here in the Dutch Parliament. The fact is that we in the Netherlands are self-sufficient in our gas needs. We do not depend at all on Putin. In fact, we export gas. So I'd say don't fall for D66's scaremongering, because it's all a big exaggeration. D66 does not want to import more oil and gas, but in the Botlek there are all kinds of companies that need oil and gas for their production process. So D66 actually wants to say to these companies: "That's not allowed anymore. Close your doors; get rid of it! We do not want to import oil and gas." I think that's another bad policy.
ParlaMint-NL_2015-03-25-tweedekamer-10.u74	I hear the PVV regularly worrying about the cost of energy for low-income people. GroenLinks is in favour of cheaper cleaning and making dirt more expensive. When I hear Mrs Klever like that, she really wants to help the whole of the Netherlands get more expensive energy. We have increased together in the debate on gas in Groningen. We want the gas tap to shut down and there will be more LNG, but LNG is an incredibly much more expensive. What does the PVV want? Does it want to ensure that not only the current generation of low-income people, but also the future generation gets lower energy costs? Then energy efficiency, insulation and more own energy are the only solution. Or does Mrs Klever think it should cost a little, as long as it is not clean energy?
ParlaMint-NL_2015-03-25-tweedekamer-10.u75	First of all, electricity from LNG is still much cheaper than electricity from windmills, but that aside. Mrs. Van Tongeren asks what the PVV wants. The PVV wants to stop the billions wasted that the energy agreement brings with it. We are self-sufficient in the Netherlands in the field of electricity. We still have gas until 2030. If we stop exporting our gas, we will be self-sufficient much longer. Then we can pump up more slowly in Groningen and it is a lot safer for the Groningers. In the meantime, technological development has not stopped. I told Mr Smaling that almost all scientists agree that by 2020, in five years' time, solar energy can simply compete and be economically profitable. There are also developments in thorium and in the field of fusion. The world doesn't stand still. Instead of investing in outdated technology, the PVV wants to focus on new technology. We want to focus on technology of the future instead of technology of the past.
ParlaMint-NL_2015-03-25-tweedekamer-10.u76	I am pleasantly surprised to hear that we are both very much in favour of a rapid roll-out of more solar energy.
ParlaMint-NL_2015-03-25-tweedekamer-10.u77	Without a grant!
ParlaMint-NL_2015-03-25-tweedekamer-10.u78	We can then find each other in that, but I would like to make sure that electricity from lng is cheaper. You get it first by boat from another country, for which you make it liquid, then you turn it back here and then you turn it into electricity. Can Mrs Klever tell me why this would be cheaper than wind energy? Because I don't know those sums.
ParlaMint-NL_2015-03-25-tweedekamer-10.u79	LNG is about 40% more expensive than gas. Electricity from a gas plant costs €0.04 to €0.05. If you add 40%, you will be at about €0.06. As regards wind turbines at sea, we know from the table in Minister Kamp's letter that he is going to tender for €0,145. That's still twice as expensive as power out of LNG.
ParlaMint-NL_2015-03-25-tweedekamer-10.u80	The PVV is concerned about the wallet of the Dutch. The Christian Union wants to pay close attention to this. That is why we have always said that the coal plants operating in our country are going to have more capacity going on in the near future and that they should be fair in their costs: not only the health damage, but also, for example, the indirect costs. We need to increase our dikes due to climate change, which is caused by CO emissions. A lot of indirect costs that people have to pay through taxes and through the GP's account are not coming back now. I would like a response from the PVV Group to the fact that no fair comparison is being made between coal and renewable energy.
ParlaMint-NL_2015-03-25-tweedekamer-10.u81	Mrs Dik-Faber doesn't think it's fair because she disagrees. The Central Planning Office, the government's main advisory body, has simply calculated that the plans for offshore wind turbines generate a loss of 5 billion euros for society. It costs EUR 5 billion more than it yields. Mrs Dik-Faber does not like it, but if she thinks she knows better than the Central Planning Office, I find that rather arrogant. I would also like to say a few words about climate change. The Netherlands does 0.5% of global CO emissions. It is, of course, an illusion that we can change the climate with a few wind turbines at sea. That's also some kind of delusion of grandeur. We're only doing 0.5%. We are not even a drop in the ocean yet.
ParlaMint-NL_2015-03-25-tweedekamer-10.u82	I hear a lot of big words from the PVV Group, but no answer to my question. There are many social indirect costs due to the presence of coal plants in our country and the fact that we will soon be building more coal plants. We have just talked about the fact that charges for connection costs have to be paid for wind at sea, but not for coal-fired power stations. I can outline all kinds of situations where there is an uneven playing field between coal power stations and wind at sea. My question remains whether we should not look honestly at the costs of coal power stations and of wind at sea and their revenues, including in terms of innovation and employment. Then we will certainly come to different conclusions than the PVV Group has outlined here.
ParlaMint-NL_2015-03-25-tweedekamer-10.u83	I fully agree with Mrs Faber that there is an uneven playing field between coal power stations and wind at sea. Coal-fired power stations cost taxpayers nothing and windmills at sea cost taxpayers EUR 18 billion. That is indeed a hugely uneven playing field.
ParlaMint-NL_2015-03-25-tweedekamer-10.u84	It's Mrs. Fat, by the way. Mrs Van Veldhoven has a small correction for the Acts.
ParlaMint-NL_2015-03-25-tweedekamer-10.u85	I just said that we import 1 billion a year, but of course it's over 1 billion a day. The European Union imports between 400 billion and 500 billion fossil fuels per year. It seemed important to me to correct that for the Acts, since it gives an even better picture of the scale of the problem here.
ParlaMint-NL_2015-03-25-tweedekamer-10.u86	That is not only for energy supply, but also as a raw material for large companies.
ParlaMint-NL_2015-03-25-tweedekamer-10.u87	Before I give the floor to Mr Vos, as chairman of the Committee on the Environment, Public Health and Consumer Protection, I have to say that I think it wise that we in Parliament should not joke about each other's names. It's been a while, but I think it's important to mark it anyway.
ParlaMint-NL_2015-03-25-tweedekamer-10.u88	Mr. Chairman. Today is one of those days when you, as a Member of Parliament, are happy and proud to be able to stand here, because you know that you can really mean something in this Parliament and that you can change things. Today is the day when we will provide millions of Dutch families with renewable energy through an important law. That's something very special. With that, we will take this country a different path. I must therefore say that I am sorry that on such a day the news is dominated by a newly appointed colleague, Mr O'Donnell, who is not present at the debate; apparently that was not worthwhile because he is robbing a seat and taking one of the 150 seats here, while he is not democratically elected. Today is the day we talk about the wind energy at sea. It will not be surprising that the Labour Party is strongly in favour of that law. In the coalition agreement, we announced major plans to realise wind at sea. In the energy agreement, these agreements have been consolidated and nearly 50 civil society organisations and companies have made agreements to realise these windmills at sea.
ParlaMint-NL_2015-03-25-tweedekamer-10.u89	I had some doubts, but I think I should make a comment about the start of Mr Vos's contribution. Everyone in this room has been elected. After that, history took its course.
ParlaMint-NL_2015-03-25-tweedekamer-10.u90	Mr Vos, that is a point of order. You don't have to respond to that.
ParlaMint-NL_2015-03-25-tweedekamer-10.u91	Mr. Chairman. As far as my group is concerned, the way in which the cabinet has carried out the energy agreement deserves great appreciation. It's quite something we do here. It's a huge infrastructure project. If, in ten years' time, we sail along all those windmills at sea, almost no one is really affected, as we do suffer from coal-fired power stations and earthquakes in Groningen or windmills that were placed on several hundred meters of our houses and see what we have realized, then I think we can mark a very special moment. It is not often that we, as a country, have carried out such large infrastructure projects. For that, I think you should return to the work for the Delta Works in the mouth of the Oosterschelde. My group therefore expresses its appreciation of the cabinet. We hope that the law can enter into force on 1 July 2015, so that the first tender can take place already this autumn. I'd like to get a response from the Minister. It is clear that the Labour Party Group will not support proposals from political groups which will lead to further delays in this project. We have to act as a matter of urgency on this matter. The law provides an integral framework for the designation of a wind farm, linking the granting of permits and grants. That's an improvement. The bill also introduces the Lot Decree, in which the Minister of EZ and the Minister of I and M indicate at what location and under what conditions a wind farm at sea can be realized. That's also an improvement. There will also be one network operator, and that is the high voltage manager TenneT. My group supports these proposals and the budget allocated to TenneT for this purpose, the so-called preparatory costs. My group also supports the way in which the Minister has implemented the handling of the existing permits. I think it is a good thing that this point has been removed. That was something that my group too has been somewhat upset. As far as we're concerned, that dirt has now been disposed of. My group is aware of the high cost of this project. ECN estimates amount to around €9 billion. The Minister now speaks of EUR 12 billion. Previously, we talked about EUR 18 billion. Those are high costs. It is of course nice that we can achieve a 40% discount on the costs by setting it up so large scale. However, I think it can be even smarter and cheaper. My group believes that the way in which we finance it now, in particular, favours investors, and banks, which operate in the financial market and borrow it for these big projects, and investors, who can invest their own assets on the very gold-plated, government-protected way of working. I wonder whether we would not be better able to finance this project from the government's own funds, through state participation, through a state bank, or simply by direct participation. No one can borrow and lend cheaper than the State itself. The sum is pretty simple. We are currently borrowing below 1%, while we are providing some 15% of debt on these projects, and 7%, 8% of equity; that is a little dependent on the approach chosen. We can give the difference back to citizens in the form of burden relief, or we can use it to achieve even more sustainable energy. After all, we are far from there. A number of groups also indicated this. You can save billions on this project, we think. With these 40% savings, the Minister has taken a very good path, but it can be done a little faster and better. I ask him to pay attention to that.
ParlaMint-NL_2015-03-25-tweedekamer-10.u92	Can Mr Vos justify his remark that this is going to save billions?
ParlaMint-NL_2015-03-25-tweedekamer-10.u93	If, as is happening now, you invest in a windmill project by subsidising the so-called uneconomic top of wind energy at sea, you actually subsidise a private project. The investors who invest money on that must earn money from it. Soon it will be about 8% to 10%. Furthermore, you have to deal with debt, because the money has to be "livered" and then there is extra debt. That's another 10% to 15%. These are all costs that do not have to be incurred if the government itself participates. The government is currently borrowing money on the capital market at around 1.5% interest rates. Such a project involves 9 to, according to the broadest estimate, 18 billion. If you take the funding costs off, you'll soon be on a cut of 2 to 3 billion. I would like the Minister to take a good look at this. I believe that the Prime Minister has promised this at an earlier stage. We can handle the public money smarter. We'd better spend that money. There's something else. At the moment, mostly rich people and banks earn wind energy at sea, but all citizens in the Netherlands pay the same. I'm with the Labour Party. If burdens and lusts can be distributed more fairly, then I am at the front.
ParlaMint-NL_2015-03-25-tweedekamer-10.u94	Smarter dealing with our taxpayers' money: everyone can only be interested in it. It seems to me, however, that the Minister should pass on this little plan once again. Of course, the government is not going to carry it out on its own, so it has to take advantage of companies to do so, and those companies have to make a profit. Those billions with which the Labour Party now counts so quickly, I would therefore like to see it properly calculated. I don't think we should throw the whole thing over on the basis of this calculation on the back of a cigar box. Wouldn't it also result in a huge delay? Is Mr Vos prepared to catch up on that delay?
ParlaMint-NL_2015-03-25-tweedekamer-10.u95	It can just be within the current system. Take, for example, the FMO, a bank in which the government sits for 51%. That bank also invests in equity. EBN invests in fossil energy projects and gets a return from them. EBN is a 100% public participation. EBN could also invest in renewable energy. England, the United Kingdom has a green bank. I tabled a motion on this subject with Mrs Van Veldhoven's colleague: such a green bank would also be a very nice way for the Netherlands to finance this type of project. In Italy recently an economist, Mazzucato, wrote a wonderful story about how the entrepreneurial state, the enterprising state, can operate and make money back. She also points to a number of projects in the United States, but you can also take ASML in the Netherlands, for example. ASML is a very successful company. It produces 80% of chips on the world market. All rulers and economics spokesmen pass through. The Dutch government has invested a lot in this company. In the start-up phase, in the early 1990s, more than half of all investments came from the government. We are now reaping the benefits of this as a society. If we do this in a smarter way with the windmills, we will eventually get more money in our own pocket. That's what the Italian economist says. This means reducing the burden on citizens. That is an important point for the VVD, but Mrs Van Veldhoven, too, sometimes has a hand in emphasising it at her liberal moments. Eventually there will be a fair distribution of burdens and appetites, and so the Social Democrats are happy again.
ParlaMint-NL_2015-03-25-tweedekamer-10.u96	Mr Vos was a little surprised at my contribution to this debate, in which I tried to outline the framework within which my group has to make its deliberations: not doing enough for the climate and not doing enough to really achieve energy saving, but by pushing aside the nature test to place windmills in the North Sea, while we know that it is not very good either. We find that difficult. So I wonder what the Labour Party would say if the government wanted to abandon the Natura 2000 sites, which Germany considers important, and did not follow the International OSPAR Convention to protect the sea better. Does the Labour Party look at the cabinet as a total? The need for green energy is also seen by the Party for Animals, but do we not want to encourage the Cabinet to make something more of nature conservation?
ParlaMint-NL_2015-03-25-tweedekamer-10.u97	The Party for Animals considers the Labour Party to be sidelined when it comes to nature conservation. We have been able to work successfully in this area at several times in recent years. That will be the case in the future. In my view, wind at sea at the distance now planned from the coast is a very good way to generate renewable energy. Of course, windmills also have disadvantages, but we have to move on.
ParlaMint-NL_2015-03-25-tweedekamer-10.u98	I understand that reasoning, because climate change is not going to do the sea any good either. The question is whether the Labour Party is in agreement with Mrs van Veldhoven's amendment, which I am allowed to sign, which states that the nature test should not be dropped, not standard. Does the Labour Party call the Cabinet to order if it does not say that it is worth making efforts to protect and restore nature in the North Sea? With these windmills we create an extra natural effect on the North Sea, which can't have that much anyway. It is therefore a specific matter of the motions before us which call for the Borkumse Stones to be designated as a protected area and for the international OSPAR Convention, which we have signed. Can we count on the Labour Party?
ParlaMint-NL_2015-03-25-tweedekamer-10.u99	When it comes to compliance with international conventions, the Animal Party will of course find the Labour Party on its side. I will assess the amendments tabled. Mrs Ouwehand will notice if we vote against it. If we vote for it, so will she.
ParlaMint-NL_2015-03-25-tweedekamer-10.u100	Please continue with your speech.
ParlaMint-NL_2015-03-25-tweedekamer-10.u101	In the past, there has been speculation on major projects for wind at sea. We have the following questions. How does the Minister deal with the risk of speculative bids? How can it be prevented that parks are not realized or that there are major delays due to insufficient financial or technical opportunities for a participating party? Should a bank guarantee of a certain size be required before a party participates in a tender? My group does not exclude near-shore wind energy. Especially at a distance of 10 nautical miles, as planned, the inhabitants of the coastal towns in comparison with some of the inhabitants of the provinces of Drenthe and Friesland seem to be well off. We do, however, share the concerns rightly expressed and support the request made earlier by the VVD for research into IJmuiden Ver on the important condition that there is no delay. We also very much like to see the employment created by this in Vlissingen, IJmuiden, Den Helder, Rotterdam and the Eemshaven, to which my colleague from the SP referred, actually arrives in the Netherlands and not in other countries. Some countries are very keen to attract the employment of these projects. I would say that we are first helping our own jobs.
ParlaMint-NL_2015-03-25-tweedekamer-10.u102	Thank you. Before I give the floor to Mr Bosman, I would like to say before the Acts that the Committee on the Examination of the Letters of Faith of all Members of the House of Representatives has established that they have been rightly admitted to this Chamber.
ParlaMint-NL_2015-03-25-tweedekamer-10.u103	Mr. Chairman. Today we are discussing the Law on wind energy at sea, a small but important law. Large sections often take place in many steps, with each individual step having to be taken to achieve the ultimate goal. The same goes for this law. This Act establishes a new system for the issue of licences for the operation of wind farms at sea. That's not the sexiest subject, but it has to be done with all due care. This law is a step in the implementation of all agreements under the Energy Agreement. My group, of course, wants to keep these agreements. The Energy Agreement agreed to roll out winds at sea according to a standardised approach if it proves more efficient. That is the case now. We therefore leave the old system in which each project had its own approach. From now on, we choose to standardise and thus exploit the economies of scale and the financial benefits it brings. So we get a number of parks of equal size that are plannedly built. With this preparation TenneT can work on the basis of this law. Thus, this law contributes to the agreed cost reduction of 40%. That cost reduction is a tough deal. If it is not achieved, I think the risk lies with the sector. But I'd like to hear that from the Minister. In order to allow for this standardised approach, this law introduces the so-called Lot Decision. This law does not deal with the specific locations of the offshore wind farms, but allows the Ministers of Economic Affairs and I and M to decide on a specific location later. Can the Minister confirm that this law does not pre-sort at specific locations, but leaves all options open within the currently designated lots for windmills? There is another point I would like to highlight. Unforeseen circumstances could result in the network being delivered too late at sea for a wind farm to be connected. In that case, an investor will suffer damage. If a wind farm is ready but it cannot supply its power because there is no net yet, there are no returns but costs. In the note following the report, the Minister writes that an appropriate compensation mechanism is being worked on for the wind operator concerned should this circumstance occur. I would like to know from the Minister how this is going, who he thinks should pay for the costs if a park is not connected in time and how he prevents such a situation from arising. The final location choices for the wind farms to be built will of course be followed critically by the VVD.
ParlaMint-NL_2015-03-25-tweedekamer-10.u104	Thank you. This brings to an end the first term of office. I suggest that we combine the suspension that the Minister needs to prepare for his answer with an early dinner break.
