ParlaMint-NL_2015-12-16-tweedekamer-12.u1	I understand that the Secretary of State for Security and Justice will speak first.
ParlaMint-NL_2015-12-16-tweedekamer-12.u62	The history was precisely that too many amounts were mentioned that were wrong. The Minister will also go into this in detail. The Minister should have withdrawn an amount. He had reported to the Chamber the assumption that it was $2 million. His conclusion was: "I mentioned amounts, but I should not have done so. 'Cause I can't fix them. I can't make any money. I've been looking, and I've had Van Brummen do some research. We have spoken to Mr Teeven and he has shared his memories. The conclusion is that I can't call you a valid amount because I don't know what's right." The idea was right then that there were already far too many amounts that were not certain, and that you did not have to come up with them again. I checked again to see if there were any new things on the table. Were these things already involved in investigations and had they already been to the Chamber? That was all the case. I didn't find out where the Chamber was misinformed. I am now being rubbed that when you criticize something, you are also responsible for the things that are not being adapted. Everyone has to judge that for themselves. That is also a reason why I say that you better not be involved at all, because you can fix a part and the rest, which you have not been able to fix, is then suddenly your responsibility. I didn't agree. It's not my style either. Anyway, if that's rubbed on me, then so be it. Again, I didn't get the idea that Newsage was being broken. I have just the things I thought: yes, but this is... Why deny an amount if you don't even know what the amount is? Why shouldn't you mention the memories explicitly, which Nieuwsuur also hinted at? Then confirm that those memories are there! That's what happened.
ParlaMint-NL_2015-12-16-tweedekamer-12.u63	One question, Mr Klaver.
ParlaMint-NL_2015-12-16-tweedekamer-12.u64	Here's what I'm gonna do. First of all, I appreciate the open and reflective attitude of the Secretary of State. I hope that this will be an example for the Prime Minister in his reply. The point was that Newsuur had provided all kinds of new information, including an account number. Then you can't say there's no new information? Or did the Ministry say that the account number was known anyway and that it went after it, but it didn't find out? News hour had delivered new information on the fourth to apply hearing and hearing again. With that information, the data was eventually found a week later. How could the ministry then have claimed that there was no new information, and how could Member Dijkhoff then have believed that there was no new information? I thought that was the whole crux of the Nieuwsuuritem. There was new intel!
ParlaMint-NL_2015-12-16-tweedekamer-12.u65	There was plenty of new information from Nieuwsuur, but also only from Nieuwsuur. That is precisely what I think the discussion was about. The announcements made at the table about what was already known and Fred Teeven's memories were therefore not new, but already involved in research and information. News hours had a lot of new information, of course. I didn't deny that at any time.
ParlaMint-NL_2015-12-16-tweedekamer-12.u66	I actually want to give the Secretary of State an opportunity to finish his story, Mr Klaver. Then whoever needs to interrupt again gets the opportunity to do so.
ParlaMint-NL_2015-12-16-tweedekamer-12.u67	However, I would like to ask you briefly on this point. The Secretary of State himself just said that no new information had become available which the Ministry did not yet know or with which it had not yet started to work. That's what it's about. There was new information, which was also new to the Ministry, with which the Ministry had not yet started work. Then you can't come up with denials and say that Newsage is wrong.
ParlaMint-NL_2015-12-16-tweedekamer-12.u68	I totally agree with that. That was the spirit of my advice. If you don't know yourself, if you don't have any information and that information doesn't come from the Ministry, so if you know less than Nieuwsuur, how can you deny that what they're saying is true? So that denial is gone.
ParlaMint-NL_2015-12-16-tweedekamer-12.u69	How much time do you think you need?
ParlaMint-NL_2015-12-16-tweedekamer-12.u70	We've been a long way along along.
ParlaMint-NL_2015-12-16-tweedekamer-12.u71	All right, Mr Segers will have the floor.
ParlaMint-NL_2015-12-16-tweedekamer-12.u72	The Secretary of State says not all my advice has been taken and the rest will be rubbed at you. Did he also advise on the first line of the press release?
ParlaMint-NL_2015-12-16-tweedekamer-12.u73	About the first rule? No, we haven't handled the message in any sense. I have asked general questions about the certainty: 'not misinformed', is that correct? Then came the story: yes, there was a moment when the Minister had told the Chamber that it was 2 million, but that has been corrected. Newsday says the minister called out 2, but it's 4.7. The latter is certainly true and he also called for two, but the Minister at the time said to the Chamber: sorry, I have to withdraw those two, I should not have; I do not know what the amount is. At that moment, the information was to the Chamber: I don't know. That was still correct; that was not incorrect. Furthermore, we have not dealt with the message in any sense. I haven't been writing. I have, however, challenged the certainty on a few points. There have been two changes. News hours said Mr. Bitch had memories. We said at that time: if that has already been changed with the Chamber, just put it in.
ParlaMint-NL_2015-12-16-tweedekamer-12.u74	I understand the Secretary of State took care of that first sentence at the time.
ParlaMint-NL_2015-12-16-tweedekamer-12.u75	No, I didn't have that conversation. I've been asking questions. Again, it was not a question of asking a question, getting an answer and then saying "okay." I challenge the certainty, the response, and then the Minister decides what he leaves behind. That didn't happen to make sense. If I'd fed the pen... but that didn't happen.
ParlaMint-NL_2015-12-16-tweedekamer-12.u76	Please continue.
ParlaMint-NL_2015-12-16-tweedekamer-12.u77	In the meantime, we have changed a lot. I think all the questions have been answered by now.
ParlaMint-NL_2015-12-16-tweedekamer-12.u78	Mr. Chairman. It will be clear that my role in the affair around Cees H. as spokesperson on the subject was, of course, different from that of Mr Dijkhoff, Mr Kamerlid and during that period campaign leader. I was present at the second meeting on Monday 9 March. At some point the Director-General announced that he was going to get what he called "the personal notes" from the conversation with Mr. Bitch. I rose up and said: it does not suit me as a spokesperson and MP to take note of that information, because that information is not known to the Chamber. I did that because at that moment I drew my line in the role I had there. I agree with what Mr Dijkhoff said. I should have drawn that line earlier, at least on 4 March and perhaps before, when I occasionally advised the Minister on issues relating to this story.
ParlaMint-NL_2015-12-16-tweedekamer-12.u79	I come forward so quickly, because the Minister starts with: I have done it very purely, the dg gives me something and I, the pure MP, have prevented it from being used. That's just not how we're gonna do it. Something's happened that can't be done. The minister started saying on Friday: we could do what we did, it was normal and otherwise I have no memories of 4 March. I want to know if the Minister will come back to that and sincerely regret what he did on 4 March and what he told the Netherlands last week. The first point was that he didn't have a reminder of March 4th, and the second point was that it was good, what he did there. Let's start with that. Is the Minister prepared to do so?
ParlaMint-NL_2015-12-16-tweedekamer-12.u80	Let me start with the final point. I think I've been very clear. I said that I drew the line on 9 March when Mr Roes was going to get the report. I then said that I should have drawn that line on 4 March, but I did not. That is the answer to Mr Buma's question. I blame myself for not asking myself this urgent question earlier: did I still have enough time to notice the difference between the co-legislative role and the controlling role in the contacts with the Minister on this particular issue? Mr Van der Staaij, Mr Segers and Mr Roemer, among others, have asked this question. The other point of the question was about the memories. I said that in my view there is nothing wrong with contacts between ministers and MPs. I have heard this from Mr Buma in the debate. As Minister, I would also like to say that I very much appreciate these contacts. I'm very open to that and I think those contacts should be there. However, I have something new on two points. I found my conversational notes last Sunday. I should call them scribbles from the conversations of March 4th and March 9th. I have also had to conclude from this that the amounts were discussed at that time, as is also stated in the reply. I am convinced that I should have asked the question earlier, which I did not ask until 9 March and which I took action on.
ParlaMint-NL_2015-12-16-tweedekamer-12.u81	That's it now? You should have asked yourself that question sooner? Last week you spoke to the whole of the Netherlands and said that what you were doing there was completely normal and not cross a line. That's when I cut off. You pretended that's normal for all of us, but it's not. It's not normal to go to a department as a member of parliament to do a press release. You have to say that! You must regret that, too. You must also regret what you said to the whole of the Netherlands last week. Before that there was apparently a long period of time, which you now feel is far too much in the Minister's lap. I would like to take this opportunity to inform you that you think that this was a very bad practice for Members of Parliament. Your party will have to deal with that.
ParlaMint-NL_2015-12-16-tweedekamer-12.u82	If you ask me if I'm sorry, I'll tell you very simply. Given the way the debate has gone on here, you can only see that there has been a discussion about my role as a Member of Parliament in relation to this dossier. I deeply regret that this discussion is taking place here, because I should have come to that conclusion earlier and at another time. That was probably supposed to be on March 4th when that press release came on the table. I didn't come for the press release, by the way. The same applies to me as to Mr Dijkhoff: I was asked by the Minister to come and help with the crisis that had arisen. The press release was brought in and the Minister asked me, as did Mr Dijkhoff, if I wanted to watch. I should have thought about that at the time and probably said no, but I didn't.
ParlaMint-NL_2015-12-16-tweedekamer-12.u83	We are now, of course, sweeping an incredible series of failures and misses aside. You shouldn't have done that. However, that is only the first point. The second point is that you say that Minister Opstelten had asked you. Didn't the then political leader, the Prime Minister, have any contact with you that day about what happened there when you were sitting there?
ParlaMint-NL_2015-12-16-tweedekamer-12.u84	No, I didn't have any contact with the Prime Minister as a spokesperson.
ParlaMint-NL_2015-12-16-tweedekamer-12.u85	Okay, you can. But then I really wonder who eventually led the VVD campaign. There was panic and chaos in that department on 4 March, but the Prime Minister didn't come forward. That's another note.
ParlaMint-NL_2015-12-16-tweedekamer-12.u86	The most positive news is that the Minister's memory is back. Last Friday, he didn't remember anything. I'm glad it's back now. For a moment, it seemed as if the ministers had seen some kind of ambiguity disorder breaking out of that ministry. On Sunday, however, the minister also appears to have found some scribbles of his own. In the meantime, we have had the Oosting report and one and a half years of whining. But now there are scribbles. The question now would be, of course, whether we should get those scribbles. I'm starting to think it's becoming a show. Now I have to ask again about the scribbles. The Minister is the first time in the Ministry on 4 March, in his capacity as MP. He doesn't really have anything to do there. Then why did he come there to defend the Minister, as he himself says? He's not for that at all! As a Member of Parliament, it doesn't matter whether it's opposition or coalition, he's there to make sure the Chamber is informed. But on March 4th and 9th, he will be there. My question is this. We had the whole picture of a ministry where the government was wrong and the politicians were the victims. So slowly, after Oosting, we have a completely different picture. But what does this minister do? He says first: yes, when that dg came with those notes, I must have left quickly. Point again at the officials! No! That whole political summit was wrong, the previous one and the present one! I'd like a response.
ParlaMint-NL_2015-12-16-tweedekamer-12.u87	I do not share the conclusion on the current one with Mr Pechtold. I note that the previous political summit has resigned on this issue, particularly with regard to the provision of information to the Chamber.
ParlaMint-NL_2015-12-16-tweedekamer-12.u88	Do you know what the Prime Minister has to say about this so far? That it was purely because it was said that the receipt would not be found. So, what's next? There is much more why it should have been resigned, namely that on 4 March and 9 March Members of Parliament are sitting at Teeven, who mumbles amounts, at dg Roes, who has it in his iPad or on a paper, and at Minister Opstelten, who already has it in his file in preparation for debates. You hear those amounts, you can read them, they're mumbled and you don't do anything with them. You do not then say in the debate on resignation, in which we have to pull, drag and push information: boys, come on, I have heard for a long time 2,3, 4.8 and 7.1, I have heard all these amounts, there is indeed a discussion report. Why didn't you do something?
ParlaMint-NL_2015-12-16-tweedekamer-12.u89	For the same reason as Mr Dijkhoff has just put forward. The fact that there were memories of Mr. Teeven was well known. On March 4th, Mr. Teeven's memories were nowhere near what would be announced at Nieuwsuur that night. The amount of Nieuwsuur seemed to me to be the right amount. I immediately assumed that that amount was right. Why? Because Mr Doedens and Mr Kuipers had said that at a much earlier stage. Mr Kuijpers said that it was 6 or 7 million and that it was 7.5 tonnes. That is what I believe Mr Pechtold said in the first term. Mr Doedens referred to about 5 million. I assumed the amount of Nieuwsuur was right. That is why, like Mr Dijkhoff, I did not think it wise that this denial of that amount of Newsuur should be included in that press release, and I said that when I was asked that question. I told you, I shouldn't have stayed here. I thought it was extremely unwise, because I assumed that that amount would be right.
ParlaMint-NL_2015-12-16-tweedekamer-12.u90	The longer this debate lasts, the greater the mockery it actually becomes: two MPs who have to take corrective action in the ministry, who then come back to the Chamber and keep their mouths shut. Why didn't MP Van der Steur say straight away to MP Dijkhoff: do you do it or do I do it, this information should go to the Chamber, because we as a people's representative have to take action on this with our corrective role?
ParlaMint-NL_2015-12-16-tweedekamer-12.u91	I didn't get that information until Monday. We have reported this in the answers to the parliamentary questions. Then the full sums became known. That sum up to 7.1 turned out to be totally inconsistent with what was actually transferred in accordance with the receipt and the announcement of Nieuwsuur. So there was no message for me about that either: well, something very special is happening here. The amount that Secretary of State Teeven mentioned to me on Monday 9 March, which increased to 7.1, was not at all close to that 4.7. Not even in the neighborhood. The memory of Mr Teeven was evidently that what was in that discussion report. That was handed over to Mr Van Brummen. Mr Van Brummen had already concluded that there was too little justification for making substantiated statements on what had actually been transferred. I didn't know any more than that at the time. That's always been the case. On that Monday, the amount of the 7.1 will finally be on the table. That's when I found out that that wasn't close to the 4.7 that Nieuwsuur was talking about. The relevance of this has therefore completely escaped me. In addition, I was told that this was a personal note from an official I was not allowed to know. That's why I left, too.
ParlaMint-NL_2015-12-16-tweedekamer-12.u92	I advise the Minister to listen to this one more time at a quiet moment. I think he'll think, "Oh, what did I say?" On any subject that had been in a newspaper, MP Van der Steur was there as the chickens to report oral questions and to know the seam of the stocking everywhere, when it came to him. Here crucial information is shared at the Ministry on a topic that we've been working on for almost two years and then two MPs keep their mouths shut because it's about VVDs.
ParlaMint-NL_2015-12-16-tweedekamer-12.u93	No.
ParlaMint-NL_2015-12-16-tweedekamer-12.u94	That's what's going on. This place looks like a game of curling, wiping its own street clean. We really shouldn't want that.
ParlaMint-NL_2015-12-16-tweedekamer-12.u95	No, I don't recognize myself in that image of Mr Roemer. I do recognize myself in many other things that Mr Roemer says. I blame myself, too. I just turned that in. But if it is established that it is 4.7, as Nieuwsuur rightly pointed out on 4 March, when it is then established on that Monday that it is indeed 4.7 and that Mr Teeven had a reminder of 7.1 and I think in that reminder that he didn't know exactly because he was not involved in the settlement... The debate in 2014 went on that was Mr Segers' question, if I am right about the question: Minister, what was actually transferred? That's when the minister started mathing. Then he came up at 1.25. That was the debate: what was actually transferred? One thing was certain of Mr Teeven's 7.1 on Monday 9 March: it was not the amount actually paid. That was the 4.7. So it wasn't a relevant amount for me at the time and it was the first time I heard it. When I heard of it, I did say: why was it not reported to the Chamber? Just as Mr Oosting concludes, I found and still believe that you could have reported that memory of former Officer Bitches to the Chamber, but I did not hear that until 9 March. I made that comment at the time.
ParlaMint-NL_2015-12-16-tweedekamer-12.u96	You did wonder, why wasn't it reported to the Chamber? You don't just do that one moment on March 9th. You realize that right away when you're involved. This did not happen then, not both in the case of Mr Van der Steur and in the case of Mr Dijkhoff. This is really sweeping your ass and trying to keep partymates out of the wind. This is exactly what I was referring to in my first term. I had hoped that the cabinet would make every effort to restore confidence in the cabinet and the rule of law. So far I haven't seen a shred of that.
ParlaMint-NL_2015-12-16-tweedekamer-12.u97	I cannot share Mr Roemer's conclusion. When I look back and read the report of the Oosting Committee... By the way, it was already announced 10 March. I myself immediately did everything I could to facilitate that investigation in good consultation with the Chamber. The MPs know that, too. I thought that was an important point. That's one of the first things I've picked up, and understandably. In the meantime, it was already established that the discussion report would become part of the report of the Oosting Committee. The Prime Minister promised it the next day. What was I supposed to do? In Mr Roemer's view, should I have launched another independent action in a day and a half? Should I have done something here in the Chamber between 9 March, when the Minister and the Secretary of State turned down in the evening, and the next day when there was a debate? I don't see it in front of me, but if things had turned out differently, I might have. One thing was certain: I found and felt with the Oosting Committee that Mr Teeven's memory could have been communicated to the Chamber. You could have said: the Secretary of State remembers this; that is something else, by the way, and that is it. I think I should have. I would do the same myself, as a minister, by the way. It has been my policy since day one. I hope you have noticed that information from the department is shared much more quickly and quickly than possibly was the experience of the Chamber in the past.
ParlaMint-NL_2015-12-16-tweedekamer-12.u98	What the Minister now points out, namely that it should have been shared earlier, is precisely the inconvenience with the various roles that the Member of Parliament and the current Minister had at the time. That inconvenience is in fact being there, with the government, when deciding whether or not to share information with the Chamber, when he was a Member of Parliament and was standing here with me in a previous life and having to check that same government in a file that has been dragging for a long time, in which various amounts have been mentioned. That goes back to 2002, when the first parliamentary questions were asked. Then it is extremely uncomfortable that information has not been shared that the Member of Parliament at the time encountered in the bosom of the government and that he, as a Member of Parliament, felt should have been shared with the Chamber? Isn't that exactly the inconvenience of roles that shouldn't have been switched?
ParlaMint-NL_2015-12-16-tweedekamer-12.u99	But I did not hear that information until Monday 9 March, the night on which the Minister and the Secretary of State resigned from this case for reasons of informing the Chamber. My comment was also: why was that not shared with the Chamber? I heard that then. I felt the inconvenience too late at the time. Then the evidence would come to the table of those amounts. That was contained in personal notes, as they were called back then, which I heard were not publicly available. I knew that from the letter to the Minister's Chamber on Van Brummen's report. Then I thought: I can't take notice of that, because that's not in my role.
ParlaMint-NL_2015-12-16-tweedekamer-12.u100	There was a long run-up with various broadcasts of Newsuur, and with a flawed investigation in which the researcher was not allowed to speak with the then Secretary of State, leaving uncertainty. Then there will be new information. What did then MP Van der Steur do with that information towards the Chamber?
ParlaMint-NL_2015-12-16-tweedekamer-12.u101	The information from Monday, March 9th? It consisted of one new thing: the 2.3 million and the 4.8 million, mentioned by Mr Teeven in April 2014 in the discussion with the Director-General. That information I said at the time: why wasn't it shared with the Chamber? Then the answer was: that is contained in personal notes, which were shared with Mr Van Brummen, and that is why that information is involved in the investigation. On the basis of that information, Mr Van Brummen concluded that there were no substantiated statements on what had actually been transferred. That's it. I thought and felt that it could and should have been different. I'd do it differently myself as a minister.
ParlaMint-NL_2015-12-16-tweedekamer-12.u102	Several spokesmen have said that the purpose seemed to be damage control rather than the raising of the truth and sharing it with the Chamber. Then may I ask one last question? Following the presentation of the Oosting report, the Minister said that it is perfectly normal to maintain such contacts and that it is perfectly normal for that traffic to go back and forth. Is he gonna come back to those words now? Is he coming back in his hallway to the ministry and his role in that? Will he come back to what he said after the presentation of the Oosting report?
ParlaMint-NL_2015-12-16-tweedekamer-12.u103	I was asked at that time whether it is normal for there to be contacts between Minister and Members of Parliament. On that question I said: that is perfectly normal, that happens every day and regularly, with people from the coalition parties, but also with people from the coalition parties. That is what I explicitly stated about the budget with many members of the opposition parties. The MPs concerned know that, too. That's part of the normal process. At the request of Mr Roemer, but also Mr Segers and Mr Van der Staaij, I reflect on whether I should not have abandoned the content of these contacts earlier. The answer to that is yes. I did it on 9 March and I should have done it, as the Secretary of State said about his role as MP, on 4 March. Maybe I should have asked that question before. However, something new has only become known to me on Monday 9 March. I asked why this was not shared with the Chamber. I left when the interview report came on the table.
ParlaMint-NL_2015-12-16-tweedekamer-12.u104	I would like to dwell on 4 March, given the mail that Nieuwsuur sent. The Ministry didn't know anything. That especially had no memories, there were no notes, there was actually nothing. On that day, Nieuwsuur sent an e-mail stating the amount to the decimal place, as well as the account number, the character of the Public Prosecutor's Office, the name and the parquet number. In such a situation, I expect a Member of Parliament to hear this in the ministry, regardless of whether he is from the coalition or the opposition, the following. He should not be busy with a press release and the question of how to prevent the Minister from saying wrong things. No, you only have one question for the Minister: this needs to be sorted out to the bottom. Before you react, all you have to do is say: this is what you have to do. Why didn't Mr Van der Steur do that?
ParlaMint-NL_2015-12-16-tweedekamer-12.u105	As the Minister himself said, that's what I'm going to do. That's what happened. He's made a new move. On the weekends, that battle led to the receipt of 4.7 million being found. We noted on 9 March that this could have been done much earlier. This, together with the provision of information to the Chamber, prompted the Minister and the Secretary of State to resign. That's what happened. That's what I thought was the right response. The only thing that turned out was that the information that Nieuwsuur provided had not been necessary to find the receipt. They could have done that a year earlier if they had the right people for ICT. That's where the cause of the mistake was.
ParlaMint-NL_2015-12-16-tweedekamer-12.u106	That was supposed to be the way to react, wasn't it? Shouldn't that have been the advice of the MPs of the VVD sitting there? I thought the only correct response was to find out what's going on. We know these numbers, we know these data; we figure out what's going on?
ParlaMint-NL_2015-12-16-tweedekamer-12.u107	That is exactly what the Minister has done. He didn't need the MPs for that.
ParlaMint-NL_2015-12-16-tweedekamer-12.u108	During the debate on Volkert van der Graaf, this minister of the Chamber received the yellow card. The conclusion was that he put the Chamber on the wrong track. In addition, he was ordered to clean up debris at the Ministry of Security and Justice; he had to pull the broom through. Now it appears that the Minister is involved in this extremely shady affair. Is the Minister still able to manage cultural change in a credible way in his ministry, where it is badly needed?
ParlaMint-NL_2015-12-16-tweedekamer-12.u109	The answer to Mr Bontes' question is: yes, and I am working very hard on that.
ParlaMint-NL_2015-12-16-tweedekamer-12.u110	How can the Minister do that in a credible way? You have an exemplary role, don't you? You have to show your officials what it is all about: transparency, openness, separation of powers and you name it. Isn't it extremely difficult for this minister to be credible? All these officials will think, "Dear Van der Steur, you also have mountains of butter on your head."
ParlaMint-NL_2015-12-16-tweedekamer-12.u111	I don't recognize myself in that qualification. I said what I said about my role as a Member of Parliament. That's different from my role as minister. Mr Bontes can expect me to show the process of change that we have started and that was necessary after the Hoekstra Committee and after the events around Volkert van der G., to which Mr Bontes rightly refers. I have already announced in the past that I expected the Oosting Committee to provide further assistance for this. I'm not gonna use that process alone; I'm gonna perfect it, too. We're gonna make that a success. In February we already come to the Chamber with a letter to show what we are going to do, because it is necessary and because the Chamber can expect us to do so. I'd love to do that.
ParlaMint-NL_2015-12-16-tweedekamer-12.u112	I will continue to puzzle with the moment when the minister, when MP, was remorseful of conscience, faced the piece of the dg and left. The strange thing is: I read the answers to the questions and I see that his Secretary of State, when MP, made a completely different assessment. I wonder what that means for the Minister's moral consideration. The Minister writes in his reply: I understand from Mr Dijkhoff that, after my departure, Mr Roes made use of his minutes to answer some of Mr Dijkhoff's questions, partly through paraphrases and quotes. In short, you walk away nicely, with clean hands, and Mr Dijkhoff continues.
ParlaMint-NL_2015-12-16-tweedekamer-12.u113	I ran away because I assumed that I was going to have the debate on this subject and felt that as a spokesman I should not have information that would not be made publicly available to the Chamber. Why was that? Because I heard that Mr. Roes, just before he ran away, said: I am going to get my personal notes; they are in a safe and I am going to read them to you in response to the questions that have been asked. They had asked what the hell was going on with those amounts from Mr Bitch. That's when the discussion came. Then I said: boys, then I'm gone, because I can't and won't take notice of it. I am now saying that I should have drawn that conclusion earlier, namely on 4 March, as Mr Dijkhoff also said.
ParlaMint-NL_2015-12-16-tweedekamer-12.u114	Then how does this minister judge that his current Secretary of State didn't say "I don't want to know about this" at the time, but just let him read out what was in it? He may not have been the first, but he was the second spokesperson for justice of the VVD group.
ParlaMint-NL_2015-12-16-tweedekamer-12.u115	I can't answer that. I felt I should take that step as a spokesperson, but I shouldn't have taken that step at all, because I shouldn't have been there at all. As early as 4 March, when the draft press release was published, I should have said: this is really a job for the Minister himself. I should have left then, as Mr Dijkhoff said.
ParlaMint-NL_2015-12-16-tweedekamer-12.u116	This has been a bizarre scene with retroactive effect, hasn't it? I'll take it in mind. The Director-General's coming up with a piece. One MP says, "I'm leaving. I can't do this anymore." The other one says, "Come on, I'll let it read to me." That's the difference, the moral moment when you opened the debate with it, you draw the moral line and you don't want to know about it and the other just joins in. I would actually like to hear from the Secretary of State himself how he looks back on that if he can, Madam President.
ParlaMint-NL_2015-12-16-tweedekamer-12.u117	I'll look at the minister first.
ParlaMint-NL_2015-12-16-tweedekamer-12.u118	The Secretary of State has just explained this, because those questions have also come. I thought I should do it at the time, but I do recognize that I should have done it sooner. That is also the reflection that Mr Roemer, Mr Van der Staaij, Mr Buma and Mr Segers have asked of me. I think I should have done it differently.
ParlaMint-NL_2015-12-16-tweedekamer-12.u119	I think this is proof that it is simply wrong, despite everything the Minister says. What happened wasn't right. What happened on March 4th was no good. The Prime Minister didn't know about it. He didn't have any contact with anyone. On March 9th they will come again. I don't know if the Prime Minister was in touch at the time. They see everything. They don't know anything. And then on March 9th, the personal note comes and one MP says, "I don't want to see it; I'm going home with clean hands," and the other just sits there. Together they're sitting here... I'm still getting some information from Mr. Pechtold...
ParlaMint-NL_2015-12-16-tweedekamer-12.u120	No, I'll check with you.
ParlaMint-NL_2015-12-16-tweedekamer-12.u121	Together they sit here now and say that it wasn't that convenient after all. It's more than that.
ParlaMint-NL_2015-12-16-tweedekamer-12.u122	The Minister replied because it was his answers to those 250 questions that he later heard from Dijkhoff that dg Roes came up with information. Now he says that the moment Dg Roes went to take it out of his safe, he thought: ho, I don't need to hear that. That's a lot different. Then I am very surprised that, while he himself, as a Member of Parliament, suddenly lets himself down, as he himself admits, gets some kind of conscience, he leaves the other Member of Parliament sitting.
ParlaMint-NL_2015-12-16-tweedekamer-12.u123	That's how it happened. I made that choice. I told you I should've done that before. That's what Secretary of State Dijkhoff and I share. At the time when Mr Roes announced 'I'm going now', there was a lot of discussion about what exactly was or was not said in Mr Teeven's memory. That's how I heard those amounts that day. Then I said: if a document comes out here that is not shared with the Chamber and cannot be shared either, because it is personal notes, as was said then, I want to leave. That was my trade-off. But I'm telling you, I shouldn't have been in that balance. The same applies to Mr Dijkhoff. We should have left on 4 March when the draft press release was brought in, which we did not come for. After all, Mr Dijkhoff came as campaign manager for a completely different appointment and I was asked to come because there was a problem with news from Nieuwsuur.
ParlaMint-NL_2015-12-16-tweedekamer-12.u124	The story's just rattling. You're invited to the fourth. It'll be just the two of you. You'll be back on the ninth. Not until a civil servant gets something out of a safe, one of them goes away. But he doesn't say to the other: we really shouldn't have this, because we shouldn't have been here the last time. Minister Van der Steur hasn't lost the receipt, he's lost his way.
ParlaMint-NL_2015-12-16-tweedekamer-12.u125	I understand very well that Mr Pechtold is critical of the choices that have been made. That is why I think we should simply put it on the table in the Chamber. I understand Mr Pechtold's criticism very well, but I do not recognize myself in the last paraphrase of the status I am now in.
ParlaMint-NL_2015-12-16-tweedekamer-12.u126	Please continue with your speech.
ParlaMint-NL_2015-12-16-tweedekamer-12.u127	I'm going back to the Easting Commission. I note that we have received the report from the Oosting Committee. As a client, I would also like to thank the Oosting Committee for its work and for the report with annexes, which is a very solid basis for a good debate on what needs to be done in response to the findings made by the committee. After the opening of this debate to date, it will not be surprising that the committee has drawn very firm conclusions, not only on the deal itself, but also on the way in which the Chamber was informed about it. Much has gone wrong in the preparation and settlement of the settlement agreement and in the provision of information to the Court. I have already said in the press conference that I deeply regret this and that my predecessor in office has taken his responsibility in offering his resignation. It is then up to me as a minister to ensure that the settlements that have been mentioned here can no longer be prevented. Of course, I must also ensure that the Chamber is informed in good time, fully and adequately. That is also the starting point of my presidency. There have rightly been strong words about the way in which I have operated as a Member of Parliament. I said what I said about that. Now I'm going to join the Ministry's class. The political-administrative sensitivity in the Ministry is an important competence, so that sensitive information arrives in time where it should be. That is also one of the conclusions of the Oosting Committee. That was also a conclusion in connection with the debate on Volkert van der G's photo. In this context, as proposed by the Oosting Committee, the incident strategy within my ministry will be updated. This is in line with the recommendation that, in similar situations, an external investigation should be chosen by an independent researcher, as a number of members of the Chamber have already said. It goes without saying that Mr Oosting, looking back with his committee, finds that the mandate should not have been given to Mr Van Brummen, but that an independent researcher should have been commissioned by then. I fully endorse that.
ParlaMint-NL_2015-12-16-tweedekamer-12.u128	I'm interrupting before the ball goes back to the officials. Now let's get Van Brummen versus Vendrik out. The officials advise: this is such a hassle, so let us ask someone from the Court of Auditors to advise. That's what your predecessor is told. Then they say, no, we're taking someone from the D.A.'s office itself. That was just the one who wasn't supposed to hear who it was all about, Mr. Bitch. A director-general had to be flown in to do so. That report had to be included in the final report. That wasn't bad official advice. That was a wrong political choice.
ParlaMint-NL_2015-12-16-tweedekamer-12.u129	I endorsed the recommendations and conclusions of the Oosting Committee. This one goes with it. I agree with Mr Pechtold.
ParlaMint-NL_2015-12-16-tweedekamer-12.u130	Yeah, but "subscribed"? I read "accepted." The Minister accepts the conclusions. Does he share them, too? Does he agree? He says, "Oosting hits the board completely, because we've missed the board?"
ParlaMint-NL_2015-12-16-tweedekamer-12.u131	"We"? I'm talking about my role in that. I did not bear any final responsibility for the Minister's handling of this dossier. So I said what I said about "we." I share the conclusion of the Oosting Committee as it stands, yes.
ParlaMint-NL_2015-12-16-tweedekamer-12.u132	There's something I want to know. Mr Vendrik, someone who understands political processes and is a member of the Court of Auditors, seemed to me to be an excellent candidate. Although the Minister is not responsible for that decision, he is responsible for what happened at the time and has also answered questions about it. Can he tell us why Mr Vendrik has been deviated from him? Why did the minister's predecessor choose Mr Van Brummen, who he knew from Rotterdam? When he was mayor, Van Brummen, if I'm not mistaken, was the prosecutor he used to do business with. Why was Mr Vendrik elected at the Ministry, where the administration has been advised to take Mr Vendrik, let me just say that a good knowledge of Mr Opstelten?
ParlaMint-NL_2015-12-16-tweedekamer-12.u133	I don't know if that has played a role or whether it has. One thing is certain: we have also replied in writing that the Minister thought that Mr Van Brummen, because the investigation had to be done at the Public Prosecutor's Office... I cannot find it so quickly, but it is very good in the written reply. According to the interview report mentioned in the report, the Minister considered it appropriate if this was done by someone from the Public Prosecutor's Office, who was not more involved, because it was an investigation into the archives of the Public Prosecutor's Office. I understand that from the report of the Oosting Committee.
ParlaMint-NL_2015-12-16-tweedekamer-12.u134	That is very much the suspicion that you do not want to have an outside eye, but that you want to have someone inside, while by the way the boss of the Public Prosecutor, Mr Bolhaar, advised you not to do so. Then an idiotic construction had to be chosen in which the person for whom the whole investigation was concerned, Mr. Teeven, had to be heard by another. During that trial, did the Minister never feel that there was really nothing wrong with what they did there?
