ParlaMint-NL_2015-04-14-eerstekamer-8.u1	I give the floor to the Minister of the Interior and Kingdom Relations.
ParlaMint-NL_2015-04-14-eerstekamer-8.u38	The answer to the first two questions is yes. It is of course a gradual difference, but at some point it becomes so important that you say: we do not accept that no effort has been made to see if the people who are on the buttons to accompany a plane with 400 people on board above a city are really pure on the bones. We don't accept that. We prohibit this, unless a safety investigation has preceded it in order to limit that risk as much as possible. Then national security is at stake. Suppose you have exactly the same risk on a smaller scale with someone who's going to be in a truck, then we say: we can't actually start making all that compulsory. Well, then we'd better hope we're okay.
ParlaMint-NL_2015-04-14-eerstekamer-8.u39	This leads to a distinction between national safety and industrial safety. It is not a question of whether there is a distinction; we all agree on that. However, I do not understand why this should necessarily lead to a cost allocation to the company. It could also lead to a division of costs: each company and the national government each for their own responsibility.
ParlaMint-NL_2015-04-14-eerstekamer-8.u40	I think it is a matrix of 'national security - smaller-scale security' and 'business costs - other costs'. All four combinations are possible. Also in the case of something that does not affect national security, such as driving a vehicle, the government is willing to say: "You have to make a cost for that. You can't just drive that. At the very least, we want you to take driving lessons and take a driving test. The cost is for you, because you want to sit in a car so badly." I think that these are strictly two concepts, which we must assess independently of each other. So it happens very often that, in the context of safety, the government makes demands on a company and says: "The costs you have to incur to meet those requirements are part of the cost of making the product. You must bear those costs. If necessary, you can pass it on to your customers."
ParlaMint-NL_2015-04-14-eerstekamer-8.u41	I note that the Minister is considering a matrix balancing framework. That sounds like a good start to me. However, he has not yet addressed the distinction I have made. In response to the motion, he talks about passing on costs in education. It seems clear to me that it is not about that. I should also like to take a look at Mr De Graaf. It concerns the passing on of costs of public activities, of public transactions, of public services carrying out specific public tasks, including the passing on of tasks reserved for the public authorities. That criterion has not yet been addressed by the Minister. I do not know whether it makes sense to ask that now, but I sincerely hope that this is something that is taken into account in that balancing framework.
ParlaMint-NL_2015-04-14-eerstekamer-8.u42	I have already said that I will leave the verdict on the motion to the Chamber. However, I try to understand what it says. Otherwise, it won't make any sense. It says: "Whereas to date there is no firm policy line within the government on the question of passing on costs of public service activities to citizens and businesses." It seems to me that determining what does and what does not belong to the public service is ultimately a political judgement. The Committee then asked for a framework to be established for this purpose. I am pleased to hear that basic education is apparently not included in the public service remit in this sense. This reduces the problem a little bit. However, I have already said that determining what is and what is not part of the public service remit is, to a large extent, a political judgement. That is perhaps beyond the real night watchman's state tasks, on which everyone is always in agreement. So it's a matter of weighing up. However, I would like to say that I will do my best to bring forward to the Chamber within a year a framework for consideration, as requested by Mr De Graaf.
ParlaMint-NL_2015-04-14-eerstekamer-8.u43	It concerns the implementation of public service tasks by public bodies, not by other bodies.
ParlaMint-NL_2015-04-14-eerstekamer-8.u44	It doesn't say that.
ParlaMint-NL_2015-04-14-eerstekamer-8.u45	By the way, the foundational education is already largely falling short, because this is not given by the government itself but by generally...
ParlaMint-NL_2015-04-14-eerstekamer-8.u46	Is there an amendment to this motion, Chairman? Because it doesn't say that.
ParlaMint-NL_2015-04-14-eerstekamer-8.u47	You may, of course, derive that from this in the context of this debate. The Minister himself believes that the task of having a security investigation carried out is primarily a task of a government organisation. The State could also have imposed on Schiphol or airlines that they would themselves provide for a safety investigation for specific functions. We didn't, because we think that's a task of a government organization. After all, there is a public interest in this, namely national security. If the Minister is a little less reluctant, he will understand what the Chamber is trying to do with this motion.
ParlaMint-NL_2015-04-14-eerstekamer-8.u48	That's a sighting. Again, it happens with a lot of public service. Passports are issued, for example. For this, fees are charged. High costs are being incurred to ensure that the passports, including the chips on them, are safe. These costs are simply charged to the citizen. Besides, you don't have to take those passports because you don't have to travel. However, if you are going to travel, you must be able to be identified. Their costs are intrinsic costs to travel safely. You pay for it in the cost of the passport. So there are many examples where this happens.
ParlaMint-NL_2015-04-14-eerstekamer-8.u49	I am not saying that this is not happening, and I am not against it at all. I am only looking for a set of criteria that allow us to consider which service is more suitable and which service is less suitable. The same applies to government transactions. The example of the passport is indeed a good example. You don't even have to apply for a passport in the Netherlands. In a way, there is even freedom of choice: you can also opt for an identity card, or even for not choosing an identity card. The element I mentioned earlier in the written exchange of views, namely whether a company or a citizen has a choice, has been dismissed by the Minister. He said, no, it doesn't matter. I believe that this does play a role in this. This is one of the points of discussion that the Minister has to deal with when he writes about it. Is it a relevant criterion or not? That's the kind of criteria we're talking about.
ParlaMint-NL_2015-04-14-eerstekamer-8.u50	Thanks for the hint. This reminds me of the fact that I had to answer Mr Schouwenaar's question as to how far the scale of costs goes with the scale of use. I think that these safety investigations are typically an example of something that scales along with the number of flights. If only half of an existing number of flights were operated, if half of the passengers decided to reach their destination by bus, the costs would be reduced accordingly. There's not a lot of constant costs in it. Most of the costs involved are variable costs. This also applies to the entire security charge, because per gate people are appointed and equipment is put in place. The cost of this will be reflected in the ticket. I hope, especially now that I have given a generous undertaking, despite my hesitations, that I will carry out this motion, that I can also count on generous support from the Chamber for this bill.
ParlaMint-NL_2015-04-14-eerstekamer-8.u51	I have come to deal with this bill. Does one of the Members wish to vote on the bill? That's the case. I propose that we vote next week on this bill and on the motion.
