ParlaMint-NL_2015-10-01-tweedekamer-9.u1	I give the floor to the Minister for Security and Justice for his first answer.
ParlaMint-NL_2015-10-01-tweedekamer-9.u87	I understand very well that Mr Bontes says that, because if you put it that way when he says it, I agree with him. But that's not how it happened, of course. Take a look at the facts. The Public Prosecutor was aware of the fact that there was talk of a photo moment, but before 16 June it didn't know that that photo was coming. That is why the Public Prosecutor also told me: we knew on 16 June that the picture was coming on 17 June. That's actually right. What they didn't say in the paper is that they did know that there was a photo opportunity, so the possibility of a photo, that was spoken in the months before. They also acknowledge that that was not good. That should have been written down, and that has not been done. I got myself out of that...
ParlaMint-NL_2015-10-01-tweedekamer-9.u88	The Minister knew!
ParlaMint-NL_2015-10-01-tweedekamer-9.u89	And I've got myself... I'll repeat it again... not sufficiently realized the nature and scope of the communication I received that a photo had been mentioned in the preliminary journey. That is why I immediately said in Question Time to Mr Oskam's question that I was going to find out, as I had already said, because I wanted to know exactly what was going on, particularly with regard to whether or not the directors were informed.
ParlaMint-NL_2015-10-01-tweedekamer-9.u90	The image that emerges here is an image of a huge tunnel vision, in which it was only about the media ban: is there a violation of the media ban? It seems that this has completely lost the part about all the conversations that have taken place. It seems that, for example, the lawyer's signal was therefore also considered less important. I have a question. What exactly was the moment when the Minister knew that it had been discussed for some time? Was that really just last Tuesday morning?
ParlaMint-NL_2015-10-01-tweedekamer-9.u91	"For some time now": I've only known that since the report, since my research. Because if I had known that it had been discussed for a very long time, as it turns out, I would have said it differently in Question Time. I knew it had been discussed in the preliminaries, but how many, how many times, how long, in what preliminaries, with whom and where, I didn't know anything about that. Otherwise, I would have answered the questions differently. I did not go to Question Time with the aim of keeping this part out of the picture, as someone suggested. I went to Question Time to give a genuine and correct answer to the question: is there a violation of the media ban or not? Those were the questions that Mr Van Oosten asked me. Mrs Voortman says there's a tunnel vision. I find that annoying, because I have just sent a report to the Chamber stating that that risk still exists in investigations. But indeed, the limited context was the media ban and not the question: how did the photo of Volkert van der G. or the conditional release of Volkert van der G. go? I totally agree with Mrs Voortman. I blame myself for that, too. For the record, I have the final responsibility for this case. When I received the description of what the stocking could have looked like, I should have said: before I go to Question Time, I want to know exactly what the seam is. And I didn't.
ParlaMint-NL_2015-10-01-tweedekamer-9.u92	But what exactly was the moment when the minister realized: hey, there has been talk about this much longer, so not a day before the photo was published; so there has been talk about a photo moment between different organs for a long time. What exactly was that moment?
ParlaMint-NL_2015-10-01-tweedekamer-9.u93	That was when I got the result of the investigation and the timeline on my desk for the first time, so a day or a half before I sent the letter to the Chamber. Only then did I know how it really went and how all the information that came together led to the fact that a. the Public Prosecutor's Office had already said much longer ago that it was not a violation of the media ban, b. we could not determine who came up with the idea of the photo but that it was discussed, even with Mr Opstelten, and c. the execution was started but did not stop when the necessity disappeared. That's the whole story, and that's what it says in the letter.
ParlaMint-NL_2015-10-01-tweedekamer-9.u94	So far, I have to be honest, my concerns about the ministry are increasing rather than decreasing. That is because the Minister often says: I should have asked another question. Or: I should have asked. If the full information of both the Minister and the Chamber is dependent on the questions the Minister asks, I am really going to worry. How can it be that, when the minister's predecessors have agreed to inform the minister in good time and in full, a question is asked about the media ban and all other relevant information is apparently omitted in such a statement of office? That's impossible, isn't it?
ParlaMint-NL_2015-10-01-tweedekamer-9.u95	It is clear that Mr Dijkgraaf has just a point. That is precisely why the prosecution, together with me, finds that it should have included the context of history in the notice of office. It is indeed acknowledged that, in view of the Minister's information, it was too narrow. I say again that I blame myself...
ParlaMint-NL_2015-10-01-tweedekamer-9.u96	That...
ParlaMint-NL_2015-10-01-tweedekamer-9.u97	...that when I was given those signals, I didn't think: but wait a minute, could this be a problem? I just didn't think so.
ParlaMint-NL_2015-10-01-tweedekamer-9.u98	Mr. Dijkgraaf.
ParlaMint-NL_2015-10-01-tweedekamer-9.u99	Yeah, um...
ParlaMint-NL_2015-10-01-tweedekamer-9.u100	But I'm a little less concerned than Mr Dijkgraaf. I'm worried too. This is evident from the measures I am going to take, which I hope I will be able to come up with. I see it didn't happen. I see it didn't happen. And I agree with Mr Dijkgraaf that this should have reached my table in the right way, both in the post and in the communications from the side of my department. That goes without saying, otherwise we would not have had this debate, and we do now.
ParlaMint-NL_2015-10-01-tweedekamer-9.u101	It is tempting to go to the measures already, but we are going to do so in another block. I appeal to this because the Minister said in a subtlety that culture is not an exegesis about the question, but simply answer the question. That might be the big problem. You have to realize there's a lot of things going around when a question is asked. Is that really the culture or is that a false interpretation of what the Minister said?
ParlaMint-NL_2015-10-01-tweedekamer-9.u102	I would never accuse Mr Dijkgraaf of misinterpreting me. Here's what I said. The question in the media was: has Van der G. staged that photo and thereby violated the media ban? With the wisdom of afterwards, it has not been wise, but I can understand that the Public Prosecutor's Office has understood my question whether it could urgently send me a message of office for Question Time in such a way that it has focused on that media ban. That was what I was doing myself. I was working on that question. I took the pieces. I've reviewed the judge's verdict. It states how these media conditions are formulated. I've also checked whether or not it was a violation. That's what I was doing myself. And I get the message and passerby: but in the last one we talked about a photo. Yeah. If I say it now, with this knowledge here on paper, I also think: yes, how can you... I totally agree with that. But at the moment, when you hear that, you think: it probably isn't relevant.
ParlaMint-NL_2015-10-01-tweedekamer-9.u103	I'm gonna take the stick one more time about where it just left off. The D.A.'s office has known about the photo for months. Then the lawyer says, "You tell him about those months or I'll do it myself." The Public Prosecutor's Office doesn't then tell it or very briefly to the Minister. Then there are a few options. One, the D.A. doesn't care about the lawyer and makes a fool of him. Two: the Public Prosecutor's Office deliberately sends the Minister to the Chamber with a bomb, because he knows there's a lot of things underneath, but the Minister doesn't know that. Three: the Public Prosecutor's Office is completely naive and I can give it many more qualifications about what is relevant in this house and in the work it does, including for the Minister. Did you have an intrusive conversation with the state's attorney's office? Have any conclusions been drawn? What's gonna happen?
ParlaMint-NL_2015-10-01-tweedekamer-9.u104	All three qualifications do the D.A.'s deficit, I say in all honesty. The D.A. really did what it thought was right at the time. There's no discussion about that. However, we also agree that the context should have been included. We then had a very intrusive discussion, as the letter also states, about how this should be changed in the future. The Public Prosecutor's Office has also announced that it will take measures to this end. I understand that it doesn't have ready-to-use yet. I will inform the Chamber, as I have indicated. I will, of course, inform the Chamber about the progress of the whole project, which I hope to arrive at shortly. I understand very well that this is expected of me.
ParlaMint-NL_2015-10-01-tweedekamer-9.u105	So the measures that the prosecution is going to take come together with the whole package? Or can a date be attached to that already?
ParlaMint-NL_2015-10-01-tweedekamer-9.u106	I note that the Oosting Committee will be reporting in December and that there will be a number of pressing recommendations, including on the provision of information within my department. I know that the Oosting Committee is going to do that, because we all know that it did not go well in the case of Cees H. I think it's important that I take the things I know right away. Starting tomorrow, I'm gonna go with the sg and see how we're gonna fix that. In the light of the recommendations of the Oosting Committee, I assume that they will be rather intrusive; then the Chamber will know that I am assuming that I will say that I want to transform them together into a serious set of measures. I hope the Chamber in February on the progress of its implementation will not wait, because we are going to be able to report immediately.
ParlaMint-NL_2015-10-01-tweedekamer-9.u107	The Minister talks about what he wants to do. The first question that remains to be answered is whether it is this minister who should do so. That's what this is about. It is clear that during Question Time the Minister informed the Chamber incompletely. There is no doubt that we are now having the debate on this. And what does the Minister say? I find that incredibly annoying. No excuse to the Chamber, no mea culpa, nothing at all, it doesn't look like it yet. In fact, my colleagues then ask a lot of legitimate questions. And what does the Minister say? He uses a lot of words, but the essence of it is what I don't know, I don't know, so I can't report it to the Chamber either. That's exactly what this is all about. So it seems as if: the less I know, the less I can do wrong. That's exactly the way we shouldn't go. Is the Minister still going to apologize to the Chamber and improve his life? I asked him that two weeks ago, or is it just a lot of words in the hope that this minister will be able to improve everything and check with the Chamber?
ParlaMint-NL_2015-10-01-tweedekamer-9.u108	Let me start by replying to Mrs Helder's question or to me: the less I know, the better it is, because then I will have to give as little information as possible to the Chamber. Mrs. Helder knows me longer than she does today. That's not my angle. Moreover, state law would also be completely incorrect. In addition, Mrs Helder asks me to apologize to the Chamber. I wrote in my letter that I fully informed the Chamber on the basis of the information I had at my disposal. I also write in that letter that I have not sufficiently realised that I had information in any form or....................................................................................................................................................................................... I have further written that I regret this. Mrs Helder may see this as an excuse to the Chamber, because I am well aware that if I had done it differently, if I had otherwise informed the Chamber or not informed it of all the misery that had flowed from it, which would perhaps have been a wise idea, the Chamber would not have appreciated it either. That is quite right, but I could have prevented myself from entering this debate. As a minister, I have one objective, namely to inform the Chamber fully and in good time and to make sure that we make the Netherlands safer together with the Chamber. That's how I see my assignment.
ParlaMint-NL_2015-10-01-tweedekamer-9.u109	That is not just an objective that the Minister must have, that is his legal duty. In fact, it's his constitutional duty. This is now being ignored very easily. It can be said in a nine-page letter that the Minister regrets this, but there are many people watching and many people are rightly angry. Many news stories are devoted to this and many will probably follow. This cannot be done with a lot of words here and the remark: incredibly annoying that we should have this debate. You can't take this off by writing that you regret this. As far as my group is concerned, the Minister may go through the dust a little more. Not because I like to see the Minister go through the dust, but because I sincerely want to be convinced that this will not happen again and that the Minister will ensure that it does not happen again. I'm not convinced yet.
ParlaMint-NL_2015-10-01-tweedekamer-9.u110	I can only repeat what I have already said before the Acts. If Mrs Helder appreciates that I apologize to the Chamber on this point for causing this misunderstanding, then I do, because I am entirely responsible for it, and I am fully aware of that. I cannot go deeper than that towards Mrs Helder. I seriously believe that there has now been a situation in which the Chamber has rightly asked questions about trust in my ministry and confidence in me. The latter is obvious, because I am the "boss" there. This is an incredibly horrible issue for me. I see tens of thousands of people working with heart and soul day in and day out for the safety of our society. Partly because of my error of assessment, this discussion has arisen and concerns have arisen about the quality of my ministry. I hate that. I have already said that the lack of clarity I have created is the result of an error of assessment. I should have done it differently. I regret this. I'd like to apologize to the Chamber.
ParlaMint-NL_2015-10-01-tweedekamer-9.u111	This is an important moment, because this does indeed touch on the trust between the Chamber and the Cabinet, on the trust between the Chamber and the governors. After all, you should always be able to assume that the information you get is right and that you get everything there is. The more difficult it is to imagine that a year and a half to a high level there has been talk about the moment of photography and the contacts between lawyers and various services, and that the Minister does not hear about it until Tuesday morning and that he does not appreciate it. Then he'll be here and he'll answer the questions of the Chamber. He says the D.A. knew about it a day before and it didn't know there was a deal with De Telegraaf. The rulers have not been informed. These are all things that don't add up. The civil servants sitting in the back of the room have to shrink, don't they? The officials who are listening to that must think: what do we get now? And then the minister says he didn't realize it was true until he got the facts report when he had the investigation done. Then after that, things went terribly wrong.
ParlaMint-NL_2015-10-01-tweedekamer-9.u112	I cannot look into the psyche of officials, but Mr Segers can rest assured that the administration has taken this issue very seriously. This issue is also taken very seriously, because everyone in the capillaries of my ministry realizes that this is not possible. We should not want to have this discussion. We can and can be expected to always inform everyone correctly and fully, not only the administration, but also the minister, and that the Minister fully informs the Chamber. That's essential. Everyone realizes that. By the way, I note that the Public Prosecutor's Office was not aware of that photo in De Telegraaf. That is simply a fact, as I said in Question Time. The announcement that there would be a photo was not mentioned, but it was known that the photo would come. Indeed, the rulers were not aware. That's right.
ParlaMint-NL_2015-10-01-tweedekamer-9.u113	The latter is not correct, because Minister Opstelten knew that a photo deal had been discussed. The Minister says: I assume that rulers were not aware of this; I assume that the prosecution has only been informed a day in advance. Those are obvious falsehoods. The Minister should have known that. He's coming up with a general story that he assumes everyone is doing their best to inform him properly. If obvious falsehoods are being debated here, people have to shrink and say: oh, boys, something has gone terribly wrong; we are going to correct this immediately? At the end of Question Time, all the alarm bells must go off again. They should have gone off before that, but then again.
ParlaMint-NL_2015-10-01-tweedekamer-9.u114	They are. Just for the sake of clarity, because this really needs to be corrected: the two rulers were not informed on 16 June that there would be a photo. That is what I said in Question Time, and that is a fact. That's true. I didn't say anything else about that. That's right. In addition, Mr Segers is right, but I did not know at the time that at least Mr Opstelten was involved in and aware of that preliminary journey, in the months before, in which the option of a photo was discussed. They were not informed about the photo, as I told the Chamber. That's what's left of it. At the same time, Mr Segers is right: it is clear from this study that a lot of parties have spoken in advance about the possibility of a photograph.
ParlaMint-NL_2015-10-01-tweedekamer-9.u115	I took a moment when I heard a phrase that the Minister spoke out in the direction of Mr Recourt, when it was about the message of office. What I was referring to was that the Minister indicated that he was equally sincere in his view that the Public Prosecutor had done what it should have done, at the moment when it apparently informed the Minister via that letter of office as it informed him. Well, I guess I'm just wondering if that's too sweet. As MPs, one of whom I am, we find that the information given in response to my questions on parts at least had a different nuance, as it turned out the next day. I would like to see the public prosecutor and the department send a very strong signal that this is simply not possible, because it does not allow us to do our job properly. The Minister will not be able to inform us in full.
ParlaMint-NL_2015-10-01-tweedekamer-9.u116	Mr Van Oosten is quite right. I'm not nice about what happened here. I'm not nice about the state of affairs either. Nor do I like the shortcomings identified in the investigation in relation to the provision of information and a number of other errors within my department. I have spoken very deeply with the Public Prosecutor, as I wrote in the letter. I found that there was not enough context in the post, with the wisdom afterwards, but that is, of course, that you only have it afterwards. I have agreed with the D.A. that things will be different in the future and that measures will be taken. I will inform the Chamber about these measures.
ParlaMint-NL_2015-10-01-tweedekamer-9.u117	I would be pleased to hear in this debate today what measures the Minister is thinking of and what period they will be linked back to the Chamber.
ParlaMint-NL_2015-10-01-tweedekamer-9.u118	Of course. I haven't gotten to that yet, but I will. As an advance, I have always watched over it, even now, to say that I am going to take all kinds of measures. At least I'm going to take these measures. There are a lot of things I'm going to do and a lot of things I've done a long time ago. I'll explain in a minute. In addition, the Oosting Committee will also be here. I also want to make sure that we can implement the recommendations of the Oosting Committee in a good way, so it is a two-stage rocket. Things have to happen now. As of last Tuesday, that's already happening. Before that, I had already started a trajectory. I'll explain in a moment what that is. The Oosting Committee is also involved in this, because I assume that it will also come up with compelling recommendations.
ParlaMint-NL_2015-10-01-tweedekamer-9.u119	One of the things I can get out of it is that the minister says he went to the D.A. with a limited focus and that he got a limited focus back from the D.A. That makes sense, if you ask me. But I just don't get it. The minister says he had 15 appointments on that Tuesday. One of them was with his staff, to prepare those questions. How long does a conversation like that take and who's in there? Are they not heavyweights who say: it is not just about whether Volkert should go back to prison and whether the media moment is a violation of the conditions? There's got to be someone here who says there's a lot more to it.
ParlaMint-NL_2015-10-01-tweedekamer-9.u120	Yeah, that's what I'm saying. It's also in the letter. That communication was also made in those conversations, some in the morning and one later. I simply did not assess that communication sufficiently, as I indicated in the letter. And I blame myself for that.
ParlaMint-NL_2015-10-01-tweedekamer-9.u121	But is that a five-minute conversation or is that a half-hour conversation? Are there any DGs in there? Who's in there? Take us with you.
ParlaMint-NL_2015-10-01-tweedekamer-9.u122	That includes the DGs, the President of the College of Attorneys General of the Public Prosecutor's Office, the people of the DG departments who are talking about it. The people who went over it at the time were all there and they also called for attention to be paid to that lead route, but in such a way that it did not become clear to me that I would take that into account in answering the questions, which I should have done afterwards.
ParlaMint-NL_2015-10-01-tweedekamer-9.u123	Actually, it's strange, isn't it?
ParlaMint-NL_2015-10-01-tweedekamer-9.u124	Yeah, but the letter doesn't say anything that I don't find strange. I think it should have happened. That's what it says. The realization within my department is, of course, also fully understood that this is no longer possible in this way.
ParlaMint-NL_2015-10-01-tweedekamer-9.u125	Before Question Time, the Minister was informed, among other things, of the fact that the lawyer had given a signal. I asked just now what the Minister did with it, to which he replied: I also did not know why the lawyer was angry or what he threatened with. Then we have Question Time and then things go wrong there. The Court is therefore misinformed and incompletely informed. Anyone who was in those 16 interviews that dealt with the photo moment will see: that is not going well in Question Time. My question follows on from Mr Segers' question: when is the time when the Minister realises that he has not properly informed the Chamber and that he therefore has some explaining to do?
ParlaMint-NL_2015-10-01-tweedekamer-9.u126	I would just like to clarify the subject of Question Time. I then had an exchange of views with Mr Oskam on the question of who knew what. Mr Oskam said: I would like to have a factual account. At that time, I said semi-funny that I would never mention anything a fact story because it resulted in a cove of misery; I had a fairly prophetic impact at the time. Then, the next morning, we immediately started the so-called crisis table and immediately all those organisations involved started working to get all the information out of the table. The moment I got the first result of that search, after I was informed in the meantime about what we already knew and whether we had all the contacts and pieces inside, I started to read the facts and I found that, in view of the communications I received about the preliminaries, it was quite crucial and much more extensive, with everything exchanged between all kinds of parties I didn't know about. I could go to your room and do two things. Or I shouldn't have said anything at the risk of the Chamber blaming me for not informing her completely. I would not inform the Chamber on the basis of the notice of office because I would think that the message might have been incorrect or at least not complete. Moreover, I insist that I have informed the Chamber correctly, but certainly not about the context, which should have been. Or I should have made the rather vague announcement: I'll tell you for the record that I heard this, I don't know what it is, I'll have it figured out and you'll hear from me. Those were my two options. There was nothing else I could do, because at that time I simply did not have any factual information so that I could have said to the Chamber: that is how it is. If I had, I would have said it wrong, because I didn't know.
ParlaMint-NL_2015-10-01-tweedekamer-9.u127	Now it's gone wrong in this case, too. The Minister says that the next morning we sat down together and then we talked about that.
ParlaMint-NL_2015-10-01-tweedekamer-9.u128	Now that you mention it, I think it was the same afternoon.
ParlaMint-NL_2015-10-01-tweedekamer-9.u129	Mr van Nispen has the floor.
ParlaMint-NL_2015-10-01-tweedekamer-9.u130	This is an important moment: the same afternoon or the next morning. The next morning there will be a big interview with lawyer Franken in de Volkskrant and he will explain exactly how it went. So this is an important point for me. Did the Minister intend, even without the story of the lawyer who had already threatened it, to bring out the whole story? Had the Minister also informed the Chamber without the interview of the lawyer in the Volkskrant in the sense of; I did this wrong, I misinformed the Chamber and incompletely informed it, and here you have the whole story and here is the complete truth?
ParlaMint-NL_2015-10-01-tweedekamer-9.u131	Certainly, because in response to Mr Oskam's question who knew about it, what the Public Prosecutor knew about that photo and what the directors knew about it, I told him that I had asked myself the same question and that I was going to find out. That's exactly what I did. That was also the assignment Tuesday afternoon to my organization to do so. The next morning, Mr. Franken came up with his story. I would like to point out that, when the letter was drawn up, we then developed very closely with Mr Franken and that he can also fully recognise himself in the letter.
ParlaMint-NL_2015-10-01-tweedekamer-9.u132	It's hard to understand. There's a broadcast on Sunday night. It's about a very sensitive file. On Monday, the Minister has a busy agenda to discuss. That doesn't assume much urgency. On Tuesday, the Minister receives a letter of office from the Public Prosecutor's Office, which also mentions the lawyer's actions towards the Ministry, stating that he would come out with messages. The Minister also says that he has been briefed with a focus on whether or not it was a media intervention. But he was informed by several people on Tuesday. He was brief but informed by several people. Furthermore, there was that notice from the Public Prosecutor's Office. Yeah, what's short, anyway? It is amazing that nothing happens on such a dossier for a whole Monday and that no alarm bells have started ringing in the run-up to Question Time on Tuesday. It was a series of questions from a member of the minister's party, so he should have known that this would come up, I think. I think it's hard to understand!
ParlaMint-NL_2015-10-01-tweedekamer-9.u133	I share Mrs Berndsen's surprise. Of course, that's exactly my position, especially after the investigation. When I present the investigation to the Chamber, I find that everything has happened, over a long period of time and up to the highest level, which I think we should have known at that time. There is no doubt about that. That is precisely why it says what it says, including the measures I take. Of course, it was discussed on Monday. That is what I said to Mrs Berndsen. Of course, those questions are being prepared. That's always the way it is. I talked about it on Monday. Here and there I have received announcements in the vein of "in a preliminary journey we have spoken about a photo". It went down those lines. Again, I have not sufficiently assessed the nature and scope of those communications. That didn't ring a bell with me. The question that was raised was: is there a violation of a media ban? That question in itself was not so complicated, because the Public Prosecutor's Office had already informed me that it was not in his opinion. As a result of that broadcast, I had many more questions about the conditions in the broad sense. That is why we asked the parole board to investigate this. The D.A. was gonna test that. That's why I knew by now that I couldn't go into that, because I found and still think that I can't get in the way of the Public Prosecutor's Office. I think Mrs Berndsen agrees with me.
ParlaMint-NL_2015-10-01-tweedekamer-9.u134	Almost four bits of facts! It is right for the Minister to say that this is a source of misery. Of course it is. If you see how much energy has been put into it as part of Mr Van der G's provisional release, then as a simple MP you really cannot understand that the ministry has been so laconically involved. Well, that's actually my conclusion. After all, if you have any political awareness, some political sensitivity, then you know that such a question is not limited to what the questioner raises, but that there can be follow-up questions that can be much wider. I would like to have a reflection from the Minister on that.
ParlaMint-NL_2015-10-01-tweedekamer-9.u135	I really don't recognize the word "laconic." That is certainly not a good description of the atmosphere within the department at the moment as a result of this affair. If you look at the various parts that are described in the letter, where things are really going wrong, July 23rd, the questions of Brandpoint Reporter about which no link is taking place, then Mrs Berndsen is absolutely right. There is a lack of political sensitivity. Once again, I am not blaming the individual official, because it is ultimately the responsibility of the administration that the officials are aware of that. In this direction, my solutions also go in that direction. I really think that we should make a move in that and make a move.
ParlaMint-NL_2015-10-01-tweedekamer-9.u136	The Minister states that he sat around the table with his summit on Tuesday morning, with his dg's and with the top of the state's attorney's office. How long did this meeting last, that Tuesday morning?
ParlaMint-NL_2015-10-01-tweedekamer-9.u137	I don't know exactly. This is, of course, not the only file that is important in my ministry one day, even though this dossier is an important one, but it may not have been sufficiently assessed. We discussed this with the people at half an hour and then, after I returned from the ministerial committees that are always there on Tuesday, we also prepared actual Question Time here in the Chamber. I also spoke to people on Monday on a number of points on this issue.
ParlaMint-NL_2015-10-01-tweedekamer-9.u138	To sum up, the Minister had hours of consultation. Tuesday morning alone on that subject for half an hour, then apparently still discussing it here and then he also had discussions on Monday. Then it is really impossible for me to understand that the Minister is coming to the Chamber with the answer: the Public Prosecutor was informed the day before that a picture would appear in the newspaper. I really can't understand that.
ParlaMint-NL_2015-10-01-tweedekamer-9.u139	I understand Mr Bontes' incomprehension. I also think that is clearly addressed in my letter. For the rest, I have already answered this question twice.
ParlaMint-NL_2015-10-01-tweedekamer-9.u140	In addition to Mr Bontes' questions. On that Tuesday there are the pg, the prosecutor's office, the dg's and others involved. How many people were there together now? I thought these were the people who knew everything exactly.
ParlaMint-NL_2015-10-01-tweedekamer-9.u141	How many people exactly I can't remember, because after that we talked about this every day, several times a day, including on weekends. So I can't remember exactly how it went that morning. What I know for sure is that the information was given to me as I wrote in the letter, the notice of office of the Public Prosecutor, subsequently established with insufficient context, and the oral explanation, in which it was also said that there might be a history of taking the photo. That's the information I have. It is also not very important, I say in Mr Krol's direction, how many people have talked about it when, where and for how long. The fact is that I've heard that there was a preliminary course, that it wasn't in the notice of office, and that the Public Prosecutor's Office didn't supplement or amend the notice of office as a result of the lawyer's observations, even though it could have. I have not sufficiently assessed the scope of those communications and, therefore, the statement that the lawyer was angry has given me no reason to think that I should do anything else, also because I knew that I could give a proper answer to the questions raised in relation to the media ban on the basis of the post given to me.
ParlaMint-NL_2015-10-01-tweedekamer-9.u142	So I understand that when no one called the doorbell?
ParlaMint-NL_2015-10-01-tweedekamer-9.u143	No. It was said to me that there was a history in which there was talk of a possible photo. That's just a fact. I wrote that in the letter, because it should have given me reason to say: but wait a minute, that might be very relevant, then I want to know what is going on. I didn't say that at the time. That is why I have indicated to your Chamber that I very much regret this, because that has led to this misunderstanding. I find that incredibly annoying.
ParlaMint-NL_2015-10-01-tweedekamer-9.u144	Can the Minister state exactly what he knew about the phase, prior to taking a photo, of the history in which he was briefly informed orally? What did he know when he got here?
ParlaMint-NL_2015-10-01-tweedekamer-9.u145	I knew I could assume that the directors were not informed about taking the picture on 16 June. I checked it out, and it turned out to be. And I knew that there was talk of taking a picture in the preliminaries. But how, when, how long, with whom, what, in what intensity, whether or not with the lawyers or with the D.A. or alone in my department, all those things that we now know from the facts, I didn't know. That also explains why I did the answer as I did, because otherwise, as I wrote in the letter, I would have done it differently.
ParlaMint-NL_2015-10-01-tweedekamer-9.u146	You got the information from the D.A., who made the arrangements, you knew about the lawyer's signal, which you wrote in the letter: I've been informed about the lawyer's signal. What was that signal? Come with the whole story, or I'll go to the media. So the minister knew more. What exactly did he know about the agreements that were made between the D.A., between all those services, and the lawyer?
ParlaMint-NL_2015-10-01-tweedekamer-9.u147	I didn't know anything about that.
ParlaMint-NL_2015-10-01-tweedekamer-9.u148	So what is the history, the stage prior to taking the picture that the Minister was informed about? What exactly was he told?
ParlaMint-NL_2015-10-01-tweedekamer-9.u149	That a lot of scenarios had been discussed in the preliminary stage, including possibly taking a photo because of that security discussion. That's what I knew. The D.A. told me the lawyer was angry. I believe that the literal text was: no stupidity should be played. I didn't draw any conclusions from that. That is exactly why I said in my letter that if I had thought enough about it, I would have done it differently. I would have informed the Chamber in another way to prevent me from getting into the misunderstanding of which I am now the cause. I'm not gonna put that under seats or couches.
ParlaMint-NL_2015-10-01-tweedekamer-9.u150	In the first term, I asked a question about a gap in the timeline. On 17 June last year the photo was published in De Telegraaf. The Minister and Secretary of State at the time were not pleasantly surprised. When focal point asked for comment a month later, July 21, the bells started ringing. What happened in the meantime? How come nothing happened between June 17th and July 21st on such a heavy subject?
ParlaMint-NL_2015-10-01-tweedekamer-9.u151	A lot of things didn't happen, because nothing happened. Around Mr. Van der G's conditional release nothing went wrong. He's on parole. A picture has been published. Then there was regular probation supervision. Then there was no reason or reason to discuss the subject of Van der G until that 21st July. I admit, moreover, that it is also stated in the letter "Just as soon as Brand Point Reporter asks a question about Van der G. the administration should have been informed about it. Then the administration should have informed me of that. Then I could have said at that point: what is going on here? How'd it go? What's the status? I could have sent a letter to the Chamber on Monday that it's in good shape.
ParlaMint-NL_2015-10-01-tweedekamer-9.u152	Monitoring is external, but I am referring to the internal procedure. I see it as follows: Minister Opstelten opens the newspaper and scares. He thinks, "What is this?" I've been told there's an option, but now I see that picture. I can then imagine that you would ask how this could be done within the organisation and that this steering committee would then be involved. And we don't read about it.
ParlaMint-NL_2015-10-01-tweedekamer-9.u153	That's right, because that steering group was gone. That Steering Committee operated until 15 May 2014. That was the moment when everything was running smoothly, when the case was as it was. That picture's been published. I also wondered what my reaction was at the time. 'Cause I was in the couchs. Did I ask Chamber questions? No. Did anyone else ask Parliament questions about it? Not as far as I know. There's been no debate, no discussion, nothing at all. In the meantime, we have found that the NCTV and the Public Prosecutor's Office were thinking: huh, where did that picture suddenly come from? That is what we have established. Everyone thought that option was off the table by now. This does not apply to those security guards who had been ordered to make it possible at an earlier stage. Nor for the lawyers, who, in all conscience, knew no better than that it was a common concept of the government and the lawyers in the interests of the security of Van der G. After that, there was no reason to take direction or direction or whatever. I have found that in a case like this, the direction has not been sufficient. Two organizations no longer operated with each other, but after each other. That's part of the system. I have also found that things have to be different, and that is going to be different.
ParlaMint-NL_2015-10-01-tweedekamer-9.u154	That MPs didn't ask questions about that picture, I get it, because they didn't know what the whole story was. I would like to return to Mr Segers' interruption. He brought up the lawyer's signal. According to the facts, he asked for the correct and complete information to be made public, otherwise he would have to seek publicity. The Minister states that he understands from the D.A.'s office that, by the way, the lawyer is angry. Wasn't that a reason for him to ask why that lawyer was so angry?
ParlaMint-NL_2015-10-01-tweedekamer-9.u155	The answer to that is, of course, no. I wish it were, because then I could have asked that question again. I might have been able to hear a little more about the context by now, and I would not have created this problem. Of course, I think I should have, but I didn't.
ParlaMint-NL_2015-10-01-tweedekamer-9.u156	But isn't that because the focus was on what Volkert van der G. did wrong or would have done with that media ban instead of the role of all these different organs?
ParlaMint-NL_2015-10-01-tweedekamer-9.u157	Yeah, that's my statement. Everyone was at that time working on the subject of the questions and the fuss in the media, namely whether or not Van der G had broken the media ban. That was the context in which everyone sat. If Mrs Voortman calls that a tunnel vision, I agree. That was indeed the case, because it was because of this situation that the communication on the preliminary route did not ring enough bells that it should have been otherwise. I say again that I would have liked it to be different. There's no discussion about that.
ParlaMint-NL_2015-10-01-tweedekamer-9.u158	The Minister states that the MPs didn't respond when that picture was in the newspaper. Crazy is that! That picture was staged. If only I had known, because I was deceived then, just as the Dutch people were deceived. Does the Minister think this is possible? Has it been taken into account in the decision-making that this has led to a massive mistake between the people, the MPs and the journalists of De Telegraaf?
ParlaMint-NL_2015-10-01-tweedekamer-9.u159	That's a lot of questions. The fact that a photograph was published was a matter for me, and I was then able to raise the question as to whether it was in any way a violation of the media ban. Because that could have happened. I didn't ask myself, and I didn't ask that question. My research has shown that it was felt that it was in the interests of the situation at the time. I didn't have any involvement in that, and I haven't been involved. I do remember that a price was put on Mr Van der G's head in the picture. If I remember correctly, someone said they would pay €25,000 for a picture of Van der G. I think I remember that and I'm not sure if it's a fact. So I say it very carefully, because I do not want to provoke another debate. I can imagine that in that discussion and in the context of that time I know very little about it, because at that time I had a very different position as a Member of Parliament who discussed this option. I can imagine.
