ParlaMint-NL_2015-02-10-tweedekamer-25.u1	I would like to welcome the Minister of Finance.
ParlaMint-NL_2015-02-10-tweedekamer-25.u26	That there is a possibility is something other than that we have a right. I ask because in the past it was not so common for the supervisors to come here in the Chamber. We even had to fight to get a chance to talk to them here at all. You had to ask the Minister's permission to do that. I know that was also rejected at some point. So it is not so crazy to ask whether we have that right to ask a director of the ECB here at all times. So I am not asking whether it is possible, but whether they will come if we ask them to.
ParlaMint-NL_2015-02-10-tweedekamer-25.u27	Yes, because I believe it is explicitly regulated that parliaments should have the right to hold hearings and invite directors of the ECB. I would almost say to Mr Merkies that he should be pleased that the Dutch Minister does not have to give his consent and cannot refuse to do so. Apparently, that happened in the past. We can't do that anymore in the future. I'm not in the middle of this anymore. I have already mentioned the report which is also being sent to the national parliaments. The European Parliament may initiate an investigation. National Parliaments may also invite the ECB in response to the report. This has been explicitly included in the regulation laying down supervision of the ECB. If it didn't work, I'd like to be the first to hear it and I'll be committed to it. Mr Merkies asked whether the ECB was obliged to reply to questions from national parliaments within a certain period of time. As far as I know, there's no hard time. I also have no reason to believe that the ECB will not give a timely reply. As said, if the answer is too long, the Chamber can also invite a member of the Supervisory Board to a meeting or a hearing. There has been talk of ministerial responsibility. Of course, it's definitely different under the SPS. The role of the national minister is absolutely different. Under the SPS, the ECB is now responsible. DNB is primarily responsible for the less significant banks, but is also a major executive under the ECB's responsibility to do the ECB's work or to assist the ECB. The ECB can direct DNB directly, provide guidance and may also attract supervision if the Netherlands Bank does not act adequately or does not listen to the instructions from Frankfurt. The ECB will then be able to take over supervision directly. That's all outside of me. All of this is now centrally and independently regulated. In this sense, the role of the national minister is therefore more limited. I started this block with the role of the Court of Auditors. I very much agree that it needs to be arranged. As far as effectiveness is concerned, it has not yet been settled. The powers of the General Court went beyond those of the European Court of Auditors after the last legislative amendment. We're on the same side. Mr Omtzig has asked very specifically whether I am prepared to put this issue on the table at the next sitting. It's not gonna be very effective in itself to put that blundering on the table all of a sudden. If there's a question, almost no one's paying attention. It's not use. Since it requires a legislative amendment, it is therefore necessary to initiate this process with the Commission, to get the ECB involved and to obtain support from Member States. Then we are going to amend the directive on this point, so that we have that power. We are working with the Germans and one of the members asked for this because the Germans also know this far-reaching competence of their Court of Auditors. Mr Omtzigt asked a question about the mediation panel and the decision-making process of the ECB. Mr Omtzigt said that it is not perfect, to put it euphemistically, that in one body decision-making comes together on the issue of supervision and monetary policy. Of course, that's not perfect either. In the event of any future treaty amendment, there would be a great deal to be said for functional separation. At the time we entered into these negotiations and decided to launch the Banking Union, it was not to do so at that time. That is why we have built in a number of safeguards. One is that mediation can take place when the governing council intervenes and insists. This concerns a situation in which the governing council objects to draft decisions of the supervisory board and national supervisors in that board objecting to this intervention. Each country has one member on the mediation panel. Members shall be elected by all members of the Management Board and the Supervisory Board. They do that on the basis of "one man, one vote," so there's no qualified voting ratio. So there will always be a decision. The mediation panel then finally decides in the disagreement between the national supervisor and the governing council that has an objection. There shall be a simple majority of votes. I come to the question of costs, which I have already mentioned. Mrs De Vries asked quite specifically whether there was an overview of the overall costs of supervision. For the period November 2014 to December 2015.................................................................................................................................................. The vast majority of these, 255 million, will be passed on to the significant banks, which are directly supervised by the ECB, and the remaining part to the less significant banks. Pay attention to euphemism. As far as the management of supervisory costs is concerned, I have already said that the ECB is prepared to brief the Court on how it has set it up. A funding scheme has been established following a public consultation. This has made it clear how the costs will be shared out among the banks. This arrangement and all the decisions that result from it, i.e. the transfer of costs between banks, are simply questionable before the courts, up to and including the European Court of Justice. The control of the budget, both through Parliament, the Commission, the Council and the Eurogroup, as well as through the Court of Auditors' audit of efficiency, naturally also contributes to this cost control. Mr Van Dijck asked why the costs do not go down, as the ECB takes over tasks. He asked why the costs would go up. Both the ECB and DNB continue to exercise supervisory tasks, as I have already said. It is therefore not the case that the Dutch Bank is now out, does nothing anymore and no longer has a view on the Dutch banks, as Mr Van Dijck's speech showed a little bit. This is certainly not the case, as DNB remains the main operator of the supervisory tasks. The organisation of DNB has been adapted, both as a result of this legislation and as a result of the resolution legislation and the designation of the national resolution authority. The structure has now been adapted to reflect the start of the banking union. The structure of DNB follows on from the tasks arising from the Banking Union. We are therefore going to see in the coming years to what extent savings in supervisory costs are possible. It may well be that the role of DNB will change further in the coming years. It's all still to be removed, so that's why we regularly evaluate it. At the moment I cannot say that DNB has fewer tasks and that it can all be less intensive. My first impression is that the European way of monitoring is more intensive, detailed and deeper than the Dutch supervisory models. They were more risk-driven and indirect than the European way. This is also due to the tradition that existed in other countries. It's very detailed, really up to the banks' files. So there's a lot of work to be done on that for now. Mr Van Dijck has asked me to say that the costs will not be passed on to the consumer. The answer to such a question is always yes and no. It is no, because we have had these debates several times and I believe that the situation in the banks and the profitability of the banks enable them to bear these costs. The same applies to the payments to the resolution fund, to which Mr Van Dijck referred. I think that the Dutch Bank has shown that these costs can be offset within the current business operation. Mr Van Dijck also asked whether the 4 billion for the resolution fund would not be at the expense of lending. Last week we had this debate in the AA on lending. At that time, I argued that DNB's research showed that it can be excellent in the baseline scenario, in which we are now in. The profitability of the Nederlandsche Bank is such that it can also be reserved for payments to the resolution fund. Mr Merkies asked a question about enforcement and fines. Is it possible that a bank will be fined by both the ECB and the Netherlands Bank for the same offence? Then who's the source of income? One can only be fined once for the same offence. A double fine, i.e. on the basis of a directive and a regulation, will therefore not occur. If DNB imposes the fine, the income is due to DNB. We've discussed this before. There's a certain threshold. If it comes up there, it goes back to the treasury. It was the Merkies motion that gave rise to that. If the ECB imposes the fine, the income shall be due to the ECB. Then, unfortunately, they leave my sphere of influence. As a result of the Icesave case, Mr Merkies asked about the conditions governing the establishment of branches. Icesave was an Icelandic bank and Iceland is not in the Banking Union. That makes a lot of difference to the answer. Mr Merkies' assumption is that Iceland will no longer be subject to authorisation in the future, but that will remain the case because Iceland is not in the banking union. If the parent bank has a licence within the Banking Union, the procedure for the establishment of a branch changes. The national supervisor of the home country or the ECB shall in principle agree to the establishment of a branch. It's a "yes, unless" procedure. This is not the case when it comes to an establishment outside the banking union. Then just a permit with conditions will continue to apply. That's why Icesave's case doesn't go away.
ParlaMint-NL_2015-02-10-tweedekamer-25.u28	I have one more question for you to clarify. Icesave is a cause. Let us take a country within the banking union for convenience. If you have a branch in the Netherlands and the bank is in France, does anyone else have to give permission? It was said that it was 'yes, unless', but I got the impression from the answer to the questions that permission had to be given in France first at the head office and that this was not necessary now, so you automatically get permission to establish a branch in another country.
ParlaMint-NL_2015-02-10-tweedekamer-25.u29	Yeah, that's right. The parent bank is in France. If that parent bank wishes to establish a branch in the area of the Banking Union or of the euro area countries, it is allowed in principle; yes, unless the national supervisory authority objects, for example, in the Netherlands or the ECB. This bank is already under European supervision, is fully subject to the supervisory framework and the rules and meets European capital requirements, so we do not have a bank here that is unknown to us or that would evade European supervision.
ParlaMint-NL_2015-02-10-tweedekamer-25.u30	Icesave was part of the European Economic Area. We also thought that agreements had been made. It is not explicitly a question of banks that the ECB is going to supervise directly, that is clear. It's about the small banks. You could say that if the parent bank is in France and a branch is opened here, you somehow want a check saying it's allowed at some point. That was the case before, but nowadays you can actually automatically open a branch. I find that strange, because that seems to be a decline in relation to the situation before that.
ParlaMint-NL_2015-02-10-tweedekamer-25.u31	Yes, but it's all happening now under a common set of legislation on capital requirements, supervision, resolution, and just fill in what we've all dealt with. Then we don't have to test the same thing again. I also hope that many banks in the euro area will open a branch in the Netherlands. This is good for our jobs and for competition in the banking sector. That's exactly what we want. Under a much more robust umbrella with better capital requirements, strengthening supervision and so on, we will be able to alleviate licensing procedures within the euro area, and Mr Merkies will protest. I would say that this is one of the winning points of the Banking Union, so that a lot of these banks can also settle in the Netherlands and are all under supervision. For the banking licence and the statement of no objection, the ECB is always competent, except that the banking licence must be prepared by the national central bank, DNB, and submitted to the ECB. If he does not, he has actually refused the banking licence even before it reaches the ECB. If there's a statement of no objection, you can't. A national central bank cannot refuse the vvgb, for example to protect its own banks and to prevent foreign acquisitions. You know the examples; some would be very much in favour of having a test on them. Even if the Nederlandsche Bank refuses the vvgb, it must ultimately be submitted to the ECB for decision. The ECB shall decide on the statement of no objection. Mr Omtzigt asked what would happen if the ECB issued a licence and the Minister or the Netherlands Bank disagreed. In the new model, the ECB has the last word. It is no longer up to the Minister or the Dutch Bank to challenge or oppose that decision. DNB has a role in the lead path and may submit the draft decision to the ECB. DNB will be very influential in that process, but the ECB will ultimately decide. Then I come to a subject that Mr Koolmees and others have previously raised: the emergence of megabanks. His reasoning is that we now have a banking union and that there is therefore a larger market, with one set of rules and one supervisor and so on. So before you know it, banks are going to scale up and become too big to fail again, but now for that bigger market and that bigger supervisor and that bigger resolution fund. I have argued that risk is the most important approach to me. I'm just gonna say it again. So you don't just say it's against the law at the time of a merger. It's about ensuring that all banks are healthier and able to manage risks and bear risks when losses occur. It is about increasing the loss-bearing capacity of banks. This can be done by own funds, by buffers and so on. This is primarily the line through which we strengthen the sector. The Antonveneta Directive lays down criteria on the basis of which a declaration of no objection can be verified or refused. It is about the soundness of the acquiring party. What's the bank balance look like? What about fitness and reliability? It would be desirable to add a criterion for financial stability, not so much from the institute, the acquiring bank or the acquired bank, but at sector level. What does this do for the sector? What are the risks? What about the vulnerability? What "too big to fail" problem does this entail? That is what we are going to bring into the revision of the Antonveneta Directive which the Commission has already proposed. The evaluation had already started, but has been stopped earlier. We are going to ask the new Commission to take that path. We are considering whether we can introduce this criterion, as Mr Koolmees calls it. We have exchanged this with each other before. This is just a confirmation of my bet. I'll keep the Chamber informed. Several Members have spoken, in very different keys, about national headlines. Let me summarize: the Labour Party is in favour and the VVD is against it. Fortunately, in that situation, I can always count on the support of D66. In all seriousness: there are two themes that jump out, including the leverage ratio. I do not think that is a national headline, by the way. I repeat: there is no fixed minimum or maximum harmonisation. The minimum is currently 3%, but it has been agreed that this will be evaluated. It shall not be definitively adopted until 2017. There should be a European standard by 2018. It may then be maximum harmonisation. I believe that Mr Merkies asked: what will happen then? Maximum harmonisation - the name says it already means that it is. Mr Merkies then asked: what if the norm should be lowered again? That is not my expectation and certainly not my commitment. What-ifs are beyond my imagination. How will the ECB monitor these national arrangements? That question was actually asked by the Labour Party and the VVD. So it's about leverage ratio and rewards. As has been said, the current capital requirements framework allows Member States to adopt their own policy on leverage ratio in the coming years. DNB has now included this in the so-called multi-annual capital plans for individual banks. In it, the timetable is set to 2018. I've informed the Chamber about that, too. Under the SPS, the ECB is formally responsible for monitoring it. The ECB will also have to monitor this on the basis of national legislation. This will happen on several points, not only on these eye-catching points, but also on smaller things that simply are not yet covered by a single rulebook. If national legislation exists and prevails, the ECB will therefore also have to take responsibility for it as a supervisor. He's gonna have to work with that. The ECB will maintain the Dutch leverage ratio in this respect at least until 2018. The same question was asked about remuneration: how does the ECB deal with this? The ECB is still in the process of setting up its supervision on this point. However, he has indicated that monitoring of remuneration policies will be one of the priorities. Some prelude warnings have already come from the ECB offices. They mean that we will be extremely keen on compliance with the standards in the area of remuneration policy. To this end, national authorities still have powers. So there is no level playing field yet, I say to Mrs De Vries. I know she's disappointed about that. However, we are not the only ones who are sharper on parts, for example when it comes to bonuses. The ECB will monitor this as well. We have talked extensively about their enforcement during the treatment of the Compensation Act and that DNB will closely monitor it. An amendment by Mr Nijboer has been adopted which includes fines in Category 3. As far as I am concerned, enforcement will certainly be designed strictly. If there is more to be said about how the ECB will deal with remuneration policies and standards, or if there is anything new to report, I will inform the Court. The provisional state of play is that the ECB has indicated that this will be one of its priorities in the coming years. Mr Merkies asked another question about the appointment or dispatch of drivers and the checking of intended drivers. The review of intended directors of banks shall be carried out by the ECB for the significant banks. For the less significant banks, DNB does so, but it must always submit the draft decision to the ECB so that it can give an opinion. The ECB cannot do that either, and then the Dutch Bank is free to take a decision on it. When it comes to sending a driver and checking in that context, the ECB can do so with respect to directors of each bank. He can always ask for assistance from the Nederlandsche Bank. In the case of less significant banks, the Dutch Bank can also do so on its own authority. Here too, the Netherlands Bank must enable the ECB to express an opinion. If the ECB is not committed to this, the Dutch Bank can simply take the decision.
ParlaMint-NL_2015-02-10-tweedekamer-25.u32	Is it true that the Dutch Bank cannot independently send directors?
ParlaMint-NL_2015-02-10-tweedekamer-25.u33	Not on your own at all. Even in the case of a small bank, the Netherlands Bank must enable the ECB to give an opinion. The ECB can then intervene and say that it does not agree. Assuming that the Dutch Bank will not do this lightly and will always support and review such a proposal, I do not expect the ECB to ride through it quickly.
ParlaMint-NL_2015-02-10-tweedekamer-25.u34	The Netherlands Bank will then be able to give an opinion to the ECB and you would indeed be able to expect the ECB to accept it. Will we also see the advice of the Dutch Bank?
ParlaMint-NL_2015-02-10-tweedekamer-25.u35	No, definitely not. This is about people. It is therefore a matter of confidential data on individuals. The Nederlandsche Bank and the AFM are now also doing fitness tests on directors of financial institutions and the Chamber is certainly not informed about this on a case-by-case basis. I believe that we have talked about macro numbers in the past, but if those numbers are small, they may even be fragile information. I come to a few separate issues and then to the licensing periods, for which several spokesmen have called for urgent attention. Mr Omtzigt asked for entry into or exit from the banking union and the euro area. What happens to a bank that is now under supervision in the Banking Union if a country leaves the euro area? Is the country itself responsible for that bank, or is the ECB still responsible for it? My answer is a little short. All euro area countries are part of the Banking Union; that is not voluntary. Countries from outside the euro area may join. I'm not ruling out that this is going to happen. There are countries that have already shown interest and have been very active in the decision-making process towards the Banking Union with that perspective. When countries leave the euro area, this is a legally extremely complex minefield. Some lawyers explain to me that you need to get out of the European Union first and then back in, so that you and passerby can leave the euro area. That's not an attractive perspective. If you leave the euro area, you do not necessarily have to leave the banking union, but you can. Provision has been made for this, for example for the way in which you then have to deal with your previous deposits into the resolution fund. Previously, the Chamber had changed how that works, because the Chamber wanted to know what would happen if the Netherlands ever wanted to leave the Banking Union: can we get our money out of the Resolution Fund again? For this purpose, general provisions are laid down in the law.
ParlaMint-NL_2015-02-10-tweedekamer-25.u36	There is a crucial difference between stepping out in a healthy economic situation, where a country steps out because it wants to, and stepping out in a stress situation, where a country is almost forced to leave and basically collapses the entire banking sector. Should the Member States that are still in the banking union actually take the hits on those banks, or should such a country automatically leave the banking union, or could it be forced to do so?
ParlaMint-NL_2015-02-10-tweedekamer-25.u37	A country that has to leave the euro area once again, that is legally in itself extremely complex; it is your intention and my intention to prevent this from happening is not automatically out of the banking union. Non-euro countries may also be members of the Banking Union. However, this is all very speculative. I do not know what situation we are in with the banking sector. I do not know whether that country still wishes to comply with the rules and regulations of the Banking Union. I assume so, because otherwise it will of course end soon. Then that country will also have to get out of the resolution fund, but...
ParlaMint-NL_2015-02-10-tweedekamer-25.u38	I would ask the Minister to answer this question clearly once and for all. We are doing everything we can to prevent it, but this is a case in which a country changes to a currency other than that of the European Union, which is the euro. If that country steps out, there will probably be very heavy losses in parts of that country's banking sector. You can almost count that on your fingers. Then banks go...
ParlaMint-NL_2015-02-10-tweedekamer-25.u39	I can't answer more clearly than I did. There is therefore no one-to-one relationship between being a member of the euro area........................................................................................................................................................................................ In a few years' time, there may well be several countries which do not have a euro at all, but which have fully complied with all the requirements of the Banking Union: approximation of laws and regulations, supervision, transfer of powers to the ECB, capital requirements, buffering, full application of bail-in rules, resolution mechanism, deposit of money into the Resolution Fund and so on. Then you're just a member of the Banking Union. So then your banks will also be under the supervision of the ECB and the resolution powers of the resolution authority, up to and including in the final case, but Mr Omtzigt knows what the waterfall is like when drawing rights are drawn from the resolution fund. These rights do not all fall into the theoretical scenario of a country leaving the euro area. Those are really separate things. Of course, there may be contagion between banks and Member States in an extreme crisis situation, but you will not lose all your rights and you will not be outside the banking union if your country leaves the euro area in a crisis situation.
ParlaMint-NL_2015-02-10-tweedekamer-25.u40	Are you going to a roundup?
ParlaMint-NL_2015-02-10-tweedekamer-25.u41	Yes. I have another question from Mr Omtzig about systemic crises. Is that what you're testing for? The ECB has recently applied stress testing to the banks' comprehensive assessment. There are different scenarios and different elements of crises. A further stress test may be redesigned. There will be other elements of conceivable crises. Then that's what they're testing for. It's not purely individual either. There are also elements that could cause a systemic crisis throughout the banking sector. That's in the stress testing system. By the way, with all the capital requirements, buffer requirements and leverage ratios, we have also strengthened the resilience of the banks in terms of system crises. Not everything we have done only sees problems in an individual bench. It is not the case that once the crisis in the banks becomes a sector crisis again, everything that has now been put down will no longer work. I'm very much fighting that image. Then there's the permit path. Mrs De Vries, Mr Nijboer, Mr Koolmees and others spoke about this. That's a tricky point. Where does it come from? We propose in the legislative proposal to extend the deadline for the Dutch Bank to deal with a banking licence. That is a strange signal, because with the Chamber we are having an ongoing debate on whether the permit, the time limit and its treatment can be simplified, in order to get more entrants and more competition. We now seem to be doing the opposite counter-intuitively. The explanation for this is that the Dutch Bank has long expressed this wish, because the legal deadline would not correspond to the time needed. Then the Dutch Bank will do things to stay within the law. For example, you get a long route in advance. Then a lot of information is already exchanged before the clock really starts running. Even then, conversations are already taking place. The clock is then turned on but now and then again stopped. But even so, once the clock has started to run, it may take up to 26 weeks. The deadline will not be doubled. The bill proposes going to 48 weeks. That is a major extension. It is still strange, however, that several speakers have pointed out this because we have just asked Actal to take a good look at this procedure. My proposal is this. Mrs De Vries has indicated that she is considering an amendment. If she makes such an amendment, I will not oppose it. We shall now take this aspect out of it. This is not necessarily the result of European legislation. I understand the Dutch Bank's desire to bring the deadline more into line with reality. With an amendment, that could now be removed. Then we await Actal's advice first. Maybe Actal will come up with some very good advice on how to simplify the deadlines and procedure. It could be. We then consider whether or not the legal deadline is appropriate. Maybe it can be shorter, but I don't know. So that would make more sense. I follow the reasoning of the Chamber. We are happy to provide technical assistance in relation to the amendment, because an amendment is appropriate.
ParlaMint-NL_2015-02-10-tweedekamer-25.u42	Mr. Chairman. I thank the Minister for that last remark. I have another question about the previous point, the system crisis, which Mr Omtzigt has referred to. I understand the Minister's reasoning. We just had a stress test and we just jumped through the hoop. We are, of course, having a discussion about TLAC and about further raising the buffers in the banks. One of the recurring issues is how stable that bail-inable capital is. We go to all kinds of new forms of capital on the balance sheet, but how stable is that now? I have also understood Mr Omtzigt's words in such a way that he wants to get a little more insight into the sensitivity of this type of system crisis, that is, when all banks are falling apart or the entire financial sector is drying up. We saw this in 2008 and 2009. Is that what's being looked at "deeper"? Is the Minister still able to respond to that? I am thinking, for example, of the introduction of TLAC. How stable is that TLAC system?
ParlaMint-NL_2015-02-10-tweedekamer-25.u43	The interesting thing about TLAC's total loss-absorbing capacity is that you also legally ensure that there is enough bail-in material on the bank balance sheet and that not all investors are gone when a crisis occurs and you walk into that big bank to hit it and let it pay for the losses. That's the character of TLAC. It concerns pre-established, secured and legally required bail-in capital. That's the total loss absorption capacity. This is going to apply to global systemically important banks, the real big banks. In the Netherlands that is only ING at the moment. This is also relevant in relation to Mr Koolmees' point about megabanks. If two other Dutch banks were to merge, they would immediately fall under this TLAC regime, with therefore also heavier capital requirements. Then, as part of a resolution plan, they must immediately have more and in advance demonstrable capital on the balance sheet. The supervisor goes in there to see if there is enough legally established bail-in material on the balance sheet, which is not gone if I come in in the event of a crisis. That's the character of the TLAC. The beauty of it is that it becomes an international standard for all global systemically important banks. That's very valuable. The Netherlands has tried to establish a MREL in the BRRD, within the European framework for resolution. That is similar, but not quite the same definition. Even then, the banks must have at least "M' of MREL on their balance sheet, a quantity of capital that can be used. This is also laid down in the directive, but no standard has been laid down. The supervisor can further fill this out by bank. As far as I am concerned, that is a further step in the banking union.
ParlaMint-NL_2015-02-10-tweedekamer-25.u44	Thank you. I note that there is a need for a second deadline.
ParlaMint-NL_2015-02-10-tweedekamer-25.u45	Mr. Chairman. I thank the Minister for his reply. We will indeed table an amendment for the licensing process, and if it can be supported by the Ministry, it is always a good thing. I would like to raise two more points. The Minister said that once every three years the SPS will be evaluated. We have also asked for such an evaluation, but I think the SPS is looking very closely at the ECB. As far as we are concerned, it is mainly about double supervision. What is the role of the AFM and what is the role of DNB? We are actually the only ones with a twin peaks model. We would like a specific action on this. I'd like to get a response from the Minister. We are pleased that he indicates that there will be no double supervision, but that is what we want to see in practice. It is also good that there will be a MoU to make those agreements between the AFM and the ECB. The switch determination has been made for DNB but not for the AFM. Why didn't that happen? Is the MoU a good substitute for that? Care about the level of supervision costs has not yet been fully taken away from us. We also see how this has happened in the Netherlands. We understand that there are a lot of consultative and consulting rounds with business. I'd still like to lance for the advisory panels one more time. Other forms have now been chosen, but I think that it would be a good option for the future to have more control over supervisory costs.
ParlaMint-NL_2015-02-10-tweedekamer-25.u46	Mr. Chairman. It was an important point that the Court of Auditors could have control. It could also be the General Court for us, but let us talk about the European Court of Auditors. The minister's gonna work for it. I am concerned that he is making this an essential condition. That's a little louder. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the ECB cannot be independently audited for supervisory decisions, as the General Court could do in the Netherlands at DNB;]] [[Whereas independent control of supervisory decisions is necessary for a well-functioning system of banking supervision;]] [[calls on the Government, at European level, to call for a Treaty amendment giving the European Court of Auditors powers of control over the ECB such as the General Court of Auditors in the Netherlands on DNB, and to inform the Court of Auditors of the outcome before the summer,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Merkies and Omtzigt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34049-10]]
ParlaMint-NL_2015-02-10-tweedekamer-25.u47	What is also important is the law of national parliaments. I shall also table a motion on this. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that national Parliaments may request clarification from the ECB in writing, and may invite the members of the ECB's management for an exchange of views, but that the ECB is not obliged to do so;]] [[Whereas accountability of European banking supervision to national parliaments is of great importance in order to properly fulfil the task of co-legislator;]] [[calls on the government, at European level, to ensure that the right of national parliaments to speak to ECB members of directors is safeguarded,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Merkies. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34049-11]]
ParlaMint-NL_2015-02-10-tweedekamer-25.u48	About the leverage ratio, the minister said he didn't go into "what, if" scenarios. As far as I'm concerned, it doesn't have to be a "what, as a" scenario if he only arranges that in 2018 countries can always set a higher leverage ratio independently if they want to. We do not need a "what, as" scenario. Finally, something about the bank directors. I understand from the Minister that only the ECB can actually send them or stop them from being appointed. I find that an uncomfortable situation. I think it should also be possible for DNB to do so itself. I shall table the next motion for a resolution to that effect. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Nederlandsche Bank loses the power to send independent directors of banks or to stop the appointment of directors;]] [[Whereas it is desirable for DNB to retain this competence;]] [[calls on the Government, at European level, to ensure that national supervisors retain the power to send directors or to prevent the appointment of directors,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Merkies. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34049-12]]
ParlaMint-NL_2015-02-10-tweedekamer-25.u49	Mr. Chairman. I thank the Minister for the clear answers. The CDA Group remains looking for an amendment. It is not for nothing that we have co-signed Mr Merkie's motion. We have heard in the Minister's reply that he too is looking for a way of giving the European Court of Auditors or the system of general auditors a possibility of supervision, if only because they can inform not only the Chamber but also the Minister, if he wants to know what is happening in the supervision of banks. We'll come back to TLAC on that stress test. I had a motion for a resolution, but the answer reassures me so much that I will hold off on that. We therefore hope that there will be a stress test covering the entire derivative position and bail-inable capital. The Minister himself says that the legislation is not perfect. We therefore expect additional legislation to be passed in Europe. We have already talked about the European Court of Auditors, but also about the fact that your supervisory and monetary policy is not as separate as it should be. I myself mentioned the point that those who pay the bill are those who are not under supervision, such as pension funds. The saver will pay for it eventually. Perhaps the Minister could give a time limit for this regulation to be amended in his view. The CDA Group is somewhat shocked by the answer to the question of exit from the euro area. If you then remain a member of the Banking Union, you are likely to empty the entire resolution fund at that time. Is there any way to prevent that? I sincerely hope that I am wrong on that point. Finally, I have one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Banking Union could lead to a consolidation of European banks;]] [[Whereas banks which are "too big to fail" are one of the causes of the financial crisis and that new formation of megabanks should be avoided;]] [[calls on the Dutch Government to commit itself to a very strict policy when it comes to issuing a statement of no objection to bank mergers resulting in megabanks,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Omtzigt and Mr Merkies. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34049-13]]
ParlaMint-NL_2015-02-10-tweedekamer-25.u50	I also support Mr Koolmees' suggestion that safeguards should be included in the Antonveneta Directive. Banking mergers may be possible. Two smaller banks can easily become a bigger bank. So I don't see an absolute merger stop, but I hope we learned our lesson with megabanks.
ParlaMint-NL_2015-02-10-tweedekamer-25.u51	I see the Minister can answer directly.
ParlaMint-NL_2015-02-10-tweedekamer-25.u52	Mr. Chairman. I have three motions here and then another one follows. Mrs De Vries asked about the evaluation in three years' time. That is the evaluation that the European Commission is going to do. This is laid down in the directive. She actually says she wants to have a letter earlier on about the state of play and developments. I'd be happy to admit it. Then you'll just get a letter from your own minister. By then, of course, I will still be. I began to doubt it myself for a moment, but in two years it will still be. I will simply send a letter to the Chamber which contains the points for which Mr Merkie has asked attention, but also what we generally think of the way in which the banking union is developing. Mr Merkies asked another question about the AFM's switching function. In the first term, I missed it and in the second period, in fact. I hope that my officials have written it down, then perhaps another answer will come. Finally, Mr Merkies once again called for a permanent panel to keep the costs of supervision much more under critical scrutiny. There's no such panel. We knew that. The Dutch Bank had such a panel. I will bring it to the attention of the ECB. Perhaps we could turn around and invite the ECB to come and inform the Dutch Parliament about the way in which the ECB itself intends to control the costs of supervision, in order to prevent this becoming a growing mushroom. I'm getting to the motions. The first motion, tabled by Mr Merkies and Mr Omtzigt, on part No. 10, deals with the role of the European Court of Auditors. Firstly, I would like to say, perhaps in abundance, that I think that the European Parliament is an important player in monitoring the quality of the ECB's supervisory policy. I believe that the European Parliament is primarily in favour of this. It has powers to conduct investigations, up to and including surveys to test the policy. This can be done on the basis of case law or in a general sense. So we do not just have to rely on the European Court of Auditors. Having said that, we agree that the European Court of Auditors lacks some of the powers that the Court of Auditors has in the Netherlands and that it should still be given them. The motion calls for an amendment of the treaty. This is a difficult and difficult route, and I think it can be done simply by extending the competence in the banking union legislation and regulations, in particular the SPS. That would be a simpler route. If I am asked to argue for a treaty amendment and I have to inform the Chamber about its outcome before the summer, that is an impossible task and I must advise against the motion. That is what it says, so if this remains the request, I have to discourage the motion simply because of the lack of realism.
ParlaMint-NL_2015-02-10-tweedekamer-25.u53	Maybe we can change the motion somehow. Can the Minister live with it if it is not laid down by a treaty change, but in a different way?
ParlaMint-NL_2015-02-10-tweedekamer-25.u54	Sure. A treaty change is not the route I would pursue. It can simply be done through the underlying regulations. That could be a change. But if Mr Merkies expects it to be settled before the summer, I must disappoint him. I can't commit to that. I can let him know before the summer what contacts we have had and how we think we can bring this to the fore or what progress we have made. That's how it stays on the agenda. If the motion is modified in such a way that the treaty amendment comes out and we understand each other well about the phrase 'before summer', I leave it to the Chamber to judge it.
ParlaMint-NL_2015-02-10-tweedekamer-25.u55	I am not under any illusions that it is all arranged for the summer. If the Minister makes a serious effort and lets us know the progress before the summer, we can come to an agreement as far as I am concerned.
ParlaMint-NL_2015-02-10-tweedekamer-25.u56	I'll tell you in full. Mr Merkies' motion on item No. 11 concerns the competence of national parliaments. Parliaments are now being sent the ECB's monitoring report and may ask for clarification in writing. They can also invite board members. Mr Merkies does not think that the latter is hard enough. He felt that it was a right to speak to the ECB board members and that this should be secured. I'd like to know if we have a problem here before I have to solve it. I have no indication that the ECB would not be willing to speak to national parliaments or committees of national parliaments. In fact, I support the fact that the chairman of the Supervisory Board, Mrs Nouy, was in the Dutch Parliament once, but perhaps I am mistaken. I am now being whispered that she has not been here, but at least she is certainly prepared to do so. He spoke with a great deal of confidence, so I am not going to solve the problem that is now being blown into the air. I haven't seen it's a problem yet. I therefore advise against the motion.
