ParlaMint-NL_2015-04-21-eerstekamer-7.u1	I give the floor to Mr Schouw.
ParlaMint-NL_2015-04-21-eerstekamer-7.u44	Mr De Vries is now asking for a solution. I have said that I mention here a number of problems which are known in science. I'd like to share it with this room. I prefer to objectify it as much as possible. Mr De Vries understands that more than anyone. These are the three problems. These are puzzles, and we have to come up with solutions for that, a little in line with what Mrs Harbers said. It is therefore important to look at the role of the other players in the local playing field. If I had the solution, I might have been standing here with the solution, as I say to Mr De Vries. But I'm not that big. I am small and modest in the process of de-constitutionalisation. I'm trying to share some things with you. I'm on my next block. These are the individual speakers, as far as they have not yet been discussed. I would first like to address Mrs Van Bijsterveld. Can I say that I am not happy with the fact that Mrs Van Bijsterveld is not satisfied with my answers in the documents? Of course, that was never my intention. I'm trying to serve everyone as well as I can, and if that didn't work out, I'm very sorry. In order to prevent her from making me again this reproach, which is, of course, deep down, I will go into her speech carefully, in accordance with the six points by which her story has been divided. The first is essentially about where the burden of proof lies with regard to the justification of a proposal for deconstitutionalisation. In her view, the mere fact that the subject has been regulated in the Constitution for many years is sufficient justification for maintaining it indefinitely. Fortunately, the 1983 Constitutional Review had different views on this, otherwise we would still have had a very comprehensive and dated Constitution. At the same time, I say that what Mrs Van Bijsterveld said is true: it is a fact that in 1983 it was decided to maintain the crowning title of the mayor and the King's Commissioner in the Constitution. However, it is also a fact that that is already 30 years ago. Surely it is quite possible that, within such a time frame, the views on what is a foundation or a cornerstone of our system of state change? In any event, the complainant's view is that the way in which the mayor and the King's commissioner are appointed is not a foundation or cornerstone of our constitutional system. That is why the proposal is before us. Mrs Van Bijsterveld's second point concerns the coherence between the method of appointment, the scope of tasks and administrative relations. That task package and those relationships are changing. Yes, of course this must be taken into account in the decision on the method of appointment. I agree with the CDA Group on this point. My view is that this can best be done at the level of the law. That brings me to Mrs Van Bijsterveld's third point: her fear that the way of appointment will become a playball of temporary and changing political majorities. It calls that an essential risk. I understand her point. It is also a point that was raised by the CDA group in the House of Representatives. I understand the point, but I don't see the risk. I don't see the risk for two reasons. About all political parties say about the organisation of local government: you can't do this for six years and after six years you can just do something else. Everyone has spoken out for continuity and long lines, so that is a kind of political guarantee. If it is governed by an ordinary law, then it also has its legal history and legal processes. The legislator is not about one night of ice cream, as we notice today. It's not gonna be a yo-yo policy. I do not see any reason for this or any indication whatsoever. I hope Mrs Van Bijsterveld can jump over this point. Mrs Van Bijsterveld's fourth point concerned the King's Commissioner. I just talked about it. She spoke of the special status of the Commissioner as a state body. Firstly, I note that this role is not very special and that it is very lightly embedded in the Constitution. Rule 126 states that the Commissioner may be responsible for carrying out an instruction, so it is not necessary. Secondly, I would point out that the position of the Commissioner can be taken into account at the level of the law, even when it comes to the way he is appointed. On Mrs Van Bijsterveld's fifth point, which was about a different method of appointment, I have already said enough in the previous paragraph. Then there is the sixth point, which, in short, means that the municipalities are now in such a state of flux with the decentralisations that you should not think of new things there. I think that is a slight misunderstanding. If I'm trying to plan a little real, then the next thing is gonna happen. New elections are due to take place in 2017. That is only the moment when the House of Representatives, with two-thirds majority, has to discuss and go through this bill again. There'll be a new room. That will also take a year and then it will end up here again, at the earliest in 2018. In the meantime, the Minister would like to facilitate this discussion about a different method of appointment, but wide. You'll have to discuss this with the Minister. That discussion will not end tomorrow either, so we still have some time. In other words, one can hope that in two years' time it will be in the municipalities, where there are problems with decentralisation. We don't have a discussion until years later about a different method of appointment. Ms Huijbregts asked for a response to her suspicion that supporters of the current method of appointment will not support an amendment to the Constitution and that those who want change will support the initiative the other way around. That's an observation. I cannot contradict that, of course, but I hope that is not the case. I can see in this Chamber that there is a widespread feeling that we need to look very closely at the different roles and problems in the decentralised administration. You must have a sensible and good discussion about this. That constitutional provision prevents such a discussion, at least initially. If we remove that obstacle now, we can have that good discussion with each other. Ms Huijbregts also wondered whether when both methods of appointment are established outside the Constitution, it would be possible for these differences to exist. I just said something about that. I can confirm that. It is indeed possible, as she outlines, that the King's Commissioner will continue to be appointed and that the mayor will be elected in another way or vice versa. We can think of a lot of things to do with that. Mrs Huijbregts was already thinking along with the future legislator, who will have to deal with questions such as how the supervision and dependence of the elected Commissioner should be shaped, also in the light of possibly also an elected mayor. She asked for a response from me. She also asked whether a centralisation of certain tasks of the Commissioner to the appointed Minister of State would then be foreseeable. These are extremely legitimate questions from Mrs Huijbregts, but I think she understands very well that I cannot answer them in concrete terms at the moment. You can only answer them if you already know which direction you are going for the future. We do not know that, but they are the right questions to ask. In her contribution, Ms Huijbregts addressed the problems with the current position of the mayor, who has been coming into increasingly difficult waters for some time. I hope that my contribution will respond to the comments of the VVD Group. I think they're very close together. She also asked me what would go wrong with the current method of appointment of the CdK in our twelve provinces. I think that we all have a little less focus on our retina there, but they are both in the initiative legislative proposal. I think it's good to take them. If, later on in a substantive impact, it appears that you have to apply differentiation, then we see that and of course we have all the possibilities to do so. Mrs Huijbregts asked us what thirteen years of dualisation brought us, which parts of the original proposals were not introduced or adapted and whether it was not even time for an in-depth evaluation and adjustment of our decentralised governance structure. I must also exercise some restraint. The Minister can offer you better commitments than I can in terms of the effects of dualisation and evaluation. I thought I dealt with most of Mrs Huijbregt's questions. Mr Engels outlined, in three notions, the constitutional context of the mayor's office and asked if I could share his observation on this matter. First of all, I would like to thank him for his analysis. Let me remind you of what he sketched. He outlined how the appointment was not constitutionally regulated; how the Council Presidency was incorporated into the Constitution in 1983 and quietly disappeared 25 years later, in 2008; how the Constitution only mentions the mayor as part of the College, but continues to remain silent about the tasks, role and profile of the mayor, and how the mayor's terms of office are exclusively constitutionally regulated and no relationship has been established with the content of the post. Like Mr Engels, I come to the conclusion that the constitutionalist has not tried to frame the mayor's office exhaustively and explicitly constitutionally. This is an important finding which is fully in line with the idea behind this bill that the method of appointment should be regulated by law rather than by Constitution. Mr Engels also raised the question of whether the method of appointment of the King's Commissioner and the mayor was constitutional in nature. He came to the conclusion that he didn't and asked me if I shared his observations. I think I have said enough about that. I can see Mr Engels moving forward if there is any uncertainty about it, but I share with him all those observations. I would, of course, like to thank Mr Nagel for his support for the legislative proposal and also for his understanding of my personal preferences regarding another system. I am defending a legislative proposal here and I therefore expect everyone to understand that I will not go into his further wish that I make a plea for democratisation and indicate what that would look like. I don't feel free to do that. However, I do owe him an answer to his question about possible experiments. I mentioned it as a possibility in the written preparation at the time, but it should not be inferred that I would prefer that route to all kinds of other routes. After the deconstitutionalisation, we must first have a good discussion, which also involves the tasks and administrative relations of the mayor and the Commissioner. Whether we will have a lot of experience in other European cities to look at. But I think it would be wise to take that into account, because each country has its own interesting model. However, if this results in a new method of appointment and perhaps other changes to the system of decentralised administration, it must have a degree of stability. Then we have returned to Mrs Van Bijsterveld's question about stability and continuity, as is the case with all organic laws. Mr De Vries asked about the urgent legal or social need and whether this is not so much a formal or a substantive criterion. I have just explained that this is an arbitrary criterion. If you think that appointment is not part of the Constitution, it is a legal need to change it. When it comes to social needs, I notice that everyone, up to and including the Dutch Society of Mayors, wants to think about a changing role. Mr De Vries also wondered whether, in the context of 'think before you begin', we should not first have an in-depth debate on the method of appointment itself, and only then change the Constitution. Although an in-depth debate on possible changes or improvements is obviously needed to resolve existing bottlenecks or to address existing challenges, this is more or less separate from today's demand. If this Chamber is prepared to take this first step, then we can have that discussion in full. If the lock stays on the door, there will be little more of this further discussion. Then the house is locked. I would not like that, nor would I like the government, but it will say something about it in a moment. Mr De Vries stated that the Constitutionalist consistently took the view that a mayor's appointment should be included in the Constitution. That is right and it is true, because it is still in the Constitution. These discussions and notions have led, sometimes one minute before twelve, to the failure to amend the Constitution on that point. However, you can also see that there have been very different views over all these decades. There are studies and quotes on this, but I do not think we should fight each other on this. The fact is that it is now in the Constitution and over the years it has been thought very differently by all kinds of experts, state committees and everything else. Mr Vries outlined the possibility that a possibility could be built into the change in the method of appointment that a role for the Crown would continue to exist, for example in the event of suspension or dismissal. The fact remains that this is no longer the main rule, but an exception, if you would get there already. It's, as it were, a system emergency valve. Then I try to think very much about Mr De Vries' comments on this point. This, of course, creates a fundamentally different situation. Because now involvement of the Crown is the main rule, which has been stretched by the influence that local councils have acquired for some years. In the scenario put forward by Mr De Vries, it is the city council or the people who make the choice primarily, formally and in practice. Mr De Vries asked whether it was not up to the public administration to anchor the method of appointment in the Constitution. In this way everyone knows for a long time what they are up to. This would create a guarantee of system stability. I hope that with the answer to about the same question from Mrs Van Bijsterveld I have also addressed Mr De Vries on that point. In short, if you look at the political parties, no one intends to make a yo-yo policy of appointments. We still have the usual laws. Mr De Vries asked about the need for a change in the system. I have mentioned a number of points on this subject. When it comes to this bill, I note that the recital is that there is reason to consider this bill. That's what I'm asking this room. Mr De Vries asked about the head of the city council. Who's in charge of the city? Is that gonna be the city council, or is that gonna be the mayor? He sees the headship as a guarantee of representative democracy, which in too many countries is under pressure from the executive. Mr De Vries asked what I think of that. I have no reason to go against the head of the city council. My proposal also contains no change to that headship. I would like to say once again that the main body of the Council is therefore the anchor point within which a future discussion should take place. I do not really hear anyone express any doubts about this.
ParlaMint-NL_2015-04-21-eerstekamer-7.u45	I may have whispered it, but at least on behalf of my group I mentioned that this must be weighed and taken into account in the future discussion on the way in which the mayor is appointed.
ParlaMint-NL_2015-04-21-eerstekamer-7.u46	Then it's whispered. But when it comes to the future discussion, I cannot object to that. Then it is the minister who must take that as an input. In fact, I note that it is not part of my deconstitutionalisation proposal. It doesn't have to be, because in theory, you can just deconstitutionalize, but maintain the method of appointment in the same way.
ParlaMint-NL_2015-04-21-eerstekamer-7.u47	To put it bluntly, the VVD has said that we want to have clarity on this at second reading immediately after this proposal has been examined. We believe that the position of the mayor should be seen in the wider context of the Constitution. This means including any changes and adjustments.
ParlaMint-NL_2015-04-21-eerstekamer-7.u48	As far as I can tell, that space is there.
ParlaMint-NL_2015-04-21-eerstekamer-7.u49	I asked Mr Schouw whether he also saw the head of the council, including the right that is now actually granted to appoint the mayor. Maybe I can come up with an answer to that question, but I'd like to hear it from him.
ParlaMint-NL_2015-04-21-eerstekamer-7.u50	I would like to repeat that I see no reason to go against the head of the council now.
ParlaMint-NL_2015-04-21-eerstekamer-7.u51	Is that a headship including the right to actually appoint the mayor?
ParlaMint-NL_2015-04-21-eerstekamer-7.u52	That is now the actual practice.
ParlaMint-NL_2015-04-21-eerstekamer-7.u53	I ask for your opinion. Do you think that should continue to be the case?
ParlaMint-NL_2015-04-21-eerstekamer-7.u54	There is, of course, the question of whether the initiator of the legislative proposal that we are discussing today also has a view on the method of appointment. Mr De Vries may ask that very legitimate question, but I have already given the disclaimer in my introduction that I am not saying anything about it, because that is not what this bill is about. We're at the start of a discussion. I am almost so happy as a child that the Minister wants to facilitate that discussion. I am not going to block this discussion or burden it with all kinds of views in advance, because then we will not get anywhere, I say to Mr De Vries. I hope and trust that he understands that from my side. I shall now come to Mr De Lange's contribution. I would like to thank him for his support and for his strength. I have been there a number of times when I was standing here with legislative proposals to go back to the heart of the proposal. Because, yes, the proposal is actually nothing more or less than a first step towards getting the method of appointment out of the Constitution. All the other topics we have at the head today are relevant and connected to them, but sec is not about them. Mr De Lange also referred to a shift in the mayor's remit. I think I have given it ample consideration by now. In his speech, Mr Meijer outlined the history of mayor appointments, especially of all the political handicrafts surrounding them. That was a very nice insight into and overview of the political handicrafts with which the large traditional parties traditionally distributed the mayor's posts through the country neatly. As Mr Meijer pointed out, in 1814 there were good reasons to go for a tightly guided Crown nomination. The Netherlands had to be united, but even at that time the Constitution was not undisputed. He was right to point out that according to the Constitution, the city council is the highest body within the municipality. All in all, he indicated valuable building blocks for a follow-up to the discussion on the method of appointment. Mr Meijer also asked the Minister and me whether, without a constitutional change, the Belgian system could be implemented quickly and fully. In the case of interruption, I have just said a few things about this. Article 131 of the Constitution is already being implemented in a completely different way from what the constitutionalist was supposed to have intended. With a formal right of recommendation from the Council, it is difficult to speak of a real Crown appointment. This is generally regarded as the maximum extension of the interpretation of Article 131. As far as I am concerned, it is a little beyond the scope of the article. This also applies to the fact that it is not possible to cut it with scissors, but I give Mr Meijer a note that, if we do this, others will probably climb into the pen and indicate that it is all unconstitutional and cannot. Mr Thissen raised the fear that the important posts of mayor and CdK would be constantly moving along with varying political views by means of an ordinary law. I understand what Mr Thissen said, but if the question is whether I share that fear, the answer is no. Politicians have so far taken into account in many other areas of public administration that they have a great responsibility to ensure that local government functions properly. They therefore seek the broadest possible support for their proposals in both parliament and the relevant bodies or their umbrella organisations and society in the broadest sense. Mr. Thissen also asked about the perspective for good governance expressed by the Dutch Society of Mayors. This concerns identification, administrative power, legitimacy and decision-making quality. Without commenting on the pros and cons of each criterion and on the manner in which this leads, I would say that these seem to me to be extremely sensible criteria which should be taken into account in the further discussion on methods of appointment and possible modalities. Mr. Thissen also referred to a wish of the Dutch Society of Mayors to review the position of mayors as a whole, appropriate in the municipal system. I think I have already answered that in detail. For the sake of clarity, yes, I very much agree with that. But that should not happen in haste; let us try to do it carefully and well with each other. I would like to thank Mr Van Dijk for his support for this proposal. He asked about the next steps. I just said something about that. The elections are scheduled for 2017. Then there is a second reading in the House of Representatives. If we manage to get a second third majority there, we will again be facing a two-thirds majority. In the meantime, the Minister is going ahead with the models. Finally, I come to Mr Holdijk's speech. He himself sees no major problems with the current method of appointment and therefore wonders what problem this is for. I have already said a number of things about this, but I also want to serve Mr Holdijk well. The fact that the method of appointment is not a fundamental element of the Constitution is a problem that needs to be resolved. That's what we're trying to change. A good discussion should also be held on the future position of the mayor and how it relates to the other players in the field. Furthermore, Mr Holdijk says that we must first have the debate on local democracy: what do we expect from the mayors in a dual system? For Mr Holdijk, the mayor's independent position is important, especially with regard to public order. That requires an external identification of its own. The binding role is also important to him. He wondered what was left of this role after the constitutionalisation. I must say to Mr Holdijk that perhaps nothing will change at all, but we are there together. There is a certain need within political parties and the parliament to take a very good look at it. I can't predict the outcome of that discussion. Maybe everything's sticking to the old thing, or maybe something's gonna change. But the points that Mr Holdijk refers to are the independent position, the legitimacy and the binding role of the latter seem to me to be anchoring points in order to shape the future further. I'm at the end of my answer. I hope that I have made it clear to the Chamber how attached I am to this initiative legislative proposal. I have tried as hard as possible to defend it and to answer all the questions that came from all angles and holes in this Chamber. I do, however, see some hesitation in a number of political groups about this bill. I understand that very well and I would like to say that we all have some hesitation in making a decision. I would ask the groups to overcome this hesitation. In abundance, I would point out that there will be a second round. Then, of course, the substantive questions about the future models can be clarified.
ParlaMint-NL_2015-04-21-eerstekamer-7.u55	I give the floor to the Minister of the Interior and Kingdom Relations.
ParlaMint-NL_2015-04-21-eerstekamer-7.u56	Madam President. Let me start with a compliment to the initiator. This time, as far as I am concerned, that goes beyond the obligatory compliment to anyone who comes forward with an initiative law. Firstly, it is a constitutional change. Secondly, the subject has a very long history. Thirdly, I would like to say that I would very much like to give the D66, which was established almost 50 years ago with the agenda, inter alia, the improvement of internal governance, as initiator in the Chamber, the impetus for this important step. Moreover, as you know, it is also an implementation of what the government has intended in the coalition agreement. Here's what I want to do. First of all, I would like to comment on the usefulness and necessity of the proposed constitutional change. Next, I would like to consider the route that might follow afterwards. I would then like to comment on questions put by Mrs Huijbregts and Mr Van Dijk on the procedure. I would also like to comment on Mrs Van Bijsterveld's question as to what could then become the stable, consistent course. Finally, I am passing by all the speakers to see if I have not answered any of the remaining questions. I would like to begin with the main point raised by Mrs Van Bijsterveld, Mr De Vries and others, namely: why do you want to do this? First of all, let me say the following, no matter what I wrote to the Chamber. It is the government's view that the appointment of the King's Commissioner and the mayor is not of such importance that this should be included in the organisation of the most important state institutions. Nor does it affect the fundamental rights and obligations of the citizens enshrined in the Constitution. So that is the substance of what would and would not belong in the Constitution. I realize that it is an old discussion, but that discussion was of course taken much earlier by state committees, namely in 1887, 1929, 1971, 1993 and 2000. That view also convinced a majority of the First and Second Chambers in an earlier attempt at deconstitutionalisation and even at second reading convinced the Second Chamber by a two-thirds majority. To address this first of the three arguments, I quote literally Article 132 of the Constitution: "The law governs the establishment of provinces and municipalities, as well as the composition and competence of their administrations'. The Constitution is therefore very clear; it is the ordinary law that should govern the administration of municipalities and provinces. In line with that, I would point out that the transition from the monist to the dualist system took place without the need for a constitutional change. This is part of what Article 132 of the Constitution says. That's something that can be arranged by ordinary law. So I agree, the government agrees with all the previous state committees that have said that this should also apply to the way in which the mayor is appointed. Then there's the second argument. Crown appointment is once intended as a guarantee for monitoring the national interest in the local government. Local democracy is all very nice, but let us make sure that, at that time as President of the City Council, there is someone in the Constitution who is responsible for the national interest. And that's actually not the role the mayor plays anymore. Thirdly, in my view, the need arises from the fact that it must be possible for the legislator to decide on the method of appointment. The desire to do so is apert present. This is also apparent from the previous parliamentary debate in which both the Second and First Chambers supported a previous proposal for deconstitutionalisation for that reason. Moreover, there is also a recent precedent whereby the Constitution has been amended to allow something to be changed by ordinary law in the municipal administration, while that has not actually changed after that. I refer to the 2008 Constitutional Amendment, which removed the Constitution from the Constitution that the mayor is the mayor of the city council. This was done at the time of the Balkenende IV cabinet; Mrs Bijleveld then successfully defended it here. This has not, moreover, led to the amendment of the law. So the law still states that the mayor is chairman of the city council, but the mere fact that it did not seem sensible to include that in the Constitution and that it could be better regulated by ordinary law was therefore sufficient in the eyes of the Second and First Chambers to change that point in the Constitution a few years ago. As far as I am concerned, therefore, there is a trio of arguments for amending the Constitution now. If the destitutionalisation is a fact, then by ordinary law the method of appointment can be changed. If, deo volente, this cabinet sits until 2017, it will only be decided at second reading on the constitutional change. Then both Chambers are involved, because there must be a two-thirds majority. I believe that this will not be the case until 2018. Only then will it be possible to change the method of appointment by ordinary law. In reply to Mrs Van Bijsterveld's question on this point, I can say that it will not be before 2020 that such a change will actually be law, if that change were to come and the legislator would decide on it. So I think that the feeling that a lot is happening in the municipalities, which I share, in five years' time might turn out to be a little less. Mrs Huijbregts has asked whether you should involve not only the method of appointment but also the desired role of the mayor in the municipal order. I couldn't agree more. That is actually the underlying thrust of the note I have sent to your Chamber. I didn't make a choice in that, but if one thing is clear, it is that you can't see the method of appointment and the role in the municipal order separately. The legislator will, of course, have to take due account of this in due course.
ParlaMint-NL_2015-04-21-eerstekamer-7.u57	I'd still like to tighten this up. It concerns not only the method of appointment and the role in the municipal system, but also the total functioning of the municipal system.
ParlaMint-NL_2015-04-21-eerstekamer-7.u58	Yeah, I agree. Mrs Huijbregts also specifically mentioned dualisation. It was introduced and evaluated in 2008. There was no reason to change it at the time, but it is really up to the legislator to do so at some point. I do believe that the role of the mayor is an important element in this, precisely in connection with that dualism, because, at least under the current law, the mayor is the chairman of the council and of the college of mayors and aldermen, which is, of course, a striking situation in a dualist structure.
ParlaMint-NL_2015-04-21-eerstekamer-7.u59	Could the Minister be a little more specific about this? Does he make a commitment now or does he say anything can happen?
ParlaMint-NL_2015-04-21-eerstekamer-7.u60	I would like to make a commitment, but it's not really up to me. It is up to the legislator to decide what happens after the constitutionalisation. So that is only in another cabinet period, in a subsequent parliamentary term of the House of Representatives. However, I can promise that I will be fully committed to making as much discussion as possible on this matter and to getting information from everyone, such as the Dutch Society of Mayors, which is already extremely active in it, and people working on it from science and daily practice, so that as much information as possible can be made available to decide whether or not to amend the Constitution in a subsequent period of time.
ParlaMint-NL_2015-04-21-eerstekamer-7.u61	I'd like to have it even sharper. At first, it seemed as if the Minister made a commitment, because he spoke about the notes he published last Friday. Then I thought: well, that's the beginning of what the VVD is asking, namely to take control of that whole process. And now the Minister says: that will only come to a conclusion after the constitutionalisation. And in his response to the CDA, he even speaks of 2020. I thought it was clear that the VVD wanted to have a look at the picture for the second reading. Today, history has already gone beyond what happened to previous second readings, and we do not want that on our conscience.
ParlaMint-NL_2015-04-21-eerstekamer-7.u62	I fully admit that, but that is not contrary to what I have just said to Mrs Van Bijsterveld. It remains, of course, that in 2017, when this cabinet and this Chamber sit down the ride, the second reading will be on the agenda. There will then be a legislative process. I fully agree that from now on I am prepared to take the lead for this. So far there has been an initiative legislative proposal and we have proposed it, and I am pleased with it, because the proposal has been made extremely competent to allow him to direct this proposal to the Second and Upper Chambers. Of course, I am prepared to take that direction at all times. In the local democracy agenda, I have already indicated that I intend to carry out a broader exploration of the municipal law so that we can also work on it with a view to the future. I am already talking about this with the municipalities and the provinces. Ms Huijbregts also asked about the discussion on Chapter 7 of the Constitution. I look forward to that. I wrote and sent the relevant document at the request of the First Chamber. It is up to the Chamber to decide at what time it wishes to discuss it. I'm available to do that. Mrs Van Bijsterveld has highlighted the important issue of consistency and stability. I understand that point very well. Apart from what the majority would at any time find of the most desirable way of appointment of the mayor, it is certainly undesirable that it should be "flipfloppen," so that one coalition does so and the next coalition does so. I think that is a real concern. I'm pretty much the last one to think it's easy to make a change in domestic governance through a normal law. I have already mentioned the example of dualisation. That was decided a few years ago. There was quite a discussion about moving from a monist to a dualist system. However, this has not led to every new cabinet wondering again: should we continue to do so or not? If it has been decided once, then it will be so for a long time. That's wise, too. I did just have to chuckle because I tried to change something to the provincial government in the Netherlands by ordinary law, and still supported by a coalition agreement. You all know how far that proposal has come. I have said before in my surroundings that it is easier in the Netherlands to change the law of gravity than to change a law on domestic governance. I do not think that any other way of making the mayor's appointment would be laid down by law if the Constitution were to be amended. So I'm not so worried about that.
ParlaMint-NL_2015-04-21-eerstekamer-7.u63	I'd like to hear from the Minister how he looks back on a fairly recent history. I am talking about the 2001 and 2002 amendments. Within two years there was a proposal to change the whole practice.
ParlaMint-NL_2015-04-21-eerstekamer-7.u64	I approach it carefully, because I know that this is a subject with a history for many. But this illustrates a point I still wanted to make. Mr Schouw has already done that. The First Chamber and the Second Chamber are still present in second reading. Then they will be even more present than they are now, because then two thirds of the majority will be required in both Chambers. What if some crazy thing happened? That is what I am saying to Mr De Vries. If something were to happen that his party really does not want, then there is always the second reading. Then it can always be said in the next period: the coalition's plan is so bad for local government; we really shouldn't want that. This is the purpose of the constitutional amendment procedure. The emergency brake can always be pulled. I do not want to go into the arguments, because I know that there are differences of opinion in this Chamber. But this was apparently the reason for a number of senators to oppose that constitutional change at the time. I would, however, like to maintain that the internal administration is so stable and that there are so many forces in the internal administration that are able to find their way to the Lower House and the Upper Chamber and that they want to prevent strange leaps being made, that my main concern is not that major system changes will continue to be made in the internal administration. Rather, the opposite is the case. It is quite striking that something Thorbecke said in 1848 that you could question and which I have called into question since then is still under discussion. This illustrates that in the Netherlands this matter does not generally lead to legislative changes very quickly. That is what I wanted to say about the procedure. I go to the questions per speaker. I shall begin with Mrs Van Bijsterveld's questions. Precisely because her party was in the Lower House for this proposal, I was pleased with that. I would like to do even more to convince Mrs Van Bijsterveld. I will go through the points she mentioned one by one. First of all, she spoke of the justification. Why is it necessary? I've just gone into that. That is in line with her fifth point: shouldn't you put it in the hands of the constitutionalist? Shouldn't you let the Constitutionalist decide on the way to be appointed? I have already answered that. I think it is up to the legislator to decide on the method of appointment. So I think it's in good hands there. This must be decided by a simple majority in the Lower House and then in the Upper House. This can very well lead to the consensus that the crown appointment remains. That's what my note says. From a game theoretic perspective, you can see all kinds of variants. Someone can say: my appreciation for the crown appointment is so high. For the Acts: I now keep my hand at average height. Someone can also say: my appreciation for an election by the council is higher and my appreciation for a direct election is much lower. I'm not saying I do, but someone could have this opinion. Depending on the intensity of the opinion, it is just the question of what would become the outcome of a decision by a majority. We do not have that in hand, but it is democracy that ultimately a decision is taken. Mrs Van Bijsterveld asked about the tension with the Constitution on other points. That is an important point. I haven't gone into that yet. It may then be about the head of the council. That's what they've just been asked about. I am referring to Article 125, but there may also be tension with other articles in the Constitution. If the method of appointment is out of the Constitution, the method of appointment can be decided by ordinary law and there will be no tension with the Constitution on that point, i.e. as regards the method of appointment. But what if, from the point of view of the relationship between the method of appointment and the role in the municipal system, one chooses a role in the municipal system that is at odds with other parts of the Constitution for other reasons? Then one should first amend those other parts of the Constitution, then there is a first reading and a second reading in the next period before such a proposal can be made. Suppose one opts for a presidential system that is the most far-reaching form of the city council, where the mayor can send the city council home. Then that would be at odds with the head of the council. This would require an additional constitutional change. But I think this should be part of the debate that the Chambers can have if the way of appointment itself is no longer established in the Constitution. I have already mentioned consistency. Mrs Van Bijsterveld's fourth point concerns the role of the King's Commissioner. It could remain as it is without the crowning title in the Constitution. It's open. It is up to the legislator to decide on this. As far as I am concerned, it is not automatic that the discussions on the method of appointment of the mayor and of the King's Commissioner should be resolved simultaneously and in the same way. Indeed, the King's Commissioner is also a wealthy body. It is a modest role, as Mr Schouw says, but it is a slightly different one. It seems to me that there would be two different legislative proposals. A distinction can be made, if you wish, in what one would like to decide. I have already responded to Mrs Van Bijsterveld's fifth point, as well as to the question of timing. I have already answered most of Mrs Huijbregts' questions. How do I imagine the exchange of views on the two notes? I have already answered that. The correct answer to the multiplechoice question is in my view: not now.
ParlaMint-NL_2015-04-21-eerstekamer-7.u65	So that's "A."
ParlaMint-NL_2015-04-21-eerstekamer-7.u66	Yeah, that's "A."
ParlaMint-NL_2015-04-21-eerstekamer-7.u67	That's the right answer.
ParlaMint-NL_2015-04-21-eerstekamer-7.u68	I've lost it for a while. Can the Minister repeat the multiple-choice questions?
