ParlaMint-NL_2015-03-24-eerstekamer-8.u1	I give the floor to the Foreign Minister.
ParlaMint-NL_2015-03-24-eerstekamer-8.u22	Yes. Thank you for this question, which is indeed still on my list. The update of the security note states that organisations such as ISIS and Al-Qaeda, or Al-Qaeda in the Islamic Maghreb....................................................................................... What does this mean, according to the government, for the way in which the debate on Islam is conducted in the Netherlands? We agree that there must be every room for religious criticism and freedom of expression, which is paramount, but that we increasingly seem to be slipping towards polarisation and unbridled hatred. How does the government prevent us becoming increasingly an unfriendly society with regard to visions that we do not like? We cannot do that from above alone; that is, of course, impossible. That can only be stimulated. It is important that there is room within the Netherlands for constructive criticism of religion and freedom of expression; I have just said that. It is well known that terrorist organisations use situations such as public discontent or polarisation. We have the anti-jihadism action programme, which partly responds to this. We now also have a programme that strengthens anti-Semitism policy. In addition, there are opportunities that are now being promoted by the Minister of Education, for example for teachers, but also in prisons. At the same time, there is something else going on. We have talked about the relationship between internal and external security. It is important to shape it in all kinds of ways. There is a repressive side to this: cooperation between intelligence services, border controls and passports. There's also a preventative side to it. When necessary, you give people a chance if they regret it. You will also ensure that conflicts elsewhere in the world, be they the Gaza Strip or other parts of the Middle East, do not go directly to our Dutch neighbourhoods. I've been to a number of cities by now. I haven't given that much publicity, because I want to see what the best method is. In the Netherlands there are discussions with different groups, but in a number of neighbourhoods you can see that there is actually no discussion anymore. One is watching Dutch television, the other is watching television from another country. You hear messages from one side and not from the other. Templates are glued to reality. Often there is an element of truth in it, but it is beaten up. Often a discussion is of great importance, also on foreign policy issues because they have become domestic policy. I do not have a clear list of recipes for this, but I think it should be given a place in the work of the Minister for Social Affairs and increasingly in the work of myself. I believe that I am a minister who must show that internal and external security combines. There is more to be said about it, but I think that is the way we should look at it.
ParlaMint-NL_2015-03-24-eerstekamer-8.u23	Thank you for this point. I trust that the Minister will continue to do so, because I think that link is very relevant. I have another question about the Responsibility to Protect that comes up at the end of my first term. It concerns the destruction of art treasures, which is amazing worldwide. Could that also be a title for the use and protection of blue helmets? Let me give you an example. I was in Palmyra a few years ago, an unprecedented cultural heritage that is now at the heart of the ISIS area. I don't even know if it's still there. You shouldn't think that one of the old cities along the Silk Road is flattened to the ground. That is a completely different approach, a completely different approach from humanitarian aid or defensive intervention. You want to protect something that belongs to a lot more people than just the occasional ruler there at the time.
ParlaMint-NL_2015-03-24-eerstekamer-8.u24	I think it is a very important point, firstly because the cultural and historical symbols referred to by Mr Van Boxtel stand for much more than stone or whatever material it is. It often shows something about respect that you can have for other cultures, which you also want to help protect. I would like to say straight away that it has been a Dutch government's priority for a long time. Indeed, the French do a little better than we do. A president like that says we're gonna protect it. I experienced it myself when I was in Mali on the basis of a project by the Prince Claus Fund: our protection of Timbuktu and all those Islamic writings. I am also saying this in the direction of those who said it is an Islam problem. No, this wasn't a Islam problem. Those islam writings were destroyed by the extremists as an instrument of warfare. A whole system was set up to protect them. We have also done so in a number of other areas, such as Afghanistan. I am certainly prepared to look into it further, but I know that our own communication section of the Ministry of Foreign Affairs and the Prince Claus Fund are also very actively engaged in the discussion on heritage. I very much support what Mr Van Boxtel says. Actually, it's a message for us to put forward that even more impregnantly. I come to a number of things that are still in the south flank. I'll speed up a little, because a lot of questions have been asked...
ParlaMint-NL_2015-03-24-eerstekamer-8.u25	How much longer do you think you'll need? The Minister of Defence will also speak. In addition, it has shown that it is at least 11 o'clock, no later than 11:30...
ParlaMint-NL_2015-03-24-eerstekamer-8.u26	Then I'm going to answer very staccato, because the Chamber has asked a lot of questions about the world. I'm starting the Middle East Peace Process. Let me say a few things about it. Firstly, the Middle East peace process is a word for something that does not exist at the moment. There is no Middle East peace process. Secondly, it is more risky than ever. It has always been a risk to the population, but because of the radicalisation, the religious aspects and the extremist aspects that you find mostly in the Gaza Strip today, but to some extent in a very different way in Israel, it is more than ever a priority to move forward. That happens when the desire to do so is much smaller than ever. We see enormous divisions among the Palestinians. Hamas and Fatah do not talk to each other and there is increasing extremism in the Gaza Strip. It's complicated. On the Israeli side, during the last election campaign, there was discussion with Prime Minister Netanyahu about the two-state solution and the resolution of the Arab minority. That is why our Prime Minister called Prime Minister Netanyahu to congratulate him and say that peace is now so important that the two-state solution cannot suddenly disappear. The big question is always whether you can do something about it now if it's been so long. I believe that a number of elements are important here, at a time when there is no peace process and no new Israeli cabinet. They may not be great opportunities, but they're still worth a try. Firstly, Europe's role is more accepted than before, both by Israel and by the Arab world and the United States. Secondly, on the initiative of the Netherlands, Mrs Mogherini was asked to draw up a plan to help parties get back together immediately after the formation of a new cabinet in Israel. That is, of course, not only with Europe, but with the Arab world and, wherever possible, with the United States, which will remain a core player and which is increasingly more critical of it, given the visit of Prime Minister Netanyahu to the US Congress. Thirdly, recognition plays a major role. We can talk about this for a very long time, and that would take some time, but the Dutch Government has said to change its position: it no longer sees recognition as a final piece of the negotiations, but it is going to use it strategically. I can't tell you when that'll be. We are now in the mainstream of European policy. France, Italy, England, Germany and Spain are on exactly the same line, except Sweden. Sweden has said that it is now recognizable. I do not think that is a good policy. There are good reasons to do so, but in my opinion that should be part of the negotiations. That is possible and it is also more likely to succeed if it is chosen jointly with the European countries at a strategic moment, even if it is a national responsibility. There are therefore a number of ingredients to be taken up, perhaps against all the naiveties, but because of the urgency of the situation and the fact that Israel is now in a different relationship with the Arab countries, again to take an initiative. You have to take that very precisely, not too early and not too late. This is independent of all kinds of elements and questions that have been asked to the Dutch Government about, for example, the two-state solution. That is what we are in favour of, and we must not deviate from it. Secondly, it is perhaps possible that we will finally be able to obtain a United Nations resolution in which there is no veto from one country and which could define the basic principles of an agreement which we have known for 20 years in fact in one form or another. But it takes negotiation. Whether you like it or not, but when you make peace, you always make peace with your enemy. You're gonna have to put real trust between those parties. In this way, the Dutch Government will operate towards Israel and the Palestinian territories. Of course, we are in close contact with both parties, including Prime Minister Abbas and Foreign Minister Al-Maliki of the Palestinian Authority, who will visit me in ten days' time to discuss this further.
ParlaMint-NL_2015-03-24-eerstekamer-8.u27	I fully follow the story and we have noticed from the various contributions of the spokesmen here that we are getting closer and closer to that strategic moment. The minister appoints it himself, but it keeps shifting if you're not careful. My concern is that next year, Obama and Kerry will be gone, and we don't know at all what presidency will be in America. I was not very happy yesterday from the first candidate who shouted in the wake of the Republican Congress that the war with Iran was coming back and that all the contacts, including all the bugs, had to end. Does the Minister see that strategic moment for the new presidential elections in the United States or beyond? Now let's name a time horizon or does the Minister not agree with that?
ParlaMint-NL_2015-03-24-eerstekamer-8.u28	If you don't mind, I'm not gonna go into what good and bad candidates are for the U.S. presidential election. The approach of the Dutch government is not that we move forward nicely. She has just said that she no longer wants to see it as a final piece, so you automatically know that then one country has the right of veto. It is a fairly essential change, which puts us in Europe's mainstream. A strategic moment is when you know that it contributes to the success of the peace process. I hope this is as soon as possible. As far as I'm concerned, it's as soon as possible. I don't want to wait for that either; the sooner the better. However, I do not think it makes sense to do it now. I have given my argument for that. You can differ on that, because there are very legitimate reasons why you can say that you can now. In the legal sense, there will not be much opposition to this either. I have had a discussion on this with Mr Schrijver before. We could have talked about this for a while longer, but there are elements that allow you to follow the reasoning that it is not legally problematic. I am formulating it politically, because a few elements are still important. However, it remains a political choice, also for the Dutch government. Europe cannot commit us to this, but I would prefer to do so together now that there is no difference of opinion in Europe either. Apart from the fact that Sweden has now unilaterally recognised this and there are a number of other countries that have already done so in the time they were still part of the Warsaw Pact, there is no difference in the view that there is a package of instruments and that the High Representative is now going to determine her policy, with no taboos. That is what we support, but to anticipate this unilaterally now seems to me to be clumsy, even for a number of other reasons.
ParlaMint-NL_2015-03-24-eerstekamer-8.u29	I can go a long way with the Minister's reasoning, and I am also pleased that he has highlighted that recognition is not the end of the peace negotiations, but will be part of the process. The Minister says that a strategic momentum is being chosen. But what exactly is he going to do? Does he see himself in the old theory as a midwife, a midwife, to help the new state of Palestine in the world? Can he respond to my group's theory, broadly based on international law, that Palestine has long existed and that it is actually a delayed recognition of the existing situation, a normalization of legal relations between the Netherlands and the Palestinian Authority, for example, many of which we already have? We make contracts, we exchange diplomats, and we sit with them at the table.
ParlaMint-NL_2015-03-24-eerstekamer-8.u30	Mr. Kox next to that?
ParlaMint-NL_2015-03-24-eerstekamer-8.u31	We will not take the Minister off the path he indicates. There's logic in that. What is important is that we are kept informed of the progress of the situation. Otherwise, Mr Schrijver's question is justified when it will happen. That the Minister cannot say that now is good, but I would like the Chamber to be kept informed. I saw Mrs Mogherini's first appearance in the Gaza Strip; many compliments for that, because we are indeed putting Europe back in the forefront of the discussion. How does the government intend to inform this and the other Chamber of the developments in the process? As the Minister says, we are now mainstream with this attitude, but that is a temporary matter. What Sweden has done can also be done by the end of the year, just like Ireland. We must therefore be kept informed about the development of the process. Can the Minister make a commitment or say something about that?
ParlaMint-NL_2015-03-24-eerstekamer-8.u32	Yes. Firstly, I do not expect it directly, although I cannot predict it precisely because it is a bilateral responsibility. I do not think that any of the European countries that are now in this position see recognition as an end in itself. I have nothing against this recognition, but the point is that this recognition leads to what the Palestinians really want, namely a state of their own that is viable. Anything that can bring that goal near, that's what we're talking about. We are going to have a bit of a legal discussion, which I would like to have with the Chamber. Then we go to the Montevideo criteria: a permanent population, demarcated territory, effective authority and ability to maintain international relations. According to some lawyers, then I already come into the danger zone, which also includes the absence of unlawful acts in the process. It is certainly not the case that all countries with an area are automatically recognised. Think of the South African home countries of that time, of South Rhodesia and of the Turkish Republic in Northern Cyprus. There are many examples that make it even more complicated. However, I do not generally see the problems there; I agree with Mr Schrijver. The focus for us is primarily on opportunity and recognition, to promote the two-state solution. I am very willing to keep both Chambers informed of this, because we regularly discuss it in Europe. Mrs Mogherini has just been mentioned in this context. Every month we have a meeting of the RBZ. There is hardly any advice where this is not discussed, because of course everyone is concerned with it. This is quite a dilemma. There are people who are quite legitimate in saying that sanctions should be imposed tomorrow, others think that you should do nothing at all, while others think that you should impose peace. In our strategic-political context, that is not a set-up, because I think everyone sees the urgency for reasons that I have just indicated. We are now coming to this assessment. This also applies to the steps taken by the Palestinians in relation to the International Criminal Court. As a host country and a party of states, the Netherlands considers the further process to be a matter for the International Criminal Court. The Netherlands has confidence in the court and, in particular, in the prosecutor. Although the Kingdom considers that the State of Palestine has not acceded legally, because of the approach I have just indicated, it is a positive development that the Palestinian Authority considers itself bound by the application and respect of fundamental standards of international law, for example in the field of human rights. In light of my promise to respond in telegram style: the east flank.
ParlaMint-NL_2015-03-24-eerstekamer-8.u33	How much time do you think you need?
ParlaMint-NL_2015-03-24-eerstekamer-8.u34	Twenty minutes?
ParlaMint-NL_2015-03-24-eerstekamer-8.u35	I think that's a little spacious. As far as I'm concerned, I'm still here tonight, but I understand that the Secretary of Defense is thinking of a time, and then we have a second term. If you could do it a little faster, I'd be delighted.
ParlaMint-NL_2015-03-24-eerstekamer-8.u36	Certainly, Madam President. A minister's problem is always that questions need to be answered. If you don't tell me later that I didn't answer all the questions, I'm gonna go right through them. With regard to Ukraine and Russia, the question is what the muscle is and what the open hand is. The muscle is strengthening NATO when it comes to a number of measures that the Minister of Defence will be discussing. It is also a question of strengthening European security policy and sanctions policy. I do not agree with the view that sanctions do not work. I think that sanctions generally only work in the long term. But I say immediately: sanctions are not a policy in themselves. We are not enemies of the Russian people, and we do not want to force them to their knees. Nor can that be the only consequence of that policy. In all the discussions that we have had on Maidan, I have here and there a different view of what has happened there than Mr Kox, we cannot ignore the fact that all parties, including the Ukrainian Government, must abide by Minsk. Then it's about heavy weapons and local elections. But the Russian responsibility for destabilization simply remains. We should not be naive about that; we should try to change policy in the right direction. Fundamental rules of European security have been exceeded, including national sovereignty, non-use of violence, intimidation, hybrid warfare and so on. Minsk is important. The OSCE is a cooperation body which remains essential for two reasons. Everyone's in it, which makes it difficult, but also important. It stressed the importance of the Serbian Presidency. The fact that there is sometimes insufficient operation there is less to do with the fact that it is the OSCE than with the fact that any mission must have the means and access required by agreement. This means that the Netherlands did not just put extra money into the OSCE monitoring mission. The Netherlands also referred directly to four things. The baseline where the weapons are must be clear, you must have access everywhere, you must be able to use your drones and you must have material, in case you can't access them. That's what worries are about, and they're gonna stay there. The question of whether the UN would do better or not is open to discussion. Our view is that this is not the case, because the problem is essentially not there. The essence is the strengthening of the OSCE. There's consensus on that. This also fits in with the initiative of Mrs Merkel, Mr Hollande and the Presidents Poroshenko and Putin. There is also more to be said about this, but I will leave it at that in view of the time. We're not standing still, by the way. Forty years after Helsinki, which was about the great principles of human rights, economic cooperation and arms control, we are in great difficulty and it is therefore also important that we should have an initiative by the Swiss and the Serbian Presidencies to come up with a set of ideas to make 'Helsinki' much stronger and more up-to-date in a new phase. Whether that will succeed is, of course, a question that I would not and would not be able to answer right now. I've come to stabilise Ukraine. Firstly, it concerns economic support, humanitarian aid and support and pressure to ensure that local elections can progress on the basis of Ukrainian law. On the European security strategy, I would like to say that I believe that strengthening the CSDP is an essential element of this government's policy. We want it to be stronger and stronger. We support the High Representative in her efforts to choose a certain role in this. This indicates that, for example, when it comes to Iraq or Libya, we are not going to get in the way. We need to get there early, and we need the instruments to do so. That is quite different from a European army. But at the heart of the matter is that Europe has its own responsibility, which is becoming ever greater. The feeling among the Americans that they can wait a little longer and the feeling that we are surrounded by very great risks is at the heart of the need to do so. But I got the message right: that's what you can and want to do. In response to questions by Mr Franken and Mr Schrijver, the cabinet believes that sovereignty plays an important role in the question of authorisation for aid measures. It is primarily the State's responsibility to call in humanitarian aid if it cannot provide aid to the people in need. If the state does not assume that responsibility, the UN Security Council can also mandate the provision of humanitarian aid, in which case the requirement of consent can be put aside. For example, resolution 2165 of 2014. This offers the opportunity to provide humanitarian aid to the people in need in Syria; the Netherlands participates in this. There really is a different situation in Russia. In eastern Ukraine, Russian relief convoys have crossed the border without the authorisation of Ukraine and without the mandate of the UN Security Council. To those who have said that disarmament is no longer a matter for discussion, I would like to say that this is not the view of the Dutch Government. Nuclear disarmament remains an essential objective of Dutch policy. We are one of the initiators of NPDI. We will continue to do so very actively. If Putin "plays" in the rhetoric with nuclear weapons when it comes to Crimea, that is very dangerous. This does not facilitate the political environment to take unilateral steps by the West. At the same time, this makes it easier, as we did in the Cold War, and I would like to make it clear that I do not think this is a Cold War to continue the discussion. So there's no reason not to. I say to the PVV Group that export licences are granted in accordance with the criteria of the Arms Exports Act, which reduces the risk of diversion. On 16 and 17 April there will be a major conference on cybersecurity in the Netherlands. It's about three things: free internet, secure internet and cyber warfare. The Secretary of Defense will go into more detail. We are very active to see what we can do to define some problems surrounding cyber warfare. This is about the attribution problem: can you indicate who is attacking you? Another question is when the Article 5 procedure will enter into force. We already have problems with this in the Baltic States, let alone in the event of a cyber attack. We are trying, without naivety, to establish some sort of arms control regime at the conference. There are also a number of leads to tackle that problem. I'm almost through, Mr. Chairman. I am sure that a lot of spokesmen will say: you have not answered the questions well enough. I can give a lot of examples of the integrated approach, both in Mali, Syria and Iraq. I tried to do that, too. That includes the resources for development cooperation. As the Chamber knows, the Dutch Government is very actively engaged in the discussion on TTIP, which has been going on for a long time, also within the WTO, to achieve a protection of public interests in balance with the opportunities for investors to achieve their rights. That's gotta be balanced. It cannot be the case that companies are undermining certain standards that are national sovereign by national parliaments. That's the big debate. The Netherlands, in particular the Minister for Foreign Trade and Development Cooperation, has made a number of proposals for this. The European Commission has repeatedly ensured that the EU remains in a position to maintain its high-quality social model. This maintains the EU's high level of protection. This is independent of the strategic importance which the Dutch Government attaches to achieving it because it does not want international standards to be determined by others, namely in China or elsewhere. So we must also be strategically engaged in these trade agreements in order to ensure that we get there properly. I also raised the issue of Guantánamo Bay in the European Union. The Senate report on CIA interrogation practices in the period 2001-2009 is very serious; let there be no misunderstanding about that. The practices described are contrary to international human rights standards. During this period, the Netherlands has repeatedly appealed to the US Government. We are doing so now, and we have done so as a result of that report. Disclosure of the report is a positive element in that context, as is the capacity for critical self-examination. We are now, of course, examining whether this also leads to criminal follow-up actions in the United States.
ParlaMint-NL_2015-03-24-eerstekamer-8.u37	Has the Netherlands received a request from the United States to take over prisoners or place them somewhere?
ParlaMint-NL_2015-03-24-eerstekamer-8.u38	Yes, the Netherlands received that request. We're talking about two inmates. We still have it under consideration. Mr. Chairman. I will deal with two more points in 30 seconds, with apologies to Mr Van Kappen, a great strategic thinker of the VVD Group. He talked about the Pacific Ocean and the Indian Ocean. You'd almost think the Netherlands would forget that. There is so much going on there when it comes to militarisation, lack of security political integration, economic interests and how to deal with them according to the rules of the former Prime Minister. The Dutch Government is working on this very strategically. We could talk about this separately. Recently I visited Japan and Korea. The Prime Minister is going to China tonight. Of course, such a visit is about economics and trade, but certainly not alone. Such a visit is also about the change in the constitution in Japan, about what the umbrella of the Americans means and about whether there are opportunities to reduce mistrust. We are actually talking about confidence building measures and the first step taken, fortunately, by the Foreign Ministers of South Korea, Japan and China in order to move forward. There is much more to be said about it and I know the very limitedness of this answer, but I cannot add much more to it at this time, given the time. I'm here to talk about hybrid warfare. NATO is in the process of strategically deploying it. Two weeks ago, I visited the Secretary-General, precisely because I am concerned about the security regime in Europe, about what is happening to the Russians and the various sounds you hear about it and about the lack of clarity, at least in public perception. Part of this is that NATO is preparing for a doctrine, a concept that is also feasible in the field of hybrid warfare. The last point concerns internal and external security. Let there be no misunderstanding that it is seen by the Dutch Government as a whole. I agree with the VVD Group's theorem that there is this intertwinedness. Our national and international security strategies are also very closely interdepartmentally aligned. That is not the question of whether you should set up a national security council, because there are quite a few drawbacks. Against the background of recent developments in the field of the relationship between internal and external, we set up a new ministerial committee in February: the Ministerial Committee on Security. It focuses precisely on the current threat in the interface between national and international security. It meets every week and is chaired by the Prime Minister. Participants are also the Deputy Prime Minister, Foreign Ministers, Defence Ministers, V and J and BZK, as well as the heads of various intelligence services and the Chief of Staff of the National Police. In addition, the Council of Intelligence and Security Services, also a sub-committee of the Council of Ministers, will remain in existence. It is also chaired by the Prime Minister and includes the ministers most concerned. Our commitment to international security is also being integrated by the Cabinet, both in its decision-making and in the implementation of international security policies. The Ministers for Defence, Development and Foreign Affairs and V and J are directly involved. We also make sure that our approach to international problems that can touch the Netherlands is multidimensional. A good example of this is our commitment in Mali. In short, I think that the coordination mechanisms have been dealt with quite considerably by the Dutch Government. I'm not worried about that. In any case, I have the impression from my responsibility that we do not need additional coordination forums, but always have sufficient capacity.
ParlaMint-NL_2015-03-24-eerstekamer-8.u39	Mr. Chairman. I think I can keep it a little shorter as the Foreign Minister has already addressed a number of issues in detail. I won't repeat it. He has been clear about the situation on both the east and south flanks of the European Union and NATO territory. This situation has clearly deteriorated considerably. It does indeed appear that the instability and insecurity surrounding us will be of longer duration. The threat is very diverse, as many members have already outlined. We are obliged, not only in the Netherlands, but in the EU, in NATO and in the coalition context, to deal with major threats and risks in several places at once, both far away and closer to home. The Minister for Foreign Affairs has also discussed the interrelated nature of internal and external security. I don't think anyone's gonna question that anymore. The cabinet is therefore constantly forced to consider whether additional measures are needed and whether the various security players in the Netherlands can reasonably do what is expected of them, also in relation to the available resources. No one will have noticed that the cabinet recently decided to strengthen, for example, the intelligence services, but also the police, the Royal Marechaussee and a number of other things, precisely in relation to the intertwining of internal and external security. We will continue to do so because ultimately our freedom and security have a certain price. I think it's very worth paying that price, too, because it's kind of a big deal. In response to the Kuiper motion of the First Chamber, but also in response to the Van der Staaij motion from the other side, we are looking at how we are going to increase that, especially for the Dutch armed forces, but also of course specifically for the integrated approach. Mr Koenders said quite clearly: military intervention can always be the case, but preferably if it is embedded in a political strategy. So there too the interdepartmental and integrated approach will be taken again. We're not the only ones looking at how we're decorated for that growing threat and risk. So do the neighbouring countries. Allies and partners are engaged in this discussion. Germany is one of the most important partners for the Dutch armed forces. Last week Germany announced a very clear package of security and defence measures. To be precise, Germany had on 18 March last. decided to increase the defence budget by 2 billion from 33 billion to 35 billion. In doing so, Germany has made it very clear that it wants to adapt to the changing security situation and to implement the commitments made at the NATO summit in Wales in September. The German decision also talks very specifically about the situation on the east side of Europe, but also certainly on the south side. The fight against ISIS is also explicitly mentioned as a reason. In short, Germany is sending out a clear signal. Other countries do, too. I sincerely hope that the Netherlands too will be able to give a clear answer to the Kuiper motion and the Van der Staaij motion. I am right in saying that the German armed forces, and this also applies to the Dutch armed forces, have faced real problems in recent years with regard to readiness and perseverance. The details of the decision will be further developed, as the budget debate will follow in the autumn, as in the Netherlands. However, this 2 billion will mainly be used to increase the human and material readiness and support of the armed forces. In short, no exciting wish lists, as I sometimes get across the street for even more aircraft carriers in a manner of speaking, because it is really about readiness and continuity. It is about making the current military units better and more complete and their support. This is a priority not only in Germany but also for me; let me be clear about it. I have just indicated that it is unlikely that the security situation will improve further in the short term. This means that we cannot ignore today's reality. In fact, we will have to respond to that and that is what is happening. The Chamber has received several letters from me concerning the deployment of the Dutch armed forces. I hope that I have made it clear that the changed security situation really requires something from the readiness, preparedness, employability and the continued capacity of the Dutch armed forces. At the moment, they are clearly subject to restrictions. We shouldn't be too complicated about that either. However, we must continue to name the problems. These are also NATO's main criticisms of the Netherlands. We can't walk away from that either. I should like to comment on the NATO summit. Of course, the Chamber has also been informed about this. I would like to say that we agreed there that the trend of falling defence expenditure will have to be reversed. Non-members who spend less than 2% of GDP on defence defence and that is the case with the Netherlands have expressed their intention to halt the decline in that expenditure and to try to increase expenditure in real amounts as the economy grows. I attach great importance to this agreement. That really is an obligation to achieve results. In addition, we have agreed to make more of an effort, in response to Mr Van Kappen, that we will do our best over the next ten years to move defence expenditure towards that 2% of GDP. Mr Van Kappen and others indicated that the 2% standard should not become an end in itself. I very much agree with that. We shouldn't want that. In the end, there are many more things to be done. At the same time, it is now clear that the Netherlands is really dangling at the bottom with 1.15% of GDP. And then the pensions and waiting fees are still in there. If we subtract it, it's 0.8%. That is bad news, especially when you realise that the average of European NATO countries is 1.6%. Again, even then, the norm is not an end in itself, but it does say something about what the Netherlands has done over the past two decades, namely disproportionate cuts in the Defence budget. Especially in relation to the importance of the Netherlands in a stable international environment, that says something. So that standard is not an end in itself, but I take it seriously. The Netherlands is a member of NATO, the EU and the UN. The Netherlands is also expected to make a serious contribution, also in military terms. And yes, it should preferably be embedded in a global strategy.
ParlaMint-NL_2015-03-24-eerstekamer-8.u40	In the first term, some spokesmen also paid attention to this. What does this mean for your commitment to the Trêveszaal when it comes to the 2016 or 2017 budget? Would you give us a look at that, or would you also make it depend on what you get from the political arena? However, it is relevant to determine the playing field and to leave those goalposts in place and not to reschedule every year.
ParlaMint-NL_2015-03-24-eerstekamer-8.u41	I cannot publicly repeat what is said in the Trêveszaal, because there is a degree of confidentiality there. I can say, and I said this recently in the House of Representatives, that when I took office I quickly found out that the resources available were disproportionate to the level of ambition. The ambition level of the Dutch armed forces has been constantly revised downwards in recent years. I, too, had to change that level of ambition further downwards. At that time, encouraged by the General Court, the Ministry of Finance, this Chamber and the other side, I said that this could not continue. We have always been confronted with new budgetary problems and risks which suddenly seemed to manifest themselves, which perhaps should have been known much earlier. When we really put financial order in place, with a new system in business operations, another way of budgeting, life cycle costs and templates that were worked out. That's not a one-day exercise. For the past two years, the department has been very busy with that. We are also constantly getting audits from the General Court of Auditors, by the audit services. We are now at a stage where I have more than ever seen budgetary problems from the past and risks that used to be less visible. I can't ignore them anymore. My main message to the Chamber and to my colleagues from the Cabinet is therefore in fact the following. We are now putting financial order on business, and there are things that I cannot ignore. But please do not allow this to lead to the reinvestment of measures in the organisation, as that would be detrimental to the employability, preparedness and perseverance of the armed forces, which are already under so much pressure. I'd like to share that message publicly with the Chamber.
ParlaMint-NL_2015-03-24-eerstekamer-8.u42	I would like to ask the Minister for Defence once again what she thinks of the Danish plan in which it was agreed that a fixed flow of money for defence will be committed for five years and that it will not be used in those five years. Only then can you plan.
ParlaMint-NL_2015-03-24-eerstekamer-8.u43	I very much agree with that. I do not know whether we should follow the Danish example, because there are a few hooks and eyes to that. What Mr Van Kappen is actually saying, at least that's how I understand him, is: try to come up with a multiannual perspective and make sure that plans can actually be implemented; make sure that plans are not taken up and then smothered again, because that has happened a little in recent years. We did indeed have reorganisation on reorganisation, job assignment, austerity on austerity. We also had rapidly falling Cabinets and new incoming Cabinets. In every new cabinet you also had to do with some kind of exchange rate change. That makes sense, because each cabinet wants to make its own mark on it. At the same time, that's almost devastating for an organization like Defense. Units weren't canceled yesterday, and they're ready for tomorrow. It takes time for things to fly, sail and drive. If that lasts long enough, it will have a huge impact on the organization. I have discussed this with the Chamber on several occasions, including in committee last November. It is undoubtedly true that the changing rates that Defence faced at a rapid pace have not done the organisation any good. Defence, perhaps more than any department, needs a multi-annual perspective, also because I heard that again in the first term, we are supposed to be getting more and more international. This applies both to the integration of units and to the acquisition of certain weapon systems. If you do that, internationally, you have to be a reliable partner. If you say "A," you can't say "B" again in two years' time with a new cabinet. This would show you to be completely unreliable and put a bomb under that far-reaching international cooperation, in particular European cooperation. I am very much in favour of that multi-annual perspective that you are advocating, but that is not easy, I say right away.
ParlaMint-NL_2015-03-24-eerstekamer-8.u44	I would like to point out that the Minister of Defence is going to make an effort to get such a fixed period for the defence budget.
ParlaMint-NL_2015-03-24-eerstekamer-8.u45	I make every effort to ensure that the housekeeping book is in order and stays in order. This also means a guaranteed price adjustment, because it also undermines everything in an organisation like Defence. I am certainly working for a multiannual perspective. I'm not saying I'm pulling it all in at once, that's another story, but I'm doing my best.
ParlaMint-NL_2015-03-24-eerstekamer-8.u46	It is to be commended that the Minister stands before her department as a trade minister, but for the sake of clarity: another government is free to decide what it wants. The minister says she's going to do her best to get 2% of GDP. I wrote down that she said that, but maybe she didn't say that. It is good that the Minister is on her case, but let us maintain that a next government, which my party would like to be a part of, does not yet feel bound by. It is nice and good to set out multiannual perspectives, but I also think it is a little overdone to say that the defence sector has specific problems with this, because that also applies to the police, public housing and public health. We should strive for multiannual perspectives everywhere, but for the time being this Parliament is stuck with the budget that we have adopted and not with any more.
ParlaMint-NL_2015-03-24-eerstekamer-8.u47	That's exactly why I told Mr Van Kappen that I don't think I'm pulling it all in at once. I understand Mr Kox's point very well. Apart from being a minister in this department, I would like to outline the importance of a multi-annual perspective for an organisation such as Defence. No other department, not even the police, has frigates, heavy weapons systems, fighter planes, which will participate in the coming decades and have to be purchased internationally. That's what's going on right now. Then there are really other demands on the defence budget compared to the budget for housing, for example. I am trying to outline that it is a different dynamic, especially if we want to give this international cooperation further a step forward.
ParlaMint-NL_2015-03-24-eerstekamer-8.u48	I would like to suggest something to the rulers and perhaps also to all colleagues, because this affects something much more fundamental. It affects a lot of departments. I remember that about 15 years ago we had a director of the Central Planning Office, Mr Zalm, who was very much in favour of working with capital services at a rich level, as do municipalities. Then you can make long-term investment schedules. When he became Minister of Finance, I did not hear him again, because that immediately affects the influence of the Minister of Finance. I do not want to trivialize it, because what you have deleted does not come back, but this calls for a fundamental debate on how we manage expectations, transitions and adjustments at a rich level. That could be an interesting debate. I would say: take that suggestion with you to Mr Dijsselbloem. We could talk in another setting, in a policy debate with the Minister of Finance, about how, in the longer term, we will be governed by changing coalitions, which we have in this country, becoming more financially reliable in implementation.
