ParlaMint-NL_2015-05-19-eerstekamer-9.u1	I have already welcomed the Minister for Economic Affairs.
ParlaMint-NL_2015-05-19-eerstekamer-9.u31	Nor is it intended to shorten your speaking time, but we happen to have a very difficult agenda today.
ParlaMint-NL_2015-05-19-eerstekamer-9.u32	I will try to answer the questions very quickly and very briefly. Ms. King asked about the concept of "good quality" of the UPD. This concept is enshrined in the law and in the 2009 Postal Decree, which lays down what the UPD must comply with. If they are met, they are "good quality." Mrs Koning's question was whether we can say that there is no need for other companies to contribute to losses on the UPD, the deletion of Articles 30 and 31, and whether we can exclude the Labour Party and also GroenLinks do not want to rule out at all the possibility that in future other companies will have to contribute to a loss-making UPD. That's not the approach I've chosen. My approach is that if the government imposes an obligation on a company, the company must be able to run without loss. This is reasonable and in the interests of the company and its employees. It is also in the interest of maintaining the service. It is also in the interests of the other companies which, without being able to do anything about it, face accounts and, as a result, face financing problems. That's all wrong. That is why I think it is very sensible that we and those articles should be deleted and thereby remove the threat to the other companies, and at the same time take measures to prevent any further losses and at the same time monitor whether excessive profits are being made. As I have already indicated, there is the ACM for that. Mrs King asked if I expect the market to remain at the same level for the next ten years. I don't have that expectation at all. The postal market will continue to shrink. However, as a result of digital developments, people will buy much more electronically. They buy things over the internet that they then get delivered by a parcel delivery company. One of the large parcel delivery companies in the country is PostNL. Thus, where there is a contraction in letters, there is a growth in packages. Maybe I can also say something right now about the possible cross-financing. Of course, it would not be good if the company PostNL could use the profits made by the UPD for lower rates in the business market. That would not be good, because then they could enter into unfair competition in the business market. It would also not be good if the losses made on the UPD had to be offset from the business market. This means that PostNL is selling itself out of the market on the business market, and that is not good either. We shouldn't get the company into this kind of trouble. That is why we have now kept on the line that one company is required to do so. The company must be able to do so without loss. We will also prevent them from making too much profit. We'll keep an eye out that when calculating the costs to the UPD, no weird things happen. We allow the ACM to keep an eye on that. Mrs King also asked about the introduction of "second-class post," as she called it. Others talked about that, too. Maybe I can try to answer all that together? Mr Reuten suggested two mailboxes: one for the slow mail and the other for the fast mail. That suggestion should also be taken into account in what I promised to the House of Representatives, namely to see how you could shape a two-speed system with two prizes. Mr Reuten's suggestion must be taken into account. We'll do the same. However, I do not expect much of that; I said that in the House of Representatives and I say that again here. I think it is organised in such a way that it only leads to higher costs rather than lower costs. I don't think we're making much progress right now. However, the Lower House has asked to work out how this could be done. In future evaluations, we can see if there is a time when there are reasons to do so. At the moment I do not think we can, but we will work it out and we will involve Mr Reuten's suggestion. I hope Mrs King has received an answer to the questions she has put. I am glad that she assumes that I have it to come up with other solutions for the friction between price and service and our desire to maintain the UPD. I think we've used all the creativity we can. We have enabled the company to do what is necessary to maintain the service at a reasonable level, but also in such a way that the costs remain manageable. The package of measures plus what we have done before combined with the increase in the stamp price, will allow the company to carry out this activity without loss in the coming years. So what we had to do with creativity, we put it in here. We will look into the evaluation and the research that I have promised and which I have just said to Mr Reuten, to see whether new things have emerged and whether new things can be introduced by us. Mr Reuten, in addition to his suggestion, which I have said will be included in the investigation and on which information will be sent to the First Chamber at the end of the year, has indicated that he can imagine that some of PostNL's services go through bookshops. PostNL can see for itself if it does. Some bookshops or companies carrying out bookshop-like activities already act as a post office for PostNL. I can imagine that some bookshops find that also fit in with their business operations. Others create a very different atmosphere in their company and that is not so obvious. However, these are things that we can leave to PostNL itself. Mr Reuten also asked for a fundamental look at the whole system. I have already replied to Mrs King's question about creativity. What we could do, we did in the preparation of this bill. What is even more possible will be considered in the forthcoming study and in the triennial evaluation. However, we must realise that it is not the case that a public service is being lost and broken down here. That's not what's happening. What I believe is happening is that we are doing our best to maintain a public service that is being used less and less. In addition, we have created optimal conditions for the provision of services via the Internet, the digital service that, in the eyes of many users, is better for certain activities and which are also widely used in the Netherlands. We should therefore not describe the situation more gloomy than it is. Mr Terpstra says that he asked one question but that I did not respond to his disappointment. That's exceptional for me. I am used to responding to questions from Mr Terpstra and also to asking him questions and getting answers. I've been doing that since 1994, like he mentioned. For me, Mr Terpstra, this will have been one of our last meetings in Parliament, which has always been an inimitable example. He's always cheerful and friendly. That's something I always try to pursue. If Mr Terpstra is not here anymore, I will have to find someone else to inspire me in that regard. I would like to thank Mr Terpstra very much for the contacts we have had in Parliament for 21 years. Mr Terpstra was not angry that I did not answer his question, because he knows that this was not an evil intention. In particular, he referred to what has been said by Halmark and Sent, namely the monitoring of PostNL's costs. As I have just said, this monitoring is very important. There will be intensive monitoring. The possibilities of ensuring that supervision is effective are optimal. The information required by the ACM is available. The ACM draws conclusions from that. We have given ourselves the opportunity, on the basis of the findings of the ACM, to draw conclusions on our task, to ensure that the regulation remains adequate and that we can maintain this important service as long and as well as possible. Mr Terpstra gave an opinion on the slow post, following Mr De Love's motion, adopted by the House of Representatives. He was expecting it to match mine. We'll see how the investigation works out. In any case, I think it would be wise to consider how the possibility of working at two speeds can best be worked out, partly on the basis of Mr Reuten's suggestion. Then we can keep it in reserve for the moment when it may need to be used. Mr Kuiper also raised a number of questions and comments. The Christian Union was the only political group in the Lower House to abstain from approving this bill. I am glad that Mr Kuiper once again gives me the opportunity to go into a number of points in more detail. Mr Kuiper spoke about further dismantling and abating this form of public service. I hope he has learned that we are doing our best, we as co-legislator but also the company PostNL, to maintain this form of public service. At the same time as processing the effects of customers choosing something else, we have built up another infrastructure in this country that customers are looking for. Both will have to be addressed during this transitional period. I myself believe that the non-digital form of communication in any form, albeit perhaps at a low level, will continue to exist and that there will therefore also need to be some form of infrastructure available for it. That is also my starting point. I'm trying to maintain this. I don't have a time limit for that, but I do in such a way that the company that's burdened with the obligation doesn't have to make a loss. Mr Kuiper also invites me to comment on the liberalisation and negative qualifications he has given to it. I would like to do that, but the President has just spoken so harshly to me that I am going to leave that alone. Mr Kuiper pointed out that much attention must be paid to safeguarding public interests, but that this proposal breathes the old atmosphere. I don't think that's the case. We see what public interest means and what the public wants. We're making sure that what the public at the moment is possible. This applies to both the non-digital and digital forms of communication. In my opinion, both are well arranged and well available to customers in the Netherlands. We're doing our best to keep it that way. Then I come to the pressured returns of the company PostNL. Mr Kuiper wants to hear more about this. What we want to hear is whether the company does not make more than 10% profit. That's where we put the ACM. My slightest concern at the moment is whether PostNL makes more than 10% profit. I am glad that we have now been able to lead it to my impression that the period of losses is over. That's good for PostNL and Sent. I think this is also good for the customers of both companies. Profit distribution to the shareholders was not in question. The company was unable to pay dividends. If that is the case again soon, I am glad. It is good and healthy that a company where money has been invested can make a profit and that those who put the money into it can obtain a reward in the form of dividends. Then I come to the ratio between the increase in the rate and the reduced offer. The reduced supply is the determining factor. In response, there has been an increase in the rate combined with the austerity of services in a responsible manner. That reaction had to come, too. I have just tried to tell you exactly what is happening in the postal market. Mr Kuiper asked whether the Ministry had been called upon by PostNL under Article 30 of the Postal Act. The question is whether it wanted loss compensation. The answer is yes. That question has been put to me as a result of the loss over the year 2011. I have chosen to act in this respect as I have acted. I made it clear that I was going to get rid of that loss and enable the company to eliminate that loss. At the same time I indicated that I also wanted the claim to go off the table, because it was again threatening for Sent. Sent is actually the only real competitor in that area in the postal market for PostNL. I also wanted to keep the company Sent alive. Hence, when PostNL saw how I handled this, namely enabling the company to eliminate the losses, it wanted to translate this into measures relating to the stamp price and measures relating to the mode of service. PostNL subsequently withdrew the request on that basis. After that, the request under Article 30 was no longer there.
ParlaMint-NL_2015-05-19-eerstekamer-9.u33	What would be the problem if the government, which still wants to guarantee the public service in terms of the distribution of the mail and the collection of the mail, were to guarantee itself, for example for the mailbox network? It's a private company that, as the minister says, gets the UPD saddled. This is a business risk. We all know that, but it is the government that must guarantee a public interest. The government could therefore say that the company operating the UPD can count on us guaranteeing a basic infrastructure at least. In this way we are freed from the dynami8ek of now where each time there is talk of phasing out, phasing out and phasing out. What would be the problem if the government were to guarantee itself, perhaps not in terms of money, a compensation for losses incurred, but for maintaining the infrastructure?
ParlaMint-NL_2015-05-19-eerstekamer-9.u34	Take down, take down, take down, take down. Let us not dramatize it. So far nothing has been done about the number of post offices and mailboxes. What is happening now is that we are moving towards a situation where about 1,000 post offices and 10,000 mailboxes remain. This is a situation that we are creating and which I believe is sustainable in the longer term. If the need for postal services continues to fall, there could be a situation in the future where we have to look again at what happens to the losses that are now occurring and what solution needs to be found. Should this solution be that the remaining users pay ever higher amounts and are ultimately acceptable to us or should other solutions be devised? That kind of question, including the one put by Mr Kuiper, should be considered in the three-yearly evaluations. At the moment it seems to me to be the best way to say: the company PostNL believes in it, the company PostNL now has a rate that is not crazy compared to other countries in North-West Europe and it has a service that is still very acceptable in the new situation. The combination with the digital service is also good. I see no reason at the moment to put money into it as a government. In addition, if you did that as a government, you would remove an incentive from the company to ensure cost-efficiency by keeping costs as low and as reasonable as possible. In the present situation, therefore, this is not the case as far as I am concerned. Whether it will ever have to be discussed again in the future can be assessed in the triennial evaluation. I have already answered Mr Kuiper's question as to whether you could allow PostNL to use parcel delivery profits to cover the losses in the postal delivery. I told you, if you do that, you'll intervene in PostNL's competitive position on the parcel market. That is a market in which competition is hard and I do not think it is fair to put a company in a disadvantage. Finally, Mr Kuiper concluded that there was a narrowed economic outlook on our postal system and that he did not like it. I hope that from my answer to the questions put by the spokesmen he has learned that I think it is important that the public service is maintained, that I think we have now created conditions under which this is possible, that the costs for users of that public service are still reasonable at the moment, that there is alternative quality services, which are also widely used, often by the same people, and that I am very willing to reflect all developments in a three-yearly evaluation, which I think is very frequent and to see whether adjustments are needed. I hope that, if he looks at it as a whole, he can come to the conclusion that there is no narrow-mindedness, but that the proposal that has been made here to the Chamber could also obtain the support of the Christian Union Group. Mr. Chairman. Those were my answers to what was put forward by the spokesmen.
ParlaMint-NL_2015-05-19-eerstekamer-9.u35	Thank you. I shall now give the floor to the Chamber for the second term. I ask everyone to confine themselves to the text. Mrs. King.
ParlaMint-NL_2015-05-19-eerstekamer-9.u36	Mr. Chairman. It's always choosing what you're gonna go for. I'll be selective for the sake of time. The minister said that in the past it was really different if you wanted to send a picture of your backyard to family in Australia, for example, and that this is much easier nowadays with the digital instruments. We believe that, in addition to the above-mentioned arguments of the public interest of the UPD, there are two other elements. I have just mentioned them in my contribution: the letter secret, which really applies to the post, which can be questioned in the digital world, but also the pleasure or status of a genuine postal item. Let us hold on to the fact that this has real added value. The Minister has indicated that we may attach a little more creativity to him than is reasonable. He did everything he could to limit the situation of the loss-making organisation he found in 2013. Let it be a compliment that we think he's capable of even more. The future will tell us if it succeeds. We have seen that there has been an attempt to help the former loss-making UPD organization turn to something positive. On behalf of our groups, I would like to point out that we do not want to make 10% of the profits, but we do not want to lose. We thank the Minister for his commitment to include several elements in the review in three years' time and have listened carefully to the arguments about the ACM's control of the cost structure, briefly referred to by me as business case. I would very much like that to continue, but since we want to use the momentum to conclude the debate, I would nevertheless like to table a motion. In this we ask the Minister to submit proposals to us earlier on the three-year evaluation or, if necessary, on what I would like to call a austerity. We also ask him to provide us with any confidential access to the costs and revenues. I'll take the ACM's answers even closer to me. I have heard the answer, but I would like to chew on it, but I can only table a motion now, which is why I am doing so. Well, I guess I'll just leave it at that. The President shall: The following motion is proposed by Members King, Reuten and Fox: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Universal Postal Service (UPD) has carried out austerities in recent years, increased the stamp price and reduced the number of delivery days;]] [[Whereas it is now time to halve the number of mailboxes and postal service points;]] [[Whereas consideration is being given to the possibility of working with two types of stamps in the future;]] [[Whereas such austerities and price changes are argued with a low rate of return on the UPD without providing any insight into the cost and benefit structure and the return of the service in question;]] [[calls on the Government to provide Parliament with access to the above-mentioned cost and benefit building and the UPD's return at the time of the next austerity or, if it is already in place, the review in three years' time, so as to allow discussion on the possible adaptation of universal postal services;]] [[and goes to the order of the day.]] [[She's getting No. kst-34024-G]]
ParlaMint-NL_2015-05-19-eerstekamer-9.u37	Mr. Chairman. Two short dots. I thank the Minister. That was the zero point. Those mailboxes are part of the network. I ask the Minister to maintain this part of the network structure by not removing mailboxes, but by painting some buses blue. Then you keep the network in place. On the blue mailboxes come the announcement that the blue mailboxes are only emptied once a week. This is separate from a possible double tariff structure. My second point is that I do not know whether the Minister has understood my proposal correctly. I am concerned with the design of the current postal network. The current design is via the UPD, so via a quasi-monopolist. I would like to see a creative mind, besides the minister, there are other creative minds outside the existing UPD structure, who began to think about how to set up that network structure. In addition to PostNL, other companies can also use the network structure.
ParlaMint-NL_2015-05-19-eerstekamer-9.u38	Mr. Chairman. After all, it is an interesting debate, in which different approaches become visible. In any case, I am pleased that we are going to carry out evaluations in the long term, with possible different approaches than the Minister is now proposing, although, of course, he has every right to do so, I say with all due respect. The whole approach is based on the idea that we are going to digitize in our communication with each other. In economic reasoning, of course, averages are always used. It will be true on average, but not all citizens will soon have equal access to ordinary postal services as we know it today. If we say that it is the case and that the customer wants something else, then we exclude people who are really dependent on the physical letter traffic. Letters post has multiple functions than simply transferring information from a to b. The letter secret has already been mentioned. There are so many other functions. I miss that dimension in the debate. The ACM is still studying the business case of Post NL. The recitals to the bill make it clear that there is something going on with the return. I believe that, and that is, of course, a dynamic that is inevitable for the company. However, it is somewhat strange that we cannot consider this aspect. We should have the results of the study of the ACM before we talk about these steps. The steps are irreversible. Things are being taken out of the law and there will be General Management Measures. In the future, this will give quite different possibilities for steering. We're not gonna put Articles 30 and 31 back into the law anymore, as someone suggested. So something is really being done. With that, we follow very closely the remaining offer. Should we not react differently from a public point of view? Should we not say that we want to keep a minimum for those citizens for whom it is very important, particularly because of the other functions of postal services, and to maintain the physical network? I think there's a job here for the government. I've asked the Minister about this. After all, public commitment is needed to maintain a basic quality of the network. That's our approach. I don't think it brings us all together. It makes us critical of the proposal. Of course, we want to know everything about this debate, but we would have thought it important if the government had said that the post is a very important provision that needs to be preserved. The Minister has said that he wants to maintain the supply, but we believe that maintaining it requires a greater commitment, such as not taking Articles 30 and 31 out of the law to maintain public postal services.
ParlaMint-NL_2015-05-19-eerstekamer-9.u39	I ask the Minister if he has the opportunity to answer directly. I understand from him that this is possible.
ParlaMint-NL_2015-05-19-eerstekamer-9.u40	Mr. Chairman. I share the view of Mrs King that getting a letter, the letter secret, the pleasure you can have when you receive a physical letter and the status of a physical letter are all aspects that matter. I also share Mr Kuiper's view that there is still an important public service. Therefore, I absolutely intend to maintain that public service. That is what my measures are aimed at. Despite the fact that customers are increasingly opting for something else, we want to maintain the supply. We want the service to be carried out in such a way that the company does not have to put money on it. This is, after all, a condition for maintaining the service: if you let a company do something that only makes a loss, it will never last for long. We organize it in such a way that the company does not make a loss. We are also ensuring that it cannot make too much profit, although that is not yet the case. Too much profit cannot be made by the company, because we have imposed a legal limit and can immediately correct the next year by lowering the rates. In this way, we are still trying to maintain this important provision. I am not working towards a final model, I am working towards maintaining this for a number of years, and we are looking every three years to see if the circumstances have changed and what measures are reasonable to take to respond to the circumstances. What's important stays in the law. What is also important but needs to be able to change quickly, we are putting into a General Measure of Governance. Moreover, it is a General Measure of Management which is placed before both the Second and the First Chambers, so that both Chambers have the opportunity to express their views on it. I believe that we have found a good mix and that the attitude of Mrs King and Mr Kuiper on Post NL and physical post is no different from my attitude. I also think it is important to maintain this public service. I think that's what we're doing with this bill. Mrs. King once again mentioned that she wants to have an insight into the business case. She filed a motion on this. I don't like remembering Mrs. King's insight into the business case. It is an important public service, as she says. She's being imposed by law on a company by us. We are taking all kinds of austerity measures with rates going up. Mrs. King says she wants to have an insight into that. I understand that very much. However, I also understand the choice we made at the time. We had two options back then. One was that we would have everything looked at by the Minister, the Second and the First Chamber. The other possibility was that we set up an independent supervisor who could get all the information, and that we said exactly what that independent supervisor should monitor and what he should stick to. That is the way we have fulfilled our responsibility. I wish to stick to the way it is laid down in the law. For that reason, I advise against Mrs. King's motion. I do intend to discuss with the ACM whether we can find a way through a briefing to the First and Second Chamber to provide insight into what is going on, what is the situation and what questions she needs to respond to. In this way, there will be no business confidentiality and competition-sensitive information in places where it should not be, but additional insight will emerge. I will therefore use the ACM to see how I can respond to Mrs King's wishes. Maybe this approach is a reason for her to withdraw or retain the motion. I'd like to leave that to her.
ParlaMint-NL_2015-05-19-eerstekamer-9.u41	Exceptionally, I am attending the debate, but I am not speaking. However, I am aware of some history in the area of the ACM. I hear what Mr King is asking and I actually want to say the opposite. It seems to me very sensible to keep the separation between tasks clear. This has been extensively discussed by the ACM Institution Act. I think it's important that we keep it that way. I was reluctant to speak out, because that will save an explanation of vote next week.
ParlaMint-NL_2015-05-19-eerstekamer-9.u42	Thank you for this interruption. I believe that the interruption should not prevent me from speaking with the ACM about how we can provide additional insight to the Chamber, given the interest of the First Chamber in this subject, given the importance that the First Chamber attaches to this form of public service and with respect for what we have legally laid down and the task that we have given to the ACM. I would like to have that consultation with the ACM anyway.
ParlaMint-NL_2015-05-19-eerstekamer-9.u43	Here's what I understand. Without knowing all the figures, this additional insight will give us a better sense of the impact of the measures if they are proposed. We can also better assess the impact of the measures in the review in three years' time. The lack of insight is precisely what our displeasure is focusing on right now. If you know that there was a loss in the old structure, but you don't know if the proposed measures are going to help enough or not. Too much help, you feel a little out of control. Without having exactly that insight, I do understand that the discussion between the Minister and the ACM can lead to a better feeling. I'm sure I'd like to thank the Minister for that.
ParlaMint-NL_2015-05-19-eerstekamer-9.u44	I want to do it the way Mrs. King says it now. Together with the ACM, if what we have discussed now can be done, I will see what is the best time to do so. That may be possible at the end of the year, if we have the research on those two speeds available, but it may also be possible at the next evaluation. If the volume of the delivered mail falls even further than we expect now or if the profits are larger than we actually thought, then that may also be moments to give that insight to the Chamber. As Mrs King says, we must feel that there is sufficient insight. If there is, we'll share it with the room. If that is possible and if Mrs King is satisfied with it, this motion could perhaps be withdrawn by Mrs King. I'll wait and see. Mrs King does not think that 10% profit should be sought. I don't think so. No loss should be sought. A company must be able to make a reasonable profit on activities so that people who have invested money in that company can receive a reasonable remuneration for that. How high that fee is, I don't know. I note that the law stipulates that this may not exceed 10% of turnover. As long as there's no reason to make changes, that's what I'm focusing on right now. Mr Reuten suggested that PostNL should have the mailboxes painted blue already. I wouldn't want to do that. I think that Mr Reuten's suggestion should be involved in the development of a possible two-speed system. I also think that that two-speed system, two stamps, is not profitable at the moment, so that it has no added value. It's not something we should be deciding on right now. But the House of Representatives has asked for it to be worked out. I should like to take up Mr Reuten's suggestion in this regard. Then we will see, also on the basis of the impact, whether that is something that can be portrayed in the near future. I have no objection in principle to that. If it can contribute to the maintenance of important public services, I am certainly not against this in advance. But I do not have the expectation that it can make a positive contribution at the moment. Mr Reuten thinks that we should let go of our creativity on the evaluation. There is so much going on in the postal market that, if you evaluate once every three years, you also have to look at what alternatives can be devised. I think that's the way it should be. Mr Reuten's suggestion is also included in the evaluation, the first of which is planned after a period of three years. Mr Kuiper stressed the importance of public services. I share that insight. Wouldn't following the shrinking offer, what we're doing right now, have to be different? I think that shrinking offer is a given. The consumer chooses something; he sees different possibilities. If he chooses option B, then possibility A comes into tribulation. If this happens year after year, option A becomes more expensive and there are all kinds of things to be taken into account in order to maintain that possibility at all. I still think it's worth doing that. I think that with the measures that have been taken, we have created this situation, in addition to the measures that have already been taken. As far as more far-reaching decisions are concerned, which are no longer based on the importance of this public service, I do not see how I would go from that other approach. I'll wait for the evaluations to see how the case develops. But now my intention is to maintain it. At PostNL I taste the constant willingness to do so as reasonably as possible, taking into account the interests of all concerned. The difference between Mr Kuiper and I's approaches is not so great, because we both see the importance of this public service and we both intend to maintain it in a reasonable way. As far as I'm concerned, reasonableness also means that you don't impose an obligation on a company to make a loss. The constant loss-making of services calls into question. That's what I don't want.
ParlaMint-NL_2015-05-19-eerstekamer-9.u45	Does one of the Members wish to vote on the bill? That's the case. I propose that we vote next Tuesday on this bill and on the motion.
