ParlaMint-NL_2015-03-11-tweedekamer-6.u1	I would like to welcome the Foreign Minister. I call Mr Taverne, on behalf of the VVD.
ParlaMint-NL_2015-03-11-tweedekamer-6.u39	Mr. Chairman. I would like to thank the Chamber for the questions asked about Protocol 15 amending the ECHR. I share the view of many of the Members, in fact everyone, about the importance of the ECHR. There are different nuances and damages, but I think it is more important than ever at this time to stand for our standards and values that are threatened. I would like to say something about the broader framework in which Protocol 15 was established, so something about the background. I shall then turn to the specific questions raised by Members on the content of the protocol. As the Chamber knows, the ECHR was established a year after the establishment of the Council of Europe, which was a response to the horrors of the Second World War. The ten founding fathers, including France and the United Kingdom, shortly thereafter accompanied by Germany, aimed at a system of human rights, the rule of law and democracy that would be resilient to developments leading to war. The reasons for its creation are still standing. They are, especially in a time of new threats, autocracy in a number of countries and hybrid warfare, not a luxury item. It is a very different situation than after the Second World War, but it is no less relevant. The ECHR is an excellent recognition of the importance of human rights, which, in the final analysis, cannot be entrusted to national Member States alone. The ECHR has therefore been followed up at global level, particularly within the United Nations and on other continents, as the Chamber knows. Under Article 19, the ECHR is the body responsible for ensuring that the parties comply with their obligations if they are negligent. Was the right to complain against a state initially reserved to other states, gradually the individual complaint law developed; hence the large number of cases. Citizens have an independent right to complain against a state if they believe that their rights have been violated under the Treaty. This can only be done after he has done everything he can to get out at national level. There are therefore two important elements: the rights of the individual have become more important and the priority of the nation-state, which is the primary actor for protection, is internationally complementary. Hence the clarification of the principle of subsidiarity. I'll come back to that later. I would also like to draw attention to the individual's right in one of the cases, and I believe that Mr Servaes has dealt with this in relation to transgender. We see this just this week, at a time when we see that there are risks in a number of countries. Since the fall of the Berlin Wall, the geographical scope of the ECHR has expanded dramatically. Because the whole field from Reykjavik to Vladivostok is now governed by the ECHR, there are a number of substantive and organisational challenges that the 47 Member States of the Council of Europe have to face. It is therefore much more than a simple codification of the greatest common denominator of the 47 Member States of the Council of Europe. Right is not made in one day; Mr Omtzigt rightly pointed that out. This will also be reflected in a number of comments I would like to make on the margins of appreciation, which, as the Chamber knows, are very different in different areas. They are actually zero in the right to life, but much larger in a number of socio-economic rights, property rights and so on. I would like to make one more point, which may be important in view of the debate in the Chamber. The Netherlands is bound as a treaty state to comply with the ECHR provisions. This bondage exists regardless of the system of transit. As the Chamber knows, we have a moderate monist system in the Netherlands. The Treaty provisions do not need to be transposed into national law in order to have effect in the national legal order. If a court in a case before it considers that a legal provision in force within the Kingdom is incompatible with any binding provision of the ECHR, that provision shall not apply in that case. Members all know Article 94 of the Constitution. This is the background to the importance of the ECHR, which is essential for the understanding of society for how it works. Something has been said about the importance of support. It is therefore good to say something about the background, why it actually exists and how it has developed, individually and complementary about a much wider scope. As a result, a number of problems have also been encountered. That is why Protocol No. 15, one of the effects of the Brighton Ministerial Conference in 2012. It is in fact in a very long tradition of adapting the ECHR's human-law supervisory system to the demands of time, because that is what this is really about. Mr Omtzigt, Mr Servaes and others pointed out the changes made in history. The last complex system revision was that in 2010 when Protocol No. 14. This led to major innovations in the monitoring system aimed at reducing the exploded workload. The most eye-catching innovation was the single sitting judge. That brings me to the issue of the workload that all Members have asked for. That workload is really a problem, let there be no misunderstanding about it. It really needs to go down, with the big cases out there. The longer that takes, the less people feel that their complaints are being taken seriously. Then you're gonna have a problem with the support. Protocol No 14 introduced the judge sitting alone. That was the most obvious aspect of this innovation, which has halved the number of 160,000 overdue cases to about 80,000. That is far too much, but this is important if we are to see how apparently the protocols can help to increase effectiveness and efficiency. More modest is the yield of a new criterion of admissibility in Protocol No. 14. A case shall not be admissible if it appears that the applicant has not suffered any material disadvantage. Protocol No 15, what we are talking about here, actually wants to go further on that road of No. 14 and wants to do more about that workload. I think that protocol is intended to further reduce the workload. This also depends on the Member States themselves. Repeated complaints can be rehearsed towards the Court because the Member States themselves fail to implement the Court's ruling. I am prepared to point this out again at the ministerial committee, because this workload can be reduced by saying: implement it quickly now, so that we do not get a lot of new complaints. About Protocol No 16 has also been asked a question. I would also like to speed this up, although it is not just about workload and effectiveness. It also covers a number of other aspects relating to advice, for example from the Council of State here in the Netherlands. I will see to it that it comes quickly to the Chamber, I say to Mr Omtzigt. Then the Chamber can also consider to what extent this could also reduce the workload. But that is not the essence of Protocol No. 16. Then I come to the content of the procedural amendments and a number of questions that have been raised, firstly on the basis of the first point, the maximum age limit for judges, which is being changed. Judges shall now act no later than their 70th year. As a result, judges who at the beginning of their term of office are over 61 cannot complete their term. Protocol No 15 focuses on the age at the beginning, under 65 on the day the applications must be submitted to the Parliamentary Assembly. This guarantees that any judge, as Mr De Roon pointed out, can complete the full term, possibly up to his 74th. There are, indeed, very few judges who still become judges at 65, but of course you should not rule that out. Many new judges are needed, which is indeed very important. This measure can also help. It is important that experienced judges should be able to sit longer. A longer term for the court president is a good idea. It may be a little small for a whole new additional protocol, but I think this is an idea to hold on for a while, so that we can look at it in the negotiations on a follow-up protocol with regard to increasing effectiveness. We will bring it in on that occasion. I think that is a good thing. It is not a major change, I say directly, but it does offer advantages over the current system. At present, there is no ban on states proposing too old a candidate. A sensitive concept, but that will no longer be possible. That is the first point of the Protocol on which a number of questions have been asked. The second point is the possibility for the parties to object to referral of a case by a Chamber of the Court, seven judges, to the Grand Chamber, where there are 17 judges. That possibility will be abolished. Under Article 30 of the ECHR, the Court has the possibility to refer a case to the Grand Chamber.................................................................................................................................................................................................................................................... Since this step for the parties means that they lose the chance of a second hearing of their case by the Court, it has so far been possible that they could object to it. That's right. This is no longer possible because of the necessary efficiency. Hence the adjustment. It will make little difference for an individual case, I say to the questioners on this point. The idea is that the Court as a whole can make a better transition. There is an increase in efficiency so that the Court can act more effectively, more efficiently and more quickly. With regard to effectiveness and efficiency, there is still a question of whether, for example, you can steer more money in that direction. That is, of course, always a sensitive issue in times of budget deficit. I believe that Mr Van Nispen has asked for this. Is it possible to move the budget from the Court in Luxembourg to the Court in Strasbourg? The contributions of some countries are even lower than the costs of their judges. This is indeed the case in a number of countries. I must tell you, however, that the issues in Luxembourg and Strasbourg are not comparable either in numbers or in complexity. The budget for Strasbourg itself is sufficient, in the opinion of the cabinet. Contributions are sometimes lower than a judge's salary, but you should also know that a judge is obviously working for the public interest and not for the Member State. We do not believe that the financial problem at the moment is the essence of the ineffective functioning of the Court. The third point concerns the submission of petitions, which is shortened from six months to four months after the last decision in a case. It responds to the accelerated means of communication of the present time. One suggestion was to do that pro forma. I understand that's not possible. We just have to stick to the rules that exist for that, so we can't. I wouldn't mind if I did. It would be an objection if it would lead to people not getting it done in time, which would put them at a disadvantage. The cabinet doesn't have that impression. You should also know that the lawyers involved in these cases are very well aware of this. Indeed, we live in a time of accelerated means of communication, with the Internet and fax, and given that, people must also be able to do so in time. We really think that period is very reasonable. Then I come to the fourth point, which has also been raised by a number of questions: the widening of the threshold of admissibility, not a substantial disadvantage. That is Article 5 of the Protocol, as it was introduced in Protocol No. 14. That threshold was laid down in Protocol No. 14 which proved to be less useful in practice than was desirable. One of those clauses is now being removed. The D66 Group and other members asked a number of questions about this. Could this pose a problem for people who want to file a complaint? One of the clauses is deleted, as has been said. This concerns the prohibition of the use of the admissibility threshold in cases not properly dealt with by a national court. This was actually included at the time when a number of new Member States joined the ECHR, which caused a problem in the risks involved in dealing with cases before a national court. As requested, I should like to make it quite clear here that the remaining clause, in short: human rights require that the matter be dealt with despite the absence of a substantial disadvantage, in order to be able, if necessary, to deal with situations which would otherwise fall within the scope of the clause to be deleted. In my opinion, that statement was requested by Members of Parliament. There is therefore no change in the possibility for people to complain. The extension of the admissibility threshold, 'no substantial disadvantage', has therefore not changed in essence. From a different point of view, the two points which I believe have been most highlighted in today's debate are the changes in the preamble. I shall begin with the question of subsidiarity. That is not an unimportant point, not least in view of the debate that has taken place here in the Chamber. It is a good thing that this has been appointed; that is also what I am saying to the VVD Group. The principle of subsidiarity is an important principle underlying the ECHR, without explicitly mentioning it. It is reflected in several articles, such as Article 1, which lays the responsibility for guaranteeing human rights on the States, Article 13, which obliges States to create effective national remedies for anyone who believes that their human rights have been violated, and Article 35, which requires applicants to first exhaust national remedies before turning to the ECHR. It is important that this anchoring was established with Protocol No. 15. Now I come to the point of the doctrine of margin of appreciation. That point has received the greatest attention, because it has led to debates in this Chamber. I believe that a motion by Mr Omtzigt and Mr Çörüz was tabled a few years ago; I was not here at the time, but I understood that from the notes I saw. Of course, there was also the Franken motion in the First Chamber, which you could say went very much the other way. This does not, of course, make it easier for the government to operate internationally, because of course we want to base ourselves on the views of our Chambers on international treaties. However, I think that we have actually come out well, if I may say so. If I listen carefully to the Members of the Chamber, I also think they actually agree. They have said that the doctrine of margin of appreciation has been developed in the case law of the Court itself. You could say that doctrine is, in that sense, a right of justice. It is indeed something on which politics must have all kinds of views directly in the sense of influencing the courts. Nevertheless, it is important that this is codified. Many Members of Parliament have rightly said so. I also think that the Court is applying the ECHR as a living instrument. That's important. The example of the transgenders was mentioned, but there are many other examples. "Living instrument" means that it must be relevant at present and cannot be interpreted solely on the basis of the intentions of the authors in 1950. According to the Court, the margin of appreciation may vary according to the human rights at issue and the specific situation. The MPs themselves have mentioned a number of examples. Of course, there may be differences of opinion about that. For example, in cases of the right to life, torture and inhuman or degrading treatment, the Court considers that the margin of appreciation is totally lacking, but may be much wider in cases such as freedom of expression or freedom of association and assembly, and even very wide in moral and socio-economic issues. Codifying important doctrines developed in case law leads to increased transparency and accessibility to the ECHR. I think this is important. Now I have been asked: would you at the time of ratification of Protocol No. 15 the extent of the margin of appreciation. I don't think so. I think the essence is that this is laid down in the protocol. In that sense, it has been codified. This is important for all kinds of reasons which Members have appointed in different nuances. The scope is therefore still important, but it is an scope that is further defined by the Court. The Dutch Government does not therefore want to comment on whether that should be a larger or a less large margin of appreciation. We don't want to do that, because we can't do that either. Countries cannot easily influence this, simply because it is, of course, a whole of 47 countries. That's where the point is. There is no question of a single government that could influence the Court if such a government would want to, which of course is not the case. Nevertheless, I think a number of points are important. Mr Taverne mentioned the point of de facto erga omnes. I think that is an important point. I do not quite know whether I agree with him when he says that there is a contradiction between that concept and what is actually laid down in the Protocol. Mr Taverne knows that under Article 46.1 of the ECHR Member States are obliged to implement judgments of the Court to which they are party. There is no such provision in relation to judgments against other countries. So formally there is no effect erga omnes. However, if a state were to be guided by this, which is, of course, the practice, and thus ignore judgments against other countries on relevant questions of law, it would obviously be possible to wait for citizens from such a country to report to the Court of Justice. I think that is where Mr Taverne is concerned too. I think that there is a responsibility of national governments on this point. In fact, the responsibility of the joint Member States for maintaining the system should already prevent people from all kinds of other Member States from doing so. This does not, however, mean that, for example, the Dutch State is bound to and is party to the enforcement of judgments in relation to complaints against other countries. I think that's important. Mr Taverne asked to look at the de facto "erga omnes" effect of judgments of the Court in relation to the margin of appreciation. So I think this is actually happening in practice. If a ruling by the Court against another country implies a certain margin of appreciation, I believe that this will give more room for Member States not directly concerned to draw up their own plans. That does not alter the fact that de facto "erga omnes" effect of judgments of the Court is not an external disaster. It is something that is naturally developed on the basis of a judge's ruling following interpretation of case law in 47 countries. It means nothing other than that, in the event of a judgment against another Member State, Member States must faithfully check whether they themselves should take this decision. So you could say there's a margin there too. If they fail to do so, they will not act literally in violation of the ECHR, but will provoke new petitions to the Court. The enormous workload of the Court alone is sufficient reason to look seriously at the possible consequences of judgments against other countries. I really think that's the point. The core is effectiveness and efficiency. Then it is wise that you look at this point in time. What does a verdict to another country mean to us? However, it doesn't mean that you are literally bound by such a statement and should give effect to lock, stock and barrel, without any interpretation from, for example, the Dutch State. There is indeed a responsibility for the Netherlands too. A question has also been asked about the Storimans case.
ParlaMint-NL_2015-03-11-tweedekamer-6.u40	Now that the Minister is moving on to another subject, the next point is still to be made. Listening to him well, I understand the reasoning that there is a certain margin when in this case the Netherlands chooses to implement a ruling against another country in one way or another.
ParlaMint-NL_2015-03-11-tweedekamer-6.u41	And your question is?
ParlaMint-NL_2015-03-11-tweedekamer-6.u42	I agree with the Minister, and that is why I raised this point with our Dutch Minister. Is he prepared to ensure that there is no overenthusiasm there, or is he actually given the opportunity to take account of the Dutch circumstances? Some critics sometimes argue that things may be a little too fast.
ParlaMint-NL_2015-03-11-tweedekamer-6.u43	The Minister.
ParlaMint-NL_2015-03-11-tweedekamer-6.u44	I think that's another point. If you're talking about critics, I can say that, of course, I don't know which critics are involved. There are many possible criticisms of the ECHR at the moment. The British criticism partly focuses on a completely different matter, in which the Dutch government is very different. At this point, we need to be very precise. There is a ruling by the Court on a particular country, and that is where it ends. Then, of course, it is up to the Dutch Government to look at the whole of those statements. The Dutch Government has understood, on the basis of that judgment of the Court, that there is a point here. Of course, there is a margin for the Dutch government to consider, what that ruling would mean for any complaints from Dutch society. But there is also a question of effectiveness. That's the other part of what we're discussing today. If you do not do that at all, you can count on many citizens in the Netherlands going to the European courts.
ParlaMint-NL_2015-03-11-tweedekamer-6.u45	Finally, Mr Taverne.
ParlaMint-NL_2015-03-11-tweedekamer-6.u46	Back to another part that is directly related to this. I'd like the Minister to submit it anyway. I would like to introduce it precisely, Mr President, otherwise I cannot ask the question properly.
ParlaMint-NL_2015-03-11-tweedekamer-6.u47	Short.
ParlaMint-NL_2015-03-11-tweedekamer-6.u48	That's tricky, but I'll do it as short as I can. The Minister states that there is no reason in itself to argue for a wider or narrower margin of appreciation, because it is an instrument of justice and because of course we do not want to act in its independence. Prior to that, the Minister is right to say that it is a means of bringing about well-worded justice, so that we should leave it to the courts for that reason. At the same time, it denies that this right of justice is indeed based on a treaty which was at least approved by this house in the 1950s. The reasoning that you shouldn't really find any of that anymore...
ParlaMint-NL_2015-03-11-tweedekamer-6.u49	This can't be happening.
ParlaMint-NL_2015-03-11-tweedekamer-6.u50	... is a bit at odds with democratic legitimacy, because then, since the right to justice is on something that has ever been agreed, you can't find any of it. If you think of it, there's nothing you can do about it. Does the Minister agree with me?
ParlaMint-NL_2015-03-11-tweedekamer-6.u51	Well, for starters, it's okay to find something. I don't think there's any problem there. You can have views about it and there are all kinds of ways to reform international law, to have ideas about it and to put forward proposals for it. The Netherlands can do the same. However, we must be very strict in this regard, on behalf of the Dutch Government, I am quite fundamental in the matter of the separation of powers and the clear relationship between the Constitution and international law. We therefore believe that it is a good position for this to be codified. You could say that this is a general direction for the judges: something has been codified that you have developed. This is, let there be no misunderstanding, considered important by the Member States. But at the same time we are not going to interfere with the scope, because there are other means for that.
ParlaMint-NL_2015-03-11-tweedekamer-6.u52	I suggest you continue with the outstanding questions.
ParlaMint-NL_2015-03-11-tweedekamer-6.u53	The Storimans case is a huge frustration, also for the Dutch government. I do not see Mr Omtzigt for a moment, but I would like to say that the Dutch Government has requested to intervene as a third party, because Storimans is a Dutch citizen. That permission has been obtained. This also shows the possibilities for a country to interfere with what is happening in Strasbourg. Waiting for the specific time limit for the Court to be lodged. The case awaits treatment because there is an interstate complaint between Georgia and Russia. We may regret that or not, but that state complaint must be resolved before this matter can proceed. I say to Mr Omtzig that we naturally consider this important, not only because it concerns a Dutch citizen, but also because it concerns the matter itself and the way in which it has gone. However, there is a state complaint between Georgia and Russia and there is nothing I can do about it. That is decided in Strasbourg. I have taken note of the fact that Mr Omtzigt has put questions to the Council of Ministers as a member of the Parliamentary Assembly. I would, of course, like to help to ensure that these questions are answered in good time. I did not go into Mr De Roon's questions very precisely about the lead times. I'll take a closer look at that. For the Dutch Government, every effort is made to reduce the workload through these protocols and follow-up protocols, to increase the effectiveness of the Court and to ensure that it can switch better. If there are even better methods for this, then we will continue to do so. We are, of course, open to suggestions from the Chamber, because although there is now a reduction of 160,000 to 80,000, that is far from enough.
ParlaMint-NL_2015-03-11-tweedekamer-6.u54	I'll take a look around to see if there's a need for a second term. I see Mr Omtzigt, Mr De Roon and Mr Van Nispen. I give the floor to Mr Omtzigt. The order has been changed a little bit, but that's okay.
ParlaMint-NL_2015-03-11-tweedekamer-6.u55	Mr. Chairman. Thank you for the clear answer of the Minister and the interesting interruptions. The VVD Group believes that abortion is covered by the right to live. This will provide interesting rulings from the European Court of Human Rights, because if it were to fall within that framework, those rulings would be totally contrary to the rulings in this case. But that aside. We are waiting for Protocol No. 16 down. I am glad that in due course the government will look at a longer term for the President and perhaps also for the Presidents of the Great and the Small Chamber so that they can have a year or two if it is appropriate that they should sit a little longer. It's a good thing the Minister's taking up the Storimans case. I understand that there are state complaints, but they are a typical example of state complaints that should have been dealt with a long time ago, because they also have a great relevance to what is happening between Russia and Ukraine. The fact that this state complaint has not yet been dealt with shows that this also raises international legal problems. I thank the Minister for promoting the timely response to my questions. He may have noticed that my previous questions were not answered at all there. It's possible. This is not a custom that we should adopt from Strasbourg. I would like to record something about that. This has nothing to do with the government's response, because that was sufficient. I would like to ask for an address to the House on amnesty and pardon. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considers that there should be no amnesty and pardon for the perpetrators of the attack on the MH17 on 17 July 2014;]] [[calls on the Government to promote the response of the Committee of Ministers of the Council of Europe to these questions within the regular three-month deadline;]] [[calls on the Government to indicate explicitly whether Ukraine and Russia have agreed to the reply,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Omtzigt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33873-6]]
ParlaMint-NL_2015-03-11-tweedekamer-6.u56	Mr. Chairman. I wanted to be helpful in not doing a second term, but I'm not gonna let you get away with it. First of all, the VVD Group would like to thank the Minister for his detailed reply. It is, of course, very important for the Minister to keep a close eye on the subject because he considers it important. We have discussed the margin of appreciation in detail. There are nuance differences in the things that have been said about this. The debate has therefore undoubtedly not ended, even if only because the debate on the rights covered or not will continue. One point the Minister mentioned in his reply was only very brief: the fierce debate in the United Kingdom which I set out as an example. As I pointed out in my first term, it is important. We shouldn't ignore it. This discussion is relevant and is also starting to rage in other countries. I therefore repeat my questions to the Minister as to how he assesses this discussion, what we should take into account in the Netherlands and what we can do to help maintain the support for the ECHR, including in the United Kingdom and other countries where there is great criticism of it.
ParlaMint-NL_2015-03-11-tweedekamer-6.u57	Mr. Chairman. I would like to thank the Minister for his historic consideration and his warm words about the importance of human rights and the European Court of Human Rights. However, we must note that the problem of workload remains. Although it has been halved to 80,000, it is still awfully large. The workload is therefore, and remains, problematic. In reply to my question on the budget, the Minister said that finance is not really the reason for the Court's failure to function. It could be. However, in response to that, it is strange that we are looking at everything except the budget. So we have Protocol No. 14 we now discuss and discuss Protocol No. 15, all procedural cases. I think that's a little too easy. I do not come up with a concrete proposal, nor do I put a bag of money on the table, but I did point out that the Court of Justice of the European Union, which is, of course, a very different Court where very different cases are dealt with than at the ECHR, has five times the budget. We all say here that the importance of the ECHR is particularly great. Then I think that the budget should also be looked at, not just at procedural matters. It is very strange that a judge's salary is higher than a Member State's contribution. So I ask the Minister to look at the budget, not just at the budget, but also at the budget. The government does not expect any problems due to the fact that the deadline for lodging a complaint went from six months to four months. It's possible. My reaction to this is that I do not see sufficient motivation and have seen why the deadline should be so much shorter, whereas despite the use of modern means of communication, it cannot suddenly be two months faster. That's an exaggeration. Finally, I have missed the answer given in the first period to my question on the initiative law of Mr Taverne and its impact on the workload of the ECHR.
ParlaMint-NL_2015-03-11-tweedekamer-6.u58	Mr. Chairman. I would like to thank the Minister for answering the questions. If the ECHR has given an opinion against another State and the Netherlands is then confronted with a similar defence, the Minister considers that it is on the way of the Dutch State to determine whether a margin of appreciation is applicable and, if so, to rely on it. I am very pleased about this. In my opinion, this should apply not only to procedures in Strasbourg but also to national procedures, i.e. to procedures in our own courts where such a defence is held. This means that government officials should look into this when they have to act in such a procedure. So there is a ruling against another country, but is there still a margin of appreciation here? This applies to officials, prosecutors and national judges. Does the Minister agree with me that this should always be looked at carefully and that when one sees space, one should also take that space? Then I come to the question of removing the objection procedure against a reference to the Grand Chamber. From the Minister's reply, I have not yet got a clear picture of the efficiency gains. For example, what is the profit for the lead times of business? What I have quite clearly picked up from the Minister's reply is that if that objection procedure no longer exists, it may happen that just people are deprived of judgment in Strasbourg in the second instance. That's a big good, too. That is what I will discuss with my group. I therefore suspend my judgment on whether or not to approve this bill.
ParlaMint-NL_2015-03-11-tweedekamer-6.u59	Mr Servaes, one short question.
ParlaMint-NL_2015-03-11-tweedekamer-6.u60	Mr De Roon has a very constructive and substantive input into this debate. Does this mean that the PVV Group once again welcomes the ECHR and the European Court as important instruments for international law and international traffic in general?
ParlaMint-NL_2015-03-11-tweedekamer-6.u61	In the introduction to my first term, I have already said that we are not known as a big fan of that treaty and, above all, of a number of judgments of the Court. Let me give two examples. In the 1980s, the interpretation of Article 6 of the European Convention on Human Rights killed the entire administrative dispute section of the Council of State. That was bad, because the lawyers and the lawyers were much more content with the dispute resolution department for the disputes of the board than with what the justice department could achieve for their cases. I therefore note that the Dutch interest has been significantly damaged, as far as we can estimate. My second and final example is the question of people coming here from another country being able to lock their entire family into the country for a long time. All this is done by appealing to the European Convention on Human Rights. In the view of the PVV, this means that we are not really in charge of our own house anymore. We don't decide who comes in here anymore. We think that is a bad thing. We find it unfortunate that the judgment on the precise application of the ECHR is taking place in Strasbourg. That is why we believe that we should withdraw from that treaty and from that court. That does not mean that we distance ourselves from human rights, of course not. However, we believe that this should be determined in the Netherlands.
ParlaMint-NL_2015-03-11-tweedekamer-6.u62	That was a short question, with a very long answer.
ParlaMint-NL_2015-03-11-tweedekamer-6.u63	So the answer is no. You still want to get rid of it. For a moment I thought we had everyone back on board, but unfortunately the PVV still leaves the European Court of Justice for what it is.
ParlaMint-NL_2015-03-11-tweedekamer-6.u64	I understand the Minister can answer directly. The Minister has the floor. The Minister can also give a very brief and concise answer.
ParlaMint-NL_2015-03-11-tweedekamer-6.u65	Mr. Chairman. I will do it very briefly. Looking at a longer term for presidents, we will see with colleagues whether the idea of new protocols falls on fertile soil. As far as Georgia's state complaint against Russia is concerned, I feel the same frustration as the Chamber. To the extent that we can do something about it, we will, of course, try to promote rapid progress. The possibilities are limited, however, because they are in the hands of the Court. I sympathize with the Chamber on this point. This is a Dutch citizen who is a victim. The right must therefore be achieved within a reasonable period of time. This also highlights the importance of the protocols in promoting the effectiveness and efficiency of the work. Then I come to the question about the United Kingdom. I always find it difficult to refer to discussions in different countries and to judge them. In the United Kingdom, the question is whether there is too much dominance for the ECHR. Mr Taverne asks what the Dutch Government thinks about this. For us, the ECHR is an important part of our legal system. The Convention and its Protocols contain articles which are binding on all. Mr Taverne will soon agree with me. Citizens can directly rely on those provisions, including in court proceedings. If a court finds that the Dutch legislation or a decision cannot be reconciled with any of these provisions, it must give priority to the ECHR. That is also well known. He can do so by interpreting the Dutch law in accordance with the treaty or, in the extreme, by excluding the law from application. For the record, the ECHR does not have the latter competence. There are quite a few misunderstandings about this in the Netherlands, but I don't think you do. The ECHR merely notes that the application of the rules in a specific case is not or was not compatible with the ECHR. It leaves it to the Member State concerned to take general measures to prevent similar violations in the future. This is an important distinction, which I do not believe will always be sufficiently highlighted in the discussions in the United Kingdom. The government does not intend to amend the Constitution in this respect. The previous government has made this argument in its response to the opinion of the Constitutional Commission. It has therefore taken the view that the State Commission also attaches priority to the importance of the open nature of the Constitution vis-à-vis the international legal order. This is reflected in the system of the passage of international law that you know. We've had an investigation on that before through the WODC. This has been the subject of a study on the implementation of the ECHR and the rulings of the ECHR in national case law in a comparative legal perspective. That investigation was sent to the Chamber by letter dated 16 September 2013. The study concludes that the nature of the constitutional system for the transmission of international law through national case law is much less important for the impact of international law than is often assumed. I believe we get about three statements per year from the ECHR that apply directly to the Netherlands. These may be things that one can think differently about, but I think it is important for the Dutch Government to put it at the top. The Dutch legal order is not limited to the conviction of the government, in the sense that the ECHR is too dominant.
ParlaMint-NL_2015-03-11-tweedekamer-6.u66	Chairman?
ParlaMint-NL_2015-03-11-tweedekamer-6.u67	I'll wait until the Minister answers all the questions. Then you'll have the opportunity.
ParlaMint-NL_2015-03-11-tweedekamer-6.u68	I have a few more questions to answer about money. The point is always that you do it together with other countries according to a certain key, to get the amounts in the direction of the Court and to ensure that it leads to efficiency. There is no option for the Dutch Government; let me say that. If it makes a lot of difference, everyone agrees and if that is the way to increase effectiveness and efficiency, then we should leave that option open. Of course, as a minister, I am always happy when a Member of Parliament comes to say that the international financing of important human rights issues needs to be strengthened. I say to you: at the moment there is no reason for the Dutch Government to promote this, but that option remains open. We can once again talk about it during a budget debate, because it is an important point if it can indeed increase effectiveness and efficiency. I have no opinion of an initiative proposal that I have not yet studied. The government should refrain from doing so. This is, of course, an important debate and I am not going to anticipate it. That would also be very unjust, both constitutionally and out of respect for the interests of the authors and the ideas involved. It is true what Mr De Roon said. It is true that Dutch officials and ministers are involved in a case. Of course, we're going to study that space. That's different than trying to get a room. Of course, that depends on what our vision is. But I agree with Mr De Roon on that point. I now come to the debate on the motion.
ParlaMint-NL_2015-03-11-tweedekamer-6.u69	Before you do that, Mr Taverne has a question.
ParlaMint-NL_2015-03-11-tweedekamer-6.u70	I am going to put my question more precisely in response to the comment on the United Kingdom. What does the Minister think about the support for the ECHR and the judgments of the Court that the Prime Minister of England said about one of those rulings that it made him "physically ill"? And what does he think of the fact that the Prime Minister of England, after the Home Secretary of England, proposes that, if the Court continues to make that kind of ruling against the UK, it should withdraw from the ECHR? Does the Minister have an opinion on that? Can he say what this means for the support and for the obvious appreciation of judgments of the Court?
ParlaMint-NL_2015-03-11-tweedekamer-6.u71	I do not want to interfere in an election campaign in the United Kingdom. It is not for the Dutch Government to judge positions taken by different electoral candidates, one of which is, of course, Prime Minister. I don't think that's appropriate.
ParlaMint-NL_2015-03-11-tweedekamer-6.u72	It's easy for the Minister to ignore that. The first statement was made two years ago by Minister May, shortly thereafter followed by Mr Cameron's statement. There were no elections in the United Kingdom back then. I would therefore like to receive an appreciation from the Minister.
ParlaMint-NL_2015-03-11-tweedekamer-6.u73	I am going to abstain from Mr Taverne on this point. It is not for me to judge the British Prime Minister's views on this...
ParlaMint-NL_2015-03-11-tweedekamer-6.u74	I asked for an appreciation. What does it mean for the support of the ECHR and for judgments of the Court when such a ruling is made? I am not asking for an assessment of the ruling; I am asking what that statement means for the support.
ParlaMint-NL_2015-03-11-tweedekamer-6.u75	That is a different question, and I would like to thank Mr Taverne for his clarification. I do not have an opinion because I do not know. I have no opinion of the acceptance of the ECHR in the Netherlands in relation to a statement by an English Prime Minister. I have the impression that there is broad support in the Netherlands, and I see that again today in the Chamber for the importance of international human rights instruments and the ECHR. This is also reflected in the number of people who consider it important to submit complaints. I believe that we should always look at the margin of appreciation. There are always points around such a debate. For me, that is not, as it is called in good English, "cast in iron." We have an important toolbox. I welcome the fact that this is the subject of debates. They are now being pushed at the sharpest edge of the scabbard in the United Kingdom. I do not think that this in itself is detrimental to the basis of support, because a discussion is always good. However, I do not have an opinion on the support of the ECHR in the Netherlands as a result of a statement by an English politician.
ParlaMint-NL_2015-03-11-tweedekamer-6.u76	I'm a little upset, almost emotional, now that I see that the VVD Group is concerned about the support. I have a question for the Minister. Several groups say in this Chamber that it is a good thing that the ECHR and the European Court of Human Rights are there. However, outside the Chamber, they send articles to the newspaper about judges or politicians in toga to be restricted. Does the Minister consider this to contribute to the support of the ECHR? What does the Minister think does this do with the support?
ParlaMint-NL_2015-03-11-tweedekamer-6.u77	I find that difficult to say too. Honestly, I'm not sure exactly what impact this has on the support base. That's interpreted. As Mr Schouw knows, we live in a time when power over the image is the most important thing, so if I have to say something about it... I have said today what the position of the Dutch Government is. I believe that position is clear. I also have the impression that it can count on the vast majority of the Chamber. In addition, I do not find it a problem to have a political debate within and outside this Chamber on matters that people consider important. I do not think we should stop this. There is a legitimate debate about international treaties and how we deal with each other internationally. I always find that conducive.
