ParlaMint-NL_2015-10-08-tweedekamer-7.u1	I would like to welcome the Minister. He will now respond in the first term.
ParlaMint-NL_2015-10-08-tweedekamer-7.u59	In order to be able to draw those lessons, I have just informed Mrs Hachchi whether, looking back, she believes that the designation should not have been given to the Governor of Aruba. I didn't hear her say that, although it looks like it in this last interruption. I'm very clear. Looking back, I think there was a risk of a systematic breach of Aruba's financial stability. I believe that there has been action within the framework. I say this on the basis of the information provided by the Council of State.
ParlaMint-NL_2015-10-08-tweedekamer-7.u60	The Minister continues.
ParlaMint-NL_2015-10-08-tweedekamer-7.u61	This brings me to another pressing issue, which is also mentioned in the Council of State information, but which I wanted to discuss separately, namely the dispute settlement. The Statute of the Kingdom says there must be one. I think we all agree that there should be a dispute settlement. Ideally, this should be achieved by consensus. That is not certain, by the way. Strictly speaking, a national law can also be adopted unilaterally, at least by a majority in the National Council of Ministers. However, it seems to me that no one will be happy about that. The objective is therefore that it should be done by consensus. However, there was then a dispute about how to do this and there is no dispute settlement to settle this dispute. That is why there has been a stalemate in this area for five years. The contours of the conclusions drawn by the IPKO were extremely useful in this respect. We have also taken this as a starting point for our conversation. We've gone on for the last time until deep into the evening. "We" are then the prime ministers of the three countries and I. We haven't reached an agreement. Then we decided to meet again within three months to try again. Now the case is that two of the three prime ministers are no longer present. Of course, I speak to the prime ministers all on a regular basis, but their heads are not in the first place. Moreover, I understand that it is not yet certain whether the Prime Minister of the largest Caribbean country, Whiteman, will remain Prime Minister. So it doesn't make much sense to go into the route now if we have to talk to someone else about it again in one or two months. I would have liked to have an administrative consultation on this by now, but that has not yet happened. I'll do my best to get this done as soon as possible. Fresh two is of course whether this leads to results. We have discussed this recently in a general discussion, but I shall be speaking here in plenary. It is an important subject. An important question is who would be presented with the disputes. The position of the Dutch Government is that there is actually only one body that has the constitutional anchoring, composition and method of appointment for this and that includes people from different countries, namely the Council of State. However, this proved to be a stumbling block for the other three countries. We have also talked for a long time about what has been discussed by the members of the Interparliamentary Conference, namely the suggestion that in the event of a strict legal interpretation of the Statute there should be a decisive settlement; otherwise it should be a serious opinion. I called the president of the IPKO before the negotiations and asked where I would have to see the limitation of the strict legal interpretation of the Statute. He gave an example of the fact that there had not been any further consultations under the Staff Regulations and that there had been a dispute. I get that. Then it is almost the re-iteration of what is in the Statute. In the negotiations with other countries, however, it appeared to me that they included the whole discussion we were discussing, namely whether Article 43 (2) is up to date. Is this a budget that is out of balance, for example, or is it a violation of integrity in country X? Then you are no longer talking about a strict legal interpretation of the Statute, but about a full profession, a full assessment of the current situation. I would like to be clear about this: the Dutch Government does not think it wise to lay down the decisive powers for this elsewhere, for the reasons I started my speech. When we get to the point, 98% of the costs are borne by the Netherlands. When it comes to whether or not to take financial risks in Aruba, I believe that the National Council of Ministers should be in a position to have a view on this and that this cannot be invested anywhere with decisive powers. So this is also the subject of discussion. I will conclude by emphasising a temporary arrangement, which I have already presented at that time and which I still want to support. That dispute settlement, that state law, must be established, but a lot of water will have to flow through the Rhine before it does. Why not set up a provisional arrangement covering all disputes? In doing so, any dispute in which a country feels disadvantaged by a decision in the National Council of Ministers is submitted to the Council of State for its opinion. This will then have a suspensive effect; the decision-making process will therefore be suspended. That advice is heavy and will be returned to the National Council of Ministers. We can organise such an arrangement next month. That can be done by a simple decision. In the end, the countries have chosen not to do so. I'm sorry to hear that. Their concern is that the National Council of Ministers would take such serious advice on its own. I suggested they give it a try. I expect that this will not be the case, especially if it is a public opinion. It will, of course, play a very important role, because who in the Trêveszaal would like to take a decision which the Council of State says is unlawful? Isn't that what you're actually forcing the National Council of Ministers to take a new decision or reconsider? So it seems to me an interesting arrangement. I would say: let's try it for a year or two; then we can always see if it turns out to be an empty shell. I don't think so.
ParlaMint-NL_2015-10-08-tweedekamer-7.u62	For everyone, it is clear that this dispute settlement needs to be established. We've been through the many discussions and arguments, to a hunger strike. All this has to do with the fact that we haven't arranged how we deal with disputes. Last year we also discussed with the Minister how necessary this dispute settlement is. That was, of course, in the budgetary procedure. And where is this arrangement now? I note, also in view of the Minister's wording, the intermediate position and the signals we are getting from the islands, that we cannot find each other quickly. To get some movement in that, I suggest we use the next instrument. I don't know if it's a solution, but isn't it an idea to give a committee the role of mediator to smooth the folds? That commission will include people who have earned their spurs within the Kingdom, people from both sides of the ocean who know what's going on. It is also a question of whether people are willing to come together. Is there such willingness? I have doubts about that. Is it an idea to use a form of mediation in this way so that progress can be made?
ParlaMint-NL_2015-10-08-tweedekamer-7.u63	Mrs Hachchi mentions this case of an extreme situation, of a hunger strike. If there had been an opportunity to submit an urgent opinion to the Council of State for a serious opinion in this case, this would probably have helped greatly in resolving that situation. So I think it would be useful to do something like that. Mrs. Hachchi is talking about a committee. Honestly, I've been thinking about that, too. I used the word "sherpa's" a year ago. I learned that from the State Department. I said, can't we all point out a sherpa? We did. We've told all the prime ministers to point out to someone you say can do business on your behalf. We did, but it didn't work out. At the end of the day, we sat together with the prime ministers and had to conclude that you really have to take decisions like this, committing your country and jumping over something. The bottlenecks are clear. It is clear on what points we do not agree on yet. So I think another committee is slowing it down even more.
ParlaMint-NL_2015-10-08-tweedekamer-7.u64	It is clear that the countries here must decide and come out together. I am talking about mediaton to at least get the willingness to go a little bit more in the right direction. I can mention a number of names of people who would be suitable for that, but the Minister can also think of them. I would therefore like to consider this idea to the Minister. I am not thinking of a committee that slows things down, but of a committee of people who can come to people to finally get that willingness so that the countries can cut their knots.
ParlaMint-NL_2015-10-08-tweedekamer-7.u65	I'd like to reconsider every good thought. So I'm taking the thought with me. I gotta tell you, my gut is like this. You end up sitting at the table with the four of you trying to come to a conclusion. Then everyone goes back to the grassroots, they come back and then they don't find each other. Mediation is especially necessary if you do not want to look each other in the eye or dare to look at each other or if the communication is not working properly. And that's not where this club hangs people on their own. So I do not know whether there will be a solution with that committee. In the end, it is about the will to do or not to do certain things. Anyway, I'll take the suggestion.
ParlaMint-NL_2015-10-08-tweedekamer-7.u66	We all have that example in mind, which the Minister himself refers to: the hunger strike of the Prime Minister in Aruba. That is a situation that we all want to avoid. We hope this never happens again. I thank the Minister for his commitment. He says, "Let's start with a temporary arrangement." I find it disappointing that this is being held back by the other side, because you can indeed start. But of course the following is possible. If we find ourselves in a situation where there is a need for an indication, which is a great deal of resistance on the other hand, then we can unilaterally decide to submit it to the Council of State in advance for a serious opinion. This possibility can then be assessed in the light of the Statute. We can make that decision ourselves. Isn't that the Minister's freedom?
ParlaMint-NL_2015-10-08-tweedekamer-7.u67	We do have that freedom. Mr Segers and I have spoken on this subject before. I therefore believe that we should make an arrangement for this. I am therefore prepared to do so if we agree with each other. I don't want to do that on an ad hoc basis, because suddenly you're giving the Council of State some kind of arbitration role when he doesn't have one. That would be improper. We can agree that with the four countries. We must then state in black and white how we act when there is a dispute, when a country feels disadvantaged. Then we must also agree on a proper procedure. Then it seems to me that the President of the National Council of Ministers will present it to the Council of State. In doing so, the country itself can provide input to the point where a dispute is experienced, so that there can be no misunderstanding about the objections that a country has. If we agreed on something like this in an orderly manner, I'd be willing to do it. But under those conditions.
ParlaMint-NL_2015-10-08-tweedekamer-7.u68	On the one hand, the countries very much want a dispute settlement. We experienced that in the contacts during the IPKO. We all want that and everyone feels the need. But the tricky thing is that we are dealing at the same time with a prime minister who apparently says that it is not such a priority right now. I find it difficult to deal with these conflicting signals. Even so, we could take a step ourselves. Last year there was also a call here to submit it to the Council of State before we went on to make that designation. I would therefore like to draw the Minister's attention to the possibility of submitting it to the Council of State and launching it as a temporary arrangement.
ParlaMint-NL_2015-10-08-tweedekamer-7.u69	I do not want to put the Prime Ministers of other countries in the mouth that they would not give priority to it. Perhaps I have given reason to say so, but I take that back. I just wanted to say that the Minister of Public Health, Whiteman, was suddenly in the position of Prime Minister. I spoke to him shortly after. Those conversations weren't about this. Maybe it's the top priority for him. There is also talk about whether he is staying there or not. I'm gonna stay out of that right now. This is just my perception of the situation. But I am happy to take the step and record such an arrangement in black and white with each other in the National Council of Ministers. I think that would be a step forward.
ParlaMint-NL_2015-10-08-tweedekamer-7.u70	So the Council of State has now given information on the appointment of the governors. I wonder if the Minister agrees with me that the way in which the Council of State has done this is a very good example of how he can explain to the law what is laid down in the Statute and regulations. Indeed, it goes beyond merely the ongoing consultations, which are also discussed. However, the Council of State may also specify all kinds of other frameworks. I can easily imagine that he can also examine cases in this way, without commenting on whether a budget deficit may be 3% or 5% for example. That is indeed a substantive consideration. The National Council of Ministers must then be prepared to listen to it. I sympathize with the Minister in his offer. I think it's a reasonable proposition. However, you have to come out with four countries. As long as that doesn't happen, you're gonna have to keep moving towards each other with some flexibility. Otherwise, it's never gonna happen. Isn't that why the government is willing to keep moving towards the islands? The principles set out in the IPKO may provide a basis for this. It has already been decided that it is a High College of State and that it must be binding. If the government were to go along with that, we would be a lot closer to the solution.
ParlaMint-NL_2015-10-08-tweedekamer-7.u71	To begin with, I have already said that the principles of the IPKO appeal to me. They also serve as a starting point. I do make a small, constitutional footnote to the word 'decisions': the IPKO does not, of course, bind the countries. Parliamentarians from different countries meet there, but it is the government that represents the country and the parliament that supervises whether the government does so correctly. But it is fine to take those points as a starting point. The other question was what this information from the Council of State says. However, the questions were asked by the House of Representatives. Information was requested by the Lower House at the Council of State. Mrs Hachchi said on this point that the Council of State was given these questions explicitly in connection with specific cases, but that it did not actually make the final weighing. I agree with her. Was it right or wrong to give that lead to the governor? So you can also read it as the inconvenience that arises when you take such a full, substantive test elsewhere. I wouldn't take this as an example anyway, but if you do, you can explain it in two ways. I think this shows that the Council of State is a sensible body, but I think we agree on that.
ParlaMint-NL_2015-10-08-tweedekamer-7.u72	On the contrary, the Court did not ask for a ruling on those cases, but asked questions about general principles and frameworks. That's exactly what the Council of State did. However, it is easy to read in the information that the Council of State is also able to check a case very well on the legal explanation. I hope the Minister shares that trust with me. I think he will, because otherwise he would not have made the proposal that the Council of State should always advise. But how is the minister gonna get out of here? How are we going to find a solution and get the dispute settlement going? By sticking to the government's position alone, we will not reach agreement. Waiting for the islands to move can take a very long time.
ParlaMint-NL_2015-10-08-tweedekamer-7.u73	Of course, I can only speak on behalf of one of the four interlocutors. We were closest to a result by starting what I call an experiment, whereby you agree without a state law that you give the Council of State a major advisory role, with suspensive powers and a public reporting. That could be the beginning of a solution. I think this will have a preventive effect. If the people in the Trêveszaal realise that all these matters are being submitted to the Council of State, which is going to give a public opinion, I think this will provide an incentive to get out of the National Council of Ministers in such a way that the countries can agree. Of course, no one wants the dirty laundry to be hung outside and public opinions are given on it. I therefore believe that the number of referrals will not even be that large. If an opinion is requested and the Council of State quite definitely says 'you cannot do this', then I do not expect the National Council of Ministers to overrule it. I think it is said: then we will have to take a different decision, because this is a very serious opinion. I therefore believe that such an experiment can provide inspiration for a final solution.
ParlaMint-NL_2015-10-08-tweedekamer-7.u74	The Minister continues. From now on, let us not take full account of the interruptions, but come quickly to the question. Then the Minister can answer quickly.
ParlaMint-NL_2015-10-08-tweedekamer-7.u75	I come to the current situation on Saint Martin. Questions have been asked about this, among others by Mr Van Raak. I am, of course, trying to stay away from party politics on the ground. What happened is unusual. I thought it was an invigorating way of doing things. A motion of censure has been adopted against a government that was not present in the debate. I believe that at that time the Prime Minister represented the country at the United Nations. This would be unthinkable in the Dutch context. Three people have turned to the other side and suddenly a year after the elections, the majority have escaped from the government that sits there. Once again, without going into local politics, we have so far been able to find a good way of working with Prime Minister Gumbs, as well as with the incumbent Deputy Prime Minister. It rubs sometimes, but we've always come out. That's the way it should be. In general, it is of course good that there is some continuity at government level. That is the situation now. At Mr Van Raak's question, I say that it is not the case that I have advised the governor not to hold elections. I read that somewhere. I'm not gonna tell you what I'm gonna do with the governor. Two things are settled. Apparently, a motion of censure has been passed. Furthermore, Prime Minister Gumbs and his cabinet have said that they want elections. That request is now on the governor's desk. I have a lot of contact with him. Not every hour, but every day. I have every confidence in the governor's wisdom. That puts me at the end of this block.
ParlaMint-NL_2015-10-08-tweedekamer-7.u76	Is it true that the governor can operate on his own? Or is it the case, from a constitutional point of view, that if a government decides to dissolve the parliament, the governor will have to agree to it, unless he receives a designation, an assignment or a suggestion from the Kingdom Government? The normal course of events is that the parliament is dissolved if the government so requests, unless the governor gets a suggestion from the Kingdom, an indication, not to do so.
ParlaMint-NL_2015-10-08-tweedekamer-7.u77	The latter is something else. In any case, land decrees require the governor to sign or refer the matter to the Crown. In practice, that's the National Council of Ministers. Can the governor move freely? Yeah, but it's within the constitutional framework that's been set for him. The Governor's Rules of Procedure are a state law. Furthermore, I refer to the Statute. I am fully convinced that the governor will move within those frameworks. On previous occasions, I have already noticed that he is keenly aware that his role and position depend entirely on him taking due account of the legal frameworks.
ParlaMint-NL_2015-10-08-tweedekamer-7.u78	I have the governor of Saint Martin very high. That's why I was a little surprised, because it looks like he decided that there wouldn't have to be elections, whereas it would have made more sense if he had forwarded that to the National Council of Ministers. Another question is whether the governor is advised by the Vice-President of the Council of State, the same Council of State that may be asked for an opinion on that whole process in the future. I would find it particularly impure if, at the same time, the Council of State, or members of it, were to act or act as advisor to the governor.
ParlaMint-NL_2015-10-08-tweedekamer-7.u79	On the last point: there is no ban on the use of state councils for people who advise them. That applies to the governor, but it also applies to the Chamber. The Chamber has also recently requested an opinion from the Council of State. It also applies to the cabinet. I'm not aware of anything else, and if I was, I wouldn't be sharing with you who's been talking to who. It is not the case that state councils should not have talks with others in the Kingdom of the Netherlands. As for the first question, no decision has yet been taken by the governor. He's still having conversations. It turns out to me. You could indeed say that there is a stalemate. It was created on the one hand by the fact that three people have moved to the other side of the political spectrum, and on the other hand by the decision taken by the cabinet of Prime Minister Gumbs. He is now speaking to the various parties and will then, I presume, take a decision within the natural framework of state law.
ParlaMint-NL_2015-10-08-tweedekamer-7.u80	There's been some confusion right now. It is not clear whether the ministers are still in office. Is it a real country decision or is it not a country decision? If there is no clarity about the position of ministers, so is the Minister responsible. What is the result of that for the National Council of Ministers? Is she going there or not? Is she part of the National Council of Ministers? It is, of course, a matter of concern with regard to decision-making for the future if someone is sitting who is not a minister.
ParlaMint-NL_2015-10-08-tweedekamer-7.u81	No other ministers have yet been sworn in and there is always a government, so the government that is now there is currently the government of Saint Martin. Article 33 of the State rules states the principle of trust. That is different from that of the Dutch constitution, because it does not know that, but it is laid down in the Sint-Maarten State Order. Indeed, it states that a minister who loses the confidence of the States must resign. However, there is no time limit. In fact, we can see that no new government has yet been set up. At present, ministers, including the Minister with special responsibility, are still in office.
ParlaMint-NL_2015-10-08-tweedekamer-7.u82	There is no doubt about that, and that means that the country decision is a valid country decision. It automatically follows: or sign or forward it to the National Council of Ministers.
ParlaMint-NL_2015-10-08-tweedekamer-7.u83	Then you're just asking me a little too much, namely to step into what the governor is now discussing. I don't want to get in his way, so I'm gonna leave the inferences to the governor of Saint Martin for now. I'm moving on to a complicated and difficult subject, the Isla refinery. That is complicated and difficult, because that refinery causes pollution that can and may have affected residents, possibly with health consequences. There's research that points to that. However, it is also true that the refinery accounts for 5% to 10% of Curaçao's gross national product and that it directly and indirectly involves some 2,000 jobs. So it's not a matter of closing that tent, but rather. No one here is arguing that either. It's a country matter. Public health and the environment are both areas of country-specific concern, but this does not relieve us of the obligation to provide assistance, as provided for in Article 36 of the Statute. We have provided and continue to provide that assistance. I'll mention a few things. With Dutch means, measuring stations have been placed that measure air pollution. An improvement path for the environmental service has been launched. A vision of the future has been drawn up about the refinery, the Ecorys report. TNO has carried out research into the composition of the green substance found. I sent a letter to the Chamber about that. The GGD will carry out measurements by January, which will be made available to the Government of Curaçao. Meanwhile, the government and the entire machinery on Curaçao are not standing still. There is a revised nuisance law permit in draft, which must be offered to the States. Curaçao must decide on the future of the refinery before 2019. The multidisciplinary team led by Werner Wiels is investigating the possibilities for modernising that refinery and is also tasked to see whether a gas terminal can be switched to instead of an oil terminal for energy supply. That would care a lot about the pollution. It is not so important to say that, with a simple intervention, Isla can be brought to the standards that, for example, the refineries in Pernis meet. The information I have previously shared with the Chamber is that if you wanted to bring the refinery all the way to the standard in force in the Netherlands, it would cost between 2 and 3 billion. That is about the gross national product of the country of Curaçao, so that has far-reaching consequences. I have often expressed my concerns about this, inspired by the Chamber. I have constantly offered the government that I would like to do so again in order to provide support and assistance in all ways and to provide expertise to address this problem. My conclusion, however, is that this item is also on the agenda. It's being demonstrated. Recently there was the Stop Isla Now demonstration, with a few hundred people. There have been and are being tried. Action groups are active and debated in the States. It's really a tricky subject, even in the politics of Curaçao, and that's where it belongs. Again, for our part, we will provide all the support that is humanly and reasonably possible.
ParlaMint-NL_2015-10-08-tweedekamer-7.u84	There are casualties. There really are casualties from this pollution. He's deadly. That has actually been the case for 12 years. Something happens occasionally, but it is far from enough to prevent casualties. We have been working on this for a long time. I think there can be two things going on: the government of Curaçao does not want to maintain, because the influence of the refinery is too great, or the government of Curaçao cannot maintain, because it simply does not have the capacity to do so. Of course, it is also possible that it is a combination of both. Is the Minister prepared to examine, within the framework of the Kingdom, whether Curaçao can and wants to see the problem become so big that it needs to be addressed within the framework of the Kingdom?
ParlaMint-NL_2015-10-08-tweedekamer-7.u85	First of all, it is of course interesting that Mr Van Raak now insists on the use of the framework of the Kingdom, while we have just exchanged in the debate that he would like to move towards a looser link. But it is indeed the framework in which we are now sitting. That's right. Mr Van Raak says there are casualties. There's research that suggests that there could be casualties. However, I must also say that I have reported to the Court that a number of carcinogenic substances are not known to come from the refinery. There are other companies where they could also come from. Of course, it does listen closely. We should not be misunderstandings about this. I told you, it's a tough subject. It's extremely annoying for everyone. However, as a Dutch government, I am not going to say, in view of the consequences, financial and staffing, and in the context of state law, that the Netherlands is going to fix this or that the Netherlands is going to intervene and resolve it. That would not be justified and the government of Curaçao is not asking for that at all. On request, however, we are always prepared to provide assistance.
ParlaMint-NL_2015-10-08-tweedekamer-7.u86	We have that responsibility within the Kingdom. Of course, it is not for nothing that the DOD withdraws the soldiers from the neighborhoods where the poison strikes. Go explain that to the people of Curaçao. I believe that after all these years we can conclude that whether the will or knowledge is not with the government of Curaçao, or possibly both. Does the Minister agree with me that, within the Kingdom, if there is such a violation of good governance, of people's health and perhaps human rights, there will also come a time when the Kingdom will be given a responsibility here?
ParlaMint-NL_2015-10-08-tweedekamer-7.u87	Mr Van Raak is right in saying that the Defence Department has examined the situation and that the nuisance and potential health risks are such that their people are better placed to live a little further away. The other people who live there could follow that example. I realize they can't just do that, because not everyone has the money to move. It is another country and it is a free country, where people have freedom of movement. From here we cannot urge people to move to another place in Curaçao. This also applies to the intervention in the Kingdom relations which Mr Van Raak is now advocating. It would mean that I would give a clue to do something drastic there, with budgetary consequences that, according to my assessment, will run into the billions. We should therefore wear them, because you cannot impose them unilaterally and say that people should wear them themselves. I think there is no reason for this, not because I do not think the situation is serious, but because the situation is full on the political agenda. We were just discussing the assessment by the Council of State, which will never get the agreement that there is no redress, because it is fully on the political agenda there. I also think that the Netherlands should not do so, because this can have consequences that are not for the Dutch Government.
ParlaMint-NL_2015-10-08-tweedekamer-7.u88	When I hear the Minister, I feel the temptation to say that there are several measures to be measured in intervention with a clue. I am not going to do that, because the interruption is too costly for that. If the Minister is talking about a thorny issue about the Isla refinery, that is the statement of the day. The problem of the Isla refinery for man and the environment has been a reality for decades. I didn't say in my input that I should always sigh when the Isla comes back on my retina. The Minister is talking about assistance, Article 36, and we are talking about people's health. I would not like to say that Article 43 is intervening, but I find it too easy for this Minister to take it off with: there is a lot of attention to it, Curaçao is working on it and they call if they need help or capacity. I believe that we, as the Kingdom, should be much more important in this regard. I ask the Minister whether he is prepared to look with Curaçao at the solution for this refinery; so not to wait until Curaçao comes up with something, but to participate actively himself.
ParlaMint-NL_2015-10-08-tweedekamer-7.u89	To be precise, human health, like caring for a good environment, is not a kingdom responsibility. A number of tasks have been allocated and this is the primary concern for the government of a country that can be monitored by the States of the country. If the people of the country think that this refinery should be closed down, they can vote for a political party that believes that action should be taken. It's full on the political agenda of Curaçao. I have just said that it is a difficult consideration. On the one hand, there are thousands of jobs in a non-rich country, and on the other hand there are serious environmental damage with possible health consequences. How do you deal with it then? I have just painted that this is on the political agenda in all kinds of ways. It's not like we're making an easy contribution. I am fully prepared to discuss this on any occasion. I recently met the new Prime Minister of Curaçao, who is also Minister of Health, and discussed this with him immediately. We're doing everything we can. However, we are not going to intervene in a country that does not ask for it. They are prepared to accept this assistance, and we are giving it to them.
ParlaMint-NL_2015-10-08-tweedekamer-7.u90	The Minister has used many words for it, but this problem is too big for Curaçao alone. This has to do with employment and the economy and its dependence. From that point of view, knowing what the damage is and knowing that this discussion has been going on for decades, I appeal once again to this Minister. He made a concession six months ago by saying that he is prepared to talk about this, but that is not enough. It is time for the Netherlands to think proactively in the direction of solutions that Curaçao is currently working on. I do not want the Netherlands to wait any longer, but now it is going to interfere in these solutions, because that is what we are all responsible for. We are one Kingdom, and I think the Minister can't help it.
ParlaMint-NL_2015-10-08-tweedekamer-7.u91	I admit it or have already promised it, but we must listen carefully. "Proactive" is fine with me, but "getting involved" sounds like we're saying: get out of the way, we're gonna do it. However, I am constantly prepared to provide all the assistance and assistance that is needed, and I am fully prepared to think about this and raise this point. I pledge to continue with that.
ParlaMint-NL_2015-10-08-tweedekamer-7.u92	Sometimes it helps enormously when the Minister answers questions that have not been asked or approach the problem in a different way, but sometimes it does not. No one has asked the Minister to apply the standards of Pernis and the Netherlands to Curaçao. At least I didn't ask the Minister to do that. No one has asked the Minister to go and buy the filters and to screw them into the installations on Curaçao so as to solve the problem. How are emission standards maintained? I think that's what happens by measuring. If the standards are exceeded, the drivers of these emissions will then be identified. They are informed that they are violating environmental standards and are then asked to adapt their behaviour. If they don't, the company will shut down. In the end, that's the conclusion. We ask the Curaçao government to do exactly that. However, that government does not seem to be prepared to do so. We asked the Minister to check that with the Curaçao government and to discuss it. Why is it not maintained and the company is not registered? If it proves that this is not happening, the question is whether it is not strange that we can intervene in failing to meet the financial standards, but not in failing to meet other standards. If Curaçao does not meet the financial standards, the Kingdom can intervene, but if Curaçao does not meet its own environmental standards, we do not think that will affect the credibility of the administration. These environmental standards are then suddenly an autonomous matter in which the Curaçao administration can proceed. I think that is unjustified and ambiguous.
ParlaMint-NL_2015-10-08-tweedekamer-7.u93	If I hear correctly, Mr Van Laar asks me to check. That's what I'm telling you. So I'll check with the Curaçao government. As far as I've been informed, there are legal proceedings on whether people comply with the law on nuisances. I believe that this case is in its entirety where it belongs, namely with the judiciary in Curaçao. However, let us not argue about this; I will check this and I will send a letter to the Chamber within two months. In that I will show the state of play.
ParlaMint-NL_2015-10-08-tweedekamer-7.u94	I was also talking about the difference between Curaçao and Curaçao that does not meet its own environmental standards. Why is the first one subject of sound administration and not the other? If financial standards are not met, it will affect people, but if environmental standards are not met, it may have even greater consequences for people. Why doesn't this touch on the merits of governance? Dignity of governance doesn't mean that you maintain your own standards in such a way that you don't let your own people suffer from certain activities?
ParlaMint-NL_2015-10-08-tweedekamer-7.u95	Not everything that affects people has become a matter of the Kingdom. I made a commitment. I will ask the government of Curaçao whether it is true that there is not written down where it should be. I will reflect this in a letter to the Chamber and give my own opinion on it.
ParlaMint-NL_2015-10-08-tweedekamer-7.u96	I would like to continue on the last point. If one of the islands does indeed sink through the bottom and if that could have consequences for us, then that affects the guarantee function. Then that's an argument that could possibly lead to a clue. This has no direct impact on our health and our finances. Would it not be a very strong signal if we were as committed on this point as, for example, corruption, crime or inadequate financial management?
ParlaMint-NL_2015-10-08-tweedekamer-7.u97	Mr Segers is actually asking the same question. I would like to point out, however, that the guarantee function does not mean that we can intervene in any situation in which the Netherlands feels that another country is doing something that is not sensible or not safe. Suppose there are unprotected rail crossings somewhere and there are consequences that could also endanger human lives. There are no trains there, by the way. If such a decision has been taken with conviction, if it has been supported by the States and elections over it and if it has been reviewed in a court of law if necessary, it could be a decision on which we say: we would do so differently. But in such a case, we cannot decide from the Binnenhof that we are going to do it differently. I can say, however, that I am fully committed to supporting this issue in a variety of ways. I already promised. I have just added that I will also examine the assessment of the current situation and I will write a letter to the Chamber on this.
ParlaMint-NL_2015-10-08-tweedekamer-7.u98	Here too, we are getting different signals. On the one hand, we would be open to a discussion about this, but on the other hand, we hear that there are hesitations if we really offer assistance and say that we really want to come alongside. Wouldn't it help if the signal was sent here that this is too big for Curaçao? I quote Mrs. Hachchi. This is such a millstone and this has such an impact on health that we want to work with our full weight for this, to really take care of the health of the people there. That signal would be very helpful.
ParlaMint-NL_2015-10-08-tweedekamer-7.u99	These hesitations in Curaçao naturally stem from the fact that we do not wish to interfere in national affairs. They're paying close attention to that. This applies to all countries in the Kingdom. I agree that this is a very big case. That's exactly why it can't be solved. For my part, I will do what I can without bringing that millstone to the Netherlands. That would not fit in with the division of responsibility either.
ParlaMint-NL_2015-10-08-tweedekamer-7.u100	I suggest that the Minister finish his story now, so he handles the last blocks.
ParlaMint-NL_2015-10-08-tweedekamer-7.u101	Mr. Chairman. I can be brief about the block "Venezuela." Mrs Van Toorenburg asked for that. I've been checking up on you. I am aware of the politically unstable situation in the largest neighbouring country in the Kingdom. Potentially, these could lead to large flows of refugees. The current information is that this is not yet the case. There are no long droops of refugees now. That doesn't change the fact that we're keeping a close eye on it. We have contacts with the authorities on Aruba, Curaçao and Bonaire. There are also emergency roadmaps. They can also be used if large flows were to come towards Bonaire. Finally, scenarios have been promised by my colleague Bert Koenders. I should like to refer to that. It's all over the retina.
ParlaMint-NL_2015-10-08-tweedekamer-7.u102	Chairman...
ParlaMint-NL_2015-10-08-tweedekamer-7.u103	I really suggest that the Minister finish his story, because there are still a lot of debates on the agenda tonight. How many pages does the Minister have left?
