ParlaMint-NL_2015-02-10-eerstekamer-6.u1	I have already welcomed the Minister for Economic Affairs. I call Mrs Vos.
ParlaMint-NL_2015-02-10-eerstekamer-6.u48	A number of things are definitely moving in the right direction, as I have said, but there is much more to be gained. Research carried out by the ECN has shown that better and more intensive enforcement can still save 35 petajoules. That's a hell of a lot. So what else is the Minister going to do? The use of more human force, more capacity, can help, but you can also see whether certain measures are still conceivable, perhaps in the fiscal sphere, which, combined with stricter enforcement, can have more results. Let the Minister see what else he can do in that area.
ParlaMint-NL_2015-02-10-eerstekamer-6.u49	As far as enforcement is concerned, I can remove capacity somewhere and then use it in another area. That does mean I'm gonna get rid of that capacity somewhere. Next time I talk to Mrs Vos about dangerous substances and more risky production processes, she tells me that more needs to be done. Then too, I have to remove capacity somewhere else, because I have to ensure that there is sufficient enforcement in all these matters. As far as I am concerned, we have chosen a very good form of cooperation from industry in the MEE and MJA agreements. Where there is a need for improvement, we are working on it. Whatever there is to agree on extra petajoules, I was talking about 9 petajoule, but Mrs Vos on 35 petajoule is also being filled in with measures and then applied to those companies. We are also doing what has been agreed and what needs to be done.
ParlaMint-NL_2015-02-10-eerstekamer-6.u50	The minister calls that 9 petajoule. That sounds a little cryptic, but it's an important thing. In the energy agreement, it was agreed that this would be an additional contribution for large companies. However, I constantly hear that it is not possible to make concrete agreements on this, that the companies do not want it or cannot see it or can't see it. This is precisely where the energy agreement is not going well. How does the Minister feel about that?
ParlaMint-NL_2015-02-10-eerstekamer-6.u51	Let us wait for the outcome. The energy agreement contains 9 petajoule, but that does not mean that these companies are eager to make their contribution to it. Companies have their own priorities and problems, but we keep them to ourselves because we have made a covenant with them. There are arrangements made in that. The companies have also committed themselves to the energy agreement. If we propose to fill this out in this way, they will come up with a reaction and we will talk about it. At some point we have to agree and then it has to be implemented. To see if all this happens properly, we have a committee of assurance and an evaluation. I like to hold on to that. Mrs Vos also addressed that 9 petajoule. I have indicated how we are dealing with this issue in concrete terms. Together with the industry associations, we have established a framework that will enable companies in the various sectors to know what is actually being asked of them. In order to find out whether we have found the right approach towards business, we have had talks with 15 companies, indicated what needs to be done and how we think this could be done. We've had an independent expert review the financial instruments to see if that's good enough. On the basis of our analysis of the financial instruments, the pilot talks and the framework, we will see if we can make the agreements concrete in the near future. I am optimistic about this because we have made these agreements with each other. They are not unilateral obligations. They have voluntarily committed themselves to it. So we have a title to appeal to the companies to comply with these agreements. Mrs Vos also talked about the built environment and what needs to be done about energy saving. She knows that this is the policy field of colleague Blok voor Wonen and Rijksdienst. There are two funds, one for owner/residents and one for landlords. Both funds have 75 million in public funds and 225 million in private money. There's not enough going on with these funds. There are not enough applications and there is not enough money from the fund for the stated purpose. That's gotta be better. We are currently looking at how we can make this more attractive, starting with owner-inhabitants. Instead of asking them for something and putting something complicated on their plate, you have to offer them a solution, so that they know exactly what is being done for them and what will ultimately be the results for them. So it's done in a different way. Solutions are put forward from the construction stage. Consumers are being taken care of. We also have an information campaign. We have also opened energy counters. I think that's how we can get things going. That is also necessary, because we are still very much left behind. A few critical comments have been made on the energy label. That's all fine. I don't like the energy label either. I know we've started it now. It's a provisional energy label. We shall thus have the opportunity to discuss this matter. It could probably be different and better. All this will also be discussed, but at least we have started to do so. Everyone's facing it. We can talk about whether this is a form that needs to be improved and, if so, how. In the end, we must also achieve results through the energy label. It doesn't come naturally; we have to do what we have to do. With the energy label, we have set things in motion in a good way.
ParlaMint-NL_2015-02-10-eerstekamer-6.u52	Mrs Vos, briefly, you also have a second term.
ParlaMint-NL_2015-02-10-eerstekamer-6.u53	I understand, Mr President, that I may be a little too much behind this microphone here. What I find a critical point with regard to the energy label is that the Netherlands is not actually implementing the European directive. It says that for each property sold or rented there must be an energy label that is right at that time. That is mandatory, but the Netherlands does not. There is no obligation and based on the year of construction the label looks like. In view of his responsibility for energy policy as a whole, does the Minister not agree that we should at least comply with the EU directive, but that we should also achieve more results, especially in the housing sector?
ParlaMint-NL_2015-02-10-eerstekamer-6.u54	I find it difficult to talk to Mrs Vos about this. My colleague for Wonen and Rijksdienst manages that file. I know that there has been an exchange of views with the Lower House and the Upper House. I don't know the ins and outs of that discussion. I do not think it is right to try to get on with me now, when my colleague is responsible for that. I have outlined how I approach it in a general sense. You should discuss with my colleague exactly how the directive is being applied in the Netherlands, whether it is acceptable within the European directive and what the consequences are if it is not. Mrs Vos has also asked if we are going to bring the ETS back to life. We are very motivated to do so. The trading system in CO rights is an important system, which we really need to be able to do properly those things that are necessary for the energy transition, to reduce its costs and to share fairly the costs that need to be incurred. The ETS isn't going well. It is one of the most important systems, so fortunately the European Council decided to tighten up the so-called ETS ceiling and introduce a market stability reserve. The cabinet supported that. This means that we are on the right track. We recently informed the House of Representatives about the way in which we intend to improve the ETS. A letter from the Secretary of State of I and M was sent to the House of Representatives. The whole of what we want to achieve, what we have already done and what we are going to do is set out in it. If the First Chamber appreciates that, I'd like to forward a copy of that letter to the First Chamber. However, perhaps the Chamber will be satisfied with what I have just said. Mrs Vos also asked about measures for energy saving in traffic. The National Energy Exploratory shows that savings in the transport sector are increasing. This is mainly due to the European emission requirements and the national incentive in the Netherlands for fuel-efficient cars. The whole package of measures in the field of mobility and transport should be drawn up during the course of this year. It will be provided by the Secretary of State of I and M. The Court will then be able to assess this in the course of this year. In the event of interruption, Mr Reuten mentioned the entry into force of the bill. The only part of the legislative proposal that does not enter into force immediately is the part on which the implementing legislation is based. That's Article 8b. That part will enter into force at the same time as the implementing legislation itself.
ParlaMint-NL_2015-02-10-eerstekamer-6.u55	When does the Minister propose to have that ready?
ParlaMint-NL_2015-02-10-eerstekamer-6.u56	I said that there should be three arrangements. One will be ready in the first quarter and one end of the second quarter. That's what I can say about that.
ParlaMint-NL_2015-02-10-eerstekamer-6.u57	End of the second quarter.
ParlaMint-NL_2015-02-10-eerstekamer-6.u58	Yes.
ParlaMint-NL_2015-02-10-eerstekamer-6.u59	It will be introduced at the end of the second quarter.
ParlaMint-NL_2015-02-10-eerstekamer-6.u60	At the end of the second quarter it is ready and can be introduced.
ParlaMint-NL_2015-02-10-eerstekamer-6.u61	At the end of the second quarter of 2015, was the whole law introduced?
ParlaMint-NL_2015-02-10-eerstekamer-6.u62	Yes. Mr Reuten has already had a discussion with me on the measures to be taken in the context of the National Energy Exploratory. That's what I've been working on. Mr Reuten says that you should not only achieve the objectives, but that you should achieve them very broadly. Let me say that we must do everything we can to achieve the objectives. We set the bar very high for ourselves both in the coalition agreement and in the energy agreement. Our challenge now is to get to it as well. To get over that now is something I don't have in mind right now. Mr Reuten also asked for annual targets to be set and for the Court to be informed annually. I wasn't going to. We made a deal. Each year there will be a National Energy Exploratory. In one year we will include certain subjects and next time we will include other subjects. In the following year we will take up the subject of the previous year again. In the energy agreement, we agreed on evaluation times. I want to maintain everything we now have about information moments and evaluation moments, but I do not want to introduce new ones. I am not prepared to set annual targets and discuss them with the Chamber on an annual basis, in addition to what we are all doing.
ParlaMint-NL_2015-02-10-eerstekamer-6.u63	The Minister is quickly stepping over the energy exploration. I quoted four projections. Does the Minister agree with those four projections? If not, does he have information that the rapporteurs do not have? If so, which one is it? The Minister knows the line?
ParlaMint-NL_2015-02-10-eerstekamer-6.u64	Yes. Those are questions on which I do not, of course, shake the answers out of my sleeve. I can only say in general terms the following about the four forecasts you are talking about. You say that with average economic growth just above 1%, energy consumption will be between -6% and +4%. I can see that we in the Netherlands have succeeded in decoupling economic growth from energy consumption. Our economy is growing, but our energy consumption is not. We have now disconnected that. That was never the case in the past. It was always the case that economic growth had a higher energy consumption. The sum total of all the efforts we have made has broken through. Mr Reuten says that we are not achieving the objectives and calls for energy exploration. I have already gone into it twice, saying that we are achieving the objectives. Mr Reuten says that the extra savings of 100 petajoule will not be made in 2020. We'll see about that. We're doing all kinds of things to make it. The first intermediate objective of 35 petajoule is in sight. We have already outlined agreements and measures to this end. I'm assuming we'll make that deal in the energy agreement. So I am not going to say that I agree with a prognosis which means that that is not the case. Finally, Mr Reuten said that the targets for renewable energy were not met. I have already said that I think we are going to achieve these objectives.
ParlaMint-NL_2015-02-10-eerstekamer-6.u65	I can't accept this. I am not saying this myself, but I quote the rapporteurs of the NEV. I have shown the page references in the footnotes in my text. The rapporteurs say on three points that the objectives are not being met. The minister may have information they don't have. In that case, the Minister here must tell us what information that is, what information he has that the rapporteurs do not have. I would also like to know whether he has shared this conflicting information with the rapporteurs and what has been the reaction of the rapporteurs. This is a clear matter and I think the Minister should be clear on this and clearly inform the Chamber. It's important business. The Minister knows that, too. It's about our planet and our children.
ParlaMint-NL_2015-02-10-eerstekamer-6.u66	Texts with footnotes are beautiful, but this is a debate. I'm told what you're putting forward, and I'm responding to that.
ParlaMint-NL_2015-02-10-eerstekamer-6.u67	I have quoted in my text. I also indicated when I was quoting. If you do not think that is enough, the footnotes can be read in my distributed text so that your officials can find out if they are in fact in the report. However, I can assure you that it is in the report. Minister, you also know it's in the report, because you know that report.
ParlaMint-NL_2015-02-10-eerstekamer-6.u68	I have dealt with both points in substance. Now Mr Reuten is just starting over, as if that did not happen. The objective is 1.5% energy saving, but I tell you that we are going to reach 1.7%. I have said to Mr Van Boxtel, even at the beginning of our discussion, which amounts to 1.5% a year, which we have to get, in petajoule. That amounts to 480 petajoules. We then had the ECN calculate what was agreed in the energy agreement. If you translate that, you're gonna come out of my head and you're gonna come out between 420 and 590. With that 480, we're within that bandwidth. I am therefore saying that we are going to achieve that 1.5% energy saving between 2014 and 2020. That was my reaction. Another point, on which you will now return, is that of 14% by 2020 and 16% by 2023. I have already said that this is a 1% difference for the year 2020. This is because the National Energy Exploratory only takes account of the policy laid down by law, while we also include the planned policy and then, in our view, we can achieve 14%. I have therefore taken up this point in substance.
ParlaMint-NL_2015-02-10-eerstekamer-6.u69	Mr Reuten, you may respond briefly. You still have a second term.
ParlaMint-NL_2015-02-10-eerstekamer-6.u70	Yeah, but this is gonna have to be discussed anyway. Let us take the fourth point. With regard to renewable energy, the report states that we will reach 12.4% by 2020. The European agreed target is 14%. We're not gonna make it. Do you agree with what I'm quoting from the report? I mean, do you agree with the correctness of the quote?
ParlaMint-NL_2015-02-10-eerstekamer-6.u71	The correctness of the quote? I do not agree with the observation that by 2020 we will not achieve that 14%.
ParlaMint-NL_2015-02-10-eerstekamer-6.u72	Okay.
ParlaMint-NL_2015-02-10-eerstekamer-6.u73	Mr Reuten, let the Minister speak. Moreover, I believe that we should not go on the path of a wholesome discussion as to whether it is so many percent or so many percent. You're not getting out like this. Otherwise, ask the Minister to put it on paper, otherwise we'll be stuck here in commas and figures until midnight.
ParlaMint-NL_2015-02-10-eerstekamer-6.u74	I conclude that the Minister and the government have objectives, that they are reported on those objectives and that they are said not to be achieved. The Minister says, however, that he feels differently. He has a different view from the rapporteurs. That's what the Minister says. The question is simply: did you report that difference of opinion to the rapporteurs? However, I do not get an answer to that. I would like to know what the rapporteur's answer was. However, I do not get an answer to that either.
ParlaMint-NL_2015-02-10-eerstekamer-6.u75	The National Energy Exploratory may say that we do not take the 14% into account the policies laid down in laws, but my response is that it is not just about what has already been laid down in laws but also about what has been laid down in laws and measures taken since then. Based on that whole package, we'll make it up to 14%. I am going to deal with this in substance, but you are not responding to it in substance, Mr Reuten, with all due respect. That's how it says in the National Energy Exploratory: the 6,000 MW on land isn't being made. However, I have made agreements with 11 of the twelve provinces, with which they have committed themselves to realising their share of the 6,000 MW in good time. I would therefore venture to say that we are going to achieve that 6,000 MW. The survey states that the 40% reduction in the cost of wind at sea would be too ambitious. However, the sector itself says to me that it is going to make it, and it also laid it down in the energy agreement. As part of the cost savings, I myself make a contribution, by using TenneT, of 3 billion for the connection of wind to sea on land. If that's also the case, can't I go against that report you're quoting and submit my information? That's what I'm here for, isn't it? I'm supposed to make sure I look over the whole thing, right? I'm gonna argue with you, and I'm gonna give you that information. Those are my answers.
ParlaMint-NL_2015-02-10-eerstekamer-6.u76	Mr Reuten, you want to respond, but Mr Van Boxtel is first.
ParlaMint-NL_2015-02-10-eerstekamer-6.u77	I would suggest to Mr Reuten that he take the Minister's answer to heart. Moreover, I would really like the NEV to report on the whole in a second evaluation. That is a concrete request that I make. It is also very difficult for us when somewhere in a clause says 'we only look at the laws' when we also have an agreement and take other measures. I take the Minister's word for it. I am also suggesting this to Mr Reuten. I believe that the next report should prevent us from having endless debates of this type. You just want to know the real goal. This is important. It is simply a hard target that we want to be able to deal with one another, so to speak. I remember when Mr Kamp was a member of Parliament and I was a minister and I had a percentage, he said: I am only interested in that number. Well, I am now. So we're gonna turn that around in this ratio. I would like to receive an evaluation report on this year which will clarify exactly where we stand.
ParlaMint-NL_2015-02-10-eerstekamer-6.u78	I knew I'd get him back someday. So I'm happy to accept that. I have good memories of the time when Mr Van Boxtel was Minister and the way he did it. I think he's right. On the basis of the information provided to him, Mr Reuten is trying to ensure that he gets an idea of how the objectives are being achieved. Mr Van Boxtel says that you are relying on the fact that the information is not correct and complete, but then make sure that it is delivered in such a way that Mr Reuten is able to do so next time. I think that is a fair point. That's what I care about.
ParlaMint-NL_2015-02-10-eerstekamer-6.u79	We, the Chamber, have nothing but the report of that committee at the moment.
ParlaMint-NL_2015-02-10-eerstekamer-6.u80	You have me, too.
ParlaMint-NL_2015-02-10-eerstekamer-6.u81	Apparently, the Minister disagrees with a number of conclusions in that report. Good. Fine. I asked the Minister whether he shared that difference of opinion with the rapporteurs, what their answer was and where we can find that answer.
ParlaMint-NL_2015-02-10-eerstekamer-6.u82	Those are things that, of course, I don't have ready. Perhaps you would have been prepared to do so, Mr Reuten, but I am not prepared to do so.
ParlaMint-NL_2015-02-10-eerstekamer-6.u83	But you do have officials, don't you?
ParlaMint-NL_2015-02-10-eerstekamer-6.u84	If the National Energy Exploratory says "you're not gonna make the cut" while I just agreed with the sector, on the initiative of that sector itself, that we're gonna save 40% of the cost and I've done my part of that cost reduction by now, that's the answer I can give you. But if you ask "when did you report that to the researchers, when did those researchers return to you?" I have no reaction to that. If it is said 'you do not make that 6,000 MW' and I then point out that I made wind on land over 6,000 MW with all the provinces on a second date, then I do not know exactly when it has changed with those rapporteurs. But I find that less interesting myself. If Mr Reuten finds that particularly interesting, it turns out that this is the case, then I will try to get that information out, but I do not see the importance of it.
ParlaMint-NL_2015-02-10-eerstekamer-6.u85	Mr Reuten, I would like to conclude by saying that this is a very important point.
ParlaMint-NL_2015-02-10-eerstekamer-6.u86	This is really the last thing at this point. I'm not interested in that date. I would like to know in the second term • the officials can in the meantime look into what information has been exchanged between the Ministry and the authors of the report on the differences in understanding of the conclusions. I would also like to know where we can find that, in what letter and so on.
ParlaMint-NL_2015-02-10-eerstekamer-6.u87	Let me tell Mr Reuten how I deal with these reports. I don't influence a report in any way in advance. I never influence any official advice. I've never done that in my life. I never influence a report either. I'm just gonna let it come to me. If there is a report, I will come with a substantive reaction to it to those who control me, namely the Upper House and the Lower House. If a report has been submitted to me and I have views on it, then I do not think it is necessary to put all these views to those who have made the report, then to ask for a response and to discuss it with them. It's not like that. A report will be produced; that will be their paper. I'm going public with what I think should be done with it. That's how I handle reports. If Mr Reuten would like to know exactly what has been exchanged between the officials of the Ministry and the authors of the National Energy Exploratory, then I would like to try to verify that. But once again, the importance of that escapes me. Mr Reuten says that if he sees it correctly, he has to establish that the bill is actually limited to some registration and administrative requirements. He's right about that. That has yet to be done. This is a legislative proposal implementing a second directive; we had already implemented the first directive. Now there are a number of minor changes to laws, two regulations and a decision that must or must be amended. We have talked a few times about the dates on which this will happen. It is about information that helps those who receive it to fulfil their ambitions for energy saving. Mr Reuten wonders why we have not included the whole objective and the political instruments in the legislative proposal. Wouldn't that be good for Parliament's controllability of what I'm doing? There is a directive that needs to be implemented. We do not put our heads on it; we simply implement it. I have set out the objectives of the directive. That's what we're gonna do. We are also doing what needs to be done about administrative measures. That's this bill, that's the directive. I can't make it anymore. I have dealt with the implementation period and we have also talked about the entry into force. I hope that this has provided an adequate response to the points raised by Mr Reuten. Mrs Koning wishes to make it clear, I believe, that little has happened in enforcement in relation to the Environmental Management Act, which obliges companies to take measures that can be recovered within five years. It asks whether there is any knowledge of whether a sanction has been imposed in this respect. I have already dealt with the substance of this obligation in the discussion so far. I have no information that a sanction has already been imposed. As far as the implementation of this provision is concerned, there is still a world to be won. I hope that the combination of what we are doing is spreading information, giving opportunities to comply with that law, trying to agree on it together with the careful attraction of the economy, will lead to compliance with this provision, which has been introduced into the law by amendment. In addition, there are always nuances. I have already given a few examples. Companies will be fighting for their survival at some point. The fact that you can earn something back within four years is not a predominantly argument to make that investment, if you could already finance it. Mrs King has asked how I can promote the enforcement of mandatory energy audits. That is what my colleague from I and M is going to do, for example, with the Minister of State or the Secretary of State; I do not know if so, but at least one of the two directors of the government is going to draw up a temporary arrangement requiring companies to carry out an energy audit every four years. In drawing up this regulation, we will also discuss its enforcement. Following on from Mrs King's speech, I believe that if we lay down something in a law, which must then be complied with, and that we must ensure that what we lay down in laws can also be respected. There's got to be some kind of interaction between them. As far as energy audits are concerned, this is certainly feasible. Mrs King said that she would like me to promise that I will also report on this aspect of implementation in the planned review of the Energy Agreement in 2016. This will not be the case with that review in 2016. We have already paid attention to this in the 2014 National Energy Exploratory. We will not do that again in this year's, but in next year's. So it's happening again in the National Energy Exploratory. That is why I will not include it separately in the evaluation of the energy agreement. Mrs King has asked whether it is possible to include in the study on the potential of cogeneration and efficient district heating to be replaced as gas networks, it should be assumed that the first 40, 50 years after that replacement gas will still be an important source of heating. Mrs. King says that you should actually let gas be less important for heating homes. She and I both know that 98% of the homes in the Netherlands are heated with gas; to be precise, with gas of low caloric value or the gas from Groningen. That's what's there, and you can't just change that. It's something that needs specific attention. We will still have to take a step, at a certain rate, in order to achieve the ambition for renewable energy by 2050 it must be completely sustainable. It should also be related to cogeneration and district heating. It must also be related to the replacement of the gas networks. I will address this complex in the Energy Report 2015, which will be sent to Parliament in the fourth quarter. I think that is the right link to deal with this issue. Mrs King knows that we are also working intensively with the House of Representatives on the Heat Act. The Chamber has also taken initiatives to this end. We are developing a heat vision; we are changing the Heat Act. That means that this matter will receive the attention that I believe it deserves. I come to Mr Van Boxtel's contribution. I went into what he said about Groningen. Like Mr Reuten, he spoke about the NEV. Mr Van Boxtel and I have already come to a joint conclusion. We have also discussed the energy saving of 1.7%, converted into petajoule. Mr Van Boxtel suggested the possibility of a higher tax on fossil fuel, but that is not what we in the cabinet want. We think that there are too many taxes rather than too few. Whatever is still needed in the energy sphere has been negotiated in the energy agreement. A number of things have been mentioned and some things have not been mentioned. A higher tax on fossil fuel is not included in the energy agreement as such, so there are no plans for the government to do so either. I do not intend to take any initiatives in this respect. Mr Van Boxtel spoke about the certification of sustainable biomass. I think that is an important point. Although the European directive states that biomass is renewable energy, it is wise to take a critical look at it. Then where did that come from? In practice, it appears to come from trees that are cut down and used as first class wood for the (furniture) industry. If you do that, there will be garbage wood left to be collected. We get that biomass in the Netherlands. We have drawn up criteria on which we have agreed with the nature and environmental movement and companies. But those criteria also need to be checked. We agree on the ideal way of checking and we also agree that this is not possible at the moment, as the information is still lacking. We have therefore found another way of checking: the 'pellet mill' control. In addition, you look at the level of a factory in a large forest complex: where does the wood come from and meet the criteria? That's a useful one, but it's not the best way to do it. That control is therefore acceptable for a transitional period. I think certification is very important, so that I deal with it in the serious way I have just described. Mr Van Boxtel also spoke about the efficiency of coal power stations. He will have learned that we could not implement the original agreements in the energy agreement to conclude five old coal plants on the basis of agreements made. The ACM found that contrary to cartel law. Then we opted for another way, namely the setting of efficiency requirements. The old coal plants are now being phased out through these requirements. In this way we have ensured that the remaining coal plants meet reasonable returns. Mr Van Boxtel also spoke about sustainable shopping. We take this very seriously. We have set up our own knowledge centre, which is in the process of arranging sustainable purchases from the government and letting them become commonplace. But we are also in the process of extending knowledge in this area to other governments, so that they can work in this way. I am not saying that we are already there, we are at the Empire a long way, but not far enough, and with the other governments there is also the necessary to win, but we are convinced that this is a good process. To this end, we have set up the knowledge centre and set up frameworks. We will continue to make it a success. In my colleague for Wonen and Rijksdienst's annual business report on how things work with the Empire, the state of implementation of this policy will always be discussed.
ParlaMint-NL_2015-02-10-eerstekamer-6.u88	I don't need a second term anymore, but I still have a question about sustainable shopping. I thank the Minister for all the answers; I await with interest the next NEV report to see if we will remain on schedule. In his reply, the Minister began to say something about fellow governments. A few years ago, I had a different social role, as chairman of a green business, in which we invested entire theme afternoons on sustainable buying from the government. At that time I noticed that, when it comes to co-governments, for example, a province like Friesland had already done very well. Especially in the Empire, it was still very fragmented. I'm getting those signals again now, so I put that question back to the Minister. Then I want to answer a little more than just: it is also about fellow governments. I have the idea that they can take the good of each other, but I also want to see strong steps in the Empire. Hence the suggestion that a purchasing organisation should be created, rather than that fragmentation by department.
ParlaMint-NL_2015-02-10-eerstekamer-6.u89	In the area of procurement a lot has already been combined. The question of whether this can be continued, especially in relation to sustainable purchases, will be addressed in the business report. Mr Van Boxtel's signal is clear; I will pass that on to my colleague. I said that we have set up a knowledge centre, PIANoo, where there is a lot of expertise that we would like to make available to other governments. Mr Van Boxtel says he has knowledge of other governments that are already beyond the Empire. I will look into it to see if there is sufficient attention for what the Empire can learn from others and whether that is sufficiently organized. I will go along with those points made by Mr Van Boxtel, I will inform my colleague for Wonen and Rijksdienst, and I will look into whether this point in the business report gets the attention that Mr Van Boxtel asked for.
ParlaMint-NL_2015-02-10-eerstekamer-6.u90	We have arrived at the second term of office. I give the floor to Mrs Vos.
ParlaMint-NL_2015-02-10-eerstekamer-6.u91	Mr. Chairman. Minister, I'm so sorry: thank you very much for your detailed answer. Let me not be too jovial, because that is not what I was going to do. I would like to congratulate the Minister for really standing up for that energy agreement, and that is good. He's just saying, "I'm doing that." I would just like to make two comments. First of all, the Minister must actually implement the energy agreement. He is appealed to by this Chamber that, for example, in the so-called NEV 2014 of his own PBL and the ECN, we are only at 60% by 2020 in terms of energy savings, so that more needs to be done. For example, there are more signs that there are still insufficient concrete measures in the energy agreement. Then I am talking about the 9 petajoule to be delivered by the very large companies and the part about the built environment. That is not enough, something the Minister himself has just recognized. When we talk to the Minister about this, he says that everything is going to be fine, I have no signs that it is not going to be okay and I am not going to take any additional measures now. To be honest, I don't follow the Minister. If I tell him that, if enforcement is stepped up, enormous energy savings can be achieved and then ask him what measures he is going to take, he says: yes, what more should I do, I have no people, I can't do anymore. Then I cannot follow the Minister, because I see two ministers: one who stands for his energy agreement and one who says he can't do anything anymore. I see a two-faced minister speaking. I hope that at the end of the debate the Minister will be more united. That's why I want to ask him two things. The NEV will also be released in 2015. If that could lead to the finding at the NEV that we are not sufficiently on track and that in 2016 we will not achieve the 35 petajoule energy savings if we do not do anything extra, will the Minister say at the end of the year: I come with these and these additional measures? I want to make that clear. It is too crazy for the Minister to say: we do have the Environmental Management Act, but Amendment No has included the five-year agreement; that is all very difficult. That agreement has been in the law for years and years and years. I happen to know that because as alderman in Amsterdam, I decided together with a number of surrounding municipalities to comply with that law. Then we ran into all sorts of problems. It's now 2014. It is time to say once: a law is a law; moreover, it produces a lot of energy savings and savings, so let's go and comply with it. I would ask the Minister whether he can tell the Chamber, by means of a plan, what additional enforcement efforts he can make in relation to the Environmental Management Act, what the partners in the MEA Convention are doing and what agreements are being made on the built environment. What does he intend to do so that we can achieve that additional energy saving? The Minister said that the Energy Performance, a new measure in the Energy Agreement, is now being implemented via pilots. The Minister does not want to go so far as to make it compulsory, but I ask him whether it is not the clearest agreement to make it compulsory and whether this does not mean that it will be easier to get to work with it for the sake of enforcement. Isn't that also the most obvious measure for all the parties involved? The Minister said that the subject of the built environment is largely with his colleague. I understand. The Minister says that there is not enough going on so far, but what measures is he going to take to make it all work? I would like to receive the letter from the Minister about the ETS, the emissions trading, which he sent to the House of Representatives. In addition, I am very interested in the written response to CE Delft's report of October 2014, commissioned by the TKI Energy Saving Building Environment, in which the economic opportunities of energy saving are linked to the environmental opportunities of energy saving. I would like to receive a response to that report. Finally, I would like to appeal to the Minister. This dossier is an excellent opportunity for a Minister of Economic Affairs to take enormous steps and make something very nice of his ministry, both in terms of economic opportunities, innovation and employment and in terms of the energy saving portfolio. I call on the Minister to show a little more ambition, to show that he is also taking up this dossier in the interests of the Dutch economy and employment with even more energy and ambition and, where possible, doing more than might seem possible today.
ParlaMint-NL_2015-02-10-eerstekamer-6.u92	Mr. Chairman. First of all, on behalf of the PvdA Group, I would like to thank the Minister for his approach to gas extraction in Groningen. We are very pleased with the answers, which show that first security of supply, then security of supply and only then the state finances are leading this minister in this kind of consideration. The PvdA Group believes that this is a very sensible commitment. Congratulations again for the decision. With regard to the answer to our group's questions, I shall deal with a few points. We very much agree with the Minister that there should be no rules on enforcement if you are never going to enforce them. We do understand the pragmatic approach of the Minister, who says: why should a company maintain its energy-saving measures that will be recouped within five years if that company does not even know whether it will still exist in five years' time? Then it sounds very nice to say: we are not going to maintain. However, as Mrs Vos pointed out, we are of course further away from home if in practice this leads to no maintenance at all. The Minister has therefore promised to include the enforcement aspect in the 2016 National Energy Exploratory. We're very looking forward to that. September next year, we can look at how enforcement at that time, with a little economic growth, should be possible, so that real energy-saving measures can be implemented in companies. Thank you for that commitment. Just to be sure, I'll do another check: the First Chamber will also receive the Energy Exploratory in 2016? I don't have that sharp anymore. The Minister has agreed to include cogeneration and district heating in the Energy Report 2015. We are very happy about that, too. Thank you for that commitment. We have already indicated that we do see that time is needed for the changeover. 98% of homes depend on gas for heating. So it doesn't happen overnight. Only, if you do not start today with the future in 2050, exactly what the Minister says is going to happen, namely that in 2050 we say: if only we had. I think we are on the same page here. We are therefore looking forward to the energy report to see how it can be anchored. We'll get there one step at a time. I have listened with some amazement to the debate surrounding the question of whether the energy exploration will include only what is already legally anchored and whether the prediction resulting from the already anchored measures is really good. I am very pleased that, following Mr Van Boxtel's suggestion, the Minister has promised to mention, on top of that, what measures are to be taken and why it is expected that the objectives will be achieved. In my opinion, that is what most of the parties have spoken today and the Minister is about: we should not just say it, but also do it. A number of colleagues may feel that the impatience to achieve it does not say anything about the way in which the cabinet is working on it, but rather that these reports still do not provide sufficient guidance. If I see Mr Reuten getting up, perhaps that is a letter which gives an insight into the reason why the cabinet believes that the objectives are being achieved, I think that would give a little more certainty.
ParlaMint-NL_2015-02-10-eerstekamer-6.u93	Let me just say one thing. I think there's been a misunderstanding about the N.E.V. The NEV always gives two variants. First of all, this is a policy that has been defined. This is then given the corresponding realization figure. Secondly, this policy is envisaged. There are two variants. That policy is a very long list. The annex to the report consists of a number of pages of planned policies which have been taken into account.
ParlaMint-NL_2015-02-10-eerstekamer-6.u94	What is important is that it should be added from a cabinet point of view to the letter in which the report is presented to us, which is why the cabinet sees that the objective is to be achieved. Actually, that's what the discussion is about: are we on the right track and are we going to get what we want? What I just thought was the most important thing to note was that we agree in the majority here on the goal that we want to achieve. It's just, some of you have some concerns about whether you're okay or not. The answer is sufficient for the PvdA Group to see that the cabinet is committed to this. The cabinet has made a number of concrete commitments which allow us as the First Chamber to take our role in this - so we can really keep our finger on the pulse.
ParlaMint-NL_2015-02-10-eerstekamer-6.u95	Mr. Chairman. I shall return to the end of Mrs King's speech. We all want to achieve the objectives of the directive and the energy agreement. We agree on that. I may have reacted a few times to the Minister, but I think this is my job. I do not doubt the integrity of the Minister, but I have the function I have. I assume the Minister appreciates that. I'm not questioning integrity again, but I'm doing what I think I should do. When directives are implemented, we often worry when there are headlines that we do not want here, because they need to be implemented. In this case, the opposite is actually happening. I believe that there are not enough tough objectives and instruments in the directive. This will enable the Minister, at least in part, to evade strict parliamentary control. The NEV draws a number of conclusions that are not pleasant for...
