ParlaMint-NL_2015-09-29-eerstekamer-8.u1	I have already welcomed the Minister of Health, Welfare and Sport to the First Chamber.
ParlaMint-NL_2015-09-29-eerstekamer-8.u48	Mr. Don, will you stand still? Thank you. Congratulations on your maiden speech. May I briefly outline something of your background? You couldn't have gotten a better subject for a maiden speech than the bill we're talking about today. The quality of care and the position of the patient/client are close to your heart. Your professional roots are in health care and you are still active in this field, now as a driver. From 1980 to 1984 you followed the HBO course in nursing and you immediately started work in this field: first from 1984 to 1988 at the Department of Psychiatry at the Academic Hospital Utrecht and then from 1988 to 1993 as staff nurse at the Forensic and Observation Department of the Penitentiary Institution Amsterdam-Zuidoost, better known as the Bijlmerbajes. Then you shifted your attention to the policy side of the care. From 1990 to 1994 you studied Health Sciences at the Rijksuniversiteit Limburg in Maastricht and worked as an intake officer and care manager at GGZ Eindhoven from 1993 to 1999. In 1999 you became head of the Salvation Army in North Brabant and Limburg, a position you held until 2006. Your career in care was interrupted in 2006 when you switched to political governance. Your party, the SP, made a national profit of 175 council seats in the municipal elections that year and also converted them into aldermen's posts. From 2006 to 2010, you were therefore alderman for Welfare, Social Affairs, Wmo, Finance and Staff in Eindhoven. It was an interesting but also very difficult period for you, you yourself stated in an interview in June 2012 with BN DeStem: "I felt like a circus performer, you had to keep a lot of signs in the air." The headline of the interview was: "A line with God and with the SP." That first mentioned the fact that you have been working at the Salvation Army since 1999, an organization with a mission that comes from the Bible. On the question of the reporter whether you are also a bit of a Major Bosshardt, you replied: "Major Bosshardt is not equal, but wanting to help people who are in trouble, you'll find that with me." Your surroundings describe you as an engaged, driven and cheerful man, and frankly we have already come to know you a little bit. You are still working at the Salvation Army, since 2010 as director of the Wonen, Zorg en Welzijn Centre in North Brabant and Limburg. And if we have to believe the Internet encyclopedia Wikipedia, now it's coming, you've left the now politically. Wikipedia says: "Hans-Martin Don is a Dutch former politician." You know as well as I do that anyone can edit Wikipedia. Now I'm so curious who did this, but it's really there, at least, it was there yesterday. So it turns out again that you should not believe everything that is on the internet.This is a general statement.Because on June 9, 2015, you really joined the Upper House. Your maiden speech today is living proof of that! I wish you every success in your further contribution to the work of the Chamber. I shall suspend the sitting to give the House the opportunity to congratulate you on your maiden speech, but, as I say every time, I am the first to wish you luck.
ParlaMint-NL_2015-09-29-eerstekamer-8.u49	Mr. Chairman. First of all, I would also like to publicly congratulate Mr Don on his maiden speech. The SP is, of course, a different party from the Christian Union, but the Salvation Army cannot break with us either. Mr. Chairman. By a long way, we are now reaching a bill that would initially only be part of a much broader law on customer rights in healthcare. The part that has been developed in this legislative proposal concerns complaints and disputes in the care sector, not participation and other aspects. The movement that has been put in place to strengthen the position and influence of clients in the care sector is important to my group. This is also reflected in our previous contributions to this Chamber and our commitment to empowering insured persons with health insurance. We will discuss this later in the legislative programme of this Minister. My group is sympathetic to the purpose of this proposal. If we look at its title, something has changed compared to the initial draft law. The legislative proposal we are debating today is specifically concerned with the quality of care. As far as we are concerned, this is not an aspect of this legislative proposal, but the framework within which the right of complaint, which has been revised, must function. The profit of this bill is that complaints and disputes are standardised and aligned with existing and future quality policies. The existing complaints regime has for a long time identified weaknesses. These relate to the informal nature of complaints schemes, the sometimes lack of trust in complaints committees, the dissatisfaction of clients with the handling of complaints and the difficult way in which disputes are handled. All this has led to the call for a legal framework, formalised procedures and a better guarantee of independence. In the asymmetrical relationship between doctor and patient, or between care provider and client, consideration should be given to the position of the weakest party. That's the patient or the patient. the client. After all, it's about his or her health, body and life. This position is now strengthened, inter alia by a right of appeal which was lacking in the old legislation. The new law obliges the healthcare provider to appoint a complaint officer. The client receives information on how a complaint can be lodged and if there is no outcome after a process of handling, the procedure is to scale up to a dispute body. The aim of the approach is to deal with a complaint close to the healthcare provider and, if possible, to resolve it there. Forms of mediation can be deployed early. This approach seems very appropriate to us: we must start with the situation that led to the complaint, address the people there and use the existing quality mechanisms there too. Now the Minister states that, in addition to the designated complaint officer, complaints committees can still exist. This is then done voluntarily, because there is no legal obligation to do so anymore. The need to maintain the complaints committees arises in situations where there has been satisfaction with the way things are going. My group has a question about the relationship between a still existing complaints committee and a complaint officer to be appointed. Satisfaction with a current regime does not necessarily mean that the client is really best served. The satisfaction of the current complaints committees can also be seen in the extent to which complaints can now be controlled. How will a complaints committee be related to the legally appointed complaint officer? For example, can healthcare providers first refer clients to their own complaints committee and then to the complaints officer? And what about the independence of the complaints officer, who is still appointed by the healthcare provider? I think it is important to talk in this debate about the quality requirements, the standards we set for the quality of the complaint officer. We would also like to ask the Minister what role she sees for possible ombudsmen in healthcare. They're developing, too. Can they be an alternative to the complaint treatment? In the written preparation, special attention has been paid to the smaller healthcare providers, the small self-employed or if one wishes: the soloists in the care. There has been talk of the regulatory burden of this item earlier this afternoon, and of the possible financial consequences that could weigh heavily here. But for small healthcare providers, the starting point must of course also be that their care is of good quality and that the client is in safe hands with them. Now the Minister says that she does not impose any further formal requirements if one only complies with the law and appoints a complaint officer. They can therefore implement the rules in their own way. What outcome is this going to lead to? What does this mean for small healthcare providers? We would like to hear more about this, as the Minister, after accepting this bill, is going to lay down rules for implementation. This law could result in a number of small healthcare providers falling over or being unable to function because they will no longer meet the quality requirements. How is this law enforceable without producing unintended effects in the world of small healthcare providers? The new law will lead to a redesign and professionalisation of the practice of complaint handling. I'm sure new protocols will be drawn up. There will also be indications of the behaviour and behaviour of healthcare providers. Is that trial being supervised? What role does the Health Inspectorate play in this? The practical consequences of the law, of course, directly affect quality and quality standards in health care. That is the purpose of this legislative proposal, because it places the complaint treatment within the framework of quality care. In this debate we would like to hear a statement from the Minister on the development of quality policy in healthcare in relation to the further development of complaint law and dispute resolution. How does she see this? Another issue that our group is still concerned with is the distinction between complaint and claim. The new law aims to deal with complaints at an early stage and, if possible, to find a satisfactory solution. If this is not done, there will be a course of action for the arbitration body, which will issue a binding opinion. Eventually, the corridor to the judge can be made. However, not all complaints have to end up in a claim and the complaint procedure should not judge, so is the idea. However, it is realistic to assume that not all people who complain always accept statements made by a complaint officer easily. The regulation now in place certainly paves the way for those who want to go to the highest authorities with their procedures. My group believes that this risk cannot be a reason to deny clients and patients the right to an independent procedure, but sees the reverse of this scheme. How does the Minister view this problem? We await the further exchange of views in this debate and would like to hear the Minister's answers to the questions we have asked.
ParlaMint-NL_2015-09-29-eerstekamer-8.u50	I see that Mr Bruijn wishes to place an interruption.
ParlaMint-NL_2015-09-29-eerstekamer-8.u51	I'll wait and see, Mr. Chairman.
ParlaMint-NL_2015-09-29-eerstekamer-8.u52	I'm gonna go fill out that expectation. I actually have two questions for Mr Kuiper. He was just talking about the little care providers. According to Mr Kuiper, they might fall over, if I understood him correctly. The calculations show that the additional costs could be around €100 per provider. If that provider falls over if he gets €100 extra costs, he would have fallen over without this arrangement, I guess, so I don't share that concern. Moreover, there are many small suppliers who have been doing this for a long time, and none of them fall over. That's my first question. Then there is my second short question. You are concerned that this law opens the way to a procedure up to the highest organs, but that road is also open to the patient for a long time now. The patient can now also go to court, appeal and so on. Nothing's gonna change that. The intention of the law is to make this process unnecessary by better handling, more easily accessible, close to the patient himself, and even to treat the patient better so that he himself does not find it necessary.
ParlaMint-NL_2015-09-29-eerstekamer-8.u53	The first question is about the collapse of small healthcare providers. Of course, that's not what I'm trying to do. What I see is that the risk with the small healthcare providers is potentially high. They don't have buffers, they're on their own. Then we're dealing with regulatory pressure. I agree with you that, according to the calculations we have seen, it must be possible to make a profit. There is also the threat of a claim, which can go up to €25,000. That is a very large amount for a small healthcare provider. I think it should be an incentive to deliver quality. This also applies to the small healthcare provider, who is, of course, more vulnerable in this dynamic than a large healthcare organisation. That's what I wanted to say. My main rule here is that the small healthcare provider, the soloist, must also deliver the quality we want to represent in this country. The form in which care is provided should not be a restriction on its quality. That is the first question. Then there is the second question. I agree with you that it must work in such a way that the complaint is captured close to the source, where something arises that people are dissatisfied about. I wouldn't want it to be juridified and people to move on to the highest authority. I expect this law to work in this way, but I have asked the Minister a question on this. You've got people going on after all. We don't live in a Utopia, where everything goes exactly as it can be in our performances at its most beautiful. It is realistic to think that there are people who continue to sue and who do want to judge. I would like to hear the Minister's opinion on this.
ParlaMint-NL_2015-09-29-eerstekamer-8.u54	Mr. Chairman. First of all, I would also like to congratulate Mr Don. I know him as a man who goes for vulnerable people. I look forward to the further exchange of views in this debate and in the many debates that will follow. If you ask Dutch people what is most important for them in their lives, many people have good health at number one. Unfortunately, good health is not self-evident for everyone. When you are ill or you have a disability, you are glad that there are people who are committed to you, and fortunately, as far as I am concerned, more and more often with you, to make sure that you heal or if that is not able to lead the best life possible. People with disabilities or illness are often satisfied with the care provided. We are happy in the Netherlands with a good healthcare system, with many experts, involved professionals. I think we should not lose sight of this today. However, people may feel vulnerable and dependent if their body is not functioning optimally or if, for example, they are no longer able to take care of their disabled child or mother. If your main good, your health, is at stake, it is important that you can contact healthcare providers who inform you adequately and that you do not have to worry about the quality of the care provided. Moreover, there must be simple ways to enter into the conversation, if the care provided does not correspond to what you should have expected from it. When people are dissatisfied with the care provided, they are in almost all cases concerned with the adequacy of information provision, the extent to which they are involved in decision-making and/or the quality of medical content, and thus not only with medical content. The trust of patients and clients in the care provider increases when the healthcare provider himself engages in the conversation with the patient or the client when things run differently than expected. The Bill Quality, Complaints and Disputes Care is intended to strengthen the position of patients and clients in this bill, which uses the term "clients," although I also like the term "patients" to improve the provision of information on what is delivered and to reduce the threshold for talking to each other if care does not meet expectations. It has a long history, as has been mentioned several times. Already with the introduction of the new healthcare system, it was widely recognised that the position of clients should be strengthened vis-à-vis those of healthcare providers and health insurers. Mr Kuiper pointed out just now. The tricky thing is that opinions were divided and remain as to whether this can best be done through a separate legislative proposal to regulate the quality, complaints and disputes for all forms of care. Where matters are already well settled, the introduction of the law will only be codifying and of limited significance for daily practice, is the general impression. Clients' organisations advocate to introduce the integral law we are discussing today as soon as possible to finally strengthen the position of clients. On the other hand, representatives of different groups of healthcare providers look very differently at this. In particular, the sectors of healthcare providers warn about the further judicialisation of care and point to uncertainties in the process of handling complaints and disputes. In addition, they consider that a number of schemes lead to additional burdens and a sense of insecurity among aid workers. In the written and oral proceedings of the bill in the House of Representatives, and also in this Chamber, many of the points mentioned have been discussed in detail. We thank the government for the answers given. In the opinion of the PvdA Group, a number of points require clarification from the Minister in order to make a good assessment of the legislative proposal before us. For clients, it is important that they know who they can contact and what the distribution of roles is between all those involved. We have the following questions about this. The aim of the legislative proposal is to focus on the dialogue between caregiver and client in the case of questions and discontent with the care provided. In addition, the option of using a Disputes Committee is the one that remains if you do not get out in an interview, whether or not you are using a Complaints Officer. The PvdA Group welcomes this. On the basis of the government's explanation of questions on Article 21 (1) (c), it remains unclear to us whether the legislative proposal ensures this sufficiently. Does the Minister intend to propose that a client should only be able to refer to the Disputes Committee in all cases if he is dissatisfied with the handling of his complaint by the healthcare provider? If not, in what cases does the Minister consider direct access to the Disputes Committee to be relevant? How does the Minister intend to prevent the way to the Disputes Committee from being too easily followed? Our second point concerns the lack of clarity as to the position of the complaint officer. We assume that the complaint officer, as set out in Article 15, should put the client's interest first. However, the last note on the report states at the top of page 13 that the complaint officer also has the task of defending the interests of the healthcare provider. Is this answer true to what is envisaged in Article 15 of the bill? I would like to hear a clarification from the Minister on this point. Our third question concerns the division of roles to which a client should be justified when it comes to chain or network care. Questions have already been asked about this by a number of colleagues. This also concerns the scope of the law. With the transfer of important elements from the AWBZ to the Health Insurance Act, the Youth Act and the Social Support Act, people are increasingly receiving an integral package of care and support. This is often provided by people posted to a neighbourhood team by different organisations. Such a district team can consist of community care, welfare workers and people from youth care, psychiatry and disability care. It is often controlled by an official of the municipality. For the client, that's just one team. If we understand correctly, the activities financed by the Youth Act, the Social Support Act, the pgb care by non-BIG registered persons and the civil servant's actions from the example are not covered by the law. Did we get this right? And if so, who should the client be with if something goes wrong in the act of and the alignment between the aid workers in a district team? In addition, employees have to deal with both protocols and guidelines of their parent organisation as well as with a new set of rules and guidelines drawn up by the municipality. The question then is which frameworks for these caregivers are leading: those of their mother organisation, for example the psychiatry, and thus of this bill, or that of the municipality? Fortunately, in curative care too, there is increasingly an integrated approach to the problem of the patient. For example, medical specialists watch remotely in the doctor's office during the diagnostic phase. The bill provides for a healthcare provider to pass on a complaint that belongs to another person to the appropriate healthcare provider. How does the Minister view the division of roles when there is multidisciplinary treatment with multiple healthcare providers working together, as outlined above? In its replies to this point, the Minister refers to the KNMG's 2010 Hand-held distribution of responsibility in cooperation in healthcare. It only states that incidents and errors are made public to a client and that incidents are reported at a central point agreed within the grouping. How is the client prevented from coming to the shortest conclusion in a discussion between care providers or healthcare providers and no one can be contacted if the client is dissatisfied with the care provided or mistakes have been made? More fundamentally, the PvdA Group believes that legislation should take greater account of the fact that care is provided in chains and networks, with the possibility of varying hierarchical and functional guidance. Does the Minister share our view? And is the Minister prepared to have a study carried out, for example by the Health and Society Council, on the implications of the shift to network and chain care for the division of roles in health care and quality legislation? The second point we would like to raise here concerns the way in which incidents are reported. The PvdA Group is convinced that care can get better and better if caregivers can learn from their mistakes and near-mistakes. This only works if there are as few thresholds as possible for employees to report and discuss incidents. In Article 9, sixth paragraph, the Minister leaves open the possibility of requesting information from the secure reporting system in criminal matters if the information cannot be obtained otherwise. How does the Minister look at the fears of aid workers that this will raise the threshold for reporting incidents, and what opportunities does she see to remove this fear? Within the current complaint schemes, all costs are borne by the healthcare providers and no own contributions to the complainants are raised. The PvdA Group thinks this is a good thing, because it prevents you from deciding whether to file a complaint. In order to prevent the progress towards the Disputes Commission from being too low-threshold, it is proposed to allow people to pay €50 in advance. They will only get this back if they are right. What is the level of this amount based on? How can we prevent people on a small stock exchange from being prevented from entering the Disputes Committee because of the costs they have to incur? The sectors of healthcare providers prefer to strengthen the position of the client by adapting existing legislation over the current legislative proposal. They point to elements in the law that increase the administrative burden in the care, for example through the register of caregivers, the obligation to change new employees and the obligation to conclude written agreements with each employee. How does the Minister view these concerns from healthcare providers? Are there any possibilities, for example, to address these concerns by adapting the implementing act? Another point that needs attention is the chance that the bill will introduce a claim culture in Dutch healthcare. This could be done in particular by the fact that the Disputes Commission deals with both the substantive complaint handling and the award of compensation. In addition, the maximum amount of damage is increased to €25,000. The healthcare providers in both the first and second lines fear that the law will result in further legalisation of care and that the number of claims will increase substantially. On the other hand, the idea of joint client, patient and consumer organisations, for example, and the Stichting Working Group on Medical Missers, is that the law can prevent the legalisation of care. Among other things, they base themselves on Professor Smeehuijzen's report on the care and settlement of damages in the event of unintended consequences of medical misses. Several suggestions have been made in recent times to reduce the risk of a claim culture. In particular, it is a question of not increasing the maximum amount to be reimbursed, which remains, for example, at €10,000 and decoupling the substantive and financial assessment of the case. How does the Minister view these proposals? Whatever option is chosen, in practice it will only show what the actual claim behavior will be and whether this is a good or bad thing. In doing so, the PvdA Group considers it important to keep a finger on the wrist. Is the Minister prepared to monitor the development of the number of claims annually, to inform us about them and, if necessary, to take additional measures in the event of defensive medicine, together with an increase in complaints and legal proceedings? The legislative proposal quality, complaints and disputes care aims to strengthen the position of the clients in care and to optimise the quality and information about the care provided. This law will be of particular value if it is absolutely clear to the clients what they can expect from the healthcare provider and easy handling of complaints and disputes is possible. We look forward to the Minister's response to our questions with interest.
ParlaMint-NL_2015-09-29-eerstekamer-8.u55	In the middle of her text, Mrs Nooren made a very interesting proposal, namely that the Health and Health Council or another body should carry out an investigation into chain management and functional management. The idea is that doctors and others in care often work in conjunction with each other. So Mrs Nooren wants something examined, but what she said about it was very fast. She asked the minister what he would think of that and if she would, but why is she asking this? What's behind this?
ParlaMint-NL_2015-09-29-eerstekamer-8.u56	If a client complains or is dissatisfied with care, there is nothing worse than that the complaint is submitted to one provider but it says: I did not; that part of the action belongs to another. The complaint would then be unfounded or not dealt with because the legal relationship between the parties concerned is unclear. For example, the Wmo is even worse. The legislative proposal we are debating does not exclude the official's actions, but the actions of those in the care of the disabled and the elderly are part of it. My question to the Minister is what is the relationship between hierarchical and substantive responsibility.
ParlaMint-NL_2015-09-29-eerstekamer-8.u57	So Mrs Nooren does not want providers of care to hide behind another person's back when a complaint comes.
ParlaMint-NL_2015-09-29-eerstekamer-8.u58	Exactly, yeah.
ParlaMint-NL_2015-09-29-eerstekamer-8.u59	But how does she assess that herself? Is this often the reason why complaints are dismissed as unfounded? What actual finding of hers is behind this?
ParlaMint-NL_2015-09-29-eerstekamer-8.u60	The complicated thing is that this is a new situation, especially since the introduction of the Wmo. Take the district teams: they don't have a legal construct yet. If they had that, we could focus on that, but there isn't. I think the odds of what I said has increased over the past six months. Now the law states: the provider refers to the following provider. I think that the Minister should give a ruling on who is the first to be appointed to assume full responsibility for the complaint.
ParlaMint-NL_2015-09-29-eerstekamer-8.u61	Mrs Nooren is now giving an example from the Wmo, but this is not about the Wmo. Does this happen, for example, at hospitals? 'Cause that's where you usually have to deal with an individual handler, isn't it?
ParlaMint-NL_2015-09-29-eerstekamer-8.u62	You're dealing with an individual handler, but it's increasingly happening that during the diagnostic phase a medical specialist calls and watches. What if you're not happy about that? Do you have to go to both, so to the general practitioner who flies the final judgment and to the medical specialist who, for example, assessed the X-ray? Because then the client has to go from the locker to the wall. Or do we say in this kind of situation that the ultimate controller is fully responsible, although the BIG responsibility is partly with another provider? Because there's nothing worse for clients than not knowing who to contact.
ParlaMint-NL_2015-09-29-eerstekamer-8.u63	Mrs Nooren talks about networking and how to handle complaints and quality within them. A simple solution is to apply the Wkkgz over the entire bandwidth, because then you don't have to make any exceptions. Of course, this is not only a matter of network care. It also takes place in institutions that provide care under the Health Insurance Act, as well as under the Long-Term Care Act, as well as at local level. I think you're gonna need an answer. If you want to settle quality and complaints properly within those institutions, you have to lay down a law about it. Is that what Mrs. Nooren is saying?
ParlaMint-NL_2015-09-29-eerstekamer-8.u64	My plea is that it would be easier for clients if the Wkkgz was widely applicable. The question is whether the Minister also sees the problem. Or does she think there should be different regimes next to each other? In that case, I am very curious about the argument. Or does she think that this law should become a framework law over everything that is called care? The answer on youth care is already considering whether this should apply. I am therefore very interested to hear the Minister's answer on this point.
ParlaMint-NL_2015-09-29-eerstekamer-8.u65	Then we have the same mindset. I'm also anxiously waiting for the Minister's answer.
ParlaMint-NL_2015-09-29-eerstekamer-8.u66	Mr. Chairman. I too would like to congratulate Mr Don from this place on his maiden speech and on his maiden interruption. After all the cuts in defense, the Salvation Army is about the last army still functioning in our country. I believe that this alone is why we should be sparing on the Salvation Army. The SGP appreciates the intentions of this bill. I would like to use this debate to ask some questions on issues that I do not think have been exhaustively raised in the House of Representatives and to ask some questions that arise as a result of amendments that have been adopted. The SGP considers it important that caregivers whose operation has been seriously deficient in the past should not be able to work with another institution without the relevant institution being aware of it and possibly taking measures. Although the Minister expects much of the obligation to change, the SGP is less confident that all dysfunctional care providers, for example, come into the picture by checking references. The request for the statement of conduct also provides only partial certainty. After all, these are only criminally prosecuted employees, not employees who are professionally incompetent. I therefore ask the Minister to work on a more coherent system that healthcare providers can count on. I believe that Mr Van der Staaij's amendment to item No. 58 enabling dysfunctional care providers to be tracked through the IGZ, more opportunities for this than the minister is currently using. Is the Minister prepared to develop a digital register accessible to healthcare providers in order to enable redundant workers to rehabilitate themselves? The message from the AMvB concept, which the Minister intends to give to potential employers, does not seem to be sufficiently useful at the moment. Is the Minister prepared to arrange for the IGZ to report immediately whether someone has been dismissed for dysfunction, what are the findings of the IGZ regarding the healthcare provider concerned, and what measures does the IGZ consider necessary to prevent the recurrence of dysfunction? Then I'll come to the conspiracy. At the moment the applicant's consent is still required to obtain references. Will that change now that it is legally required to consult previous employers? Is that an assumption? With the new reporting obligation after dismissal for serious dysfunction, the IGZ has a new tool in its hands to remove incompetent employees from care. However, I do not think that IGZ has any legal authority to monitor these care providers after the investigation. Is this assumption true? And if so, is it desirable to still regulate this power? Thus the obligation to report remains not just a paper tiger, but becomes a lion with teeth. The SGP welcomes the fact that the mandatory statement of behaviour has been replaced by a more tailor-made scheme for all healthcare workers. I would like to hear a substantive argument in the Minister's choice to make it compulsory now for healthcare professionals who work in an institution where elderly people, people with disabilities or people with mental illness live. I find the observation I read in the reply that this choice is between the wishes of interbranch organisations and those of client organisations rather lean. In reply to this question, can the Minister comment on the consideration of costs and benefits requested by the House of Representatives? Can the Minister indicate how many staff are present in the judicial documentation consulted in the investigation for the purpose of issuing a vog? Only when this is known can a balanced balance of interests be made between costs and benefits. The SGP is not entirely satisfied that the internal reporting of incidents will be 100% safe. I ask the Minister how she prevents caregivers from reporting incidents because the Public Prosecutor may be using information from incident registration in the detection of criminal offences only in special circumstances. Would it not be wiser to delete this power from the prosecution, because information on serious crimes must always be available in other ways? I note that the current reporting obligation for cross-border sexual behaviour involving physical, mental or relational dominance in relation to the undesirable sexual aspect includes more than the newly proposed reporting obligation for violence in the care relationship. Does the Minister recognise that sexual transversal conduct is a broader concept than committing one of the sexual crimes in the Code of Criminal Law? These are, for example, sexually-tuned comments made by aid workers. I assume it is not the Minister's intention to restrict the reporting obligation. Is that so? And does she want to fix it if necessary? I come to the part of the law that deals with complaints and disputes. The SGP supports the idea of initially having complaints and disputes resolved as far as possible between the healthcare provider and the patient. The new, intermediate role of the compulsory complaint officer can work well in this respect. I would ask the Minister to explain why she is not afraid that this bill will lead to a mix of complaints and claims with the Disputes Committee. Why wasn't it chosen to have complaints and claims dealt with on a temporary basis? Can the Minister comment on the fears of doctors that medical action will be too determined by the fear of a possible claim, leading to defensive action? The bill also introduces a new phenomenon, namely the collective action that can be introduced in a dispute settlement committee. Would it not be reasonable to continue to follow the provision of the WFD, in which the interest group should first try to reach agreement with the defendant? That is stated in Article 305a (2). This is more in line with the two-stage rocket, which is also chosen for individual complaints. I come to the end of my speech. After the amendment of Article 13 on the free choice of doctors in this Chamber was stranded, the Minister indicated in the Quality letter that she would make further demands on the quality of mental health care. In doing so, it wishes to use the powers conferred on it by Article 5 (2) of the Wkkgz. Is it possible for the First Chamber to get an insight into the concept for the General Measure of Management before the votes, so that we can involve them in our final judgment on this law? Since it is the intention to let that AMvB enter into force as early as 1 January 2016, it seems to me that there should already be a matured piece. I will close, but not after wishing Mrs Bredenoord a great deal of success in her maiden speech.
ParlaMint-NL_2015-09-29-eerstekamer-8.u67	I give the floor to Mrs Bredenoord. I'll ring the bell first so everyone knows there's a maiden speech.
