ParlaMint-NL_2015-09-22-eerstekamer-9.u1	I give the floor to the Secretary of State for Infrastructure and the Environment.
ParlaMint-NL_2015-09-22-eerstekamer-9.u36	Mr. Chairman. I'm actually rather shocked by the answer given by the Secretary of State. She is not familiar with the articles from the media to which I referred. Half of the Netherlands can't have escaped the fact that this week with big letters in the newspaper said "ProRail in court for tariff increase" and "Position of Mansveld particularly shaky." It's all there. It's all business that hits her wallet right away. My question is simply whether the facts are correct. If there's no answer to that, it's very annoying. I ask the Secretary of State once again to take a good look at it and come up with an answer to us. There was another specific question that I had left open, namely that of the budgetary costs included in the charging framework and the underlying empirical data and business models of ProRail and, as a consequence, my question about the fraud resilience and reliability of the financial administration. How much is the Secretary of State's confidence in that empirical data? How does it assess that data, except through a benchmark? I've been looking at a benchmark here. In my opinion, this is not of such a detailed level that it can be derived from it. To what extent does it have concrete confidence in this? Another point concerns the ACM. There is also a case currently under way, about which the Secretary of State sent a letter to the House of Representatives on 9 September and also to this Chamber. This concerns a complaint by the FMN against the ACM. The FMN is, for the sake of clarity, the Federation Mobility Companies Netherlands. The ACM has made a ruling on this, which specifically states that the user-related costs for the maintenance of the rail and the switches and part of the replacement investments have been unduly charged to rail transport operators. Therefore, a new calculation methodology should be established for ProRail's revenues. This new methodology was to be delivered in mid-September. Is it now available and, if so, can we receive it? Is it reliable enough? Finally. It is clear that the PVV will continue to oppose a European railway area imposed by Brussels. The Netherlands must be able to decide on its own railways, so must its own borders. The free movement of persons promoted in this proposal is a free movement for the Islamic invasion that is now flooding us. I really relate that to this proposal, because this afternoon we received the message "It was a press release from Deutsche Bahn "that there is no longer any international train traffic possible until at least October 4th, which is a long-term journey between Munich and Salzburg, precisely because of that invasion. This shows how much the European Union has failed and how much the open borders and the free movement of persons and goods are a mockery. It's a mockery and a direct threat. We have seen it with Islamic terrorists on our trains threatening the Thalys with kalashnikovs and the people there. The europhile dream of open borders is an unprecedented and uncontrolled chaos. This Brussels dictation does not make our railways better, cheaper or safer. On the contrary. Our group will therefore vote against this proposal.
ParlaMint-NL_2015-09-22-eerstekamer-9.u37	I would just like to respond to what Mr Van Hattem has to say here in the second term. I don't know if the mores say you shouldn't be interrupted in second term.
ParlaMint-NL_2015-09-22-eerstekamer-9.u38	After a maiden speech you may be interrupted in second term.
ParlaMint-NL_2015-09-22-eerstekamer-9.u39	Fine. I'd be happy to. The image that Mr Van Hattem evokes reminds me of the time when you had to cross at every border of one train. Is that the picture he has in mind, that if you travel from here to Berlin, for example, in Bad Bentheim, you have to switch locomotive and train?
ParlaMint-NL_2015-09-22-eerstekamer-9.u40	There's absolutely no need for that. As I indicated in my first term, we were already able in the nineteenth century to establish a direct connection between Valkenswaard and Paris, for which you could simply buy tickets. None of that is necessary. All we have to do is check our trains carefully. Put a customs officer on it doing checks. That is a much more essential factor. But the point is that we cannot support the current policy of open borders and the single railway area, which is the driving force behind this piece. You must see this as an explanation of vote on our part: this is simply a piece of Europhile ideology in which we do not want to go along.
ParlaMint-NL_2015-09-22-eerstekamer-9.u41	Last time, Mr. Flierman.
ParlaMint-NL_2015-09-22-eerstekamer-9.u42	The problem that Mr Van Hattem is now pointing out has nothing to do with the subject we are talking about.
ParlaMint-NL_2015-09-22-eerstekamer-9.u43	Well, the operative part of the document states that the creation of a single European railway area for the free movement of persons and goods. That is simply a point of principle which we cannot support and which we believe is a follow-up to. That is why we will not be able to support this proposal.
ParlaMint-NL_2015-09-22-eerstekamer-9.u44	Mr. Chairman. I will continue on the main line of our debate. Thank you to the Secretary of State for her reply. She herself indicated that she doesn't talk to us very often. I look forward to that being the case more often. I think this subject is worth it, too. If positions are determined this autumn by the cabinet around NS and Fourth Spoorpacket, there is every reason to speak more broadly about this in this Chamber. I would very much like that. Anyway, that's a choice that, of course, lies with us. For my group, it is important that the directive that we now have and which is transposed one-on-one into this legislation does not restrict the scope for making our own choices. I would like to get the most convincing answer from the Secretary of State, not just to say that it is. The most convincing answer is important for our voting behaviour. We think it is important that we can make our own reflections on our track. The Secretary of State indicated that these questions are getting very exciting when it comes to the Fourth Railway Package. I encourage her to choose her own position in this. If I let the list of countries that have not implemented the implementation come to my attention, thank you for the openness and honesty of the Secretary of State, I have to say that this is an impressive list. These are countries which do not implement or do not implement the implementation in full. I will not qualify it, but it must give us the room to make our own decisions; other countries do the same. I come to the big line, which occasionally came forward. The Secretary of State himself has tried to outline that large, long line, including by raising the profile of parliamentary history. We made choices in the nineties that didn't work out well. We conducted a "frills" policy.. the Secretary of State also took that word in the mouth............................................................................................................................................................... Things went well. I agree with Mr Flierman that competition on the sidelines, some of which were uneconomic, has worked very well. But the consensus in the Netherlands is that you must remain in control on the main grid. You have to let NS ride that and that must of course be done under the best quality conditions. But I think we're trying to straighten out those past weave errors in a long-term process. The Secretary of State indicated that she, like the Minister of Finance, is engaged in an important reflection. When we talked to the Minister of Finance about the state participation policy, he indicated that the new state participation policy would leave NS entirely in the hands of the State. I hope that will continue to be the case. What's the Secretary of State coming up with? Does she at least intend to lay down a vision? That would be important to me. We were just talking about Maarten Veraart's proposal, on which the Secretary of State reacted a little more inflamed. I hope there will be a clearer response to that. Is the Secretary of State planning to do that? The answer to that question is decisive for our voting behaviour.............................................................................................................................................................................................
ParlaMint-NL_2015-09-22-eerstekamer-9.u45	Mr. Chairman. The Secretary of State has answered for a long time, which we are rather disappointed about. I agree with the words of my predecessor, Mr Kuiper, who refers to the impressive list of countries that have not yet implemented it. I wonder how we can continue on this dead end, on our way to that Fourth Track package and be the best boy in the class. The Secretary of State also says that she has taken into account the input of the First Chamber. But I don't see that at all in what she's presenting to us now. The Secretary of State may imagine that I will advise my group not to vote in favour of this proposal for the time being.
ParlaMint-NL_2015-09-22-eerstekamer-9.u46	Will the Secretary of State be able to reply immediately? That's the case.
ParlaMint-NL_2015-09-22-eerstekamer-9.u47	Mr. Chairman. I think that at the beginning of his speech Mr Flierman said exactly what it was about. We have a great rail network in the Netherlands. We're in the global top three, looking at the quality. In the Fourth Railway Package, the possibility of direct award comes back. This is because the Commission has looked very closely at what we are doing in the Netherlands. We have a privately awarded main rail network with a quality that belongs to the top of the world. We have tendered the decentralised lines and we see that Mr Flierman has also argued that their quality is good. You can see that a combination of contracting and direct awarding works on a small, busy network of thousands of kilometres. I am very pleased with what Mr Flierman has said. Furthermore, I am very happy that his mother-in-law lives on a decentralised line that she is satisfied with. The role of the shareholder has rightly been taken into account. You're standing at a distance. You have a supervisory board and a board of directors to run the organization. That brings me to Mr Van Hattem's comment. I have of course read a number of articles, but I never know if I am complete. What matters is that the tone of those articles and their content is responded to by the organisation and by the Supervisory Board. They're in charge at that point. I turned those questions off. Mr Flierman said that paper and practice should be brought together. We've done a lot of paperwork. Then the practice turns out to be more unwieldy. I am talking about this with the unions and with the people in the workplace; they know what the effects are. I think it's important that the executives of NS and ProRail talk to each other. Because in the end, it has to happen there. In the end, it is important that the tracks are well located and the trains run well on them. Why is NS not a policy participant, has been asked. I saw that question coming. The difference between ProRail and NS moves in different ways. We do not pay NS compensation for the transport, while ProRail does receive a subsidy. Other carriers also use the infrastructure. NS has also considered privatisation in the past. ProRail has never dealt with this, because that is a national public task. Mr Van Hattem held up a benchmark. The management concession entered into on 1 January. I think it is important that there is a sound, insightful benchmark, on which it can indeed be steered. Because something that is vague rarely leads to more clarity. I have answered Mr Van Hattem's questions. The Chamber has also asked how we test empirical data. There are several instruments for that. You can think of a benchmark, but you can also think of audits. ProRail's board of directors is also sending this. In addition, several targets have been imposed on ProRail in recent years. They really hurt. It's sent at the cost of ProRail. Recently, the series of maintenance, management and replacement of ProRail have been fully vetted. These are series up to and including 2028. The question of whether these costs will be sufficient in the future has been examined. This is the subject of a report with a number of recommendations, and we will look at it again. So, how did we test it? We do it that way, among other things. I am not talking about the agenda of this Chamber, but when I hear the debate here and when I hear how much interest people are in the developments, I do not mind coming here to talk about a number of issues, such as the Fourth Railway Package. Mr Kuiper asked for a convincing answer. I've been very busy with the Fourth Railway Package for the last year and a half. This directive is framed. He has a beginning and an end and is clearly defined. We have played an important role in the creation of the Fourth Railway Package. As I said, the Netherlands played a leading role in the creation of the Fourth Track Package by considering whether it was still possible to obtain the direct award, which was not in it at first. The Fourth Track Package is about steering on quality rather than on means, tendering or direct award. The point is that there is a guarantee of quality and that it must be tested, both in the case of procurement and in the case of direct award. Those opportunities, the scrutiny and governance are all in the Fourth Track Package. That's where those choices are made. Why did I go to war like this? The conversation about direct award was and is quite exciting. I entered into this discussion because the Chamber handed out a yellow card because of the principle of subsidiarity. I believe that a European rail network will benefit goods and passengers. It is also about the quality of the material. There is also a technical pillar in the Fourth Railway Package. I believe that the standardisation and harmonization applied in this area will be of great benefit to the sector. However, I think it is important that we can make our own choices. With regard to the choice of tender or direct award, we have in any case in the Fourth Track Package that it does not start in 2023, but that it connects to 2025, to our concession. I think we should make that choice ourselves. That's what happens in the Fourth Rail Package.
ParlaMint-NL_2015-09-22-eerstekamer-9.u48	The Netherlands is one of the few countries to implement this directive. When the Secretary of State comes to Brussels to conduct a difficult negotiation and finally to draw a direct award out of the fire, they do not say to her: wait a minute, did your Chamber not just implement this directive or did it not just agree to it? I have expressed a few fears that this could happen if we adopt this bill, but does the Secretary of State say that this will not happen to her?
ParlaMint-NL_2015-09-22-eerstekamer-9.u49	That's not gonna happen to me. Nor have I said that other countries are not implementing this directive. The European Commission is watching to see whether it has been implemented and there are countries that have not yet fully implemented the Directive and are at a certain stage of the process like the Netherlands. I think I have been unclear on this point, because if all these countries did not do it, the European Commission would do a great deal of work. Those other countries are also working on it, but Sweden is ahead of us.
ParlaMint-NL_2015-09-22-eerstekamer-9.u50	The statements on the open market and competition on all lines, which the European Commission is thinking of, can be ignored by the Secretary of State, but the Secretary of State says she wants to remove the other point, namely the granting of private concessions. Is that right?
ParlaMint-NL_2015-09-22-eerstekamer-9.u51	I want us to be able to choose how to fill that out. I'm fighting to cut up a main rail. In the Dutch case this is extremely awkward because of the fact that it is so busy and so intensively used. When I mentioned Paris as an example, France suddenly became very alert, because you have to imagine what happens in practice when you divide Paris into six pieces. So we have several conversations within the framework of the Fourth Railway Package. I hope the proposal is in two weeks' time. I assume that's why it's in the possession of the Chamber.
ParlaMint-NL_2015-09-22-eerstekamer-9.u52	The discussion I have just had raises the question of how much benefit we have for the EU and for Brussels. Why isn't it better to just take care of these things as a country? What is the real advantage of this? I simply cannot find that out in the proposal before us.
ParlaMint-NL_2015-09-22-eerstekamer-9.u53	That's an open freight network. It's not just about the travelers. You can also think of the harmonisation of pieces of technology and freight corridors, for example from Rotterdam to different parts of Europe. The Netherlands has a renowned position in the field of rail. Harmonisation and market opening, on the understanding that we can complete things ourselves as we want with the direct award, can only produce quality.
ParlaMint-NL_2015-09-22-eerstekamer-9.u54	But that still does not answer the question of why we cannot simply settle this with the countries concerned on the lines in question. A hundred years ago, we were able to drive the Orient Express through all of Europe to deep in Asia and now suddenly we need the moloch from Brussels to settle this. What is the real advantage of the Brussels bureaucracy over our own insights, which means that we have to fight to get our interests out of the fire? That remains an irreconcilable contradiction for me.
ParlaMint-NL_2015-09-22-eerstekamer-9.u55	I think that the essence of Mr Van Hattem's speech is in his last sentence. We will never get closer when it comes to Europe and Brussels. Mrs. Meijer called us the nicest boy in the class. The Netherlands is very good at implementing business. Keeping things in order is in our culture. However, as I said, other countries are also implementing this directive. I just told you who's ahead. Mr Kuiper has asked about the research that is out on the NS. It's not like the NS investigations mean we're going to revisit the order. A year and a half ago, the cabinet decided on the order. That's how it is right now. We will continue to follow the developments of the NS. I'm involved because I'm doing the transport concession. The Minister of Finance is involved as a shareholder. But it's not like we're going to have a new structural discussion to see if we're going to position the NS differently, for example in relation to ProRail. I'm assuming I've been complete with this.
ParlaMint-NL_2015-09-22-eerstekamer-9.u56	One last question, though. The Secretary of State just said that she dropped the questions about the usage fee and the financial administration and all the problems there were at the Supervisory Board. When can we expect a possible answer to that? Is the Secretary of State also prepared to send that reply to this Chamber?
ParlaMint-NL_2015-09-22-eerstekamer-9.u57	I didn't say "use fees." I have said that the questions also asked by the House of Representatives in response to published articles will be answered by the Supervisory Board. The House of Representatives has set a deadline for this. I'm assuming we'll meet that deadline. This means that the answers will be available next week. They're public documents. I have no problem sending it to this Chamber as well.
ParlaMint-NL_2015-09-22-eerstekamer-9.u58	Another question has not been answered. I also asked about the procedure between the FMN and the ACM. When will that be clear? When is the calculation system revised, the method?
ParlaMint-NL_2015-09-22-eerstekamer-9.u59	That's right. ProRail is currently working on some clarifications in his calculations. These will first go to the ACM, which then gives its opinion on the new calculations. That could lead to adjustments, but I don't know yet. For that, I first need the research and the ACM's ruling on the new proposals.
ParlaMint-NL_2015-09-22-eerstekamer-9.u60	I understand you had just completed your response.
ParlaMint-NL_2015-09-22-eerstekamer-9.u61	I'm here to deal with the bill. Does one of the Members wish to vote on the bill? That's the case. I propose that we vote on this bill next Tuesday.
