ParlaMint-NL_2015-03-10-eerstekamer-3.u1	I would like to welcome the Minister for Housing and National Service to the Upper House.
ParlaMint-NL_2015-03-10-eerstekamer-3.u31	Governing is forward-looking. That is certainly the case when it comes to housing, housing or the layout of the city. It's as simple as that. I call it the Painting District. In the beginning, that was a decent neighborhood. The Bijlmermeer was also known as a decent neighborhood. There was no question about that. In the course of time, all kinds of processes have taken place. We all know the cottage milkers; we all know the process in the Bijlmermeer. The ageing process makes neighborhoods vulnerable. Why are homes posted by investors? The answer to that is simple. It's a financial reason. The return goes down, the maintenance is getting closer and so it's going to be "you can say it's very sophisticated," but you can also say it's being dumped. They're financial motives. It is perfectly normal in that world to make a second battle after ten years of exploitation. That's a very normal way of thinking in that world, only it's the question which city we have after that. That's what this is about. Then I come to the final issue, namely self-determination and self-management. Does this law offer a new future for the social housing sector and the social housing system? In our view, a modern housing system is, in principle, property-neutral. There is no room for an artificial separation between buying and renting, for a distinction between the social classes, between independence and dependence and between self-determination and no access to control. Citizens make up their own minds about how they want to live and are given the opportunity to find an appropriate form for this. That can be rent or buy, as long as it is a truly self-made choice. Such a free choice for a home, a neighborhood and a neighborhood will therefore be a positive choice. In addition, you want this positive choice to lead to a greater willingness to invest in the management of the home and living environment by the citizen himself. For me, the Schilderswijk in The Hague is still a striking example. There we are dealing with 12,000 homes, 20% of which are residential properties and 80% are managed by three corporations. Of those 12,000, one corporation, namely Haag Wonen, owns 7,403 properties. And Vestia, the second, is no longer able to invest properly. It is crazy, neighborhoods like the Schilderswijk would benefit if the residents were given more co-responsibility for management. Remkes would say: they are Eastern European states. As a result of mergers, this was done in this way. We are talking about a district that is bigger than many Dutch cities, with one dominant landlord. You can see that there are hardly any substantial initiatives for self-management in that area, other than the fragmentation of individual homes. The battle has not yet been struck, but social renewal is also, and perhaps right, that the citizen is given responsibility for his own home and living and living environment. The core of a future social housing system is freedom of choice and the right to self-management. To enable self-determination and self-management within the home system, we must free ourselves from our traditional ways of working and thinking. This calls for a cultural change with the Dutch people's house. It must separate itself from institutional thinking. Together with active citizens, this must be possible. When it comes to citizens' initiatives in the field of living, there are two developments that can have a new meaning and that is the right to self-management, the right to manage, in the case of complex social housing and the transfer of housing to the housing corporation of incumbent tenants. In the written questions we also raised the right to manage. In England there is a legally anchored system that allows tenants to take care of the maintenance of their own complex. Self-management for tenants is attractive, because it allows residents to keep living within certain conditions more affordable and liveable. The experience in England with this is encouraging. We would like to make such a principle possible for tenants in the Dutch social rental sector. We would therefore like the cabinet to legally lay down this right to self-government for incumbent tenants. My group welcomes the fact that the debate on the landlord tax has at least led to the inclusion of housing co-operatives in the social housing system, but the inclusion of housing co-operatives in the law is not enough. Professionals in the social rental sector are still finding it difficult to distance themselves from the idea that "their" tenants want to be self-employed. Here, too, there is still a major cultural battle to take place. In order to bring this culture together, it is important that the Minister and his ministry also actively promote the modernisation of our housing system, not by imposing the co-operation of housing from above, but by actively seeking the positive power of municipalities, housing corporations and tenant organisations. I have found that there is a willingness in the cities to cooperate if there is a joint programme in which exemplary projects can be initiated. In this way, experiences can be exchanged and barriers can be reduced. From my own practice in Almere I know that with the system "I'm building affordable in Almere" there is a financing method that fits very well with the transfer of existing rental homes to incumbent tenants, including tenants who are normally not eligible for a mortgage. The existing 50% discount scheme is a very good starting point for this. In fact, the corporations will then be co-financed by these new housing cooperatives. Not only will money be released, but at the same time greater involvement of citizens themselves in the immediate living and living environment. I think it is important that today, as a Chamber, we send a signal to the social rental sector and the cabinet that we really want to anchor this as an essential part of the public system. The second point is living, care and services. In fact, we believe that we should move away from the very strict separation of living, care and services. Especially now that the decentralisation towards the municipalities has taken shape or is about to take shape, it must be possible to overcome this division. I can talk very much about this, but for the sake of time I will not. For people who have a high income and who organise themselves, it is quite natural that living, care and services have been brought together in full. The strange thing is that we have public services and we see them as separate developments. For the sake of clarity, I refer to my text.
ParlaMint-NL_2015-03-10-eerstekamer-3.u32	It is not that easy to get away, I say to Mr Duivetteijn, at this point of living and caring. This cabinet has dealt with the separation of living and care due to the lack of transparency of costs. I support Mr Duivetteijn when he says that living and caring for people are physically impossible to separate. If you build life-proof, you could also build so that older people can stay in places where growing care can be provided, from home care to community care, without getting all kinds of difficult processes with buildings that we are closing down, care homes and nursing homes, where very few people really want to stay. I think it would be much more interesting to start a discussion in the longer term, or at least now, about the removal of walls between pensions, money we spend on care and money we spend on living, without suggesting in this debate that we should remove the separation between living and care. It is precisely in order to achieve much greater transparency that we have achieved this separation. So I do not agree with Mr Duivetteijn on this point, but I ask him whether he would not find it much more interesting to look for semi-permeable walls in the three pillars we know in the Netherlands, while concrete walls stand between these pillars or columns. In the long term, this might also provide a more future for the changing composition of the population, the double ageing population, the hazing and much more creative thinking about how much money you want to live well for later.
ParlaMint-NL_2015-03-10-eerstekamer-3.u33	Of course. I also use this debate to reflect, as it is called. In this sense, we are considering this issue. I also hope that the Minister will go reflectively a step further than the exact answer to the questions relating to the law. We also use the moment, let us be honest. There are very different levels of care. Why don't you go to the Benoordenhout and walk into any residential building? In general, people over the age of 55 live there. They have organized for themselves that there is a restaurant downstairs and that there is a pedicure. They have also ensured that doctors can be summoned, that there is surveillance and that domestic help is provided. In short, there is an integral package, but they do live independently. It is fascinating that we live in the Netherlands and have strictly separated care. The social rental sector is made up of landlords of homes, with exceptions. Furthermore, these landlords remain out of the picture. For the future of the social rental sector, it is incredibly important for an integrated package to be offered. There's a lot of ways to do that. This does not necessarily have to be done by the social rental sector itself. In the past, there have been forms in which an integrated package could be delivered. Now they have indeed become two separate worlds. I do not wish to conceal the fact that I had a discussion with Secretary of State Martin van Rijn on how to achieve the integration of housing and care at the basic level. The same applies to pensions. There are also opportunities to take steps. So far it's all very static because people with lower incomes are being cared for and the departments have made separate boxes. It has to be justified by department. Only, fortunately, life is not organized in a departmental manner.
ParlaMint-NL_2015-03-10-eerstekamer-3.u34	I'll back you up on that theorem. It's an interesting debate. We do not have enough debates of this kind here. We are not looking for links through sectors to answer questions that are coming to us very quickly. I call it the ageing population and longer independent living. We have separated the costs of living and caring, because we wanted much more clarity about what these costs mean for a citizen, regardless of the income of the citizen. It's everybody I care about. Like you, I want people with lower incomes to be able to live permanently with additional services in the neighbourhood in the long term. The transfer of district nursing to municipalities is a nice step to make this possible. I don't want any intransigence in costs. Otherwise, accommodation costs will be charged on the cost of care which will be very high or care costs will be "verschmerzt" in rents, so you can no longer trace whether the rents are still based on the cost. I would much rather have a different approach to the debate. I share the analysis, but I seek the solution in breaking the pillars between retirement, care and living. To this end, I would like to find new answers to the questions that many citizens face, both low-income citizens and high-income citizens.
ParlaMint-NL_2015-03-10-eerstekamer-3.u35	I have the specific question in my text as to whether the Minister is prepared, together with Secretary of State Van Rijn, to consider, in the light of this reflection, how this integration can be achieved in a creative way. Then I'm mainly talking about what's important to people in everyday life. I understand the concerns you express very well and that transparency is desirable. I'll see what happens in the neighborhood. There are no separate circuits. We can always use youth aid as an example. The whole world, all the professionals are gonna collapse there, apart from each other. This scare is becoming increasingly dramatic in living and caring, as ageing is becoming a more important aspect. You also need to open the assets of the corporations to a number of activities that are not currently identified in that way. In my opinion, this capital is present. It is strange that we are so statically thinking about this whole thing. If you transfer a lot of homes to housing cooperatives, a lot of money will be released that you can reinvest socially. We do not, however, do so. GroenLinks spokesperson spoke about the rents. However, these are mainly determined by the way in which we organized liquidity and the way in which we made it non-dynamic. There is still so much to gain in terms of creativity.
ParlaMint-NL_2015-03-10-eerstekamer-3.u36	Mr. Van Boxtel, for the last time.
ParlaMint-NL_2015-03-10-eerstekamer-3.u37	It's worth talking about. I would also like to hear the Minister's response to this analysis. I welcome Mr Duivetteijn's plea for a sector-wide search for new concepts. The housing cooperative can be a very good vehicle. However, I am putting my finger on the restoration of the separation between living and care costs that has now finally been achieved. I sensed that wish at the beginning of Mr Duivetteijn's speech.
ParlaMint-NL_2015-03-10-eerstekamer-3.u38	Mr Van Boxtel is now giving me too much intelligence.
ParlaMint-NL_2015-03-10-eerstekamer-3.u39	No, we've known each other for a long time and I weigh every word that Mr Duivetteijn says.
ParlaMint-NL_2015-03-10-eerstekamer-3.u40	Yeah, but when you get older, it gets... I share that concern, of course.
ParlaMint-NL_2015-03-10-eerstekamer-3.u41	I'm almost sorry we don't have an interruption microphone there. The legislative proposal now before us is strict in the sense that fine initiatives that have been very creatively taken up by housing corporations are almost impossible in some respects. My best example is what happens about 400 meters behind my house. I live in the Veenkoloniën where many people with very low incomes live. They cannot afford to live in such an apartment complex that Mr Duivetteijn has just spoken about. There was a small nursing home, an annex of a larger house in a large place. A housing corporation has built two apartment complexes there, one with rental houses and one with properties for sale. It is one project and with the profits on the properties the foundation costs of the rental houses could be reduced. As a result, people who depend on rent surcharge can rent an apartment there. This is almost made impossible by this law. That's too bad. I would be very pleased if there were some sort of experimental space somewhere that would enable initiatives which Mr Duivetteijn is referring to and which I have just mentioned to be possible and can be judged on their targets.
ParlaMint-NL_2015-03-10-eerstekamer-3.u42	Of course, I agree with that. I would like the Minister to reflect on what we have now discussed in general. The revision law is necessary, it is fantastic that he is there and that the correction is taking place, but the day after the entry into force there will be discussion about the future of the housing system and different parties will have different views on it. I'm convinced of that. The election programme of the VVD will be very different in terms of the future of the social rental sector from that of the Labour Party. That is understandable, but I see in the law the risk of a standstill and too strict restoration, perhaps in such a way that the result is different than reality ever looked. The question now is how we can work on a new future at the same time. Those openings need to be created. I share the view that you should be able to experiment, that you should create space and that it shouldn't be too rigid.
ParlaMint-NL_2015-03-10-eerstekamer-3.u43	Would you like to finish?
ParlaMint-NL_2015-03-10-eerstekamer-3.u44	Mr. Chairman. I'm rounding up. Finally, I would like to raise one important issue relating to the revision law and, in particular, its scope. That is something that is oddly underexplained with a certain amount of regularity, namely that one target group in the social rental sector is also the influx of asylum seekers into our country. At the moment, we have around 28,000 people in asylum centres. Most of them are in a procedure and, of course, accept the limited housing opportunities. Of those 28,000 people, however, there are currently no less than 12,000 so-called licence holders. These are asylum seekers who have officially completed the procedure and who have been admitted to our country. The law requires a marketing authorisation holder to be placed in a regular residence within 14 weeks. I understand that out of the 12,000 already about 5,000 licence holders have been waiting for a regular home for more than 14 weeks, while 1,000 of them have been waiting for their homes for more than six months. In combination with the time they are in the asylum centre, this is actually a very undesirable situation, both for the functioning of the asylum centres themselves, because they are full and cannot function properly, and for the people themselves, who are often in a difficult housing situation with children. How is it that, in a country in which we have a social housing sector with 2.4 million social housing in its portfolio, it is structurally stagnating with the placement of asylum seekers? "Rules are rules" is a widely heard and unsophisticated statement, which I will not use soon, but you can expect the government to respect fixed deadlines. Because we are talking about a target group and a core task of the social rental sector. I would like the Minister to address the current situation within those asylum seekers' centres and, in particular, the question of how it is possible not to place them in good time. Finally, I would like to hear what he intends to do about it.
ParlaMint-NL_2015-03-10-eerstekamer-3.u45	Mr. Chairman. The laws before us have come a long way. When in the spring of 1994 the housing corporations agreed to the bruter operation, the operation Heerma, which has already been mentioned, it was already clear that the supervision and task of the corporations required further legislation and regulation: the public embedding. With wisdom afterwards we see indeed how necessary this was, as corporations soon began to understand their independence as a tilting to the market; they went commercial. This was in line with a time when liberalisation and market forces seemed to be the solution to the problems of the government. In the meantime, fortunately, we are looking at this more nuancedly, especially when it became clear how much part-interest and commercial interests could run with semi-public institutions such as the corporations. Now, where necessary, we restore political primacy and independent supervision. Corporates work with socially-bound assets and the corporate sector also needs further regulation, regulation and proper supervision. The parliamentary inquiry of the House of Representatives, which I only have to mention here, made that clear. These laws are a final piece of legislation, or perhaps we should say, a new starting point for the future of housing. Our group shares the principles of this law: the corporations go back to their core task, a smaller scale and a clearer area of their own, namely affordable housing for people with a small stock exchange, a division with commercial activities and the creation of a new supervisor, independently of the Ministry. The Law on Standards also addresses the income of corporate directors and, in the light of recent reports on the addition of income, this is certainly one of the cultural changes that need to be made. We support this direction of policy. These laws have had extensive parliamentary treatment in the Lower House. My group does not need to repeat it here. That actually limits me to my task. I do have a few more questions, because it is clear that there will be diffuse areas that will require the steering hand of a minister in the future. I would like to mention three areas where that occurs. I shall reflect on that and ask the Minister's response. First, there is much to do about the separation between SGEIs and non-DAEBs. It is clear that not everything can be cut with scissors. Under SGEI, the core tasks of an authorised institution have been identified. The Minister wants to ensure that this core task is restored, so that, for example, building schools or projects can be covered by the heading 'liability of life'. However, corporations do have room for their own development task, in consultation with municipalities, of course, and this can take place on the border areas between SGEIs and non-DAEB. This includes new housing concepts and the like. We had the conversation about that a moment ago, and I support that, including the question of whether there is an experimental space. Allowed institutions may support activities of tenants where this promotes social cohesion. How far does this and how much policy space do corporations have? My group would like to hear a sketch from the Minister for the Future of Corporations, precisely at this interface of SGEIs and non-DAEB and also with the possibility of moving, flexibilising and experimenting. I would like to put another question to you because the division between SGEIs and non-DAEB has a background in European rules on State aid. The treatment in the Lower House showed that there is a broad political desire to see housing as national policy, especially given the history and social anchoring of corporations in our country. This also calls for a separate national policy area. I'd like a response from the Minister to that. Secondly, as far as my group is concerned, there is an important discussion about the involvement of tenants in corporations. When many corporations became foundations and companies, tenants lost a lot of influence. It will be said that this development was inevitable, as a result of the demise of the Netherlands, but the turn-off that was taken did not focus on more commitment and responsibility, but on efficiency and market thinking. Citizens came to stand at a distance. We already have a lot of analyses on this at home. In many places in our society, there is now a call for more influence from citizens, a call that follows on from a new look at the principle of freedom of choice. That must not only be the freedom to leave somewhere, exit, but also to have something to say, a voice. In this light, the proposal to support residential cooperatives from corporations is an interesting one. This is the honoring of a positive wish from tenants. The question will be whether this is enough, given what is now laid down in the law on this matter, but we will have to wait and see. In any case, corporations are turning more towards society, and we want to strongly support that. Important amendments were adopted in the House of Representatives on the subject of tenant input. I would like to hear the Minister's view on this point of influence of tenants on corporate decisions. How will this issue develop in the future? Thirdly, there are questions about the relationship between corporations and municipalities. On this point too, there is a certain diffuseness, which has already been mentioned in previous contributions. Corporates and municipalities must work together. They are expected to work intensively with each other, but it is not entirely clear what the fixed instruments will be for this. There are non-compulsory elements in this cooperation, such as whether or not to develop a residential vision and whether or not to inform each other. The VNG believes that this is too diffuse for municipalities, but I would like to hear the Minister's views on this, even now that we have the law as it came from the Lower House since December. Can the Minister give a clear picture of his intentions with regard to this cooperation between corporations and municipalities? My final comment concerns the new supervisor, the Authority Housing Corporations. After the turn of the parliamentary inquiry and an amendment in the House of Representatives, he was given a somewhat different place than in the Minister's proposals. On this point, we would like to hear the Minister's views on this new proposal once again, especially since this minister is also leading the larger operation to bring back as many Zbos as possible under ministerial responsibility. The letter of 5 February shows that in that new Authority Housing Corporations two elements are given the full pound, on the one hand independence of supervision and, on the other hand, full ministerial responsibility. How does one relate to the other? We look forward with interest to answering our questions and further reflection on this law.
ParlaMint-NL_2015-03-10-eerstekamer-3.u46	Mr. Chairman. A third of the Dutch population lives in a house managed by a housing corporation. The Netherlands has therefore, relatively speaking, one of the largest social rental sectors in the world. It is therefore understandable that reform in such a sector is not an easy task, all the more so because reform has a direct impact on a large number of people. We have also noticed this in this Chamber. I remember a very difficult debate in December 2013, in which the landlord's tax almost led to the loss of the housing agreement. Fortunately this could be prevented, partly thanks to a letter and the embrace of the idea of creating a housing cooperative; I will come back to that later. Despite these obstacles, my group believes, especially after the parliamentary survey, that structural changes in this sector are urgently needed. My group therefore welcomes the fact that this government is taking steps with this proposal to get the housing sector back on track. I am looking at Mr Kuiper, who has led a major investigation here to find a new balance between full market dominance and the question of what needs to be more public. Thanks to its size, the housing sector has a wide variety of interests and interest groups. In order to achieve a balanced, fair and cost-effective policy, all parties should have a say in policy-making. However, this has often not been the case in the past. My group is therefore pleased that the balance in this legislative proposal is being sought by giving the tenants, in particular, more say. I hope that this will be a form of participation that not only brings back the romantic desire for the past; I look at Mr Duivetteijn with a slanted eye, because of course I also remember the boards of the old housing cooperatives, which were soon told about the one gentleman with the matted cigar who was allowed to talk but also did not know what it was about. That's not what we're talking about. I am not talking about a restoration to that time, but about new forms of participation and involvement. The presentation of members of the Supervisory Board and the Complaints Committee and the possibility of consulting with the Minister and the Housing Corporations give the tenants a better negotiating position. The proposed housing co-operative also allows tenants to develop new initiatives to improve their housing and their living environment. As I mentioned in my contribution to the debate in 2013, my group believes that housing co-operation can be an interesting addition to our housing system. I therefore support Mr Duivetteijn's call for a deepening and possibly an action programme. Perhaps this will lead to a motion. The new initiatives come not only from the tenants. The housing corporations themselves also come up with ideas to fulfil their core tasks more efficiently. An example is the conversion of vacant office buildings into housing for target groups, such as older people and students. Mr De Vries just gave a nice example from East Groningen. There are also very good examples, but of course there are many examples of places where too little is happening. My group is curious to see how the Minister is looking at the initiatives to convert empty office buildings into homes for target groups such as the elderly and students. Does he think that enough is being done? Are the initiatives profitable? And in what time will large-scale initiatives be launched? It remains a curious phenomenon that on the one hand there is a stagnant housing market, while on the other hand there is a dramatic vacancy in office buildings, especially in the Randstad. So there is still too little matching of the surplus in one domain to alleviate the deficit in the other. I come to the reserves of the housing corporations. It is understandable that housing corporations need a financial buffer in order not to have to fall back on a guarantee fund or public support at the time of emergency. However, it cannot be the intention that housing corporations should build up very large assets, whereas that money should actually be invested for their core tasks. My group would like to hear from the Minister about the financial reserves of the corporations. Have they now increased or decreased as a result of the landlord levy? And what does this mean for the tenants? I saw a message a month ago, and I believe in the ESB...... that the reserves of the corporations have increased enormously. It would be strange if that were true. Perhaps the Minister can verify this message, because less than a year and a half ago we had the dramatic display of the landlord tax as if almost all the corporations in the Netherlands were to be referred to the kingdom of the damned.
ParlaMint-NL_2015-03-10-eerstekamer-3.u47	If the answer is given, it is also good to take a quick look at how much is still built in the past and how much money is actually invested in what they are meant to be.
ParlaMint-NL_2015-03-10-eerstekamer-3.u48	I am happy to take this addition with me in my questions to the Minister. Another concern for my group is raised in ING's investigation, which came out last week. It concluded that housing outside the Randstad will not increase in value over the next ten years and in the Randstad it may. What impact will this have on the development of the social housing sector, according to the Minister? Those things can never be separated. The parliamentary survey showed that the monitoring of the housing sector was inadequate. Mr Duivetteijn has just asked for the necessary information. And to my question to him, how can it be that there have been motions on this matter 20 years ago, but that there has been no increased supervision, I would also like to receive an answer from the Minister. Given the semi-public nature of housing corporations, a significant proportion of their financial resources have been financed by public funds. Failure of supervision allows for the leaking of these public funds and can lead residential corporations to stray from their core task, namely to provide social housing, including the environment. Because supervision, as it was previously organised, was not sufficient, D66 also argued for an independent authority in the House of Representatives. My group is therefore pleased that the Housing Authority will fill in this place and monitor the protection of social property. In doing so, it is a positive development that a division of SGEI and non-DAEB tasks and a mandatory legal or administrative separation of residential corporations are in place. This will ensure the necessary transparency and clarity that will allow the Housing Corporations Authority to monitor closely. This will hopefully help to prevent abuses involving public money in the future. As my group has already asked in the written questions, D66 attaches great importance to the independence of this authority. That is why I urge the Minister to carry out the positioning of this authority with care. I wonder if he has any further thoughts on this. My group also considers it a positive development that regional areas of work for housing corporations are agreed. The parliamentary survey has made it clear that within the huge corporations the "moral awareness" was sometimes far-fetched. This did not benefit the performance of the core task. This led to policies that mainly affected the tenants. It also allows corporations to focus on the regional issues that are at stake in that particular region. Almost all colleagues here know that the Schilderswijk and the Veenkoloniën really require a different focus from those involved. Moreover, the corporations have to draw up a housing vision in consultation with the municipality. I would like to add my voice to those colleagues who have been thinking about this. My basic attitude is that municipalities will do so in a good way. That's what I'm supposed to do. It should then be examined at regional level whether it is appropriate for the specific area.
ParlaMint-NL_2015-03-10-eerstekamer-3.u49	It's about the last sentence. That's what I'm supposed to do. I remember from my time as a deputy at the beginning of 2000, when they asked for housing visions and housing plans. It is now 2015 and not everyone has drawn up housing visions and housing plans. The whole system stands or falls with that. A corporation does not have to comply with the obligations if a municipality does not have a living vision. If it stands or falls with that and you know it's been going on for so long, when do you learn lessons from the past?
ParlaMint-NL_2015-03-10-eerstekamer-3.u50	I agree with Mrs De Vries that those who remain on their hands and do not have the guts to make a good story about future housing development deserve a slap on the wrist. I explained my basic attitude in the interruptive debate I had with Mr van GroenLinks. This law fits in with the completion of the failure after the survey and everything we have found. You're gonna have to start trusting me. We must say that this is a task and you must take it up. Where there is a failure, we need to see who is called at first instance to resolve this. Are these the provinces or is it the Ministry's move? I would prefer to have as effective a mechanism as possible to ensure that the hole is provided for where it is abandoned.
ParlaMint-NL_2015-03-10-eerstekamer-3.u51	I would like to tell Mr Van Boxtel the following. I agree with Mrs De Vries that there must be a living vision. I know that in the city of Utrecht, not a small city, wonderful agreements were made four years ago that were laid down in Build to the city. This is a thick book with everything in it, but there is no question of complying with all the fine intentions of the corporations. The corporations say they can't do it financially, and the alderman stands by and says he can't do anything. How do we enforce that? We have nothing to gain from a paper-based housing vision that is not being carried out.
ParlaMint-NL_2015-03-10-eerstekamer-3.u52	I think it's a pleasure that the alderman's power comes back a little bit. It has really been absent for a long time, because the municipality was mainly a asking party and not an effective party. It is also part of our role to talk about compliance and effectiveness. In my view, it is not only a good vision but also a toolbox to enable it to be implemented. In the sector in which I worked until recently, all kinds of protocols and things have been agreed, but in practice things sometimes go differently from what was agreed. Then you must also have a sanction mechanism. I start with the question of how far you can agree, for example, with the VNG and the dome, that these residential visions are really being drawn up and implemented. We have no money, or: it's so hard, don't help. That is where my question of reserve positions comes from, for example. There will probably be local and regional differences, but I noticed that the lamentation of one and a half years ago was probably a blow in the air. Does the Minister expect the establishment of the regional areas of work and the residential vision that there will also be a real link with the region and will help the regional link with the adjustment of the moral compass discussed in the survey? I'm rounding up. In the past, there have been too many abuses in the sector to ignore the need for reforms in this sector. My group is pleased that the cabinet shares this urgency and that steps are being taken to restore the focus of housing corporations on its core tasks. Monitoring activities in the housing market will need to be monitored more carefully and agreements within the sector will need more clarity and insight. My group believes that this proposal is a step in the right direction. I too, in line with Mr Duivetteijn, Mr Schouwenaar and others, urge that we not only monitor developments within the sector, but also monitor, through any body, the proper implementation. Because laws are beautiful, but implementation is often patient and there is no patience here.
ParlaMint-NL_2015-03-10-eerstekamer-3.u53	Mr. Chairman. We now know that the world of housing corporations is heavily polluted by fraud, self-enrichment, failed projects and failing supervision. Tenants and house seekers have been horribly abandoned for years. Thanks to the active work of the current minister and also due to the good work of the parliamentary committee of inquiry on housing corporations, the PVV has now finally come to the view of a large legislative proposal to deal with the problems. The Committee of Inquiry identified the fact that the corporations had far too much scope to carry out all kinds of other activities in addition to the core tasks as one of the main causes of all problems. The Committee of Inquiry is clear on this point. Anything that is not on the so-called SGEI list of core tasks simply has to stop the corporations from doing so. Thus, the corporations go back to their core tasks: building, renting and managing, without room for commercial ancillary activities and thus no longer with SGEI activities. The corporate directors and supervisors of the corporations have a maximum of one commercial ancillary activity in relation to the PVV. According to the Committee of Inquiry, the fact that directors and supervisors were in serious deficit had to do with the multitude of functions they held. The new rules, which have been lacking for so long, are being adopted today. As far as we are concerned, this is clearly a step in the right direction. The PVV will therefore be happy to support this bill.
