ParlaMint-NL_2015-10-15-tweedekamer-14.u1	The Minister is now moving on to his last block: the future-proof energy supply.
ParlaMint-NL_2015-10-15-tweedekamer-14.u60	Evacuating the word sounds rather ominous. In Groningen many houses need to be strengthened. A large number of bottlenecks from the past few years must also be resolved before the end of the year. In exactly how many cases that have led to people having to leave their homes temporarily or not being offered another house, I am not ready at the moment, but I am very willing to collect that information and communicate it to the Chamber.
ParlaMint-NL_2015-10-15-tweedekamer-14.u61	Very well, thank you. Mrs. Van Tongeren, you'd like to place a third interruption? It's possible.
ParlaMint-NL_2015-10-15-tweedekamer-14.u62	It's not just a planned move, because I still understand temporary accommodation. It also happens that a building is first strengthened and one day later it is said that it is actually unsafe and one has to get out. For such a family, no re-housing has been found. As soon as people live elsewhere, buildings are demolished. There's a lot of stories going around. Some will be right, some won't. I think it will help greatly to dampen the unrest when the real numbers come on the table, so that every six months, or at whatever time unit, we know how many houses have been demolished, how many people live elsewhere and whether there have been emergency evacuations. When people have the real numbers, you don't get a huge talking circuit with unrest, but it's also clear that it's a pretty big problem.
ParlaMint-NL_2015-10-15-tweedekamer-14.u63	I think it would be wise to let the information about Groningen, as far as that does not affect people's privacy, be public. Moreover, it is being asked by Mrs Van Tongeren, so I will try to continue with her question, which she has extended with her third interruption on this point. I will try to provide an adequate answer to this question.
ParlaMint-NL_2015-10-15-tweedekamer-14.u64	Mr. Chairman. Do you mind if I interrupt sometime?
ParlaMint-NL_2015-10-15-tweedekamer-14.u65	All right, then.
ParlaMint-NL_2015-10-15-tweedekamer-14.u66	For fun. It's only once.
ParlaMint-NL_2015-10-15-tweedekamer-14.u67	Your interruptions are always for fun.
ParlaMint-NL_2015-10-15-tweedekamer-14.u68	Yes. The Minister began his speech in a cheerful mood. Although there are 8 billion less natural gas benefits, there seems to be a growth outlook that is not too bad. He looked at me with a look: I'm a wizard. Maybe he is. I also find it interesting to see all aspects of energy coming through now. That is what this debate is for. That also shows how complex it is. The Minister intends to present a long-term energy vision later this year. I refer to the issues that are particularly important in the north, such as gas extraction, which can hopefully be reduced because the gas is almost on it and because the gas price is low, the social resistance to wind on land in parts of Groningen and Drenthe and the fact that you have quite a lot of poorly isolated homes and in any case relatively high energy bills because you have little urban environment. As a result, the energy bills in the eastern part of the country are a few hundred euros a year higher. I also mention the ambition to be an energy valley. Would that be a reason for the Minister to outline in that vision an integral perspective for those three northern provinces, in which all these matters are addressed? Would that have any added value over what he was already planning?
ParlaMint-NL_2015-10-15-tweedekamer-14.u69	According to Mr Smaling, I am acting like a sorcerer who is leading the economy in the right direction. That is absolutely not the case. The economy is managed by business and the people who work in it, the entrepreneurs and the workers. Important support is provided from the public sector and from the research sector. Besides, I don't know who looks more like a wizard when he's dressed up, Mr. Smaling or me. For the time being, I can imagine a little more from Mr Smaling. We'll try it out at carnival sometime. The long-term vision is reflected in the energy report presented to the Chamber at the end of the year. Mr Smaling asked for an integral perspective for the three northern provinces. I'm not really going to make that. We have put the provinces at the forefront of economic development. The provinces are making it happen. That goes for Drenthe, Friesland and Groningen. It's their job. If there are bottlenecks, we support it. I think that there are bottlenecks in Groningen in particular, but there are also many positive points. A lot of money is being invested because of what has to be done, also for compensation. In addition, we are also strengthening the chemical industry there. We have made available separate funds for the strengthening of economic structures. I would therefore like to leave it to what we have done so far on that point. I would like to leave it at the forefront of the provinces. So I do not respond positively to the question about the outline of an integral perspective for the three northern provinces.
ParlaMint-NL_2015-10-15-tweedekamer-14.u70	"Don't react positively" is that the same thing as reacting negatively? I was recently in the northern provinces. It was then about the phosphate rights in the dairy farming that are coming. The three provinces often act together if there is a shared interest. I can imagine that is also the case here. That's what happens in the Chamber. Some groups are hitting the new coal power station in the Eemsmond. Then we talk again about the parks that are intended in the peat colonies. Then we are back on the gas extraction, then again on Terschelling or near the small fields. It seems to me, but it is simply a suggestion that fits in with a debate like this, that it would not be so crazy for the people in that area and also for the way in which we are discussing it, to have a vision for the future of renewable energy for that north. That should mean a little more than the sum of the parts, if I may put it that way.
ParlaMint-NL_2015-10-15-tweedekamer-14.u71	I see it as my task to have a vision for the future of renewable energy for the Netherlands as a whole. All provinces are involved, including the three northern provinces. Nor should we suggest that the windmills fall from the sky there. Nor do I believe that Mr Smaling is aware of this. In Groningen and Drenthe the province simply indicated where windmills could be located. Then the initiators came within that perspective of the province with proposals. The province then applies the spatial planning procedures. It all goes by the book in an organised way in a multiannual perspective. We shouldn't suggest that there's only a little work done. No, it's all planned. I want to develop a sustainable energy vision for the country as a whole. I'm working on that. I leave the economic lead for the provincial energy within the national framework of the provinces. If provinces go into their regional economy, whether jointly or not, and ask for consultation with me and input from me, I am prepared to do so. This also applies in this case. Should there be a request from the three northern provinces on this point, we will consider, respecting them and my powers, how we can contribute to this from the state. Mrs Van Tongeren and Mrs Mulder asked me about the progress of strengthening the 3,000 homes in Groningen and about the link between strengthening and sustainability. I do not want to talk about words, but I have always said that I am ensuring that the Safe Living Centre builds up the capacity to strengthen 3,000 homes this year. We have independently monitored the centre. It comes with interim reports that are assessed by independent supervision, sent to me and then sent to the Chamber. At such a subsequent report, which will come soon, we can talk about the state of play. We have to realise that there are a number of special things involved here. In the case of these 3,000 homes, I am very pleased to see how this can be combined with sustainability, especially in the direction of the zero-on-the-meter housing regularly promoted by Mr Vos. These are homes, in this case older rental houses, which are equipped with an industrially produced shell. In one day, that skin will be around the house. The whole house is isolated with that. There's new facilities in that shell. The transport of heat is regulated via the shell. There will be new bathrooms and kitchens in the houses. They are lifted to a higher level in one go. It's a major procedure in the area. So that's what the people who live in those houses need to be talked about. We have made a plan to set up 150 of these houses first. This will lead to industrial production. Then 1,500 homes will have to follow. There is a need for consultation with the people, but there is also a need to maintain as much employment as possible in the north. I say that there is industrial production, but it is also being considered how to involve employment in the area in a responsible way. That kind of thing's all being looked at. Looking at that and that consultation is slowing down. I estimate that will be reflected in the reports that the Chamber will receive. I'll make sure that capacity is there. I'm fully committed to carrying out the reinforcements. I like to do this in a structural, sustainable way, as we are doing now with the zero-on-the-meter houses. We will look at how this will work in the coming quarters through the reports.
ParlaMint-NL_2015-10-15-tweedekamer-14.u72	If I understand the Minister correctly, the National Coordinator Groningen will take the sustainability of the homes with it in strengthening the homes. I hear from the region that it is often stuck on the last €20,000 or €30,000 needed for that skin. Does the Minister recognize that image? Is the Minister prepared to look, together with the region, at solutions to this problem?
ParlaMint-NL_2015-10-15-tweedekamer-14.u73	We also need to look at the shrinkage. We should not invest in houses that we will no longer need. We must also avoid oversubsidisation. We need to strengthen houses and I think we've taken a big step by working towards zero-on-the-meter houses. We must also establish the bill for the NAM in a reasonable way and through the NAM for the Empire for the earthquake problem, because it cannot be that everything is put on the account of the NAM/The Empire. The owners of the homes, the housing corporations and those who rent the houses must also make a reasonable contribution. I therefore do not want to make a commitment at the moment for additional amounts. It is up to the National Coordinator to develop plans for this. The National Coordinator will present its five-year plan before the end of the year. I would also point out that he is prepared to provide information on this multiannual programme. That multiannual programme will therefore also be able to provide more clarity on this issue by the end of this year.
ParlaMint-NL_2015-10-15-tweedekamer-14.u74	The Minister recognizes the problem and, by the end of the year, the National Coordinator will outline a solution that will be possible. Can I also say that the Minister is not automatically adding up money? Is that how I understand him?
ParlaMint-NL_2015-10-15-tweedekamer-14.u75	We need to set up this reinforcement in such a way that it has added value. I think the zero-on-the-meter houses are a very nice thing. It is also very good that we in Groningen seize the opportunity to start industrial production. We will also have to consider whether we can apply it on a larger scale elsewhere in the country. In the context of the energy saving exercise, we will have to further consider whether it can be moved to residential properties. I am ambitious about the zero-on-the-meter house, but at the same time I am not prepared to draw more costs than is reasonable. In Groningen we go far with the reimbursement of costs and the investment, but I do not want to go beyond what is reasonable. What is or is not reasonable could be demonstrated by the review in the multiannual programme that we will receive before the end of the year of the National Coordinator.
ParlaMint-NL_2015-10-15-tweedekamer-14.u76	Mr President, my last interruption. A long time ago, a large number of parties were working to save ALDEL's employment. This involved 600 employees. Isn't that right? I see the chairman shaking no.
ParlaMint-NL_2015-10-15-tweedekamer-14.u77	My head's a little loose sometimes. I'm sorry.
ParlaMint-NL_2015-10-15-tweedekamer-14.u78	I almost thought you'd just have to shake no every once in a while. I now read that Shell and Exxon are sticking to exactly the same profit target and that they are thus ignoring all the misery and hassle in Groningen. Furthermore, the NAM has to make substantial cuts, because it partly drops there. Moreover, it mainly falls down on the sub-contractors in the region. According to reports, that's about 2,000. The Minister writes in the written answer to my questions about this: those people will soon be able to get to work on restoring and building these houses. Why was that argument not valid for ALDEL, where the number of jobs was smaller? I know the Minister cannot force it, but is he prepared to look with Shell and Exxon to see if it is absolutely necessary for these companies to stick to the same profit target? The Ministry is often in contact with Shell and perhaps one can point out in those talks that it is at the expense of employment in the North. After all, there is a lot going on in that province.
ParlaMint-NL_2015-10-15-tweedekamer-14.u79	I can't estimate the relationship with the profit target. It is not clear to me at the moment either. In 2013, we made 54 billion m. Right now, we're pulling out 30 billion m plus 3 billion in Norg. Furthermore, we are considering whether we can move on to another system next year, which may result in even less natural gas being extracted. It seems logical to me that it has human consequences when a large company like NAM shrinks its activities. That seems inevitable to me. When Mr Smaling spoke about Eneco and DELTA, I said that we need to realise that fossil energy is becoming less. Sustainable energy, on the other hand, is becoming a bit more. On balance, 15 000 additional jobs per year will be added to this sector. In the period up to 2020, that will be 80,000 jobs. Those extra jobs are going to be in the north, too. Large-scale activities are taking place there, for example, with regard to the installation and maintenance of windmills at sea. So much for my response to what Mrs Van Tongeren has just said.
ParlaMint-NL_2015-10-15-tweedekamer-14.u80	I am pleased that the Minister supports the position that GroenLinks has been expressing for years, namely that employment needs to be found mainly in the clean energy sector. One of the things the minister said was that the NAM will soon reduce its activities. Well, there may be less gas coming out, but the activities will be increased sooner. One of the sectors in which the NAM is going to stop less money is maintenance. GroenLinks is worried about that. We must not get into situations there like in Schoonebeek, with leaking pipes, or other incidents in that area. The amount of activity required if you gain less gas in difficult circumstances will not be reduced. This is only, as it is also reported, pressure from Shell and Exxon on the NAM. The NAM brings it out like this, so I'm assuming this is true. This also costs employment. I would much rather have people working in clean energy, but now that we have gas extraction, I would like to keep up the jobs in safety and maintenance.
ParlaMint-NL_2015-10-15-tweedekamer-14.u81	I also like to keep the safety and maintenance up to date. The State surveillance of the Mines will also monitor this. We have to face the fact that such a company's activities are shrinking if we constantly press for less gas to be produced for very good reasons, and as a result there is also less employment. We can't get around that fact. So we need to see this in the right perspective. I just outlined that. I hope that I have provided sufficient responses to the questions and comments of the spokesmen, in conjunction with what I have already indicated in writing. I am going to deal with the amendments, but there is one more question from Mr Verhoeven that I have left behind. That question concerned the Dutch Venture Initiative. The Dutch Venture Initiative 1 fund has invested 100 million from the Empire and 50 million from the European Investment Fund. It is intended to generate new funds, in which private investors also invest money. On this basis, SMEs in the Netherlands can be financed. That DVI 1 is going well. As soon as the annual report on DVI 1 is finished, I will send it to the Chamber. Because of the involvement of the European Investment Fund, the funds that come from it focus on Europe as a whole. However, we have established that the funds resulting from DVI 1 must provide at least twice as much investment in SMEs as the Dutch government has put into it. My estimate right now is that this is a factor 4 instead of a factor 2. So we get four times as much money for SMEs compared to what the Dutch government has put into it. Then that money comes back again. They're revolving funds. So we have a good picture of DVI 1. It is true that other countries of Europe may also invest, but since they are so far Dutch funds with Dutch fund management, the outcome is as I have just said. We will therefore forward the annual report of DVI 1 to the Chamber. In the meantime, we are working on DVI 2, with even more money: 100 million of us, 100 million from the European Investment Fund and 700 million from DVI 1, we expect to make investments for business. For DVI 2, the ambition is to invest 1.2 billion for business. This is also part of the 9 billion in the period mid-2015 to 2018 that I talked about before lunch break. This concerns Mr Verhoeven's question.
ParlaMint-NL_2015-10-15-tweedekamer-14.u82	I had asked a few short questions where I had no answer either in the written reply or in the reply. I had asked the Minister whether, in the context of energy saving, it would be possible for the intensive industry, which sometimes carries out larger projects, to achieve savings at once instead of 1.5% each year. I've asked the Minister about that before in an AO. He said he was gonna look into it. That is why I am asking again in the budget debate what is the situation with regard to this. I had also asked the Minister a question about a budget shift, whereby the Minister moved money from innovation to the top sectors. I have expressed my concerns as to whether it will still be accessible to SMEs. I also have a question about the area coordinator wind, which was partly in the written reply. I think that a person like that can only do his job well if he's truly trusted by the residents. How are the residents involved in selecting the person to do it there? I don't mean to veto them, but you have to involve them in this. Otherwise, someone like that can't do their job right.
ParlaMint-NL_2015-10-15-tweedekamer-14.u83	No, but it's not that easy to do that to the people. One is often organized in action groups that say to act for the residents, but on which you sometimes hear other sounds. Sometimes they're quite negative, to put it mildly. That means that you can already predict what reaction you get when you come up with proposals for people. We discuss this with the provinces and the municipalities and then make the best possible choice. We point out to someone from whom we think it can work properly. After that, it is his or her role to engage directly with the residents and to create support. That's the way I chose. I have no intention other than Mrs Van Veldhoven. The choice I made is about getting the right person to work quickly. Mrs Van Veldhoven also mentioned the fact that innovation money is being shifted to the top sectors. It wonders what its impact is on SMEs. For lunch, I have talked for a very long time about supporting SMEs and how they are involved in the top sectors and in the various instruments we have to stimulate innovation. SMEs are more than equally involved in this. Mrs van Veldhoven's question on energy saving, which should be done at once, is not entirely clear to me. That is why I will clarify this in conversation with Mrs van Veldhoven and ensure that she gets an answer to this quickly. I think I will do so in writing in this case.
ParlaMint-NL_2015-10-15-tweedekamer-14.u84	The latter is of course fine. It would be very nice if the Minister could respond to that later. We started with each other the idea of an area coordinator because we saw that the parties in some provinces have come face to face. We all realized that this would not help the transition to renewable energy, which both the Minister and I want to achieve. Then it's important to have someone out there who can pull things a little loose. The reason you're gonna be working with such an area coordinator is because you want to restore confidence in the process and you want to try to bring everyone along. For that, it is essential that the people who are now very critical of each other all have confidence in the person who has to do so. Once again, I am not asking for a veto, but for a careful process, in which people can at least be heard or involved, or perhaps choose between a few candidates. Can the Minister think again about that?
ParlaMint-NL_2015-10-15-tweedekamer-14.u85	No, I have to get on with Drenthe and Groningen, which is what this is all about. We look very closely at people who are communicative, who have experience in the functioning of public administration and who are also able to build support for the people. The choice has already been made. I can no longer work with lists that I am going to present to those directly involved, regardless of whether that would give the desired outcome at the moment. We are talking about a fairly well-tuned attitude. It is also the task of the regional coordinator to try to achieve results in this climate. I think that the people I have already brought up for this can do so. We're not stopping with the area coordinator right now. I am going to speak to the Chamber separately about all the communication aspects relating to renewable energy. I will then go into the way in which we can best select such an area coordinator and create support for it. I will take into account the suggestions made by Mrs Van Veldhoven. With your permission, Mr President, I shall move on to the amendments.
ParlaMint-NL_2015-10-15-tweedekamer-14.u86	I'd love to, and I'd like that pointy.
ParlaMint-NL_2015-10-15-tweedekamer-14.u87	I'm very sorry about that.
ParlaMint-NL_2015-10-15-tweedekamer-14.u88	You can do it!
ParlaMint-NL_2015-10-15-tweedekamer-14.u89	With your agreement, I would first like to make a general comment on the coverage of a number of amendments. The spokesperson's idea has emerged that there may be money in the TKI bonus which will not be paid in 2016, so something could be done. We discussed this extensively before lunch. The TKI bonus is given by the Empire on cooperation efforts by companies and knowledge institutions. Those companies and knowledge institutions put together money into a project. In order to encourage this in the top sectors, there is an additional 25%, so that even more can be done and we can benefit widely from the results of this cooperation. That's the system of the TKI supplement. At some point this system has been introduced and a certain amount has been made available for this purpose. This money is therefore used for multiannual research projects. This means that that money could not be spent immediately the first year it was available. Suppose it's the year 2013 and you have $100 million available. If you make commitments, they will be paid out in the years 2014, 2015, 2016 and 2017 and maybe even for a piece in the year 2013, but at least not more than a piece. In this system you enter into obligations for a number of years. A total budget of €75.4 million will be available in 2016. Commitments have already been made in previous years. Part of those commitments should be paid out in the year 2016, i.e. an amount of 51.6 million. The remaining amount of 23.8 million is the commitments we will make next year, which will be paid out in 2016, 2017, 2018 and 2019. If we partially delete the 23.8 million available for next year, we will actually stop those top sectors. These top sectors create knowledge and innovation agendas. They make a deal with each other. They have signed contracts with me and with the cabinet that says: over the next two years we are going to do so much billion in research, we are going to do so, this comes from the Empire and from the TKI bonus there is also money. I've made administrative commitments to that. All the money available for TKI for the year 2015 will be used. All the money for the next year will also be used. The years when we were left with money from the TKI bonus because we had to start the business are over. Right now, we need all that money. If we take that money away now, we will really put the axe at the root of the top sector policy and we will not meet our commitments in the context of the innovation contracts we have concluded. I don't think that's possible. I will not go into the coverage for a number of amendments every time, but in my view the TKI premium is not cover.
ParlaMint-NL_2015-10-15-tweedekamer-14.u90	Just so I'm clear, basically, the Minister himself is taking money away from the TKI. It's about a 26 million reduction. In replying to questions, he claims that this 26 million is spent on deficits in the RVO and a cash estimate. Does the Minister mean that all this is before the TKI, or is it being taken out of the TKI?
ParlaMint-NL_2015-10-15-tweedekamer-14.u91	The first years after we introduced the TKI bonus, the money did not come to pay. Because the money was in the budget, the Chamber eventually allocated that money differently. After all, budget law lies with the Chamber. But now, in 2015, we need the money that is available. And in 2016 we also need the money that is available.
ParlaMint-NL_2015-10-15-tweedekamer-14.u92	But the 26 million that's being reduced is coming to the TKI. Or is that money that was earmarked in the past and is therefore 26 million, or is it going to be 26 million in the future?
ParlaMint-NL_2015-10-15-tweedekamer-14.u93	A budget of 75.4 million is available for the TKI supplement in 2016. There are already 51.6 million legally required under commitments in recent years. If we continue in 2016 on the basis of the contracts we have concluded with knowledge institutions and companies, 23.8 million will be available for the first part of the multiannual commitments we intend to make next year, 2016-2019. Those are the amounts I can talk about right now. As far as the years before 2016 are concerned, we had money left over in previous years and we need all the money available this year.
ParlaMint-NL_2015-10-15-tweedekamer-14.u94	The Minister is almost giving the answer himself. Does he admit that more than 51 million out of 75 are legally required and that the remaining part belongs to the budget of the Chamber and that we can choose for ourselves what we spend it on?
ParlaMint-NL_2015-10-15-tweedekamer-14.u95	51.6 million is legally required. The government's top sectors policy has been supported by the Chamber. That's why I'm doing my job. The Chamber knows how we organise it with these top sectors. Top sectors are about our innovation and our future earning ability. We are organizing this cooperation. These are long-term projects, knowledge and innovation agendas. We have concluded a contract with the knowledge institutions and companies. I made an administrative commitment to that. Of course, the Chamber can say that we have always supported these top sectors, but now we are removing the mat underneath, we are taking away the money and we accept that you will be in your shirt administratively, that the activities of these top sectors will stop because money is no longer available, that the government will not prove to be a reliable partner and that innovation will become a brake on innovation. In theory, that is all conceivable, but I do not think that is the intention of the Chamber. The Court has put an amount in the multiannual budget for the TKI supplement. It wasn't necessary for the first few years. Now it's necessary. There have been contracts concluded by me. If you take away the money, there will be a very strange situation. That's my assessment of that situation.
ParlaMint-NL_2015-10-15-tweedekamer-14.u96	I just want to get this sharp. As soon as contracts have been concluded, it is, in my opinion, legally binding. The part we are talking about, the good 20 million, is not yet legally mandatory. These may be commitments, but they are not yet contracts that would cause companies to get into trouble right away because they are hard-core contracts underneath them. I want that sharp. I note that the space of about 23 million is still there.
ParlaMint-NL_2015-10-15-tweedekamer-14.u97	We have a legal obligation to pay the 51.6 million. The other is my administrative obligation in the context of the innovation contract that I have entered into together with all the top sectors for the next two years. This two-year contract for a total of EUR 4.2 billion is based on knowledge and innovation agendas prepared jointly with government, industry and knowledge institutions for each of the top sectors. So I am involved in both those knowledge and innovation agendas and in the innovation contract for the next two years. That 51.6 million is therefore a legal obligation and that 23.8 million is an administrative obligation.
ParlaMint-NL_2015-10-15-tweedekamer-14.u98	Mr Verhoeven would like to take the floor. We may, but then we will really go to the amendments.
ParlaMint-NL_2015-10-15-tweedekamer-14.u99	This is simply about the amendments, Mr President. I think everyone in the room is using this cover. That's not for nothing. My question is actually very simple. The Minister has tried to explain it technically. He has done so in writing and has just done so orally. Several amendments have been tabled. It is not imaginary that some of them are going to make it. What happens if those amendments make it? I'd like to know about the Minister. I'm sure that cover could work. I'm assuming it's just possible.
ParlaMint-NL_2015-10-15-tweedekamer-14.u100	Mr Verhoeven spoke of'may work'. It could work if we were to put a brake on top sector policy. We have built up the top sectors policy over the past four years. So we should say at once: we are taking away the money; we are not making any or less commitments next year. It could be if, under its budget law, the Chamber decided to leave me in my shirt administratively. In order to implement the top sector policy, which was agreed by the Chamber, I made agreements. In order to implement this, the multiannual budget has made funds available for the TKI bonus and I have organised this cooperation with industry and the knowledge institutions. Both in the knowledge and innovation agendas and in the innovation contract, I have entered into administrative commitments. In theory, the Chamber can say, "We're gonna take that money from you now." However, I think that this is very undesirable administratively. It is also very undesirable from the point of view of innovation. In the field of innovation and cooperation with industry and knowledge institutions, we are being put back a lot.
ParlaMint-NL_2015-10-15-tweedekamer-14.u101	I think it is ultimately up to the Chamber to decide what it thinks is important and how it is exercising its budget right. I listened very carefully to the Minister. The amendment I have tabled concerns SURF. Last year we also asked for additional funding for this. We made that request separately from an amendment at that time. We asked the Minister otherwise if he could arrange it. The Minister said at the time that he would take care of this, but I regret to note that there is still a financial problem with regard to SURF. That is why I have retabled the amendment. What if we do not table these amendments or they do not make it? What is the Minister going to do in the case of SURF to ensure that there is enough funding? The Chamber must, of course, be able to move money within a budget, otherwise we will no longer have to deal with the budget at all.
ParlaMint-NL_2015-10-15-tweedekamer-14.u102	However, the Court must be aware that it has indicated that it considers top-level policy and innovation to be important. It has accepted this policy, put an amount for it in the multiannual budget, and has allowed me to go ahead with it. I made some administrative arrangements about that. The Chamber can also see this as an important fact. It's a trade-off that needs to be made by the Chamber. I have the impression that Mr Verhoeven's summary of what I said at the time with regard to SURF is a little bit off. Yeah, I'm gonna do that. I will say a few more words about that in a moment.
ParlaMint-NL_2015-10-15-tweedekamer-14.u103	I see Mr Bosman standing by the interrupting microphone, but he's out of his interruptions.
ParlaMint-NL_2015-10-15-tweedekamer-14.u104	Really?
ParlaMint-NL_2015-10-15-tweedekamer-14.u105	Yeah, life is hard.
ParlaMint-NL_2015-10-15-tweedekamer-14.u106	I come to the amendments. Very recently I have a new amendment to item No. Twenty-one. I have seen that the numbering of the amendments has just been adjusted, but that is beyond my control. So I'm going to take the numbering as it was at the beginning of my first term. We can later see if some songs can be moved. I shall begin with the Schouten/Dik-Faber amendment, in part No. 4. It states that natural gas revenues must be reduced to a level corresponding to 27 billion cubic metres from Groningen. As I said, I think we should look at these estimates as soon as we get a look at the decision-making process at the end of the year. We will then look at what we are going to do in 2016 and then have to adjust the budget accordingly. It wouldn't be wise to do that now. The amendment says "27 billion." Why isn't it 25 billion or 30 billion or 31 billion as GTS says? I think it is now being done a little bit with the wet finger, while at the end of the year we can do it in a good way on the basis of the two investigations that are going on and the GTS analysis on security of supply. The amendment in part No. 4 I therefore advise against. In the Schouten amendment to item No. 7 is asked to make 3 million extra available for MARIN. I understand that Mrs Schouten thinks that the public funding of 3 million is too little. The context is that, within the maritime cluster, around €25 million is available for this type of research, half of which is publicly funded. MARIN receives 7.5 million a year from the government: 3.3 million from EZ, 0.8 million from Defence and 3.4 million from the TKI allowance, which we have just discussed. In 2017, there will be an evaluation of all TO2 institutes, including the amount of this amount, the functioning of MARIN and the future. I think it would be wise to await that evaluation of the TO2 institutes in 2017 before we make any changes to the funding. I believe that the funding mentioned, with 7.5 million from the government, is reasonable. With private funding to be attracted, MARIN is able to do what is necessary. I do not recommend the Schouten amendment in part No. 7.
ParlaMint-NL_2015-10-15-tweedekamer-14.u107	We were just talking about the reliability of the government in the top sectors. That's what's going on here. The government has indicated that it will be responsible for 10% of the funding of the TO2 institutes. MARIN is sinking under there now. This immediately jeopardises the knowledge base, while making a major contribution to the earning capacity of the Netherlands. Does the Minister recognize that? Does he also see that cheap can end up being very expensive for MARIN?
ParlaMint-NL_2015-10-15-tweedekamer-14.u108	No, because I can keep the same story with respect to the National Air and Space Laboratory, TNO and ECN. These are all TO2 institutions where budget reductions have been applied by those who have budget rights, namely the Chamber. I am applying these reductions and they must be implemented, because the Chamber does not decide for nothing. I find what's left for MARIN 6,7 million from my ministry's budget, with the TKI surcharge, plus $800,000 from Defence, i.e. a total of 7.5 million reasonable, in the light of the whole. Whether this will remain the case, we can look at this evaluation in 2017. I don't think it's reasonable to pick MARIN out and get extra money.
ParlaMint-NL_2015-10-15-tweedekamer-14.u109	I asked the Minister to comment on my remark that they fall below 10% public funding. He just had a passionate argument about the reliability of the government. How can he say he's trustworthy here? It's not about whether it's reasonable, it's about what a TO2 institute can expect. They also make their knowledge available to all companies to create a lot of money and jobs for the Netherlands. How reliable is the government still if it makes a 10% commitment and falls below it itself in this case?
ParlaMint-NL_2015-10-15-tweedekamer-14.u110	The government is reliable, because for a longer period of time we have indicated to each of the TO2 institutes how to achieve these cuts. I can imagine that this hurts, but that applies to all TO2 institutes, and not just to them. We have made major cuts across the board to clean up public finances. That was necessary. A contribution has been made to this too. Some other funding has been provided. Where you first only had a basic provision, that TKI supplement is now added. I think that the situation for MARIN is, in general, acceptable, especially until the evaluation, and then we will look further.
ParlaMint-NL_2015-10-15-tweedekamer-14.u111	Then there is the amendment to item No. 9.
ParlaMint-NL_2015-10-15-tweedekamer-14.u112	In the amendment to item No. 9 by Ms Gesthuizen and Mr Smaling are asked to finance Architecture Local with an additional €150,000 from the EZ budget. Architecture Local is financed from the OCW budget. A discount has been applied at OCW. It is not obvious to compensate for this through the EZ budget, I think. Architecture Local is now receiving a grant from the Creative Industries Fund NL for similar activities. This fund, divided over the years 2015 and 2016, has provided a grant of €260,000. Another additional €150,000 from the EZ budget to reverse OCW savings is something I cannot give a positive opinion on. I therefore reject the amendment to item No. 9. In the amendment to item No. 11 by Mr Verhoeven to finance ten additional fablabs. With apologies to Mr Graus, I do not want to do that. I will repeat the arguments for this. I have dealt extensively with the fablabs and the way in which they are financed. I also said how the government could possibly contribute to certain fablabs in addition to existing resources. I refer to the MIT, the TKI and the ERDF funds. So I do not think it is desirable to do what is proposed in this amendment. The amendment in part No. I therefore advise 11 of Mr Verhoeven. With the amendment in part No. 12 Mr Van Veen wants to realise that an additional 15 million will be made available once for the promotion of smart industry. This is not about fablabs, but about field labs, again with an apology to Mr Graus. The development of field labs is primarily a matter of cooperation between industry and the knowledge institutions. It really has to start with private commitment, because you can't get that started from the government. It is the industry that has to use the possibilities of internet and ICT applications in its industrial production processes. That's got to come from her. It must bring those knowledge institutions in itself. Together they have to look at the financing. We are available: the TKI supplement, the MIT scheme and Horizon 2020. Provinces are available through the regional funds. We did the same in Gilze and Rijen with the field lab that I was allowed to open two weeks ago. The ERDF programmes are also available. I think we should do it with those resources that are available. I don't think there's any need for more resources right now. I have already given an extra boost by making sure that it is the ambition that we should be able to start at least by the end of the year, but preferably with all ten field labs. I think we can leave it at that. I think that the cover from the TKI premium, which Mr Van Veen is using, is very undesirable. This also applies to the other amendments. For these reasons, I do not recommend this amendment. I shall deal with the amendment to item No. 13, by Mrs Vos and Mr Verhoeven. They want 8 million to be added to the budget for SURF. SURF organises the ICT infrastructure for institutions of scientific education and higher education. This means that this is a responsibility of OCW. I really do not avoid responsibilities, but if OCW is responsible for higher education institutions and for research, then that ministry is also responsible for SURF. SURF receives, in structural terms, an annual amount of 22 million euros. Indeed, a report was published once, I believe in 2010, which said that this should be 30 million; but well, it has become 22 million. A lot has happened since then. So I think the 22 million is the starting point. Nevertheless, in the period 2011-2019, 25 million additional funds were made available on an occasional basis, of which 19 million were charged to the EZ budget, also following amendments by the Chamber. We can talk about whether it is reasonable that so much money has been added occasionally, and you can also ask whether it is reasonable that this has been taken out of the EZ budget, but it has happened. I think that on the basis of the fixed amount of 22 million a year and on the basis of what has happened occasionally in the past, it is logical that SURF should do so and that it should get the extra money it wants from the private sector. I think it is very undesirable to add extra money to this again from the EZ budget, also because of its very undesirable coverage. That is why I reject this amendment.
ParlaMint-NL_2015-10-15-tweedekamer-14.u113	A little on behalf of my colleague, Mr Vos, I would like to ask the following question, which is entirely hypothetical. If we were to withdraw this amendment, what could the Minister do for SURF? The Minister has now understood that SURF is highly regarded.
