ParlaMint-NL_2015-10-14-tweedekamer-5.u1	I can see the minister at the microphone. He's ready to give his first-term response.
ParlaMint-NL_2015-10-14-tweedekamer-5.u86	I know Mr Slob's view. We do not agree on that. I come to the European dimension and the European Council of tomorrow. The Council is limited to one day. So I will meet you all again on Friday in the Knight's Room at the celebration of 200 years of State General.
ParlaMint-NL_2015-10-14-tweedekamer-5.u87	I still have an intermediate variant for going from the Netherlands to Europe, namely the boundaries between them. I asked whether the currently very limited mobile controls could be increased at the border with Germany, similar to what Germany itself is doing at the southern borders. That is where transit zones are set up to enable people from the Balkans in particular to be sent back immediately. Is the cabinet prepared to consult with neighbouring countries? I can see a clue to the Secretary of State.
ParlaMint-NL_2015-10-14-tweedekamer-5.u88	Secretary of State Dijkhoff discusses this in his contribution.
ParlaMint-NL_2015-10-14-tweedekamer-5.u89	Then I have asked my question and I will hear the answer from the Secretary of State.
ParlaMint-NL_2015-10-14-tweedekamer-5.u90	So I am not saying that we are going to do that, but I am not saying that we are not going to do that. The Secretary of State is about to point that out. He'll answer that question.
ParlaMint-NL_2015-10-14-tweedekamer-5.u91	That is how we know the cabinet: it is not going to say that it does, nor that it does not. At the end, there's fog up there.
ParlaMint-NL_2015-10-14-tweedekamer-5.u92	No, no, Mr Dijkhoff is usually even clearer than I am if possible. I come to the European dimension. I am, of course, doing so against the backdrop of a number of cabinet objectives for European policy. I really think you should say that the pressure is only increasing. We now have the relocation of people who report to Italy and Greece. So this measure looks at the 120,000 to 160,000 people. We believe that this system with fixed keys should really become the system within which you are working in Europe on the distribution of asylum seekers. That is an important element of our Europe policy. This will ultimately prevent asylum shopping in Europe. That's the only way to really prevent it, apart from all kinds of other things you can do. That's crucial. It means that if someone reports to Ter Apel who was scheduled for Lithuania, you can also say: you are there, but Lithuania was the country where we would place you and every country gets its fair share. That's one. We also want the influx of large numbers of asylum seekers to be put in Europe. In addition, we want to destroy the business plan of the smugglers, which now means that they are crossing the Mediterranean. Part two of the cabinet policy is necessary for this. I shall come to that after Mr Roemer has asked his question.
ParlaMint-NL_2015-10-14-tweedekamer-5.u93	I would like to have a brief explanation of that first point. Three weeks ago, the Prime Minister and his colleagues agreed on that key. Today, media reports have been published that only a few countries have signed up and have agreed to cooperate. The Netherlands is not in that list. Can the Prime Minister explain what's going on?
ParlaMint-NL_2015-10-14-tweedekamer-5.u94	Part of participating in it is getting those hotspots there. In November, they must be in Greece and in Italy, so that you have a decent intake. Those hotspots haven't been realized yet. To ensure that the intake takes place so that we really know where people come from and whether they have applied properly, we need those hotspots in Italy and in Greece. That's really a condition for that. I only use the terrible term 'hotspot' for a moment, but it is still less serious than the term 'overpressure valve'.
ParlaMint-NL_2015-10-14-tweedekamer-5.u95	I think I get it, but I'm gonna ask you for clarity. So the Prime Minister has made a link. If these hotspots aren't there, is that the first appointment of the Netherlands from three weeks ago or isn't it?
ParlaMint-NL_2015-10-14-tweedekamer-5.u96	That deal was already linked to that. Because you can't come to relocation if you don't know who's calling in. So you're really gonna have to do both. The Chamber is familiar with Dutch policy on the medium-term agenda. It has also been confirmed in the conclusions of the Justice Council of 8 October. It was already a Presidency conclusion, but it is now also a Council conclusion. I think that's good news. As is well known, we want to work towards a safe shelter with more perspective in the region, so that people who report to the Netherlands can be returned to that safe region on the basis of the safe third country criterion, in combination with a resolution instrument. In the end, that's the way to make sure you destroy the human smugglers' business model. You are destroying Europe's asylum shopping by creating a permanent redistribution mechanism in Europe for all asylum seekers. Providing shelter in the region with some perspective so that people who report here can be sent back on the basis of the safe third country criterion is the only way to really stop the influx into Europe via the smugglers. I must say that on the second part we are more successful than on the first. The second part has also been accepted as a policy in Europe; the first is for the redistribution of 120,000 to 160,000 people. I'm glad you did. That was, by the way, extremely difficult, because it was a qualified majority decision. So it wasn't heartfelt, far from it. I think that the real awareness that we need to do this will grow in the coming months. We shall make a plea for it on every occasion. Having said that, I come to a number of questions about the European dimension. The establishment of these hotspots is still very difficult, especially in Greece. In Italy, one is now operational, namely in Lampedusa. The plan is to set up a total of six hotspots, but it's all difficult. It is one of the points on which I will draw attention tomorrow at the European Council. I won't do that alone, by the way. Many other countries also want this to be accelerated, because it is very important. Mr Van der Staaij asked a question about controlling the borders of the Schengen area on the mainland. We're very committed to that. We also make a big contribution to Frontex. This raises the more fundamental question of whether the monitoring of the common external border is a Community-wide matter. My view is that it is at least a European matter. When Greece does not guard its own borders, I prefer to do it with Dutch and Germans. It just has to happen. We know about the Roman Empire: if you stop guarding the external borders, that's the beginning of the end. Right now, we're not guarding the external borders. That is extremely worrying. I would like to move completely away from the fundamental debate on whether or not there should be a transfer of sovereignty on this dossier. I don't think we have that discussion intergovernmentally. We must be intergovernmentally prepared to make a major contribution to this. So that's what we're committed to. Turkey is indeed on the list of safe countries of origin. It is a Commission proposal. In doing so, it looked at the candidate countries and the potential candidate countries. One important consideration of the Commission is that respect for human rights has already been assessed when these countries were accepted as candidates or potential candidates. I understand, of course, the concerns about Turkey. Of course, we also expressed our sympathy to Turkey for the terrible attack last weekend. The verification of a country's safety for refugees should be carried out on the basis of specific benchmarks. This should be used to assess whether a country is safe for its own nationals or former residents. It looks at the laws and regulations and the way in which they are applied, compliance with human rights conventions and the rule of law. A progress report on Turkey is published every year in the context of accession, which takes all these aspects into account. So we do not object to putting it on this list, but, of course, we follow it very closely.
ParlaMint-NL_2015-10-14-tweedekamer-5.u97	One of the reasons for raising it is that there is a war in the southeast of Turkey. A colleague from my group was there last week and he saw and experienced it himself. Human rights are being violated massively there. Journalists are kept out of the door. One thing we cannot use is further escalation in that region, which is absolutely at issue in that corner. Is the Prime Minister prepared to discuss the situation more vigorously at the European summit? I am referring to the vigorous discussion of human rights and the freedom of journalists and the promotion of de-escalation. Until then, we should wait to say that it is a safe country, because there is so much wrong in that corner right now.
ParlaMint-NL_2015-10-14-tweedekamer-5.u98	Not the latter, because that is what I really think of the Commission, but the first one is. I did the same thing in New York in several conversations with the Turks. We're gonna bet on that in all the gremia. Lilianne Ploumen has just been to the G20 in Istanbul. We are always working on that, but we do not ultimately judge ourselves whether such a country can be included on the list of safe countries. This is, of course, somewhat reassuring that the application for asylum should be dealt with for safe countries of origin and safe third countries. If you find that an individual is not safe in a safe country, that protection will still be given. I realize that this is not a complete reassurance, but rather a bit.
ParlaMint-NL_2015-10-14-tweedekamer-5.u99	Not really. It seems that we are very behind Turkey when things are going very badly in that corner. What means will the Prime Minister have at the summit tomorrow, together with his colleagues, to increase this pressure, for example, to get the Turkish Government and the PKK back to the negotiating table? It's gonna take a lot more than that. If it escalates there, I don't want to think about the consequences, because a lot is already happening.
ParlaMint-NL_2015-10-14-tweedekamer-5.u100	We will certainly come to talk about Turkey tomorrow. Last week, President Erdogan visited Brussels. My political expectation is that we can take further steps, but that the outcome of the electoral process in Turkey will still be relevant at the beginning of November. The outlines of a common agenda for Europe and Turkey are becoming visible, aimed at ensuring that the approximately 2 million refugees in Turkey can stay there and that, in particular, the Turkish-Greek border will be better monitored. I see real progress on that point. Undoubtedly, the Turks will ask for things back, for example speeding up the whole visa liberalisation process, where for the Netherlands it is essential that we stick to the road map and keep all the conditions in place. Speed up is always possible, but within the agreements made. What this whole deal looks like, if it succeeds in making it, will have to be further worked out in the coming months. There is always talk of human rights and the situation in the region.
ParlaMint-NL_2015-10-14-tweedekamer-5.u101	If there is talk of 'contours of a deal', then surely it is not possible to agree on the human rights situation and de-escalation in the south-east corner of Turkey? I hope this does happen. I'd like to get a clearer commitment. I cannot imagine that, if these matters remain undiscussed or if they are only discussed without any improvements being agreed, we will come to a deal.
ParlaMint-NL_2015-10-14-tweedekamer-5.u102	We must operate in this area subtlely and with some sense. We need the Turks very much. I think the subtlety is in the next. Of course you deal with these difficult themes in the conversations. However, it seems illusory to expect that we can move the Turks to shelter more than 2 million refugees on the one hand and change their whole policy towards the south-east corner on the other. I understand that you address those cases, that you discuss them with each other and provide common orientations, but I can't guarantee that those things are part of a deal. The interruptions have already answered many other questions about European policy. As far as the arms embargo is concerned, we are already looking at stricter rules on arms exports to countries involved in conflicts. We are sticking to European rules. Unilateral steps, such as a Dutch embargo, are never effective. Action must always be taken at EU level or, rather, at a wider multilateral level. Like other EU Member States, we always handle and assess licence applications on a case-by-case basis. We are doing this on the basis of the criteria of the European Union, the common position on arms exports. We are also looking at the impact of the goods to be exported on regional stability. That is what we are doing, always in a European context and, if possible, even wider. The question of funding flows has rightly been asked. How can you take it further? We do a lot of that, but it is frustrating that this can only be done with moderation. I felt this frustration in Mr Roemer's remarks when he spoke about this. I believe it is known that ISIS generates revenue mainly locally. We must do everything in our power to cut off access to financial systems and to customers. We do this by preventing ISIS from having access to international financial systems. We do this by preventing ISIS from using economic resources. This has to do with the exploitation of the population, territory and raw materials. We do this by preventing ISIS from receiving funds from abroad. Finally, we do so by preventing ISIS from supporting foreign affiliates. Progress is being made step by step. We actively contribute to the development of measures in the Financial Action Task Force. We are also doing this with national measures, including with regard to ISIS itself and other terrorist organisations, with the associated persons. ISIS is, of course, on the UN terrorist list and thus also on the European list. That is why 37 people and 3 organisations are now on the national terrorist list. Their financial assets are already frozen. The Dutch investigation services, the Public Prosecutor and other interested parties are fully in focus and very active. This is all complementary to what is happening in Europe and in the UN.
ParlaMint-NL_2015-10-14-tweedekamer-5.u103	I had also asked whether attention could be paid to the fact that the refugee problem is much wider than just a problem for the EU countries. Shouldn't the other European countries also be involved?
ParlaMint-NL_2015-10-14-tweedekamer-5.u104	This is precisely the last answer I have here in front of me. Mr Krol asked for a real European summit, so a summit with Norway, Switzerland and, I assume, the Balkan countries. I don't know if we're gonna solve the problem by another top. There's a lot of peaks. Tomorrow there will be a summit for the 28 countries and, in my opinion, it is a good thing that we have it on 11 and 12 November there will be the summit in Malta with the African countries. So there is no shortage of summits. There has also just been a summit in Vienna with the Western Balkans. There are, of course, talks with Turkey at the moment. Frans Timmermans is in his role as First Vice President of the Commission in Ankara today. My view is that we should now focus on activating the results of these summits. If I look, on the one hand, at what we said in April and, on the other hand, at the European Council on 23 September, and, on the other hand, at where we are now in implementation, then I really have to say that not all the agreements will be implemented immediately. The Netherlands tries to do so as neatly as possible. I shall conclude with this commitment tomorrow, also in response to Mr Buma and others who have asked questions on this matter, especially with a view to implementing the previous agreements and insisting that we reach a common agreement with the Turks as soon as possible.
ParlaMint-NL_2015-10-14-tweedekamer-5.u105	I was able to ask two more questions in my two minutes. The Prime Minister hasn't answered them yet.
ParlaMint-NL_2015-10-14-tweedekamer-5.u106	Perhaps you could repeat them?
ParlaMint-NL_2015-10-14-tweedekamer-5.u107	The first question concerns Angela Merkel's idiotic and dangerous policy. When will the Prime Minister say anything about that? Even her own party is now in opposition. I'd like to get a reaction to this. The second question concerns my assertion that this policy will not lead to one less asylum seeker. In fact, there will be many more. That's why I like to hear numbers from the Prime Minister. How many asylum seekers can we have here? How many more asylum seekers does he allow? I have still not received any answers to these questions. I've already put them in three debates. I'd like to get an answer now.
ParlaMint-NL_2015-10-14-tweedekamer-5.u108	For the answer to the first question, I refer briefly to my answer to the question put by Mr Zijlstra during the General Political Reviews on this subject. For the second question, I refer to the government policy and the relative share of the Netherlands in the European asylum issue, also given the redistribution mechanism that has now been agreed. You should be able to limit it, but that requires that this principle of a redistribution mechanism be accepted in Europe. That has not yet been achieved, but we are working hard on it.
ParlaMint-NL_2015-10-14-tweedekamer-5.u109	I do not yet get an answer to both questions, but I would have expected that from this Prime Minister. Surely he cannot refer to a debate that took place many weeks ago on my question about Angela Merkel? The situation is completely different now. The influx continues to grow. Mrs Merkel is under attack from her own party. In view of the state of play, is the Prime Minister prepared to address her on this matter?
ParlaMint-NL_2015-10-14-tweedekamer-5.u110	I refer once again to the very comprehensive answer I gave to Mr Zijlstra during the General Political Reviews. If I don't, I'm gonna repeat myself.
ParlaMint-NL_2015-10-14-tweedekamer-5.u111	I think it's really ridiculous that I don't get an answer. Mr Zijlstra asked that question weeks ago and a new situation has arisen. I expect an answer, because this is a normal question.
ParlaMint-NL_2015-10-14-tweedekamer-5.u112	Mr Zijlstra looks as if he thinks: what do I have to do with this?
ParlaMint-NL_2015-10-14-tweedekamer-5.u113	Perhaps you could give a brief summary of what you said then?
ParlaMint-NL_2015-10-14-tweedekamer-5.u114	I will, Mr. Chairman. I understand that helps. I said at the time that it was good practice that members of the European Council do not publicly reflect on each other's actions.
ParlaMint-NL_2015-10-14-tweedekamer-5.u115	Thank you. And now for the answer that is awaited with sorrow.
ParlaMint-NL_2015-10-14-tweedekamer-5.u116	Yesterday's letter made some comments on this matter. At the bottom of page 3 it says that the large number of asylum applications submitted has an impact on the housing mission. On 30 September last, the task of municipalities to house licence holders in the first half of 2016 was set at 20,000; the forecast for the second half is 23,000. That is what we have in mind when we try to reach agreements. I repeat my answer to the question of how many asylum seekers I want to get out of the consultation. I think it is unwise to mention numbers, because I am burdening Friday's discussions with them. These are the figures mentioned in the letter of 30 September. I think I have answered all the questions with all my conscience, but Mr Roemer does not think so.
ParlaMint-NL_2015-10-14-tweedekamer-5.u117	I have another question on a point on which I believe we are all in agreement, namely improving reception in the region. We now know what the United Nations wants, but they have not received the contribution from everyone. There is a real need for substantial improvements. We've been talking about that for weeks now. I have asked the Prime Minister what has actually happened in recent weeks to improve this. We do not see anything in Lebanon or Turkey. We don't see it yet. What's visibly improving? Otherwise, we're gonna keep putting the horse behind the cart here.
ParlaMint-NL_2015-10-14-tweedekamer-5.u118	The first thing you have to do for that is, of course, "put your money where your mouth is." That's what the Netherlands does. We are putting a great deal of money into this issue, both to alleviate the shortages of the World Food Programme and to provide shelter in the region. I refer, among other things, to the amount of 110 million that has already been mentioned. With that we score in absolute terms in the top six of the world and relatively we are in the top two or three. That's one. If you point one finger, four point to yourself. Well, at least you shouldn't have a stain on your suit. Then there is the question of how to achieve progress in multilateral consultations. I think we can praise the Commission for the hard work it has done to reach agreements with Turkey. That fully supports the Netherlands. I don't think we can draw any conclusions tomorrow. Maybe so, but I don't think so. I expect those conversations to go on for a while. We must also include the elections on 1 November. If we succeed sooner, that would be fantastic. I have no criticism whatsoever of the Commission or anyone else. I think we are working very hard to reach agreements with the Turks. We are also trying to promote this in the UN context. I mentioned my contacts with the High Representative, but also with other relevant organisations, the Foreign Minister, Bert Koenders, the Minister for Foreign Trade and Development Cooperation, Lilianne Ploumen, and myself have worked hard in New York. Among other things, we had a dinner with all the leading players at the Dutch Residence in New York, graciously hosted by our permanent representative. That's where we were able to put our relative weight on the scale. I say it often: we are not a small country, but we are the largest of the smaller countries. We are also the smallest of the larger countries, so we really need to try to fight above our weight class, also because of the huge financial contribution we make. That's what we're doing. If Mr Roemer asked me whether these efforts by the Netherlands had already led to a concrete improvement, I would reply as follows. I think we should note that we are carefully taking sensible steps for the World Food Programme before the immediate crisis this winter. More in line with the medium-term cabinet position, reception is in the region. Here too, we are taking significant steps towards Turkey. I am still dissatisfied with how far we are with the situation in Lebanon. We're gonna work on that.
ParlaMint-NL_2015-10-14-tweedekamer-5.u119	I think it's a real story the Prime Minister tells. I hope that it is enough what the Netherlands is doing, but I would particularly like to stress that more needs to be done. Lebanon refuses to set up permanent camps for refugees, because of the country's experience with the large group of Palestinians. The enormous amount of refugees in neighbouring Lebanon leads to terrible scenes of little food, little drinking water and tents that are absolutely not suitable for winter. Can the Prime Minister promise that he will do everything in his power to bring back the positive message that the situation there is winter proof before the winter?
ParlaMint-NL_2015-10-14-tweedekamer-5.u120	Yes, as an obligation to do so, but I cannot accept an obligation to achieve results on the conflict between Assad and the opposition, or on the situation in Lebanon. Mr Roemer will understand that. When it comes to the Dutch commitment, there is no doubt. We are very active there. I do not think that any country was more widely represented at the United Nations General Assembly with the king and queen, four prime ministers and three ministers and secretaries of state. That was very much appreciated. We've had talks on a broad front for four or five days. I will continue with that tomorrow, with Bert Koenders, who is in London today, and with Lilianne Ploumen. The three of us are working very hard on it and we will report on it over and over again. You see progress, but not so much through the Dutch contributions. We are trying, above all, to push things in the right direction behind the scenes, without asking for too much credit for it. If you ask me how satisfied I am: we are seeing progress in relations with Turkey, I am not very satisfied with Lebanon and with the hunger in the camps, I think we are currently doing the best we can to make the situation manageable this winter.
ParlaMint-NL_2015-10-14-tweedekamer-5.u121	I think that we in Europe can squeeze our hands with Angela Merkel and the way she behaves throughout the process. I was seized when she made it very clear that she felt that Germany should not compete in a race to the bottom, in order to become as unattractive as possible for refugees. Will the Prime Minister repeat this in his own words?
ParlaMint-NL_2015-10-14-tweedekamer-5.u122	The fact that we remain within all the treaties and legislation already indicates that. A race to the bottom? Even if you were to abolish the assistance and everything in the Netherlands, we still have such a fantastic country that we always retain attraction. That's inevitable. In the end, you will always have to look for a combination of measures. From the current situation, you must ensure that you organise a sober and just shelter. We will. At the same time, we will not really solve the problems until we arrive at a fair distribution across Europe of asylum seekers. That is really necessary to get rid of that asylum shopping in Europe. We must then succeed in stopping this influx by organising reception in the region in such a way that we can send people back. Those are the two things we really need for a structural solution. But I think this cabinet proposal is sober, fair and decent. We are trying to ensure that this is the way to manage things.
ParlaMint-NL_2015-10-14-tweedekamer-5.u123	The Minister of the Interior said this Saturday in Tros Chamberwide that it should be a little more generous. It was said at the time that it is really important for the Netherlands that the European countries do not end up in a race to the bottom and try to be as strict as possible, but that they should try to work together at European level. The Prime Minister states that there is no reason for this, that we are not engaged in a race to the bottom. I would like him to say that the Netherlands is not going to change its policy in any way in order to make us less attractive to refugees. Angela Merkel did, and I thought that was good and very important. The question is whether the Prime Minister also wants to take this step.
ParlaMint-NL_2015-10-14-tweedekamer-5.u124	I must now think of the current Vice President of the Council of State, when he was asked when he had stopped hitting his wife. He said the only answer to that could be "never." You are now asking me a similar question about something the cabinet is not after at all. We are looking for a sober and just shelter. I'm not going to comment on all kinds of imaginary scenarios right now.
ParlaMint-NL_2015-10-14-tweedekamer-5.u125	This is not an imaginary scenario at all. This is just being discussed in Parliament. This isn't imaginary. How we can ensure that we are less attractive to refugees who want to come here is the subject of social, public and political debate. That is why I ask the Prime Minister to make a statement on that point. That statement may also go the other way, namely that the Prime Minister says that he thinks this is important and that this may be part of the policy and objectives of the Netherlands. If that is not the case, I want to hear from him that the Netherlands will never participate in a race to the bottom and will try to be as unattractive as possible for refugees. I fully agree that they should be distributed fairly across Europe. That's why we're trying to work together. I'd just like the Prime Minister to get involved in that debate. He can say that it does not exist, but this is the public debate. I expect the leader of the Netherlands to take a stand on this.
ParlaMint-NL_2015-10-14-tweedekamer-5.u126	I don't recognize that debate. I haven't seen any proposals from parties to run a race to the bottom either. No, thank you.
ParlaMint-NL_2015-10-14-tweedekamer-5.u127	I don't know what this Prime Minister did on Saturday...
ParlaMint-NL_2015-10-14-tweedekamer-5.u128	I was in Woerden then.
ParlaMint-NL_2015-10-14-tweedekamer-5.u129	Compliments for that, excellent. But then the VVD came up with a plan saying that our social security is under pressure, that it's far too attractive for people to come here. In the debate it was exchanged that most refugees come to Germany, Sweden and the Netherlands for a reason, which has to do with the level of provision and that it is important to adjust that level. That the Prime Minister does not answer is fine, because I have been used to that from this Prime Minister for a long time. But how can you say that this is not part of the debate?
ParlaMint-NL_2015-10-14-tweedekamer-5.u130	I think that is a misrepresentation of the proposals made by one of the two coalition parties. I do not think that this is right, apart from what I think exactly of these proposals. I am here, of course, as Prime Minister of the entire coalition, but I find this unfair to that particular party. Let me be honest with you. I listened very carefully to the first term of the Chamber. I noted that the coalition parties, in particular, always put forward proposals to solve the problems along pragmatic lines. I'm glad there's support for that. This is exactly how the cabinet intends to deal with this: we are looking pragmatically for a solution to this issue, on the basis that we must choose solutions that are both sober and just, also because of the circumstances.
ParlaMint-NL_2015-10-14-tweedekamer-5.u131	I would like to sit down and let this go, but it is now said that the coalition parties are coming up with constructive and pragmatic solutions. I am curious to see where the Prime Minister sees the constructive elements in the plan formulated by the VVD last Saturday. What was the pragmatic solution presented at the time? I didn't want to ask, but now that he's challenging us like this, I'd like to play the ball back.
ParlaMint-NL_2015-10-14-tweedekamer-5.u132	Once again, I believe that both coalition parties are putting forward proposals and trying to bring this debate forward. In my view, the coalition has managed to achieve a common orientation, looking at the real situation we find ourselves in with regard to both housing, social security and services. This comes from the idea that these plans should simply be decent and just and that we will eventually come to sober solutions, because that is inevitable. I think that's decent and that's good.
ParlaMint-NL_2015-10-14-tweedekamer-5.u133	The Prime Minister actually tells the entire opposition that it does not come up with solutions and that only the coalition offers solutions. At least these parties are pragmatic. Then let me make it very specific. What exactly was so pragmatic and solution-oriented about the plan presented last Saturday? You can, of course, give a tap and then try to hide, but I hope the Prime Minister dares to bite through this debate.
ParlaMint-NL_2015-10-14-tweedekamer-5.u134	I think it is very strong that large governmental parties always make proposals on such a large issue. Last week it was the Labour Party, this weekend the VVD made a proposal. We sat together on Monday and wondered how you could come up with a further approach to the issue, using the various proposals that lie there as building blocks. I think that has resulted in a good package. This package is also in line with the talks we had with municipalities and provinces on Friday. It also gives Secretary of State Dijkhoff and Minister Blok the opportunity to come to good consultation with corporations and municipalities next Friday. That's exactly how it's done. So I have no further reproaches, but in the end we have to talk about the concrete ideas. We are in an extraordinary situation that requires unorthodox solutions. In any case, for the last ten days, I find that the coalition parties have come up with this.
ParlaMint-NL_2015-10-14-tweedekamer-5.u135	I assume the Prime Minister has also read D66's plans. He was talking to his colleagues in my first term, but I assume he heard what these plans were. Can the Prime Minister mention two or three of D66's proposals and say whether he likes them or not?
ParlaMint-NL_2015-10-14-tweedekamer-5.u136	Mr Pechtold is asking me directly, so now I am forced to find something. Honestly, from the corner of D66 and GroenLinks I have heard mainly comments, but if I have missed some lover somewhere between that comment, I would like to hear it.
ParlaMint-NL_2015-10-14-tweedekamer-5.u137	The Prime Minister always prepares himself well. I have here the D66 refugee action plan and I would like to have a detailed comment on every point in the second term. This weekend, the plan was presented by a medium-sized opposition party. The Prime Minister read the PvdA's plan and the VVD's plan. I would say: let him respond to our plans in detail in the second term.
ParlaMint-NL_2015-10-14-tweedekamer-5.u138	I am not avoiding this challenge, especially since I know that I am still debating much more complex issues with Mr Pechtold all evening.
ParlaMint-NL_2015-10-14-tweedekamer-5.u139	I am trying to say that the Prime Minister has practically taken the cabinet to the abyss when it comes to refugees, whether or not they have been brought to an end. Then he leaves the country in suspense and everyone wonders if the cabinet is coming out. You'll never hear from me again. Plans don't work out and you don't hear anything. Now we have the same thing again. Two parties fly into each other's hair and blow each other's plans off. Then one flees in words like "sober." Of course, the word 'just' has to be added to that on the other hand. One of them says we put them in dumpsters. The other one says, "Look, they don't have to pay rent." We may ask questions here, but the first one the best question is not answered. Finally, we get the sneer that the opposition has no plans. There are. I don't think it's appropriate for a prime minister to say to the entire opposition, who's doing her job here, what you're doing is nothing. My question is then: what do you think of this?
ParlaMint-NL_2015-10-14-tweedekamer-5.u140	The chairman or me?
ParlaMint-NL_2015-10-14-tweedekamer-5.u141	No, you.
ParlaMint-NL_2015-10-14-tweedekamer-5.u142	This illustrates my point. After all, Mr Pechtold once again presents a series of analyses on how difficult this will be in the coalition. That's really not true. I've been listening to his contribution. I've heard comments mostly. I have heard above all what problems the coalition would try to play away. But again, if there is a whole action plan, I will take the time to do so in the second period. I shall take so much time to postpone the debate on the King's budget. I'm gonna make sure of that.
ParlaMint-NL_2015-10-14-tweedekamer-5.u143	I hope this isn't necessary. At least your commitment stands.
ParlaMint-NL_2015-10-14-tweedekamer-5.u144	That commitment stands.
ParlaMint-NL_2015-10-14-tweedekamer-5.u145	Thank you. I shall then give the floor to the Secretary of State for Security and Justice.
ParlaMint-NL_2015-10-14-tweedekamer-5.u146	Mr. Chairman. The first bundle of questions that I'm going to answer, I'm going to go under the heading "port plane/continuity." Questions have been asked about how the COA does the phasing-out and construction. There's a buffer capacity, but it's not very large. On the basis of the last few weeks, everyone knows that it is not true that the COA can say autonomously: now I want room for so many thousand people and then again for more. Every place for an asylum-seekers' centre or other form of reception follows from a route with a municipality. Often agreements have been made on how long that lasts. Last few weeks, here in the Chamber, too, it has become clear that there is a strong commitment to the fulfilment of these agreements. When acquiring new locations, a higher influx has been taken into account. Indeed, I did not see the real peak coming from August, nor did my European colleagues from all the other Member States. That's right. That is why it is now possible to arrange shelter, but in a slightly more ad hoc way. They were asked to involve the local community. We'll do it as much as we can. The administrative route and the route with residents is different at times when a new asylum-seekers' centre is acquired because there is no higher influx but another asylum-seekers' centre closes in six months than when locations are needed very quickly. The recruitment of staff shall take into account the involvement of the local community. The purchase also looks at the local middle class. As a result of the motion by Mr Kuik, I said on 23 September that I would examine with the COA whether this could happen more and whether further steps could be taken. I'll inform the Chamber about that. The COA is exploring that right now.
ParlaMint-NL_2015-10-14-tweedekamer-5.u147	When it comes to involving the local community, I asked if it could be known to the municipality from the beginning when the COA talks with private real estate owners. This also involves drivers. I now hear from the country that there are situations that the COA has made a kind of agreement with private property owners, subject to reservation, and the municipality is only approached afterwards. A few problems can really be avoided, because municipalities have much more knowledge of who the people are, what is happening and you name it. I would therefore like to be given the assurance that local authorities will be involved from the outset, so that they at least know what is happening.
ParlaMint-NL_2015-10-14-tweedekamer-5.u148	I understand this question and can also imagine that in the hundreds of sections of the COA there has once been a situation in which the municipality could not have been caught yet but with an entrepreneur there has already been looked at a location. This is often about event halls or sports halls. I do not want to say categorically that we are changing the whole policy on the basis of one case. It's a bit of a chicken or egg: the municipality should like it to happen in one place, but if a tent is the private property of an entrepreneur, it should also agree with the rental. It is also happening that municipalities call us and say: we have a place and for us it could be possible, but then you have to talk to the entrepreneur. It also happens that an entrepreneur calls us and says: I have a holiday park. In Wassenaar, for example, every year to clear up the frequently heard misunderstanding that that municipality would do nothing to rent bungalows after the autumn holidays. If something becomes concrete, I think the municipality should be involved as soon as possible. Preferably very early, but it can happen one time that an entrepreneur calls us himself. We'll hear what we can do first.
ParlaMint-NL_2015-10-14-tweedekamer-5.u149	I did not ask on the basis of one case, because that would indeed be a little too thin. Of course, it may happen sometime, but I've heard it from different sides. At the time when the COA is going to talk to private real estate owners, often about holiday parks, I think it is important that we first set a line with the municipalities. They know who it is and what is going on there, so that those will not be attacked by it. There are even situations where that has gotten out of hand. That can be avoided if what I propose is the policy line.
ParlaMint-NL_2015-10-14-tweedekamer-5.u150	The line is to inform the municipality as soon as possible on concrete matters, because an appointment with an entrepreneur is not enough. The locals also need to know what's going on as soon as possible. That should preferably be done through the municipality. Mr Slob also asked in the first term why it should be in the letter that I went into consultation with the mayor of Central Drenthe about the Orange. He said, "Can't you just write what you're doing?" I could have, but in this case, I found it more elegant to give the mayor the opportunity to communicate the deal I made with him to his people. That last one was done today, but the letter was from last night. The deal's next. There are 100 extra people in the Dutch Team last week, and that will be no more than 100. I've further agreed with the mayor that we'll try to move those 100 extra people somewhere else as soon as possible. Our aim is to do so within four weeks and the mayor has said that we have a fifth week's grace if something unexpected happens in the meantime. In any case, we are back to the normal situation where the agreement applies to 700 people.
ParlaMint-NL_2015-10-14-tweedekamer-5.u151	I think it is good that there is now a clear time limit, in the sense that within four weeks the original agreement will apply again. I assume the residents have also been informed about this.
ParlaMint-NL_2015-10-14-tweedekamer-5.u152	In the meantime, yes.
ParlaMint-NL_2015-10-14-tweedekamer-5.u153	And now it is time to take action, because in the personal conversations I have had there, I have noticed that trust has been seriously damaged there. You can only make up for that in one way, namely by showing that those words are really serious to you. So perform.
ParlaMint-NL_2015-10-14-tweedekamer-5.u154	In the meantime, the cabinet has said enough about what has happened there. I think it's good that the Secretary of State has now made new arrangements. The inhabitants also asked for and said the necessary more. I mentioned a part of that in my first term. In such an environment, in an outskirts of a country, 700 people can also cause a huge nuisance to local amenities, such as neighborhood buses or something simple as accessible internet. Is the Secretary of State also prepared to say that he is going to look at these points in concrete terms, for example in the Netherlands, as it has been a nuisance for some time now?
