ParlaMint-NL_2015-01-20-tweedekamer-19.u1	I welcome the Secretary of State for Economic Affairs in our midst.
ParlaMint-NL_2015-01-20-tweedekamer-19.u54	This means that animal welfare in the World Trade Organisation must become a non-trade group, because that also allows Europe to make more demands on the route prior to slaughter, for example on transport. There is no such possibility now. Nevertheless, the European Commission has the opportunity to make a point of this in its discussions with these countries. So does she. The last block was control and surveillance. A lot of questions have been asked about that. What's the deal, exactly? What are the barriers to an import stop? That was a question from Mrs Dikkers. The FVO checks that countries comply and enforce the regulations properly. Upon non-compliance, improvement actions will follow. In the event of persistent problems, measures may also be taken, i.e. an export ban for companies where problems have been identified or an export ban from certain countries. Then you see that at the border the NVWA from the Netherlands controls parties that enter here. If necessary, parties can be stopped. It's not possible to just close the border. Mr Geurts asked whether the FVO's controls have been stepped up as a result of the images we saw last year. There is indeed extra attention to these problems in North and South America. The next year will be Uruguay and Brazil's turn for controls. Mostly residues monitoring is in full focus. Mexico was deleted in 2014 for exports to the European Union for horse meat. This was done on the basis of FVO's findings, and it was possible to do so because residues had been found in the meat. That was a title to organize such a ban. Audits are therefore carried out in slaughterhouses in third countries. They are intended to organise the proper implementation and enforcement of European import requirements. If there is no improvement in irregularities, a country can be removed from the list of countries, as happened with Mexico. The FVO aligns audits with expected risks. Some MPs have asked for risk-based checks. That is the case. Mr Geurts has asked whether there is a plan for improvement. A work programme shall be drawn up annually by the FVO and a schedule of missions to Member States and third countries. That must be announced in advance. They usually spend a week there. It may be announced that they will be there for a week, but that much more unannounced checks will be carried out during that week. That's a possibility the organization has. Specific controls on horse meat may be carried out. Mr Schouw asked whether it was not a paper reality. The fact that Mexico has been deleted shows that this is not the case. At the same time, the images that come along show that the situation is not always in order and that this calls for more unannounced checks. I therefore say to Mr Schouw and Mrs Lodders, and others who undoubtedly agree, that they support raising this particular issue with the European Commission. I agree that you can change a paper reality by doing some unexpected things once in a while. After all, you'd have a better chance of getting onto business. I think that is a valid point. I think it would be excellent not only to urge the European Commission, but also to seek support from the Member States and from my colleagues in the Agriculture Council. The results of all these inspections are on FVO's website, as well as the missions planned this year. For 2015, there are a total of 56 missions in third countries and 2 inspection missions specific to horse meat and residues.
ParlaMint-NL_2015-01-20-tweedekamer-19.u55	Mr Schouw said about the announced checks: that's just like when my mother called me when I was in college. I want to check with Mr Schouw if he would think that the risk of his mother coming by is not present when she calls and says: I'm in your city for a week, but I'm not saying if I'm coming by.
ParlaMint-NL_2015-01-20-tweedekamer-19.u56	That is not entirely a valid point, because it is not a single room. She'll have to check half a town. Then the moment when you come along or not becomes less predictable.
ParlaMint-NL_2015-01-20-tweedekamer-19.u57	It's a little less predictable than a letter saying I'll be on your doorstep at 10:00 on Tuesday morning. But still, if you know the inspection authorities are around for a week, you're gonna make sure you do it right in that week, right? It's not so hard for a company to last a week, is it? I'm not very impressed by this step.
ParlaMint-NL_2015-01-20-tweedekamer-19.u58	In Mexico, it seems that it did not succeed. I suppose, on such a mission, if you become much more unpredictable in exactly where you come from, you'll increase your chances of catching those who want evil. By the way, in the Netherlands too, we manage to check whether certain things are in order, not always to do it exactly the way others want it to be. Fortunately, this is not usually about food safety or animal welfare issues. And we are a rather organized country.
ParlaMint-NL_2015-01-20-tweedekamer-19.u59	Not only the unexpectedness is a point, but also the amount of controls that take place. The Secretary of State says, for example, that in response to my questions about phenylbutazone, this medicine can cause leukaemia in humans, and that in what has been sampled, no substances have been found that cannot be tolerated. However, if you only check 0.4% of the meat, then I don't think you can find anything that quickly. If you're not looking, you won't find anything. Is the Secretary of State prepared to ensure that a level playing field is created between Dutch and foreign entrepreneurs?
ParlaMint-NL_2015-01-20-tweedekamer-19.u60	It seems fine in itself, but it is precisely in this case in which this means is sought that we have deliberately investigated much more in the Netherlands than the European Commission asked of us. We tried to increase the chance that we would find something by doing much more research than the European Commission prescribed to the Netherlands at the time.
ParlaMint-NL_2015-01-20-tweedekamer-19.u61	The Secretary of State said that's fine. Did she mean that she would now argue that there should be a level playing field? After all, Dutch entrepreneurs have to keep track of the use of a horse throughout their life, while someone who wants to export meat to the Netherlands, to Europe, from abroad only has to do so for six months. So you don't have a level playing field.
ParlaMint-NL_2015-01-20-tweedekamer-19.u62	The European Commission is also considering new policies on this point, as I know. The discussion is still ongoing. This means that we are also assessing from that point of view what new, heavier demands we could make to ensure that controls but also the quality of what is coming to Europe's imports are even better. This debate is therefore being held in Brussels. Once again, Minister Schippers, of course, takes the lead. With that I seem to have answered almost all the questions, because I see a lot of repetitions in my folder. I therefore suspect that this would allow me to decide on my first term.
ParlaMint-NL_2015-01-20-tweedekamer-19.u63	You never know.
ParlaMint-NL_2015-01-20-tweedekamer-19.u64	It's an attempt.
ParlaMint-NL_2015-01-20-tweedekamer-19.u65	I still have a legal point. In the Minister's letter I read the conditions that the FVO lays down for exporting meat from third countries to Europe. That letter mentions three of them. What is against adding a fourth criterion relating to animal welfare in a given country? The Secretary of State has just said that this cannot be done for legal reasons. But why can't it be for legal reasons?
ParlaMint-NL_2015-01-20-tweedekamer-19.u66	Because animal welfare is not part of what we in the World Trade Organisation have agreed to make demands on third countries. The Dutch Government's struggle to turn animal welfare into a so-called non-trade group must deal with this problem.
ParlaMint-NL_2015-01-20-tweedekamer-19.u67	But Europe is about its own rules and is not subordinate to those of the WTO, as I know, because there is no kind of higher government. Can the Secretary of State go into more detail on the question of the legal autonomy of the European Commission and one of its organisations, which can simply make demands, in relation to the position of the WTO?
ParlaMint-NL_2015-01-20-tweedekamer-19.u68	Once again, Mr Schouwen should have this discussion much more specific with Minister Ploumen. However, I can say that it has everything to do with the fact that we are within the rules of the WTO. We want to meet that, because that also benefits the Netherlands. As long as animal welfare is not a non-trade group, therefore, as far as I am aware, sustainability is not possible for the European Union, except for slaughter, because that is what it is all about. So we cannot make demands on transport, for example.
ParlaMint-NL_2015-01-20-tweedekamer-19.u69	Mr Schouw may respond to this briefly.
ParlaMint-NL_2015-01-20-tweedekamer-19.u70	I think that's the way it is. Maybe it's not desirable to do this, but when it's legally impossible, I'm not gonna lie down so soon, you know. I understand the reference to other rulers, but the government is one and indivisible. Is the Secretary of State prepared to record this again with Mrs Ploumen and write in a note about this legal impossibility? I'm really curious about the basis for that.
ParlaMint-NL_2015-01-20-tweedekamer-19.u71	I think we have had this particular debate many times. We are members of the WTO from the European Union. That means that we are also bound by WTO rules. This means that our regulations must comply with WTO rules. Food safety is, however, part of this WTO regime. Animal welfare and also sustainability I have just made a mistake about this, but it is not yet part of the WTO regime. If you don't want to do that anymore, you have to leave the WTO with the European Union, but that doesn't seem to me to be the option Mr Schouw is aiming for. I do see him shaking his head.
ParlaMint-NL_2015-01-20-tweedekamer-19.u72	Mrs. Ouwehand, this is really going to be your last question.
ParlaMint-NL_2015-01-20-tweedekamer-19.u73	I would like to ask the Secretary of State about the free trade agreements for which Minister Ploumen is the first responsible. In view of the Secretary of State's commitment to making animal welfare a non-trade group, and in order to make the requirements that we impose on our own producers also apply to imports, I wonder how, at the moment, the government's juice valuation of the present agreement with Canada is. If I read her correctly, it says, "import restrictions? Forget it." How does this relate to the State Secretary's commitment to at least apply animal welfare requirements as a condition in which a level playing field should apply? What we consider normal in Europe should also apply to imports.
ParlaMint-NL_2015-01-20-tweedekamer-19.u74	Once again, our commitment will always be to have this issue on the agenda, including the American treaty with Europe, and to make as little concessions as possible. After all, we think our standards are important. I hope that Mrs Ouwehand will forgive me if I do not shake a whole appreciation of the free trade agreement with Canada. I don't have that here right now. I also think that I should not be the first to report to the Chamber on this matter on behalf of the cabinet. I really think that is on the way of my colleague. I appreciate that the Chamber has everything and everything to do with the debate with me, even far beyond my portfolio. I like that and it is tempting to go into it, but that does not seem sensible to me.
ParlaMint-NL_2015-01-20-tweedekamer-19.u75	Those seem like nice last words to me...
ParlaMint-NL_2015-01-20-tweedekamer-19.u76	Chairman?
ParlaMint-NL_2015-01-20-tweedekamer-19.u77	No, Mrs Ouwehand, I had just given you the floor for one last question. Does the Chamber need a second term? That's the case. I am happy to give the floor first to Mrs Ouwehand.
ParlaMint-NL_2015-01-20-tweedekamer-19.u78	Then you'll have to wait, because I still have my motions to take.
ParlaMint-NL_2015-01-20-tweedekamer-19.u79	I shall then be the first to give the floor to Mr Geurts.
ParlaMint-NL_2015-01-20-tweedekamer-19.u80	I have no contribution for the second term.
ParlaMint-NL_2015-01-20-tweedekamer-19.u81	Then I give the floor to Mrs Dikkers. Oh, you've already made your motions, Mrs. Ouwehand? Then I give the floor to you.
ParlaMint-NL_2015-01-20-tweedekamer-19.u82	It's my turn, isn't it?
ParlaMint-NL_2015-01-20-tweedekamer-19.u83	Yes, you don't make the order here. Go ahead.
ParlaMint-NL_2015-01-20-tweedekamer-19.u84	Mr. Chairman. It is an unsatisfactory debate, and I see that you yourself are a little irritated.
ParlaMint-NL_2015-01-20-tweedekamer-19.u85	I'm not irritated at all, but I'm maintaining order here. Go ahead.
ParlaMint-NL_2015-01-20-tweedekamer-19.u86	Oh, is that what you do? Mr. Chairman. It's unsatisfying. The Chamber and even the Cabinet believe that the images we have seen confirm the fact that animals are being seriously abused and that we simply allow that meat in Europe. This debate actually leads to the conclusion that the Secretary of State says that it cannot do so much. That's a discrepancy in our values. We have European rules for a reason. We support that, but we think that producers outside the EU are much more good. In an attempt to change that, I submit a number of motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that the European Food and Veterinary Office has carried out recent audits at equine abattoirs in Mexico and Canada and concluded that the circumstances were unacceptable;]] [[noting that these conclusions confirm what European inspection services and international animal welfare organisations have been warning against for years;]] [[calls on the Government to commit itself to a European moratorium on horsemeat from Canada and North and South America,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the find of phenylbutazone in horse meat in Belgium, the United Kingdom and Switzerland indicates that this banned substance is more common in horse meat than would be suspected;]] [[noting that scientific research has shown that phenylbutazone can lead to a decrease in white blood cells, liver failure and leukaemia in humans;]] [[calls on the Government to require a horse meat warning label to inform consumers of the possible presence of phenylbutazone in horse meat,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that audits carried out by the Food and Veterinary Office (FVO) have been sporadic and announced;]] [[noting that third countries often fail to comply with the recommendations of the FVO and that this could call into question the authority of the FVO;]] [[calls on the Government, at European level, to promote the strengthening of the Food and Veterinary Office authority in which audits are to be carried out unannounced,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26991-452]] [[This motion was tabled by Mr Ouwehand and Mr Thieme. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26991-453]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26991-454]]
ParlaMint-NL_2015-01-20-tweedekamer-19.u87	Thank you very much.
ParlaMint-NL_2015-01-20-tweedekamer-19.u88	Thank you very much. Then I can give the floor to Mrs Dikkers of the Labour Party.
ParlaMint-NL_2015-01-20-tweedekamer-19.u89	Mr. Chairman. I continue to be amazed at the fact that we are able to impose animal welfare requirements during the slaughter process and the short period during which the animals are on the premises of a slaughterhouse, but that we would suddenly encounter all kinds of WTO barriers in the period before that. I'd like to see these obstacles mapped out. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas horses whose meat is sold in the Netherlands must be properly treated;]] [[noting that the EU has a regulatory framework for this;]] [[noting that EU rules on slaughter in North and South America apply to horses whose meat is exported to the Netherlands;]] [[noting that this does not apply to the rules governing the transport of horses for slaughter;]] [[noting that this is not possible due to WTO barriers;]] [[calls on the Government to identify the legal obstacles to demand that horses for slaughter be transported to the Dutch market in accordance with EU standards in North and South America,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Dikkers. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26991-455]]
ParlaMint-NL_2015-01-20-tweedekamer-19.u90	Mr. Chairman. I have three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas recent imports of horse meat from Mexico have been suspended due to poor animal welfare conditions;]] [[Whereas different sources show that the animal welfare situation in Canada, Argentina and Uruguay is equally poor;]] [[calls on the Government to promote in Europe a moratorium on imports of horse meat from Canada, Argentina and Uruguay and other countries where animal welfare or food safety has been shown to be of comparable poor quality,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that animal welfare may be a consideration in order not to allow imports of products such as seal fur;]] [[whereas the WTO does not explicitly recognise animal welfare as a consideration;]] [[calls on the Government to make every effort to ensure that animal welfare is recognised at the WTO as a non-trade-related consideration by including it as an exception in the World Agreement on Tariffs and Trade (GATT),]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that animal welfare, food safety and transparency for consumers are important achievements in the Netherlands and in Europe that should not be undermined by trade agreements;]] [[calls on the Government to adopt policies to promote the inclusion of animal welfare, consumer and food safety issues in any relevant multilateral or bilateral trade agreement,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bashir. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26991-456]] [[This motion was tabled by Mr Bashir. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26991-457]] [[This motion was tabled by Mr Bashir. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26991-458]]
ParlaMint-NL_2015-01-20-tweedekamer-19.u91	Mr. Chairman. I would like to thank the Secretary of State for the comprehensive reply. In my first term, I made a comparison between the Dutch control of NVWA, the rules we lay down and the FVO. I can tell a difference between that and that. I heard the Secretary of State say that, too. At the same time, she also said that two countries have been added to check extra and that this is being announced. As backup, I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that the European Commission's European Food and Veterinary Service (FVO) is carrying out generally announced controls in third countries;]] [[calls on the Government to work with the European Commission for (more) unannounced controls by the FVO,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Lodders and Mr Dikkers. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26991-459]]
ParlaMint-NL_2015-01-20-tweedekamer-19.u92	I realize that this motion may be in line with Mrs Ouwehand's, but I could not compare it so quickly. A number of motions have been tabled to impose additional conditions. I will advise my group not to support these motions, because we must first have a look at the legal implications and have a debate on what animal welfare requirements we are going to apply, whether in the Netherlands or in Europe. How do we deal with the level playing field for our entrepreneurs in the Netherlands? This is crucial for the VVD Group.
ParlaMint-NL_2015-01-20-tweedekamer-19.u93	Mr. Chairman. We thought for a moment this week: it's actually an old issue that we need to discuss here. However, there are very interesting development points in it. They have to do with the question of what animal welfare requirements can be imposed on imports of our meat, whether it be horse meat or other types of meat. On the one hand, this debate has led to the conclusion that this is not yet possible and that the world is full of obstacles. On the one hand, as Mrs Lodder also said, you must ensure a little level playing field. If we try to increase the demands in the Netherlands, the rest of the world will have to go left or right. Otherwise we will put ourselves in a disadvantage. We have therefore raised very interesting issues here. I'm not filing any motions. I just want to highlight two of the motions that have been tabled. The first motion I have raised has been tabled by Mrs Dikkers. It is actually looking for a way forward by asking about the legal possibilities and obstacles. After all, we cannot think of Columbus' egg to make demands on animal welfare today, but we do need to identify these issues. The second motion I wish to highlight is the motion by Mrs Lodders and Mrs Dikkers. That motion calls on the government to ensure that controls become more effective. If these two motions have been passed, I think we have been doing a very good job in the last two hours.
ParlaMint-NL_2015-01-20-tweedekamer-19.u94	I have found that the Secretary of State can reply almost immediately. She wants to get the last of these things straight.
ParlaMint-NL_2015-01-20-tweedekamer-19.u95	Mr. Chairman. I'm trying to get the motions settled quickly. First of all, I come to the motion on part No. 452. That is Mrs Ouwehand's motion calling for a European moratorium. I have just explained in detail why that is not possible. That's why I'm dissuading the motion. Then I come to the motion on part No. 453 by Mr Ouwehand and Mr Thieme. The operative part says that we should require a label on horse meat to warn about the medicine phenylbutazone. I also advise against that motion. According to the regulations, the product must not be present in the meat. The checks that have been carried out have not actually given the picture that it is present in the meat. It is therefore not desirable to do so in advance. Otherwise, we are suggesting that we do not take our own regulations seriously. In Mrs Ouwehand's third motion, that is the motion in part No. It calls on the government to strengthen FVO and to carry out more announced audits. I want to strengthen the authority and organise more unannounced audits, but I want to do so in a way that also fits within the system that is now being chosen for the missions. In view of the fact that another motion has been tabled on this point, namely the motion by Mr Lodders and Mr Dikkers, I would prefer Mrs Ouwehand to support that motion. That is why I would advise against this motion. Sometimes it's very important how you put it, but that's important to me. Then I come to Mrs Dikkers' motion on part No. 455. I should also advise against this motion, because we have the legal obstacles in our sights. It is not possible in the context of the WTO; Mr Bashir also made that statement in one of his motions. I believe that the Minister of the United States of America has also stated this in detail in her letter to the Chamber. So we can now stack research on research, but I am not in favour of it; I think it would be better if, with perhaps even more energy, we could actually do what we have said, namely to ensure that animal welfare and sustainability become a non-trade group within the WTO.
ParlaMint-NL_2015-01-20-tweedekamer-19.u96	The Secretary of State says with such aplomb that the letter from the Minister of the United States states that it is not allowed by the WTO. I have just asked in the case of interruption to explain why and on the basis of which articles this should not be done and why Europe has no independent competence in this matter. I think that's what the motion is asking for. I cannot find in the letter from the Minister of VWS what the legal basis for that position is.
ParlaMint-NL_2015-01-20-tweedekamer-19.u97	It's a question of another's motion. It's not so common.
ParlaMint-NL_2015-01-20-tweedekamer-19.u98	That is not so common, but you have just heard me speak a lot of warm words about this motion in my second term, so I will allow myself to have that freedom.
ParlaMint-NL_2015-01-20-tweedekamer-19.u99	Yes, but that's not a freedom you automatically coincidence.
ParlaMint-NL_2015-01-20-tweedekamer-19.u100	I just tried to explain. We can put it in a letter one more time, I do not think that is a problem, but that is not in this motion. This motion states that a whole new investigation must be carried out into what we already know. I'm not really in favour of investigating something you already know. Mr Schouw now asks me, following Mr Dikkers' motion, whether the cabinet can rewrite exactly how it works with the WTO and with animal welfare. We already know that, but I would like to ask for a letter before the Chamber one more time from my colleagues who have the lead. In my view, however, that is really different from what this motion is intended to do. The motion aims to re-examine and investigate what you already know, I find superfluous. That's why I advise against this motion. I would, of course, like to make a commitment to the letter, if it is appreciated by the Chamber.
ParlaMint-NL_2015-01-20-tweedekamer-19.u101	Let's do the piece by piece. We shall first go to the petitioner, Mrs Dikkers, to hear what she thinks of what the Secretary of State said about her motion.
ParlaMint-NL_2015-01-20-tweedekamer-19.u102	I would like to amend the motion so that it is a letter. I do not care very much how the information comes to us, but I do want it to be stated in the letter in which articles it says that we should not do so. That's what the motion intended. I want to know where I can read back that we cannot meet the requirements for giving slaughter horses the same rights as those horses now have in the EU when they are transported to the slaughterhouse.
ParlaMint-NL_2015-01-20-tweedekamer-19.u103	Perhaps the petitioner can hold her motion; then I will see to it that my colleagues send that letter to the Chamber. On the basis of the letter, Mrs Dikkers will then be able to assess whether she still wants an investigation, or whether the letter describes the situation.
ParlaMint-NL_2015-01-20-tweedekamer-19.u104	I'm fine with that.
ParlaMint-NL_2015-01-20-tweedekamer-19.u105	At the request of Mrs Dikkers, I propose her motion (26991, No. 455). That is what is decided.
ParlaMint-NL_2015-01-20-tweedekamer-19.u106	I assume that Mr Schouw will not then be in favour of a letter which leads to the provision of services in the departments; that is just as disrespectful as it is. I am referring to that further letter in which one more detailed explanation is given as to why something cannot be done. As the Secretary of State puts it, there will be a letter in which it will be very specific as to why what you want cannot be done.
ParlaMint-NL_2015-01-20-tweedekamer-19.u107	I distance myself from your qualification that it is a question of providing employment, because the Chamber simply wants to know exactly what the legal obstacles are. I'm glad the Secretary of State is over the bridge and says she'll write it down.
ParlaMint-NL_2015-01-20-tweedekamer-19.u108	Once again, I am very much prepared to have information that has already been sent to the Chamber at various times in all kinds of letters re-assessed and sent to the Chamber again. If Mr Schouw qualifies that as 'coming over the bridge', I am fine with that; then I am very happy to cross that bridge. The Bashir motion in part No. 456 for the same reason as the Old-Hand motion in part No. 452, which also called for a moratorium. Then I come to the motion for a resolution, Mr Bashir, on part No. 457. I would like to ask the author whether he means by his motion to say that animal welfare as a non-trade group should be recognised by the WTO, or whether he wants something other than what the government actually wants. I see from Mr Bashir that he means the first.
ParlaMint-NL_2015-01-20-tweedekamer-19.u109	Mr Bashir, would you like to use the microphone for posterity?
ParlaMint-NL_2015-01-20-tweedekamer-19.u110	My answer via the microphone is yes.
ParlaMint-NL_2015-01-20-tweedekamer-19.u111	That has been our intention for some time now, so I can only conclude that we do not need a motion for a resolution in itself. If the motion is to be interpreted in this way, I simply consider it to support policy. In that case, I can leave the verdict on the motion to the Chamber. This is indeed our intention.
ParlaMint-NL_2015-01-20-tweedekamer-19.u112	I have one more question about the previous motion. The Secretary of State does not recommend this motion, but it is clear from the recital that sources show that it is a poor animal welfare situation. If this is apparent from sources, including the FVO, can we argue for it at European level?
ParlaMint-NL_2015-01-20-tweedekamer-19.u113	No, because it also needs to be established whether this poses a direct risk to public health and therefore food safety, or whether it takes place in those slaughterhouses. To this end, additional checks will be carried out. Then there is the possibility to remove countries from the export list so that the meat can no longer be imported. That's what happened to Mexico. However, you will have to establish that. That is different from a moratorium, in which you say in advance: I am not going to investigate first, but I am going to start banning and then I will see if that has been right. That is exactly what Mr Bashir's motion calls for.
ParlaMint-NL_2015-01-20-tweedekamer-19.u114	The FVO itself said in a hearing that the situation in Canada is very serious. At the moment when the FVO, which is the watchdog of the European Commission, says something like that, I think it is laid down. If not, what are the criteria for establishing it?
ParlaMint-NL_2015-01-20-tweedekamer-19.u115	If the FVO determines that, the FVO will also have to act. We have the opportunity to end up with sanctions. This can be done if the situation is serious enough and there are, that is important, infringements on which the FVO can act. That's what they did in Mexico. So it has to be done by that route. However, that is a different route from that of a moratorium. This will always be done per individual country, but it may also be an individual slaughterhouse in a country. Because they can also be taken off the list. We all have these possibilities, and they must also be taken into account. I'm getting to the motion on part No. 458, which calls on the Government to take as a starting point any relevant multilateral or bilateral trade agreement to promote the inclusion of animal welfare, consumer and food safety issues. That's state-of-the-art policy. What does Mr Bashir ask more than we already do? If he doesn't ask for any more, but if he wants this recorded again, I'll leave it to the Chamber, because then it's just what we're doing. However, I wonder why Mr Bashir will then table the motion. If he wants more than that, he should write it down more precisely. Then we'll know what it's about.
ParlaMint-NL_2015-01-20-tweedekamer-19.u116	I am not the author of this motion, but I do have a question. I hear the Secretary of State say a number of times now: what are you asking for more than the current policy? The motion could therefore be superfluous. Of course, we keep each other a bit busy by recording everything again for all subjects. I can imagine that Mr Bashir would like to table a motion for a resolution once in a while.
ParlaMint-NL_2015-01-20-tweedekamer-19.u117	Yes, the verdict is therefore up to the Chamber. Again, I don't need this motion to do what it says. Mrs Lodders is absolutely right about that. I would like to say once again to the author that we are already doing what he advocates. If he wants more, he should write it down. I can then provide the motion with a value judgment.
ParlaMint-NL_2015-01-20-tweedekamer-19.u118	I think there are some pretty important negotiations going on right now, including on TTIP. At the moment when the Chamber makes an important statement, as stated in the motion, the Secretary of State also has something to put on the table and can say that Parliament has requested it. This is an important subject for us; we can work with it! It is a point in the negotiations that it can put very hard on the table.
ParlaMint-NL_2015-01-20-tweedekamer-19.u119	Of course, that's something we know about each other a long time ago. That's true. It's not the first time it's come out here in the Chamber. So it's rather unnecessary. Mr. Chairman. I'm getting to the motion...
ParlaMint-NL_2015-01-20-tweedekamer-19.u120	So the final verdict is: Judgement Chamber?
ParlaMint-NL_2015-01-20-tweedekamer-19.u121	Yes, Mr. Chairman. Mr Lodders and Mr Dikkers have tabled a motion on more unannounced controls by FVO. I have said that I want to do so and I want to raise it with the Commission, but I also need to ensure that I get more support from my colleagues in the Agriculture Council. In doing so, I would like to qualify this motion as support, as Mrs Lodder said. I think that's excellent: Judgement Room. Mr. Chairman. That puts me at the end of my term.
ParlaMint-NL_2015-01-20-tweedekamer-19.u122	I don't see anyone jumping up protesting, so that's probably really the case. Thank you very much for coming and for the answers given.
ParlaMint-NL_2015-01-20-tweedekamer-19.u123	The vote on the motions will take place next Tuesday. I shall suspend the sitting until 7.15 p.m. Why, subject to reservation? We are supposed to start with the VAO on the Ecofin Council, but the general consultation is still ongoing and could take a little longer than the initial time I mentioned.
