ParlaMint-NL_2015-04-28-eerstekamer-6.u1	I would like to welcome the Secretary of State for Economic Affairs to the First Chamber.
ParlaMint-NL_2015-04-28-eerstekamer-6.u49	I have recorded it phonetically in my speech, Mr. Chairman. A cow that can't go out, cries "aerh." I am happy to be corrected by the Secretary of State on the sound level, because she is often among the cows, I suppose. I believe that dairy farming should in principle be fully land-based. If I see correctly, this is also the Secretary of State's ideal. It would be even better if the ground bondage were arranged in such a way that all cows could go into the meadow. Together this is good for the environment and makes cow life less unpleasant. It is also good for the environment and livestock-loving farmers. There's a lot of them, I hear around me. But we're not that far. With the present AMvB we stray from the clean target. The AMvB reasons in terms of the so-called "milk cattle phosphate surpluses'. These surpluses are bad for public health and bad for the environment that we leave our children. In terms of old writing, they testify to poor stewardship. The Secretary of State wants to reduce the phosphate surplus, but the effect of the AMvB does not result in less filth, but in less growth of dirt. For medium-sized and large dairy farmers, only 25% to 50% of growth requires land-related growth. My group does not consider that to be ambitious. In my group's view, this does not fit in with the certainty that we really need to provide the sector. I fully agree with Senator Schaap on that last point. I fear with great fear that we will be shooting through the phosphate ceiling in this type of figure. Then the sector is even further away from home. I therefore propose to the Secretary of State and the spokesperson that the AMvB, and then the law, should be amended in such a way that more stringent growth standards apply to the most intensive dairy farms with a relatively high excess phosphate. For those with a surplus of more than 50 kg/ha, that is the top category in the current AMvB forecast I propose 75% land-based growth instead of the 50% from the AMvB. For the companies with a surplus of more than 100 kg/ha I propose 100% land-based growth. I would like to hear the reaction of the Secretary of State and the other spokesmen. We will, of course, have to decide by majority. Furthermore, the sector should be expected to reduce the level of phosphate surplus in the longer term by means of full land binding, i.e. land in the vicinity of livestock farming. This is for reasons also mentioned by Senator Vos. At present, the most intensively-producing part of the sector is likely to expand around 10% of dairy farmers until the EU intervenes, which will have repercussions for the sector as a whole. The well-intentioned farmers will be the victims. In other words, the current AMvB seems to be turning against the sector as a whole. Does the Secretary of State take full responsibility for this? Finally, I come to the related question of grazing; it has already been discussed. That grazing is not now regulated. My group also believes that landboundness and grazing should be directly linked. My group is asking the Secretary of State to regulate the grazing by law. This fits with the beautiful picture she gave us on December 17th. I await the Secretary of State's answers with interest. I take the picture, which now hangs on the speaker chair, but again, because I don't want to bother the next speaker with it.
ParlaMint-NL_2015-04-28-eerstekamer-6.u50	You also want the picture to be included in the Acts, Mr Reuten? I cannot guarantee that it will be placed in the Acts because it has not been delivered phonetically by you.
ParlaMint-NL_2015-04-28-eerstekamer-6.u51	Mr. Chairman. "The coalition has corrupted its relationship with parliament. The desire for power has won the respect for the people's representatives. An elementary blunder. Only one response fits: off the table that threat." Hans Wiegel wrote that on 23 December in the NRC about the rule of AMvB. The President of the First Chamber said on 31 December in an interview with the same newspaper that an AMvB should never have the intention to change the heart of a law. The comments mentioned were about another AMvB, but in essence they touched the core of the objection of governing at AMvB. An AMvB should not be meant to pass the people's representatives and should not be intended to change a law in essence. This is exactly what happens with the AMvB land-based growth of dairy farming in relation to the Implementing Decision Fertiliserswet for the responsible growth of dairy farming. The AMvB's ink wasn't dry yet, or the sector started to calculate how many extra cows were possible without having to acquire additional soil for it. The project Cows & Opportunities, which co-operates with Wageningen University, was the first to produce a report showing that an average of 25 additional cows per farm were best placed without having to acquire additional land. Last week the CLM report followed on the basis of already authorised expansion possibilities for dairy farming in three provinces, namely Utrecht, Gelderland and Noord-Brabant. On this basis, an image of an explosively growing sector is emerging. Based on permits granted, a significant increase in the dairy population is possible: 19% in Utrecht, 28% in Gelderland and 24% in Brabant. In total, the current active dairy farms in these three provinces can keep 33% more dairy cows than there were in 2014. Converted to the whole of the Netherlands, dairy farmers can keep 350,000 to 550,000 more dairy cows. That is an increase in the number of dairy cows by 15% to 36%. In Brabant alone, municipalities and provinces have given the green light to 143 megasthals, with the cows never coming out. Nationally, this predicts an increase of hundreds of megasthals. Not to intervene now means that the Netherlands will soon be a land full of mega-stables, with fewer and fewer cows in the meadows. We won't approach this anthropomorphically, but it's nice when cows can go out. That is just what Mr Schaap himself said. It is worth looking at how we got here and what we can do against this dike breach of milk and manure. The conditions laid down by the Cabinet to prevent the unbridled growth of dairy farming have a high "who lives, who cares" level. The Labour Party didn't come out with coalition partner VVD. That is why the Secretary of State has chosen a flight forward with an AMvB that leaves much to be desired for clarity. In this house on 17 December, the Act responsible growth dairy farming was adopted. One of the main themes that had to be regulated was the land-based responsible growth of dairy farming, with the emphasis on "responsible'. The members of this house were not happy with the fact that the law had to be treated with steam and boiling water because it would have to enter into force on 1 January because of Brussels regulations. They reluctantly agreed to the promise that an AMvB would be offered on 1 March for further details. But as much haste as there was with the law, so little haste there is now with the AMvB. Its introduction is only envisaged before 1 January 2016. The First Chamber unanimously considered that the scheme should be temporary in nature at AMvB and asked the government "to prepare, in parallel with the elaboration of the proposed general measure of governance, an amending law incorporating the essence of the general measure of governance and the significance of land-basedness into the law." This was stated in a motion by Mr Reuten, Mr Thom de Graaf, Mr Terpstra, Mr Schaap, Mr Thissen and myself, which was adopted unanimously. It was therefore expected that the Secretary of State, now that she chooses to allow the AMvB to enter into force only next year, would have announced at the same time that this would be regulated by law, with the AMvB being no more than a temporary measure. Nothing could be further from the truth. There is nothing to indicate the preparation of a proper regulation by law. Once again, this is not a respectful attitude towards the people's representatives. The First Chamber has a means of enforcing the Chamberwide motion for a regulation by law, but does not like to use it. Today, the Secretary of State can promise to ensure that legislation is taken forward in such a way that the means of interruption will not be necessary. For example, the AMvB could simply enter into force pending the promised, widely requested regulation by law. As you know, the AMvB can be stopped when 15 members in this house so request. In the absence of an AMvB, the cabinet would therefore be obliged to regulate the enlargement criteria for the dairy sector by law. It does not have to come to that when the Secretary of State chooses eggs for her money and gives up the impression that half an egg would be better than an empty shell and that the choice will end.
ParlaMint-NL_2015-04-28-eerstekamer-6.u52	Does Mr Koffeman now use the threat that he will attempt to stop the AMvB if the Secretary of State does not now undertake to convert the AMvB into law without delay?
ParlaMint-NL_2015-04-28-eerstekamer-6.u53	It's definitely not a threat. It is a legitimate means that the Chamber is at its disposal. This house has unanimously asked the Secretary of State to set up the scheme by law. We asked for this to be done as soon as possible. Now that the Secretary of State has chosen to allow the AMvB to enter into force on 1 January 2016, and so there is plenty of room to use the intervening time for legislation, I am indeed going to make an attempt to break the law. I would much rather not do that, but if the Secretary of State is not prepared to have that legislation ready by 1 January 2016, then I have no option but to make an attempt to stop.
ParlaMint-NL_2015-04-28-eerstekamer-6.u54	I don't mean by "threat" that it would be an illegal action or anything. It is perfectly legal and legitimate to try to do so, but I would like to comment on the consequence. If the Secretary of State does not undertake to immediately convert the AMvB and the AMvB is interrupted, then there is no settlement at all.
ParlaMint-NL_2015-04-28-eerstekamer-6.u55	That's right.
ParlaMint-NL_2015-04-28-eerstekamer-6.u56	In short, freedom is joy, if I may put it as simple as that, for the sector and he can deal with enlargement as he likes.
ParlaMint-NL_2015-04-28-eerstekamer-6.u57	That's an interesting look. I fully agree with Mr Schaap. This does not call the Chamber a kind of anarchy in dairy country but the Secretary of State. It received a unanimous motion calling on the Chamber to adopt legislation as soon as possible. If in any case she chooses to ignore that desire of this house, then this house has only one way to pull the emergency brake. I expect that to happen in that case.
ParlaMint-NL_2015-04-28-eerstekamer-6.u58	We can all be very grumpy about the Secretary of State. That's all perfect, fine. That's part of the game, too. I'm just pointing out the consequences. At the time of the strike, there is no AMvB and no settlement. Then we will have to wait and see when there is a law through both chambers and the rule of law has become effective.
ParlaMint-NL_2015-04-28-eerstekamer-6.u59	It's very important to be very precise. I'm not complaining at all about the Secretary of State. Let me start with that. It should also be clear that, when there is no AMvB, my commitment is to make an AMvB exist. The ideal means is to get the promise from the Secretary of State: I'm going to make a legal arrangement for this. When that promise comes, that AMvB will just stay alive. So if the Secretary of State carries out this house's wide-ranging desire, then that AMvB will just stay there. As soon as she doesn't want to, she's gonna put the case on edge and not me. I'm taking an advance on that, although I certainly don't want to accuse her of that. With that AMvB there is an extra emergency brake behind it. At the moment when there is no AMvB regulating the growth of dairy farming, there is still the phosphate ceiling, which we will soon break through. Then the government is also obliged to intervene. Mr. Chairman. At present, Dutch dairy farmers produce more than 12 billion kilos of milk, nearly 57 million kilos of manure and 14.4 billion kilos of greenhouse gases. In return, they receive EUR 400 million a year. That's got to hurt every right-minded liberal. Following the romantic image of a cow in the meadow organized the politically "ground-based dairy farming," but that ground-boundness appears to be a dead letter. The land may be far from the farm, even in Germany or Belgium, so that control of manure disposal becomes virtually impossible. That control was already barely there, according to insiders from the sector, 30% to 40% of manure is already being processed fraudulently. It is unclear how the Secretary of State intends to tighten that control with an undressed NVWA. Perhaps I could give a recent example of how things are going wrong with the control. At the beginning of April, a witness saw a cattle farmer in the north of the Netherlands with suspicious manure runaways. Large dung trucks drove off and on to a relatively small piece of land to drive out a lot of manure, more than was justified, so was with a trained eye noticeable. Following the call made by the Secretary of State during the manure debate to report abuses, this concerned and conscientious citizen reported this incident to the NVWA. A red-handed act must be easy to act on, you'd think. That's what the gentleman at the call center saw differently. The NVWA's call centre is located in Limburg, also for the people calling from Friesland. That's a long way from the crime scene, North Frisian. That gentleman said he'd pass it on to the inspector who's about the North Netherlands. But if the reporter wanted immediate action, maybe it was an idea that he called the environmental police. No, the NVWA couldn't do that on its own. So it's up to the reporter to do it himself. The citizen in question called the environmental police. He didn't see anything in the report at first. Having noted everything advised that at the end of the conversation to call the NVWA because it is actually about that. The citizen has received the number of his report from the NVWA and has called twice. We are now three weeks later: nothing has been done with the notification. There's a registration number for that report. If the Secretary of State appreciates it and wants to treat it confidentially, I'd be happy to pass it on to her. It is remarkable that no action has been taken so far and that in a sector which itself says that 30% to 40% of manure is being processed fraudulently. These are not incidents but clear signals that the Secretary of State makes promises about compliance and enforcement that are not yet being complied with or can be complied with in any way in the current occupation and scale of the violations. The manure processors are already full and then the manure tsunami from dairy farming still needs to be started. The aim of the dairy law was to achieve a regulated growth of dairy farming within set environmental limits; land-based growth to prevent manure surpluses from being eliminated through manure processing. During the last two years before the end of the quota, a group of dairy farmers have milked considerably more than their milk quota allowed. They took the superlevy to be paid for nicely. In this way, a phosphate position was taken before the time after the milk quota. That strategy will be double rewarded. The dairy law was still based on a phosphate reference date of the end of 2013, which legalised the additional phosphate position. This AMvB also legalises the overrun of 2014. From the point of view of justice within the sector, this is a bad thing. After all, the phosphate area which has been taken up against the rules can no longer be used for fair distribution among dairy farmers who have complied with the milk quota. Apparently, the superlevy wasn't high enough to keep all dairy farmers on the straight track. However, this is not a reason to extra reward the offenders by using November 2014 as a phosphate reference date. In no way shall it be verified whether, and if so, how much phosphate was produced above the usage standard in 2013 and 2014. It is possible that a dairy farmer is far above the standard of use and does not need to use extra land because he has implemented his expansion of production by November 2014, contrary to the rules. A similar colleague who has waited nicely and wants to expand in a similar way is forced to buy up land. That's not fair. In doing so, the cabinet creates legal inequality within the sector. It would have been fairer to fix the phosphate reference date on November 2012. For dairy farmers who exceeded the quota in 2013 and 2014, this does not cause any damage. After all, they have already enjoyed the financial benefit of enlargement. A farmer who now produces 20 kilos of phosphate per hectare too much can have the equivalent of half a cow per hectare processed without having to buy additional land. A farmer who produces 50 kilos of phosphate too much may process the equivalent of almost two cows without additional soil. A farmer who produces 100 kilos too much phosphate may process the phosphate of almost two and a half cows per hectare without the need to buy up land. The greater the breach of the phosphate standard, the more manure may be processed. The more the phosphate standard is exceeded, the less there is a need to "pay." In the case of soil density, however, it is not only a question of the manure being able to be disposed of on its own soil, but also of the feed from it as far as possible. The AMvB completely ignores this aspect and is therefore very imperfect. The AMvB doesn't say anything about grazing. However, grazing is closely linked to soil-boundness. Without soil, no cow in the meadow. The cow is now being asked for an even greater performance: the goal is to produce 20% more milk with 9% more cows. The fear that Mr Schaap has just expressed. A quarter of Dutch dairy cows have udder infections. More than half of them have leg problems. Recently it became known through the Health Service that the nipples of the udders are falling and that this phenomenon is increasing. The lifespan of cows remains on average three and a half lactation periods. The miserable circumstances of the cow remain at its best, but it has to give more milk. A cow who is unlucky enough to end up in a megastal knows one thing for sure: she's going to be locked up for life. She cannot go outside if she feels like it, as in the example of Mr Schaap. No, she's going to be in jail for life. The only time she goes outside is on her way to the slaughterhouse. Cows that graze in the meadow have fewer leg problems and fewer udder infections. They're healthier than stable cows and live longer. The milk they supply is of better quality. Furthermore, grazing contributes to the reduction of ammonia emissions. Legislation that aims at a regulated growth of dairy farming with a secure level of animal welfare within verifiable environmental limits should make grazing mandatory. The AMvB fails on all the above points. It must therefore be stopped or brought to a higher legal level. The industry first responded to the AMvB, but now there are serious concerns about the implementation of individual companies, there is little monitoring of the processing of phosphate and there is a good chance that the already massive evasion of the law will become much greater.
ParlaMint-NL_2015-04-28-eerstekamer-6.u60	I received two letters: one from the environment and one from LTO. Both letters urged the adoption of the AMvB because they, including the environmental organisations, were satisfied with this AMvB. Something special must have happened, if LTO suddenly does not support her own letter.
ParlaMint-NL_2015-04-28-eerstekamer-6.u61	I don't think it's true that LTO doesn't support her own letter. I think that Nature and the Environment, as the organization to which Mr Schaap refers, is no longer so supportive of that letter. Within the environmental movement, let us say, is thought within the framework of "better half an egg than an empty shell." I understand from both Nature & Environment and Environmental Defense that by now, if the Secretary of State were not prepared to come to legislation, she would welcome the interruption.
ParlaMint-NL_2015-04-28-eerstekamer-6.u62	I received a clear letter, but no correction to that letter. I don't know what rumors are going on. I think we should simply rely on the scriptures that have come to us. From Nature & Environment, that's the letter.
ParlaMint-NL_2015-04-28-eerstekamer-6.u63	Sure, but the last few days there's been a lot of movement. Since then, a new report has been issued by CLM. Perhaps Mr Schaap read that report, but perhaps he was abroad at the time. CLM comes to very different conclusions. However, these conclusions did not include Nature & Environment and Environmental Defense in their previous letters. They have now taken note of this and they are very shocked by it. With this AMvB, the effects of the milk and manure tsunami can only be adjusted afterwards, once the calf has drowned. We cannot allow that to happen, Mr President! This AMvB regulates and sanctions the growth that has been achieved, outside the rules, especially over the past two years. In the debate in the Lower House, the State Secretary himself admits that. She said that as a reference date November 2014 she chose not to be flooded by troubles. The Secretary of State says that the production on top of the milk quota was not a violation and therefore legal. That's a game of words. The fact is that for each kilogram of milk in addition to the quota, a levy of as much as €0.27 had to be paid. As non-binding as the Secretary of State wants it to appear, the quota agreements were not. However, this superlevy is accepted by the farmers and almost without any misunderstandings. After all, the milk price was high enough to cover that fine. This promises a little more for this year with regard to the excess of the phosphate reference. There is a fine of €11 on one kilo of phosphate too much produced. In turn, this means €0.05 per litre of milk from the over-keeping cow. That too is going to happen again. There are animal rights hanging over the market. However, animal rights should not be confused with animal rights. In this case, the right to keep animals is, for a better understanding, only the right to keep animals. So it is not about the rights of animals, it is about the rights of farmers. At the moment when these animal rights are hanging over the market, as a farmer, you better have those cows stuck in stables. The fine is therefore simply seen as an investment in the future. As the milk price is higher, the rules are more lapped up. In this way, this system ensures that the market does not set the environmental limits, but rather the political limits. It is better and also more effective to link any enlargement to land and to punish infringements not by fines, but by subtracting the excess produced in one year from authorised production in the following year. Farmers who still have a place are not affected by their enlargements. Why don't we just take care of it like this? But the groundless farmers are being held back. That is also very necessary, because it is they who have used up the phosphate space at a rapid pace over the last two years, at the expense of farmers who do feed their cattle. The AMvB claims to achieve a ground-bound growth. The Secretary of State speaks of own roughage production, milk production or animals per hectare, but these concepts fall short because they push the concept of land-basedness within the framework of the Fertilisers Act. All the reasons why any extension leading to excess of the phosphate reference should be allowed only if it is linked to land purchase. The Secretary of State assumes that the sector remains below the phosphate ceiling and can increase production by 20%. This magic trick should be made possible by the feed trail. By putting less phosphorus in the feed, phosphate production also decreases with the cow and thus the sector remains below the ceiling. The final figures for 2014 will only come later this year, but according to CBS calculations phosphate production increased to 82.4 million kilos in 2014. That is more than 2 million kilos below the ceiling for dairy farming of 84.9 million kilos. However, with an annual increase in phosphate production of more than 2 million kilos, it seems that the ceiling will be reached this year. Rabobank also assumes that. The role of the transport track is not only widely overestimated, the reduction of phosphorus in the feed affects the health of the livestock, and is therefore an attack on animal welfare, according to the project Cows & Opportunities. On the website of this project you can read the following: "Participation in Cows & Opportunities means together in search of the limits of the possibilities within the company. In order to reduce phosphate losses and increase the efficiency of phosphate, Richard, the farmer about whom the article is about, tried to limit P-supply within the feed track. P-poor feed in combination with single raw materials and low P-content by-products were the basis for this. The results in the calculations were excellent. However, in practice the cow turned against this approach and that resulted in all kinds of vague problems that could ultimately be related with reduced resistance of the livestock. Blood tests showed that the P supply was no longer adequate. Looking for the border and then finally going a little too far." It is clear who the opportunities are for in this example and who the problems are for. In other words: phosphate in the feed down, cows sick. In order to solve the livestock problem, this farmer has added phosphate to the feed. The fact that the Secretary of State calls on the Chamber not to stop the AMvB, because the law will not be ready in time and because Brussels will intervene irrevocably, is not really understandable. The amended law can easily be completed by January 1st. The manure law and the dairy law were chased by both chambers in a month or two. We can do that now, so the time argument is not convincing. The question is whether Brussels will intervene. Last month, RIVM announced: "The ammonia emissions over the period 1990 to 2013 have been recalculated: emissions over the whole series of years show about 15 kilotons per year higher than previously calculated." This means that emissions have exceeded the European Union's ceiling since 2010. The trend is falling, but still above the European standard. That standard will only be met in a number of years if everything goes well. Yet Europe has approved the derogation. So the European sword of Damocles isn't so bad. If this AMvB is to be stopped, it is, of course, necessary to announce immediately a moratorium on extensions in dairy farming. Otherwise, presorting for any animal rights will continue at an accelerated rate. Such a pass at the place does not create any disadvantage for dairy farming. The sector has already achieved almost half of projected growth by 2020. Is the Secretary of State prepared to settle by law on 1 January for which the AMvB has now only begun, and to link land-boundness to pasture? Is the Secretary of State prepared to tighten up supervision and enforcement and to stop small land-based farmers from being victims of cowboys with mega-businesses up to 1,000 cows standing in stables every year? I look forward to the answers with interest!
ParlaMint-NL_2015-04-28-eerstekamer-6.u64	Mr. Chairman. Under great pressure, both Chambers of the States General facilitated the entry into force of the Responsible Growth Act on 1 January 2015. Under real or non-real pressure of time from the EU in Brussels because, if the law were introduced later, the derogation in relation to excess production of phosphate could be jeopardised. We will never find out whether the Secretary of State has allowed himself to be frightened by real threats from Brussels and too quickly in front of the Commission. The impression that the PVV Group has received during the process of this legislation is that in the Netherlands fast, and perhaps too soon, is being admitted to the regulatory spirit from Brussels. The image of a sovereign Netherlands only in its name is once again pressing for this issue. As a country within the EU itself, it has long since become impossible to set the course; politicians who claim otherwise simply lie to themselves. The Secretary of State wrote on 29 March. give a brief explanation to the Presidents of the two Chambers on a number of issues and principles relating to the AMvB which will give details of the Act on responsible growth dairy farming which came into force on 1 January this year. This law lays down requirements for expansion plans for dairy farms, so that expansion does not conflict with the EU-Nitrate Directive. Although not a subject of debate today, I would like to make a brief reflection and relativising comment on one aspect of the Nitrate Directive. A publication of the Biogeosciences company of December 2012 argues, inter alia, that the effectiveness of the Nitrate Directive is difficult to compare between countries, because the measurement methods, such as the measurement depth and location of the measurement networks, are very different. Results on published nitrate concentrations, according to the article, say little about the success of the Nitrates Directive. Therefore, some reservations regarding interpretations of the measured results seem appropriate. Perhaps the Secretary of State may make a brief comment on this in her reply to the Chamber. According to the cabinet, land ownership is an important social issue. the basic condition for dairy farming in order to be able to continue to produce. Through the AMvB, the Responsible Growth Act aims to limit the possibility of growing soilless. The implementation of the soil-based growth is the introduction of a stable system whereby less intensive companies, i.e. with a low phosphorus surplus, have to compensate the least within the company. My group would like to hear from the Secretary of State on what this system is based on and what the underlying assumptions are which led to the above percentages and kilograms of phosphate surplus per hectare. A key aspect of the implementation of soil-based growth is, of course, control and enforcement. It is good to describe how it is to be completed, but an essential aspect of the implementation is also control and enforcement. I would therefore like to invite the Secretary of State to explain in detail in her reply the way in which the two aspects of the implementation of the ground-boundness I have already mentioned are addressed in the AMvB. Finally, I would like to make a brief comment on the subject of grazing. This subject has also been brought before me by several colleagues. Without wanting to become romantic, cows in the meadow are an inseparable feature of the Dutch landscape. As far as we are concerned, this must remain the case, despite the economic pressure to keep cows more and more stable. In its letter of 29 March last, the State Secretary states that its level of ambition for increasing the grazing area from 70% in 2013 to 80% in 2020. In her letter she also mentions a number of initiatives that should make this possible. The PVV Group believes that it is good to encourage grazing. A number of arguments for this have already been mentioned by previous speakers: animal welfare, cycle, soil orientation and so on. In my group's opinion, the level of ambition of the Secretary of State sounds quite non-committal. My group would prefer a somewhat harder framework of the desire to achieve at least 80% grazing. I would like to say to Mr Schaap: 80% grazing does not mean that 80% of their time is spent during the day. The farmer always has a choice when and at what temperature he does so. If cows feel less senang than 20°C, it is not necessarily necessary that these animals are hunted out. Given the number of hours and days on which the 80% grazing is distributed, it should not be a problem to be able to achieve that 80% within that standard. In our opinion, it is possible to meet that standard. This can be done by making resources available from the Empire. At the same time, it should be made clear to the parties in the Convenant Weidegang, for example, that 80% grazing as the level of ambition of the State Secretary is a lower target for 2020; the parties of the covenant in the chain should know that they are highly responsible and become responsible for the concrete measures leading to the 80% target, while the public authorities in the background play a mainly facilitating and advisory role in achieving that standard for grazing.
ParlaMint-NL_2015-04-28-eerstekamer-6.u65	The PVV Group, like everyone else, supported the motion to turn the AMvB into a legal arrangement. Would Mr Van Beek also be in favour of including a definition of the concept of "groundboundness" in that legislation in such a way that landboundness and grazing are given a legal basis?
ParlaMint-NL_2015-04-28-eerstekamer-6.u66	Sure.
ParlaMint-NL_2015-04-28-eerstekamer-6.u67	Mr. Chairman. The study of the Agriculture Economic Institute, which was annexed to the letter of the State Secretary of 3 October 2014, has provided a clear insight. If the growth of dairy farming involves purely economic considerations, it will be mainly based on manure processing and hence landless. That's undesirable. The AMvB, which we have before us, regulates that the growth of dairy farming is ground-bound. In six months' time, an important social wish has been expressed, which is also an important wish of this Chamber. A vigorous approach, I think. The steering is also smart: especially intensive companies are faced with additional rules. This decision is a key element in the development of dairy farming in the Netherlands and an important step towards a circular economy. The members of the Labour Party's group are therefore very much in favour of this AMvB, all the more so because of its proven social support. We want to be satisfied with just a few questions. The housing of the AMvB on the soil-based growth dairy farming is the Fertiliserswet. However, landboundness serves far more than just the objectives set out in the Fertilisers Act; this point has already been raised by several colleagues. Groundboundness is also about the use of roughage and feed from one's own farm and roughage and feed from the immediate surroundings. Groundboundness is also about grazing, in order to promote animal health and welfare. Several times it has also been mentioned that it is also about grazing that is linked to nature and landscape values. Finally, soil density is also about lower ammonia emissions. In other words, land binding is more than using manure on own land. Does the Secretary of State share the view that soil density is more than the use of manure on own land? Is it necessary to legally anchor this broad meaning of ground boundness? Why has the Secretary of State not so far come up with such a proposal to give effect to the Rejection motion? Or is that still on the horizon? The second point concerns the financing of land-based links. The common agricultural policy is a significant public contribution to dairy farming. The question is whether these resources can be used to promote ground-boundness. If not, could it be the Secretary of State's commitment to the negotiations for the CAP programme for the next period, to use those resources to support that ground-basedness? I will come back to the Act responsible for the growth of dairy farming itself. Preliminary statistics from the Central Bureau of Statistics on manure production in 2014 indicate that manure production is moving towards the phosphate ceiling of 84.9 million kilos; the so-called feed track, which we discussed in December, is very important. Responsible growth results from a successful feed track carried out by the industry itself. Can the Secretary of State inform us about its progress? The December debate on the law also discussed appropriate legal measures to prevent the phosphate ceiling being exceeded. Given the development mentioned, the members of the Labour Party ask the State Secretary when we can look forward to these legal measures. We look forward to the Secretary of State's response.
ParlaMint-NL_2015-04-28-eerstekamer-6.u68	If I understand correctly, Senator Van Zandbrink has expressed his satisfaction with the AMvB. At the same time, he sees the threat of exceeding the ceiling. If you're in favour of the sector and the whole country, that's the last thing you want, even in terms of certainty, that Sheep brought forward and I totally agree with. Should we be so satisfied with the numbers recorded in the AMvB? Shouldn't we have a more forward-looking view of the ceiling and raise those numbers a little bit, even if it was just a little bit?
ParlaMint-NL_2015-04-28-eerstekamer-6.u69	Against exceeding the phosphate ceiling, there are other conceivable measures that are much more effective than simply linking them to ground-based growth. We have already talked about the feed trail in December and, as has been mentioned a few times this afternoon, we also have the animal rights story. These are effective measures around the phosphate ceiling. It is very doubtful whether such a tightening of the ground-boundness will make such a significant contribution to the non-crossing of the phosphate ceiling.
ParlaMint-NL_2015-04-28-eerstekamer-6.u70	I understand that. Well, that sounds great to me, but that's not the way forward. The point is that, because of the abolition of the milk quota, a law has been passed. There's an AMvB attached to that. This is what's in there now. The railroad and all the other things that Mr Van Zandbrink mentions are not ahead of us in this context, but we are faced with this rapidly rising ceiling. Mr Van Zandbrink may say that animal rights are better, but they are not ahead of us now. All we can do now is raise the numbers in the AMvB, unless Mr Van Zandbrink can move the Secretary of State to put something about animal rights in the same AMvB. He has my blessing. We have here today the power given to us by the Secretary of State on 17 December. She said: if you want to change the content of the AMvB together in a majority, that is a political fact and I will follow you, of course. We can do that now. We can now change the numbers together and we can put together in the AMvB that animal rights need to be put in place immediately, not because we are having a bad time with the sector, but because we have a good time with the sector. After all, we do not want the phosphate ceiling to get any closer.
ParlaMint-NL_2015-04-28-eerstekamer-6.u71	Mr Reuten talks about 'what lies ahead' and 'now we have the opportunity'. Now the AMvB is ahead of land-based dairy farming. It's about groundboundness, and it serves different purposes. The phosphate ceiling is bound by the law. We have discussed this under the law. In my contribution, I took the liberty of falling back on that, taking that particular aspect out of it and saying that we in the Labour Party are also very concerned about that point. We are concerned not only with the environment, but also with the sector itself. The sector is therefore putting the derogation at risk. There are several reasons why it is a creepy matter that we are crawling towards the phosphate ceiling. There are reasons for that. 2014 was a very good year. Spring was three weeks earlier than we're going through this year. This led to higher phosphate use and increased phosphate emissions in 2014. Nevertheless, it remains an exciting issue for 2015. That is why, in addition to the AMvB's land-based growth, we thought it right to bring this aspect of the law back up again to show what we are all doing, namely for a healthy environment. That is why we have specifically cited this today. I am glad that Mr Reuten supports that. I am very interested to hear the answer from the Secretary of State on that point.
ParlaMint-NL_2015-04-28-eerstekamer-6.u72	Do I understand that my colleague from the Labour Party believes that a system of animal rights should be introduced immediately when the phosphate ceiling is reached?
ParlaMint-NL_2015-04-28-eerstekamer-6.u73	We believe that appropriate measures should be put in place at that time. I agree. That may be animal rights, but let us not commit ourselves to one definition at the moment. It could be anything. "Animal rights" is in itself a definition that this Chamber is wondering about. We are talking about production rights for dairy farms; let us use that general term for a moment.
ParlaMint-NL_2015-04-28-eerstekamer-6.u74	You therefore believe that they should be introduced on a perimeter basis and not that we should wait another year?
ParlaMint-NL_2015-04-28-eerstekamer-6.u75	We believe that it is important, both for the environment and for our agreements with other countries in Europe that we should be able to introduce these regulations directly at that time.
ParlaMint-NL_2015-04-28-eerstekamer-6.u76	There is tension between concerns about the phosphate ceiling and the ambition to produce more milk. The Secretary of State has submitted to us a number of times that we solve it with a very successful feed trail. Does Mr Van Zandbrink share my concern that the health of cows is seriously affected by that feed trail? Cows must have higher production with less and less quality feed. With a limited increase in the dairy herd, we think we can produce 20% more milk, literally milking the cows even more. Does Mr Van Zandbrink share the concern that it is an unstoppable way to keep cows in stables for the year up to 1,000 cows and to give them food that is not suitable for them, which makes them sick? Does he agree with me that this is not the way to go?
ParlaMint-NL_2015-04-28-eerstekamer-6.u77	My colleague addresses a subject in which I happen to have graduated. I studied cattle nutrition in Wageningen. It is a misconception that the feed track affects animal welfare or that it would lead to an increase in milk production. The main thing about the feed track is that the cow gets as much phosphate as it needs. At the moment, the cow is getting more phosphate than it needs, resulting in more emissions. If you put less in the front, less in the back. In short, that's the feed trail. That has nothing to do with animal welfare or with the pursuit of production. On the contrary, the animal gets exactly what is needed.
ParlaMint-NL_2015-04-28-eerstekamer-6.u78	If you are specialised in this, you will also have been familiar with the project Cows & Opportunities, which said that we did not have enough phosphate, phosphorus, in the feed and that makes the cows sick.
ParlaMint-NL_2015-04-28-eerstekamer-6.u79	Well, I don't know that conclusion of that project.
ParlaMint-NL_2015-04-28-eerstekamer-6.u80	Maybe it's good to know about that after all.
