ParlaMint-NL_2015-05-26-eerstekamer-11.u1	Minister Asscher, I invite you to begin your speech.
ParlaMint-NL_2015-05-26-eerstekamer-11.u26	Mr. Chairman. I would like to join in that. I would like to thank Mr Terpstra and Mrs Kneppers for their excellent cooperation over the last four years. I would like to thank the Minister for the detailed answer to the first-term questions. The problem of bogus structures and underpayment requires a comprehensive approach in the areas of enforcement, international cooperation and legislation. The legislative proposal we are debating today makes an important contribution to the latter. During my first term, I drew attention to all areas and I would like to go through the five main points together with the Minister's response. The first point concerned the date of introduction. In doing so, we have indicated that a short period of time does not contribute to legal certainty and enforcement. We understand the aim of introducing preventive action as soon as possible, but we also support the Minister, who states that he understands the aspects of implementation. We are particularly looking forward to his second-term wording on the elements of the law that call for the adjustment of the salary administrations to be introduced as of 1 January 2016. We shall wait and see. The second main point was netting and deductions. We were concerned about uninsured people, uninsured people and unjustly insured people in the field of care, concerns about compliance with legislation in the area of work and living. On this point, we look forward to the letter from the Minister, who will reach our Chamber, as he has indicated, even before we vote on the legislative proposal before we vote on it. The third main point concerned escape structures in the field of home services and in the field of transport and forwarding agreements. We wondered whether the Minister shares our assessment and, if so, what consequences he would have. In doing so, we welcome the fact that the law is being reviewed, provided it is adopted by the Chamber, and that this evaluation is already taking place in three years' time. We hope that suggestions for sealing holes and for possible extension of the law will be part of that evaluation. More generally, we welcome the attention of the cabinet to the general risks associated with home services. Our fourth point concerned the right to respect for privacy and the importance of a proper balance between desirable openness and unwanted interference. On this point, the Minister has indicated that this will be given due attention in the AMvB. That is what we are looking forward to. The final key point in our speech was the international approach, concern for undesirable competition on working conditions and a request for the adaptation of the Detachment Directive. We support the cabinet's efforts to create a level playing field at European level in this area and are particularly looking forward to initiatives in this area. Although the present legislative proposal is an important step in addressing the problem of bogus constructions and underpayment, my group is also looking forward to additional initiatives in this area. We are thinking, in particular, of regulating the minimum legal minimum wage and the minimum holiday allowance, including for persons who work against remuneration on the basis of a contract of employment. We are thinking here of tackling the tax incentives that encourage bogus self-employment. For now, we are particularly looking forward to the Minister's response to the remaining second-term issues.
ParlaMint-NL_2015-05-26-eerstekamer-11.u27	Thank you, Mrs. Sent. I understand we'll see you again if we're lucky.
ParlaMint-NL_2015-05-26-eerstekamer-11.u28	It's expected, but it's equally exciting.
ParlaMint-NL_2015-05-26-eerstekamer-11.u29	Mr. Chairman. I cannot agree with Mr Terpstra's words of thanks, and I am happy to endorse them. I would like to thank the Minister not only for answering our questions, but also for the fact that he and I have always kept the contact open, despite the fact that we did not always have the same opinion. I have two more points I would like to make. With regard to the date of entry into force, I would like to wait and see what the Minister says in the second term about the elements of the law that require technical adjustments. I'd like to know exactly what he means by that. The retention ban will start on 1 January 2016 and we will get the technical adjustments. Then what is the part that might not enter into force as of 1 January 2016, but which the Minister wants to bring into force as of 1 July? I did not fully understand the distinction betweenzzp'ers and employees. The minister said that the employee can go to court if there is any doubt about the nature of the employment relationship. I understand. But I'm trying to see it from the client higher up in the chain. This one has a duty to see if things are going the way they should go down in the chain. How can that client know whether he is dealing with an independent person or with an employee? I'm gonna keep having a hard time with that. The Minister said that the Tax Administration can check for bogus self-employment and that the model agreement may provide a safeguard for the wage charge. I understand that too, but that does not mean anything about the rest of the autonomy. I quote from the letter of State Secretary Wiebes on page 8: "A contract cannot be read as to whether the contractor is an entrepreneur. The alternative to the BGL concerns the certainty of the client's lack of obligation to pay or to pay payroll taxes, no ruling on the contractor's tax status in the income tax, no ruling on any entrepreneurship of the contractor, therefore no impact on the tax business facilities." But if there is no conclusive answer to this question, I do not think that there is any question of the nature of the employment relationship, i.e. the civil employment relationship. How does the client at the top of the chain know whether he is dealing with a "real" employee or with a bogus self-employed person or a real self-employed person? I hope I've made it clear where my problem is. So I do understand from the employee's point of view, so that he can go to court and that the judge is ultimately the one who determines, on the basis of facts and circumstances, whether or not there is an employment relationship, but the client must know, before entering into a contract, whether or not it is at the bottom of the chain, yes or no. I'd like to get a response from the Minister.
ParlaMint-NL_2015-05-26-eerstekamer-11.u30	Thank you, Mrs. Knippers. We shall miss you too.
ParlaMint-NL_2015-05-26-eerstekamer-11.u31	Mr. Chairman. I too would like to thank Mr Terpstra and Mrs Kneppers for their cooperation. I would like to thank Mr Terpstra for the cheerful note he has often put forward. I would like to thank Mrs Knippers for her expert and thorough input. We will also have to focus on this in the future. I hope to see Mrs Sent back as a colleague. I thank the Minister for his reply. We were already in favour of this bill. That's all we've become. We also very much agree with the Minister that it is a first important step but that it is only part of a larger approach that requires several other steps to eliminate underpayment and exploitation as far as possible. I've got a few more points. I had asked for attention to be paid to the role of the government itself in the role of the client in large calls for tenders. The minister says quite laconically that the government must, of course, comply with the law, just like everyone else. However, I would like a slightly more comprehensive answer to this, because if the government is guilty of this type of practice, even if it is indirect, it will no longer be credible in the enforcement of these kinds of arrangements with other employers or clients. I do think there is a greater responsibility here. I would also like the Minister to make a strong appeal to his colleagues and to ensure that preventive measures are taken. This kind of thing shouldn't happen in the government. The same applies to municipalities. As far as the municipalities are concerned, I have also asked about the direction the minister sees for himself in the direction of the local authorities in dealing with issues such as housing and other issues relating to migrant workers, because they are often also dependent on the enforcement role of the local government. It's been evaluated after three years. We are pleased with that. Enforcement will probably be part of that. We can then see whether enforcement is sufficiently effective or whether it is necessary to extend it. I am glad that the Minister has already said: as long as it is necessary to use the extra FTEs, we are doing so. Perhaps in three years' time it will be a good time to see whether this will be enough or whether additional steps may need to be taken. At the same time, we are pleased that further steps are being taken on the issue of bogus self-employment, whether through fiscal means or not. We are also looking forward to the proposals that the Minister in Brussels is going to make for the further handling of bogus constructions through the directives there.
ParlaMint-NL_2015-05-26-eerstekamer-11.u32	Mr. Chairman. It's not a big deal to have a firm opposition. The SP will certainly continue to do so with all the legislative proposals that we believe are calling for. But it is also nice to compliment the government from the opposition on a good law. Possibly this SP support tastes like more. I hope so. Then perhaps in the future we can work together to reduce the size of the flexible shell and strengthen simply good work with good working conditions and greater security. I have also heard very well that the Minister wants to highlight the introduction of chain liability for wages as part of the three-year review of a possible extension of liability for more than pay alone. Of course, my group would also appreciate that. The SP is also looking forward to the discussion on the great difference in costs and rights between employees andzzp'ers. Finally, I would also like to assist the Minister in providing the legal minimum wage for anyone working with an ovo. We await his letter with the request that the procedure be resumed in that context. Senators Terpstra of the CDA and Mrs Knippers of the VVD have just spoken their second term in their last debate in this Chamber, at least for the time being their last debate. Mr Terpstra was the first speaker to congratulate me on my maiden speech in this house a little over eight years ago. I thank him again for that. I would like to thank him and Mrs Knippers for the many debates they have had with me since then. I would also like to thank them for all the good work they have done in the committees on which I was also allowed to be a member. We're gonna miss them. I hope to continue to see the other speakers in this debate in the new First Chamber. We're gonna see.
ParlaMint-NL_2015-05-26-eerstekamer-11.u33	Mr. Chairman. The tone of the debate also reflects why there are so many cameras here in the hallway, because everything happens outside this Chamber that concerns us. I'm referring to the vote for the new First Chamber. If I listen carefully to the Minister, he says: grossly speaking, 80% is bona fide and 20% is malicious, and we have 35 extra FTEs for that. If it is true that the law is going to do what the Minister is trying to do, there is already information about it, and then perhaps the effect would be measurable by now. More could be achieved with fewer FTEs, because more employers are getting bona fide. That would be a nice effect. The opposite could also be the case, namely that these percentages are not so sensitive to legal intervention and that they will have to be added. I trust that, if that is indeed the outcome after one and a half or two years, the Minister will take action. I await an answer on the precise implementation dates of the various parts, but it seems to me that the Minister is moving in the direction that at least my group and a number of other groups have argued, taking into account the problems of introduction. The Minister has called the ibo an ibo but I know by now that this is an interdepartmental policy consultation. When I listen to him like that, it is about looking for the quadrature of the circle, but that is no reason not to, because this is one of the biggest labour market issues of the next ten years. The question is how we can find ways to solve the difference in costs betweenzzp'er and employee, the difference in risk of loss of wages in the different situations, the difference in pension insurance and provisions and thereby give a new shape to flex and fixed. This, in my opinion, makes the labour market more sustainable than it is today. I thought for a moment about Mrs Knippers' question as to how you know as a client whether there is a real relationship between employer and employee or a false construction. I am trying to formulate the answer for myself, including for the debates of this debate. It will only be dealt with by the client in the form of a real wage claim if the court has established that wages are due. Then that relationship must have been established. It may also be relevant to the client at the time he is addressed to the question of culpability. Has he done enough research? In my opinion, his obligation to investigate does not go so far as to have to examine everything that has been said here about false security and workers. That seems to me too far away from his commitment. The client must do everything in the context of audits, assignment, contractual requirements and inspections, but I do not think it is the client's duty to give a positive final assessment. Well, it's a long way to go, isn't it?
ParlaMint-NL_2015-05-26-eerstekamer-11.u34	That might be possible, but I would like to know from the Minister whether that is not the preventive effect he is talking about.
ParlaMint-NL_2015-05-26-eerstekamer-11.u35	Of course. I have given my own interpretation, but the Minister is the only authority on this point. I'll finish with that.
ParlaMint-NL_2015-05-26-eerstekamer-11.u36	Mr. Chairman. I would like to thank the Chamber for its positive attitude to this proposal. It is good that the various elements of the debate have led to a real dialogue. I will deal with the commitment I have just announced. As far as I am concerned, the evaluation can also include additions and other suggestions. If it has proved possible to improve the current legislative proposal by extending the number of agreements it sees or by adding other elements to liability, this is an appropriate time to conduct the discussion with each other. I am certainly not laconical about the role of the government, I say in the direction of GroenLinks. On the contrary, that was not the point of my first speech. There is indeed a coordinating role for the municipalities on the issue of labour migration, housing and so on. To this end, there is a permanent administrative consultation with municipalities where many migrant workers live or settle. That is where the issue can be raised and any signals about abuses can be discussed. That's what's happening now. That goes vice versa. Signals at my disposal can be shared with the municipalities and municipalities that have concerns about developments, for example about housing, can report this to us. The new law is wholeheartedly supported by the municipalities, because they also want migrant workers in their municipalities to be treated fairly and not to create unfair competition. The new law can only strengthen that. When the law is evaluated, we can see how we are at risk of enforcement and its capacity. The goal is that you achieve more with the same amount of people. For that, the law has a number of ingredients. I must honestly say that increasingly complex constructions require a lot of work and hours from our inspectors before they have a case. They have recently been dealing with complex constructions from different countries with all kinds of legal design and bells and bells. Bringing down a Christmas tree like that is gonna cost our inspectors a lot of work. We need these people very much. I say that also for someone who listens and thinks it might be possible to do it with fewer inspectors. I owe the SP the answer to the question about the minimum wage bill for contract work. The cabinet hasn't given up yet. We continue to attach great importance to this bill. However, after careful consideration, I did not choose to include that in this treatment, because I would like to try to ensure that this treatment ends successfully. The most appropriate time to bring that bill back here is, as I insinuated in the October letter, when reviewing the WML. We need to look at a large number of aspects of the WML. Mrs Knippers mentioned a number of them at the time, as did Mr Backer. He just referred to that. We hope to come forward with proposals in the autumn to revise the WML. Then it is appropriate to consider how we can bring the contract of assignment below the statutory minimum wage. I'll be in touch at that point. I wouldn't say 20% of the companies are crooked. Of course, we do not know that. In recent years we have seen a worrying number of signals about abuses and false constructions. Some of them are anecdotal, partly due to the statistics of the inspection. We know that there are huge numbers of bona fide entrepreneurs in the Netherlands, who treat their employees neatly and who therefore have an interest in a fair playing field. I would like to draw your attention to the many letters from, for example, the Dutch Building and Infra Contracting Federation, which explicitly lobbied for this law, so that the often smaller construction companies do not compete away with these kinds of constructions. I come to the request of D66, the VVD and the PvdA concerning the entry into force of the provisions requiring more technical adaptation. I said that in the eyes of the cabinet for chain liability, but also for the disclosure of inspection data, no long preparation period is necessary. However, I can imagine, in the light of the debate, that for other parts of the WML, in particular, extra time is needed to adapt the administration. I am prepared to allow the obligations on overnight payments, deductions and netting and the requirements on the pay slip, in particular the specification on expenses compensation, to enter into force only as of 1 January 2016, so that we keep the speed in terms of the important standard of responsibility for what is happening in the chain. Then all companies, including the bona fide, have just a little more time to adapt their administration to those specific elements. How does a client know if he is dealing with a self-employed person? This is seen by a multitude of factors. Mr Backer's explanation is correct. That's one element. Another element is that an independent cannot hold the client liable at all under this law. A client may require that employees be employed. If he is concerned about this and does not want it to go through the self-employed, he can demand it and make it part of a chain bond. The standard agreement will also clarify the relationship between employer and employee or client and self-employed person. In any case, characteristic of the more open standard of good clientship and good employership is not the obligation to determine any relationship whether it is an employee relationship or a client relationship. There is no such administrative and legal obligation. However, there are three areas where action must be taken. First of all, the contracts, in standard work, should make it clear that you expect further links in the chain to meet their wage obligations neatly. Secondly, you have to look at this every now and then on a random basis. For a very large company, this obligation is more severe than for a small SME. If you have a contract like this, make sure it's something. Thirdly, if there are signs of abuses or underpayment, you must respond to them. If you do the first and second good, you don't run into the problem of whether it's an employee or a self-employed person so quickly, unless things go wrong, such as wrongdoing or actual underpayment. Then it is important that you, as a client, make sure that they have complied with the agreements and the law. So it doesn't have to be in all cases and not by default. However, you have to react well to such a signal. You can never write out completely in advance when it is for a particular sector in a particular case, but the obligation implies that you can show that you are not reproachable when a judge says you didn't do anything when that call came. Finally, I come to the role of Rijkswaterstaat and the ruling in the recent television broadcast. Rijkswaterstaat has helped design the law and indicates that the law offers more tools to ensure that there are no things in that chain that you wouldn't want. We will not only evaluate the law but also monitor it. This monitoring also focuses specifically on state contractors. The law applies to everyone and everything, because one employee works on an assignment that a government is behind and another time for a large company. That shouldn't matter. We are going to see what is happening in practice and specifically with the government's contractors. Mr President, I shall conclude. I realize it's a special day for the First Chamber. It is not appropriate to reflect on this on the part of the government, but it might be appropriate to thank the members of the First Chamber with whom I have been allowed to work now that this cooperation is at least coming to an end in this form from the government very much for the way in which we work and the willingness to listen to arguments, sometimes from an ideological entirely different perspective. I would like to thank you very much for the constructive way in which the constructive and non-constructive opposition parties have approached me here.
ParlaMint-NL_2015-05-26-eerstekamer-11.u37	I'm here to deal with the bill. Does one of the Members wish to vote on the bill? I note that this is the case. Then I suggest we vote on the bill next Tuesday.
