ParlaMint-NL_2015-03-31-tweedekamer-16.u1	Mrs van Veldhoven has the floor for a point of order.
ParlaMint-NL_2015-03-31-tweedekamer-16.u45	I have two questions. The first is whether we can expect a proposal from the SP soon to abolish the ACM. The second question concerns the following. In fact, Mr Bashir has always expressed his disgust at procedures and such things that result from them. He didn't put that disgust on chairs or couches. Maybe that's why he agrees with the ex ante test I'm proposing with the CDA. That saves a lot of procedures. After all, there is now a question of ex post surveillance. The amendment envisages prior monitoring. This will prevent a lot of procedures afterward. That could perhaps lead Mr Bashir to vote in favour of the amendment. He may think that things should be different, but this reasoning might convince the SP to vote in favour of the amendment.
ParlaMint-NL_2015-03-31-tweedekamer-16.u46	The answer to the first question is no. On the second question, to which the answer is also no, I should like to go into more detail. The VVD and the CDA propose an amendment setting out a preliminary test. Then my conclusion is very clear. Mrs De Boer has apparently not been paying attention in the Chamber, which is why she has made legislative proposals that are not good. Apparently they don't work so well, so a test is needed in advance. Competition should not have been set up or otherwise arranged.
ParlaMint-NL_2015-03-31-tweedekamer-16.u47	I really can't make chocolate out of the answers. Mr Bashir cut the ACM and how it works. So we cannot see any proposal from the SP to abolish the ACM. Then the SP accepts the ACM as an authority, as a supervisor on the track, but it is one or the other. It's hoof or calf. Mr Bashir then also accepted the opinions she gave. Otherwise, he must propose to abolish the ACM. I would also like to try to convince him of the wonderful amendment we are about to table. Mr Bashir may indeed disagree with everything, with all the market forces on the track. It's just that we have market forces. He could spar with his colleagues about adopting this amendment anyway, because that avoids a lot of procedures. I think he's giving the wrong answers after the argument he made.
ParlaMint-NL_2015-03-31-tweedekamer-16.u48	Even more competition is not the solution for the railways. The solution is that we must have good railway companies which are in the hands of the government and which are controlled by governments through democratic control. If things don't go well, the people's representatives can intervene, call the responsible Secretary of State to the Chamber and tell them what needs to be done better. If you organise competition and set up a market supervisor when there is no market, you are not on the right track. There's no market. There are state-owned companies from other countries operating here. Explain to me why there is a market here.
ParlaMint-NL_2015-03-31-tweedekamer-16.u49	Mr Van Helvert, you have already had an interruption.
ParlaMint-NL_2015-03-31-tweedekamer-16.u50	That was about another subject. This is about the ACM. Mr Bashir made comments on this. I would like to ask Mr Bashir very briefly about this.
ParlaMint-NL_2015-03-31-tweedekamer-16.u51	Very briefly, then. Several questions have already been asked.
ParlaMint-NL_2015-03-31-tweedekamer-16.u52	Does the SP accept the ACM as referee in this game or not?
ParlaMint-NL_2015-03-31-tweedekamer-16.u53	I see no role for the ACM here.
ParlaMint-NL_2015-03-31-tweedekamer-16.u54	That, I think, is a clear answer.
ParlaMint-NL_2015-03-31-tweedekamer-16.u55	If so, I can only conclude that the SP does not dare to say it, but actually says: what the ACM says, we don't care at all.
ParlaMint-NL_2015-03-31-tweedekamer-16.u56	That's your conclusion. Do you have a follow-up question? I see that's not true. I would ask Mr Bashir to continue his speech.
ParlaMint-NL_2015-03-31-tweedekamer-16.u57	However, I note that the ACM and its directors make rather bold statements. From what they have proposed, I understand that they are in favour of further liberalisation of rail. I think we have the people's office for this sort of thing. That's what the House of Representatives is about. The ACM is now in fact running a campaign to further liberalise the railways. Then we have a supervisor who makes political decisions. I wonder if we want to go down that road. Then I will deal with the CDA and VVD amendments. They want the ACM to decide what to do on the track without any prior check. Does the Secretary of State consider that this form of so-called ex ante surveillance is desirable? Does it share the view that these are ultimately political considerations that the Chamber should make? The SP also finds it curious that the ACM is given a role in whether or not to authorise international passenger transport operators to start up international rail services and also to transport domestic passengers. The SP understands that this falls within European agreements, but wonders how far the competence of the ACM actually goes. Is the ACM even about this? Does this not confer powers on a supervisory authority? Can the Secretary of State respond to that?
ParlaMint-NL_2015-03-31-tweedekamer-16.u58	Mr Bashir outlines a scenario that I do not understand very much about. Surely the ACM can only test on the basis of the rules we set here as Chamber? It is only a question of whether we do this before agreements have been made or whether we opt for a lengthy procedure after the agreements have been made. I still do not understand what point Mr Bashir is trying to make. He sketches here a kind of contradiction between the question of whether the ACM can check in advance and the House of Representatives. But we make the rules. We give the ACM the tools with which it can work. That's what we do. Then the question is: does she go to work before or after? I would like to hear from the SP Group a fundamental reason why it prefers that to happen afterwards rather than in advance.
ParlaMint-NL_2015-03-31-tweedekamer-16.u59	I don't want either. I think Mrs Van Veldhoven should wash her ears out, because I have said several times here that I do not want supervision by the ACM at all, not beforehand and not afterwards. If there are legislative proposals here that give the ACM powers, which are again questionable, this will lead to more procedures: court cases against decisions and decisions of the ACM, court cases against governments and court cases between carriers.
ParlaMint-NL_2015-03-31-tweedekamer-16.u60	Mr Bashir is a bit detached from reality, because there is competition on the trail, although he does not want to. The SP apparently prefers to live in an alternative reality, but there is competition on the track. Now I hear the SP Group repeating that the ACM should be abolished and that no one should be watching for competition on the railways. However, I still do not hear any argument as to why you would prefer to have a discussion afterwards rather than in advance. And I regret that, because I know the SP as a party that always supports its point.
ParlaMint-NL_2015-03-31-tweedekamer-16.u61	Then Mrs Van Veldhoven should listen better, because I just said: I do not want them either. Can't she understand that?
ParlaMint-NL_2015-03-31-tweedekamer-16.u62	Mr President,......................................................................................
ParlaMint-NL_2015-03-31-tweedekamer-16.u63	No, no, no, Mrs. Van Veldhoven. This is going to be an endless debate.
ParlaMint-NL_2015-03-31-tweedekamer-16.u64	I won't make it an endless discussion. You won't hear a question either. I simply note that Mr Bashir is unable to answer my question. Well, that's true. We shall have to deal with that, unfortunately.
ParlaMint-NL_2015-03-31-tweedekamer-16.u65	You continue your speech, Mr Bashir.
ParlaMint-NL_2015-03-31-tweedekamer-16.u66	There is talk here of competition when there is no competition. We have state-owned companies operating here from Germany and France under the guise of competition, but there is no competition. In fact...
ParlaMint-NL_2015-03-31-tweedekamer-16.u67	Please continue your speech.
ParlaMint-NL_2015-03-31-tweedekamer-16.u68	... I also notice that a comparison is constantly being made between rail and the energy market. That example was brought forward by the Secretary of State. This comparison may be made on paper when it comes to competition, but not at all in practice. In the case of rail, the passenger himself is part of the journey, while in the case of electricity, the power simply comes out of the outlet and, above all, the administrative act creates competition. In addition, in the case of electricity, people can choose to switch themselves, while in the case of rail, the authorities make choices on paper with each other and eventually make the choice to hire one or the other carrier. The recent issue in Limburg is a matter of concern. It is also linked to the legislative proposal before us, because the question is: are we going to allow more legal matters on the track or not? Undoubtedly, it hurts a lot to lose a tender from the NS. Veolia and Arriva are constantly putting that party away as a non-performing monopolist. Unfortunately, the tender in Limburg has not been lost by Veolia on unfair grounds, as is stated. The fact is that there are leaked e-mails, which are not denied, unlike the ACM's report, at least that is not yet established.............................................................................................................................................................................................................................................. After that, proceedings and court proceedings were intended to extend the current concession as long as possible in order to earn as much money as possible. First of all, of course, this was denied. Later, the bid turned out to be too high. Finally, this was confirmed by the leaked e-mails. This was also a reason for the ACM not to immediately make the report public, because she had not done her job well. It was the Veolias and Arrivas of this world who had conspired against the NS. My question to the Secretary of State is: should we not learn lessons from this? Isn't it time to intervene instead of let more lawyers and lawyers on the trail?
ParlaMint-NL_2015-03-31-tweedekamer-16.u69	Mr. Chairman. We are discussing today the amendment of the Railway Act and some other laws relating to the implementation of the European directive establishing a single European railway area. The new European Directive recasts and replaces three of the earlier Directives. This concerns the development of Community railways, as it is called, the licensing of railway undertakings and the allocation of railway infrastructure capacity. The main changes in this directive and in the law are, of course, the improvement of and fair access to rail, the associated services and services, and the strengthening and extension of the position of railway market regulators. This fits in with the ambitions of the Long Term Track Agenda. In addition to the costs directly resulting from the operation of the train service, a lack of capacity and an environmental impact charge can also be included in this new law. I have a number of questions about this, in particular about the incentives that can be built in, i.e. charges or discounts. Is the Cabinet prepared to apply these incentives, and in what way and how is sustainability and perhaps capacity promoted? In short, how are these incentives actually implemented? Now they're just on paper. I have access to services and the provision of services. The Directive requires that access to services and the provision of services should be non-discriminatory. These include access to facilities necessary for the maintenance and fuel supply of equipment, the washing of trains and repair work. Requirements are laid down for the conditions of access, pricing and transparency to be applied. In the context of creating a level playing field for the efficient use of services, there are also strict requirements for access to certain services. That is where the role of the ACM, mentioned earlier this evening, will be addressed. It is being tightened up and extended as well. This is in line with an earlier request of the Chamber and with the earlier recommendations of the ACM itself. In addition, NS has indicated that it recognises the importance of transparency, so that it will be transparent about a number of access conditions and fees ahead of the Directive on services and facilities at stations. That's good. The Directive also aims to strengthen the role of the national supervisory authority by imposing requirements for independence, strengthening the tools and setting up a network of supervisors in the Member States. That's all good business. Then I come to the subject that has been the most discussed this evening: generic ex ante surveillance. The cabinet is not in favour of that. I have some questions about it. As I said, the cabinet is not in favour of more generic ex ante surveillance. Is it really in favour of more specific ex ante surveillance? Why then, on one part and not on the other part? Can that be supported a little more? In fact, we have been able to find this support in the documents. It's interesting to know what the difference between one and the other means. Everyone has an image of this, but the question is how it works in practice. Cooperation is always better and more effective than sanctioning alone. Now this law is mainly about sanctioning. But are there any aspects of cooperation in this law? Why am I asking? I think that the Dutch traveller in the public transport market, who looks like she does, needs that more than just supervision. Reinforcement of supervision can contribute to better service provision, but cooperation is particularly important given the nature of the Dutch OB market.
ParlaMint-NL_2015-03-31-tweedekamer-16.u70	According to the explanatory statement, the aim of this directive is to create a single European railway area: "further integration of the European railways is seen as an essential part of the creation of a European internal market, including for rail." Does the PvdA support that vision of the future?
ParlaMint-NL_2015-03-31-tweedekamer-16.u71	I think we should make a distinction. On the one hand, there is a single railway area in terms of technical requirements or standards and so on. On the other hand, when Mr Madlener talks about the operation of the rail market and a single railway area where there are more market forces, calls for tenders and so on, he knows the position of the PvdA in this area. The PvdA is never in favour of more market forces on the track. The situation in the Netherlands is that the main rail network has been awarded to one party: the NS. The PvdA is very pleased with this, glad that this is in the government agreement and glad that it has been able to ensure that our national railway company will be on the Dutch track for the next ten years. That was in front of the PvdA. Why? The Netherlands has a small and complex railway network. For the traveller it is important that switching and services are done properly and efficiently. By holding such a complex network in one hand, this is the philosophy of the PvdA.
ParlaMint-NL_2015-03-31-tweedekamer-16.u72	What the PvdA brings in here sounds nice, but reality shows that in Limburg it went horribly wrong with the tender. The taxpayer will suffer from this. We're in court right now. This could be a very lingering issue. Does Mr Hoogland agree with us that we should immediately send the Secretary of State to Limburg to put things in order and to stop further court cases, that the Authority's report should be made public and that the government should take responsibility for the issue in Limburg? Does Mr Hoogland agree with us and is he prepared to support the call I will make later?
ParlaMint-NL_2015-03-31-tweedekamer-16.u73	I wonder if it would be wise to send the Secretary of State from Groningen to Limburg. In addition, she has already been a deputy. Is she supposed to be now? I don't think that's wise. The formation in Limburg is still under way as far as I know. But I understand what Mr Madlener means, namely whether we should interfere with the situation there. I do not think that is wise for a number of reasons. I will mention some of them. The tender is a responsibility of the province itself. There are still a number of cases under the judge. Now I know that the PVV always has less trouble judging before a judge has done so than my party, but I think it would be wiser to wait and see. And yes, I have a judgment on it, too. That may be different from Mr Madlener's: I think we should not do anything now. That is always difficult for the House of Representatives, but we have to leave it where it belongs: in Limburg.
ParlaMint-NL_2015-03-31-tweedekamer-16.u74	Mr. Chairman. I can be brief, because our position has already become clear in the interrupting debates. The PVV does not support any further steps towards a European internal market for rail. The PVV doesn't like more competition. However, we have decided on a tender in Limburg. That's exactly where things are going very badly. Therefore, let the ACM report, which has been leaked, become public as soon as possible. There is now an application for interim measures, but that does not have to take long. Let us continue the debate when we have the results and the report and we can discuss these matters here. According to the leaked findings, it appears that the tender was not fair. That is unacceptable in the eyes of the PVV. The PVV is not for calls for tender, but if we have chosen to do so ourselves, even with support in the Chamber of Appeal, it must be done 100% transparently and fairly. Otherwise, the Limburger, the taxpayer, will suffer. With all the lawsuit coming up now, it's all gonna be even more expensive. They cost a lot of money and time. That is why I appeal to the Secretary of State to go straight to Limburg when she is well-equipped and well-equipped; I understand that she is not feeling well. It must sit there with the parties at the table to see whether there is a solution outside the courts, for example whether the tender may need to be repeated. What's leaked doesn't look good. I hope that it will be possible to find a solution quickly and that we will not have to wait for further legal proceedings. I think it would be better for Limburg to find a solution quickly. Is the Secretary of State prepared to make that report public as soon as possible and to travel to Limburg in order to enter into consultation with all parties?
ParlaMint-NL_2015-03-31-tweedekamer-16.u75	Mr Madlener wants action to be taken quickly in Limburg and that we boom! In the event of a failure to comply with the obligations laid down in this Directive, the Commission shall inform the other Member States of the measures taken My question to Mr Madlener was: you yourself had government responsibility when the call for tenders on the high-speed line took place and everything was wrong with it; what did you do to ensure that the HSL started driving again as soon as possible? Then the PVV was nowhere to be found. The PvdA's proposals to do it again or differently did not support the PVV. But now you want to intervene with another government. I don't understand, because when you went over it, you didn't do anything.
ParlaMint-NL_2015-03-31-tweedekamer-16.u76	You can't blame me for something like the HSL's tender. That's a little out of line. The PvdA is in Limburg in the college that is directly responsible for the tender. There is also a PvdA Secretary of State waiting. I therefore call for action and consultation with the parties. It seems to me to be a good thing if that happens. I don't see why the PvdA wouldn't support such a call.
ParlaMint-NL_2015-03-31-tweedekamer-16.u77	I really don't understand this answer. You ruled yourself then. If governing, as we do in Limburg, is the criterion to be able to intervene, then you could have intervened, because you ruled along with us.
ParlaMint-NL_2015-03-31-tweedekamer-16.u78	I do not quite understand the question put by my colleague, because we have not ruled.
ParlaMint-NL_2015-03-31-tweedekamer-16.u79	I hear Mr Madlener saying that the Secretary of State must travel urgently to Limburg. I have a question about this, because I think the problem is not so much in Limburg. That is where the tender went smoothly, with applause and flowers from the PVV in the States there. The problem is that the ACM blames the NS quite a bit. The NS is not so much in Limburg, but in the center of the country. Does Mr Madlener therefore agree with me that the problem is not so much in Limburg, but that the problem lies in the behaviour of the NS, on which the ACM has had an opinion?
ParlaMint-NL_2015-03-31-tweedekamer-16.u80	Yes, I agree with the CDA colleague. So perhaps it would be better to ask whether the Secretary of State is prepared to invite the parties in The Hague to come to a solution to the situation that has arisen. However, I would like to add that a new tender cannot be excluded. If the conclusions of the leaked report are true, then the tender has gone so badly that it is not a fair situation. We need to find a solution to that soon. I agree with Mr Van Helvert and would say: invite the parties here. I am therefore counting on a plea in that vein from the CDA.
ParlaMint-NL_2015-03-31-tweedekamer-16.u81	Mr. Chairman. A century and 40 years ago, in 1875, the Railway Act was passed. Until now, that law is still in force. After 140 years of service, if it is true that the railways not mentioned in the Decision as principal railway lines which are actually still present are covered by the old Railway Act of 1875, the law still applies to Maastricht-Lanaken up to the border, Santpoort Noord-Ijmuiden, Nijmegen-Kranenburg up to the border, and Roermond-Vlodrop up to the border towards Dalheim. Several of those lines are rusting happy at the moment. Those railway lines have become ecological connections. However, other lines are still in use. The Railway Act of 1875 was made by the Count Van Lynden of Sandenburg. King William III was then head of state. We are now five generations ahead of the head of state. Van Lynden van Sandenburg was one of the Orthodox-protestant conservatives, who sympathized with the anti-revolutionarys. So it was a very good law. That last sentence comes mainly from my colleague and not so much from me, as you will understand, Mr President. At least the law was so good that he's still doing it. This minister concluded the treaty with Belgium on the construction on the Dutch territory of the Iron Rhine, so we have been talking about this for 140 years. My question is whether this law, after a profound bow to former Minister Van Lynden of Sandenburg, can finally be repealed. The legislative proposal contains several delegation provisions and does not provide for the involvement of the Chamber in the establishment of all lower regulations based on these provisions, for example by means of a suspension procedure. Now I'm gonna go to whatever's ahead and track the market. What's going well? Let us not forget to mention this, because it is also going very well. That can certainly be said of, for example, the Valley at Barneveld. It is certainly a success under the current Railway Act. The Valley line is actually such a success that it almost succumbs to its own success and that we have to look at it again. The invitation to tender in Limburg has recently taken place. That's an example of something that didn't go so well. The ACM comes to the hard conclusion that competition in Limburg has been hampered. The ACM and NS themselves have already communicated in the media that competition has been hampered and that NS deliberately delayed the provision of information. NS reduced the cost-orientation obligation and charged commercial prices where they were not allowed and without any justification. NS brought an interim action before the College van Beroep voor het bedrijfsleven against the decision of the ACM in response to complaints concerning the tendering of public transport in Limburg. NS disagrees with the ACM on the substance of whether NS would have broken an article in the Railway Act or not. Although the decision of the ACM does not lead to a fine or an enforcement request for the time being, NS still asks the court to rule on this dispute. As long as the case is under judicial review, NS chooses not to provide any further explanation of the substance and thus leaves interested parties in the dark. That's the line the Secretary of State chooses. As long as this is under the jurisdiction of the court, it does not comment on the substance and thus leaves interested parties in the dark. In this particular case, the question is how long the cabinet will continue to pretend that nothing is going on. How long will the Secretary of State wait until NS has completed its own investigations into internal abuses? How long are we waiting for the defendant's delay tactics to be exhausted in the ACM report? When can we see and discuss the ACM's report? That is the report on the behaviour of NS that I already have on my desk and so is the Secretary of State. I refer to the report that NS and the ACM themselves have already communicated in the media. When does the Secretary of State take responsibility for resolving this? The cabinet is the sole shareholder of NS. When does the cabinet say that it is enough; we do not want this? How is it possible that a spokesman on behalf of the cabinet says that the directors are on top of NS's business, while the Secretary of State also says that she, as the main shareholder, knew nothing about NS' behaviour? Now we wait again for things to go wrong. The tender of the Zwolle-Kampen and Zwolle-Enschede lines has the same problems as in Limburg. The deadline for registration is 22 April. As a result of the case in Limburg, the CDA considers a large ex ante regulation necessary. Not only ex post, but also ex ante control by the ACM should be carried out. Moreover, there must be strong supervision, including all the powers necessary to avoid problems before they arise. There must be a strong referee with enough cards in his pocket to issue sanctions. The ACM must be involved in advance and not only afterwards, if there is not enough time left to act and a penalty charge no longer makes sense. The ACM is an authority, but it cannot act as such now.
ParlaMint-NL_2015-03-31-tweedekamer-16.u82	Mr Van Helvert cites an unpublished, leaked report. That cannot yet be substantiated and therefore it has not yet been published. He completely ignores the undisputed, leaked e-mails that show that various transport companies, foreign state companies, are conspiring against our NS. Why is Mr. Van Helvert ignoring those e-mails? This shows that several transport companies have conspired to light NS feet.
ParlaMint-NL_2015-03-31-tweedekamer-16.u83	I was just about to start on the e-mails, so it's not like I'm ignoring these. The e-mails are also about that tender. They need to be taken, too. The question to the Secretary of State is how long we are waiting to intervene. How long will we allow all these parties to fight amongst themselves, knowing that something is not right? At this particular point we should not wait until the report is officially released by the ACM. We know that the ACM wants to release it, because that's what she's been communicating in the media. Apparently, resistance from the NS isn't allowed to do that. I find it strange that those who are regulated, namely the NS, with the rules that we have here, the regulator, the referee, can force the ACM not to publish anything that it has investigated. That's impossible, isn't it? If we call the Authority Consumer & Market an authority with a capital A, then surely it cannot be that it is dependent on the regulated one? That's the NS in this case, but that could also be Veolia or Arriva or any of those e-mails. They can't put pressure on that authority not to publish something, can they? That is why I am in favour of us taking action now, because we know that something is not going well here and we are the main shareholder of the Dutch Railways, with a public task and public money. That's why we're here.
ParlaMint-NL_2015-03-31-tweedekamer-16.u84	We are certainly dealing with the NS, so I am glad to see the CDA group at my side in the near future if we want things to be different and better in the Chamber. I am glad to hear that the CDA Group does not say: we are not about that. My question was about those e-mails. This shows the picture that carriers have made advance price agreements. The leaked report shows that the ACM does not accept this at all. How can you say that the ACM does its job well and is an authority with a capital A, while things that cannot be accepted and that reach us through the newspapers seem to have completely escaped the ACM?
ParlaMint-NL_2015-03-31-tweedekamer-16.u85	Whether the report mentions those e-mails or not, I don't know. The NS has asked to make large parts of the report unreadable. That is also my point of criticism, since we are talking about it. When we asked the Secretary of State to make that report public, when it was not yet under court, it was said to be confidential. That report was not confidential, but about parts of it the NS had said that it was company confidential information and that it did not want them to be read. That piece was confidential, but on all the other matters the NS had already had the opportunity to react, as I said to Mr Bashir. The reaction of the NS that he disagrees is part of the report of the ACM. However, many parts of it have been crossed out so that we cannot see them, so I cannot say whether the report mentions them either. However, I ask the Secretary of State to draw this case to himself and to include those e-mails and the ACM's report. I agree with Mr Madlener that we must ensure that the report becomes public as soon as possible. Let's not wait until others decide it's going public. I call on the Secretary of State to draw it to him. What can we do ourselves? We ourselves can change something, now that the Railway Act is in place. That is why, together with the VVD Group, I have taken the initiative to table three amendments. One of these concerns the wide ex ante regulation that is necessary. The postal and telecommunications legislation already knows it. I do not know whether the comparison with the energy legislation made by Mr Bashir is entirely correct, but I believe that the comparison with the postal and telecommunications legislation is. There is sufficient experience with ex ante or in advance, so that can also be on the track. At present, the Authority can only subsequently monitor compliance with the Railway Act. It has different powers to do so, both of its own motion and on the basis of a complaint, through a dispute settlement. A complaint was lodged in Limburg by both Veolia and Arriva. The use of these powers has not had the effect of combating or preventing bottlenecks. It is a question of ex post surveillance, so-called ex post surveillance. This is ineffective for the purpose of monitoring, which is to make the rail market work, because clarity and transparency on the provision of services and services is necessary before a carrier can join that market. Otherwise, he would not be able to make a good estimate of the cost of drawing up a tender. This clarity can be achieved by prior monitoring. That's the so-called ex ante. This is also going to be limited with this law. The method of allocating the costs for the minimum access package is approved by the ACM by the new ex ante law. That's a start, but the CDA and the VVD too I'm very pleased to want to continue. They want a broader ex ante competence for the ACM. An example of this can be found, as I said, in the Postal Act. In the note following the report, we read that the Railway Act now has three General Administrative Measures that are being put forward. Another amendment we are tabling, on the subject of veils, is aimed at introducing the involvement of the Chamber in the drafting of regulations resulting from the Railway Act. In this way, the Court may express its feelings about the further implementation of that law. We understand that a new EU directive is also on the way. The implementation of this directive has taken a long time. Could the following be implemented more quickly in Dutch legislation, I ask the Secretary of State. For the CDA, the Long Term Track Agenda (LTSA) must be broken open at one point. In the Long Term Track Agenda, the NS should focus as its main task on the main rail network. That focus and mission are clear. After that, however, it becomes unclear and it presents problems. The NS may also compete for regional concessions and for concessions in bus and tram transport. That is an entirely grey area. As a result, according to the ACM's report, the NS caused problems in the tendering process in Limburg. The question is also how this has gone in the past with the Gouda-Alphen a/d Rijn line. Abellio, a daughter of the NS, then won the tender with miles ahead of the rest. This makes it clear once again that the LTSA is not good at this point. The grey area of the exception provokes abuse of the NS. By the way, not only does the CDA find this. I'm not just saying this because I find this myself. The 2014 Ecorys study states that "In particular, NS may have potential competition problems, as NS has an incentive to penalise other carriers in the provision of service facilities and services at stations'. So I'm not the only one saying this. Ecorys said this as a result of the situation in Limburg. Ecorys predicted it, the NS does it and the ACM concludes it. And what do we do? That's the question. We're waiting for reports to go public. We wait and wait when we do. Therefore, it is wise to reopen the LTSA and limit the task of the NS to the main rail network only. How does the Secretary of State feel about that?
ParlaMint-NL_2015-03-31-tweedekamer-16.u86	I am pleased that Mr Van Helvert quotes from the Ecory report. I do not know it entirely by heart, but it also states that generic ex-ante surveillance is not wise. Mr Van Helvert said that he would like to continue with a number of recommendations based on the Ecory report, including in the area of a fair market. At the monitoring point, however, Ecorys says something else. Can Mr Van Helvert provide some further arguments as to why he wants to follow Ecorys on one point and not on the other? That is what I take from the amendment.
ParlaMint-NL_2015-03-31-tweedekamer-16.u87	I do not agree with Ecorys' report on this point. Indeed, the Postal Act and the Telecommunications Act show that generic ex ante regulation does work well. I have quoted from the Ecory report, because it specifically exposes the pain in the situation between the NS and the other providers. Ecorys says quite clearly, quite clearly, that this situation in the Long Term Track Agenda provokes abusive behaviour. That's why I used that quote. Again, I do not agree that they say: ex ante, generic, that would not be good. As examples, I referred to the Postal Act and the Telecommunications Act. The new Rail Act also deals with the cost of operating: the railway charge that ProRail may charge to users for the compensation of its costs. The complaints about this are enormous and the competitive position of passenger rail transport, but certainly of goods, is at stake. With the CDA in the lead, the Chamber has already asked a number of questions about this. The first round of questions has been answered, but unfortunately I have to say that they had little to do with the answers. The second round of questions is still open, but today the Chamber must find something of this law. When are these answers coming? Can the Secretary of State say anything about this in her reply? The stations themselves and their ownership is another subject. Research has been carried out into the desirability or undesirableness of unbundling of NS services, i.e. rail transport, and NS stations. In doing so, the NS must constantly balance the importance of shops and travellers: do we spend the money on the shops or on the travellers? The NS has a dominant position vis-à-vis other carriers; see the problems we have already discussed in detail in Limburg. The investigation suggests that the stations should not be separated. This has not yet been a real subject of discussion in the Chamber, while the situation in Limburg sheds new light on this question and the investigation of the ACM has not yet been completed. The question is, therefore, whether this draft law prevents the unbundling of the stations, or whether it will be such that it will be more difficult to unbundle the stations than it is at the moment before the draft law is dealt with. I would also like to ask that question. So much for my input in the first instance.
ParlaMint-NL_2015-03-31-tweedekamer-16.u88	Does Mr Madlener have a question for Mr Van Helvert?
ParlaMint-NL_2015-03-31-tweedekamer-16.u89	No, I have a small point of order. This debate has, as I expected, largely been about Limburg. And rightly so: there's a lot of stuff going on around that leaked report. The Secretary of State will not reply in the first term, but will reply in writing. My request is to continue this debate if the report is public. I understand it's an interim hearing. So it doesn't have to take that long. I would ask you to make every effort to await the publication of this report so that we can fully involve it in this debate. I find it very difficult to have this debate without having the report. Mr Bashir more or less denies the findings. We've got them all, but okay. So I find it very difficult to go forward in this way. I would like to know what colleagues think about that.
ParlaMint-NL_2015-03-31-tweedekamer-16.u90	Mr Madlener is actually asking for the continuation of the debate to be postponed until the report is made public. However, I must point out that there is some pressure on the handling of this bill. But I'm just gonna wait and see what my colleagues think.
ParlaMint-NL_2015-03-31-tweedekamer-16.u91	I would like to make a procedural proposal to colleagues. We can ask the Registry to give us the different timelines. When can we expect the interim injunctions about and how much pressure is the time pressure? We can then discuss this at the procedural meeting and then express our preference for the follow-up in plenary to the Registry. Otherwise, we might be discussing something here that we don't know exactly which way it goes.
ParlaMint-NL_2015-03-31-tweedekamer-16.u92	I think it's hard to think of that on the spot. Short-term proceedings generally take place fairly quickly, but you cannot know in advance when exactly. That should be scheduled in court. I would suggest that we close the debate now. The Secretary of State will answer the questions put here in writing. I'd like to ask the Secretary of State when the answers will be ready. Then we know that at least for the planning of the follow-up to the debate. Is that in a week or two weeks? I understand from the Secretary of State that Easter is two weeks apart. I assume that the interim proceedings will have taken place in the meantime. So the follow-up to this debate could be planned. I think that we are still reasonably on schedule for the procedure, but I will also look at the Registrar for that. Of course, the bill has to go to the Upper House as well. So there's time pressure on it.
ParlaMint-NL_2015-03-31-tweedekamer-16.u93	Easter in between for two weeks.
ParlaMint-NL_2015-03-31-tweedekamer-16.u94	I think that is a reasonable proposal, but I would still like to ask the Secretary of State whether it can have the non-business confidential data made public even if the NS has not identified it as business confidential in the report, because that information is ultimately not confidential. It may be possible to discuss with the ACM whether such data can be transmitted as soon as possible.
ParlaMint-NL_2015-03-31-tweedekamer-16.u95	The Secretary of State is there, otherwise I'd say the stenogram goes to the cabinet. The Secretary of State is now present and she has therefore heard your request. It's up to her to see if she can. If it is possible for the State Secretary to be assessed, this information may be sent to the State Secretary when answering the questions. I can see Mr Hoogland still standing by the microphone. Can you accept my procedural proposal, Mr Hoogland?
ParlaMint-NL_2015-03-31-tweedekamer-16.u96	Oh, yeah.
ParlaMint-NL_2015-03-31-tweedekamer-16.u97	Thank you very much, Mr Hoogland.
ParlaMint-NL_2015-03-31-tweedekamer-16.u98	I would like to thank Members for their input. I would like to thank the Secretary of State for hearing the first-term contribution of the Chamber. We wish her well.
