ParlaMint-NL_2015-11-17-tweedekamer-23.u1	I would like to welcome the Minister for the Interior and Kingdom Relations.
ParlaMint-NL_2015-11-17-tweedekamer-23.u76	We have already discussed this extensively in the context of the Re-use of Public Sector Information Act: open data can be of great economic and social importance. It is important to tackle this with both hands and to speed things up. It was the agreement that shortly after the summer the National Open Data Agenda would be available. Why isn't this one here? What are you waiting for? Yeah, it's still hot outside, but when I look at the calendar, summer is long over and the National Open Data Agenda should have just been there. Because of lack of control, nothing happens now or then, everyone finds their own will. The art of using data is that metadata should be easily paired. So it starts with making sure that data is actually made available. The House has already expressed its views on this in motions for resolutions this spring. So there is already a task and a mission for this minister. This also means, for example, that public authorities have to work with the same framework of standards. If each one has their own thing, something has happened, but it doesn't help us. Here too, I expect more action from the Minister. Steps need to be taken now. The lack of coherence, the lack of guidance and a clear picture of what we want now may have a number of causes. A cause could be, among other things, a fragmentation of responsibilities and resources. At a state level, it seems that each department does its own thing with its own resources. There is therefore no question of joint prioritisation. The VVD therefore believes that pooling available resources could be a good step. Bundling of available resources can ensure better coherence and guidance. I would therefore like to ask the Minister how he views the pooling of financial resources for the government's digital infrastructure.
ParlaMint-NL_2015-11-17-tweedekamer-23.u77	I very much agreed with what Mr Veldman said about the Digital Agenda. Now I agree with him on open data. Above all, I note that there are plans for this agenda, as well as a new action plan for the open government, but that you cannot find any concrete items in the budget that implement these plans. I was wondering what the VVD thought of that observation. Does Mr. Veldman share them?
ParlaMint-NL_2015-11-17-tweedekamer-23.u78	That can be short, Mr Veldman.
ParlaMint-NL_2015-11-17-tweedekamer-23.u79	That is why I am calling for a pooling of resources. Now there's probably left and right at different departments of pots that you and I don't see, but there are. Everyone's probably making their own decision. That's why I asked that question. I would like to take the step towards pooling resources. There's a lot of ways to do that. I'd like to hear from the Minister how he looks at that. The pooling of resources can provide coherence and guidance.
ParlaMint-NL_2015-11-17-tweedekamer-23.u80	I think a wide pot for open data would be a very good idea. Who, according to the VVD, should have the lead in coordinating open data? Which minister, according to the VVD, is responsible for this?
ParlaMint-NL_2015-11-17-tweedekamer-23.u81	I believe that we have now appointed the Minister of the Interior for this purpose. That is why we are now holding the debate with him. I assume we'll keep it that way for a while, unless we come to the conclusion that we'd better organise it in a different way. Maybe this is from the bundling, but I'm not assuming it is. I think that task is well invested now. It only means that the minister who has the responsibility to steer this centrally must also take the steps that are necessary and make meters. I'd like to name two more cases. I begin with a point that many parties in this Chamber have been a thorn in the eye for years. Municipalities manage to gain a more favourable place on rankings of local burdens by resorting to an invisible tax, i.e. the precario tax for utilities. This is a tax on utility networks. They then pass this tax on to their customers. Almost no one knows about it while in some municipalities it can reach €50 per household per year. Precario taxation on networks clouds the view of municipal taxes. The Chamber has called for this in several motions since 2004. I would ask the Minister to complete the bill he is working on as a matter of urgency and send it to the Chamber. The Minister cannot continue to postpone this, especially in view of the number of motions that have already been adopted by the Chamber on this matter. My final point concerns an appeal to deal with abuse of the Public Administration Act. This spring, we discussed the bill to remove the penalty payment of the Public Administration Act. With the Minister's agreement, we stopped the discussion after his first term. I would ask the Minister to withdraw his agreement to stop that discussion. We need to get the bill back on the agenda. Week by week, abuse takes place. Week after week, people are busy with nothing but collecting the penalty. Is the Minister prepared to do this? If not, what is he going to do to tackle abuse of the Public Administration Act?
ParlaMint-NL_2015-11-17-tweedekamer-23.u82	I had another question. The VVD spent about one and a half minutes of its speaking time on the intelligence services. I find that rather disappointing at a time of terror. I would also like to hear more about the VVD's vision on the AIVD. Among other things, the VVD spoke about the intelligence agencies' instruments. Does the VVD believe that the AIVD should have more instruments to combat terrorism?
ParlaMint-NL_2015-11-17-tweedekamer-23.u83	I read the cabinet letter today. Of course, we have followed what is available so far. We know part of that and about another part we do not speak publicly. I assume that the services have an instrument box with which they can get out of their way. If they can't, I'll hear it from this minister. Because that's what I just asked him. If the services are unable to deal with it, please report, Minister, as I said, because then we need to talk about both the instruments and the finances. On the basis of what the Prime Minister said last Saturday and the Cabinet today, I am sure that the Minister will confirm tomorrow that the instrument box of the services is in order, including the steps that are still to be taken, as reported in the letter today.
ParlaMint-NL_2015-11-17-tweedekamer-23.u84	An ordinary answer would be nice, too. There are more than 40 returned jihadists in the Netherlands. Those people can't all be watched all the time. There will be more people coming back from jihad areas. Is Mr Veldman in favour of the idea that my group has been advocating for over a year, namely the introduction of administrative detention? Then every returned jihadist will be apprehended.
ParlaMint-NL_2015-11-17-tweedekamer-23.u85	A brief response, Mr Veldman.
ParlaMint-NL_2015-11-17-tweedekamer-23.u86	I think we're living in a rule of law where you can't just do this. This actually means that you randomly point out people and say: we're going to put you in detention. I think we should do what is necessary, namely follow those people and monitor what they are doing and what they are not doing. If they're doing something they can't handle, we have to take steps.
ParlaMint-NL_2015-11-17-tweedekamer-23.u87	Mr. Chairman. The dramatic events in Paris have touched us all deeply. We deeply sympathize with all the victims and the next of kin. This Thursday, of course, will be followed by a proper debate. However, since this minister is about the security services, we are also asking him a number of questions, in particular about the budget and the powers. We really want to be able to look each other in the eye. I do that through you, Mr. Chairman, so it's a little tricky. We want to know whether events currently require additional investment in the AIVD. The CDA Group has tabled an amendment to the budget of Security and Justice to increase investment in the security chain. The question is whether this is also necessary for the AIVD. We are asking for this precisely because the cabinet itself is talking about increased preparedness and increased capacity. What does this mean financially? If the minister thinks we need money, how much should we add? What do we have to do? I would also like to talk about the powers of the AIVD. When will the Minister come forward with his bill on the intelligence and security services? The powers of the services will have to be extended, including with regard to cable communications. However, they will also need to be accompanied by safeguards and adequate supervision. That applies to all powers. We also know that the information provided by the security services can hardly be used in criminal matters at the moment. Last year, the PVV tabled a motion during the budget debate asking for this information to be used. We supported that motion, but it was not adopted. France will use the information. What can the Minister mean in this? Shouldn't this be reconsidered?
ParlaMint-NL_2015-11-17-tweedekamer-23.u88	I almost forgot that motion again. It is a good thing that Mrs Van Toorenburg remembers that. Can I propose to her that we retable the motion tomorrow with both our names underneath? Then we can see how far we are going this year.
ParlaMint-NL_2015-11-17-tweedekamer-23.u89	That could be a very good idea. Let's take a look at that, because it was actually a very cautious motion. It was only about an analysis of the advantages and disadvantages that was being made, and even that was not what this Chamber wanted. Let us indeed hope that the Minister himself undertakes to do so. If he doesn't, we'll get back together, because a proposal from the PVV, that's never happened to me.
ParlaMint-NL_2015-11-17-tweedekamer-23.u90	If you want the motion any rougher, there's talk to me, you know.
ParlaMint-NL_2015-11-17-tweedekamer-23.u91	Well, well, well.
ParlaMint-NL_2015-11-17-tweedekamer-23.u92	I didn't expect anything else. Another problem is the cooperation of the services, which is also being considered in Europe. There is a real need to take steps in this respect. It is also worrying that there can not yet be enough in the field of the retention of travel data. What can we expect from this cabinet on these points? I shall go into this in more detail during the special debate on the dramatic events in Paris. I now turn to a number of points which directly concern this Minister. First of all, I want to talk about the safe public task. Last week, we addressed this Minister in great detail about strengthening the security of the public task. The Minister is on the right track. Let that be said immediately. Every time there is a shock by society when violence is repeated against aid workers or administrators and this minister wants to stand next to them. Effective handling of all this misery is essential, but it is also important to share expertise and insights. Just let the Safe Public Task expertise centre have been set up, which should suddenly become self-sufficient. All available knowledge, tools and good examples would still be available if the centre of expertise were to expire, but the question remains who will pay for it. In fact, the CDA Group does not understand that the Minister is suddenly abandoning his responsibility for the public task on this issue, especially in this very poor climate. The VNG, the trade unions, the Civil Service Centre and CNV Constructive have also expressed their concerns about this. The CDA doesn't want the expertise to disappear. We are not convinced by the letter from this cabinet, so we have tabled an amendment together with D66 to keep things going. For the time to come, it is important to ensure the expertise, expertise and training in a good way. In general consultation we also discussed the disruption of council meetings. Those are serious crimes, but it doesn't seem like anyone realizes that. The Minister has promised that he will make an analysis of this and come to the Chamber with it. That is important, because democracy is under pressure. Then I come to the decentralisations and the cuts. We were promised tailor-made work in the social domain and "support that matches people's need to direct their own lives." However, the municipalities themselves cannot even direct. The municipalities have been given tasks in areas where savings are being made. Here and there you see it squeaks and cracks. It does not happen every day that 234 aldermen of various plumage here in the Chamber offer a fire letter. They see an accumulation of discounts. These discounts are not or are hardly substantiated. The scaling-up discount is very worrying. How's the minister gonna restore confidence? Municipalities demand stability and predictability. I find this worrying and I agree with the questions raised by the VVD Group. Then I come to the point of digital communication. We have agreed with this Minister that not all information would go digital. Somehow it does. Look at the blue envelope. The CDA is opposed to it disappearing and that everything can only be digital. Citizens cannot go along with this and the confidence in the government's digital communication is appalling. What's this minister gonna do to fix that? Then I'll come to the little cores. The quality of life in villages and cities is important and residents' initiatives are indispensable. The National Association for Small Cores does an indispensable job in this. Last year we tabled an amendment in the Chamber to ensure that it keeps its budget. CDA, PvdA, SP and SGP kept that grant up, but this time they knocked on the door in vain. What can we expect from this minister? Otherwise there will be another amendment. Finally, I come to the public-private partnership. In the security domain we see especially worrying developments. We'll talk about that later. Certain important provisions cannot be maintained. For example, look at a municipality like Mierlo. The fire department, together with a safety consultancy firm, is setting up a building on an industrial site. The aim of the cooperation is to maintain such a provision for a small community. However, they run into everything. One scheme does not fit in with the other. Private and public cannot work together in one way or another. You can also see it in VAT. Suddenly everything becomes more expensive because there is cooperation. What can we expect from this cabinet on this point? So there are many expectations. Oh, we're gonna get some nice answers.
ParlaMint-NL_2015-11-17-tweedekamer-23.u93	Maybe it's a good thing that I say before I start that I'm replacing my colleague Manon Fokke. She is actually the permanent spokesman of the Labour Party for Home Affairs. I'm mainly a care spokesperson. The Group of the Party of Labour makes this contribution with two women. Astrid Oosenbrug will take care of the digital component. Mr. Chairman. This budget debate on the Interior is taking place in the week in which the shock of the attacks in Paris is still almost physical. At the same time, the terrorist attacks underline the importance of a functioning and integrity of democracy, which also overcomes the most violent shocks. Therefore, most of the contribution of the PvdA Group will be about how our democracy remains in the hearts of the people, how it can function better and how citizens can become more involved in their own governance. One of the first cases I'd like to raise is the position of city council members. Their tasks have been greatly increased by the decentralisations and you can see the workload of council members. Aldermen no longer reach the finish line in almost half of the cases and all political parties recognise the phenomenon that electoral lists are difficult to fill. Social status has collapsed over the past few years. Last week, a topical and urgent item showed that a third of the council members do not deserve the understanding of a law or of the college's proposals. If we are not careful, we will find ourselves in a downward spiral, which is why the PvdA believes that it should not be passively established that this is happening or that reference is made to the VNG which has courses, the obligation to inform municipalities or a pilot running somewhere. We ask the Minister to take the lead and work towards better positioning of city council members, starting with research into the position, workload, information and remuneration of city council members. The last study on this is from five years ago, before the decentralisations. That is hopelessly outdated because of all the changes. However, sticking a thermometer in the position of council members is not enough. Action must also be taken. In my opinion, it is also necessary for a cultural change to take place in a society. As a few years ago, a great social appreciation for carers was launched, so should city council members, who work 15 to 20 hours a week to make our democracy work effectively. For carers, there has been a very successful campaign for family care-friendly personnel policies for many years. Budgetaryly neutral because it significantly reduces absenteeism, but above all effective for the combination of work and care. I wonder why we have still not agreed on a staff-friendly policy that is well-known and goes a little beyond a collective agreement in which something has been agreed. For example, council members would have been greatly helped by flexible working hours or participation in their scheduling, so that they could be scheduled around their council work. I know that council members do their work out of passion for politics and out of involvement with local government, but I am also sure that they will do their work differently if their employers would openly express a positive appreciation for their commitment and thus make a start with council members-friendly staff policy. I ask the Minister to take stock of what is already being offered by employers in favour of council work. I expect action on this point and I would like to hear how the Minister can work on this matter.
ParlaMint-NL_2015-11-17-tweedekamer-23.u94	I hear Mrs Wolbert say that she is concerned about council members, particularly in small municipalities, who have been given an enormous task that they may not be able to cope with. I share with her that it is good to ensure good information. I think that's primarily with a college of mayor and aldermen. The UNG can also play a role in this. I think there's something else you can ask from those councilmen. I just want to check how Mrs Wolbert feels about that. In my opinion, you may also ask council members to look closely in the mirror and ask themselves whether they can still perform their role as a representative of the people in that small municipality in a good way. If you come to the conclusion that that is not possible, shouldn't the city council take the step to see if they can go together instead of working together? Then you end up in a larger city council with usually larger groups and the work can be divided among more council members.
ParlaMint-NL_2015-11-17-tweedekamer-23.u95	I didn't talk about small towns. I note that large and medium-sized municipalities also have a lot of cooperation with other municipalities. That's what I'm supposed to do. I am very much in favour of that. However, this means that for local council members in the participating municipalities they need to coordinate, prepare and discuss much more. In the here and now what I'm talking about, I notice that they have a lot on their plate. Before we have managed to move all the municipalities into a merger throughout the Netherlands, I suggest that we give proper support to those city council members who have been doing their work all this time.
ParlaMint-NL_2015-11-17-tweedekamer-23.u96	I can tell from this that Mrs Wolbert also says that although it takes some time before municipalities start to scale up and work together in a different way, this is a passable route for her and can be a solution in ensuring that council members are well equipped to carry out their duties.
ParlaMint-NL_2015-11-17-tweedekamer-23.u97	It's not an or-or story as far as I'm concerned. Every day in every municipality in the Netherlands there are those council members with their feet in the clay. I think we haven't recognized their work enough for years. So I wouldn't want to wait until we have 100,000+ municipalities everywhere before we give this discussion hands and feet.
ParlaMint-NL_2015-11-17-tweedekamer-23.u98	Before Mrs Wolbert all wants to put thermometers in council members, I think we already know a lot about why it is impossible to be a council member. This is simply a matter of government policy. I refer to the decentralisations and the difficult tasks to be carried out by municipalities with far too little money. I also mention the fact that municipalities in more than 500 partnerships create policies that council members have nothing more to say about. And then they all have to scale up from Mr. Veldman to huge municipalities, so that you no longer work with your own neighborhood, your own village or your own city, but on a very abstract level, where you no longer encounter a human being. Is Mrs Wolbert prepared, on behalf of the PvdA, to put the thermometer in the Minister to see to what extent government policy has resulted in council members being unable to do their job now?
ParlaMint-NL_2015-11-17-tweedekamer-23.u99	Before I answer all sorts of distasteful proposals from the SP, I would like to say that my question is mainly focused on two issues. Firstly, we need to look at the current situation of council members. The last study was carried out five years ago, so before the decentralisations, and even then it was found that there were considerable differences in the positions of city council members. I can also say that, in the meantime, they have not gotten any smaller. Secondly, it is also a cultural change. It is also about social appreciation for the people who are committed to our local democracy. The fact that social appreciation for their work is calving down is partly due to the fact that their board is overcrowded. It is therefore important that the council work is much more appreciated by society. I didn't make the analogy to care support for no reason. A minister in a department once started doing that. She has entered into social alliances, and then everyone knows by now what family care-friendly staff policy is, with which carers have been greatly helped.
ParlaMint-NL_2015-11-17-tweedekamer-23.u100	Thank you, Mrs Wolbert. You have to be short, really, or we're gonna be here very late.
ParlaMint-NL_2015-11-17-tweedekamer-23.u101	Lack of appreciation for council members starts with the government, starts with the PvdA, starts with the VVD, because they have given impossible tasks to municipalities with far too little money, with large partnerships, with large reclassifications, with large discounts of 1 billion for policies that have not been implemented. I think council members are mostly disrespected and not taken seriously by the government itself. This minister should and should be the minister of local government. Before research is carried out and all kinds of committees and situations re-established, Mrs Wolbert should simply start thinking about the consequences of her policy for all those people who want to bring the administration close to the people.
ParlaMint-NL_2015-11-17-tweedekamer-23.u102	This wasn't an interruption, and it wasn't a question. It was just a statement.
ParlaMint-NL_2015-11-17-tweedekamer-23.u103	On a point of order, Mr President. We're having a debate. That could be a question. It could be a reaction. It can be done in all kinds of ways. I'm having a proper debate. I'll do my part in two. Sometimes that is asking, sometimes that is imperative, sometimes that is summary and sometimes that is a contribution in a different way, but that is what I am about.
ParlaMint-NL_2015-11-17-tweedekamer-23.u104	And I'm in charge of the order of business. Mrs. Wolbert, you can respond to that if you want.
ParlaMint-NL_2015-11-17-tweedekamer-23.u105	I did not hear a question, but let me put a statement to this effect. I think that also SP council members would be thrilled if some of these recommendations were to be implemented soon.
ParlaMint-NL_2015-11-17-tweedekamer-23.u106	Then they are lucky, because thanks to the CDA and GroenLinks they will soon be introduced. As of 1 January 2016, the Working Flexible Act will enter into force. Council members will also be given more opportunities to organise their work more flexibly, for example. What does the PvdA's proposal for council-friendly personnel policy add?
ParlaMint-NL_2015-11-17-tweedekamer-23.u107	In some collective agreements, all is covered, not in other collective agreements. I think it is extremely important that there is social appreciation and recognition from society for the fact that council work means so much, including for society. That is no longer the case at the moment. There are employers who don't even know which people from their own organization are politically active; I wouldn't like to give them a living. I believe that these people, who should always advocate flexibility through laws and regulations, should be recognised and facilitated in their work, more than is currently the case. The law of which Mrs Voortman is a co-initiator is very helpful in flexibilising; I very much agree with her. However, it is not just about working hours, but also about participation in the scheduling and council members who have to take off days when they have to deal with the municipal budget. I'm having trouble with that.
ParlaMint-NL_2015-11-17-tweedekamer-23.u108	Me too. With the initiative law of the CDA and GroenLinks, we deal with this precisely for all employees in the Netherlands and not just for the council members. Again, what does the PvdA's proposal mean for the council members? The PvdA states that it wants more recognition, but that must be achieved in a budget-neutral way, I understand. What is the point of this proposal for a Councillor? That's still not quite clear to me.
ParlaMint-NL_2015-11-17-tweedekamer-23.u109	I asked the Minister to look again at the working conditions of council members. That aspect is very outdated and needs to be reviewed. In addition, I believe that council members should be supported much more actively in the promotion of expertise and continuing training. I believe that council members should be given much more recognition through council members-friendly staff policy for the work they do. So I'm talking about a whole package. Well, I think you'll get something out of it locally.
ParlaMint-NL_2015-11-17-tweedekamer-23.u110	I am pleased to be surprised by Mrs Wolbert's warm plea for the support of council members. After all, Council members are our independent democratic representatives in the many municipalities, which give substance to democracy. Then she wants two things. First of all, she wants recognition, which means we're going to introduce some kind of councilman's compliment. Secondly, it wants to facilitate council members in their work. Facilitation can be achieved through, for example, an increase in the remuneration of council members, on the other hand, through the promotion of expertise or group support in the municipal groups.
ParlaMint-NL_2015-11-17-tweedekamer-23.u111	What's your question?
ParlaMint-NL_2015-11-17-tweedekamer-23.u112	Does Mrs Wolbert put butter on the fish? Does it increase the Municipal Fund to give the municipalities additional opportunities to achieve this?
ParlaMint-NL_2015-11-17-tweedekamer-23.u113	I would like to continue with my speech, because I will be joining the Municipal Fund later. In any case, I would like the Minister to draw up an action plan involving all these elements, so that we in the Chamber know what is needed to further strengthen this from the Empire.
ParlaMint-NL_2015-11-17-tweedekamer-23.u114	An action plan would be very nice, but that includes money. I know from several municipalities that there are action plans to support council members; look at the Dutch Association for Council Members, the Aldermen's Association or the VNG. That action plan is therefore already with a lot of municipalities, with the Dutch Association for Council Members, with the VNG, with the various political parties. Does it not make much more sense for Mrs Wolbert to give butter to the fish and say 'Minister, draw up an action plan and we have so much money to pay'?
ParlaMint-NL_2015-11-17-tweedekamer-23.u115	When you come up with good plans, there are always people who say: we already have. Seen that, done that. My observation is that incredibly much support is needed and that city council members mainly want support in facilitation and flexibilisation. A pot of money is not always the first solution.
ParlaMint-NL_2015-11-17-tweedekamer-23.u116	I see that Mr Klein wishes to intervene again, but I suggest that Mrs Wolbert continues.
ParlaMint-NL_2015-11-17-tweedekamer-23.u117	There has never been a social cultural change caused by putting a pot of money in the middle of something.
ParlaMint-NL_2015-11-17-tweedekamer-23.u118	Point of order. I note that there is no answer to my question.
ParlaMint-NL_2015-11-17-tweedekamer-23.u119	Mr Klein, you are asking a question and a follow-up question. Mrs Wolbert said that she would come back to your question in her speech. If that doesn't happen, you can ask me later.
ParlaMint-NL_2015-11-17-tweedekamer-23.u120	For a solid democracy, people need to know and understand. Last month, the SCP published a study showing that citizens have a lot of confidence in democracy, but less in political practice: politicians do not listen to ordinary people, go their own way, are self-interested or talk too much and do too little. Fortunately, we now know many other forms of exchanging opinions, interests and questions, which seem to be very successful and which are beautifully customized locally. In any case, they respond to the desire for greater mutual involvement between politicians and citizens. The Labour Party is enthusiastic about this, because it can actually bring citizens closer to local government and make decision-making more appropriate and bearable. We are therefore pleased that the Minister has taken this part into account in his action plan, local government, but it seems a bit like it depends on chance whether this enrichment of the classic way of working is really being used. The Labour Party wants to prevent the organization of G1000-like forms of work from sticking to a small vanguard and eventually dying in beauty. How does the Minister ensure that it gets firmer and that all these small drops in the Dutch municipalities grow into a great wave that raises citizens and local government to an even stronger and more recognizable public administration? The Minister shows himself to be a great advocate of do-democracy, in which citizens' initiatives are supported and taken forward, and in which the government faces the challenge of serving and facilitating itself, which is often a whole undertaking. The examples are all very inspiring and the Labour Party very much appreciates the Minister's commitment in this area and the recognition that, for example, the National Partnership Active Residents is of value. I would therefore like to express my support for the Small Cores Association, which also spontaneously assists the Minister in the implementation of the Do-Democracy policy by showing for years how innovation in local cooperation can lead to good results. Can the Minister promise that he will continue the work of this organisation by providing for a multi-annual grant, starting with that for 2016? I do not want to talk about the internal affairs budget without considering the financial position of municipalities. Last week, some 230 municipalities here in the Chamber expressed their concerns about their poor financial position. Due to a sum of factors of a very different nature, these municipalities are facing the water. One of the grievances is unclear about the municipal budget and the constant fluctuations. You'd say there's something to be done about that. The aldermen themselves propose to change the working methods so that the spring note already provides clarity on the budget. Is that really a solution? Could changing the arrangements provide more clarity? Wouldn't it be good to keep other developments under closer review as well? I am a spokesperson of concern and in this area we talk about shared savings: with a joint preventive effort you can save money, which can then be re-used by municipalities to perpetuate the results. The municipalities do not currently have a title for this. I would like to mention this as an example of rethinking municipal finances. Mr Veldman of the VVD also spoke about it earlier. How does the Minister see this? Does he agree with the Labour Party that consideration should be given to how to achieve a more stable and future-proof municipal budget? Would the Minister like to take the initiative?
ParlaMint-NL_2015-11-17-tweedekamer-23.u121	Wouldn't it make more sense for the Empire to be a little more reliable from its side? This year there have been changes in the current financial year. In the case of 2016, further changes were made in October. For a city like Apeldoorn, this means a difference of, I believe, 11 million. That's a lot on a municipal budget. Aldermen argue that the Spring Note should include the budget. Doesn't Mrs Wolbert think that this is a very good reference date and that you should stop making any changes afterwards?
ParlaMint-NL_2015-11-17-tweedekamer-23.u122	That's exactly what I'm talking about. If it is the solution to all issues to do so in the spring paper, I imagine that it will be introduced. However, this is precisely why I ask the Minister to respond. After all, it is also a fact that in the autumn, in September/October, it becomes clear whether there can also be stairs. That's what you miss. I have no idea in advance of how this should be done, but I would ask the Minister to look into this and respond to it. Doesn't the Minister want to keep this system under review at all? There are, after all, a number of other reasons why you should want to review the system of building up the Community fund and the budget at all.
ParlaMint-NL_2015-11-17-tweedekamer-23.u123	I think it is particularly important that municipalities think that they have been helped. This is one of the three points that municipalities say: please, just enter it. That is what must weigh most, not the question of whether the Minister is in the mood?
ParlaMint-NL_2015-11-17-tweedekamer-23.u124	I would also like to attach great importance to what municipalities themselves think. In any case, I think that you should definitely want to address the lack of clarity and instability in the municipal budget. I have therefore asked the Minister to say something about this. But I'd like to go much wider. I would ask the Minister, as I have done, to work towards a more stable, but also future-proof municipal budget in the light of a number of other developments. That could be a little wider than just the point Mrs Voortman is making right now.
ParlaMint-NL_2015-11-17-tweedekamer-23.u125	Especially the other part I'm curious about. I am very pleased that Mr Wolbert is asking for clarity and for a fixed moment, so that the municipalities know what they are up to. Does Mrs Wolbert now ask Minister Plasterk to take up this role as coordinator of decentralisation?
ParlaMint-NL_2015-11-17-tweedekamer-23.u126	I am not talking so much about decentralisation as about the fact that the Minister of the Interior is talking to the municipalities. I asked the Minister to take the initiative to look at a more stable and future-proof municipal budget. This is important, in my view, because we are still working on the basis of a municipal budget, the construction of which at least dates back to the time when municipalities, to put it mildly, were particularly concerned about sewers and land-use planning. Fortunately, as we all know, this has not been the case for a long time.
ParlaMint-NL_2015-11-17-tweedekamer-23.u127	Mrs. Koser Kaya, finally.
ParlaMint-NL_2015-11-17-tweedekamer-23.u128	Because Mrs Wolbert was also talking about care, of course I had to think about the Wmo, the Child Welfare and the Participation Act. This is all part of the decentralisation process. Because Mrs Wolbert made it very clear that we would also like to get a better grip on the concerns of the Minister, so I would at least explain to her whether she agrees with me that the coordinating role of the Minister, which is currently unclear, should be visible.
ParlaMint-NL_2015-11-17-tweedekamer-23.u129	I'm afraid we're talking past each other. I am not talking about decentralisation. I am talking about the municipal budget. I note that in that...
ParlaMint-NL_2015-11-17-tweedekamer-23.u130	Then I'm very curious what Mrs Wolbert means by "care."
ParlaMint-NL_2015-11-17-tweedekamer-23.u131	I was just going to explain that. I asked the Minister if he would take the initiative to think at all about a more stable and future-proof municipal budget. This follows on from what Mr Veldman outlined about the re-evaluation of the Municipal Fund. I am asking this because the municipalities are currently working on very different policy areas than a few years ago, before the decentralisations were discussed. I gave an example of the fact that there is no title in the Municipal Fund on the basis of which we would be able to place shared savings in it. I'd like to take that with me in a review. That happens to be the example I am running into from VWS, but I can mention many other examples. Not only do the decentralisations put the municipalities to the test, but also the issues surrounding the reception of refugees constitute a real stress test for local government. The PvdA Group appreciates the Minister's initiative to meet the increased costs of security and escalation, but the question is whether we can leave it alone with material support. Is a standard-setting attitude in the public domain not also important at the moment? Is it not important to strongly condemn the fact that cross-standard behaviour by citizens is not tolerated among themselves? I would like to receive a response from the Minister on this point. In this context, the issue of municipalities and finances is still a final question about the disadvantaged municipalities. I understand they're still talking about their extra difficult position. My question to the Minister is whether there are opportunities for temporisation. What would be the consequences for the municipalities which do not belong to the disadvantaged municipalities?
ParlaMint-NL_2015-11-17-tweedekamer-23.u132	Suppose I come up with the proposal to cut the PvdA by a billion euros. That proposal will be discussed. No one agrees with it, perhaps only Mr Bosma, and on the basis of good arguments I will finally withdraw my proposal. Next, the PvdA must turn in a billion euros. Does that make sense to Mrs. Wolbert?
ParlaMint-NL_2015-11-17-tweedekamer-23.u133	I completely miss the connection with the debate on home affairs, but I would not think it logical if Mr Van Raak cut the PvdA by EUR 1 billion. The PvdA wouldn't agree with that. However, I do not see the logic of Mr Van Raak's example.
ParlaMint-NL_2015-11-17-tweedekamer-23.u134	That is exactly what we do with the municipalities. The government has come up with a proposal on reclassification and a scale-up reduction of EUR 1 billion. All kinds of people said, however, that we should not do that. Even Mr Bosma said we shouldn't do it. The government then withdrew that proposal and said: okay, then we won't do it, we won't talk about it anymore, but the municipalities will have to make a billion cuts. Just now, Mrs Wolbert didn't think that was logical when it came to the PvdA. She can explain why it makes sense when it comes to the municipalities in the Netherlands.
ParlaMint-NL_2015-11-17-tweedekamer-23.u135	Of course I understand the analogy. As far as I'm concerned, that figure doesn't deserve the beauty prize. At the same time, the cabinet has had to make this austerity as part of the overall package of cuts that had to be made in order to cope with the banking crisis. For this reason, this austerity has been incorporated into the coalition agreement. The coalition holds every minister to that, including the Minister of the Interior. My answer is as it is; I can't make it prettier.
