ParlaMint-NL_2015-09-09-tweedekamer-7.u1	I would like to welcome the Minister for Education, Culture and Science.
ParlaMint-NL_2015-09-09-tweedekamer-7.u74	That is a conclusion that Mr Ziengs draws, but I do not see any reason for it. We want to tender it to the Tax Administration because we can have the complex assignment that is available in this case carried out in one hand by the Tax Administration. Within the framework contracts we now have, we are spending a great deal of money on the latter, with all the vulnerabilities of that. In my opinion, this fits very well with a government that needs to be economical. So we have come to the conclusion that it is justified to spend it both because of quality and efficiency in this particular case.
ParlaMint-NL_2015-09-09-tweedekamer-7.u75	The Minister just said that one of her considerations was that it could be more expensive. However, I can assume that the Minister has examined this in advance and made the assessment on which our taxpayers' money is spent.
ParlaMint-NL_2015-09-09-tweedekamer-7.u76	Yeah, and just because we've been thinking about that, that's how we did this. This brings me to my second point of view: how do we deal with this as a government? We want public services to work well together. That means we're going to see how we can get to state-wide shared services. Mrs Mulder herself said that this is about taxpayers' money, and that must be economical. Then it is also important to look wider as a government than just your own department and your own institutions. That's exactly what we're doing here. Mrs Mulder may imagine that it would probably be cheaper if you could turn off an assignment with one organisation that can handle this complex task and do it in one place than if you had to turn off that assignment with a number of companies. I say again that we are dealing with the framework agreements currently in force. So I can't just go and sign up for it in general. I'm stuck with window agreements. I'll come back to that later, but I'm actually still at the beginning of my story about the three angles. I understand very well that Mrs Mulder's approach is primarily the market and government angle, but there are other points of view that need to be taken into account. One of these themes is: economical handling of tax resources and ensuring that the government operates small and efficient.
ParlaMint-NL_2015-09-09-tweedekamer-7.u77	Finally, Mrs Mulder.
ParlaMint-NL_2015-09-09-tweedekamer-7.u78	In my first term, I asked the Minister if she knew the figures that business gave, namely that it would be 25% more expensive and that they would at least be able to deliver 25% cheaper. I would like a response from the Minister on this point.
ParlaMint-NL_2015-09-09-tweedekamer-7.u79	It is very doubtful whether market players are cheaper. The National Archives have the existing framework agreements, sufficient up-to-date market knowledge and expertise to make a good assessment on this basis. That information and expertise are involved in the preparation of the business case. So I don't recognize myself in that information.
ParlaMint-NL_2015-09-09-tweedekamer-7.u80	Then I suggest you move on to the next block.
ParlaMint-NL_2015-09-09-tweedekamer-7.u81	Mrs Mulder asked me why the choice was made for contracting and not for contracting. I have pointed out that this is a state-wide approach. This isn't just about the National Archives. This is how different public services try to work together in a good way, just to be efficient. The Minister for Housing and Rijksdienst therefore writes in his reform agenda in May 2013 that after the Programme Renewal Rijksdienst and the subsequent Implementation Programme Compact Rijksdienst, a state-wide infrastructure for business management is now being realized. He also indicates in this agenda that this infrastructure consists of state-wide frameworks and shared services organizations. The main objective is to provide quality services to the primary process of ministries at a good price. In replying to the parliamentary questions, I pointed out other examples of internal services and shared services within the government. These examples can be found in joint procurement, procurement execution centers, document services, Doc-Direkt, payroll administration and personnel management P-Direkt for all departments. If we were to continue Mrs Mulder's line strictly, we would not be able to do so, even though we are committed to working together as an efficient government. There are many other examples to give, for example the joint service provided by the Central Judicial Collection Office for, among other things, the Education Implementation Service and the Dutch Health Institute. Considerations of whether or not to do tasks and work within the Empire itself, i.e. to be officially committed, are made on a case-by-case basis on the basis of ability to act, service, cost and efficiency. This creates the compact and efficient government already desired by various Cabinets. I do not therefore recognise either from Mr Verhoeven's observation or from Mrs Mulder that the government is only growing. We are dealing with a government that is getting smaller and where work needs to be done more and more efficiently. This also applies to the National Archives, because to those who still think that we are making an explicit policy change here to spend everything instead of spending on it, I say that we have tendered EUR 1.6 million over the last two years and that we are now deciding to spend it for the first time, as an exception and because of the vulnerability and complexity of the matter. This also raises the question raised by Mr Ziengs on how to relocate to the Tax Office. I don't know if the IRS has looked at other options for relocation of employees. I do know that there are also employees in the tax administration in the flexible shell for whom these scanning activities would mean that they could get a permanent appointment. The Chamber recently debated with the government how we deal with people in the flexible shell, how we deal with people on zero-hour contracts. In addition, the desire has been expressed to employ these people on a permanent basis. The Chamber has told me as Minister of Education that I must take care of that at DUO. I did, but I can't do anything entirely different at DUO than what I do at the National Archives, because then I'm no longer reliable to the employees of the government. That is what we must stand for. In total, there are about 30 employees. Ms Mulder asked whether this would lead to job losses and jobs for SMEs. No, because it's about customization and there's a case-by-case balance to be made, that doesn't have to be the case at all. In this case, it is a matter of new work. I also think it is of the utmost importance that, for vulnerable employees with flexible contracts from a region of the Netherlands where there is a shrinkage and high unemployment, we have the task of contributing to employment. This is how we do it. So there is no loss of work elsewhere either, because it is new work. In my opinion, therefore, this decision fits very well with the national approach, not as a rule but as a decision based on specific considerations in which we have allowed customization to dominate. I come to the question of whether this also fits in with the relationship between market, government and procurement. Many spokesmen have already referred to the Commission of Procurement Experts and its opinion. The motion is largely based on that. Mr Kamp has already stated in detail that the cabinet considers the work of this committee, set up by the Minister of EZ, to be of great importance. But its advice does not relieve the government of its responsibility to make its own assessment and assessment. And that had to be done in this case. The then Minister of EZ, Mr Verhagen, has already indicated this in the letter of amendment to the Procurement Act. The opinion of the committee shall not be binding. A contracting authority may depart from the opinion only with good reasons. In my opinion, the committee mixes the criteria that apply when the State purchases on the market with the conditions under which the State as a legal entity can have activities carried out within its own organisation. The National Archives and the Tax Administration are both part of the same legal entity. As such, they are not in proportion to each other as the client-contractor. It is up to governments themselves to decide whether they are doing their own work or contracting. It is up to the government concerned to determine what is best in an individual case. The government can look at economic but also, of course, social and social aspects. This will not come as a surprise, because Mr Kamp said at the VAO where the theme of the National Archives came up, that it was assumed that "you should look at separate departments." I continue with the words of Mr Kamp: "If you look at the law, however, you can see that it is not government departments but a legal entity, one government. The Government is a legal entity, which means that there is a misjudgement, a misjudgement, made by the Commission of Procurement Experts." It is, of course, regrettable in view of the expectations that have perhaps been raised by certain entrepreneurs, but I share the view of my colleague from EZ, namely that, unfortunately, the judgment in this case is not correct.
ParlaMint-NL_2015-09-09-tweedekamer-7.u82	I think the Minister's approach is very special. From the reply of the Minister for Economic Affairs, I recall that he referred to an opinion he had obtained from the Ministry of Economic Affairs. So he apparently quoted the information he had received from it and had it recorded in the Acts as such. The point I am making is that the Minister's answer identifies a number of issues which I think are very strange. First of all, the documents describe how the Tax Administration is going to train people to do this specialized work. Then I think: how can it be that specialized companies that do this work on a daily basis are now put away as if they could not do so? Then the Minister says that there is new work. But then I think, every tender you put out is new work.
ParlaMint-NL_2015-09-09-tweedekamer-7.u83	And the question is?
ParlaMint-NL_2015-09-09-tweedekamer-7.u84	Thirdly, in Mr Blok's letter on this subject, I would like to put a question to you very specifically from 2013 that there will be no extension of scanning facilities at the Tax Office. That's literally in that passage. I would like to know from the Minister how she looks at this.
ParlaMint-NL_2015-09-09-tweedekamer-7.u85	This was a very long interruption. It is really the intention to keep the interruptions short.
ParlaMint-NL_2015-09-09-tweedekamer-7.u86	Mr President, I am trying to sum up these things in order to clarify the debate.
ParlaMint-NL_2015-09-09-tweedekamer-7.u87	Then you'll have to take advantage of your second term.
ParlaMint-NL_2015-09-09-tweedekamer-7.u88	It is not just the Minister of EZ and I as people who share this view. Of course, we have also looked at this very extensively with our employees. If we couldn't tender here anymore, you can still argue whether it's desirable, then the government wouldn't be able to tender anywhere. I have just given you all kinds of examples that are broader and not covered by my portfolio. I am talking about examples in the framework of shared services from the government. So I remain of the opinion that this statement by the committee is not in line with the way in which we organized the government. It is also not only the Ministry of EZ and the Ministry of OCW that take this view. We also had a consultation with the Interdepartmental Committee on Business Legal Advice and the National Attorney. All agreed that the opinion of the Commission of Procurement Experts did not stand. The Community legislature follows a consistent line in that new directive: "It should be noted that no provision in this directive obliges Member States to outsource or outsource the services for which they wish to provide themselves or to organise by means other than public contracts within the meaning of this Directive'. The lawyer says: 'A Member State is free to dispose of services internally, i.e. in house, or to place them on the market by means of a public contract'. The lawyer also states that it follows from the contract law that an agreement can be concluded only if it is concluded between individual legal persons. The national attorney says: "The functional interpretation of the concept of an agreement proposed by the Commission of Public Procurement in the sense that it also includes agreements for consideration between parts of the same legal persons does not fall within the scope of European public procurement law." In short, it is not just my personal opinion and not just the personal opinion of the minister of EZ. It's the departments, the inter-departmental commission and the state's attorney who find this. To be honest, I wouldn't know where else to get more expertise to see if this is definitely allowed within the rules we have set with each other. Then you may still find it undesirable, but at least it is not contrary to the rules that we as a government can and can apply.
ParlaMint-NL_2015-09-09-tweedekamer-7.u89	A brief interruption: I have already referred to the Utrecht University report which explicitly states that this tender should have been a tender. The Minister quotes from other work, but this report is explicitly involved in the question. That report is ready and the Minister has it on her desk. I ask her if she can respond to that. I just asked that in my contribution.
ParlaMint-NL_2015-09-09-tweedekamer-7.u90	It's possible. I would add that this report was informally made available to us yesterday. It is not yet public, so that makes the discussion difficult, even in the sense of how comprehensive we have been able to look at it. After an initial preliminary study, it becomes clear that both the Commission of Procurement Experts and the University of Utrecht make it clear that you can organise procurement law in different ways, namely administrative law, as happened in some Member States within Europe, or private law, as in the Netherlands. Within our private law system, procurement as it is now, is a proper way of doing things. So I see no reason in the Utrecht University report to misunderstand the decision to ask the National Archives to do this job. By the way, I assume that the further discussion of this report will also take place with the Minister of EZ, because of course the consequences are much wider than just the issue of the National Archives. All in all, I have weighed the cultural and societal importance of high quality digitisation of cultural heritage that is vulnerable and contains complex material. I have allowed that to weigh heavily, but I have, of course, made sure that it fits in with national policy. I have tested it legally and I have considered whether it is justified in the context of market forces. I've had confirmation on all these questions. That means that, in my opinion, this task is still possible. I'll just say once more that it's not a habit to spend everything. Over the past two years, we have tendered 1.6 million at the National Archives. This means that entrepreneurs can make use of it. That's where they can take their chances. In this particular case, it is our great preference to have the task done by the Tax Administration, because of its vulnerability and specific specialism.
ParlaMint-NL_2015-09-09-tweedekamer-7.u91	There must have been a time when everyone thought the government always did everything better. We know by now that many companies may be able to do better, but they deserve a chance. The Minister states in her letter that the cost of a scan at the Tax Administration is comparable to the cost of a scan in the market. What figures does the Minister base this on?
ParlaMint-NL_2015-09-09-tweedekamer-7.u92	Excuse me?
ParlaMint-NL_2015-09-09-tweedekamer-7.u93	I repeat my question, which, by the way, comes from my first term. The Minister of OCW states in the letter that the cost of a scan at the Tax Administration is comparable to the cost of a scan in the market. What figures did the Minister base this on? Has the Minister asked the market players what their prices are?
ParlaMint-NL_2015-09-09-tweedekamer-7.u94	I have just indicated that the National Archive, also because it tendered a lot, knows what is being asked and what the market value may be. It emerged from this that the costs charged by the Tax Administration are certainly reasonable. I thought I had already answered the question of whether it would by definition be cheaper in the market. No, that's not the case.
ParlaMint-NL_2015-09-09-tweedekamer-7.u95	I thank the Minister for these answers. I think she has the figures on the cost per scan available. I'm sure she'd like to share that with the House of Representatives.
ParlaMint-NL_2015-09-09-tweedekamer-7.u96	No, because a very large part of this information is market sensitive. All I can do is share it in confidence. The National Archive has existing framework agreements and sufficient up-to-date market knowledge and expertise on the basis of which it can make a good assessment. This information and expertise is involved in the preparation of the business case, as I say to Mr Verhoeven. I can't just share these data because of market sensitivity. I'm sorry, but it's no different. It is part of the entire market operation and procurement. I come to Mr Zieng's specific question as to what would happen if we were to stop the work now and, for the sake of the wishes of the Chamber, I expressly state that I do not see any legal and economic reasons for taking a different decision now, if we were to stop the tax administration and proceed with a call for tenders from private parties. That's gonna buy us a year's worth of time. A tender must last for at least six months. A tender must be prepared etc. In addition, the digitisation process itself needs to be redesigned. All the work and work preparation that has been done so far has been for nothing. An amount of €750,000 has now been spent. I think it is important, precisely because it is tax money and the Chamber points out the importance of the economy in this respect, that we handle the resources carefully. I would be very sorry if these resources were to somehow disappear. That would be capital destruction. However, I am also aware that I am speaking here with the Committee on Economic Affairs. Last week I had a debate with the spokesmen of culture. They still have requirements for extra spending, for example for a youth theater company for €500,000. I told the Chamber I don't have that money. If $750,000 were to flow away in this way, that would be capital destruction. This would not bring any solution to the vulnerable cultural sector. Perhaps some Members will ask what these costs are. These include transport, scanners, archives, adjusting the scanners, describing and decorating the scanning process and investing in the Tax Administration on the infrastructure. When you reverse the cooperation with the Tax Administration, that expenditure would have been for nothing. In addition, an invitation to tender will be more expensive anyway. That is not my decision, but it is because of the VAT benefits that will then lapse. In addition, a call for tenders does not guarantee that this work can also be carried out by the market players, precisely because of the complexity of the archives that are now under way and the framework contracts that we have already concluded. These framework contracts now contain a number of companies and it is doubtful whether one of them can do this very specialised work. I give...
ParlaMint-NL_2015-09-09-tweedekamer-7.u97	I would like to give Mr Verhoeven the floor in this way, but finish your sentence first.
ParlaMint-NL_2015-09-09-tweedekamer-7.u98	Well, I really don't think it would be wise to proceed with a tender at the moment. This would not only have an economic impact, but it would also be very vulnerable to the work that needs to be done. I also find this irresponsible because of my responsibility for the quality of the work.
ParlaMint-NL_2015-09-09-tweedekamer-7.u99	Following the statement made by the Minister at the beginning of her speech on possible highly specialised, high-quality entrepreneurs who could very well be able to carry out such a task, she now concludes her speech with a second false argument, namely the wasting of taxpayers' money. I find that rather cheap in this case. The minister says if we reversed it now, it would be a waste of taxpayers' money. However, this would apply to any choice that is reversed in the case of a choice, whether or not it is correct, for tenderers or contracting entities. If something reversed is a waste of taxpayers' money, it would be a free pass for each ministry, for each municipality, for each province and for every semi-public institution to opt for tendering. Because if they took it back, it would cost taxpayers money, so let them carry on. The Minister did not mean that, I hope.
ParlaMint-NL_2015-09-09-tweedekamer-7.u100	No, but I wanted to point out that this is a special decision. It's not just a decision. Again, the National Archives spend most of their time. I have already mentioned the amounts involved. But that is not justified in this case and in the current situation. I am certainly not talking to dedain about entrepreneurs who would not be able to handle complex tasks. However, it is rather complicated. I'm sure the Chamber will know it all better than I do, but we're also dealing with framework agreements. We have a framework agreement with a number of companies. If we were to contract at the moment, it would have to be tendered at those companies. And it's complicated. Just think of that box with the VOC archive, with all those complicated letters, books, maps, ship messages and so on. Not one of the companies currently covered by the framework agreement can do so all together. I'm not ruling out the fact that there are companies that can. But then I actually come to the next part of my speech, which is about what the consequences would be if I stopped now. However, Mr Verhoeven himself asked what the consequences would be if they were to be tendered at a later date.
ParlaMint-NL_2015-09-09-tweedekamer-7.u101	The Minister may not do so because we would know better, but she herself started to say that it is all very complicated. I think it's very simple. I was fine with the middle part of the Minister's speech. I am referring to what she said about the framework agreement and the shared services, because I can all agree with that. This also applies to its rebuttal of the Commission's argument of procurement experts versus the national attorney and the interdepartmental committee. That was all very good argument, and I am therefore concerned that I find it difficult for the Minister to say: yes, it is a very important cultural historical task and it cannot be carried out by entrepreneurs. I really am not sensitive to that, no more than I am sensitive to the argument of tax waste. I really want to have said that, because in the time I worked for SMEs, I have heard countless municipalities say: 'We all make very large super-contracts, because that saves us a lot of money. Mass is cash register." As a result, many small entrepreneurs have not been given the jobs they were entitled to. I am not saying that this is the case here, but I am not sensitive to the Minister's two arguments and to the other.
ParlaMint-NL_2015-09-09-tweedekamer-7.u102	Then let me try to sum up that first argument. I did not say that entrepreneurs could never do it, because they would not be able to handle complex tasks. What I did say was that a number of entrepreneurs could participate in the current framework agreements. Experience with such calls for tenders is not undividedly positive. There has been a lot of discussion about more work and more costs. On the other hand, the experiences of the Tax Administration are positive. That's where the cooperation is going well. So I am not saying that entrepreneurs could never do it right for a long time. Perhaps I should address this point right away. Is there a time when we could come to a different decision-making process? Yes, the current framework agreements expire in June 2016. At that time, we can re-contract. All companies that can handle this complex task can participate. I am right in saying that, as far as I know, there are about ten such companies in the Netherlands, but there are also companies in Belgium and Germany that could be eligible. It will therefore be a European tender. I say this to everyone who uses the argument that it would be good for Dutch employment and that we are protecting Dutch SMEs in this way. It is a tender and I cannot say anything about it with certainty, but it is also possible that that contract would go to Belgium or Germany. Now that I say that, it has not been said that it could be done without additional costs, because then too much remains to be done. If we are to contract, we will have to consider whether we can include the preparations we have already made in these new tenders. The Chamber believes that I should be careful with tax money, and that would mean that I have to fulfil my responsibility as Minister of OCW in order to handle vulnerable cultural heritage carefully and with care. This means that we will have to set conditions for this. Furthermore, we already know that we have lost at least part of the €750,000 that has already been invested. It is not Mr Verhoeven's portfolio, but I will say it to him once more. I am conducting this debate with all my colleagues, all of whom in the cultural world are calling for extra attention to be paid to that group or sector. So I'm gonna have to tell them we lost that money. Theoretically, therefore, there is an opportunity to come to a new balance after considering the aspects of efficiency, content and quality.
ParlaMint-NL_2015-09-09-tweedekamer-7.u103	I can be brief, because the Minister is bringing it more reasonable now. In my group there is a cultural spokesperson and an entrepreneur, and we discussed Mr Zieng's motion together at a group meeting. We then considered all these points, and it is therefore wrong for the Minister to pretend that they are two totally separate worlds, because at least they have come together with the D66 Group. We have made our assessment and until today it is to the advantage of those who say we should have tendered. There has been a trade-off and it has, at least until today, been in favour of those who said that tender should have been made. Now that the Minister has put forward all these arguments, including the view on the future and the risks associated with them, I think we are faced with a new situation, and we shall discuss them again. However, it is not the case that there are two totally divided worlds.
ParlaMint-NL_2015-09-09-tweedekamer-7.u104	You've made your point.
ParlaMint-NL_2015-09-09-tweedekamer-7.u105	It is the first time that I have discussed this with Mr Verhoeven. I would just remind him that I am mainly debating culture with his colleagues. That is where I have to make the following assessment. What else can we find out for? We don't have any resources. How do we handle this carefully? I would point out to Mr Verhoeven that I also want to be able to have this debate honestly with his colleagues. That's all I care about.
ParlaMint-NL_2015-09-09-tweedekamer-7.u106	Are you going to a roundup too?
ParlaMint-NL_2015-09-09-tweedekamer-7.u107	Yes, Mr President, I think I have had the most important points. I'll see if I haven't forgotten anything else.
ParlaMint-NL_2015-09-09-tweedekamer-7.u108	In the meantime, I'll see if there's a need for a second term. I note that this is the case.
ParlaMint-NL_2015-09-09-tweedekamer-7.u109	Mr President, I think I have had the heart of my speech here.
ParlaMint-NL_2015-09-09-tweedekamer-7.u110	Thank you. We shall now proceed to the second term. I give the floor to Mr Ziengs as the first speaker. Speaking time is 1 minute 30 seconds including tabling motions.
ParlaMint-NL_2015-09-09-tweedekamer-7.u111	Mr. Chairman. I've already made a lot of points during the interruptions. Fortunately, you gave me space for that. That enables me to now submit the motions that I have prepared in response to this debate. I'll start with the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there has been a difference of understanding about the use of digitization work by the National Archives;]] [[noting that scanning equipment has already been publicly tendered and that staff in the Tax Administration are ready to start work;]] [[Whereas the immediate reversal of the tendering process will entail high costs;]] [[noting that the National Archive uses framework contracts with market participants that expire for the purpose of tendering;]] [[noting that the conditions of social return, such as the use of existing personnel, the use of existing equipment, and the need for care and caution in dealing with important and sometimes sensitive national archives and archives, can also be taken into account in an open tender;]] [[calls on the Government, following the expiry of the framework contracts next year, to make public use of this scan work of the National Archives, where necessary under the conditions described above,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Ziengs. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11490-185]]
ParlaMint-NL_2015-09-09-tweedekamer-7.u112	My second motion is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas transparency and clarity on the conditions for tenders are of great importance for market participants;]] [[Whereas, furthermore, conditions such as the use of existing personnel, the use of existing equipment, costs already incurred and the need for care and caution in dealing with important and sometimes sensitive national archives and archives can be taken into account in an open tender;]] [[calls on the Government to conduct a market consultation with specialised companies in the procurement process well before the start of the procurement process,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Ziengs. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11490-186]]
ParlaMint-NL_2015-09-09-tweedekamer-7.u113	I asked the VVD in the first term when it was satisfied with the Minister's reply. I am curious to see how the VVD Group is looking at that right now.
ParlaMint-NL_2015-09-09-tweedekamer-7.u114	The question has indeed been asked. The Minister has made it clear that it will delay the one-year process if we now proceed directly to the issue of a tender. That has ultimately been the consideration of tabling motions in this way.
ParlaMint-NL_2015-09-09-tweedekamer-7.u115	Mr. Chairman. This was a bit of a disappointing debate after all. We had really hoped that we would come to different results with this Minister for Education and Culture. She is not prepared to stop the tendering and wants to continue with what she is doing. She also explained why she wanted to. Fortunately, it has gradually introduced some nuances to the debate. For a moment it seemed that this minister always had much more confidence that the government could do anything better and that she felt that companies could hardly do this. I am therefore pleased with the Minister's nuance, because I really could not get away with that view. The question of whether it is more expensive or not has not really been answered. The Minister says she can't give us that information here in public. However, I would like to have confidential access to the documents. I would like to see whether it is true that it is more expensive in the market anyway. That's what the minister actually said, based on experience that there is. I want to know the numbers by scan. We may then be able to take advantage of this in subsequent debates, without, of course, bringing out the scan price directly. I need this information.
ParlaMint-NL_2015-09-09-tweedekamer-7.u116	I see that Mr Vos does not need a second term. I call Mr Verhoeven.
ParlaMint-NL_2015-09-09-tweedekamer-7.u117	Mr. Chairman. Politicians are not lobbyists, they're interest weighers. Today, too, we have had to weigh up different interests, such as the cultural historical importance of the archive being digitised, but also the importance of the opportunities for good entrepreneurship in our country and the importance of a small, compact government that keeps to its core tasks. We could look at those elements today. The Minister has put forward a large number of arguments to defend her decision to invest. As I said earlier, I am not sensitive to the argument that this is a complex task, with a great cultural historical importance. There are a lot of tasks that are complicated and important for the Netherlands but that are simply carried out by market players. So I didn't have to weigh that argument, because I'm not sensitive to it. The same applies to the argument of wasting taxpayers' money. I think that is a mistake, because then the government could take a certain step first and then say that turning it back should not happen because it is a waste of taxpayers' money. However, the Minister has also put forward some good arguments: the fact that she considers the government to be a single legal entity, the fact that the state attorney and inter-departmental committees say that the minister is right to make this choice and the fact that there is a state-wide approach in which you can choose to spend things between the different departments of the government. At the end of the day, the Minister made me sensitive. I am therefore glad that we can now look ahead rather than backwards. Yes, I am very much in favour of opening up the market after the expiry of the framework agreements, even if that would be more expensive and also if it would mean that foreign competitors might be carrying out a contract. That is the idea of contracting out. It can sometimes be more expensive; it can sometimes mean competing, but that is the idea of awarding fair contracts to entrepreneurs. This is also important for a Minister for Education, Culture and Science.
ParlaMint-NL_2015-09-09-tweedekamer-7.u118	I'm suspending the meeting so that the Minister can review the motions that have been tabled.
ParlaMint-NL_2015-09-09-tweedekamer-7.u119	Mr. Chairman. I shall deal with the two motions tabled by Mr Ziengs. In the motion in part No. 185 the government is invited, following the expiry of the framework contracts next year, to make public the scanning work of the National Archives, where necessary under the conditions set out in the motion. I'll leave the verdict on this motion to the Chamber. As far as I am concerned, I would like to say that it is not a question of 'where necessary', but of taking into account aspects such as care, use of existing equipment and caution in dealing with important and sometimes sensitive national archives. That was the essence of my speech. These elements should be at the heart of a procurement process. The conditions described are therefore of great importance. Mr Ziegs also describes these conditions. Once again, I attach great importance to my responsibility for securing and accessing archives and monitoring the coherence of those archives. The quality of the scans must be impeccable, because people around the world use them. I also consider it important that any additional costs should be proportionate. I heard Mr Verhoeven say that he is in favour of tendering, even if this entails additional costs. I'll go to the tender and see if the costs are proportionate. This includes the importance of keeping people at work in a region of the Netherlands where work is difficult to find. Those are the elements I want to take into account. However, I have to work that out. With these comments, I will leave the vote on the motion to the Chamber.
ParlaMint-NL_2015-09-09-tweedekamer-7.u120	For the sake of clarity, if, with all the terms and conditions mentioned by the Minister, it does not come to an invitation to tender, can a passage be included with 'explain or apply'? In invitations to tender it is always referred to as 'comply or explain'. This means that it can be explained to the Chamber and submitted that the mandate is not given for the reason that the Minister is referring to.
ParlaMint-NL_2015-09-09-tweedekamer-7.u121	Yes, because I can then let the Chamber know why these terms apparently didn't come out a good match. Mr Verhoeven said that market players can carry out complex contracts. I didn't say you couldn't. I have just said that within the current framework agreement, with the experience of recent times, it is not natural to expect that this complex task can be carried out. With the expiry of the framework contracts, there will be new opportunities for everyone, including for companies, under all the conditions I mentioned. In the motion in part No. 186 calls on Mr Ziegs to conduct a market consultation well before the start of the procurement process. I also leave the judgment on that motion to the Chamber. A market consultation is possible, but I would add that the National Archives cannot provide all the information at such a consultation. This, of course, has to do with the whole principle of tendering. I'm not a specialist in that field. Mr Ziengs is. I am going to prepare this very precisely and carefully, together with my colleague from EZ. If too much information is given away, the whole idea of the tender is gone. The principle of equal treatment and transparency must not be violated. The public authorities may collect information as contracting authorities, but they may not provide information. I do not want to be responsible for any error in the procurement process. With that remark, and the remark that I want to do this very carefully and together with EZ, I leave the verdict on the motion to the Chamber.
ParlaMint-NL_2015-09-09-tweedekamer-7.u122	For your information, I understand the Minister's explanation. The law also simply states that this information must not be shared in advance. I am concerned in particular with the feeling of mistrust among entrepreneurs, and the feeling is that advice has been put aside, so that at least in this market consultation we can clarify what is really at stake. That's what this market consultation is for.
ParlaMint-NL_2015-09-09-tweedekamer-7.u123	I say that wholeheartedly, because I am always in favour of the open conversation. It is up to the National Archives to indicate why one is going to contract, but not to give information that might give parties an advantage when signing up for the tender. That is a balance that we will have to find carefully. Mrs. Mulder asked for confidential information. I'm telling her she can see the confidential information I have.
ParlaMint-NL_2015-09-09-tweedekamer-7.u124	Thank you very much for this commitment. It just struck me a few times that the Minister appeared to be a champion for maintaining employment in the region. What about the Dutch Learning Plan Development Foundation, which may be leaving Enschede? Is she gonna stop that?
ParlaMint-NL_2015-09-09-tweedekamer-7.u125	This is a new subject, Mrs Mulder.
ParlaMint-NL_2015-09-09-tweedekamer-7.u126	It's funny that you're asking this question, Mrs Mulder. You were not concerned about employment in Limburg, but apparently you were concerned about employment in Twente. Well, that surprises me. I've answered three series of parliamentary questions about this. There too, Mrs Mulder, it is about customisation. We have chosen to do so, as in this case with the National Archives.
ParlaMint-NL_2015-09-09-tweedekamer-7.u127	This subject is not on the agenda.
ParlaMint-NL_2015-09-09-tweedekamer-7.u128	We will not vote on the motions tabled next Tuesday, because that is a special Tuesday, but on Tuesday, 22 September.
