ParlaMint-HR_2017-07-07-0.u38846	Mr. Bunjac asked for a word.
ParlaMint-HR_2017-07-07-0.u43942	I ask you to warn colleagues who are constantly interrupting, I know it bothers them, no, and Mr. Djakic, who was probably involved in the sale of INA via the Defence Fund, no, I know it bothers them. ... Well, you're proud to have sold INA to the Hungarians, and now you're going to overpay them fat. [[The intruder doesn't understand.]]
ParlaMint-HR_2017-07-07-0.u43943	Excuse me, Mr. Maras, just a moment... the speakers speak at the same time. Please tell me whatever you want, but when you're behind the pay phone, the speakers behind the pay phone should speak to the public, not to certain MPs, whether they interfere or not, if they interfere, they will be reprimanded. Thank you. Go ahead.
ParlaMint-HR_2017-07-07-0.u43944	Yes, I apologize to you, Mr. Vice President, but people need to know this. So there were two ways to pay off the pension fund. One is by privatizing the family silver of the most valuable state-owned companies that have thus left our property and the other is as transparent as we have done since 2011. I mean, we're going to support this bill, we're going to do what's... out of the state's decision and kind of verify that job that lasted over 24 years and over 400,000 pensioners felt like a certain benefit, but we need to say this because such mistakes in the future don't repeat themselves. First, not to do injustice to Croatian pensioners as it was done in the 1990s and second, that this injustice and trouble were not used to sell the most valuable Croatian assets under the grain, but to pay it out of the budget as it was not paid out of the budget during the 1990s. And in years, I said when GDP grew over 5%, when there was money but there was no money to pay off the debt to Croatian pensioners, there was money to overpay highways, to paint tunnels, there was money for FIMI MEDIA, for all of it, for the Mountains. Here we hear today that Mr. Cobankovic submitted that he was afraid for his life, so here he had to testify falsely in court, so he's looking for a retrial. For all that, there was money, but there was no money for the pensioners. And if you think you're gonna make it impossible for us to talk about it here, you're wrong because people need to know that. There are still living witnesses here and those who have made decisions on behalf of the Republic of Croatia that are harmful to the Republic of Croatia according to my deep conviction and that they are harmful to the fact that we now want to buy INA, although, by the way, Prime Minister Plenkovic does not say anything at all about it either, Martina Dalic. But at least the intention was shown to buy INA for more expensive money than we taught when we filled the pension fund and sold the shares from the defense fund. And now someone would like to not talk about it here at all. And they're still talking like you know what you're talking about. Well, there's all the paperwork for that. But the rudeness that Mr. Djakic demonstrates here won't stop me and I know he's very nervous and that people know all this and that they know who he is and how he behaves and that he won't forget. Here you may appear in which book of Ivo Sanader, we will now read it, that all of this will remain marked in the consciousness of our people, and we are only saying it here so that it will never happen again in the Republic of Croatia, to steal the pensioners and then sell the most valuable Croatian property. And that's our only motivation. And as for the very work of the fund, my support for this report, that is, the Club of Representatives of the SDP, and once again an apology to all those pensioners who have been since '93. were deceived and stolen while in Croatia warring but also stolen through the privatisation of companies and they submitted the burden. And an apology that they had to wait so long but I hope this was at least a little satisfaction. Thank you very much.
ParlaMint-HR_2017-07-07-0.u43945	We have three replicas. It was a violation of the Rules of Procedure. Injury of the Rules of Procedure, Mr. Shucker, and then three replicas. Here you go.
ParlaMint-HR_2017-07-07-0.u43946	Thank you very much, Mr. Chairman. Mr Maras injured Article 238(5). The basic thing that we as advocates here should be doing is telling the truth and simply the documents that were in this high house present as they are, nothing else. If the sale on the London and Zagreb Stock Exchange is below the grain, then it's an honor. If someone forgot they sold 6% of the shares to PLIVA to cover some HZZO debts. Another thing for the Croatian public, colleagues and colleagues, the INA Privatisation Act was passed by the SDP government in 2002. And whoever wants to see so let them see what's in that law, that law has never been put out of force, just as the HEP Privatization Act has been passed. So in 2010, the law was put off the table, but I'm going to talk about it more and more individually. [[Mr. Shucker, time's up.]]
ParlaMint-HR_2017-07-07-0.u43947	Thank you. Mr. Maras has the right to breach the Rules of Procedure as well.
ParlaMint-HR_2017-07-07-0.u43948	Thank you very much. Mr. Shuker hurt Article 238 because he did not give a single example that I hurt the Rules of Procedure but brought out my thesis as if people didn't remember what was going on, as if people didn't remember who sold it and who made the privatisation of both INA and the final sale of the shares of the INA. So it was a trust under the authority of then Deputy Prime Minister Jadranka Kosor. So people remember all that very, very well. And I beg you, don't be angry, so you can make a mistake, so you can't be sinless. You don't think you're sinless, do you? So admit the mistake of 10 years ago, people will forgive you but don't resist that mistake. Thank you very much.
ParlaMint-HR_2017-07-07-0.u43949	Thank you. Another breach of the Rules of Procedure, Mr. Shucker, please.
ParlaMint-HR_2017-07-07-0.u43950	Mr. Vice President, I don't want to use the Rules of Procedure, but simply my colleague Maras referred to the wrong article. Article 238 does not say what he said.
ParlaMint-HR_2017-07-07-0.u43951	Here you go, Mr. Stazic's breach of the Rules of Procedure.
ParlaMint-HR_2017-07-07-0.u43952	This Regulation shall enter A Rules of Procedure which speaks of the powers and duties of the President of the Parliament and of the one who replaces it. I give you the objection, Mr. Vice President, because you're allowing Shuker, under the influence of the Rules of Procedure, to actually express a replica. Don't let him do it, he does it on purpose, he knows he's breaking the Rules of Procedure, he's breaking it on purpose, you warn him, punish him, you throw him out of the hall to preserve the integrity of this House.
ParlaMint-HR_2017-07-07-0.u43953	Thank you. No, no, enough, enough, thank you very much. Let's move on with the replicas. Mr. Shuker merely stated that it was the wrong article, only so he couldn't get the article to be the wrong article. Here you go, Mr.... No, I won't give you any more, I'm sorry, but I won't give you any more... [[You can't hear the intruder.]] No, it's become a game. [[You can't hear the intruder.]] Mr. Hrelja has the right to reply, please.
ParlaMint-HR_2017-07-07-0.u43954	Dear colleagues and colleagues, I never expected the debate on the pension fund and this big project to lead to scenarios and situations like this. What I want to replicate with my colleagues, Maras, is that the Law implementing the Constitutional Court's decision was made in 2004 to look for a model in 2005 that in early 2006 the pensioners stated about the compensation model and that the first payments under model A were in 2006 and not in 2007. Of course, 2007 was the end of model A and the beginning of model B, so it was the most demanding in 2007. The second thing to tell the truth is, then as an active participant we consulted both the World Bank and the IMF, it was simply not allowed to finance this from the budget, and that was not allowed by our coalition, Milanovic's government. Look at the reports, you'll see that the shares were transferred to the fund, you'll see that the dividends were transferred but there was no direct funding from the budget.
ParlaMint-HR_2017-07-07-0.u43955	Thank you very much. The answer to Mr. Maras' replica.
ParlaMint-HR_2017-07-07-0.u43956	Thank you very much. Mr. Hrelja, like this. So here you can on page, although you are not numbered pages, so I can hardly tell you which page, but the obvious page 2 of the summary report, you will see that December 12, 2012. The government stood up for the HPB Invest's task, so it stood behind the task. What is it, but public debt and insurance that money will come back. So, on that side, you could and could have done it then. Why couldn't it have been then, Mr. Hrelja? Because of what we overpaid the highways? Because of what was uncontrollable spending of money from the state budget. To behave more responsibly, each country uses GDP growth to consolidate its public finances and lie to the economy in parallel. In addition to Croatia, which grew 5% in 2006 and 2007, and the deficit grew. So on that side, the very clear logic regardless, again I say the inappropriate behavior of some MPs, we need to be honest. It could have been different if public finances were run differently, but they didn't. And what I say once again, it's a good thing that injustice has been corrected, but they used some of the most valuable Croatian companies to get further away from our property. Thank you very much.
ParlaMint-HR_2017-07-07-0.u43957	Thank you, too. The word has a Mr. Babic who also has a replica. Here you go.
ParlaMint-HR_2017-07-07-0.u43958	Thank you, well-respected Vice President of the Croatian Parliament of Col. Maras, for saying that this story began in '93 but because of hyperinflation but the war then and because of the consequences of the war, you should have stated because of correctness that from 1990 to 1993 it was the ratio of pensioners 3 to 1 but because of the war it fell to 1.38 to 1. Also, the number of employees fell by 562,000 then, but then the number of pensioners increased by 362,000. It was very difficult for the Croatian state, which was attacked and was at war. With regard to privatisation itself as a controversy of Croatian society, you either forget or deny and constantly manipulate, in fact, the privatisation of the HDZ guilt, exculpating the SDP, or members of the Communist Party. And you know very well but you keep it secret that this privatisation or the beginning of that privatisation started before the end of '89. The year with Anto Markovic, then a member of the Communist Party, after a member of the SDP and Professor Jaksa Barbic, who then passed the Company Act, you know very well, and you should say that because of the public. I think you're okay with that. Then in Yugoslavia, i.e. by creating a Croatian state in all companies, banks, thenOURs and SOURs, they were members of the Communist Party, after members of the SDP. So much for the truth.
ParlaMint-HR_2017-07-07-0.u43959	Thank you very much. The answer to Mr. Maras' replica.
ParlaMint-HR_2017-07-07-0.u43960	Thank you very much. Mr. Babic, in your replica you mentioned the freezing of wages, war and the 1990s, the difficult years for Croatia, but as the salaries of employees and pensioners represented by Mr. Hrelja have not frozen privatisation. The theft continued. Why are the salaries and pensions of Croatian citizens who are watching us now frozen, but the privatisation has not frozen. Privatisation was given a stopper, theft became even faster and stronger, and when you talk about the guilt of former structures or former parties that no longer existed in the Republic of Croatia, which passed certain laws, however, it was defined that workers were getting shares. Later amendment of the privatisation law has led to the appearance of Kutle and other boys. And another big one is guilty, and I would say the burden on that former party is what was from that party in HDZ after the 1990s. They came in, so far they couldn't take the Fascism victims' market to people as crowded as it was from the Cube towards, reportedly even one tram line is just that part of the vehicle, from the Cube to the Fascism Victims' Square. So over 80,000 former party members flocked to HDZ, probably a large majority of them with the intention to participate in the privatisation that it was afterwards.
ParlaMint-HR_2017-07-07-0.u43961	Thank you very much, Mr. Maras.
ParlaMint-HR_2017-07-07-0.u43962	And those people who were thinking....
ParlaMint-HR_2017-07-07-0.u43963	Thank you.
ParlaMint-HR_2017-07-07-0.u43964	.../Intruder Maras: Thank you very much.
ParlaMint-HR_2017-07-07-0.u43965	Anything you want for two minutes. I remind you we're talking about the Pension Fund's business report, that's the subject. Mr. Culey is entitled to a replica.
ParlaMint-HR_2017-07-07-0.u43966	Dear Vice President, colleagues and colleagues. I enjoy your presentations, especially if I can replicate your subjects. I know the theme Pension funds, and you were Minister of entrepreneurship and crafts, so probably in your time you contributed to that fund in your responsible, honorable business. As a Frenchman in this House, I don't have that much experience in what happened, because I haven't been able to track everything that's been done about the robbery except when the water comes to my throat. But I also have one piece of information that the media didn't want to pass on, so they ignored when you were 2015 Minister of Entrepreneurship and crafts DORH worked on you on one of your trips where you did everything you could to help the Croatian Pension Fund, so you went all the way to America, to spend hundreds of thousands of kunas and to continue shooting the movie "The Game of Thrones". So, you spent the money, "The Game of Thrones" whether they were continued with your credit or never followed that genre, but the theme of the film would be better if it was called patience and delete.
ParlaMint-HR_2017-07-07-0.u43967	I remind you once again that today's subject is the Report on the Management of the Pension Fund and of course Mr Maras has the right to respond to what has been said. But the subject should be, I'm sorry, I won't take away your time. The theme should be a report on the Pension Fund. Here you go.
ParlaMint-HR_2017-07-07-0.u43968	Thank you very much, Mr. Vice President. Here I would like to help Mr. Cule in his counseling work. One of the first tips I'd give him, and I see that he respects me in the debates and that he enjoys them is that he doesn't believe what he reads on these impeccable ultra-right portals. Oh, no? That's how I'd qualify. So you just don't believe it. They do not write with the desire to objectively inform the public because there are the biggest positives always the same and the same ones in the city of Zagreb who don't care if our children have in schools and kindergartens equipment and if that's what it looks like. They want to know what's going to be called a square. That's their main thing. So don't trust these people because they don't want anything good in general. They want to master one small, narrow space of five, six percent in order to feed the emotions of these people and ensure themselves some existence here in the Assembly today or tomorrow in the City Assembly and abuse as hasanbegovic does to all citizens of the city of Zagreb with non-essential topics, and essentially as important as they are to show themselves as senseless, customer-oriented, backward as you will. But those who don't deserve to harass the citizens of the city of Zagreb and don't trust those people. That's my warm advice. They may be on the beers of good Gold and company, but they don't always tell the truth. Thank you very much.
ParlaMint-HR_2017-07-07-0.u43969	Thank you, too. We're moving on to individual debates. Mr. Silvano Hrelja. The old school will stick to the subject 100%. Here you go.
ParlaMint-HR_2017-07-07-0.u43970	Thank you very much, Vice President. You know that I like to hear your requests and I will speak exclusively of the Pension Fund, that is, everything that preceded and related to this Report. In fact, it should be said that there has never been a single budget item for 13 years now that has led to the compensation of pensioners. So there was no foothold that even one kuna was directly paid from the RS budget to the Pension Fund because of what I said at the beginning of my presentation on behalf of the club. So you can only pay citizens on the basis of a lawsuit or an extrajudicial settlement between a state institution and a citizen. You can't pay that in this way compensation that had neither out-of-court settlements nor had individual court solutions but had behind it, there was only a decision of the Constitutional Court which, if we don't pass the laws for the implementation of the Constitutional Court's decision, cannot be realised on its own. This is worth knowing, and this has been the whole time of the pension fund’s operations, that is, the management of the pension fund’s Management Board. Of course there are guarantees of counter-guarantee purchases and back purchases. Therefore, there were quite a number of financial transactions in which the state participated. It's undeniable, but neither she directly nor I say took part in, nor had the opportunity to give and place certain money for this purpose. So, of course, don't think that out of these 750 000 citizens who were initially in the calculation of the compensation of which we have that 10 billion 252 million 748 thousand 377,99 kuna divided 488 thousand and 577 users, or members. Those aren't all pensioners. Among these members are the heirs of the pensioners, in the first order. Of those 750 thousand, there are about 40,000 who had, of which 27 thousand were not at all, or 22 thousand 097 did not appear because of the small insignificant, or are no longer there or are not among the living or living here. 22,000 people didn't come forward, because when I repeat it again, someone offered to pay him 50 kuna either in 4 wars or in 2 years with a 50% discount or to give it to him in full, in 6 wars with... 2 years old. [[The speaker doesn't understand.]] Usually, such citizens won't answer. About 240 thousand citizens, the calculation showed that the state owed them nothing, because through a collective way of repaying debt or compensation, which is the payment of 100 kuna and 6% more than they were damaged. Now, I have to admit, these are the people who were the most dissatisfied because all the citizens, the 750 grand who entered the shootout, were expecting the money. However, these citizens are essentially the most rewarded, those 240 thousand, because 100 kuna plus 6% were retired and paid off today, if they are alive. So it's worth it again. And in order not to be fooled, there are two neural points, there are two defects to this entire project. We can't be unfair to those who got over the damage. These are particularly interesting, of course, that neither later nor today, there is no political will for anyone to go back so many years. But these are two categories of citizens, pensioners, so they were those family pensions, which were in their pensions from 93' to 98' and 2004, but in the meantime they moved on to the retirement of deceased husbands, so only by the basis of deceased spouses were calculated, not by the fact that they were previously in the period 93'-98' in retirement and yet, there are a few tens of thousands, according to some estimates. And the second category of citizens is those who retired from 93 to 98, and after 98, they got a job. They're about 700 citizens, at least it was when we were looking. That's the part, that black side of this project, we have to say, we have to be satisfied, we have to congratulate everyone who participated, because they participated in the realization of this project within the frameworks that the law gave. It's a legal flaw for these two categories of citizens. We didn't have much energy or the ability to insist on the implementation of the project, until the end of the project, and I, in some ways, have forgotten those people from the system, on behalf of all other pensioners who have exercised their right, am entitled to this opportunity and to apologize. Unfortunately, I have to tell them openly, which doesn't bring political points, that there won't be anything further because no one has any energy, nor has there been, today's political will, that it's settled after so many years, but at least we'll give them a confession that they've somehow exhausted some material damage, for the benefit of this society, if it makes life easier for them. It's not nice to talk about, but it's true. But as far as this project is concerned, which is with us on the agenda today, we don't exactly have a lot of elements here and we're looking for weak spots here, done, constantly under the glass and the public and under the glass and those beneficiaries of compensation and under the supervision of auditors, so all responsible and institutions but also responsible members of the board of directors to be all legal and to get their own, exercise their right. Therefore, in our individual visit to the Croatian Parliament, once again, I will personally and as a club that we will support this report that we should go towards the end of the 2016 report and close the fund to finish this project. And I thank all the participants in the project once more warmly.
ParlaMint-HR_2017-07-07-0.u43971	Thank you, Mr. Hrelja. Mr. Zekanovic asked for a breach of the Rules of Procedure as Mr. Hrelja spoke... No, as Mr. Hrelja spoke, I'm sorry. [[You can't hear the intruder.]] No, as Mr. Hrelja spoke, you've been, I've been looking well, so I'm warning you, if something's wrong with what Mr. Hrelja said, you're saying, if you don't, wait for a second chance. [[No, you didn't see me.]] It'll come 100% You'll get a second chance, Mr. Zekanovic. [[Intruder: Second chance, new breach of the Rules of Procedure.]] Mr. Maras was looking for a replica. Here you go.
ParlaMint-HR_2017-07-07-0.u43972	Thank you very much, Mr. Vice President. Mr. Hrelja, I agree with you that the situation surrounding the pension fund or the whole idea is unquestionable. So I'm not questioning whether the pensioners were damaged, which must have been 90 of those years while there was a privatisation robbery. And secondly, that they should have been compensated and that this wasn't a bad idea when the law was passed. But the execution could have been one or the other. We may disagree here now, I'm still telling you that it could have been paid differently without having to sell Pliva, INA and T-COM. That's all I said. Nothing else. And I'm going to support the report because it verified something that happened because it corrected the injustice, but I can't say that it could have been different and that it's illogical to sell something ten years ago and now you want to buy more expensive, it's illogical. I'm talking specifically about INA, that it's illogical that at one session of the Defence Board we won't be selling shares of the INA, and in seven days, that conclusion changes and says we'll be selling shares of the INA. That's what happened at the Defense Fund. ... No, I'm not lying, that's what happened to Mr. Djakic at the Defense Fund because someone wanted to sell INA's shares to a defense attorney, and that's all I'm saying, and I think I'm right to do that. [[The intruder doesn't understand.]] Thank you very much.
ParlaMint-HR_2017-07-07-0.u43973	Mr. Zekanovic asked for a breach of the Rules of Procedure first.
ParlaMint-HR_2017-07-07-0.u43974	That's right, Article 238 here is about two paragraphs, a colleague of Maras spoke about a subject that was not the subject of discussion and defamed and insulted other MPs. Mr Hasanbegovic was not there to defend himself, so here I am just going to say for a while, you are not Mr Maras who will speak what is relevant and which is not relevant what are the topics. For example, you have relevant topics. moving the memorial records to the dead Croatian defenders who have inappropriate content for you, and you resent others who have an initiative to take down another marshal Tito and his name from one of the most important city squares in the city of Zagreb. So it is not you who will decide what is relevant, which is not relevant to us, and it is not relevant for you to respect the Council of Europe resolutions in which totalitarian regimes should be condemned, and for some others it is. Thank you.
ParlaMint-HR_2017-07-07-0.u43975	Thank you very much. He was also looking for Mr. Maras' injuries to the Rules of Procedure. I mean, at this precise moment, now that Mr. Maras is responding, he's certainly been holding the subject, right now, but here's the breach of the Rules of Procedure. Here you go.
ParlaMint-HR_2017-07-07-0.u43976	Thank you very much. Mr. Zekanovic has injured the Rules of Procedure on something that has passed. So on one of the previous...
ParlaMint-HR_2017-07-07-0.u43977	/Intruder Radin: Which article?/...
ParlaMint-HR_2017-07-07-0.u43978	He hurt Article 238, and he reads a series of other articles, but now I'm not gonna count on taking my time. Mr. Zekanovic will not teach me in my town what is important to the citizens of Zagreb, so Mr. Zekanovic I will not explain to you if I was born in Zagreb. I've remembered some streets, squares, and that's what I've been calling from. I'm not as burdened with it as you are with ideology, partisans, Ustashas, etc. Most of the citizens of the city of Zagreb are not and I just complain that these 5, 6, 7% of whom it is the most important thing in life do not harass others. The most important thing in my life is whether my kindergarten child will have expendable material or not, not if it's going to be called one or the other. And don't teach me what's important in my town. And as for the record, it's not just me that's the issue. It is also controversial to Mr. Radin who is a member of the ruling coalition is a controversial panel in Jasenovac... /The speakers speak at the same time./...
ParlaMint-HR_2017-07-07-0.u43979	Sit down, your time is up. You can say whatever comes to mind and I know you've got a lot on your mind, whatever comes to mind, but in two minutes. Mr. Zekanovic is in violation of the Rules of Procedure. No, good. Mr. Bull's breach of the Rules of Procedure.
ParlaMint-HR_2017-07-07-0.u43980	Thank you very much. A colleague, Maras, injured Article 238(1), spoke about a subject that is not the subject of discussion, is not the subject of discussion in both Jasenovac and Marshal Tito's Square. If this is how it continues the chairman, we'll have the Assembly MPs out, and let them deal with the boards. Right now, the theme is the pension fund, and if you can point that topic at it. Thank you.
ParlaMint-HR_2017-07-07-0.u43981	Thank you very much. If you'd seen what was said yesterday, the object was a seal. I'd like to ask you no more, only if it's a subject. Here you go, Mr. Zekanovic. I have to give you my word.
ParlaMint-HR_2017-07-07-0.u43982	Miro Bulj said that I broke Article 238, he broke it about 500 times, every time he answered, he wasn't in the topic.
ParlaMint-HR_2017-07-07-0.u43983	Thank you very much. Now, sir, the answer to the replica of Mr. Hrelja that will stick to the subject.
ParlaMint-HR_2017-07-07-0.u43984	Yes, dear colleague Maras, look if I can be born again I could be anything in my life, but I certainly couldn't be a doctor of general practice. I'm focused on one topic and I'm taking responsibility even more than it's ever been in my power for these people. Here I apologized none of me asked for any mistakes made here in that story and I'll always talk about that project that was. I assure you, and without any intention, you know the worst thing in life is to question constantly what would have been done like this, which would have been, you have to make decisions at a given time. During the time, the IMF and World Bank checks were carried out, given that we were in an apartment by arrangement, it was not possible at least not at the beginning of the implementation of this project to finance this from the budget. And as someone has led and financed projects in GDP growth, it is too wide to discuss the Pension Fund. I mean, I'm glad you support what's been done, and I'm glad you admit that one of us is still going to say one historic injustice to the pensioners this way. You know why we became a parliamentary party in the first place? Because former Minister Vidovic said the pensioners were all returned. And it was never possible to do so until an individual calculation of individual compensation was made to every pensioner and citizen. Well, thanks to him, I'll always honor him because we're a parliamentary party. Thank you very much.
ParlaMint-HR_2017-07-07-0.u43985	Also now, Mr. Ivan Shuker will have an individual debate. Here you go.
ParlaMint-HR_2017-07-07-0.u43986	Thank you very much, Mr. Vice President, Madam Secretary of State with associates, colleagues and colleagues. A man must be sad when he listens to everything spoken in this House, when he speaks here are no longer arguments and facts but political debates that have no basis for any act brought by this High House or the Croatian Government that so the participants politically debated in 2005 and 2007 Croatian pensioners would never get this debt back and never this injustice would be corrected against them. Because you can look at the parliamentary debates when the Retirement Fund Act was passed and you'll see what it looked like. So if it weren't for this kind of thing, let's talk facts. Let's see who started the sale when the HT's money sat down. The end of '99. Eight hundred and fifty million dollars in the budget is settled in 2000. Who it is and why it sold 16% in 2001, it's your control package, when you have to get a very fat bonus for it because you get management rights for just 550 million marks. Or INA. In this high house, the Law on the privatisation of INA and privatisation of HEP was passed in 2002. At the time, HDZ and HSP representatives were against the law. So in 2002, 25% of INAs were privatized for 505 million. To say in this high house that something was done under the grains, and the process took place in the most transparent, most public way across the Zagreb Stock Exchange and across the stock market in London, simply disabling all the people sitting in this high house. Because if someone can say that the sale of shares that every citizen of the Republic of Croatia could have accessed, or an institutional investor at that price, was beneath the grain, then it's an honor. That says more about who said it than the fact. Let's go public, let's face it, who bought those shares on the IPO? 17.2% of the shares were bought by Croatian citizens and institutional investors. With exactly how many shares will be offered to Croatian citizens and how many will be offered to institutional investors. So it wasn't going to buy anyone as much as it wanted, it was prescribed how much that pact represents. And that's how 17.2% of INA shares were sold. But look, as much as the share in the ownership structure of Hungarians has increased, plus that of the pension fund by 17.1%). So those who are citizens and institutional investors, one part of institutional investors, have sold their shares because someone has raised the price to 2800. The shares were not sold by the Croatian government and were not sold by HDZ. So that's a fact. I could be bad here and talk about how someone in 2001 to cover his health debt sold 6% of the shares of PLIVA and thus the share of the state from 25 percent to 18 percent, and some more. But why? Simply at that point were such conditions, the state could not be in charge. Someone made decisions the way they are. And so, after this elaborate, look at your colleagues and colleagues, it's undeniable that it was a debt, it's undeniable that these people didn't get the money. It is undeniable that the Constitutional Court has reached a verdict, it is undeniable that all political options are and therefore I am sorry that this is the way the debate in the high House tried to solve the problem. And counterpart Hrelja, who was a direct participant of the process, said nicely that one process he was, I will not say that he was bad, counterpart Vidovic, was as then minister offered a concept that did not prove to be good, but cost the state quite a lot. But then, that I can't and won't, don't mind telling me that SDP and counterpart Vidovic made a bad move. Because he wanted to solve what he wanted to solve the HDZ. But obviously from all the knowledge that they were, and conversations with legal experts, it was said that if we want to prevent lawsuits before Croatian courts and the International Court in Strasbourg, it can only be resolved individually. And I said in my replica, then Croatia was in a stand-by arrangement that started the government before the then government because it simply wouldn't have a second chance and I won't criticise the previous government because simply to appear on the international financial market, it had to get from someone green light, and that's the world's police officer, the IMF and the World Bank. I want to be correct here. And I'm saying all of this for the simple reason that in this high house, it's only being discussed with arguments and facts. And that's why I'm saddened when in one of the topics that we've all been about when you've made decisions, you've politically agreed, discussed this way today the way we're discussing. Speaking of which, from 2003 to 2008, the deficit grew, that means telling all the colleagues who voted and adopted the budget here, you lie. Deficit 2003, 5.9, 2008. 0.8%. It's simply a fact that here in this high house was adopted with a report on the implementation of the state budget. And why are we doing this? Today when it's practically all over. The easiest thing to do is to take things out of the context of time and space and tell those people who got the money, is, it could have been one way or the other. It's just that today you have as much money in the world as you want. Today is the time of historically low interest rates. Today, Croatia is a member of the EU, today there is much open in Croatia that has not been possible in these times. At that time Croatian banks couldn't, a consortium of Croatian banks couldn't raise together funds for several billion kunas to settle debt either state-owned companies or state-owned budgets. But what Hrelja's colleague was saying, he was a direct participant, I was in a certain way indirect, because it went through the Ministry of Economy which at that point led to pension care. It was simply then that you couldn't do it and you couldn't finance it from the budget. To finally find out the funding model she told us, that's the income of the state budget below the line, it doesn't go down with that deficit, but with that you could finance the current deficit, so we're going to include it in your deficit. So that's what the IMF did. And it's all in official documents that exist in the CNB, in the ministry, and I don't see why you're making this up. Why here to say someone did something under the grain? If there's a store on the London grain market, it's an honor. I don't know where you could trade stock. Why did someone buy those shares later in 1960, sell 2800? When you're on the stock market, you can't tell anyone what he's gonna do with his assets anymore. INA employees averaged 900 kuna on average, and they sold 2800 each. If it hadn't been for those transactions, they'd never have come to 49%. But that's a theme for other things. But when you have no arguments for something then... in a very ugly way to treat fellow Members of the congregation, to make a mountain of falsehoods. [[The speaker doesn't understand.]] And unfortunately, it has become a feature of the debate in this House lately. Because believe me, in 2002, when we were against the INA Privatisation Act, we didn't talk to colleagues who proposed the law. But colleagues and colleagues, look at the INA Privatisation Act that was passed in 2002. It says there that Croatia must sell those remaining 25% at the time of Croatia's entry into the EU because at that moment it should not have more than 25% under special law. Has anyone at the time of Croatia's entry into the Union offered this High House amendments and additions to the INA Privatisation Act? It's not. But in 2010, I was then Deputy Prime Minister of the Croatian Government, and I suggested that the HEP Privatisation Act be put out of effect. It's a fact, it's true, and that law was passed in 2002. And I just want to say at the end of this debate that I've just never debated in this House without arguments and without facts or in the future. And I'm gonna stay away from fighting people who want to, I'm just not gonna use the hard words of this assembly space, this high house pushed there simply where it doesn't belong. Because we must not forget that, to sit here, 15,000 Croats gave me lives and throughout history that I don't speak. And when we want to be unworthy of this place where we sit, we have to remember that. Thank you very much.
ParlaMint-HR_2017-07-07-0.u43987	Thank you too, Mr. Shucker. You have five replicas. The first replica, Mr. Hrelja.
ParlaMint-HR_2017-07-07-0.u43988	Well, Your Honor, Mr. Shucker, I'm glad you've figured out your debate this way. Perhaps the only thing missing in your debate is that we must say that neither the coalition government disputed at any moment in 2011 in the pre-election campaign, nor during that anything that was designed in the realisation of the compensation to fulfil its obligation, that no one here was running away from responsibility. And after all, the damage to this energy, the bad energy. In the end, we see, we have a project in front of us that everyone respects and no one has turned their backs on, and everyone has been working equally warmly in continuity. And this is a multi-government continuity project. He began to solve it, not to talk about the causes now, when the problem arose, he began to be solved by HDZ, continued by the coalition government. Here's HDZ's government left to eventually close that fund. But one dimension perhaps you're not all aware of here one dimension of this project is in the next. Mr. Shuker, in 2005, there was a TV show to the panda today, "Open", I don't know if it was "Face-to-Face" or what it was called and voted for, the public voted on it. You know how they voted against the realisation of this fund or whether you believe that Croatian pensioners will be compensated, or that they will repay their debt to the pensioners. All 7% said he believed, 93% said he didn't believe So it's nice to do what people don't expect. [[/Intruder Radin: Thank you. Thank you.]] This is where governments and policies prove themselves.
ParlaMint-HR_2017-07-07-0.u43989	Thank you. Time's up. Thank you, sir. Mr. Shucker's reply. [[The Hrelja raid: Excuse me.]]
ParlaMint-HR_2017-07-07-0.u43990	Thank you very much, Mr. Vice President. A colleague of the Hill, so the logical thing is that you can't object to a government that's come for something that's been done before. If they were both political and something silently supporting the project, if they were aware of the facts, because when the IPO INA was, no one from the SDP yelled and gravitated around that it wasn't. It was just a fact. So, you can't be politically incorrect and now someone else has come and now everything you've done until yesterday is no good, now like this, now like that. So it's just a fact. Because all of us together when we passed the Retirement Fund Act, we said it was a model. At the moment we said it was model A and B, we said someone would get the money right away, and someone would do it for the next six or seven years with a team and a team. And the logical thing was that it exceeded the mandate of one government, exceeded two mandates of one government. And then the logical thing is that if someone continues politically, and they have to keep it simple so that you have political correctness towards it and that you do not object to it. Say someone financed it anyway, so let's see how those money came into the fund. So if someone made a deposit for something and took up credit, then later the state was able to make a commitment to the loan, and there was no funding directly from the budget. But I say in this House are adopted documents, let's look at them and simply tell the public who's telling the truth. But I'm glad that all the political options when they made this decision were complicated to do so. Someone tried it one way. That proved ineffective. However, the truths for the colleagues of the Hrelja those 6% plus 100 kuna which was one of the models are still being paid off so that unfortunately that debt of the pensioners due to one failed attempt will cost far more than what it is. But that's how we solved several hundred thousand people who were on that list.
ParlaMint-HR_2017-07-07-0.u43991	Thank you. Mr. Maras, replica.
