ParlaMint-HR_2017-04-05-0.u25144	Are they interested in taking a break? There are. Representative Alexic.
ParlaMint-HR_2017-04-05-0.u36005	Thank you very much. Fifth replica, dear fellow Bull.
ParlaMint-HR_2017-04-05-0.u36006	Representative Lovrinović, of you are crediblely representing your thesis and of course you have the right to defend, however, and you hit two very important topics when Agrokor began to fail, of course it came to ownership as it came, of course that secret services and other institutions did not control what must not happen, that one man is holding the entire economic system. But when you mentioned Mercator, it was 26.6. In 2014, then Prime Minister Zoran Milanovic said, a good thing for Croatia from Belgium. I can also quote a statement, and then the destruction of Agrokor began, as you said, I can quote Mr Milanovic's statement, and I see that his ministers, i.e. Mr. Todorovic's current subjugations, which allowed the kickings to buy Mercator in this way, say so. I think it's a good thing for Croatia and the expansion of Croatian production, we will all benefit from it, said Prime Minister Milanovic about the sale of Merkatora Agrokor, the government reported on its website in 2014. I love people who are credible and who speak as you say. The CNB also said that as a layman, the red light always lit not those loans that were in interest 10% higher than in others. And now the question is, what does that governor do more, who he served as a layman, I ask you? And why his statement today. Todoric, his master, is now trodden, when he kneels. What are these institutions doing? And it's time for them to leave. Thank you.
ParlaMint-HR_2017-04-05-0.u36007	Replication response.
ParlaMint-HR_2017-04-05-0.u36008	... Hey, buddy Bull, let's start in the back like this, making jokes about the governor and whether the red light was obviously for some green ones, so do whatever you want and do for the other red ones. [[Specially enabled.]] But here's an additional reason to speed up as a MOST this adoption of the Law amending the CNB law. So if we had this before, let's speed it up really to bring it in. And as for this Mercator purchase, you know what? Every political elite, the furniture likes to get high when a company, especially buys a company abroad. You know he also sees it as his own success, the success of the country. And in that sense, if it's all right, then it's okay. However, if you are in debt and if you do not know the true state of affairs, then it turns out to be bad. But look at something else nobody tells. Whom does he most demand, who owes the most, asks Agrokor, as far as the foreign debt is concerned? It's two Russian banks. How will they now give a new loan, for example? for liquidity to save a billion and a half dollars, the euro of both banks here. They are not primarily mortgages, the payment means the property Agrokor has because domestic banks, some suppliers have signed in and that's the trouble. So why isn't it simply said, OK, you Russian banks or other, give me 2.3 billion liquidity loans. So what? So get into the first order of charge because it'll fit everyone. If he knows, if we're saying that capital has no nation, no borders, so let's make other offers. But here everyone hides behind something. Well, gentlemen, we need to speak openly here, the workers expect solutions from us, suppliers, not that we're secretly playing who's going to take something from whom...
ParlaMint-HR_2017-04-05-0.u36009	Thank you. Replica No. "Sixth Honored colleague of the Goddess Macar."
ParlaMint-HR_2017-04-05-0.u36010	Thank you very much, Mr. Chairman. Well, my colleague Lovrinović, I agree with you that we have a bankruptcy law that applies to all the businessmen in the problems and which should have been complemented by several articles and not by a new law. However, now that we have this bill, it is normal for us to discuss it. And you looked back saying that you have a far more high-quality proposal on how to solve the question of the believer. And that's what I'm particularly interested in. In the case of creditors, actually suppliers of those craftsmen and small O.P.G.s, that is, all O.P.G.s. Fortunately, they should not pay VAT immediately after the invoice but still pay it when they charge the bill but they have agreed payment deadlines of 180 days for the delivery of Agrokor, i.e. Konzum. That deadline is not respected either, but it's far, far more. In this situation where they now have to finance the seed, when they have to invest, that's how this part is going to go, and that's not paying at all. I don't just know how he'll survive because even when he pays off the incentives if there's any obligation to the state simply a paying agency in agriculture simply sends over and that OPG guy, our farmer gets nothing because he has to settle all his obligations neatly. Now that this situation is still going and I'm not even interested in what your opinion is, how are they going to survive at all, do you have any concrete solutions? Thank you.
ParlaMint-HR_2017-04-05-0.u36011	Thank you.
ParlaMint-HR_2017-04-05-0.u36012	Dear colleagues, thank you for asking. You've really touched that most sensitive part, the segment in this Agrocora crisis, they're small suppliers. You're right, I think that to traffic from some 3.35 million a year you don't have to pay by invoiced realization. But what with that over 3.5 million, there are a lot of them, so these are huge amounts and contributions are paid everything else and you said yourself if you don't pay a few months that it's totally exhausting. Now you can see the total failure of VAT collection concepts by invoiced rather than realised means delivery, not realisation. So now you can see it. Everyone credits, practically the state, and in this case Agrokor. Wouldn't it be fair now, in fact, that's why we're pushing for it, so let's change Croatia to pay VAT for the paid realisation. And on the other hand, it's easy for us to philosophize right now, but we need to get rid of these little suppliers how the state needs to protect them. Other mechanisms will have to be activated, no private banks or anyone else will worry about it. It's going to have to be one, so it's a state-designed state within the Ministry that might accept the bonds that these suppliers have because they're going to pay them back to settle maybe their own taxes. I'm now speaking aproximately although certain proposals for a solution for the whole system we have, but as I said today is not about how to solve it, it's just about this law. Here's a thank you for asking.
ParlaMint-HR_2017-04-05-0.u36013	Thank you. We're going to the next club of representatives, it's the SDSS club and distinguished colleague Milorad Pupovac.
ParlaMint-HR_2017-04-05-0.u36014	Mr. Vice President, dear colleagues and colleagues, the Honorable Prime Minister. We all know that between one of the system companies in the Republic of Croatia, there is a umbilical cord between Agrokora and the state. And as the birth of the state is related to Agrokor, so is the birth of Agrokor tied to the state. And no one can pretend here that it's not a matter of state and we know it. And whatever the state does, there's no good solution in this case. What's only good is that the state is on this, the state is its institutions, so the government and the Parliament are primarily the judiciary, the judiciary in general looking at awareness because this message is actually to all of us about how the state works in its economic and financial system, which is what has been heard several times during the debate today including the last replicas and the last debate. In other words, the state, by chance, decided to say this is a private company, most of the creditors are private investors, suppliers are private persons, the state will take what it needs to take, these are outstanding obligations to the state and the rest is a matter of the market and the matter of course regulatory mechanisms of the state itself. She could have done that. And among us there is an advocate of such a solution. What consequences would be difficult to predict, but they would not be good. On the other hand, the state could take on more initiative and greater responsibility, could take full responsibility for the situation in Agrokor, could take it for one kuna and do what it thought best for the interests of workers, for the interests of suppliers and go into negotiations with the believers. She hasn't decided on that either. She found this solution where we heard there are a lot of technical objections, which depend on the real possibility of implementation based on such a legal solution. What are the possible risks I will only focus on, primarily on what the risks to the state with this type of role in the mixer in one process. So taking responsibility as a mixer in one process with this law and the dangers are as follows. First with this law state actually forms so-called. system companies, and thereby seriously looking at it, can violate the principle of equality in the competition and equality in financial, economic business. So, a fundamental constitutional, one of the fundamental constitutional values, which is the principle of equality. And that's what some representatives, professors of constitutional law, meant when they said the law could be challenged before the Constitutional Court. Of course, there are those who will say that the Constitution knows another principle, which is the principle of proportionality, that in some cases the state can take certain steps if these steps reduce the damage to its citizens, its companies and stability within the state itself, and that is correct. Only now, of course, is the question of whether adequate balance will be reached between these two principles. Believers will probably say no. Why? Well, it's because this law primarily takes the side of debtors. The state will say the credentials have their own mechanisms, their instruments that have already been activated. The state is here to establish some kind of balance. And that's why we're passing a law like this. Now, what if the whole idea didn't work out and the state got involved? What if the credentials or suppliers right in the country and their role recognize someone who has limited them in the realisation of their rights and in front of domestic and international courts initiating proceedings, which they can. In this case, the state will enter a conscious area, the government will enter a conscious risk area. At first I said, there's no happy solution, it's just a question of what the risk is. The government has estimated that here is probably the lowest risk, but the risk of respected colleagues and colleagues is present and serious, very serious. And that's why it's no wonder if someone's prime minister seemed nervous, made decisions like this, not to stand on his side, I've seen many prime ministers in similar or other situations, but this is an attempt to either happen next to the open sea to try to unload the cargo and, in principle, whoever comes first, who takes more or more to bring the ship into port and then try to control what will happen to the cargo and the ship. One of the biggest problems of respected colleagues and colleagues, one of the biggest strangers is actually what we don't even know, we're constituencies and MPs here, and there's a partial responsibility and government to the extent that the government knows what we don't know, and that's what Agrokor's company really owes us. We know that 16 billion kuna is a demand to the suppliers by the suppliers, and how much is it to other creditors, to launder banks, to funds, how much is it? 35, 48, we don't know that. Someone will say, of course, we can't even know until we get in and make the necessary screening, but it's another additional risk for the adoption of this law and its success. Now, could this have stopped? Yes, it is. But under what assumption? Assuming both states and others in the country don't work the way Agrokor works. Assuming that regulatory mechanisms in the country were such as to avoid monopolism and monopoly positions, which did not happen, not only in this area but also in a number of other areas. We all know that in Croatia, especially the former minister and former minister of the other small enterprise, small and medium-sized enterprises, 95% of the companies in Croatia belong to small and medium-sized enterprises, including Agrokor and it is made up of small and medium-sized enterprises. What the other small and medium-sized companies will say that no one will treat systemically, and here we will treat Agrokora's concert in such a way, even though it is actually a concert of small and medium-sized companies. But, of course, this is the theme of how it was formed and how a huge concert was formed with a role in the economy and in a society that became enormous. So, I remember the 2015 debate when it was a matter of protecting savings, it was then a left-wing government that passed a law on how to protect against the negative effects of interest credit policies outside the country and in the country. The schedule of those who voiced against the need to do so was reversed, so colleagues on the right were against it, colleagues on the left advocated it. Now it's the other way around. Of course, the same goes for the public. The public then supported those who wanted to protect the savings, and against those who wanted to protect the concert. It's today's condition. For what? Not because they are against the preservation of jobs, not in order to preserve what needs to be preserved in the country, which is a possible capital that would open and preserve a minimum space for restoration or continuation of business. It's because they see a kind of injustice in which the state participates. If it has produced injustice over time and if that injustice has led to a breakdown as it has in this case, people believe that another solution should be found. Unfortunately, there is no easy solution in this case. The government has decided to take a solution that has a series of risks, contains or possibly a series of risks, but it couldn't stay on the side, enters the full takeover of this company even less, and it's headed this way and we're still going to deal with this topic. And let's be aware that the opportunity for us to realize on this is how the role of the state is different from that of the companies living from the state. They were created as state-owned companies in the transformation of state-owned assets and became some kind of para-state companies. Thank you, Mr. Vice President.
ParlaMint-HR_2017-04-05-0.u36015	Thank you. We move to replicas, we have six. The first person to answer for the line is Honorable colleague Pernar, come in.
ParlaMint-HR_2017-04-05-0.u36016	Thank you, Your Honor, I remember when we were in this House, we voted on removing immunity from our colleague, Sauchi, today he is, unfortunately, not here. And what's the matter? Because of 500 thousand kuna, that man ended up on a pillar of shame, was demonized and Satanized through all the media. I remember when he was walking down the Upper City with that bag, he was being followed by all the cameras and ended up in Remetinco for 500 thousand kuna of alleged damage he did. It was a burden on him. Today, we have a situation that one other person, Ivica Todorovic, who is not even a parliamentary representative, has not even gone to the polls to trick suppliers for 16 billion kunas through bonds without cover. So the man was giving these bonds of 16 billion, and the suppliers were taking them, they know that they won't be able to charge themselves, and he's laughing at the castle, laughing at Kulmer's castles and watching this debate and thinking of a rotten grandmother's hand to pass her day and laughing at us how stupid we are. We're struggling here because of the porridge he made. So I'd like to ask you fellow Pupovac, why, in the same way that they took Saucha to custody, why, in the same way, Mr. Ivica Todorovic, who cheated on suppliers for 16 billion kuna, made a fraud in economic business because he was issuing bonds without a cover that I can't charge, why don't the police lead him too? Is it perhaps because the DORH protects him, because all state institutions are in his service and because he is actually the real master of this country? Thank you.
ParlaMint-HR_2017-04-05-0.u36017	Thank you. Here's the answer to the line.
ParlaMint-HR_2017-04-05-0.u36018	Dear colleague Pernar, in the case of our colleague, Sauche, we acted hastily, using the institute to abolish the immunity of the MPs. I'm talking about us, I'm not gonna talk about what the state's attorney's done, but we acted rashly. In the case of Agrokor and his owner and management president until yesterday, there are many who would have hit like a dead donkey today and I don't belong among you. Until yesterday, they dared neither to write nor to say a single word, and those small media that were possibly, whose journalists were potentially questioning and calling, accusing, and I don't know what they were doing. So in this case as well as in the case of fellow Sauche, there are institutions that need to do so. Because if the institutions had done their job in case of unpaid obligations to suppliers, we wouldn't have a condition that we have at least to the suppliers today. If the regulatory institutions in the state had done their job in borrowing from banks, funds, then we certainly wouldn't be discussing how we're discussing today. So I'd like to tell you all, this isn't just a debate about Todorovic, this is a debate about us and how our country works. In America, capitalists have power and can manipulate state institutions but there are other institutes in that country that can correct it. Unfortunately for us, we come to this to discuss without having the true power to do anything.
ParlaMint-HR_2017-04-05-0.u36019	Thank you. Another replica of the esteemed colleague of the Bunjac.
ParlaMint-HR_2017-04-05-0.u36020	Thank you very much. Dear fellow Pupovac, you said that the state should take Agrokor in some variant for 1 kuna and you asked the question of what the real responsibility of Agrokor is. The responsibility of Agrokor is such that he still had more debts in 2015 than his assets. So we could actually take on Agrokor only if Ivica Todoric paid us. Eventually, that would make sense. I'll explain how. Ivica Todorovic, in order to obtain a loan from the Russian bank, transferred most of his business to the Adria Group Holding company in the Netherlands and then, through the investment, first in Croatia, tax evasion, and the second falsely portrayed the balance sheet. So back in 2015, this company was, therefore, a completely junk in a modern economic dictionary, and now it's even worse. And it is really a question of how it is possible that Ivica Todoric brought the company into such a state along with his team. Let's not forget that his chief advisor is Zeljko Rohatinski. It is his chief adviser, Croatia's most successful banker and current finance minister. If he had acquired a company without a single kuna in his pocket, he didn't have to pay a single kuna that you've now offered. And if he has a huge cash business every day, if he has a Jamnica paid for by a couple of million kuna concessions to earn a billion and a half kuna a year as it is possible that with such company structure he is, so he currently has more responsibility than he is worth alone, the whole of Agrokor. And you really have to ask who's crazy enough to take over. Who's crazy enough to take on debts and not have any use for it at the same time. Thank you very much.
ParlaMint-HR_2017-04-05-0.u36021	Thank you. Replication response, please.
ParlaMint-HR_2017-04-05-0.u36022	Dear comrade Bunjac, to be clear, I am not the one who advocates that model. I'm just saying that there are those who have advocated such a model to buy that company out for swear. As far as I'm concerned, I'd rather keep that kuna and give these to the stone door that begs when we enter, when we go to the Parliament, or when we leave the Parliament. There are so many opportunities for me as far as the economy is concerned, that my feelings of solidarity as well. As far as the other questions you've asked, that's what I call it, that's the question about us. Who's controlling our country? This Parliament, the regulatory agencies or other actors? You said other actors, I say yes, that's right. We here in the Parliament serve to be spit on by the people and to be spit on by the media as well as by the parties to which we belong. You don't have the kind of position to spit on you today, usually spit on those who are older or who belong to specific groups like mine. But in general, media production of a picture of parliamentaryism and the responsibility of MPs goes to this House to delegate itself, and others have tried to take away his power. And when we say we could vote here, we need to know what we're voting on and we need to know what we're talking about. If we don't know what the debt is, if we don't know what the risks the government takes on behalf of the country in this matter, then we don't know the necessary things. The government probably doesn't know them all.
ParlaMint-HR_2017-04-05-0.u36023	Thank you, fellow Pupovac. The third replica of the esteemed colleague Vidovic.
ParlaMint-HR_2017-04-05-0.u36024	Thank you. In your presentation, you said one of the sentences that stuck to my ear, which is what if this law fails. And that's the real question that I've been asking him two, three times today. I didn't get an answer for him. First, we're in big trouble if that law is ever applied. This law, in my humble opinion, of an uninvited economical lack of knowledge, is simply pure logic. So, if you're short 15 billion kunas, you're always missing those 15 billion kunas all the time. Second. If you come into conflict with banks, an open conflict, if the banks don't accept the commissioner as a solution, then you have a closed financial injection, you're practically locked up. So I think this law is a great adventure, because we don't know how much Agrokor really owes right now. We don't know what the consequences are that can come out of the application of this law. And we may experience a situation in principle that, as a source, sucks everything around us. These six and a half billion euros are money that Croatia is not even close to right now, and we will assume with this practical responsibility to ourselves for all these debts. How are we going to calm it down? From where? Well, in the end, not only will Agrokor's workers remain unemployed, not just companies that are part of Agrokor's concert, we'll all be out of jobs. There might be an election somewhere for the Irish Parliament so we can sign up there. This isn't any thoughtful plan, this is just a plan to save Private Ryan. But I'm afraid Private Ryan is already dead.
ParlaMint-HR_2017-04-05-0.u36025	Thank you. Next, not the reply to the replica. Excuse me.
ParlaMint-HR_2017-04-05-0.u36026	Dear fellow Vidovic is an adventure, but I'm afraid there is no fourth. What's the only question is, could they have avoided the traps of a legal dispute when it came to this law? The legal dispute between certain companies, the legal dispute between individual creditors, but that was the people who were more qualified to talk about it. But if you and I were in this place, whatever we were to do, it would be an adventure with a better solution than it is in the provisions of this law he himself.
ParlaMint-HR_2017-04-05-0.u36027	Thank you. Next, Tomislav Klaric fourth in a row.
ParlaMint-HR_2017-04-05-0.u36028	Dear fellow Pupovac, I volunteered for the replica precisely because you touched something that I am deeply convinced is essentially politics that real politics, not that that I and our people are constantly experiencing, and from these constituencies, from public media events that are pure pulsism. You mentioned in your speech how you felt that today you felt the prime minister when he explained this law, the decision was difficult and politics was making decisions. The decision may be like this or something, but when a man makes it, he has to stand behind it. I am convinced that the Prime Minister, the Government and his associates are behind this decision and that they have not made it rashly, and therefore I will support this law. It's not the best solution probably, there's no ideal solution to this situation we've found ourselves in, but the decision has to be made because it's going to suffer everyone, that's one thing. When we make decisions for any of us, and you've been talking about it here, I've been signing taxpayers' bills for 12 years where millions of money is being paid, I'm standing behind every signature, maybe in some things I've made a mistake, making decisions with my associates every day, building, working not with my own money, but with our fellow citizens' money, making decisions, standing behind those decisions. And just like you said with concrete suggestions, let's make decisions that we're going to stand for. The government has made its proposal because it must be given because it is chosen and therefore has taken responsibility on itself and I believe that it is people who are deeply aware of what they are proposing. Here today I haven't heard too many concrete suggestions, I haven't heard too much support in that part, whether Todoric is like this, if anyone's been recalibrating him, if anyone's been doing anything, I don't care at this point. I'm interested at this point in how to keep that part of our economy, how to make sure that the worker who has a name and a last name gets his salary again and secures his existence, and it's hundreds of thousands of people. [[Intruder Jandroković: Thank you.]]
ParlaMint-HR_2017-04-05-0.u36029	Replication response.
ParlaMint-HR_2017-04-05-0.u36030	Dear colleague, I'll say I agree with you. Politics is in the good part of your job making decisions, and making decisions is one of the most difficult activities and activities each of us can have. It's an easy thing to do when you have an instruction to make a decision, but it's not all done and it's not for all the instructions. This is the case. We have a book to treat. There are books, but cases like this are such that they try a lot of things. And for that reason as much as we from the SDSS Club look with concern not only at what's going on in Agrokor, as we have seen earlier, given the way the company has been developing and the way it has been financially strengthened, we will not act politically in this matter and we will support the government's decision to go into what counterpart Vidovic called an adventure. Because standing at the mall watching things happen on the high seas on a boat that, as I figuratively said, creditors try to take each and every one of their own, is not the best job, especially in circumstances like ours. What is necessary is that we are aware that the interface carries with it takes serious responsibility and great risks.
ParlaMint-HR_2017-04-05-0.u36031	Thank you very much. Replica number five, distinguished colleague Maras.
ParlaMint-HR_2017-04-05-0.u36032	Thank you very much. Mr. Pupovac, sometimes a decision shouldn't be supported unless it's good. What if she is right, Professor Jasnica Garasic, who found 11 of the Zagreb Faculty of Law experts in constitutional law, who found 11 reasons why this law was not constitutional. Who's she gonna be responsible for? Will you then seek the responsibility of the Prime Minister, Deputy Prime Minister, the people who suggested it, perhaps Mr. Sprlje, I must now be a little bit and disappointed to realize that we have stayed on the gentleman, I am sorry I don't know him, probably the Secretary of State from some ministry, but we are discussing the most important law that has happened probably in the last few years in the Republic of Croatia the biggest problem, we have no other side here, we don't have the executive authority in this way presented. They're talking to Alvarez over on the other side of Mark's square. The message is very clear to the prime minister and it is also a message to the Croatian public that the Croatian public and the people whom these citizens have elected here in the Croatian Parliament are experiencing. This is a technical matter obviously for Plenović, you'll raise your hands, and I'll do whatever I want. And that is why we should not vote for this law because it shows no seriousness and respect for this House and on the other hand, I am convinced that this law will fall to the assessment of constitutionality. And that is why we should not, since then, support the proposals if they are the only ones that are proposed, if they are bad, we should not support them. Thank you very much.
ParlaMint-HR_2017-04-05-0.u36033	Thank you. Replication response. Here you go.
ParlaMint-HR_2017-04-05-0.u36034	As for me and the club I belong to when it comes to evaluations on what needs to be supported, which is not to be supported, then in our political practice there is a line that is said to be outside the Parliament, below this there is no possibility of supporting anything, and you, as minister in your government, could experience which we were also part of the majority. This is what our HDZ colleagues also know with whom we have not only today but have previously done a responsible part of the majority in the Assembly. But there's a zone or there's an area where decisions can be partly good, partly bad. I can carry less risk and more risk. They can be viewed with more certainty as positive and less certainty as positive. This is one of those solutions. All of us who prepared for this debate read a lot of things, so we also read the comments of Prof. Garesic, who absolutely deserves attention in a number of places. So I wouldn't quote it, I had general formulas, but I was also thinking about what she's talking about. So in places where we are exposed with this solution to possible legal processes as in... But the government has decided to enter the process and if it ends this job, how much of a successful risk this legal dispute will make sense. [[The speaker doesn't understand.]] And if not, another story.
ParlaMint-HR_2017-04-05-0.u36035	Thank you. And the sixth replica of the esteemed colleague Josip Djakic.
ParlaMint-HR_2017-04-05-0.u36036	Thank you very much, Mr. Vice President. So, colleague Pupovac, doubts about the constitutionality and unconstitutional nature of this law and the determination of the Government to apply it and to send it to the Assembly, as you have seen, stem from certain articles of our Constitution and speak clearly about having called for Article 2(4), paragraph 1. The Constitution of the Republic of Croatia, which states that the Croatian Parliament or people are directly, independently in accordance with the Constitution and the law, deciding on the arrangement of economic, legal, political, relations in the Republic of Croatia. So they went further to Article 16, Article 16 also makes it clear that any restriction on freedom or rights must be a proportionate nature of the need for a restriction in each case. These are the things that are very important and that are excellent for the economy and economy of the Republic of Croatia, so they called for Article 49(3), which says that the state encourages economic progress, the social well-being of citizens and is concerned about the economic development of all its regions. Finally, they called for Article 50(2), which states that entrepreneurial freedoms and ownership rights can be severely restricted by law in order to protect the interests and safety of the Republic of Croatia, nature, human environment and human health. Here are the things the government has called upon from the Constitution of the Republic of Croatia that all speak of these very moments that are present in the Republic of Croatia today. So I don't think we should have any doubts and that this law that you will hope to support will be the one that will save this economic and economic crisis that is announced through Agrokor.
ParlaMint-HR_2017-04-05-0.u36037	Thank you, too. And the answer to the replica.
ParlaMint-HR_2017-04-05-0.u36038	Dear counterpart Djakic, I am pleased that we have come to quote these provisions of the Constitution because most of the country's 25 years have not quoted them. We are satisfied that we have symbolic, rhetorical, celebratory sovereignty but to discuss how the state is practicing the sovereignty that comes out of its people we are just now starting to do so. And I'm glad you're doing it. And that makes us constitutional patriots, and you and I. Unfortunately for many things too late, unfortunately for many things with a weakened state but better ever than never. This shouldn't be expected much, because this is a fire measure, not a systematic measure, as many companies as we declare systemic, amongst us. But better and so than not to develop in any way awareness of what is our obligation as representatives, which is to devote ourselves to the fundamental constitutional values and to what we need to take from the Constitution as a basis for our actions.
ParlaMint-HR_2017-04-05-0.u36039	Thank you. With this we exhausted the replicas and move on to the next Club of Representatives, which is MOST Independent Lists and distinguished colleague Ivana Ninčević-Lesandric. Here you go.
